Hybridization REF	TCGA-AA-A00A-01A-01R-A002-07
C3orf23	0.131625
LRRC17	-3.5125
TTYH3	-0.739
ATP5B	-0.045
ELF3	3.0175
CPSF3L	-0.0156666666666667
ZNF665	-0.202333333333333
TLR6	-0.5403
GPI	-0.41475
RAD9A	-0.38475
NDST4	-3.76925
AGPAT3	0.805916666666667
MAGI3	0.304
ADORA2A	-1.382375
CACNG7	-0.072
CAMK2D	0.645714285714286
CCHCR1	0.00525
RPS27A	-0.33375
OR10G7	0.299333333333333
GCM2	0.441
FAM135B	0.0835
E2F1	-1.4665
PLCB3	0.934
OR2AE1	0.0565
COIL	-0.252166666666667
CDC25C	-0.914333333333333
RAB11FIP2	-0.469833333333333
TSC2	-0.045
CTGLF5	-1.217
CCDC108	0.392
OR13C4	0.064
C10orf81	6.763
PTPRB	2.51325
ACP2	0.27875
LAG3	1.88175
MRPL54	0.61375
LOC201175	2.1515
ITGB1BP3	-1.16325
SPTAN1	0.935833333333333
SIPA1L2	0.22525
RCAN2	-1.181
CDX2	5.0995
ECOP	-0.09825
ACTR1A	0.0197857142857143
PPARG	2.01766666666667
BBS10	-1.4255
TMEM44	0.81025
BPIL2	0.534
CITED1	0.38425
IRF6	4.2105
PRDM4	0.728833333333333
RRP9	0.0788333333333333
OR10H4	0.20625
IL31RA	-0.87275
GNB1L	-0.712333333333333
MYBL2	-1.68825
ZNF407	0.5715
PPIG	0.147833333333333
TTC18	-0.661
RPSA	0.343
MAPT	-1.024
MRE11A	-0.74
C8orf37	-1.1925
RASGEF1C	-1.03233333333333
STBD1	0.755
CTAG2	-0.696333333333333
MGAT5B	-2.30566666666667
ECM1	2.40925
RLN1	-1.121
PARP14	2.0826875
EPB41L1	0.8639
HOXA3	1.10008333333333
MAGEA9	-3.87425
RPS8	0.1495
RPS19BP1	0.328
FOXJ2	-0.188
C10orf76	0.529125
IL17RE	1.977
C10orf65	-2.282
ZNF343	0.118333333333333
FBXO33	0.13
UHMK1	0.1296
LY6G6C	-0.36275
FGF19	-2.69275
C14orf128	-0.353833333333333
IFIT2	1.617125
TIGD1	0.164
S100G	-0.4075
GUCY1B3	1.595
NR3C1	-1.3865
CORO1B	-0.2535
PARP11	-0.295666666666667
DNALI1	-0.462
OR4N4	0.40575
MAP2K6	2.55
FSTL4	-0.92275
ANKRD47	1.971875
TMEM171	3.3675
PNLIP	0.42175
YY1	-0.3325
CCDC138	-0.900666666666667
AASDHPPT	-0.6713
CKS1B	-0.7759
MCM3	-0.780333333333333
ANAPC7	-0.770166666666667
FAM110A	0.092
CDC37L1	0.727833333333333
THTPA	0.59925
NBPF20	-1.1355
WDR24	-0.14275
NPTX2	-1.6115
CBLB	1.02666666666667
CETN1	0.510666666666667
RPUSD1	0.182
FAF1	-0.53875
CDK6	-1.21
HMX2	0.602
CSK	-0.358833333333333
TEAD2	-1.50425
SNAP25	-1.17925
TUFT1	0.4958
TMTC3	-0.218666666666667
LCK	-1.327
SGOL1	-0.0626666666666667
AKTIP	0.149
FURIN	0.7345
SOX12	-0.9325
DEFB103A	-0.0705
RAMP1	-0.9815
KIR3DX1	-0.122
GAS2L3	-0.06275
PDE8A	-0.0466
EDN3	1.0775
GMIP	1.37375
SF3A2	1.03825
FN3KRP	0.54825
SMAD7	-0.23025
RHBDD2	-0.70575
OR11H6	0.3185
PPP1R3B	1.0218
C9orf23	1.0275
CADPS	-1.814
GOLGA8A	-3.302125
TMEM57	0.5395
RGL3	-2.1745
S100A14	2.1105
FGFR2	0.707875
XRCC3	-0.00350000000000001
RTN4RL2	0.52125
MGC3771	0.876
GH2	0.662
BTBD2	0.214
LMO2	-1.749
RDBP	-0.09975
ACRBP	-1.96425
AMY2A	0.84475
DUOXA1	1.0665
PTK7	-1.246
TWF2	-0.0371666666666667
FAM80A	1.498
TNNI2	-3.3155
GLT25D1	-0.451166666666667
OCC-1	-0.30675
CYC1	0.245
RPL22	0.141636363636364
MORN3	-0.786666666666667
DISP1	-1.5595
PRB2	0.1375
CHUK	-0.07575
HR	1.26125
CCDC134	0.39125
DENND4B	-0.64225
C14orf130	-0.430375
RAB33A	-1.48325
DCST2	0.17
TNMD	-0.0185
PEX7	1.26825
FAM62A	0.608
SRD5A2L	0.7185
IL22	0.1015
RPS26	-0.866333333333333
HOXC5	0.057
SPATA6	-0.932
FLJ38482	1.226
ZNF234	-0.272
C18orf22	1.162
SPATA22	0.1565
THOC1	-0.114
CYP7B1	1.478
KCNC3	-0.3365
C8orf42	-2.0975
ALDH1B1	2.74033333333333
CCDC100	0.3004
ARMC4	-3.06225
FAM18B2	-0.00450000000000001
SLC44A1	0.83075
FBXO17	-2.51833333333333
C6orf107	-0.1545
C19orf29	-0.19325
ZC3HAV1L	0.60625
PARP6	-0.2367
SULT2A1	-4.416
C1orf159	-0.36175
TMC1	-0.1225
CHST14	-1.231
GAMT	-2.23866666666667
SMCP	0.266333333333333
TSPAN33	-1.127
MIDN	0.4315
NOX4	1.336
RNASEN	-0.2923
TBX1	0.712
SALL2	-3.3635
C10orf35	1.34575
CYP2E1	0.23275
LRFN2	-1.01783333333333
ACO1	-0.566333333333333
IQCG	0.2439
MEGF9	-0.228
TM7SF4	2.05
PLEKHA1	1.8392
STK33	-3.16275
C1orf210	3.153
SNUPN	0.0773
KIAA0406	-1.1902
C20orf29	0.11575
TMEM55B	0.0825
OSTM1	-0.851875
CLCN7	-0.304
OTP	-0.03325
FLJ23049	-1.0095
HEATR4	0.591
MAP3K10	1.18583333333333
PCDHGA9	0.0515
AMDHD2	0.4915
LCTL	-1.91
PDCD2L	0.43425
CABLES2	-1.00475
SLC5A9	-0.1
CLCA2	-2.7388
MGC16025	-0.1915
STRAP	-1.1135
C20orf196	1.3195
RRBP1	1.08283333333333
NAT13	-0.35075
MAT2B	0.404375
CSNK1D	-0.314
KIR3DL1	1.371
PRKAG3	-0.245
ZNF599	-0.432
PRM3	1.5815
PER2	1.13016666666667
ASPHD1	-2.0385
PRMT6	-1.177
KCNE1L	-0.552571428571428
FAM118A	0.319833333333333
TAF4	-0.10375
NDUFB6	-0.2845
TRIM9	-1.32733333333333
PMFBP1	0.63125
KY	0.536
DKFZp762E1312	-1.20381818181818
CSMD1	-1.6935
TBP	-0.431833333333333
OR1Q1	0.6585
RETNLB	4.1425
HPGD	2.68357142857143
DNAJC12	-3.01533333333333
FKBP1B	-2.71825
ANKRD24	-0.3095
CXXC5	0.021
IL3	-0.12775
DRAM	0.7016
PTCH1	0.553875
TP53BP1	-0.17975
SLC17A7	0.207
COL25A1	-1.4092
AMACR	2.99916666666667
RHCG	0.8075
VPS13A	-0.100833333333333
FAM55D	3.476
PRPF38B	-0.577833333333333
OSBPL6	-3.08
PFDN5	-0.1734
CMTM6	1.451
KCNK12	-1.335
RP2	0.5295
C16orf52	-1.1855
PICK1	0.4515
IFNE1	-1.921
SEMA4B	1.15725
TYRO3	-1.43575
OR12D2	0.1715
CSNK1A1	-0.0229
FANCF	1.3635
LONP2	0.494
TBL1Y	0.329
LDOC1L	-0.1255
CCNC	-1.12475
C3orf60	-0.179
CHKA	-0.82225
UBAP1	0.14375
MAP3K1	-0.081
ANKRD9	-0.177
FAM92A1	-2.67866666666667
GAB2	0.399
AZU1	-0.6375
DIS3	-0.235416666666667
C21orf109	-1.24675
IQCB1	-0.34825
SPATS2	-0.838166666666667
EFCAB3	0.07
PRB3	0.275
FUZ	-1.45833333333333
ZNF813	0.258375
BMPER	-0.595333333333333
HEG1	-0.935125
ALS2CR11	-2.055
SURF2	0.05275
PSMC1	0.015
OR2D2	1.196
SLC7A8	-0.609166666666667
C4orf40	0.6635
SPATA7	0.42275
MAZ	-0.259916666666667
PIN4	-0.31375
PDE1A	-2.119125
TAF6L	0.262833333333333
OR2T34	0.792
KIAA0284	0.326
ACADS	2.04254545454545
MKRN2	-0.5395
C18orf56	-0.44775
MS4A6E	0.649666666666667
GALNT4	2.322
C22orf31	-0.0585
FLJ36070	0.997
PSME4	-0.474
TFG	-0.5875
EPHX2	2.276
ANXA5	-0.399125
KRTAP1-1	-0.0155
BATF	0.2215
KARS	-0.68875
MSTP9	-0.5465
GPR26	0.36975
CCDC72	-0.14825
TEF	-0.0381666666666667
FOXK1	-0.2762
PRLHR	0.7105
EMX1	1.98825
C11orf30	-0.35425
ICK	0.470375
THSD7B	-0.746
C21orf100	-1.0145
DUOX1	2.7
EFCAB4B	-0.32925
UBE2G2	-0.984166666666667
C3orf54	-0.028
PARP1	-1.23875
FAM60A	-0.233916666666667
C6orf146	0.16175
OR9K2	0.3025
DDX55	-0.660166666666667
RPS15	1.07741666666667
ZNF618	0.9355625
DKFZp686D0972	0.1405
SSPO	-1.3185
SHFM3P1	0.0236666666666667
CPA6	-1.3265
JAG2	1.53975
DEFA3	2.1705
PPBPL2	-0.0923333333333333
CD34	3.576375
SLCO4A1	0.074
AFG3L1	-1.30433333333333
SHD	2.026
RP13-122B23.3	-0.48
PRKCSH	-0.720166666666667
DPH5	-1.35866666666667
HLA-F	2.93325
TBC1D4	0.778
RIG	0.1125
GLUD1	0.1435
HNRPCL1	-0.849
HBXIP	-0.82825
RNF207	0.5465
APIP	-0.60025
PLA2G3	1.78366666666667
CCDC84	-1.18225
MYLIP	-0.0623076923076923
PHIP	-0.7095
AARS2	-0.0815
DHX32	1.34075
SCAPER	0.241166666666667
MEN1	-0.094375
NIP7	-0.173
FLJ25404	0.493
FASTKD3	-0.22325
TMEM158	-1.64033333333333
RARA	0.1325
BDH1	1.9105
ANKRD16	0.306
CARM1	0.729
SS18	-0.165666666666667
IKZF2	-1.27841666666667
MYD88	0.35025
PML	1.4895
TAF1A	-1.115
CBFB	-0.222625
HIST1H3H	-0.892666666666667
C7orf29	-1.2235
COMMD4	-0.34
DPP3	0.2785
DAB2	1.71375
LOC388882	-0.032
YPEL4	-1.289875
AGBL3	1.223
LRP6	0.3046
SERPINH1	-0.360166666666667
TLE1	-0.2025
CD244	1.62816666666667
ZDHHC15	-1.69125
MGLL	0.67
PLDN	-0.0688333333333333
LOC654346	2.842
FAP	2.0785
GPR37	-1.99983333333333
SCARA5	-0.226833333333333
EBF4	0.751545454545455
LSM6	0.1395
MLLT1	-0.287375
SLC5A12	0.49625
A2BP1	-1.27533333333333
COPS5	-0.392166666666667
TPM4	-0.147071428571429
TNFSF4	-0.0808333333333333
ACADSB	1.088
HERPUD1	-0.16675
BCL2L11	-0.0383333333333334
CEP78	-0.672375
CDCA3	-0.85525
WBSCR19	-0.5841
MYO1A	4.711
PPEF1	0.459333333333333
LOC440348	-1.027
CPEB2	0.621
BPTF	-0.424333333333333
RPL21	0.449625
GSX2	-0.8115
ADPRH	0.482166666666667
C17orf68	0.798666666666667
KCNS1	-0.836333333333333
MLLT6	0.4264
PIWIL4	3.1165
RNF26	-0.64025
RAP1B	0.45725
ADAMTS1	-2.2773
ZNF571	0.61875
P2RY6	0.48575
TRIM21	1.53983333333333
CADM3	0.42375
NLRC5	2.1795
ADRA2B	-0.2595
LOC90835	-0.22825
PCF11	-0.36475
LOC400451	-1.65025
GLTSCR1	1.0269
C17orf88	-0.503666666666667
CDH16	1.1145
FGF7	0.932625
PCSK4	0.429166666666667
NPC1L1	-1.2935
TAT	0.146
TBCA	-0.65625
MGC33407	0.25275
GPR115	0.993375
CYGB	-0.0155
FNBP4	-0.650333333333333
C12orf43	-0.22225
CBL	-0.5076
CLECL1	-0.2745
PPAPDC1A	0.81925
WDR25	0.503166666666667
SGCA	1.2395
C22orf29	-0.3575
YIPF1	0.472
GALK2	0.84075
RAB3B	-2.621
LOC440087	-0.63675
UCP1	-0.5325
REEP5	0.92075
FADD	-0.3367
FOXA1	-0.053625
CACNA1A	0.566666666666667
ABI1	1.01416666666667
GRIN2D	1.138
SLC1A4	0.628333333333333
LOC401127	-0.11325
HINT2	0.41575
PLD4	-0.943
ZNF286A	-0.6415
ENY2	-0.72425
IL1F6	0.143
PXDNL	0.32375
C20orf79	0.03925
TNFSF13B	2.34666666666667
DENND3	-0.158125
JARID1D	1.28625
HIST1H2AK	-0.117125
LOC93349	0.6105
SSH1	-0.3936
ENSA	-0.22675
LOC219854	-0.434
CKAP2	-0.458
DKFZP564J102	1.762
MGC87315	0.344333333333333
HNRPAB	-0.15
AMH	0.142
ZNF526	0.9275
BRUNOL5	-0.1555
CACNG3	0.144166666666667
TRPM1	-2.015
PPP2R1A	0.070875
COL2A1	-2.183
DDN	0.466166666666667
FLJ25770	0.2025
HK2	0.234714285714286
ELOVL6	0.060125
MDK	0.57525
EPHX1	-0.50375
RASSF2	0.13575
DKFZP434B0335	-0.19125
DLX3	-0.568
PRTN3	-0.56425
AVPR1A	0.28575
C21orf125	-1.9825
TNFAIP8	-0.1115
GNB2L1	-0.209
CALCRL	2.12575
SCGB2A2	0.195
UBXD7	-0.80575
ZNF674	-0.2585
TMEM35	-0.46375
BRSK2	-1.17425
HECTD3	0.625166666666667
TMEM188	-0.141
LGALS9	3.463875
SCARB2	0.39
USP34	-0.58175
C17orf28	-0.3015
ZDHHC23	0.92075
AQP12B	3.456
SLC16A3	0.371
APLP2	0.039125
ITIH2	-4.967
MICAL3	-0.13225
TNNI3K	-0.2617
HDAC2	0.08375
PRR7	1.0589
THBS2	-1.1545
LOC751071	-0.403666666666667
CA2	2.79833333333333
RANBP17	-1.50675
RLN3	0.04625
CRYZ	-1.52316666666667
GBAS	0.376166666666667
TAS1R1	-0.73325
MPZL3	1.1795
PCDH8	-1.26575
HSP90B1	0.439416666666667
KCNK15	-0.733
TNIP2	-0.0278333333333333
GPR146	-1.00275
NOL6	-0.0325
SPC25	-2.17788888888889
STEAP2	1.26092857142857
VAMP3	-0.0771666666666667
TCIRG1	1.49675
ZP4	0.0205
PARL	-0.045125
TRIM39	-0.193833333333333
KIAA1305	1.57725
CRNN	0.0785
GRN	0.9385
HSH2D	0.41125
SCAMP1	0.228
KIAA1913	3.89475
PTS	-0.1345
BANP	-0.140285714285714
PRKACG	0.286
ADCY6	0.173333333333333
C16orf46	0.0615
CYP51A1	0.879625
DDC	3.8725
ANPEP	-1.01933333333333
PROM1	1.66233333333333
SIGLEC10	2.45475
COPG	0.463
FAM26E	0.385875
TRIP4	0.456
SNX3	-0.125833333333333
C1orf175	1.14983333333333
PPY2	0.045
C14orf152	0.42375
FTSJ1	-0.7235
DST	-0.5005
LOC554235	0.5615
GLRX5	-0.12175
C20orf12	-0.5071
CAB39	0.410833333333333
MSH2	-1.14216666666667
PIP4K2C	0.97425
CYLD	0.08825
WTAP	0.3044375
MGAT4A	1.50311111111111
TSC22D4	-0.4631
CHRM2	1.6525
PPYR1	0.439
CCNH	-0.458833333333333
RRM1	-0.72975
ECAT8	-3.06875
LOC400120	-0.44975
GABRA4	0.450125
C14orf4	0.658166666666667
C1orf59	0.07075
CTDSPL	1.44875
NHEDC2	-1.663
PDE11A	-1.8669375
KLHL29	1.13525
CD5	-0.6804
TSPAN9	0.087
WDR67	-0.66075
THUMPD1	0.6275
C18orf17	-1.78075
CLYBL	2.01266666666667
FLJ13231	-2.4
CMBL	2.06875
LECT2	0.203
NKAPL	1.34683333333333
LOC654780	0.78
OR4C6	-0.1565
RAB30	-1.60683333333333
TSSK4	0.012
TMEM163	0.2835
OSBPL11	-0.320666666666667
GNB5	-1.92816666666667
CCL21	2.22225
C1orf121	-0.143666666666667
FMO2	0.43
RPTN	1.8585
MSTN	0.309
VCL	-0.296642857142857
FYTTD1	-0.03925
C11orf1	-0.06275
CCDC88C	1.063875
HFE	0.139611111111111
MOGAT1	-0.453
FAM125B	0.381666666666667
IRGQ	0.231
RAVER2	1.873
AKAP5	-0.337
SSSCA1	0.1545
C11orf63	-1.005375
ACTG2	1.619
PORCN	-1.3585
DTL	-1.10472727272727
TMEM151	0.7255
FAM122C	-1.128
RSAD2	1.5518
BAT4	-0.8735
KRTDAP	-2.193
MYH8	-0.234625
CRTC3	0.0705
LRRFIP2	0.4929
INTS4	-0.254333333333333
TTN	-1.1805
SLC26A5	0.48
PLLP	-0.17875
RGS6	-0.754875
SRGAP3	0.2065
ZNF525	-0.047
NBR2	-0.614
C13orf1	1.1594
ZNF137	-0.907
CEP27	-0.563
BEST2	2.0475
RNF121	-0.2385
DMRTC2	-0.0605
C8orf76	-0.08
BCCIP	-0.30925
MEST	0.26775
HTRA2	-0.037
ANGPTL2	0.39125
ILKAP	-0.063
ERAS	-0.1415
HBS1L	-0.91675
CPA5	0.379
TMEM30A	0.567666666666667
CD300LF	2.44583333333333
WISP3	0.205
CRK	-0.113857142857143
PDS5A	-0.2128
BRPF3	0.0598333333333333
NEDD9	-0.193625
SMPDL3B	2.54925
PSG6	0.90375
PSMD13	0.00275
ETV5	-2.602375
OR51A4	0.334
BTBD7	0.697
GSTO1	-0.313875
hCG_16001	0.927
MAD2L1BP	-0.042
COX6A2	1.2245
SCNN1A	2.26316666666667
LSM1	-0.156333333333333
UGT2B11	-2.7395
IDUA	0.5645
PPP2R3C	-0.4685
COX11	0.179
PDZK1	-4.54775
ZNF443	0.978166666666667
MGC21874	0.679666666666667
ZNF323	1.2668
KRTAP10-10	0.038
CXCL6	3.19375
SLC34A2	0.5526
LOC284402	0.428
NPTN	0.93125
UPP1	-0.174
SLC6A9	-1.2665
OR7G3	0.132
CISD1	0.4335
ZNF545	-2.19033333333333
SYT14	-0.6495
NT5C3L	-0.938333333333333
ZNHIT3	-0.411
SNRPD3	-0.28625
KIAA0701	-0.77675
UNC93B1	0.551833333333333
GMNN	-0.5845
SPCS2	0.0538333333333333
LOC388524	0.597
NAPRT1	1.27225
PNLIPRP1	0.388
OR6V1	1.1025
PRKAB1	1.347
EYA4	-2.24183333333333
KIF20A	-1.30475
ALG10	-0.902
ITPKC	0.8245
LMX1B	-0.367833333333333
RPUSD4	0.680333333333333
C7orf34	0.121333333333333
DLGAP2	0.186
PFN1	0.0555
MICALL2	0.02575
ZNF654	0.0305
SS18L1	-1.044625
SLC16A8	0.3935
MKI67IP	0.326833333333333
ITGB3	-0.773
TCEA3	3.20841666666667
CEP152	-1.26775
CLIP1	0.16875
ZNF75	0.323375
ATP5C1	0.325666666666667
NUDT5	-0.294833333333333
PSCDBP	0.72975
UBP1	-0.089
RBM27	-0.7665
C13orf15	1.32825
ZNF282	-0.0216666666666667
ZNF222	-0.7142
COL10A1	5.81925
PRDM15	-0.57425
TTTY5	0.1305
FAM9C	-0.212083333333333
C20orf67	-0.01525
GNG13	-0.1765
F12	2.3905
C1orf41	-0.96875
CPXCR1	-0.029
GSK3A	0.146375
SUPT6H	-0.178166666666667
PI16	-1.28283333333333
ELL2	-1.55116666666667
C9orf167	0.836333333333333
PVRL3	1.0009
FLJ38596	0.4765
ADAM20	-0.501
GPR89A	-0.864
GPR87	-4.01
ZNF30	-0.0385
SMR3B	-0.24525
ZNF770	-0.126125
TRPC4AP	-0.806
DKFZP686E2158	0.7105
C2orf28	-0.482666666666667
FREM1	-2.99233333333333
LAMA4	0.170833333333333
ADPRHL2	0.44
EIF4G2	0.483166666666667
GUCA1A	0.0765
CTNNA2	-1.334375
NUDT15	-0.359666666666667
CEPT1	-0.6215
ZNFX1	0.0628
CCDC92	0.2005
TDRD1	-1.3355
KCNK5	0.934
ETNK1	0.59725
LTA	0.953
TTPA	-0.1545
B3GALNT2	-0.274625
SC65	-0.937
PEX5L	-1.26675
EPS15L1	-0.35625
MGEA5	-0.528125
HIST1H3A	0.29425
ING1	0.388375
BCAT1	-2.527875
ORC6L	-1.84163636363636
KLK11	-4.93316666666667
C19orf28	-0.91325
DNER	-4.36475
MED22	-1.43807142857143
ETV6	1.18458333333333
CHAC2	-1.00775
CD300E	0.5245
CEBPB	-0.00166666666666665
ZNF398	-0.752
LRCH3	-0.063
HMGA1	-0.0276666666666667
CAPN7	-0.249333333333333
MGC5566	-3.086
CCL3	3.642875
NANOS1	-0.98275
ZFYVE19	0.127
APITD1	-0.646666666666667
PARD3	0.4775
IRAK4	0.103666666666667
SERPINI2	-0.324
CEP170L	-1.03175
TTC9	-0.97675
MYOM3	2.50225
MLPH	0.734375
LOC222699	-1.4525
NRG1	-1.68333333333333
TBC1D9	-1.02563636363636
TTK	-0.931666666666667
ZNF557	0.4094
DDX41	-0.502833333333333
FANK1	0.0365
UBE2D2	0.120125
PSMB10	2.279875
MYH7B	-0.0675
GABARAPL2	-0.63775
MARVELD2	1.95383333333333
DGCR2	0.391
UNC45A	0.0035
C6orf72	0.0985
ZNF683	5.22275
GIT2	0.07775
CASK	1.07733333333333
C14orf161	3.06766666666667
LRRC44	-1.601
TIFA	0.071875
UTP11L	-1.20075
C6orf65	-1.47375
FDPS	-0.30725
DUSP9	-1.9883
SLC17A8	-0.384
OR51G1	0.309833333333333
NANS	0.8285
OLFML1	1.29175
ATP10B	5.00675
NPAS3	-1.891
PRKCA	-0.6306
GGA2	-0.3706875
LCE4A	0.4235
SPANXN3	0.59675
CCDC115	0.796875
SDCCAG3	-0.3165
GLIPR1L1	0.12375
TTC1	-0.0105
C17orf76	3.47925
MAD2L2	-1.73625
HIPK1	-0.7992
LRRC3B	-0.385333333333333
CLN3	0.215181818181818
C17orf47	0.9405
FMN2	-3.263
TUBB1	-2.03
WAPAL	-0.230166666666667
C3orf21	-0.5015
SCN5A	-0.5925
SMYD1	-0.019
BEX5	-1.52025
ZNF192	-0.1045
SEC22A	0.0125
GRIA2	0.223928571428571
KIAA0825	-1.604
NUSAP1	-1.43381818181818
LANCL1	-0.90175
C15orf40	-0.4704
ZNF645	0.0315
GPR61	0.33625
NLRP14	0.1395
SNX21	-0.5108
C1QTNF8	0.069
C17orf46	0.27875
IFNA8	0.7755
SPRR1B	-1.6885
FLRT1	-0.36425
SNX17	-0.524166666666667
ASB2	-0.0703333333333333
HBG1	-5.714
RPRML	-2.06675
JOSD2	0.964333333333333
PLSCR3	-0.1455
SPOCD1	-0.355833333333333
RAB39	-0.385
GHRH	0.200833333333333
ITIH5L	0.3145
C17orf37	0.43675
SMCR8	0.72975
DPY19L2P3	-1.0445
IL11RA	-0.098
GDF3	-3.75883333333333
RPS6KB1	-1.47433333333333
DNAJC19	-0.1456
TOP1	-0.26925
CRCT1	0.232125
MPST	1.893375
DPM2	-0.096625
FAM38B	-3.60766666666667
SLC18A1	-0.561833333333333
FARP1	-0.32
PAX7	0.47025
TUBD1	-1.9945
GNL3	-0.126625
BTG2	0.885
NDUFS6	-0.44725
C1orf79	-0.4645
ERAL1	-0.23675
ECHS1	1.2335
VPS4A	-0.136666666666667
CYP11A1	-1.47475
ABCC6	0.0705714285714285
PBX4	0.063
MOSC1	0.964125
NCF4	1.10375
HYMAI	0.1175
NAGPA	0.00450000000000002
OTOP2	0.44975
ACOT12	-0.47025
MTHFD2L	-0.916875
LOC441376	-1.795
C19orf34	0.4835
RAB1B	-0.402
ALDOAP2	-0.53
NTRK1	-1.90333333333333
ARTS-1	1.042
SLC6A11	-0.9455
NAP1L2	-3.9115
CNGB1	0.0768333333333333
EPB41L4B	1.32791666666667
FAM134B	1.36925
HS3ST3A1	-0.540166666666667
CPXM2	6.37425
SIRPB2	0.5605
CHORDC1	-0.603833333333333
TRIB3	-0.6555
SLC2A5	1.24925
C2orf49	-0.176666666666667
DDX5	-0.73375
OR5L1	1.2215
ANAPC4	0.0791666666666667
ZSWIM1	0.48975
LOC93622	-0.39825
KCNK3	-0.5551
RP11-35N6.1	-2.411375
ZFP161	0.316833333333333
AQP9	4.52125
SLC15A2	-0.416666666666667
MREG	-0.715833333333333
OR9I1	0.3675
PDLIM2	-0.249625
ADAM7	0.4835
GSTCD	-0.207666666666667
WDR21A	0.6855
SLC12A8	1.56733333333333
TMEM174	0.00375
IGSF3	-1.42825
LRRN1	-4.53475
LOC402117	-0.461
SRPK1	0.156333333333333
LY6K	-2.40625
NFIA	1.423
PTCD3	0.403875
LEP	0.115333333333333
PCDH21	4.55283333333333
MAPKAPK2	-0.474928571428571
NMNAT1	1.08083333333333
LHFPL2	0.434375
C9orf43	0.017
DIP2A	-0.370333333333333
ACTR8	0.374625
CCDC34	-0.4895
PTPN22	-0.42875
ITGA3	0.095625
FAM129C	-0.0755
RABGGTA	0.562666666666667
UNC45B	-0.0855
KIAA1033	0.3005
ZNF510	-0.0243333333333333
CYP2D6	0.182666666666667
SLC26A10	-2.21
STX8	0.05425
LUZP1	0.7915
WDR89	0.562166666666667
EIF4G3	-0.2512
C5AR1	0.722
ZNF623	-0.2175
A2M	-0.6245
TGM7	0.167
GRPEL1	0.502833333333333
LMNB2	-0.814
ROCK2	0.518
SNX16	0.7885
CCDC66	0.10225
ANXA3	2.36625
KIAA1609	-0.381875
EED	-0.86225
RNF32	0.703333333333333
HES1	0.9908
CLC	0.789333333333333
ISL1	-0.565833333333333
KIAA0528	0.352375
MANEA	0.10875
C1orf61	-2.35
hCG_2001000	0.91025
RAPGEF6	-0.0471
KIAA0020	-0.347
NEIL1	2.08175
C16orf45	-2.054125
RBM10	-0.0753333333333333
C10orf125	1.854375
MRS2L	0.39925
DNAH17	-1.351375
C19orf10	-0.25375
C1orf160	0.179
SLFN12	-0.8
EXOC3	0.212666666666667
HIST3H3	-0.2295
NCOR2	-0.925833333333333
TNFRSF9	2.35225
MFSD8	0.12725
ALX1	-4.491
NOL1	-0.35525
PODN	1.55575
TIAL1	-0.4975
HIST1H1E	-1.3865
NPY6R	0.29425
TM4SF4	0.146
CORO2A	-0.11775
ETNK2	-2.02933333333333
APOE	-0.0341
ANGPT4	0.2195
HDGF2	-0.38325
G30	-0.393
ST8SIA4	-0.78325
F2RL1	3.05375
FAM19A4	-3.1265
CCAR1	-0.205
B3GNT7	0.05275
OPHN1	-0.6332
DSCR6	-3.413
C21orf13	-0.814833333333333
GAS2L1	0.329416666666667
RFX3	0.282833333333333
COPS4	-0.237375
BCHE	-4.70283333333333
BCL2	-0.151
HBZ	-2.99366666666667
ARL13B	-1.0255
MAPBPIP	0.5985
MYO15B	2.911625
SPZ1	-0.33275
KIAA1324	-0.540444444444444
PLCL2	-1.896125
C4orf29	0.2235
WDFY2	-1.38675
ZNF284	-1.6275
NAALADL1	-0.157
DUSP5	0.7765
PXDN	-0.781875
SLMO1	0.2915
TNXB	0.9027
BIRC7	-0.8695
A4GALT	-0.227833333333333
TIMM22	-0.42425
FAM110C	2.543
TOMM34	-0.515125
ABHD9	0.4095
ADAM32	2.418
CRHBP	-1.261
AQP2	0.568125
LOC130355	0.02275
ZNF187	-0.4835
ZNF816A	0.5945
F7	-1.291
CNOT1	0.0821
SLC13A4	-1.349
ZBTB11	-0.133
B3GALT5	3.72375
EXOC2	0.2405
IRS1	0.5676
TMEM1	0.587333333333333
MRPL34	0.410833333333333
SAMM50	0.0535
CDC42EP3	-0.275
HSF2	-1.4939
MFN2	-0.32725
TSPAN7	-2.87683333333333
NUCB1	0.520916666666667
RHOH	-2.0975
ARL16	-1.2165
TACR1	0.241
SFRS5	-0.820333333333333
SNX25	1.357875
RHBDF1	0.231166666666667
PCDH18	1.226
HMG1L1	0.24575
MYO5C	1.930125
MAPK10	0.3805
LDHAL6A	0.0135
NUDT12	-2.0635
NCAM1	-0.266
GLIS2	0.978
GGTL4	0.411
DAPP1	0.96725
ATF7	0.476125
KIAA0748	-1.352
NFIL3	0.06975
TM6SF1	-1.0774
SEZ6	0.227375
NANOS3	2.6675
DNAJA3	-0.147
CLDN6	-2.6505
CIITA	3.8764
EPHA4	0.430916666666667
FANCC	-0.19725
CMTM3	-1.219875
PSG3	-0.605625
MRPL15	0.556
C21orf59	0.20425
PLCXD2	0.39475
C2orf34	0.515875
UBE2L6	1.724
MED14	0.368333333333333
HP1BP3	-0.1508
C6orf208	1.108
TPBG	-2.44
OSR2	-0.402375
XPC	-0.116166666666667
KLHL7	-1.14766666666667
CCR3	-0.214833333333333
