Hybridization REF	TCGA-AA-A00O-01A-02R-A00A-07
THSD7B	-0.235
C21orf100	-1.175
DUOX1	1.127
EFCAB4B	0.10925
UBE2G2	-0.412333333333333
C3orf54	0.34175
PARP1	-1.41575
FAM60A	0.0441666666666667
C6orf146	0.433333333333333
OR9K2	-0.2575
DDX55	-0.836666666666667
RPS15	-0.98875
ZNF618	0.5213125
DKFZp686D0972	0.11425
SSPO	-0.7265
SHFM3P1	-0.252
CPA6	0.15025
JAG2	2.078
DEFA3	1.86025
PPBPL2	-0.0884
CD34	4.501125
SLCO4A1	2.021375
AFG3L1	-0.661
SHD	0.9195
RP13-122B23.3	-0.269833333333333
PRKCSH	-1.57833333333333
DPH5	-0.572666666666667
HLA-F	1.5825
TBC1D4	-0.83675
RIG	0.511333333333333
GLUD1	0.00683333333333333
HNRPCL1	-1.187625
HBXIP	0.147
RNF207	-0.9595
APIP	-0.31625
PLA2G3	-2.21433333333333
CCDC84	0.29225
MYLIP	-0.00653846153846153
PHIP	-0.18375
AARS2	0.207666666666667
DHX32	0.6985
SCAPER	0.488333333333333
MEN1	-0.42575
NIP7	-0.38725
FLJ25404	0.582
FASTKD3	-0.8625
TMEM158	-2.68141666666667
RARA	0.65825
BDH1	1.362
ANKRD16	-0.088
CARM1	0.424
SS18	-0.638
IKZF2	-1.50316666666667
MYD88	0.30825
PML	0.8267
TAF1A	-0.7715
CBFB	-0.191625
HIST1H3H	-1.80433333333333
C7orf29	0.19725
COMMD4	-0.9275
DPP3	0.1555
DAB2	-0.1325
LOC388882	-0.181
YPEL4	-0.775375
AGBL3	-0.247
LRP6	1.0659
SERPINH1	-0.682833333333333
TLE1	-1.13575
CD244	-0.0516666666666667
ZDHHC15	0.3185
MGLL	0.685
PLDN	-0.0276666666666667
LOC654346	2.1285
FAP	1.27075
GPR37	-0.798333333333333
SCARA5	0.982333333333333
EBF4	0.148181818181818
LSM6	0.06475
MLLT1	-1.000125
SLC5A12	-0.44025
A2BP1	-1.06616666666667
COPS5	-0.00366666666666667
TPM4	-0.334714285714286
TNFSF4	-0.561666666666667
ACADSB	1.35377777777778
HERPUD1	1.212
BCL2L11	-0.711944444444444
CEP78	-2.103125
CDCA3	-2.154125
WBSCR19	1.1238
MYO1A	1.198
PPEF1	0.919
LOC440348	0.34725
CPEB2	-0.155875
BPTF	-0.157666666666667
RPL21	0.264
GSX2	0.1685
ADPRH	0.873333333333333
C17orf68	0.209333333333333
KCNS1	-0.0231666666666667
MLLT6	0.3664
PIWIL4	2.97375
RNF26	-0.63325
RAP1B	-0.012625
ADAMTS1	-1.2517
ZNF571	1.2475
P2RY6	0.26825
TRIM21	1.46733333333333
CADM3	-0.483
NLRC5	0.923166666666667
ADRA2B	0.345
LOC90835	-2.06925
PCF11	0.26925
LOC400451	-0.2415
GLTSCR1	-0.1496
C17orf88	-0.635
CDH16	-0.8435
FGF7	1.565875
PCSK4	-1.56583333333333
NPC1L1	-2.16966666666667
TAT	0.257857142857143
TBCA	-0.94125
MGC33407	-0.25075
GPR115	-0.72125
CYGB	1.138
FNBP4	-0.063
C12orf43	-0.36
CBL	0.00870000000000001
CLECL1	0.277
PPAPDC1A	-0.51275
WDR25	-0.780333333333333
SGCA	2.4025
C22orf29	1.045
YIPF1	0.12075
GALK2	0.1865
RAB3B	-2.5715
LOC440087	-0.24525
UCP1	-1.144
REEP5	0.37825
FADD	-0.7894
FOXA1	-0.182
CACNA1A	-0.632333333333333
ABI1	0.7645
GRIN2D	-0.691
SLC1A4	-0.818166666666667
LOC401127	-0.1505
HINT2	0.14375
PLD4	-0.498666666666667
ZNF286A	-1.07925
ENY2	-0.95925
IL1F6	-0.363
PXDNL	-0.0615
C20orf79	-0.0506666666666667
TNFSF13B	1.9815
DENND3	1.306125
JARID1D	-2.3435
HIST1H2AK	0.603625
LOC93349	0.6431
SSH1	-0.4431
ENSA	-0.024
LOC219854	-0.00733333333333333
CKAP2	-0.6997
DKFZP564J102	1.92733333333333
MGC87315	0.780666666666667
HNRPAB	-1.52825
AMH	-3.9485
ZNF526	1.391
BRUNOL5	-0.2259
CACNG3	-0.112333333333333
TRPM1	-1.2715
PPP2R1A	0.14925
COL2A1	-0.73
DDN	-0.589
FLJ25770	0.203833333333333
HK2	-0.772142857142857
ELOVL6	-0.95525
MDK	-0.6265
EPHX1	1.07425
RASSF2	0.09975
DKFZP434B0335	0.13825
DLX3	1.253125
PRTN3	-1.2415
AVPR1A	1.0115
C21orf125	-0.87675
TNFAIP8	-1.69033333333333
GNB2L1	-1.34875
CALCRL	3.523
SCGB2A2	0.375166666666667
UBXD7	0.26875
ZNF674	-0.773
TMEM35	0.26275
BRSK2	0.496125
HECTD3	-0.0128333333333333
TMEM188	0.00974999999999999
LGALS9	2.5855
SCARB2	1.32558333333333
USP34	0.334833333333333
C17orf28	-0.32425
ZDHHC23	1.33525
AQP12B	2.2405
SLC16A3	-0.428875
APLP2	0.231
ITIH2	-6.74975
MICAL3	0.685625
TNNI3K	0.3939
HDAC2	-0.1525
PRR7	-0.6093
THBS2	-0.962125
LOC751071	-0.288166666666667
CA2	0.189666666666667
RANBP17	0.26625
RLN3	-0.53725
CRYZ	-0.693666666666667
GBAS	0.554
TAS1R1	-1.20325
MPZL3	0.5315
PCDH8	3.08275
HSP90B1	0.08725
KCNK15	-0.0965
TNIP2	0.327666666666667
GPR146	-0.6045
NOL6	-0.744375
SPC25	-3.22988888888889
STEAP2	0.342571428571429
VAMP3	0.529833333333333
TCIRG1	0.9815
ZP4	-0.438666666666667
PARL	-0.067375
TRIM39	0.0121666666666667
KIAA1305	1.4035
CRNN	0.346166666666667
GRN	0.8675
HSH2D	0.6045
SCAMP1	-0.1371875
KIAA1913	0.7965
PTS	0.39975
BANP	-0.0538571428571428
PRKACG	-0.15825
ADCY6	0.453666666666667
C16orf46	-0.8955
CYP51A1	-0.17625
DDC	1.394
ANPEP	-1.516
PROM1	5.51233333333333
SIGLEC10	1.14425
COPG	-0.148
FAM26E	0.958625
TRIP4	0.1665
SNX3	0.311833333333333
C1orf175	1.02583333333333
PPY2	-0.59725
C14orf152	-0.2135
FTSJ1	-1.79933333333333
DST	-0.42145
LOC554235	-0.64425
GLRX5	-0.64225
C20orf12	0.6536
CAB39	0.733833333333333
MSH2	-1.57333333333333
PIP4K2C	0.944125
CYLD	0.530375
WTAP	0.5619375
MGAT4A	1.06611111111111
TSC22D4	-0.511
CHRM2	1.3485
PPYR1	-0.677333333333333
CCNH	-1.10616666666667
RRM1	-1.35025
ECAT8	-3.46125
LOC400120	0.084
GABRA4	-0.139375
C14orf4	-0.281666666666667
C1orf59	1.53975
CTDSPL	2.30858333333333
NHEDC2	-0.418
PDE11A	0.738
KLHL29	1.961
CD5	2.6057
TSPAN9	1.020125
WDR67	-1.38875
THUMPD1	0.2723
C18orf17	-0.813
CLYBL	2.2705
FLJ13231	-0.601625
CMBL	-2.91775
LECT2	0.0305
NKAPL	0.717166666666667
LOC654780	-0.459
OR4C6	0.4645
RAB30	-0.491666666666667
TSSK4	-0.648
TMEM163	1.575
OSBPL11	0.375083333333333
GNB5	-0.451833333333333
CCL21	0.66675
C1orf121	0.4375
FMO2	0.9645
RPTN	-0.223
MSTN	1.9155
VCL	-0.183071428571429
FYTTD1	0.24125
C11orf1	-0.29075
CCDC88C	-0.408625
HFE	-0.219333333333333
MOGAT1	-0.4775
FAM125B	1.7305
IRGQ	0.00700000000000001
RAVER2	1.8915
AKAP5	0.748
SSSCA1	-0.49675
C11orf63	0.206625
ACTG2	2.3682
PORCN	-1.6625
DTL	-2.49327272727273
TMEM151	0.17775
FAM122C	-0.000500000000000005
RSAD2	2.5412
BAT4	-0.3525
KRTDAP	-0.0135
MYH8	-0.14825
CRTC3	0.749
LRRFIP2	-0.1451
INTS4	-0.344666666666667
TTN	-1.13533333333333
SLC26A5	0.243
PLLP	1.18525
RGS6	-0.626625
SRGAP3	1.3525
ZNF525	0.7265
NBR2	-0.252666666666667
C13orf1	1.0865
ZNF137	0.4505
CEP27	-1.32725
BEST2	-0.8105
RNF121	-0.093
DMRTC2	0.29225
C8orf76	-0.50725
BCCIP	-0.0615
MEST	0.755
HTRA2	-0.881
ANGPTL2	0.08425
ILKAP	0.4755
ERAS	-0.165
HBS1L	0.197125
CPA5	-0.3665
TMEM30A	0.4575
CD300LF	1.07066666666667
WISP3	-0.1115
CRK	0.0719285714285714
PDS5A	0.0607
BRPF3	-0.0945
NEDD9	-0.662125
SMPDL3B	-0.753
PSG6	0.93675
PSMD13	-0.275
ETV5	-0.98125
OR51A4	-0.148
BTBD7	0.498083333333333
GSTO1	-0.670375
hCG_16001	0.217
MAD2L1BP	1.68366666666667
COX6A2	-0.639
SCNN1A	2.65283333333333
LSM1	0.139833333333333
UGT2B11	-0.8345
IDUA	0.075
PPP2R3C	0.0743333333333333
COX11	-0.0521666666666667
PDZK1	-0.005
ZNF443	0.5585
MGC21874	0.8065
ZNF323	0.6688
KRTAP10-10	-0.23
CXCL6	1.635
SLC34A2	0.1846
LOC284402	-1.1235
NPTN	1.32791666666667
UPP1	-1.255
SLC6A9	-0.261
OR7G3	0.05375
CISD1	0.598833333333333
ZNF545	0.100166666666667
SYT14	0.2115
NT5C3L	-0.100666666666667
ZNHIT3	-0.397
SNRPD3	0.10975
KIAA0701	-0.524625
UNC93B1	0.158
GMNN	-1.492625
SPCS2	0.6885
LOC388524	-0.1225
NAPRT1	1.076125
PNLIPRP1	0.202
OR6V1	-0.5505
PRKAB1	0.67425
EYA4	-1.0064
KIF20A	-3.386
ALG10	-0.015
ITPKC	1.52233333333333
LMX1B	-0.431833333333333
RPUSD4	0.222333333333333
C7orf34	-0.0961666666666667
DLGAP2	0.343125
PFN1	-1.315
MICALL2	0.278666666666667
ZNF654	-0.423
SS18L1	0.62675
SLC16A8	-0.4415
MKI67IP	0.398666666666667
ITGB3	0.30325
TCEA3	1.81841666666667
CEP152	-1.04075
CLIP1	0.465375
ZNF75	0.6328125
ATP5C1	-0.0706666666666667
NUDT5	-0.741833333333333
PSCDBP	-0.6805
UBP1	0.46725
RBM27	-0.45975
C13orf15	2.455375
ZNF282	-0.00833333333333332
ZNF222	-0.1838
COL10A1	2.576
PRDM15	-0.589375
TTTY5	0.0565
FAM9C	-0.486
C20orf67	-0.05275
GNG13	-0.1185
F12	-0.9195
C1orf41	-0.01025
CPXCR1	-0.8225
GSK3A	0.735625
SUPT6H	-0.41
PI16	0.792
ELL2	-1.377
C9orf167	1.61716666666667
PVRL3	2.2704
FLJ38596	-0.34075
ADAM20	0.28575
GPR89A	0.838
GPR87	-2.185
ZNF30	1.5
SMR3B	-0.8715
ZNF770	-0.226714285714286
TRPC4AP	0.359833333333333
DKFZP686E2158	-0.158333333333333
C2orf28	0.352166666666667
FREM1	0.659166666666667
LAMA4	1.1375
ADPRHL2	-0.2365
EIF4G2	0.455666666666667
GUCA1A	-0.012
CTNNA2	5.271125
NUDT15	-0.3485
CEPT1	-0.0263333333333333
ZNFX1	1.8995
CCDC92	1.09025
TDRD1	0.254
KCNK5	-0.285833333333333
ETNK1	0.452166666666667
LTA	-0.39
TTPA	0.489333333333333
B3GALNT2	0.345
SC65	-0.723333333333333
PEX5L	-0.793625
EPS15L1	0.75825
MGEA5	0.441375
HIST1H3A	1.0635
ING1	-0.138375
BCAT1	-2.898625
ORC6L	-2.72
KLK11	-4.11766666666667
C19orf28	-1.868875
DNER	-3.108875
MED22	-0.883928571428571
ETV6	1.19991666666667
CHAC2	-1.6565
CD300E	-0.1215
CEBPB	0.427
ZNF398	-0.0115
LRCH3	0.7105
HMGA1	-1.0335
CAPN7	0.5185
MGC5566	-1.001
CCL3	2.249125
NANOS1	-0.778375
ZFYVE19	-0.53075
APITD1	-0.320333333333333
PARD3	0.283
IRAK4	0.604
SERPINI2	1.147
CEP170L	-0.48075
TTC9	1.386375
MYOM3	2.21175
MLPH	-0.016
LOC222699	-0.761
NRG1	-0.975166666666667
TBC1D9	-0.849818181818182
TTK	-2.05583333333333
ZNF557	1.2133
DDX41	-2.01966666666667
FANK1	0.4245
UBE2D2	-0.424625
PSMB10	1.305625
MYH7B	3.4355
GABARAPL2	0.28475
MARVELD2	1.54983333333333
DGCR2	1.04116666666667
UNC45A	-0.240833333333333
C6orf72	-0.0435
ZNF683	1.908
GIT2	0.13225
CASK	1.40733333333333
C14orf161	1.40216666666667
LRRC44	0.83425
TIFA	-0.72175
UTP11L	-0.541125
C6orf65	-0.2805
FDPS	0.1065
DUSP9	-2.8314
SLC17A8	0.1655
OR51G1	-0.0635
NANS	-0.6955
OLFML1	1.02475
ATP10B	1.760375
NPAS3	-0.33825
PRKCA	-0.266
GGA2	-0.092
LCE4A	0.1045
SPANXN3	-0.203
CCDC115	0.816625
SDCCAG3	-0.73475
GLIPR1L1	-0.2465
TTC1	-1.12625
C17orf76	3.49875
MAD2L2	-1.59675
HIPK1	0.3322
LRRC3B	0.424166666666667
CLN3	-0.550090909090909
C17orf47	-0.1085
FMN2	-1.66014285714286
TUBB1	0.447285714285714
WAPAL	0.350666666666667
C3orf21	-0.969625
SCN5A	1.3289
SMYD1	0.20075
BEX5	0.016
ZNF192	-0.3705
SEC22A	-0.107
GRIA2	0.21
KIAA0825	-0.78975
NUSAP1	-2.40736363636364
LANCL1	-0.13325
C15orf40	-0.1344
ZNF645	-0.398125
GPR61	-0.721
NLRP14	-0.9025
SNX21	0.4852
C1QTNF8	-0.5935
C17orf46	-0.255
IFNA8	0.0425
SPRR1B	-0.798833333333334
FLRT1	-0.069
SNX17	-0.363833333333333
ASB2	0.5665
HBG1	-8.033
RPRML	-1.66975
JOSD2	-0.222833333333333
PLSCR3	-0.15025
SPOCD1	-1.2545
RAB39	-0.268
GHRH	-0.678833333333333
ITIH5L	-0.5685
C17orf37	0.68925
SMCR8	-0.3015
DPY19L2P3	-0.231333333333333
IL11RA	0.0926666666666667
GDF3	-5.02366666666667
RPS6KB1	-1.07325
DNAJC19	-0.0571
TOP1	0.144
CRCT1	-0.305625
MPST	1.05025
DPM2	-0.25875
FAM38B	-0.772666666666667
SLC18A1	-0.466333333333333
FARP1	0.550666666666667
PAX7	-0.57475
TUBD1	-0.67075
GNL3	0.287625
BTG2	0.5064
NDUFS6	-0.71925
C1orf79	0.1575
ERAL1	-1.18025
ECHS1	0.9425
VPS4A	0.207166666666667
CYP11A1	-0.974
ABCC6	0.225928571428571
PBX4	2.0855
MOSC1	-0.341875
NCF4	-0.13275
HYMAI	0.8045
NAGPA	0.402875
OTOP2	-0.36775
ACOT12	0.29075
MTHFD2L	0.296875
LOC441376	-0.57725
C19orf34	0.2045
RAB1B	-0.02575
ALDOAP2	-1.0665
NTRK1	-1.76816666666667
ARTS-1	0.4694
SLC6A11	-0.1195
NAP1L2	-1.44975
CNGB1	-0.903
EPB41L4B	1.89691666666667
FAM134B	2.234
HS3ST3A1	-0.725
CPXM2	4.69
SIRPB2	-0.263
CHORDC1	-1.2205
TRIB3	-0.773833333333333
SLC2A5	0.4225
C2orf49	-0.5965
DDX5	-0.454
OR5L1	1.249
ANAPC4	0.269666666666667
ZSWIM1	1.40075
LOC93622	-0.86625
KCNK3	-0.4619
RP11-35N6.1	-1.86757142857143
ZFP161	-0.0456666666666667
AQP9	1.55625
SLC15A2	-0.459333333333333
MREG	-1.53516666666667
OR9I1	0.1625
PDLIM2	-0.180875
ADAM7	0.045
GSTCD	-0.182666666666667
WDR21A	-0.376875
SLC12A8	1.42033333333333
TMEM174	-0.587
IGSF3	-0.23
LRRN1	-2.19125
LOC402117	-0.287
SRPK1	-0.934666666666667
LY6K	-2.5241875
NFIA	2.8815
PTCD3	0.057625
LEP	0.0505
PCDH21	4.35266666666667
MAPKAPK2	-0.106214285714286
NMNAT1	0.976833333333333
LHFPL2	-0.199625
C9orf43	0.6955
DIP2A	-0.616166666666667
ACTR8	0.548375
CCDC34	-0.1255
PTPN22	-0.7105
ITGA3	-1.25775
FAM129C	0.50575
RABGGTA	-0.733833333333333
UNC45B	0.214
KIAA1033	0.851
ZNF510	-0.0748333333333333
CYP2D6	0.630833333333333
SLC26A10	-1.0255
STX8	-0.79025
LUZP1	0.48625
WDR89	-0.4905
EIF4G3	0.8741
C5AR1	0.565875
ZNF623	-0.3015
A2M	1.416
TGM7	-0.3255
GRPEL1	0.0515
LMNB2	-1.9887
ROCK2	2.04733333333333
SNX16	0.399875
CCDC66	0.14
ANXA3	2.89275
KIAA1609	-0.153875
EED	-0.7555
RNF32	1.20333333333333
HES1	1.4732
CLC	-0.021
ISL1	1.296
KIAA0528	0.876875
MANEA	0.593125
C1orf61	-1.9835
hCG_2001000	0.273
RAPGEF6	-0.4714
KIAA0020	-0.3205
NEIL1	1.83625
C16orf45	-1.105
RBM10	-0.407666666666667
C10orf125	0.148875
MRS2L	-0.95175
DNAH17	-0.661375
C19orf10	-1.1565
C1orf160	0.18175
SLFN12	0.2245
EXOC3	-0.787666666666667
HIST3H3	0.6775
NCOR2	0.630666666666667
TNFRSF9	0.8545
MFSD8	0.119
ALX1	-3.98583333333333
NOL1	-0.73225
PODN	2.2015
TIAL1	-0.54575
HIST1H1E	-2.56375
NPY6R	0.06725
TM4SF4	-0.0725
CORO2A	0.09425
ETNK2	-0.605833333333333
APOE	-2.1418
ANGPT4	-0.3685
HDGF2	-1.74975
G30	0.1555
ST8SIA4	-0.301625
F2RL1	0.869625
FAM19A4	-3.52
CCAR1	-0.55325
B3GNT7	-0.19075
OPHN1	0.0843
DSCR6	-0.927
C21orf13	-0.175
GAS2L1	-0.479416666666667
RFX3	0.5495
COPS4	-0.25225
BCHE	-4.44566666666667
BCL2	1.015
HBZ	-5.67
ARL13B	-0.081125
MAPBPIP	0.4895
MYO15B	2.340125
SPZ1	0.46125
KIAA1324	0.972333333333333
PLCL2	-0.735125
C4orf29	0.155
WDFY2	-1.003125
ZNF284	-0.3245
NAALADL1	1.58
DUSP5	-1.05083333333333
PXDN	-0.338857142857143
SLMO1	-0.4445
TNXB	-0.3342
BIRC7	0.16825
A4GALT	0.347166666666667
TIMM22	-0.91425
FAM110C	0.7625
TOMM34	0.08275
ABHD9	-0.355
ADAM32	1.018
CRHBP	0.034
AQP2	-0.2665
LOC130355	0.649
ZNF187	0.115166666666667
ZNF816A	1.4285
F7	-0.1495
CNOT1	0.0254
SLC13A4	-0.62
ZBTB11	-0.68675
B3GALT5	0.60925
EXOC2	-0.517833333333333
IRS1	-1.2019
TMEM1	1.25066666666667
MRPL34	0.127333333333333
SAMM50	0.64625
CDC42EP3	1.504
HSF2	-0.8926
MFN2	0.76325
TSPAN7	-0.2245
NUCB1	0.48375
RHOH	-3.64825
ARL16	0.064
TACR1	-0.3225
SFRS5	-1.0305
SNX25	1.650875
RHBDF1	1.97866666666667
PCDH18	2.44
HMG1L1	-0.49175
MYO5C	1.327
MAPK10	1.0865
LDHAL6A	-0.100666666666667
NUDT12	0.357166666666667
NCAM1	-0.45875
GLIS2	-0.028
GGTL4	-0.43
DAPP1	-1.55025
ATF7	0.5965
KIAA0748	-1.39
NFIL3	0.02675
TM6SF1	-0.1302
SEZ6	-0.36075
NANOS3	-0.227833333333333
DNAJA3	1.1035
CLDN6	-1.7975
CIITA	2.1415
EPHA4	-0.133083333333333
FANCC	-0.0435
CMTM3	-0.962375
PSG3	-0.238375
MRPL15	0.18725
C21orf59	0.18
PLCXD2	-0.185
C2orf34	0.2795
UBE2L6	0.701375
MED14	0.467666666666667
HP1BP3	0.147
C6orf208	0.291
TPBG	-2.1775
OSR2	-2.253625
XPC	-0.1345
KLHL7	-1.4485
CCR3	0.0683333333333333
AGTPBP1	-0.373166666666667
PCSK6	-0.590666666666667
STAT5A	-0.4179
FAM18B	-0.25025
LONRF2	-3.3865
PTPN2	-0.496625
SF3A3	-0.827833333333333
EFCBP2	-0.442
HCFC1	-0.131333333333333
AHNAK	0.64825
ACTR5	0.31025
KIF14	-2.205
TENC1	1.05825
HEATR5B	0.917
YIPF2	-0.303333333333333
MYEOV2	-0.167166666666667
DUSP18	2.70825
KIAA1012	0.17375
AHR	0.8495
C17orf53	-2.19783333333333
PTPRH	0.21625
ATP6V1C1	0.0691
TAS2R3	-0.5765
LOC440356	0.02025
COQ10B	0.40925
PSMF1	-0.000833333333333371
SORBS2	3.14975
NFE2L2	0.7085
TMCO7	-0.07
SH3PXD2A	0.3173
SH2D2A	-0.62475
SPINK5	-1.28025
MRPS24	-0.47275
OPA3	-0.575875
TRAF7	0.913333333333333
C4orf35	-0.362166666666667
MT1G	0.648875
MGC39545	0.5595
HS1BP3	0.7942
OR2B2	-0.089
CHRM4	0.066
SFRP2	-2.99475
RIC3	-0.32775
ART1	0.022
C6orf1	-0.3065
DUS4L	-1.31625
C10orf104	0.722
TNFAIP6	1.5265
RTEL1	0.22125
CCT4	-0.7717
ZNF709	0.44625
CHMP6	0.0786666666666667
UPP2	0.09175
CYP19A1	-2.07185714285714
CD151	-0.2615
NDUFA13	-0.233166666666667
ARFRP1	0.439833333333333
FAM26B	0.88625
CRYBA1	0.1425
MRPL41	0.487166666666667
NPFFR2	-1.04725
HRH2	-0.2665
SCAMP3	-0.386833333333333
MTMR6	0.5373
MTG1	0.012
UBTD1	-0.334
CRABP1	-3.068
FLJ33790	0.4844
KIAA1908	-0.278166666666667
GPR158	1.162
PACSIN3	0.421666666666667
OMD	0.754333333333333
CATSPER1	-0.752666666666667
HOXB8	0.364625
FBXO46	1.408
OAS1	2.87866666666667
SVIL	0.987
PHB2	-1.037
ADCY3	1.796
NDRG2	1.296
ERMAP	1.5325
APBA2	-0.811333333333333
IGSF9	-0.33825
WNT6	-0.682785714285714
MYCBPAP	-0.19575
ATP2B2	-0.1817
CPVL	-1.9155
TRAM2	-0.809666666666667
NOP5/NOP58	0.13475
ZNRF4	-0.522
TLK1	0.00162499999999999
MTMR12	-0.350857142857143
ZNF384	-0.330666666666667
FAM9B	-0.8895
RPN1	0.3153
PMVK	-0.0355
EIF3D	0.325
SIX2	-1.41925
HPS1	0.908428571428571
RNF7	-0.38975
PSKH2	-0.1335
KCTD13	-0.505333333333333
CSMD3	-0.1454
FBF1	-0.187
IL8	-0.000124999999999991
SERPINB13	0.252166666666667
FBXL20	-0.15725
BLR1	-0.0695
SH2B1	-0.2895
RFNG	-1.104875
RAB20	1.76266666666667
RBM7	0.335
POLR1A	-0.690833333333333
TMPRSS4	-0.6645
TAF9	-1.20325
TERF2	0.541166666666667
TNFRSF1A	0.147583333333333
ACADVL	-0.207833333333333
GTF2H5	0.00949999999999999
EDG8	-0.192666666666667
C9orf140	-0.535125
UST6	0.0825
ZBTB8OS	0.28975
ZNF710	0.9145
GPR174	-0.991
ATP6V0A2	0.12425
KIAA0319L	0.2565
XKRX	0.9185
DOPEY2	1.7972
SDHD	-0.124916666666667
SUMF1	0.0395
OSM	1.41125
OPN3	-2.35
DAGLB	-0.595166666666667
PPFIBP1	0.51
TRIM63	-3.44075
C10orf53	0.224
LYPD3	-1.98366666666667
BCL7A	-0.064
AGER	-0.992166666666667
TCF19	-1.68225
SAT2	-0.22
PFTK1	-1.0785
GABRE	1.162
C15orf38	1.4845
FIS1	0.0345
KCNV2	-0.59475
CLPS	-0.41175
PPCDC	-0.878875
FOXN2	0.9785
NT5E	-2.8861
CD83	-0.309
IL18	0.0865
VPS16	0.77425
IGFBP2	-4.14066666666667
NOTCH2	-0.18875
SIGLEC1	0.832
CD93	4.001
SULF2	0.10525
CEP164	-0.05325
P53AIP1	0.453
TOR2A	-0.607333333333333
ZNF136	0.4795
MGP	1.761
CCDC144A	0.118666666666667
TRPC1	-1.141
SMS	-1.383
MAPK7	-1.02866666666667
RRAGC	1.03725
PARD6A	0.320166666666667
NUB1	0.912166666666667
SYNGR4	-0.52425
OR11H12	0.177
WIF1	2.638625
GCH1	0.234
OR11H4	0.4075
SLC44A5	-0.25
GPRIN2	1.722
LOC401431	1.12025
CPA4	-1.6234
MELK	-1.96444444444444
IL15RA	1.9315
CUL3	0.916875
HMBOX1	0.527
PODXL	-0.242
CCT6B	0.671666666666667
COMTD1	-0.68225
MUC20	2.774
GPX2	3.30925
ITK	-1.16
FBXL5	1.33375
C13orf27	-1.60125
DEFA5	3.1875
TRHDE	-0.3815
MTP18	-0.371166666666667
UQCRQ	-0.2047
ITGB2	0.0558333333333333
CSRP2BP	0.6475
TAS2R44	-0.2415
PHPT1	-0.351
FAM44C	-0.66025
ERH	-0.2215
MPHOSPH1	-0.931833333333333
MORC1	-0.32
PARVB	-0.56975
LAMA1	-2.39725
PGBD3	0.592
GIMAP6	4.08
AREG	0.467833333333333
LIPT1	0.88825
MGC99813	-1.634
C1orf201	0.5235
GRIN2A	-0.3459
MAN2C1	-0.620875
NSUN5	-1.11075
SF3B5	-0.178
MYC	-0.4565625
NRXN1	-0.485
ZNF18	-0.09075
SPDYA	0.0612499999999999
SLC37A1	1.3825
DECR2	1.09175
ANKRD38	0.318
SPTLC3	-1.72141666666667
SUPT16H	-1.26025
DTWD2	0.3425
ULBP1	-1.199
ZADH1	-0.142
OIP5	-2.14
IL10RB	1.18683333333333
OTUB2	0.042
VWA3A	-0.0888333333333333
SPIC	0.291333333333333
OR6C4	-0.217
PSCD4	0.729333333333333
DPY19L2P2	0.2215
TRAPPC6A	0.902333333333333
C21orf2	-0.892333333333333
CEMP1	1.466
LIN7B	-0.3165
E2F7	-2.25016666666667
VCP	-0.534625
LAMA3	2.14091666666667
BGN	0.54975
GPR160	2.72483333333333
COCH	-2.37483333333333
GPR81	-0.804333333333333
APOBEC3F	-0.372
tcag7.1017	-0.08475
C1orf32	-0.2425
SCGB1D2	1.42475
FLJ43987	-0.3925
C6orf170	1.0625
KLK9	-0.8085
GPD1L	0.446
VPS37B	1.07575
ATG3	0.1455
ADAMTS17	-0.3635
KLHDC2	-0.449
NDUFV2	-1.05675
BLK	-3.777
MATN4	-0.354
GPM6A	0.58875
GBP4	3.395
TMEM162	-0.241833333333333
PKP2	1.0325
HRASLS	-2.983875
MMP1	1.5625
SFXN3	0.1334
FSD1	-2.47066666666667
ST6GALNAC3	-0.8585
CA12	2.9105
NCOA6	2.27875
C19orf58	-0.7211
PPP4R1	-0.281833333333333
MAN1A2	0.824166666666667
IKBKAP	-0.73875
UPF1	0.463333333333333
KIAA1219	1.77425
WNT16	0.7416
SNW1	-0.66475
IL18RAP	1.89625
RPP30	-0.457875
CDC40	0.0752142857142857
SETD3	0.0718333333333333
SLAMF6	-0.44675
ELK4	0.5825
TRIM47	0.0591666666666667
ACOX3	1.153
TRIM6	-1.60825
KIAA0372	-0.2425
TP53AP1	0.423625
SMURF2	-0.0865
ADAD1	-0.299
EBP	-0.089
KRTAP13-2	-0.566
FLJ36874	0.529333333333333
TOR1A	-0.0216666666666667
P2RY4	-0.5575
GPBP1	-0.733
TRPV1	-0.012125
ADAMTS12	-0.260666666666667
PES1	-0.5575
ATG4A	0.374166666666667
MAGEA10	-5.711
WFS1	2.21925
CC2D1B	0.333666666666667
PABPN1	-0.596
SLC25A30	0.34025
SLCO1C1	0.553166666666667
SLC22A5	1.42875
KIF23	-2.631
SYN2	-0.1905
ASPN	5.45366666666667
CENTG2	1.59925
QSOX2	-0.0577
FLJ10815	-0.0848333333333333
STK24	0.4724375
SPEG	0.3825
STK10	-0.0431666666666667
DACT2	1.577
AAAS	-1.2085
SSX3	-0.836875
ABCD3	1.3113
C4orf12	0.128375
PARVG	2.67033333333333
FIG4	0.401
C9orf46	0.826
TMCO6	-1.0705
IGHMBP2	-0.913
DUS2L	-0.958166666666667
FAM3C	0.3254375
TMEM16D	-1.305125
DCTN4	-0.08925
KCNH3	-0.2055
EIF2AK2	1.288
AP1S3	0.337375
CST4	0.902
PAM	-0.173
NUTF2	-0.59675
CITED2	-1.4394
