Hybridization REF	TCGA-AA-A01C-01A-01R-A00A-07
WDR24	0.13725
NPTX2	3.40825
CBLB	0.912166666666667
CETN1	0.3658
RPUSD1	0.558
FAF1	-0.625
CDK6	-1.1194
HMX2	0.546
CSK	-0.422166666666667
TEAD2	-0.40175
SNAP25	-1.15625
TUFT1	0.786
TMTC3	0.0416666666666667
LCK	-2.524
SGOL1	-0.515666666666667
AKTIP	-0.0245
FURIN	-0.07175
SOX12	-0.860166666666667
DEFB103A	-0.683
RAMP1	0.69525
KIR3DX1	0.7455
GAS2L3	-0.09675
PDE8A	-0.6778
EDN3	3.34275
GMIP	1.25
SF3A2	0.52125
FN3KRP	-0.0385
SMAD7	-0.2435
RHBDD2	0.30225
OR11H6	1.161
PPP1R3B	1.1486
C9orf23	1.16275
CADPS	3.577
GOLGA8A	-3.430375
TMEM57	0.2475
RGL3	-2.517
S100A14	1.02875
FGFR2	0.40225
XRCC3	-0.10825
RTN4RL2	0.41975
MGC3771	-0.4855
GH2	0.363666666666667
BTBD2	0.39375
LMO2	-1.6625
RDBP	-0.249
ACRBP	-1.82725
AMY2A	1.659
DUOXA1	0.885
PTK7	1.40683333333333
TWF2	-0.5055
FAM80A	1.096
TNNI2	-3.627
GLT25D1	-0.135
OCC-1	0.02375
CYC1	-0.3065
RPL22	0.112318181818182
MORN3	-1.286
DISP1	-0.94875
PRB2	0.029
CHUK	-0.73925
HR	1.9415
CCDC134	-0.2385
DENND4B	-1.35025
C14orf130	-0.17725
RAB33A	-2.2415
DCST2	0.408
TNMD	0.98975
PEX7	0.8765
FAM62A	0.32075
SRD5A2L	-1.24925
IL22	-0.159
RPS26	-0.1205
HOXC5	-0.3795
SPATA6	-0.42175
FLJ38482	0.70025
ZNF234	1.253
C18orf22	-0.5685
SPATA22	0.32675
THOC1	-1.0505
CYP7B1	1.74775
KCNC3	-0.00875000000000001
C8orf42	-2.0445
ALDH1B1	3.23016666666667
CCDC100	-0.3907
ARMC4	-2.7975
FAM18B2	-0.734
SLC44A1	1.26275
FBXO17	-2.05433333333333
C6orf107	-0.405
C19orf29	-0.228
ZC3HAV1L	0.70225
PARP6	-0.674
SULT2A1	-4.03125
C1orf159	-0.6925
TMC1	0.522
CHST14	-0.913125
GAMT	-3.591
SMCP	0.104333333333333
TSPAN33	-0.49575
MIDN	0.621375
NOX4	0.8645
RNASEN	-0.4657
TBX1	-2.29633333333333
SALL2	-3.49
C10orf35	0.722
CYP2E1	-1.9595
LRFN2	0.251833333333333
ACO1	-0.759666666666667
IQCG	-1.0406
MEGF9	0.20275
TM7SF4	-0.194666666666667
PLEKHA1	1.3762
STK33	-3.40275
C1orf210	1.7035
SNUPN	-0.9211
KIAA0406	-0.402
C20orf29	1.2465
TMEM55B	0.2515
OSTM1	-1.25175
CLCN7	0.16375
OTP	0.0675
FLJ23049	-2.03133333333333
HEATR4	0.6365
MAP3K10	0.8835
PCDHGA9	0.3555
AMDHD2	-0.79625
LCTL	-1.338
PDCD2L	-0.23875
CABLES2	-0.19075
SLC5A9	-0.09
CLCA2	-1.8335
MGC16025	-0.109
STRAP	-1.11333333333333
C20orf196	2.1995
RRBP1	2.342
NAT13	-0.33275
MAT2B	-0.07975
CSNK1D	-0.965833333333333
KIR3DL1	0.445
PRKAG3	-0.0219999999999999
ZNF599	-0.2235
PRM3	0.9935
PER2	1.12883333333333
ASPHD1	-0.189
PRMT6	-0.6285
KCNE1L	-0.202
FAM118A	0.2335
TAF4	0.789
NDUFB6	0.05025
TRIM9	-1.63683333333333
PMFBP1	1.69575
KY	0.0445
DKFZp762E1312	-0.834090909090909
CSMD1	-1.4925
TBP	-0.459666666666667
OR1Q1	0.194166666666667
RETNLB	5.21525
HPGD	1.12107692307692
DNAJC12	-1.7835
FKBP1B	-1.83875
ANKRD24	-0.372333333333333
CXXC5	0.754333333333333
IL3	0.10125
DRAM	0.2119
PTCH1	0.91525
TP53BP1	-0.543
SLC17A7	0.179142857142857
COL25A1	-1.3324
AMACR	2.25316666666667
RHCG	1.87625
VPS13A	0.06025
FAM55D	7.6875
PRPF38B	-0.2195
OSBPL6	-2.87925
PFDN5	0.1096
CMTM6	0.228
KCNK12	-1.456
RP2	0.29175
C16orf52	-0.49825
PICK1	-0.346
IFNE1	-1.3596
SEMA4B	0.0265
TYRO3	-1.61625
OR12D2	0.143
CSNK1A1	0.38355
FANCF	1.8015
LONP2	0.521375
TBL1Y	-1.293
LDOC1L	-0.456
CCNC	-0.29625
C3orf60	-0.0295
CHKA	-0.90225
UBAP1	0.54425
MAP3K1	-0.683
ANKRD9	-0.3365
FAM92A1	-0.0423333333333334
GAB2	0.350125
AZU1	-0.10875
DIS3	0.138
C21orf109	-1.46925
IQCB1	-0.53425
SPATS2	-0.930166666666667
EFCAB3	0.35025
PRB3	0.635875
FUZ	-0.184166666666667
ZNF813	0.461125
BMPER	-1.23183333333333
HEG1	-0.673875
ALS2CR11	-2.24925
SURF2	0.13075
PSMC1	0.0671666666666667
OR2D2	0.7265
SLC7A8	1.20116666666667
C4orf40	-0.1405
SPATA7	0.1295
MAZ	0.2885
PIN4	0.0225
PDE1A	-1.562375
TAF6L	-0.0326666666666667
OR2T34	0.4005
KIAA0284	0.585
ACADS	0.754090909090909
MKRN2	-0.9525
C18orf56	-0.4605
MS4A6E	0.2085
GALNT4	3.4561
C22orf31	0.2295
FLJ36070	0.312
PSME4	-0.54075
TFG	-0.2014
EPHX2	1.92975
ANXA5	-0.8115
KRTAP1-1	-0.0626
BATF	-1.352
KARS	-0.53875
MSTP9	-0.449
GPR26	0.119125
CCDC72	0.591
TEF	-0.0228333333333333
FOXK1	-0.2668
PRLHR	0.876
EMX1	0.7465
C11orf30	-0.318125
ICK	0.466875
THSD7B	-0.35175
C21orf100	-1.3385
DUOX1	1.0865
EFCAB4B	0.07075
UBE2G2	-0.985333333333334
C3orf54	0.04375
PARP1	-2.004
FAM60A	-0.206083333333333
C6orf146	0.788
OR9K2	0.1865
DDX55	-0.779166666666667
RPS15	0.881
ZNF618	-0.6976875
DKFZp686D0972	1.02975
SSPO	-1.3735
SHFM3P1	-0.304
CPA6	-2.33
JAG2	0.37475
DEFA3	0.991
PPBPL2	0.404166666666667
CD34	3.313125
SLCO4A1	0.618
AFG3L1	-0.8535
SHD	2.66625
RP13-122B23.3	-0.313666666666667
PRKCSH	-0.411833333333333
DPH5	-0.8365
HLA-F	2.105
TBC1D4	0.71525
RIG	0.268833333333333
GLUD1	-0.1405
HNRPCL1	-0.98675
HBXIP	-0.86075
RNF207	-0.5445
APIP	1.21375
PLA2G3	0.830333333333333
CCDC84	-0.3415
MYLIP	-0.427
PHIP	-0.54775
AARS2	-0.0933333333333333
DHX32	0.25575
SCAPER	-0.859
MEN1	-0.77325
NIP7	0.1115
FLJ25404	0.912
FASTKD3	-0.2885
TMEM158	-1.15733333333333
RARA	1.0145
BDH1	1.5065
ANKRD16	-0.43025
CARM1	1.3155
SS18	-1.22716666666667
IKZF2	-1.55783333333333
MYD88	0.16075
PML	0.20785
TAF1A	-1.91575
CBFB	0.184
HIST1H3H	-1.08016666666667
C7orf29	-0.36775
COMMD4	-0.8595
DPP3	-0.12625
DAB2	0.58925
LOC388882	0.2425
YPEL4	-1.250625
AGBL3	0.81925
LRP6	0.4211
SERPINH1	0.03425
TLE1	0.72625
CD244	0.019
ZDHHC15	-1.30625
MGLL	-0.0605
PLDN	-0.401166666666667
LOC654346	3.2235
FAP	1.52225
GPR37	-1.79266666666667
SCARA5	0.62
EBF4	0.268545454545455
LSM6	0.022
MLLT1	-0.2086875
SLC5A12	-1.191
A2BP1	0.694333333333333
COPS5	-0.672166666666667
TPM4	0.636285714285714
TNFSF4	1.21166666666667
ACADSB	-0.314222222222222
HERPUD1	-0.31625
BCL2L11	-1.36822222222222
CEP78	-0.797875
CDCA3	-0.07375
WBSCR19	-0.3633
MYO1A	4.424
PPEF1	0.221
LOC440348	-0.50375
CPEB2	-0.407625
BPTF	-0.6855
RPL21	0.58
GSX2	0.594
ADPRH	0.751833333333333
C17orf68	-0.578333333333333
KCNS1	-0.922
MLLT6	0.4201
PIWIL4	2.569
RNF26	-0.087
RAP1B	-0.187125
ADAMTS1	-2.9546
ZNF571	-0.0385
P2RY6	-0.373
TRIM21	1.1955
CADM3	0.216
NLRC5	1.684
ADRA2B	0.4275
LOC90835	-0.45025
PCF11	-1.17225
LOC400451	-0.36575
GLTSCR1	0.8734
C17orf88	-0.3415
CDH16	-1.03025
FGF7	1.18625
PCSK4	0.3375
NPC1L1	-0.79
TAT	0.362125
TBCA	-0.691
MGC33407	-0.368
GPR115	1.710125
CYGB	0.3165
FNBP4	-0.7895
C12orf43	-0.1125
CBL	-0.2126
CLECL1	-0.8235
PPAPDC1A	1.63075
WDR25	-0.235166666666667
SGCA	1.3875
C22orf29	-0.832
YIPF1	0.02875
GALK2	0.112
RAB3B	-2.87683333333333
LOC440087	-0.5975
UCP1	0.1265
REEP5	0.067125
FADD	-0.6164
FOXA1	-2.115625
CACNA1A	0.543666666666667
ABI1	0.525166666666667
GRIN2D	0.825
SLC1A4	0.134333333333333
LOC401127	-0.281
HINT2	0.412
PLD4	-0.423833333333333
ZNF286A	-1.17275
ENY2	-0.609
IL1F6	0.064
PXDNL	-0.06925
C20orf79	0.544333333333333
TNFSF13B	0.996166666666667
DENND3	0.321875
JARID1D	0.067
HIST1H2AK	0.781
LOC93349	-0.1428
SSH1	-0.8273
ENSA	-0.49575
LOC219854	-0.499333333333333
CKAP2	0.3032
DKFZP564J102	1.653
MGC87315	0.138166666666667
HNRPAB	-0.27075
AMH	-2.266
ZNF526	0.9135
BRUNOL5	-0.1999
CACNG3	0.211833333333333
TRPM1	-1.6465
PPP2R1A	0.542375
COL2A1	-1.48925
DDN	0.313
FLJ25770	0.0896666666666667
HK2	-0.331785714285714
ELOVL6	-0.55975
MDK	-0.47
EPHX1	-1.50375
RASSF2	0.1285
DKFZP434B0335	-0.175
DLX3	-0.0726250000000001
PRTN3	-0.70125
AVPR1A	0.137
C21orf125	-1.27075
TNFAIP8	-2.05483333333333
GNB2L1	-0.4835
CALCRL	1.18175
SCGB2A2	0.322
UBXD7	-0.0925
ZNF674	-0.0365
TMEM35	0.849625
BRSK2	1.622125
HECTD3	-0.0245
TMEM188	0.16525
LGALS9	3.2475
SCARB2	-0.01575
USP34	-0.842583333333333
C17orf28	0.194583333333333
ZDHHC23	0.688
AQP12B	4.269
SLC16A3	-0.80075
APLP2	-0.061375
ITIH2	-6.04325
MICAL3	0.294625
TNNI3K	-0.3036
HDAC2	0.37375
PRR7	0.6639
THBS2	-0.09575
LOC751071	-0.401833333333333
CA2	-1.00216666666667
RANBP17	1.24975
RLN3	0.272
CRYZ	-1.55266666666667
GBAS	-0.296166666666667
TAS1R1	-0.541
MPZL3	0.679
PCDH8	-1.0295
HSP90B1	-0.191333333333333
KCNK15	-0.4555
TNIP2	-0.595666666666667
GPR146	-1.518
NOL6	-0.00699999999999999
SPC25	-0.706444444444445
STEAP2	2.29178571428571
VAMP3	-0.504
TCIRG1	-0.58875
ZP4	-1.11316666666667
PARL	-0.648714285714286
TRIM39	-0.240166666666667
KIAA1305	2.67675
CRNN	0.378166666666667
GRN	-0.016
HSH2D	0.26425
SCAMP1	-0.1999375
KIAA1913	2.407
PTS	-0.3135
BANP	-0.238285714285714
PRKACG	0.1465
ADCY6	0.385666666666667
C16orf46	-0.475
CYP51A1	0.527625
DDC	4.19225
ANPEP	-2.05583333333333
PROM1	3.03616666666667
SIGLEC10	0.71175
COPG	0.896
FAM26E	0.34875
TRIP4	-0.2805
SNX3	-0.776166666666667
C1orf175	0.9485
PPY2	-0.82675
C14orf152	0.5075
FTSJ1	-0.821833333333333
DST	-0.0694736842105263
LOC554235	0.0935
GLRX5	-0.397
C20orf12	0.9799
CAB39	0.5475
MSH2	-1.11866666666667
PIP4K2C	0.69725
CYLD	-0.079125
WTAP	0.27
MGAT4A	0.271666666666667
TSC22D4	-0.4112
CHRM2	1.2
PPYR1	0.581833333333333
CCNH	0.0268333333333333
RRM1	-0.2795
ECAT8	-3.81475
LOC400120	-0.30725
GABRA4	0.732875
C14orf4	0.648
C1orf59	0.2575
CTDSPL	0.388416666666667
NHEDC2	-1.619
PDE11A	-1.0595
KLHL29	1.27625
CD5	-0.0858
TSPAN9	0.477733333333333
WDR67	-0.92225
THUMPD1	0.4713
C18orf17	-2.94325
CLYBL	0.6875
FLJ13231	-1.658
CMBL	-2.42575
LECT2	-0.54375
NKAPL	1.12883333333333
LOC654780	0.452
OR4C6	0.6025
RAB30	-0.72
TSSK4	0.3395
TMEM163	-0.7615
OSBPL11	0.567166666666667
GNB5	-2.85283333333333
CCL21	1.4325
C1orf121	-0.321833333333333
FMO2	0.5525
RPTN	null
MSTN	1.4815
VCL	0.727928571428571
FYTTD1	-0.8275
C11orf1	0.278
CCDC88C	0.1421875
HFE	-0.224944444444444
MOGAT1	0.767
FAM125B	0.601333333333333
IRGQ	0.2085
RAVER2	0.818
AKAP5	-0.483
SSSCA1	-0.244
C11orf63	-1.31083333333333
ACTG2	3.4351
PORCN	-1.3375
DTL	-1.57154545454545
TMEM151	0.73325
FAM122C	-1.09775
RSAD2	0.9734
BAT4	-0.6895
KRTDAP	-1.80583333333333
MYH8	-0.331875
CRTC3	-0.10425
LRRFIP2	0.7114
INTS4	-0.7345
TTN	-2.7808
SLC26A5	0.6575
PLLP	-1.60175
RGS6	-1.09942857142857
SRGAP3	0.316375
ZNF525	0.465333333333333
NBR2	0.737166666666667
C13orf1	1.3194
ZNF137	0.0865
CEP27	-0.78925
BEST2	0.6885
RNF121	-0.2675
DMRTC2	-0.29725
C8orf76	-0.82125
BCCIP	-0.368875
MEST	0.9455
HTRA2	-0.219
ANGPTL2	0.085
ILKAP	0.110333333333333
ERAS	0.549
HBS1L	-0.36025
CPA5	0.5875
TMEM30A	-0.4065
CD300LF	1.6255
WISP3	-0.31
CRK	0.177285714285714
PDS5A	-0.9568
BRPF3	0.657
NEDD9	-0.445
SMPDL3B	1.34625
PSG6	2.442
PSMD13	-0.04775
ETV5	-2.8600625
OR51A4	-0.5985
BTBD7	0.806916666666667
GSTO1	-0.262
hCG_16001	1.16
MAD2L1BP	-0.255666666666667
COX6A2	1.166
SCNN1A	2.97733333333333
LSM1	-0.287166666666667
UGT2B11	-1.34
IDUA	-0.61175
PPP2R3C	-0.674666666666667
COX11	-0.143333333333333
PDZK1	-5.201
ZNF443	0.903166666666667
MGC21874	-0.295333333333333
ZNF323	0.4675
KRTAP10-10	0.501
CXCL6	1.3585
SLC34A2	0.6355
LOC284402	0.546
NPTN	0.1385
UPP1	-1.64416666666667
SLC6A9	-0.792
OR7G3	-0.84275
CISD1	0.0598333333333333
ZNF545	-2.6335
SYT14	-0.21
NT5C3L	-0.951166666666667
ZNHIT3	-0.0355
SNRPD3	-0.22175
KIAA0701	-0.81725
UNC93B1	0.518833333333333
GMNN	-0.760875
SPCS2	0.282833333333333
LOC388524	0.676
NAPRT1	0.171
PNLIPRP1	-0.680666666666667
OR6V1	0.5355
PRKAB1	1.48
EYA4	-1.19433333333333
KIF20A	-1.63075
ALG10	0.06325
ITPKC	1.015
LMX1B	-0.170166666666667
RPUSD4	0.0685
C7orf34	-0.399833333333333
DLGAP2	0.5735
PFN1	0.000699999999999998
MICALL2	-1.16525
ZNF654	-0.543
SS18L1	-0.488125
SLC16A8	0.4345
MKI67IP	0.0863333333333334
ITGB3	-0.665375
TCEA3	1.5815
CEP152	-1.0436875
CLIP1	-0.1895
ZNF75	0.357375
ATP5C1	-0.411166666666667
NUDT5	-0.250166666666667
PSCDBP	-1.0015
UBP1	0.4655
RBM27	-0.2255
C13orf15	1.505875
ZNF282	0.133666666666667
ZNF222	-0.9583
COL10A1	6.181
PRDM15	-1.07375
TTTY5	0.165
FAM9C	-0.258
C20orf67	0.48
GNG13	0.1105
F12	1.3355
C1orf41	-1.19375
CPXCR1	0.517
GSK3A	-0.043
SUPT6H	-0.420166666666667
PI16	-1.05866666666667
ELL2	-1.82716666666667
C9orf167	1.08266666666667
PVRL3	-0.3235
FLJ38596	-0.179333333333333
ADAM20	-0.07025
GPR89A	-1.0175
GPR87	-4.371
ZNF30	-0.64375
SMR3B	0.1445
ZNF770	-0.440625
TRPC4AP	-0.205833333333333
DKFZP686E2158	1.06
C2orf28	-0.260666666666667
FREM1	1.04966666666667
LAMA4	0.513333333333333
ADPRHL2	-0.4425
EIF4G2	0.362
GUCA1A	0.283
CTNNA2	0.602
NUDT15	0.8815
CEPT1	-0.550666666666667
ZNFX1	0.3749
CCDC92	0.65425
TDRD1	-0.321
KCNK5	1.83933333333333
ETNK1	-0.404
LTA	0.589
TTPA	1.5925
B3GALNT2	-0.74625
SC65	-0.445833333333333
PEX5L	-1.499125
EPS15L1	-0.72725
MGEA5	0.067875
HIST1H3A	0.478
ING1	0.787875
BCAT1	-3.56828571428571
ORC6L	-1.00054545454545
KLK11	-5.02683333333333
C19orf28	-0.424875
DNER	-4.395
MED22	-0.878928571428571
ETV6	1.29058333333333
CHAC2	-1.83775
CD300E	0.398
CEBPB	0.161416666666667
ZNF398	-0.27475
LRCH3	-0.2105
HMGA1	-0.411333333333333
CAPN7	-0.600833333333333
MGC5566	-2.458
CCL3	2.301375
NANOS1	-1.610625
ZFYVE19	-1.2255
APITD1	-0.705833333333333
PARD3	0.8725
IRAK4	-0.436
SERPINI2	-0.0335
CEP170L	-2.04
TTC9	-1.11214285714286
MYOM3	1.88075
MLPH	-3.069125
LOC222699	-0.5845
NRG1	-1.60272727272727
TBC1D9	-2.636
TTK	-0.5975
ZNF557	0.4304
DDX41	-0.734333333333333
FANK1	0.4725
UBE2D2	-0.0585
PSMB10	1.7235
MYH7B	2.381
GABARAPL2	-0.77875
MARVELD2	2.66633333333333
DGCR2	0.530333333333333
UNC45A	-0.482666666666667
C6orf72	-0.139
ZNF683	0.98275
GIT2	-0.506
CASK	1.989
C14orf161	0.398833333333333
LRRC44	-0.04425
TIFA	-1.23775
UTP11L	-0.994125
C6orf65	-1.7585
FDPS	-0.959
DUSP9	-1.6926
SLC17A8	0.402333333333333
OR51G1	0.317166666666667
NANS	0.82375
OLFML1	1.2765
ATP10B	4.4535
NPAS3	-1.93625
PRKCA	-0.4787
GGA2	-0.21175
LCE4A	0.498
SPANXN3	0.425333333333333
CCDC115	0.739125
SDCCAG3	-0.66
GLIPR1L1	0.59775
TTC1	0.281
C17orf76	4.1005
MAD2L2	-2.32575
HIPK1	-0.3835
LRRC3B	-0.266333333333333
CLN3	0.0358181818181818
C17orf47	0.3315
FMN2	-4.04257142857143
TUBB1	-1.61175
WAPAL	0.0141666666666667
C3orf21	-0.392875
SCN5A	-0.2972
SMYD1	0.213
BEX5	0.23475
ZNF192	-0.68
SEC22A	-0.403333333333333
GRIA2	0.181615384615385
KIAA0825	-1.25575
NUSAP1	-1.64063636363636
LANCL1	-0.619625
C15orf40	-0.5853
ZNF645	0.196714285714286
GPR61	0.588
NLRP14	0.2125
SNX21	-0.1861
C1QTNF8	0.708
C17orf46	0.17825
IFNA8	0.2725
SPRR1B	-1.5204
FLRT1	-0.036
SNX17	-0.905333333333333
ASB2	0.449166666666667
HBG1	-6.7745
RPRML	1.65075
JOSD2	0.524333333333333
PLSCR3	0.02325
SPOCD1	-0.174166666666667
RAB39	-0.336
GHRH	-0.243333333333333
ITIH5L	-0.2155
C17orf37	0.7335
SMCR8	-0.09675
DPY19L2P3	-0.798
IL11RA	-0.139166666666667
GDF3	-4.54633333333333
RPS6KB1	-1.65566666666667
DNAJC19	0.1373
TOP1	0.236
CRCT1	1.63525
MPST	1.365125
DPM2	0.677625
FAM38B	-3.15016666666667
SLC18A1	-0.725666666666667
FARP1	1.15116666666667
PAX7	0.21325
TUBD1	-1.23475
GNL3	0.20575
BTG2	1.342
NDUFS6	-0.21575
C1orf79	-0.8555
ERAL1	-0.2515
ECHS1	0.7805
VPS4A	0.128
CYP11A1	-0.982625
ABCC6	0.139714285714286
PBX4	-0.064
MOSC1	0.34
NCF4	1.2075
HYMAI	0.4085
NAGPA	0.494625
OTOP2	0.29675
ACOT12	0.00774999999999999
MTHFD2L	-1.33225
LOC441376	-1.69375
C19orf34	-0.8215
RAB1B	-0.24225
ALDOAP2	-0.291
NTRK1	-2.22383333333333
ARTS-1	-0.7028
SLC6A11	-0.8825
NAP1L2	-3.30325
CNGB1	0.0355
EPB41L4B	1.82316666666667
FAM134B	2.556625
HS3ST3A1	-0.735666666666667
CPXM2	3.09425
SIRPB2	0.1
CHORDC1	-0.157333333333333
TRIB3	0.112333333333333
SLC2A5	0.013
C2orf49	0.0736666666666667
DDX5	-0.938
OR5L1	1.5695
ANAPC4	-0.474666666666667
ZSWIM1	1.449375
LOC93622	-0.804125
KCNK3	-0.1443
RP11-35N6.1	-0.58675
ZFP161	-0.572833333333333
AQP9	2.1385
SLC15A2	-0.334666666666667
MREG	-2.285
OR9I1	0.5215
PDLIM2	-0.066
ADAM7	0.4545
GSTCD	-0.301833333333333
WDR21A	0.290625
SLC12A8	0.908
TMEM174	0.34
IGSF3	-0.39325
LRRN1	-2.69225
LOC402117	-0.1365
SRPK1	0.614
LY6K	-2.5875
NFIA	1.2265
PTCD3	0.5095
LEP	0.689833333333333
PCDH21	4.42766666666667
MAPKAPK2	-0.224785714285714
NMNAT1	0.329166666666667
LHFPL2	-0.37075
C9orf43	0.20675
DIP2A	-1.27583333333333
ACTR8	0.398875
CCDC34	-0.3845
PTPN22	-1.414875
ITGA3	-0.449125
FAM129C	0.252
RABGGTA	-0.0075
UNC45B	-0.39325
KIAA1033	-0.323875
ZNF510	0.0295
CYP2D6	-0.259166666666667
SLC26A10	-2.215
STX8	-0.42725
LUZP1	0.386375
WDR89	-0.0315
EIF4G3	-0.5554
C5AR1	0.191
ZNF623	-0.743
A2M	-0.43625
TGM7	0.231
GRPEL1	0.0473333333333333
LMNB2	0.1185
ROCK2	1.89933333333333
SNX16	-0.516875
CCDC66	-0.60725
ANXA3	2.48325
KIAA1609	0.276875
EED	-0.725
RNF32	0.523166666666667
HES1	1.5096
CLC	2.24866666666667
ISL1	-0.329166666666667
KIAA0528	0.220875
MANEA	-0.407
C1orf61	-2.251
hCG_2001000	1.089
RAPGEF6	-0.3934
KIAA0020	0.3785
NEIL1	0.77375
C16orf45	-1.813375
RBM10	0.347166666666667
C10orf125	0.1355
MRS2L	-0.4175
DNAH17	-0.46125
C19orf10	-0.3055
C1orf160	0.4695
SLFN12	-1.4835
EXOC3	-0.00466666666666667
HIST3H3	-0.13725
NCOR2	-0.0688333333333333
TNFRSF9	0.62625
MFSD8	-0.89925
ALX1	-4.388
NOL1	-0.62525
PODN	1.8175
TIAL1	-1.12425
HIST1H1E	-1.19075
NPY6R	0.13175
TM4SF4	1.01925
CORO2A	0.949
ETNK2	-1.88433333333333
APOE	-0.8825
ANGPT4	0.7905
HDGF2	-0.351
G30	2.1325
ST8SIA4	-1.08014285714286
F2RL1	3.25125
FAM19A4	-4.023
CCAR1	-0.33725
B3GNT7	0.56975
OPHN1	-0.1628
DSCR6	1.0975
C21orf13	-1.207
GAS2L1	-0.608083333333333
RFX3	-0.1685
COPS4	-1.29575
BCHE	-5.04916666666667
BCL2	-0.796375
HBZ	-3.76183333333333
ARL13B	-0.69825
MAPBPIP	0.034875
MYO15B	3.069875
SPZ1	0.899
KIAA1324	1.68222222222222
PLCL2	-2.224125
C4orf29	-1.4685
WDFY2	-1.632375
ZNF284	-0.2705
NAALADL1	0.357
DUSP5	-1.14533333333333
PXDN	-0.65225
SLMO1	0.145
TNXB	0.9038
BIRC7	-0.78825
A4GALT	0.411333333333333
TIMM22	-0.169
FAM110C	1.711
TOMM34	0.38
ABHD9	0.6705
ADAM32	0.728
CRHBP	-1.3065
AQP2	0.476
LOC130355	-0.20675
ZNF187	-0.727333333333333
ZNF816A	0.892
F7	-0.788
CNOT1	0.5222
SLC13A4	-1.85825
ZBTB11	-0.73375
B3GALT5	-0.34525
EXOC2	0.1265
IRS1	-0.2624
TMEM1	0.518666666666667
MRPL34	-0.254166666666667
SAMM50	-0.63025
CDC42EP3	-0.561625
HSF2	-1.2615
MFN2	-0.5855
TSPAN7	-2.05683333333333
NUCB1	0.359583333333333
RHOH	-3.5685
ARL16	-0.032
TACR1	0.21075
SFRS5	0.0601666666666667
SNX25	0.343125
RHBDF1	0.788666666666667
PCDH18	2.5535
HMG1L1	1.04675
MYO5C	1.214125
MAPK10	0.1545
LDHAL6A	0.377166666666667
NUDT12	0.0366666666666667
NCAM1	-0.049375
GLIS2	0.4525
GGTL4	-0.6765
DAPP1	-2.31725
ATF7	0.37775
KIAA0748	-1.7785
NFIL3	-0.676
TM6SF1	-1.33933333333333
SEZ6	0.1825
NANOS3	2.09683333333333
DNAJA3	0.3125
CLDN6	-1.5755
CIITA	1.1971
EPHA4	-2.13725
FANCC	1.39675
CMTM3	-0.70825
PSG3	-0.447875
MRPL15	-0.22375
C21orf59	-0.3545
PLCXD2	0.3875
C2orf34	0.596
UBE2L6	-0.11525
MED14	0.321
HP1BP3	-0.8361
C6orf208	0.47
TPBG	-2.102
OSR2	-2.04725
XPC	-0.126166666666667
KLHL7	-1.16383333333333
CCR3	0.1565
AGTPBP1	-0.3025
PCSK6	-1.45566666666667
STAT5A	-1.6634
FAM18B	-0.2385
LONRF2	-4.07616666666667
PTPN2	-0.33225
SF3A3	-0.7415
EFCBP2	-0.0283333333333333
HCFC1	-0.614666666666667
AHNAK	-0.40525
ACTR5	0.4755
KIF14	-2.08942857142857
TENC1	-0.05025
HEATR5B	-0.2245
YIPF2	0.2475
MYEOV2	0.388333333333333
DUSP18	2.12025
KIAA1012	-1.0715
AHR	-0.462166666666667
C17orf53	-0.603
PTPRH	0.60675
ATP6V1C1	-0.8408
TAS2R3	0.355
LOC440356	-1.52575
COQ10B	-0.316
PSMF1	1.293
SORBS2	1.86725
NFE2L2	-0.1775
TMCO7	0.37225
SH3PXD2A	0.4522
SH2D2A	-0.01375
SPINK5	0.69575
MRPS24	-0.19075
OPA3	0.61775
TRAF7	-0.483
C4orf35	-0.129
MT1G	-1.076625
MGC39545	0.04225
HS1BP3	0.4055
OR2B2	0.303
CHRM4	-0.457
SFRP2	-0.343166666666667
RIC3	-3.1725
ART1	0.2995
C6orf1	-0.591125
DUS4L	-0.60775
C10orf104	0.29975
TNFAIP6	1.39025
RTEL1	1.22075
CCT4	-0.7497
ZNF709	-0.01925
CHMP6	-0.0556666666666667
UPP2	0.15025
CYP19A1	-2.844875
CD151	0.279
NDUFA13	0.157
ARFRP1	-0.329333333333333
FAM26B	-0.31575
CRYBA1	-0.9185
MRPL41	0.430166666666667
NPFFR2	-1.50114285714286
HRH2	0.406
SCAMP3	-0.924166666666667
MTMR6	0.3845
MTG1	-0.5455
UBTD1	-0.009
CRABP1	-2.4395
FLJ33790	-0.7555
KIAA1908	-1.9635
GPR158	-1.733
PACSIN3	-1.977
OMD	-0.4045
CATSPER1	-1.12466666666667
HOXB8	-0.683875
FBXO46	2.0075
OAS1	2.05816666666667
SVIL	0.699
PHB2	-0.7265
ADCY3	0.5555
NDRG2	1.5855
ERMAP	-0.5277
APBA2	-1.03883333333333
IGSF9	0.75
WNT6	0.0430714285714286
MYCBPAP	-1.17
ATP2B2	0.0262
CPVL	-2.28177777777778
TRAM2	-0.501
NOP5/NOP58	0.271
ZNRF4	0.473
TLK1	-0.42875
MTMR12	-0.619
ZNF384	-0.293833333333333
FAM9B	-2.68375
RPN1	0.7406
PMVK	-0.694
EIF3D	-0.5137
SIX2	-1.06875
HPS1	0.953714285714286
RNF7	0.13125
PSKH2	0.1715
KCTD13	-0.2745
CSMD3	-0.2864
FBF1	-0.5105
