Hybridization REF	TCGA-AA-A01D-01A-01R-A00A-07
HEATR4	0.423
MAP3K10	0.928166666666667
PCDHGA9	-0.261
AMDHD2	0.2005
LCTL	-1.5585
PDCD2L	-1.56675
CABLES2	-0.0455
SLC5A9	0.24675
CLCA2	-2.2005
MGC16025	-0.5325
STRAP	-0.978166666666667
C20orf196	0.93
RRBP1	1.92566666666667
NAT13	-0.33625
MAT2B	-0.20325
CSNK1D	-0.583166666666667
KIR3DL1	0.424
PRKAG3	0.295
ZNF599	-0.14
PRM3	0.589
PER2	1.555
ASPHD1	1.1745
PRMT6	-0.3995
KCNE1L	0.133285714285714
FAM118A	-0.0575
TAF4	0.965
NDUFB6	-0.63
TRIM9	-1.47854545454545
PMFBP1	0.92175
KY	-0.302
DKFZp762E1312	-0.905454545454546
CSMD1	-1.1525
TBP	-0.9
OR1Q1	0.174
RETNLB	4.18975
HPGD	2.11835714285714
DNAJC12	-1.8715
FKBP1B	-1.10475
ANKRD24	-0.1715
CXXC5	0.241
IL3	-0.078125
DRAM	0.4635
PTCH1	0.454
TP53BP1	-0.349
SLC17A7	0.300571428571429
COL25A1	-0.7265
AMACR	0.426833333333333
RHCG	-0.0115
VPS13A	0.653666666666667
FAM55D	6.012
PRPF38B	-0.18225
OSBPL6	-2.72275
PFDN5	0.0676
CMTM6	1.136125
KCNK12	-1.46625
RP2	0.0475
C16orf52	-0.3045
PICK1	0.612
IFNE1	0.720333333333333
SEMA4B	0.91875
TYRO3	-0.916
OR12D2	0.2405
CSNK1A1	-0.1352
FANCF	1.32675
LONP2	-0.1515
TBL1Y	-1.02075
LDOC1L	-0.114875
CCNC	-0.56025
C3orf60	-0.34475
CHKA	-0.72725
UBAP1	0.55525
MAP3K1	-0.6615
ANKRD9	-0.18775
FAM92A1	-0.2665
GAB2	0.410625
AZU1	-0.30125
DIS3	0.934416666666667
C21orf109	-1.175
IQCB1	-0.74375
SPATS2	-1.149
EFCAB3	-0.8435
PRB3	0.607
FUZ	-0.707333333333333
ZNF813	1.090125
BMPER	-1.14883333333333
HEG1	-0.246375
ALS2CR11	-1.511
SURF2	0.102
PSMC1	0.08175
OR2D2	-0.5405
SLC7A8	0.0526666666666667
C4orf40	0.6965
SPATA7	0.51825
MAZ	0.248083333333333
PIN4	0.2865
PDE1A	-0.234875
TAF6L	-0.678833333333333
OR2T34	0.6095
KIAA0284	1.34
ACADS	1.36290909090909
MKRN2	-1.0295
C18orf56	-2.36675
MS4A6E	0.3015
GALNT4	2.8239
C22orf31	0.1395
FLJ36070	0.398
PSME4	-0.4215
TFG	-0.1516
EPHX2	2.374125
ANXA5	-0.163375
KRTAP1-1	-0.1431
BATF	2.396
KARS	-0.82475
MSTP9	0.9955
GPR26	-0.6875
CCDC72	0.11825
TEF	1.3825
FOXK1	-0.1392
PRLHR	0.2545
EMX1	3.19375
C11orf30	-0.78425
ICK	0.641875
THSD7B	0.0605
C21orf100	-2.6635
DUOX1	0.9575
EFCAB4B	0.47675
UBE2G2	-0.7715
C3orf54	-0.054
PARP1	-1.5725
FAM60A	-0.3165
C6orf146	-0.21975
OR9K2	0.381
DDX55	-0.855666666666667
RPS15	0.146583333333333
ZNF618	0.3099375
DKFZp686D0972	1.8445
SSPO	-1.2645
SHFM3P1	-0.760166666666667
CPA6	-0.742333333333333
JAG2	0.214
DEFA3	1.73175
PPBPL2	0.715333333333333
CD34	3.8535
SLCO4A1	1.841125
AFG3L1	-1.171
SHD	2.46475
RP13-122B23.3	-0.096
PRKCSH	-1.2855
DPH5	-0.997
HLA-F	1.282125
TBC1D4	1.0365
RIG	-0.28
GLUD1	-0.451
HNRPCL1	-0.6275
HBXIP	-0.07525
RNF207	-0.806
APIP	-0.409
PLA2G3	-0.5745
CCDC84	-1.032
MYLIP	-0.763076923076923
PHIP	-0.9195
AARS2	-0.189
DHX32	-0.04825
SCAPER	-0.135
MEN1	-0.301125
NIP7	-0.47
FLJ25404	0.498
FASTKD3	-0.07925
TMEM158	-1.57483333333333
RARA	0.50775
BDH1	1.563
ANKRD16	-1.02825
CARM1	0.878
SS18	-0.0886666666666667
IKZF2	-0.868
MYD88	0.082375
PML	0.5231
TAF1A	0.24225
CBFB	-0.432875
HIST1H3H	0.454833333333333
C7orf29	-0.66375
COMMD4	-0.718166666666667
DPP3	0.31375
DAB2	0.421625
LOC388882	-0.7165
YPEL4	-0.853
AGBL3	0.96725
LRP6	0.3793
SERPINH1	-0.0135
TLE1	0.35875
CD244	0.710333333333333
ZDHHC15	-2.11125
MGLL	1.1177
PLDN	-0.274666666666667
LOC654346	2.2865
FAP	2.36725
GPR37	-1.1455
SCARA5	1.57433333333333
EBF4	0.604545454545455
LSM6	0.306
MLLT1	-0.3936875
SLC5A12	-0.18525
A2BP1	0.122666666666667
COPS5	-0.0721666666666667
TPM4	-0.0827857142857143
TNFSF4	0.976833333333333
ACADSB	-1.01972222222222
HERPUD1	0.0045
BCL2L11	-0.800388888888889
CEP78	-1.235875
CDCA3	-0.5685
WBSCR19	-0.4377
MYO1A	4.6055
PPEF1	-0.166
LOC440348	-0.799
CPEB2	-0.093125
BPTF	-0.865916666666667
RPL21	1.2369375
GSX2	-0.2225
ADPRH	1.03516666666667
C17orf68	-0.3205
KCNS1	-0.932666666666667
MLLT6	0.2047
PIWIL4	3.1865
RNF26	-0.3445
RAP1B	0.079
ADAMTS1	-1.439
ZNF571	-0.21325
P2RY6	0.3045
TRIM21	1.02633333333333
CADM3	0.48475
NLRC5	0.404833333333333
ADRA2B	0.405666666666667
LOC90835	-1.70725
PCF11	-0.2335
LOC400451	0.79
GLTSCR1	1.0267
C17orf88	-0.461666666666667
CDH16	3.0545
FGF7	2.257625
PCSK4	-0.428833333333333
NPC1L1	2.22133333333333
TAT	0.374125
TBCA	-1.15
MGC33407	0.4245
GPR115	-0.268
CYGB	0.5545
FNBP4	-0.5125
C12orf43	-0.25875
CBL	-0.3245
CLECL1	0.995
PPAPDC1A	1.46525
WDR25	0.115166666666667
SGCA	2.5975
C22orf29	0.207833333333333
YIPF1	0.72325
GALK2	0.136
RAB3B	-2.71216666666667
LOC440087	-0.298
UCP1	-1.0505
REEP5	0.136375
FADD	-0.6139
FOXA1	0.262
CACNA1A	0.184333333333333
ABI1	0.288
GRIN2D	1.25325
SLC1A4	-0.833333333333333
LOC401127	-0.04575
HINT2	-0.38125
PLD4	-0.332833333333333
ZNF286A	-1.53075
ENY2	-0.317
IL1F6	-0.8695
PXDNL	0.29975
C20orf79	0.521333333333333
TNFSF13B	2.68216666666667
DENND3	0.125625
JARID1D	-2.76475
HIST1H2AK	0.228625
LOC93349	0.5468
SSH1	-0.0243
ENSA	0.1175
LOC219854	-0.0798333333333333
CKAP2	0.7214
DKFZP564J102	1.9905
MGC87315	0.290833333333333
HNRPAB	-1.01525
AMH	-2.3565
ZNF526	1.226
BRUNOL5	0.1727
CACNG3	-0.273666666666667
TRPM1	-1.6955
PPP2R1A	0.740375
COL2A1	-1.6025
DDN	-0.157
FLJ25770	0.136333333333333
HK2	-0.929928571428571
ELOVL6	-0.567625
MDK	0.92675
EPHX1	0.20825
RASSF2	0.484125
DKFZP434B0335	0.09475
DLX3	1.0925
PRTN3	-0.708
AVPR1A	0.293
C21orf125	-1.6905
TNFAIP8	-1.067
GNB2L1	-0.90175
CALCRL	2.772
SCGB2A2	-0.681
UBXD7	-0.71325
ZNF674	-0.895
TMEM35	1.37925
BRSK2	-0.670875
HECTD3	0.4465
TMEM188	-0.618166666666667
LGALS9	2.373625
SCARB2	0.361666666666667
USP34	-0.4885
C17orf28	1.47408333333333
ZDHHC23	-0.67775
AQP12B	3.1375
SLC16A3	-0.35475
APLP2	0.243
ITIH2	-6.611
MICAL3	0.1005
TNNI3K	0.100777777777778
HDAC2	-0.649125
PRR7	0.5461
THBS2	0.305625
LOC751071	-1.18983333333333
CA2	2.74516666666667
RANBP17	-2.382
RLN3	-0.00200000000000003
CRYZ	-0.0693333333333333
GBAS	-0.152
TAS1R1	0.1115
MPZL3	0.9075
PCDH8	-2.228
HSP90B1	-0.389833333333333
KCNK15	1.0945
TNIP2	0.0965
GPR146	-0.70625
NOL6	0.47675
SPC25	-1.95488888888889
STEAP2	1.698
VAMP3	0.159666666666667
TCIRG1	1.19425
ZP4	-0.682666666666667
PARL	-0.465125
TRIM39	-0.4955
KIAA1305	3.194
CRNN	0.210166666666667
GRN	0.823
HSH2D	-0.899
SCAMP1	-0.5516875
KIAA1913	0.9455
PTS	-0.365
BANP	-0.542
PRKACG	0.33775
ADCY6	0.296666666666667
C16orf46	-0.2765
CYP51A1	0.22425
DDC	2.69525
ANPEP	3.76733333333333
PROM1	4.619
SIGLEC10	0.9845
COPG	0.4185
FAM26E	0.810125
TRIP4	0.19825
SNX3	-0.5065
C1orf175	1.57733333333333
PPY2	-0.00975000000000001
C14orf152	0.454
FTSJ1	-0.959166666666667
DST	-0.1015
LOC554235	0.269
GLRX5	0.056
C20orf12	-0.2995
CAB39	0.822166666666667
MSH2	-1.59866666666667
PIP4K2C	0.78975
CYLD	0.0485
WTAP	0.00212499999999999
MGAT4A	2.27333333333333
TSC22D4	-0.2914
CHRM2	1.819
PPYR1	0.5495
CCNH	-0.943666666666667
RRM1	-0.42075
ECAT8	-4.437
LOC400120	0.4115
GABRA4	1.712125
C14orf4	0.808333333333333
C1orf59	-0.91725
CTDSPL	1.095
NHEDC2	-1.525
PDE11A	-1.215125
KLHL29	-0.60025
CD5	-0.238
TSPAN9	0.673
WDR67	-0.0755
THUMPD1	-0.328
C18orf17	-1.18625
CLYBL	1.954
FLJ13231	-1.379625
CMBL	0.58025
LECT2	-0.15325
NKAPL	1.42016666666667
LOC654780	0.273
OR4C6	0.3535
RAB30	-0.872
TSSK4	0.29
TMEM163	1.234
OSBPL11	-0.281666666666667
GNB5	-1.33233333333333
CCL21	1.978
C1orf121	0.254
FMO2	0.742
RPTN	0.3615
MSTN	0.242
VCL	-0.321357142857143
FYTTD1	-0.24825
C11orf1	-0.6285
CCDC88C	0.95825
HFE	-0.600944444444445
MOGAT1	1.3875
FAM125B	0.0951666666666666
IRGQ	0.237
RAVER2	1.81975
AKAP5	-0.786
SSSCA1	-0.7025
C11orf63	-0.739125
ACTG2	3.9493
PORCN	-1.452
DTL	-1.65572727272727
TMEM151	0.7155
FAM122C	-1.43925
RSAD2	0.7464
BAT4	-1.1555
KRTDAP	-0.701166666666667
MYH8	-0.465875
CRTC3	-0.14225
LRRFIP2	0.0487
INTS4	-0.703166666666667
TTN	-1.43416666666667
SLC26A5	0.587
PLLP	1.629
RGS6	-0.619625
SRGAP3	0.57
ZNF525	0.884833333333333
NBR2	-0.918333333333333
C13orf1	0.6738
ZNF137	0.294
CEP27	-1.25675
BEST2	1.3605
RNF121	-0.0815
DMRTC2	0.03925
C8orf76	1.02775
BCCIP	-0.703875
MEST	-0.26175
HTRA2	-0.4845
ANGPTL2	1.3345
ILKAP	-0.185833333333333
ERAS	0.139
HBS1L	-1.42675
CPA5	0.7875
TMEM30A	-0.153
CD300LF	2.31333333333333
WISP3	-0.2005
CRK	0.0171428571428571
PDS5A	-0.2117
BRPF3	0.124166666666667
NEDD9	0.696375
SMPDL3B	0.83775
PSG6	0.573
PSMD13	0.205
ETV5	-0.583125
OR51A4	0.087
BTBD7	1.019
GSTO1	-0.52225
hCG_16001	0.325
MAD2L1BP	0.1795
COX6A2	1.3275
SCNN1A	2.7365
LSM1	0.0588333333333333
UGT2B11	-0.6145
IDUA	0.41875
PPP2R3C	0.167833333333333
COX11	-1.20466666666667
PDZK1	-0.42425
ZNF443	0.297833333333333
MGC21874	0.733166666666667
ZNF323	0.2932
KRTAP10-10	0.3485
CXCL6	2.71425
SLC34A2	0.7711
LOC284402	0.1805
NPTN	0.768833333333333
UPP1	-0.432416666666667
SLC6A9	-0.581
OR7G3	-0.09575
CISD1	0.298666666666667
ZNF545	-1.76433333333333
SYT14	-0.6065
NT5C3L	-1.3525
ZNHIT3	-0.879166666666667
SNRPD3	-0.31375
KIAA0701	-0.748125
UNC93B1	1.58883333333333
GMNN	-1.736375
SPCS2	0.176833333333333
LOC388524	0.134
NAPRT1	2.3085
PNLIPRP1	0.299
OR6V1	0.6665
PRKAB1	1.28375
EYA4	-1.9175
KIF20A	-2.00575
ALG10	-0.55925
ITPKC	1.38816666666667
LMX1B	-0.0196666666666667
RPUSD4	0.3105
C7orf34	-0.5685
DLGAP2	0.213125
PFN1	-0.205
MICALL2	0.803833333333333
ZNF654	-0.6325
SS18L1	-0.193
SLC16A8	0.16425
MKI67IP	0.354
ITGB3	-0.326375
TCEA3	0.650166666666667
CEP152	-1.5555625
CLIP1	0.4345
ZNF75	0.2835625
ATP5C1	-0.806666666666667
NUDT5	-1.18
PSCDBP	0.57425
UBP1	0.3055
RBM27	-0.59775
C13orf15	2.737625
ZNF282	-0.155666666666667
ZNF222	-0.1459
COL10A1	4.915
PRDM15	-0.90625
TTTY5	0.161
FAM9C	-0.398454545454545
C20orf67	0.7415
GNG13	0.46
F12	0.777
C1orf41	-0.94
CPXCR1	0.3815
GSK3A	0.49375
SUPT6H	-0.444
PI16	1.11616666666667
ELL2	-0.977416666666667
C9orf167	2.4505
PVRL3	1.0264
FLJ38596	0.4985
ADAM20	0.1765
GPR89A	-0.1325
GPR87	-3.2095
ZNF30	-0.7165
SMR3B	-0.98475
ZNF770	-0.12475
TRPC4AP	-0.5545
DKFZP686E2158	0.272
C2orf28	-0.3035
FREM1	4.54566666666667
LAMA4	0.768
ADPRHL2	-0.1995
EIF4G2	0.58
GUCA1A	-0.06
CTNNA2	-0.7995
NUDT15	1.15266666666667
CEPT1	0.4435
ZNFX1	1.4166
CCDC92	0.75575
TDRD1	-0.8835
KCNK5	1.14833333333333
ETNK1	0.353916666666667
LTA	0.075
TTPA	0.1058
B3GALNT2	-0.526375
SC65	-0.3925
PEX5L	-1.456625
EPS15L1	-0.3475
MGEA5	-0.6475
HIST1H3A	0.6525
ING1	0.748875
BCAT1	-2.13525
ORC6L	-2.07763636363636
KLK11	-3.59366666666667
C19orf28	-0.6485
DNER	-3.92871428571428
MED22	-1.00764285714286
ETV6	1.1355
CHAC2	-1.4695
CD300E	0.3755
CEBPB	-0.272166666666667
ZNF398	-0.342
LRCH3	-0.1665
HMGA1	-0.445833333333333
CAPN7	0.1625
MGC5566	-2.78333333333333
CCL3	3.35125
NANOS1	-1.646875
ZFYVE19	-0.65475
APITD1	-0.184666666666667
PARD3	0.24575
IRAK4	-0.477833333333333
SERPINI2	-0.557
CEP170L	-1.748
TTC9	0.257
MYOM3	1.2615
MLPH	-0.139625
LOC222699	-0.914
NRG1	-1.72309090909091
TBC1D9	-1.59845454545455
TTK	-1.43766666666667
ZNF557	0.1544
DDX41	-1.15083333333333
FANK1	0.00800000000000001
UBE2D2	-0.49475
PSMB10	1.373125
MYH7B	-0.101
GABARAPL2	-0.16725
MARVELD2	1.91066666666667
DGCR2	0.4155
UNC45A	0.0485
C6orf72	-0.538
ZNF683	2.90175
GIT2	-0.031875
CASK	1.87233333333333
C14orf161	2.93883333333333
LRRC44	-1.2435
TIFA	-0.5015
UTP11L	-0.97175
C6orf65	-0.93475
FDPS	-0.3805
DUSP9	-1.8356
SLC17A8	-0.1222
OR51G1	0.0613333333333333
NANS	0.40825
OLFML1	1.46125
ATP10B	3.073375
NPAS3	-2.54925
PRKCA	-0.1344
GGA2	-1.0898125
LCE4A	0.487
SPANXN3	-0.508333333333333
CCDC115	0.101
SDCCAG3	-0.67175
GLIPR1L1	-0.00775
TTC1	-0.58775
C17orf76	3.16575
MAD2L2	-1.94825
HIPK1	-0.0577
LRRC3B	-0.0913333333333333
CLN3	-0.791409090909091
C17orf47	-0.006
FMN2	-0.926625
TUBB1	-0.381125
WAPAL	0.00316666666666666
C3orf21	-1.260125
SCN5A	-0.6653
SMYD1	0.83725
BEX5	-2.04725
ZNF192	0.037
SEC22A	-0.204
GRIA2	0.1156
KIAA0825	-1.21875
NUSAP1	-1.39163636363636
LANCL1	-1.150125
C15orf40	-0.1546
ZNF645	-0.022
GPR61	0.12975
NLRP14	0.153
SNX21	-0.00350000000000001
C1QTNF8	0.851
C17orf46	0.825
IFNA8	-0.273
SPRR1B	-1.491
FLRT1	-0.88
SNX17	-0.4515
ASB2	1.715
HBG1	-6.718
RPRML	-0.4195
JOSD2	0.257833333333333
PLSCR3	-0.283
SPOCD1	0.152166666666667
RAB39	-1.122
GHRH	-0.165
ITIH5L	-0.11975
C17orf37	0.15925
SMCR8	0.105
DPY19L2P3	-1.2875
IL11RA	0.235
GDF3	-4.727
RPS6KB1	-1.85433333333333
DNAJC19	-0.3015
TOP1	0.336
CRCT1	-0.60525
MPST	1.277625
DPM2	0.670375
FAM38B	-1.9535
SLC18A1	3.48516666666667
FARP1	-0.1495
PAX7	0.235
TUBD1	-1.99975
GNL3	0.26025
BTG2	1.4316
NDUFS6	-0.13325
C1orf79	-0.974
ERAL1	-0.7745
ECHS1	0.8735
VPS4A	-0.0325
CYP11A1	-0.8665
ABCC6	0.262357142857143
PBX4	-0.623
MOSC1	0.405
NCF4	0.349
HYMAI	0.331
NAGPA	0.86375
OTOP2	0.5335
ACOT12	-0.30375
MTHFD2L	-0.794875
LOC441376	-0.9645
C19orf34	-0.029
RAB1B	0.26125
ALDOAP2	-0.764
NTRK1	-1.85433333333333
ARTS-1	0.2885
SLC6A11	-2.5055
NAP1L2	-2.1905
CNGB1	-0.2165
EPB41L4B	0.841916666666667
FAM134B	2.602375
HS3ST3A1	-1.45866666666667
CPXM2	3.788
SIRPB2	0.2155
CHORDC1	-0.6005
TRIB3	-2.6315
SLC2A5	1.3435
C2orf49	-0.529
DDX5	-0.9125
OR5L1	0.858
ANAPC4	-0.1095
ZSWIM1	0.983125
LOC93622	-0.462125
KCNK3	-0.0109
RP11-35N6.1	-1.44075
ZFP161	0.0598333333333333
AQP9	5.5395
SLC15A2	-0.381833333333333
MREG	-1.107
OR9I1	0.3725
PDLIM2	0.1495
ADAM7	0.424
GSTCD	-0.247166666666667
WDR21A	0.338625
SLC12A8	1.71416666666667
TMEM174	0.484
IGSF3	-0.691583333333333
LRRN1	-2.35125
LOC402117	0.33275
SRPK1	-0.366166666666667
LY6K	-2.4254375
NFIA	2.1285
PTCD3	-0.455875
LEP	0.584833333333333
PCDH21	1.24083333333333
MAPKAPK2	0.362428571428571
NMNAT1	1.24333333333333
LHFPL2	0.3555
C9orf43	0.03425
DIP2A	-1.16716666666667
ACTR8	-0.01125
CCDC34	-0.71325
PTPN22	-0.77375
ITGA3	-0.564
FAM129C	-0.251
RABGGTA	0.284833333333333
UNC45B	-0.243
KIAA1033	-0.127
ZNF510	-0.238
CYP2D6	1.85633333333333
SLC26A10	-1.89
STX8	-0.6885
LUZP1	0.52
WDR89	0.00566666666666667
EIF4G3	0.0416
C5AR1	1.9775
ZNF623	-0.047
A2M	0.691
TGM7	1.407
GRPEL1	0.0953333333333333
LMNB2	-0.8768
ROCK2	0.911333333333333
SNX16	0.42375
CCDC66	-0.5795
ANXA3	1.78825
KIAA1609	-0.538375
EED	-0.715
RNF32	-0.429333333333333
HES1	1.1734
CLC	0.0333333333333333
ISL1	0.715166666666667
KIAA0528	0.248875
MANEA	-0.702125
C1orf61	-1.926
hCG_2001000	-0.05725
RAPGEF6	-0.6811
KIAA0020	0.344666666666667
NEIL1	0.41875
C16orf45	-1.6685
RBM10	-0.000500000000000005
C10orf125	1.004375
MRS2L	-0.508
DNAH17	-1.539
C19orf10	-0.5005
C1orf160	0.53325
SLFN12	-0.429
EXOC3	0.633833333333333
HIST3H3	-0.05125
NCOR2	0.152
TNFRSF9	1.68225
MFSD8	-0.43475
ALX1	-4.13333333333333
NOL1	-0.752
PODN	2.714
TIAL1	-1.20725
HIST1H1E	0.14
NPY6R	0.2515
TM4SF4	8.51075
CORO2A	1.467
ETNK2	-1.82683333333333
APOE	0.3738
ANGPT4	0.515
HDGF2	-0.93125
G30	0.061
ST8SIA4	-0.821375
F2RL1	2.77875
FAM19A4	-3.24475
CCAR1	-0.806
B3GNT7	1.1465
OPHN1	-0.3379
DSCR6	-0.489
C21orf13	-0.9635
GAS2L1	-0.1355
RFX3	0.107333333333333
COPS4	-0.31875
BCHE	-3.75716666666667
BCL2	-1.13775
HBZ	-3.96383333333333
ARL13B	-0.474125
MAPBPIP	0.48575
MYO15B	2.059875
SPZ1	0.52175
KIAA1324	1.88577777777778
PLCL2	0.6755
C4orf29	-0.7765
WDFY2	-1.178125
ZNF284	-0.2355
NAALADL1	2.963
DUSP5	0.733
PXDN	-0.9275
SLMO1	0.031
TNXB	1.0312
BIRC7	-0.5905
A4GALT	0.897166666666667
TIMM22	-0.85075
FAM110C	0.81925
TOMM34	0.817
ABHD9	0.614
ADAM32	-1.476
CRHBP	-1
AQP2	0.65275
LOC130355	0.11725
ZNF187	-0.570666666666667
ZNF816A	1.539
F7	0.853375
CNOT1	-0.1383
SLC13A4	-1.352
ZBTB11	-0.2635
B3GALT5	2.617
EXOC2	-0.0075
IRS1	0.1841
TMEM1	0.311666666666667
MRPL34	-0.526
SAMM50	-0.44
CDC42EP3	-0.263625
HSF2	-2.1183
MFN2	-0.35175
TSPAN7	-0.373333333333333
NUCB1	0.54525
RHOH	-2.64275
ARL16	-1.6555
TACR1	-0.28425
SFRS5	0.0783333333333333
SNX25	-0.020125
RHBDF1	0.596166666666667
PCDH18	2.08
HMG1L1	0.54175
MYO5C	0.93575
MAPK10	1.1255
LDHAL6A	-0.481
NUDT12	0.4035
NCAM1	0.13475
GLIS2	0.5445
GGTL4	0.1535
DAPP1	-1.17575
ATF7	0.1425
KIAA0748	-1.527
NFIL3	-0.3255
TM6SF1	-0.2559
SEZ6	0.234375
NANOS3	1.0895
DNAJA3	-0.1135
CLDN6	-1.6495
CIITA	2.1777
EPHA4	-1.07916666666667
FANCC	0.025
CMTM3	-0.818625
PSG3	-0.446375
MRPL15	-0.3695
C21orf59	-0.25775
PLCXD2	0.018
C2orf34	0.292875
UBE2L6	-0.447125
MED14	0.109
HP1BP3	-0.4986
C6orf208	0.231
TPBG	-1.2325
OSR2	-0.8535
XPC	-0.0263333333333333
KLHL7	-1.82858333333333
CCR3	-0.00283333333333332
AGTPBP1	0.0573333333333333
PCSK6	-0.5722
STAT5A	-1.6698
FAM18B	0.05025
LONRF2	-2.87816666666667
PTPN2	0.093
SF3A3	-0.593
EFCBP2	-0.329
HCFC1	-0.607666666666667
AHNAK	-0.3612
ACTR5	-0.63
KIF14	-1.57314285714286
TENC1	0.8425
HEATR5B	-0.00249999999999997
YIPF2	0.364166666666667
MYEOV2	0.4935
DUSP18	2.09425
KIAA1012	0.636
AHR	1.06583333333333
C17orf53	-1.4645
PTPRH	2.724
ATP6V1C1	0.4827
TAS2R3	-0.1525
LOC440356	-1.66875
COQ10B	0.1225
PSMF1	0.536166666666667
SORBS2	2.86333333333333
NFE2L2	0.386
TMCO7	-0.01
SH3PXD2A	0.1966
SH2D2A	0.046
SPINK5	1.02475
MRPS24	-0.5825
OPA3	0.83975
TRAF7	0.132833333333333
C4orf35	0.431666666666667
MT1G	0.912875
MGC39545	0.1995
HS1BP3	0.1279
OR2B2	0.363
CHRM4	0.2735
SFRP2	0.551333333333333
RIC3	-0.39925
ART1	0.776
C6orf1	-1.073625
DUS4L	-1.34675
C10orf104	-0.178
TNFAIP6	2.094
RTEL1	2.18825
CCT4	-0.7788
ZNF709	-0.138
CHMP6	0.0388333333333333
UPP2	0.34525
CYP19A1	-1.0365
CD151	-0.106333333333333
NDUFA13	-0.454
ARFRP1	0.913166666666667
FAM26B	0.63125
CRYBA1	-1.5875
MRPL41	0.0125
NPFFR2	-1.0075
HRH2	0.3415
SCAMP3	-0.127666666666667
MTMR6	0.9829
MTG1	-0.861666666666667
UBTD1	0.3085
CRABP1	-3.1165
FLJ33790	0.1012
KIAA1908	-1.65483333333333
GPR158	0.3805
PACSIN3	-0.898333333333333
OMD	0.7655
CATSPER1	-0.1705
HOXB8	1.53425
FBXO46	1.195
OAS1	0.955833333333333
SVIL	0.80575
PHB2	-0.412
ADCY3	0.2275
NDRG2	1.5745
ERMAP	-0.0942
APBA2	-1.44533333333333
IGSF9	0.689
WNT6	-0.263785714285714
MYCBPAP	-0.86625
ATP2B2	-0.2492
CPVL	-0.1382
TRAM2	-0.531333333333333
NOP5/NOP58	-0.1095
ZNRF4	0.253
TLK1	-0.299375
MTMR12	-0.0976428571428571
ZNF384	-0.147333333333333
FAM9B	-1.59266666666667
RPN1	0.6666
PMVK	-0.1885
EIF3D	0.0403
SIX2	1.29075
HPS1	0.626714285714286
RNF7	0.186
PSKH2	0.43
KCTD13	-0.669166666666667
CSMD3	-0.1436
FBF1	-0.2465
IL8	0.049625
SERPINB13	0.719583333333333
FBXL20	-0.2955
BLR1	0.45275
SH2B1	-0.789666666666667
RFNG	0.3035
RAB20	2.57966666666667
RBM7	0.0495
POLR1A	-0.281833333333333
TMPRSS4	4.37925
TAF9	-1.101625
TERF2	0.1665
TNFRSF1A	0.454333333333333
ACADVL	-0.3725
GTF2H5	-0.5005
EDG8	-1.049
C9orf140	0.063125
UST6	0.82825
ZBTB8OS	-0.16225
ZNF710	0.7445
GPR174	-2.318
ATP6V0A2	-0.4315
KIAA0319L	0.283
XKRX	1.5425
DOPEY2	1.8053
SDHD	0.1515
SUMF1	1.32125
OSM	4.457
OPN3	-1.124
DAGLB	-0.105166666666667
PPFIBP1	-0.3371
TRIM63	-2.63025
C10orf53	0.028
LYPD3	-2.56616666666667
BCL7A	-0.26775
AGER	-1.05883333333333
TCF19	-1.3145
SAT2	0.20975
PFTK1	-0.948833333333333
GABRE	-0.10525
C15orf38	0.755
FIS1	-0.0015
KCNV2	0.091
CLPS	1.63775
PPCDC	-0.563125
FOXN2	0.367833333333333
NT5E	-0.6085
CD83	1.136
IL18	1.159
VPS16	-0.09825
IGFBP2	-0.829166666666667
NOTCH2	-0.67625
SIGLEC1	1.79325
CD93	5.2635
SULF2	1.3465
CEP164	-0.545875
P53AIP1	0.0581666666666667
TOR2A	0.2
ZNF136	0.048
MGP	1.2995
CCDC144A	0.0425
TRPC1	-1.4355
SMS	-0.739
MAPK7	-0.6045
RRAGC	0.18175
PARD6A	0.345
NUB1	0.5255
SYNGR4	2.13025
OR11H12	0.428
WIF1	0.191625
GCH1	1.1775
OR11H4	-0.082
SLC44A5	1.1775
GPRIN2	2.3
LOC401431	-1.614
CPA4	-3.21777777777778
MELK	-0.512555555555556
IL15RA	0.935
CUL3	0.210625
HMBOX1	0.1485
PODXL	-1.64125
CCT6B	-1.70616666666667
COMTD1	-0.256
MUC20	3.14816666666667
GPX2	5.049125
ITK	-1.720125
FBXL5	1.09875
C13orf27	-0.50975
DEFA5	2.973
TRHDE	-0.4675
MTP18	0.3815
UQCRQ	0.0276
ITGB2	2.27266666666667
CSRP2BP	0.4725
TAS2R44	0.862
PHPT1	0.362875
FAM44C	-0.72325
ERH	0.518
MPHOSPH1	-1.02666666666667
MORC1	-0.561
PARVB	-0.59325
LAMA1	-2.39125
PGBD3	-0.089
GIMAP6	3.60775
AREG	-0.840833333333333
LIPT1	-0.376
MGC99813	-1.2445
C1orf201	-0.4225
GRIN2A	-0.704111111111111
MAN2C1	-0.667625
NSUN5	-0.76225
SF3B5	-0.81375
MYC	-0.163125
NRXN1	-0.3575
ZNF18	-0.017
SPDYA	-0.101857142857143
SLC37A1	1.7095
DECR2	0.13825
ANKRD38	-1.941375
SPTLC3	-2.60316666666667
SUPT16H	-0.302375
DTWD2	0.237
ULBP1	-1.16
ZADH1	0.512666666666667
OIP5	-1.24
IL10RB	1.02383333333333
OTUB2	1.6435
VWA3A	0.489333333333333
SPIC	0.0058333333333333
