Hybridization REF	TCGA-AA-A00L-01A-01R-A002-07
NEUROG3	1.5315
REEP3	0.49425
MARK1	-0.627375
LMBRD1	0.85275
PRPF19	-0.2165
PNMT	-1.204
CTGLF1	-0.6535
SLC25A16	0.52175
EIF2B3	-0.444
RPA2	-1.0795
PAK6	1.49866666666667
CCDC26	-3.60525
SEMA3E	-1.41028571428571
MXD4	0.0217
TNFSF10	2.932
SMARCB1	-0.302833333333333
DTX3L	1.90033333333333
PLA2G4E	0.558
PPAP2A	-0.3765
ULK1	-1.10125
TAS1R3	0.255
SLC2A3	-3.34254545454545
ARID3A	0.6355
GNG5	0.48675
ACOX1	1.6298
KIF5B	1.4235
NUP153	-1.00175
MUC7	0.3015
CSDE1	-0.532285714285714
CLPTM1	-0.4605
C3orf23	0.0635
LRRC17	-3.24816666666667
TTYH3	-0.198625
ATP5B	-0.8435
ELF3	2.8298
CPSF3L	-0.2335
ZNF665	0.2995
TLR6	-1.4336
GPI	-0.788875
RAD9A	-0.32925
NDST4	-3.23875
AGPAT3	-0.110833333333333
MAGI3	1.19416666666667
ADORA2A	-1.373
CACNG7	0.26
CAMK2D	0.409142857142857
CCHCR1	-0.19875
RPS27A	0.17275
OR10G7	0.3895
GCM2	0.1945
FAM135B	0.8495
E2F1	-0.563
PLCB3	-0.2165
OR2AE1	0.458
COIL	0.284333333333333
CDC25C	-0.811666666666667
RAB11FIP2	1.13233333333333
TSC2	-0.059
CTGLF5	-0.5845
CCDC108	0.537
OR13C4	0.399
C10orf81	4.52075
PTPRB	2.68725
ACP2	-0.495
LAG3	-0.3205
MRPL54	0.17575
LOC201175	1.5165
ITGB1BP3	-0.73525
SPTAN1	0.206
SIPA1L2	-0.157
RCAN2	-0.7845
CDX2	4.851
ECOP	0.196
ACTR1A	0.165571428571429
PPARG	2.22333333333333
BBS10	-0.118833333333333
TMEM44	0.5285
BPIL2	0.62425
CITED1	-1.4425
IRF6	3.4425
PRDM4	0.9785
RRP9	0.035
OR10H4	0.44625
IL31RA	-1.528
GNB1L	-0.158166666666667
MYBL2	-1.139625
ZNF407	0.644
PPIG	0.282166666666667
TTC18	1.04325
RPSA	0.124
MAPT	-1.25557142857143
MRE11A	-0.130857142857143
C8orf37	-1.32366666666667
RASGEF1C	-0.655666666666667
STBD1	0.18675
CTAG2	-0.4572
MGAT5B	-2.53
ECM1	-0.5195
RLN1	0.582
PARP14	0.6703125
EPB41L1	0.7936
HOXA3	1.63183333333333
MAGEA9	-4.727
RPS8	-0.29
RPS19BP1	0.22275
FOXJ2	-0.557125
C10orf76	0.369125
IL17RE	1.58075
C10orf65	0.051
ZNF343	0.3115
FBXO33	-0.726375
UHMK1	0.0997
LY6G6C	-0.019
FGF19	-1.7845
C14orf128	-0.913666666666667
IFIT2	2.82975
TIGD1	0.2375
S100G	0.2415
GUCY1B3	0.139
NR3C1	-2.4351
CORO1B	-0.185333333333333
PARP11	-0.397333333333333
DNALI1	-0.257166666666667
OR4N4	0.160625
MAP2K6	1.64883333333333
FSTL4	-0.20475
ANKRD47	0.84075
TMEM171	2.029
PNLIP	0.32175
YY1	-0.645333333333333
CCDC138	-1.34883333333333
AASDHPPT	-0.8887
CKS1B	-0.8256
MCM3	-0.9125
ANAPC7	-0.945
FAM110A	0.29175
CDC37L1	0.419333333333333
THTPA	-1.0495
NBPF20	-0.4115
WDR24	-0.1815
NPTX2	0.996
CBLB	0.438833333333333
CETN1	0.2225
RPUSD1	0.28975
FAF1	-0.00175
CDK6	-1.0669
HMX2	0.799
CSK	-0.748833333333333
TEAD2	-1.1705
SNAP25	-1.20875
TUFT1	0.9681
TMTC3	-0.224333333333333
LCK	-2.49975
SGOL1	-0.280666666666667
AKTIP	0.3965
FURIN	0.335375
SOX12	-1.586
DEFB103A	-0.058
RAMP1	-1.21275
KIR3DX1	0.113
GAS2L3	0.02325
PDE8A	0.067
EDN3	3.87375
GMIP	1.245
SF3A2	0.77675
FN3KRP	-0.296
SMAD7	0.38425
RHBDD2	-0.61775
OR11H6	0.0145
PPP1R3B	0.7194
C9orf23	0.26475
CADPS	3.855
GOLGA8A	-2.4755
TMEM57	1.001
RGL3	-1.7745
S100A14	2.307
FGFR2	-1.4025
XRCC3	-0.3725
RTN4RL2	0.516
MGC3771	-1.227
GH2	0.503833333333333
BTBD2	-0.2555
LMO2	-1.3765
RDBP	-0.192875
ACRBP	-1.58225
AMY2A	2.8415
DUOXA1	1.352
PTK7	-0.243666666666667
TWF2	-0.565166666666667
FAM80A	0.357
TNNI2	-3.10566666666667
GLT25D1	-0.924333333333333
OCC-1	-0.038
CYC1	-0.857166666666667
RPL22	0.470181818181818
MORN3	-0.547166666666667
DISP1	0.3745
PRB2	0.1515
CHUK	0.155
HR	0.886125
CCDC134	-0.187875
DENND4B	-0.59825
C14orf130	-1.171625
RAB33A	-1.97525
DCST2	0.5615
TNMD	-1.61425
PEX7	1.07625
FAM62A	-0.0991249999999999
SRD5A2L	-0.033
IL22	0.44925
RPS26	-0.483666666666667
HOXC5	-0.614
SPATA6	-0.03525
FLJ38482	1.71875
ZNF234	1.398
C18orf22	0.31675
SPATA22	0.355
THOC1	-0.7475
CYP7B1	0.8925
KCNC3	0.31
C8orf42	-1.9585
ALDH1B1	1.4545
CCDC100	0.5843
ARMC4	-3.12525
FAM18B2	-0.2
SLC44A1	0.653875
FBXO17	-2.43616666666667
C6orf107	-0.39875
C19orf29	-0.14675
ZC3HAV1L	0.2305
PARP6	-0.705
SULT2A1	-2.545
C1orf159	-0.61175
TMC1	1.01675
CHST14	-1.143625
GAMT	-3.27366666666667
SMCP	0.528333333333333
TSPAN33	1.01133333333333
MIDN	0.338625
NOX4	-0.46225
RNASEN	-0.6076
TBX1	-2.769
SALL2	-4.21525
C10orf35	1.35175
CYP2E1	-1.283
LRFN2	-0.129
ACO1	-1.02616666666667
IQCG	-1.9226
MEGF9	-0.95775
TM7SF4	-0.10925
PLEKHA1	1.69526666666667
STK33	-3.38533333333333
C1orf210	2.36925
SNUPN	-0.1751
KIAA0406	-0.982
C20orf29	0.222
TMEM55B	-0.86025
OSTM1	-0.908625
CLCN7	-0.2725
OTP	0.16675
FLJ23049	-1.27825
HEATR4	0.3115
MAP3K10	0.750666666666667
PCDHGA9	0.4315
AMDHD2	-0.5505
LCTL	-1.029
PDCD2L	0.201
CABLES2	-0.82
SLC5A9	0.05875
CLCA2	-2.59283333333333
MGC16025	-0.307
STRAP	0.478666666666667
C20orf196	1.4605
RRBP1	2.29416666666667
NAT13	-0.48575
MAT2B	-0.08
CSNK1D	-0.195
KIR3DL1	0.52325
PRKAG3	0.117
ZNF599	-0.696
PRM3	1.317
PER2	1.2365
ASPHD1	-2.2295
PRMT6	-0.55575
KCNE1L	0.219071428571429
FAM118A	0.0826666666666667
TAF4	0.513
NDUFB6	-0.18225
TRIM9	-2.0845
PMFBP1	1.65975
KY	0.0005
DKFZp762E1312	-1.48945454545455
CSMD1	-1.31725
TBP	-0.191833333333333
OR1Q1	0.443666666666667
RETNLB	1.6145
HPGD	2.144
DNAJC12	-1.468
FKBP1B	-2.848
ANKRD24	-0.216666666666667
CXXC5	0.320333333333333
IL3	0.24
DRAM	-0.1044
PTCH1	0.410125
TP53BP1	-0.01075
SLC17A7	0.2445
COL25A1	-1.1311
AMACR	2.9345
RHCG	0.86225
VPS13A	0.269833333333333
FAM55D	6.065
PRPF38B	-0.21575
OSBPL6	-3.826
PFDN5	-0.2127
CMTM6	0.67
KCNK12	-1.06925
RP2	1.16625
C16orf52	-0.96675
PICK1	-0.0165
IFNE1	-1.46116666666667
SEMA4B	-0.073
TYRO3	-0.563
OR12D2	0.2895
CSNK1A1	0.01995
FANCF	1.3155
LONP2	0.00987500000000001
TBL1Y	0.52075
LDOC1L	-0.262125
CCNC	-0.06425
C3orf60	-0.0725
CHKA	-0.582
UBAP1	0.12925
MAP3K1	-0.69
ANKRD9	-0.3745
FAM92A1	0.835333333333333
GAB2	0.2395
AZU1	-0.12075
DIS3	0.70575
C21orf109	-0.836
IQCB1	-0.16
SPATS2	-0.840666666666667
EFCAB3	0.31775
PRB3	0.840375
FUZ	-0.6625
ZNF813	0.42575
BMPER	-0.915166666666667
HEG1	-1.390375
ALS2CR11	-1.843
SURF2	0.30175
PSMC1	-0.5675
OR2D2	0.234
SLC7A8	-1.12666666666667
C4orf40	0.125
SPATA7	-0.59425
MAZ	-0.197166666666667
PIN4	-0.5595
PDE1A	-2.0225
TAF6L	-0.0225
OR2T34	0.665
KIAA0284	-0.46425
ACADS	0.490545454545455
MKRN2	-1.1485
C18orf56	-1.12725
MS4A6E	0.2546
GALNT4	1.3696
C22orf31	-0.479
FLJ36070	0.998
PSME4	0.38
TFG	-0.1359
EPHX2	1.16925
ANXA5	-1.006125
KRTAP1-1	0.0581
BATF	-1.474
KARS	-0.80075
MSTP9	-0.171
GPR26	0.07575
CCDC72	-0.0335
TEF	0.421833333333333
FOXK1	0.4038
PRLHR	0.3275
EMX1	0.772
C11orf30	-0.731375
ICK	0.4495
THSD7B	0.171
C21orf100	-0.6465
DUOX1	0.854
EFCAB4B	0.1775
UBE2G2	-1.215
C3orf54	0.21925
PARP1	-1.59175
FAM60A	0.0568333333333333
C6orf146	-0.14875
OR9K2	0.5085
DDX55	-0.6115
RPS15	0.095
ZNF618	-1.2878125
DKFZp686D0972	0.3835
SSPO	-1.0395
SHFM3P1	-0.303833333333333
CPA6	0.47
JAG2	-0.352
DEFA3	1.94225
PPBPL2	0.264333333333333
CD34	3.222125
SLCO4A1	0.771
AFG3L1	-1.18783333333333
SHD	1.89425
RP13-122B23.3	-0.4295
PRKCSH	-0.929
DPH5	-0.0445
HLA-F	2.339
TBC1D4	0.69475
RIG	0.0238333333333333
GLUD1	-0.122833333333333
HNRPCL1	-1.19825
HBXIP	-0.336
RNF207	-1.178
APIP	0.4355
PLA2G3	-2.064
CCDC84	-0.74825
MYLIP	-0.674307692307692
PHIP	-0.9375
AARS2	-0.332
DHX32	0.9475
SCAPER	0.273333333333333
MEN1	-0.407
NIP7	-0.37
FLJ25404	0.936
FASTKD3	-0.44425
TMEM158	-1.7985
RARA	0.7005
BDH1	1.4415
ANKRD16	-0.03125
CARM1	0.663
SS18	-0.585333333333333
IKZF2	-1.25258333333333
MYD88	0.05325
PML	0.27225
TAF1A	-0.75875
CBFB	-0.414875
HIST1H3H	-1.197
C7orf29	-0.17825
COMMD4	-0.206
DPP3	0.25
DAB2	0.603625
LOC388882	0.055
YPEL4	-1.334
AGBL3	0.949
LRP6	0.6342
SERPINH1	-1.22908333333333
TLE1	-1.1865
CD244	0.461166666666667
ZDHHC15	-2.008
MGLL	-1.0892
PLDN	-0.306416666666667
LOC654346	2.579
FAP	-0.591
GPR37	-1.66483333333333
SCARA5	0.0535
EBF4	-0.150727272727273
LSM6	0.27125
MLLT1	-0.3366875
SLC5A12	-0.148
A2BP1	-0.8905
COPS5	0.308
TPM4	-0.257285714285714
TNFSF4	-1.1655
ACADSB	0.286611111111111
HERPUD1	-0.362
BCL2L11	-1.59355555555556
CEP78	-1.008875
CDCA3	-0.399
WBSCR19	-0.2471
MYO1A	4.8705
PPEF1	-0.6975
LOC440348	-0.46
CPEB2	-0.060875
BPTF	-0.14325
RPL21	1.726875
GSX2	0.235
ADPRH	0.117666666666667
C17orf68	-0.1735
KCNS1	-0.1955
MLLT6	0.7288
PIWIL4	2.039
RNF26	-0.88125
RAP1B	0.32575
ADAMTS1	-2.7548
ZNF571	0.5375
P2RY6	-0.77025
TRIM21	0.858333333333333
CADM3	0.61375
NLRC5	1.46483333333333
ADRA2B	-0.0188333333333333
LOC90835	-0.382
PCF11	-1.43375
LOC400451	-0.7425
GLTSCR1	0.6857
C17orf88	0.234
CDH16	-1.13975
FGF7	0.16975
PCSK4	-0.925333333333333
NPC1L1	-0.733
TAT	0.29175
TBCA	-0.602
MGC33407	-0.08575
GPR115	2.435875
CYGB	-0.7035
FNBP4	-0.323166666666667
C12orf43	-0.40975
CBL	-0.1848
CLECL1	-1.01425
PPAPDC1A	-1.1515
WDR25	-0.831166666666667
SGCA	0.7255
C22orf29	-0.332166666666667
YIPF1	0.298
GALK2	0.271
RAB3B	-2.9955
LOC440087	-0.719
UCP1	-1.4395
REEP5	0.475625
FADD	-0.6474
FOXA1	-3.8055
CACNA1A	0.0138333333333333
ABI1	0.414333333333333
GRIN2D	0.77425
SLC1A4	0.645166666666667
LOC401127	-0.30725
HINT2	0.20875
PLD4	-0.548
ZNF286A	-1.42175
ENY2	-0.34775
IL1F6	0.456
PXDNL	-0.06775
C20orf79	0.324
TNFSF13B	1.96316666666667
DENND3	-0.42375
JARID1D	-1.57025
HIST1H2AK	-0.1415
LOC93349	0.138
SSH1	-0.5358
ENSA	-0.35175
LOC219854	-0.203333333333333
CKAP2	0.2052
DKFZP564J102	-1.15866666666667
MGC87315	0.375833333333333
HNRPAB	-0.162
AMH	-1.688
ZNF526	0.659
BRUNOL5	-0.2525
CACNG3	0.348833333333333
TRPM1	-1.6995
PPP2R1A	0.037875
COL2A1	-1.38875
DDN	0.285
FLJ25770	0.449818181818182
HK2	-0.113857142857143
ELOVL6	-0.36675
MDK	-1.5255
EPHX1	-1.1665
RASSF2	-0.1885
DKFZP434B0335	-0.392
DLX3	-0.476875
PRTN3	-0.579
AVPR1A	0.08875
C21orf125	-1.315
TNFAIP8	-1.77616666666667
GNB2L1	-0.585
CALCRL	1.24825
SCGB2A2	-0.192333333333333
UBXD7	-0.76425
ZNF674	0.3495
TMEM35	-0.3785
BRSK2	0.364875
HECTD3	0.286166666666667
TMEM188	-0.182916666666667
LGALS9	3.00625
SCARB2	0.339166666666667
USP34	-0.187333333333333
C17orf28	-0.261
ZDHHC23	1.517
AQP12B	2.6525
SLC16A3	-1.142875
APLP2	-0.503
ITIH2	-4.34175
MICAL3	0.210875
TNNI3K	0.1531
HDAC2	0.211375
PRR7	0.4742
THBS2	-2.676875
LOC751071	-1.33266666666667
CA2	0.671833333333333
RANBP17	-0.966
RLN3	0.397
CRYZ	-1.50533333333333
GBAS	0.3625
TAS1R1	-0.4585
MPZL3	0.4045
PCDH8	-1.8275
HSP90B1	-0.229416666666667
KCNK15	-0.103
TNIP2	0.00666666666666667
GPR146	-1.365
NOL6	0.51325
SPC25	-1.46788888888889
STEAP2	2.16092857142857
VAMP3	0.216166666666667
TCIRG1	-0.119
ZP4	-0.559333333333333
PARL	-0.359625
TRIM39	-0.405
KIAA1305	0.26325
CRNN	0.301333333333333
GRN	0.23025
HSH2D	-0.33475
SCAMP1	0.0171875
KIAA1913	2.648
PTS	0.007
BANP	-0.134857142857143
PRKACG	-0.0165
ADCY6	0.165166666666667
C16orf46	0.2455
CYP51A1	0.44725
DDC	4.307
ANPEP	-1.10416666666667
PROM1	4.153
SIGLEC10	0.73325
COPG	-0.015
FAM26E	-0.696125
TRIP4	0.09975
SNX3	-0.384166666666667
C1orf175	2.34016666666667
PPY2	0.205
C14orf152	0.12325
FTSJ1	-0.262666666666667
DST	-0.18155
LOC554235	0.46125
GLRX5	-1.33
C20orf12	0.0796
CAB39	0.490666666666667
MSH2	-1.47866666666667
PIP4K2C	0.988125
CYLD	-0.1175
WTAP	0.2576875
MGAT4A	0.758222222222222
TSC22D4	-0.784
CHRM2	0.414
PPYR1	0.453333333333333
CCNH	0.00283333333333333
RRM1	-0.5175
ECAT8	-2.86875
LOC400120	-0.23775
GABRA4	3.007625
C14orf4	0.0663333333333334
C1orf59	0.33325
CTDSPL	0.896833333333333
NHEDC2	-0.1855
PDE11A	-1.10726666666667
KLHL29	1.3015
CD5	-1.3211
TSPAN9	-0.533125
WDR67	-0.6535
THUMPD1	-0.5018
C18orf17	0.00775
CLYBL	2.83283333333333
FLJ13231	-1.062125
CMBL	-0.250875
LECT2	-0.3695
NKAPL	0.278166666666667
LOC654780	0.8565
OR4C6	0.603
RAB30	-1.81366666666667
TSSK4	-0.1465
TMEM163	-1.419
OSBPL11	0.406333333333333
GNB5	-2.20333333333333
CCL21	0.75325
C1orf121	0.093
FMO2	0.913
RPTN	1.262
MSTN	0.9235
VCL	-0.663071428571429
FYTTD1	-0.936
C11orf1	0.5115
CCDC88C	-0.1190625
HFE	-0.0342222222222222
MOGAT1	-0.343
FAM125B	0.766333333333333
IRGQ	0.432
RAVER2	1.477
AKAP5	-0.361
SSSCA1	-0.3085
C11orf63	-1.3175
ACTG2	1.8866
PORCN	-1.249
DTL	-1.44763636363636
TMEM151	0.66175
FAM122C	0.02525
RSAD2	2.4483
BAT4	-1.089
KRTDAP	-1.304
MYH8	-0.168
CRTC3	-0.082
LRRFIP2	0.5846
INTS4	-0.530166666666667
TTN	-1.34983333333333
SLC26A5	0.1115
PLLP	-1.51475
RGS6	-0.058125
SRGAP3	0.605125
ZNF525	0.460833333333333
NBR2	0.1455
C13orf1	1.9666
ZNF137	-0.1815
CEP27	-0.575
BEST2	1.1775
RNF121	-0.05525
DMRTC2	0.0675
C8orf76	-0.064
BCCIP	-0.138125
MEST	-0.11025
HTRA2	-0.3475
ANGPTL2	-0.96775
ILKAP	0.146833333333333
ERAS	0.8295
HBS1L	-0.433375
CPA5	0.5945
TMEM30A	-0.0571666666666667
CD300LF	0.6065
WISP3	0.555
CRK	-0.641928571428571
PDS5A	-0.0987
BRPF3	0.0176666666666667
NEDD9	-0.845625
SMPDL3B	1.16475
PSG6	0.6625
PSMD13	0.24725
ETV5	-3.280875
OR51A4	0.2335
BTBD7	-0.200166666666667
GSTO1	-0.488125
hCG_16001	1.413
MAD2L1BP	-0.118166666666667
COX6A2	0.864
SCNN1A	-0.470166666666667
LSM1	-0.492833333333333
UGT2B11	-1.55725
IDUA	0.49675
PPP2R3C	-0.907833333333333
COX11	0.717833333333333
PDZK1	-2.00875
ZNF443	0.374833333333333
MGC21874	0.277333333333333
ZNF323	0.1766
KRTAP10-10	0.3915
CXCL6	1.8705
SLC34A2	0.3781
LOC284402	0.4675
NPTN	0.459083333333333
UPP1	-0.8955
SLC6A9	-0.165
OR7G3	0.268
CISD1	0.699166666666667
ZNF545	-1.4585
SYT14	-0.1535
NT5C3L	-0.1775
ZNHIT3	0.0336666666666667
SNRPD3	-0.53625
KIAA0701	-0.454375
UNC93B1	0.209833333333333
GMNN	-0.8465
SPCS2	0.102333333333333
LOC388524	0.89
NAPRT1	-0.543125
PNLIPRP1	0.075
OR6V1	0.8515
PRKAB1	1.1435
EYA4	-2.87866666666667
KIF20A	-1.6185
ALG10	0.00225
ITPKC	1.12733333333333
LMX1B	0.0503333333333333
RPUSD4	0.327333333333333
C7orf34	0.0805
DLGAP2	0.394375
PFN1	-0.9716
MICALL2	0.227
ZNF654	-0.0855
SS18L1	-0.472125
SLC16A8	0.37625
MKI67IP	0.00516666666666667
ITGB3	-0.781125
TCEA3	1.25433333333333
CEP152	-0.7628125
CLIP1	0.32525
ZNF75	0.9091875
ATP5C1	-0.0308333333333333
NUDT5	-0.4415
PSCDBP	-0.65475
UBP1	-0.11975
RBM27	-0.0135
C13orf15	1.8655
ZNF282	-0.637333333333333
ZNF222	-0.591
COL10A1	1.58325
PRDM15	-0.999
TTTY5	-0.7625
FAM9C	-0.215166666666667
C20orf67	0.31625
GNG13	0.1455
F12	1.1605
C1orf41	-0.842
CPXCR1	-1.406
GSK3A	0.21425
SUPT6H	-0.0238333333333333
PI16	-1.60633333333333
ELL2	-1.54225
C9orf167	1.15066666666667
PVRL3	0.5659
FLJ38596	0.37875
ADAM20	-0.01125
GPR89A	0.2465
GPR87	-4.375
ZNF30	-0.16925
SMR3B	0.4385
ZNF770	0.147
TRPC4AP	-0.347666666666667
DKFZP686E2158	0.284833333333333
C2orf28	-0.374166666666667
FREM1	-0.833166666666667
LAMA4	-0.0328333333333333
ADPRHL2	-0.1805
EIF4G2	0.2665
GUCA1A	-0.094
CTNNA2	-1.28075
NUDT15	0.237166666666667
CEPT1	0.192
ZNFX1	0.4776
CCDC92	0.48325
TDRD1	-0.162
KCNK5	1.39683333333333
ETNK1	0.10475
LTA	0.1185
TTPA	1.75533333333333
B3GALNT2	-0.070875
SC65	-0.567166666666667
PEX5L	-0.956285714285714
EPS15L1	-0.50925
MGEA5	-0.09025
HIST1H3A	0.03425
ING1	0.47725
BCAT1	-4.08625
ORC6L	-1.60363636363636
KLK11	-4.5755
C19orf28	-1.645875
DNER	-3.758375
MED22	-0.969142857142857
ETV6	0.966083333333333
CHAC2	-1.74825
CD300E	0.224
CEBPB	0.386916666666667
ZNF398	-0.28925
LRCH3	-0.258
HMGA1	-0.252833333333333
CAPN7	-0.108833333333333
MGC5566	-2.66325
CCL3	2.619375
NANOS1	-0.9885
ZFYVE19	-0.56875
APITD1	-0.455166666666667
PARD3	0.542875
IRAK4	0.331666666666667
SERPINI2	-1.3705
CEP170L	-2.228
TTC9	-0.33375
MYOM3	1.6045
MLPH	-2.427
LOC222699	-0.671
NRG1	-0.91875
TBC1D9	-1.50363636363636
TTK	-1.04766666666667
ZNF557	0.3267
DDX41	-0.657833333333333
FANK1	0.257
UBE2D2	0.209375
PSMB10	1.5495
MYH7B	0.4725
GABARAPL2	-0.7715
MARVELD2	2.399
DGCR2	0.307
UNC45A	-0.35
C6orf72	-0.135
ZNF683	0.4065
GIT2	-0.01475
CASK	2.39783333333333
C14orf161	2.14933333333333
LRRC44	-1.27875
TIFA	-0.762125
UTP11L	-0.83175
C6orf65	-1.93325
FDPS	-0.401
DUSP9	-1.7331
SLC17A8	0.533666666666667
OR51G1	0.395
NANS	0.2685
OLFML1	0.70925
ATP10B	4.2805
NPAS3	-1.25825
PRKCA	-0.2809
GGA2	-0.580625
LCE4A	0.6515
SPANXN3	-0.47
CCDC115	0.186875
SDCCAG3	-0.404
GLIPR1L1	0.427
TTC1	-0.157
C17orf76	3.224
MAD2L2	-1.6185
HIPK1	-0.1942
LRRC3B	-0.461333333333333
CLN3	0.191590909090909
C17orf47	0.201
FMN2	-0.863375
TUBB1	-1.425875
WAPAL	0.214333333333333
C3orf21	-1.2145
SCN5A	-0.4053
SMYD1	-0.08825
BEX5	-2.296
ZNF192	-0.3185
SEC22A	0.0173333333333333
GRIA2	0.266214285714286
KIAA0825	-1.3945
NUSAP1	-1.524
LANCL1	-1.24475
C15orf40	-0.125
ZNF645	0.337125
GPR61	0.31
NLRP14	-0.1055
SNX21	-0.4786
C1QTNF8	0.0225
C17orf46	0.599
IFNA8	0.019
SPRR1B	-0.9255
FLRT1	-0.49625
SNX17	-0.494
ASB2	-0.489
HBG1	-5.209
RPRML	-2.2485
JOSD2	0.651833333333333
PLSCR3	-1.032
SPOCD1	-0.985
RAB39	-0.2535
GHRH	0.0965
ITIH5L	0.268
C17orf37	1.1205
SMCR8	0.13825
DPY19L2P3	-0.808666666666667
IL11RA	-0.0918333333333333
GDF3	-3.4385
RPS6KB1	-0.733916666666667
DNAJC19	-0.1334
TOP1	-0.2065
CRCT1	0.857
MPST	1.694125
DPM2	-0.071625
FAM38B	-2.59916666666667
SLC18A1	-1.50683333333333
FARP1	0.980333333333333
PAX7	0.2805
TUBD1	-0.5745
GNL3	0.03975
BTG2	0.906133333333333
NDUFS6	-0.12175
C1orf79	0.09125
ERAL1	0.10375
ECHS1	0.3875
VPS4A	0.0196666666666667
CYP11A1	-1.0245
ABCC6	0.465785714285714
PBX4	-0.6765
MOSC1	0.016125
NCF4	-0.163
HYMAI	-0.584
NAGPA	-0.230625
OTOP2	0.34275
ACOT12	-0.09725
MTHFD2L	0.15175
LOC441376	-1.02075
C19orf34	0.039
RAB1B	-0.6945
ALDOAP2	-1.158
NTRK1	-2.1615
ARTS-1	-0.192
SLC6A11	-0.9
NAP1L2	-3.951
CNGB1	0.359666666666667
EPB41L4B	1.60608333333333
FAM134B	1.09775
HS3ST3A1	-2.13166666666667
CPXM2	1.53075
SIRPB2	0.418
CHORDC1	-0.824833333333333
TRIB3	0.673
SLC2A5	-0.1495
C2orf49	-0.0465
DDX5	-0.83325
OR5L1	1.3975
ANAPC4	0.0815
ZSWIM1	0.3215
LOC93622	-0.804625
KCNK3	-0.035
RP11-35N6.1	-1.84075
ZFP161	-0.616833333333333
AQP9	1.4765
SLC15A2	-0.745166666666667
MREG	-1.73416666666667
OR9I1	0.4175
PDLIM2	-0.34925
ADAM7	0.543
GSTCD	-0.0475
WDR21A	-0.795125
SLC12A8	1.0555
TMEM174	0.33675
IGSF3	-0.519333333333333
LRRN1	-1.806
LOC402117	-0.11775
SRPK1	0.396833333333333
LY6K	-1.798875
NFIA	1.012
PTCD3	0.07475
LEP	0.162833333333333
PCDH21	4.34766666666667
MAPKAPK2	-0.421142857142857
NMNAT1	0.602666666666667
LHFPL2	0.115375
C9orf43	-0.01175
DIP2A	-0.793333333333333
ACTR8	0.444375
CCDC34	-0.664
PTPN22	-1.686875
ITGA3	-0.252
FAM129C	0.066
RABGGTA	-0.381
UNC45B	-0.68825
KIAA1033	0.06675
ZNF510	-0.4635
CYP2D6	0.462
SLC26A10	-2.201
STX8	-0.42775
LUZP1	0.286
WDR89	-0.941333333333333
EIF4G3	0.2167
C5AR1	0.199625
ZNF623	-1.097
A2M	-1.10325
TGM7	0.597
GRPEL1	0.138
LMNB2	-0.4809
ROCK2	1.47983333333333
SNX16	0.061375
CCDC66	-0.987
ANXA3	2.6865
KIAA1609	-0.652625
EED	-0.884
RNF32	0.857
HES1	0.9043
CLC	0.217333333333333
ISL1	-0.407166666666667
KIAA0528	0.247
MANEA	0.247375
C1orf61	-2.1055
hCG_2001000	1.56975
RAPGEF6	0.000699999999999998
KIAA0020	0.2655
NEIL1	1.76525
C16orf45	-2.302125
RBM10	0.0841666666666667
C10orf125	0.44225
MRS2L	-0.466
DNAH17	-0.892625
C19orf10	-0.4515
C1orf160	0.2105
SLFN12	-0.85475
EXOC3	-0.0221666666666667
HIST3H3	-0.4685
NCOR2	0.0508333333333333
TNFRSF9	-0.143
MFSD8	0.18225
ALX1	-3.70566666666667
NOL1	-0.6255
PODN	-0.0485
TIAL1	-0.50575
HIST1H1E	-1.9695
NPY6R	0.504
TM4SF4	-0.23
CORO2A	0.95125
ETNK2	-2.237
APOE	-1.6832
ANGPT4	1.111
HDGF2	-0.6785
G30	0.962
ST8SIA4	-1.130875
F2RL1	1.7245
FAM19A4	-3.05825
CCAR1	-0.39325
B3GNT7	0.35575
OPHN1	-0.1649
DSCR6	0.958
C21orf13	-1.74666666666667
GAS2L1	-0.570666666666667
RFX3	0.189833333333333
COPS4	-0.269375
BCHE	-4.96433333333333
BCL2	-0.20775
HBZ	-2.8765
ARL13B	-0.41825
MAPBPIP	0.389
MYO15B	3.159125
SPZ1	-0.10575
KIAA1324	1.55611111111111
PLCL2	-2.31025
C4orf29	0.009
WDFY2	-1.09575
ZNF284	-0.3415
NAALADL1	-0.0045
DUSP5	-0.43
PXDN	-1.08785714285714
SLMO1	-0.6735
TNXB	0.6858
BIRC7	-0.694
A4GALT	-1.02516666666667
TIMM22	-1.05025
FAM110C	2.553
TOMM34	-0.27675
ABHD9	0.059
ADAM32	0.0945
CRHBP	-1.18225
AQP2	0.501875
LOC130355	-0.417
ZNF187	-0.459833333333333
ZNF816A	0.766
F7	1.481125
CNOT1	0.3473
SLC13A4	-0.97125
ZBTB11	-0.389
B3GALT5	0.44575
EXOC2	-0.165333333333333
IRS1	-0.5656
TMEM1	0.0075
MRPL34	-0.128
SAMM50	0.028
CDC42EP3	-0.21125
HSF2	-0.927
MFN2	0.1255
TSPAN7	-2.8105
NUCB1	0.136916666666667
RHOH	-3.48975
ARL16	0.207
TACR1	0.17975
SFRS5	-1.47216666666667
SNX25	-0.222875
RHBDF1	0.1235
PCDH18	1.07233333333333
HMG1L1	0.83725
MYO5C	1.55475
MAPK10	-0.8155
LDHAL6A	0.111166666666667
