Hybridization REF	TCGA-AA-A00N-01A-02R-A00A-07
EXOC2	0.3295
IRS1	-0.5722
TMEM1	1.30233333333333
MRPL34	0.309833333333333
SAMM50	-0.29175
CDC42EP3	0.829125
HSF2	-0.9138
MFN2	0.335
TSPAN7	-0.719
NUCB1	0.28725
RHOH	-2.30125
ARL16	-0.2685
TACR1	0.04175
SFRS5	-0.691
SNX25	0.00737500000000001
RHBDF1	-0.413333333333333
PCDH18	2.2495
HMG1L1	0.01025
MYO5C	0.419125
MAPK10	0.4985
LDHAL6A	0.478666666666667
NUDT12	0.760666666666667
NCAM1	-0.49625
GLIS2	-0.048
GGTL4	0.988
DAPP1	0.65675
ATF7	0.398142857142857
KIAA0748	-1.6535
NFIL3	0.2345
TM6SF1	-0.704444444444444
SEZ6	-0.269625
NANOS3	1.94166666666667
DNAJA3	-0.525666666666667
CLDN6	-1.8025
CIITA	2.5103
EPHA4	0.634333333333333
FANCC	-0.68225
CMTM3	-0.835875
PSG3	-0.457875
MRPL15	0.6745
C21orf59	-0.253
PLCXD2	-0.141
C2orf34	0.14225
UBE2L6	0.80025
MED14	-0.1268
HP1BP3	-0.4896
C6orf208	-0.4735
TPBG	-0.597
OSR2	-0.72025
XPC	-0.864833333333333
KLHL7	-1.0375
CCR3	0.304333333333333
AGTPBP1	-0.38
PCSK6	0.0926666666666667
STAT5A	-0.9648
FAM18B	0.588
LONRF2	-4.659
PTPN2	0.07225
SF3A3	-0.6585
EFCBP2	-0.168333333333333
HCFC1	-0.3025
AHNAK	0.12435
ACTR5	-0.61525
KIF14	-1.83628571428571
TENC1	0.0905
HEATR5B	0.487
YIPF2	0.4345
MYEOV2	0.182333333333333
DUSP18	2.37825
KIAA1012	0.272
AHR	0.731
C17orf53	-1.148
PTPRH	0.84425
ATP6V1C1	-0.1238
TAS2R3	-0.193
LOC440356	-0.41175
COQ10B	0.66225
PSMF1	0.184916666666667
SORBS2	2.33341666666667
NFE2L2	0.1525
TMCO7	0.27125
SH3PXD2A	0.9283
SH2D2A	-0.746
SPINK5	2.619
MRPS24	0.13775
OPA3	-0.13475
TRAF7	-0.0798333333333333
C4orf35	-0.166333333333333
MT1G	-0.628875
MGC39545	2.3855
HS1BP3	0.219333333333333
OR2B2	0.206
CHRM4	-1.2425
SFRP2	1.89775
RIC3	-0.42375
ART1	0.391
C6orf1	-0.636375
DUS4L	-1.85325
C10orf104	0.4545
TNFAIP6	2.865
RTEL1	1.40975
CCT4	-0.8147
ZNF709	0.1105
CHMP6	-0.326333333333333
UPP2	0.45675
CYP19A1	-1.71514285714286
CD151	-0.329
NDUFA13	-0.284833333333333
ARFRP1	-0.7355
FAM26B	0.6325
CRYBA1	-1.0615
MRPL41	0.3085
NPFFR2	-0.86125
HRH2	-0.447
SCAMP3	-0.376833333333333
MTMR6	0.6833
MTG1	-0.666333333333333
UBTD1	-0.1525
CRABP1	-3.0175
FLJ33790	-0.7989
KIAA1908	-1.68
GPR158	-0.315
PACSIN3	-2.77333333333333
OMD	0.5675
CATSPER1	-0.166
HOXB8	2.656125
FBXO46	0.683
OAS1	2.29966666666667
SVIL	0.89125
PHB2	-0.95525
ADCY3	0.1765
NDRG2	1.07333333333333
ERMAP	0.3604
APBA2	-0.664333333333333
IGSF9	0.76825
WNT6	-1.37292307692308
MYCBPAP	-0.3515
ATP2B2	0.181444444444444
CPVL	-1.0737
TRAM2	-0.0610833333333333
NOP5/NOP58	-0.224
ZNRF4	0.23575
TLK1	0.353125
MTMR12	-0.128071428571429
ZNF384	-0.673666666666667
FAM9B	-1.79075
RPN1	1.1698
PMVK	-0.195
EIF3D	0.0495
SIX2	-1.418
HPS1	1.111
RNF7	0.593
PSKH2	-0.72
KCTD13	-0.265
CSMD3	-0.317
FBF1	-0.404
IL8	1.833875
SERPINB13	0.506166666666667
FBXL20	-0.40575
BLR1	0.25725
SH2B1	-0.837
RFNG	-0.837125
RAB20	1.815
RBM7	0.20025
POLR1A	-0.659833333333333
TMPRSS4	3.986
TAF9	-0.35575
TERF2	0.551333333333333
TNFRSF1A	0.227916666666667
ACADVL	-0.3165
GTF2H5	0.1275
EDG8	-0.668833333333333
C9orf140	-0.916625
UST6	0.453
ZBTB8OS	0.3175
ZNF710	0.4375
GPR174	-1.512
ATP6V0A2	0.07
KIAA0319L	-0.464166666666667
XKRX	0.3815
DOPEY2	1.4655
SDHD	0.0258333333333333
SUMF1	0.88125
OSM	3.83025
OPN3	-0.5165
DAGLB	-0.302333333333333
PPFIBP1	0.5244
TRIM63	-4.37575
C10orf53	-0.5585
LYPD3	-3.45533333333333
BCL7A	-0.7235
AGER	-0.872166666666667
TCF19	-1.0905
SAT2	0.5815
PFTK1	-0.560833333333333
GABRE	0.324375
C15orf38	1.3511
FIS1	0.0785
KCNV2	-0.2215
CLPS	-0.13
PPCDC	-1.340125
FOXN2	0.529
NT5E	-1.0825
CD83	-0.068
IL18	2.330625
VPS16	0.28325
IGFBP2	0.799166666666667
NOTCH2	-1.06825
SIGLEC1	1.127375
CD93	4.517
SULF2	0.72625
CEP164	-0.1615
P53AIP1	-0.0436666666666667
TOR2A	-0.440166666666667
ZNF136	-0.22775
MGP	0.6356
CCDC144A	0.0958333333333334
TRPC1	-0.656166666666667
SMS	-0.0956666666666667
MAPK7	-0.455166666666667
RRAGC	0.779
PARD6A	0.38
NUB1	0.473833333333333
SYNGR4	0.644
OR11H12	-0.619
WIF1	1.166125
GCH1	1.45275
OR11H4	0.107
SLC44A5	0.8685
GPRIN2	3.1635
LOC401431	-0.4095
CPA4	-2.3607
MELK	-1.249
IL15RA	1.34125
CUL3	-0.07575
HMBOX1	-0.76975
PODXL	-1.91025
CCT6B	0.607166666666667
COMTD1	0.40975
MUC20	4.41033333333333
GPX2	4.361125
ITK	-1.38225
FBXL5	0.922
C13orf27	-1.752
DEFA5	5.665
TRHDE	0.343
MTP18	0.499333333333333
UQCRQ	0.8589
ITGB2	1.39666666666667
CSRP2BP	0.5585
TAS2R44	0.155
PHPT1	-0.42
FAM44C	-0.669
ERH	0.65775
MPHOSPH1	-0.647333333333333
MORC1	-0.3225
PARVB	-1.786
LAMA1	-1.88358333333333
PGBD3	-0.3655
GIMAP6	3.33425
AREG	-0.528666666666667
LIPT1	-0.34275
MGC99813	-1.84175
C1orf201	0.278333333333333
GRIN2A	0.0656666666666667
MAN2C1	-1.280375
NSUN5	-1.13325
SF3B5	0.268
MYC	-0.6861875
NRXN1	-0.3046
ZNF18	0.55125
SPDYA	-0.1655
SLC37A1	1.8685
DECR2	0.01675
ANKRD38	-0.295375
SPTLC3	-0.814583333333333
SUPT16H	-0.51175
DTWD2	0.78825
ULBP1	-0.7185
ZADH1	-0.409
OIP5	-0.489
IL10RB	0.722666666666667
OTUB2	0.884375
VWA3A	-0.4045
SPIC	-0.00516666666666666
OR6C4	-0.3305
PSCD4	1.86266666666667
DPY19L2P2	-0.7505
TRAPPC6A	0.0613333333333333
C21orf2	-1.141
CEMP1	-0.88625
LIN7B	-1.0085
E2F7	-0.935166666666666
VCP	-0.4538125
LAMA3	2.45916666666667
BGN	1.40025
GPR160	1.70033333333333
COCH	-0.626666666666667
GPR81	-1.994
APOBEC3F	-1.193
tcag7.1017	-1.0045
C1orf32	0.198
SCGB1D2	-0.228
FLJ43987	-0.558
C6orf170	-0.1855
KLK9	-0.1515
GPD1L	0.79825
VPS37B	1.1375
ATG3	0.129333333333333
ADAMTS17	-0.297
KLHDC2	-0.535
NDUFV2	-0.34525
BLK	-3.43525
MATN4	-1.424
GPM6A	0.2028
GBP4	3.01616666666667
TMEM162	0.1496
PKP2	2.7125
HRASLS	-1.00888888888889
MMP1	3.006
SFXN3	-0.1944
FSD1	-2.35433333333333
ST6GALNAC3	-1.56916666666667
CA12	2.6411
NCOA6	0.283
C19orf58	-0.1951
PPP4R1	0.391666666666667
MAN1A2	0.920166666666667
IKBKAP	-1.202
UPF1	0.2865
KIAA1219	0.76475
WNT16	0.764333333333334
SNW1	0.067
IL18RAP	4.20375
RPP30	-0.284
CDC40	0.436928571428571
SETD3	0.912666666666667
SLAMF6	-0.2535
ELK4	-0.4535
TRIM47	0.458
ACOX3	0.537375
TRIM6	-1.09475
KIAA0372	-0.496666666666667
TP53AP1	1.50275
SMURF2	-0.0675
ADAD1	-0.0735
EBP	0.3703
KRTAP13-2	-0.064
FLJ36874	0.106166666666667
TOR1A	-0.141
P2RY4	-0.2195
GPBP1	0.07925
TRPV1	-0.20625
ADAMTS12	-0.0806666666666667
PES1	-0.195
ATG4A	0.641333333333333
MAGEA10	-4.9975
WFS1	0.294
CC2D1B	0.941166666666667
PABPN1	0.0591250000000001
SLC25A30	-0.2835
SLCO1C1	0.447833333333333
SLC22A5	1.58275
KIF23	-1.3255
SYN2	0.494333333333333
ASPN	5.89116666666667
CENTG2	0.05175
QSOX2	-0.9659
FLJ10815	-0.0166666666666666
STK24	0.36075
SPEG	-0.3645
STK10	0.646
DACT2	0.3645
AAAS	-1.113
SSX3	-1.038625
ABCD3	0.7422
C4orf12	-0.46125
PARVG	0.511
FIG4	0.12675
C9orf46	0.94875
TMCO6	-0.755
IGHMBP2	-0.97275
DUS2L	-0.484166666666667
FAM3C	0.283125
TMEM16D	-1.28628571428571
DCTN4	0.0885
KCNH3	-0.2165
EIF2AK2	0.87625
AP1S3	1.441375
CST4	0.36
PAM	0.5760625
NUTF2	-0.22225
CITED2	-0.7722
SLC39A4	0.78175
C2orf52	-0.722
GRM3	-0.047
C12orf49	1.218875
CCDC49	-0.298
GRAMD1B	-1.01457142857143
FNDC4	0.7365
SIAH2	-0.829125
GDPD4	-0.158
C21orf87	-0.090125
ATP5A1	0.183
C16orf63	-0.734
LOC388135	-1.21266666666667
ATP5J2	0.06725
MMP3	4.03775
EMID2	-0.36175
CRHR1	-0.45975
WDR70	-0.421
C13orf31	1.71225
ZFAND1	0.0595
CCL18	5.2065
C3orf49	-1.1025
RINT1	-0.469
KIAA0408	-1.04633333333333
F13A1	3.8035
SLC10A1	-0.4222
OGN	-0.47825
GIPC2	3.61883333333333
XPO6	-0.583666666666667
LCE1A	0.6945
FMR1	0.4948
LOC374920	0.27775
DUSP3	0.57125
ANKMY1	-0.6345
C7orf50	-1.7135
BBS9	-0.8527
UNC119B	-0.266125
C9orf72	0.120625
MGC35440	0.20825
ENTPD6	0.26975
PPP1R2P9	0.13325
ERCC4	-0.31275
FAHD2B	-1.014
HMHA1	-0.487
HACL1	-1.40925
RAD23A	-1.23966666666667
FAM83B	1.419
PPP5C	-0.8735
RNASEH2C	-0.442875
C9orf153	-1.0075
SCAMP4	-0.4015
GHITM	0.8013
NDUFB7	-0.00337500000000002
ADCYAP1	-0.553666666666667
SP110	0.751166666666667
MAP3K7IP2	0.737
DHH	-0.5725
AGRN	0.254571428571429
WDR33	-0.5015
CEP290	-1.08116666666667
PRPS1L1	-1.15083333333333
KLRA1	0.303
GPR97	0.0655
CHD7	0.223
TLR10	-0.45125
SLC30A8	-0.219
HIC1	0.4695
IAPP	0.602
RXFP4	0.88475
GP1BB	-0.073
SHQ1	1.096
NKX2-3	0.302833333333333
API5	-0.01725
FTHP1	0.8025
MOV10L1	0.0428333333333333
TRIM6-TRIM34	1.71133333333333
ADHFE1	-0.217
FAM117A	-1.33925
DDI1	-0.419166666666667
CDON	-1.70783333333333
TRIM73	-0.194
IGKC	0.769
MMP14	0.364166666666667
DYNC1LI1	-0.80175
C11orf66	-0.36875
TRBV3-1	-2.458
FASTKD5	0.851
BIVM	-0.98425
LHX4	1.01025
CXCL2	4.0242
RAB2B	-0.0933333333333333
IZUMO1	-0.44325
MAP3K15	-1.115125
FAM19A2	-0.234166666666667
ZC3H8	-0.139333333333333
ZMAT1	-0.21375
SPINK5L3	-1.03933333333333
SLC10A6	-0.0305
APPL2	0.289125
CARD10	0.680833333333333
LOC402176	0.508875
EEF1D	0.6124
RAB6A	0.4783
C12orf5	1.38075
PAPOLG	0.166
MSRB2	0.984
BCR	0.696166666666667
PUS3	0.38575
TIAM2	0.19175
ZNF317	0.337166666666667
CHD2	-0.0861428571428571
FZD5	2.06722727272727
NUDT8	0.57175
ZNF763	-0.1955
PRC1	-0.937888888888889
ABCB9	-0.362333333333333
SPATA3	0.159333333333333
TRAK2	0.3105
STAB1	2.845375
LRRTM2	-0.174833333333333
psiTPTE22	-0.17575
DBI	1.1055
SERPINA11	-3.31475
NAT5	-0.059
C20orf58	-2.0315
RPS6KA4	0.649833333333333
FLJ90650	-1.363
TGFBRAP1	0.238
CHRDL2	1.837875
FAHD2A	-0.943666666666667
CNTN1	0.04625
BBS4	-1.0587
TMEM181	0.4185
MINPP1	-0.18875
MPHOSPH6	-0.0844166666666667
HOXC10	-1.80388888888889
ITPKB	-0.707
CLPTM1L	-0.236875
MEOX2	-0.8666
ATP6V0C	0.003
PRPF8	-1.0085
TMC5	4.127
FKBP3	-0.32475
PLEKHB2	0.43975
OR4D6	0.0045
ZNF544	-0.309
D2HGDH	0.003
RPL18A	0.348
HEL308	-0.09625
MPP6	-3.39325
TCERG1	-0.88975
KRT16	-1.61583333333333
KLF17	-0.49375
KLF5	4.257625
CDR1	1.05225
VCX3A	-3.473
FBLN2	0.824125
C14orf104	0.48625
HBE1	-6.8058
OR4S2	1.446
C1orf108	0.3035
ROBO4	3.458
CPEB4	0.00374999999999998
C11orf80	-1.0245
BCKDHA	-0.4025
MYOC	0.39325
GIF	4.191
CKMT1A	3.3375
RPL3	0.287
THBS1	1.626875
APOO	-0.11425
ARMCX1	-0.064
HSZFP36	0.92375
SNAPC5	-0.269
EIF4ENIF1	1.17575
ZNF433	-1.45125
TNFRSF21	1.068625
TMPRSS7	-0.2355
SPATA18	1.3679
HPDL	1.089
MKL2	0.1279
TBX3	-0.461923076923077
C21orf93	0.0603333333333333
DAXX	-0.2685
ELMO1	-0.225125
RGS13	1.96766666666667
TAF11	-0.33225
UNC13A	-1.017
LOC653314	-0.3145
ORC3L	-1.031
IMAA	-1.5825
TARBP2	-0.895
CABIN1	-0.2825
TRIOBP	0.33175
HIST1H2AC	-0.71375
RGS22	-2.839
NCOA1	0.446833333333333
IL25	0.8145
SNCG	-0.9165
GPR6	-0.354
AMDHD1	-1.9965
CHEK2	-0.336875
C6orf142	0.13025
DRD4	-0.1315
C14orf68	-1.106
GDF11	-1.827
SEMG2	0.065
CD247	-1.4615
CDAN1	-0.4235
RBMX2	0.191166666666667
TGS1	-0.07475
OIT3	1.4785
SYF2	0.3895
MCM4	-1.184125
PKHD1L1	0.3766
CEP192	-0.4965
IFT88	-0.4125
RPL9	0.6595
RAB32	1.651375
DDX43	1.63975
P2RX2	-0.136833333333333
OR5D18	0.203
UBE1	-0.6085
SLC24A1	0.222125
ARHGAP5	0.4175
CETP	0.6205
KIAA1731	-0.5145
SLC9A4	-0.00700000000000012
PTPN6	0.448
BAHD1	0.02575
GRIK3	-0.069
CACNB2	-0.2342
PDE10A	0.1325
DGCR14	-0.5685
PCDHB9	-0.319333333333333
RHOQ	0.599166666666667
MAP3K4	0.1155
KTI12	0.513666666666667
RPL23AP13	-1.018
GNG11	-0.1545
CLCN3	1.52266666666667
GPAM	0.083375
VSTM2A	-0.726
SLAMF7	1.48433333333333
INTS2	0.117
PPP2CA	0.4917
LRP12	-0.116133333333333
SEC14L2	0.239111111111111
DKFZP586H2123	2.5555
MC3R	-0.677
CIRH1A	-1.50066666666667
HIST1H2AB	-1.07316666666667
POLH	-0.014
MGC16703	-1.7845
SNAPC2	-0.883
FILIP1L	2.07
RASGRP4	0.3485
LRRC1	2.623
GAS1	0.73075
PRAC	3.3075
DGKA	0.244666666666667
NT5C3	0.0675
PEG3	-3.24958333333333
NADK	-0.11525
PRR17	-0.89475
LOC374569	0.15625
SGSH	-0.298333333333333
NLRP8	0.2355
GALT	0.1523
MCF2	-1.251
ZNF263	0.12025
TACSTD1	3.85766666666667
TYR	-6.3218
ATP6AP2	0.072
RNUXA	0.093
ABHD10	0.3372
GDPD2	2.149
SLC35C1	1.23975
UBE2A	0.35975
HERC5	-0.817166666666667
FAM112B	-5.36216666666667
FBXL16	-1.8995
DKFZP434A0131	-0.62625
ELA3A	-2.296
RBM41	-0.556875
HAO2	0.47575
RNH1	-0.23375
SHANK2	1.5045
OSBP2	-1.536875
DAK	-1.205
C3orf58	1.1515
TCL1B	-0.619
KBTBD2	-0.153375
SUGT1L1	0.75975
UBE2E2	-0.467166666666667
MYL9	2.2655
CDC23	-0.5075
PBXIP1	0.7407
CXorf40B	-0.219
NBL1	2.14775
RTBDN	-0.068
RAB11FIP5	0.344125
TTTY13	0.252
SCOTIN	0.108333333333333
SOHLH1	-0.697
CDKN1A	0.642928571428571
NCK1	0.56125
ZNF550	-1.0545
SAPS3	0.455833333333333
SPIN3	-0.235333333333333
MAGEE2	-0.19775
MIS12	-0.696666666666667
OR8H2	-0.2585
KIAA0774	-0.700333333333333
UNC5D	-0.791
CUL7	-1.15733333333333
LIPC	-3.03866666666667
DIO1	-2.697
C20orf11	0.2213
CTRL	-0.8585
HS3ST2	1.32625
PAK4	0.1625
CCRL1	2.983
RNF10	0.385125
ZNF567	-0.221
ZNF660	-0.269
TCEAL3	-0.29875
MAGOH	0.371166666666667
CENPB	-0.372666666666667
C19orf7	0.949875
LOC388965	-1.408
ZCCHC13	-0.676
JMJD1A	-0.4408
HIST1H4H	-0.6825
TBRG1	0.5171
GPC3	-4.995
TAF1C	-1.20225
EBNA1BP2	-0.558833333333333
CIAPIN1	0.15225
PDGFRA	0.2895
CSTB	1.065
CENPI	-0.7565
GTF2E2	0.256
RPP21	-0.151
CCNF	-0.695333333333333
KCNQ3	0.366
FAM79A	1.932
SLC22A12	-0.1815
NOVA1	-1.423
FZD3	0.2603
AKAP8	0.2445
SOCS5	0.03975
CFDP1	-0.19475
DLG5	0.66675
PGM5	-0.221916666666667
C1orf144	0.349416666666667
HDAC10	-0.882
RND2	-1.13275
C20orf199	0.45975
RNMT	-0.078375
SLURP1	0.057375
ASTN1	-0.028375
SH3BGR	0.11675
MYCL1	-0.266
ZHX1	-0.00749999999999999
CENPK	-1.12325
FOSB	0.4478
LOC643406	0.189
C2orf59	-0.485875
TMEM135	-0.4355
SLC27A2	1.35975
KRT33A	0.787
OVOL1	1.749125
PAMCI	-1.727
S100A7	-0.6705
ZNF789	-0.6195
HARS2	0.6645
RPL23A	-0.0681666666666667
TCF23	0.39625
UPF3B	-0.834375
C17orf78	4.366
HLA-DOB	0.2495
C14orf142	0.6885
TEKT5	0.676333333333333
DMWD	-0.3725
POLD1	-2.30533333333333
GSCL	-1.086
CALD1	0.9323
SCRT1	0.029
AIG1	0.9785
UNC84B	-0.947
ZNF404	-0.19775
TMED6	-1.96925
KIAA1462	-0.324
LRRC27	0.989666666666667
PYGO1	0.2845
PIGU	-0.0608333333333333
ALAS2	-5.16316666666667
WRNIP1	-0.07775
CNNM3	-0.2285
ZNF2	0.017
ST3GAL5	-1.16916666666667
MRPL23	0.4995
TSSK6	-0.32075
PSMA6	-0.5425
C16orf70	-0.3875
KIAA1602	-0.90275
ALMS1	-0.535833333333333
DCN	2.880375
TMEM132D	-0.237333333333333
SUCLG2	0.78925
ABHD14A	-0.11225
DEXI	-0.359333333333333
AMPD2	-0.818666666666667
IFNAR2	-0.0941666666666667
CYB5A	1.3402
TLOC1	0.50505
NXF5	0.0671666666666667
NRBF2	0.698375
KCTD3	-0.15
ITGAE	-0.232333333333333
SLC30A3	-2.23483333333333
ZRF1	-0.9675
IFRD2	0.30025
XAB1	-0.17975
PYCR2	-1.37866666666667
SERPINB3	-2.3555
TMLHE	0.2354
GEFT	-0.364
ABCA5	-0.186625
EMR4	0.2055
TSFM	0.174
HIST3H2BB	-1.1915
ARHGEF19	-0.578
TSPAN17	0.100666666666667
ABCC8	-1.23325
MAP1S	-0.233666666666667
C22orf36	-0.03275
BNC2	-0.179428571428571
HIST1H4A	0.452
NDUFS3	0.623833333333333
WDR3	-0.252333333333333
XKR4	0.242
TTC33	0.133
STMN2	4.95825
CPN2	-0.5925
HSPC105	0.41175
PCOLCE2	-4.35975
C3orf55	2.027
KLHDC9	0.821
TBC1D23	0.441875
ATXN2L	-1.62591666666667
MAP2K3	0.744666666666667
SCAP	-0.064
ZNF486	-0.404166666666667
C20orf96	0.405
NARS	0.3745
ADAMTSL1	-0.697428571428571
PRCC	-0.0495
CCDC126	1.38366666666667
ZNF675	-1.22025
CALCOCO1	0.05825
ANKRD43	3.8405
CWF19L2	-1.411
ZBTB32	0.9525
BRAF	-0.48875
ODF4	0.13725
MGC14376	2.7895
HORMAD1	-1.0665
AAK1	0.0296363636363636
PEBP1	0.588666666666667
TNFSF5IP1	0.142
DKFZp564N2472	0.5465
RMND1	-0.529625
IGKV1-5	1.9325
COL1A2	2.77933333333333
SERPINA5	-5.353875
AANAT	-0.3675
C19orf21	2.9975
GEMIN5	-0.554
UBR4	0.1396
LTBP3	-0.637166666666667
AMHR2	-2.213
PROCR	1.51125
MYBBP1A	-0.4
C20orf39	0.103166666666667
ZNF697	-0.60525
PASK	-0.8673
ZNF776	0.3265
RFXDC2	-0.455625
KIAA0467	-0.718
C10orf96	-0.3525
ZNF503	-0.312
GULP1	0.612083333333333
KCNE4	-0.188
DKFZp434K191	-0.871
LOC196913	0.4105
BHLHB4	-0.332
CH25H	3.2955
LOC81691	-2.389
ALPL	-0.178714285714286
COL12A1	3.135125
FOLR3	-0.667166666666667
GPR123	0.07275
TRIM62	-0.2735
ABLIM1	2.0295
MAST3	-0.0765
RHBDD1	0.530666666666667
LOC338809	-0.0995
RYBP	0.13975
TTC26	-0.547
ZNF22	-0.182333333333333
ISCA2	0.42325
RDM1	-1.74475
PIGM	0.039
GNB3	-1.456
ACTR2	0.5902
HMGB1	0.2832
EDG1	2.55016666666667
SOAT2	-4.26575
OR10AD1	0.465
RAP1GDS1	0.983166666666667
LCE1F	-0.0565
ESM1	0.39925
RCN3	2.0465
CREBL1	-0.72575
DBNL	-0.4505
PTGER3	1.1525
USP30	0.174166666666667
BCL2L12	-0.0708333333333333
KIF26B	2.25625
ZNF416	0.094
ZNF225	-0.386
C17orf70	-0.62475
ZNF554	0.58275
RAE1	-1.19966666666667
TNIK	1.52133333333333
ACTN3	0.7465
MGC45922	-0.0265
CCNA1	-1.88283333333333
RYK	0.434666666666667
IL26	0.191
LRP3	-0.738666666666667
QARS	-0.07525
SOX7	-0.0937857142857143
BID	1.016875
OR2S2	2.657
CXCL14	4.853
C11orf47	-0.5515
MGC29891	0.522166666666667
HSPB8	-0.8442
PRDM14	-1.046
NUFIP2	0.718
MNAT1	-0.782
ZDHHC2	1.55108333333333
MBNL2	0.15075
ADD3	1.091625
CSNK2A1P	-0.55025
KLK6	2.3535
TMEM111	0.2784
KIAA1279	0.32725
NUBP2	-0.81
RAB42	-1.653
ID3	-0.3308
TM9SF1	-0.53925
MDP-1	-0.37175
POU4F2	1.2455
IQCK	0.08475
C16orf14	0.42325
CAPN3	-0.765625
FAM43B	-1.030125
RECQL	-1.1115
AP1G1	0.126714285714286
CTNNBL1	-0.2835
ECHDC1	1.2125
SMARCC1	-0.3333
FOXQ1	0.88725
GNAI3	0.803333333333333
POLG2	-1.64175
CD4	0.34975
ITLN1	5.02775
EBI2	1.881
IRF1	1.02275
PTPRE	2.6079
PTK2B	-0.78475
NXNL2	-0.4595
SOX4	0.548222222222222
TSPAN3	2.1915
SH2D1A	-3.18566666666667
C8orf58	-0.7315
USP20	-1.6145
DUSP22	-0.35525
CALB1	-0.1255
L3MBTL2	0.0860833333333333
MCRS1	-0.16825
TMEM118	-1.54066666666667
C18orf8	0.545833333333333
FLJ10241	0.189625
GJA12	1.52075
PKD1	-0.854
ZFP3	0.285
JAM3	-0.914125
LAPTM4A	0.8618
DIRC2	0.83125
KIAA2022	-0.849666666666667
MYOM1	0.891166666666667
TRPM8	-1.8558
MOP-1	0.423
PHKG2	-0.34975
ZNF650	0.867
KIAA1522	1.049125
PSG8	-0.048
DDX19B	-0.5375
MOBKL1B	0.857
DIAPH2	1.28275
PTPN12	0.1815
CLN8	-0.1914
CRYZL1	-0.299166666666667
CRY2	-0.63675
FCGR2B	3.61366666666667
PNPLA4	-0.10225
ZNF454	-0.7865
DKFZp434B1231	-0.4995
CLDN11	0.3547
RFWD2	0.763166666666667
CIB2	-0.999166666666667
MXRA8	1.543875
HRK	-0.96425
MAML2	0.419
C4orf31	3.284
C6orf192	0.83675
COG6	1.010625
FAM5B	0.694
NFATC1	-0.2261
SEPT10	0.338
SCYL1	-0.761
RPP40	-0.12
SCOC	0.4521
KIAA1450	1.465
CTDSPL2	-0.25475
TBX5	0.447
NAPG	0.9205
RHD	-4.34
C14orf45	0.1625
ZBTB22	0.109
PLCG1	-1.08
ANKRD10	-0.4395
AQP7P2	0.03025
TAGLN2	0.553333333333333
HTR2C	0.0896666666666667
SLC16A7	0.55
C17orf83	-0.357333333333333
TSGA14	-0.579
MDH1	0.19425
PPP3R2	-0.104333333333333
DCBLD2	-1.76264285714286
RBM33	0.439875
DPH3	-0.38175
SYT10	-0.332166666666667
FMO4	0.770375
THYN1	-0.37
DRD5	-1.2755
OTOR	-0.0847142857142857
PGRMC2	0.1168
KATNAL1	-0.864625
PAQR6	-2.64125
UBE2I	-0.73225
C14orf28	0.5165
C8orf70	-0.155
FLYWCH1	-1.345875
ANGPTL3	-0.612
GLRX2	0.27
ATP11A	-0.198857142857143
ARL5B	0.872125
MUC16	-1.9815
SLC25A5	0.0875714285714286
ACRC	-0.177
MYO1C	-0.149625
FAM89B	0.429166666666667
FAS	2.105125
KIFAP3	0.38175
GLRA2	0.632
BTN3A2	0.5308
CNKSR3	-0.074125
CSTF3	-0.949
ARPM1	1.434
KIAA1530	0.6015
C9orf150	2.70716666666667
PRKCI	0.24175
tcag7.1015	0.16675
SOD3	2.07
ZNF574	0.307
CYP21A2	-0.984
RPL12	0.2295
COMMD2	-0.7635
WIZ	0.3975
LOC344405	-1.36425
ALDH4A1	-1.07147058823529
CRYAB	2.04575
COPA	-0.114233333333333
PCDHGA7	-0.226
KIF11	-0.605833333333333
RASD2	-0.12125
SLC26A3	3.237
ZNF175	-1.2215
JAKMIP2	-1.1175
C8orf4	1.97683333333333
PTHLH	0.13775
SLC40A1	2.65941666666667
OR7D4	0.155
PCDHB17	0.639
CD36	1.48678571428571
C6orf203	1.6287
PRKG2	0.8195
LOC400566	0.14025
ANAPC13	0.0235
SLCO3A1	-0.3035
ZNF692	-2.215
FANCL	-1.158
SH3GLB1	0.984
C12orf61	-0.25
KBTBD6	-0.26875
SUPT5H	0.13575
XRCC6	-0.4455
HUS1B	0.0586
FAM133B	-0.0130714285714286
LOC728276	-0.79
KCTD18	1.114
SOS2	0.845666666666667
CCDC99	-1.361
C1QTNF5	2.9755
NNAT	-0.357166666666667
USP16	-0.52075
LARS	-1.08
ZBTB2	0.24725
ABO	0.132833333333333
TRAF3	1.2165
GALNT5	1.0725
NAP5	-1.26075
ALG14	1.36833333333333
KIAA0515	-0.425653846153846
WDR75	-0.297333333333333
TEX261	-0.364083333333333
LY86	0.27175
LOC389072	0.219
FLJ13611	0.21225
MRGPRX2	0.46
SNRPA	-1.1375
OR2G2	-0.178
GPRASP2	0.30925
C7orf42	0.8582
C9orf163	-0.8455
CYP11B2	0.5345
FCRL3	0.0796
PRDX1	-0.651
FGB	-4.88483333333333
COX17	1.56833333333333
C16orf33	-0.687
PIWIL1	1.14966666666667
FOLR1	-1.821
KIAA0082	-0.437
FREQ	-0.76
TMCC2	-1.458
TCF12	-0.03325
ZNF721	0.964
FAM130A2	0.374666666666667
POU4F1	-0.80525
SNRPF	-0.2765
SGIP1	1.01483333333333
ZNF641	-0.2055
EMG1	-0.143625
PRRG4	2.2345
HIRA	-0.637
