Hybridization REF	TCGA-AA-A02H-01A-01R-A00A-07
AGBL3	0.17325
LRP6	0.5567
SERPINH1	-0.791666666666667
TLE1	0.0435
CD244	0.8135
ZDHHC15	-0.58175
MGLL	0.2445
PLDN	-0.296916666666667
LOC654346	2.5175
FAP	0.36375
GPR37	-0.760666666666666
SCARA5	0.903666666666667
EBF4	-0.0243636363636364
LSM6	0.37375
MLLT1	-0.25625
SLC5A12	0.36775
A2BP1	-0.834666666666667
COPS5	-0.311666666666667
TPM4	0.00714285714285709
TNFSF4	1.03783333333333
ACADSB	0.185944444444444
HERPUD1	0.04125
BCL2L11	-1.23405555555556
CEP78	-1.758
CDCA3	-1.66325
WBSCR19	0.1561
MYO1A	4.754
PPEF1	0.7845
LOC440348	0.27575
CPEB2	0.0775
BPTF	-0.260416666666667
RPL21	3.606875
GSX2	-0.587
ADPRH	0.0356666666666667
C17orf68	0.0953333333333333
KCNS1	0.1945
MLLT6	0.3384
PIWIL4	3.5005
RNF26	-1.08625
RAP1B	-0.253
ADAMTS1	-2.4984
ZNF571	1.04325
P2RY6	-0.40975
TRIM21	0.857166666666667
CADM3	-0.0575
NLRC5	0.848166666666667
ADRA2B	-0.0553333333333333
LOC90835	-1.3735
PCF11	-0.0535
LOC400451	-0.81075
GLTSCR1	0.2125
C17orf88	-0.0376666666666667
CDH16	0.4015
FGF7	0.879571428571429
PCSK4	-0.378833333333333
NPC1L1	-0.766666666666667
TAT	0.03
TBCA	-0.526
MGC33407	0.01875
GPR115	2.328
CYGB	0.3065
FNBP4	-0.2365
C12orf43	-0.39075
CBL	0.0447
CLECL1	-0.5335
PPAPDC1A	0.1045
WDR25	-0.604666666666667
SGCA	0.4455
C22orf29	-0.301333333333333
YIPF1	0.113
GALK2	-0.742
RAB3B	-2.61275
LOC440087	-0.18575
UCP1	0.5395
REEP5	0.715625
FADD	-0.6288
FOXA1	-3.7355
CACNA1A	-0.400333333333333
ABI1	0.9715
GRIN2D	-0.239
SLC1A4	-0.690833333333333
LOC401127	-0.44725
HINT2	-1.00875
PLD4	-0.292333333333333
ZNF286A	-0.4655
ENY2	-0.048
IL1F6	0.1215
PXDNL	0.03275
C20orf79	0.1045
TNFSF13B	1.45966666666667
DENND3	0.63575
JARID1D	-1.963
HIST1H2AK	-0.250125
LOC93349	0.1822
SSH1	-0.7405
ENSA	-0.49775
LOC219854	0.328666666666667
CKAP2	-0.4768
DKFZP564J102	-0.792333333333333
MGC87315	0.568333333333333
HNRPAB	-0.45525
AMH	-2.836
ZNF526	1.3795
BRUNOL5	0.0621
CACNG3	0.169166666666667
TRPM1	-1.2915
PPP2R1A	-0.010875
COL2A1	-0.7205
DDN	0.0798333333333333
FLJ25770	0.480181818181818
HK2	-0.632071428571429
ELOVL6	-0.8785
MDK	-0.2975
EPHX1	-0.884
RASSF2	-0.375375
DKFZP434B0335	-0.523
DLX3	0.459
PRTN3	-0.74325
AVPR1A	0.69825
C21orf125	-0.18175
TNFAIP8	-1.47883333333333
GNB2L1	-0.65775
CALCRL	1.5485
SCGB2A2	0.295
UBXD7	0.0266666666666667
ZNF674	-0.411
TMEM35	0.289375
BRSK2	0.746875
HECTD3	0.1185
TMEM188	0.109166666666667
LGALS9	2.4635
SCARB2	0.789
USP34	-0.309333333333333
C17orf28	-0.01225
ZDHHC23	1.028
AQP12B	1.954
SLC16A3	-1.07925
APLP2	0.247125
ITIH2	-6.894
MICAL3	1.091
TNNI3K	0.0577
HDAC2	-0.543
PRR7	-0.0119
THBS2	-1.504
LOC751071	-0.733666666666667
CA2	0.816166666666667
RANBP17	-2.09575
RLN3	0.2155
CRYZ	-0.9535
GBAS	0.4435
TAS1R1	-0.82725
MPZL3	0.3465
PCDH8	-0.6345
HSP90B1	-0.267166666666667
KCNK15	-0.751
TNIP2	-0.631
GPR146	-1.25425
NOL6	0.028625
SPC25	-2.00233333333333
STEAP2	2.55657142857143
VAMP3	-0.115
TCIRG1	-0.03925
ZP4	-0.283333333333333
PARL	-0.304875
TRIM39	0.388166666666667
KIAA1305	1.56625
CRNN	0.402166666666667
GRN	0.4955
HSH2D	0.90375
SCAMP1	-0.11225
KIAA1913	2.75775
PTS	0.28225
BANP	-0.212285714285714
PRKACG	0.0995
ADCY6	0.4095
C16orf46	-0.355
CYP51A1	-0.163375
DDC	4.91325
ANPEP	0.583333333333333
PROM1	3.94866666666667
SIGLEC10	0.68175
COPG	0.3625
FAM26E	0.069625
TRIP4	0.372
SNX3	-0.242666666666667
C1orf175	1.29566666666667
PPY2	-0.24175
C14orf152	-0.14275
FTSJ1	-1.03766666666667
DST	-0.16975
LOC554235	0.24975
GLRX5	-0.7035
C20orf12	0.2607
CAB39	1.0835
MSH2	-1.15983333333333
PIP4K2C	0.66225
CYLD	0.229875
WTAP	0.1045
MGAT4A	0.946777777777778
TSC22D4	-0.0829
CHRM2	0.647
PPYR1	-0.0241666666666666
CCNH	-0.297166666666667
RRM1	-1.05275
ECAT8	-2.7
LOC400120	0.06475
GABRA4	0.237142857142857
C14orf4	-0.410666666666667
C1orf59	-0.2745
CTDSPL	0.563916666666667
NHEDC2	0.0955
PDE11A	-0.59025
KLHL29	1.47875
CD5	-0.4579
TSPAN9	0.199866666666667
WDR67	-0.5165
THUMPD1	-0.521
C18orf17	-0.764
CLYBL	2.10983333333333
FLJ13231	-0.955
CMBL	1.189
LECT2	-0.26525
NKAPL	0.252
LOC654780	0.214
OR4C6	0.44
RAB30	-0.185
TSSK4	0.273
TMEM163	0.6745
OSBPL11	0.054
GNB5	-1.25133333333333
CCL21	0.571
C1orf121	0.469666666666667
FMO2	0.327666666666667
RPTN	0.81
MSTN	1.065
VCL	-0.0493571428571428
FYTTD1	-0.1295
C11orf1	0.15675
CCDC88C	-0.198
HFE	0.274277777777778
MOGAT1	-0.694
FAM125B	0.6515
IRGQ	0.666
RAVER2	2.153
AKAP5	-0.0915
SSSCA1	-0.4485
C11orf63	0.284625
ACTG2	2.1513
PORCN	-1.504
DTL	-1.50518181818182
TMEM151	0.0925
FAM122C	-0.10325
RSAD2	0.324
BAT4	-0.869
KRTDAP	-1.096
MYH8	-0.582625
CRTC3	1.14325
LRRFIP2	0.1562
INTS4	-0.293666666666667
TTN	-0.820166666666667
SLC26A5	-0.1235
PLLP	-0.7535
RGS6	-0.711375
SRGAP3	0.459625
ZNF525	0.803
NBR2	0.258166666666667
C13orf1	1.8983
ZNF137	0.7865
CEP27	-1.201
BEST2	2.0565
RNF121	0.000250000000000014
DMRTC2	0.23325
C8orf76	0.557
BCCIP	-0.26225
MEST	1.175
HTRA2	-0.4465
ANGPTL2	-0.608
ILKAP	0.0175
ERAS	-0.272
HBS1L	-0.783875
CPA5	-0.319
TMEM30A	-0.1405
CD300LF	0.705333333333333
WISP3	-0.4105
CRK	-0.204571428571429
PDS5A	-0.4702
BRPF3	0.7335
NEDD9	-0.281375
SMPDL3B	0.941
PSG6	1.4705
PSMD13	-0.3595
ETV5	-3.0273125
OR51A4	0.1615
BTBD7	0.400416666666667
GSTO1	-0.5415
hCG_16001	0.932
MAD2L1BP	-0.0193333333333333
COX6A2	-0.167
SCNN1A	0.895
LSM1	-0.1855
UGT2B11	0.0685
IDUA	0.598
PPP2R3C	-0.3625
COX11	-0.312666666666667
PDZK1	-1.48875
ZNF443	1.40983333333333
MGC21874	0.2885
ZNF323	0.99
KRTAP10-10	0.137
CXCL6	-0.2675
SLC34A2	0.3268
LOC284402	-0.3995
NPTN	0.641083333333333
UPP1	-0.954416666666667
SLC6A9	-0.2455
OR7G3	-0.0645
CISD1	0.439666666666667
ZNF545	-1.69083333333333
SYT14	-0.863
NT5C3L	-0.0336666666666667
ZNHIT3	-0.219833333333333
SNRPD3	-0.11625
KIAA0701	-0.594875
UNC93B1	-0.279166666666667
GMNN	-1.01475
SPCS2	0.217833333333333
LOC388524	-0.408
NAPRT1	0.96
PNLIPRP1	0.16775
OR6V1	0.451
PRKAB1	2.28625
EYA4	-0.855166666666667
KIF20A	-2.9515
ALG10	-0.38975
ITPKC	1.93533333333333
LMX1B	-0.3055
RPUSD4	-0.0625
C7orf34	-0.173833333333333
DLGAP2	0.743375
PFN1	-0.6194
MICALL2	-0.251083333333333
ZNF654	-0.504
SS18L1	0.291875
SLC16A8	-0.21475
MKI67IP	0.652666666666667
ITGB3	-0.850625
TCEA3	1.69958333333333
CEP152	-1.1496875
CLIP1	-0.09625
ZNF75	0.839875
ATP5C1	-0.185833333333333
NUDT5	-0.205666666666667
PSCDBP	-0.2375
UBP1	-0.0985
RBM27	-0.7185
C13orf15	1.7225
ZNF282	0.3925
ZNF222	-0.431
COL10A1	3.79275
PRDM15	-0.60275
TTTY5	0.136
FAM9C	-0.499833333333333
C20orf67	0.205
GNG13	-0.2545
F12	1.3645
C1orf41	-1.1485
CPXCR1	-0.594
GSK3A	0.259875
SUPT6H	-0.127833333333333
PI16	-0.539166666666667
ELL2	-1.22741666666667
C9orf167	1.5355
PVRL3	-1.161
FLJ38596	0.5465
ADAM20	0.88025
GPR89A	0.289
GPR87	-2.903
ZNF30	0.73675
SMR3B	-0.15275
ZNF770	-0.2405
TRPC4AP	0.304166666666667
DKFZP686E2158	0.760666666666667
C2orf28	0.834166666666667
FREM1	0.287333333333333
LAMA4	0.09
ADPRHL2	-0.72225
EIF4G2	-0.0783333333333333
GUCA1A	0.3765
CTNNA2	2.0835
NUDT15	0.221166666666667
CEPT1	0.226833333333333
ZNFX1	1.0204
CCDC92	0.457
TDRD1	0.375
KCNK5	1.951
ETNK1	0.285083333333333
LTA	0.00599999999999998
TTPA	0.945833333333333
B3GALNT2	-0.126
SC65	-0.757666666666667
PEX5L	-0.445875
EPS15L1	-0.4585
MGEA5	0.176625
HIST1H3A	0.7365
ING1	0.654125
BCAT1	-3.3985
ORC6L	-1.83581818181818
KLK11	-3.30683333333333
C19orf28	-1.116625
DNER	-3.73575
MED22	-0.987928571428571
ETV6	1.06091666666667
CHAC2	-1.464
CD300E	-0.2385
CEBPB	0.237333333333333
ZNF398	0.69675
LRCH3	-0.3195
HMGA1	-0.7625
CAPN7	-0.284166666666667
MGC5566	-2.07275
CCL3	1.545125
NANOS1	-0.909125
ZFYVE19	-1.37025
APITD1	-1.20083333333333
PARD3	0.58525
IRAK4	0.290166666666667
SERPINI2	0.00750000000000001
CEP170L	-1.50925
TTC9	-0.483857142857143
MYOM3	1.448
MLPH	-2.419625
LOC222699	0.0195
NRG1	-1.02945454545455
TBC1D9	-2.30009090909091
TTK	-1.28033333333333
ZNF557	0.632
DDX41	-1.18283333333333
FANK1	1.0005
UBE2D2	0.209125
PSMB10	1.156875
MYH7B	1.9015
GABARAPL2	-0.124
MARVELD2	2.2775
DGCR2	0.665333333333333
UNC45A	0.421
C6orf72	-0.542
ZNF683	1.87075
GIT2	-0.005875
CASK	2.27116666666667
C14orf161	1.30266666666667
LRRC44	0.1625
TIFA	-0.534125
UTP11L	-1.012375
C6orf65	-0.68275
FDPS	-0.8625
DUSP9	-2.3036
SLC17A8	0.134833333333333
OR51G1	-0.0163333333333333
NANS	-0.05625
OLFML1	0.98075
ATP10B	4.145625
NPAS3	-1.88425
PRKCA	-0.097
GGA2	-0.67625
LCE4A	0.427
SPANXN3	-0.325666666666667
CCDC115	0.57975
SDCCAG3	-0.8025
GLIPR1L1	0.1485
TTC1	-0.8095
C17orf76	4.15325
MAD2L2	-2.326
HIPK1	-0.5745
LRRC3B	0.448333333333333
CLN3	-0.559363636363636
C17orf47	-0.325
FMN2	-1.745875
TUBB1	-0.576375
WAPAL	0.406
C3orf21	-0.83925
SCN5A	-0.1588
SMYD1	-0.35675
BEX5	-0.33225
ZNF192	-0.822
SEC22A	0.0321666666666667
GRIA2	0.0519285714285714
KIAA0825	-0.41275
NUSAP1	-2.15127272727273
LANCL1	-0.191
C15orf40	0.1606
ZNF645	-0.184
GPR61	0.21525
NLRP14	-0.377
SNX21	0.2536
C1QTNF8	0.223
C17orf46	0.0845
IFNA8	0.4415
SPRR1B	-0.8525
FLRT1	-0.12725
SNX17	-0.058
ASB2	-0.246333333333333
HBG1	-8.397
RPRML	1.264
JOSD2	0.455333333333333
PLSCR3	0.038
SPOCD1	-1.43033333333333
RAB39	0.0255
GHRH	-0.0568333333333333
ITIH5L	-0.0145
C17orf37	0.5905
SMCR8	0.0155
DPY19L2P3	-0.827
IL11RA	0.356166666666667
GDF3	-5.95866666666667
RPS6KB1	-1.29566666666667
DNAJC19	0.3485
TOP1	0.567
CRCT1	0.87325
MPST	1.07025
DPM2	0.010375
FAM38B	-2.8835
SLC18A1	-0.0231666666666667
FARP1	1.794
PAX7	-0.10325
TUBD1	-0.90275
GNL3	0.040125
BTG2	2.44253333333333
NDUFS6	-0.45275
C1orf79	-0.37475
ERAL1	-0.37675
ECHS1	0.8715
VPS4A	0.121166666666667
CYP11A1	-0.55875
ABCC6	0.15
PBX4	-0.2285
MOSC1	1.588
NCF4	-0.23075
HYMAI	0.405
NAGPA	-0.74925
OTOP2	0.26375
ACOT12	0.25025
MTHFD2L	-0.3105
LOC441376	-0.49575
C19orf34	0.3645
RAB1B	-0.1825
ALDOAP2	-1.5765
NTRK1	-1.65616666666667
ARTS-1	-0.1357
SLC6A11	-0.679
NAP1L2	-3.5235
CNGB1	-0.527833333333333
EPB41L4B	1.56841666666667
FAM134B	1.341125
HS3ST3A1	-1.19316666666667
CPXM2	1.66875
SIRPB2	0.447
CHORDC1	-0.379166666666667
TRIB3	-1.17383333333333
SLC2A5	0.1265
C2orf49	-0.837333333333333
DDX5	-0.91425
OR5L1	-0.1565
ANAPC4	-0.339833333333333
ZSWIM1	1.44375
LOC93622	-1.225
KCNK3	-0.1645
RP11-35N6.1	-1.243
ZFP161	-0.069
AQP9	1.26275
SLC15A2	0.248
MREG	-1.4355
OR9I1	-0.2665
PDLIM2	-0.1065
ADAM7	0.746
GSTCD	-0.019
WDR21A	0.66075
SLC12A8	1.31533333333333
TMEM174	-0.0125
IGSF3	-0.507
LRRN1	-2.21275
LOC402117	-0.06825
SRPK1	0.577833333333333
LY6K	-2.60706666666667
NFIA	0.8095
PTCD3	0.0345
LEP	-0.0501666666666667
PCDH21	4.0535
MAPKAPK2	-0.365928571428571
NMNAT1	0.8125
LHFPL2	-0.146625
C9orf43	0.12875
DIP2A	-0.438833333333333
ACTR8	-0.078
CCDC34	-0.37725
PTPN22	-0.677625
ITGA3	-0.195625
FAM129C	-0.05525
RABGGTA	-0.2715
UNC45B	0.19925
KIAA1033	0.233
ZNF510	0.0415
CYP2D6	0.231833333333333
SLC26A10	-2.1335
STX8	-0.2955
LUZP1	0.307
WDR89	0.087
EIF4G3	0.0837
C5AR1	-0.048125
ZNF623	0.1075
A2M	-0.34075
TGM7	0.2115
GRPEL1	-0.171833333333333
LMNB2	-0.5911
ROCK2	1.45233333333333
SNX16	-0.351375
CCDC66	-0.14825
ANXA3	2.102
KIAA1609	0.04225
EED	-0.603
RNF32	1.63233333333333
HES1	2.397
CLC	0.258666666666667
ISL1	0.1875
KIAA0528	0.672125
MANEA	0.0125
C1orf61	-1.4635
hCG_2001000	0.71675
RAPGEF6	-0.111
KIAA0020	0.297166666666667
NEIL1	1.75725
C16orf45	-2.747125
RBM10	-0.296166666666667
C10orf125	0.2265
MRS2L	-0.42475
DNAH17	-0.653875
C19orf10	-0.31025
C1orf160	-0.20575
SLFN12	-0.73625
EXOC3	0.043
HIST3H3	-0.0075
NCOR2	0.140166666666667
TNFRSF9	0.6795
MFSD8	0.18775
ALX1	-2.583
NOL1	-0.298
PODN	1.37075
TIAL1	-0.45975
HIST1H1E	-1.93975
NPY6R	0.221
TM4SF4	0.449
CORO2A	1.3625
ETNK2	-0.331
APOE	-1.1981
ANGPT4	0.1
HDGF2	-0.948
G30	1.283
ST8SIA4	-0.581125
F2RL1	2.6855
FAM19A4	-2.77775
CCAR1	-0.123
B3GNT7	-0.02675
OPHN1	0.1241
DSCR6	1.747
C21orf13	-1.1395
GAS2L1	-0.681166666666667
RFX3	-0.0295
COPS4	-0.187
BCHE	-4.66716666666667
BCL2	0.59775
HBZ	-5.306
ARL13B	-0.398
MAPBPIP	0.1685
MYO15B	2.53825
SPZ1	0.1265
KIAA1324	1.63477777777778
PLCL2	-0.8305
C4orf29	-0.08925
WDFY2	-1.2545
ZNF284	0.1415
NAALADL1	1.523
DUSP5	0.405333333333333
PXDN	-1.01775
SLMO1	-0.222
TNXB	0.2835
BIRC7	-0.71125
A4GALT	-0.989
TIMM22	-1.024
FAM110C	1.012
TOMM34	0.39225
ABHD9	0.05
ADAM32	2.5015
CRHBP	-0.78
AQP2	0.10525
LOC130355	0.4765
ZNF187	0.235166666666667
ZNF816A	0.988
F7	-0.007625
CNOT1	0.3815
SLC13A4	-0.91225
ZBTB11	0.1925
B3GALT5	0.49
EXOC2	0.721333333333333
IRS1	-0.2631
TMEM1	0.817833333333333
MRPL34	0.187
SAMM50	-0.21275
CDC42EP3	-0.75525
HSF2	-0.9841
MFN2	-0.563
TSPAN7	-0.677166666666667
NUCB1	0.0281666666666667
RHOH	-3.206
ARL16	0.222
TACR1	-0.1865
SFRS5	-1.24333333333333
SNX25	0.20525
RHBDF1	0.7355
PCDH18	2.40083333333333
HMG1L1	-0.08225
MYO5C	1.218125
MAPK10	0.725
LDHAL6A	-0.0171666666666666
NUDT12	1.0205
NCAM1	-0.352142857142857
GLIS2	-0.0265
GGTL4	-0.76125
DAPP1	-1.54475
ATF7	0.763375
KIAA0748	-1.4335
NFIL3	-0.31
TM6SF1	0.0384
SEZ6	0.104375
NANOS3	1.297
DNAJA3	0.156
CLDN6	-1.442
CIITA	1.3513
EPHA4	-2.3355
FANCC	0.121
CMTM3	-1.12675
PSG3	-0.39625
MRPL15	-0.20075
C21orf59	0.18525
PLCXD2	0.291
C2orf34	0.254875
UBE2L6	-0.0203749999999999
MED14	1.16466666666667
HP1BP3	-0.8409
C6orf208	0.0715
TPBG	-0.61675
OSR2	-2.639875
XPC	-0.801333333333333
KLHL7	-0.00158333333333331
CCR3	0.2095
AGTPBP1	-0.250666666666667
PCSK6	-0.101733333333333
STAT5A	-1.4255
FAM18B	0.74
LONRF2	-4.123
PTPN2	-0.6335
SF3A3	-1.18983333333333
EFCBP2	0.025
HCFC1	-0.1845
AHNAK	-0.59855
ACTR5	0.23175
KIF14	-2.35428571428571
TENC1	-0.23125
HEATR5B	0.529
YIPF2	0.263833333333333
MYEOV2	0.1412
DUSP18	2.7715
KIAA1012	-0.1575
AHR	0.216833333333333
C17orf53	-1.35
PTPRH	1.189
ATP6V1C1	0.0419
TAS2R3	-0.3435
LOC440356	-0.1965
COQ10B	-0.2
PSMF1	0.643083333333333
SORBS2	1.106
NFE2L2	0.78475
TMCO7	0.38625
SH3PXD2A	0.3579
SH2D2A	-0.39125
SPINK5	0.5635
MRPS24	-0.141
OPA3	-0.222375
TRAF7	-0.288833333333333
C4orf35	-0.0413333333333333
MT1G	-0.650625
MGC39545	0.84325
HS1BP3	0.593777777777778
OR2B2	0.304
CHRM4	0.0565
SFRP2	-1.69091666666667
RIC3	-0.177
ART1	0.087
C6orf1	-0.17675
DUS4L	0.0395
C10orf104	0.19475
TNFAIP6	0.39
RTEL1	0.718
CCT4	-0.7063
ZNF709	0.75
CHMP6	-0.104166666666667
UPP2	-0.355
CYP19A1	-1.672625
CD151	-0.395833333333333
NDUFA13	-0.197333333333333
ARFRP1	-0.282166666666667
FAM26B	-0.59975
CRYBA1	-0.112
MRPL41	-0.129166666666667
NPFFR2	-0.81475
HRH2	0.2225
SCAMP3	-0.254833333333333
MTMR6	0.8887
MTG1	-0.134166666666667
UBTD1	-0.807
CRABP1	-2.056
FLJ33790	-0.6841
KIAA1908	-1.25183333333333
GPR158	-1.40275
PACSIN3	-0.387166666666667
OMD	0.318333333333333
CATSPER1	-0.773333333333333
HOXB8	-0.09225
FBXO46	1.379
OAS1	2.42166666666667
SVIL	0.93325
PHB2	-0.47175
ADCY3	1.2045
NDRG2	0.5425
ERMAP	-0.3712
APBA2	-1.171
IGSF9	1.915
WNT6	-1.095
MYCBPAP	-0.3055
ATP2B2	-0.4278
CPVL	-1.77811111111111
TRAM2	-0.58825
NOP5/NOP58	0.0325
ZNRF4	0.0655
TLK1	0.103625
MTMR12	-0.945
ZNF384	-0.181
FAM9B	-1.8795
RPN1	0.4787
PMVK	-0.5365
EIF3D	-0.1016
SIX2	-1.048
HPS1	0.822857142857143
RNF7	-0.1665
PSKH2	-0.4455
KCTD13	-0.115333333333333
CSMD3	0.269
FBF1	0.355
IL8	-1.620625
SERPINB13	0.692416666666667
FBXL20	0.42175
BLR1	0.10775
SH2B1	-0.443
RFNG	-0.73475
RAB20	1.75083333333333
RBM7	0.1325
POLR1A	-0.1165
TMPRSS4	4.3035
TAF9	-0.753125
TERF2	0.743166666666667
TNFRSF1A	0.33
ACADVL	-0.0318333333333333
GTF2H5	-0.577
EDG8	-0.3595
C9orf140	-0.254875
UST6	1.58675
ZBTB8OS	-0.43775
ZNF710	1.4365
GPR174	-0.592
ATP6V0A2	0.0345
KIAA0319L	-0.780166666666667
XKRX	2.6955
DOPEY2	1.4356
SDHD	-0.488833333333333
SUMF1	0.71725
OSM	2.37025
OPN3	-0.92725
DAGLB	-0.218
PPFIBP1	-0.3076
TRIM63	-4.35075
C10orf53	-0.2085
LYPD3	-3.25816666666667
BCL7A	0.338625
AGER	-0.464333333333333
TCF19	-1.019375
SAT2	0.1215
PFTK1	-2.1705
GABRE	1.407375
C15orf38	1.1298
FIS1	0.128
KCNV2	-0.2575
CLPS	0.11625
PPCDC	-0.770875
FOXN2	0.580833333333333
NT5E	-3.329
CD83	0.20375
IL18	1.49225
VPS16	0.281
IGFBP2	-2.324
NOTCH2	-0.4235
SIGLEC1	0.429125
CD93	3.2155
SULF2	0.8655
CEP164	-0.08875
P53AIP1	-0.0446666666666667
TOR2A	-0.0656666666666667
ZNF136	0.755
MGP	-0.2639
CCDC144A	0.0761666666666667
TRPC1	-1.758
SMS	-0.72
MAPK7	-0.1835
RRAGC	-0.45075
PARD6A	-0.4795
NUB1	1.10866666666667
SYNGR4	-0.0285
OR11H12	0.534
WIF1	3.48525
GCH1	1.23275
OR11H4	-0.1835
SLC44A5	0.4115
GPRIN2	2.31433333333333
LOC401431	-1.035
CPA4	-2.55066666666667
MELK	-1.671
IL15RA	1.6195
CUL3	1.103
HMBOX1	0.294
PODXL	-3.089
CCT6B	0.0111666666666667
COMTD1	0.53975
MUC20	4.78266666666667
GPX2	4.36975
ITK	-0.8705
FBXL5	0.46775
C13orf27	-0.27125
DEFA5	6.8645
TRHDE	-0.045
MTP18	-0.282833333333333
UQCRQ	0.0521
ITGB2	0.228166666666667
CSRP2BP	0.3
TAS2R44	0.12
PHPT1	-0.4975
FAM44C	-0.63775
ERH	-0.2215
MPHOSPH1	-0.442
MORC1	-0.0285
PARVB	0.27725
LAMA1	-2.13916666666667
PGBD3	-0.447
GIMAP6	2.16725
AREG	2.03316666666667
LIPT1	0.359
MGC99813	-1.0085
C1orf201	0.107166666666667
GRIN2A	-0.841666666666667
MAN2C1	-0.729125
NSUN5	-0.38475
SF3B5	-0.187
MYC	1.3540625
NRXN1	-0.600181818181818
ZNF18	0.4705
SPDYA	-0.07125
SLC37A1	1.676
DECR2	0.06025
ANKRD38	-0.456375
SPTLC3	-2.45133333333333
SUPT16H	-0.987125
DTWD2	0.68175
ULBP1	-0.487
ZADH1	-1.68933333333333
OIP5	-1.82675
IL10RB	0.585833333333333
OTUB2	-0.37375
VWA3A	-0.192666666666667
SPIC	0.0228333333333333
OR6C4	-0.1315
PSCD4	0.217166666666667
DPY19L2P2	-0.212
TRAPPC6A	0.9955
C21orf2	-0.2285
CEMP1	-0.428
LIN7B	0.4815
E2F7	-1.24833333333333
VCP	-0.4139375
LAMA3	2.75833333333333
BGN	-0.081
GPR160	3.3385
COCH	-1.1935
GPR81	-1.1305
APOBEC3F	-1.7955
tcag7.1017	0.04025
C1orf32	0.318
SCGB1D2	-0.174
FLJ43987	0.083
C6orf170	0.29
KLK9	-0.176
GPD1L	0.30975
VPS37B	0.6025
ATG3	-0.120166666666667
ADAMTS17	-0.776
KLHDC2	0.00866666666666666
NDUFV2	-1.22425
BLK	-2.2925
MATN4	-0.612
GPM6A	-0.048375
GBP4	1.59466666666667
TMEM162	-0.179333333333333
PKP2	1.726
HRASLS	-2.947875
MMP1	-0.91625
SFXN3	-0.2201
FSD1	-2.10583333333333
ST6GALNAC3	-0.241833333333333
CA12	-0.6904
NCOA6	1.56825
C19orf58	-0.3905
PPP4R1	-0.468666666666667
MAN1A2	-0.5
IKBKAP	-1.02275
UPF1	0.526666666666667
KIAA1219	1.155
WNT16	0.1506
SNW1	-0.443625
IL18RAP	2.09125
RPP30	-0.078625
CDC40	-0.510071428571429
SETD3	0.416833333333333
SLAMF6	-0.098
ELK4	0.2445
TRIM47	-0.4645
ACOX3	0.44975
TRIM6	-2.475125
KIAA0372	-0.354
TP53AP1	1.66575
SMURF2	-0.4665
ADAD1	0.22325
EBP	-0.1427
KRTAP13-2	0.36
FLJ36874	0.377166666666667
TOR1A	-0.287
P2RY4	0.2425
GPBP1	-0.88575
TRPV1	0.391125
ADAMTS12	-0.385666666666667
PES1	-0.1164
ATG4A	0.0313333333333333
MAGEA10	-5.232
WFS1	-0.24675
CC2D1B	-0.316166666666667
PABPN1	-0.3475
SLC25A30	0.17675
SLCO1C1	-0.305333333333333
SLC22A5	1.6325
KIF23	-2.10866666666667
SYN2	-0.3635
ASPN	3.59783333333333
CENTG2	0.22675
QSOX2	-0.3095
FLJ10815	-0.058
STK24	1.522
SPEG	-0.8903
STK10	-0.0105
DACT2	0.7305
AAAS	-0.61625
SSX3	-0.741625
ABCD3	-0.2749
C4orf12	-0.175
PARVG	-0.457666666666667
FIG4	0.117
C9orf46	0.772
TMCO6	-0.374
IGHMBP2	-0.4785
DUS2L	-0.654333333333333
FAM3C	0.7580625
TMEM16D	-1.31475
DCTN4	0.1585
KCNH3	-0.1995
EIF2AK2	0.36875
AP1S3	0.415
CST4	0.727
PAM	-0.2650625
NUTF2	-0.379
CITED2	-1.4224
SLC39A4	1.749
C2orf52	-0.798
GRM3	0.03475
C12orf49	0.56825
CCDC49	0.1695
GRAMD1B	-0.61775
FNDC4	-0.30325
SIAH2	-0.220875
GDPD4	0.412
C21orf87	0.08575
ATP5A1	-0.7985
C16orf63	-0.68325
LOC388135	-1.05733333333333
ATP5J2	0.187625
MMP3	-0.35925
EMID2	-0.74125
CRHR1	-0.01925
WDR70	-0.4185
C13orf31	1.1995
ZFAND1	0.433
CCL18	4.78883333333333
C3orf49	0.1335
RINT1	0.0435
KIAA0408	-1.31733333333333
F13A1	2.0176
SLC10A1	0.00716666666666668
OGN	-0.441
GIPC2	2.6985
XPO6	-0.717666666666667
LCE1A	0.416
FMR1	0.5055
LOC374920	0.34025
DUSP3	0.022625
ANKMY1	-0.04325
C7orf50	-0.553
BBS9	-0.0787
UNC119B	0.135125
C9orf72	0.398625
MGC35440	-0.26375
ENTPD6	0.987875
PPP1R2P9	0.4125
ERCC4	-0.30575
FAHD2B	-0.7065
HMHA1	0.4995
HACL1	-1.01075
RAD23A	-0.67
FAM83B	0.35575
PPP5C	-0.432666666666667
RNASEH2C	-0.964375
C9orf153	-0.104
SCAMP4	0.450125
GHITM	0.2706
NDUFB7	0.150875
ADCYAP1	0.704
SP110	0.299
MAP3K7IP2	-0.02875
DHH	-0.1415
AGRN	-0.616571428571429
WDR33	0.211166666666667
CEP290	-0.493
PRPS1L1	-1.051
KLRA1	-0.259
GPR97	0.144
CHD7	0.788166666666667
TLR10	0.022
SLC30A8	-0.529
HIC1	0.661333333333333
IAPP	0.591
RXFP4	0.81575
