Hybridization REF	TCGA-AV-A03E-20A-01R-A00A-07
MORC1	0.924
PARVB	1.2105
LAMA1	-0.995
PGBD3	0.90475
GIMAP6	-0.4175
AREG	-7.45433333333333
LIPT1	0.3585
MGC99813	-1.37875
C1orf201	0.527166666666667
GRIN2A	-0.3159
MAN2C1	-1.98475
NSUN5	-3.8405
SF3B5	-0.057
MYC	-1.2799375
NRXN1	-0.114666666666667
ZNF18	0.62875
SPDYA	0.557375
SLC37A1	-3.275
DECR2	-0.6995
ANKRD38	-1.920875
SPTLC3	0.506333333333333
SUPT16H	-1.676875
DTWD2	1.03025
ULBP1	-0.975
ZADH1	0.670666666666667
OIP5	-0.97675
IL10RB	0.7685
OTUB2	0.734125
VWA3A	0.2905
SPIC	-0.0983333333333334
OR6C4	0.558
PSCD4	1.3385
DPY19L2P2	0.1075
TRAPPC6A	0.046
C21orf2	-1.31816666666667
CEMP1	-1.636
LIN7B	0.2525
E2F7	0.183
VCP	0.112625
LAMA3	0.110166666666667
BGN	-2.05075
GPR160	-3.72
COCH	-5.29
GPR81	-2.20483333333333
APOBEC3F	0.81425
tcag7.1017	-1.07175
C1orf32	-0.1075
SCGB1D2	-0.4085
FLJ43987	0.44
C6orf170	1.18925
KLK9	0.227
GPD1L	0.226
VPS37B	-0.1
ATG3	0.717666666666667
ADAMTS17	1.1075
KLHDC2	-0.3665
NDUFV2	0.211
BLK	2.71775
MATN4	-1.575
GPM6A	0.999142857142857
GBP4	-0.352666666666667
TMEM162	0.3155
PKP2	-2.6645
HRASLS	1.68822222222222
MMP1	-0.14275
SFXN3	0.0995
FSD1	0.839333333333333
ST6GALNAC3	-2.7655
CA12	4.0176
NCOA6	0.25525
C19orf58	0.6109
PPP4R1	0.3455
MAN1A2	0.508
IKBKAP	-0.5995
UPF1	-0.813333333333333
KIAA1219	1.3145
WNT16	0.724833333333333
SNW1	0.232
IL18RAP	-0.37575
RPP30	1.138625
CDC40	0.430571428571429
SETD3	0.692
SLAMF6	-0.07425
ELK4	-0.2575
TRIM47	-0.059
ACOX3	1.280125
TRIM6	0.89675
KIAA0372	0.639166666666667
TP53AP1	0.397625
SMURF2	1.26625
ADAD1	-0.3145
EBP	0.767
KRTAP13-2	0.323
FLJ36874	0.680333333333333
TOR1A	0.4665
P2RY4	-0.103
GPBP1	-0.02025
TRPV1	0.113125
ADAMTS12	2.38066666666667
PES1	-0.3758
ATG4A	1.07016666666667
MAGEA10	-5.52925
WFS1	0.46325
CC2D1B	0.3115
PABPN1	-0.826
SLC25A30	0.95625
SLCO1C1	-0.179
SLC22A5	-0.2455
KIF23	-0.0263333333333333
SYN2	-0.056
ASPN	0.0938
CENTG2	0.652
QSOX2	-0.079
FLJ10815	0.288333333333333
STK24	0.193
SPEG	1.1914
STK10	0.880833333333333
DACT2	-1.951
AAAS	-0.838
SSX3	-0.273
ABCD3	0.2253
C4orf12	2.1465
PARVG	-1.8965
FIG4	2.03025
C9orf46	1.238
TMCO6	-0.4585
IGHMBP2	-1.414
DUS2L	-0.402833333333333
FAM3C	1.0978125
TMEM16D	-2.28285714285714
DCTN4	1.251
KCNH3	0.0175
EIF2AK2	0.228
AP1S3	0.311375
CST4	0.019
PAM	1.86225
NUTF2	-0.93025
CITED2	0.0523
SLC39A4	-0.30475
C2orf52	0.2195
GRM3	0.3865
C12orf49	1.28875
CCDC49	-0.2506
GRAMD1B	-0.76025
FNDC4	2.59625
SIAH2	-0.848
GDPD4	-0.26
C21orf87	0.019125
ATP5A1	-0.289833333333333
C16orf63	0.19425
LOC388135	-2.6745
ATP5J2	0.13275
MMP3	5.594
EMID2	-0.25125
CRHR1	-0.13
WDR70	-0.05475
C13orf31	1.62325
ZFAND1	-0.41825
CCL18	1.09116666666667
C3orf49	0.162
RINT1	0.1025
KIAA0408	2.15233333333333
F13A1	0.00250000000000001
SLC10A1	-0.1815
OGN	-1.84525
GIPC2	-1.58266666666667
XPO6	-0.856666666666667
LCE1A	0.0165
FMR1	0.0614
LOC374920	-0.7115
DUSP3	0.795625
ANKMY1	-0.70925
C7orf50	-1.29675
BBS9	1.1551
UNC119B	0.423375
C9orf72	1.7915
MGC35440	0.66025
ENTPD6	-0.666625
PPP1R2P9	0.50425
ERCC4	0.61
FAHD2B	-0.573
HMHA1	-4.9155
HACL1	0.07725
RAD23A	-0.00516666666666666
FAM83B	-2.041
PPP5C	-0.428333333333333
RNASEH2C	0.0345
C9orf153	0.124
SCAMP4	0.02825
GHITM	0.5611
NDUFB7	0.168875
ADCYAP1	-0.497166666666667
SP110	0.670833333333333
MAP3K7IP2	1.52325
DHH	-0.184
AGRN	-1.09628571428571
WDR33	-1.1055
CEP290	-1.4325
PRPS1L1	-0.0533333333333333
KLRA1	0.195
GPR97	-0.0995
CHD7	-1.72883333333333
TLR10	-0.12975
SLC30A8	-0.263
HIC1	-0.866333333333333
IAPP	0.202
RXFP4	0.55275
GP1BB	-0.14325
SHQ1	0.745
NKX2-3	-0.177666666666667
API5	0.5765
FTHP1	3.1575
MOV10L1	0.134833333333333
TRIM6-TRIM34	2.20233333333333
ADHFE1	0.5175
FAM117A	-0.659
DDI1	0.3332
CDON	-0.635166666666667
TRIM73	-0.297
IGKC	-0.5155
MMP14	0.07025
DYNC1LI1	-0.02625
C11orf66	0.07975
TRBV3-1	-2.518
FASTKD5	-1.20775
BIVM	0.265
LHX4	0.517
CXCL2	5.4275
RAB2B	-0.254333333333333
IZUMO1	-0.1695
MAP3K15	-0.76425
FAM19A2	0.511
ZC3H8	-0.573666666666667
ZMAT1	-0.98275
SPINK5L3	0.50025
SLC10A6	0.449
APPL2	0.8085
CARD10	-0.892666666666667
LOC402176	-0.01325
EEF1D	-0.3584
RAB6A	-0.1627
C12orf5	0.68975
PAPOLG	0.267
MSRB2	0.23325
BCR	-0.798722222222222
PUS3	-1.35125
TIAM2	-1.8965
ZNF317	0.0806666666666667
CHD2	0.193666666666667
FZD5	-1.38263636363636
NUDT8	-0.423
ZNF763	-0.6435
PRC1	-0.541333333333333
ABCB9	0.279
SPATA3	0.27525
TRAK2	1.370125
STAB1	-0.26825
LRRTM2	0.0242
psiTPTE22	-0.15125
DBI	1.169
SERPINA11	-3.3225
NAT5	-0.4285
C20orf58	-2.06025
RPS6KA4	-0.112666666666667
FLJ90650	-0.3195
TGFBRAP1	-0.884
CHRDL2	-0.86425
FAHD2A	-0.239833333333333
CNTN1	-0.12825
BBS4	-0.2686
TMEM181	-0.0245
MINPP1	1.10475
MPHOSPH6	-0.123166666666667
HOXC10	-1.3873
ITPKB	-1.636375
CLPTM1L	-0.50925
MEOX2	-0.7282
ATP6V0C	0.048375
PRPF8	-0.981166666666667
TMC5	-1.06125
FKBP3	-0.80475
PLEKHB2	0.679375
OR4D6	0.1475
ZNF544	-4.9552
D2HGDH	-0.41025
RPL18A	-0.4947
HEL308	0.395
MPP6	-0.63925
TCERG1	-1.0615
KRT16	-2.478
KLF17	-0.011
KLF5	-0.197375
CDR1	3.623375
VCX3A	-2.099
FBLN2	-1.606625
C14orf104	-1.0825
HBE1	-6.968
OR4S2	1.4945
C1orf108	0.201333333333333
ROBO4	0.0755
CPEB4	1.2655
C11orf80	-0.472166666666667
BCKDHA	0.686833333333333
MYOC	0.2805
GIF	0.029
CKMT1A	-2.8305
RPL3	-0.0048
THBS1	-1.191375
APOO	0.83025
ARMCX1	1.81025
HSZFP36	-0.03275
SNAPC5	0.00625
EIF4ENIF1	0.11875
ZNF433	-1.19125
TNFRSF21	-0.9375
TMPRSS7	-0.3205
SPATA18	1.5721
HPDL	-4.286
MKL2	0.3684
TBX3	-0.844076923076923
C21orf93	-0.0838333333333333
DAXX	-0.2475
ELMO1	-1.011625
RGS13	0.2135
TAF11	-1.97725
UNC13A	-1.094625
LOC653314	-0.2548
ORC3L	0.3535
IMAA	-3.4075
TARBP2	-0.31225
CABIN1	-1.0987
TRIOBP	0.2136875
HIST1H2AC	-0.966625
RGS22	-3.223
NCOA1	-0.0981666666666667
IL25	0.517
SNCG	-0.9465
GPR6	0.261
AMDHD1	-1.06483333333333
CHEK2	0.3445
C6orf142	-0.40825
DRD4	-0.05525
C14orf68	-1.20375
GDF11	-0.288
SEMG2	0.2275
CD247	-5.022
CDAN1	-0.33525
RBMX2	0.389
TGS1	-0.761
OIT3	0.18525
SYF2	0.19025
MCM4	-1.375375
PKHD1L1	-0.32475
CEP192	-0.206333333333333
IFT88	0.27325
RPL9	-0.0784285714285714
RAB32	2.39825
DDX43	-3.346
P2RX2	0.244666666666667
OR5D18	0.7255
UBE1	-0.322166666666667
SLC24A1	0.360875
ARHGAP5	-0.4425
CETP	-0.6955
KIAA1731	-0.8445
SLC9A4	0.8535
PTPN6	-2.223
BAHD1	0.13575
GRIK3	-0.5435
CACNB2	-1.22077777777778
PDE10A	-0.15875
DGCR14	-0.5095
PCDHB9	-0.328333333333333
RHOQ	2.57316666666667
MAP3K4	0.298
KTI12	0.769
RPL23AP13	-0.53025
GNG11	4.0145
CLCN3	1.38733333333333
GPAM	0.450375
VSTM2A	2.093
SLAMF7	2.429
INTS2	-0.41875
PPP2CA	0.399
LRP12	2.09413333333333
SEC14L2	1.82122222222222
DKFZP586H2123	5.99275
MC3R	-0.269
CIRH1A	-0.925166666666667
HIST1H2AB	-1.47033333333333
POLH	-0.304125
MGC16703	-0.144166666666667
SNAPC2	0.71
FILIP1L	-0.29325
RASGRP4	0.424
LRRC1	0.34475
GAS1	-2.925
PRAC	-1.52275
DGKA	0.253833333333333
NT5C3	-0.77675
PEG3	-4.46866666666667
NADK	-1.292
PRR17	-1.312
LOC374569	-0.59575
SGSH	-1.35766666666667
NLRP8	0.2455
GALT	-0.5752
MCF2	-0.922
ZNF263	-1.28225
TACSTD1	-6.05983333333333
TYR	-7.3043
ATP6AP2	0.89625
RNUXA	0.26125
ABHD10	0.7733
GDPD2	-1.16875
SLC35C1	0.40375
UBE2A	1.1505
HERC5	1.3975
FAM112B	-6.22033333333333
FBXL16	-1.38125
DKFZP434A0131	-1.74475
ELA3A	-2.4725
RBM41	-0.293625
HAO2	0.1605
RNH1	0.202
SHANK2	-1.899
OSBP2	-0.022375
DAK	-0.957666666666667
C3orf58	1.98291666666667
TCL1B	-2.582
KBTBD2	0.03975
SUGT1L1	-0.3925
UBE2E2	1.74866666666667
MYL9	2.39375
CDC23	0.0638333333333333
PBXIP1	0.0553
CXorf40B	0.2905
NBL1	-1.06875
RTBDN	1.165
RAB11FIP5	1.118625
TTTY13	0.0055
SCOTIN	-0.677833333333333
SOHLH1	-0.387333333333333
CDKN1A	1.89871428571429
NCK1	0.442
ZNF550	-0.09575
SAPS3	0.521083333333333
SPIN3	0.245333333333333
MAGEE2	-0.14975
MIS12	0.153833333333333
OR8H2	0.1885
KIAA0774	1.068
UNC5D	-0.4545
CUL7	-0.618333333333333
LIPC	-1.509
DIO1	-1.51575
C20orf11	-0.627
CTRL	-0.779
HS3ST2	0.57875
PAK4	0.1695
CCRL1	0.01525
RNF10	0.198375
ZNF567	-4.8185
ZNF660	-1.36
TCEAL3	1.79725
MAGOH	0.0948333333333333
CENPB	-0.613833333333333
C19orf7	-0.205
LOC388965	0.113
ZCCHC13	0.276
JMJD1A	-0.3985
HIST1H4H	-1.1625
TBRG1	0.0633
GPC3	-7.366375
TAF1C	-1.323875
EBNA1BP2	-0.55
CIAPIN1	-0.29125
PDGFRA	-2.35377777777778
CSTB	3.538625
CENPI	0.672666666666667
GTF2E2	0.707166666666667
RPP21	-0.78225
CCNF	-1.53
KCNQ3	0.7245
FAM79A	0.00675
SLC22A12	0.025
NOVA1	1.377
FZD3	-1.5889
AKAP8	-0.732
SOCS5	1.299125
CFDP1	-0.4515
DLG5	0.1715
PGM5	-0.28175
C1orf144	0.393916666666667
HDAC10	-0.561
RND2	0.60075
C20orf199	0.3325
RNMT	0.152875
SLURP1	0.026625
ASTN1	0.126142857142857
SH3BGR	4.039
MYCL1	-0.961375
ZHX1	0.201666666666667
CENPK	0.24575
FOSB	-0.2031
LOC643406	-0.27025
C2orf59	-0.693
TMEM135	-0.354625
SLC27A2	-5.39275
KRT33A	-3.1305
OVOL1	-2.274625
PAMCI	-2.38283333333333
S100A7	0.445
ZNF789	-1.53
HARS2	0.141
RPL23A	-0.557833333333333
TCF23	-0.334
UPF3B	-1.279375
C17orf78	-0.232
HLA-DOB	-0.472333333333333
C14orf142	1.02716666666667
TEKT5	1.1995
DMWD	-0.2785
POLD1	-1.70933333333333
GSCL	-0.239
CALD1	0.7315
SCRT1	-0.0405
AIG1	0.6325
UNC84B	-1.2465
ZNF404	2.02025
TMED6	-2.33475
KIAA1462	0.0195
LRRC27	1.729
PYGO1	0.657
PIGU	0.587833333333333
ALAS2	-5.75783333333333
WRNIP1	-1.071375
CNNM3	-2.4065
ZNF2	0.43325
ST3GAL5	-0.917416666666667
MRPL23	0.98525
TSSK6	-0.367
PSMA6	-0.109
C16orf70	0.78125
KIAA1602	-0.43875
ALMS1	-0.483333333333333
DCN	-0.95075
TMEM132D	-0.6375
SUCLG2	0.59425
ABHD14A	-0.4615
DEXI	-0.129833333333333
AMPD2	0.181333333333333
IFNAR2	-0.0883333333333333
CYB5A	1.0164
TLOC1	1.23975
NXF5	-0.449666666666667
NRBF2	1.56325
KCTD3	-0.34475
ITGAE	-0.175
SLC30A3	-2.15183333333333
ZRF1	-1.122
IFRD2	-0.449375
XAB1	1.2485
PYCR2	-1.16966666666667
SERPINB3	2.1725
TMLHE	0.8954
GEFT	-0.359875
ABCA5	-1.298625
EMR4	0.464333333333333
TSFM	-0.08175
HIST3H2BB	-1.55375
ARHGEF19	-2.768
TSPAN17	0.0668333333333333
ABCC8	-0.80125
MAP1S	-0.122
C22orf36	0.11625
BNC2	0.209857142857143
HIST1H4A	0.09875
NDUFS3	0.177833333333333
WDR3	0.231
XKR4	0.0895
TTC33	0.587071428571429
STMN2	1.38975
CPN2	0.0423333333333333
HSPC105	-2.172625
PCOLCE2	1.13825
C3orf55	-0.1295
KLHDC9	-2.51916666666667
TBC1D23	1.187625
ATXN2L	-0.78625
MAP2K3	0.77375
SCAP	-0.81725
ZNF486	-1.86416666666667
C20orf96	-0.90325
NARS	0.14825
ADAMTSL1	2.25121428571429
PRCC	-0.0138333333333333
CCDC126	0.4415
ZNF675	-3.70025
CALCOCO1	0.641
ANKRD43	-1.8445
CWF19L2	-1.00016666666667
ZBTB32	0.2204
BRAF	-0.20825
ODF4	0.02325
MGC14376	1.20266666666667
HORMAD1	-0.837166666666667
AAK1	0.646636363636364
PEBP1	0.130083333333333
TNFSF5IP1	0.589833333333333
DKFZp564N2472	0.8835
RMND1	0.867
IGKV1-5	-1.03425
COL1A2	1.39325
SERPINA5	-6.291
AANAT	-0.269
C19orf21	-4.08733333333333
GEMIN5	-0.56275
UBR4	-0.1415
LTBP3	0.714166666666667
AMHR2	-1.90333333333333
PROCR	2.2535
MYBBP1A	-1.86125
C20orf39	4.0415
ZNF697	1.08525
PASK	-0.9908
ZNF776	0.00516666666666667
RFXDC2	0.024625
KIAA0467	-0.30525
C10orf96	-0.51375
ZNF503	1.842
GULP1	0.666666666666667
KCNE4	0.289833333333333
DKFZp434K191	-0.547625
LOC196913	0.365
BHLHB4	-0.1975
CH25H	3.329
LOC81691	0.284166666666667
ALPL	-0.384142857142857
COL12A1	0.43875
FOLR3	0.71
GPR123	0.174125
TRIM62	0.310571428571429
ABLIM1	-3.49
MAST3	-0.46675
RHBDD1	1.56333333333333
LOC338809	0.215
RYBP	-1.0865
TTC26	0.972875
ZNF22	0.290666666666667
ISCA2	0.98025
RDM1	1.16825
PIGM	-0.2815
GNB3	-1.389
ACTR2	0.0462
HMGB1	-1.38875
EDG1	-0.491833333333333
SOAT2	-1.09525
OR10AD1	0.818
RAP1GDS1	1.26208333333333
LCE1F	0.2765
ESM1	-0.070125
RCN3	1.55375
CREBL1	-1.44575
DBNL	-1.11
PTGER3	0.229375
USP30	0.322833333333333
BCL2L12	0.2965
KIF26B	0.932
ZNF416	-0.00625
ZNF225	-0.2645
C17orf70	-1.798
ZNF554	0.25725
RAE1	-0.244833333333333
TNIK	-0.867166666666667
ACTN3	1.0255
MGC45922	0.065
CCNA1	-0.245333333333333
RYK	0.362666666666667
IL26	0.037
LRP3	-2.42333333333333
QARS	-0.93025
SOX7	-0.844714285714286
BID	1.716375
OR2S2	0.508
CXCL14	1.1645
C11orf47	-0.549
MGC29891	-0.717333333333333
HSPB8	1.9044
PRDM14	-1.196
NUFIP2	0.9815
MNAT1	0.049
ZDHHC2	1.36783333333333
MBNL2	0.554
ADD3	0.74525
CSNK2A1P	-0.50775
KLK6	-2.80116666666667
TMEM111	1.2436
KIAA1279	2.009
NUBP2	-1.72366666666667
RAB42	-1.56825
ID3	-0.4662
TM9SF1	-0.8285
MDP-1	-0.5275
POU4F2	0.781333333333333
IQCK	0.92125
C16orf14	-1.6495
CAPN3	-2.071625
FAM43B	0.010625
RECQL	0.836
AP1G1	0.261
CTNNBL1	-0.331333333333333
ECHDC1	0.589
SMARCC1	-1.6729
FOXQ1	-3.27775
GNAI3	1.22916666666667
POLG2	-1.23875
CD4	-0.122625
ITLN1	-1.00875
EBI2	-0.03575
IRF1	0.0045
PTPRE	1.8467
PTK2B	-1.69925
NXNL2	-0.7645
SOX4	-3.03588888888889
TSPAN3	0.937333333333333
SH2D1A	-4.47233333333333
C8orf58	-0.0936666666666666
USP20	-1.184
DUSP22	-2.82341666666667
CALB1	-1.18483333333333
L3MBTL2	-1.4775
MCRS1	-0.51175
TMEM118	-0.600666666666667
C18orf8	1.53966666666667
FLJ10241	0.301125
GJA12	-0.42425
PKD1	-1.04733333333333
ZFP3	0.004
JAM3	0.31
LAPTM4A	1.5646
DIRC2	0.3635
KIAA2022	-0.8455
MYOM1	-1.38633333333333
TRPM8	2.34833333333333
MOP-1	0.15625
PHKG2	-0.0525
ZNF650	0.62275
KIAA1522	-0.859375
PSG8	1.516
DDX19B	-1.77
MOBKL1B	0.16825
DIAPH2	0.523083333333333
PTPN12	1.07075
CLN8	0.4304
CRYZL1	0.421
CRY2	-0.396583333333333
FCGR2B	-1.02483333333333
PNPLA4	-3.327625
ZNF454	-1.1345
DKFZp434B1231	-0.00100000000000001
CLDN11	0.3022
RFWD2	0.085
CIB2	-1.21166666666667
MXRA8	0.49375
HRK	-0.168375
MAML2	0.028
C4orf31	3.10475
C6orf192	-0.036
COG6	2.16125
FAM5B	-0.23575
NFATC1	-3.5801
SEPT10	1.613
SCYL1	-0.2794
RPP40	-1.4545
SCOC	1.6882
KIAA1450	0.59875
CTDSPL2	-0.1715
TBX5	-0.26375
NAPG	-0.349625
RHD	-2.1545
C14orf45	2.46083333333333
ZBTB22	0.2925
PLCG1	-0.772
ANKRD10	-1.18875
AQP7P2	0.113
TAGLN2	0.583833333333333
HTR2C	-0.494833333333333
SLC16A7	1.58216666666667
C17orf83	-0.4175
TSGA14	1.023
MDH1	1.07475
PPP3R2	0.4244
DCBLD2	3.29085714285714
RBM33	1.106875
DPH3	0.5325
SYT10	-0.175833333333333
FMO4	1.350625
THYN1	-0.6495
DRD5	2.409
OTOR	0.324125
PGRMC2	0.6127
KATNAL1	0.655625
PAQR6	-5.1265
UBE2I	-1.38875
C14orf28	0.5485
C8orf70	0.673
FLYWCH1	-1.052625
ANGPTL3	-0.033
GLRX2	0.707833333333333
ATP11A	-0.935
ARL5B	0.241375
MUC16	-2.4665
SLC25A5	-0.510857142857143
ACRC	1.06975
MYO1C	-0.995
FAM89B	0.447833333333333
FAS	2.384125
KIFAP3	0.594
GLRA2	-0.063
BTN3A2	0.4921
CNKSR3	-2.92785714285714
CSTF3	0.1625
ARPM1	0.93875
KIAA1530	0.036
C9orf150	1.4115
PRKCI	0.09975
tcag7.1015	1
SOD3	0.455
ZNF574	0.16325
CYP21A2	-0.9905
RPL12	-0.70375
COMMD2	-0.356
WIZ	-0.49075
LOC344405	-0.6605
ALDH4A1	-1.82764705882353
CRYAB	2.411
COPA	0.454566666666667
PCDHGA7	-0.0148333333333333
KIF11	-0.1625
RASD2	0.199625
SLC26A3	0.0945
ZNF175	1.412
JAKMIP2	2.0845
C8orf4	2.62233333333333
PTHLH	1.808
SLC40A1	-2.72054545454545
OR7D4	0.116166666666667
PCDHB17	1.3425
CD36	-0.776769230769231
C6orf203	0.7582
PRKG2	-0.809
LOC400566	0.524
ANAPC13	0.58275
SLCO3A1	-0.9745
ZNF692	-2.6945
FANCL	0.3965
SH3GLB1	0.3325
C12orf61	0.392
KBTBD6	0.88025
SUPT5H	-0.60125
XRCC6	-0.1167
HUS1B	-0.1454
FAM133B	-0.642428571428571
LOC728276	0.0235
KCTD18	1.67825
SOS2	-0.619666666666667
CCDC99	0.04575
C1QTNF5	-0.7455
NNAT	0.113833333333333
USP16	0.31225
LARS	-0.30725
ZBTB2	0.29275
ABO	0.0608333333333333
TRAF3	1.0815
GALNT5	2.3835
NAP5	-2.0865
ALG14	-0.135333333333333
KIAA0515	-0.649846153846154
WDR75	-0.357333333333333
TEX261	0.595916666666667
LY86	-3.01725
LOC389072	-0.3795
FLJ13611	0.8575
MRGPRX2	0.5665
SNRPA	-0.836625
OR2G2	0.238
GPRASP2	1.77775
C7orf42	0.4158
C9orf163	-0.9325
CYP11B2	0.0685
FCRL3	0.265166666666667
PRDX1	-0.2645
FGB	-6.497
COX17	0.629166666666667
C16orf33	-1.287
PIWIL1	0.0181666666666667
FOLR1	-3.56833333333333
KIAA0082	-0.96775
FREQ	1.55033333333333
TMCC2	-0.588166666666667
TCF12	0.492666666666667
ZNF721	-0.3765
FAM130A2	0.6615
POU4F1	-0.68375
SNRPF	-1.668875
SGIP1	2.40766666666667
ZNF641	0.615833333333333
EMG1	-0.165
PRRG4	1.274
HIRA	-1.17825
MYNN	0.610666666666667
AEBP2	0.392416666666667
TBXA2R	1.19833333333333
ISL2	-0.396833333333333
PCDHB11	0.3445
RNF144A	-0.2305
MARCH5	0.416
DULLARD	-0.0623333333333333
DCLRE1B	0.440166666666667
ITGA8	-1.11825
TP73	-0.38175
PRKCD	-0.3325
NDUFB4	1.32725
ATP13A4	-0.0315
ANTXR2	1.63383333333333
COL4A3	-0.1225
MYO10	-0.5493
SLC6A18	0.0865
PEX1	-0.21075
TMEM74	1.8265
RBM19	-0.9005
TAPBP	-0.7498
RUNX1	0.852625
MID1	1.08541666666667
GPR64	-2.2142
RASEF	-0.609
GABRG1	0.83425
MYO16	0.433
DBF4	0.4445
TSHZ2	2.497
RIPK2	2.102
PPTC7	0.162666666666667
KIF4B	-0.163
LRRC31	0.422625
ZNF540	-0.88275
EFNB3	-0.8715
LOH12CR1	1.011875
STON2	-0.281333333333333
GLP1R	0.442
CSTF2T	1.08875
IREB2	-0.1815
GRSF1	-0.162
PDCD7	-0.455666666666667
LRRC43	-0.2555
CNR1	-0.476166666666667
IL1F7	1.015
C12orf64	0.98725
FAM69B	-4.49175
NR2E1	-1.80516666666667
MS4A6A	-1.115
FTL	0.531
C7orf36	0.3205
PCLO	1.2412
DYRK2	0.355166666666667
ARIH2	-0.00225000000000001
SAMD7	0.9095
SCNN1D	-1.9745
SLC32A1	-0.594625
C22orf25	-0.4705
MRPS18A	0.2976
GPR112	-0.11
EARS2	-0.2245
ERN2	0.137
ATPBD3	-0.0223333333333333
PRH2	0.068
CDKN2D	1.88733333333333
PGLYRP2	-0.49025
TRIM40	-0.40975
SEC14L3	-0.537833333333333
SLC22A1	1.2455
BTN2A3	-0.2485
RASA4	0.26175
CCNL2	-1.17266666666667
MYBPC3	0.209
GJA4	0.30575
CDC42SE1	-1.00175
TRPV2	-1.007
MYPN	0.1017
SIM1	0.1615
CDADC1	-0.109083333333333
ZFHX4	0.73225
NIBP	-0.524666666666667
ADAMTS19	-1.813
ABTB2	0.3615
TSPYL2	0.243125
EIF2S3	-1.1619
SOX30	0.287
AP2A1	0.465
DKFZP564O0523	-0.039
LOC285398	0.377
CDH18	0.50075
CHL1	0.105
GATS	-0.993888888888889
TBC1D2B	-0.258166666666667
OR1J1	-0.91
GSN	-0.594
DPCR1	0.163625
GARNL4	-1.68466666666667
SMARCA5	-0.06075
PLEKHG3	-4.081
ZBTB45	0.1
FRMD6	-0.134333333333333
PLS1	-0.309666666666667
DGKZ	-0.8305
EFNA1	-5.7059
WDR85	-1.644
ANK2	1.019
PAGE4	-0.440833333333333
SENP6	0.101666666666667
AKR7A2	0.921833333333333
FKBP10	0.7275
VEGFC	1.54966666666667
LARP1	-0.666875
SRBD1	0.3435
ITGB6	0.2145
SLC1A2	-1.26307142857143
INVS	0.105333333333333
MPO	-0.35525
MOBKL3	0.9066
CUTL2	-1.518
KLK2	-0.0354166666666667
VIM	2.748
REG1B	0.7648
PCDHGC4	0.3345
C3orf34	1.33233333333333
SUMO3	0.127
CST9L	-0.0826666666666667
MLL4	-1.1505
SPR	0.0698333333333333
SAMD9L	0.7025
ABCE1	0.08075
SUPT3H	0.106333333333333
ACTBL1	-2.20525
ADAMTS4	0.6595
SLIT3	3.128
RHEBL1	0.4405
NPM2	-2.386
MAN1C1	-0.57775
KIAA1856	-0.0946666666666667
HSPA6	0.24375
LOC388152	-0.7575
C10orf140	0.84625
ZDHHC12	-0.0755
LIN7A	-0.6522
PHC2	0.6255
SPHK1	0.93225
TRIM26	-1.2561875
FAM83E	-0.444
C18orf24	0.074
ZNF578	-3.1405
ORAI1	0.20475
RUVBL1	-0.688
C7orf20	-1.27916666666667
APAF1	-1.0945
SLC36A4	0.184833333333333
MYH11	-0.529
NEK1	1.0296
MPP2	0.584125
C12orf24	-0.12375
TNK2	-0.3816875
ZNF289	-2.07175
MATN3	-1.23342857142857
IFNGR2	0.0513333333333333
ITPR1	2.31975
EBF3	1.1918
TBC1D20	-0.7711
OR10P1	0.1115
DDAH2	-1.218
SHPRH	-0.646125
STX7	0.5035
LOC554248	-1.0955
BCAR1	-1.00625
ATXN3	0.2565
TRIM27	-1.84125
CDC42EP2	0.987
CHP	0.853714285714286
SOX17	0.401
ZNF259	-0.43
CHCHD1	0.6535
ZDHHC19	0.605
GBP2	0.868
GARNL3	-0.8305
MRC2	-0.307
C1orf52	-0.9925
AOF2	-1.25516666666667
LRPPRC	-0.5702
ACVR1C	1.45033333333333
TM4SF18	0.184166666666667
TMEM169	0.996666666666667
PPP1R16A	-0.559375
EBF1	2.59566666666667
RRS1	-1.028
SNX2	0.6505
OR2T2	0.804
RBX1	0.42825
ANKRD54	0.484666666666667
TSNAX	0.0985
TMEM83	-1.6405
ZBTB7A	-0.02775
ATM	-1.87125
LOC338328	-0.254333333333333
TIE1	-1.21016666666667
HIST1H3G	-0.510333333333333
PASD1	-4.93366666666667
TINAG	0.45025
PCDHAC2	1.344
LRRC15	3.068125
WBSCR17	-1.36475
TFF2	0.3375
PARP2	-0.21225
NDFIP2	1.97675
PCDHGB2	0.6585
WDR60	1.4245
MAP7D2	0.0355
USP45	0.205
GSDML	-1.79675
TNS1	-0.0137
PLCD4	2.1325
IQCD	1.41166666666667
SMPX	-1.554
CD9	-0.0741666666666667
SRGN	3.723125
CASP7	0.3125
INOC1	0.0798333333333333
DKFZp451M2119	0.643125
VMAC	0.897
USP53	2.4387
CAMK1G	-0.052375
TMEM106A	-0.172666666666667
CDC20	-0.677
ACSL5	-2.79866666666667
CBWD5	-1.6025
C1orf87	-0.836333333333333
KIAA1274	-2.4045
PRUNE2	-0.0702142857142858
LYPLA2	-0.824
DOK6	0.983833333333333
GPR149	-0.6555
FAM30A	2.66625
TMEM129	0.42875
SLC35B3	0.6425
ACPP	3.0556
LOC200261	-0.3175
SLC4A7	0.7255
CCDC40	0.156
GART	-0.968125
THOP1	-1.205
SCARB1	-1.33025
CACNA1F	0.09925
TRIAP1	0.427
