Hybridization REF	TCGA-AA-A00U-01A-01R-A002-07
MAPK8	0.557
CCDC38	-0.03425
DNAJC8	-0.2921
RBBP8	-0.629
WNT11	1.7452
KCNJ12	1.788
HDAC8	-0.244333333333333
STARD4	0.01025
ACVR1	0.0433333333333333
C14orf65	0.9045
KLB	-2.475
C1orf65	-0.1075
ZFYVE28	-0.923
NSUN6	0.10575
KIF27	0.494333333333333
SYTL2	-0.583833333333333
UBXD2	0.5891
OR6T1	0.246
CCDC91	0.450714285714286
GRID2	0.0535
CALN1	-0.63025
ZNF423	-0.82425
PSMB4	-0.498333333333333
XPNPEP3	-0.0233333333333333
ARPP-21	-2.5405
SART1	-0.000499999999999999
RACGAP1P	0.2765
SPTA1	-5.10825
C6orf113	0.3195
C7orf16	-1.67025
CHST7	-1.7645
C21orf29	-0.408
SEMA6D	-1.380125
PCMTD1	1.065125
KIAA1754	-0.531833333333333
MYCN	-0.4003125
KCNJ3	-0.7005
MAPK13	2.4098
ERO1LB	-1.0255
NTF3	-1.31283333333333
NKX6-2	-0.27875
GTF2B	0.01975
GSPT1	0.566333333333333
GUSB	0.02
LOC221091	-1.109
LIG1	-0.66175
EXTL3	-0.474166666666667
NID2	-1.4315
TTC29	-0.403
TMEM97	0.83575
EXTL2	-0.572
SUZ12	0.375625
IL1F8	-0.0225
KRT18	0.382818181818182
MRPS16	-0.254583333333333
PI4K2B	0.93375
LACRT	0.007
OR51F2	0.107
JMJD2C	0.682875
KGFLP1	1.3075
CDK5RAP3	-0.4393
YTHDF2	0.213
GGCX	-0.635375
ARPC4	0.41825
EGLN2	-0.0641666666666667
KBTBD4	0.0738571428571428
ROBO3	-1.632
DEFB118	0.084
KIAA1543	1.4155
RTCD1	0.4415
MZF1	-0.994
C18orf26	0.036
CNIH4	-0.528166666666667
ZFP2	0.208666666666667
HTATSF1	-0.02975
WFDC2	2.853125
NDUFA7	0.4675
TTC22	0.489666666666667
FAM40B	-1.031875
DCPS	0.17225
SH2D1B	-0.0716666666666667
MRGPRE	0.3125
SBK1	-0.093
UNQ6411	0.3385
OSBPL9	-0.8405
NUP107	-0.63475
MYOZ3	-0.4224
PDE4B	-0.716
FAM113A	-0.8005
IDH3G	-0.421166666666667
FBXL7	-1.17025
ARFGAP3	-0.7375
MAPRE2	-0.509076923076923
IL1RN	-0.111
KIF13A	0.6985
RAC3	-0.978
TCTE1	-0.024
TMEM14B	-1.03883333333333
ADIPOR1	-0.374833333333333
GRINA	0.19
CLIP4	-3.0625
LRIT2	0.4105
TFPI	-2.7115
FABP6	3.12025
SLITRK2	-0.1673
HKR1	-0.06925
SMTN	0.57175
C1orf75	0.299
CD209	0.35475
CYB5R2	0.927
DNTTIP2	0.434666666666667
CSGlcA-T	0.128375
GABRB3	-2.2235
PCBD1	1.23616666666667
TAF3	0.664916666666667
HOXD3	-0.942666666666667
GIPC3	-0.0045
P11	0.0881
BFSP1	-0.30875
LCP2	0.03275
TAS2R8	-0.00949999999999999
SEZ6L	-0.87
NR2C1	0.107125
EXDL2	0.5384
TNFRSF13B	-1.82833333333333
MKI67	0.22275
GLS	0.476
C7orf54	0.0173
LGALS13	0.273
IL4R	0.7025
SEC11A	-1.5105
SPP2	0.6215
C18orf32	-0.69725
CLSPN	-0.612666666666667
SPAG1	2.904625
C9orf82	0.858
TM4SF1	-1.04733333333333
EMILIN2	1.66675
SMG7	-0.0553333333333333
TAS2R13	0.226
ZNF628	-0.0465
DZIP1L	-1.04866666666667
ANKRD13A	-0.1918
VASP	2.124
ZCCHC11	-1.15675
SYPL1	0.092125
MGC34774	0.283
C4orf28	0.57175
KIAA1211	-0.00741666666666666
RPS27L	-1.23975
TATDN3	-1.686
PDCD1	-0.34275
OR5P2	0.2835
IFIT1L	0.0885
MIPOL1	0.61275
OR51D1	0.14575
C1orf92	-0.501
LAMP2	0.0207777777777778
CAT	0.341166666666667
C16orf80	-0.0275
C15orf32	0.2305
ZNF746	0.02575
C1orf76	-0.8785
ATXN1	0.08475
LAMC2	2.17075
SLC2A7	-0.172
CPOX	-0.33875
APH1B	-0.501
LOC442245	-0.6495
CTNND1	1.01344444444444
GABRG2	-0.365
MADCAM1	-0.228166666666667
F5	-3.052
SEMA4F	-0.438166666666667
NUDCD3	-0.0165
PDZD11	0.226
TRIML1	0.0945
GCNT3	3.20083333333333
TMEM120A	-0.0185
CNDP1	-0.483
N4BP1	0.185
SLC35F2	0.48175
LCP1	-1.958
IGBP1	0.0947
DCAKD	-0.372875
ELA2A	-0.5145
C12orf56	-1.443375
PITRM1	0.145571428571429
GUK1	0.0306666666666667
RASSF8	-1.9496875
OR2A14	0.189
ADM	-0.453
FGD3	0.127333333333333
GHRHR	-0.188
RHPN2	1.70925
C4orf39	-0.997833333333333
VPS72	-0.272
SERF2	-0.2685
CD22	-0.123833333333333
CD47	-0.0647
PPIC	0.2695
IMPDH1	0.37425
ACP6	-0.250666666666667
PRKACA	-0.44825
PPP1R1A	-1.945625
TRPV3	0.04975
ASXL1	-0.1605
C17orf55	-0.396
FXYD1	-0.920166666666667
LMOD2	-0.035
ANKRD33	0.0145
LCE2C	0.209375
ZNF620	0.2295
DKFZP566E164	0.4125
VSIG2	1.49225
KIAA1128	1.379
USO1	0.022
NUDT4	1.34157142857143
CLDN1	3.20135714285714
OR4Q3	0.273
FASTK	-0.5645
ICOS	1.27216666666667
LDB1	-0.37725
GSTA5	-0.408
ABCC1	0.0318333333333333
FAM54A	0.0575
PCBP2	-0.758166666666667
NUP205	-0.70425
ACTA1	-2.10783333333333
GABBR2	-0.96125
PIP5K1B	3.07533333333333
AGXT	-0.8455
RNF181	-0.81375
ATP8A2	-1.835
AFTPH	1.2715
FGF21	0.17825
FCER1G	0.785
SNTB1	1.477
SLC24A3	-0.416875
TXNL4B	-0.3503
RPL10L	-0.507833333333333
LOC389517	-0.57925
TSGA13	0.2285
SHOX2	-1.98033333333333
ITGA7	0.1071
KCNIP2	-0.2505
KLF13	0.4357
ZFAND2A	0.23675
CEACAM1	2.71978571428571
PFKFB4	-1.74083333333333
MED19	0.15575
LRRC57	-0.109333333333333
RNF11	-0.07325
ANKRD32	-1.655
P117	0.3425
OBFC2A	0.00333333333333334
POLD3	-0.0428333333333333
RAB18	0.2635
TPH2	0.309
PHB	0.393
JDP2	0.9755
MORF4L1	-1.3148
POU2F1	-0.148
CNNM2	-0.223
LOXHD1	0.0435
ZC3H15	0.51625
ELK3	-0.337333333333333
FAM111B	1.11425
CBLC	3.36633333333333
SBNO1	0.56675
ANKMY2	0.08075
PLEKHA5	0.17725
DHX58	-0.634833333333333
ARCN1	0.0778333333333334
TREML1	0.0808
KNCN	0.093
SEC24A	-0.25275
PSCA	-0.89375
MGC24125	0.465333333333333
DNA2L	-0.10525
CIB4	1.13225
HIGD2A	0.514666666666667
TBX6	-0.0378333333333333
TTLL5	-0.265
SGK3	0.260333333333333
GCN1L1	-0.12375
AMOT	-0.1333
LDOC1	-1.91083333333333
NRK	0.000333333333333334
ASB9	-0.5965
NAT1	0.4548
TRAFD1	-0.4065
PEAR1	0.202
FAM36A	-0.0285
OR1S2	0.158166666666667
LOC388323	-1.73725
PGS1	-0.725333333333333
LEPREL1	-1.7865
TFF1	-1.51975
HAP1	0.1565
EPHB2	3.568
ACTG1	0.5965
ZFP42	-0.705333333333333
HAVCR2	-0.9594
NME1	-0.0465
SNX26	-0.306666666666667
LACTB	-0.012
ZKSCAN2	-1.2745
C5orf35	-0.15775
ANKS3	-0.46025
RBM28	0.1505
DKFZP586P0123	-0.7265
HNRNPA1	-0.0535
BCAS3	-1.70725
FLJ20184	0.3345
POLA2	-0.9215
TMC7	1.64716666666667
HSD17B6	-0.0165
ZNF658B	-0.583166666666667
TTTY10	0.417333333333333
RANBP9	-0.292416666666667
CPNE7	0.431833333333333
EVL	-1.92594117647059
LNX1	0.423333333333333
IFNA21	-0.0558333333333333
CFD	-0.8125
PYCARD	-1.17133333333333
MYBPC2	-0.294
ENPP3	-1.17316666666667
ACSL4	-0.80625
LOC440258	-0.120166666666667
TMEM176B	3.513
SOX2	-4.345375
SCO1	-0.0866666666666667
COMT	-1.10025
AOC2	-0.20025
PDLIM5	1.03792857142857
SPHK2	0.795333333333333
NXPH2	0.328
GPR108	0.076
RAD51L1	0.1465
TMEM54	2.3625
LETMD1	-0.825
SLC6A17	-0.05275
KRT75	1.2265
STT3B	0.509
CD3EAP	1.334
TMEM63A	0.891
DUSP13	-2.843
CD1C	-1.71233333333333
LASS2	-0.642166666666667
AVP	0.8995
PITPNM1	-0.72925
FLJ22795	-0.4885
MCTP1	-2.4575
TRIM68	0.7065
UCK2	0.131333333333333
ABHD1	-0.588
FAM50A	-0.457
RNASEH1	-0.31
PCP2	-0.712833333333333
OR52H1	0.166
C20orf149	0.207
RBP5	-1.81433333333333
HYAL3	-0.49325
CLPB	-0.2235
SMNDC1	0.20125
DONSON	-1.2565
FLJ27523	0.21625
BARHL2	0.192833333333333
SLC30A9	0.352666666666667
TMPRSS11B	0.282
E2F8	0.293166666666667
CCDC25	-0.767916666666667
C14orf48	-0.0671666666666666
C20orf116	-0.077
TSPAN11	-0.0375
YIF1B	-0.785333333333333
FAM12B	-0.0245
OR1L6	0.206
HPN	-1.9145
NBN	0.870875
C14orf94	-0.735166666666667
OCLM	-0.1745
ZSCAN18	-2.3184
L3MBTL	-2.1843
TSTA3	1.785
RAC1	0.546125
C19orf15	-0.182333333333333
NFE2	-4.5555
KLK14	0.237
ARSF	0.2155
MAST2	-0.116833333333333
AMICA1	1.94933333333333
GTF2A1	0.14825
ATP1A3	1.19475
TC2N	2.7246
PNKP	0.187
ODZ2	-3.246875
MATR3	0.331125
S100P	2.447875
KRT82	0.175
CA13	0.9093
PROZ	-1.296
AASDH	0.05075
C19orf40	-1.53616666666667
DCK	-0.0979230769230769
FAM5C	-1.5275
SLC6A4	-2.124
MID1IP1	-0.043375
TESSP5	0.0485
TMOD4	-0.380166666666667
DOCK2	-1.8995
TUG1	-0.117875
NUP214	-0.8165
DPYSL2	-1.46090909090909
GOLM1	2.0195
MPFL	0.24925
SOX13	-0.0865
SDCCAG8	0.1707
KEL	-2.28266666666667
NUP210L	-2.098
GK	0.297
DNAJB1	2.339
ALPK3	0.3025
CHID1	-0.3704
CYLC2	0.129
IKZF5	0.82725
C8orf51	-0.480166666666667
PPM1J	-1.06125
GIMAP8	1.58216666666667
GPR101	-0.0505
NR2F1	-2.1295
ACAD8	-0.06275
RBM35A	2.009
GNAI2	-0.820333333333333
METTL8	0.84
SLC39A7	0.789
FBXO8	0.2115
CAMK1	-0.5805
RFC3	-0.7815
FAM129A	-2.09785714285714
ILF2	0.03175
FGFBP3	-0.559875
NOM1	0.4445
PSMA3	0.26875
ASCC3	0.8248
ZYG11A	-3.78275
SOX21	-1.12275
LYRM1	-0.384
DEFB1	1.386
LOC91431	-0.974
OR7C2	1.2555
FAM46B	-1.61725
TMEM18	-0.441
ARHGAP30	-0.635
TMEM86A	-0.0238333333333333
EPHA2	1.336
C10orf46	0.94715
TCHH	-1.362
C3orf30	0.0413333333333333
LOC285636	-0.342833333333333
PAIP2	-0.37325
CYP2U1	0.1385
C12orf34	0.35425
SARS2	0.0236666666666667
ZCWPW1	-1.35975
SAMD12	1.574
KIAA1430	0.621875
ACAT1	-0.592
MEOX1	-0.0123333333333333
ADAMDEC1	5.05075
PHKA2	-0.617
CARD11	-1.71633333333333
CALML4	2.3925
TSSC1	0.1265
TMEM45A	-3.23088888888889
MPP7	1.81225
POU1F1	0.2405
SLC2A13	-0.3156
FBN2	-0.826714285714286
ZC3H7A	-0.4785
LAIR2	0.2255
ST3GAL1	-1.48316666666667
LCT	-2.4125
GEMIN8	-0.2505
KLF16	0.6409
HIF3A	-0.0055
FAM44A	0.253928571428571
AQP10	-1.0771
PLA2G2A	3.1815
FOLH1	1.06616666666667
C20orf186	-0.0315
MAPKAP1	-0.482375
SPRR2D	-0.927
UBQLN4	0.569833333333333
RSHL1	0.0906666666666667
PIAS3	-1.026
MRPL24	-0.27475
GREB1	-3.634875
FAM27E3	-0.7635
NUP62CL	0.34675
NEUROG3	0.5855
REEP3	0.672416666666667
MARK1	-1.790625
LMBRD1	0.1445
PRPF19	0.1495
PNMT	-1.45416666666667
CTGLF1	-0.6275
SLC25A16	0.22225
EIF2B3	-0.4085
RPA2	-0.75925
PAK6	0.757833333333333
CCDC26	-3.32375
SEMA3E	-1.094
MXD4	-0.3466
TNFSF10	1.6747
SMARCB1	-0.5295
DTX3L	1.41166666666667
PLA2G4E	-0.1945
PPAP2A	0.3355
ULK1	-1.137
TAS1R3	0.1875
SLC2A3	-2.45854545454545
ARID3A	-0.39425
GNG5	0.315
ACOX1	1.1214
KIF5B	1.366
NUP153	-0.21575
MUC7	0.3015
CSDE1	-0.547642857142857
CLPTM1	0.097
C3orf23	0.216625
LRRC17	-3.39216666666667
TTYH3	-0.032125
ATP5B	-0.2375
ELF3	2.4154
CPSF3L	-0.108166666666667
ZNF665	0.00816666666666666
TLR6	-0.9384
GPI	-0.300625
RAD9A	-0.222125
NDST4	-3.16325
AGPAT3	0.1805
MAGI3	1.2555
ADORA2A	-1.638375
CACNG7	0.0435
CAMK2D	1.049
CCHCR1	-0.362
RPS27A	0.024
OR10G7	0.1965
GCM2	0.2165
FAM135B	0.0728
E2F1	-0.2645
PLCB3	0.43775
OR2AE1	0.446
COIL	0.119666666666667
CDC25C	-0.287833333333333
RAB11FIP2	0.453833333333333
TSC2	-0.43225
CTGLF5	-0.5135
CCDC108	0.0884
OR13C4	0.1325
C10orf81	4.161
PTPRB	1.61675
ACP2	0.04925
LAG3	0.396
MRPL54	0.07225
LOC201175	0.711
ITGB1BP3	-1.649
SPTAN1	0.342
SIPA1L2	0.8605
RCAN2	-0.8655
CDX2	3.6345
ECOP	0.33525
ACTR1A	0.149428571428571
PPARG	2.56366666666667
BBS10	-1.00633333333333
TMEM44	-0.54875
BPIL2	0.3005
CITED1	-1.56
IRF6	2.89525
PRDM4	1.05933333333333
RRP9	0.605666666666667
OR10H4	0.25075
IL31RA	0.07575
GNB1L	-0.381
MYBL2	-0.26325
ZNF407	0.175166666666667
PPIG	0.3805
TTC18	0.2135
RPSA	0.386
MAPT	-0.74775
MRE11A	0.171214285714286
C8orf37	-0.247833333333333
RASGEF1C	-0.5245
STBD1	0.502
CTAG2	-0.214833333333333
MGAT5B	-2.64466666666667
ECM1	-0.395625
RLN1	0.246
PARP14	1.1263125
EPB41L1	0.7133
HOXA3	1.43708333333333
MAGEA9	-3.62425
RPS8	0.0483333333333333
RPS19BP1	-0.462
FOXJ2	-0.167375
C10orf76	0.35025
IL17RE	1.26325
C10orf65	-1.4685
ZNF343	0.261833333333333
FBXO33	0.539875
UHMK1	0.218
LY6G6C	-0.4005
FGF19	-1.49575
C14orf128	0.192166666666667
IFIT2	0.8035
TIGD1	-0.11725
S100G	0.7125
GUCY1B3	0.9535
NR3C1	-2.5922
CORO1B	-0.487833333333333
PARP11	-0.290916666666667
DNALI1	0.0631666666666667
OR4N4	0.305375
MAP2K6	1.15216666666667
FSTL4	-0.396
ANKRD47	0.66075
TMEM171	2.065
PNLIP	0.3125
YY1	0.421833333333333
CCDC138	-0.295833333333333
AASDHPPT	-0.1635
CKS1B	-0.3793
MCM3	-0.351
ANAPC7	-0.144666666666667
FAM110A	0.56975
CDC37L1	1.1515
THTPA	-0.144
NBPF20	-0.615
WDR24	-1.0175
NPTX2	3.48825
CBLB	0.710666666666667
CETN1	0.202166666666667
RPUSD1	0.04775
FAF1	-0.0415
CDK6	-0.9013
HMX2	0.8405
CSK	-0.777166666666667
TEAD2	0.4435
SNAP25	-1.28875
TUFT1	0.6055
TMTC3	0.410166666666667
LCK	-1.35175
SGOL1	-0.0751666666666667
AKTIP	-0.11125
FURIN	0.0475
SOX12	-0.790666666666667
DEFB103A	-0.08575
RAMP1	-1.1495
KIR3DX1	-0.283
GAS2L3	1.07025
PDE8A	-0.5893
EDN3	-0.2215
GMIP	0.7625
SF3A2	0.0205
FN3KRP	-0.112
SMAD7	-0.05975
RHBDD2	-0.12825
OR11H6	0.414
PPP1R3B	0.4449
C9orf23	0.13775
CADPS	2.1295
GOLGA8A	-3.7455
TMEM57	0.128666666666667
RGL3	-1.7805
S100A14	1.65175
FGFR2	0.2050625
XRCC3	-0.08525
RTN4RL2	-0.067
MGC3771	-1.2885
GH2	0.0906666666666667
BTBD2	0.12575
LMO2	-1.70925
RDBP	-0.10475
ACRBP	-1.70075
AMY2A	0.07075
DUOXA1	0.437
PTK7	0.728833333333333
TWF2	-0.899833333333333
FAM80A	0.4025
TNNI2	-3.50833333333333
GLT25D1	0.00483333333333334
OCC-1	-0.3745
CYC1	0.358666666666667
RPL22	0.511136363636364
MORN3	-0.384166666666667
DISP1	-0.93425
PRB2	-0.034
CHUK	0.7765
HR	0.558
CCDC134	-0.256
DENND4B	-0.56225
C14orf130	-0.203625
RAB33A	-2.16475
DCST2	0.117
TNMD	-1.36575
PEX7	0.95325
FAM62A	0.0945
SRD5A2L	-0.245
IL22	0.80925
RPS26	-0.1045
HOXC5	-0.227
SPATA6	0.5715
FLJ38482	1.160375
ZNF234	0.388
C18orf22	-0.37425
SPATA22	0.24575
THOC1	0.3045
CYP7B1	0.70125
KCNC3	-0.0735
C8orf42	-1.6325
ALDH1B1	1.46833333333333
CCDC100	0.6364
ARMC4	-2.64775
FAM18B2	-0.09775
SLC44A1	0.752625
FBXO17	-2.77866666666667
C6orf107	0.1585
C19orf29	-0.3165
ZC3HAV1L	0.27675
PARP6	-0.5384
SULT2A1	-4.122875
C1orf159	-0.05975
TMC1	0.23
CHST14	-1.480875
GAMT	-3.59766666666667
SMCP	0.101
TSPAN33	0.226583333333333
MIDN	0.68925
NOX4	-0.07075
RNASEN	-0.4465
TBX1	-2.73416666666667
SALL2	-3.76325
C10orf35	1.061
CYP2E1	-0.94
LRFN2	0.0315
ACO1	-0.179
IQCG	-0.2314
MEGF9	0.05025
TM7SF4	0.11025
PLEKHA1	1.516
STK33	-2.445
C1orf210	1.57275
SNUPN	-0.7357
KIAA0406	-0.0399
C20orf29	-0.06725
TMEM55B	0.1085
OSTM1	-1.1379375
CLCN7	-0.44525
OTP	0.0715
FLJ23049	-0.68625
HEATR4	0.241
MAP3K10	0.316
PCDHGA9	0.163
AMDHD2	-0.903
LCTL	-1.771
PDCD2L	0.418
CABLES2	-0.2705
SLC5A9	-0.21775
CLCA2	-0.867666666666667
MGC16025	-0.5285
STRAP	-0.3
C20orf196	0.8755
RRBP1	0.759333333333334
NAT13	0.5705
MAT2B	0.04225
CSNK1D	-0.385
KIR3DL1	0.08225
PRKAG3	0.1865
ZNF599	-0.096
PRM3	-0.079
PER2	0.7915
ASPHD1	-1.3275
PRMT6	-0.1825
KCNE1L	-0.509142857142857
FAM118A	-0.216166666666667
TAF4	0.6875
NDUFB6	-0.171
TRIM9	-0.145916666666667
PMFBP1	0.43625
KY	0.0585
DKFZp762E1312	-0.698909090909091
CSMD1	-1.0065
TBP	-0.205833333333333
OR1Q1	0.159333333333333
RETNLB	4.0235
HPGD	0.00200000000000001
DNAJC12	-0.779333333333333
FKBP1B	-2.2215
ANKRD24	-0.449833333333333
CXXC5	0.309166666666667
IL3	-0.08175
DRAM	0.7913
PTCH1	0.703625
TP53BP1	-0.60425
SLC17A7	-0.10775
COL25A1	-0.7593
AMACR	1.23333333333333
RHCG	0.38775
VPS13A	0.149916666666667
FAM55D	5.8155
PRPF38B	0.35975
OSBPL6	-3.4985
PFDN5	-0.1891
CMTM6	1.074125
KCNK12	-1.5525
RP2	0.1615
C16orf52	-1.364
PICK1	0.00699999999999999
IFNE1	-0.802833333333333
SEMA4B	0.369
TYRO3	-1.60675
OR12D2	0.2695
CSNK1A1	0.0689
FANCF	1.12825
LONP2	0.494875
TBL1Y	-1.4135
LDOC1L	-0.736875
CCNC	0.437
C3orf60	-0.407
CHKA	0.01875
UBAP1	0.335
MAP3K1	-0.304
ANKRD9	-0.92775
FAM92A1	0.307166666666667
GAB2	0.415
AZU1	-0.542
DIS3	-0.279583333333333
C21orf109	-0.59
IQCB1	-0.44075
SPATS2	-0.3705
EFCAB3	0.2255
PRB3	0.11175
FUZ	-0.927333333333333
ZNF813	0.63725
BMPER	-0.463333333333333
HEG1	-1.016625
ALS2CR11	-0.92775
SURF2	-0.02925
PSMC1	0.0125
OR2D2	0.457
SLC7A8	0.6075
C4orf40	0.17
SPATA7	0.37225
MAZ	-0.293416666666667
PIN4	-0.65125
PDE1A	-1.870875
TAF6L	-0.0116666666666667
OR2T34	0.536
KIAA0284	0.68175
ACADS	0.324181818181818
MKRN2	-0.002
C18orf56	-2.2015
MS4A6E	-0.0495
GALNT4	2.2262
C22orf31	0.2755
FLJ36070	-0.3945
PSME4	0.459
TFG	-0.0504
EPHX2	-0.081125
ANXA5	-0.794375
KRTAP1-1	0.0625
BATF	-0.88775
KARS	-0.1465
MSTP9	-0.289
GPR26	0.081125
CCDC72	0.32525
TEF	-0.541833333333333
FOXK1	0.3127
PRLHR	0.1
EMX1	-0.139
C11orf30	0.07425
ICK	0.88225
THSD7B	0.079
C21orf100	-0.301
DUOX1	0.456
EFCAB4B	0.84575
UBE2G2	-0.3635
C3orf54	-0.784
PARP1	-0.83125
FAM60A	0.691916666666667
C6orf146	0.21475
OR9K2	0.094
DDX55	-0.0875
RPS15	0.400666666666667
ZNF618	-1.0489375
DKFZp686D0972	0.4425
SSPO	-0.6795
SHFM3P1	-0.2595
CPA6	2.586
JAG2	1.376
DEFA3	0.82825
PPBPL2	0.0866666666666667
CD34	3.12175
SLCO4A1	0.794625
AFG3L1	-0.7405
SHD	1.5215
RP13-122B23.3	-0.200333333333333
PRKCSH	-0.543666666666667
DPH5	-0.036
HLA-F	1.373875
TBC1D4	0.83375
RIG	0.0906666666666667
GLUD1	-0.103833333333333
HNRPCL1	0.40875
HBXIP	-0.33725
RNF207	-0.1005
APIP	1.458
PLA2G3	-0.763166666666667
CCDC84	-0.54425
MYLIP	-0.370846153846154
PHIP	-0.23775
AARS2	-0.402833333333333
DHX32	0.67825
SCAPER	-0.597833333333333
MEN1	-0.067125
NIP7	0.11325
FLJ25404	0.24
FASTKD3	-0.48225
TMEM158	-1.33416666666667
RARA	0.05
BDH1	1.24
ANKRD16	-0.018
CARM1	0.834
SS18	-0.6525
IKZF2	-0.895916666666667
MYD88	0.25025
PML	-0.11425
TAF1A	0.4985
CBFB	0.04075
HIST1H3H	-1.10533333333333
C7orf29	-2.87025
COMMD4	-1.20466666666667
DPP3	0.13675
DAB2	-0.022
LOC388882	-0.0895
YPEL4	-1.281
AGBL3	0.269
LRP6	0.9407
SERPINH1	-0.05925
TLE1	-0.07575
CD244	0.517666666666667
ZDHHC15	-1.048
MGLL	0.2033
PLDN	-0.353333333333333
LOC654346	1.7485
FAP	-0.23425
GPR37	-0.973166666666667
SCARA5	0.704833333333333
EBF4	-0.671181818181818
LSM6	0.7295
MLLT1	-0.087625
SLC5A12	0.70525
A2BP1	-1.0235
COPS5	0.158166666666667
TPM4	0.294285714285714
TNFSF4	-0.622833333333333
ACADSB	0.929722222222222
HERPUD1	-0.35375
BCL2L11	-0.693722222222222
CEP78	-0.17375
CDCA3	0.0185
WBSCR19	-0.3639
MYO1A	3.5065
PPEF1	0.0121666666666667
LOC440348	-0.72475
CPEB2	-0.2595
BPTF	-0.1975
RPL21	0.39725
GSX2	0.0055
ADPRH	0.6085
C17orf68	0.0631666666666667
KCNS1	-0.600166666666667
MLLT6	0.3079
PIWIL4	2.174
RNF26	-0.4875
RAP1B	0.047125
ADAMTS1	-1.6565
ZNF571	0.61225
P2RY6	-0.5655
TRIM21	0.665833333333333
CADM3	-0.14075
NLRC5	1.05966666666667
ADRA2B	-0.0966666666666666
LOC90835	-1.10575
PCF11	-0.548
LOC400451	-0.864
GLTSCR1	0.392
C17orf88	-0.310166666666667
CDH16	-1.0085
FGF7	1.6025
PCSK4	-0.742666666666667
NPC1L1	-0.791
TAT	0.101
TBCA	-0.1795
MGC33407	0.10875
GPR115	1.19275
CYGB	-0.0405
FNBP4	-0.436666666666667
C12orf43	-0.15725
CBL	-0.147
CLECL1	-0.64775
PPAPDC1A	-1.237
WDR25	-0.244833333333333
SGCA	0.2135
C22orf29	-0.383666666666667
YIPF1	0.473
GALK2	-1.97925
RAB3B	-2.78533333333333
LOC440087	-0.56475
UCP1	-1.8285
REEP5	-0.129375
FADD	-0.4252
FOXA1	0.506625
CACNA1A	0.216833333333333
ABI1	0.695333333333333
GRIN2D	0.1365
SLC1A4	-0.0938333333333333
LOC401127	0.34275
HINT2	-0.1485
PLD4	-0.553333333333333
ZNF286A	-1.156
ENY2	-0.1545
IL1F6	0.457
PXDNL	-0.16725
C20orf79	0.3175
TNFSF13B	0.214166666666667
DENND3	-0.37325
JARID1D	0.87725
HIST1H2AK	-0.26025
LOC93349	0.2434
SSH1	-0.1055
ENSA	-0.24825
LOC219854	-0.653166666666667
CKAP2	-0.0283
DKFZP564J102	2.144
MGC87315	0.8905
HNRPAB	0.8155
AMH	-1.397
ZNF526	0.5035
BRUNOL5	-0.078
CACNG3	0.238
TRPM1	-1.308
PPP2R1A	0.090875
COL2A1	-1.20775
DDN	0.226
FLJ25770	0.0473333333333334
HK2	0.15
ELOVL6	-0.343125
MDK	-1.2455
EPHX1	0.03425
RASSF2	-0.0855
DKFZP434B0335	-0.76125
DLX3	0.088875
PRTN3	-0.45875
AVPR1A	0.21775
C21orf125	-1.2975
TNFAIP8	-0.812166666666667
GNB2L1	-0.42325
CALCRL	1.40475
SCGB2A2	-0.112666666666667
UBXD7	-0.436
ZNF674	-0.022
TMEM35	-0.63125
BRSK2	-0.18
HECTD3	0.18
TMEM188	-0.172666666666667
LGALS9	2.063625
SCARB2	0.155833333333333
USP34	-0.042
C17orf28	0.5195
ZDHHC23	0.5625
AQP12B	1.23
SLC16A3	-0.554625
APLP2	0.329125
ITIH2	-5.0715
MICAL3	-0.388875
TNNI3K	0.0251
HDAC2	0.385625
PRR7	0.5583
THBS2	-2.526125
LOC751071	-0.206666666666667
CA2	0.654
RANBP17	1.139
RLN3	-0.12025
CRYZ	-0.676666666666667
GBAS	-0.191833333333333
TAS1R1	-0.18
MPZL3	1.157
PCDH8	-1.09475
HSP90B1	0.46025
KCNK15	-0.9935
TNIP2	0.135333333333333
GPR146	-1.83325
NOL6	0.397125
SPC25	-1.23844444444444
STEAP2	1.94285714285714
VAMP3	0.241166666666667
TCIRG1	0.1565
ZP4	0.0181666666666667
PARL	-0.11725
TRIM39	0.0783333333333333
KIAA1305	1.48225
CRNN	0.228833333333333
GRN	-0.022
HSH2D	-0.0865
SCAMP1	0.6749375
KIAA1913	1.0565
PTS	0.0865
BANP	0.350857142857143
PRKACG	0.01325
ADCY6	0.2545
C16orf46	-0.0445
CYP51A1	0.32375
DDC	3.04275
ANPEP	-1.746
PROM1	4.3125
SIGLEC10	0.7475
COPG	0.1695
FAM26E	-0.007125
TRIP4	-0.52175
SNX3	-0.0956666666666667
C1orf175	0.590833333333333
PPY2	0.0225
C14orf152	-0.11025
FTSJ1	-0.436
DST	-0.38465
LOC554235	0.021
GLRX5	0.15975
C20orf12	0.2786
CAB39	0.8675
MSH2	-0.808333333333333
PIP4K2C	0.825125
CYLD	0.34325
WTAP	0.349
MGAT4A	0.987
TSC22D4	-0.889
CHRM2	2.0675
PPYR1	-0.107333333333333
CCNH	0.0258333333333333
RRM1	-0.16925
ECAT8	-3.242
LOC400120	0.0885
GABRA4	0.5685
C14orf4	-0.339
C1orf59	0.367
CTDSPL	0.955
NHEDC2	-0.6925
PDE11A	-0.8056875
KLHL29	1.0805
CD5	-0.328
TSPAN9	0.143875
WDR67	0.0425
