Hybridization REF	TCGA-AA-A01K-01A-01R-A00A-07
BOK	0.4085
CXorf6	-1.777
MYEOV	1.5295
BTN2A2	-0.3537
FRG1	0.33175
HSP90AB6P	-0.0145
ENOX1	0.00516666666666667
ZNF706	1.2283
DOK1	0.3138
PGAP1	0.8665
TMEM136	-1.2235
FSCN1	-2.4025
KIF17	-0.33325
TRIM66	-0.0425
CBR3	-0.7955
C13orf24	0.0411666666666667
C19orf52	0.09675
BNIP1	0.208
AQP3	-1.872125
KRT6C	0.0981666666666666
SIRPA	0.266666666666667
IGFBP6	-1.19183333333333
PLEKHK1	0.188125
RNASE7	-0.217
ARHGEF15	0.61125
NPHS2	0.06775
SRD5A1	0.35275
REXO4	0.00574999999999999
EEF1DP3	0.29825
SLC37A2	-0.07075
ZNF142	1.1015
ANKHD1	-0.3705
MUT	-0.1
VPS37A	-0.76425
GPRIN1	0.13625
SLC38A3	-1.41475
BAZ2B	1.834
WDR87	0.201
BRD7	0.371
POU6F2	-0.586
NISCH	-0.2785
TCEB1	0.09575
LINGO2	-1.86525
TAX1BP3	0.00849999999999999
RPL34	0.420611111111111
MARK2	0.0326666666666667
AKAP12	-0.3466
AMBN	-0.196
SLC25A27	0.167166666666667
FLJ21865	0.945375
KIR2DS2	-0.0686666666666667
WDR77	-0.691
ATF2	-0.559
ITFG3	-0.320666666666667
SLC39A13	0.319
ARL6IP5	0.522625
C10orf137	-0.257625
QTRT1	-0.470666666666667
CCNT1	0.08
DYNLL1	0.5928
WDR53	-0.414
LIPG	3.3775
ASAH3	-0.0795
HELB	0.55425
PHACTR2	1.389875
VENTX	0.13775
LAD1	3.08666666666667
PAOX	1.5485
MAPK8	0.4595
CCDC38	0.29625
DNAJC8	-0.6626
RBBP8	-1.4875
WNT11	0.2471
KCNJ12	-1.27283333333333
HDAC8	-0.2025
STARD4	0.041
ACVR1	0.882
C14orf65	-0.227916666666667
KLB	-2.6115
C1orf65	-0.414333333333333
ZFYVE28	0.11825
NSUN6	1.1155
KIF27	0.4355
SYTL2	-0.545833333333333
UBXD2	0.3726
OR6T1	0.0175
CCDC91	0.723785714285714
GRID2	-0.7805
CALN1	-0.488
ZNF423	0.16625
PSMB4	-0.0895
XPNPEP3	0.366666666666667
ARPP-21	-2.6345
SART1	-0.81075
RACGAP1P	-0.8425
SPTA1	-5.1675
C6orf113	0.655666666666667
C7orf16	-0.96725
CHST7	-1.509
C21orf29	-0.3425
SEMA6D	0.33225
PCMTD1	0.562625
KIAA1754	-0.933333333333333
MYCN	-1.186125
KCNJ3	3.54125
MAPK13	2.426
ERO1LB	-0.54325
NTF3	-0.7465
NKX6-2	-0.4965
GTF2B	-0.75925
GSPT1	-0.942
GUSB	-0.272
LOC221091	0.1395
LIG1	-0.21025
EXTL3	-0.805666666666667
NID2	-0.8125
TTC29	0.178
TMEM97	0.244375
EXTL2	-1.074
SUZ12	-0.006375
IL1F8	0.224
KRT18	0.572909090909091
MRPS16	-0.0490833333333333
PI4K2B	0.1795
LACRT	0.229
OR51F2	0.1805
JMJD2C	0.88
KGFLP1	0.7385
CDK5RAP3	-0.4256
YTHDF2	0.178333333333333
GGCX	-0.46925
ARPC4	0.31975
EGLN2	0.175666666666667
KBTBD4	-0.292571428571429
ROBO3	-0.2575
DEFB118	1.094
KIAA1543	1.29575
RTCD1	-0.3175
MZF1	-0.4355
C18orf26	-0.157
CNIH4	0.1395
ZFP2	0.9715
HTATSF1	-0.01175
WFDC2	0.984625
NDUFA7	0.727
TTC22	0.416666666666667
FAM40B	-0.024125
DCPS	-0.32675
SH2D1B	0.517166666666667
MRGPRE	0.0405
SBK1	0.03925
UNQ6411	0.694
OSBPL9	-1.0485
NUP107	-0.52425
MYOZ3	-0.5428
PDE4B	-0.904272727272727
FAM113A	-0.6835
IDH3G	-0.164833333333333
FBXL7	-0.507625
ARFGAP3	0.75
MAPRE2	-0.606846153846154
IL1RN	2.2546
KIF13A	0.7345
RAC3	-0.9415
TCTE1	-0.343
TMEM14B	-1.12216666666667
ADIPOR1	-0.264166666666667
GRINA	0.2
CLIP4	-0.99175
LRIT2	0.0155
TFPI	-2.442
FABP6	4.25375
SLITRK2	-0.038
HKR1	-0.06025
SMTN	0.61025
C1orf75	0.53575
CD209	0.357
CYB5R2	0.922
DNTTIP2	-0.234833333333333
CSGlcA-T	0.36675
GABRB3	-2.32425
PCBD1	1.55866666666667
TAF3	0.667083333333333
HOXD3	0.0723333333333333
GIPC3	0.021
P11	-0.44225
BFSP1	0.35625
LCP2	0.8725
TAS2R8	0.451
SEZ6L	-1.11142857142857
NR2C1	0.0505
EXDL2	0.0484
TNFRSF13B	-2.17966666666667
MKI67	-1.09175
GLS	1.709
C7orf54	0.2981
LGALS13	-0.00659999999999999
IL4R	0.988
SEC11A	-0.995666666666667
SPP2	-0.0211666666666667
C18orf32	-0.26925
CLSPN	-1.22116666666667
SPAG1	0.981125
C9orf82	0.3215
TM4SF1	-1.95116666666667
EMILIN2	1.82375
SMG7	0.880166666666667
TAS2R13	0.2215
ZNF628	0.246
DZIP1L	-0.329333333333333
ANKRD13A	0.2448
VASP	2.02875
ZCCHC11	-1.231375
SYPL1	0.185875
MGC34774	-0.094
C4orf28	-0.11325
KIAA1211	2.08458333333333
RPS27L	0.05025
TATDN3	-1.27875
PDCD1	0.05225
OR5P2	0.6375
IFIT1L	-0.2275
MIPOL1	-1.8125
OR51D1	-0.52525
C1orf92	-0.868
LAMP2	0.0335555555555556
CAT	0.154666666666667
C16orf80	-0.401
C15orf32	-0.285
ZNF746	0.444
C1orf76	-0.83
ATXN1	-0.0645
LAMC2	2.644125
SLC2A7	-0.386
CPOX	-1.021
APH1B	-0.224166666666667
LOC442245	-0.489
CTNND1	1.06172222222222
GABRG2	0.0315
MADCAM1	0.996666666666667
F5	-1.50675
SEMA4F	-0.405
NUDCD3	0.082625
PDZD11	0.07
TRIML1	null
GCNT3	6.00783333333333
TMEM120A	0.65225
CNDP1	3.9195
N4BP1	0.00712499999999999
SLC35F2	0.990875
LCP1	-1.15941666666667
IGBP1	0.9948
DCAKD	-0.014
ELA2A	-0.8035
C12orf56	-0.828
PITRM1	0.672
GUK1	0.0945
RASSF8	-1.10275
OR2A14	0.75775
ADM	-1.23233333333333
FGD3	-0.128833333333333
GHRHR	-0.0186666666666667
RHPN2	1.76325
C4orf39	-0.9215
VPS72	-0.63325
SERF2	0.106611111111111
CD22	-0.601666666666667
CD47	0.1718
PPIC	1.1775
IMPDH1	-0.495833333333333
ACP6	-0.466833333333333
PRKACA	-1.016875
PPP1R1A	0.400625
TRPV3	-0.25825
ASXL1	-0.268375
C17orf55	-0.550666666666667
FXYD1	-0.566833333333333
LMOD2	-0.3225
ANKRD33	-0.203
LCE2C	-0.038375
ZNF620	-1.123
DKFZP566E164	-0.5425
VSIG2	1.3455
KIAA1128	1.7445
USO1	0.383166666666667
NUDT4	1.26621428571429
CLDN1	1.89407142857143
OR4Q3	-0.124
FASTK	-0.614833333333333
ICOS	1.26483333333333
LDB1	-0.41525
GSTA5	0.81925
ABCC1	-0.769333333333333
FAM54A	-0.3425
PCBP2	-0.761166666666667
NUP205	-1.10375
ACTA1	-1.60083333333333
GABBR2	-1.2975
PIP5K1B	3.0795
AGXT	-1.21
RNF181	-0.35425
ATP8A2	-0.72825
AFTPH	0.598125
FGF21	-0.12875
FCER1G	1.12375
SNTB1	0.9405
SLC24A3	0.9515
TXNL4B	-0.4588
RPL10L	-0.1985
LOC389517	-0.5437
TSGA13	-0.443
SHOX2	-1.91133333333333
ITGA7	0.4283
KCNIP2	-0.164333333333333
KLF13	0.271
ZFAND2A	0.40775
CEACAM1	2.2985
PFKFB4	-3.21316666666667
MED19	-0.08675
LRRC57	0.667833333333333
RNF11	-0.43325
ANKRD32	-1.88975
P117	1.08475
OBFC2A	0.676833333333333
POLD3	-0.911333333333333
RAB18	0.89425
TPH2	-0.287833333333333
PHB	0.5373
JDP2	1.28133333333333
MORF4L1	-0.7914
POU2F1	0.7585
CNNM2	0.114666666666667
LOXHD1	-0.0708
ZC3H15	-0.27625
ELK3	0.0546666666666667
FAM111B	-0.39275
CBLC	3.8945
SBNO1	0.53325
ANKMY2	0.2085
PLEKHA5	0.23075
DHX58	0.846
ARCN1	-0.0451666666666667
TREML1	-0.1185
KNCN	-0.6365
SEC24A	-0.17325
PSCA	-1.18766666666667
MGC24125	0.254666666666667
DNA2L	-1.048
CIB4	1.151
HIGD2A	0.826166666666667
TBX6	-0.357166666666667
TTLL5	-0.930333333333333
SGK3	0.5235
GCN1L1	-0.1625
AMOT	0.586888888888889
LDOC1	-1.738
NRK	-0.0195
ASB9	0.073
NAT1	1.0383
TRAFD1	-1.059
PEAR1	0.238
FAM36A	-0.1065
OR1S2	0.2015
LOC388323	-1.4855
PGS1	-0.743166666666667
LEPREL1	-3.06325
TFF1	-4.63191666666667
HAP1	-0.69025
EPHB2	2.68775
ACTG1	0.382
ZFP42	-0.6755
HAVCR2	0.4794
NME1	0.077
SNX26	-0.28325
LACTB	0.0333333333333333
ZKSCAN2	-0.89025
C5orf35	0.932
ANKS3	0.2835
RBM28	-0.7585
DKFZP586P0123	-0.48625
HNRNPA1	-0.0343333333333333
BCAS3	-1.67266666666667
FLJ20184	0.151
POLA2	-1.4925
TMC7	1.888
HSD17B6	1.182
ZNF658B	0.0951666666666667
TTTY10	-0.106
RANBP9	-0.347083333333333
CPNE7	0.0356666666666667
EVL	-1.15176470588235
LNX1	1.3845
IFNA21	0.0636666666666667
CFD	-0.67925
PYCARD	1.92266666666667
MYBPC2	-2.181
ENPP3	-2.19783333333333
ACSL4	-0.43425
LOC440258	-0.494666666666667
TMEM176B	3.54483333333333
SOX2	-5.477375
SCO1	-0.409
COMT	0.58975
AOC2	-0.10225
PDLIM5	1.57085714285714
SPHK2	1.48316666666667
NXPH2	1.173
GPR108	-0.4535
RAD51L1	-0.819333333333333
TMEM54	1.176
LETMD1	0.0981111111111111
SLC6A17	0.063
KRT75	-1.106
STT3B	-0.848666666666667
CD3EAP	0.858333333333333
TMEM63A	1.717
DUSP13	-3.31175
CD1C	-0.925333333333333
LASS2	-0.4875
AVP	0.4475
PITPNM1	-1.214625
FLJ22795	0.4235
MCTP1	-1.726
TRIM68	1.09566666666667
UCK2	-0.4675
ABHD1	-0.76625
FAM50A	-0.50075
RNASEH1	-1.2275
PCP2	-0.886
OR52H1	1.0575
C20orf149	-0.0325
RBP5	-1.12966666666667
HYAL3	-1.7145
CLPB	-1.02625
SMNDC1	-0.095
DONSON	-2.04066666666667
FLJ27523	0.062
BARHL2	-0.262333333333333
SLC30A9	0.1595
TMPRSS11B	-0.1745
E2F8	-0.682333333333333
CCDC25	-0.576916666666667
C14orf48	-0.1762
C20orf116	-0.744375
TSPAN11	-0.022
YIF1B	-1.634
FAM12B	0.477
OR1L6	-0.617
HPN	-3.6807
NBN	0.95725
C14orf94	-1.09833333333333
OCLM	0.436
ZSCAN18	-1.4379
L3MBTL	0.1985
TSTA3	0.370833333333333
RAC1	0.493625
C19orf15	-0.397333333333333
NFE2	-3.696
KLK14	-0.2635
ARSF	0.0655
MAST2	-0.0596666666666667
AMICA1	2.645
GTF2A1	-0.411875
ATP1A3	0.69325
TC2N	0.9887
PNKP	-0.76375
ODZ2	-2.4915
MATR3	0.182
S100P	-4.088
KRT82	-0.147
CA13	1.8107
PROZ	-1.41666666666667
AASDH	0.263
C19orf40	-0.8285
DCK	-0.0903076923076923
FAM5C	-0.9025
SLC6A4	1.446
MID1IP1	-0.409
TESSP5	-0.487
TMOD4	-0.00516666666666666
DOCK2	-1.23616666666667
TUG1	0.13025
NUP214	-1.23025
DPYSL2	-0.337409090909091
GOLM1	1.70225
MPFL	-0.18925
SOX13	0.406
SDCCAG8	0.7465
KEL	-2.13083333333333
NUP210L	-2.256
GK	-0.2555
DNAJB1	1.3
ALPK3	0.134
CHID1	-0.8745
CYLC2	-0.203
IKZF5	0.0655
C8orf51	-0.7005
PPM1J	-1.23975
GIMAP8	2.70316666666667
GPR101	0.07
NR2F1	0.0245
ACAD8	0.98075
RBM35A	0.9195
GNAI2	-1.23333333333333
METTL8	0.413833333333333
SLC39A7	0.657
FBXO8	-0.241
CAMK1	-1.019
RFC3	-0.867125
FAM129A	-0.592214285714286
ILF2	-0.828
FGFBP3	-0.5595
NOM1	-0.727333333333333
PSMA3	-0.436
ASCC3	0.5216
ZYG11A	-3.03033333333333
SOX21	-1.3145
LYRM1	1.55575
DEFB1	2.8515
LOC91431	-1.04683333333333
OR7C2	1.509
FAM46B	-2.147125
TMEM18	-0.187125
ARHGAP30	0.420166666666667
TMEM86A	0.837416666666667
EPHA2	0.2295
C10orf46	0.75865
TCHH	-1.262
C3orf30	-0.5674
LOC285636	-0.100333333333333
PAIP2	-0.443
CYP2U1	-0.1455
C12orf34	1.7195
SARS2	-0.156333333333333
ZCWPW1	-0.17025
SAMD12	1.77475
KIAA1430	-0.118375
ACAT1	-0.7165
MEOX1	0.484
ADAMDEC1	5.892
PHKA2	-0.285
CARD11	0.764333333333333
CALML4	3.982
TSSC1	-0.29975
TMEM45A	-1.713
MPP7	2.1585
POU1F1	0.49075
SLC2A13	-0.3893
FBN2	0.0645
ZC3H7A	-0.1668
LAIR2	2.8305
ST3GAL1	0.580666666666667
LCT	-1.7665
GEMIN8	0.791166666666667
KLF16	0.338
HIF3A	0.0796
FAM44A	-0.147785714285714
AQP10	-1.3396
PLA2G2A	-1.041
FOLH1	0.694666666666667
C20orf186	-0.602
MAPKAP1	-0.168125
SPRR2D	1.261
UBQLN4	-0.0323333333333333
RSHL1	-0.26
PIAS3	-0.56125
MRPL24	0.3555
GREB1	-4.44675
FAM27E3	-1.876
NUP62CL	0.4935
NEUROG3	0.703
REEP3	1.01158333333333
MARK1	-0.378125
LMBRD1	0.52825
PRPF19	-1.0335
PNMT	-1.25
CTGLF1	-0.367
SLC25A16	1.1005
EIF2B3	-1.7635
RPA2	-1.34275
PAK6	0.397
CCDC26	-3.57375
SEMA3E	-0.585285714285714
MXD4	0.1715
TNFSF10	2.2338
SMARCB1	-0.483
DTX3L	1.79633333333333
PLA2G4E	0.3425
PPAP2A	0.9145
ULK1	-0.735333333333333
TAS1R3	-0.476
SLC2A3	-2.66445454545455
ARID3A	-1.10775
GNG5	-0.209
ACOX1	0.6852
KIF5B	0.62075
NUP153	-0.5375
MUC7	-0.8045
CSDE1	-0.94
CLPTM1	-0.683
C3orf23	-0.414
LRRC17	-1.968
TTYH3	-0.543
ATP5B	-0.752
ELF3	3.0198
CPSF3L	-1.32333333333333
ZNF665	0.0766666666666667
TLR6	-0.2926
GPI	-0.452125
RAD9A	-0.696875
NDST4	-4.60775
AGPAT3	-0.204666666666667
MAGI3	0.1895
ADORA2A	-1.319125
CACNG7	-0.5025
CAMK2D	0.0621428571428571
CCHCR1	-1.0755
RPS27A	0.417
OR10G7	0.129833333333333
GCM2	0.378
FAM135B	0.1512
E2F1	-0.5915
PLCB3	1.13325
OR2AE1	1.594
COIL	0.133
CDC25C	-0.581833333333333
RAB11FIP2	0.177083333333333
TSC2	-0.65775
CTGLF5	0.1075
CCDC108	0.4633
OR13C4	0.25425
C10orf81	6.17225
PTPRB	1.89625
ACP2	-1.08475
LAG3	0.9035
MRPL54	0.51325
LOC201175	0.2945
ITGB1BP3	-1.52325
SPTAN1	0.122666666666667
SIPA1L2	-0.8
RCAN2	-0.2915
CDX2	4.137
ECOP	0.66625
ACTR1A	-0.0878571428571429
PPARG	0.538833333333333
BBS10	0.370333333333333
TMEM44	-0.069
BPIL2	0.706
CITED1	0.40875
IRF6	2.9395
PRDM4	0.851833333333333
RRP9	-0.848833333333333
OR10H4	0.16125
IL31RA	0.41275
GNB1L	-0.855833333333333
MYBL2	-2.25375
ZNF407	1.099
PPIG	-0.214333333333333
TTC18	1.28125
RPSA	-0.654
MAPT	-1.241125
MRE11A	0.0256153846153846
C8orf37	-1.14516666666667
RASGEF1C	-0.606666666666667
STBD1	0.61225
CTAG2	-0.537833333333333
MGAT5B	-2.07266666666667
ECM1	0.719875
RLN1	-0.00899999999999999
PARP14	1.19825
EPB41L1	1.6369
HOXA3	1.36058333333333
MAGEA9	-3.24375
RPS8	-1.214
RPS19BP1	0.3
FOXJ2	0.0405
C10orf76	0.481375
IL17RE	0.8895
C10orf65	0.204
ZNF343	-0.467333333333333
FBXO33	-0.000624999999999994
UHMK1	0.0143
LY6G6C	-0.3855
FGF19	-0.87325
C14orf128	-0.502166666666667
IFIT2	0.988375
TIGD1	0.53975
S100G	0.405
GUCY1B3	1.4465
NR3C1	-1.5637
CORO1B	-0.974
PARP11	1.03458333333333
DNALI1	0.772333333333333
OR4N4	0.04325
MAP2K6	1.34116666666667
FSTL4	-0.5265
ANKRD47	0.620375
TMEM171	2.698
PNLIP	0.132
YY1	-0.953166666666667
CCDC138	-1.31833333333333
AASDHPPT	-0.4845
CKS1B	-0.2317
MCM3	-0.3575
ANAPC7	-0.371666666666667
FAM110A	0.504
CDC37L1	0.602333333333333
THTPA	-0.69925
NBPF20	-0.959
WDR24	-0.729
NPTX2	-1.494
CBLB	0.654333333333333
CETN1	0.276333333333333
RPUSD1	0.12325
FAF1	-1.32875
CDK6	0.0377
HMX2	-0.225
CSK	-0.738833333333333
TEAD2	-0.146
SNAP25	-0.754
TUFT1	0.9611
TMTC3	0.151
LCK	-1.54775
SGOL1	-0.457833333333333
AKTIP	0.26725
FURIN	0.4075
SOX12	-1.40833333333333
DEFB103A	1.166
RAMP1	2.84825
KIR3DX1	0.2995
GAS2L3	0.56725
PDE8A	-0.0715
EDN3	5.864
GMIP	1.03575
SF3A2	-0.31275
FN3KRP	-0.1085
SMAD7	-0.40825
RHBDD2	-0.01225
OR11H6	0.1215
PPP1R3B	0.3268
C9orf23	0.60825
CADPS	3.534
GOLGA8A	-2.046
TMEM57	0.178333333333333
RGL3	-1.6255
S100A14	2.451
FGFR2	0.490125
XRCC3	-1.05825
RTN4RL2	-0.27125
MGC3771	-0.1615
GH2	0.160666666666667
BTBD2	-0.124
LMO2	-0.85125
RDBP	-0.56
ACRBP	-1.7875
AMY2A	2.91425
DUOXA1	1.0445
PTK7	-0.200833333333333
TWF2	-1.16066666666667
FAM80A	-0.36625
TNNI2	-3.13883333333333
GLT25D1	-0.460833333333333
OCC-1	0.733
CYC1	-0.178
RPL22	-0.112681818181818
MORN3	-0.4102
DISP1	1.243
PRB2	-0.5555
CHUK	0.06
HR	1.211375
CCDC134	-0.350625
DENND4B	-0.857
C14orf130	-1.23025
RAB33A	-1.3175
DCST2	0.101
TNMD	0.33025
PEX7	1.0075
FAM62A	-0.393875
SRD5A2L	0.99175
IL22	-0.207
RPS26	0.372
HOXC5	-0.7025
SPATA6	-0.43925
FLJ38482	1.15325
ZNF234	1.3815
C18orf22	0.22125
SPATA22	-0.299
THOC1	-1.0425
CYP7B1	1.51725
KCNC3	-0.47725
C8orf42	-1.441
ALDH1B1	2.359
CCDC100	0.3407
ARMC4	0.13525
FAM18B2	0.15025
SLC44A1	0.678
FBXO17	-1.18083333333333
C6orf107	0.2915
C19orf29	-0.492
ZC3HAV1L	0.51575
PARP6	-0.2366
SULT2A1	-2.913375
C1orf159	-0.7085
TMC1	0.0693333333333334
CHST14	-0.7615
GAMT	-3.9195
SMCP	-0.576833333333333
TSPAN33	0.0285833333333333
MIDN	0.03625
NOX4	2.09925
RNASEN	-0.00159999999999998
TBX1	-1.615
SALL2	-3.021
C10orf35	1.57275
CYP2E1	-0.72325
LRFN2	-0.375666666666667
ACO1	0.168166666666667
IQCG	0.663
MEGF9	0.301
TM7SF4	0.8225
PLEKHA1	2.00433333333333
STK33	-2.0785
C1orf210	0.66225
SNUPN	-0.2041
KIAA0406	-0.8008
C20orf29	0.31775
TMEM55B	-0.37425
OSTM1	-0.5608125
CLCN7	-0.631
OTP	-0.14875
FLJ23049	-1.172
HEATR4	-0.073
MAP3K10	0.530166666666667
PCDHGA9	0.35
AMDHD2	-1.43825
LCTL	-0.488
PDCD2L	0.20675
CABLES2	-0.637
SLC5A9	0.449
CLCA2	-0.6296
MGC16025	0.6925
STRAP	-0.574
C20orf196	-0.737
RRBP1	0.213666666666667
NAT13	0.0455
MAT2B	0.692875
CSNK1D	-0.895333333333333
KIR3DL1	-0.11725
PRKAG3	0.687
ZNF599	-0.5155
PRM3	-0.101
PER2	0.484333333333333
ASPHD1	0.3595
PRMT6	-1.3965
KCNE1L	-0.110571428571429
FAM118A	-0.0138333333333333
TAF4	0.77525
NDUFB6	-0.000999999999999999
TRIM9	-0.460454545454546
PMFBP1	0.529
KY	-0.4325
DKFZp762E1312	-0.815
CSMD1	-1.28375
TBP	0.26
OR1Q1	0.2175
RETNLB	0.709
HPGD	0.882214285714286
DNAJC12	-2.42866666666667
FKBP1B	-1.516
ANKRD24	-0.212333333333333
CXXC5	0.5885
IL3	-0.165714285714286
DRAM	1.1382
PTCH1	1.07875
TP53BP1	-0.1425
SLC17A7	0.084125
COL25A1	-0.7708
AMACR	2.2645
RHCG	2.461
VPS13A	1.26766666666667
FAM55D	0.6275
PRPF38B	-0.234833333333333
OSBPL6	-1.73325
PFDN5	0.5364
CMTM6	-0.05475
KCNK12	-0.52675
RP2	0.45425
C16orf52	-1.5935
PICK1	0.452
IFNE1	-0.392333333333333
SEMA4B	-0.22725
TYRO3	-1.215
OR12D2	0.166
CSNK1A1	0.61545
FANCF	1.41525
LONP2	0.4165
TBL1Y	-1.235
LDOC1L	0.288875
CCNC	0.2425
C3orf60	-1.676
CHKA	-1.03175
UBAP1	0.10925
MAP3K1	-0.32
ANKRD9	-1.5735
FAM92A1	0.706333333333333
GAB2	0.238
AZU1	-0.39675
DIS3	0.0915833333333333
C21orf109	-0.98675
IQCB1	0.13425
SPATS2	-0.74
EFCAB3	0.4
PRB3	-0.010875
FUZ	-1.42366666666667
ZNF813	0.21325
BMPER	-0.164833333333333
HEG1	-0.527
ALS2CR11	-0.8365
SURF2	-0.06325
PSMC1	-0.58875
OR2D2	0.389
SLC7A8	0.809666666666667
C4orf40	-0.0825
SPATA7	-0.00824999999999999
MAZ	0.0964166666666667
PIN4	0.3435
PDE1A	-0.01475
TAF6L	-0.7085
OR2T34	-0.381
KIAA0284	0.0595
ACADS	0.551454545454545
MKRN2	-1.3235
C18orf56	-2.4535
MS4A6E	-0.606
GALNT4	2.376
C22orf31	-0.334
FLJ36070	-0.1435
PSME4	-0.411
TFG	-0.00640000000000003
EPHX2	0.086375
ANXA5	-0.585625
KRTAP1-1	-0.4318
BATF	0.48
KARS	-0.9475
MSTP9	0.0245
GPR26	-0.056375
CCDC72	-0.74975
TEF	0.131666666666667
FOXK1	0.2289
PRLHR	0.371
EMX1	1.04775
C11orf30	-0.372
ICK	0.648
THSD7B	0.054
C21orf100	-0.3585
DUOX1	1.0385
EFCAB4B	-0.1655
UBE2G2	-1.47366666666667
C3orf54	-0.0375
PARP1	-0.8535
FAM60A	0.365916666666667
C6orf146	0.232
OR9K2	0.2695
DDX55	-0.512833333333333
RPS15	0.564916666666667
ZNF618	0.733625
DKFZp686D0972	0.3625
SSPO	-0.821
SHFM3P1	-0.2625
CPA6	-0.02525
JAG2	0.2295
DEFA3	2.74875
PPBPL2	0.240833333333333
CD34	3.647
SLCO4A1	0.622625
AFG3L1	-0.5585
SHD	2.10675
RP13-122B23.3	-0.766166666666667
PRKCSH	-1.04316666666667
DPH5	-0.537166666666667
HLA-F	2.085875
TBC1D4	0.0095
RIG	0.312333333333333
GLUD1	-0.0881666666666667
HNRPCL1	-0.885125
HBXIP	-0.255
RNF207	-2.0185
APIP	-0.2335
PLA2G3	0.4725
CCDC84	-0.20225
MYLIP	-0.496692307692308
PHIP	-0.08625
AARS2	-0.0678333333333333
DHX32	0.7815
SCAPER	0.4155
MEN1	-0.365875
NIP7	0.15775
FLJ25404	0.4395
FASTKD3	0.19275
TMEM158	-2.22866666666667
RARA	0.58325
BDH1	0.8615
ANKRD16	0.41425
CARM1	0.862
SS18	-0.786833333333333
IKZF2	-1.05491666666667
MYD88	-0.367125
PML	0.8938
TAF1A	-0.66325
CBFB	0.052625
HIST1H3H	-1.78616666666667
C7orf29	-0.162
COMMD4	-0.776666666666667
DPP3	0.11075
DAB2	0.595
LOC388882	-0.0715
YPEL4	-0.685875
AGBL3	0.316
LRP6	0.5004
SERPINH1	-0.702083333333333
TLE1	0.52775
CD244	0.764666666666667
ZDHHC15	-0.092
MGLL	1.0915
PLDN	-0.06075
LOC654346	2.263
FAP	2.41775
GPR37	-1.398
SCARA5	0.106333333333333
EBF4	0.357818181818182
LSM6	0.937
MLLT1	-0.518875
SLC5A12	-0.0935
A2BP1	-0.869333333333333
COPS5	0.156833333333333
TPM4	0.349857142857143
TNFSF4	2.11116666666667
ACADSB	0.477833333333333
HERPUD1	-0.01675
BCL2L11	-0.741944444444445
CEP78	-1.12825
CDCA3	-0.845625
WBSCR19	0.0679
MYO1A	4.2975
PPEF1	0.883333333333333
LOC440348	-0.046
CPEB2	-0.376625
BPTF	-0.168166666666667
RPL21	0.781375
GSX2	0.326
ADPRH	0.111833333333333
C17orf68	-0.552833333333333
KCNS1	-0.1385
MLLT6	0.1564
PIWIL4	4.8595
RNF26	-0.608
RAP1B	0.469
ADAMTS1	-2.6618
ZNF571	0.0375
P2RY6	-0.13525
TRIM21	1.23316666666667
CADM3	-0.17575
NLRC5	1.516
ADRA2B	-0.1535
LOC90835	-1.4685
PCF11	-0.853
LOC400451	-1.28425
GLTSCR1	0.2759
C17orf88	-0.6225
CDH16	3.49525
FGF7	0.943
PCSK4	0.976333333333333
NPC1L1	0.693166666666667
TAT	0.29875
TBCA	0.024
MGC33407	-0.3525
GPR115	1.823125
CYGB	0.277
FNBP4	-0.5975
C12orf43	-0.2885
CBL	0.1369
CLECL1	0.24675
PPAPDC1A	1.95525
WDR25	-0.7455
SGCA	1.514
C22orf29	-0.275333333333333
YIPF1	0.22075
GALK2	0.0495
RAB3B	-1.61941666666667
LOC440087	-0.3625
UCP1	-0.7805
REEP5	1.091125
FADD	-0.6279
FOXA1	-3.636625
CACNA1A	-0.346166666666667
ABI1	0.821833333333333
GRIN2D	-0.04775
SLC1A4	-1.871
LOC401127	-0.4095
HINT2	-0.50525
PLD4	-0.3895
ZNF286A	-1.30575
ENY2	0.22475
IL1F6	-0.135
PXDNL	-0.375
C20orf79	0.1225
TNFSF13B	2.96533333333333
DENND3	0.535875
JARID1D	-2.5055
HIST1H2AK	-0.649125
LOC93349	0.3071
SSH1	-0.0987
ENSA	-0.359
LOC219854	0.210333333333333
CKAP2	-0.1491
DKFZP564J102	0.4135
MGC87315	0.305
HNRPAB	-0.28075
AMH	-2.159
ZNF526	1.2155
BRUNOL5	-0.0889
CACNG3	0.0633333333333333
TRPM1	-0.824
PPP2R1A	-0.00900000000000002
COL2A1	-0.92475
DDN	-0.139333333333333
FLJ25770	0.332083333333333
HK2	-1.0215
ELOVL6	-0.49575
MDK	-0.72175
EPHX1	-1.263
RASSF2	0.20525
DKFZP434B0335	-0.31275
DLX3	0.032625
PRTN3	-0.66975
AVPR1A	0.847666666666667
C21orf125	-1.2305
TNFAIP8	-0.3515
GNB2L1	-0.5545
CALCRL	1.79675
SCGB2A2	-0.1725
UBXD7	0.26225
ZNF674	-0.346
TMEM35	0.311875
BRSK2	0.55475
HECTD3	-0.428
TMEM188	0.299166666666667
LGALS9	2.53125
SCARB2	0.688666666666667
USP34	-0.276083333333333
C17orf28	0.844166666666667
ZDHHC23	1.30925
AQP12B	3.1745
SLC16A3	-0.75475
APLP2	0.1955
ITIH2	-6.6035
MICAL3	0.53075
TNNI3K	-0.0404
HDAC2	0.023
PRR7	0.0222
THBS2	0.302125
LOC751071	-0.7405
CA2	0.508
