Hybridization REF	TCGA-AA-A00E-01A-01R-A002-07
VPS13A	0.347166666666667
FAM55D	5.409
PRPF38B	0.0591666666666667
OSBPL6	-3.268
PFDN5	-0.2668
CMTM6	1.6625
KCNK12	-1.6345
RP2	0.78125
C16orf52	-1.54125
PICK1	0.7725
IFNE1	-1.0735
SEMA4B	1.0385
TYRO3	-0.92375
OR12D2	0.8175
CSNK1A1	-0.12675
FANCF	1.36525
LONP2	0.533875
TBL1Y	-0.305
LDOC1L	-0.04925
CCNC	0.954
C3orf60	-0.06975
CHKA	-1.20675
UBAP1	-0.0925
MAP3K1	-0.334
ANKRD9	-1.30025
FAM92A1	-2.86683333333333
GAB2	0.3365
AZU1	-0.35025
DIS3	-0.396166666666667
C21orf109	-0.60275
IQCB1	-0.19675
SPATS2	-0.4745
EFCAB3	0.049
PRB3	0.099125
FUZ	-1.46083333333333
ZNF813	1.09
BMPER	2.556
HEG1	-0.893375
ALS2CR11	-1.947
SURF2	-0.81125
PSMC1	0.319083333333333
OR2D2	-0.213
SLC7A8	0.132
C4orf40	0.344
SPATA7	-0.07025
MAZ	-0.604333333333333
PIN4	-1.38875
PDE1A	-1.97175
TAF6L	-0.190666666666667
OR2T34	0.293
KIAA0284	0.73975
ACADS	1.147
MKRN2	0.146
C18orf56	0.4685
MS4A6E	0.235
GALNT4	1.9117
C22orf31	0.2235
FLJ36070	-0.3415
PSME4	0.612
TFG	0.3259
EPHX2	0.599875
ANXA5	-0.34625
KRTAP1-1	-0.3614
BATF	1.5665
KARS	-0.2875
MSTP9	-0.1005
GPR26	0.14325
CCDC72	0.516
TEF	0.0368333333333333
FOXK1	-0.4696
PRLHR	0.156
EMX1	1.70475
C11orf30	-0.163875
ICK	0.999
THSD7B	0.08075
C21orf100	-0.8605
DUOX1	0.147
EFCAB4B	1.16075
UBE2G2	-0.640166666666667
C3orf54	-0.22525
PARP1	-0.40275
FAM60A	-0.521083333333333
C6orf146	0.00950000000000001
OR9K2	0.427
DDX55	-0.703
RPS15	-0.30725
ZNF618	0.0419375
DKFZp686D0972	0.6445
SSPO	-1.192
SHFM3P1	0.1505
CPA6	-1.061
JAG2	-1.63425
DEFA3	0.9235
PPBPL2	-0.07375
CD34	3.3285
SLCO4A1	0.114875
AFG3L1	-1.31616666666667
SHD	1.92
RP13-122B23.3	-0.6285
PRKCSH	-1.265
DPH5	-0.712333333333333
HLA-F	2.748875
TBC1D4	-0.00125
RIG	-0.2185
GLUD1	0.229
HNRPCL1	0.194375
HBXIP	-0.06975
RNF207	0.306
APIP	0.213
PLA2G3	2.57533333333333
CCDC84	-0.52975
MYLIP	-1.44284615384615
PHIP	-0.4825
AARS2	-0.657
DHX32	1.15175
SCAPER	0.220166666666667
MEN1	-0.4505
NIP7	-0.439
FLJ25404	0.646
FASTKD3	-0.4295
TMEM158	-1.892
RARA	0.14
BDH1	1.068
ANKRD16	-0.654
CARM1	0.8475
SS18	0.336833333333333
IKZF2	-0.912166666666667
MYD88	0.764625
PML	0.50705
TAF1A	0.03225
CBFB	0.232625
HIST1H3H	-0.964
C7orf29	-0.6295
COMMD4	-0.639333333333333
DPP3	0.55575
DAB2	-0.374
LOC388882	0.332
YPEL4	-0.823125
AGBL3	0.51025
LRP6	0.3594
SERPINH1	-0.429333333333333
TLE1	0.39925
CD244	1.57766666666667
ZDHHC15	-1.5255
MGLL	0.1387
PLDN	0.295
LOC654346	1.899
FAP	1.4865
GPR37	1.095
SCARA5	1.348
EBF4	0.527090909090909
LSM6	0.138
MLLT1	-0.187125
SLC5A12	0.291
A2BP1	-1.25366666666667
COPS5	-0.472
TPM4	0.282285714285714
TNFSF4	0.461333333333333
ACADSB	0.684388888888889
HERPUD1	1.06825
BCL2L11	-0.547
CEP78	-0.12725
CDCA3	-0.48425
WBSCR19	-0.8325
MYO1A	3.728
PPEF1	-0.447833333333333
LOC440348	-0.9955
CPEB2	0.70975
BPTF	-0.75475
RPL21	0.1010625
GSX2	0.554
ADPRH	0.9985
C17orf68	-0.158166666666667
KCNS1	-0.7125
MLLT6	0.1319
PIWIL4	2.22075
RNF26	-0.77775
RAP1B	0.4735
ADAMTS1	-2.0013
ZNF571	1.6145
P2RY6	0.17075
TRIM21	1.27116666666667
CADM3	-0.03025
NLRC5	1.88033333333333
ADRA2B	0.029
LOC90835	-0.5585
PCF11	-0.12
LOC400451	0.84075
GLTSCR1	0.1431
C17orf88	-0.629333333333333
CDH16	-1.69025
FGF7	1.413
PCSK4	-1.40366666666667
NPC1L1	-1.36266666666667
TAT	0.146375
TBCA	-0.2975
MGC33407	0.37675
GPR115	2.3405
CYGB	0.1145
FNBP4	-0.6555
C12orf43	-0.1345
CBL	-0.3918
CLECL1	1.058
PPAPDC1A	-0.363
WDR25	0.429166666666667
SGCA	0.267
C22orf29	-0.703333333333333
YIPF1	0.61875
GALK2	-0.24
RAB3B	-2.11241666666667
LOC440087	-1.2275
UCP1	0.0615
REEP5	0.450875
FADD	-0.4315
FOXA1	0.08625
CACNA1A	0.0883333333333334
ABI1	1.04333333333333
GRIN2D	0.2625
SLC1A4	0.438333333333333
LOC401127	0.27
HINT2	-0.16925
PLD4	-0.620666666666667
ZNF286A	0.57725
ENY2	-0.6855
IL1F6	0.127
PXDNL	0.402
C20orf79	-0.0316666666666667
TNFSF13B	2.91583333333333
DENND3	0.246625
JARID1D	0.928
HIST1H2AK	-0.270875
LOC93349	0.961
SSH1	-0.2777
ENSA	0.22875
LOC219854	-0.122
CKAP2	-0.1303
DKFZP564J102	1.1675
MGC87315	0.547166666666667
HNRPAB	0.76175
AMH	-1.5335
ZNF526	0.694
BRUNOL5	0.1826
CACNG3	0.180666666666667
TRPM1	-2.0925
PPP2R1A	0.136
COL2A1	-2.26925
DDN	0.5675
FLJ25770	0.301833333333333
HK2	-0.318428571428571
ELOVL6	0.7895
MDK	0.8985
EPHX1	-1.52475
RASSF2	0.19975
DKFZP434B0335	-0.11025
DLX3	0.03275
PRTN3	-0.43025
AVPR1A	0.34575
C21orf125	-1.93525
TNFAIP8	-0.039
GNB2L1	-1.09325
CALCRL	1.94775
SCGB2A2	0.4554
UBXD7	-0.703
ZNF674	-0.577
TMEM35	-0.332375
BRSK2	-1.19225
HECTD3	0.176166666666667
TMEM188	-0.0460833333333333
LGALS9	2.27275
SCARB2	1.03441666666667
USP34	0.117166666666667
C17orf28	1.69775
ZDHHC23	0.44425
AQP12B	0.176
SLC16A3	0.188375
APLP2	0.63
ITIH2	-5.65275
MICAL3	-0.411625
TNNI3K	-0.2149
HDAC2	0.02075
PRR7	0.2629
THBS2	-2.074625
LOC751071	-1.07566666666667
CA2	3.055
RANBP17	0.8415
RLN3	0.09875
CRYZ	1.09083333333333
GBAS	-0.460166666666667
TAS1R1	-0.8175
MPZL3	1.039
PCDH8	-1.63725
HSP90B1	1.62758333333333
KCNK15	0.2735
TNIP2	-0.0775
GPR146	-1.806
NOL6	0.30875
SPC25	-0.842333333333333
STEAP2	2.57092857142857
VAMP3	0.199166666666667
TCIRG1	0.75375
ZP4	-0.0635
PARL	-0.281875
TRIM39	-0.0645
KIAA1305	-0.15725
CRNN	0.305166666666667
GRN	0.50375
HSH2D	0.41575
SCAMP1	0.3425625
KIAA1913	-0.09075
PTS	0.1625
BANP	-0.102357142857143
PRKACG	0.41675
ADCY6	0.137833333333333
C16orf46	0.414
CYP51A1	1.133875
DDC	2.3235
ANPEP	0.3975
PROM1	3.80366666666667
SIGLEC10	2.5515
COPG	1.74
FAM26E	0.365375
TRIP4	0.317
SNX3	0.285333333333333
C1orf175	1.39683333333333
PPY2	0.38675
C14orf152	0.3115
FTSJ1	-0.504333333333333
DST	-0.18705
LOC554235	0.1495
GLRX5	0.164
C20orf12	-0.1724
CAB39	0.865666666666667
MSH2	-1.32883333333333
PIP4K2C	0.25075
CYLD	0.920875
WTAP	0.5210625
MGAT4A	2.59122222222222
TSC22D4	-0.9241
CHRM2	0.669
PPYR1	0.0171666666666667
CCNH	0.452333333333333
RRM1	-0.18625
ECAT8	-3.0515
LOC400120	-0.3295
GABRA4	1.179
C14orf4	-0.3835
C1orf59	0.4155
CTDSPL	0.87225
NHEDC2	0.4915
PDE11A	-1.0465
KLHL29	1.904
CD5	-0.187
TSPAN9	-0.2561875
WDR67	-0.4525
THUMPD1	0.3857
C18orf17	-0.29075
CLYBL	0.584166666666667
FLJ13231	-1.31425
CMBL	1.39025
LECT2	0.17025
NKAPL	1.15333333333333
LOC654780	0.4075
OR4C6	0.0945
RAB30	-1.11416666666667
TSSK4	-0.1635
TMEM163	0.503
OSBPL11	0.11225
GNB5	-0.853
CCL21	1.32475
C1orf121	0.356
FMO2	0.152833333333333
RPTN	0.834
MSTN	-0.6785
VCL	-0.466857142857143
FYTTD1	0.52025
C11orf1	-0.361
CCDC88C	1.2223125
HFE	0.323277777777778
MOGAT1	-0.188
FAM125B	0.433666666666667
IRGQ	0.2495
RAVER2	1.0585
AKAP5	0.846
SSSCA1	-0.24
C11orf63	-0.8325
ACTG2	1.01
PORCN	-1.044
DTL	-0.663181818181818
TMEM151	0.27475
FAM122C	-1.3035
RSAD2	2.3683
BAT4	-1.1565
KRTDAP	-2.6425
MYH8	0.424375
CRTC3	0.01575
LRRFIP2	0.7452
INTS4	-0.3095
TTN	-0.8105
SLC26A5	0.1905
PLLP	-0.70725
RGS6	-0.99525
SRGAP3	-0.11525
ZNF525	-0.591166666666667
NBR2	0.396166666666667
C13orf1	1.0709
ZNF137	-0.3675
CEP27	-0.08825
BEST2	1.6375
RNF121	-0.0235
DMRTC2	0.268
C8orf76	0.68025
BCCIP	0.31575
MEST	0.4405
HTRA2	-0.701
ANGPTL2	-0.22475
ILKAP	0.302833333333333
ERAS	0.2925
HBS1L	-0.278375
CPA5	0.0385
TMEM30A	1.20433333333333
CD300LF	3.0615
WISP3	-0.1165
CRK	0.636642857142857
PDS5A	0.2854
BRPF3	0.3465
NEDD9	-0.7095
SMPDL3B	2.61125
PSG6	0.162
PSMD13	0.6875
ETV5	-0.258875
OR51A4	0.034
BTBD7	0.775916666666666
GSTO1	0.065875
hCG_16001	0.019
MAD2L1BP	-0.22
COX6A2	0.3005
SCNN1A	1.757
LSM1	0.1495
UGT2B11	-0.56525
IDUA	-0.7895
PPP2R3C	-0.532166666666667
COX11	0.345166666666667
PDZK1	-3.49375
ZNF443	1.10516666666667
MGC21874	0.690833333333333
ZNF323	0.9038
KRTAP10-10	0.141
CXCL6	0.71625
SLC34A2	0.508
LOC284402	0.0705
NPTN	0.75425
UPP1	-0.196583333333333
SLC6A9	-0.055
OR7G3	0.01775
CISD1	0.619666666666667
ZNF545	-2.06533333333333
SYT14	-0.71
NT5C3L	-1.45833333333333
ZNHIT3	-0.661166666666667
SNRPD3	0.01975
KIAA0701	-0.4
UNC93B1	0.271666666666667
GMNN	-0.976625
SPCS2	0.726666666666667
LOC388524	0.0325
NAPRT1	1.31875
PNLIPRP1	0.192
OR6V1	0.4595
PRKAB1	0.50925
EYA4	-3.5998
KIF20A	-0.8645
ALG10	-0.19275
ITPKC	0.722666666666667
LMX1B	-0.1875
RPUSD4	-0.0175
C7orf34	0.220166666666667
DLGAP2	0.66025
PFN1	0.2802
MICALL2	0.155166666666667
ZNF654	0.2965
SS18L1	-0.51425
SLC16A8	0.343
MKI67IP	0.0336666666666667
ITGB3	-1.033625
TCEA3	1.94491666666667
CEP152	-1.2509375
CLIP1	0.741375
ZNF75	0.402125
ATP5C1	0.4315
NUDT5	0.223833333333333
PSCDBP	0.898
UBP1	-0.06175
RBM27	0.547
C13orf15	1.42675
ZNF282	-0.247333333333333
ZNF222	0.1565
COL10A1	4.31625
PRDM15	-0.589875
TTTY5	-0.171
FAM9C	0.0974545454545455
C20orf67	-0.64125
GNG13	-0.745
F12	1.7515
C1orf41	-0.7045
CPXCR1	-0.2205
GSK3A	0.275125
SUPT6H	-0.378666666666667
PI16	-1.1925
ELL2	-1.04883333333333
C9orf167	0.839166666666667
PVRL3	0.3324
FLJ38596	0.668
ADAM20	0.0185
GPR89A	1.081
GPR87	-4.6085
ZNF30	0.553
SMR3B	0.208
ZNF770	0.2165
TRPC4AP	-0.571833333333333
DKFZP686E2158	0.6735
C2orf28	-0.0845
FREM1	-1.43216666666667
LAMA4	-0.198
ADPRHL2	0.008
EIF4G2	0.756
GUCA1A	-0.428
CTNNA2	-1.439
NUDT15	0.479333333333333
CEPT1	0.9875
ZNFX1	0.247
CCDC92	-0.0835
TDRD1	-0.73
KCNK5	0.592666666666667
ETNK1	1.55258333333333
LTA	0.3375
TTPA	0.355166666666667
B3GALNT2	0.769125
SC65	-0.711666666666667
PEX5L	-1.370125
EPS15L1	-0.559
MGEA5	-0.448375
HIST1H3A	0.172
ING1	0.8605
BCAT1	-2.637625
ORC6L	-1.03481818181818
KLK11	-5.011
C19orf28	-0.85
DNER	-4.563625
MED22	-1.07057142857143
ETV6	0.945583333333333
CHAC2	0.25675
CD300E	0.4585
CEBPB	-0.401166666666667
ZNF398	-0.40025
LRCH3	-0.0815
HMGA1	-0.6
CAPN7	0.158333333333333
MGC5566	-3.33225
CCL3	3.296625
NANOS1	-1.1185
ZFYVE19	-0.11625
APITD1	-0.179666666666667
PARD3	-0.22725
IRAK4	0.329666666666667
SERPINI2	0.0455
CEP170L	-0.743
TTC9	0.524125
MYOM3	-0.8235
MLPH	0.728875
LOC222699	-1.448
NRG1	-1.23541666666667
TBC1D9	-1.98827272727273
TTK	-0.209333333333333
ZNF557	1.4041
DDX41	-1.00183333333333
FANK1	-0.422
UBE2D2	0.1895
PSMB10	1.665625
MYH7B	-1.0525
GABARAPL2	-0.502
MARVELD2	2.09383333333333
DGCR2	0.462666666666667
UNC45A	-0.241
C6orf72	0.0475
ZNF683	4.28475
GIT2	0.17275
CASK	1.07566666666667
C14orf161	4.1635
LRRC44	-0.30275
TIFA	0.866
UTP11L	-0.6695
C6orf65	-1.75125
FDPS	-0.32575
DUSP9	-2.3952
SLC17A8	0.990833333333333
OR51G1	0.262333333333333
NANS	0.5265
OLFML1	0.91775
ATP10B	2.085
NPAS3	-1.522
PRKCA	-0.5979
GGA2	-0.5865
LCE4A	0.6235
SPANXN3	0.3545
CCDC115	0.26225
SDCCAG3	-0.58675
GLIPR1L1	1.115
TTC1	0.4455
C17orf76	2.86425
MAD2L2	-1.39125
HIPK1	0.7918
LRRC3B	-0.4835
CLN3	-0.563636363636364
C17orf47	0.784
FMN2	-3.374625
TUBB1	-1.22275
WAPAL	0.810166666666667
C3orf21	-1.12775
SCN5A	-0.2868
SMYD1	-0.428
BEX5	3.348
ZNF192	-0.2465
SEC22A	0.370166666666667
GRIA2	-0.2
KIAA0825	-1.9
NUSAP1	-0.914727272727273
LANCL1	-1.007625
C15orf40	-0.148
ZNF645	0.41925
GPR61	0.3865
NLRP14	0.0005
SNX21	-0.9218
C1QTNF8	0.3675
C17orf46	0.4685
IFNA8	0.3615
SPRR1B	-1.41133333333333
FLRT1	-0.465
SNX17	0.101
ASB2	-0.152333333333333
HBG1	-5.213
RPRML	-2.35575
JOSD2	-0.232166666666667
PLSCR3	-0.09225
SPOCD1	-0.660666666666667
RAB39	-0.7855
GHRH	-0.137666666666667
ITIH5L	-0.14875
C17orf37	0.21325
SMCR8	0.23525
DPY19L2P3	-1.91433333333333
IL11RA	-1.1315
GDF3	-3.68766666666667
RPS6KB1	-0.939416666666667
DNAJC19	-0.3431
TOP1	0.73925
CRCT1	-1.021875
MPST	0.999
DPM2	0.0775
FAM38B	-3.61783333333333
SLC18A1	-0.234333333333333
FARP1	-0.684833333333333
PAX7	0.171
TUBD1	-2.15025
GNL3	0.51975
BTG2	0.6978
NDUFS6	-0.341
C1orf79	-0.17025
ERAL1	-0.81625
ECHS1	0.844
VPS4A	-0.191166666666667
CYP11A1	-1.394125
ABCC6	-0.968642857142857
PBX4	-0.15
MOSC1	-0.47325
NCF4	0.61425
HYMAI	0.251
NAGPA	-0.63175
OTOP2	0.4055
ACOT12	-0.09825
MTHFD2L	0.029375
LOC441376	-1.00875
C19orf34	-0.6965
RAB1B	0.15325
ALDOAP2	-0.963
NTRK1	-1.316
ARTS-1	1.065
SLC6A11	-0.9165
NAP1L2	-3.417
CNGB1	0.0671666666666667
EPB41L4B	1.37425
FAM134B	1.009375
HS3ST3A1	-1.705
CPXM2	2.2705
SIRPB2	0.479
CHORDC1	0.651833333333333
TRIB3	-0.471
SLC2A5	1.17125
C2orf49	-0.125166666666667
DDX5	-0.13
OR5L1	0.6685
ANAPC4	-0.218666666666667
ZSWIM1	0.284375
LOC93622	0.105375
KCNK3	-0.3552
RP11-35N6.1	-1.904625
ZFP161	0.0516666666666667
AQP9	5.08
SLC15A2	-0.1095
MREG	-0.818333333333333
OR9I1	0.4445
PDLIM2	-0.58225
ADAM7	0.325
GSTCD	0.961666666666667
WDR21A	-0.873625
SLC12A8	1.98733333333333
TMEM174	-0.09225
IGSF3	-0.901666666666667
LRRN1	-4.01675
LOC402117	-0.5
SRPK1	-0.122
LY6K	-2.3750625
NFIA	1.007
PTCD3	-0.162125
LEP	0.302333333333333
PCDH21	-0.3115
MAPKAPK2	0.0314285714285714
NMNAT1	0.4135
LHFPL2	1.03725
C9orf43	0.0765
DIP2A	-0.085
ACTR8	0.313375
CCDC34	0.02425
PTPN22	-0.019375
ITGA3	0.667125
FAM129C	1.497
RABGGTA	-0.074
UNC45B	-0.3535
KIAA1033	0.3915
ZNF510	0.127166666666667
CYP2D6	-0.402333333333333
SLC26A10	-2.311
STX8	-0.32575
LUZP1	1.11775
WDR89	0.406833333333333
EIF4G3	-0.3465
C5AR1	1.61475
ZNF623	0.278
A2M	-0.56725
TGM7	0.097
GRPEL1	0.463833333333333
LMNB2	-0.1201
ROCK2	0.401166666666667
SNX16	-0.02225
CCDC66	-0.012
ANXA3	0.99425
KIAA1609	-0.29475
EED	-0.36825
RNF32	1.33416666666667
HES1	1.2646
CLC	0.864
ISL1	-1.2662
KIAA0528	0.366125
MANEA	1.731125
C1orf61	-2.2935
hCG_2001000	-0.192
RAPGEF6	-0.5457
KIAA0020	0.108666666666667
NEIL1	0.06025
C16orf45	-2.634
RBM10	-0.412166666666667
C10orf125	1.3635
MRS2L	0.143
DNAH17	-1.064875
C19orf10	1.293
C1orf160	-0.46775
SLFN12	-0.367
EXOC3	-0.396833333333333
HIST3H3	0.15175
NCOR2	-0.578833333333333
TNFRSF9	1.94575
MFSD8	1.21775
ALX1	-3.83783333333333
NOL1	-0.256
PODN	1.2785
TIAL1	-0.022
HIST1H1E	-1.00625
NPY6R	0.338
TM4SF4	3.618
CORO2A	0.465
ETNK2	-1.9885
APOE	-0.0592
ANGPT4	0.004
HDGF2	-0.47625
G30	0.803
ST8SIA4	-0.261
F2RL1	3.05575
FAM19A4	-3.417
CCAR1	0.11325
B3GNT7	0.48325
OPHN1	-0.4506
DSCR6	-3.0555
C21orf13	-1.1645
GAS2L1	0.0225833333333333
RFX3	1.56133333333333
COPS4	0.23025
BCHE	-5.29633333333333
BCL2	-0.778625
HBZ	-3.46166666666667
ARL13B	0.81925
MAPBPIP	0.143625
MYO15B	1.5375
SPZ1	0.084
KIAA1324	1.664
PLCL2	0.248375
C4orf29	0.06425
WDFY2	-0.693375
ZNF284	1.339
NAALADL1	0.535
DUSP5	-1.55633333333333
PXDN	-1.43075
SLMO1	-0.098
TNXB	0.378
BIRC7	-1.22825
A4GALT	-0.66
TIMM22	-0.19775
FAM110C	1.58325
TOMM34	0.087375
ABHD9	-0.2095
ADAM32	-0.244
CRHBP	-1.00975
AQP2	0.472
LOC130355	-0.03125
ZNF187	-0.117166666666667
ZNF816A	0.312
F7	-1.2975
CNOT1	0.1285
SLC13A4	-1.24925
ZBTB11	0.30025
B3GALT5	1.3075
EXOC2	0.151333333333333
IRS1	0.2038
TMEM1	0.710333333333333
MRPL34	0.0768333333333333
SAMM50	-0.30775
CDC42EP3	-0.0905
HSF2	-0.6077
MFN2	-0.077
TSPAN7	-1.30283333333333
NUCB1	0.2505
RHOH	-1.811
ARL16	-0.7135
TACR1	0.543
SFRS5	-0.337
SNX25	0.144625
RHBDF1	0.395
PCDH18	1.066
HMG1L1	0.785
MYO5C	1.079625
MAPK10	-0.334
LDHAL6A	0.054
NUDT12	1.16133333333333
NCAM1	-0.14725
GLIS2	0.262
GGTL4	-0.2125
DAPP1	0.311
ATF7	0.42225
KIAA0748	-0.9395
NFIL3	0.24725
TM6SF1	-0.7721
SEZ6	0.21925
NANOS3	-0.672833333333333
DNAJA3	-0.044
CLDN6	-2.351
CIITA	2.8964
EPHA4	-2.14358333333333
FANCC	-0.32075
CMTM3	-1.3365
PSG3	-0.50325
MRPL15	-0.07275
C21orf59	-0.00175
PLCXD2	0.398
C2orf34	1.049875
UBE2L6	1.28375
MED14	0.211333333333333
HP1BP3	-0.2141
C6orf208	0.535
TPBG	0.312
OSR2	0.045125
XPC	-0.0961666666666667
KLHL7	-0.6675
CCR3	-0.3395
AGTPBP1	0.145166666666667
PCSK6	0.179933333333333
STAT5A	-1.3762
FAM18B	1.17875
LONRF2	-4.478
PTPN2	0.3265
SF3A3	-0.921666666666667
EFCBP2	-0.43075
HCFC1	-0.085
AHNAK	0.7575
ACTR5	-0.18275
KIF14	-0.613285714285714
TENC1	-0.1245
HEATR5B	0.6425
YIPF2	0.656333333333333
MYEOV2	0.37
DUSP18	1.10275
KIAA1012	0.4405
AHR	1.9105
C17orf53	-0.975833333333333
PTPRH	1.001
ATP6V1C1	-0.0259
TAS2R3	-0.3445
LOC440356	-1.82675
COQ10B	1.452
PSMF1	0.0115
SORBS2	-0.609333333333333
NFE2L2	0.7425
TMCO7	-0.34225
SH3PXD2A	0.8359
SH2D2A	0.6015
SPINK5	0.5025
MRPS24	-0.42775
OPA3	0.314625
TRAF7	0.7605
C4orf35	0.318166666666667
MT1G	-0.0415000000000001
MGC39545	-0.215333333333333
HS1BP3	0.0996
OR2B2	0.529
CHRM4	-0.011
SFRP2	-1.43608333333333
RIC3	-1.40775
ART1	-0.7905
C6orf1	-1.50575
DUS4L	0.08675
C10orf104	0.215
TNFAIP6	1.2235
RTEL1	-0.47175
CCT4	-0.3174
ZNF709	0.429
CHMP6	-0.231333333333333
UPP2	0.56525
CYP19A1	-2.359625
CD151	-0.358166666666667
NDUFA13	-0.4285
ARFRP1	-0.811
FAM26B	-0.86
CRYBA1	-1.7315
MRPL41	-0.241
NPFFR2	-0.899625
HRH2	0.035
SCAMP3	-0.6765
MTMR6	1.2088
MTG1	-0.249
UBTD1	-0.3665
CRABP1	-3.0625
FLJ33790	1.7596
KIAA1908	-1.765
GPR158	-0.821
PACSIN3	-1.10383333333333
OMD	-0.313833333333333
CATSPER1	-0.476
HOXB8	3.510125
FBXO46	0.019
OAS1	1.8795
SVIL	0.0945
PHB2	-0.17775
ADCY3	0.433
NDRG2	0.118166666666667
ERMAP	-0.2931
APBA2	-2.103
IGSF9	1.115
WNT6	-1.19507142857143
MYCBPAP	-1.34525
ATP2B2	-0.3566
CPVL	-1.0025
TRAM2	-0.351333333333333
NOP5/NOP58	0.2535
ZNRF4	-0.0295
TLK1	0.95875
MTMR12	-0.0617857142857143
ZNF384	-0.387166666666667
FAM9B	-2.99475
RPN1	2.1143
PMVK	-0.18825
EIF3D	-0.1454
SIX2	-1.511
HPS1	0.858571428571429
RNF7	0.3125
PSKH2	0.59
KCTD13	-0.0126666666666667
CSMD3	-0.561
FBF1	-0.0955
IL8	1.07875
SERPINB13	0.447090909090909
FBXL20	-0.5385
BLR1	0.351
SH2B1	-0.659333333333333
RFNG	0.141875
RAB20	1.45216666666667
RBM7	0.52825
POLR1A	-0.114333333333333
TMPRSS4	3.702
TAF9	-0.416375
TERF2	0.476833333333333
TNFRSF1A	0.381583333333333
ACADVL	-0.204
GTF2H5	-0.88825
EDG8	-1.396
C9orf140	0.224
UST6	0.12875
ZBTB8OS	0.47525
ZNF710	0.5525
GPR174	-0.802
ATP6V0A2	0.6245
KIAA0319L	-0.167333333333333
XKRX	1.399
DOPEY2	1.2702
SDHD	-0.228583333333333
SUMF1	0.24975
OSM	3.8275
OPN3	-1.1425
DAGLB	-0.749833333333333
PPFIBP1	-0.1389
TRIM63	-4.675
C10orf53	-0.3285
LYPD3	-2.6555
BCL7A	-0.181875
AGER	-1.2875
TCF19	-0.5085
SAT2	0.366
PFTK1	-1.72783333333333
GABRE	-1.47675
C15orf38	1.4711
FIS1	-0.3685
KCNV2	0.18275
CLPS	0.19275
PPCDC	-0.42175
FOXN2	0.921666666666667
NT5E	-0.4365
CD83	0.642
IL18	1.918125
VPS16	0.24425
IGFBP2	-3.67333333333333
NOTCH2	-0.40675
SIGLEC1	2.460875
CD93	4.5355
SULF2	-0.02
CEP164	-0.4065
P53AIP1	0.0946666666666667
TOR2A	-0.141
ZNF136	-0.0585
MGP	-0.7218
CCDC144A	-0.287333333333333
TRPC1	-1.95833333333333
SMS	-0.708833333333333
MAPK7	-0.728833333333333
RRAGC	0.066
PARD6A	0.103333333333333
NUB1	0.291333333333333
SYNGR4	0.73125
OR11H12	0.3935
WIF1	0.048875
GCH1	1.97725
OR11H4	0.455
SLC44A5	1.312
GPRIN2	1.5295
LOC401431	0.0705
CPA4	-3.2609
MELK	-0.342222222222222
IL15RA	1.82525
CUL3	-0.117
HMBOX1	-0.93825
PODXL	-1.735
CCT6B	0.628833333333333
COMTD1	0.819
MUC20	1.67333333333333
GPX2	3.711375
ITK	-0.4635
FBXL5	0.9515
C13orf27	-0.62575
DEFA5	0.6615
TRHDE	0.576
MTP18	0.239666666666667
UQCRQ	0.3628
ITGB2	2.07141666666667
CSRP2BP	-0.49375
TAS2R44	0.084
PHPT1	-0.549125
FAM44C	-0.5205
ERH	0.37025
MPHOSPH1	0.671
MORC1	-0.1845
PARVB	-1.17775
LAMA1	-2.38008333333333
PGBD3	-1.061
GIMAP6	3.5815
AREG	-2.62316666666667
LIPT1	-0.01775
MGC99813	-2.44225
C1orf201	0.733666666666667
GRIN2A	-0.7081
MAN2C1	-1.209875
NSUN5	-0.73475
SF3B5	0.27575
MYC	-0.6631875
NRXN1	-0.245666666666667
ZNF18	0.43725
SPDYA	-0.67325
SLC37A1	2.019
DECR2	-0.4405
ANKRD38	-1.120625
SPTLC3	-2.76908333333333
SUPT16H	-0.105875
DTWD2	1.49175
ULBP1	0.311
ZADH1	0.4545
OIP5	-0.00475
IL10RB	0.523333333333333
OTUB2	1.739875
VWA3A	-0.123333333333333
SPIC	0.114
OR6C4	0.2145
PSCD4	1.483
DPY19L2P2	-1.412
TRAPPC6A	0.0481666666666667
C21orf2	-1.25383333333333
CEMP1	-1.02725
LIN7B	-1.0345
E2F7	-0.521333333333333
VCP	0.56775
LAMA3	1.62966666666667
BGN	0.26875
GPR160	1.306
COCH	-4.23366666666667
GPR81	-2.20183333333333
APOBEC3F	-1.91
tcag7.1017	-1.19075
C1orf32	0.4265
SCGB1D2	-0.3235
FLJ43987	-0.01
C6orf170	-0.015
KLK9	0.1875
GPD1L	0.259125
VPS37B	0.932
ATG3	0.292666666666667
ADAMTS17	-0.174
KLHDC2	-0.0995
NDUFV2	-0.20675
BLK	-1.01625
MATN4	-0.3055
GPM6A	-0.299
GBP4	4.23716666666667
TMEM162	0.143833333333333
PKP2	2.7615
HRASLS	0.718888888888889
MMP1	3.08275
SFXN3	-0.4976
FSD1	-2.181
ST6GALNAC3	-2.51333333333333
CA12	0.825
NCOA6	0.1875
C19orf58	-0.2019
PPP4R1	0.6955
MAN1A2	1.78983333333333
IKBKAP	-0.66125
UPF1	0.283
KIAA1219	0.25075
WNT16	0.8066
SNW1	0.195125
IL18RAP	3.61025
RPP30	-0.670125
CDC40	0.646928571428571
SETD3	0.951166666666667
SLAMF6	0.5115
