Hybridization REF	TCGA-AA-A00W-01A-01R-A002-07
FAM129A	-2.44685714285714
ILF2	-0.71025
FGFBP3	-1.276875
NOM1	-0.0281666666666667
PSMA3	-0.3745
ASCC3	0.6271
ZYG11A	-5.043
SOX21	-1.67325
LYRM1	0.05525
DEFB1	2.9995
LOC91431	-1.38483333333333
OR7C2	2.0875
FAM46B	-2.46675
TMEM18	-0.439
ARHGAP30	-0.804833333333333
TMEM86A	0.625583333333333
EPHA2	1.448
C10orf46	0.5707
TCHH	-1.96
C3orf30	0.3612
LOC285636	-0.33
PAIP2	-0.365
CYP2U1	0.308428571428571
C12orf34	-0.0155
SARS2	-0.214833333333333
ZCWPW1	-0.69025
SAMD12	1.887625
KIAA1430	0.484875
ACAT1	-0.35525
MEOX1	0.3415
ADAMDEC1	4.864
PHKA2	-0.3915
CARD11	-2.3195
CALML4	3.007
TSSC1	0.33675
TMEM45A	-4.66611111111111
MPP7	1.91525
POU1F1	0.552666666666667
SLC2A13	-0.068
FBN2	-1.39514285714286
ZC3H7A	-0.2743
LAIR2	0.417
ST3GAL1	0.72
LCT	-2.88975
GEMIN8	0.0951666666666667
KLF16	0.6127
HIF3A	-0.2521
FAM44A	0.224571428571429
AQP10	-1.4366
PLA2G2A	0.625
FOLH1	1.08433333333333
C20orf186	0.482
MAPKAP1	0.096875
SPRR2D	-1.23175
UBQLN4	0.483333333333333
RSHL1	0.0791666666666667
PIAS3	-1.186125
MRPL24	0.20575
GREB1	-4.540125
FAM27E3	-1.132
NUP62CL	0.89775
NEUROG3	0.352
REEP3	0.49
MARK1	-1.283625
LMBRD1	0.974
PRPF19	-0.3065
PNMT	-1.9
CTGLF1	-0.2825
SLC25A16	0.41025
EIF2B3	-0.604
RPA2	-0.877
PAK6	0.9455
CCDC26	-4.425125
SEMA3E	-1.667
MXD4	-0.1663
TNFSF10	2.7559
SMARCB1	-0.4415
DTX3L	1.59216666666667
PLA2G4E	-0.03
PPAP2A	-0.15125
ULK1	-1.54216666666667
TAS1R3	-0.0495
SLC2A3	-3.96581818181818
ARID3A	-0.61125
GNG5	0.33875
ACOX1	1.4204
KIF5B	1.61375
NUP153	-0.12125
MUC7	0.0345
CSDE1	-0.398571428571429
CLPTM1	0.18775
C3orf23	1.13875
LRRC17	-4.75916666666667
TTYH3	-0.274625
ATP5B	0.1165
ELF3	2.8882
CPSF3L	-0.371166666666667
ZNF665	0.499666666666667
TLR6	-0.8978
GPI	-0.54975
RAD9A	-0.4425
NDST4	-3.5825
AGPAT3	0.737833333333333
MAGI3	1.18383333333333
ADORA2A	-1.929625
CACNG7	0.214
CAMK2D	0.863642857142857
CCHCR1	-0.3935
RPS27A	0.022
OR10G7	0.675666666666667
GCM2	-0.4775
FAM135B	0.6933
E2F1	-0.85275
PLCB3	0.37175
OR2AE1	0.4055
COIL	0.0871666666666667
CDC25C	-0.798833333333333
RAB11FIP2	0.0390833333333333
TSC2	-0.015
CTGLF5	0.212
CCDC108	-0.0962
OR13C4	0.4545
C10orf81	4.86125
PTPRB	2.02725
ACP2	0.04275
LAG3	0.54725
MRPL54	0.08375
LOC201175	0.3065
ITGB1BP3	-2.40825
SPTAN1	0.158333333333333
SIPA1L2	-0.2505
RCAN2	-1.3425
CDX2	3.4485
ECOP	0.0785
ACTR1A	-0.402357142857143
PPARG	2.38216666666667
BBS10	-0.208166666666667
TMEM44	0.015125
BPIL2	0.69475
CITED1	-2.393
IRF6	3.26625
PRDM4	1.34733333333333
RRP9	0.262666666666667
OR10H4	0.40725
IL31RA	-0.24725
GNB1L	-1.4915
MYBL2	-0.811125
ZNF407	0.0265
PPIG	0.1755
TTC18	1.4765
RPSA	0.162
MAPT	-1.3265
MRE11A	0.174785714285714
C8orf37	-1.40533333333333
RASGEF1C	-0.777
STBD1	0.70575
CTAG2	-0.383166666666667
MGAT5B	-2.93716666666667
ECM1	-0.103875
RLN1	1.344
PARP14	1.0601875
EPB41L1	0.2521
HOXA3	0.521083333333333
MAGEA9	-4.756
RPS8	0.0975
RPS19BP1	-0.51875
FOXJ2	-0.02225
C10orf76	0.514625
IL17RE	1.368
C10orf65	0.1725
ZNF343	-0.367833333333333
FBXO33	-0.53725
UHMK1	0.6236
LY6G6C	-0.12225
FGF19	-2.28775
C14orf128	-0.242
IFIT2	1.579875
TIGD1	-0.192
S100G	-0.612
GUCY1B3	-0.337
NR3C1	-2.8928
CORO1B	-0.0221666666666667
PARP11	-0.151333333333333
DNALI1	-1.99266666666667
OR4N4	-0.14725
MAP2K6	2.361
FSTL4	-0.95725
ANKRD47	0.196625
TMEM171	1.99
PNLIP	0.774666666666667
YY1	-0.176666666666667
CCDC138	-0.723833333333333
AASDHPPT	-0.3468
CKS1B	-0.9515
MCM3	-0.726666666666667
ANAPC7	0.101166666666667
FAM110A	-0.21825
CDC37L1	0.718
THTPA	-0.9925
NBPF20	-0.717
WDR24	-1.055
NPTX2	-4.05375
CBLB	0.597
CETN1	0.312333333333333
RPUSD1	-0.13375
FAF1	-0.0495
CDK6	-0.7007
HMX2	0.1975
CSK	-0.708166666666667
TEAD2	-1.038
SNAP25	-1.93175
TUFT1	0.8914
TMTC3	-0.357166666666667
LCK	-2.429
SGOL1	0.00416666666666663
AKTIP	0.56125
FURIN	0.399875
SOX12	-1.98266666666667
DEFB103A	0.446
RAMP1	-3.341
KIR3DX1	0.115
GAS2L3	0.731
PDE8A	0.1559
EDN3	2.13075
GMIP	1.094
SF3A2	-0.1585
FN3KRP	-0.435
SMAD7	0.63675
RHBDD2	-0.7855
OR11H6	0.1255
PPP1R3B	-0.0829
C9orf23	0.4055
CADPS	4.4675
GOLGA8A	-1.817125
TMEM57	0.758166666666667
RGL3	-0.666
S100A14	1.808
FGFR2	-0.1045625
XRCC3	-0.6765
RTN4RL2	-0.09825
MGC3771	-0.7135
GH2	0.167166666666667
BTBD2	-0.1885
LMO2	-1.152
RDBP	-0.314
ACRBP	-2.44225
AMY2A	3.03775
DUOXA1	1.783
PTK7	-0.481166666666667
TWF2	-0.285166666666667
FAM80A	0.77475
TNNI2	-4.41483333333333
GLT25D1	-0.828666666666667
OCC-1	0.414
CYC1	-0.112333333333333
RPL22	0.473045454545455
MORN3	-0.174833333333333
DISP1	0.2215
PRB2	0.0155
CHUK	0.73875
HR	1.341875
CCDC134	-0.74825
DENND4B	-0.9325
C14orf130	-1.280125
RAB33A	-2.54975
DCST2	-0.0515
TNMD	-0.28275
PEX7	1.428
FAM62A	0.00762499999999999
SRD5A2L	-0.18375
IL22	0.8145
RPS26	0.6105
HOXC5	-0.7755
SPATA6	0.65775
FLJ38482	1.439875
ZNF234	0.85
C18orf22	-0.5845
SPATA22	-0.29775
THOC1	-0.661
CYP7B1	0.83725
KCNC3	0.04975
C8orf42	-1.02
ALDH1B1	1.08333333333333
CCDC100	0.542
ARMC4	-3.088
FAM18B2	-0.27875
SLC44A1	1.20725
FBXO17	-3.08183333333333
C6orf107	-0.1165
C19orf29	-0.47325
ZC3HAV1L	0.2645
PARP6	0.0189
SULT2A1	-3.244125
C1orf159	-0.43225
TMC1	0.130333333333333
CHST14	-1.678375
GAMT	-4.28616666666667
SMCP	0.0356666666666667
TSPAN33	0.245333333333333
MIDN	0.75
NOX4	-1.3015
RNASEN	-0.4411
TBX1	-3.26983333333333
SALL2	-4.675
C10orf35	0.533
CYP2E1	-0.95475
LRFN2	1.58483333333333
ACO1	-0.3835
IQCG	-0.3386
MEGF9	-0.09775
TM7SF4	-0.11525
PLEKHA1	1.7312
STK33	-2.4115
C1orf210	2.5435
SNUPN	-0.1448
KIAA0406	0.0202
C20orf29	-0.4825
TMEM55B	-0.735
OSTM1	-0.7543125
CLCN7	-0.74025
OTP	0.222
FLJ23049	-0.651
HEATR4	0.631
MAP3K10	-0.0115
PCDHGA9	0.7355
AMDHD2	-0.606
LCTL	-1.944
PDCD2L	0.1925
CABLES2	-0.6655
SLC5A9	0.24775
CLCA2	-2.52583333333333
MGC16025	0.096
STRAP	-0.117
C20orf196	0.0375
RRBP1	1.20283333333333
NAT13	0.3115
MAT2B	0.587
CSNK1D	-0.3655
KIR3DL1	0.30225
PRKAG3	-0.182
ZNF599	-0.1
PRM3	0.0455
PER2	1.277
ASPHD1	-0.2205
PRMT6	-0.727
KCNE1L	-0.290928571428571
FAM118A	-0.457666666666667
TAF4	1.204
NDUFB6	0.13475
TRIM9	-1.58191666666667
PMFBP1	0.40575
KY	0.467
DKFZp762E1312	-1.32518181818182
CSMD1	-1.907
TBP	-0.2365
OR1Q1	0.0386666666666667
RETNLB	3.402
HPGD	1.20864285714286
DNAJC12	1.78883333333333
FKBP1B	-4.20475
ANKRD24	-0.111666666666667
CXXC5	0.2975
IL3	0.03025
DRAM	0.531
PTCH1	1.128875
TP53BP1	-0.01975
SLC17A7	-0.00699999999999998
COL25A1	-1.275
AMACR	1.22783333333333
RHCG	0.66375
VPS13A	0.518333333333333
FAM55D	6.134
PRPF38B	0.0396666666666667
OSBPL6	-4.37225
PFDN5	-0.2646
CMTM6	1.14725
KCNK12	-2.28725
RP2	0.683
C16orf52	-1.029
PICK1	0.4875
IFNE1	0.0818333333333333
SEMA4B	0.489
TYRO3	-2.46725
OR12D2	0.494
CSNK1A1	0.42015
FANCF	1.48875
LONP2	0.726875
TBL1Y	-0.44075
LDOC1L	-0.203625
CCNC	0.603
C3orf60	-0.32725
CHKA	-0.4795
UBAP1	0.5035
MAP3K1	-0.412
ANKRD9	-0.8115
FAM92A1	0.558
GAB2	0.4585
AZU1	-0.3855
DIS3	0.6145
C21orf109	-1.4775
IQCB1	0.17825
SPATS2	-0.4845
EFCAB3	-0.32625
PRB3	-0.2055
FUZ	-1.18016666666667
ZNF813	0.9655
BMPER	-0.0405
HEG1	-1.7205
ALS2CR11	-1.0455
SURF2	-0.38875
PSMC1	-0.69725
OR2D2	0.402
SLC7A8	-0.0133333333333333
C4orf40	0.351
SPATA7	-0.58325
MAZ	-0.159916666666667
PIN4	0.47175
PDE1A	-1.9515
TAF6L	-0.249833333333333
OR2T34	0.0445
KIAA0284	-0.22025
ACADS	0.185454545454545
MKRN2	-0.3785
C18orf56	-2.692
MS4A6E	0.00100000000000001
GALNT4	3.2157
C22orf31	-0.447
FLJ36070	-0.8335
PSME4	0.2255
TFG	0.2013
EPHX2	1.763
ANXA5	-1.323375
KRTAP1-1	0.0836
BATF	-1.40375
KARS	-0.10275
MSTP9	0.2135
GPR26	0.281625
CCDC72	0.22325
TEF	0.1475
FOXK1	-0.0465
PRLHR	-0.1765
EMX1	-0.245
C11orf30	-0.292875
ICK	1.194125
THSD7B	-0.1895
C21orf100	-0.628
DUOX1	1.8875
EFCAB4B	0.98875
UBE2G2	-0.297833333333333
C3orf54	-1.5145
PARP1	-1.18075
FAM60A	0.5005
C6orf146	-0.10675
OR9K2	0.592
DDX55	-0.570333333333333
RPS15	0.061
ZNF618	-1.8074375
DKFZp686D0972	0.08175
SSPO	-1.04
SHFM3P1	-0.328333333333333
CPA6	0.19
JAG2	-0.73225
DEFA3	0.67525
PPBPL2	-0.0292
CD34	2.631375
SLCO4A1	1.20625
AFG3L1	-0.649333333333333
SHD	1.64575
RP13-122B23.3	-0.575833333333333
PRKCSH	-0.612166666666667
DPH5	-0.148666666666667
HLA-F	2.10175
TBC1D4	0.72325
RIG	0.258666666666667
GLUD1	0.213666666666667
HNRPCL1	-0.338125
HBXIP	-0.05575
RNF207	-0.125
APIP	1.86875
PLA2G3	-2.98566666666667
CCDC84	-0.8895
MYLIP	-0.925230769230769
PHIP	-0.5575
AARS2	-0.586166666666667
DHX32	1.4605
SCAPER	0.381
MEN1	-0.069875
NIP7	-0.23
FLJ25404	0.752
FASTKD3	-0.23875
TMEM158	-2.26841666666667
RARA	-0.00499999999999999
BDH1	1.163
ANKRD16	-0.04575
CARM1	0.6665
SS18	-0.758166666666667
IKZF2	-0.979083333333333
MYD88	0.628125
PML	0.30175
TAF1A	-0.30525
CBFB	-0.16125
HIST1H3H	-1.64316666666667
C7orf29	-0.31075
COMMD4	-0.8115
DPP3	0.55875
DAB2	0.790125
LOC388882	0.101
YPEL4	-2.244375
AGBL3	0.231
LRP6	0.6458
SERPINH1	-1.18166666666667
TLE1	0.29225
CD244	0.631666666666667
ZDHHC15	-2.776
MGLL	1.2501
PLDN	0.053
LOC654346	2.1295
FAP	-1.8785
GPR37	-1.64133333333333
SCARA5	0.945833333333333
EBF4	-1.30009090909091
LSM6	0.289
MLLT1	-0.272375
SLC5A12	-0.18275
A2BP1	-0.2265
COPS5	0.054
TPM4	-0.0227142857142857
TNFSF4	-2.138
ACADSB	0.624388888888889
HERPUD1	-0.06825
BCL2L11	-0.908611111111111
CEP78	-0.691875
CDCA3	-0.707125
WBSCR19	-0.3175
MYO1A	4.0285
PPEF1	-1.08233333333333
LOC440348	-0.2785
CPEB2	0.434125
BPTF	-0.36425
RPL21	1.023375
GSX2	0.1375
ADPRH	1.56016666666667
C17orf68	-0.399833333333333
KCNS1	-1.08033333333333
MLLT6	0.4784
PIWIL4	3.0105
RNF26	-0.91075
RAP1B	0.446
ADAMTS1	-2.5652
ZNF571	0.82325
P2RY6	-1.16025
TRIM21	1.17133333333333
CADM3	-0.4015
NLRC5	1.48366666666667
ADRA2B	-0.438
LOC90835	-1.0745
PCF11	-0.632
LOC400451	-0.82775
GLTSCR1	0.1545
C17orf88	-0.237666666666667
CDH16	-1.2965
FGF7	0.139
PCSK4	-1.83216666666667
NPC1L1	-1.172
TAT	0.151625
TBCA	-0.15475
MGC33407	0.17875
GPR115	2.256125
CYGB	-0.785
FNBP4	-0.508833333333333
C12orf43	-0.308
CBL	-0.3719
CLECL1	0.059
PPAPDC1A	-3.40675
WDR25	-0.462166666666667
SGCA	0.954
C22orf29	-0.5265
YIPF1	0.54425
GALK2	-0.159
RAB3B	-3.76266666666667
LOC440087	-1.08775
UCP1	0.0055
REEP5	0.6075
FADD	-0.3532
FOXA1	-0.618375
CACNA1A	0.119
ABI1	1.00266666666667
GRIN2D	-0.049
SLC1A4	-0.4305
LOC401127	-0.19625
HINT2	0.00125
PLD4	-0.880666666666667
ZNF286A	-1.41425
ENY2	-0.92425
IL1F6	-0.323
PXDNL	-0.3795
C20orf79	0.19375
TNFSF13B	0.3
DENND3	0.163125
JARID1D	-2.00075
HIST1H2AK	-0.660625
LOC93349	0.8833
SSH1	-0.5544
ENSA	0.196
LOC219854	-0.153333333333333
CKAP2	0.3487
DKFZP564J102	2.132
MGC87315	0.689
HNRPAB	0.6625
AMH	-2.7615
ZNF526	0.2415
BRUNOL5	-0.0861
CACNG3	-0.0866666666666667
TRPM1	-2.589
PPP2R1A	0.039125
COL2A1	-1.8465
DDN	0.35
FLJ25770	0.403833333333333
HK2	0.318142857142857
ELOVL6	-0.20775
MDK	-1.8175
EPHX1	-0.53425
RASSF2	-0.558375
DKFZP434B0335	-0.17625
DLX3	-0.1045
PRTN3	-0.72375
AVPR1A	-0.433
C21orf125	-1.20575
TNFAIP8	-1.2385
GNB2L1	-0.33975
CALCRL	1.5115
SCGB2A2	-0.0623333333333333
UBXD7	-0.58675
ZNF674	-0.232
TMEM35	0.488
BRSK2	-1.07275
HECTD3	0.306333333333333
TMEM188	-0.191166666666667
LGALS9	2.50475
SCARB2	0.930916666666667
USP34	-0.0869166666666666
C17orf28	0.1915
ZDHHC23	1.772
AQP12B	1.804
SLC16A3	-0.460375
APLP2	0.14675
ITIH2	-5.63325
MICAL3	0.064
TNNI3K	-0.254666666666667
HDAC2	0.05025
PRR7	0.1439
THBS2	-5.612375
LOC751071	-0.9725
CA2	0.355833333333333
RANBP17	0.77975
RLN3	0.52
CRYZ	-0.0465
GBAS	-0.465166666666667
TAS1R1	-0.764
MPZL3	0.6705
PCDH8	-1.9365
HSP90B1	-0.2405
KCNK15	-0.9695
TNIP2	0.191
GPR146	-2.251
NOL6	0.173625
SPC25	-1.507
STEAP2	2.59685714285714
VAMP3	0.831
TCIRG1	0.262
ZP4	-0.205666666666667
PARL	-0.002875
TRIM39	-0.163
KIAA1305	0.99025
CRNN	0.539666666666667
GRN	0.346
HSH2D	-0.03225
SCAMP1	0.7174375
KIAA1913	0.85725
PTS	0.40375
BANP	-0.438285714285714
PRKACG	-0.03225
ADCY6	0.702166666666667
C16orf46	0.673
CYP51A1	0.130875
DDC	3.7795
ANPEP	-2.25933333333333
PROM1	1.913
SIGLEC10	1.1385
COPG	0.2875
FAM26E	-0.444375
TRIP4	0.12925
SNX3	0.0358333333333333
C1orf175	1.59183333333333
PPY2	0.10225
C14orf152	-0.3695
FTSJ1	-0.3725
DST	-0.1855
LOC554235	0.03725
GLRX5	-0.96225
C20orf12	0.7204
CAB39	0.87
MSH2	-1.01283333333333
PIP4K2C	0.857625
CYLD	0.64775
WTAP	0.243125
MGAT4A	0.771888888888889
TSC22D4	-0.6855
CHRM2	1.1805
PPYR1	-0.1415
CCNH	0.181833333333333
RRM1	-0.377
ECAT8	-3.7795
LOC400120	-0.55125
GABRA4	1.907875
C14orf4	-0.595333333333333
C1orf59	1.04
CTDSPL	0.7795
NHEDC2	-0.628
PDE11A	0.495625
KLHL29	1.515
CD5	-0.6486
TSPAN9	-0.1334375
WDR67	-0.3035
THUMPD1	0.0262
C18orf17	-1.38275
CLYBL	1.93583333333333
FLJ13231	-1.375625
CMBL	0.130375
LECT2	-0.65725
NKAPL	0.26
LOC654780	0.513
OR4C6	0.042
RAB30	-0.986333333333334
TSSK4	-0.53
TMEM163	0.2735
OSBPL11	0.565583333333333
GNB5	-2.2635
CCL21	-0.0105
C1orf121	0.306333333333333
FMO2	0.2335
RPTN	-2.0445
MSTN	0.35
VCL	-0.158142857142857
FYTTD1	-0.3535
C11orf1	0.292
CCDC88C	-0.0119375
HFE	-0.327777777777778
MOGAT1	-0.122
FAM125B	0.548333333333333
IRGQ	0.294
RAVER2	2.005
AKAP5	0.1475
SSSCA1	-0.01825
C11orf63	1.337
ACTG2	0.0068
PORCN	-1.0095
DTL	-1.41663636363636
TMEM151	0.12
FAM122C	0.21375
RSAD2	1.8178
BAT4	-1.156
KRTDAP	-1.8925
MYH8	-0.460125
CRTC3	-0.08625
LRRFIP2	0.7108
INTS4	-0.3695
TTN	-1.6362
SLC26A5	0.011
PLLP	-1.72525
RGS6	0.671875
SRGAP3	0.13125
ZNF525	0.715333333333333
NBR2	0.697666666666667
C13orf1	1.827
ZNF137	0.39
CEP27	-0.5645
BEST2	1.1855
RNF121	-0.11
DMRTC2	-0.128
C8orf76	0.50125
BCCIP	0.375625
MEST	0.1365
HTRA2	-0.674
ANGPTL2	-2.0775
ILKAP	0.111166666666667
ERAS	-0.419
HBS1L	0.219375
CPA5	-0.00700000000000001
TMEM30A	0.579666666666667
CD300LF	1.05716666666667
WISP3	0.926
CRK	-0.109642857142857
PDS5A	0.1818
BRPF3	0.3425
NEDD9	-0.209875
SMPDL3B	1.99975
PSG6	0.4585
PSMD13	0.37375
ETV5	-3.301
OR51A4	0.322
BTBD7	0.112666666666667
GSTO1	-0.140625
hCG_16001	0.36
MAD2L1BP	-0.389666666666667
COX6A2	-0.0065
SCNN1A	1.89316666666667
LSM1	-0.216166666666667
UGT2B11	-0.4795
IDUA	0.3315
PPP2R3C	-0.679833333333333
COX11	0.0578333333333333
PDZK1	-3.17525
ZNF443	1.42466666666667
MGC21874	0.532
ZNF323	0.8295
KRTAP10-10	0.033
CXCL6	3.2225
SLC34A2	0.2546
LOC284402	0.216
NPTN	0.370833333333333
UPP1	-1.94916666666667
SLC6A9	0.3855
OR7G3	-0.0385
CISD1	0.8255
ZNF545	-1.303
SYT14	-0.7555
NT5C3L	-0.658166666666667
ZNHIT3	-0.549
SNRPD3	-0.65825
KIAA0701	-0.1565
UNC93B1	0.243166666666667
GMNN	-1.151375
SPCS2	0.2245
LOC388524	0.392
NAPRT1	0.558375
PNLIPRP1	-0.28525
OR6V1	0.5235
PRKAB1	1.3865
EYA4	-3.84383333333333
KIF20A	-1.61325
ALG10	-0.00525000000000001
ITPKC	0.746833333333333
LMX1B	-0.4935
RPUSD4	0.343833333333333
C7orf34	0.359166666666667
DLGAP2	0.238125
PFN1	-0.6229
MICALL2	-0.474916666666667
ZNF654	0.2845
SS18L1	0.355
SLC16A8	0.2455
MKI67IP	0.594333333333333
ITGB3	-1.58375
TCEA3	2.42975
CEP152	-0.9173125
CLIP1	0.82325
ZNF75	0.886375
ATP5C1	0.7335
NUDT5	-0.106166666666667
PSCDBP	-0.06675
UBP1	0.172
RBM27	-0.01925
C13orf15	1.03625
ZNF282	-0.2215
ZNF222	-0.651
COL10A1	-0.29225
PRDM15	-0.71425
TTTY5	-0.2535
FAM9C	-0.465090909090909
C20orf67	0.19
GNG13	-0.8285
F12	0.8495
C1orf41	-0.68975
CPXCR1	0.295
GSK3A	0.32425
SUPT6H	-0.4015
PI16	-2.06066666666667
ELL2	-0.743333333333333
C9orf167	1.36833333333333
PVRL3	1.1959
FLJ38596	0.4175
ADAM20	0.06275
GPR89A	0.543
GPR87	-3.9295
ZNF30	-0.50825
SMR3B	0.393
ZNF770	0.3075
TRPC4AP	0.1
DKFZP686E2158	1.04716666666667
C2orf28	-0.6295
FREM1	1.18883333333333
LAMA4	-0.7245
ADPRHL2	-0.315
EIF4G2	0.885
GUCA1A	-0.1125
CTNNA2	-1.33025
NUDT15	0.389166666666667
CEPT1	0.387166666666667
ZNFX1	1.0518
CCDC92	0.103
TDRD1	-1.0585
KCNK5	0.8955
ETNK1	0.743166666666667
LTA	0.478
TTPA	2.29333333333333
B3GALNT2	0.0785
SC65	-0.830166666666667
PEX5L	-1.492
EPS15L1	-0.219
MGEA5	-0.12575
HIST1H3A	0.6135
ING1	0.452125
BCAT1	-4.751375
ORC6L	-1.71109090909091
KLK11	-4.63133333333333
C19orf28	-1.54625
DNER	-4.954875
MED22	-1.15957142857143
ETV6	1.33383333333333
CHAC2	-0.9455
CD300E	0.31
CEBPB	0.150666666666667
ZNF398	-1.15725
LRCH3	-0.3575
HMGA1	-0.411
CAPN7	0.333166666666667
MGC5566	-3.33825
CCL3	2.2795
NANOS1	-1.667
ZFYVE19	-0.94975
APITD1	-0.205333333333333
PARD3	0.7245
IRAK4	1.20333333333333
SERPINI2	-0.8215
CEP170L	-1.50375
TTC9	0.07375
MYOM3	2.281
MLPH	-1.115375
LOC222699	-0.831
NRG1	-1.21508333333333
TBC1D9	-1.95472727272727
TTK	-0.362833333333333
ZNF557	0.4508
DDX41	-0.8145
FANK1	1.4635
UBE2D2	0.565875
PSMB10	1.5995
MYH7B	0.3895
GABARAPL2	-0.253375
MARVELD2	2.19333333333333
DGCR2	-0.1705
UNC45A	-0.464166666666667
C6orf72	-0.5005
ZNF683	2.112
GIT2	-0.00650000000000002
CASK	1.74866666666667
C14orf161	4.646
LRRC44	-1.42725
TIFA	-0.232625
UTP11L	-1.282625
C6orf65	-2.46
FDPS	-0.43225
DUSP9	-2.5674
SLC17A8	-0.056
OR51G1	0.3815
NANS	0.67375
OLFML1	0.245
ATP10B	4.911625
NPAS3	-1.75466666666667
PRKCA	-0.3089
GGA2	-0.7566875
LCE4A	0.6775
SPANXN3	-0.06075
CCDC115	0.33225
SDCCAG3	-0.5855
GLIPR1L1	0.456
TTC1	0.63125
C17orf76	2.46325
MAD2L2	-1.77225
HIPK1	0.25
LRRC3B	-0.466833333333333
CLN3	0.0278636363636364
C17orf47	0.262
FMN2	-2.89875
TUBB1	-1.178125
WAPAL	0.4215
C3orf21	-1.304125
SCN5A	-0.3845
SMYD1	-0.132
BEX5	-0.368
ZNF192	0.3545
SEC22A	-0.179666666666667
GRIA2	-0.095076923076923
KIAA0825	-1.9305
NUSAP1	-1.23490909090909
LANCL1	-0.824875
C15orf40	-0.4883
ZNF645	0.536875
GPR61	0.245
NLRP14	0.072
SNX21	-0.1241
C1QTNF8	-0.013
C17orf46	0.3945
IFNA8	-0.142
SPRR1B	-1.54566666666667
FLRT1	-0.5525
SNX17	-0.284833333333333
ASB2	-0.4645
HBG1	-5.5345
RPRML	-2.29275
JOSD2	0.4355
PLSCR3	-0.6825
SPOCD1	-2.0295
RAB39	-1.1055
GHRH	-0.315
ITIH5L	0.08775
C17orf37	0.35525
SMCR8	0.04075
DPY19L2P3	-1.51683333333333
IL11RA	-0.3555
GDF3	-3.9715
RPS6KB1	-0.992333333333333
DNAJC19	0.261
TOP1	0.7135
CRCT1	-0.198375
MPST	1.188125
DPM2	-0.21975
FAM38B	-3.47616666666667
SLC18A1	-1.116
FARP1	-0.014
PAX7	0.22025
TUBD1	-1.28825
GNL3	0.60375
BTG2	1.2664
NDUFS6	-0.06475
C1orf79	-0.40525
ERAL1	-0.5165
ECHS1	0.583
VPS4A	-0.0975
CYP11A1	-1.58725
ABCC6	0.433357142857143
PBX4	0.3015
MOSC1	-0.079125
NCF4	0.21175
HYMAI	0.203
NAGPA	-0.521875
OTOP2	0.25925
ACOT12	-0.421
MTHFD2L	0.665125
LOC441376	-1.173
C19orf34	0.3915
RAB1B	0.32425
ALDOAP2	-1.1005
NTRK1	-2.55983333333333
ARTS-1	-0.00670000000000003
SLC6A11	-0.369
NAP1L2	-2.66625
CNGB1	-0.0905
EPB41L4B	2.27633333333333
FAM134B	2.993
HS3ST3A1	-3.642
CPXM2	0.24975
SIRPB2	-0.778
CHORDC1	-0.705333333333333
TRIB3	-0.875833333333333
SLC2A5	0.25875
C2orf49	-0.295833333333333
DDX5	-0.11975
OR5L1	0.355
ANAPC4	0.213333333333333
ZSWIM1	0.588
LOC93622	-0.17075
KCNK3	-0.8288
RP11-35N6.1	-1.443625
ZFP161	-0.631
AQP9	1.88875
SLC15A2	0.227
MREG	-1.669
OR9I1	0.815
PDLIM2	-1.012625
ADAM7	0.5935
GSTCD	0.312333333333333
WDR21A	-0.706875
SLC12A8	1.788
TMEM174	-0.25075
IGSF3	-0.692666666666667
LRRN1	-3.092
LOC402117	0.36525
SRPK1	0.786
LY6K	-2.5093125
NFIA	1.993
PTCD3	0.28875
LEP	-0.481333333333333
PCDH21	3.312
MAPKAPK2	-0.164428571428571
NMNAT1	1.22216666666667
LHFPL2	0.384875
C9orf43	-0.21725
DIP2A	-0.2245
ACTR8	0.21025
CCDC34	-0.094
PTPN22	-0.464375
ITGA3	-0.023125
FAM129C	-0.2255
RABGGTA	-0.348333333333333
UNC45B	-0.08825
KIAA1033	0.897
ZNF510	-0.149
CYP2D6	0.380333333333333
SLC26A10	-2.9355
STX8	-0.9125
LUZP1	0.890875
WDR89	-0.3095
EIF4G3	0.6635
C5AR1	0.327375
ZNF623	-0.336
A2M	-2.10375
TGM7	-0.2665
GRPEL1	0.6675
LMNB2	-0.4998
ROCK2	1.65
SNX16	-0.14425
CCDC66	0.07575
ANXA3	3.04
KIAA1609	-0.21675
EED	-0.55025
RNF32	1.257
HES1	1.208
CLC	0.359166666666667
ISL1	-0.0383333333333333
KIAA0528	0.475125
MANEA	0.903625
C1orf61	-2.7865
hCG_2001000	0.56625
RAPGEF6	-0.3552
KIAA0020	0.523833333333333
NEIL1	1.338
C16orf45	-2.77325
RBM10	-0.592666666666667
C10orf125	-1.3585
MRS2L	0.61325
DNAH17	-1.80557142857143
C19orf10	-0.5915
C1orf160	-0.07325
SLFN12	-1.70075
EXOC3	0.357333333333333
HIST3H3	-0.1745
NCOR2	-0.0065
TNFRSF9	0.93975
MFSD8	0.3515
ALX1	-3.90183333333333
NOL1	-0.172
PODN	0.668
TIAL1	-0.114
HIST1H1E	-2.23
NPY6R	0.22
TM4SF4	0.82175
CORO2A	1.3895
ETNK2	-2.55516666666667
APOE	-2.7839
ANGPT4	-0.384
HDGF2	-0.3955
G30	-0.2635
ST8SIA4	-1.149875
F2RL1	3.05525
FAM19A4	-3.44025
CCAR1	0.26525
