Hybridization REF	TCGA-AA-A02F-01A-01R-A00A-07
IFNE1	0.00659999999999998
SEMA4B	0.24825
TYRO3	-0.8
OR12D2	0.4665
CSNK1A1	0.96515
FANCF	1.64725
LONP2	0.778875
TBL1Y	-1.7085
LDOC1L	-1.045625
CCNC	0.12875
C3orf60	-0.2455
CHKA	-0.76975
UBAP1	0.32825
MAP3K1	0.1955
ANKRD9	-0.86875
FAM92A1	-0.757833333333333
GAB2	0.329375
AZU1	-0.64775
DIS3	0.321833333333333
C21orf109	-0.619
IQCB1	0.23825
SPATS2	-0.721
EFCAB3	1.36925
PRB3	-0.088
FUZ	-0.5535
ZNF813	1.091375
BMPER	-0.1966
HEG1	-1.005125
ALS2CR11	-1.30725
SURF2	0.61275
PSMC1	0.309666666666667
OR2D2	0.3345
SLC7A8	1.00683333333333
C4orf40	0.258
SPATA7	0.06775
MAZ	0.400333333333333
PIN4	-0.602
PDE1A	-1.7975
TAF6L	-1.27866666666667
OR2T34	-0.1915
KIAA0284	1.072
ACADS	0.00900000000000001
MKRN2	0.314
C18orf56	-2.817
MS4A6E	-0.0036
GALNT4	2.98
C22orf31	0.271
FLJ36070	0.2385
PSME4	0.098
TFG	-0.0379
EPHX2	1.442875
ANXA5	-0.245625
KRTAP1-1	-0.2256
BATF	-1.92875
KARS	-0.48275
MSTP9	-1.085
GPR26	-0.105333333333333
CCDC72	0.01875
TEF	-0.125666666666667
FOXK1	0.4962
PRLHR	0.3125
EMX1	-0.03925
C11orf30	-1.0285
ICK	1.255875
THSD7B	-0.152666666666667
C21orf100	0.119
DUOX1	0.4315
EFCAB4B	0.323
UBE2G2	-1.315
C3orf54	-0.61725
PARP1	-0.9765
FAM60A	0.6085
C6orf146	0.399
OR9K2	-0.0255
DDX55	0.0403333333333333
RPS15	0.124
ZNF618	1.2761875
DKFZp686D0972	0.5835
SSPO	-2.3245
SHFM3P1	-1.30466666666667
CPA6	5.10675
JAG2	0.4445
DEFA3	1.254
PPBPL2	0.0478333333333333
CD34	3.227
SLCO4A1	0.079625
AFG3L1	-0.929166666666667
SHD	2.04475
RP13-122B23.3	-0.663666666666667
PRKCSH	-1.4285
DPH5	-0.700333333333333
HLA-F	0.607125
TBC1D4	0.79475
RIG	0.5914
GLUD1	-0.499166666666667
HNRPCL1	-0.228125
HBXIP	0.466
RNF207	-0.656
APIP	-0.223
PLA2G3	-0.8095
CCDC84	-1.18375
MYLIP	-0.254615384615385
PHIP	0.05375
AARS2	0.035
DHX32	-0.23175
SCAPER	-0.114833333333333
MEN1	-0.809375
NIP7	0.56025
FLJ25404	0.52
FASTKD3	-0.29725
TMEM158	-2.42925
RARA	0.24425
BDH1	1.6115
ANKRD16	-0.473
CARM1	-0.122
SS18	-0.533
IKZF2	-1.1065
MYD88	0.074375
PML	0.88125
TAF1A	0.23825
CBFB	0.4855
HIST1H3H	-1.247
C7orf29	-1.54825
COMMD4	-0.416666666666667
DPP3	0.59475
DAB2	0.523375
LOC388882	0.135
YPEL4	-1.592625
AGBL3	0.48425
LRP6	1.0092
SERPINH1	-0.687166666666667
TLE1	0.4795
CD244	-0.434166666666667
ZDHHC15	-1.12325
MGLL	0.8572
PLDN	0.243833333333333
LOC654346	0.8215
FAP	1.20675
GPR37	-0.076
SCARA5	0.437
EBF4	-0.461636363636364
LSM6	0.1775
MLLT1	-0.9503125
SLC5A12	-0.01725
A2BP1	0.715666666666667
COPS5	-0.259333333333333
TPM4	-0.0952857142857143
TNFSF4	0.302166666666667
ACADSB	-0.640277777777778
HERPUD1	-0.46175
BCL2L11	-0.318611111111111
CEP78	-0.6195
CDCA3	-0.278625
WBSCR19	0.1296
MYO1A	4.1955
PPEF1	-0.5505
LOC440348	0.23225
CPEB2	0.03525
BPTF	-1.01433333333333
RPL21	0.7968125
GSX2	-0.529
ADPRH	0.442333333333333
C17orf68	-0.308333333333333
KCNS1	-0.709
MLLT6	-0.1192
PIWIL4	3.4855
RNF26	-1.13775
RAP1B	0.516625
ADAMTS1	-2.2812
ZNF571	0.4485
P2RY6	-0.85925
TRIM21	2.39616666666667
CADM3	-0.17675
NLRC5	0.746
ADRA2B	-0.0433333333333333
LOC90835	-1.83225
PCF11	-0.60475
LOC400451	0.318
GLTSCR1	0.4895
C17orf88	-0.767
CDH16	-1.2215
FGF7	0.546714285714286
PCSK4	-0.7955
NPC1L1	-0.750833333333333
TAT	0.588333333333333
TBCA	-0.2495
MGC33407	-0.1505
GPR115	0.10525
CYGB	0.076
FNBP4	0.499833333333333
C12orf43	0.038
CBL	-0.5083
CLECL1	-0.011
PPAPDC1A	0.13075
WDR25	0.184833333333333
SGCA	1.071
C22orf29	-0.239166666666667
YIPF1	0.51225
GALK2	0.4485
RAB3B	-1.7985
LOC440087	0.1095
UCP1	-0.525
REEP5	0.8285
FADD	-1.0431
FOXA1	0.786375
CACNA1A	0.106333333333333
ABI1	0.819666666666667
GRIN2D	0.31675
SLC1A4	-0.3455
LOC401127	-0.19575
HINT2	0.15075
PLD4	-0.853833333333333
ZNF286A	-0.84475
ENY2	-0.10225
IL1F6	0.0885
PXDNL	-0.423
C20orf79	-0.215333333333333
TNFSF13B	-0.0388333333333333
DENND3	0.50125
JARID1D	-2.57125
HIST1H2AK	0.057
LOC93349	-0.902
SSH1	-0.0241
ENSA	0.15475
LOC219854	-1.43966666666667
CKAP2	1.1587
DKFZP564J102	0.264166666666667
MGC87315	0.612
HNRPAB	-0.1155
AMH	-2.877
ZNF526	1.275
BRUNOL5	0.6456
CACNG3	0.0493333333333333
TRPM1	-0.951
PPP2R1A	0.202125
COL2A1	-1.3305
DDN	-0.0808333333333333
FLJ25770	0.334444444444444
HK2	-0.585
ELOVL6	-0.842875
MDK	0.54025
EPHX1	-1.226
RASSF2	-0.6915
DKFZP434B0335	-0.5785
DLX3	0.0448750000000001
PRTN3	-1.507
AVPR1A	0.688
C21orf125	-1.77875
TNFAIP8	-0.6955
GNB2L1	-0.435
CALCRL	0.932
SCGB2A2	0.4354
UBXD7	0.3265
ZNF674	-1.1875
TMEM35	1.94575
BRSK2	-0.570125
HECTD3	-0.622666666666667
TMEM188	-0.363090909090909
LGALS9	0.91775
SCARB2	-0.577833333333333
USP34	-0.599416666666667
C17orf28	0.129833333333333
ZDHHC23	1.16075
AQP12B	0.295
SLC16A3	-1.48725
APLP2	-0.6075
ITIH2	-6.75
MICAL3	0.228125
TNNI3K	-0.13425
HDAC2	0.613125
PRR7	0.1257
THBS2	-1.52925
LOC751071	-0.936333333333333
CA2	0.244166666666667
RANBP17	1.38425
RLN3	-0.30175
CRYZ	-0.527666666666667
GBAS	0.349
TAS1R1	0.67325
MPZL3	0.679
PCDH8	1.39525
HSP90B1	0.115333333333333
KCNK15	-1.109
TNIP2	-0.940666666666667
GPR146	-1.2955
NOL6	0.00250000000000002
SPC25	-0.196111111111111
STEAP2	1.76964285714286
VAMP3	-0.679
TCIRG1	-1.20675
ZP4	-0.273166666666667
PARL	0.018375
TRIM39	0.0163333333333333
KIAA1305	2.88875
CRNN	0.245333333333333
GRN	-1.5715
HSH2D	-0.947
SCAMP1	0.3296875
KIAA1913	0.72375
PTS	-0.84275
BANP	-0.700857142857143
PRKACG	-0.04825
ADCY6	0.349166666666667
C16orf46	0.478
CYP51A1	0.254625
DDC	2.56175
ANPEP	-1.9355
PROM1	2.702
SIGLEC10	-0.0654999999999999
COPG	0.747
FAM26E	0.256285714285714
TRIP4	0.20925
SNX3	-0.156666666666667
C1orf175	0.889666666666667
PPY2	0.01675
C14orf152	-0.47
FTSJ1	-1.25216666666667
DST	0.02625
LOC554235	-0.22625
GLRX5	-0.485
C20orf12	0.7099
CAB39	-0.404833333333333
MSH2	-0.757333333333333
PIP4K2C	0.633125
CYLD	-0.42825
WTAP	1.0799375
MGAT4A	1.48555555555556
TSC22D4	-0.7438
CHRM2	1.2565
PPYR1	-0.169666666666667
CCNH	0.0283333333333333
RRM1	0.70525
ECAT8	-2.462
LOC400120	-0.118
GABRA4	1.293375
C14orf4	0.6905
C1orf59	0.98925
CTDSPL	1.167
NHEDC2	-1.8065
PDE11A	0.8556875
KLHL29	1.5015
CD5	-0.3816
TSPAN9	-0.0209375
WDR67	-0.68425
THUMPD1	0.2941
C18orf17	-1.7085
CLYBL	0.372833333333333
FLJ13231	-0.74
CMBL	0.56725
LECT2	-0.77175
NKAPL	0.8195
LOC654780	0.3035
OR4C6	0.066
RAB30	-1.26483333333333
TSSK4	-0.12
TMEM163	0.5375
OSBPL11	0.654166666666667
GNB5	-1.10233333333333
CCL21	-0.2375
C1orf121	0.898833333333333
FMO2	0.440333333333333
RPTN	0.3515
MSTN	-0.04
VCL	-0.362357142857143
FYTTD1	-0.69725
C11orf1	-0.80475
CCDC88C	0.4270625
HFE	-0.235944444444444
MOGAT1	-0.417
FAM125B	1.17666666666667
IRGQ	0.2725
RAVER2	1.47425
AKAP5	-0.957
SSSCA1	-0.62575
C11orf63	-0.347875
ACTG2	2.9161
PORCN	-1.7405
DTL	-0.430363636363636
TMEM151	0.2525
FAM122C	-0.2585
RSAD2	0.2808
BAT4	0.221
KRTDAP	1.58583333333333
MYH8	-0.204125
CRTC3	-0.13575
LRRFIP2	0.3928
INTS4	-0.915
TTN	-0.7728
SLC26A5	0.4855
PLLP	-1.198
RGS6	-0.387125
SRGAP3	0.169375
ZNF525	0.750833333333333
NBR2	-1.16266666666667
C13orf1	1.7421
ZNF137	0.589
CEP27	0.00800000000000001
BEST2	-0.2245
RNF121	-0.6195
DMRTC2	0.59375
C8orf76	-0.05825
BCCIP	-0.838125
MEST	1.20125
HTRA2	-0.727
ANGPTL2	-0.629
ILKAP	-0.0211666666666667
ERAS	0.0365
HBS1L	-0.195125
CPA5	0.65
TMEM30A	0.4775
CD300LF	0.411333333333333
WISP3	4.639
CRK	0.194857142857143
PDS5A	-0.4162
BRPF3	0.567
NEDD9	0.228125
SMPDL3B	-0.1535
PSG6	0.9945
PSMD13	0.598
ETV5	-0.8384375
OR51A4	-0.6705
BTBD7	1.1185
GSTO1	-1.117125
hCG_16001	0.64
MAD2L1BP	0.401333333333333
COX6A2	0.5265
SCNN1A	3.19283333333333
LSM1	0.359166666666667
UGT2B11	-2.58325
IDUA	-0.25275
PPP2R3C	-0.548833333333333
COX11	-0.327166666666667
PDZK1	-3.4565
ZNF443	0.555833333333333
MGC21874	0.0346666666666667
ZNF323	0.6276
KRTAP10-10	-0.0065
CXCL6	1.09825
SLC34A2	0.1128
LOC284402	-0.4715
NPTN	0.352333333333333
UPP1	-0.433416666666667
SLC6A9	-0.464
OR7G3	-0.24475
CISD1	0.4615
ZNF545	-0.7745
SYT14	-0.1185
NT5C3L	-1.5345
ZNHIT3	-0.761166666666667
SNRPD3	0.50125
KIAA0701	-0.660875
UNC93B1	-0.7415
GMNN	0.015375
SPCS2	-0.2405
LOC388524	0.8855
NAPRT1	0.629375
PNLIPRP1	-0.061
OR6V1	0.003
PRKAB1	0.8765
EYA4	-1.29966666666667
KIF20A	-0.4435
ALG10	1.3405
ITPKC	1.60683333333333
LMX1B	-0.902
RPUSD4	-0.743166666666667
C7orf34	-0.0858333333333334
DLGAP2	0.53925
PFN1	-0.2736
MICALL2	-0.695083333333333
ZNF654	0.2985
SS18L1	0.016375
SLC16A8	-0.56425
MKI67IP	0.851666666666667
ITGB3	-0.907625
TCEA3	2.01283333333333
CEP152	-0.3809375
CLIP1	0.41375
ZNF75	0.3739375
ATP5C1	0.106333333333333
NUDT5	0.436666666666667
PSCDBP	-1.22725
UBP1	0.8245
RBM27	0.5395
C13orf15	1.930875
ZNF282	0.0228333333333333
ZNF222	-0.6513
COL10A1	2.3165
PRDM15	-0.788625
TTTY5	0.225
FAM9C	-0.195
C20orf67	0.25625
GNG13	-0.0435
F12	1.14275
C1orf41	-0.453
CPXCR1	-0.186
GSK3A	0.084375
SUPT6H	-1.04666666666667
PI16	-1.427
ELL2	-1.09675
C9orf167	1.70866666666667
PVRL3	0.6138
FLJ38596	0.557666666666667
ADAM20	1.1395
GPR89A	0.332
GPR87	-4.385
ZNF30	1.00425
SMR3B	-0.204
ZNF770	-0.177875
TRPC4AP	-0.496666666666667
DKFZP686E2158	1.16716666666667
C2orf28	-0.259166666666667
FREM1	4.21666666666667
LAMA4	0.145166666666667
ADPRHL2	-0.1285
EIF4G2	1.3245
GUCA1A	0.4285
CTNNA2	-1.07875
NUDT15	1.92133333333333
CEPT1	0.423333333333333
ZNFX1	0.0874
CCDC92	0.443
TDRD1	-0.4895
KCNK5	-0.0186666666666667
ETNK1	0.517833333333333
LTA	-0.671
TTPA	0.742166666666667
B3GALNT2	0.278375
SC65	-1.574
PEX5L	-0.63925
EPS15L1	-1.38825
MGEA5	-0.225375
HIST1H3A	1.404
ING1	0.887
BCAT1	-3.381375
ORC6L	-0.497090909090909
KLK11	-4.70583333333333
C19orf28	-1.910375
DNER	-4.123375
MED22	-1.12664285714286
ETV6	1.19308333333333
CHAC2	-0.129
CD300E	-0.256
CEBPB	0.236166666666667
ZNF398	0.5095
LRCH3	0.0505
HMGA1	-0.430166666666667
CAPN7	0.222666666666667
MGC5566	-2.31466666666667
CCL3	2.01485714285714
NANOS1	-1.163625
ZFYVE19	-0.37975
APITD1	-0.880833333333333
PARD3	0.584625
IRAK4	-0.125
SERPINI2	-1.1555
CEP170L	-1.02425
TTC9	0.578333333333333
MYOM3	0.7765
MLPH	-1.241
LOC222699	0.3085
NRG1	-1.01263636363636
TBC1D9	-2.93154545454545
TTK	0.329666666666667
ZNF557	0.1179
DDX41	-0.833333333333333
FANK1	-0.266
UBE2D2	0.48625
PSMB10	0.866125
MYH7B	2.8
GABARAPL2	-1.068125
MARVELD2	2.646
DGCR2	0.0588333333333333
UNC45A	-0.152
C6orf72	-0.548
ZNF683	1.733
GIT2	0.10375
CASK	1.5615
C14orf161	-0.194666666666667
LRRC44	-0.2645
TIFA	-0.929375
UTP11L	0.31
C6orf65	-0.318
FDPS	-0.13025
DUSP9	-2.2165
SLC17A8	0.344333333333333
OR51G1	-0.338333333333333
NANS	0.1675
OLFML1	0.798
ATP10B	3.169375
NPAS3	-1.24375
PRKCA	-0.7114
GGA2	0.0560625
LCE4A	-0.2415
SPANXN3	0.3155
CCDC115	0.87625
SDCCAG3	-0.62625
GLIPR1L1	-0.36375
TTC1	0.6505
C17orf76	3.4945
MAD2L2	-1.93175
HIPK1	0.5428
LRRC3B	-0.621833333333333
CLN3	-0.281318181818182
C17orf47	-0.3365
FMN2	-1.89325
TUBB1	-0.465125
WAPAL	-0.290166666666667
C3orf21	-0.6515
SCN5A	-0.5152
SMYD1	-0.02525
BEX5	2.6295
ZNF192	-0.08
SEC22A	-0.397666666666667
GRIA2	0.217909090909091
KIAA0825	-1.139
NUSAP1	-0.315818181818182
LANCL1	-0.47925
C15orf40	-0.2905
ZNF645	-0.151625
GPR61	-0.15975
NLRP14	0.4945
SNX21	-0.9535
C1QTNF8	0.298
C17orf46	-0.09625
IFNA8	0.129
SPRR1B	-0.9465
FLRT1	-0.02475
SNX17	-1.11266666666667
ASB2	-0.473166666666667
HBG1	-8.199
RPRML	0.54725
JOSD2	-0.295166666666667
PLSCR3	-0.348
SPOCD1	-1.28333333333333
RAB39	-0.194
GHRH	-0.570333333333333
ITIH5L	-0.6355
C17orf37	-0.472
SMCR8	0.21975
DPY19L2P3	-0.662833333333333
IL11RA	0.0281666666666667
GDF3	-4.754
RPS6KB1	-1.53458333333333
DNAJC19	0.2797
TOP1	0.45075
CRCT1	1.2275
MPST	0.889625
DPM2	0.1095
FAM38B	-2.523
SLC18A1	0.347333333333333
FARP1	0.915
PAX7	0.203
TUBD1	-2.12775
GNL3	0.976625
BTG2	1.21713333333333
NDUFS6	0.278
C1orf79	-0.47075
ERAL1	-1.0805
ECHS1	1.15825
VPS4A	-0.360333333333333
CYP11A1	-1.211875
ABCC6	-0.498714285714286
PBX4	-0.1755
MOSC1	1.79325
NCF4	-1.4965
HYMAI	0.6475
NAGPA	-1.481875
OTOP2	-0.0835
ACOT12	-0.4185
MTHFD2L	-0.324125
LOC441376	-0.64325
C19orf34	-0.9
RAB1B	0.69375
ALDOAP2	-0.494
NTRK1	-2.375
ARTS-1	-0.2799
SLC6A11	-0.237
NAP1L2	-1.58175
CNGB1	-0.320666666666667
EPB41L4B	0.998
FAM134B	1.880125
HS3ST3A1	-0.982
CPXM2	2.68975
SIRPB2	0.408
CHORDC1	-0.474166666666667
TRIB3	-1.02266666666667
SLC2A5	-0.26175
C2orf49	0.459666666666667
DDX5	-1.002
OR5L1	1.39
ANAPC4	-0.4865
ZSWIM1	0.98175
LOC93622	-1.114875
KCNK3	-0.3571
RP11-35N6.1	0.838375
ZFP161	-0.0756666666666667
AQP9	0.9675
SLC15A2	-0.236833333333333
MREG	-2.15466666666667
OR9I1	0.3135
PDLIM2	-0.843625
ADAM7	0.0205
GSTCD	-0.368666666666667
WDR21A	1.057
SLC12A8	0.558666666666667
TMEM174	-0.30825
IGSF3	-0.265
LRRN1	1.028
LOC402117	-0.3185
SRPK1	0.8975
LY6K	-2.537125
NFIA	3.352
PTCD3	0.487125
LEP	-0.320666666666667
PCDH21	1.198
MAPKAPK2	-0.175928571428571
NMNAT1	0.422166666666667
LHFPL2	-0.3675
C9orf43	-0.0935
DIP2A	-1.1485
ACTR8	0.499125
CCDC34	0.463
PTPN22	-0.999375
ITGA3	-1.841625
FAM129C	-0.20325
RABGGTA	0.0498333333333333
UNC45B	0.39575
KIAA1033	0.269375
ZNF510	-0.116
CYP2D6	0.2675
SLC26A10	-1.978
STX8	-0.656
LUZP1	0.01975
WDR89	0.644333333333333
EIF4G3	-0.2674
C5AR1	0.178375
ZNF623	0.3175
A2M	-1.16025
TGM7	0.002
GRPEL1	-0.435333333333333
LMNB2	-0.3134
ROCK2	1.809
SNX16	0.196125
CCDC66	0.078
ANXA3	2.3705
KIAA1609	-0.27075
EED	-0.9665
RNF32	1.04233333333333
HES1	1.8258
CLC	-0.1454
ISL1	2.073
KIAA0528	0.808875
MANEA	0.598625
C1orf61	-1.802
hCG_2001000	0.8165
RAPGEF6	0.0398
KIAA0020	0.892
NEIL1	1.90475
C16orf45	-1.838375
RBM10	0.0673333333333333
C10orf125	0.475125
MRS2L	0.13425
DNAH17	-1.095375
C19orf10	-1.42175
C1orf160	0.11825
SLFN12	-1.4035
EXOC3	-0.2425
HIST3H3	0.373
NCOR2	0.188833333333333
TNFRSF9	-0.7965
MFSD8	-0.63575
ALX1	-3.9835
NOL1	-0.1195
PODN	1.31925
TIAL1	-0.62625
HIST1H1E	-1.10425
NPY6R	0.28225
TM4SF4	0.8655
CORO2A	0.66375
ETNK2	-1.867
APOE	-2.4465
ANGPT4	0.0295
HDGF2	-1.34375
G30	-0.1585
ST8SIA4	-0.117285714285714
F2RL1	3.10675
FAM19A4	-2.985
CCAR1	-0.34425
B3GNT7	-0.19925
OPHN1	0.1551
DSCR6	0.1775
C21orf13	-1.1972
GAS2L1	-1.07125
RFX3	0.341166666666667
COPS4	-0.907875
BCHE	-5.342
BCL2	-0.839375
HBZ	-5.039
ARL13B	-0.443625
MAPBPIP	0.420125
MYO15B	2.411125
SPZ1	0.27525
KIAA1324	2.32155555555555
PLCL2	-1.629125
C4orf29	-0.6835
WDFY2	-0.467375
ZNF284	0.2915
NAALADL1	-0.2845
DUSP5	-0.369333333333333
PXDN	-0.733125
SLMO1	0.0815
TNXB	-0.0542
BIRC7	-1.1275
A4GALT	-0.483333333333333
TIMM22	-0.777
FAM110C	2.2495
TOMM34	0.02525
ABHD9	0.0165
ADAM32	-0.5215
CRHBP	-0.845333333333333
AQP2	0.133875
LOC130355	0.78525
ZNF187	-0.497833333333333
ZNF816A	1.5745
F7	-0.863875
CNOT1	0.185
SLC13A4	-1.124
ZBTB11	-0.1725
B3GALT5	0.043
EXOC2	1.66316666666667
IRS1	-0.5723
TMEM1	0.223
MRPL34	-0.799666666666667
SAMM50	-1.49425
CDC42EP3	0.550125
HSF2	-1.0839
MFN2	-0.721
TSPAN7	-1.76366666666667
NUCB1	0.288
RHOH	-4.3525
ARL16	-0.736
TACR1	0.28175
SFRS5	-0.0871666666666667
SNX25	-0.029875
RHBDF1	0.565333333333333
PCDH18	1.63466666666667
HMG1L1	1.66325
MYO5C	0.6365
MAPK10	0.675
LDHAL6A	-0.0265
NUDT12	0.447
NCAM1	-0.6355
GLIS2	-0.3655
GGTL4	-1.08575
DAPP1	-2.34725
ATF7	1.1205
KIAA0748	-1.909
NFIL3	0.504
TM6SF1	-0.2756
SEZ6	-0.161375
NANOS3	0.539666666666667
DNAJA3	-0.2255
CLDN6	-1.833
CIITA	0.7992
EPHA4	-2.38275
FANCC	1.2835
CMTM3	-0.83575
PSG3	-0.30925
MRPL15	-0.55825
C21orf59	-0.60475
PLCXD2	0.02225
C2orf34	0.61
UBE2L6	-1.00914285714286
MED14	0.1966
HP1BP3	-0.6943
C6orf208	-1.185
TPBG	-0.79375
OSR2	-1.681875
XPC	-0.748833333333333
KLHL7	-1.74408333333333
CCR3	0.6438
AGTPBP1	0.424833333333333
PCSK6	-1.13173333333333
STAT5A	-2.1999
FAM18B	-1.053
LONRF2	-4.74216666666667
PTPN2	-0.402
SF3A3	0.108333333333333
EFCBP2	-0.539
HCFC1	-0.321166666666667
AHNAK	-0.688
ACTR5	0.0115
KIF14	-1.08428571428571
TENC1	-0.14875
HEATR5B	0.351
YIPF2	-0.6585
MYEOV2	-0.1238
DUSP18	2.44575
KIAA1012	-0.44675
AHR	0.233833333333333
C17orf53	-0.732166666666667
PTPRH	-0.0785
ATP6V1C1	-0.7748
TAS2R3	-0.1215
LOC440356	0.36025
COQ10B	0.011
PSMF1	-0.593166666666667
SORBS2	1.6145
NFE2L2	0.2555
TMCO7	0.44525
SH3PXD2A	0.2121
SH2D2A	-1.2215
SPINK5	-1.58525
MRPS24	-0.533
OPA3	0.312
TRAF7	-0.835666666666667
C4orf35	0.04
MT1G	-1.417
MGC39545	0.238666666666667
HS1BP3	0.226666666666667
OR2B2	-0.0615
CHRM4	-0.231
SFRP2	-3.423
RIC3	-1.24466666666667
ART1	-0.44
C6orf1	-0.064875
DUS4L	-0.8305
C10orf104	-0.32775
TNFAIP6	0.95775
RTEL1	0.29225
CCT4	-0.0887
ZNF709	-0.0785
CHMP6	-0.6785
UPP2	-0.12225
CYP19A1	-2.523
CD151	-0.148833333333333
NDUFA13	-0.545666666666667
ARFRP1	-0.661333333333333
FAM26B	-1.3195
CRYBA1	-1.7895
MRPL41	0.3075
NPFFR2	-0.675625
HRH2	-0.191
SCAMP3	-1.02516666666667
MTMR6	0.564
MTG1	-0.399833333333333
UBTD1	-0.9925
CRABP1	-1.65
FLJ33790	-1.4709
KIAA1908	-2.09766666666667
GPR158	-0.109
PACSIN3	0.684666666666667
OMD	0.074
CATSPER1	-0.980666666666667
HOXB8	2.747875
FBXO46	1.9975
OAS1	2.81666666666667
SVIL	0.79425
PHB2	-0.921
ADCY3	0.5815
NDRG2	0.881666666666667
ERMAP	0.00579999999999999
APBA2	-1.87116666666667
IGSF9	1.344
WNT6	-0.557785714285714
MYCBPAP	-1.3525
ATP2B2	-0.126285714285714
CPVL	-1.3379
TRAM2	-0.375666666666667
NOP5/NOP58	1.55775
ZNRF4	0.1535
TLK1	0.28775
MTMR12	0.200571428571429
ZNF384	-0.197
FAM9B	-0.930333333333333
RPN1	0.7644
PMVK	-0.871
EIF3D	-0.306
SIX2	-0.58925
HPS1	0.573785714285714
RNF7	-0.036
PSKH2	0.4315
KCTD13	-0.316833333333333
CSMD3	0.278111111111111
FBF1	0.3305
IL8	0.019
SERPINB13	0.821090909090909
FBXL20	-0.50825
BLR1	0.08825
SH2B1	-0.486666666666667
RFNG	-1.550625
RAB20	1.74383333333333
RBM7	-0.67275
POLR1A	-0.494333333333333
TMPRSS4	3.4125
TAF9	0.04075
TERF2	0.506
TNFRSF1A	-0.35275
ACADVL	-0.596
GTF2H5	-0.24075
EDG8	-0.268166666666667
C9orf140	0.564875
UST6	0.53425
ZBTB8OS	-0.11175
ZNF710	1.8645
GPR174	-1.4835
ATP6V0A2	0.19225
KIAA0319L	-0.0274166666666667
XKRX	3.319
DOPEY2	0.9432
SDHD	-0.462333333333333
SUMF1	-0.13075
OSM	2.00475
OPN3	-0.3865
DAGLB	-0.311
PPFIBP1	0.1545
TRIM63	-5.344
C10orf53	1.417
LYPD3	-1.47383333333333
BCL7A	0.200375
AGER	-0.847833333333333
TCF19	-0.285125
SAT2	-1.164
PFTK1	-2.09083333333333
GABRE	0.221125
C15orf38	1.6679
FIS1	-0.274
KCNV2	0.1795
CLPS	-0.7015
PPCDC	-0.3645
FOXN2	1.15533333333333
NT5E	-1.3018
CD83	0.31525
IL18	-0.215125
VPS16	-1.22625
IGFBP2	-4.25333333333333
NOTCH2	-0.6945
SIGLEC1	0.165375
CD93	3.438
SULF2	-1.04475
CEP164	-0.871125
P53AIP1	-0.188166666666667
TOR2A	-0.061
ZNF136	-0.444
MGP	-0.123
CCDC144A	-0.979
TRPC1	-2.0265
SMS	-0.145166666666667
MAPK7	-0.839
RRAGC	0.482
PARD6A	0.617666666666667
NUB1	0.426333333333333
SYNGR4	1.8415
OR11H12	-0.0035
WIF1	5.064625
GCH1	1.331
OR11H4	-0.0885
SLC44A5	-0.45
GPRIN2	2.46616666666667
LOC401431	-1.16233333333333
CPA4	-2.4136
MELK	0.393222222222222
IL15RA	1.2495
CUL3	-0.038125
HMBOX1	0.7245
PODXL	-1.526
CCT6B	-0.8845
COMTD1	-0.2765
MUC20	3.12316666666667
GPX2	4.380625
ITK	-2.032625
FBXL5	0.11625
C13orf27	0.21275
DEFA5	1.5965
TRHDE	1.182
MTP18	-0.4405
UQCRQ	1.3789
ITGB2	-1.13416666666667
CSRP2BP	-0.133
TAS2R44	0.2245
PHPT1	-0.0385
FAM44C	0.17425
ERH	1.2885
MPHOSPH1	-0.5985
MORC1	-1.017
PARVB	-1.33075
LAMA1	-2.65433333333333
PGBD3	-0.194
GIMAP6	2.7735
AREG	-0.376
LIPT1	0.51275
MGC99813	-1.392
C1orf201	-0.00116666666666659
GRIN2A	-0.637833333333333
MAN2C1	-0.563625
NSUN5	-0.2065
SF3B5	-0.09275
MYC	-0.1065625
NRXN1	-0.319818181818182
ZNF18	-0.24775
SPDYA	0.198166666666667
SLC37A1	0.1865
DECR2	1.078
ANKRD38	-0.475625
SPTLC3	-2.53554545454545
SUPT16H	0.18
DTWD2	1.1495
ULBP1	-0.8395
ZADH1	-0.651166666666667
OIP5	0.0845
IL10RB	0.0248333333333333
OTUB2	2.15025
VWA3A	-0.220333333333333
SPIC	-0.3606
OR6C4	-0.034
PSCD4	-0.455
DPY19L2P2	-1.3275
TRAPPC6A	0.6275
C21orf2	-0.707833333333333
CEMP1	-0.85525
LIN7B	0.6255
E2F7	-0.2665
VCP	-0.4140625
LAMA3	2.00833333333333
BGN	-0.1105
GPR160	2.19166666666667
COCH	-3.31033333333333
GPR81	-1.04933333333333
APOBEC3F	-1.85775
tcag7.1017	-0.318
C1orf32	0.0965
SCGB1D2	-0.057
FLJ43987	-0.0825
C6orf170	0.2495
KLK9	-0.446
GPD1L	0.526875
VPS37B	1.06775
ATG3	0.185
ADAMTS17	-0.3335
KLHDC2	-0.285
NDUFV2	-0.87625
BLK	-3.13175
MATN4	-1.2465
GPM6A	0.220571428571429
GBP4	1.148
TMEM162	-0.132166666666667
PKP2	2.4595
HRASLS	-2.61288888888889
MMP1	-0.34
SFXN3	-0.8232
FSD1	-2.0925
ST6GALNAC3	-0.923333333333333
CA12	1.3661
NCOA6	1.2315
C19orf58	-1.2789
PPP4R1	-0.534666666666667
MAN1A2	0.150166666666667
IKBKAP	-1.1075
