Hybridization REF	TCGA-AA-A01I-01A-02R-A00A-07
CAPN7	0.182833333333333
MGC5566	-2.01525
CCL3	2.842125
NANOS1	-1.526375
ZFYVE19	-0.73975
APITD1	-0.542333333333333
PARD3	-0.0425
IRAK4	0.577166666666667
SERPINI2	0.1455
CEP170L	-1.63175
TTC9	0.927875
MYOM3	2.70025
MLPH	-0.82675
LOC222699	-0.496
NRG1	-0.02425
TBC1D9	-1.493
TTK	-0.384666666666667
ZNF557	0.4793
DDX41	-1.1755
FANK1	0.278
UBE2D2	0.200375
PSMB10	1.159375
MYH7B	0.544
GABARAPL2	-0.788375
MARVELD2	2.34566666666667
DGCR2	0.542166666666667
UNC45A	-0.362333333333333
C6orf72	-0.0105
ZNF683	3.1605
GIT2	0.138
CASK	2.2385
C14orf161	1.06183333333333
LRRC44	-0.256
TIFA	-0.78575
UTP11L	-1.0395
C6orf65	-1.225
FDPS	-0.15175
DUSP9	-1.9197
SLC17A8	0.296833333333333
OR51G1	0.350166666666667
NANS	-0.10825
OLFML1	0.6455
ATP10B	3.867875
NPAS3	-1.31825
PRKCA	-0.6203
GGA2	-0.471875
LCE4A	0.339
SPANXN3	-0.31525
CCDC115	0.826625
SDCCAG3	-0.55125
GLIPR1L1	0.362333333333333
TTC1	0.1045
C17orf76	4.25925
MAD2L2	-1.853
HIPK1	-0.4241
LRRC3B	-0.3985
CLN3	0.00309090909090908
C17orf47	0.4475
FMN2	-2.022375
TUBB1	-1.129
WAPAL	0.35
C3orf21	-1.60675
SCN5A	-0.2301
SMYD1	0.6095
BEX5	1.131
ZNF192	-0.174
SEC22A	-0.103833333333333
GRIA2	0.508857142857143
KIAA0825	-0.4915
NUSAP1	-1.32390909090909
LANCL1	-0.09775
C15orf40	-0.3669
ZNF645	0.583
GPR61	-0.03175
NLRP14	0.671
SNX21	-0.3318
C1QTNF8	0.797
C17orf46	-0.032
IFNA8	-0.4145
SPRR1B	-1.05283333333333
FLRT1	-0.166
SNX17	-0.661333333333333
ASB2	0.239833333333333
HBG1	-7.4835
RPRML	-1.58825
JOSD2	-0.3465
PLSCR3	-0.75475
SPOCD1	-0.465333333333333
RAB39	-1.1105
GHRH	-0.293666666666667
ITIH5L	0.0865
C17orf37	0.3765
SMCR8	0.376
DPY19L2P3	-1.551
IL11RA	-0.662
GDF3	-4.38216666666667
RPS6KB1	-1.99883333333333
DNAJC19	0.2006
TOP1	0.46925
CRCT1	0.788875
MPST	1.51475
DPM2	-0.27825
FAM38B	-3.32516666666667
SLC18A1	1.0885
FARP1	0.2635
PAX7	0.15125
TUBD1	-1.8835
GNL3	0.175625
BTG2	0.824533333333333
NDUFS6	-0.25325
C1orf79	-0.5395
ERAL1	-0.71775
ECHS1	1.1275
VPS4A	-0.556333333333333
CYP11A1	-0.753125
ABCC6	-0.653642857142857
PBX4	0.155
MOSC1	0.76
NCF4	0.2285
HYMAI	0.1245
NAGPA	-0.481125
OTOP2	0.284
ACOT12	0.40525
MTHFD2L	-0.45725
LOC441376	-1.11875
C19orf34	0.332
RAB1B	-1.32375
ALDOAP2	-1.7235
NTRK1	-1.71666666666667
ARTS-1	0.5457
SLC6A11	-0.7555
NAP1L2	-3.7815
CNGB1	0.276
EPB41L4B	2.10475
FAM134B	2.032625
HS3ST3A1	-2.75933333333333
CPXM2	1.083
SIRPB2	0.1005
CHORDC1	-0.752833333333333
TRIB3	1.11716666666667
SLC2A5	0.67725
C2orf49	0.246
DDX5	-0.543
OR5L1	0.9835
ANAPC4	-0.337
ZSWIM1	0.78875
LOC93622	-1.03625
KCNK3	-0.1547
RP11-35N6.1	0.804625
ZFP161	0.547333333333333
AQP9	0.3995
SLC15A2	0.0991666666666667
MREG	-0.5075
OR9I1	0.4435
PDLIM2	-0.973375
ADAM7	0.4365
GSTCD	-0.28
WDR21A	0.22675
SLC12A8	0.942833333333333
TMEM174	0.423
IGSF3	-0.96275
LRRN1	-2.554
LOC402117	-0.39175
SRPK1	0.596
LY6K	-2.52033333333333
NFIA	1.5435
PTCD3	0.741125
LEP	-0.038
PCDH21	2.75866666666667
MAPKAPK2	-0.490142857142857
NMNAT1	0.953166666666667
LHFPL2	0.161625
C9orf43	-0.39975
DIP2A	-0.635833333333333
ACTR8	0.334375
CCDC34	-0.4925
PTPN22	-1.050125
ITGA3	-0.43625
FAM129C	-0.24425
RABGGTA	0.178
UNC45B	0.06675
KIAA1033	0.319625
ZNF510	-0.313833333333333
CYP2D6	0.4165
SLC26A10	-2.291
STX8	0.495
LUZP1	0.37225
WDR89	0.0763333333333334
EIF4G3	0.2422
C5AR1	0.33625
ZNF623	-0.958
A2M	-1.89125
TGM7	0.3325
GRPEL1	0.379166666666667
LMNB2	-0.7639
ROCK2	1.89483333333333
SNX16	0.553
CCDC66	-0.4675
ANXA3	3.39925
KIAA1609	-0.459625
EED	-0.8085
RNF32	1.2085
HES1	1.1074
CLC	1.44483333333333
ISL1	-0.539166666666667
KIAA0528	0.65175
MANEA	0.939
C1orf61	-1.8615
hCG_2001000	1.2955
RAPGEF6	-0.1962
KIAA0020	0.464
NEIL1	0.90375
C16orf45	-3.0095
RBM10	-2.51066666666667
C10orf125	-3.1285
MRS2L	0.15025
DNAH17	-1.4725
C19orf10	-0.8255
C1orf160	0.16825
SLFN12	-1.315
EXOC3	-0.665166666666667
HIST3H3	-0.1335
NCOR2	0.0515
TNFRSF9	0.66625
MFSD8	-0.0075
ALX1	-4.0745
NOL1	-0.565
PODN	1.16425
TIAL1	-0.7055
HIST1H1E	-2.2305
NPY6R	0.2765
TM4SF4	2.01875
CORO2A	1.626
ETNK2	-1.458
APOE	-2.1206
ANGPT4	0.1475
HDGF2	-1.15225
G30	0.946
ST8SIA4	-0.7605
F2RL1	3.203375
FAM19A4	-3.8715
CCAR1	-0.18825
B3GNT7	0.20725
OPHN1	0.2323
DSCR6	0.1055
C21orf13	-1.185
GAS2L1	-0.704666666666667
RFX3	0.252666666666667
COPS4	-0.250875
BCHE	-4.8612
BCL2	-0.367375
HBZ	-4.298
ARL13B	-1.207875
MAPBPIP	0.2125
MYO15B	2.626125
SPZ1	0.27075
KIAA1324	0.524
PLCL2	-2.184375
C4orf29	0.158
WDFY2	-0.516875
ZNF284	-0.468
NAALADL1	-0.8865
DUSP5	0.309166666666667
PXDN	-1.71914285714286
SLMO1	0.127
TNXB	0.4835
BIRC7	-0.76275
A4GALT	-1.26216666666667
TIMM22	-0.46575
FAM110C	2.83075
TOMM34	-0.325125
ABHD9	-0.244
ADAM32	1.3245
CRHBP	-0.672666666666667
AQP2	0.2905
LOC130355	0.6145
ZNF187	-0.322666666666667
ZNF816A	0.276
F7	-0.74775
CNOT1	0.1784
SLC13A4	-0.7845
ZBTB11	-0.888
B3GALT5	1.96025
EXOC2	0.1795
IRS1	-0.2092
TMEM1	0.803666666666667
MRPL34	0.229666666666667
SAMM50	-0.32225
CDC42EP3	0.1075
HSF2	-0.8266
MFN2	-0.2665
TSPAN7	-1.86483333333333
NUCB1	-0.378583333333333
RHOH	-3.1065
ARL16	-0.627
TACR1	0.20075
SFRS5	-0.932
SNX25	1.524125
RHBDF1	-0.0833333333333333
PCDH18	1.1295
HMG1L1	0.40925
MYO5C	1.3575
MAPK10	-0.08
LDHAL6A	0.287166666666667
NUDT12	0.477
NCAM1	-0.436125
GLIS2	0.557
GGTL4	0.909
DAPP1	0.85725
ATF7	0.649375
KIAA0748	-1.15275
NFIL3	0.188
TM6SF1	-1.1122
SEZ6	0.17775
NANOS3	1.9625
DNAJA3	-0.575
CLDN6	-1.51
CIITA	1.4636
EPHA4	0.0313333333333333
FANCC	-0.3375
CMTM3	-2.20325
PSG3	0.150142857142857
MRPL15	0.34625
C21orf59	0.073
PLCXD2	-0.397
C2orf34	0.19325
UBE2L6	0.308125
MED14	1.12933333333333
HP1BP3	-0.8916
C6orf208	0.025
TPBG	-2.316
OSR2	-2.208875
XPC	-1.038
KLHL7	-0.956
CCR3	0.301833333333333
AGTPBP1	-0.0291666666666667
PCSK6	-0.876
STAT5A	-0.9827
FAM18B	0.11975
LONRF2	-5.11783333333333
PTPN2	0.158
SF3A3	-1.08666666666667
EFCBP2	0.172
HCFC1	-0.75
AHNAK	-0.9827
ACTR5	-0.226
KIF14	-1.584
TENC1	-0.4985
HEATR5B	0.5095
YIPF2	0.172
MYEOV2	0.7175
DUSP18	2.40275
KIAA1012	0.3195
AHR	0.319833333333333
C17orf53	-1.68883333333333
PTPRH	0.72375
ATP6V1C1	-0.4074
TAS2R3	0.2275
LOC440356	-1.15325
COQ10B	0.6505
PSMF1	0.0656666666666667
SORBS2	1.37483333333333
NFE2L2	0.5395
TMCO7	0.5605
SH3PXD2A	-0.1379
SH2D2A	0.02275
SPINK5	0.3015
MRPS24	-0.462
OPA3	0.356375
TRAF7	-0.652333333333333
C4orf35	0.452
MT1G	0.12675
MGC39545	0.184
HS1BP3	0.913555555555556
OR2B2	0.133
CHRM4	0.5575
SFRP2	-4.08433333333333
RIC3	-0.77875
ART1	-0.759
C6orf1	0.0505
DUS4L	-0.828
C10orf104	0.82475
TNFAIP6	-0.95625
RTEL1	0.6565
CCT4	-0.1502
ZNF709	-0.724
CHMP6	-0.574666666666667
UPP2	-0.2795
CYP19A1	-1.977375
CD151	-0.633666666666667
NDUFA13	-0.154833333333333
ARFRP1	-0.700166666666667
FAM26B	-1.3635
CRYBA1	-0.8885
MRPL41	-0.0913333333333333
NPFFR2	-1.624125
HRH2	0.415
SCAMP3	-1.05783333333333
MTMR6	0.8724
MTG1	-0.912166666666667
UBTD1	-0.95425
CRABP1	-2.8155
FLJ33790	-0.5523
KIAA1908	-2.1515
GPR158	-2.06375
PACSIN3	-1.38916666666667
OMD	-0.3478
CATSPER1	-0.904
HOXB8	3.001375
FBXO46	0.812
OAS1	3.18
SVIL	0.5285
PHB2	-0.55625
ADCY3	0.7985
NDRG2	1.14783333333333
ERMAP	-0.2649
APBA2	-1.73366666666667
IGSF9	-0.22875
WNT6	0.114642857142857
MYCBPAP	-0.7065
ATP2B2	-0.1613
CPVL	-0.2904
TRAM2	-0.200666666666667
NOP5/NOP58	0.293
ZNRF4	0.276
TLK1	0.4705
MTMR12	-0.0304285714285714
ZNF384	-0.4075
FAM9B	-1.97175
RPN1	0.4174
PMVK	-0.40675
EIF3D	0.2329
SIX2	-1.393
HPS1	1.23335714285714
RNF7	0.1955
PSKH2	0.837
KCTD13	-0.4705
CSMD3	0.152333333333333
FBF1	-0.6385
IL8	-1.5095
SERPINB13	0.0546363636363636
FBXL20	-0.28975
BLR1	0.482
SH2B1	-1.14966666666667
RFNG	-0.765125
RAB20	1.68183333333333
RBM7	0.473
POLR1A	-0.351666666666667
TMPRSS4	4.216
TAF9	-0.338125
TERF2	0.0025
TNFRSF1A	-0.0304166666666666
ACADVL	-0.4495
GTF2H5	0.61
EDG8	-0.782333333333333
C9orf140	-0.18675
UST6	0.65025
ZBTB8OS	0.28925
ZNF710	0.8135
GPR174	-1.887
ATP6V0A2	0.1375
KIAA0319L	-0.735416666666667
XKRX	3.638
DOPEY2	1.5688
SDHD	0.0683333333333333
SUMF1	1.30025
OSM	0.9905
OPN3	-1.29475
DAGLB	-0.795833333333333
PPFIBP1	0.4201
TRIM63	-4.42825
C10orf53	0.299
LYPD3	-2.05566666666667
BCL7A	-0.34975
AGER	-0.874
TCF19	-1.17275
SAT2	0.55
PFTK1	-2.38133333333333
GABRE	-0.2465
C15orf38	1.7755
FIS1	-0.1275
KCNV2	0.4035
CLPS	0.7915
PPCDC	-0.671375
FOXN2	0.666833333333333
NT5E	-0.6757
CD83	0.393
IL18	3.08375
VPS16	0.31225
IGFBP2	-1.637
NOTCH2	-1.3085
SIGLEC1	0.392875
CD93	2.677
SULF2	-0.077
CEP164	-0.51125
P53AIP1	-0.115833333333333
TOR2A	-0.00916666666666666
ZNF136	-0.68475
MGP	-0.5509
CCDC144A	-1.27133333333333
TRPC1	-2.326
SMS	0.277333333333333
MAPK7	-0.595
RRAGC	0.662
PARD6A	0.3295
NUB1	0.309833333333333
SYNGR4	-0.2285
OR11H12	-0.159
WIF1	0.429625
GCH1	1.69125
OR11H4	0.072
SLC44A5	-0.0625
GPRIN2	2.11033333333333
LOC401431	-0.4915
CPA4	-2.70366666666667
MELK	-0.814888888888889
IL15RA	1.23775
CUL3	0.4325
HMBOX1	-1.13525
PODXL	-2.62025
CCT6B	-1.3435
COMTD1	1.346
MUC20	4.07366666666667
GPX2	4.695875
ITK	-1.038375
FBXL5	0.736
C13orf27	-0.7655
DEFA5	5.8445
TRHDE	1
MTP18	0.120333333333333
UQCRQ	0.8467
ITGB2	-0.149166666666667
CSRP2BP	0.67225
TAS2R44	0.553
PHPT1	0.03425
FAM44C	-0.27525
ERH	0.456
MPHOSPH1	-0.565
MORC1	-0.514
PARVB	-2.93725
LAMA1	-3.12216666666667
PGBD3	-0.0015
GIMAP6	2.57475
AREG	1.46666666666667
LIPT1	0.36075
MGC99813	-1.56525
C1orf201	0.598333333333333
GRIN2A	-0.627444444444444
MAN2C1	-1.249875
NSUN5	-0.98075
SF3B5	0.51675
MYC	-0.2018125
NRXN1	-0.557545454545455
ZNF18	0.171
SPDYA	-0.431375
SLC37A1	1.4865
DECR2	0.25825
ANKRD38	-1.111
SPTLC3	-1.83808333333333
SUPT16H	-0.6505
DTWD2	1.25625
ULBP1	-0.2145
ZADH1	-0.470833333333333
OIP5	-0.846
IL10RB	0.118833333333333
OTUB2	1.341375
VWA3A	-0.540333333333333
SPIC	0.135666666666667
OR6C4	0.425
PSCD4	-0.0616666666666667
DPY19L2P2	-1.3585
TRAPPC6A	-0.526333333333333
C21orf2	-0.834833333333333
CEMP1	-1.2685
LIN7B	-0.383
E2F7	-0.597166666666667
VCP	-0.4659375
LAMA3	3.54225
BGN	-0.586
GPR160	2.33833333333333
COCH	-3.68116666666667
GPR81	-1.48183333333333
APOBEC3F	-1.57575
tcag7.1017	-1.00575
C1orf32	0.347
SCGB1D2	-0.322
FLJ43987	0.126
C6orf170	-0.9705
KLK9	0.0435
GPD1L	0.836875
VPS37B	1.47525
ATG3	0.212833333333333
ADAMTS17	0.1165
KLHDC2	-0.383166666666667
NDUFV2	-0.15
BLK	-2.5365
MATN4	-1.245
GPM6A	-0.323571428571429
GBP4	2.96616666666667
TMEM162	0.2648
PKP2	2.7405
HRASLS	-3.867875
MMP1	-0.09275
SFXN3	-0.6457
FSD1	-1.82466666666667
ST6GALNAC3	-2.5832
CA12	1.8206
NCOA6	0.65775
C19orf58	-0.5663
PPP4R1	-0.34
MAN1A2	0.4
IKBKAP	-1.43625
UPF1	0.0515
KIAA1219	0.45925
WNT16	0.6452
SNW1	-0.30025
IL18RAP	2.59475
RPP30	-1.0665
CDC40	0.607142857142857
SETD3	0.604
SLAMF6	0.1395
ELK4	-0.219
TRIM47	-0.319333333333333
ACOX3	1.1185
TRIM6	-2.76675
KIAA0372	-0.178666666666667
TP53AP1	1.441
SMURF2	-0.24875
ADAD1	0.272
EBP	0.8813
KRTAP13-2	-0.457
FLJ36874	-0.299166666666667
TOR1A	-0.233666666666667
P2RY4	0.61
GPBP1	-0.401
TRPV1	-0.171875
ADAMTS12	-0.718833333333333
PES1	-0.4373
ATG4A	1.681
MAGEA10	-5.15975
WFS1	0.75525
CC2D1B	0.024
PABPN1	0.386125
SLC25A30	0.11825
SLCO1C1	-0.0952
SLC22A5	1.115
KIF23	-1.31083333333333
SYN2	-0.153
ASPN	3.1245
CENTG2	0.56825
QSOX2	-0.5566
FLJ10815	-0.237
STK24	0.780875
SPEG	-1.7977
STK10	-0.282333333333333
DACT2	-2.245
AAAS	-0.6025
SSX3	-0.627625
ABCD3	0.3066
C4orf12	-1.355375
PARVG	-0.7145
FIG4	0.6145
C9orf46	1.407
TMCO6	-1.125
IGHMBP2	-1.03325
DUS2L	-0.573
FAM3C	0.055875
TMEM16D	-2.040875
DCTN4	0.5105
KCNH3	-0.222
EIF2AK2	0.81075
AP1S3	2.126
CST4	0.658
PAM	-0.9854375
NUTF2	-0.195
CITED2	-1.3042
SLC39A4	0.28275
C2orf52	-0.91
GRM3	-0.5055
C12orf49	1.85675
CCDC49	-0.5771
GRAMD1B	-1.09185714285714
FNDC4	-1.438
SIAH2	-0.95075
GDPD4	-0.52275
C21orf87	-0.101625
ATP5A1	-0.198
C16orf63	-0.373625
LOC388135	-2.21916666666667
ATP5J2	-0.405625
MMP3	0.5075
EMID2	-0.11325
CRHR1	-0.05675
WDR70	-0.3745
C13orf31	2.67325
ZFAND1	0.36575
CCL18	4.66966666666667
C3orf49	1.2415
RINT1	-0.7535
KIAA0408	-1.5975
F13A1	1.3484
SLC10A1	-0.161333333333333
OGN	-0.7315
GIPC2	4.29333333333333
XPO6	-0.968166666666667
LCE1A	0.571
FMR1	1.6592
LOC374920	-0.3995
DUSP3	0.255375
ANKMY1	-0.21575
C7orf50	-1.16025
BBS9	-0.6391
UNC119B	0.10025
C9orf72	0.532625
MGC35440	0.11875
ENTPD6	0.946875
PPP1R2P9	0.839
ERCC4	0.1675
FAHD2B	-1.8445
HMHA1	-0.036
HACL1	-0.13475
RAD23A	-1.04133333333333
FAM83B	0.9345
PPP5C	-1.17733333333333
RNASEH2C	-1.2485
C9orf153	-0.68775
SCAMP4	0.0735
GHITM	0.7195
NDUFB7	-0.005625
ADCYAP1	-0.225833333333333
SP110	0.5855
MAP3K7IP2	0.367
DHH	0.11
AGRN	-0.504
WDR33	0.254
CEP290	-0.4375
PRPS1L1	-0.671666666666667
KLRA1	-0.669
GPR97	0.3
CHD7	-0.111833333333333
TLR10	0.000500000000000021
SLC30A8	-0.1365
HIC1	-0.220666666666667
IAPP	0.8395
RXFP4	0.88625
GP1BB	0.512
SHQ1	0.34
NKX2-3	0.286833333333333
API5	0.14575
FTHP1	0.36
MOV10L1	-0.3455
TRIM6-TRIM34	2.047
ADHFE1	-1.6615
FAM117A	-1.65925
DDI1	0.354333333333333
CDON	-2.571
TRIM73	-1.195
IGKC	1.935
MMP14	-0.830583333333334
DYNC1LI1	-0.41525
C11orf66	-0.2865
TRBV3-1	-1.4555
FASTKD5	0.8145
BIVM	-1.14575
LHX4	-0.56375
CXCL2	2.818
RAB2B	-0.411666666666667
IZUMO1	-0.11675
MAP3K15	-1.33825
FAM19A2	0.274166666666667
ZC3H8	0.403833333333333
ZMAT1	-1.789625
SPINK5L3	-2.525
SLC10A6	-0.83
APPL2	0.518875
CARD10	0.887666666666667
LOC402176	0.6565
EEF1D	0.0988
RAB6A	1.008
C12orf5	1.86475
PAPOLG	0.70675
MSRB2	1.1965
BCR	0.235777777777778
PUS3	0.30525
TIAM2	-0.76375
ZNF317	0.054
CHD2	0.148
FZD5	1.82277272727273
NUDT8	-0.14475
ZNF763	0.262
PRC1	-1.02677777777778
ABCB9	0.0866666666666667
SPATA3	0.24
TRAK2	0.325
STAB1	1.944375
LRRTM2	-0.0545
psiTPTE22	0.433
DBI	1.4165
SERPINA11	-2.93825
NAT5	0.36375
C20orf58	-2.309
RPS6KA4	0.439833333333333
FLJ90650	-0.3335
TGFBRAP1	-0.09625
CHRDL2	1.487625
FAHD2A	-1.716
CNTN1	-0.3715
BBS4	-1.7671
TMEM181	0.67625
MINPP1	-0.07275
MPHOSPH6	0.348583333333333
HOXC10	-1.36188888888889
ITPKB	-0.6215
CLPTM1L	-0.0665
MEOX2	-1.4776
ATP6V0C	-0.923
PRPF8	-0.901333333333333
TMC5	4.61025
FKBP3	-0.324
PLEKHB2	0.640625
OR4D6	0.341
ZNF544	-1.135
D2HGDH	0.221875
RPL18A	0.2246
HEL308	-0.473875
MPP6	-3.485
TCERG1	-1.12175
KRT16	-1.71033333333333
KLF17	-0.31525
KLF5	3.631
CDR1	-0.237857142857143
VCX3A	-3.961
FBLN2	-1.230875
C14orf104	0.193
HBE1	-6.0442
OR4S2	0.603
C1orf108	-0.203666666666667
ROBO4	2.16533333333333
CPEB4	0.111375
C11orf80	-0.734333333333333
BCKDHA	-1.39116666666667
MYOC	-0.19625
GIF	2.986
CKMT1A	3.4935
RPL3	0.5031
THBS1	1.04075
APOO	0.61575
ARMCX1	-2.37675
HSZFP36	0.309
SNAPC5	-0.508
EIF4ENIF1	0.5705
ZNF433	-1.37375
TNFRSF21	1.649125
TMPRSS7	-0.1025
SPATA18	1.7408
HPDL	-1.598
MKL2	0.0743
TBX3	-0.0111538461538462
C21orf93	0.362333333333333
DAXX	-0.3695
ELMO1	-0.29425
RGS13	1.79066666666667
TAF11	-0.6765
UNC13A	-2.125875
LOC653314	-0.2326
ORC3L	-0.48375
IMAA	-1.0425
TARBP2	-0.013
CABIN1	-0.607
TRIOBP	-0.062625
HIST1H2AC	-1.184125
RGS22	-2.8375
NCOA1	0.445
IL25	0.3085
SNCG	-0.8045
GPR6	0.962
AMDHD1	-0.627666666666667
CHEK2	-0.1295
C6orf142	-0.172
DRD4	0.1075
C14orf68	-0.797
GDF11	-2.2875
SEMG2	0.531
CD247	-1.159
CDAN1	-0.6245
RBMX2	0.8085
TGS1	-0.2455
OIT3	-0.046
SYF2	0.50175
MCM4	-1.2545
PKHD1L1	0.611625
CEP192	-0.4535
IFT88	0.5755
RPL9	0.802071428571429
RAB32	2.4695
DDX43	-3.49475
P2RX2	-0.0106666666666667
OR5D18	0.536
UBE1	-0.495416666666667
SLC24A1	0.463875
ARHGAP5	0.30875
CETP	-1.73775
KIAA1731	-0.426833333333333
SLC9A4	0.151
PTPN6	0.48875
BAHD1	0.074
GRIK3	0.089
CACNB2	-0.3081
PDE10A	-0.9715
DGCR14	-0.4965
PCDHB9	-1.3575
RHOQ	0.104666666666667
MAP3K4	0.30325
KTI12	0.08
RPL23AP13	-2.624
GNG11	-1.5285
CLCN3	1.47366666666667
GPAM	-0.320375
VSTM2A	0.7705
SLAMF7	2.01116666666667
INTS2	-0.496
PPP2CA	-0.2022
LRP12	-1.25086666666667
SEC14L2	0.140222222222222
DKFZP586H2123	1.36925
MC3R	-0.4055
CIRH1A	-1.44916666666667
HIST1H2AB	-0.3065
POLH	-0.661125
MGC16703	-1.74783333333333
SNAPC2	-1.323
FILIP1L	0.26275
RASGRP4	0.575
LRRC1	2.82575
GAS1	-3.5305
PRAC	5.052
DGKA	-0.1945
NT5C3	0.4035
PEG3	-4.2969
NADK	-0.85175
PRR17	-0.3585
LOC374569	-0.5025
SGSH	-0.110166666666667
NLRP8	0.0845
GALT	0.5135
MCF2	0.077
ZNF263	-0.7645
TACSTD1	4.30433333333333
TYR	-6.8403
ATP6AP2	0.356
RNUXA	-0.1585
ABHD10	0.0879
GDPD2	0.63575
SLC35C1	0.66975
UBE2A	0.8325
HERC5	-2.451
FAM112B	-5.20583333333333
FBXL16	-3.17175
DKFZP434A0131	-0.47475
ELA3A	-1.139
RBM41	0.427625
HAO2	-0.3165
RNH1	-0.514875
SHANK2	0.659333333333333
OSBP2	-1.336125
DAK	-1.71866666666667
C3orf58	0.58525
TCL1B	-0.5665
KBTBD2	-0.338625
SUGT1L1	1.263
UBE2E2	-2.29666666666667
MYL9	0.97625
CDC23	-0.676166666666667
PBXIP1	0.3582
CXorf40B	0.308
NBL1	1.21575
RTBDN	0.186
RAB11FIP5	-0.51075
TTTY13	1.0585
SCOTIN	-0.325833333333333
SOHLH1	-0.351
CDKN1A	1.02
NCK1	0.0435
ZNF550	-3.8465
SAPS3	0.6475
SPIN3	0.580166666666667
MAGEE2	-0.107666666666667
MIS12	-0.814166666666667
OR8H2	-0.0935
KIAA0774	-1.76016666666667
UNC5D	-0.6205
CUL7	-1.00183333333333
LIPC	-5.395
DIO1	-3.02775
C20orf11	0.0517
CTRL	-0.5055
HS3ST2	-0.676
PAK4	0.125333333333333
CCRL1	1.36
RNF10	0.18525
ZNF567	-0.58925
ZNF660	-2.0595
TCEAL3	-1.86875
MAGOH	0.756333333333333
CENPB	0.128
C19orf7	0.598
LOC388965	0.504
ZCCHC13	0.902
JMJD1A	-0.548
HIST1H4H	0.3035
TBRG1	-0.4107
GPC3	-0.21125
TAF1C	-1.21825
EBNA1BP2	-0.541666666666667
CIAPIN1	-0.31775
PDGFRA	-0.276888888888889
CSTB	0.691375
CENPI	-0.690166666666667
GTF2E2	0.0391666666666667
RPP21	0.616
CCNF	-1.20883333333333
KCNQ3	0.5645
FAM79A	1.265
SLC22A12	0.47
NOVA1	-0.9902
FZD3	1.0852
AKAP8	-0.39075
SOCS5	-0.376875
CFDP1	-0.4895
DLG5	0.07825
PGM5	-0.261083333333333
C1orf144	0.185916666666667
HDAC10	-0.7125
RND2	-0.65325
C20orf199	0.0215
RNMT	-0.28725
SLURP1	0.42625
ASTN1	-0.23225
SH3BGR	0.0695
MYCL1	0.522375
ZHX1	-0.737833333333333
CENPK	-1.4975
FOSB	0.116
LOC643406	0.76775
C2orf59	-0.890625
TMEM135	-0.508625
SLC27A2	0.78
KRT33A	0.6155
OVOL1	1.78275
PAMCI	-3.9768
S100A7	-0.9715
ZNF789	-0.14
HARS2	0.53725
RPL23A	-0.741333333333333
TCF23	0.30325
UPF3B	-0.14025
C17orf78	1.309
HLA-DOB	-0.00216666666666667
C14orf142	0.0433333333333333
TEKT5	1.09616666666667
DMWD	-0.118
POLD1	-2.10416666666667
GSCL	-1.0885
CALD1	-1.4608
SCRT1	0.3365
AIG1	1.4665
UNC84B	-1.474
ZNF404	-3.1825
TMED6	1.09425
KIAA1462	-1.052
LRRC27	1.4432
PYGO1	-0.357
PIGU	0.0976666666666667
ALAS2	-4.514
WRNIP1	0.2425
CNNM3	0.318
ZNF2	-0.3695
ST3GAL5	-1.58225
MRPL23	-0.46125
TSSK6	-0.048
PSMA6	-0.33575
C16orf70	-0.2135
KIAA1602	-0.81325
ALMS1	0.231
DCN	-0.278125
TMEM132D	-0.406
SUCLG2	1.04925
ABHD14A	-0.587
DEXI	-0.331333333333333
AMPD2	-1.161
IFNAR2	0.377833333333333
CYB5A	1.3797
TLOC1	0.18465
NXF5	-0.756166666666667
NRBF2	0.056
KCTD3	-0.16725
ITGAE	-0.233833333333333
SLC30A3	-1.92066666666667
ZRF1	-0.768
IFRD2	0.114375
XAB1	0.19425
PYCR2	-1.2505
SERPINB3	-2.7795
TMLHE	2.1322
GEFT	-1.588875
ABCA5	-0.557375
EMR4	0.3635
TSFM	0.5565
HIST3H2BB	-1.8455
ARHGEF19	-0.65575
TSPAN17	-0.005
ABCC8	-0.08775
MAP1S	-0.502166666666667
C22orf36	0.385
BNC2	-2.05735714285714
HIST1H4A	0.1785
NDUFS3	0.188333333333333
WDR3	-0.3505
XKR4	-0.224
TTC33	-0.0481428571428571
STMN2	4.282
CPN2	-0.578
HSPC105	1.6625
PCOLCE2	-6.5625
C3orf55	1.6375
KLHDC9	1.1615
TBC1D23	-0.050375
ATXN2L	-1.15216666666667
MAP2K3	0.847583333333333
SCAP	-0.09275
ZNF486	-0.5525
C20orf96	0.46925
NARS	0.21175
ADAMTSL1	-1.10428571428571
PRCC	-0.648166666666667
CCDC126	0.350333333333333
ZNF675	-1.59625
CALCOCO1	-0.282
ANKRD43	3.8865
CWF19L2	-0.383333333333333
ZBTB32	1.2525
BRAF	-0.379
ODF4	0.173
MGC14376	0.288833333333333
HORMAD1	-1.9235
AAK1	0.131083333333333
PEBP1	0.7065
TNFSF5IP1	0.449333333333333
DKFZp564N2472	0.478
RMND1	0.658625
IGKV1-5	4.86025
COL1A2	-0.0310833333333333
SERPINA5	-4.594375
AANAT	0.409
C19orf21	3.33483333333333
GEMIN5	-0.70725
UBR4	0.0146666666666667
LTBP3	-1.70816666666667
AMHR2	-2.22133333333333
PROCR	1.79075
MYBBP1A	-1.039
C20orf39	-2.018
ZNF697	0.4415
PASK	-0.6378
ZNF776	-0.175666666666667
RFXDC2	-0.326125
