Hybridization REF	TCGA-AA-A02W-01A-01R-A00A-07
FGF19	-1.55425
C14orf128	0.8955
IFIT2	-0.546
TIGD1	0.37075
S100G	-1.03
GUCY1B3	0.333
NR3C1	-3.0454
CORO1B	-0.104833333333333
PARP11	0.13825
DNALI1	1.70533333333333
OR4N4	0.259125
MAP2K6	0.9335
FSTL4	0.249
ANKRD47	0.357625
TMEM171	0.925
PNLIP	0.21575
YY1	0.4575
CCDC138	-0.526333333333333
AASDHPPT	-0.727
CKS1B	-0.8867
MCM3	-0.373666666666667
ANAPC7	-0.194666666666667
FAM110A	1.35975
CDC37L1	0.282666666666667
THTPA	0.7745
NBPF20	-0.968
WDR24	-1.04075
NPTX2	-0.26775
CBLB	1.09083333333333
CETN1	0.293166666666667
RPUSD1	-0.213
FAF1	-0.66025
CDK6	-1.2886
HMX2	0.267
CSK	-0.968333333333333
TEAD2	0.414
SNAP25	-0.694
TUFT1	0.5229
TMTC3	-0.713
LCK	-0.9905
SGOL1	-0.867833333333333
AKTIP	0.13925
FURIN	0.510125
SOX12	-0.513333333333333
DEFB103A	-0.28175
RAMP1	2.78375
KIR3DX1	-0.321
GAS2L3	-0.55125
PDE8A	-0.3098
EDN3	4.035
GMIP	0.60925
SF3A2	0.36925
FN3KRP	0.1375
SMAD7	0.41875
RHBDD2	0.2625
OR11H6	1.087
PPP1R3B	0.7668
C9orf23	0.75275
CADPS	0.65325
GOLGA8A	-1.285
TMEM57	0.159666666666667
RGL3	-0.4545
S100A14	1.66775
FGFR2	-0.0335625
XRCC3	0.152
RTN4RL2	0.2005
MGC3771	-0.7945
GH2	0.296666666666667
BTBD2	0.546
LMO2	-2.2935
RDBP	-0.145
ACRBP	-1.46675
AMY2A	1.9795
DUOXA1	0.537
PTK7	1.497
TWF2	-0.277833333333333
FAM80A	0.5775
TNNI2	-3.99
GLT25D1	-0.5225
OCC-1	0.02325
CYC1	0.685
RPL22	0.474409090909091
MORN3	1.04083333333333
DISP1	0.0015
PRB2	-0.0035
CHUK	-0.5175
HR	0.66
CCDC134	-0.10975
DENND4B	-0.8835
C14orf130	-0.628625
RAB33A	-2.2215
DCST2	0.3095
TNMD	-0.1965
PEX7	1.258
FAM62A	-0.07725
SRD5A2L	-0.59075
IL22	0.0435
RPS26	-0.640333333333333
HOXC5	-0.238
SPATA6	-0.00275
FLJ38482	0.763875
ZNF234	0.162
C18orf22	0.234
SPATA22	0.6635
THOC1	-0.671
CYP7B1	0.51675
KCNC3	0.109
C8orf42	-1.1155
ALDH1B1	1.9175
CCDC100	-0.1901
ARMC4	-2.3755
FAM18B2	0.101
SLC44A1	0.5255
FBXO17	-2.19433333333333
C6orf107	0.02475
C19orf29	-0.3915
ZC3HAV1L	0.3855
PARP6	-0.268
SULT2A1	-4.5945
C1orf159	-0.51875
TMC1	0.15275
CHST14	-0.666
GAMT	-3.40883333333333
SMCP	0.063
TSPAN33	0.709916666666667
MIDN	0.491125
NOX4	-0.00775
RNASEN	0.5044
TBX1	-2.60816666666667
SALL2	-1.73925
C10orf35	0.1525
CYP2E1	-0.56025
LRFN2	0.428333333333333
ACO1	-1.33633333333333
IQCG	-0.5941
MEGF9	0.50125
TM7SF4	0.1525
PLEKHA1	0.7328
STK33	1.30125
C1orf210	1.4295
SNUPN	-0.1979
KIAA0406	-0.1768
C20orf29	0.37425
TMEM55B	0.289
OSTM1	-1.3504375
CLCN7	-0.77025
OTP	0.11775
FLJ23049	-0.2755
HEATR4	0.662
MAP3K10	0.6665
PCDHGA9	0.1405
AMDHD2	-0.87775
LCTL	-0.9855
PDCD2L	-0.19375
CABLES2	-0.116
SLC5A9	0.10325
CLCA2	-2.38566666666667
MGC16025	0.337
STRAP	-0.4875
C20orf196	1.3905
RRBP1	1.4495
NAT13	-0.0145
MAT2B	-0.151875
CSNK1D	-0.700666666666667
KIR3DL1	0.2475
PRKAG3	-0.432
ZNF599	0.2875
PRM3	0.22
PER2	0.914
ASPHD1	-0.8455
PRMT6	-0.30925
KCNE1L	-0.249571428571429
FAM118A	2.44433333333333
TAF4	0.9535
NDUFB6	-0.58225
TRIM9	0.17575
PMFBP1	-0.5215
KY	-0.216
DKFZp762E1312	-1.14963636363636
CSMD1	-0.948
TBP	-0.108166666666667
OR1Q1	0.266166666666667
RETNLB	3.21775
HPGD	1.4765
DNAJC12	1.54116666666667
FKBP1B	-1.76575
ANKRD24	-0.262333333333333
CXXC5	0.750333333333333
IL3	-0.270375
DRAM	-0.3549
PTCH1	1.008875
TP53BP1	-0.2335
SLC17A7	-0.084125
COL25A1	-0.8968
AMACR	3.67116666666667
RHCG	1.38025
VPS13A	-0.0175
FAM55D	2.9005
PRPF38B	-0.275
OSBPL6	-1.83725
PFDN5	0.0646
CMTM6	0.78125
KCNK12	-1.433
RP2	-0.0415
C16orf52	-0.553
PICK1	-0.033
IFNE1	-1.547
SEMA4B	0.404
TYRO3	-1.11875
OR12D2	0.218
CSNK1A1	-0.31195
FANCF	1.86
LONP2	-0.06475
TBL1Y	-0.91975
LDOC1L	-0.14625
CCNC	0.08475
C3orf60	-0.40425
CHKA	-0.92425
UBAP1	0.344
MAP3K1	-0.8045
ANKRD9	-0.083
FAM92A1	1.14766666666667
GAB2	0.1425
AZU1	-0.3535
DIS3	0.5025
C21orf109	-1.06225
IQCB1	-0.046
SPATS2	-0.855
EFCAB3	0.23525
PRB3	0.35075
FUZ	-0.401333333333333
ZNF813	0.735
BMPER	-1.04866666666667
HEG1	-1.197625
ALS2CR11	-1.67675
SURF2	-0.03975
PSMC1	-0.08525
OR2D2	0.2615
SLC7A8	2.91016666666667
C4orf40	0.332
SPATA7	0.8255
MAZ	0.245416666666667
PIN4	-0.08425
PDE1A	-1.564875
TAF6L	-0.245666666666667
OR2T34	0.203
KIAA0284	0.72725
ACADS	0.396818181818182
MKRN2	-0.4605
C18orf56	-2.7145
MS4A6E	-0.128666666666667
GALNT4	3.2239
C22orf31	0.336
FLJ36070	0.0945
PSME4	-0.5005
TFG	0.1842
EPHX2	1.243875
ANXA5	-0.7895
KRTAP1-1	-0.2882
BATF	1.04275
KARS	-0.829
MSTP9	0.613
GPR26	0.1055
CCDC72	-0.21775
TEF	-0.134833333333333
FOXK1	0.3084
PRLHR	0.208
EMX1	0.15
C11orf30	-0.434125
ICK	0.58375
THSD7B	-0.0375
C21orf100	-0.5195
DUOX1	0.618
EFCAB4B	0.14625
UBE2G2	-0.5415
C3orf54	-0.81175
PARP1	-1.35675
FAM60A	0.42875
C6orf146	0.29175
OR9K2	0.576
DDX55	-0.0616666666666666
RPS15	0.546583333333333
ZNF618	-0.0181875
DKFZp686D0972	0.1865
SSPO	-0.554
SHFM3P1	-0.1715
CPA6	4.38325
JAG2	0.44025
DEFA3	0.8075
PPBPL2	0.1202
CD34	2.34575
SLCO4A1	-0.09275
AFG3L1	-1.14766666666667
SHD	1.6135
RP13-122B23.3	-0.991833333333333
PRKCSH	0.0703333333333333
DPH5	-0.234833333333333
HLA-F	1.33175
TBC1D4	1.121
RIG	-0.1355
GLUD1	-0.5815
HNRPCL1	-0.723375
HBXIP	-0.57875
RNF207	-0.138
APIP	-0.55425
PLA2G3	-0.4345
CCDC84	0.12525
MYLIP	-0.157615384615385
PHIP	-0.31175
AARS2	-0.0403333333333333
DHX32	-1.82175
SCAPER	0.332
MEN1	-0.048
NIP7	-0.64525
FLJ25404	0.6895
FASTKD3	0.5915
TMEM158	-2.40191666666667
RARA	0.492
BDH1	1.132
ANKRD16	-0.43375
CARM1	0.9175
SS18	-0.557
IKZF2	-1.35333333333333
MYD88	0.34725
PML	-0.51775
TAF1A	-0.8285
CBFB	-0.836625
HIST1H3H	-1.87983333333333
C7orf29	-0.4285
COMMD4	-1.08016666666667
DPP3	0.27875
DAB2	2.14425
LOC388882	0.191
YPEL4	-0.917125
AGBL3	0.40175
LRP6	0.6568
SERPINH1	-0.578916666666667
TLE1	0.39425
CD244	0.1385
ZDHHC15	-1.435
MGLL	0.3711
PLDN	-0.66425
LOC654346	1.2995
FAP	0.26075
GPR37	-1.398
SCARA5	0.955
EBF4	0.406272727272727
LSM6	0.13225
MLLT1	-0.537
SLC5A12	0.30525
A2BP1	-0.667166666666667
COPS5	0.343166666666667
TPM4	-0.891285714285714
TNFSF4	0.0403333333333333
ACADSB	-0.663777777777778
HERPUD1	-0.236
BCL2L11	-0.985388888888889
CEP78	-1.14975
CDCA3	-0.771125
WBSCR19	0.1054
MYO1A	4.2965
PPEF1	-0.162666666666667
LOC440348	0.15525
CPEB2	-0.593375
BPTF	-0.232
RPL21	0.8919375
GSX2	0.6935
ADPRH	0.559833333333333
C17orf68	0.135666666666667
KCNS1	-0.528833333333333
MLLT6	0.5333
PIWIL4	2.561
RNF26	-0.194
RAP1B	-0.37525
ADAMTS1	-3.566
ZNF571	0.22575
P2RY6	-0.4805
TRIM21	1.09266666666667
CADM3	0.024
NLRC5	0.6395
ADRA2B	0.275333333333333
LOC90835	-0.565875
PCF11	-0.91025
LOC400451	0.59775
GLTSCR1	0.5956
C17orf88	-0.255
CDH16	1.27175
FGF7	0.4
PCSK4	1.20566666666667
NPC1L1	-0.714333333333333
TAT	0.464375
TBCA	-0.765
MGC33407	-0.12775
GPR115	1.786
CYGB	-0.1185
FNBP4	-0.523666666666667
C12orf43	0.054
CBL	-0.2677
CLECL1	-0.341
PPAPDC1A	-0.5885
WDR25	-0.0435
SGCA	2.203
C22orf29	0.23
YIPF1	0.26125
GALK2	-0.5645
RAB3B	-3.70508333333333
LOC440087	-0.38675
UCP1	-0.147
REEP5	0.252
FADD	-0.4354
FOXA1	-1.9335
CACNA1A	0.133833333333333
ABI1	0.300333333333333
GRIN2D	0.51675
SLC1A4	-0.0585
LOC401127	-0.9845
HINT2	0.17975
PLD4	-0.354833333333333
ZNF286A	-1.3125
ENY2	0.26
IL1F6	0.3385
PXDNL	-0.01225
C20orf79	0.64225
TNFSF13B	1.143
DENND3	0.076875
JARID1D	-2.334
HIST1H2AK	-0.740625
LOC93349	-0.8022
SSH1	-0.711
ENSA	-0.75475
LOC219854	0.0726666666666667
CKAP2	-0.3051
DKFZP564J102	-0.0841666666666667
MGC87315	0.0313333333333333
HNRPAB	-0.6695
AMH	-2.6135
ZNF526	0.682
BRUNOL5	0.0687
CACNG3	0.191333333333333
TRPM1	-1.1735
PPP2R1A	-0.067
COL2A1	-0.9085
DDN	-0.0561666666666667
FLJ25770	0.0512727272727273
HK2	-0.233642857142857
ELOVL6	-1.057125
MDK	0.55025
EPHX1	-0.61025
RASSF2	-0.223875
DKFZP434B0335	-0.0925
DLX3	0.526625
PRTN3	-0.5615
AVPR1A	0.019
C21orf125	-1.64575
TNFAIP8	-1.96933333333333
GNB2L1	-0.681
CALCRL	0.82125
SCGB2A2	-0.187166666666667
UBXD7	-0.01625
ZNF674	-0.5995
TMEM35	1.456125
BRSK2	1.179375
HECTD3	0.0783333333333333
TMEM188	0.133083333333333
LGALS9	1.241625
SCARB2	0.176333333333333
USP34	-0.382916666666667
C17orf28	0.706083333333333
ZDHHC23	0.82825
AQP12B	2.3455
SLC16A3	-1.3205
APLP2	0.697375
ITIH2	-6.30375
MICAL3	0.33025
TNNI3K	-0.1471
HDAC2	0.39325
PRR7	0.1812
THBS2	-2.40125
LOC751071	0.387333333333333
CA2	-2.10433333333333
RANBP17	0.801
RLN3	0.0775
CRYZ	-0.6445
GBAS	0.550666666666667
TAS1R1	-0.7935
MPZL3	0.4605
PCDH8	2.44475
HSP90B1	0.485
KCNK15	-0.557
TNIP2	-0.318833333333333
GPR146	-1.19325
NOL6	0.413
SPC25	-2.20377777777778
STEAP2	2.01735714285714
VAMP3	-0.277666666666667
TCIRG1	-0.55275
ZP4	-0.308666666666667
PARL	-0.363875
TRIM39	0.0983333333333333
KIAA1305	2.8
CRNN	0.194166666666667
GRN	0.815
HSH2D	-0.15425
SCAMP1	-0.06575
KIAA1913	1.89475
PTS	-0.39725
BANP	-0.211928571428571
PRKACG	-0.1245
ADCY6	0.385166666666667
C16orf46	0.136
CYP51A1	0.280375
DDC	3.199
ANPEP	-1.88316666666667
PROM1	2.47933333333333
SIGLEC10	0.8165
COPG	0.267
FAM26E	-0.031625
TRIP4	-0.156
SNX3	-0.140666666666667
C1orf175	1.99066666666667
PPY2	0.12275
C14orf152	-0.4765
FTSJ1	-0.398166666666667
DST	-0.0921
LOC554235	0.851
GLRX5	-0.21825
C20orf12	1.4733
CAB39	0.3545
MSH2	-1.11083333333333
PIP4K2C	0.535125
CYLD	0.024
WTAP	0.3735
MGAT4A	0.101888888888889
TSC22D4	-0.5408
CHRM2	0.561
PPYR1	0.0908333333333333
CCNH	-0.875166666666667
RRM1	-0.85075
ECAT8	-3.861
LOC400120	-0.106
GABRA4	0.29175
C14orf4	0.421333333333333
C1orf59	0.00625
CTDSPL	1.01175
NHEDC2	-1.7555
PDE11A	-0.7835
KLHL29	1.59925
CD5	-0.7592
TSPAN9	-0.0756875
WDR67	0.175
THUMPD1	0.7678
C18orf17	-1.72125
CLYBL	2.19833333333333
FLJ13231	-0.4285
CMBL	1.549375
LECT2	-0.15875
NKAPL	0.535
LOC654780	0.5005
OR4C6	0.756
RAB30	-1.42316666666667
TSSK4	-0.158
TMEM163	0.3985
OSBPL11	-0.141916666666667
GNB5	-2.25616666666667
CCL21	0.7655
C1orf121	-0.519833333333333
FMO2	0.4265
RPTN	1.216
MSTN	0.9915
VCL	-0.642857142857143
FYTTD1	-0.57425
C11orf1	0.8715
CCDC88C	0.4211875
HFE	-0.202333333333333
MOGAT1	2.6535
FAM125B	0.572
IRGQ	0.2785
RAVER2	1.29325
AKAP5	-0.01
SSSCA1	-0.56125
C11orf63	-0.06625
ACTG2	2.1208
PORCN	-0.997
DTL	-1.99054545454545
TMEM151	0.244
FAM122C	-0.335
RSAD2	0.6762
BAT4	-0.6835
KRTDAP	-0.9375
MYH8	-0.34
CRTC3	-0.605
LRRFIP2	0.392
INTS4	-0.374666666666667
TTN	-1.12733333333333
SLC26A5	0.21
PLLP	-0.77575
RGS6	-0.046875
SRGAP3	0.10225
ZNF525	0.847833333333333
NBR2	-0.110666666666667
C13orf1	0.9574
ZNF137	-0.0995
CEP27	-1.334
BEST2	0.43
RNF121	-0.1765
DMRTC2	0.53075
C8orf76	0.89825
BCCIP	-0.6905
MEST	0.97875
HTRA2	0.035
ANGPTL2	-1.35875
ILKAP	0.212166666666667
ERAS	0.354
HBS1L	-0.84225
CPA5	0.0525
TMEM30A	-0.704833333333333
CD300LF	1.19383333333333
WISP3	-0.0385
CRK	0.0202142857142857
PDS5A	-0.7505
BRPF3	0.48
NEDD9	-0.470875
SMPDL3B	1.7255
PSG6	1.11675
PSMD13	0.0945
ETV5	-1.6231875
OR51A4	0.0715
BTBD7	0.62175
GSTO1	-1.075875
hCG_16001	0.5915
MAD2L1BP	-0.181333333333333
COX6A2	0.6745
SCNN1A	2.781
LSM1	-1.36716666666667
UGT2B11	-2.15825
IDUA	-0.14325
PPP2R3C	-0.0926666666666667
COX11	0.281
PDZK1	-4.8285
ZNF443	0.9165
MGC21874	-0.137
ZNF323	0.8295
KRTAP10-10	0.3435
CXCL6	0.8765
SLC34A2	0.0464
LOC284402	-0.0625
NPTN	-0.2555
UPP1	-1.43041666666667
SLC6A9	-0.732
OR7G3	-0.1845
CISD1	-0.321833333333333
ZNF545	-2.71933333333333
SYT14	-0.5055
NT5C3L	-0.190166666666667
ZNHIT3	-0.0718333333333333
SNRPD3	-0.552
KIAA0701	-0.707875
UNC93B1	0.543333333333333
GMNN	-0.962375
SPCS2	0.0705
LOC388524	0.201
NAPRT1	1.24675
PNLIPRP1	0.3435
OR6V1	0.489
PRKAB1	2.06975
EYA4	-1.732
KIF20A	-2.03625
ALG10	-0.2805
ITPKC	0.602833333333333
LMX1B	-0.0153333333333333
RPUSD4	0.448
C7orf34	-0.165666666666667
DLGAP2	-0.05675
PFN1	-0.2946
MICALL2	-0.477916666666667
ZNF654	-0.276
SS18L1	-0.226625
SLC16A8	0.1855
MKI67IP	0.397
ITGB3	-1.5585
TCEA3	1.61608333333333
CEP152	-1.0128125
CLIP1	0.511625
ZNF75	0.8898125
ATP5C1	-0.7945
NUDT5	-0.917666666666667
PSCDBP	-0.56925
UBP1	0.7385
RBM27	-0.821
C13orf15	2.220875
ZNF282	0.0415
ZNF222	-0.78
COL10A1	3.4465
PRDM15	-0.55925
TTTY5	-0.038
FAM9C	-0.607083333333333
C20orf67	0.621
GNG13	-0.0675
F12	0.81475
C1orf41	-0.815
CPXCR1	0.0035
GSK3A	-0.081
SUPT6H	-0.0111666666666667
PI16	-0.44
ELL2	-1.68291666666667
C9orf167	-1.41483333333333
PVRL3	-0.2344
FLJ38596	0.2455
ADAM20	-0.049
GPR89A	-0.2885
GPR87	-3.305
ZNF30	0.051
SMR3B	0.25725
ZNF770	-0.155375
TRPC4AP	0.095
DKFZP686E2158	0.375166666666667
C2orf28	0.185
FREM1	3.5605
LAMA4	-0.1505
ADPRHL2	-0.346
EIF4G2	0.269666666666667
GUCA1A	-0.185
CTNNA2	-0.922375
NUDT15	0.941833333333333
CEPT1	-0.257666666666667
ZNFX1	0.5794
CCDC92	0.6965
TDRD1	-0.402
KCNK5	1.94
ETNK1	0.113833333333333
LTA	0.012
TTPA	0.818
B3GALNT2	-0.6415
SC65	-0.239333333333333
PEX5L	-0.857375
EPS15L1	-0.67625
MGEA5	-0.089375
HIST1H3A	0.1595
ING1	0.2535
BCAT1	-4.41975
ORC6L	-1.337
KLK11	-2.4095
C19orf28	-1.21575
DNER	-4.006875
MED22	-1.31921428571429
ETV6	0.80725
CHAC2	-1.8075
CD300E	-0.069
CEBPB	-0.252333333333333
ZNF398	-0.3275
LRCH3	-0.1355
HMGA1	-0.00133333333333333
CAPN7	0.1355
MGC5566	-2.932
CCL3	2.17285714285714
NANOS1	-1.0695
ZFYVE19	-1.179
APITD1	-0.467166666666667
PARD3	0.241
IRAK4	-0.023
SERPINI2	0.007
CEP170L	-2.3585
TTC9	0.30325
MYOM3	1.99325
MLPH	-2.98525
LOC222699	-0.1235
NRG1	-1.519
TBC1D9	-2.04472727272727
TTK	-0.719166666666667
ZNF557	0.3089
DDX41	-1.05083333333333
FANK1	-1.651
UBE2D2	-0.187875
PSMB10	0.3075
MYH7B	1.106
GABARAPL2	-0.997125
MARVELD2	1.90466666666667
DGCR2	0.409166666666667
UNC45A	-0.569
C6orf72	-0.103
ZNF683	1.77775
GIT2	-0.27
CASK	2.00816666666667
C14orf161	0.5125
LRRC44	0.7255
TIFA	-0.78375
UTP11L	-1.1675
C6orf65	-0.84275
FDPS	-1.01625
DUSP9	-1.8514
SLC17A8	0.436
OR51G1	0.179333333333333
NANS	-0.608
OLFML1	0.4745
ATP10B	3.065375
NPAS3	-1.4605
PRKCA	-0.319
GGA2	-0.7071875
LCE4A	0.3755
SPANXN3	-0.238
CCDC115	0.61575
SDCCAG3	-0.84575
GLIPR1L1	-0.0245
TTC1	-0.3805
C17orf76	3.5425
MAD2L2	-1.544
HIPK1	-0.7711
LRRC3B	-0.1105
CLN3	-0.258136363636364
C17orf47	0.2165
FMN2	-1.292625
TUBB1	-1.242125
WAPAL	0.171166666666667
C3orf21	-1.194875
SCN5A	0.1126
SMYD1	-0.21925
BEX5	0.759
ZNF192	-0.468
SEC22A	-0.017
GRIA2	0.0432857142857143
KIAA0825	-1.09925
NUSAP1	-2.06418181818182
LANCL1	-0.51825
C15orf40	-0.6416
ZNF645	0.20125
GPR61	0.159
NLRP14	0.2515
SNX21	-0.4609
C1QTNF8	0.122
C17orf46	0.40725
IFNA8	0.261
SPRR1B	-1.05616666666667
FLRT1	-0.223
SNX17	-0.477333333333333
ASB2	0.185166666666667
HBG1	-6.8115
RPRML	-1.68775
JOSD2	0.135
PLSCR3	-0.05525
SPOCD1	-1.31116666666667
RAB39	0.436
GHRH	0.1895
ITIH5L	-0.0055
C17orf37	0.689
SMCR8	-0.044
DPY19L2P3	-0.819166666666667
IL11RA	-0.26
GDF3	-4.72633333333333
RPS6KB1	-1.39216666666667
DNAJC19	0.2287
TOP1	0.71875
CRCT1	-0.58625
MPST	1.161375
DPM2	-0.103125
FAM38B	-3.74816666666667
SLC18A1	-1.36433333333333
FARP1	0.440833333333333
PAX7	0.09275
TUBD1	-1.04675
GNL3	0.6205
BTG2	1.51493333333333
NDUFS6	0.41375
C1orf79	-0.202
ERAL1	-0.028
ECHS1	0.30425
VPS4A	-0.562166666666667
CYP11A1	-0.63075
ABCC6	0.0337857142857143
PBX4	-0.0495
MOSC1	0.542125
NCF4	0.21175
HYMAI	-0.665
NAGPA	-0.20575
OTOP2	0.33225
ACOT12	0.30975
MTHFD2L	-0.672
LOC441376	-1.3425
C19orf34	-0.8455
RAB1B	-0.15175
ALDOAP2	-0.879
NTRK1	-1.7635
ARTS-1	0.2008
SLC6A11	-0.6495
NAP1L2	-3.19725
CNGB1	-0.0771666666666667
EPB41L4B	0.82
FAM134B	2.190875
HS3ST3A1	-2.53766666666667
CPXM2	2.67325
SIRPB2	0.0785
CHORDC1	0.3775
TRIB3	0.0493333333333333
SLC2A5	0.02225
C2orf49	-0.329666666666667
DDX5	-0.8015
OR5L1	0.866
ANAPC4	-0.2505
ZSWIM1	0.846
LOC93622	-0.644875
KCNK3	-0.0596
RP11-35N6.1	-0.505625
ZFP161	-0.1915
AQP9	0.7
SLC15A2	-0.419833333333333
MREG	-1.44283333333333
OR9I1	0.423
PDLIM2	-1.17825
ADAM7	0.3435
GSTCD	-0.265333333333333
WDR21A	0.929125
SLC12A8	1.7525
TMEM174	0.06475
IGSF3	-0.46575
LRRN1	-1.10825
LOC402117	-0.07375
SRPK1	0.554333333333333
LY6K	-2.6235625
NFIA	1.704
PTCD3	0.270375
LEP	-0.1375
PCDH21	3.0155
MAPKAPK2	-0.509071428571429
NMNAT1	0.713833333333333
LHFPL2	-0.516
C9orf43	0.385
DIP2A	-0.936666666666667
ACTR8	0.33725
CCDC34	-0.453
PTPN22	-1.369125
ITGA3	0.24275
FAM129C	-0.03375
RABGGTA	-0.00116666666666667
UNC45B	0.00625
KIAA1033	0.203625
ZNF510	-0.167166666666667
CYP2D6	0.359833333333333
SLC26A10	-1.959
STX8	-0.40625
LUZP1	0.095375
WDR89	0.416166666666667
EIF4G3	-0.5399
C5AR1	0.311625
ZNF623	0.778
A2M	-0.732
TGM7	0.4425
GRPEL1	0.0256666666666667
LMNB2	-0.5083
ROCK2	1.01516666666667
SNX16	0.570875
CCDC66	-0.46025
ANXA3	1.97725
KIAA1609	-0.84575
EED	-0.556
RNF32	1.176
HES1	1.5066
CLC	0.291666666666667
ISL1	0.349166666666667
KIAA0528	0.65725
MANEA	-0.248125
C1orf61	-1.812
hCG_2001000	0.6215
RAPGEF6	-0.1976
KIAA0020	0.494333333333333
NEIL1	0.826
C16orf45	-2.622375
RBM10	0.167
C10orf125	0.363125
MRS2L	-0.2725
DNAH17	0.275625
C19orf10	-0.806
C1orf160	0.24375
SLFN12	-1.70625
EXOC3	0.898333333333333
HIST3H3	-0.2955
NCOR2	0.00233333333333334
TNFRSF9	1.02225
MFSD8	-0.93425
ALX1	-4.179
NOL1	-0.216
PODN	1.5345
TIAL1	-0.94225
HIST1H1E	-2.24625
NPY6R	0.22775
TM4SF4	3.92225
CORO2A	0.1325
ETNK2	-0.5765
APOE	-1.7198
ANGPT4	0.2595
HDGF2	-0.7365
G30	-0.287
ST8SIA4	-1.318375
F2RL1	2.317125
FAM19A4	-4.309
CCAR1	-0.08775
B3GNT7	0.26475
OPHN1	-0.1944
DSCR6	-0.0835
C21orf13	-0.409833333333333
GAS2L1	-0.646666666666667
RFX3	0.275
COPS4	-0.94
BCHE	-4.86816666666667
BCL2	-1.6205
HBZ	-3.93516666666667
ARL13B	-0.0535
MAPBPIP	0.002125
MYO15B	2.23425
SPZ1	0.7555
KIAA1324	2.18511111111111
PLCL2	-2.205375
C4orf29	-0.89125
WDFY2	-1.041125
ZNF284	-0.3895
NAALADL1	0.3775
DUSP5	-1.20666666666667
PXDN	-1.557
SLMO1	0.2045
TNXB	0.5359
BIRC7	-0.49075
A4GALT	-0.758333333333333
TIMM22	-0.6875
FAM110C	1.1915
TOMM34	0.65675
ABHD9	0.483
ADAM32	-0.1955
CRHBP	-0.9435
AQP2	0.3235
LOC130355	0.229
ZNF187	0.0678333333333333
ZNF816A	0.8605
F7	-0.651
CNOT1	0.8684
SLC13A4	-1.0675
ZBTB11	-0.12475
B3GALT5	0.0005
EXOC2	0.5285
IRS1	-0.5604
TMEM1	0.386166666666667
MRPL34	-0.805833333333333
SAMM50	-0.7065
CDC42EP3	-0.137
HSF2	-0.7688
MFN2	-0.83575
TSPAN7	-0.261166666666667
NUCB1	0.0625
RHOH	-3.2225
ARL16	0.041
TACR1	-0.102
SFRS5	-0.543166666666667
SNX25	0.892875
RHBDF1	0.516666666666667
PCDH18	1.6935
HMG1L1	0.458
MYO5C	1.640625
MAPK10	-0.033
LDHAL6A	0.0141666666666667
NUDT12	0.428
NCAM1	-0.21375
GLIS2	0.463
GGTL4	-0.54525
DAPP1	-1.6985
ATF7	0.384375
KIAA0748	-1.2845
NFIL3	-0.245
TM6SF1	-0.4607
SEZ6	0.048125
NANOS3	0.822166666666667
DNAJA3	-0.0446666666666667
CLDN6	-1.8065
CIITA	1.143
EPHA4	-1.92466666666667
FANCC	0.00124999999999999
CMTM3	-1.822375
PSG3	0.1295
MRPL15	0.66425
C21orf59	-0.44175
PLCXD2	0.24475
C2orf34	0.00837499999999995
UBE2L6	0.1785
MED14	0.535833333333333
HP1BP3	-0.7424
C6orf208	0.1595
TPBG	-2.31375
OSR2	-0.452875
XPC	0.318333333333333
KLHL7	-0.714916666666667
CCR3	0.0658333333333333
AGTPBP1	-0.231166666666667
PCSK6	-1.24613333333333
STAT5A	-1.8763
FAM18B	-0.3875
LONRF2	-4.0965
PTPN2	-0.32725
SF3A3	-0.5145
EFCBP2	-0.22375
HCFC1	-0.242833333333333
AHNAK	-0.5907
ACTR5	0.62775
KIF14	-2.34628571428571
TENC1	-0.09075
HEATR5B	0.2975
YIPF2	0.375666666666667
MYEOV2	-0.115666666666667
DUSP18	2.0755
KIAA1012	-0.1125
AHR	-0.0586666666666667
C17orf53	-0.817333333333333
PTPRH	-0.2865
ATP6V1C1	0.6921
TAS2R3	-0.017
LOC440356	-1.3535
COQ10B	-0.32225
PSMF1	1.09841666666667
SORBS2	2.7125
NFE2L2	0.2455
TMCO7	-0.3215
SH3PXD2A	-0.5079
SH2D2A	0.79475
SPINK5	-1.15475
MRPS24	-0.4285
OPA3	0.16575
TRAF7	-0.379166666666667
C4orf35	0.0555
MT1G	-0.742875
MGC39545	0.34425
HS1BP3	0.5839
OR2B2	0.1105
CHRM4	0.038
SFRP2	-1.37441666666667
RIC3	-1.15025
ART1	-0.0645
C6orf1	-0.108375
DUS4L	-0.329
C10orf104	-0.569
TNFAIP6	-0.4235
RTEL1	0.18275
CCT4	-0.4073
ZNF709	-0.008
CHMP6	0.0958333333333333
UPP2	0.231
CYP19A1	-3.079625
CD151	0.3055
NDUFA13	-0.614333333333333
ARFRP1	-0.276666666666667
FAM26B	-0.3465
CRYBA1	-1.343
MRPL41	-1.07166666666667
NPFFR2	-0.997
HRH2	0.2125
SCAMP3	-0.8805
MTMR6	0.0652
MTG1	-0.676
UBTD1	-0.37775
CRABP1	-2.4865
FLJ33790	0.0026
KIAA1908	-1.28533333333333
GPR158	-1.32075
PACSIN3	-0.472833333333333
OMD	0.353166666666667
CATSPER1	-0.569833333333333
HOXB8	4.2815
FBXO46	1.147
OAS1	2.574
SVIL	0.63125
PHB2	-0.26375
ADCY3	0.613
NDRG2	1.60166666666667
ERMAP	0.2052
