Hybridization REF	TCGA-AA-A01G-01A-01R-A002-07
C1orf32	0.5725
SCGB1D2	-1.2495
FLJ43987	-0.1855
C6orf170	0.32175
KLK9	0.112
GPD1L	0.91325
VPS37B	1.42225
ATG3	-0.0935
ADAMTS17	0.0755
KLHDC2	-0.821333333333333
NDUFV2	-0.6405
BLK	-2.89325
MATN4	0.125
GPM6A	-0.268857142857143
GBP4	3.60866666666667
TMEM162	0.167833333333333
PKP2	3.0225
HRASLS	-1.455
MMP1	0.39825
SFXN3	-0.6249
FSD1	-2.22666666666667
ST6GALNAC3	-1.839
CA12	1.5264
NCOA6	1.08975
C19orf58	-0.7656
PPP4R1	-0.324166666666667
MAN1A2	0.505166666666667
IKBKAP	-1.215
UPF1	0.082
KIAA1219	0.7165
WNT16	0.19475
SNW1	-0.203875
IL18RAP	3.16875
RPP30	-0.224125
CDC40	0.256
SETD3	0.6445
SLAMF6	-0.38675
ELK4	0.042
TRIM47	-0.288333333333333
ACOX3	0.61175
TRIM6	-2.759
KIAA0372	-0.170333333333333
TP53AP1	0.37625
SMURF2	-0.252
ADAD1	0.04375
EBP	0.521
KRTAP13-2	0.088
FLJ36874	-0.0408333333333333
TOR1A	-0.604
P2RY4	0.9805
GPBP1	-0.22675
TRPV1	-0.5345
ADAMTS12	-0.85
PES1	-0.4855
ATG4A	0.612333333333333
MAGEA10	-4.28125
WFS1	0.724
CC2D1B	-0.176666666666667
PABPN1	0.600125
SLC25A30	0.57525
SLCO1C1	-0.351
SLC22A5	1.24775
KIF23	-0.864666666666667
SYN2	-1.13883333333333
ASPN	4.58866666666667
CENTG2	0.674
QSOX2	-0.6713
FLJ10815	-0.1165
STK24	0.6799375
SPEG	-1.5829
STK10	-0.288
DACT2	0.4965
AAAS	-0.60325
SSX3	-1.37242857142857
ABCD3	0.5386
C4orf12	-1.442125
PARVG	-1.10416666666667
FIG4	-0.50225
C9orf46	1.17075
TMCO6	-0.5735
IGHMBP2	-0.91525
DUS2L	-0.3735
FAM3C	-0.208625
TMEM16D	-2.164375
DCTN4	0.14025
KCNH3	0.27525
EIF2AK2	1.1025
AP1S3	1.532375
CST4	2.0565
PAM	-0.289125
NUTF2	0.00275
CITED2	-1.1956
SLC39A4	0.19975
C2orf52	-0.792
GRM3	-0.2625
C12orf49	1.476875
CCDC49	0.0287
GRAMD1B	-1.393375
FNDC4	-1.18175
SIAH2	-0.585875
GDPD4	0.14225
C21orf87	-0.023375
ATP5A1	-0.219333333333333
C16orf63	-0.324125
LOC388135	-1.514
ATP5J2	-0.455375
MMP3	0.8055
EMID2	-0.11925
CRHR1	0.1945
WDR70	-0.20125
C13orf31	2.4275
ZFAND1	0.627
CCL18	4.64416666666667
C3orf49	1.3445
RINT1	-0.57
KIAA0408	-2.2035
F13A1	1.7329
SLC10A1	0.110166666666667
OGN	-3.298
GIPC2	4.00133333333333
XPO6	-0.0146666666666667
LCE1A	0.476
FMR1	0.9843
LOC374920	0.8315
DUSP3	0.157625
ANKMY1	-0.8365
C7orf50	-0.6395
BBS9	-1.092
UNC119B	-0.067875
C9orf72	0.319125
MGC35440	-0.37125
ENTPD6	1.234375
PPP1R2P9	-0.084
ERCC4	-0.183
FAHD2B	-1.048
HMHA1	-0.325
HACL1	-0.46025
RAD23A	-0.399
FAM83B	1.395
PPP5C	-0.2795
RNASEH2C	-0.673625
C9orf153	0.126666666666667
SCAMP4	-0.123875
GHITM	0.8416
NDUFB7	0.074
ADCYAP1	0.3245
SP110	0.0813333333333333
MAP3K7IP2	0.237
DHH	0.3865
AGRN	-1.15435714285714
WDR33	0.261166666666667
CEP290	0.163833333333333
PRPS1L1	-1.415
KLRA1	-0.0975
GPR97	-0.047
CHD7	1.168
TLR10	0.057
SLC30A8	-1.669
HIC1	0.139166666666667
IAPP	0.476
RXFP4	2.248
GP1BB	0.401
SHQ1	0.535
NKX2-3	0.449833333333333
API5	-0.02375
FTHP1	-0.215
MOV10L1	0.150333333333333
TRIM6-TRIM34	1.92966666666667
ADHFE1	-1.91525
FAM117A	-1.237
DDI1	0.20325
CDON	-1.64
TRIM73	0.0275
IGKC	3.669
MMP14	-0.602666666666667
DYNC1LI1	-0.85075
C11orf66	-0.13975
TRBV3-1	-1.62033333333333
FASTKD5	0.50475
BIVM	-0.737
LHX4	-0.2415
CXCL2	3.2371
RAB2B	-0.391166666666667
IZUMO1	0.1165
MAP3K15	-1.451625
FAM19A2	-0.0515
ZC3H8	0.251
ZMAT1	-1.464625
SPINK5L3	-2.15475
SLC10A6	-0.0305
APPL2	0.402625
CARD10	0.35
LOC402176	1.010625
EEF1D	0.6711
RAB6A	0.8974
C12orf5	0.8665
PAPOLG	-0.1565
MSRB2	0.2175
BCR	0.326944444444444
PUS3	0.355
TIAM2	-0.41025
ZNF317	0.251833333333333
CHD2	0.135714285714286
FZD5	1.76409090909091
NUDT8	-0.50975
ZNF763	-0.1145
PRC1	-0.886777777777778
ABCB9	-0.511333333333333
SPATA3	0.3855
TRAK2	0.09775
STAB1	2.16625
LRRTM2	-0.3645
psiTPTE22	0.37725
DBI	0.88875
SERPINA11	-3.24175
NAT5	0.5065
C20orf58	-2.30175
RPS6KA4	0.693333333333333
FLJ90650	-1.22566666666667
TGFBRAP1	0.13
CHRDL2	1.244875
FAHD2A	-0.940166666666667
CNTN1	-0.602666666666667
BBS4	-1.7224
TMEM181	0.71
MINPP1	-0.0665
MPHOSPH6	0.07825
HOXC10	-1.9377
ITPKB	-0.805625
CLPTM1L	-0.276875
MEOX2	-2.23566666666667
ATP6V0C	-0.541125
PRPF8	-1.52083333333333
TMC5	3.4945
FKBP3	-0.4105
PLEKHB2	-0.2005
OR4D6	-0.1655
ZNF544	0.9217
D2HGDH	0.046375
RPL18A	-0.0673
HEL308	-0.38175
MPP6	-2.7205
TCERG1	-0.679
KRT16	-2.42433333333333
KLF17	-0.7705
KLF5	3.78
CDR1	0.45275
VCX3A	-3.2085
FBLN2	-0.742875
C14orf104	0.24075
HBE1	-4.7178
OR4S2	1.291
C1orf108	-0.124166666666667
ROBO4	2.869
CPEB4	-0.388875
C11orf80	-0.959833333333333
BCKDHA	-0.0326666666666667
MYOC	0.0475
GIF	1.5275
CKMT1A	2.569
RPL3	0.2011
THBS1	1.571625
APOO	-0.0635
ARMCX1	-2.513
HSZFP36	0.9115
SNAPC5	-0.83275
EIF4ENIF1	0.93175
ZNF433	-1.562
TNFRSF21	0.75725
TMPRSS7	-0.458
SPATA18	0.44
HPDL	1.358
MKL2	0.4127
TBX3	0.254307692307692
C21orf93	0.2862
DAXX	-0.50275
ELMO1	-0.358125
RGS13	3.433
TAF11	-0.5305
UNC13A	-2.282375
LOC653314	0.2726
ORC3L	-1.0745
IMAA	-0.365
TARBP2	-0.21075
CABIN1	0.257
TRIOBP	-0.0874375
HIST1H2AC	-0.204875
RGS22	-3.74133333333333
NCOA1	-0.0145
IL25	0.55
SNCG	-1.029
GPR6	0.617
AMDHD1	-2.68333333333333
CHEK2	0.258375
C6orf142	-1.27975
DRD4	-0.00299999999999997
C14orf68	-0.959
GDF11	-0.2315
SEMG2	0.453
CD247	-0.57425
CDAN1	-0.516
RBMX2	0.158666666666667
TGS1	0.05675
OIT3	1.251
SYF2	-0.0235
MCM4	-0.437
PKHD1L1	0.58925
CEP192	-0.172666666666667
IFT88	0.551
RPL9	0.571
RAB32	1.174125
DDX43	-2.5335
P2RX2	0.198
OR5D18	1.262
UBE1	-0.696666666666667
SLC24A1	-0.346625
ARHGAP5	0.5915
CETP	-1.4535
KIAA1731	-0.202
SLC9A4	0.3555
PTPN6	0.47975
BAHD1	0.2405
GRIK3	-0.357
CACNB2	0.0162
PDE10A	-1.55366666666667
DGCR14	-0.57875
PCDHB9	-1.14
RHOQ	0.299333333333333
MAP3K4	0.09225
KTI12	0.191666666666667
RPL23AP13	-1.65475
GNG11	-2.38625
CLCN3	1.7965
GPAM	-0.054375
VSTM2A	0.619
SLAMF7	2.03916666666667
INTS2	0.10075
PPP2CA	-0.0963
LRP12	0.0138666666666667
SEC14L2	0.054
DKFZP586H2123	2.08325
MC3R	-0.159
CIRH1A	-0.942
HIST1H2AB	-0.0753333333333333
POLH	-1.14785714285714
MGC16703	-2.12216666666667
SNAPC2	-0.8115
FILIP1L	0.52125
RASGRP4	0.527
LRRC1	2.30175
GAS1	-3.293
PRAC	-0.771
DGKA	-0.77
NT5C3	-0.119
PEG3	-4.38618181818182
NADK	-0.78975
PRR17	-1.23
LOC374569	0.154
SGSH	-0.697166666666667
NLRP8	0.0675
GALT	-0.2078
MCF2	-0.7765
ZNF263	0.07275
TACSTD1	3.753
TYR	-6.4175
ATP6AP2	-0.26675
RNUXA	-0.48575
ABHD10	-0.0637
GDPD2	1.0235
SLC35C1	0.79875
UBE2A	0.447875
HERC5	-1.7975
FAM112B	-4.74966666666667
FBXL16	-1.65825
DKFZP434A0131	-0.1485
ELA3A	-1.891
RBM41	-0.739625
HAO2	0.34175
RNH1	-0.98825
SHANK2	1.1795
OSBP2	-1.288625
DAK	-1.06983333333333
C3orf58	1.34375
TCL1B	-0.794
KBTBD2	-0.599875
SUGT1L1	0.93275
UBE2E2	-2.361
MYL9	1.127
CDC23	-0.578166666666667
PBXIP1	-0.5552
CXorf40B	0.183
NBL1	0.944
RTBDN	0.285
RAB11FIP5	-1.057125
TTTY13	0.6545
SCOTIN	-0.281916666666667
SOHLH1	-0.74
CDKN1A	0.147642857142857
NCK1	-0.11
ZNF550	0.645
SAPS3	0.539666666666667
SPIN3	0.492
MAGEE2	-0.378
MIS12	-1.12533333333333
OR8H2	0.185
KIAA0774	-1.60416666666667
UNC5D	-1.663
CUL7	-1.57533333333333
LIPC	-3.04783333333333
DIO1	-2.6885
C20orf11	0.6639
CTRL	0.0425
HS3ST2	0.257
PAK4	0.8415
CCRL1	2.70775
RNF10	0.32825
ZNF567	0.8815
ZNF660	-0.7935
TCEAL3	-2.00175
MAGOH	1.47633333333333
CENPB	0.4845
C19orf7	1.13675
LOC388965	-0.3045
ZCCHC13	0.73
JMJD1A	-0.9712
HIST1H4H	-0.4365
TBRG1	-0.3227
GPC3	-2.11275
TAF1C	-0.699375
EBNA1BP2	-0.3375
CIAPIN1	0.116
PDGFRA	-0.886555555555555
CSTB	0.06325
CENPI	-0.322333333333333
GTF2E2	-0.5475
RPP21	0.401
CCNF	-0.509833333333333
KCNQ3	0.716
FAM79A	1.003
SLC22A12	0.589
NOVA1	-1.55116666666667
FZD3	0.2514
AKAP8	-0.31475
SOCS5	-0.320375
CFDP1	-0.14575
DLG5	-0.09175
PGM5	0.82
C1orf144	0.401916666666667
HDAC10	-0.273
RND2	-1.518
C20orf199	0.26
RNMT	-0.679625
SLURP1	0.169625
ASTN1	-1.24257142857143
SH3BGR	-0.45
MYCL1	0.43775
ZHX1	-0.221666666666667
CENPK	-0.7215
FOSB	2.0178
LOC643406	0.266875
C2orf59	-1.576125
TMEM135	-0.77425
SLC27A2	1.06175
KRT33A	0.9585
OVOL1	2.322375
PAMCI	-0.294333333333333
S100A7	-1.835
ZNF789	-0.3365
HARS2	0.46375
RPL23A	0.254333333333333
TCF23	1.00625
UPF3B	-0.326625
C17orf78	1.5255
HLA-DOB	-0.1765
C14orf142	0.0343333333333333
TEKT5	0.0233333333333333
DMWD	0.41
POLD1	-0.492833333333333
GSCL	-0.2125
CALD1	-0.7904
SCRT1	0.505333333333333
AIG1	0.33425
UNC84B	-1.65425
ZNF404	-0.33525
TMED6	0.79525
KIAA1462	-0.936
LRRC27	0.410666666666667
PYGO1	0.167
PIGU	0.323666666666667
ALAS2	-3.23483333333333
WRNIP1	0.189375
CNNM3	0.011
ZNF2	-0.40925
ST3GAL5	-2.36316666666667
MRPL23	0.186
TSSK6	-0.47425
PSMA6	-0.482
C16orf70	-0.3905
KIAA1602	-0.93
ALMS1	-0.5485
DCN	-0.542
TMEM132D	-1.38725
SUCLG2	0.869
ABHD14A	-0.477
DEXI	0.172833333333333
AMPD2	-0.875666666666667
IFNAR2	-0.357833333333333
CYB5A	1.466
TLOC1	0.3171
NXF5	0.665666666666667
NRBF2	-0.017125
KCTD3	0.01
ITGAE	-0.940833333333333
SLC30A3	-1.94383333333333
ZRF1	-0.1635
IFRD2	0.450375
XAB1	-0.0435
PYCR2	-1.15516666666667
SERPINB3	-2.681
TMLHE	0.5181
GEFT	-1.742875
ABCA5	-0.368375
EMR4	-0.0763333333333333
TSFM	0.1555
HIST3H2BB	-1.02525
ARHGEF19	-0.0445
TSPAN17	-0.283166666666667
ABCC8	-1.0735
MAP1S	-0.388166666666667
C22orf36	-0.50225
BNC2	-2.11742857142857
HIST1H4A	0.3565
NDUFS3	-0.134333333333333
WDR3	0.218333333333333
XKR4	-0.899
TTC33	-0.427285714285714
STMN2	1.8095
CPN2	-1.01783333333333
HSPC105	0.966375
PCOLCE2	-4.304
C3orf55	0.6035
KLHDC9	0.2805
TBC1D23	-0.117875
ATXN2L	-0.825916666666667
MAP2K3	-0.0293333333333333
SCAP	0.2545
ZNF486	-0.345666666666667
C20orf96	1.2455
NARS	0.323
ADAMTSL1	-1.55821428571429
PRCC	-0.1445
CCDC126	0.731916666666667
ZNF675	-1.234
CALCOCO1	-0.47775
ANKRD43	3.9745
CWF19L2	-0.299833333333333
ZBTB32	1.21383333333333
BRAF	-0.811
ODF4	0.60825
MGC14376	0.2155
HORMAD1	-2.39
AAK1	-0.1525
PEBP1	0.980833333333333
TNFSF5IP1	0.100833333333333
DKFZp564N2472	0.52925
RMND1	-0.266375
IGKV1-5	4.6865
COL1A2	1.16025
SERPINA5	-4.2695
AANAT	0.7495
C19orf21	3.4795
GEMIN5	-0.25325
UBR4	-0.0135
LTBP3	-1.42683333333333
AMHR2	-2.72116666666667
PROCR	1.77825
MYBBP1A	-1.2685
C20orf39	-1.22616666666667
ZNF697	-0.439625
PASK	-0.3054
ZNF776	0.517333333333333
RFXDC2	0.334625
KIAA0467	-0.5675
C10orf96	-0.56975
ZNF503	1.0015
GULP1	-1.37741666666667
KCNE4	-1.69316666666667
DKFZp434K191	-1.388125
LOC196913	1.361
BHLHB4	0.4395
CH25H	1.945
LOC81691	-1.8085
ALPL	-0.882
COL12A1	1.159
FOLR3	-2.5995
GPR123	0.20075
TRIM62	-0.762071428571429
ABLIM1	1.47233333333333
MAST3	-0.30175
RHBDD1	0.154166666666667
LOC338809	0.942
RYBP	0.37525
TTC26	-0.6985
ZNF22	0.7215
ISCA2	-0.35925
RDM1	-0.109
PIGM	0.3245
GNB3	-1.7205
ACTR2	0.3893
HMGB1	1.5875
EDG1	1.219
SOAT2	-3.2325
OR10AD1	0.3945
RAP1GDS1	1.182
LCE1F	0.4435
ESM1	-0.41625
RCN3	0.90875
CREBL1	-0.2385
DBNL	-1.1845
PTGER3	0.14025
USP30	0.842833333333333
BCL2L12	1.165
KIF26B	1.88475
ZNF416	0.9635
ZNF225	0.1815
C17orf70	-0.49275
ZNF554	-0.75725
RAE1	-0.260833333333333
TNIK	1.27116666666667
ACTN3	-0.047
MGC45922	0.5495
CCNA1	-2.87683333333333
RYK	0.6545
IL26	0.52
LRP3	0.454333333333333
QARS	-0.50475
SOX7	0.0867857142857143
BID	0.8105
OR2S2	0.409
CXCL14	4.07125
C11orf47	-1.0075
MGC29891	0.708333333333333
HSPB8	-1.2989
PRDM14	-0.9785
NUFIP2	0.783
MNAT1	-0.293625
ZDHHC2	-0.111166666666667
MBNL2	0.024375
ADD3	1.3275
CSNK2A1P	-0.358
KLK6	0.715333333333333
TMEM111	-0.6464
KIAA1279	-0.25125
NUBP2	-0.479166666666667
RAB42	-2.5575
ID3	0.0587
TM9SF1	-0.5165
MDP-1	-0.8565
POU4F2	0.553
IQCK	0.038
C16orf14	1.05125
CAPN3	-0.667875
FAM43B	-1.00275
RECQL	-0.873
AP1G1	0.386214285714286
CTNNBL1	-0.2605
ECHDC1	0.465166666666667
SMARCC1	0.5314
FOXQ1	1.788875
GNAI3	0.0715
POLG2	-0.79175
CD4	0.529625
ITLN1	5.005
EBI2	1.879
IRF1	1.12325
PTPRE	2.2693
PTK2B	-1.25225
NXNL2	-0.785
SOX4	1.08077777777778
TSPAN3	1.42683333333333
SH2D1A	-3.97033333333333
C8orf58	-2.14916666666667
USP20	-1.53575
DUSP22	-1.11941666666667
CALB1	-2.18416666666667
L3MBTL2	0.0354166666666667
MCRS1	0.20425
TMEM118	-0.122833333333333
C18orf8	0.558166666666667
FLJ10241	0.597875
GJA12	-0.16125
PKD1	-1.09333333333333
ZFP3	-0.136
JAM3	-2.34975
LAPTM4A	0.5164
DIRC2	-0.05325
KIAA2022	-1.8945
MYOM1	0.491166666666667
TRPM8	-2.885
MOP-1	0.88975
PHKG2	-0.434375
ZNF650	0.482375
KIAA1522	0.382625
PSG8	-2.21333333333333
DDX19B	-0.659
MOBKL1B	0.44925
DIAPH2	1.53241666666667
PTPN12	-0.35825
CLN8	-0.7477
CRYZL1	-0.810833333333333
CRY2	-0.634
FCGR2B	0.3805
PNPLA4	0.41775
ZNF454	-0.846
DKFZp434B1231	-0.0205
CLDN11	0.2478
RFWD2	0.637833333333333
CIB2	-0.374833333333333
MXRA8	0.231625
HRK	-1.48275
MAML2	-0.46475
C4orf31	1.46175
C6orf192	0.84725
COG6	1.441875
FAM5B	-0.8455
NFATC1	-1.7993
SEPT10	-0.3545
SCYL1	-0.9976
RPP40	-0.07525
SCOC	-0.0092
KIAA1450	0.799
CTDSPL2	-0.50775
TBX5	0.518
NAPG	0.467875
RHD	-3.997
C14orf45	-1.11133333333333
ZBTB22	-0.2965
PLCG1	-0.9095
ANKRD10	-0.322375
AQP7P2	-0.14025
TAGLN2	-0.0075
HTR2C	-1.1275
SLC16A7	-1.99283333333333
C17orf83	0.189666666666667
TSGA14	-0.64
MDH1	-0.18575
PPP3R2	0.120666666666667
DCBLD2	-1.89814285714286
RBM33	0.925375
DPH3	-0.51225
SYT10	-0.873
FMO4	0.92475
THYN1	-0.19475
DRD5	0.108
OTOR	0.33925
PGRMC2	0.0915
KATNAL1	-1.6525
PAQR6	-2.6135
UBE2I	-0.28075
C14orf28	-0.631
C8orf70	0.2205
FLYWCH1	-1.09525
ANGPTL3	-1.1755
GLRX2	0.0423333333333333
ATP11A	0.403214285714286
ARL5B	1.232875
MUC16	-3.11175
SLC25A5	0.530214285714286
ACRC	0.37625
MYO1C	-0.6035
FAM89B	-0.04
FAS	0.93725
KIFAP3	0.352
GLRA2	0.6075
BTN3A2	-0.0051
CNKSR3	0.538875
CSTF3	-0.283
ARPM1	0.8605
KIAA1530	-0.3675
C9orf150	2.19016666666667
PRKCI	0.98525
tcag7.1015	-0.52475
SOD3	1.0175
ZNF574	1.00475
CYP21A2	-1.3005
RPL12	0.106
COMMD2	-0.839
WIZ	0.00950000000000001
LOC344405	-1.24925
ALDH4A1	-0.00352941176470589
CRYAB	0.76175
COPA	-0.204233333333333
PCDHGA7	0.123
KIF11	-0.401
RASD2	0.023125
SLC26A3	3.235
ZNF175	-0.802
JAKMIP2	-2.2585
C8orf4	2.27866666666667
PTHLH	-1.1125
SLC40A1	2.38916666666667
OR7D4	0.046
PCDHB17	-0.0855
CD36	0.420428571428571
C6orf203	0.9684
PRKG2	0.4085
LOC400566	-1.6085
ANAPC13	-0.282
SLCO3A1	-0.289
ZNF692	-1.5245
FANCL	-1.136
SH3GLB1	-0.065
C12orf61	0.8905
KBTBD6	0.4705
SUPT5H	0.408375
XRCC6	-0.1808
HUS1B	-0.4855
FAM133B	0.0715
LOC728276	0.589
KCTD18	0.19425
SOS2	0.4205
CCDC99	-0.934
C1QTNF5	2.4965
NNAT	-0.104166666666667
USP16	0.0805
LARS	-0.312375
ZBTB2	0.848375
ABO	0.931
TRAF3	0.7345
GALNT5	0.417
NAP5	0.4575
ALG14	1.25083333333333
KIAA0515	-0.0986923076923077
WDR75	-0.288166666666667
TEX261	-0.19275
LY86	-1.1625
LOC389072	-0.5035
FLJ13611	0.22625
MRGPRX2	0.746
SNRPA	-0.2805
OR2G2	0.3805
GPRASP2	-0.35
C7orf42	0.5367
C9orf163	-0.096
CYP11B2	0.1205
FCRL3	1.034
PRDX1	-0.5545
FGB	-5.2135
COX17	0.454166666666667
C16orf33	0.02975
PIWIL1	1.70683333333333
FOLR1	-2.86666666666667
KIAA0082	-0.63325
FREQ	-0.383
TMCC2	-1.90116666666667
TCF12	0.883666666666666
ZNF721	0.733
FAM130A2	0.349666666666667
POU4F1	-0.27325
SNRPF	0.764
SGIP1	1.215
ZNF641	0.340666666666667
EMG1	0.375875
PRRG4	1.9725
HIRA	-0.12925
MYNN	0.1065
AEBP2	0.707333333333333
TBXA2R	-0.283
ISL2	-1.29616666666667
PCDHB11	-1.1935
RNF144A	-1.48825
MARCH5	0.342625
DULLARD	-1.0575
DCLRE1B	-0.335333333333333
ITGA8	0.94075
TP73	-0.527625
PRKCD	0.683
NDUFB4	-0.2555
ATP13A4	0.986375
ANTXR2	-0.299
COL4A3	-0.800666666666667
MYO10	-0.184
SLC6A18	0.48175
PEX1	0.04675
TMEM74	-1.31533333333333
RBM19	0.3585
TAPBP	0.27405
RUNX1	0.1385
MID1	0.59125
GPR64	-1.44983333333333
RASEF	4.0255
GABRG1	-0.0448571428571429
MYO16	-1.17
DBF4	-0.512833333333333
TSHZ2	0.407
RIPK2	0.753875
PPTC7	0.945166666666667
KIF4B	-0.197
LRRC31	4.3705
ZNF540	-0.58625
EFNB3	-0.670833333333333
LOH12CR1	0.770375
STON2	0.167
GLP1R	0.42725
CSTF2T	1.58725
IREB2	-0.61275
GRSF1	0.4285
PDCD7	-0.442
LRRC43	-0.179
CNR1	-0.278
IL1F7	0.6085
C12orf64	-0.625666666666667
FAM69B	-2.881
NR2E1	-2.3135
MS4A6A	1.2591
FTL	0.9522
C7orf36	0.767
PCLO	0.8459
DYRK2	2.29191666666667
ARIH2	0.227
SAMD7	-0.341
SCNN1D	-0.89075
SLC32A1	-0.758
C22orf25	-0.9405
MRPS18A	0.3532
GPR112	0.928
EARS2	0.288
ERN2	3.5035
ATPBD3	0.971166666666667
PRH2	-0.6085
CDKN2D	-0.5475
PGLYRP2	-1.44575
TRIM40	0.83225
SEC14L3	1.112
SLC22A1	-0.023
BTN2A3	0.33325
RASA4	-0.7815
CCNL2	-0.903
MYBPC3	0.7885
GJA4	2.79
CDC42SE1	-0.06175
TRPV2	-2.0125
MYPN	-3.2401
SIM1	-0.096
CDADC1	0.794666666666667
ZFHX4	-2.2015
NIBP	1.431
ADAMTS19	-0.94525
ABTB2	0.76875
TSPYL2	-1.77325
EIF2S3	-0.0382
SOX30	0.67425
AP2A1	-0.118
DKFZP564O0523	-0.1955
LOC285398	0.1475
CDH18	-6.09225
CHL1	0.282875
GATS	-1.16477777777778
TBC1D2B	-0.0865
OR1J1	-0.038
GSN	-0.572333333333333
DPCR1	0.219625
GARNL4	-0.327666666666667
SMARCA5	-0.118
PLEKHG3	0.905166666666667
ZBTB45	1.0815
FRMD6	-2.6055
PLS1	3.7035
DGKZ	0.630166666666667
EFNA1	0.4923
WDR85	-0.42575
ANK2	-0.791
PAGE4	-1.0718
SENP6	1.29666666666667
AKR7A2	-0.881833333333333
FKBP10	-1.327
VEGFC	-3.92416666666667
LARP1	0.067375
SRBD1	0.27175
ITGB6	3.1455
SLC1A2	-1.91542857142857
INVS	0.1405
MPO	0.8905
MOBKL3	-0.1165
CUTL2	-2.123375
KLK2	0.210083333333333
VIM	-3.65525
REG1B	4.86816666666667
PCDHGC4	0.76575
C3orf34	-1.82133333333333
SUMO3	-0.736666666666667
CST9L	-0.90575
MLL4	0.14375
SPR	0.935833333333333
SAMD9L	0.01825
ABCE1	0.403
SUPT3H	-0.493666666666667
ACTBL1	-2.09625
ADAMTS4	0.572166666666667
SLIT3	1.626
RHEBL1	-0.99525
NPM2	-1.10625
MAN1C1	-1.368
KIAA1856	0.711833333333333
HSPA6	-0.16075
LOC388152	0.825
C10orf140	-2.35575
ZDHHC12	-0.2865
LIN7A	0.5154
PHC2	-0.153833333333333
SPHK1	-2.02475
TRIM26	0.189625
FAM83E	2.789
C18orf24	-0.662
ZNF578	1.49566666666667
ORAI1	-0.15125
RUVBL1	-0.394083333333333
C7orf20	-0.630333333333333
APAF1	1.397
SLC36A4	-1.5145
MYH11	4.4905
NEK1	-0.3516
MPP2	-2.16125
C12orf24	-1.56325
TNK2	0.079
ZNF289	-1.464
MATN3	-4.68514285714286
IFNGR2	0.474333333333333
ITPR1	-2.5695
EBF3	1.102
TBC1D20	0.0365
OR10P1	0.5185
DDAH2	0.4225
SHPRH	-0.277125
STX7	-0.0665
LOC554248	-1.23375
BCAR1	-0.21625
ATXN3	0.177083333333333
TRIM27	-0.69125
CDC42EP2	0.512
CHP	1.10028571428571
SOX17	1.095
ZNF259	-0.0721666666666667
CHCHD1	0.637625
ZDHHC19	0.504
GBP2	1.0435
GARNL3	0.452625
MRC2	-1.842
C1orf52	-0.4325
AOF2	-0.372333333333333
LRPPRC	0.492
ACVR1C	2.26283333333333
TM4SF18	1.2865
TMEM169	-0.498666666666667
PPP1R16A	0.33275
EBF1	-1.411
RRS1	1.33833333333333
SNX2	-0.33175
OR2T2	0.0005
RBX1	-0.512
ANKRD54	0.357666666666667
TSNAX	-0.437833333333333
TMEM83	-1.98975
ZBTB7A	1.0635
ATM	-0.8265
LOC338328	0.911
TIE1	-0.316
HIST1H3G	-0.117833333333333
PASD1	-4.45633333333333
TINAG	4.751
PCDHAC2	-0.3935
LRRC15	-2.1435
WBSCR17	-1.7935
TFF2	1.683
PARP2	-0.742
NDFIP2	1.817375
PCDHGB2	-0.248
WDR60	-0.28
MAP7D2	-2.1123
USP45	-1.0845
GSDML	1.56025
TNS1	-0.8411
PLCD4	-2.1145
IQCD	-0.098
SMPX	2.1275
CD9	1.44383333333333
SRGN	-0.17975
CASP7	2.23175
INOC1	0.461
DKFZp451M2119	-1.014625
VMAC	-0.2675
USP53	1.1622
CAMK1G	-0.485875
TMEM106A	-1.297
CDC20	-0.0784999999999999
ACSL5	3.508
CBWD5	-0.31725
C1orf87	-0.977833333333333
KIAA1274	1.9345
PRUNE2	1.38757142857143
LYPLA2	-0.479166666666667
DOK6	-2.52983333333333
GPR149	0.3385
FAM30A	3.14325
TMEM129	0.41425
SLC35B3	1.09925
ACPP	0.4688
LOC200261	-0.51
SLC4A7	0.3991
CCDC40	-0.819666666666667
GART	-0.520375
THOP1	-0.9635
SCARB1	-0.439875
CACNA1F	-0.84375
TRIAP1	0.365333333333333
SYT14L	0.082
SFRS8	0.168
PBOV1	0.56475
GOLSYN	2.376
GJB7	-2.019
CAMK2N1	1.85916666666667
GREM1	2.92675
FLJ20433	0.03825
QPCT	-0.429125
PRKAG2	1.54466666666667
H2AFX	-0.42375
C6orf154	-0.917
PLOD3	-0.50625
ZBTB39	0.660333333333333
WASF3	-2.53625
DRG1	-0.56825
PRR4	-0.6265
SPCS1	-0.4255
KDELR3	-0.849166666666667
SRP19	-0.0788333333333333
GABRA6	0.292
MFSD1	-0.92425
MMEL1	0.73
PDXDC2	0.508
BUB1	-1.10877777777778
RNF138	0.042875
MYLPF	-0.8935
AIF1	-1.09
DYNLRB1	0.4883
HCN3	-0.295833333333333
HIST1H2AI	0.48425
MAP4K5	0.157
LASP1	0.83275
LOC130951	-0.4145
PLAA	0.84025
KRT6A	0.521
C6orf117	-0.29
ARHGAP23	-0.427
PTF1A	-0.306
GPHA2	-0.96975
LCE3B	0.9155
MCL1	-0.0630714285714286
EHBP1	-0.233833333333333
PRNP	-1.3158125
ZSCAN1	0.57
C1orf113	-0.625833333333333
FOXA3	3.12025
NEB	3.368
ASGR1	-4.65866666666667
CTGF	0.236333333333333
RAB17	-0.949333333333333
MST101	0.38275
