Hybridization REF	TCGA-AA-A02R-01A-01R-A00A-07
ARFRP1	-0.567333333333333
FAM26B	-0.33575
CRYBA1	-1.9425
MRPL41	0.143833333333333
NPFFR2	-1.37757142857143
HRH2	0.438
SCAMP3	-0.2945
MTMR6	0.4229
MTG1	-0.276833333333333
UBTD1	-0.458
CRABP1	-2.9555
FLJ33790	-0.349
KIAA1908	-1.85133333333333
GPR158	1.37575
PACSIN3	-0.205666666666667
OMD	0.107833333333333
CATSPER1	-0.329166666666667
HOXB8	3.901
FBXO46	0.6065
OAS1	2.70383333333333
SVIL	0.4745
PHB2	1.0365
ADCY3	1.012
NDRG2	0.436666666666667
ERMAP	0.0209
APBA2	-1.93616666666667
IGSF9	-1.40725
WNT6	-0.955142857142857
MYCBPAP	-1.02975
ATP2B2	-0.256555555555556
CPVL	0.4299
TRAM2	-0.666416666666667
NOP5/NOP58	0.49875
ZNRF4	0.2665
TLK1	0.482375
MTMR12	-0.1475
ZNF384	0.140333333333333
FAM9B	-3.02125
RPN1	0.9122
PMVK	-1.24425
EIF3D	-0.011
SIX2	-1.83325
HPS1	0.834428571428572
RNF7	-0.123
PSKH2	0.3585
KCTD13	-0.00583333333333333
CSMD3	-0.194
FBF1	-0.455
IL8	-0.7355
SERPINB13	0.72
FBXL20	0.51125
BLR1	0.2715
SH2B1	-0.6705
RFNG	0.373875
RAB20	1.76983333333333
RBM7	0.33975
POLR1A	0.2835
TMPRSS4	1.52875
TAF9	-0.505375
TERF2	0.4355
TNFRSF1A	0.117916666666667
ACADVL	-0.228333333333333
GTF2H5	-0.59275
EDG8	-0.502666666666667
C9orf140	0.448375
UST6	0.5065
ZBTB8OS	-0.475
ZNF710	0.4205
GPR174	-0.702
ATP6V0A2	0.44725
KIAA0319L	-1.2745
XKRX	2.157
DOPEY2	1.0093
SDHD	0.251166666666667
SUMF1	1.326
OSM	2.71925
OPN3	-0.884
DAGLB	-0.6095
PPFIBP1	1.0188
TRIM63	-4.78575
C10orf53	0.447
LYPD3	-2.8445
BCL7A	0.389375
AGER	-1.17683333333333
TCF19	-1.102375
SAT2	0.0485
PFTK1	-2.16616666666667
GABRE	-1.366
C15orf38	1.5514
FIS1	-0.4555
KCNV2	-0.26325
CLPS	0.594
PPCDC	-0.749625
FOXN2	0.485833333333333
NT5E	-3.6629
CD83	1.5875
IL18	1.273125
VPS16	-0.632
IGFBP2	-2.14216666666667
NOTCH2	-0.00375
SIGLEC1	2.9715
CD93	3.916
SULF2	0.6285
CEP164	-0.21725
P53AIP1	-0.193166666666667
TOR2A	-0.124666666666667
ZNF136	0.1375
MGP	0.1102
CCDC144A	0.164333333333333
TRPC1	-2.2285
SMS	-1.15333333333333
MAPK7	-0.4735
RRAGC	-0.23975
PARD6A	1.0755
NUB1	1.97866666666667
SYNGR4	0.05825
OR11H12	0.26
WIF1	0.866571428571428
GCH1	2.0235
OR11H4	0.3305
SLC44A5	0.1285
GPRIN2	2.715
LOC401431	-2.6165
CPA4	-3.0452
MELK	-0.0598888888888889
IL15RA	2.6655
CUL3	0.35125
HMBOX1	-2.52
PODXL	-0.73075
CCT6B	0.491666666666667
COMTD1	0.9595
MUC20	-0.674833333333333
GPX2	3.096
ITK	0.0005
FBXL5	1.28575
C13orf27	-1.7375
DEFA5	1.1605
TRHDE	-0.856
MTP18	0.6825
UQCRQ	0.3111
ITGB2	2.70883333333333
CSRP2BP	-0.03775
TAS2R44	0.786
PHPT1	-0.737375
FAM44C	-0.3375
ERH	0.61925
MPHOSPH1	0.2585
MORC1	-0.3025
PARVB	1.03975
LAMA1	-2.51645454545455
PGBD3	0.12725
GIMAP6	4.3755
AREG	-2.12266666666667
LIPT1	0.1765
MGC99813	-2.47175
C1orf201	-0.2125
GRIN2A	-1.07522222222222
MAN2C1	-0.885
NSUN5	-0.08875
SF3B5	-0.19325
MYC	-0.00549999999999999
NRXN1	-0.880166666666667
ZNF18	0.37975
SPDYA	-0.520166666666667
SLC37A1	1.082
DECR2	-0.195
ANKRD38	-1.1525
SPTLC3	-0.2915
SUPT16H	-0.6025
DTWD2	0.2105
ULBP1	-0.1625
ZADH1	-1.044
OIP5	-0.49125
IL10RB	-0.313833333333333
OTUB2	-0.28525
VWA3A	0.0416666666666667
SPIC	0.4715
OR6C4	0.2905
PSCD4	1.63133333333333
DPY19L2P2	-0.3695
TRAPPC6A	-0.343333333333333
C21orf2	-0.872666666666667
CEMP1	-0.308
LIN7B	-1.1975
E2F7	-0.2185
VCP	0.237375
LAMA3	4.30408333333333
BGN	1.10675
GPR160	0.882
COCH	-5.087
GPR81	-2.49
APOBEC3F	0.41575
tcag7.1017	-1.2695
C1orf32	0.481
SCGB1D2	-0.31425
FLJ43987	-0.993
C6orf170	0.05075
KLK9	0.4875
GPD1L	0.199
VPS37B	1.54175
ATG3	-0.264333333333333
ADAMTS17	-0.247
KLHDC2	-0.248666666666667
NDUFV2	-0.47675
BLK	-2.5935
MATN4	-1.5395
GPM6A	-0.266875
GBP4	6.41566666666667
TMEM162	0.0945
PKP2	3.313
HRASLS	-1.09588888888889
MMP1	-4.082
SFXN3	-0.5698
FSD1	-1.66883333333333
ST6GALNAC3	-2.7915
CA12	0.3796
NCOA6	0.37375
C19orf58	-0.0306
PPP4R1	0.442666666666667
MAN1A2	0.879166666666667
IKBKAP	-1.2495
UPF1	-0.0121666666666667
KIAA1219	-0.205
WNT16	-0.1995
SNW1	-0.2185
IL18RAP	4.37825
RPP30	-0.89775
CDC40	0.137785714285714
SETD3	0.619833333333333
SLAMF6	0.9545
ELK4	0.273
TRIM47	0.7445
ACOX3	0.4595
TRIM6	-1.91275
KIAA0372	-1.101
TP53AP1	-0.8145
SMURF2	1.1505
ADAD1	0.45525
EBP	-0.7245
KRTAP13-2	-0.2635
FLJ36874	1.2125
TOR1A	0.0206666666666667
P2RY4	1.064
GPBP1	-0.18425
TRPV1	-0.396375
ADAMTS12	-0.557166666666667
PES1	0.1707
ATG4A	0.00383333333333333
MAGEA10	-5.623
WFS1	0.0705
CC2D1B	-0.186
PABPN1	0.141625
SLC25A30	0.03625
SLCO1C1	-0.5275
SLC22A5	0.06975
KIF23	-0.7325
SYN2	-0.733666666666667
ASPN	6.04033333333333
CENTG2	0.464
QSOX2	-0.8032
FLJ10815	-0.281
STK24	0.7333125
SPEG	-1.3201
STK10	0.234
DACT2	-4.2255
AAAS	-0.163
SSX3	0.262
ABCD3	-0.4578
C4orf12	-0.957625
PARVG	0.951333333333333
FIG4	-0.06275
C9orf46	1.06175
TMCO6	0.562
IGHMBP2	-0.57175
DUS2L	0.208666666666667
FAM3C	-0.127
TMEM16D	-3.38514285714286
DCTN4	0.70825
KCNH3	-0.07125
EIF2AK2	1.4015
AP1S3	0.436
CST4	1.9235
PAM	0.3060625
NUTF2	0.7945
CITED2	-0.4078
SLC39A4	0.707
C2orf52	-1.9035
GRM3	-0.252
C12orf49	1.049
CCDC49	-0.0418
GRAMD1B	0.237857142857143
FNDC4	-1.2355
SIAH2	-0.06375
GDPD4	0.64525
C21orf87	0.140375
ATP5A1	0.373833333333333
C16orf63	-0.86675
LOC388135	-1.489
ATP5J2	-0.203375
MMP3	-3.6375
EMID2	-0.04825
CRHR1	0.403
WDR70	-0.474
C13orf31	1.3705
ZFAND1	-0.1195
CCL18	5.0695
C3orf49	0.014
RINT1	-1.169
KIAA0408	-1.48816666666667
F13A1	3.1689
SLC10A1	0.059
OGN	-1.53775
GIPC2	4.0295
XPO6	-0.210333333333333
LCE1A	0.509
FMR1	0.2909
LOC374920	0.1055
DUSP3	0.144625
ANKMY1	-0.2885
C7orf50	-1.158
BBS9	-0.4273
UNC119B	0.2715
C9orf72	0.223875
MGC35440	0.74475
ENTPD6	0.49925
PPP1R2P9	0.4635
ERCC4	0.3585
FAHD2B	-0.3375
HMHA1	-0.5445
HACL1	-0.16875
RAD23A	-0.564166666666667
FAM83B	1.7965
PPP5C	-0.320833333333333
RNASEH2C	-0.320125
C9orf153	-0.588333333333333
SCAMP4	0.265125
GHITM	0.547
NDUFB7	0.051375
ADCYAP1	0.732666666666667
SP110	1.64366666666667
MAP3K7IP2	-0.075
DHH	0.653
AGRN	1.12042857142857
WDR33	-0.233666666666667
CEP290	-0.789333333333333
PRPS1L1	-0.952166666666666
KLRA1	-0.0615
GPR97	0.404
CHD7	-0.238416666666667
TLR10	0.73325
SLC30A8	-0.7325
HIC1	0.856833333333333
IAPP	0.8875
RXFP4	0.6615
GP1BB	0.90075
SHQ1	0.4705
NKX2-3	0.5515
API5	0.627
FTHP1	-0.9365
MOV10L1	1.726
TRIM6-TRIM34	1.67166666666667
ADHFE1	-1.51025
FAM117A	-1.255
DDI1	0.256
CDON	-2.19433333333333
TRIM73	-0.9045
IGKC	4.8365
MMP14	0.62
DYNC1LI1	-0.317875
C11orf66	0.212
TRBV3-1	-1.1745
FASTKD5	0.39925
BIVM	-1.231
LHX4	0.91225
CXCL2	0.8614
RAB2B	-0.00683333333333334
IZUMO1	-0.296
MAP3K15	-1.919625
FAM19A2	0.2505
ZC3H8	-0.0713333333333333
ZMAT1	-1.777125
SPINK5L3	-3.06125
SLC10A6	0.1135
APPL2	0.131875
CARD10	-0.4835
LOC402176	0.6615
EEF1D	-0.2002
RAB6A	0.3973
C12orf5	1.527625
PAPOLG	0.802
MSRB2	-0.032
BCR	0.855444444444445
PUS3	-1.543
TIAM2	-0.5505
ZNF317	0.7895
CHD2	0.0356428571428572
FZD5	1.72695454545455
NUDT8	1.253
ZNF763	-0.027
PRC1	-1.05077777777778
ABCB9	-0.648166666666667
SPATA3	0.634
TRAK2	-0.553125
STAB1	2.19025
LRRTM2	-0.117833333333333
psiTPTE22	0.9025
DBI	0.13975
SERPINA11	-3.8335
NAT5	-0.2805
C20orf58	-2.02825
RPS6KA4	0.900166666666667
FLJ90650	-0.345
TGFBRAP1	-0.9605
CHRDL2	2.2885
FAHD2A	-0.560666666666667
CNTN1	-0.0566666666666667
BBS4	-1.2714
TMEM181	0.26125
MINPP1	-0.0945
MPHOSPH6	0.00741666666666667
HOXC10	-0.6415
ITPKB	-0.311625
CLPTM1L	-0.52525
MEOX2	-1.397
ATP6V0C	0.46875
PRPF8	-0.1855
TMC5	3.23675
FKBP3	-0.47
PLEKHB2	-0.56925
OR4D6	0.548
ZNF544	-0.2709
D2HGDH	0.293875
RPL18A	0.6238
HEL308	-0.2465
MPP6	-2.29525
TCERG1	-0.983
KRT16	-0.8295
KLF17	-1.06725
KLF5	5.049375
CDR1	0.46725
VCX3A	-5.912
FBLN2	-0.0155
C14orf104	0.53775
HBE1	-5.812
OR4S2	0.3675
C1orf108	-1.16
ROBO4	2.38616666666667
CPEB4	-1.3725
C11orf80	-0.845333333333333
BCKDHA	0.506833333333333
MYOC	1.85575
GIF	-0.2755
CKMT1A	3.1235
RPL3	0.8028
THBS1	1.092875
APOO	-0.469
ARMCX1	-1.612
HSZFP36	0.91325
SNAPC5	-0.6185
EIF4ENIF1	0.86825
ZNF433	-0.92275
TNFRSF21	0.314625
TMPRSS7	0.334
SPATA18	1.7412
HPDL	0.241
MKL2	-0.0848
TBX3	-0.253923076923077
C21orf93	0.435833333333333
DAXX	0.12575
ELMO1	-0.209
RGS13	0.5322
TAF11	-0.82625
UNC13A	-2.356125
LOC653314	0.1602
ORC3L	-0.58475
IMAA	-1.615
TARBP2	0.5995
CABIN1	0.1063
TRIOBP	0.16525
HIST1H2AC	-0.923625
RGS22	-3.56866666666667
NCOA1	-0.657833333333333
IL25	-0.4955
SNCG	-0.56
GPR6	0.7425
AMDHD1	-2.71883333333333
CHEK2	-0.40975
C6orf142	-1.01575
DRD4	0.7845
C14orf68	-0.874
GDF11	-0.202
SEMG2	4.382
CD247	0.751
CDAN1	-0.1745
RBMX2	-0.281333333333333
TGS1	0.284
OIT3	0.913
SYF2	0.0605
MCM4	-0.620875
PKHD1L1	-0.09825
CEP192	-0.384333333333333
IFT88	-0.40325
RPL9	0.545785714285714
RAB32	-1.461625
DDX43	-3.2295
P2RX2	0.258166666666667
OR5D18	-0.239
UBE1	0.38075
SLC24A1	-0.183875
ARHGAP5	0.8865
CETP	-1.8035
KIAA1731	-0.491666666666667
SLC9A4	0.195
PTPN6	1.3125
BAHD1	0.14225
GRIK3	-0.1565
CACNB2	-1.2739
PDE10A	-0.96375
DGCR14	-0.4005
PCDHB9	-0.302833333333333
RHOQ	-0.2985
MAP3K4	0.23975
KTI12	-1.45516666666667
RPL23AP13	-2.14775
GNG11	-2.479
CLCN3	0.623833333333333
GPAM	-0.795
VSTM2A	0.44
SLAMF7	4.74883333333333
INTS2	-0.9135
PPP2CA	-0.3448
LRP12	-1.67673333333333
SEC14L2	0.531111111111111
DKFZP586H2123	1.642
MC3R	0.197
CIRH1A	-1.02516666666667
HIST1H2AB	-0.6315
POLH	-0.9205
MGC16703	-2.1225
SNAPC2	-0.7725
FILIP1L	1.62275
RASGRP4	0.3445
LRRC1	2.568
GAS1	-1.178
PRAC	-0.83925
DGKA	-0.184666666666667
NT5C3	0.171
PEG3	-5.03133333333333
NADK	-0.2465
PRR17	-0.156
LOC374569	-0.0605
SGSH	-0.404666666666667
NLRP8	0.6745
GALT	-0.0093
MCF2	-1.027
ZNF263	0.458
TACSTD1	1.982
TYR	-7.4279
ATP6AP2	-0.0835
RNUXA	-0.195
ABHD10	0.2789
GDPD2	-0.50875
SLC35C1	1.22325
UBE2A	0.517625
HERC5	-0.817833333333333
FAM112B	-4.91933333333333
FBXL16	1.2975
DKFZP434A0131	-0.92825
ELA3A	-1.5885
RBM41	-1.34325
HAO2	-1.18925
RNH1	-0.310125
SHANK2	-0.892166666666667
OSBP2	-0.951875
DAK	-0.0756666666666667
C3orf58	0.885583333333333
TCL1B	-1.6095
KBTBD2	-0.242125
SUGT1L1	0.6495
UBE2E2	-1.0275
MYL9	1.83275
CDC23	-0.475
PBXIP1	-0.187
CXorf40B	-0.0965
NBL1	1.30125
RTBDN	0.491
RAB11FIP5	-0.12125
TTTY13	0.2255
SCOTIN	-0.632333333333333
SOHLH1	-1.4005
CDKN1A	0.734285714285714
NCK1	0.848
ZNF550	-0.718
SAPS3	-0.18925
SPIN3	-2.23183333333333
MAGEE2	0.0525
MIS12	-0.1815
OR8H2	0.6575
KIAA0774	-2.23016666666667
UNC5D	-1.232
CUL7	-0.995666666666667
LIPC	-2.02666666666667
DIO1	-2.52425
C20orf11	-0.1313
CTRL	-0.116
HS3ST2	3.047
PAK4	0.610666666666667
CCRL1	5.146
RNF10	0.064125
ZNF567	0.32975
ZNF660	-1.123
TCEAL3	-1.9805
MAGOH	0.178333333333333
CENPB	-0.0316666666666667
C19orf7	0.181125
LOC388965	-1.20925
ZCCHC13	-0.072
JMJD1A	0.1273
HIST1H4H	-0.1615
TBRG1	-0.0715
GPC3	-6.08275
TAF1C	-0.319
EBNA1BP2	-0.573833333333333
CIAPIN1	0.0985
PDGFRA	-1.27772222222222
CSTB	0.832625
CENPI	-0.577666666666667
GTF2E2	-0.0576666666666667
RPP21	0.301
CCNF	0.075
KCNQ3	0.783
FAM79A	1.45125
SLC22A12	0.795
NOVA1	-2.18683333333333
FZD3	-2.4631
AKAP8	-0.01525
SOCS5	-0.37025
CFDP1	-0.54675
DLG5	-0.019
PGM5	0.847
C1orf144	0.61425
HDAC10	-0.84
RND2	-1.24775
C20orf199	-0.095
RNMT	-0.27125
SLURP1	0.85775
ASTN1	-0.625571428571429
SH3BGR	-1.102
MYCL1	-0.367
ZHX1	-0.801833333333333
CENPK	-1.215
FOSB	-0.0663000000000001
LOC643406	0.1825
C2orf59	-0.405375
TMEM135	-0.21
SLC27A2	0.95125
KRT33A	-0.3765
OVOL1	1.749375
PAMCI	-4.87883333333333
S100A7	-1.15
ZNF789	-1.2
HARS2	0.63525
RPL23A	0.192166666666667
TCF23	0.03025
UPF3B	-0.374375
C17orf78	0.243
HLA-DOB	1.23983333333333
C14orf142	-0.2035
TEKT5	-0.798333333333333
DMWD	0.622
POLD1	-0.694
GSCL	0.2935
CALD1	0.1425
SCRT1	0.5345
AIG1	-0.077
UNC84B	-1.091
ZNF404	-2.42175
TMED6	-1.653
KIAA1462	1.4905
LRRC27	0.631833333333333
PYGO1	0.2295
PIGU	-0.592833333333333
ALAS2	-4.7385
WRNIP1	0.08775
CNNM3	0.4325
ZNF2	-0.282
ST3GAL5	-0.85575
MRPL23	0.0005
TSSK6	0.04325
PSMA6	-0.441
C16orf70	-0.3135
KIAA1602	-0.62225
ALMS1	-0.144166666666667
DCN	-0.18575
TMEM132D	-1.294
SUCLG2	0.25575
ABHD14A	0.60025
DEXI	0.288166666666667
AMPD2	-0.8055
IFNAR2	0.37
CYB5A	0.825
TLOC1	-0.02775
NXF5	-0.545333333333333
NRBF2	0.02475
KCTD3	0.2765
ITGAE	-0.379333333333333
SLC30A3	-2.2995
ZRF1	-0.618
IFRD2	-0.14225
XAB1	-0.1435
PYCR2	-0.934166666666667
SERPINB3	-3.8915
TMLHE	0.9134
GEFT	-0.9835
ABCA5	-2.026875
EMR4	-0.255833333333333
TSFM	1.11975
HIST3H2BB	-1.6505
ARHGEF19	-0.74825
TSPAN17	0.5025
ABCC8	-0.63375
MAP1S	0.4585
C22orf36	-0.76875
BNC2	-1.64292857142857
HIST1H4A	-0.01375
NDUFS3	-0.202
WDR3	-0.328
XKR4	-0.073
TTC33	-0.110571428571429
STMN2	3.02075
CPN2	-1.104
HSPC105	-2.129125
PCOLCE2	-3.2085
C3orf55	-0.496
KLHDC9	0.567
TBC1D23	-0.227125
ATXN2L	-0.948666666666667
MAP2K3	1.11308333333333
SCAP	-0.249
ZNF486	-0.430166666666667
C20orf96	-0.9955
NARS	0.5995
ADAMTSL1	-1.547
PRCC	0.598333333333333
CCDC126	0.237166666666667
ZNF675	-0.98475
CALCOCO1	0.60175
ANKRD43	3.224
CWF19L2	0.390166666666667
ZBTB32	2.88133333333333
BRAF	-0.79175
ODF4	0.4495
MGC14376	0.439166666666667
HORMAD1	-1.82466666666667
AAK1	0.23025
PEBP1	0.794333333333333
TNFSF5IP1	0.446833333333333
DKFZp564N2472	0.39425
RMND1	-0.317875
IGKV1-5	5.89575
COL1A2	0.845416666666667
SERPINA5	-5.509125
AANAT	0.6475
C19orf21	2.236
GEMIN5	0.37225
UBR4	-0.156833333333333
LTBP3	0.600166666666667
AMHR2	-2.33333333333333
PROCR	0.72225
MYBBP1A	0.000500000000000011
C20orf39	-0.1285
ZNF697	-0.652875
PASK	-0.2454
ZNF776	0.154666666666667
RFXDC2	0.1775
KIAA0467	-0.28
C10orf96	-1.681
ZNF503	-0.211
GULP1	-0.7925
KCNE4	-0.4805
DKFZp434K191	-1.76475
LOC196913	0.257
BHLHB4	0.914
CH25H	0.4155
LOC81691	-0.993666666666667
ALPL	-0.708071428571428
COL12A1	0.583
FOLR3	-2.247
GPR123	0.320125
TRIM62	-0.0333571428571429
ABLIM1	1.259
MAST3	0.29925
RHBDD1	-1.4315
LOC338809	-0.411
RYBP	-0.44025
TTC26	-0.416125
ZNF22	0.501833333333333
ISCA2	-0.15425
RDM1	-1.61775
PIGM	-0.349
GNB3	-0.698
ACTR2	0.0061
HMGB1	0.41145
EDG1	1.50666666666667
SOAT2	-4.37425
OR10AD1	-0.36
RAP1GDS1	0.171416666666667
LCE1F	0.3175
ESM1	-2.072875
RCN3	0.94125
CREBL1	-0.485
DBNL	-0.4765
PTGER3	0.572625
USP30	0.318333333333333
BCL2L12	0.606833333333333
KIF26B	2.19475
ZNF416	0.7455
ZNF225	0.0565
C17orf70	-0.46425
ZNF554	0.34925
RAE1	-0.666166666666667
TNIK	2.01916666666667
ACTN3	0.25
MGC45922	0.9415
CCNA1	-1.73466666666667
RYK	0.135333333333333
IL26	0.2815
LRP3	0.982166666666667
QARS	-0.0675
SOX7	0.324071428571429
BID	0.438625
OR2S2	-0.066
CXCL14	0.3125
C11orf47	-0.655
MGC29891	0.214333333333333
HSPB8	-0.7032
PRDM14	-2.4435
NUFIP2	0.8025
MNAT1	-0.58175
ZDHHC2	0.731583333333333
MBNL2	0.07075
ADD3	0.23
CSNK2A1P	-1.89175
KLK6	-2.76233333333333
TMEM111	-1.3788
KIAA1279	0.73825
NUBP2	-0.327166666666667
RAB42	0.16775
ID3	-1.6694
TM9SF1	-0.145
MDP-1	-0.994
POU4F2	0.7385
IQCK	0.391
C16orf14	0.76625
CAPN3	-1.601625
FAM43B	-1.049375
RECQL	-0.643
AP1G1	0.308
CTNNBL1	-0.575333333333333
ECHDC1	0.314166666666667
SMARCC1	0.2586
FOXQ1	2.87125
GNAI3	0.164
POLG2	-1.85675
CD4	1.456
ITLN1	3.745
EBI2	2.7635
IRF1	3.3295
PTPRE	2.6342
PTK2B	-0.55
NXNL2	-1.3765
SOX4	-0.673444444444444
TSPAN3	0.426666666666667
SH2D1A	-1.02383333333333
C8orf58	-0.546
USP20	-0.72875
DUSP22	-0.772333333333333
CALB1	-0.3905
L3MBTL2	0.74625
MCRS1	0.49125
TMEM118	-1.5815
C18orf8	0.863333333333333
FLJ10241	-0.1875
GJA12	0.117
PKD1	-0.252166666666667
ZFP3	0.4175
JAM3	-2.451
LAPTM4A	0.5219
DIRC2	0.2055
KIAA2022	-1.8045
MYOM1	-0.211
TRPM8	-3.1022
MOP-1	1.248
PHKG2	-0.641375
ZNF650	0.818875
KIAA1522	0.692
PSG8	-1.92066666666667
DDX19B	-0.165
MOBKL1B	0.45825
DIAPH2	-0.0285833333333333
PTPN12	-0.08475
CLN8	-1.425
CRYZL1	-0.439
CRY2	0.0828333333333333
FCGR2B	5.827
PNPLA4	1.517625
ZNF454	-0.8475
DKFZp434B1231	-0.12575
CLDN11	0.2615
RFWD2	0.606
CIB2	-1.45283333333333
MXRA8	1.174375
HRK	0.17
MAML2	-0.12525
C4orf31	-0.859
C6orf192	1.18
COG6	-0.059
FAM5B	-0.21325
NFATC1	1.4941
SEPT10	0.57
SCYL1	0.0023
RPP40	-0.14825
SCOC	-2.8126
KIAA1450	0.1075
CTDSPL2	-0.3645
TBX5	0.107666666666667
NAPG	0.544
RHD	-4.46733333333333
C14orf45	-0.823333333333333
ZBTB22	0.057
PLCG1	-0.795
ANKRD10	-0.757
AQP7P2	-0.24975
TAGLN2	-0.172166666666667
HTR2C	-0.631833333333333
SLC16A7	-2.03966666666667
C17orf83	0.311
TSGA14	-1.36008333333333
MDH1	-0.26725
PPP3R2	-0.244666666666667
DCBLD2	-1.68442857142857
RBM33	0.22075
DPH3	-0.597
SYT10	-1.35966666666667
FMO4	0.377875
THYN1	-0.924
DRD5	-1.7245
OTOR	0.265571428571429
PGRMC2	-0.328
KATNAL1	-1.3395
PAQR6	-1.708
UBE2I	-0.12225
C14orf28	-0.03075
C8orf70	-0.5495
FLYWCH1	-0.181875
ANGPTL3	-1.11566666666667
GLRX2	-0.112833333333333
ATP11A	0.411785714285714
ARL5B	0.908125
MUC16	0.4095
SLC25A5	-0.131428571428571
ACRC	-1.801
MYO1C	-0.46075
FAM89B	0.476666666666667
FAS	2.865375
KIFAP3	-0.9805
GLRA2	-0.4585
BTN3A2	1.3394
CNKSR3	0.523125
CSTF3	-0.465166666666667
ARPM1	1.127
KIAA1530	-0.455
C9orf150	1.34283333333333
PRKCI	0.291
tcag7.1015	0.355
SOD3	1.24125
ZNF574	1.1615
CYP21A2	-0.68775
RPL12	0.962
COMMD2	-0.4315
WIZ	-0.69975
LOC344405	-1.252
ALDH4A1	0.0804705882352941
CRYAB	1.347
COPA	0.1228
PCDHGA7	0.671166666666667
KIF11	-0.123416666666667
RASD2	-0.2435
SLC26A3	1.629
ZNF175	-0.8565
JAKMIP2	-1.832125
C8orf4	1.9775
PTHLH	-0.55675
SLC40A1	1.85633333333333
OR7D4	0.4275
PCDHB17	-2.674
CD36	0.676357142857143
C6orf203	1.1195
PRKG2	-1.2635
LOC400566	0.2225
ANAPC13	-0.158
SLCO3A1	0.0755
ZNF692	-1.8735
FANCL	-1.1045
SH3GLB1	0.24575
C12orf61	0.5355
KBTBD6	0.78025
SUPT5H	0.076875
XRCC6	-0.1814
HUS1B	-0.1982
FAM133B	-0.113714285714286
LOC728276	-0.8675
KCTD18	-0.22175
SOS2	0.466166666666667
CCDC99	-0.67975
C1QTNF5	2.919
NNAT	0.0188333333333334
USP16	0.06625
LARS	-0.773
ZBTB2	0.61525
ABO	1.18066666666667
TRAF3	0.949
GALNT5	-0.0715
NAP5	-3.231625
ALG14	0.3935
KIAA0515	-0.208384615384615
WDR75	-0.0653333333333333
TEX261	0.37625
LY86	0.6
LOC389072	-0.0215
FLJ13611	0.0715
MRGPRX2	0.78
SNRPA	-0.26275
OR2G2	0.132
GPRASP2	-1.64725
C7orf42	0.2638
C9orf163	0.2675
CYP11B2	0.186
FCRL3	0.628166666666667
PRDX1	-0.68675
FGB	-7.63816666666667
COX17	-0.238166666666667
C16orf33	-0.2285
PIWIL1	6.91783333333333
FOLR1	-3.10166666666667
KIAA0082	0.34325
FREQ	-0.077
TMCC2	-1.3455
TCF12	0.327166666666667
ZNF721	0.6285
FAM130A2	0.0366666666666667
POU4F1	-2.11625
SNRPF	0.09225
SGIP1	0.839166666666667
ZNF641	0.747833333333333
EMG1	-0.194375
PRRG4	2.486
HIRA	0.6785
MYNN	0.403
AEBP2	0.742
TBXA2R	-0.522166666666667
ISL2	-1.07383333333333
PCDHB11	0.304
RNF144A	0.00362499999999998
MARCH5	0.592375
DULLARD	0.137333333333333
DCLRE1B	-0.58
ITGA8	-1.28125
TP73	0.949125
PRKCD	0.90225
NDUFB4	-0.59275
ATP13A4	-0.257
ANTXR2	0.752833333333333
COL4A3	-0.885
MYO10	-1.6774
SLC6A18	0.56
PEX1	-0.05875
TMEM74	-1.9675
RBM19	0.415
TAPBP	1.4215
RUNX1	-0.657625
MID1	1.515
GPR64	-2.5422
RASEF	1.18775
GABRG1	-0.55
MYO16	-1.97033333333333
DBF4	-0.586
TSHZ2	1.969
RIPK2	0.692125
PPTC7	0.339166666666667
KIF4B	-0.372
LRRC31	-0.085125
ZNF540	-0.2625
EFNB3	-0.685166666666667
LOH12CR1	0.308875
STON2	-0.101166666666667
GLP1R	0.46475
CSTF2T	1.68825
IREB2	-0.35225
GRSF1	0.746
PDCD7	-0.0596666666666667
LRRC43	0.3415
CNR1	-0.525833333333333
IL1F7	-0.134
C12orf64	0.0815
FAM69B	-3.371
NR2E1	-2.497
MS4A6A	2.5482
FTL	-0.0866
C7orf36	-0.15225
PCLO	-1.1058
DYRK2	1.397
ARIH2	-0.9295
SAMD7	0.499
SCNN1D	-1.3975
SLC32A1	-0.887125
C22orf25	-0.306166666666667
MRPS18A	0.3433
GPR112	-0.2605
EARS2	0.2225
ERN2	2.9055
ATPBD3	0.703
PRH2	-0.1365
CDKN2D	-1.34583333333333
PGLYRP2	-1.17
TRIM40	0.46525
SEC14L3	-0.223
SLC22A1	-0.25775
BTN2A3	0.79625
RASA4	-0.4505
CCNL2	-0.891
MYBPC3	1.014
GJA4	1.487
CDC42SE1	0.93
TRPV2	-0.7855
MYPN	-4.0779
SIM1	0.3675
CDADC1	-0.0664166666666667
ZFHX4	-1.48025
NIBP	0.6005
ADAMTS19	-2.59666666666667
ABTB2	0.48725
TSPYL2	-1.15425
EIF2S3	0.4068
SOX30	0.132
AP2A1	-0.666166666666667
DKFZP564O0523	-0.1265
LOC285398	0.13225
CDH18	-6.0315
CHL1	1.06025
GATS	-0.891555555555555
TBC1D2B	0.164666666666667
OR1J1	-0.493
GSN	0.049
DPCR1	1.940125
GARNL4	1.15433333333333
SMARCA5	0.214
PLEKHG3	-0.336
ZBTB45	0.598
FRMD6	-1.7385
PLS1	2.7595
DGKZ	0.695833333333333
EFNA1	0.9307
WDR85	-0.21
ANK2	-1.1645
