Hybridization REF	TCGA-AA-A00D-01A-01R-A002-07
ANKRD38	-1.81725
SPTLC3	-2.8595
SUPT16H	-0.030625
DTWD2	0.49625
ULBP1	-0.547
ZADH1	0.258666666666667
OIP5	-1.93475
IL10RB	0.684
OTUB2	2.5735
VWA3A	0.0421666666666667
SPIC	0.545166666666667
OR6C4	-0.081
PSCD4	1.6325
DPY19L2P2	-0.548
TRAPPC6A	0.708666666666667
C21orf2	-0.39
CEMP1	-0.57075
LIN7B	0.002
E2F7	-1.57733333333333
VCP	0.2199375
LAMA3	1.67816666666667
BGN	1.012
GPR160	1.48716666666667
COCH	-1.92133333333333
GPR81	-1.43966666666667
APOBEC3F	-0.07125
tcag7.1017	-0.723
C1orf32	0.8525
SCGB1D2	-1.20725
FLJ43987	-0.432
C6orf170	0.13925
KLK9	0.107
GPD1L	0.379375
VPS37B	0.795
ATG3	0.284333333333333
ADAMTS17	-0.0305
KLHDC2	0.13
NDUFV2	-1.339
BLK	-1.2505
MATN4	-1.6605
GPM6A	-0.185625
GBP4	5.09283333333333
TMEM162	0.1515
PKP2	2.2795
HRASLS	-3.68588888888889
MMP1	1.77225
SFXN3	-0.598
FSD1	-2.1365
ST6GALNAC3	-2.069
CA12	-1.7373
NCOA6	0.426
C19orf58	-0.4796
PPP4R1	-0.426
MAN1A2	1.443
IKBKAP	-1.17025
UPF1	0.015
KIAA1219	0.7285
WNT16	0.103
SNW1	0.261625
IL18RAP	4.38825
RPP30	-0.163
CDC40	0.359785714285714
SETD3	0.663166666666667
SLAMF6	1.24475
ELK4	0.1075
TRIM47	-0.2855
ACOX3	0.8985
TRIM6	-0.971625
KIAA0372	-0.527833333333333
TP53AP1	0.262625
SMURF2	0.02125
ADAD1	0.07
EBP	0.058
KRTAP13-2	-0.4185
FLJ36874	0.528166666666667
TOR1A	-0.304333333333333
P2RY4	0.4035
GPBP1	-0.13075
TRPV1	-0.24175
ADAMTS12	-0.346666666666667
PES1	0.07
ATG4A	0.6685
MAGEA10	-4.61825
WFS1	1.9285
CC2D1B	0.224333333333333
PABPN1	0.5465
SLC25A30	1.00425
SLCO1C1	-0.111166666666667
SLC22A5	0.48075
KIF23	-1.49566666666667
SYN2	-0.969666666666667
ASPN	5.87466666666667
CENTG2	0.613
QSOX2	-0.7443
FLJ10815	0.909333333333333
STK24	1.3276875
SPEG	-1.6678
STK10	0.257
DACT2	-1.6185
AAAS	-0.71525
SSX3	-0.967125
ABCD3	0.4755
C4orf12	-0.51175
PARVG	1.4295
FIG4	0.75325
C9orf46	1.05475
TMCO6	-0.5385
IGHMBP2	-0.685
DUS2L	-0.170333333333333
FAM3C	0.5754375
TMEM16D	-2.18075
DCTN4	0.53775
KCNH3	-0.13275
EIF2AK2	1.61525
AP1S3	1.28775
CST4	2.6855
PAM	0.4586875
NUTF2	-0.219
CITED2	-1.6006
SLC39A4	1.9515
C2orf52	-0.0305
GRM3	-0.48975
C12orf49	0.8495
CCDC49	0.3975
GRAMD1B	-0.7725
FNDC4	-0.855
SIAH2	-0.51975
GDPD4	0.04425
C21orf87	-0.121125
ATP5A1	-0.8465
C16orf63	-0.455375
LOC388135	-1.27283333333333
ATP5J2	0.156
MMP3	1.3785
EMID2	-0.14875
CRHR1	0.30275
WDR70	-0.261
C13orf31	2.735
ZFAND1	1.1305
CCL18	4.1595
C3orf49	0.5485
RINT1	-0.4925
KIAA0408	-1.915
F13A1	4.2497
SLC10A1	-0.428666666666667
OGN	-0.6955
GIPC2	2.911
XPO6	-0.378
LCE1A	0.3335
FMR1	1.355
LOC374920	-0.18825
DUSP3	0.2765
ANKMY1	0.5525
C7orf50	-0.3395
BBS9	-0.234
UNC119B	0.0465
C9orf72	0.0645
MGC35440	-0.4805
ENTPD6	-0.121625
PPP1R2P9	-0.1185
ERCC4	0.233
FAHD2B	-0.6335
HMHA1	0.182
HACL1	-0.2915
RAD23A	-0.327166666666667
FAM83B	2.14975
PPP5C	-0.179833333333333
RNASEH2C	0.0925
C9orf153	-0.53475
SCAMP4	0.363875
GHITM	0.4012
NDUFB7	0.153375
ADCYAP1	0.562666666666667
SP110	2.00166666666667
MAP3K7IP2	-0.04875
DHH	0.1605
AGRN	-0.465571428571429
WDR33	-0.0685
CEP290	0.137333333333333
PRPS1L1	-0.463
KLRA1	-0.4485
GPR97	0.4575
CHD7	1.20425
TLR10	1.89775
SLC30A8	-1.5585
HIC1	1.02666666666667
IAPP	1.052
RXFP4	0.93575
GP1BB	0.32
SHQ1	0.188
NKX2-3	0.933333333333333
API5	0.4105
FTHP1	0.269
MOV10L1	0.321333333333333
TRIM6-TRIM34	2.18166666666667
ADHFE1	-1.21175
FAM117A	-0.71775
DDI1	0.128333333333333
CDON	-1.26866666666667
TRIM73	-0.3035
IGKC	4.9995
MMP14	0.0290833333333333
DYNC1LI1	-0.32325
C11orf66	0.46175
TRBV3-1	-0.77625
FASTKD5	-0.45375
BIVM	1.31725
LHX4	-0.254
CXCL2	3.2683
RAB2B	0.0521666666666667
IZUMO1	-0.1375
MAP3K15	-2.007125
FAM19A2	-0.1635
ZC3H8	0.654666666666667
ZMAT1	1.791625
SPINK5L3	-2.4315
SLC10A6	0.5335
APPL2	0.728375
CARD10	-0.0653333333333333
LOC402176	0.743625
EEF1D	1.21
RAB6A	0.5312
C12orf5	0.511
PAPOLG	-0.003
MSRB2	0.56925
BCR	0.494055555555556
PUS3	0.14625
TIAM2	0.121
ZNF317	0.452666666666667
CHD2	-0.249785714285714
FZD5	0.496590909090909
NUDT8	-0.24275
ZNF763	0.7555
PRC1	-1.97533333333333
ABCB9	-0.558833333333333
SPATA3	-0.041
TRAK2	0.132375
STAB1	2.938
LRRTM2	-0.0346666666666667
psiTPTE22	0.30075
DBI	-0.1365
SERPINA11	-3.87575
NAT5	-1.06675
C20orf58	-2.579
RPS6KA4	0.3265
FLJ90650	-0.95975
TGFBRAP1	0.1885
CHRDL2	2.879
FAHD2A	-0.526833333333333
CNTN1	-0.376
BBS4	-1.6484
TMEM181	0.28875
MINPP1	0.7205
MPHOSPH6	-0.621333333333333
HOXC10	-2.2693
ITPKB	-0.206
CLPTM1L	-0.275125
MEOX2	-0.6465
ATP6V0C	0.261625
PRPF8	-1.14966666666667
TMC5	3.40575
FKBP3	-0.17325
PLEKHB2	0.45425
OR4D6	0.37
ZNF544	-2.6832
D2HGDH	0.167875
RPL18A	-0.0565
HEL308	0.0135
MPP6	-1.6655
TCERG1	-0.507
KRT16	-2.9185
KLF17	-0.45175
KLF5	3.716
CDR1	0.81175
VCX3A	-5.3825
FBLN2	0.848
C14orf104	0.46475
HBE1	-4.8143
OR4S2	0.3605
C1orf108	-0.0485
ROBO4	3.09666666666667
CPEB4	0.3505
C11orf80	-0.182666666666667
BCKDHA	-0.5925
MYOC	-0.335
GIF	1.005
CKMT1A	1.8375
RPL3	0.3957
THBS1	0.076625
APOO	-0.30425
ARMCX1	-1.2195
HSZFP36	1.201
SNAPC5	-1.235
EIF4ENIF1	0.34275
ZNF433	0.6025
TNFRSF21	0.66875
TMPRSS7	0.186
SPATA18	0.2399
HPDL	0.868
MKL2	0.2531
TBX3	1.05876923076923
C21orf93	0.321
DAXX	-0.23725
ELMO1	0.2435
RGS13	1.63583333333333
TAF11	-0.68675
UNC13A	-1.402125
LOC653314	-0.0182
ORC3L	-0.2005
IMAA	-1.0575
TARBP2	-0.77475
CABIN1	0.0373
TRIOBP	-0.00637500000000001
HIST1H2AC	-0.264375
RGS22	-3.91966666666667
NCOA1	0.970166666666667
IL25	0.3965
SNCG	-0.5525
GPR6	0.2545
AMDHD1	-2.44433333333333
CHEK2	-0.5345
C6orf142	1.09275
DRD4	0.14875
C14orf68	-0.697
GDF11	-2.0235
SEMG2	0.444
CD247	0.963
CDAN1	-0.984
RBMX2	0.250666666666667
TGS1	1.181
OIT3	0.3815
SYF2	0.33175
MCM4	0.314875
PKHD1L1	1.086625
CEP192	-0.996166666666667
IFT88	2.1255
RPL9	-0.000357142857142854
RAB32	0.21375
DDX43	1.9715
P2RX2	-0.042
OR5D18	1.01
UBE1	-0.19675
SLC24A1	-0.190625
ARHGAP5	1.8485
CETP	-0.74625
KIAA1731	-0.533166666666667
SLC9A4	0.5605
PTPN6	1.3745
BAHD1	-0.476
GRIK3	-0.2025
CACNB2	-0.5042
PDE10A	-0.17175
DGCR14	-0.26425
PCDHB9	-0.612333333333333
RHOQ	0.397833333333333
MAP3K4	-0.1595
KTI12	-0.032
RPL23AP13	-1.71875
GNG11	-1.398
CLCN3	1.21216666666667
GPAM	-0.70175
VSTM2A	0.246
SLAMF7	4.36233333333333
INTS2	-0.76975
PPP2CA	-0.1242
LRP12	0.0728666666666667
SEC14L2	0.378888888888889
DKFZP586H2123	2.1405
MC3R	-0.216
CIRH1A	-0.816333333333333
HIST1H2AB	-0.744333333333333
POLH	-0.551375
MGC16703	-2.3675
SNAPC2	-0.3715
FILIP1L	1.57525
RASGRP4	0.015
LRRC1	1.9655
GAS1	-0.95225
PRAC	-0.533
DGKA	0.530333333333333
NT5C3	0.49825
PEG3	-4.48858333333333
NADK	0.26575
PRR17	-0.91075
LOC374569	-0.80425
SGSH	-0.279666666666667
NLRP8	0.413
GALT	0.3225
MCF2	-1.047
ZNF263	0.53
TACSTD1	3.58416666666667
TYR	-6.9626
ATP6AP2	0.75225
RNUXA	-0.31025
ABHD10	0.1552
GDPD2	-1.386
SLC35C1	0.56725
UBE2A	0.752875
HERC5	-0.753666666666667
FAM112B	-4.88033333333333
FBXL16	-1.126
DKFZP434A0131	-0.0435
ELA3A	-2.638
RBM41	0.39225
HAO2	-0.1935
RNH1	-0.399
SHANK2	0.630666666666667
OSBP2	-0.681375
DAK	-1.16966666666667
C3orf58	0.21825
TCL1B	-0.521
KBTBD2	-0.117125
SUGT1L1	1.95425
UBE2E2	-1.18266666666667
MYL9	1.26275
CDC23	-0.630833333333333
PBXIP1	0.4769
CXorf40B	0.6305
NBL1	1.6005
RTBDN	0.086
RAB11FIP5	-0.519875
TTTY13	2.462
SCOTIN	0.143
SOHLH1	-0.866333333333333
CDKN1A	0.333071428571429
NCK1	0.183
ZNF550	-2.9695
SAPS3	0.0606666666666667
SPIN3	-2.3605
MAGEE2	-0.67725
MIS12	-1.21083333333333
OR8H2	-0.321
KIAA0774	-1.956
UNC5D	-2.002
CUL7	-1.13866666666667
LIPC	-2.86616666666667
DIO1	-3.2865
C20orf11	0.3073
CTRL	-0.24025
HS3ST2	3.8995
PAK4	0.4385
CCRL1	3.01875
RNF10	0.243125
ZNF567	-0.30175
ZNF660	-0.6005
TCEAL3	-1.2735
MAGOH	-0.6065
CENPB	-0.490666666666667
C19orf7	0.17825
LOC388965	-0.012
ZCCHC13	0.652
JMJD1A	-0.6841
HIST1H4H	-1.0435
TBRG1	-0.217
GPC3	-3.36325
TAF1C	-0.765375
EBNA1BP2	-0.168166666666667
CIAPIN1	0.777
PDGFRA	0.217666666666667
CSTB	0.412625
CENPI	0.037
GTF2E2	0.0785
RPP21	-0.05625
CCNF	-0.199833333333333
KCNQ3	0.6455
FAM79A	1.53525
SLC22A12	0.4095
NOVA1	-1.72283333333333
FZD3	1.0866
AKAP8	0.012
SOCS5	-0.074
CFDP1	-0.4485
DLG5	-0.361
PGM5	1.00583333333333
C1orf144	0.36325
HDAC10	-0.3185
RND2	-1.814
C20orf199	-0.50775
RNMT	-1.078125
SLURP1	0.597375
ASTN1	-1.270875
SH3BGR	-0.039
MYCL1	0.351625
ZHX1	0.1785
CENPK	-0.853
FOSB	0.0334
LOC643406	0.01
C2orf59	-1.3515
TMEM135	-0.653125
SLC27A2	-0.91275
KRT33A	0.0685
OVOL1	1.70425
PAMCI	-0.4385
S100A7	-1.731
ZNF789	-0.0675
HARS2	-0.0635
RPL23A	-0.415
TCF23	-0.0805
UPF3B	-0.20675
C17orf78	3.487
HLA-DOB	1.30966666666667
C14orf142	0.133666666666667
TEKT5	0.474666666666667
DMWD	0.213
POLD1	-0.974666666666667
GSCL	-0.1615
CALD1	-0.1719
SCRT1	0.1885
AIG1	0.3465
UNC84B	-0.2465
ZNF404	-1.8865
TMED6	-0.09975
KIAA1462	0.207
LRRC27	0.4385
PYGO1	-0.585
PIGU	0.019
ALAS2	-3.72083333333333
WRNIP1	0.178375
CNNM3	-0.1065
ZNF2	0.00525000000000001
ST3GAL5	-0.332666666666667
MRPL23	0.2115
TSSK6	-0.21425
PSMA6	0.74275
C16orf70	0.23775
KIAA1602	-0.9985
ALMS1	-0.127333333333333
DCN	1.469625
TMEM132D	-0.46125
SUCLG2	0.66975
ABHD14A	-0.2805
DEXI	0.113
AMPD2	-0.525
IFNAR2	1.40166666666667
CYB5A	0.5336
TLOC1	0.075
NXF5	-0.994833333333333
NRBF2	0.27425
KCTD3	-0.09475
ITGAE	-0.752
SLC30A3	-1.9125
ZRF1	-0.037
IFRD2	-0.21425
XAB1	-0.1695
PYCR2	-0.867333333333333
SERPINB3	-5.4875
TMLHE	1.5552
GEFT	-1.28375
ABCA5	-0.154125
EMR4	0.654333333333333
TSFM	-0.26375
HIST3H2BB	-1.51925
ARHGEF19	-0.0345
TSPAN17	0.3895
ABCC8	-1.2425
MAP1S	-0.2495
C22orf36	0.69275
BNC2	-0.638071428571429
HIST1H4A	-0.70075
NDUFS3	-0.531666666666667
WDR3	-0.3225
XKR4	-0.26925
TTC33	-0.0203571428571428
STMN2	2.12675
CPN2	-1.2295
HSPC105	1.639375
PCOLCE2	-6.101
C3orf55	0.7465
KLHDC9	0.924333333333333
TBC1D23	0.374125
ATXN2L	-1.25566666666667
MAP2K3	0.33675
SCAP	0.217
ZNF486	-0.9005
C20orf96	-0.4615
NARS	-0.308
ADAMTSL1	-0.968785714285714
PRCC	0.136
CCDC126	1.38933333333333
ZNF675	-0.79825
CALCOCO1	0.836
ANKRD43	4.30425
CWF19L2	-0.1945
ZBTB32	2.26766666666667
BRAF	-0.64825
ODF4	0.2035
MGC14376	0.262333333333333
HORMAD1	-1.07066666666667
AAK1	0.249916666666667
PEBP1	0.727166666666667
TNFSF5IP1	-0.666666666666667
DKFZp564N2472	0.273
RMND1	-0.37775
IGKV1-5	4.66
COL1A2	1.42108333333333
SERPINA5	-4.483875
AANAT	0.465
C19orf21	3.10466666666667
GEMIN5	0.0885
UBR4	0.00416666666666667
LTBP3	-0.112833333333333
AMHR2	-2.63666666666667
PROCR	0.99025
MYBBP1A	-1.2795
C20orf39	0.5845
ZNF697	0.54925
PASK	-0.3945
ZNF776	0.407333333333333
RFXDC2	-0.731625
KIAA0467	0.23075
C10orf96	-1.19875
ZNF503	0.789
GULP1	-0.7445
KCNE4	-0.559
DKFZp434K191	-0.841625
LOC196913	-0.364
BHLHB4	0.2335
CH25H	1.63025
LOC81691	-1.44483333333333
ALPL	-0.256642857142857
COL12A1	1.154875
FOLR3	-2.78416666666667
GPR123	-0.043875
TRIM62	-0.118071428571429
ABLIM1	1.202
MAST3	0.428
RHBDD1	0.677166666666667
LOC338809	0.188
RYBP	0.2815
TTC26	-0.36925
ZNF22	0.561833333333333
ISCA2	0.3225
RDM1	-0.466
PIGM	0.29575
GNB3	-1.633
ACTR2	0.6488
HMGB1	1.06825
EDG1	2.1625
SOAT2	-3.96275
OR10AD1	-0.0745
RAP1GDS1	0.3295
LCE1F	0.2505
ESM1	-2.3875
RCN3	1.091
CREBL1	-0.299
DBNL	-0.0805
PTGER3	0.633625
USP30	0.456666666666667
BCL2L12	-0.1065
KIF26B	2.13025
ZNF416	0.24725
ZNF225	0.242
C17orf70	-0.92
ZNF554	0.44175
RAE1	-0.166166666666667
TNIK	0.966333333333333
ACTN3	0.781
MGC45922	0.4585
CCNA1	-2.40883333333333
RYK	0.358333333333333
IL26	0.8665
LRP3	0.549333333333333
QARS	0.5765
SOX7	0.620928571428571
BID	0.800625
OR2S2	0.0305
CXCL14	4.2325
C11orf47	-0.9
MGC29891	0.6955
HSPB8	-0.7906
PRDM14	-0.653
NUFIP2	0.035
MNAT1	-0.387
ZDHHC2	0.436166666666667
MBNL2	0.998125
ADD3	1.7175
CSNK2A1P	-1.168
KLK6	3.77933333333333
TMEM111	0.1108
KIAA1279	0.593
NUBP2	-0.490333333333333
RAB42	-0.8445
ID3	-0.7285
TM9SF1	2.31375
MDP-1	-0.06675
POU4F2	0.219
IQCK	0.21875
C16orf14	0.12575
CAPN3	-1.104875
FAM43B	-0.814125
RECQL	-0.1225
AP1G1	-0.0805
CTNNBL1	-0.0103333333333333
ECHDC1	0.638833333333333
SMARCC1	0.5896
FOXQ1	1.178875
GNAI3	0.448666666666667
POLG2	-1.165
CD4	1.763625
ITLN1	1.18
EBI2	3.32925
IRF1	2.58025
PTPRE	2.2587
PTK2B	0.07675
NXNL2	-1.023
SOX4	0.192833333333333
TSPAN3	1.2055
SH2D1A	-1.72933333333333
C8orf58	-0.9235
USP20	-0.779
DUSP22	0.412
CALB1	-2.27
L3MBTL2	0.964833333333333
MCRS1	-0.41125
TMEM118	-1.70333333333333
C18orf8	-0.0821666666666667
FLJ10241	-0.367125
GJA12	-0.113
PKD1	-0.997833333333333
ZFP3	0.4965
JAM3	-1.89425
LAPTM4A	0.6816
DIRC2	0.263
KIAA2022	-1.8555
MYOM1	-0.283666666666667
TRPM8	-3.0425
MOP-1	0.66625
PHKG2	-0.797375
ZNF650	0.72875
KIAA1522	0.645625
PSG8	-2.08883333333333
DDX19B	-0.354
MOBKL1B	0.49925
DIAPH2	1.83833333333333
PTPN12	0.6225
CLN8	-0.7309
CRYZL1	-0.341666666666667
CRY2	0.068
FCGR2B	3.3325
PNPLA4	0.074625
ZNF454	-0.7015
DKFZp434B1231	0.069
CLDN11	-0.0777
RFWD2	0.442
CIB2	-0.625
MXRA8	1.565625
HRK	-1.473625
MAML2	0.38775
C4orf31	1.086
C6orf192	0.02825
COG6	1.47525
FAM5B	-0.664
NFATC1	-0.3446
SEPT10	0.1155
SCYL1	-0.3646
RPP40	-0.627
SCOC	0.6796
KIAA1450	1.132
CTDSPL2	-1.40175
TBX5	0.4664
NAPG	-0.15125
RHD	-4.79725
C14orf45	-0.024
ZBTB22	0.196
PLCG1	-0.573
ANKRD10	0.340625
AQP7P2	-0.4835
TAGLN2	-0.0195
HTR2C	-1.479
SLC16A7	-1.49316666666667
C17orf83	0.798
TSGA14	-0.0985
MDH1	-0.3525
PPP3R2	0.1785
DCBLD2	-1.81128571428571
RBM33	0.410375
DPH3	-0.65775
SYT10	-0.866
FMO4	1.299125
THYN1	-0.565
DRD5	-1.9655
OTOR	0.391285714285714
PGRMC2	0.096
KATNAL1	-0.982375
PAQR6	-1.8135
UBE2I	-0.12
C14orf28	0.58425
C8orf70	0.93025
FLYWCH1	-0.612375
ANGPTL3	-1.27225
GLRX2	0.113166666666667
ATP11A	1.34864285714286
ARL5B	1.067625
MUC16	-3.3275
SLC25A5	0.3735
ACRC	0.08475
MYO1C	-0.32025
FAM89B	0.175333333333333
FAS	0.853375
KIFAP3	-0.31325
GLRA2	-0.029
BTN3A2	1.1778
CNKSR3	0.692625
CSTF3	-0.314166666666667
ARPM1	0.94375
KIAA1530	-0.3295
C9orf150	1.54783333333333
PRKCI	0.7255
tcag7.1015	-1.006
SOD3	0.12
ZNF574	0.38
CYP21A2	-0.86025
RPL12	0.28525
COMMD2	-1.14925
WIZ	-0.0345
LOC344405	-0.839
ALDH4A1	0.119647058823529
CRYAB	0.80525
COPA	0.134233333333333
PCDHGA7	0.0805
KIF11	-0.268833333333333
RASD2	-0.62625
SLC26A3	2.1545
ZNF175	-0.604
JAKMIP2	-2.06175
C8orf4	1.25666666666667
PTHLH	-0.17675
SLC40A1	3.22908333333333
OR7D4	0.372
PCDHB17	-0.085
CD36	1.20514285714286
C6orf203	0.7459
PRKG2	-0.2545
LOC400566	-0.33525
ANAPC13	0.21575
SLCO3A1	-0.58875
ZNF692	-1.6875
FANCL	-1.2025
SH3GLB1	0.65575
C12orf61	1.4155
KBTBD6	1.51575
SUPT5H	0.07125
XRCC6	-0.2682
HUS1B	-0.9691
FAM133B	0.051
LOC728276	-0.931
KCTD18	0.86725
SOS2	0.7975
CCDC99	-1.1095
C1QTNF5	2.9135
NNAT	0.047
USP16	0.01375
LARS	-0.453875
ZBTB2	0.322375
ABO	0.709333333333333
TRAF3	0.99675
GALNT5	1.081
NAP5	0.222375
ALG14	0.947833333333333
KIAA0515	-0.176884615384615
WDR75	-0.239666666666667
TEX261	0.3795
LY86	0.242
LOC389072	0.1735
FLJ13611	0.01075
MRGPRX2	0.2785
SNRPA	-0.461875
OR2G2	0.0435
GPRASP2	-0.4785
C7orf42	0.5483
C9orf163	-0.4425
CYP11B2	0.2425
FCRL3	1.93766666666667
PRDX1	0.132
FGB	-6.56816666666667
COX17	0.119333333333333
C16orf33	-0.953
PIWIL1	5.419
FOLR1	-3.2465
KIAA0082	0.0875
FREQ	-0.673333333333333
TMCC2	-1.82933333333333
TCF12	0.41675
ZNF721	0.75025
FAM130A2	-0.296
POU4F1	-2.40825
SNRPF	-0.41125
SGIP1	1.99066666666667
ZNF641	0.961666666666667
EMG1	-0.588875
PRRG4	2.1145
HIRA	-0.26675
MYNN	0.0913333333333333
AEBP2	-0.162
TBXA2R	-0.666833333333333
ISL2	-1.07466666666667
PCDHB11	-0.7935
RNF144A	-1.122875
MARCH5	0.4405
DULLARD	-0.7955
DCLRE1B	-0.213
ITGA8	1.0895
TP73	0.38075
PRKCD	1.248
NDUFB4	-0.42175
ATP13A4	0.1495
ANTXR2	-0.0233333333333333
COL4A3	-0.244666666666667
MYO10	-0.0124
SLC6A18	0.52775
PEX1	0.3295
TMEM74	-0.7285
RBM19	0.231
TAPBP	0.67275
RUNX1	0.604625
MID1	0.2895
GPR64	-2.67583333333333
RASEF	3.8915
GABRG1	-0.04675
MYO16	-0.7865
DBF4	-0.471666666666667
TSHZ2	2.73975
RIPK2	1.78225
PPTC7	0.466166666666667
KIF4B	-0.3945
LRRC31	2.623625
ZNF540	-0.04675
EFNB3	-0.534166666666667
LOH12CR1	0.257625
STON2	-0.015
GLP1R	0.30975
CSTF2T	1.018
IREB2	-1.276125
GRSF1	0.59075
PDCD7	-0.974166666666667
LRRC43	0.708
CNR1	0.327333333333333
IL1F7	-0.6495
C12orf64	-0.37375
FAM69B	-2.72275
NR2E1	-2.17416666666667
MS4A6A	3.1354
FTL	0.4149
C7orf36	-0.063
PCLO	-0.3941
DYRK2	1.24666666666667
ARIH2	-0.102375
SAMD7	-0.1595
SCNN1D	-1.0245
SLC32A1	-0.580142857142857
C22orf25	-0.236333333333333
MRPS18A	0.0395
GPR112	-0.309
EARS2	-0.54825
ERN2	2.5285
ATPBD3	0.262333333333333
PRH2	-0.6025
CDKN2D	0.0563333333333333
PGLYRP2	-0.97625
TRIM40	0.35775
SEC14L3	0.00283333333333332
SLC22A1	-0.35275
BTN2A3	0.26325
RASA4	-0.37325
CCNL2	-0.640166666666667
MYBPC3	1.346
GJA4	3.15525
CDC42SE1	0.294875
TRPV2	-0.68025
MYPN	-4.0051
SIM1	-0.0515
CDADC1	0.944333333333333
ZFHX4	-1.0395
NIBP	1.55616666666667
ADAMTS19	-2.85866666666667
ABTB2	0.24475
TSPYL2	-0.9795
EIF2S3	-0.5088
SOX30	2.466
AP2A1	0.144333333333333
DKFZP564O0523	-0.0945
LOC285398	-0.0285
CDH18	-6.24075
CHL1	1.225375
GATS	-0.3467
TBC1D2B	0.0145
OR1J1	0.607
GSN	0.574333333333333
DPCR1	0.58975
GARNL4	0.541833333333333
SMARCA5	0.039
PLEKHG3	1.24916666666667
ZBTB45	0.3725
FRMD6	-1.96783333333333
PLS1	3.2905
DGKZ	0.469
EFNA1	0.9064
WDR85	-0.28425
ANK2	0.015
PAGE4	-0.892833333333333
SENP6	1.012
AKR7A2	-0.313
FKBP10	-1.798
VEGFC	-2.38533333333333
LARP1	0.3473125
SRBD1	-0.173
ITGB6	2.94525
SLC1A2	-1.95084615384615
INVS	-0.168
MPO	1.04975
MOBKL3	0.0335
CUTL2	-2.391625
KLK2	0.6245
VIM	-1.63575
REG1B	0.599
PCDHGC4	0.4355
C3orf34	-0.731333333333333
SUMO3	0.363833333333333
CST9L	-0.98225
MLL4	-0.31275
SPR	0.986833333333333
SAMD9L	1.53375
ABCE1	0.17025
SUPT3H	-0.0348333333333333
ACTBL1	-3.07325
ADAMTS4	0.742166666666667
SLIT3	1.915
RHEBL1	-0.6905
NPM2	0.92775
MAN1C1	1.006375
KIAA1856	0.57375
HSPA6	1.0025
LOC388152	0.047
C10orf140	-2.0245
ZDHHC12	-0.097
LIN7A	-1.8213
PHC2	0.29925
SPHK1	-1.08225
TRIM26	0.5615625
FAM83E	1.745
C18orf24	-1.39283333333333
ZNF578	-0.798166666666667
ORAI1	-0.3145
RUVBL1	-0.372916666666667
C7orf20	-0.109833333333333
APAF1	0.637
SLC36A4	-0.894
MYH11	4.36916666666667
NEK1	-0.3311
MPP2	-1.983
C12orf24	-1.27
TNK2	-0.0635625
ZNF289	-0.33575
MATN3	-2.85428571428571
IFNGR2	0.859166666666667
ITPR1	-1.0855
EBF3	1.8512
TBC1D20	-0.8495
OR10P1	0.3425
DDAH2	-0.13775
SHPRH	-0.17775
STX7	0.1205
LOC554248	-1.607
BCAR1	-0.2755
ATXN3	0.428083333333333
TRIM27	-0.01775
CDC42EP2	0.114
CHP	0.0402857142857143
SOX17	1.690875
ZNF259	-0.0425
CHCHD1	0.11125
ZDHHC19	0.3555
GBP2	3.487
GARNL3	0.631875
MRC2	-1.022
C1orf52	-0.5505
AOF2	-0.2275
LRPPRC	0.1563
ACVR1C	2.102
TM4SF18	1.77433333333333
TMEM169	-0.8505
PPP1R16A	0.97
EBF1	-0.510833333333333
RRS1	1.30016666666667
SNX2	0.09975
OR2T2	-0.00650000000000001
RBX1	-0.6755
ANKRD54	-0.260833333333333
TSNAX	-0.393833333333333
TMEM83	-2.17925
ZBTB7A	0.79275
ATM	-0.46275
LOC338328	1.05916666666667
TIE1	0.9335
HIST1H3G	-0.470333333333333
PASD1	-4.75083333333333
TINAG	1.53675
PCDHAC2	-0.1755
LRRC15	-0.68175
WBSCR17	-2.1095
TFF2	2.6245
PARP2	-0.3005
NDFIP2	1.872
PCDHGB2	-0.3915
WDR60	0.14825
MAP7D2	2.4082
USP45	-0.592
GSDML	2.04525
TNS1	-0.4248
PLCD4	-1.583
IQCD	-0.392666666666667
SMPX	-2.4155
CD9	0.355666666666667
SRGN	1.877
CASP7	1.46675
INOC1	-0.192666666666667
DKFZp451M2119	-1.096375
VMAC	0.968
USP53	1.1981
CAMK1G	0.15425
TMEM106A	0.222833333333333
CDC20	-0.9187
ACSL5	3.33883333333333
CBWD5	-0.171
C1orf87	-0.198833333333333
KIAA1274	2.25625
PRUNE2	0.918142857142857
LYPLA2	0.0995
DOK6	-2.15616666666667
GPR149	0.22475
FAM30A	4.411
TMEM129	0.52125
SLC35B3	0.7725
ACPP	2.6606
LOC200261	-0.851
SLC4A7	-0.1051
CCDC40	-0.000749999999999987
GART	-0.18825
THOP1	0.65225
SCARB1	-0.643375
CACNA1F	-0.0865
TRIAP1	-0.276833333333333
SYT14L	0.58
SFRS8	-0.147166666666667
PBOV1	0.2575
GOLSYN	3.62525
GJB7	-1.3045
CAMK2N1	0.5105
GREM1	4.51283333333333
FLJ20433	0.00725000000000002
QPCT	-0.935625
PRKAG2	1.16883333333333
H2AFX	-0.89275
C6orf154	-0.9655
PLOD3	-0.43425
ZBTB39	0.0483333333333333
WASF3	-1.70491666666667
DRG1	-0.21075
PRR4	-0.6645
SPCS1	0.3305
KDELR3	0.5785
SRP19	-0.247
GABRA6	0.06375
MFSD1	0.699
MMEL1	0.5415
PDXDC2	0.6184
BUB1	-1.26022222222222
