Hybridization REF	TCGA-AA-A00Z-01A-01R-A002-07
AMACR	2.68316666666667
RHCG	0.31025
VPS13A	0.245333333333333
FAM55D	5.7405
PRPF38B	-0.0304166666666667
OSBPL6	-3.255
PFDN5	-0.2684
CMTM6	0.7925
KCNK12	-1.6455
RP2	0.18875
C16orf52	-0.48925
PICK1	0.5255
IFNE1	-1.27433333333333
SEMA4B	0.09075
TYRO3	-2.04125
OR12D2	0.2015
CSNK1A1	0.0376
FANCF	1.576
LONP2	0.154875
TBL1Y	-0.58675
LDOC1L	-0.16025
CCNC	0.0945
C3orf60	-0.27075
CHKA	0.04975
UBAP1	0.08725
MAP3K1	-1.057
ANKRD9	-0.29775
FAM92A1	0.5845
GAB2	-0.383
AZU1	-0.4275
DIS3	-0.107166666666667
C21orf109	-1.058
IQCB1	-0.1295
SPATS2	-0.679
EFCAB3	0.44175
PRB3	0.023125
FUZ	-0.7575
ZNF813	0.052125
BMPER	-1.218
HEG1	-1.093
ALS2CR11	-1.15525
SURF2	-0.1285
PSMC1	-0.27
OR2D2	0.316
SLC7A8	-0.692
C4orf40	0.024
SPATA7	-0.484
MAZ	-0.178583333333333
PIN4	1.33
PDE1A	-1.7015
TAF6L	-0.0995
OR2T34	0.357
KIAA0284	-0.27675
ACADS	0.0182727272727273
MKRN2	-0.3575
C18orf56	-0.858
MS4A6E	0.081
GALNT4	1.4325
C22orf31	-0.083
FLJ36070	0.4315
PSME4	0.1165
TFG	0.1506
EPHX2	2.350375
ANXA5	-0.875125
KRTAP1-1	-0.1108
BATF	-1.01825
KARS	-0.464
MSTP9	0.447
GPR26	-0.106625
CCDC72	0.53
TEF	-0.504666666666667
FOXK1	-0.0548
PRLHR	0.088
EMX1	0.16475
C11orf30	-0.877375
ICK	-0.178875
THSD7B	-0.4685
C21orf100	-0.5795
DUOX1	2.017
EFCAB4B	-0.179
UBE2G2	-0.581
C3orf54	-0.63275
PARP1	-1.11375
FAM60A	-0.0891666666666667
C6orf146	0.228
OR9K2	0.2505
DDX55	-0.526
RPS15	0.850083333333333
ZNF618	-1.212375
DKFZp686D0972	0.1555
SSPO	-0.0575
SHFM3P1	-0.226833333333333
CPA6	1.383
JAG2	-0.94125
DEFA3	0.58925
PPBPL2	-0.0215
CD34	2.84475
SLCO4A1	-0.032625
AFG3L1	-1.11333333333333
SHD	1.71575
RP13-122B23.3	-0.52
PRKCSH	-0.386666666666667
DPH5	-0.225166666666667
HLA-F	1.8005
TBC1D4	-0.23
RIG	0.0495
GLUD1	-0.464166666666667
HNRPCL1	-0.70275
HBXIP	-0.26575
RNF207	-0.1625
APIP	0.7865
PLA2G3	0.695333333333333
CCDC84	-0.50925
MYLIP	-1.15276923076923
PHIP	-0.44325
AARS2	-0.195833333333333
DHX32	0.634
SCAPER	-0.167333333333333
MEN1	-0.39075
NIP7	0.00124999999999999
FLJ25404	0.371
FASTKD3	0.04375
TMEM158	-0.935166666666667
RARA	0.30975
BDH1	0.7515
ANKRD16	-1.402
CARM1	1.9425
SS18	-0.8765
IKZF2	-1.10833333333333
MYD88	0.426875
PML	0.6453
TAF1A	-0.57075
CBFB	-0.44825
HIST1H3H	-0.987
C7orf29	-1.353
COMMD4	-0.534166666666667
DPP3	0.618
DAB2	0.6015
LOC388882	-0.0415
YPEL4	-1.492125
AGBL3	0.74525
LRP6	0.6187
SERPINH1	-0.814083333333333
TLE1	0.31025
CD244	0.289666666666667
ZDHHC15	-1.39575
MGLL	0.4803
PLDN	-0.143583333333333
LOC654346	2.54
FAP	-0.2545
GPR37	-2.0805
SCARA5	0.850666666666667
EBF4	-0.362363636363636
LSM6	0.79575
MLLT1	-0.2426875
SLC5A12	-0.412
A2BP1	-1.169
COPS5	0.123333333333333
TPM4	0.479
TNFSF4	-0.889
ACADSB	0.2145
HERPUD1	-0.2345
BCL2L11	-1.35927777777778
CEP78	-0.16925
CDCA3	-0.095625
WBSCR19	-0.2515
MYO1A	3.601
PPEF1	0.517
LOC440348	-0.8
CPEB2	-0.329625
BPTF	-0.222166666666667
RPL21	0.376
GSX2	0.01
ADPRH	1.0585
C17orf68	-0.680166666666667
KCNS1	-0.430833333333333
MLLT6	0.5097
PIWIL4	1.897
RNF26	-0.593
RAP1B	0.345
ADAMTS1	-3.4155
ZNF571	0.07775
P2RY6	-0.70275
TRIM21	0.877166666666667
CADM3	0.1385
NLRC5	1.59983333333333
ADRA2B	0.00950000000000001
LOC90835	-0.613125
PCF11	-1.16025
LOC400451	-0.296
GLTSCR1	0.5455
C17orf88	-0.286166666666667
CDH16	-1.17475
FGF7	0.84625
PCSK4	-1.54966666666667
NPC1L1	-0.0968333333333333
TAT	0.16
TBCA	-0.5745
MGC33407	-0.0655
GPR115	1.898
CYGB	0.084
FNBP4	-0.746333333333333
C12orf43	-0.3395
CBL	-0.4573
CLECL1	-0.06475
PPAPDC1A	-1.1755
WDR25	-0.528333333333333
SGCA	0.6275
C22orf29	-0.754333333333333
YIPF1	0.61525
GALK2	0.41475
RAB3B	-3.32333333333333
LOC440087	-0.76625
UCP1	-0.1665
REEP5	0.272375
FADD	-0.6616
FOXA1	-0.5685
CACNA1A	0.347833333333333
ABI1	0.599166666666667
GRIN2D	0.8375
SLC1A4	-0.392
LOC401127	0.04825
HINT2	-0.04
PLD4	-0.366333333333333
ZNF286A	-1.23425
ENY2	-0.4065
IL1F6	0.0605
PXDNL	-0.2875
C20orf79	-0.12475
TNFSF13B	1.098
DENND3	-0.32375
JARID1D	0.4255
HIST1H2AK	-0.0915
LOC93349	0.2903
SSH1	-0.7024
ENSA	-0.0615
LOC219854	0.180666666666667
CKAP2	0.0592
DKFZP564J102	0.781166666666667
MGC87315	0.357833333333333
HNRPAB	0.325
AMH	-2.3755
ZNF526	0.555
BRUNOL5	-0.2234
CACNG3	0.135166666666667
TRPM1	-1.256
PPP2R1A	-0.28375
COL2A1	-1.59675
DDN	0.110833333333333
FLJ25770	0.282166666666667
HK2	-0.904428571428571
ELOVL6	-0.141125
MDK	-1.6475
EPHX1	-0.89575
RASSF2	-0.20525
DKFZP434B0335	-1.05425
DLX3	-0.039
PRTN3	-0.7735
AVPR1A	0.0915
C21orf125	-0.9415
TNFAIP8	-1.044
GNB2L1	-0.59425
CALCRL	1.419
SCGB2A2	-0.232
UBXD7	-0.20075
ZNF674	-0.292
TMEM35	1.628125
BRSK2	0.21275
HECTD3	0.0085
TMEM188	-0.11075
LGALS9	3.2045
SCARB2	0.512916666666667
USP34	-0.120083333333333
C17orf28	0.109833333333333
ZDHHC23	1.23175
AQP12B	2.996
SLC16A3	-0.934625
APLP2	-0.0505
ITIH2	-5.086
MICAL3	0.196
TNNI3K	0.1467
HDAC2	0.107375
PRR7	0.294
THBS2	-2.52525
LOC751071	-0.722666666666667
CA2	1.09116666666667
RANBP17	1.40225
RLN3	0.0595
CRYZ	-1.2445
GBAS	-0.462333333333333
TAS1R1	-0.65925
MPZL3	0.6395
PCDH8	-1.49525
HSP90B1	-0.163833333333333
KCNK15	-0.548
TNIP2	0.0983333333333333
GPR146	-1.77175
NOL6	0.215125
SPC25	-0.456111111111111
STEAP2	2.56971428571428
VAMP3	0.839
TCIRG1	-0.1555
ZP4	-0.100833333333333
PARL	-0.416875
TRIM39	-0.157166666666667
KIAA1305	1.12375
CRNN	0.0993333333333333
GRN	-0.02975
HSH2D	0.91
SCAMP1	-0.00931249999999999
KIAA1913	2.0845
PTS	0.29275
BANP	-0.0622142857142857
PRKACG	0.099
ADCY6	0.268833333333333
C16orf46	0.249
CYP51A1	0.49575
DDC	3.6515
ANPEP	0.1225
PROM1	3.801
SIGLEC10	1.18525
COPG	-0.151
FAM26E	-0.20375
TRIP4	0.063
SNX3	0.0453333333333333
C1orf175	0.8365
PPY2	0.0635
C14orf152	-0.03475
FTSJ1	0.103666666666667
DST	-0.7595
LOC554235	0.04825
GLRX5	-0.69775
C20orf12	0.3175
CAB39	0.821166666666667
MSH2	-1.09066666666667
PIP4K2C	0.787
CYLD	0.103375
WTAP	0.3
MGAT4A	0.918
TSC22D4	-1.2103
CHRM2	0.6885
PPYR1	0.0943333333333333
CCNH	0.399333333333333
RRM1	-0.49125
ECAT8	-3.57325
LOC400120	-0.00199999999999999
GABRA4	0.127125
C14orf4	-0.0655
C1orf59	1.03125
CTDSPL	0.4255
NHEDC2	-0.1585
PDE11A	-0.2120625
KLHL29	1.58075
CD5	0.53
TSPAN9	-0.1065625
WDR67	-0.02825
THUMPD1	0.1517
C18orf17	-0.982
CLYBL	1.177
FLJ13231	-0.73525
CMBL	0.20425
LECT2	-0.119
NKAPL	0.626333333333333
LOC654780	0.7405
OR4C6	0.00949999999999998
RAB30	-1.64716666666667
TSSK4	0.0775
TMEM163	-0.2885
OSBPL11	0.493666666666667
GNB5	-2.072
CCL21	1.0095
C1orf121	0.433666666666667
FMO2	0.351333333333333
RPTN	0.531
MSTN	0.073
VCL	0.0760714285714286
FYTTD1	-0.622
C11orf1	0.3265
CCDC88C	0.3074375
HFE	-0.165944444444444
MOGAT1	0.1655
FAM125B	1.24
IRGQ	0.082
RAVER2	1.01475
AKAP5	-0.7675
SSSCA1	-0.34575
C11orf63	-1.340375
ACTG2	1.444
PORCN	-1.408
DTL	-0.953090909090909
TMEM151	0.497
FAM122C	0.3775
RSAD2	2.3324
BAT4	-1.145
KRTDAP	-1.69916666666667
MYH8	-0.175875
CRTC3	-0.13475
LRRFIP2	0.2089
INTS4	-0.374166666666667
TTN	-1.273
SLC26A5	0.2675
PLLP	-0.89475
RGS6	-0.767
SRGAP3	0.9215
ZNF525	0.0361666666666667
NBR2	0.214666666666667
C13orf1	0.7393
ZNF137	-0.5185
CEP27	0.02875
BEST2	1.5065
RNF121	0.3675
DMRTC2	-0.31425
C8orf76	0.018
BCCIP	0.119875
MEST	0.50725
HTRA2	-0.535
ANGPTL2	-1.16025
ILKAP	0.151166666666667
ERAS	0.367
HBS1L	-0.511
CPA5	0.1735
TMEM30A	-0.0605
CD300LF	1.161
WISP3	4.453
CRK	-0.2885
PDS5A	0.181
BRPF3	0.147833333333333
NEDD9	-0.815625
SMPDL3B	1.2985
PSG6	1.501
PSMD13	-0.06675
ETV5	-3.1765
OR51A4	0.071
BTBD7	0.182416666666667
GSTO1	-0.56425
hCG_16001	0.935
MAD2L1BP	-0.123333333333333
COX6A2	0.831
SCNN1A	1.308
LSM1	0.0948333333333333
UGT2B11	-0.274
IDUA	-0.18575
PPP2R3C	-0.566333333333333
COX11	0.8925
PDZK1	-3.0875
ZNF443	1.18383333333333
MGC21874	0.3305
ZNF323	0.4038
KRTAP10-10	0.079
CXCL6	1.893
SLC34A2	0.2132
LOC284402	0.184
NPTN	0.483333333333333
UPP1	-1.11525
SLC6A9	-0.0315
OR7G3	-0.0315
CISD1	0.546
ZNF545	-2.58983333333333
SYT14	-0.452
NT5C3L	-0.1025
ZNHIT3	0.559666666666667
SNRPD3	-0.01275
KIAA0701	-0.098375
UNC93B1	0.155666666666667
GMNN	-0.294875
SPCS2	0.0841666666666667
LOC388524	0.873
NAPRT1	0.79075
PNLIPRP1	0.21775
OR6V1	0.405
PRKAB1	0.97175
EYA4	-2.472
KIF20A	-0.78925
ALG10	0.795
ITPKC	0.506166666666667
LMX1B	-0.1045
RPUSD4	0.149333333333333
C7orf34	0.00699999999999999
DLGAP2	-0.017625
PFN1	-0.8162
MICALL2	-1.05083333333333
ZNF654	-0.861
SS18L1	-0.144375
SLC16A8	0.00475
MKI67IP	0.798166666666667
ITGB3	-0.9775
TCEA3	1.733
CEP152	-0.5856875
CLIP1	-0.177625
ZNF75	0.411
ATP5C1	-0.723333333333333
NUDT5	-0.631833333333333
PSCDBP	1.06425
UBP1	0.42425
RBM27	-0.083
C13orf15	1.543
ZNF282	-0.491833333333333
ZNF222	-0.4586
COL10A1	2.988
PRDM15	-0.86125
TTTY5	0.088
FAM9C	-0.0269166666666667
C20orf67	0.02525
GNG13	-0.3545
F12	1.3395
C1orf41	-0.65375
CPXCR1	0.136
GSK3A	0.137
SUPT6H	-0.0193333333333333
PI16	-1.433
ELL2	-1.70125
C9orf167	0.7955
PVRL3	0.0985
FLJ38596	0.34325
ADAM20	-0.098
GPR89A	0.344
GPR87	-2.6975
ZNF30	1.28075
SMR3B	-0.08675
ZNF770	0.029625
TRPC4AP	-0.0996666666666667
DKFZP686E2158	0.476166666666667
C2orf28	-0.618666666666667
FREM1	-0.700166666666667
LAMA4	-0.0693333333333333
ADPRHL2	0.07625
EIF4G2	0.594833333333333
GUCA1A	-0.0185
CTNNA2	0.210875
NUDT15	0.517333333333333
CEPT1	0.294333333333333
ZNFX1	0.6106
CCDC92	0.214
TDRD1	-0.471
KCNK5	1.0265
ETNK1	0.569083333333333
LTA	0.0915
TTPA	2.16633333333333
B3GALNT2	0.285
SC65	-0.488666666666667
PEX5L	-1.111125
EPS15L1	-0.16575
MGEA5	-0.02775
HIST1H3A	0.34175
ING1	0.0085
BCAT1	-3.76375
ORC6L	-0.492818181818182
KLK11	-4.56283333333333
C19orf28	-0.573625
DNER	-3.879
MED22	-1.0835
ETV6	1.21491666666667
CHAC2	-0.53575
CD300E	0.3775
CEBPB	0.100333333333333
ZNF398	-0.501
LRCH3	-0.1035
HMGA1	-0.2515
CAPN7	0.359666666666667
MGC5566	-2.482
CCL3	1.860625
NANOS1	-1.2865
ZFYVE19	-1.10475
APITD1	0.611
PARD3	0.443625
IRAK4	0.435166666666667
SERPINI2	0.1545
CEP170L	-1.8065
TTC9	0.280875
MYOM3	2.4065
MLPH	-2.259125
LOC222699	0.211
NRG1	-0.946416666666667
TBC1D9	-0.989181818181818
TTK	-0.115833333333333
ZNF557	0.0821
DDX41	-0.834833333333333
FANK1	0.6555
UBE2D2	0.317625
PSMB10	1.449
MYH7B	0.591
GABARAPL2	-0.653875
MARVELD2	2.08616666666667
DGCR2	0.1305
UNC45A	-0.172833333333333
C6orf72	-0.304
ZNF683	1.4335
GIT2	-0.3765
CASK	1.79183333333333
C14orf161	1.783
LRRC44	0.197
TIFA	-0.4385
UTP11L	-0.834625
C6orf65	-1.4835
FDPS	-0.258
DUSP9	-1.5726
SLC17A8	0.1035
OR51G1	0.0941666666666667
NANS	1.1755
OLFML1	0.76075
ATP10B	4.453875
NPAS3	-1.447
PRKCA	-0.1796
GGA2	-0.448875
LCE4A	0.1335
SPANXN3	0.22325
CCDC115	-0.1
SDCCAG3	-0.641
GLIPR1L1	0.0065
TTC1	0.182
C17orf76	2.7875
MAD2L2	-1.0525
HIPK1	-0.484
LRRC3B	-0.507333333333333
CLN3	0.272545454545455
C17orf47	0.24
FMN2	-2.5615
TUBB1	-0.761125
WAPAL	0.231166666666667
C3orf21	-1.074375
SCN5A	-0.4213
SMYD1	0.18475
BEX5	1.65625
ZNF192	0.1335
SEC22A	0.162833333333333
GRIA2	0.1755
KIAA0825	-1.51525
NUSAP1	-0.792181818181818
LANCL1	-0.4275
C15orf40	-0.0254
ZNF645	0.0935
GPR61	0.06225
NLRP14	0.016
SNX21	-0.3951
C1QTNF8	0.0115
C17orf46	0.122
IFNA8	0.273
SPRR1B	-1.212
FLRT1	-0.23475
SNX17	-0.766
ASB2	-0.367666666666667
HBG1	-5.6785
RPRML	-0.46125
JOSD2	0.0776666666666667
PLSCR3	-1.089
SPOCD1	-1.35716666666667
RAB39	-0.3855
GHRH	-0.126166666666667
ITIH5L	-0.03975
C17orf37	1.2095
SMCR8	-0.027
DPY19L2P3	-0.815
IL11RA	-0.542166666666667
GDF3	-3.5465
RPS6KB1	-1.21625
DNAJC19	0.0618
TOP1	0.0205
CRCT1	-0.107
MPST	1.233
DPM2	0.433
FAM38B	-2.77183333333333
SLC18A1	-1.508
FARP1	0.0425
PAX7	0.098
TUBD1	-0.5595
GNL3	0.2455
BTG2	0.464866666666667
NDUFS6	0.6215
C1orf79	0.073
ERAL1	-0.02
ECHS1	0.463
VPS4A	-0.0533333333333333
CYP11A1	-1.10125
ABCC6	-0.243857142857143
PBX4	0.475
MOSC1	1.004
NCF4	1.6075
HYMAI	-0.3125
NAGPA	-0.58675
OTOP2	0.13125
ACOT12	-0.09975
MTHFD2L	0.00687500000000001
LOC441376	-0.94675
C19orf34	0.4505
RAB1B	-0.17925
ALDOAP2	-1.166
NTRK1	-2.1845
ARTS-1	-0.4988
SLC6A11	-0.6465
NAP1L2	-3.31025
CNGB1	0.1295
EPB41L4B	2.23866666666667
FAM134B	3.093375
HS3ST3A1	-2.26016666666667
CPXM2	4.881
SIRPB2	0.3995
CHORDC1	0.328666666666667
TRIB3	-0.783833333333333
SLC2A5	-0.07375
C2orf49	0.0128333333333333
DDX5	-0.19625
OR5L1	1.243
ANAPC4	0.207333333333333
ZSWIM1	0.608125
LOC93622	-0.501875
KCNK3	-0.4955
RP11-35N6.1	-1.616125
ZFP161	-0.1165
AQP9	1.904
SLC15A2	0.1115
MREG	-1.27316666666667
OR9I1	0.135
PDLIM2	-0.42
ADAM7	0.2445
GSTCD	0.211333333333333
WDR21A	-0.1015
SLC12A8	1.58783333333333
TMEM174	-0.12225
IGSF3	-0.722416666666667
LRRN1	-0.72125
LOC402117	0.082
SRPK1	0.763833333333333
LY6K	-2.141
NFIA	1.1375
PTCD3	0.441875
LEP	0.172
PCDH21	3.3435
MAPKAPK2	-0.538071428571429
NMNAT1	1.56083333333333
LHFPL2	-0.264125
C9orf43	1.23425
DIP2A	-0.5885
ACTR8	0.18625
CCDC34	0.08725
PTPN22	-1.295
ITGA3	-0.77475
FAM129C	-0.17575
RABGGTA	-0.397
UNC45B	0.22325
KIAA1033	0.381
ZNF510	-0.0015
CYP2D6	-0.131
SLC26A10	-2.142
STX8	-0.44025
LUZP1	0.396625
WDR89	-0.117333333333333
EIF4G3	-0.00229999999999997
C5AR1	0.451375
ZNF623	-0.251
A2M	-0.68025
TGM7	0.024
GRPEL1	0.518
LMNB2	0.4405
ROCK2	1.60116666666667
SNX16	0.02925
CCDC66	-0.176
ANXA3	2.945
KIAA1609	-0.466625
EED	-0.554
RNF32	0.886333333333333
HES1	0.6015
CLC	1.4235
ISL1	0.475666666666667
KIAA0528	0.430375
MANEA	0.233
C1orf61	-2.204
hCG_2001000	1.0405
RAPGEF6	-0.3774
KIAA0020	0.472166666666667
NEIL1	0.63075
C16orf45	-2.5605
RBM10	-0.27
C10orf125	-0.595625
MRS2L	-0.428
DNAH17	-0.783875
C19orf10	-0.418
C1orf160	0.24375
SLFN12	-1.24825
EXOC3	0.1955
HIST3H3	0.0815
NCOR2	-0.2755
TNFRSF9	0.3285
MFSD8	0.47
ALX1	-2.69383333333333
NOL1	-0.2175
PODN	0.9945
TIAL1	-0.36025
HIST1H1E	-1.7075
NPY6R	0.326
TM4SF4	0.59275
CORO2A	1.08725
ETNK2	-1.35566666666667
APOE	-1.52
ANGPT4	0.31
HDGF2	-0.7715
G30	-0.123
ST8SIA4	-1.273
F2RL1	2.48375
FAM19A4	-3.47425
CCAR1	0.118
B3GNT7	0.5895
OPHN1	-0.0757
DSCR6	0.758
C21orf13	-0.505833333333333
GAS2L1	-0.646916666666667
RFX3	0.171833333333333
COPS4	-0.1045
BCHE	-4.89883333333333
BCL2	-1.254375
HBZ	-3.26233333333333
ARL13B	0.168
MAPBPIP	-0.016625
MYO15B	2.473875
SPZ1	0.723
KIAA1324	1.81111111111111
PLCL2	-1.663
C4orf29	-0.088
WDFY2	-1.472
ZNF284	-0.239
NAALADL1	0.3575
DUSP5	-0.831666666666667
PXDN	-1.044625
SLMO1	-0.492
TNXB	0.5246
BIRC7	-0.63625
A4GALT	-0.992833333333333
TIMM22	-0.9165
FAM110C	0.8615
TOMM34	0.11525
ABHD9	1.9265
ADAM32	2.663
CRHBP	-1.0485
AQP2	0.19475
LOC130355	0.1105
ZNF187	-0.53
ZNF816A	0.123
F7	0.460875
CNOT1	0.5435
SLC13A4	-0.77025
ZBTB11	-0.46625
B3GALT5	1.35275
EXOC2	0.177833333333333
IRS1	-0.1844
TMEM1	0.6325
MRPL34	0.448666666666667
SAMM50	0.084
CDC42EP3	-1.30375
HSF2	-0.7096
MFN2	0.42125
TSPAN7	-1.94766666666667
NUCB1	0.171833333333333
RHOH	-3.12425
ARL16	-0.388
TACR1	-0.00974999999999998
SFRS5	-1.38133333333333
SNX25	0.238625
RHBDF1	-0.77
PCDH18	1.94233333333333
HMG1L1	0.115
MYO5C	1.536125
MAPK10	0.1845
LDHAL6A	0.0915
NUDT12	1.32183333333333
NCAM1	-0.44575
GLIS2	0.96
GGTL4	0.05075
DAPP1	0.1175
ATF7	0.403875
KIAA0748	-1.3345
NFIL3	-0.27075
TM6SF1	-0.1256
SEZ6	0.038375
NANOS3	2.7175
DNAJA3	0.343666666666667
CLDN6	-2.152
CIITA	1.6603
EPHA4	-2.17383333333333
FANCC	0.8845
CMTM3	-1.752125
PSG3	-0.3395
MRPL15	0.16875
C21orf59	-0.009
PLCXD2	0.328
C2orf34	0.55125
UBE2L6	0.58275
MED14	0.673333333333333
HP1BP3	-1.1982
C6orf208	0.316
TPBG	-2.8
OSR2	-1.66125
XPC	-0.758
KLHL7	-0.638916666666667
CCR3	-0.399666666666667
AGTPBP1	0.310666666666667
PCSK6	-0.7274
STAT5A	-0.3776
FAM18B	-0.05075
LONRF2	-4.50433333333333
PTPN2	-0.64325
SF3A3	-0.441833333333333
EFCBP2	-0.61725
HCFC1	-0.435833333333333
AHNAK	-1.0178
ACTR5	0.43175
KIF14	-1.04714285714286
TENC1	-0.59775
HEATR5B	0.0005
YIPF2	0.7945
MYEOV2	0.743166666666667
DUSP18	2.007
KIAA1012	-0.721
AHR	-0.343833333333333
C17orf53	-0.483333333333333
PTPRH	0.58625
ATP6V1C1	-0.1373
TAS2R3	-0.0215
LOC440356	0.741
COQ10B	-0.10625
PSMF1	0.986083333333333
SORBS2	1.06833333333333
NFE2L2	0.06475
TMCO7	-0.124
SH3PXD2A	-0.2076
SH2D2A	0.1805
SPINK5	1.18575
MRPS24	-0.40125
OPA3	0.71325
TRAF7	-1.13533333333333
C4orf35	0.290166666666667
MT1G	-0.61175
MGC39545	0.22025
HS1BP3	0.3784
OR2B2	0.182
CHRM4	0.121
SFRP2	-2.87408333333333
RIC3	-1.1375
ART1	-0.2135
C6orf1	-0.78025
DUS4L	-0.638
C10orf104	0.3445
TNFAIP6	-0.303
RTEL1	1.04875
CCT4	-0.1274
ZNF709	0.36775
CHMP6	-0.553833333333333
UPP2	-0.16375
CYP19A1	-2.75375
CD151	-0.608166666666667
NDUFA13	0.497333333333333
ARFRP1	-0.787166666666667
FAM26B	-0.896
CRYBA1	-1.2095
MRPL41	0.384
NPFFR2	-1.065875
HRH2	0.2245
SCAMP3	-0.225833333333333
MTMR6	0.378
MTG1	-0.3775
UBTD1	-0.708
CRABP1	-2.604
FLJ33790	-1.0584
KIAA1908	-1.1305
GPR158	-1.211
PACSIN3	-2.3615
OMD	0.0298333333333333
CATSPER1	-1.09483333333333
HOXB8	1.041375
FBXO46	1.402
OAS1	2.41966666666667
SVIL	-0.03975
PHB2	-0.59675
ADCY3	-0.0565
NDRG2	0.2985
ERMAP	-0.6244
APBA2	-1.704
IGSF9	0.9935
WNT6	-0.812714285714286
MYCBPAP	0.16025
ATP2B2	-0.2696
CPVL	-1.0887
TRAM2	-0.451916666666667
NOP5/NOP58	0.47925
ZNRF4	-0.29725
TLK1	-0.081875
MTMR12	0.0477857142857143
ZNF384	-0.4735
FAM9B	-2.40125
RPN1	0.1755
PMVK	-0.2335
EIF3D	0.3428
SIX2	0.75025
HPS1	0.738785714285714
RNF7	-0.05625
PSKH2	0.3405
KCTD13	-0.04
CSMD3	-0.4807
FBF1	0.0435
IL8	-1.994125
SERPINB13	0.131833333333333
FBXL20	0.1155
BLR1	0.356
SH2B1	-0.622666666666667
RFNG	-0.284375
RAB20	1.03566666666667
RBM7	0.35575
POLR1A	-0.044
TMPRSS4	3.847
TAF9	-0.128
TERF2	-0.153833333333333
TNFRSF1A	-0.2145
ACADVL	-1.33683333333333
GTF2H5	0.25675
EDG8	-0.790166666666667
C9orf140	-0.0615
UST6	0.14925
ZBTB8OS	0.065
ZNF710	1.08
GPR174	-1.7825
ATP6V0A2	0.17475
KIAA0319L	-0.46575
XKRX	3.638
DOPEY2	0.6768
SDHD	0.269166666666667
SUMF1	0.87675
OSM	1.12625
OPN3	-2.01775
DAGLB	-0.298833333333333
PPFIBP1	-0.4426
TRIM63	-4.419
C10orf53	0.5135
LYPD3	-2.2875
BCL7A	-0.33275
AGER	-1.1755
TCF19	-1.13475
SAT2	-0.711
PFTK1	-2.11766666666667
GABRE	0.520625
C15orf38	0.1342
FIS1	-0.838
KCNV2	0.154
CLPS	0.0985
PPCDC	-0.407125
FOXN2	0.662833333333333
NT5E	-2.6153
CD83	0.36275
IL18	2.8825
VPS16	0.48725
IGFBP2	-1.61866666666667
NOTCH2	-1.381
SIGLEC1	0.778875
CD93	4.04
SULF2	-0.58525
CEP164	-0.287125
P53AIP1	-0.00483333333333334
TOR2A	-0.0473333333333333
ZNF136	0.62925
MGP	-0.3653
CCDC144A	-0.1165
TRPC1	-2.29066666666667
SMS	-0.489666666666667
MAPK7	-0.982833333333333
RRAGC	0.17175
PARD6A	0.469166666666667
NUB1	0.4535
SYNGR4	0.36225
OR11H12	0.15
WIF1	1.577875
GCH1	0.4225
OR11H4	0.091
SLC44A5	-0.1285
GPRIN2	2.50683333333333
LOC401431	-0.81075
CPA4	-2.8551
MELK	-0.256777777777778
IL15RA	0.64875
CUL3	0.381375
HMBOX1	0.26875
PODXL	-1.70775
CCT6B	1.23366666666667
COMTD1	0.67175
MUC20	3.539
GPX2	3.96425
ITK	-1.524375
FBXL5	0.307
C13orf27	-0.5825
DEFA5	4.8025
TRHDE	-0.0965
MTP18	0.428333333333333
UQCRQ	0.8778
ITGB2	0.0606666666666666
CSRP2BP	0.825
TAS2R44	0.1985
PHPT1	-0.243875
FAM44C	-0.089
ERH	-0.12675
MPHOSPH1	-0.126166666666667
MORC1	-0.122
PARVB	-0.557
LAMA1	-2.34958333333333
PGBD3	-0.45225
GIMAP6	1.9655
AREG	3.55216666666667
LIPT1	0.07175
MGC99813	-1.8945
C1orf201	0.1815
GRIN2A	-0.844
MAN2C1	-0.926875
NSUN5	-0.63675
SF3B5	0.56175
MYC	0.5255
NRXN1	-0.457416666666667
ZNF18	-0.414
SPDYA	-0.499375
SLC37A1	1.2515
DECR2	-0.26125
ANKRD38	-0.114375
SPTLC3	-2.26633333333333
SUPT16H	-0.67525
DTWD2	0.87175
ULBP1	-0.7715
ZADH1	-0.932
OIP5	0.23
IL10RB	0.291166666666667
OTUB2	-0.526375
VWA3A	-0.0338333333333333
SPIC	0.1985
OR6C4	0.0835
PSCD4	0.121166666666667
DPY19L2P2	-0.759
TRAPPC6A	0.0718333333333333
C21orf2	-0.863166666666667
CEMP1	-1.47225
LIN7B	0.2315
E2F7	-0.592166666666667
VCP	-0.08
LAMA3	1.7935
BGN	0.09075
GPR160	1.84666666666667
COCH	-0.895666666666667
GPR81	-1.46033333333333
APOBEC3F	-2.84675
tcag7.1017	-0.574
C1orf32	0.4435
SCGB1D2	-0.4955
FLJ43987	0.0995
C6orf170	0.36975
KLK9	-0.054
GPD1L	1.097375
VPS37B	0.5955
ATG3	0.110333333333333
ADAMTS17	0.019
KLHDC2	-0.549666666666667
NDUFV2	-1.1225
BLK	-1.89175
MATN4	0.423
GPM6A	-0.34725
GBP4	3.44166666666667
TMEM162	0.2165
PKP2	1.974
HRASLS	-1.111
MMP1	0.686
SFXN3	-0.9387
FSD1	-1.44366666666667
ST6GALNAC3	-1.17333333333333
CA12	0.538
NCOA6	0.95825
C19orf58	0.3217
PPP4R1	-0.961166666666667
MAN1A2	0.360166666666667
