Hybridization REF	TCGA-AA-A02J-01A-01R-A00A-07
PPP1R14B	-0.636375
SBF1	-1.139
TAS2R42	0.1755
USP46	0.1945
LILRB3	0.876333333333333
SPI1	-0.8365
OXSM	0.0325
GYS2	-0.239333333333333
NUPL2	0.178
C8orf46	-3.04771428571429
SF3A1	-0.3825
C21orf99	0.1465
HOXB4	-0.5681
YRDC	0.46625
GPRC5D	0.3815
BLVRA	-4.36675
KIF12	3.3455
LRRC23	0.41875
FAM14A	-0.528333333333333
RASL12	0.2265
DAZAP2	0.577
IKBKB	-0.254071428571429
ZNF271	-0.842166666666667
BOK	0.09275
CXorf6	-3.73425
MYEOV	1.706
BTN2A2	-1.8302
FRG1	-0.51975
HSP90AB6P	-0.42575
ENOX1	-2.772
ZNF706	1.601
DOK1	0.167
PGAP1	0.514375
TMEM136	-2.502
FSCN1	-3.46775
KIF17	-0.9465
TRIM66	0.489
CBR3	-2.15233333333333
C13orf24	-0.162833333333333
C19orf52	-0.14275
BNIP1	0.15825
AQP3	-2.0835
KRT6C	-2.9835
SIRPA	0.7445
IGFBP6	-3.23683333333333
PLEKHK1	0.496125
RNASE7	0.1725
ARHGEF15	0.44425
NPHS2	0.42575
SRD5A1	0.349
REXO4	0.04725
EEF1DP3	1.5625
SLC37A2	-2.8305
ZNF142	0.2375
ANKHD1	-0.332
MUT	-0.365
VPS37A	-1.039
GPRIN1	-0.708
SLC38A3	-0.57225
BAZ2B	0.7825
WDR87	0.676333333333333
BRD7	0.409
POU6F2	1.9565
NISCH	-0.418375
TCEB1	0.878
LINGO2	-3.132
TAX1BP3	-0.412
RPL34	0.446388888888889
MARK2	0.559
AKAP12	-2.894
AMBN	0.2405
SLC25A27	-0.0855
FLJ21865	1.60725
KIR2DS2	0.3312
WDR77	0.55525
ATF2	-0.6075
ITFG3	-0.0985
SLC39A13	-0.639
ARL6IP5	0.502375
C10orf137	-0.379375
QTRT1	0.468333333333333
CCNT1	-0.06275
DYNLL1	0.2774
WDR53	-0.1665
LIPG	3.38116666666667
ASAH3	0.31
HELB	-0.226
PHACTR2	0.982
VENTX	3.079
LAD1	3.01533333333333
PAOX	-0.51275
MAPK8	-0.44
CCDC38	-0.271
DNAJC8	-1.3107
RBBP8	-1.4235
WNT11	1.2616
KCNJ12	-0.116166666666667
HDAC8	0.597166666666667
STARD4	-0.1405
ACVR1	0.180666666666667
C14orf65	0.55875
KLB	-2.347
C1orf65	0.34
ZFYVE28	-1.0185
NSUN6	1.287
KIF27	-0.114166666666667
SYTL2	-1.00183333333333
UBXD2	0.2567
OR6T1	0.734
CCDC91	-0.784714285714286
GRID2	0.48
CALN1	-0.67225
ZNF423	-0.8465
PSMB4	-0.491166666666667
XPNPEP3	0.160833333333333
ARPP-21	-3.561
SART1	-0.19875
RACGAP1P	-0.12
SPTA1	-5.726
C6orf113	0.117
C7orf16	-2.60575
CHST7	-1.69633333333333
C21orf29	0.2555
SEMA6D	-0.397625
PCMTD1	1.402625
KIAA1754	-2.132
MYCN	-0.6616875
KCNJ3	-0.97075
MAPK13	2.6098
ERO1LB	-3.09325
NTF3	-1.28666666666667
NKX6-2	-0.371
GTF2B	-0.30925
GSPT1	-0.321
GUSB	0.313166666666667
LOC221091	-2.3665
LIG1	-0.424
EXTL3	-0.776833333333333
NID2	-2.90675
TTC29	-1.044
TMEM97	1.03425
EXTL2	-1.25066666666667
SUZ12	-0.0355
IL1F8	-0.0385
KRT18	-0.464727272727273
MRPS16	0.301416666666667
PI4K2B	1.13675
LACRT	0.0615
OR51F2	0.721
JMJD2C	0.389
KGFLP1	0.09275
CDK5RAP3	-0.8024
YTHDF2	-0.0805
GGCX	-0.1245
ARPC4	0.654
EGLN2	-0.137833333333333
KBTBD4	-0.00664285714285716
ROBO3	-1.5279
DEFB118	0.036
KIAA1543	1.92675
RTCD1	0.290666666666667
MZF1	-0.9725
C18orf26	0.8985
CNIH4	0.1265
ZFP2	0.502333333333333
HTATSF1	0.35575
WFDC2	2.87875
NDUFA7	0.483
TTC22	0.9595
FAM40B	-1.4545
DCPS	-0.483
SH2D1B	-1.4626
MRGPRE	0.781
SBK1	0.05
UNQ6411	0.6435
OSBPL9	-0.841
NUP107	-0.448
MYOZ3	-0.2418
PDE4B	-2.44641666666667
FAM113A	-0.199
IDH3G	0.452166666666667
FBXL7	-1.727875
ARFGAP3	-1.00725
MAPRE2	-0.599615384615385
IL1RN	-0.8215
KIF13A	-0.36375
RAC3	-0.9945
TCTE1	0.024
TMEM14B	-0.955166666666667
ADIPOR1	-0.515166666666667
GRINA	0.972
CLIP4	-5.387
LRIT2	-0.126
TFPI	-3.49507142857143
FABP6	4.818
SLITRK2	0.2983
HKR1	-0.8635
SMTN	0.8405
C1orf75	0.051
CD209	0.17475
CYB5R2	-0.79025
DNTTIP2	0.0383333333333333
CSGlcA-T	0.09175
GABRB3	-3.2655
PCBD1	1.83833333333333
TAF3	0.09225
HOXD3	-0.1045
GIPC3	-0.179166666666667
P11	-0.0996
BFSP1	1.1035
LCP2	-1.58875
TAS2R8	0.7355
SEZ6L	-1.17
NR2C1	-0.359625
EXDL2	0.4838
TNFRSF13B	-2.52916666666667
MKI67	-0.21525
GLS	0.482166666666667
C7orf54	-0.2998
LGALS13	0.4045
IL4R	0.2885
SEC11A	-0.761166666666667
SPP2	1.0455
C18orf32	-0.7755
CLSPN	-0.568
SPAG1	3.204375
C9orf82	1.23275
TM4SF1	-1.08816666666667
EMILIN2	0.3875
SMG7	-0.041
TAS2R13	0.11
ZNF628	0.045
DZIP1L	-2.53716666666667
ANKRD13A	-0.5077
VASP	0.382875
ZCCHC11	-1.124
SYPL1	0.528375
MGC34774	-0.213
C4orf28	0.136
KIAA1211	-0.1025
RPS27L	0.2115
TATDN3	-1.4675
PDCD1	-1.10475
OR5P2	0.9255
IFIT1L	0.4875
MIPOL1	-0.85275
OR51D1	0.33075
C1orf92	-0.522666666666667
LAMP2	0.757944444444445
CAT	0.9905
C16orf80	-0.29725
C15orf32	0.0635
ZNF746	0.122
C1orf76	-1.331
ATXN1	-0.1395
LAMC2	2.475125
SLC2A7	0.1535
CPOX	-0.654
APH1B	-0.812
LOC442245	-0.522666666666667
CTNND1	0.909222222222222
GABRG2	-0.692
MADCAM1	-0.167
F5	-1.093125
SEMA4F	-0.6335
NUDCD3	0.54375
PDZD11	0.896
TRIML1	-0.00749999999999995
GCNT3	3.78966666666667
TMEM120A	0.47475
CNDP1	0.045
N4BP1	-0.125125
SLC35F2	0.083875
LCP1	-3.405
IGBP1	1.0262
DCAKD	0.012125
ELA2A	-0.3135
C12orf56	2.95725
PITRM1	-0.103428571428571
GUK1	-0.2445
RASSF8	-3.4121875
OR2A14	0.0765
ADM	-1.04611111111111
FGD3	0.112166666666667
GHRHR	0.208833333333333
RHPN2	1.56675
C4orf39	-1.18
VPS72	-0.3645
SERF2	0.264777777777778
CD22	-0.470166666666667
CD47	-0.1534
PPIC	-1.54433333333333
IMPDH1	0.430416666666667
ACP6	0.408333333333333
PRKACA	-0.380875
PPP1R1A	-2.339125
TRPV3	-0.28725
ASXL1	0.16025
C17orf55	-0.0903333333333333
FXYD1	-0.876
LMOD2	0.2775
ANKRD33	0.382
LCE2C	-0.14825
ZNF620	0.441
DKFZP566E164	2.1815
VSIG2	2.37625
KIAA1128	1.57775
USO1	-0.2045
NUDT4	1.31485714285714
CLDN1	2.52971428571429
OR4Q3	0.4655
FASTK	-0.1555
ICOS	-0.0562
LDB1	-0.5975
GSTA5	-0.97625
ABCC1	-0.569833333333333
FAM54A	0.00925000000000001
PCBP2	-0.569833333333333
NUP205	-0.444
ACTA1	-2.53416666666667
GABBR2	-1.841
PIP5K1B	3.8625
AGXT	-0.797333333333333
RNF181	-0.2525
ATP8A2	-2.3985
AFTPH	1.1240625
FGF21	0.45675
FCER1G	0.693625
SNTB1	1.73125
SLC24A3	-1.198
TXNL4B	-0.6626
RPL10L	0.447166666666667
LOC389517	-0.59345
TSGA13	-0.1765
SHOX2	-3.037
ITGA7	-0.1476
KCNIP2	-0.351166666666667
KLF13	0.0804
ZFAND2A	-0.378
CEACAM1	3.33085714285714
PFKFB4	-1.49916666666667
MED19	0.07675
LRRC57	1.229
RNF11	-0.59225
ANKRD32	-2.358
P117	0.81625
OBFC2A	-0.175333333333333
POLD3	-0.0825833333333333
RAB18	0.187375
TPH2	-0.195
PHB	0.5355
JDP2	1.35016666666667
MORF4L1	-0.6292
POU2F1	-0.35
CNNM2	-0.149416666666667
LOXHD1	0.196666666666667
ZC3H15	0.14925
ELK3	-0.9735
FAM111B	0.17825
CBLC	4.40933333333333
SBNO1	-0.29425
ANKMY2	-0.0365
PLEKHA5	0.167
DHX58	-0.0346666666666667
ARCN1	-0.207166666666667
TREML1	0.2309
KNCN	0.5215
SEC24A	-0.819
PSCA	-1.08575
MGC24125	0.6395
DNA2L	0.185
CIB4	1.20625
HIGD2A	0.6315
TBX6	0.200166666666667
TTLL5	-0.9445
SGK3	0.637333333333333
GCN1L1	-0.66125
AMOT	0.895
LDOC1	-3.00616666666667
NRK	0.2886
ASB9	1.29225
NAT1	0.1352
TRAFD1	-0.63525
PEAR1	-0.621833333333333
FAM36A	0.16
OR1S2	0.525333333333333
LOC388323	-1.139
PGS1	-1.097
LEPREL1	-4.358
TFF1	-3.48858333333333
HAP1	0.134
EPHB2	3.74625
ACTG1	0.413833333333333
ZFP42	-2.2526
HAVCR2	-2.1789
NME1	-0.155
SNX26	-0.1335
LACTB	0.285
ZKSCAN2	-0.226625
C5orf35	-0.17425
ANKS3	-0.708
RBM28	0.28475
DKFZP586P0123	-1.00425
HNRNPA1	0.0595
BCAS3	-2.03741666666667
FLJ20184	0.959
POLA2	-0.470333333333333
TMC7	1.36716666666667
HSD17B6	-0.212
ZNF658B	0.517
TTTY10	0.1665
RANBP9	-0.9305
CPNE7	0.693
EVL	-1.79429411764706
LNX1	0.956333333333333
IFNA21	-0.0236666666666667
CFD	-1.48325
PYCARD	-0.133833333333333
MYBPC2	-1.6025
ENPP3	0.421333333333333
ACSL4	-1.08625
LOC440258	-0.869833333333333
TMEM176B	4.017
SOX2	-5.548625
SCO1	-0.240833333333333
COMT	0.48025
AOC2	0.331
PDLIM5	1.01714285714286
SPHK2	1.0305
NXPH2	0.0185
GPR108	-0.133333333333333
RAD51L1	0.512666666666667
TMEM54	2.7055
LETMD1	-0.186
SLC6A17	0.06825
KRT75	0.465
STT3B	0.3225
CD3EAP	0.889333333333333
TMEM63A	1.61625
DUSP13	-3.25075
CD1C	-2.4905
LASS2	-0.676833333333333
AVP	0.5135
PITPNM1	-0.80575
FLJ22795	0.112
MCTP1	-3.268
TRIM68	1.19416666666667
UCK2	0.0913333333333333
ABHD1	0.6535
FAM50A	0.233
RNASEH1	-0.696
PCP2	-0.663166666666667
OR52H1	0.3115
C20orf149	0.73725
RBP5	-2.22916666666667
HYAL3	0.24325
CLPB	-0.3845
SMNDC1	-0.5345
DONSON	-0.881333333333333
FLJ27523	0.235
BARHL2	-0.0903333333333333
SLC30A9	0.668166666666667
TMPRSS11B	0.68
E2F8	0.7755
CCDC25	-0.750666666666667
C14orf48	0.00133333333333326
C20orf116	1.133375
TSPAN11	0.3285
YIF1B	-1.02483333333333
FAM12B	0.1065
OR1L6	0.3535
HPN	-1.2152
NBN	1.472125
C14orf94	0.298666666666667
OCLM	0.08
ZSCAN18	-0.8656
L3MBTL	-1.7414
TSTA3	1.93533333333333
RAC1	0.421
C19orf15	-0.076
NFE2	-4.6205
KLK14	0.606
ARSF	0.618
MAST2	0.311
AMICA1	1.14366666666667
GTF2A1	0.126625
ATP1A3	0.969
TC2N	2.2469
PNKP	0.191
ODZ2	-3.41675
MATR3	0.015375
S100P	2.045125
KRT82	0.1335
CA13	1.6916
PROZ	-2.06816666666667
AASDH	0.895857142857143
C19orf40	-0.436333333333333
DCK	0.0174615384615385
FAM5C	-1.077
SLC6A4	1.2605
MID1IP1	0.3765
TESSP5	0.3955
TMOD4	-0.276
DOCK2	-3.08383333333333
TUG1	0.424875
NUP214	-1.25125
DPYSL2	-1.03845454545455
GOLM1	1.23241666666667
MPFL	0.45425
SOX13	0.12975
SDCCAG8	0.212
KEL	-2.92883333333333
NUP210L	-2.51625
GK	0.734375
DNAJB1	1.35125
ALPK3	0.2515
CHID1	-0.7747
CYLC2	0.270166666666667
IKZF5	-0.325
C8orf51	1.3735
PPM1J	-1.00275
GIMAP8	0.962333333333333
GPR101	-0.9905
NR2F1	-1.534
ACAD8	-0.48825
RBM35A	2.64125
GNAI2	-1.5065
METTL8	0.302166666666667
SLC39A7	0.718
FBXO8	0.42275
CAMK1	-0.565
RFC3	-0.462125
FAM129A	-3.19621428571429
ILF2	-0.5465
FGFBP3	-0.197625
NOM1	-0.0218333333333333
PSMA3	-0.04325
ASCC3	0.2915
ZYG11A	-4.247
SOX21	-1.254375
LYRM1	0.1585
DEFB1	1.9235
LOC91431	-1.27733333333333
OR7C2	3.0265
FAM46B	-2.560125
TMEM18	-0.468125
ARHGAP30	-2.00683333333333
TMEM86A	0.210583333333333
EPHA2	0.302833333333333
C10orf46	0.8213
TCHH	-1.42
C3orf30	0.0948333333333333
LOC285636	-0.640166666666667
PAIP2	-0.6435
CYP2U1	-0.371125
C12orf34	1.58975
SARS2	-0.266666666666667
ZCWPW1	-0.06525
SAMD12	2.186875
KIAA1430	0.223625
ACAT1	-0.46175
MEOX1	-0.677
ADAMDEC1	4.562
PHKA2	0.11075
CARD11	0.324666666666667
CALML4	3.9255
TSSC1	-0.3215
TMEM45A	-4.71088888888889
MPP7	1.828875
POU1F1	0.48225
SLC2A13	-0.3192
FBN2	-1.37421428571429
ZC3H7A	-0.5615
LAIR2	-1.2925
ST3GAL1	-2.0275
LCT	-2.41275
GEMIN8	1.08516666666667
KLF16	0.671
HIF3A	0.3994
FAM44A	-0.5205
AQP10	-1.2909
PLA2G2A	0.9205
FOLH1	0.515
C20orf186	0.4995
MAPKAP1	-0.683625
SPRR2D	-1.03025
UBQLN4	-0.1585
RSHL1	0.095
PIAS3	-1.31575
MRPL24	-0.1315
GREB1	-5.086625
FAM27E3	-1.973
NUP62CL	0.764
NEUROG3	0.5915
REEP3	0.441083333333333
MARK1	1.27175
LMBRD1	0.41775
PRPF19	-0.0265
PNMT	-1.03766666666667
CTGLF1	-0.951
SLC25A16	0.2475
EIF2B3	-0.947
RPA2	-1.62
PAK6	1.61283333333333
CCDC26	-4.524875
SEMA3E	-2.03971428571429
MXD4	-0.2659
TNFSF10	2.2686
SMARCB1	0.132833333333333
DTX3L	1.46366666666667
PLA2G4E	0.3785
PPAP2A	0.25375
ULK1	-1.41383333333333
TAS1R3	0.3475
SLC2A3	-3.98345454545455
ARID3A	-0.08525
GNG5	0.6195
ACOX1	1.1847
KIF5B	1.0185
NUP153	-0.602
MUC7	-0.1925
CSDE1	-0.447785714285714
CLPTM1	-0.18575
C3orf23	0.15825
LRRC17	-3.35633333333333
TTYH3	-0.1095
ATP5B	-0.9425
ELF3	3.6245
CPSF3L	-0.454833333333333
ZNF665	0.00183333333333334
TLR6	-1.5797
GPI	-0.344125
RAD9A	-0.40425
NDST4	-3.53925
AGPAT3	0.472083333333333
MAGI3	0.861
ADORA2A	-1.528
CACNG7	-0.319
CAMK2D	0.459714285714286
CCHCR1	-0.34175
RPS27A	-0.0735
OR10G7	0.0648333333333333
GCM2	0.017
FAM135B	0.113888888888889
E2F1	0.40625
PLCB3	0.78275
OR2AE1	0.647
COIL	0.391166666666667
CDC25C	-0.112166666666667
RAB11FIP2	0.556166666666667
TSC2	-0.17075
CTGLF5	-1.101
CCDC108	0.8847
OR13C4	0.3175
C10orf81	5.70875
PTPRB	2.159
ACP2	-0.18475
LAG3	-0.95925
MRPL54	0.08425
LOC201175	1.287
ITGB1BP3	-1.54525
SPTAN1	-0.101166666666667
SIPA1L2	-0.3755
RCAN2	-1.2435
CDX2	4.7375
ECOP	0.22825
ACTR1A	-0.0262857142857143
PPARG	2.375
BBS10	-0.344333333333333
TMEM44	0.12025
BPIL2	0.39375
CITED1	-1.04225
IRF6	3.84775
PRDM4	0.821833333333333
RRP9	0.3585
OR10H4	0.4545
IL31RA	0.493
GNB1L	-0.573666666666667
MYBL2	-0.097
ZNF407	0.4365
PPIG	-0.100333333333333
TTC18	1.763
RPSA	0.2345
MAPT	-1.052
MRE11A	0.180428571428571
C8orf37	0.0255
RASGEF1C	-0.156833333333333
STBD1	0.765
CTAG2	-0.1474
MGAT5B	-3.37033333333333
ECM1	-1.233625
RLN1	0.9505
PARP14	0.214
EPB41L1	1.1295
HOXA3	1.43266666666667
MAGEA9	-4.3025
RPS8	-0.000166666666666676
RPS19BP1	0.41675
FOXJ2	-0.26625
C10orf76	0.514625
IL17RE	2.0845
C10orf65	0.82625
ZNF343	1.04566666666667
FBXO33	0.06175
UHMK1	-0.3353
LY6G6C	-0.329
FGF19	-1.80325
C14orf128	0.974833333333333
IFIT2	-1.155125
TIGD1	-0.1345
S100G	0.0545
GUCY1B3	-0.4385
NR3C1	-3.851
CORO1B	-0.603333333333333
PARP11	-0.55275
DNALI1	0.0393333333333333
OR4N4	0.280857142857143
MAP2K6	1.15583333333333
FSTL4	-0.33125
ANKRD47	0.426125
TMEM171	1.357
PNLIP	-0.225666666666667
YY1	-0.289333333333333
CCDC138	-0.575666666666667
AASDHPPT	-0.7506
CKS1B	-0.0238
MCM3	-0.147833333333333
ANAPC7	-0.484166666666667
FAM110A	1.49075
CDC37L1	0.6265
THTPA	0.321
NBPF20	-1.6325
WDR24	-0.332
NPTX2	-0.53025
CBLB	-0.00533333333333334
CETN1	0.0118333333333333
RPUSD1	0.2615
FAF1	0.02275
CDK6	-1.245
HMX2	0.325
CSK	-0.511166666666667
TEAD2	-0.17375
SNAP25	-2.1105
TUFT1	1.2045
TMTC3	-0.296166666666667
LCK	-3.36825
SGOL1	-0.396833333333333
AKTIP	0.38625
FURIN	0.223
SOX12	-1.25516666666667
DEFB103A	-0.0155
RAMP1	-2.4325
KIR3DX1	0.915
GAS2L3	0.00649999999999999
PDE8A	0.2155
EDN3	4.05725
GMIP	0.98175
SF3A2	0.072
FN3KRP	-0.18125
SMAD7	-0.138
RHBDD2	0.68625
OR11H6	1.2655
PPP1R3B	0.9116
C9orf23	0.6665
CADPS	2.581
GOLGA8A	-3.4705
TMEM57	-0.144166666666667
RGL3	-2.406
S100A14	2.28125
FGFR2	-0.6169375
XRCC3	0.22225
RTN4RL2	0.31
MGC3771	-0.5535
GH2	0.149166666666667
BTBD2	0.28
LMO2	-2.66125
RDBP	-0.2185
ACRBP	-1.388
AMY2A	1.0105
DUOXA1	0.7975
PTK7	0.636166666666667
TWF2	-1.33983333333333
FAM80A	1.91325
TNNI2	-4.33933333333333
GLT25D1	-0.337
OCC-1	0.615
CYC1	0.773333333333333
RPL22	0.640727272727273
MORN3	2.23266666666667
DISP1	-0.3355
PRB2	0.0115
CHUK	0.3535
HR	0.975
CCDC134	0.335375
DENND4B	-1.034
C14orf130	-0.155125
RAB33A	-3.00625
DCST2	0.4045
TNMD	1.661
PEX7	1.159
FAM62A	-0.107375
SRD5A2L	0.31325
IL22	0.935
RPS26	0.0253333333333333
HOXC5	-0.391
SPATA6	0.28725
FLJ38482	1.488875
ZNF234	-0.066
C18orf22	-0.13775
SPATA22	0.43875
THOC1	-0.97375
CYP7B1	0.565
KCNC3	-0.06375
C8orf42	-2.2975
ALDH1B1	1.04966666666667
CCDC100	-0.1083
ARMC4	-3.68875
FAM18B2	-0.1655
SLC44A1	0.7145
FBXO17	-1.7045
C6orf107	-0.238
C19orf29	-0.205
ZC3HAV1L	0.53375
PARP6	-0.1647
SULT2A1	-3.96125
C1orf159	-0.16325
TMC1	-0.1245
CHST14	-0.89725
GAMT	-2.94916666666667
SMCP	0.3585
TSPAN33	1.86083333333333
MIDN	0.475875
NOX4	-1.35175
RNASEN	-0.349
TBX1	-3.50366666666667
SALL2	-4.6815
C10orf35	1.43475
CYP2E1	-2.063875
LRFN2	1.73666666666667
ACO1	-0.843
IQCG	-0.689
MEGF9	-0.47825
TM7SF4	0.207
PLEKHA1	1.57413333333333
STK33	-0.80075
C1orf210	2.199
SNUPN	0.1872
KIAA0406	-0.2749
C20orf29	1.019
TMEM55B	0.23075
OSTM1	-1.587375
CLCN7	-0.2605
OTP	0.14875
FLJ23049	-1.75925
HEATR4	0.587
MAP3K10	0.201333333333333
PCDHGA9	0.3655
AMDHD2	-0.544
LCTL	-1.4585
PDCD2L	0.1245
CABLES2	0.614
SLC5A9	0.093
CLCA2	-2.26333333333333
MGC16025	-0.313
STRAP	-0.88
C20orf196	1.7215
RRBP1	1.75083333333333
NAT13	0.05
MAT2B	0.14125
CSNK1D	-0.994
KIR3DL1	0.3065
PRKAG3	0.402
ZNF599	-0.5695
PRM3	0.5425
PER2	1.13783333333333
ASPHD1	-0.417
PRMT6	-1.51125
KCNE1L	-0.398928571428571
FAM118A	1.59366666666667
TAF4	0.84675
NDUFB6	-0.30025
TRIM9	-2.03454545454545
PMFBP1	1.9755
KY	-0.225
DKFZp762E1312	-0.647090909090909
CSMD1	-0.91425
TBP	-0.193333333333333
OR1Q1	0.462333333333333
RETNLB	3.77925
HPGD	0.647538461538462
DNAJC12	-2.54216666666667
FKBP1B	-2.9315
ANKRD24	-0.183333333333333
CXXC5	0.580333333333333
IL3	0.142
DRAM	-0.2167
PTCH1	0.491875
TP53BP1	-0.3675
SLC17A7	0.4865
COL25A1	-1.2111
AMACR	2.16083333333333
RHCG	1.6925
VPS13A	-0.713333333333333
FAM55D	5.742
PRPF38B	-0.03675
OSBPL6	-4.31725
PFDN5	-0.3594
CMTM6	0.24275
KCNK12	-1.6825
RP2	0.91525
C16orf52	-1.0975
PICK1	0.309
IFNE1	-1.13866666666667
SEMA4B	0.09125
TYRO3	0.228
OR12D2	0.002
CSNK1A1	0.1576
FANCF	1.92075
LONP2	0.13
TBL1Y	-1.17525
LDOC1L	-0.163625
CCNC	0.01625
C3orf60	-0.059
CHKA	0.3115
UBAP1	0.20225
MAP3K1	-1.177
ANKRD9	0.288
FAM92A1	1.44166666666667
GAB2	-0.080625
AZU1	-0.04825
DIS3	-0.585416666666667
C21orf109	-1.96375
IQCB1	-0.14975
SPATS2	-0.599333333333333
EFCAB3	0.58375
PRB3	0.20775
FUZ	-1.1025
ZNF813	0.497125
BMPER	-1.22016666666667
HEG1	-1.589
ALS2CR11	-2.035
SURF2	0.3035
PSMC1	-0.2115
OR2D2	0.8225
SLC7A8	0.638166666666667
C4orf40	0.3005
SPATA7	0.23325
MAZ	0.00808333333333334
PIN4	-0.15775
PDE1A	-2.739125
TAF6L	-0.172166666666667
OR2T34	0.8705
KIAA0284	0.30175
ACADS	0.778090909090909
MKRN2	-0.344
C18orf56	-1.69375
MS4A6E	0.213333333333333
GALNT4	2.8319
C22orf31	-0.0875
FLJ36070	-0.039
PSME4	-0.38025
TFG	0.1119
EPHX2	1.58625
ANXA5	-1.546375
KRTAP1-1	-0.2721
BATF	-2.86525
KARS	-0.754
MSTP9	-0.145
GPR26	-0.174625
CCDC72	0.257
TEF	0.610833333333333
FOXK1	0.1156
PRLHR	-0.1065
EMX1	0.385
C11orf30	-0.996375
ICK	0.173
THSD7B	-0.1475
C21orf100	-0.6555
DUOX1	0.7605
EFCAB4B	0.46575
UBE2G2	-0.7375
C3orf54	-1.06025
PARP1	-1.0855
FAM60A	-0.155083333333333
C6orf146	-0.131
OR9K2	0.505
DDX55	-0.564666666666667
RPS15	0.721
ZNF618	-0.7450625
DKFZp686D0972	0.152
SSPO	-0.4975
SHFM3P1	-0.332166666666667
CPA6	3.6655
JAG2	0.28675
DEFA3	0.8265
PPBPL2	0.576
CD34	2.492
SLCO4A1	0.12825
AFG3L1	-0.963666666666667
SHD	2.87425
RP13-122B23.3	-0.453333333333333
PRKCSH	-0.5145
DPH5	0.0626666666666667
HLA-F	0.912625
TBC1D4	-0.521
RIG	0.000399999999999989
GLUD1	-0.3445
HNRPCL1	-0.458875
HBXIP	-0.2495
RNF207	-0.3525
APIP	-0.037
PLA2G3	-2.62883333333333
CCDC84	-0.839
MYLIP	-0.815
PHIP	-0.752
AARS2	-0.1795
DHX32	0.6335
SCAPER	0.286166666666667
MEN1	-0.404
NIP7	-0.161
FLJ25404	0.696
FASTKD3	-0.4715
TMEM158	-1.79358333333333
RARA	0.54025
BDH1	1.2345
ANKRD16	0.33525
CARM1	0.77
SS18	-1.21433333333333
IKZF2	-2.65333333333333
MYD88	0.00287499999999999
PML	-0.77565
TAF1A	-0.806
CBFB	-0.08875
HIST1H3H	-1.30466666666667
C7orf29	-0.89625
COMMD4	-0.257833333333333
DPP3	0.429
DAB2	0.237125
LOC388882	-0.259
YPEL4	-1.632875
AGBL3	0.39875
LRP6	0.3289
SERPINH1	-1.09608333333333
TLE1	0.124
CD244	-0.464
ZDHHC15	-2.16575
MGLL	-0.1937
PLDN	-0.173666666666667
LOC654346	1.5755
FAP	-1.601
GPR37	-0.0228333333333333
SCARA5	-0.593166666666667
EBF4	-0.823545454545454
LSM6	0.878
MLLT1	-0.3036875
SLC5A12	0.036
A2BP1	-0.181166666666667
COPS5	0.6545
TPM4	-0.692142857142857
TNFSF4	-1.8505
ACADSB	0.155166666666667
HERPUD1	-0.39125
BCL2L11	-1.16461111111111
CEP78	-0.686
CDCA3	0.115875
WBSCR19	-0.2871
MYO1A	4.5075
PPEF1	-0.622666666666667
LOC440348	-0.34225
CPEB2	-0.044
BPTF	-0.62775
RPL21	0.377
GSX2	0.965
ADPRH	0.318166666666667
C17orf68	-0.0635
KCNS1	-0.815666666666667
MLLT6	0.1891
PIWIL4	2.97925
RNF26	-0.265
RAP1B	0.042
ADAMTS1	-3.3645
ZNF571	0.485
P2RY6	0.305
TRIM21	0.509833333333333
CADM3	-0.01425
NLRC5	0.4595
ADRA2B	0.4215
LOC90835	-0.739875
PCF11	-0.76125
LOC400451	-0.37775
GLTSCR1	0.3296
C17orf88	-0.362833333333333
CDH16	-1.25575
FGF7	0.103142857142857
PCSK4	0.165666666666667
NPC1L1	-0.222166666666667
TAT	0.256
TBCA	-0.38625
MGC33407	0.17475
GPR115	0.938125
CYGB	-0.2945
FNBP4	-0.5675
C12orf43	-0.24675
CBL	-0.7384
CLECL1	-1.558
PPAPDC1A	-1.748
WDR25	-0.269166666666667
SGCA	1.504
C22orf29	0.454833333333333
YIPF1	0.251
GALK2	0.367
RAB3B	-3.61058333333333
LOC440087	-1.0465
UCP1	-0.3065
REEP5	0.026625
FADD	-0.6254
FOXA1	-1.78625
CACNA1A	0.332166666666667
ABI1	0.915833333333333
GRIN2D	0.156
SLC1A4	-0.538333333333333
LOC401127	-0.02775
HINT2	0.47525
PLD4	-0.562
ZNF286A	-1.416
ENY2	0.566
IL1F6	0.4005
PXDNL	0.2165
C20orf79	-0.4945
TNFSF13B	-0.634166666666667
DENND3	-0.00649999999999999
JARID1D	-2.485
HIST1H2AK	0.301125
LOC93349	-0.8444
SSH1	-0.5733
ENSA	0.10625
LOC219854	-0.0531666666666667
CKAP2	-0.2942
DKFZP564J102	-1.32416666666667
MGC87315	0.2255
HNRPAB	-0.04675
AMH	-2.4105
ZNF526	0.7305
BRUNOL5	-0.0802
CACNG3	-0.00116666666666669
TRPM1	-1.287
PPP2R1A	0.203125
COL2A1	-0.80575
DDN	0.454
FLJ25770	0.40275
HK2	-0.163785714285714
ELOVL6	0.05625
MDK	-1.23475
EPHX1	0.078
RASSF2	-0.66975
DKFZP434B0335	-1.09125
DLX3	0.852125
PRTN3	-0.5875
AVPR1A	-0.3145
C21orf125	-1.58675
TNFAIP8	-1.88066666666667
GNB2L1	-0.2945
CALCRL	0.2985
SCGB2A2	-0.0555
