Hybridization REF	TCGA-AA-A00R-01A-01R-A002-07
ZNF18	-0.00875
SPDYA	0.067
SLC37A1	2.095
DECR2	-0.00275
ANKRD38	-2.06075
SPTLC3	-3.42225
SUPT16H	0.38275
DTWD2	1.38875
ULBP1	-0.762
ZADH1	-1.25166666666667
OIP5	-0.16775
IL10RB	0.288833333333333
OTUB2	1.04225
VWA3A	0.212833333333333
SPIC	0.920166666666667
OR6C4	-0.0185
PSCD4	2.3885
DPY19L2P2	-0.7205
TRAPPC6A	-0.547166666666667
C21orf2	-0.728
CEMP1	-0.448
LIN7B	-1.071
E2F7	-0.507833333333333
VCP	0.2054375
LAMA3	1.95933333333333
BGN	0.2405
GPR160	1.18583333333333
COCH	-4.62166666666667
GPR81	-2.52316666666667
APOBEC3F	-0.95725
tcag7.1017	-1.075
C1orf32	0.5385
SCGB1D2	-1.076
FLJ43987	0.154
C6orf170	-0.86575
KLK9	0.1
GPD1L	0.567125
VPS37B	0.71575
ATG3	0.737833333333333
ADAMTS17	-0.2215
KLHDC2	-1.325
NDUFV2	-0.049
BLK	-1.74725
MATN4	-0.692
GPM6A	-0.059625
GBP4	5.93516666666667
TMEM162	0.3955
PKP2	3.4085
HRASLS	-3.86544444444444
MMP1	2.36825
SFXN3	-0.7215
FSD1	-1.90216666666667
ST6GALNAC3	-2.235
CA12	1.366
NCOA6	0.165
C19orf58	-0.2608
PPP4R1	0.915333333333333
MAN1A2	0.912833333333333
IKBKAP	-0.91075
UPF1	0.0376666666666667
KIAA1219	-0.1355
WNT16	1.15466666666667
SNW1	0.116125
IL18RAP	4.96225
RPP30	-0.724625
CDC40	0.536571428571428
SETD3	0.984166666666667
SLAMF6	1.60475
ELK4	0.385
TRIM47	0.245666666666667
ACOX3	1.095
TRIM6	-2.94125
KIAA0372	-0.7395
TP53AP1	-2.485375
SMURF2	0.59225
ADAD1	0.66975
EBP	0.2579
KRTAP13-2	0.5765
FLJ36874	1.11783333333333
TOR1A	-0.435166666666667
P2RY4	0.576
GPBP1	0.06375
TRPV1	0.0985
ADAMTS12	-0.785666666666667
PES1	0.2105
ATG4A	0.580166666666667
MAGEA10	-4.96175
WFS1	-0.89425
CC2D1B	-0.150833333333333
PABPN1	0.5025
SLC25A30	0.52525
SLCO1C1	-0.5585
SLC22A5	0.905
KIF23	-0.3385
SYN2	-1.0745
ASPN	5.74916666666667
CENTG2	0.506
QSOX2	-0.4505
FLJ10815	0.177833333333333
STK24	0.57975
SPEG	-1.4525
STK10	0.5535
DACT2	-2.746
AAAS	-0.6695
SSX3	-1.79614285714286
ABCD3	0.32
C4orf12	-0.805
PARVG	1.45333333333333
FIG4	0.18575
C9orf46	0.941
TMCO6	-0.9245
IGHMBP2	-0.336
DUS2L	0.219333333333333
FAM3C	1.1024375
TMEM16D	-2.55
DCTN4	0.06575
KCNH3	-0.327
EIF2AK2	1.86275
AP1S3	1.19125
CST4	0.8355
PAM	0.1448125
NUTF2	1.002
CITED2	-1.8854
SLC39A4	1.06475
C2orf52	-0.458
GRM3	-0.451
C12orf49	0.971875
CCDC49	0.2967
GRAMD1B	-1.14757142857143
FNDC4	0.177
SIAH2	-0.411125
GDPD4	0.379
C21orf87	-0.12275
ATP5A1	0.540166666666667
C16orf63	-0.30825
LOC388135	-1.72783333333333
ATP5J2	0.083875
MMP3	2.39275
EMID2	-0.656
CRHR1	0.03175
WDR70	-0.76625
C13orf31	1.10925
ZFAND1	0.6345
CCL18	4.02683333333333
C3orf49	-0.153
RINT1	-0.446
KIAA0408	-2.08383333333333
F13A1	2.288
SLC10A1	-0.184166666666667
OGN	-1.9085
GIPC2	3.83033333333333
XPO6	-0.4575
LCE1A	0.761
FMR1	0.5978
LOC374920	-0.249
DUSP3	0.157125
ANKMY1	-0.47375
C7orf50	-0.93625
BBS9	-0.6682
UNC119B	-0.16525
C9orf72	1.07875
MGC35440	-0.17375
ENTPD6	0.410125
PPP1R2P9	0.43975
ERCC4	0.1745
FAHD2B	-1.4565
HMHA1	0.4425
HACL1	-0.32325
RAD23A	-0.03
FAM83B	3.084
PPP5C	-0.134666666666667
RNASEH2C	-0.595
C9orf153	-0.28925
SCAMP4	0.501125
GHITM	0.6798
NDUFB7	0.458125
ADCYAP1	-0.377166666666667
SP110	2.07783333333333
MAP3K7IP2	-0.0895
DHH	0.2695
AGRN	-0.1855
WDR33	-0.00583333333333332
CEP290	-0.2465
PRPS1L1	0.527
KLRA1	0.1185
GPR97	0.0615
CHD7	0.889583333333333
TLR10	1.82425
SLC30A8	-1.417
HIC1	1.07583333333333
IAPP	0.678
RXFP4	0.71825
GP1BB	0.35725
SHQ1	0.9005
NKX2-3	0.877833333333333
API5	0.57275
FTHP1	0.4575
MOV10L1	0.414833333333333
TRIM6-TRIM34	1.9215
ADHFE1	-1.14325
FAM117A	-0.9925
DDI1	0.115
CDON	-1.86283333333333
TRIM73	-0.9925
IGKC	4.9845
MMP14	0.13475
DYNC1LI1	-0.357
C11orf66	-0.632
TRBV3-1	-0.65
FASTKD5	0.50825
BIVM	-0.93825
LHX4	0.2715
CXCL2	4.1405
RAB2B	-0.1155
IZUMO1	-0.5145
MAP3K15	-1.971875
FAM19A2	-0.451666666666667
ZC3H8	-0.496833333333333
ZMAT1	-0.532
SPINK5L3	-2.786
SLC10A6	1.6215
APPL2	0.48625
CARD10	-0.375333333333333
LOC402176	0.354625
EEF1D	0.5538
RAB6A	0.5019
C12orf5	0.109875
PAPOLG	-0.166
MSRB2	-0.17725
BCR	0.825111111111111
PUS3	-0.8245
TIAM2	-0.17575
ZNF317	0.4495
CHD2	0.192
FZD5	0.868227272727273
NUDT8	0.9175
ZNF763	0.5375
PRC1	-0.419888888888889
ABCB9	-0.587
SPATA3	0.3775
TRAK2	-0.03575
STAB1	3.069
LRRTM2	0.307666666666667
psiTPTE22	0.45975
DBI	0.202
SERPINA11	-4.15225
NAT5	-0.421
C20orf58	-2.7025
RPS6KA4	0.956666666666667
FLJ90650	-0.67
TGFBRAP1	-0.925
CHRDL2	2.770875
FAHD2A	-1.6575
CNTN1	-1.02575
BBS4	-1.2921
TMEM181	0.09575
MINPP1	-0.32875
MPHOSPH6	-0.495
HOXC10	-2.2702
ITPKB	-0.032125
CLPTM1L	-0.18625
MEOX2	-0.484
ATP6V0C	0.315
PRPF8	-0.5155
TMC5	3.06625
FKBP3	-0.6745
PLEKHB2	0.091375
OR4D6	0.045
ZNF544	-0.7695
D2HGDH	0.35875
RPL18A	0.021
HEL308	-0.127625
MPP6	-1.40525
TCERG1	-0.34175
KRT16	-1.17766666666667
KLF17	-1.81166666666667
KLF5	4.180375
CDR1	0.49675
VCX3A	-3.141
FBLN2	-0.5
C14orf104	-0.17475
HBE1	-4.8491
OR4S2	0.544
C1orf108	-0.909666666666667
ROBO4	3.33533333333333
CPEB4	-0.051375
C11orf80	-0.640166666666667
BCKDHA	0.0328333333333333
MYOC	0.49625
GIF	0.2245
CKMT1A	2.207
RPL3	0.0441
THBS1	0.648
APOO	0.09725
ARMCX1	-1.926
HSZFP36	0.87325
SNAPC5	-0.944
EIF4ENIF1	0.383
ZNF433	-1.84525
TNFRSF21	0.9625
TMPRSS7	0.99
SPATA18	1.7731
HPDL	-3.962
MKL2	-0.125
TBX3	-1.94053846153846
C21orf93	-0.0848333333333333
DAXX	-0.01175
ELMO1	0.254875
RGS13	1.49216666666667
TAF11	-0.51425
UNC13A	-1.97775
LOC653314	-0.1521
ORC3L	-0.8205
IMAA	-1.173
TARBP2	-0.63025
CABIN1	0.4496
TRIOBP	-0.1969375
HIST1H2AC	-1.139375
RGS22	-4.25316666666667
NCOA1	0.284
IL25	0.4035
SNCG	-0.7875
GPR6	0.232
AMDHD1	-1.7125
CHEK2	-0.01925
C6orf142	-2.03925
DRD4	0.26075
C14orf68	-1.00125
GDF11	-0.8355
SEMG2	3.757
CD247	1.368
CDAN1	-0.1335
RBMX2	0.526833333333333
TGS1	0.74975
OIT3	1.25425
SYF2	-0.287
MCM4	0.123625
PKHD1L1	0.828625
CEP192	-0.07
IFT88	0.87875
RPL9	-0.332071428571429
RAB32	-1.737
DDX43	-3.25875
P2RX2	0.0335
OR5D18	0.273
UBE1	0.151833333333333
SLC24A1	-0.1905
ARHGAP5	0.9425
CETP	-0.95525
KIAA1731	0.666833333333333
SLC9A4	0.428
PTPN6	1.26
BAHD1	0.29075
GRIK3	-0.109
CACNB2	-1.1806
PDE10A	-0.88975
DGCR14	-0.6395
PCDHB9	-1.99816666666667
RHOQ	0.168666666666667
MAP3K4	0.332
KTI12	-0.107333333333333
RPL23AP13	0.59125
GNG11	-1.586
CLCN3	1.11866666666667
GPAM	-0.309375
VSTM2A	0.299
SLAMF7	4.8145
INTS2	-0.4405
PPP2CA	-0.0767
LRP12	0.0981333333333334
SEC14L2	0.134444444444444
DKFZP586H2123	1.507
MC3R	0.187
CIRH1A	-1.0685
HIST1H2AB	-0.781666666666667
POLH	0.085375
MGC16703	-2.25966666666667
SNAPC2	-0.5065
FILIP1L	1.11725
RASGRP4	0.126
LRRC1	2.547
GAS1	-1.76425
PRAC	-0.32775
DGKA	-0.547166666666667
NT5C3	0.213
PEG3	-5.08758333333333
NADK	0.23225
PRR17	-1.32975
LOC374569	-1.14575
SGSH	-0.698
NLRP8	-0.0504999999999999
GALT	0.2211
MCF2	-1.6225
ZNF263	0.25925
TACSTD1	3.14916666666667
TYR	-7.1115
ATP6AP2	-0.17675
RNUXA	0.0415
ABHD10	0.556
GDPD2	-1.20375
SLC35C1	0.761
UBE2A	0.810625
HERC5	-1.584
FAM112B	-5.1385
FBXL16	0.92375
DKFZP434A0131	-0.423
ELA3A	-1.742
RBM41	0.505125
HAO2	0.03325
RNH1	-0.4025
SHANK2	-3.05966666666667
OSBP2	-1.964125
DAK	-0.899333333333333
C3orf58	0.63075
TCL1B	-0.7655
KBTBD2	-0.25125
SUGT1L1	0.65925
UBE2E2	-1.16666666666667
MYL9	1.4185
CDC23	-0.323333333333333
PBXIP1	-0.2874
CXorf40B	-0.133
NBL1	1.59925
RTBDN	0.4945
RAB11FIP5	-0.599875
TTTY13	-0.719
SCOTIN	0.130333333333333
SOHLH1	-0.637833333333333
CDKN1A	-0.522071428571429
NCK1	0.0105
ZNF550	-3.29875
SAPS3	0.094
SPIN3	-2.815
MAGEE2	-0.43
MIS12	-0.0355
OR8H2	0.447
KIAA0774	-2.35733333333333
UNC5D	-2.475
CUL7	-1.5155
LIPC	-4.14616666666667
DIO1	-2.90025
C20orf11	-0.1008
CTRL	0.84375
HS3ST2	1.2745
PAK4	0.404333333333333
CCRL1	1.89975
RNF10	-0.115625
ZNF567	-0.53325
ZNF660	-0.737
TCEAL3	-2.15725
MAGOH	-0.505833333333333
CENPB	-0.194833333333333
C19orf7	0.08675
LOC388965	-0.51625
ZCCHC13	0.5615
JMJD1A	-0.5788
HIST1H4H	-1.2415
TBRG1	-0.1283
GPC3	-5.4175
TAF1C	-0.770375
EBNA1BP2	-0.0565
CIAPIN1	0.0275
PDGFRA	-1.17716666666667
CSTB	0.471
CENPI	0.904666666666667
GTF2E2	0.696333333333333
RPP21	-0.06825
CCNF	0.878
KCNQ3	0.3815
FAM79A	1.5135
SLC22A12	0.383
NOVA1	-1.5955
FZD3	-0.0624
AKAP8	0.63925
SOCS5	0.085
CFDP1	-0.52875
DLG5	0.13575
PGM5	1.05641666666667
C1orf144	0.76725
HDAC10	-0.916
RND2	-1.81075
C20orf199	-1.472
RNMT	-0.2505
SLURP1	0.462
ASTN1	-0.753
SH3BGR	-0.1335
MYCL1	-0.1165
ZHX1	0.496166666666667
CENPK	-1.14925
FOSB	-0.296
LOC643406	-0.24925
C2orf59	-0.836125
TMEM135	-0.429125
SLC27A2	1.405
KRT33A	-0.2675
OVOL1	1.708
PAMCI	-4.27416666666667
S100A7	-1.9475
ZNF789	0.3235
HARS2	-0.20325
RPL23A	-0.0923333333333333
TCF23	-0.10775
UPF3B	0.59775
C17orf78	-0.1525
HLA-DOB	1.2105
C14orf142	0.664
TEKT5	-0.494833333333333
DMWD	0.0225
POLD1	-0.471333333333333
GSCL	0.6105
CALD1	-0.2518
SCRT1	0.318333333333333
AIG1	-0.09325
UNC84B	-0.4075
ZNF404	-2.997
TMED6	0.0775
KIAA1462	0.238
LRRC27	-0.102
PYGO1	-0.04
PIGU	-0.0075
ALAS2	-3.948
WRNIP1	-0.00175
CNNM3	0.3615
ZNF2	-0.126
ST3GAL5	-0.216916666666667
MRPL23	1.057
TSSK6	-0.16875
PSMA6	0.55775
C16orf70	0.135
KIAA1602	-1.22325
ALMS1	0.628
DCN	-0.336375
TMEM132D	-1.381
SUCLG2	0.96975
ABHD14A	-0.5015
DEXI	-0.200333333333333
AMPD2	-0.662666666666667
IFNAR2	1.19266666666667
CYB5A	1.0877
TLOC1	0.18025
NXF5	-0.352833333333333
NRBF2	0.1095
KCTD3	-0.378
ITGAE	0.362166666666667
SLC30A3	0.270833333333333
ZRF1	-0.6745
IFRD2	0.594375
XAB1	-0.2345
PYCR2	-1.2105
SERPINB3	-5.533
TMLHE	0.4854
GEFT	-1.321625
ABCA5	-0.3045
EMR4	0.720333333333333
TSFM	0.31225
HIST3H2BB	-1.56275
ARHGEF19	-0.49575
TSPAN17	0.632833333333333
ABCC8	-1.90325
MAP1S	-0.0151666666666667
C22orf36	-0.9855
BNC2	-1.26014285714286
HIST1H4A	-0.76475
NDUFS3	-0.0508333333333333
WDR3	-0.1345
XKR4	-0.55925
TTC33	0.248571428571429
STMN2	0.50475
CPN2	-1.13133333333333
HSPC105	-2.34075
PCOLCE2	-1.442
C3orf55	-1.6275
KLHDC9	0.707666666666667
TBC1D23	0.101
ATXN2L	-1.0595
MAP2K3	1.26041666666667
SCAP	-0.36625
ZNF486	0.00666666666666667
C20orf96	0.21375
NARS	0.27975
ADAMTSL1	-1.13564285714286
PRCC	-0.0816666666666667
CCDC126	1.27475
ZNF675	-0.099
CALCOCO1	-0.14275
ANKRD43	3.091
CWF19L2	0.099
ZBTB32	2.942
BRAF	-0.29975
ODF4	-0.08025
MGC14376	0.760333333333333
HORMAD1	-1.63366666666667
AAK1	0.349
PEBP1	0.244
TNFSF5IP1	0.137666666666667
DKFZp564N2472	0.73225
RMND1	-0.439875
IGKV1-5	4.52525
COL1A2	1.11883333333333
SERPINA5	-4.6755
AANAT	0.454
C19orf21	3.0915
GEMIN5	0.484
UBR4	-0.230166666666667
LTBP3	-0.976166666666667
AMHR2	-3.0755
PROCR	0.52375
MYBBP1A	0.02775
C20orf39	-1.48083333333333
ZNF697	-0.38475
PASK	0.086
ZNF776	0.675166666666667
RFXDC2	-0.03125
KIAA0467	-0.16375
C10orf96	-1.225
ZNF503	-0.593
GULP1	-3.11325
KCNE4	-0.569333333333333
DKFZp434K191	-1.218125
LOC196913	-0.0165
BHLHB4	0.1285
CH25H	0.01575
LOC81691	-0.287333333333333
ALPL	-0.728071428571429
COL12A1	0.93075
FOLR3	-2.13583333333333
GPR123	0.032375
TRIM62	-0.319714285714286
ABLIM1	1.01766666666667
MAST3	0.83975
RHBDD1	1.5675
LOC338809	-0.4165
RYBP	0.45525
TTC26	-0.39725
ZNF22	-1.5575
ISCA2	0.07725
RDM1	-3.12925
PIGM	0.17325
GNB3	-1.3645
ACTR2	0.8728
HMGB1	0.9817
EDG1	1.9895
SOAT2	-4.1275
OR10AD1	0.4725
RAP1GDS1	-0.00441666666666667
LCE1F	0.2335
ESM1	-1.120125
RCN3	0.867
CREBL1	-0.294
DBNL	-0.5495
PTGER3	-0.2695
USP30	0.0983333333333333
BCL2L12	0.352833333333333
KIF26B	1.262
ZNF416	-0.509
ZNF225	-0.716
C17orf70	-0.72775
ZNF554	-0.297
RAE1	-0.808833333333333
TNIK	1.9415
ACTN3	-0.1045
MGC45922	0.596
CCNA1	-3.1215
RYK	0.296833333333333
IL26	1.227
LRP3	0.820166666666667
QARS	0.372
SOX7	0.689857142857143
BID	0.819375
OR2S2	0.1985
CXCL14	-0.7335
C11orf47	-0.3085
MGC29891	1.11733333333333
HSPB8	-0.8188
PRDM14	-1.933
NUFIP2	0.3845
MNAT1	-1.05225
ZDHHC2	-1.99216666666667
MBNL2	0.118375
ADD3	0.64025
CSNK2A1P	0.05475
KLK6	-3.2225
TMEM111	-0.9083
KIAA1279	0.67225
NUBP2	-0.116666666666667
RAB42	-0.5385
ID3	-1.6321
TM9SF1	-0.194
MDP-1	-1.35225
POU4F2	0.13125
IQCK	-0.04175
C16orf14	0.6595
CAPN3	-1.101
FAM43B	-0.869
RECQL	-0.27125
AP1G1	0.568642857142857
CTNNBL1	-0.451833333333333
ECHDC1	-2.51466666666667
SMARCC1	0.6524
FOXQ1	-0.6015
GNAI3	0.809
POLG2	-1.21775
CD4	1.545
ITLN1	1.19225
EBI2	3.5095
IRF1	3.0905
PTPRE	3.0424
PTK2B	-0.12725
NXNL2	-2.191
SOX4	-2.03572222222222
TSPAN3	1.52883333333333
SH2D1A	-1.0625
C8orf58	-0.632
USP20	-0.74575
DUSP22	-0.716
CALB1	3.6405
L3MBTL2	0.862333333333334
MCRS1	-0.23625
TMEM118	-1.202
C18orf8	0.894666666666667
FLJ10241	0.236125
GJA12	-0.2815
PKD1	-0.7625
ZFP3	-0.152
JAM3	-2.39675
LAPTM4A	-0.0465
DIRC2	-0.49725
KIAA2022	-2.1504
MYOM1	0.8615
TRPM8	-3.37166666666667
MOP-1	0.84175
PHKG2	-0.27275
ZNF650	0.684
KIAA1522	0.825
PSG8	-2.2875
DDX19B	-0.4755
MOBKL1B	0.415
DIAPH2	2.08241666666667
PTPN12	-0.0675
CLN8	-0.5276
CRYZL1	-0.3835
CRY2	0.128333333333333
FCGR2B	3.16483333333333
PNPLA4	1.843875
ZNF454	-1.0445
DKFZp434B1231	-0.24
CLDN11	0.0217000000000001
RFWD2	0.347833333333333
CIB2	1.02783333333333
MXRA8	0.615625
HRK	-0.50875
MAML2	-0.6965
C4orf31	-2.16975
C6orf192	2.2895
COG6	-0.3
FAM5B	-0.45975
NFATC1	1.0442
SEPT10	0.24
SCYL1	-0.2
RPP40	-0.99275
SCOC	-0.0888
KIAA1450	0.33175
CTDSPL2	-0.4335
TBX5	0.445666666666667
NAPG	0.489625
RHD	-4.7815
C14orf45	-1.12966666666667
ZBTB22	-0.0095
PLCG1	-0.4055
ANKRD10	-0.397625
AQP7P2	-0.539
TAGLN2	0.134833333333333
HTR2C	-1.12366666666667
SLC16A7	-1.00366666666667
C17orf83	0.07275
TSGA14	-1.40841666666667
MDH1	-0.243
PPP3R2	0.269666666666667
DCBLD2	-1.87471428571429
RBM33	0.163625
DPH3	-0.8645
SYT10	-1.0305
FMO4	0.319
THYN1	-1.0435
DRD5	-1.947
OTOR	-0.00371428571428573
PGRMC2	-0.0354
KATNAL1	-0.656375
PAQR6	-1.102
UBE2I	0.30775
C14orf28	0.15725
C8orf70	-0.10775
FLYWCH1	-0.592
ANGPTL3	-1.06825
GLRX2	-0.0576666666666667
ATP11A	0.515642857142857
ARL5B	0.9525
MUC16	-0.7335
SLC25A5	0.712785714285714
ACRC	-1.067
MYO1C	0.078125
FAM89B	0.3605
FAS	2.818625
KIFAP3	-1.80675
GLRA2	0.438
BTN3A2	1.1521
CNKSR3	0.844125
CSTF3	-0.489
ARPM1	0.86925
KIAA1530	0.0165
C9orf150	1.0155
PRKCI	0.59475
tcag7.1015	-0.46675
SOD3	1.81925
ZNF574	0.31525
CYP21A2	-1.0145
RPL12	-0.44025
COMMD2	-0.9235
WIZ	-0.072
LOC344405	-1.11225
ALDH4A1	-0.364941176470588
CRYAB	0.68175
COPA	-0.0225666666666667
PCDHGA7	0.390666666666667
KIF11	0.393583333333333
RASD2	-0.76375
SLC26A3	-0.63
ZNF175	-0.494
JAKMIP2	-0.922625
C8orf4	1.21166666666667
PTHLH	-1.353
SLC40A1	1.75183333333333
OR7D4	0.303
PCDHB17	0.0945
CD36	0.939642857142857
C6orf203	0.6657
PRKG2	-0.633
LOC400566	-0.217
ANAPC13	-0.04625
SLCO3A1	0.30125
ZNF692	-1.5625
FANCL	-1.265
SH3GLB1	0.63575
C12orf61	-0.262
KBTBD6	1.2455
SUPT5H	0.138125
XRCC6	-0.0729
HUS1B	0.0447
FAM133B	0.0317857142857143
LOC728276	-0.621
KCTD18	0.39075
SOS2	-0.0466666666666667
CCDC99	-0.58175
C1QTNF5	2.0965
NNAT	0.0436666666666667
USP16	0.23075
LARS	-0.89375
ZBTB2	0.943625
ABO	0.303
TRAF3	1.72425
GALNT5	-3.8115
NAP5	-1.784
ALG14	0.891
KIAA0515	-0.584153846153846
WDR75	0.417833333333333
TEX261	0.0895
LY86	-0.04275
LOC389072	-0.2965
FLJ13611	-0.283
MRGPRX2	0.286
SNRPA	-0.084125
OR2G2	0.3235
GPRASP2	-2.80975
C7orf42	0.134
C9orf163	-0.436
CYP11B2	0.1415
FCRL3	2.22783333333333
PRDX1	-0.16675
FGB	-7.225
COX17	-0.192333333333333
C16orf33	-0.17625
PIWIL1	2.86883333333333
FOLR1	-3.4595
KIAA0082	-0.031
FREQ	0.611333333333333
TMCC2	-1.21283333333333
TCF12	-0.0449166666666666
ZNF721	-0.19375
FAM130A2	0.486
POU4F1	-2.457
SNRPF	-0.092625
SGIP1	0.826833333333333
ZNF641	0.279
EMG1	0.154875
PRRG4	2.335
HIRA	0.05
MYNN	0.301
AEBP2	-0.0685833333333333
TBXA2R	-0.259833333333333
ISL2	-1.528
PCDHB11	-2.3795
RNF144A	-0.316125
MARCH5	0.195875
DULLARD	0.407333333333333
DCLRE1B	0.378833333333333
ITGA8	0.2295
TP73	1.41975
PRKCD	0.259
NDUFB4	-0.24325
ATP13A4	0.0598571428571429
ANTXR2	-0.662166666666667
COL4A3	-0.877
MYO10	-0.7916
SLC6A18	0.53725
PEX1	0.03325
TMEM74	-0.8885
RBM19	-0.17825
TAPBP	0.85985
RUNX1	-1.20925
MID1	1.98218181818182
GPR64	-3.11183333333333
RASEF	3.44525
GABRG1	-0.876428571428571
MYO16	-1.2765
DBF4	-0.396833333333333
TSHZ2	1.2235
RIPK2	1.71675
PPTC7	0.475333333333333
KIF4B	-0.189
LRRC31	2.772375
ZNF540	-0.23275
EFNB3	-0.696833333333333
LOH12CR1	0.516625
STON2	-1.19233333333333
GLP1R	0.13925
CSTF2T	1.66675
IREB2	-0.428
GRSF1	0.29875
PDCD7	0.0498333333333333
LRRC43	-0.4875
CNR1	-0.177333333333333
IL1F7	-0.037
C12orf64	-0.3175
FAM69B	-2.8105
NR2E1	-2.2544
MS4A6A	3.0783
FTL	-0.4631
C7orf36	-0.702
PCLO	-0.4149
DYRK2	0.698166666666667
ARIH2	-0.156375
SAMD7	0.1095
SCNN1D	-0.89275
SLC32A1	-0.53825
C22orf25	0.0823333333333333
MRPS18A	0.491
GPR112	0.795
EARS2	0.503
ERN2	2.7715
ATPBD3	0.140333333333333
PRH2	-1.6145
CDKN2D	-0.0591666666666667
PGLYRP2	-1.125
TRIM40	0.877
SEC14L3	0.2828
SLC22A1	-0.0755
BTN2A3	0.423
RASA4	-0.58
CCNL2	-0.97325
MYBPC3	1.2565
GJA4	2.78825
CDC42SE1	1.086375
TRPV2	-0.43225
MYPN	-4.0942
SIM1	0.6765
CDADC1	0.287833333333333
ZFHX4	-1.18625
NIBP	1.16233333333333
ADAMTS19	-2.742
ABTB2	-0.59425
TSPYL2	-1.40275
EIF2S3	0.2976
SOX30	-0.11025
AP2A1	-0.08
DKFZP564O0523	0.0125
LOC285398	-0.142
CDH18	-6.075
CHL1	0.37475
GATS	-0.7907
TBC1D2B	0.387666666666667
OR1J1	-0.933
GSN	-0.435666666666667
DPCR1	0.146125
GARNL4	0.752166666666667
SMARCA5	0.06775
PLEKHG3	-0.6685
ZBTB45	0.4175
FRMD6	-1.92666666666667
PLS1	3.57283333333333
DGKZ	0.657333333333333
EFNA1	-0.052
WDR85	-0.47
ANK2	-0.53375
PAGE4	-1.357
SENP6	0.786333333333333
AKR7A2	-0.261333333333333
FKBP10	-1.70025
VEGFC	-2.9585
LARP1	0.625375
SRBD1	0.7925
ITGB6	0.21275
SLC1A2	-1.71664285714286
INVS	-0.0075
MPO	0.3195
MOBKL3	0.0591
CUTL2	-2.09725
KLK2	-0.18675
VIM	-1.77175
REG1B	3.8915
PCDHGC4	0.0765
C3orf34	-1.00666666666667
SUMO3	-0.873
CST9L	-1.30825
MLL4	-0.44225
SPR	1.48716666666667
SAMD9L	2.2685
ABCE1	0.44575
SUPT3H	-0.997
ACTBL1	-2.1845
ADAMTS4	0.928166666666667
SLIT3	1.35925
RHEBL1	-0.509
NPM2	-1.71675
MAN1C1	0.509125
KIAA1856	0.676916666666667
HSPA6	1.0485
LOC388152	1.1165
C10orf140	-2.159
ZDHHC12	-0.153
LIN7A	-2.1135
PHC2	0.23225
SPHK1	-0.88925
TRIM26	0.9510625
FAM83E	1.5355
C18orf24	0.256666666666667
ZNF578	0.3645
ORAI1	-0.168
RUVBL1	-0.126416666666667
C7orf20	-0.506
APAF1	0.6775
SLC36A4	-2.817
MYH11	4.41983333333333
NEK1	-0.2475
MPP2	-1.85075
C12orf24	-2.681
TNK2	0.014125
ZNF289	-0.60875
MATN3	-5.06428571428571
IFNGR2	0.156333333333333
ITPR1	-1.074625
EBF3	1.9773
TBC1D20	-0.0748
OR10P1	0.3825
DDAH2	-0.10775
SHPRH	-0.302375
STX7	1.0385
LOC554248	-2.17825
BCAR1	-0.04675
ATXN3	-0.209333333333333
TRIM27	-0.017
CDC42EP2	1.4095
CHP	0.922571428571429
SOX17	1.737875
ZNF259	-0.0813333333333333
CHCHD1	0.469125
ZDHHC19	0.7565
GBP2	3.9065
GARNL3	0.341
MRC2	-1.2405
C1orf52	-0.62225
AOF2	-0.232333333333333
LRPPRC	0.6234
ACVR1C	2.47133333333333
TM4SF18	1.85783333333333
TMEM169	-0.391666666666667
PPP1R16A	0.24725
EBF1	-0.2645
RRS1	0.537666666666667
SNX2	-0.162
OR2T2	-0.0025
RBX1	-0.40825
ANKRD54	-0.0785
TSNAX	-0.111833333333333
TMEM83	-2.2
ZBTB7A	1.20925
ATM	-0.674
LOC338328	1.395
TIE1	0.8605
HIST1H3G	-0.845
PASD1	-4.63866666666667
TINAG	0.63625
PCDHAC2	-0.4405
LRRC15	-1.5725
WBSCR17	-2.03775
TFF2	-0.8845
PARP2	-0.591
NDFIP2	1.315125
PCDHGB2	-0.0005
WDR60	-0.03225
MAP7D2	-2.2009
USP45	-0.80025
GSDML	2.64675
TNS1	-0.2447
PLCD4	-2.04
IQCD	-1.35333333333333
SMPX	-1.119
CD9	-0.321666666666667
SRGN	1.737375
CASP7	1.927
INOC1	0.55
DKFZp451M2119	-0.853875
VMAC	-0.1675
USP53	0.3357
CAMK1G	-0.124
TMEM106A	0.718166666666667
CDC20	-0.3653
ACSL5	2.84066666666667
CBWD5	-1.004625
C1orf87	-1.36383333333333
KIAA1274	1.0105
PRUNE2	-1.26071428571429
LYPLA2	-0.0896666666666667
DOK6	-3.01216666666667
GPR149	0.14325
FAM30A	3.52675
TMEM129	-0.431
SLC35B3	0.23875
ACPP	1.6137
LOC200261	-0.397
SLC4A7	0.636
CCDC40	-0.03975
GART	0.021
THOP1	-0.468
SCARB1	-1.216
CACNA1F	0.052
TRIAP1	0.0761666666666667
SYT14L	0.064
SFRS8	0.125333333333333
PBOV1	0.68325
GOLSYN	2.3855
GJB7	-1.8245
CAMK2N1	-1.23925
GREM1	5.08416666666667
FLJ20433	-0.19575
QPCT	-4.2915
PRKAG2	1.33216666666667
H2AFX	-0.4195
C6orf154	0.42875
PLOD3	-0.68175
ZBTB39	-0.250333333333333
WASF3	-1.9815
DRG1	-0.22725
PRR4	-1.5095
