Hybridization REF	TCGA-A8-A09W-01A-11R-A00Z-07
NDUFV2	1.10725
BLK	-2.278
MATN4	-1.202
GPM6A	0.762
GBP4	4.02233333333333
TMEM162	0.4565
PKP2	0.134
HRASLS	-0.546666666666667
MMP1	-1.4075
SFXN3	-0.5125
FSD1	-1.21283333333333
ST6GALNAC3	-1.08183333333333
CA12	1.8587
NCOA6	0.05775
C19orf58	0.0998
PPP4R1	0.470166666666667
MAN1A2	1.03783333333333
IKBKAP	-0.62925
UPF1	0.193666666666667
KIAA1219	0.17325
WNT16	0.087
SNW1	-0.3585
IL18RAP	1.25025
RPP30	-0.530625
CDC40	-0.677071428571429
SETD3	0.0108333333333333
SLAMF6	0.17975
ELK4	0.0035
TRIM47	0.827666666666667
ACOX3	1.38625
TRIM6	0.046375
KIAA0372	-0.949166666666667
TP53AP1	1.270375
SMURF2	0.9925
ADAD1	0.661
EBP	-0.5428
KRTAP13-2	-0.324
FLJ36874	-0.202333333333333
TOR1A	0.726333333333333
P2RY4	1.2315
GPBP1	-0.01125
TRPV1	-0.411875
ADAMTS12	-0.0636666666666667
PES1	-0.1982
ATG4A	0.501833333333333
MAGEA10	-3.66725
WFS1	1.469
CC2D1B	0.0753333333333333
PABPN1	-0.350375
SLC25A30	-0.2495
SLCO1C1	0.129
SLC22A5	1.189
KIF23	-1.7
SYN2	-0.165666666666667
ASPN	8.14983333333333
CENTG2	0.70325
QSOX2	-1.5121
FLJ10815	-0.0386666666666667
STK24	0.4479375
SPEG	-0.3867
STK10	-0.0741666666666667
DACT2	-3.451
AAAS	-0.77
SSX3	-1.270375
ABCD3	1.0001
C4orf12	-0.376875
PARVG	0.9265
FIG4	2.2065
C9orf46	-0.34725
TMCO6	-0.89
IGHMBP2	-0.27075
DUS2L	-0.4605
FAM3C	-1.151
TMEM16D	-1.93125
DCTN4	-0.025
KCNH3	0.01125
EIF2AK2	0.301
AP1S3	0.254
CST4	0.5635
PAM	-0.6965
NUTF2	-0.643
CITED2	0.077
SLC39A4	-0.07475
C2orf52	-0.776
GRM3	-0.43325
C12orf49	0.975625
CCDC49	-0.1815
GRAMD1B	-1.012125
FNDC4	1.876
SIAH2	1.262125
GDPD4	0.62025
C21orf87	1.263
ATP5A1	-0.912166666666667
C16orf63	-0.8655
LOC388135	1.34216666666667
ATP5J2	-1.34025
MMP3	1.008
EMID2	-0.1725
CRHR1	0.50675
WDR70	-1.20475
C13orf31	1.36775
ZFAND1	1.271
CCL18	2.495
C3orf49	-0.199
RINT1	-0.7765
KIAA0408	-1.87166666666667
F13A1	4.1113
SLC10A1	0.442833333333333
OGN	1.747
GIPC2	-1.29833333333333
XPO6	0.0531666666666667
LCE1A	0.667
FMR1	0.1114
LOC374920	-0.354
DUSP3	0.4555
ANKMY1	0.54275
C7orf50	0.9505
BBS9	0.0568
UNC119B	-0.299625
C9orf72	-0.620625
MGC35440	-0.116
ENTPD6	0.38075
PPP1R2P9	0.12475
ERCC4	0.5355
FAHD2B	-0.735
HMHA1	-0.279
HACL1	-0.61525
RAD23A	-0.00966666666666667
FAM83B	0.6945
PPP5C	-0.427833333333333
RNASEH2C	0.139875
C9orf153	-0.408
SCAMP4	1.03025
GHITM	0.5087
NDUFB7	0.6385
ADCYAP1	0.223666666666667
SP110	1.652
MAP3K7IP2	1.06025
DHH	0.3445
AGRN	-0.369285714285714
WDR33	-0.266833333333333
CEP290	-0.541
PRPS1L1	-1.5505
KLRA1	-1.1135
GPR97	0.296
CHD7	-0.888666666666666
TLR10	-0.096
SLC30A8	-0.119
HIC1	1.18983333333333
IAPP	0.845
RXFP4	0.97325
GP1BB	1.0915
SHQ1	0.1955
NKX2-3	0.426
API5	-0.215
FTHP1	0.267
MOV10L1	0.7685
TRIM6-TRIM34	2.105
ADHFE1	1.09025
FAM117A	-0.829
DDI1	0.811333333333333
CDON	-0.992166666666667
TRIM73	-1.697
IGKC	2.393
MMP14	-0.5045
DYNC1LI1	-0.224
C11orf66	-0.287
TRBV3-1	-1.5645
FASTKD5	-0.7085
BIVM	-1.206
LHX4	0.682
CXCL2	-2.5298
RAB2B	-0.984
IZUMO1	-1.02275
MAP3K15	-1.81575
FAM19A2	0.0745
ZC3H8	0.558
ZMAT1	0.082625
SPINK5L3	-2.5165
SLC10A6	-0.0435
APPL2	-0.265875
CARD10	-0.6775
LOC402176	-0.55575
EEF1D	1.514
RAB6A	0.8325
C12orf5	-0.8015
PAPOLG	0.37675
MSRB2	-0.1105
BCR	0.630666666666667
PUS3	-0.7305
TIAM2	-0.7145
ZNF317	0.164833333333333
CHD2	-0.495142857142857
FZD5	-0.255136363636364
NUDT8	2.3595
ZNF763	-0.1275
PRC1	-1.36844444444444
ABCB9	1.12733333333333
SPATA3	0.26825
TRAK2	-0.043625
STAB1	3.200875
LRRTM2	-0.105166666666667
psiTPTE22	1.32075
DBI	2.574
SERPINA11	-1.441
NAT5	-0.1285
C20orf58	-1.82325
RPS6KA4	1.19383333333333
FLJ90650	-0.45925
TGFBRAP1	0.4525
CHRDL2	-0.29825
FAHD2A	-0.964333333333333
CNTN1	0.2735
BBS4	-1.0182
TMEM181	-1.16425
MINPP1	-0.4715
MPHOSPH6	0.764
HOXC10	1.6591
ITPKB	0.18975
CLPTM1L	-0.001875
MEOX2	0.0683333333333333
ATP6V0C	0.653875
PRPF8	0.281833333333333
TMC5	3.196
FKBP3	0.32075
PLEKHB2	-0.699625
OR4D6	0.0905
ZNF544	-0.2672
D2HGDH	0.317125
RPL18A	0.1604
HEL308	-0.452125
MPP6	-3.7965
TCERG1	-2.0665
KRT16	-0.815
KLF17	-0.62675
KLF5	0.215125
CDR1	1.777
VCX3A	-4.296
FBLN2	1.861875
C14orf104	-0.633
HBE1	-4.2164
OR4S2	1.9625
C1orf108	-0.556666666666667
ROBO4	3.71366666666667
CPEB4	-0.496375
C11orf80	-0.345666666666667
BCKDHA	0.453
MYOC	0.152
GIF	-1.5865
CKMT1A	-1.3295
RPL3	-0.0351
THBS1	1.598875
APOO	-0.75425
ARMCX1	1.9375
HSZFP36	1.04325
SNAPC5	-0.6755
EIF4ENIF1	0.3065
ZNF433	0.14575
TNFRSF21	-0.8835
TMPRSS7	0.097
SPATA18	0.6678
HPDL	-0.776
MKL2	1.1586
TBX3	-1.41276923076923
C21orf93	0.281666666666667
DAXX	0.125
ELMO1	0.067875
RGS13	2.22433333333333
TAF11	-0.754
UNC13A	-2.28975
LOC653314	-0.0968
ORC3L	-1.016
IMAA	-3
TARBP2	0.1105
CABIN1	-0.9988
TRIOBP	0.183375
HIST1H2AC	0.53975
RGS22	-0.440666666666667
NCOA1	1.1735
IL25	0.7665
SNCG	0.708
GPR6	-0.267
AMDHD1	-1.461
CHEK2	-1.3785
C6orf142	-0.72075
DRD4	0.86525
C14orf68	-0.84425
GDF11	-1.4615
SEMG2	0.394
CD247	-1.4185
CDAN1	-0.7065
RBMX2	0.2075
TGS1	0.166
OIT3	0.33625
SYF2	-0.73275
MCM4	-1.34625
PKHD1L1	0.19575
CEP192	-0.602
IFT88	-0.396
RPL9	0.492928571428571
RAB32	0.69525
DDX43	-2.41525
P2RX2	0.249666666666667
OR5D18	-0.406
UBE1	0.158083333333333
SLC24A1	-0.052375
ARHGAP5	0.118
CETP	-0.318
KIAA1731	-0.835
SLC9A4	0.1875
PTPN6	1.32775
BAHD1	0.07075
GRIK3	0.972
CACNB2	-0.9767
PDE10A	-0.5525
DGCR14	-0.32575
PCDHB9	-1.44116666666667
RHOQ	0.378166666666667
MAP3K4	-0.10875
KTI12	0.321
RPL23AP13	-1.42375
GNG11	-0.1945
CLCN3	-0.0585
GPAM	-0.14
VSTM2A	0.152
SLAMF7	1.99016666666667
INTS2	0.01925
PPP2CA	0.0144
LRP12	-1.18273333333333
SEC14L2	2.65844444444444
DKFZP586H2123	0.81175
MC3R	-0.1655
CIRH1A	-1.4505
HIST1H2AB	2.06766666666667
POLH	-0.9015
MGC16703	-0.989166666666667
SNAPC2	0.332
FILIP1L	0.88375
RASGRP4	0.6205
LRRC1	2.26825
GAS1	-0.4965
PRAC	-1.27575
DGKA	-0.2725
NT5C3	0.51425
PEG3	-2.91083333333333
NADK	-0.3045
PRR17	1.17925
LOC374569	0.04275
SGSH	1.26416666666667
NLRP8	0.0435
GALT	0.5351
MCF2	-1.6045
ZNF263	1.141
TACSTD1	1.38383333333333
TYR	-5.3404
ATP6AP2	0.02
RNUXA	-0.26325
ABHD10	0.0393
GDPD2	0.935
SLC35C1	1.958
UBE2A	0.444625
HERC5	-0.487166666666667
FAM112B	-3.83733333333333
FBXL16	0.9825
DKFZP434A0131	-0.999
ELA3A	-1.8755
RBM41	-1.237375
HAO2	-0.226
RNH1	0.081125
SHANK2	-0.622
OSBP2	-0.463125
DAK	0.954166666666667
C3orf58	-0.662583333333333
TCL1B	-0.5575
KBTBD2	-0.185
SUGT1L1	0.255
UBE2E2	0.953333333333333
MYL9	1.7725
CDC23	-0.9655
PBXIP1	0.8548
CXorf40B	0.5545
NBL1	1.25525
RTBDN	1.106
RAB11FIP5	0.163
TTTY13	-0.0395
SCOTIN	0.791
SOHLH1	-0.00566666666666665
CDKN1A	0.799142857142857
NCK1	0.041
ZNF550	-1.20375
SAPS3	0.360833333333333
SPIN3	0.247
MAGEE2	-0.13825
MIS12	-0.463333333333333
OR8H2	0.5015
KIAA0774	-1.7045
UNC5D	-1.2755
CUL7	-0.271333333333333
LIPC	-2.90766666666667
DIO1	1.265
C20orf11	0.0473
CTRL	-0.2665
HS3ST2	2.72375
PAK4	1.21566666666667
CCRL1	3.07625
RNF10	0.29525
ZNF567	0.20675
ZNF660	-1.028
TCEAL3	2.4875
MAGOH	-0.688666666666667
CENPB	0.226
C19orf7	0.444375
LOC388965	-0.0255
ZCCHC13	0.466
JMJD1A	-1.5494
HIST1H4H	-0.094
TBRG1	-1.0152
GPC3	-1.711125
TAF1C	-1.006375
EBNA1BP2	-0.311
CIAPIN1	-0.46225
PDGFRA	-0.153611111111111
CSTB	-1.082875
CENPI	-1.00283333333333
GTF2E2	-0.8
RPP21	0.08625
CCNF	0.148333333333333
KCNQ3	0.5055
FAM79A	0.77125
SLC22A12	0.822
NOVA1	0.286166666666667
FZD3	0.3856
AKAP8	-0.34825
SOCS5	-0.2735
CFDP1	-1.71925
DLG5	0.52375
PGM5	0.193090909090909
C1orf144	0.299666666666667
HDAC10	-1.0425
RND2	-0.65925
C20orf199	-1.1805
RNMT	-0.24575
SLURP1	0.685625
ASTN1	-0.626625
SH3BGR	-0.73025
MYCL1	1.011625
ZHX1	0.891
CENPK	-2.096
FOSB	-0.0653
LOC643406	-0.101375
C2orf59	-1.000875
TMEM135	0.518375
SLC27A2	-1.75425
KRT33A	3.264
OVOL1	1.209125
PAMCI	-2.63516666666667
S100A7	-0.0315
ZNF789	-2.102
HARS2	0.33625
RPL23A	-0.149166666666667
TCF23	0.11375
UPF3B	-1.948875
C17orf78	1.21
HLA-DOB	0.0928333333333333
C14orf142	1.024
TEKT5	2.4205
DMWD	0.3135
POLD1	-1.73333333333333
GSCL	0.1235
CALD1	-0.6073
SCRT1	0.610833333333333
AIG1	0.79275
UNC84B	0.74825
ZNF404	0.05675
TMED6	-3.01
KIAA1462	0.6635
LRRC27	1.81916666666667
PYGO1	0.4355
PIGU	0.147666666666667
ALAS2	-3.439
WRNIP1	0.58325
CNNM3	0.9625
ZNF2	0.45325
ST3GAL5	-1.60958333333333
MRPL23	-0.256
TSSK6	0.2575
PSMA6	0.1965
C16orf70	-0.54675
KIAA1602	-0.1205
ALMS1	0.0343333333333333
DCN	2.40375
TMEM132D	-0.95275
SUCLG2	-0.276
ABHD14A	0.81525
DEXI	0.0588333333333333
AMPD2	-1.20133333333333
IFNAR2	0.0618333333333333
CYB5A	2.3161
TLOC1	-0.1709
NXF5	0.403166666666667
NRBF2	-0.374625
KCTD3	1.81025
ITGAE	-0.2915
SLC30A3	-2.01833333333333
ZRF1	-2.0905
IFRD2	0.4095
XAB1	-0.25575
PYCR2	0.0908333333333333
SERPINB3	-3.6835
TMLHE	-0.5649
GEFT	-0.85925
ABCA5	-0.82275
EMR4	0.6075
TSFM	0.086
HIST3H2BB	0.0885
ARHGEF19	0.48
TSPAN17	0.260833333333333
ABCC8	3.18225
MAP1S	0.462833333333333
C22orf36	0.63875
BNC2	-0.632857142857143
HIST1H4A	-0.03125
NDUFS3	0.108
WDR3	-0.847166666666667
XKR4	-0.370333333333333
TTC33	-0.5055
STMN2	3.6625
CPN2	-0.753833333333333
HSPC105	1.695875
PCOLCE2	-3.96325
C3orf55	-0.00750000000000001
KLHDC9	3.205
TBC1D23	-0.268875
ATXN2L	-1.27458333333333
MAP2K3	0.338666666666667
SCAP	0.141
ZNF486	0.123666666666667
C20orf96	-0.649
NARS	-1.19775
ADAMTSL1	-0.314285714285714
PRCC	0.587333333333333
CCDC126	2.21883333333333
ZNF675	-0.56925
CALCOCO1	-0.04175
ANKRD43	5.91825
CWF19L2	-0.0533333333333333
ZBTB32	0.3855
BRAF	-0.58275
ODF4	0.73925
MGC14376	0.334833333333333
HORMAD1	-1.76466666666667
AAK1	0.03375
PEBP1	0.582
TNFSF5IP1	0.530833333333333
DKFZp564N2472	0.24125
RMND1	1.127625
IGKV1-5	3.311
COL1A2	2.17558333333333
SERPINA5	-3.70575
AANAT	0.7005
C19orf21	1.53633333333333
GEMIN5	-0.11525
UBR4	-0.370666666666667
LTBP3	0.722
AMHR2	-1.59916666666667
PROCR	-0.60925
MYBBP1A	0.44
C20orf39	2.02233333333333
ZNF697	-0.80625
PASK	-0.1183
ZNF776	0.254333333333333
RFXDC2	-0.8195
KIAA0467	-0.42
C10orf96	-2.0055
ZNF503	-0.57675
GULP1	-1.31425
KCNE4	0.2795
DKFZp434K191	-1.27725
LOC196913	-0.9985
BHLHB4	1.294
CH25H	-0.9215
LOC81691	-0.0423333333333333
ALPL	-0.212714285714286
COL12A1	2.751375
FOLR3	-1.61566666666667
GPR123	0.0765
TRIM62	0.921714285714286
ABLIM1	0.432666666666667
MAST3	-0.454
RHBDD1	0.367333333333333
LOC338809	0.557
RYBP	-0.11175
TTC26	-0.724125
ZNF22	0.00116666666666667
ISCA2	0.31725
RDM1	-1.99575
PIGM	1.31775
GNB3	-0.8215
ACTR2	0.5665
HMGB1	0.0181
EDG1	2.5845
SOAT2	-2.924
OR10AD1	0.0735
RAP1GDS1	0.731666666666667
LCE1F	0.7405
ESM1	-1.62125
RCN3	2.0755
CREBL1	-0.476
DBNL	0.529333333333333
PTGER3	0.706
USP30	0.582666666666667
BCL2L12	-0.4445
KIF26B	1.64275
ZNF416	0.723
ZNF225	-0.2805
C17orf70	1.522
ZNF554	0.54825
RAE1	-0.723333333333333
TNIK	0.616333333333333
ACTN3	0.245
MGC45922	0.9955
CCNA1	-0.942666666666667
RYK	-0.359833333333333
IL26	0.738
LRP3	1.1975
QARS	0.676
SOX7	0.688142857142857
BID	-0.915125
OR2S2	0.4455
CXCL14	2.81125
C11orf47	-0.0385
MGC29891	0.854
HSPB8	-0.2205
PRDM14	-1.0665
NUFIP2	0.46975
MNAT1	-0.437625
ZDHHC2	-0.948416666666667
MBNL2	-1.2505
ADD3	-1.556125
CSNK2A1P	-1.215
KLK6	-1.896
TMEM111	0.6902
KIAA1279	0.3125
NUBP2	0.656333333333333
RAB42	-0.8075
ID3	-0.7233
TM9SF1	0.38975
MDP-1	-0.0805
POU4F2	0.131
IQCK	0.5295
C16orf14	0.07375
CAPN3	-1.64075
FAM43B	0.1085
RECQL	-1.868
AP1G1	-0.317428571428571
CTNNBL1	-0.0341666666666667
ECHDC1	-0.766666666666667
SMARCC1	-0.3371
FOXQ1	-1.886875
GNAI3	0.0558333333333333
POLG2	-1.50375
CD4	1.1855
ITLN1	0.2165
EBI2	2.29275
IRF1	1.28775
PTPRE	0.3628
PTK2B	0.075
NXNL2	-0.58
SOX4	-0.0733333333333333
TSPAN3	0.160833333333333
SH2D1A	-2.50016666666667
C8orf58	-0.456
USP20	-0.396
DUSP22	-1.43341666666667
CALB1	-1.669
L3MBTL2	0.730916666666667
MCRS1	-0.08
TMEM118	-1.01566666666667
C18orf8	0.156666666666667
FLJ10241	-0.415
GJA12	1.095
PKD1	-0.548333333333333
ZFP3	0.4115
JAM3	-1.16075
LAPTM4A	1.1566
DIRC2	1.10575
KIAA2022	1.26083333333333
MYOM1	0.260166666666667
TRPM8	-2.4335
MOP-1	1.54575
PHKG2	0.456875
ZNF650	0.773125
KIAA1522	1.359875
PSG8	-1.35716666666667
DDX19B	-0.4205
MOBKL1B	0.2625
DIAPH2	-0.763
PTPN12	-0.95525
CLN8	-0.1582
CRYZL1	-0.1075
CRY2	0.8305
FCGR2B	3.34283333333333
PNPLA4	0.662625
ZNF454	-0.049
DKFZp434B1231	0.07525
CLDN11	0.0436
RFWD2	0.902
CIB2	-0.425
MXRA8	2.05025
HRK	0.408125
MAML2	-0.27925
C4orf31	1.81975
C6orf192	-0.65725
COG6	-1.02875
FAM5B	0.1055
NFATC1	0.264
SEPT10	-1.23225
SCYL1	0.1795
RPP40	-0.7435
SCOC	0.5582
KIAA1450	0.174
CTDSPL2	-0.153
TBX5	1.18983333333333
NAPG	0.913625
RHD	-3.60075
C14orf45	1.57
ZBTB22	0.661
PLCG1	-0.7155
ANKRD10	-1.69625
AQP7P2	-0.13425
TAGLN2	0.599166666666667
HTR2C	-0.9656
SLC16A7	-1.63883333333333
C17orf83	0.29475
TSGA14	-1.00016666666667
MDH1	-0.161
PPP3R2	0.178166666666667
DCBLD2	-1.96335714285714
RBM33	-0.931125
DPH3	-1.1285
SYT10	-0.621333333333333
FMO4	2.127875
THYN1	-0.884
DRD5	-1.5865
OTOR	1.770125
PGRMC2	0.1886
KATNAL1	-0.277875
PAQR6	-3.26825
UBE2I	-0.92625
C14orf28	1.34725
C8orf70	2.64625
FLYWCH1	-0.564625
ANGPTL3	-0.57125
GLRX2	0.8775
ATP11A	-0.875285714285714
ARL5B	0.98625
MUC16	-0.21825
SLC25A5	-0.029
ACRC	-1.8735
MYO1C	-0.280875
FAM89B	1.6545
FAS	-0.043125
KIFAP3	0.841
GLRA2	0.135
BTN3A2	-0.2957
CNKSR3	-0.995
CSTF3	-0.549333333333333
ARPM1	1.39
KIAA1530	-0.0335
C9orf150	0.315
PRKCI	-0.253
tcag7.1015	-0.60975
SOD3	-0.55325
ZNF574	0.48975
CYP21A2	0.663
RPL12	0.215
COMMD2	-1.29075
WIZ	0.15525
LOC344405	-0.523
ALDH4A1	0.324235294117647
CRYAB	0.8735
COPA	0.5846
PCDHGA7	0.895166666666667
KIF11	-0.19275
RASD2	-0.13425
SLC26A3	1.1535
ZNF175	-0.259
JAKMIP2	-1.62025
C8orf4	0.150166666666667
PTHLH	0.08825
SLC40A1	1.93458333333333
OR7D4	0.5565
PCDHB17	-0.213
CD36	2.28564285714286
C6orf203	-0.0142
PRKG2	0.088
LOC400566	0.90675
ANAPC13	-0.3745
SLCO3A1	-0.822
ZNF692	-2.003
FANCL	-1.321
SH3GLB1	0.87475
C12orf61	0.2695
KBTBD6	-0.67
SUPT5H	0.10825
XRCC6	-0.5459
HUS1B	-0.862
FAM133B	-1.729
LOC728276	0.1705
KCTD18	0.3425
SOS2	0.385
CCDC99	-2.52525
C1QTNF5	2.831
NNAT	0.7045
USP16	-0.305
LARS	-1.166375
ZBTB2	0.367125
ABO	0.632166666666667
TRAF3	0.01025
GALNT5	-2.4825
NAP5	-1.05
ALG14	1.267
KIAA0515	0.0450769230769231
WDR75	-0.874833333333333
TEX261	0.302666666666667
LY86	1.23775
LOC389072	-1.325
FLJ13611	0.27275
MRGPRX2	0.5075
SNRPA	-0.766875
OR2G2	0.27
GPRASP2	-0.00950000000000001
C7orf42	0.1512
C9orf163	0.0455
CYP11B2	1.099
FCRL3	0.139166666666667
PRDX1	0.86675
FGB	-5.518
COX17	0.648833333333333
C16orf33	0.243
PIWIL1	0.0262
FOLR1	-2.10616666666667
KIAA0082	-0.062
FREQ	-0.573166666666667
TMCC2	-0.996833333333333
TCF12	-1.33975
ZNF721	-0.5945
FAM130A2	0.59875
POU4F1	-1.05075
SNRPF	-0.777125
SGIP1	0.931
ZNF641	0.289333333333333
EMG1	0.023
PRRG4	1.3015
HIRA	-4.3155
MYNN	0.211
AEBP2	-0.959583333333333
TBXA2R	0.582666666666667
ISL2	-1.27316666666667
PCDHB11	-1.033
RNF144A	-0.390125
MARCH5	0.17775
DULLARD	-0.03
DCLRE1B	-0.653
ITGA8	-0.19275
TP73	0.476625
PRKCD	2.47725
NDUFB4	0.77075
ATP13A4	1.863375
ANTXR2	-1.24716666666667
COL4A3	-0.5844
MYO10	-1.6774
SLC6A18	0.623
PEX1	-1.37925
TMEM74	-0.2695
RBM19	0.58225
TAPBP	0.73695
RUNX1	-0.679
MID1	-2.053
GPR64	-1.79116666666667
RASEF	2.109
GABRG1	0.410875
MYO16	-0.79975
DBF4	-1.93183333333333
TSHZ2	1.77275
RIPK2	1.024375
PPTC7	-0.585333333333333
KIF4B	0.1635
LRRC31	1.65025
ZNF540	-0.4935
EFNB3	-0.285166666666667
LOH12CR1	-0.70175
STON2	0.3685
GLP1R	0.21725
CSTF2T	1.229375
IREB2	-1.110625
GRSF1	-0.0375
PDCD7	-1.443
LRRC43	-0.083
CNR1	-0.107333333333333
IL1F7	-0.425
C12orf64	0.47375
FAM69B	-0.64375
NR2E1	-1.376
MS4A6A	2.6213
FTL	-0.3459
C7orf36	-0.0565
PCLO	0.7698
DYRK2	0.6935
ARIH2	-0.73925
SAMD7	0.4995
SCNN1D	-1.32825
SLC32A1	-0.457375
C22orf25	0.599666666666667
MRPS18A	0.6301
GPR112	0.0775
EARS2	-0.9035
ERN2	0.6995
ATPBD3	0.3585
PRH2	-0.00800000000000001
CDKN2D	0.8015
PGLYRP2	-0.21325
TRIM40	-0.0495
SEC14L3	0.0935
SLC22A1	-0.74475
BTN2A3	-0.16125
RASA4	-0.7385
CCNL2	-1.55716666666667
MYBPC3	0.4735
GJA4	3.31275
CDC42SE1	1.5155
TRPV2	-1.3085
MYPN	-2.52311111111111
SIM1	0.3805
CDADC1	-0.3625
ZFHX4	1.21075
NIBP	0.563166666666667
ADAMTS19	-0.25175
ABTB2	-0.48975
TSPYL2	-0.648
EIF2S3	-0.5904
SOX30	0.10075
AP2A1	0.214833333333333
DKFZP564O0523	-0.870833333333333
LOC285398	-0.075
CDH18	-1.89025
CHL1	0.3005
GATS	-0.268
TBC1D2B	0.182666666666667
OR1J1	0.325
GSN	0.761666666666667
DPCR1	0.32075
GARNL4	-0.283666666666667
SMARCA5	-0.66475
PLEKHG3	0.787666666666667
ZBTB45	0.61
FRMD6	-1.09016666666667
PLS1	1.10666666666667
DGKZ	0.719833333333333
EFNA1	1.8649
WDR85	-0.7945
ANK2	-0.17825
PAGE4	-0.971333333333333
SENP6	-0.421166666666667
AKR7A2	0.302833333333333
FKBP10	-2.31325
VEGFC	-1.63116666666667
LARP1	0.1225625
SRBD1	-0.0705
ITGB6	2.094
SLC1A2	-0.748538461538462
INVS	-0.0818333333333333
MPO	0.1805
MOBKL3	0.2562
CUTL2	-1.011125
KLK2	-0.0968333333333333
VIM	-1.6775
REG1B	0.151
PCDHGC4	0.28875
C3orf34	-0.347833333333333
SUMO3	-0.265666666666667
CST9L	-0.3585
MLL4	-0.539
SPR	1.39333333333333
SAMD9L	1.14725
ABCE1	-0.0995
SUPT3H	-1.01633333333333
ACTBL1	0.17725
ADAMTS4	0.465333333333333
SLIT3	3.015
RHEBL1	-1.14275
NPM2	-1.8565
MAN1C1	1.23225
KIAA1856	1.13416666666667
HSPA6	0.4835
LOC388152	-1.123
C10orf140	0.0305
ZDHHC12	1.0645
LIN7A	2.8137
PHC2	0.192583333333333
SPHK1	-0.1445
TRIM26	0.8158125
FAM83E	-0.3345
C18orf24	-1.0455
ZNF578	0.348666666666667
ORAI1	0.50775
RUVBL1	0.0025
C7orf20	0.505
APAF1	-1.1015
SLC36A4	-1.02933333333333
MYH11	4.23533333333333
NEK1	0.0125
MPP2	-0.503375
C12orf24	-3.1515
TNK2	0.5265625
ZNF289	0.23575
MATN3	-0.986571428571429
IFNGR2	0.7315
ITPR1	1.25575
EBF3	2.6139
TBC1D20	0.3474
OR10P1	0.52475
DDAH2	0.423
SHPRH	-0.858625
STX7	-0.3065
LOC554248	-2.377
BCAR1	-0.448
ATXN3	0.18575
TRIM27	0.29025
CDC42EP2	1.422
CHP	1.28514285714286
SOX17	2.245
ZNF259	-1.34716666666667
CHCHD1	0.98025
ZDHHC19	0.547
GBP2	2.88
GARNL3	0.637875
MRC2	0.493
C1orf52	-0.834
AOF2	-1.32016666666667
LRPPRC	0.3129
ACVR1C	-1.20883333333333
TM4SF18	2.624
TMEM169	-0.140166666666667
PPP1R16A	0.2375
EBF1	0.356666666666667
RRS1	1.13166666666667
SNX2	-0.24
OR2T2	0.242
RBX1	-0.98075
ANKRD54	0.4195
TSNAX	-0.0256666666666667
TMEM83	-1.46525
ZBTB7A	1.33975
ATM	-1.77391666666667
LOC338328	2.64016666666667
TIE1	1.5415
HIST1H3G	1.22883333333333
PASD1	-3.83083333333333
TINAG	0.44975
PCDHAC2	-0.1805
LRRC15	1.126375
WBSCR17	-0.549
TFF2	0.415
PARP2	-0.84625
NDFIP2	-0.853625
PCDHGB2	1.058
WDR60	-1.28725
MAP7D2	-1.29188888888889
USP45	-1.309
GSDML	-1.0395
TNS1	0.5951
PLCD4	-0.407
IQCD	1.21516666666667
SMPX	-1.55225
CD9	0.975333333333333
SRGN	0.76275
CASP7	2.299
INOC1	0.170666666666667
DKFZp451M2119	-1.52825
VMAC	2.4645
USP53	1.4867
CAMK1G	-0.22925
TMEM106A	0.464666666666667
CDC20	0.0776
ACSL5	-0.644166666666667
CBWD5	-0.756375
C1orf87	-1.0425
KIAA1274	0.82625
PRUNE2	-1.76021428571429
LYPLA2	-0.276833333333333
DOK6	-1.56766666666667
GPR149	-0.68825
FAM30A	1.37425
TMEM129	0.86675
SLC35B3	0.86175
ACPP	0.4979
LOC200261	-0.9185
SLC4A7	0.4902
CCDC40	2.558
GART	-1.2145
THOP1	-0.9755
SCARB1	-0.1715
CACNA1F	0.3025
TRIAP1	0.481833333333333
SYT14L	-0.386
SFRS8	-1.1555
PBOV1	0.55525
GOLSYN	3.1385
GJB7	-1.4925
CAMK2N1	-0.775166666666667
GREM1	1.93983333333333
FLJ20433	0.7485
QPCT	-2.628875
PRKAG2	0.6175
H2AFX	-0.581
C6orf154	1.85375
PLOD3	-2.01625
ZBTB39	-0.749
WASF3	0.4175
DRG1	-0.94075
PRR4	-0.8775
SPCS1	-0.12325
KDELR3	0.1035
SRP19	-0.130666666666667
GABRA6	0.26775
MFSD1	0.68575
MMEL1	2.17225
PDXDC2	-0.7474
BUB1	-1.42822222222222
RNF138	-1.91475
MYLPF	-0.5075
AIF1	0.417833333333333
DYNLRB1	0.4406
HCN3	-1.321
HIST1H2AI	1.29125
MAP4K5	-0.455083333333333
LASP1	1.28375
LOC130951	0.066
PLAA	-0.195875
KRT6A	-2.367
C6orf117	-3.106375
ARHGAP23	-0.3205
PTF1A	0.1415
GPHA2	-0.3395
LCE3B	0.728
MCL1	0.145642857142857
EHBP1	-1.002
PRNP	-1.2929375
ZSCAN1	0.5785
C1orf113	-0.361666666666667
FOXA3	-2.495125
NEB	-0.455
ASGR1	-4.77
CTGF	1.01916666666667
RAB17	-0.308166666666667
MST101	-0.88775
JARID1B	0.2609
USP37	1.0076
PTBP1	0.043
PTPN7	-0.402833333333333
CDC7	-0.620666666666667
SNX7	0.76975
ZNF335	0.1995
CPT2	0.31075
HEATR1	-0.84425
HSPC152	0.199
C5orf40	0.38025
