Hybridization REF	TCGA-C8-A12U-01A-11R-A115-07
PTS	-0.21925
BANP	0.183
PRKACG	0.38575
ADCY6	0.123833333333333
C16orf46	0.295
CYP51A1	-0.20075
DDC	-2.903
ANPEP	-1.537
PROM1	-3.32083333333333
SIGLEC10	1.44075
COPG	1.124
FAM26E	0.292375
TRIP4	1.00975
SNX3	-0.382166666666667
C1orf175	0.153833333333333
PPY2	0.496
C14orf152	-0.27775
FTSJ1	-0.293333333333333
DST	0.93595
LOC554235	0.24275
GLRX5	-0.11325
C20orf12	1.6492
CAB39	0.558333333333333
MSH2	-1.04283333333333
PIP4K2C	1.165625
CYLD	1.196375
WTAP	-0.32275
MGAT4A	0.309
TSC22D4	0.0269
CHRM2	-1.63
PPYR1	-0.00566666666666669
CCNH	0.212833333333333
RRM1	-0.733
ECAT8	-3.45575
LOC400120	-0.25875
GABRA4	-0.15025
C14orf4	0.592166666666667
C1orf59	0.97875
CTDSPL	-0.0386666666666667
NHEDC2	-2.077
PDE11A	-1.962
KLHL29	-2.88625
CD5	-0.0875
TSPAN9	0.622375
WDR67	1.18925
THUMPD1	0.7462
C18orf17	0.69175
CLYBL	-0.853
FLJ13231	-0.145125
CMBL	0.487375
LECT2	-0.46775
NKAPL	1.19216666666667
LOC654780	0.5225
OR4C6	-0.051
RAB30	-0.237
TSSK4	0.5635
TMEM163	-0.408
OSBPL11	0.274833333333333
GNB5	-0.0293333333333333
CCL21	0.336
C1orf121	-0.3765
FMO2	0.291166666666667
RPTN	-0.295
MSTN	-0.1285
VCL	-0.751714285714286
FYTTD1	-0.00849999999999999
C11orf1	0.70175
CCDC88C	0.0944375
HFE	-1.25744444444444
MOGAT1	0.1275
FAM125B	-0.301166666666667
IRGQ	0.241
RAVER2	0.063
AKAP5	1.203
SSSCA1	-0.42325
C11orf63	1.156625
ACTG2	0.3964
PORCN	-2.072
DTL	-0.844090909090909
TMEM151	0.50725
FAM122C	0.29625
RSAD2	2.3524
BAT4	-1.021
KRTDAP	-1.627
MYH8	-0.031
CRTC3	-0.823
LRRFIP2	0.5157
INTS4	-0.65
TTN	-1.0125
SLC26A5	0.26
PLLP	-1.96925
RGS6	-0.5775
SRGAP3	0.7845
ZNF525	0.3805
NBR2	-0.626166666666667
C13orf1	0.45
ZNF137	0.86
CEP27	-1.22425
BEST2	0.4895
RNF121	-0.6815
DMRTC2	0.32425
C8orf76	2.037
BCCIP	-0.43525
MEST	-0.348
HTRA2	-0.2855
ANGPTL2	-0.9455
ILKAP	1.15466666666667
ERAS	0.4435
HBS1L	-0.812375
CPA5	-0.051
TMEM30A	-0.437166666666667
CD300LF	2.24366666666667
WISP3	0.215
CRK	0.028
PDS5A	-0.4279
BRPF3	0.322666666666667
NEDD9	-0.939875
SMPDL3B	1.8055
PSG6	-1.0115
PSMD13	-0.08
ETV5	-3.3373125
OR51A4	0.044
BTBD7	0.738083333333333
GSTO1	-1.043625
hCG_16001	-0.859
MAD2L1BP	-0.146833333333333
COX6A2	-0.0735
SCNN1A	-1.86983333333333
LSM1	-0.119333333333333
UGT2B11	-1.6075
IDUA	1.17175
PPP2R3C	-0.306166666666667
COX11	-1.35516666666667
PDZK1	-0.22025
ZNF443	1.06533333333333
MGC21874	1.50866666666667
ZNF323	2.7006
KRTAP10-10	0.3
CXCL6	-0.3905
SLC34A2	0.3978
LOC284402	0.202
NPTN	1.27483333333333
UPP1	-2.16725
SLC6A9	-0.647
OR7G3	0.1135
CISD1	-0.1625
ZNF545	0.7885
SYT14	-0.56
NT5C3L	-1.1855
ZNHIT3	-0.291666666666667
SNRPD3	0.87525
KIAA0701	-0.347625
UNC93B1	0.6
GMNN	-2.065625
SPCS2	-0.4885
LOC388524	-0.59
NAPRT1	1.07975
PNLIPRP1	-0.3935
OR6V1	0.355
PRKAB1	-1.05725
EYA4	-2.958
KIF20A	-0.58075
ALG10	-0.42375
ITPKC	0.3035
LMX1B	1.964
RPUSD4	-0.763166666666667
C7orf34	-0.0405
DLGAP2	0.1885
PFN1	-0.0048
MICALL2	0.26
ZNF654	1.2065
SS18L1	-0.204
SLC16A8	0.305
MKI67IP	-0.0493333333333333
ITGB3	-1.26
TCEA3	2.27875
CEP152	-1.2664375
CLIP1	-0.113125
ZNF75	0.4855625
ATP5C1	0.002
NUDT5	0.204333333333333
PSCDBP	0.892
UBP1	-0.53225
RBM27	0.50625
C13orf15	1.537
ZNF282	-0.470833333333333
ZNF222	0.4323
COL10A1	3.802
PRDM15	-0.8365
TTTY5	-0.438
FAM9C	-0.6235
C20orf67	0.29275
GNG13	2.2325
F12	2.48575
C1orf41	0.0525
CPXCR1	-0.272
GSK3A	0.66075
SUPT6H	-0.325333333333333
PI16	-1.349
ELL2	-2.03108333333333
C9orf167	-2.54133333333333
PVRL3	-3.1523
FLJ38596	-0.3345
ADAM20	0.03975
GPR89A	-0.4165
GPR87	-2.8435
ZNF30	1.273
SMR3B	0.32725
ZNF770	0.0665
TRPC4AP	-0.559166666666667
DKFZP686E2158	0.358166666666667
C2orf28	0.234333333333333
FREM1	-2.1845
LAMA4	-0.681166666666667
ADPRHL2	0.0935
EIF4G2	-0.0776666666666667
GUCA1A	-0.148
CTNNA2	-0.750125
NUDT15	-0.744333333333333
CEPT1	-0.985
ZNFX1	0.9611
CCDC92	0.25625
TDRD1	1.273
KCNK5	-2.4505
ETNK1	-1.12991666666667
LTA	0.466
TTPA	-0.0493333333333334
B3GALNT2	0.62025
SC65	-1.638
PEX5L	-1.141125
EPS15L1	0.37025
MGEA5	-0.776875
HIST1H3A	1.3915
ING1	-0.2485
BCAT1	-3.28
ORC6L	-1.13563636363636
KLK11	-4.7715
C19orf28	-1.570625
DNER	-3.98825
MED22	-0.831857142857143
ETV6	1.1155
CHAC2	-0.69675
CD300E	0.3155
CEBPB	-0.95675
ZNF398	-0.2305
LRCH3	-0.0785
HMGA1	-1.59933333333333
CAPN7	0.2405
MGC5566	-2.8015
CCL3	3.0545
NANOS1	-0.315
ZFYVE19	-0.113
APITD1	0.359333333333333
PARD3	0.37425
IRAK4	0.0433333333333333
SERPINI2	0.0965
CEP170L	0.181
TTC9	3.24025
MYOM3	-1.671
MLPH	2.318125
LOC222699	0.423
NRG1	-1.93808333333333
TBC1D9	4.604
TTK	-1.3275
ZNF557	0.6436
DDX41	-0.151166666666667
FANK1	0.457
UBE2D2	0.524375
PSMB10	2.122875
MYH7B	-0.2375
GABARAPL2	0.392125
MARVELD2	2.54183333333333
DGCR2	-0.592166666666667
UNC45A	0.145833333333333
C6orf72	0.3905
ZNF683	4.58875
GIT2	-0.32975
CASK	2.03316666666667
C14orf161	0.2705
LRRC44	2.802
TIFA	-0.173
UTP11L	-0.27625
C6orf65	-1.45725
FDPS	0.92075
DUSP9	-1.7745
SLC17A8	-0.1975
OR51G1	0.105666666666667
NANS	0.6915
OLFML1	0.46975
ATP10B	-1.322
NPAS3	0.92175
PRKCA	-2.6519
GGA2	-0.30775
LCE4A	0.259
SPANXN3	-0.03975
CCDC115	1.358375
SDCCAG3	-0.52975
GLIPR1L1	1.35425
TTC1	0.0345
C17orf76	0.44125
MAD2L2	-0.715
HIPK1	-0.4838
LRRC3B	-0.139333333333333
CLN3	-0.268909090909091
C17orf47	0.306
FMN2	-3.262125
TUBB1	-1.292
WAPAL	-0.422
C3orf21	-1.19425
SCN5A	-0.2063
SMYD1	0.07725
BEX5	2.018
ZNF192	-0.15
SEC22A	0.3595
GRIA2	2.6115
KIAA0825	-0.9575
NUSAP1	-1.024
LANCL1	0.180125
C15orf40	-0.5257
ZNF645	0.237125
GPR61	0.0745
NLRP14	1.053
SNX21	-1.0365
C1QTNF8	0.062
C17orf46	0.36275
IFNA8	0.4715
SPRR1B	-1.15933333333333
FLRT1	-0.54225
SNX17	-0.5555
ASB2	-0.164
HBG1	-4.819
RPRML	-2.007
JOSD2	0.8935
PLSCR3	-0.207
SPOCD1	3.12133333333333
RAB39	-0.532
GHRH	-0.1185
ITIH5L	0.12475
C17orf37	1.0555
SMCR8	0.8225
DPY19L2P3	-0.408166666666667
IL11RA	-1.35833333333333
GDF3	-3.81183333333333
RPS6KB1	0.389166666666667
DNAJC19	0.8702
TOP1	0.152
CRCT1	-0.579875
MPST	-0.229125
DPM2	0.75775
FAM38B	-2.88633333333333
SLC18A1	-1.95383333333333
FARP1	-0.923
PAX7	0.121
TUBD1	0.39775
GNL3	-0.406375
BTG2	0.163
NDUFS6	-0.7
C1orf79	-0.999
ERAL1	0.05475
ECHS1	0.96675
VPS4A	-0.0326666666666667
CYP11A1	-1.095125
ABCC6	-2.33985714285714
PBX4	-1.328
MOSC1	-0.33775
NCF4	0.18
HYMAI	-0.4
NAGPA	-0.115125
OTOP2	0.1895
ACOT12	0.18325
MTHFD2L	-0.8495
LOC441376	5.1275
C19orf34	-0.0895
RAB1B	0.1965
ALDOAP2	0.16
NTRK1	-0.7355
ARTS-1	-0.4239
SLC6A11	0.654
NAP1L2	2.1665
CNGB1	0.132833333333333
EPB41L4B	0.546
FAM134B	2.37375
HS3ST3A1	-2.76316666666667
CPXM2	3.3445
SIRPB2	-0.2815
CHORDC1	-0.269833333333333
TRIB3	-1.26233333333333
SLC2A5	0.86075
C2orf49	0.196333333333333
DDX5	1.32725
OR5L1	0.091
ANAPC4	-0.9205
ZSWIM1	0.655125
LOC93622	2.221375
KCNK3	-0.3446
RP11-35N6.1	-1.401
ZFP161	0.475166666666667
AQP9	2.18775
SLC15A2	-0.165166666666667
MREG	2.7365
OR9I1	0.078
PDLIM2	-0.876125
ADAM7	0.3675
GSTCD	0.748333333333333
WDR21A	-0.684375
SLC12A8	-0.304666666666667
TMEM174	0.37975
IGSF3	0.205833333333333
LRRN1	-2.0985
LOC402117	0.2125
SRPK1	-1.6785
LY6K	-1.375375
NFIA	0.2325
PTCD3	-0.177625
LEP	0.376833333333333
PCDH21	-0.7315
MAPKAPK2	1.38128571428571
NMNAT1	0.211666666666667
LHFPL2	-0.0925
C9orf43	1.553
DIP2A	-1.07083333333333
ACTR8	0.09575
CCDC34	0.0945
PTPN22	0.1445
ITGA3	-0.277125
FAM129C	0.72275
RABGGTA	0.665833333333333
UNC45B	0.465
KIAA1033	-0.070625
ZNF510	0.353166666666667
CYP2D6	-0.351833333333333
SLC26A10	-1.7395
STX8	-0.08525
LUZP1	-0.5295
WDR89	1.10266666666667
EIF4G3	0.5427
C5AR1	0.99825
ZNF623	-0.1925
A2M	-0.167
TGM7	0.5105
GRPEL1	1.10116666666667
LMNB2	-1.0977
ROCK2	-0.144333333333333
SNX16	1.247375
CCDC66	0.10825
ANXA3	-4.0145
KIAA1609	0.557
EED	-1.18325
RNF32	1.42733333333333
HES1	1.1383
CLC	1.148
ISL1	-0.939833333333333
KIAA0528	-1.144375
MANEA	0.316125
C1orf61	-0.682
hCG_2001000	-0.71725
RAPGEF6	0.1863
KIAA0020	-0.779833333333333
NEIL1	1.129
C16orf45	-1.68025
RBM10	0.13
C10orf125	-1.7555
MRS2L	-0.22875
DNAH17	-0.9945
C19orf10	-0.5245
C1orf160	0.20275
SLFN12	-0.82975
EXOC3	-0.715833333333333
HIST3H3	2.16775
NCOR2	-0.0683333333333333
TNFRSF9	1.68875
MFSD8	0.63625
ALX1	-3.7205
NOL1	-0.85125
PODN	1.23525
TIAL1	-0.39375
HIST1H1E	3.34
NPY6R	0.24025
TM4SF4	-0.57875
CORO2A	1.202
ETNK2	0.225333333333333
APOE	0.8256
ANGPT4	0.274
HDGF2	-0.63825
G30	-0.2585
ST8SIA4	-0.3305
F2RL1	-2.661625
FAM19A4	-1.12525
CCAR1	0.169
B3GNT7	0.0835
OPHN1	0.4415
DSCR6	3.425
C21orf13	2.3405
GAS2L1	0.3925
RFX3	-0.587333333333333
COPS4	0.18975
BCHE	-5.33383333333333
BCL2	2.4165
HBZ	-3.04333333333333
ARL13B	1.069375
MAPBPIP	1.8
MYO15B	0.01475
SPZ1	0.47575
KIAA1324	2.83611111111111
PLCL2	-1.238375
C4orf29	0.10375
WDFY2	-1.148625
ZNF284	0.0025
NAALADL1	-0.287
DUSP5	1.03166666666667
PXDN	-0.440375
SLMO1	-0.42025
TNXB	0.0236
BIRC7	-1.059
A4GALT	0.986166666666667
TIMM22	0.2565
FAM110C	1.002
TOMM34	-0.5505
ABHD9	-0.333
ADAM32	2.5745
CRHBP	-0.849
AQP2	0.301625
LOC130355	1.2085
ZNF187	-0.341
ZNF816A	0.6555
F7	-0.673875
CNOT1	0.5734
SLC13A4	-0.4295
ZBTB11	0.88125
B3GALT5	0.061
EXOC2	0.672666666666667
IRS1	1.3665
TMEM1	0.818
MRPL34	-0.2995
SAMM50	0.08475
CDC42EP3	-1.686375
HSF2	-0.7411
MFN2	0.61425
TSPAN7	-3.10433333333333
NUCB1	0.145083333333333
RHOH	1.745
ARL16	0.1205
TACR1	0.1825
SFRS5	-0.836333333333333
SNX25	-0.4305
RHBDF1	-0.246833333333333
PCDH18	0.772
HMG1L1	0.0895
MYO5C	-0.13525
MAPK10	-0.09
LDHAL6A	0.151666666666667
NUDT12	1.57966666666667
NCAM1	-0.2145
GLIS2	0.406
GGTL4	2.53925
DAPP1	-0.12975
ATF7	0.289125
KIAA0748	-1.0455
NFIL3	-0.6375
TM6SF1	0.1859
SEZ6	0.32225
NANOS3	-0.806166666666667
DNAJA3	1.10483333333333
CLDN6	-1.5435
CIITA	2.6253
EPHA4	-0.930916666666667
FANCC	0.8125
CMTM3	-1.236125
PSG3	-0.4065
MRPL15	0.6055
C21orf59	2.18375
PLCXD2	0.10325
C2orf34	0.137875
UBE2L6	1.620125
MED14	0.100833333333333
HP1BP3	-0.2297
C6orf208	0.06
TPBG	2.043
OSR2	1.7035
XPC	-0.625333333333333
KLHL7	-0.550083333333333
CCR3	0.125166666666667
AGTPBP1	-0.7245
PCSK6	-1.27586666666667
STAT5A	-1.895
FAM18B	0.15175
LONRF2	0.193833333333333
PTPN2	0.5135
SF3A3	-0.379833333333333
EFCBP2	0.607
HCFC1	-0.918166666666667
AHNAK	-0.753
ACTR5	0.4205
KIF14	-1.36585714285714
TENC1	-0.2725
HEATR5B	1.215
YIPF2	-0.221166666666667
MYEOV2	1.6885
DUSP18	1.561
KIAA1012	1.21225
AHR	-1.39366666666667
C17orf53	-1.21416666666667
PTPRH	-3.4195
ATP6V1C1	0.3405
TAS2R3	-0.0535
LOC440356	1.58275
COQ10B	0.875
PSMF1	0.81925
SORBS2	1.52558333333333
NFE2L2	0.2995
TMCO7	0.33275
SH3PXD2A	-1.5113
SH2D2A	0.066
SPINK5	-3.71075
MRPS24	0.01775
OPA3	-0.0325
TRAF7	0.956833333333333
C4orf35	0.2075
MT1G	0.117125
MGC39545	0.25925
HS1BP3	0.8754
OR2B2	0.146
CHRM4	0.0485
SFRP2	-1.37858333333333
RIC3	1.52575
ART1	-0.1405
C6orf1	0.3575
DUS4L	-0.17775
C10orf104	-0.47325
TNFAIP6	1.2295
RTEL1	-0.418
CCT4	-0.3838
ZNF709	0.45875
CHMP6	0.476333333333333
UPP2	0.2645
CYP19A1	-2.858125
CD151	-1.69666666666667
NDUFA13	-0.108833333333333
ARFRP1	-0.577333333333333
FAM26B	0.72875
CRYBA1	-1.44
MRPL41	1.469
NPFFR2	-1.277625
HRH2	0.109
SCAMP3	0.00533333333333333
MTMR6	0.0341
MTG1	-0.537
UBTD1	-0.63275
CRABP1	-2.7415
FLJ33790	1.9988
KIAA1908	-0.157666666666667
GPR158	-0.98675
PACSIN3	-1.25466666666667
OMD	0.526666666666667
CATSPER1	-0.574666666666667
HOXB8	-0.74525
FBXO46	0.4935
OAS1	2.08016666666667
SVIL	-1.915
PHB2	-0.44825
ADCY3	-0.6615
NDRG2	0.509833333333333
ERMAP	-0.7127
APBA2	-0.344666666666667
IGSF9	2.806
WNT6	-0.763428571428571
MYCBPAP	0.495
ATP2B2	0.0632
CPVL	-1.2161
TRAM2	-0.31075
NOP5/NOP58	0.055
ZNRF4	0.16625
TLK1	-0.5175
MTMR12	0.0382857142857143
ZNF384	-0.830666666666667
FAM9B	-2.85275
RPN1	1.0235
PMVK	1.4695
EIF3D	-0.2342
SIX2	0.723
HPS1	-0.194
RNF7	0.374
PSKH2	0.1885
KCTD13	1.36883333333333
CSMD3	-0.4467
FBF1	0.088
IL8	-4.1805
SERPINB13	0.127666666666667
FBXL20	-0.5585
BLR1	0.348
SH2B1	-0.858666666666667
RFNG	-0.310625
RAB20	-0.430833333333333
RBM7	-1.112
POLR1A	-0.427833333333333
TMPRSS4	-1.72625
TAF9	-0.172625
TERF2	0.375833333333333
TNFRSF1A	-0.61225
ACADVL	-1.26166666666667
GTF2H5	0.7395
EDG8	-0.329
C9orf140	0.0445
UST6	-0.62575
ZBTB8OS	0.02725
ZNF710	0.7
GPR174	-0.2765
ATP6V0A2	-0.7055
KIAA0319L	0.317666666666667
XKRX	1.889
DOPEY2	2.3449
SDHD	-0.669166666666667
SUMF1	1.38025
OSM	2.37125
OPN3	-2.38775
DAGLB	-0.103666666666667
PPFIBP1	-0.708
TRIM63	-3.09625
C10orf53	0.073
LYPD3	0.818333333333333
BCL7A	0.211625
AGER	-1.05466666666667
TCF19	-0.934875
SAT2	-0.22875
PFTK1	-1.0125
GABRE	-3.36875
C15orf38	0.8545
FIS1	0.0535
KCNV2	0.1515
CLPS	2.02275
PPCDC	-0.161625
FOXN2	0.5805
NT5E	-3.8557
CD83	0.4945
IL18	0.64075
VPS16	0.8575
IGFBP2	-0.0179999999999999
NOTCH2	-0.32025
SIGLEC1	2.621
CD93	4.3775
SULF2	-1.81975
CEP164	-0.641
P53AIP1	0.329166666666667
TOR2A	0.3585
ZNF136	0.27975
MGP	-0.3395
CCDC144A	1.14916666666667
TRPC1	-2.22433333333333
SMS	-0.1235
MAPK7	-0.329
RRAGC	0.42
PARD6A	-0.3455
NUB1	0.247833333333333
SYNGR4	0.1135
OR11H12	0.244
WIF1	0.17675
GCH1	1.082
OR11H4	0.2605
SLC44A5	-0.316
GPRIN2	-0.7155
LOC401431	-0.09
CPA4	-2.8288
MELK	1.42377777777778
IL15RA	0.21225
CUL3	1.0395
HMBOX1	-0.56925
PODXL	-2.10725
CCT6B	0.230833333333333
COMTD1	0.012
MUC20	-0.634666666666667
GPX2	0.45125
ITK	-0.044875
FBXL5	1.74175
C13orf27	-0.753
DEFA5	1.127
TRHDE	-0.0025
MTP18	-0.562166666666667
UQCRQ	0.9692
ITGB2	1.41016666666667
CSRP2BP	0.5245
TAS2R44	0.245
PHPT1	1.014375
FAM44C	-0.2835
ERH	0.565
MPHOSPH1	-0.845166666666667
MORC1	-0.7585
PARVB	-0.859
LAMA1	-2.62266666666667
PGBD3	-0.06525
GIMAP6	3.79625
AREG	0.413333333333333
LIPT1	0.534
MGC99813	0.0205
C1orf201	1.0935
GRIN2A	-1.1312
MAN2C1	-1.394625
NSUN5	-0.101
SF3B5	-0.02525
MYC	-1.9428125
NRXN1	-0.584916666666667
ZNF18	0.2545
SPDYA	0.999625
SLC37A1	1.831
DECR2	1.4235
ANKRD38	-1.41675
SPTLC3	-1.85533333333333
SUPT16H	0.4325
DTWD2	0.51775
ULBP1	-0.12
ZADH1	0.685833333333333
OIP5	-1.264
IL10RB	1.601
OTUB2	1.96925
VWA3A	1.25066666666667
SPIC	0.6185
OR6C4	0.1745
PSCD4	1.12133333333333
DPY19L2P2	-1.157
TRAPPC6A	1.24783333333333
C21orf2	-1.02466666666667
CEMP1	-0.34
LIN7B	0.2075
E2F7	-1.2715
VCP	-0.33075
LAMA3	1.72666666666667
BGN	0.1955
GPR160	1.98133333333333
COCH	-3.8
GPR81	1.71933333333333
APOBEC3F	-0.79275
tcag7.1017	-0.595
C1orf32	0.217
SCGB1D2	3.7255
FLJ43987	-0.246
C6orf170	1.09975
KLK9	0.316
GPD1L	1.305
VPS37B	0.39775
ATG3	0.3155
ADAMTS17	0.0085
KLHDC2	0.0123333333333333
NDUFV2	0.53575
BLK	-2.36075
MATN4	-0.836
GPM6A	-0.439125
GBP4	4.32483333333333
TMEM162	-0.160666666666667
PKP2	-0.3795
HRASLS	-1.239
MMP1	-4.4035
SFXN3	-0.5338
FSD1	-1.48466666666667
ST6GALNAC3	-2.37266666666667
CA12	1.5446
NCOA6	0.75075
C19orf58	0.3739
PPP4R1	-0.5335
MAN1A2	0.137166666666667
IKBKAP	-0.732
UPF1	0.232
KIAA1219	0.80525
WNT16	0.216666666666667
SNW1	0.260125
IL18RAP	3.4945
RPP30	-0.558
CDC40	0.2015
SETD3	0.299
SLAMF6	0.42425
ELK4	-0.6175
TRIM47	1.7695
ACOX3	2.341375
TRIM6	-0.114
KIAA0372	-0.191666666666667
TP53AP1	1.37725
SMURF2	0.24
ADAD1	0.33475
EBP	0.5104
KRTAP13-2	-0.1955
FLJ36874	-0.845
TOR1A	0.3515
P2RY4	-0.051
GPBP1	0.21425
TRPV1	0.206125
ADAMTS12	-0.9555
PES1	-0.2026
ATG4A	0.833333333333333
MAGEA10	-4.5075
WFS1	1.1865
CC2D1B	-0.204166666666667
PABPN1	-0.079625
SLC25A30	0.028
SLCO1C1	-0.132833333333333
SLC22A5	2.83325
KIF23	-0.867666666666667
SYN2	-0.700666666666667
ASPN	3.921
CENTG2	0.37325
QSOX2	-0.9301
FLJ10815	1.05966666666667
STK24	-1.007
SPEG	0.0261
STK10	0.402333333333333
DACT2	-2.6075
AAAS	-0.6625
SSX3	-1.201875
ABCD3	1.3429
C4orf12	0.762125
PARVG	0.714666666666667
FIG4	0.77825
C9orf46	0.682
TMCO6	-0.1215
IGHMBP2	-1.30675
DUS2L	0.141666666666667
FAM3C	-0.7443125
TMEM16D	-1.572375
DCTN4	0.535
KCNH3	0.071
EIF2AK2	1.00325
AP1S3	1.205125
CST4	1.939
PAM	-1.039
NUTF2	0.053
CITED2	-0.3078
SLC39A4	0.6825
C2orf52	0.6715
GRM3	0.196
C12orf49	0.30175
CCDC49	-0.3272
GRAMD1B	-0.889
FNDC4	-1.63775
SIAH2	0.7225
GDPD4	-0.141
C21orf87	1.537125
ATP5A1	0.983666666666667
C16orf63	-0.050125
LOC388135	1.20066666666667
ATP5J2	0.473375
MMP3	-5.2545
EMID2	-0.11675
CRHR1	0.3445
WDR70	-0.63875
C13orf31	2.12875
ZFAND1	-0.564
CCL18	4.20716666666667
C3orf49	0.342
RINT1	-0.5655
KIAA0408	-2.09916666666667
F13A1	2.5163
SLC10A1	-0.1655
OGN	-2.329
GIPC2	-2.34916666666667
XPO6	-0.7685
LCE1A	0.2555
FMR1	0.9592
LOC374920	-0.40675
DUSP3	-0.072
ANKMY1	1.71175
C7orf50	0.0125
BBS9	-0.0825
UNC119B	-1.3685
C9orf72	0.553
MGC35440	-0.173
ENTPD6	-0.26675
PPP1R2P9	1.11075
ERCC4	1.05975
FAHD2B	0.039
HMHA1	-0.7605
HACL1	-0.417
RAD23A	-0.0665
FAM83B	2.6535
PPP5C	0.0195
RNASEH2C	-0.988125
C9orf153	-0.50825
SCAMP4	0.435875
GHITM	0.0697
NDUFB7	0.81625
ADCYAP1	0.355666666666667
SP110	3.073
MAP3K7IP2	-0.44075
DHH	0.041
AGRN	0.698857142857143
WDR33	0.5705
CEP290	3.89616666666667
PRPS1L1	-1.7325
KLRA1	-0.808
GPR97	0.235
CHD7	0.664166666666667
TLR10	0.63275
SLC30A8	-0.9995
HIC1	0.3815
IAPP	-0.1735
RXFP4	0.412
GP1BB	-0.25675
SHQ1	0.559
NKX2-3	0.1515
API5	-0.45325
FTHP1	0.412
MOV10L1	0.119
TRIM6-TRIM34	2.24883333333333
ADHFE1	-0.93925
FAM117A	0.09675
DDI1	0.0288333333333333
CDON	-1.46133333333333
TRIM73	-1.45
IGKC	4.3575
MMP14	-1.91141666666667
DYNC1LI1	0.446375
C11orf66	-0.12275
TRBV3-1	-0.88075
FASTKD5	0.6095
BIVM	-1.842
LHX4	-0.2095
CXCL2	-1.8416
RAB2B	0.984333333333333
IZUMO1	-0.85675
MAP3K15	-1.9735
FAM19A2	1.03583333333333
ZC3H8	0.324833333333333
ZMAT1	1.77375
SPINK5L3	-3.362
SLC10A6	0.5555
APPL2	0.01925
CARD10	-0.8
LOC402176	-1.609375
EEF1D	0.265
RAB6A	0.311
C12orf5	0.0555
PAPOLG	0.43425
MSRB2	1.399
BCR	-0.144555555555556
PUS3	-0.5485
TIAM2	-1.294
ZNF317	-0.202
CHD2	-0.243071428571429
FZD5	-2.726
NUDT8	-1.21325
ZNF763	0.3485
PRC1	-0.622666666666667
ABCB9	0.8065
SPATA3	0.1865
TRAK2	2.511375
STAB1	1.925125
LRRTM2	-0.0548333333333333
psiTPTE22	-0.29625
DBI	0.69475
SERPINA11	-2.73425
NAT5	0.55625
C20orf58	-2.084
RPS6KA4	0.363833333333333
FLJ90650	-0.555
TGFBRAP1	0.94025
CHRDL2	-1.36725
FAHD2A	0.174666666666667
CNTN1	-0.284
BBS4	0.1575
TMEM181	-0.32625
MINPP1	-0.8765
MPHOSPH6	-0.0115833333333334
HOXC10	2.0732
ITPKB	-0.511
CLPTM1L	-1.098375
MEOX2	-0.776333333333333
ATP6V0C	1.761625
PRPF8	-0.535
TMC5	1.10775
FKBP3	1.1495
PLEKHB2	0.40725
OR4D6	0.2765
ZNF544	0.0628
D2HGDH	0.5175
RPL18A	-1.2832
HEL308	0.10825
MPP6	-3.3035
TCERG1	-0.96325
KRT16	-1.93216666666667
KLF17	-0.89375
KLF5	0.309375
CDR1	0.110875
VCX3A	-3.156
FBLN2	-0.92175
C14orf104	0.37975
HBE1	-4.6711
OR4S2	0.665
C1orf108	-0.377333333333333
ROBO4	2.79166666666667
CPEB4	0.693125
C11orf80	0.224
BCKDHA	0.630666666666667
MYOC	-0.104
GIF	0.4215
CKMT1A	0.413
RPL3	-0.3628
THBS1	2.00075
APOO	0.55125
ARMCX1	-1.1805
HSZFP36	0.82025
SNAPC5	-0.06225
EIF4ENIF1	-0.25075
ZNF433	1.14875
TNFRSF21	-2.130625
TMPRSS7	0.4145
SPATA18	1.9915
HPDL	-3.3965
MKL2	2.8422
TBX3	-0.495384615384615
C21orf93	0.305166666666667
DAXX	-0.17125
ELMO1	-0.206875
RGS13	2.66533333333333
TAF11	-0.27125
UNC13A	-2.148875
LOC653314	-0.8737
ORC3L	-0.50575
IMAA	-1.8345
TARBP2	-0.47525
CABIN1	-0.2656
TRIOBP	-0.54825
HIST1H2AC	1.736875
RGS22	-0.989
NCOA1	0.865166666666667
IL25	1.5785
SNCG	-0.674
GPR6	0.249
AMDHD1	0.352333333333333
CHEK2	-1.391
C6orf142	0.061
DRD4	0.125
C14orf68	-0.914
GDF11	-1.25075
SEMG2	0.2365
CD247	0.2
CDAN1	-0.68375
RBMX2	0.1015
TGS1	-0.07775
OIT3	2.19275
SYF2	-0.36675
MCM4	-0.733
PKHD1L1	1.16
CEP192	-0.1095
IFT88	0.28525
RPL9	-0.777928571428571
RAB32	-0.93325
DDX43	-2.34775
P2RX2	0.109666666666667
OR5D18	0.114
UBE1	0.33625
SLC24A1	0.347875
ARHGAP5	-0.832
CETP	-0.15375
KIAA1731	-0.269833333333333
SLC9A4	0.3215
PTPN6	1.3235
BAHD1	0.01575
GRIK3	0.33
CACNB2	-0.9346
PDE10A	-0.78025
DGCR14	-0.223
PCDHB9	0.939166666666667
RHOQ	0.1175
MAP3K4	-1.11475
KTI12	-0.112
RPL23AP13	-1.30925
GNG11	-1.95475
CLCN3	1.87683333333333
GPAM	-0.862
VSTM2A	1.309
SLAMF7	3.78966666666667
INTS2	1.94675
PPP2CA	0.0646
LRP12	0.614
SEC14L2	-1.58788888888889
DKFZP586H2123	1.3445
MC3R	0.334
CIRH1A	-0.997166666666666
HIST1H2AB	2.9805
POLH	-0.160625
