Hybridization REF	TCGA-AR-A0TX-01A-11R-A084-07
NEIL1	-1.224
C16orf45	0.47775
RBM10	-0.5405
C10orf125	-1.128
MRS2L	-0.571
DNAH17	-0.467
C19orf10	-0.45275
C1orf160	0.139
SLFN12	0.759
EXOC3	-0.223666666666667
HIST3H3	0.552
NCOR2	-0.296833333333333
TNFRSF9	1.83875
MFSD8	0.363
ALX1	-3.52466666666667
NOL1	-0.9235
PODN	2.93
TIAL1	-0.55775
HIST1H1E	0.03025
NPY6R	0.4435
TM4SF4	-0.06775
CORO2A	0.85275
ETNK2	1.598
APOE	0.7469
ANGPT4	0.0625
HDGF2	-0.22425
G30	0.371
ST8SIA4	0.576142857142857
F2RL1	0.476375
FAM19A4	-3.69425
CCAR1	-0.45725
B3GNT7	0.11175
OPHN1	-0.4292
DSCR6	0.292
C21orf13	0.800166666666667
GAS2L1	0.839833333333333
RFX3	-0.2895
COPS4	0.44025
BCHE	-4.109
BCL2	0.938125
HBZ	-3.122
ARL13B	0.2175
MAPBPIP	0.415125
MYO15B	-0.472125
SPZ1	-0.09275
KIAA1324	3.40577777777778
PLCL2	0.5835
C4orf29	-0.35175
WDFY2	-0.38775
ZNF284	-0.3795
NAALADL1	0.882
DUSP5	1.31266666666667
PXDN	1.03975
SLMO1	-1.68325
TNXB	0.2998
BIRC7	-1.331
A4GALT	0.163666666666667
TIMM22	-0.1155
FAM110C	1.94175
TOMM34	-0.26075
ABHD9	-0.251
ADAM32	0.436
CRHBP	0.6655
AQP2	0.21525
LOC130355	1.13125
ZNF187	0.664666666666667
ZNF816A	0.998
F7	0.190375
CNOT1	-0.0792
SLC13A4	-0.3815
ZBTB11	-0.083
B3GALT5	0.879
EXOC2	0.822666666666667
IRS1	-0.7178
TMEM1	0.166833333333333
MRPL34	-0.561166666666667
SAMM50	-0.148
CDC42EP3	-0.271125
HSF2	0.361
MFN2	0.681
TSPAN7	-0.3895
NUCB1	0.56975
RHOH	-0.76575
ARL16	0.0355
TACR1	0.2375
SFRS5	-1.28416666666667
SNX25	0.3875
RHBDF1	0.9475
PCDH18	2.49833333333333
HMG1L1	-0.36775
MYO5C	-0.287875
MAPK10	1.003
LDHAL6A	0.401666666666667
NUDT12	0.848333333333333
NCAM1	-0.591875
GLIS2	0.3285
GGTL4	1.16375
DAPP1	0.92775
ATF7	0.84525
KIAA0748	0.415
NFIL3	-0.6515
TM6SF1	0.8146
SEZ6	-0.153125
NANOS3	0.296833333333333
DNAJA3	-0.046
CLDN6	-2.9965
CIITA	3.6006
EPHA4	-1.63991666666667
FANCC	-0.05925
CMTM3	1.344875
PSG3	-0.348875
MRPL15	-0.285
C21orf59	-0.14575
PLCXD2	-0.12075
C2orf34	0.58075
UBE2L6	1.75625
MED14	-0.0523333333333333
HP1BP3	-0.5092
C6orf208	-0.154
TPBG	0.45375
OSR2	1.505875
XPC	0.0386666666666667
KLHL7	-1.18741666666667
CCR3	-0.418
AGTPBP1	0.116833333333333
PCSK6	-0.806933333333333
STAT5A	-0.7557
FAM18B	0.42075
LONRF2	-0.420666666666667
PTPN2	-0.19675
SF3A3	-0.2235
EFCBP2	-0.79675
HCFC1	-0.000666666666666658
AHNAK	0.2721
ACTR5	0.10825
KIF14	-2.55871428571429
TENC1	0.9225
HEATR5B	1.393
YIPF2	0.463833333333333
MYEOV2	0.199
DUSP18	1.3215
KIAA1012	0.224
AHR	0.407166666666667
C17orf53	-1.85716666666667
PTPRH	-4.40825
ATP6V1C1	0.0834
TAS2R3	0.017
LOC440356	-1.52425
COQ10B	0.987
PSMF1	0.923416666666667
SORBS2	0.61325
NFE2L2	0.42625
TMCO7	-0.0875
SH3PXD2A	-0.319
SH2D2A	-0.1215
SPINK5	-2.74275
MRPS24	-0.92525
OPA3	-0.098
TRAF7	-0.169
C4orf35	0.142666666666667
MT1G	0.11375
MGC39545	-0.074
HS1BP3	0.7582
OR2B2	0.3625
CHRM4	0.227
SFRP2	3.43516666666667
RIC3	-0.38275
ART1	-0.2195
C6orf1	0.709875
DUS4L	-0.74425
C10orf104	0.234
TNFAIP6	1.386
RTEL1	-1.814
CCT4	-0.0707
ZNF709	0.7195
CHMP6	0.209333333333333
UPP2	0.35525
CYP19A1	-2.072
CD151	-0.637166666666667
NDUFA13	-0.457
ARFRP1	-0.880166666666667
FAM26B	1.48625
CRYBA1	-2.7385
MRPL41	1.0405
NPFFR2	-1.4285
HRH2	0.0705
SCAMP3	-0.353833333333333
MTMR6	0.7719
MTG1	-0.4635
UBTD1	1.28675
CRABP1	-3.1215
FLJ33790	0.5419
KIAA1908	-0.620166666666667
GPR158	-1.17025
PACSIN3	-0.897
OMD	3.882
CATSPER1	-0.796166666666667
HOXB8	-0.84925
FBXO46	0.7715
OAS1	1.59833333333333
SVIL	-0.16625
PHB2	-0.72425
ADCY3	-0.021
NDRG2	1.876
ERMAP	0.8573
APBA2	-0.899
IGSF9	3.04975
WNT6	1.53771428571429
MYCBPAP	0.57
ATP2B2	-0.4041
CPVL	-0.1524
TRAM2	-0.777166666666667
NOP5/NOP58	-1.08075
ZNRF4	-0.053
TLK1	0.5625
MTMR12	0.216285714285714
ZNF384	-0.260333333333333
FAM9B	-3.3895
RPN1	0.5065
PMVK	0.27175
EIF3D	-0.55
SIX2	1.243
HPS1	0.102928571428571
RNF7	-0.34775
PSKH2	0.4345
KCTD13	0.121166666666667
CSMD3	-0.8294
FBF1	-0.23
IL8	-4.94275
SERPINB13	0.419916666666667
FBXL20	1.31825
BLR1	0.2785
SH2B1	0.5895
RFNG	0.574375
RAB20	0.9265
RBM7	0.41775
POLR1A	0.1195
TMPRSS4	0.67325
TAF9	-0.646125
TERF2	0.607
TNFRSF1A	0.8985
ACADVL	-1.1555
GTF2H5	0.178
EDG8	-1.14566666666667
C9orf140	0.454125
UST6	0.104
ZBTB8OS	-0.72425
ZNF710	1.1125
GPR174	0.116
ATP6V0A2	-0.6875
KIAA0319L	0.332666666666667
XKRX	0.402
DOPEY2	2.6305
SDHD	-0.125166666666667
SUMF1	0.66225
OSM	3.02275
OPN3	0.2625
DAGLB	-0.185833333333333
PPFIBP1	-0.2556
TRIM63	-1.8485
C10orf53	0.0485
LYPD3	2.15133333333333
BCL7A	0.025
AGER	-1.04616666666667
TCF19	-0.119
SAT2	-0.26075
PFTK1	0.252333333333333
GABRE	-1.733
C15orf38	0.0784
FIS1	-0.302
KCNV2	-0.13375
CLPS	0.2085
PPCDC	-1.05525
FOXN2	-0.5615
NT5E	-2.7229
CD83	1.35775
IL18	2.156625
VPS16	0.24625
IGFBP2	-0.489333333333333
NOTCH2	0.61525
SIGLEC1	3.49
CD93	5.1615
SULF2	0.72125
CEP164	-0.119
P53AIP1	0.508333333333333
TOR2A	0.00150000000000002
ZNF136	0.69875
MGP	1.4253
CCDC144A	-1.2302
TRPC1	-1.23016666666667
SMS	-1.11883333333333
MAPK7	-0.0215
RRAGC	0.51125
PARD6A	0.9005
NUB1	0.7595
SYNGR4	0.03825
OR11H12	-0.1385
WIF1	0.1705
GCH1	1.74
OR11H4	0.2
SLC44A5	2.359
GPRIN2	0.423333333333333
LOC401431	2.207
CPA4	-1.596
MELK	-1.567
IL15RA	0.824
CUL3	0.97425
HMBOX1	0.40275
PODXL	-1.17025
CCT6B	3.29833333333333
COMTD1	0.162
MUC20	-0.926666666666667
GPX2	-2.12625
ITK	0.6985
FBXL5	2.171
C13orf27	-1.72775
DEFA5	1.0805
TRHDE	-0.1775
MTP18	-1.41566666666667
UQCRQ	0.0435
ITGB2	2.65716666666667
CSRP2BP	-0.0925
TAS2R44	0.295
PHPT1	-0.062125
FAM44C	-0.26225
ERH	0.2755
MPHOSPH1	-0.983166666666667
MORC1	-0.392
PARVB	-1.173
LAMA1	-2.20316666666667
PGBD3	0.19575
GIMAP6	4.3135
AREG	-3.96983333333333
LIPT1	0.311
MGC99813	0.30075
C1orf201	-0.0636666666666666
GRIN2A	-1.308
MAN2C1	-1.602875
NSUN5	-0.60575
SF3B5	0.232
MYC	-3.10725
NRXN1	0.2025
ZNF18	0.6985
SPDYA	0.778125
SLC37A1	2.0095
DECR2	-0.24075
ANKRD38	0.02
SPTLC3	-0.639666666666667
SUPT16H	-0.4085
DTWD2	0.604
ULBP1	-0.553
ZADH1	0.081
OIP5	-2.852
IL10RB	0.761666666666667
OTUB2	1.03925
VWA3A	0.0756666666666667
SPIC	0.7225
OR6C4	0.437
PSCD4	2.04033333333333
DPY19L2P2	-0.712
TRAPPC6A	0.324166666666667
C21orf2	-0.0363333333333334
CEMP1	0.646
LIN7B	0.477
E2F7	-2.851
VCP	0.0803125
LAMA3	1.95666666666667
BGN	1.5765
GPR160	2.20283333333333
COCH	-3.93133333333333
GPR81	1.69816666666667
APOBEC3F	-0.3725
tcag7.1017	-0.73725
C1orf32	0.26
SCGB1D2	6.04775
FLJ43987	-0.339
C6orf170	1.46325
KLK9	0.124
GPD1L	0.0155
VPS37B	0.27475
ATG3	0.2425
ADAMTS17	-0.2955
KLHDC2	0.183666666666667
NDUFV2	-0.78075
BLK	-0.69525
MATN4	-1.3075
GPM6A	-0.120714285714286
GBP4	4.54033333333333
TMEM162	0.264
PKP2	1.689
HRASLS	1.70944444444444
MMP1	-0.386
SFXN3	-0.0543
FSD1	-2.171
ST6GALNAC3	-1.06
CA12	1.4075
NCOA6	0.46375
C19orf58	-0.3768
PPP4R1	0.471833333333333
MAN1A2	0.509
IKBKAP	-0.99875
UPF1	0.272833333333333
KIAA1219	1.004
WNT16	0.7214
SNW1	-0.14225
IL18RAP	4.1885
RPP30	-0.047625
CDC40	0.180928571428571
SETD3	0.605
SLAMF6	1.90825
ELK4	-0.793
TRIM47	0.394
ACOX3	1.7755
TRIM6	-1.404375
KIAA0372	-0.0883333333333333
TP53AP1	0.3665
SMURF2	-0.174
ADAD1	0.375
EBP	-1.3762
KRTAP13-2	-0.059
FLJ36874	0.120333333333333
TOR1A	0.0931666666666667
P2RY4	0.2
GPBP1	0.16
TRPV1	0.101375
ADAMTS12	0.602833333333333
PES1	-0.2193
ATG4A	1.157
MAGEA10	-5.091
WFS1	2.35475
CC2D1B	-0.148333333333333
PABPN1	-0.29975
SLC25A30	0.4315
SLCO1C1	0.178833333333333
SLC22A5	1.31575
KIF23	-2.38416666666667
SYN2	-0.580833333333333
ASPN	6.81583333333333
CENTG2	0.76225
QSOX2	-1.1933
FLJ10815	0.383666666666667
STK24	-0.182625
SPEG	-0.4485
STK10	0.802833333333333
DACT2	2.318
AAAS	-0.72175
SSX3	-1.80375
ABCD3	1.1883
C4orf12	-0.331875
PARVG	1.55366666666667
FIG4	1.79225
C9orf46	1.07125
TMCO6	-0.848
IGHMBP2	-0.361
DUS2L	-0.0526666666666667
FAM3C	0.398125
TMEM16D	-2.648125
DCTN4	0.4945
KCNH3	0.3665
EIF2AK2	0.552
AP1S3	0.549375
CST4	2.1015
PAM	0.15575
NUTF2	-0.2655
CITED2	1.3626
SLC39A4	-1.79375
C2orf52	-1.105
GRM3	-0.26275
C12orf49	1.01875
CCDC49	1.8079
GRAMD1B	-0.9925
FNDC4	1.02825
SIAH2	-0.170375
GDPD4	0.07575
C21orf87	-0.08625
ATP5A1	0.2665
C16orf63	0.1825
LOC388135	-0.793166666666667
ATP5J2	-0.74075
MMP3	0.02425
EMID2	-0.38175
CRHR1	0.33
WDR70	-0.182
C13orf31	1.68375
ZFAND1	-0.62875
CCL18	3.90966666666667
C3orf49	-0.103
RINT1	-0.261
KIAA0408	-1.33183333333333
F13A1	4.9156
SLC10A1	0.235666666666667
OGN	2.1255
GIPC2	-0.831666666666667
XPO6	-0.0755
LCE1A	0.578
FMR1	0.3215
LOC374920	-0.432
DUSP3	-0.03325
ANKMY1	-0.1065
C7orf50	-0.0645
BBS9	-0.1929
UNC119B	-0.11675
C9orf72	0.37875
MGC35440	-0.461
ENTPD6	0.4045
PPP1R2P9	1.08975
ERCC4	-0.04475
FAHD2B	0.4535
HMHA1	1.1275
HACL1	-1.2285
RAD23A	-1.07016666666667
FAM83B	-3.23375
PPP5C	0.00533333333333333
RNASEH2C	-1.22225
C9orf153	-0.77975
SCAMP4	0.526875
GHITM	0.4773
NDUFB7	0.030375
ADCYAP1	0.881166666666667
SP110	2.25016666666667
MAP3K7IP2	0.416
DHH	-0.2825
AGRN	1.41021428571429
WDR33	0.02
CEP290	-1.5365
PRPS1L1	-1.5895
KLRA1	-0.265
GPR97	0.3895
CHD7	-0.44675
TLR10	2.15075
SLC30A8	2.3075
HIC1	1.41166666666667
IAPP	0.0475
RXFP4	0.32825
GP1BB	0.3305
SHQ1	0.0625
NKX2-3	0.468833333333333
API5	0.367
FTHP1	0.775
MOV10L1	0.680333333333333
TRIM6-TRIM34	0.926166666666667
ADHFE1	0.414
FAM117A	-0.4325
DDI1	0.149833333333333
CDON	-0.2115
TRIM73	-1.2175
IGKC	4.8505
MMP14	-0.40425
DYNC1LI1	-0.3785
C11orf66	0.98025
TRBV3-1	-0.52875
FASTKD5	-0.14625
BIVM	-1.25025
LHX4	-0.6445
CXCL2	-0.9392
RAB2B	0.186166666666667
IZUMO1	-0.94325
MAP3K15	-2.34275
FAM19A2	0.538833333333333
ZC3H8	-1.05533333333333
ZMAT1	0.035375
SPINK5L3	-3.7615
SLC10A6	1.148
APPL2	-0.21875
CARD10	-0.223333333333333
LOC402176	-0.423375
EEF1D	0.6181
RAB6A	0.5316
C12orf5	-0.200875
PAPOLG	0.45625
MSRB2	0.98125
BCR	1.25083333333333
PUS3	-0.13825
TIAM2	0.59075
ZNF317	0.0271666666666667
CHD2	-0.216642857142857
FZD5	-2.05872727272727
NUDT8	2.7655
ZNF763	0.407
PRC1	-2.26155555555556
ABCB9	1.089
SPATA3	0.15025
TRAK2	1.267125
STAB1	3.048875
LRRTM2	-0.0656666666666667
psiTPTE22	0.587
DBI	1.93325
SERPINA11	-2.652
NAT5	0.022
C20orf58	-3.11025
RPS6KA4	0.144
FLJ90650	0.85025
TGFBRAP1	-0.06775
CHRDL2	-0.282625
FAHD2A	0.141
CNTN1	1.588
BBS4	-0.6055
TMEM181	0.443
MINPP1	0.235
MPHOSPH6	1.78491666666667
HOXC10	1.3549
ITPKB	0.322125
CLPTM1L	-0.335625
MEOX2	1.705
ATP6V0C	1.490875
PRPF8	-0.867666666666667
TMC5	0.5675
FKBP3	-0.16425
PLEKHB2	0.516375
OR4D6	-0.2975
ZNF544	-0.919
D2HGDH	0.310125
RPL18A	-0.1062
HEL308	-0.085875
MPP6	-3.099
TCERG1	-1.37725
KRT16	-2.86966666666667
KLF17	-1.52225
KLF5	-0.4785
CDR1	2.94925
VCX3A	-2.8715
FBLN2	1.986875
C14orf104	-0.053
HBE1	-5.1375
OR4S2	1.2155
C1orf108	-0.0963333333333333
ROBO4	3.6315
CPEB4	0.72775
C11orf80	0.9125
BCKDHA	0.274
MYOC	1.995
GIF	0.6345
CKMT1A	-0.213
RPL3	0.282
THBS1	1.22225
APOO	-0.708
ARMCX1	-0.2615
HSZFP36	1.90975
SNAPC5	-0.71425
EIF4ENIF1	0.8255
ZNF433	1.03925
TNFRSF21	0.665375
TMPRSS7	-0.5595
SPATA18	-0.0689
HPDL	-1.295
MKL2	0.657
TBX3	1.21346153846154
C21orf93	0.0465
DAXX	0.996
ELMO1	0.5615
RGS13	1.9695
TAF11	0.073
UNC13A	-2.06425
LOC653314	0.9388
ORC3L	-0.62175
IMAA	-3.5825
TARBP2	-0.05125
CABIN1	-0.0173
TRIOBP	0.292875
HIST1H2AC	0.225875
RGS22	-2.40616666666667
NCOA1	1.71816666666667
IL25	1.499
SNCG	-0.095
GPR6	0.146
AMDHD1	-2.06983333333333
CHEK2	-1.531
C6orf142	-0.541
DRD4	0.41425
C14orf68	-1.288
GDF11	-1.52775
SEMG2	0.313
CD247	1.0085
CDAN1	-0.939
RBMX2	-0.0186666666666667
TGS1	-0.33125
OIT3	1.2155
SYF2	0.1295
MCM4	-2.36275
PKHD1L1	1.18775
CEP192	-1.068
IFT88	1.3005
RPL9	-0.590928571428571
RAB32	0.154625
DDX43	-1.982
P2RX2	-0.00816666666666668
OR5D18	0.632
UBE1	0.071
SLC24A1	-0.391375
ARHGAP5	-0.04075
CETP	-0.20275
KIAA1731	-0.808
SLC9A4	0.644
PTPN6	1.34
BAHD1	-0.24925
GRIK3	0.273
CACNB2	-0.7487
PDE10A	2.04275
DGCR14	0.02975
PCDHB9	-0.528833333333333
RHOQ	0.578666666666667
MAP3K4	-0.534
KTI12	-0.0171666666666667
RPL23AP13	-0.63575
GNG11	-0.78425
CLCN3	0.711333333333333
GPAM	0.259375
VSTM2A	0.0955
SLAMF7	3.98966666666667
INTS2	-0.717
PPP2CA	0.266
LRP12	0.5732
SEC14L2	0.515888888888889
DKFZP586H2123	1.688
MC3R	-0.165
CIRH1A	-0.9955
HIST1H2AB	0.223666666666667
POLH	-0.537625
MGC16703	-1.70816666666667
SNAPC2	0.415
FILIP1L	1.73475
RASGRP4	0.877
LRRC1	1.8925
GAS1	0.7975
PRAC	-1.43175
DGKA	0.248833333333333
NT5C3	-1.27075
PEG3	-3.59416666666667
NADK	-0.17575
PRR17	-0.29575
LOC374569	-0.586
SGSH	0.7095
NLRP8	-0.2545
GALT	-0.3152
MCF2	-0.459
ZNF263	1.14275
TACSTD1	2.01516666666667
TYR	-7.1675
ATP6AP2	0.7275
RNUXA	0.05525
ABHD10	-0.1116
GDPD2	-1.84375
SLC35C1	0.788
UBE2A	0.335
HERC5	-1.0575
FAM112B	-3.62183333333333
FBXL16	1.67575
DKFZP434A0131	-0.9575
ELA3A	-2.8595
RBM41	-1.637125
HAO2	0.351
RNH1	-0.273625
SHANK2	1.34866666666667
OSBP2	-0.747625
DAK	-0.403
C3orf58	0.51475
TCL1B	-0.9315
KBTBD2	-0.404875
SUGT1L1	0.34475
UBE2E2	1.21883333333333
MYL9	1.60725
CDC23	-0.861333333333333
PBXIP1	1.2707
CXorf40B	1.619
NBL1	1.12175
RTBDN	-0.128
RAB11FIP5	0.615875
TTTY13	-0.697
SCOTIN	0.299416666666667
SOHLH1	2.5365
CDKN1A	-0.475357142857143
NCK1	0.30075
ZNF550	-1.023
SAPS3	0.0979166666666667
SPIN3	-0.231166666666667
MAGEE2	0.20825
MIS12	-0.4185
OR8H2	0.3865
KIAA0774	1.19083333333333
UNC5D	-2.702
CUL7	-0.387666666666667
LIPC	-3.01283333333333
DIO1	-0.06875
C20orf11	0.7779
CTRL	-0.24
HS3ST2	3.6225
PAK4	1.15316666666667
CCRL1	2.78675
RNF10	-0.15275
ZNF567	0.04575
ZNF660	-0.3905
TCEAL3	0.94125
MAGOH	-0.452666666666667
CENPB	0.072
C19orf7	0.507375
LOC388965	-0.09925
ZCCHC13	-0.2515
JMJD1A	-0.4758
HIST1H4H	0.965
TBRG1	-0.2274
GPC3	-3.64025
TAF1C	-0.623875
EBNA1BP2	-0.486
CIAPIN1	-0.05925
PDGFRA	-0.000777777777777762
CSTB	0.2215
CENPI	-1.41816666666667
GTF2E2	-0.635
RPP21	-0.72975
CCNF	0.0941666666666667
KCNQ3	0.6345
FAM79A	2.06025
SLC22A12	0.188
NOVA1	-1.13116666666667
FZD3	1.4827
AKAP8	-0.714
SOCS5	0.44075
CFDP1	0.066
DLG5	0.2045
PGM5	0.538
C1orf144	0.151083333333333
HDAC10	-0.993
RND2	-1.6985
C20orf199	0.5855
RNMT	-1.040375
SLURP1	0.87325
ASTN1	-0.59275
SH3BGR	0.1365
MYCL1	-0.19775
ZHX1	-0.222166666666667
CENPK	-2.39
FOSB	0.854
LOC643406	0.862625
C2orf59	-0.9545
TMEM135	-0.0575
SLC27A2	-1.4285
KRT33A	1.498
OVOL1	2.111875
PAMCI	-2.425
S100A7	-1.8825
ZNF789	-1.5675
HARS2	0.35625
RPL23A	-1.1305
TCF23	-0.06325
UPF3B	-1.724125
C17orf78	-0.1375
HLA-DOB	1.63066666666667
C14orf142	0.400166666666667
TEKT5	1.32916666666667
DMWD	0.0185
POLD1	-1.967
GSCL	-0.011
CALD1	1.0211
SCRT1	0.157666666666667
AIG1	1.486
UNC84B	1.1415
ZNF404	0.18425
TMED6	-3.643
KIAA1462	0.8015
LRRC27	1.75666666666667
PYGO1	-0.175
PIGU	0.459166666666667
ALAS2	-4.00516666666667
WRNIP1	0.362125
CNNM3	-0.22
ZNF2	0.93775
ST3GAL5	1.09
MRPL23	-1.1995
TSSK6	-0.06025
PSMA6	0.07075
C16orf70	0.93
KIAA1602	-0.28625
ALMS1	0.0521666666666667
DCN	3.191375
TMEM132D	-0.9275
SUCLG2	0.72525
ABHD14A	-0.848
DEXI	-0.936833333333333
AMPD2	-1.1225
IFNAR2	0.355166666666667
CYB5A	3.1047
TLOC1	1.5235
NXF5	-0.792
NRBF2	0.618875
KCTD3	-0.2095
ITGAE	-0.709
SLC30A3	-0.6645
ZRF1	-1.194
IFRD2	-1.233875
XAB1	0.314
PYCR2	-0.6385
SERPINB3	-5.3495
TMLHE	0.0775
GEFT	-1.06275
ABCA5	-0.662
EMR4	0.239333333333333
TSFM	1.33025
HIST3H2BB	0.27475
ARHGEF19	1.29425
TSPAN17	0.612833333333333
ABCC8	2.65475
MAP1S	-0.044
C22orf36	1.71725
BNC2	0.421571428571429
HIST1H4A	-0.82425
NDUFS3	-0.3675
WDR3	-0.937
XKR4	-0.95275
TTC33	-0.00107142857142857
STMN2	2.5175
CPN2	-0.851833333333333
HSPC105	2.326
PCOLCE2	-1.93575
C3orf55	1.4635
KLHDC9	1.786
TBC1D23	0.000749999999999991
ATXN2L	-1.16508333333333
MAP2K3	1.28025
SCAP	-0.3205
ZNF486	1.05866666666667
C20orf96	-2.09925
NARS	-0.00325
ADAMTSL1	-0.501142857142857
PRCC	0.341833333333333
CCDC126	1.94775
ZNF675	0.5235
CALCOCO1	0.90125
ANKRD43	3.696
CWF19L2	-0.247833333333333
ZBTB32	2.62316666666667
BRAF	-0.418
ODF4	0.7625
MGC14376	0.721666666666667
HORMAD1	-1.84483333333333
AAK1	0.182
PEBP1	0.121916666666667
TNFSF5IP1	-0.5445
DKFZp564N2472	0.3705
RMND1	-0.624
IGKV1-5	5.13625
COL1A2	2.93775
SERPINA5	-1.527
AANAT	0.377
C19orf21	0.904666666666667
GEMIN5	-0.52375
UBR4	-0.0331666666666667
LTBP3	-0.0423333333333333
AMHR2	-3.00533333333333
PROCR	-1.6765
MYBBP1A	-1.18725
C20orf39	0.390666666666667
ZNF697	-0.074875
PASK	-0.3764
ZNF776	0.299166666666667
RFXDC2	-0.69025
KIAA0467	-0.07875
C10orf96	-1.36425
ZNF503	0.375
GULP1	-1.53325
KCNE4	-0.934
DKFZp434K191	-0.861625
LOC196913	0.147
BHLHB4	0.2825
CH25H	2.56525
LOC81691	-0.443333333333333
ALPL	0.4595
COL12A1	2.284625
FOLR3	-2.42533333333333
GPR123	0.121625
TRIM62	1.46871428571429
ABLIM1	1.35866666666667
MAST3	0.68275
RHBDD1	0.6305
LOC338809	0.2935
RYBP	-0.3555
TTC26	-0.132125
ZNF22	-0.2095
ISCA2	0.01175
RDM1	0.8705
PIGM	0.72025
GNB3	-1.639
ACTR2	0.9862
HMGB1	0.3256
EDG1	3.07316666666667
SOAT2	-2.04925
OR10AD1	0.509
RAP1GDS1	0.599916666666667
LCE1F	-0.0835
ESM1	-0.63675
RCN3	1.84725
CREBL1	-0.68325
DBNL	0.362
PTGER3	2.310625
USP30	-0.0921666666666667
BCL2L12	-1.0045
KIF26B	2.22975
ZNF416	0.545
ZNF225	0.379
C17orf70	0.22625
ZNF554	0.6955
RAE1	0.828333333333333
TNIK	1.20783333333333
ACTN3	-0.2015
MGC45922	0.206
CCNA1	0.0526666666666666
RYK	0.402833333333333
IL26	-0.3125
LRP3	0.699833333333333
QARS	0.1165
SOX7	0.745714285714286
BID	0.144
OR2S2	0.03
CXCL14	4.4865
C11orf47	-1.0205
MGC29891	0.115833333333333
HSPB8	-0.1355
PRDM14	-1.8135
NUFIP2	0.13075
MNAT1	-0.55675
ZDHHC2	-0.992833333333333
MBNL2	0.35125
ADD3	1.0625
CSNK2A1P	-0.50975
KLK6	-2.82933333333333
TMEM111	-0.3025
KIAA1279	0.87925
NUBP2	0.318166666666667
RAB42	-0.59975
ID3	-1.2562
TM9SF1	0.775
MDP-1	-0.515
POU4F2	0.0513333333333334
IQCK	2.04125
C16orf14	-0.88875
CAPN3	-1.382625
FAM43B	-0.635875
RECQL	-0.86925
AP1G1	0.391785714285714
CTNNBL1	0.12
ECHDC1	-1.604
SMARCC1	-0.5629
FOXQ1	-1.564375
GNAI3	-0.138166666666667
POLG2	-1.77175
CD4	1.44775
ITLN1	0.8285
EBI2	4.713
IRF1	2.3745
PTPRE	0.9686
PTK2B	-0.00875
NXNL2	-1.564
SOX4	1.39122222222222
TSPAN3	-0.235166666666667
SH2D1A	-0.540333333333333
C8orf58	-0.485333333333333
USP20	-0.376
DUSP22	-0.156083333333333
CALB1	-2.40133333333333
L3MBTL2	0.640583333333333
MCRS1	-0.0775
TMEM118	-1.201
C18orf8	0.879833333333333
FLJ10241	0.275625
GJA12	0.424
PKD1	-0.0696666666666667
ZFP3	0.466
JAM3	-1.07175
LAPTM4A	1.4273
DIRC2	0.34475
KIAA2022	1.57916666666667
MYOM1	0.542
TRPM8	-3.102
MOP-1	0.52175
PHKG2	0.3885
ZNF650	0.742125
KIAA1522	2.201375
PSG8	-1.6945
DDX19B	0.3465
MOBKL1B	0.47725
DIAPH2	-0.8835
PTPN12	0.9125
CLN8	0.4795
CRYZL1	-0.738
CRY2	1.50775
FCGR2B	4.33283333333333
PNPLA4	2.310375
ZNF454	1.9775
DKFZp434B1231	-0.1785
CLDN11	0.3324
RFWD2	0.312333333333333
CIB2	-1.48
MXRA8	3.017125
HRK	-0.652375
MAML2	0.5595
C4orf31	0.55925
C6orf192	0.028
COG6	0.76825
FAM5B	-0.688
NFATC1	1.6985
SEPT10	-0.5535
SCYL1	0.1593
RPP40	-0.32025
SCOC	1.5872
KIAA1450	1.95425
CTDSPL2	-1.118
TBX5	2.12716666666667
NAPG	-1.407
RHD	-4.69475
C14orf45	2.09266666666667
ZBTB22	1.088
PLCG1	-0.8905
ANKRD10	-1.241
AQP7P2	2.4895
TAGLN2	0.2745
HTR2C	-1.50216666666667
SLC16A7	-0.0155
C17orf83	-0.11225
TSGA14	-0.78125
MDH1	0.0615
PPP3R2	0.0981666666666667
DCBLD2	-2.73192857142857
RBM33	-0.7305
DPH3	-1.72275
SYT10	-0.9435
FMO4	1.822625
THYN1	-0.75
DRD5	-2.716
OTOR	2.44025
PGRMC2	0.5307
KATNAL1	-0.0345
PAQR6	-2.7775
UBE2I	0.54
C14orf28	0.29275
C8orf70	-0.0695
FLYWCH1	-0.05075
ANGPTL3	-2.029
GLRX2	-0.282833333333333
ATP11A	-0.718285714285714
ARL5B	0.38475
MUC16	-3.551
SLC25A5	-0.134571428571429
ACRC	-0.70175
MYO1C	-0.235875
FAM89B	1.64533333333333
FAS	1.256625
KIFAP3	0.619
GLRA2	-0.2075
BTN3A2	1.4304
CNKSR3	0.494375
CSTF3	-0.25
ARPM1	0.18025
KIAA1530	-0.804
C9orf150	2.018
PRKCI	-0.10125
tcag7.1015	-1.11575
SOD3	1.24375
ZNF574	0.28825
CYP21A2	0.0665
RPL12	-0.084
COMMD2	-0.39825
WIZ	0.38775
LOC344405	-2.217
ALDH4A1	0.506647058823529
CRYAB	2.13925
COPA	0.681133333333333
PCDHGA7	0.3225
KIF11	-1.302
RASD2	0.668125
SLC26A3	1.706
ZNF175	0.1165
JAKMIP2	-0.855625
C8orf4	0.123833333333333
PTHLH	0.21875
SLC40A1	3.72383333333333
OR7D4	0.430166666666667
PCDHB17	-0.078
