Hybridization REF	TCGA-AN-A0XV-01A-11R-A109-07
MGC16025	0.6275
STRAP	-1.83616666666667
C20orf196	-0.343
RRBP1	0.380833333333333
NAT13	-0.612
MAT2B	0.18925
CSNK1D	-0.7015
KIR3DL1	0.24925
PRKAG3	0.0175
ZNF599	0.216
PRM3	0.3155
PER2	0.598
ASPHD1	-2.026
PRMT6	-1.37575
KCNE1L	-0.360357142857143
FAM118A	-0.7635
TAF4	-0.5975
NDUFB6	-1.05075
TRIM9	-0.901583333333333
PMFBP1	-0.7735
KY	0.317
DKFZp762E1312	-2.41318181818182
CSMD1	-0.56
TBP	-0.492166666666667
OR1Q1	0.272666666666667
RETNLB	0.39
HPGD	-0.377714285714286
DNAJC12	0.470833333333333
FKBP1B	-1.60275
ANKRD24	0.2985
CXXC5	0.704
IL3	-0.076625
DRAM	0.2758
PTCH1	-0.953375
TP53BP1	0.08575
SLC17A7	0.1835
COL25A1	-0.053
AMACR	0.922166666666667
RHCG	-0.1105
VPS13A	-0.00133333333333333
FAM55D	0.685
PRPF38B	-0.54925
OSBPL6	-1.00775
PFDN5	0.3811
CMTM6	0.2865
KCNK12	-1.25725
RP2	-0.584
C16orf52	-1.241
PICK1	0.7405
IFNE1	-0.333
SEMA4B	0.62075
TYRO3	-1.4045
OR12D2	0.452
CSNK1A1	0.45335
FANCF	0.68475
LONP2	0.712
TBL1Y	-0.55125
LDOC1L	-0.144375
CCNC	0.2015
C3orf60	0.416
CHKA	0.11075
UBAP1	0.3835
MAP3K1	1.0615
ANKRD9	-0.228
FAM92A1	-0.0261666666666667
GAB2	0.100875
AZU1	0.261
DIS3	-0.915833333333333
C21orf109	-0.81075
IQCB1	-0.508
SPATS2	-0.730333333333333
EFCAB3	0.54
PRB3	0.288375
FUZ	0.478
ZNF813	0.45475
BMPER	-0.642333333333333
HEG1	0.4535
ALS2CR11	-1.04
SURF2	-0.12275
PSMC1	-0.1115
OR2D2	0.1425
SLC7A8	2.123
C4orf40	0.3305
SPATA7	0.1955
MAZ	-0.807833333333333
PIN4	0.3555
PDE1A	0.398625
TAF6L	0.062
OR2T34	0.024
KIAA0284	0.03325
ACADS	1.18554545454545
MKRN2	-0.6355
C18orf56	-1.29375
MS4A6E	0.348833333333333
GALNT4	0.4111
C22orf31	0.6175
FLJ36070	0.366
PSME4	0.5355
TFG	0.2486
EPHX2	1.79425
ANXA5	0.1535
KRTAP1-1	0.3218
BATF	2.3635
KARS	-0.617
MSTP9	0.207
GPR26	0.16725
CCDC72	-0.13725
TEF	0.690833333333333
FOXK1	-0.9612
PRLHR	0.703
EMX1	0.48575
C11orf30	0.25425
ICK	-0.025875
THSD7B	0.39675
C21orf100	-0.7755
DUOX1	2.2955
EFCAB4B	0.001
UBE2G2	-0.463833333333333
C3orf54	0.453
PARP1	-1.143
FAM60A	-0.812
C6orf146	0.45925
OR9K2	0.417
DDX55	-0.955333333333333
RPS15	0.49925
ZNF618	0.078375
DKFZp686D0972	0.3435
SSPO	-0.508
SHFM3P1	0.660166666666667
CPA6	1.10375
JAG2	0.57025
DEFA3	0.44175
PPBPL2	0.2806
CD34	3.988875
SLCO4A1	-2.8165
AFG3L1	-0.8195
SHD	-0.60025
RP13-122B23.3	-0.649833333333333
PRKCSH	-0.749833333333333
DPH5	-0.109666666666667
HLA-F	2.352
TBC1D4	-0.98075
RIG	-0.0901666666666667
GLUD1	1.06816666666667
HNRPCL1	-0.19975
HBXIP	-0.40125
RNF207	-0.356
APIP	-0.94075
PLA2G3	-1.68933333333333
CCDC84	-0.6975
MYLIP	0.360230769230769
PHIP	-0.36475
AARS2	-0.342
DHX32	0.42975
SCAPER	0.4835
MEN1	-0.320125
NIP7	-1.092
FLJ25404	0.339
FASTKD3	-0.70625
TMEM158	-2.08716666666667
RARA	1.50475
BDH1	1.0825
ANKRD16	0.4985
CARM1	0.84
SS18	0.67
IKZF2	-0.225333333333333
MYD88	0.293625
PML	0.5538
TAF1A	-1.70775
CBFB	-0.68725
HIST1H3H	0.0536666666666667
C7orf29	-1.86875
COMMD4	0.209833333333333
DPP3	-0.88925
DAB2	0.476375
LOC388882	3.2205
YPEL4	-0.036125
AGBL3	0.645
LRP6	-0.2407
SERPINH1	-0.44625
TLE1	-0.975
CD244	0.445666666666667
ZDHHC15	1.07325
MGLL	0.9593
PLDN	-0.504416666666667
LOC654346	1.0935
FAP	2.99975
GPR37	-0.154333333333333
SCARA5	2.312
EBF4	1.06372727272727
LSM6	-1.16225
MLLT1	-0.1119375
SLC5A12	-0.118
A2BP1	-0.433666666666667
COPS5	2.29733333333333
TPM4	-0.595142857142857
TNFSF4	0.217
ACADSB	2.52188888888889
HERPUD1	1.164
BCL2L11	-0.403777777777778
CEP78	-1.44975
CDCA3	-0.898
WBSCR19	0.161
MYO1A	-1.7405
PPEF1	1.51866666666667
LOC440348	-0.69625
CPEB2	1.543625
BPTF	-0.335166666666667
RPL21	-0.6768125
GSX2	-0.0235
ADPRH	0.991666666666667
C17orf68	1.0965
KCNS1	-0.447833333333333
MLLT6	0.0203
PIWIL4	0.346
RNF26	-0.52275
RAP1B	0.22875
ADAMTS1	-0.885
ZNF571	1.01975
P2RY6	-0.6585
TRIM21	0.789
CADM3	0.391
NLRC5	1.094
ADRA2B	-0.186333333333333
LOC90835	-0.305
PCF11	-0.123
LOC400451	2.53475
GLTSCR1	0.5591
C17orf88	-0.263666666666667
CDH16	-0.45075
FGF7	1.727625
PCSK4	0.725833333333333
NPC1L1	-0.362666666666667
TAT	-0.4575
TBCA	-0.24425
MGC33407	0.0395
GPR115	-0.5695
CYGB	0.7575
FNBP4	-0.938833333333333
C12orf43	0.082
CBL	-0.4349
CLECL1	0.87975
PPAPDC1A	1.94225
WDR25	0.34
SGCA	0.8145
C22orf29	-0.097
YIPF1	1.56425
GALK2	0.15325
RAB3B	-2.87391666666667
LOC440087	0.11625
UCP1	1.4775
REEP5	1.978625
FADD	-0.5099
FOXA1	3.593
CACNA1A	0.359333333333333
ABI1	0.563666666666667
GRIN2D	0.69975
SLC1A4	1.32233333333333
LOC401127	-1.287
HINT2	1.18175
PLD4	0.0345
ZNF286A	-0.94175
ENY2	-0.582
IL1F6	0.348
PXDNL	0.508
C20orf79	-0.4895
TNFSF13B	2.5105
DENND3	0.445
JARID1D	-2.481
HIST1H2AK	1.082875
LOC93349	-0.0423
SSH1	-0.9775
ENSA	-0.25575
LOC219854	0.376333333333333
CKAP2	-1.1716
DKFZP564J102	0.653666666666667
MGC87315	-0.0356666666666667
HNRPAB	-0.64475
AMH	-1.279
ZNF526	0.5245
BRUNOL5	-0.2918
CACNG3	0.328666666666667
TRPM1	-0.938
PPP2R1A	0.0715
COL2A1	-1.348
DDN	-0.148666666666667
FLJ25770	1.2865
HK2	-1.06078571428571
ELOVL6	-0.996
MDK	-1.014
EPHX1	1.15025
RASSF2	0.42175
DKFZP434B0335	-0.61025
DLX3	0.09025
PRTN3	-0.236
AVPR1A	1.079
C21orf125	-0.84
TNFAIP8	-0.679
GNB2L1	-0.134
CALCRL	3.2835
SCGB2A2	8.82466666666667
UBXD7	-0.471
ZNF674	-0.592
TMEM35	0.35375
BRSK2	-0.9485
HECTD3	0.0998333333333333
TMEM188	-0.474916666666667
LGALS9	1.104
SCARB2	1.5995
USP34	-0.200666666666667
C17orf28	1.10291666666667
ZDHHC23	-0.6365
AQP12B	-0.0525
SLC16A3	-2.6175
APLP2	1.32725
ITIH2	-4.85025
MICAL3	-0.30875
TNNI3K	0.7048
HDAC2	-0.26725
PRR7	-0.2552
THBS2	0.90275
LOC751071	-0.0146666666666667
CA2	0.323833333333333
RANBP17	0.80275
RLN3	0.115
CRYZ	0.15
GBAS	0.894
TAS1R1	0.37475
MPZL3	0.5625
PCDH8	-1.5275
HSP90B1	-0.154416666666667
KCNK15	0.836
TNIP2	0.2665
GPR146	0.87425
NOL6	-0.469125
SPC25	-3.37633333333333
STEAP2	2.84214285714286
VAMP3	0.104833333333333
TCIRG1	0.61275
ZP4	0.341833333333333
PARL	-0.31125
TRIM39	0.066
KIAA1305	1.36725
CRNN	0.1165
GRN	0.64925
HSH2D	0.095
SCAMP1	0.2625625
KIAA1913	1.132
PTS	-0.02025
BANP	0.603785714285714
PRKACG	0.0155
ADCY6	0.184
C16orf46	-0.00899999999999999
CYP51A1	-0.079625
DDC	-4.86275
ANPEP	-0.851333333333333
PROM1	-1.062
SIGLEC10	0.6985
COPG	0.9655
FAM26E	1.42625
TRIP4	0.508
SNX3	0.193666666666667
C1orf175	0.486833333333333
PPY2	0.06375
C14orf152	-0.143
FTSJ1	-0.485166666666667
DST	0.3772
LOC554235	0.006
GLRX5	-0.206
C20orf12	0.8989
CAB39	0.621333333333333
MSH2	-1.27966666666667
PIP4K2C	0.788875
CYLD	1.215625
WTAP	0.045125
MGAT4A	1.39144444444444
TSC22D4	-0.1691
CHRM2	-1.2285
PPYR1	-0.154
CCNH	0.096
RRM1	-0.962
ECAT8	-2.64625
LOC400120	0.1415
GABRA4	-0.280625
C14orf4	0.667
C1orf59	-2.60025
CTDSPL	0.183666666666667
NHEDC2	-0.4355
PDE11A	-0.245375
KLHL29	-1.012
CD5	-0.1245
TSPAN9	1.62325
WDR67	-0.861
THUMPD1	0.2284
C18orf17	0.4555
CLYBL	0.6645
FLJ13231	-0.33375
CMBL	1.076
LECT2	0.28075
NKAPL	0.5755
LOC654780	0.311
OR4C6	0.312
RAB30	2.15866666666667
TSSK4	-0.046
TMEM163	1.0295
OSBPL11	-0.215416666666667
GNB5	-1.2675
CCL21	1.6165
C1orf121	-0.306166666666667
FMO2	2.08
RPTN	0.744
MSTN	0.4895
VCL	-0.168928571428571
FYTTD1	0.20325
C11orf1	0.50775
CCDC88C	0.699625
HFE	-0.393277777777778
MOGAT1	-0.274
FAM125B	0.1825
IRGQ	0.226
RAVER2	0.8275
AKAP5	-1.292
SSSCA1	-0.03125
C11orf63	1.712125
ACTG2	1.1127
PORCN	-0.604
DTL	-2.13763636363636
TMEM151	0.19575
FAM122C	-0.5925
RSAD2	2.1522
BAT4	-0.5825
KRTDAP	-0.0866666666666667
MYH8	0.144625
CRTC3	0.68525
LRRFIP2	0.6311
INTS4	-0.1425
TTN	-0.651
SLC26A5	0.548
PLLP	-0.717
RGS6	0.019375
SRGAP3	0.448625
ZNF525	0.347166666666667
NBR2	0.00166666666666668
C13orf1	-0.6856
ZNF137	0.243
CEP27	-1.425
BEST2	-0.000999999999999994
RNF121	-0.5635
DMRTC2	0.09275
C8orf76	-0.50625
BCCIP	-0.398
MEST	-0.96025
HTRA2	-0.142
ANGPTL2	1.0805
ILKAP	0.134333333333333
ERAS	-0.0075
HBS1L	-0.815125
CPA5	0.421
TMEM30A	0.915833333333333
CD300LF	0.654833333333333
WISP3	0.221
CRK	0.306357142857143
PDS5A	-0.294
BRPF3	0.622333333333333
NEDD9	0.405875
SMPDL3B	1.312
PSG6	0.1335
PSMD13	0.88525
ETV5	-2.14675
OR51A4	-0.3135
BTBD7	0.430083333333333
GSTO1	-0.75
hCG_16001	-0.0265
MAD2L1BP	-0.3275
COX6A2	0.6505
SCNN1A	2.33183333333333
LSM1	0.347
UGT2B11	-3.04325
IDUA	1.28625
PPP2R3C	-0.727833333333333
COX11	-1.11633333333333
PDZK1	-3.70275
ZNF443	1.40183333333333
MGC21874	1.0785
ZNF323	2.2596
KRTAP10-10	0.3465
CXCL6	-0.0995
SLC34A2	0.6691
LOC284402	0.9495
NPTN	1.03216666666667
UPP1	-1.91908333333333
SLC6A9	0.034
OR7G3	-0.0515
CISD1	-0.283
ZNF545	-0.173333333333333
SYT14	-0.49
NT5C3L	0.113833333333333
ZNHIT3	-0.378833333333333
SNRPD3	-0.05775
KIAA0701	0.32125
UNC93B1	0.4125
GMNN	-1.675
SPCS2	0.194333333333333
LOC388524	-0.6245
NAPRT1	0.23125
PNLIPRP1	0.23925
OR6V1	0.165
PRKAB1	0.3095
EYA4	-1.97366666666667
KIF20A	-1.6655
ALG10	0.0975
ITPKC	0.935
LMX1B	0.7885
RPUSD4	-0.492833333333333
C7orf34	0.270333333333333
DLGAP2	0.232125
PFN1	-0.3448
MICALL2	0.303833333333333
ZNF654	-0.093
SS18L1	-1.113875
SLC16A8	0.1865
MKI67IP	-0.175666666666667
ITGB3	-0.7225
TCEA3	2.34583333333333
CEP152	-1.9815625
CLIP1	0.862125
ZNF75	0.2265
ATP5C1	-0.236166666666667
NUDT5	-0.548666666666667
PSCDBP	0.92025
UBP1	-0.199
RBM27	-0.464
C13orf15	2.093
ZNF282	-0.2575
ZNF222	-0.3176
COL10A1	5.47325
PRDM15	-0.62825
TTTY5	-0.332
FAM9C	0.00508333333333333
C20orf67	-0.03325
GNG13	2.3755
F12	0.6295
C1orf41	-0.90625
CPXCR1	0.0895
GSK3A	0.143375
SUPT6H	-0.288333333333333
PI16	2.481
ELL2	-1.52333333333333
C9orf167	-1.90416666666667
PVRL3	-1.9712
FLJ38596	0.52575
ADAM20	0.0795
GPR89A	-0.135
GPR87	-0.981
ZNF30	0.7675
SMR3B	-0.24725
ZNF770	0.321
TRPC4AP	-0.454833333333333
DKFZP686E2158	0.111666666666667
C2orf28	0.068
FREM1	0.224
LAMA4	0.744833333333333
ADPRHL2	0.37275
EIF4G2	0.0736666666666667
GUCA1A	-0.197
CTNNA2	-0.983375
NUDT15	-1.77116666666667
CEPT1	0.4145
ZNFX1	0.5287
CCDC92	0.834
TDRD1	0.3175
KCNK5	-1.70183333333333
ETNK1	0.168416666666667
LTA	0.3045
TTPA	-0.4785
B3GALNT2	-0.677875
SC65	-0.811833333333333
PEX5L	-0.555625
EPS15L1	0.3215
MGEA5	-0.272
HIST1H3A	0.09125
ING1	-0.060625
BCAT1	-3.435625
ORC6L	-2.89245454545455
KLK11	-4.54916666666667
C19orf28	-1.231
DNER	-4.196875
MED22	-0.811428571428571
ETV6	0.90975
CHAC2	-2.241
CD300E	0.1445
CEBPB	0.136666666666667
ZNF398	-0.26075
LRCH3	-0.16
HMGA1	-1.5095
CAPN7	-0.200333333333333
MGC5566	-2.23625
CCL3	2.17225
NANOS1	-0.552125
ZFYVE19	0.21125
APITD1	-0.4785
PARD3	0.8195
IRAK4	-0.0366666666666667
SERPINI2	0.662
CEP170L	-0.83775
TTC9	2.476875
MYOM3	-1.084
MLPH	2.098125
LOC222699	0.622
NRG1	-0.722083333333333
TBC1D9	3.69554545454545
TTK	-2.13033333333333
ZNF557	-0.1582
DDX41	-0.345833333333333
FANK1	1.5605
UBE2D2	-0.034375
PSMB10	1.075625
MYH7B	0.046
GABARAPL2	0.44375
MARVELD2	1.19933333333333
DGCR2	0.6195
UNC45A	0.373
C6orf72	0.622
ZNF683	3.082
GIT2	0.151375
CASK	-0.0651666666666667
C14orf161	2.77566666666667
LRRC44	-0.54475
TIFA	0.359125
UTP11L	-0.75825
C6orf65	-0.27575
FDPS	-0.57575
DUSP9	-1.664
SLC17A8	-0.00883333333333333
OR51G1	0.1815
NANS	0.087
OLFML1	1.3115
ATP10B	-0.539125
NPAS3	-0.505
PRKCA	-2.1322
GGA2	-0.753375
LCE4A	0.6655
SPANXN3	-0.01725
CCDC115	1.16675
SDCCAG3	-1.26075
GLIPR1L1	0.09025
TTC1	0.239
C17orf76	-0.084
MAD2L2	-1.5045
HIPK1	0.1304
LRRC3B	0.19
CLN3	-0.157954545454545
C17orf47	-0.0695
FMN2	-1.553875
TUBB1	-1.09025
WAPAL	-0.152
C3orf21	-0.567625
SCN5A	-0.1959
SMYD1	0.85675
BEX5	2.06775
ZNF192	-0.268
SEC22A	-0.116
GRIA2	1.22057142857143
KIAA0825	-0.78875
NUSAP1	-1.49318181818182
LANCL1	0.30825
C15orf40	-0.6277
ZNF645	0.30625
GPR61	-0.09825
NLRP14	0.1135
SNX21	0.0098
C1QTNF8	-0.267
C17orf46	0.26775
IFNA8	0.968
SPRR1B	-0.410166666666667
FLRT1	-0.5755
SNX17	0.0193333333333333
ASB2	-0.0631666666666667
HBG1	-4.888
RPRML	0.7625
JOSD2	-0.1465
PLSCR3	0.35075
SPOCD1	-0.765833333333333
RAB39	-0.2555
GHRH	0.557333333333333
ITIH5L	0.26125
C17orf37	0.57125
SMCR8	0.332
DPY19L2P3	-0.443833333333333
IL11RA	1.1145
GDF3	-3.363
RPS6KB1	-1.03658333333333
DNAJC19	0.00850000000000003
TOP1	-0.3635
CRCT1	1.04075
MPST	0.141125
DPM2	-0.24225
FAM38B	-1.75883333333333
SLC18A1	-1.25616666666667
FARP1	-0.00516666666666667
PAX7	0.0705
TUBD1	-1.51625
GNL3	-0.161875
BTG2	1.49573333333333
NDUFS6	-1.5475
C1orf79	-0.6915
ERAL1	-0.35
ECHS1	0.97675
VPS4A	-0.08
CYP11A1	-0.373625
ABCC6	-0.692357142857143
PBX4	-2.1775
MOSC1	-0.31675
NCF4	0.059
HYMAI	0.63
NAGPA	-0.34975
OTOP2	0.188
ACOT12	0.261
MTHFD2L	-0.32575
LOC441376	4.7175
C19orf34	0.2
RAB1B	0.17775
ALDOAP2	0.916
NTRK1	-1.11516666666667
ARTS-1	0.6684
SLC6A11	-0.387
NAP1L2	-0.736
CNGB1	-0.0598333333333333
EPB41L4B	0.888083333333333
FAM134B	2.599625
HS3ST3A1	-0.8255
CPXM2	5.20325
SIRPB2	1.086
CHORDC1	-1.49416666666667
TRIB3	-1.01316666666667
SLC2A5	0.11025
C2orf49	-0.899
DDX5	-0.2
OR5L1	0.396
ANAPC4	-0.596333333333333
ZSWIM1	-0.066875
LOC93622	0.04975
KCNK3	-0.198
RP11-35N6.1	-1.1395
ZFP161	0.162166666666667
AQP9	1.074
SLC15A2	-0.611
MREG	0.259
OR9I1	0.1835
PDLIM2	0.14375
ADAM7	0.253
GSTCD	-0.3015
WDR21A	-0.373875
SLC12A8	1.45883333333333
TMEM174	0.015
IGSF3	-0.555916666666667
LRRN1	-1.17475
LOC402117	-0.21325
SRPK1	-1.41083333333333
LY6K	-0.7478125
NFIA	1.969
PTCD3	-0.251
LEP	1.547
PCDH21	-0.3085
MAPKAPK2	0.479428571428571
NMNAT1	-0.137833333333333
LHFPL2	0.404875
C9orf43	0.82575
DIP2A	-0.794833333333333
ACTR8	-0.20425
CCDC34	-0.513
PTPN22	-0.58
ITGA3	-0.648875
FAM129C	0.70375
RABGGTA	0.596166666666667
UNC45B	0.32925
KIAA1033	-0.039
ZNF510	0.0711666666666667
CYP2D6	-0.265
SLC26A10	-1.139
STX8	0.1715
LUZP1	0.1895
WDR89	-0.186333333333333
EIF4G3	-0.2484
C5AR1	0.53825
ZNF623	-0.6185
A2M	1.544
TGM7	0.3485
GRPEL1	-0.00733333333333334
LMNB2	-1.7475
ROCK2	0.288666666666667
SNX16	1.59375
CCDC66	0.76175
ANXA3	-0.84925
KIAA1609	-0.16525
EED	-1.356
RNF32	0.3215
HES1	1.5237
CLC	0.244833333333333
ISL1	-0.3255
KIAA0528	0.132
MANEA	0.49725
C1orf61	-1.1215
hCG_2001000	-0.003
RAPGEF6	0.4159
KIAA0020	-0.3735
NEIL1	2.079
C16orf45	-1.099125
RBM10	-0.3585
C10orf125	-1.7765
MRS2L	-0.39525
DNAH17	-0.515
C19orf10	-0.433
C1orf160	0.6855
SLFN12	1.17225
EXOC3	-0.265
HIST3H3	-0.0335
NCOR2	0.213166666666667
TNFRSF9	0.585
MFSD8	0.8065
ALX1	-2.96766666666667
NOL1	-1.10075
PODN	2.668
TIAL1	-0.47625
HIST1H1E	0.4505
NPY6R	0.18275
TM4SF4	-0.04625
CORO2A	-0.04925
ETNK2	-0.451
APOE	0.0776
ANGPT4	0.414
HDGF2	-0.266
G30	-0.3485
ST8SIA4	-0.489875
F2RL1	-0.39175
FAM19A4	-1.51775
CCAR1	-0.68925
B3GNT7	0.22225
OPHN1	-0.0745555555555556
DSCR6	-1.2165
C21orf13	0.878333333333333
GAS2L1	1.03333333333333
RFX3	-0.165333333333333
COPS4	-0.053375
BCHE	-3.54966666666667
BCL2	2.864125
HBZ	-2.8665
ARL13B	-0.280875
MAPBPIP	0.454875
MYO15B	1.00575
SPZ1	0.2615
KIAA1324	3.66011111111111
PLCL2	-0.46225
C4orf29	-0.69425
WDFY2	-0.75725
ZNF284	-0.4725
NAALADL1	0.208
DUSP5	2.17583333333333
PXDN	0.583375
SLMO1	0.40525
TNXB	0.6724
BIRC7	-0.65025
A4GALT	1.5075
TIMM22	0.5305
FAM110C	0.99925
TOMM34	-0.86175
ABHD9	0.204
ADAM32	0.933
CRHBP	-0.07775
AQP2	0.22225
LOC130355	0.91775
ZNF187	0.626
ZNF816A	0.6225
F7	0.161375
CNOT1	-0.1431
SLC13A4	-0.53975
ZBTB11	-0.1775
B3GALT5	0.52825
EXOC2	1.46416666666667
IRS1	-0.1483
TMEM1	-0.1395
MRPL34	-0.052
SAMM50	0.16025
CDC42EP3	-0.013625
HSF2	-0.5614
MFN2	-0.28625
TSPAN7	0.195
NUCB1	0.233583333333333
RHOH	1.15475
ARL16	-0.352
TACR1	0.42025
SFRS5	-0.145166666666667
SNX25	0.464875
RHBDF1	0.910333333333333
PCDH18	2.297
HMG1L1	-1.49075
MYO5C	1.48675
MAPK10	0.359
LDHAL6A	0.322666666666667
NUDT12	0.899333333333333
NCAM1	-0.050125
GLIS2	0.2625
GGTL4	0.548
DAPP1	0.3885
ATF7	0.959875
KIAA0748	-0.40875
NFIL3	-0.7795
TM6SF1	0.2556
SEZ6	0.05375
NANOS3	1.28316666666667
DNAJA3	-0.1325
CLDN6	-1.4235
CIITA	1.932
EPHA4	-0.632916666666667
FANCC	-0.63825
CMTM3	0.425625
PSG3	-0.319625
MRPL15	-0.46475
C21orf59	-0.0715
PLCXD2	-0.14275
C2orf34	0.147875
UBE2L6	1.069875
MED14	-0.1235
HP1BP3	-0.3989
C6orf208	0.462
TPBG	0.77
OSR2	1.859
XPC	-0.0373333333333333
KLHL7	-0.3615
CCR3	-0.0736666666666667
AGTPBP1	-0.785166666666667
PCSK6	0.4584
STAT5A	-0.9671
FAM18B	0.60675
LONRF2	-0.355833333333333
PTPN2	-0.537125
SF3A3	-0.422333333333333
EFCBP2	0.02075
HCFC1	-0.988666666666667
AHNAK	1.06515
ACTR5	-0.08175
KIF14	-2.78914285714286
TENC1	1.242
HEATR5B	1.07
YIPF2	0.685833333333333
MYEOV2	0.3545
DUSP18	0.94225
KIAA1012	0.71625
AHR	-0.299666666666667
C17orf53	-1.651
PTPRH	-3.3295
ATP6V1C1	0.9691
TAS2R3	0.5925
LOC440356	-0.54875
COQ10B	0.74825
PSMF1	0.388833333333333
SORBS2	2.58166666666667
NFE2L2	0.15025
TMCO7	0.05025
SH3PXD2A	-0.0104
SH2D2A	-0.8975
SPINK5	-1.119
MRPS24	-0.62225
OPA3	-0.00800000000000001
TRAF7	-0.358833333333333
C4orf35	-0.0358333333333333
MT1G	1.529375
MGC39545	1.393
HS1BP3	0.7724
OR2B2	0.173
CHRM4	0.3775
SFRP2	3.78608333333333
RIC3	-0.50575
ART1	0.1775
C6orf1	0.90675
DUS4L	-0.8505
C10orf104	0.346
TNFAIP6	2.086
RTEL1	-1.228
CCT4	-1.0034
ZNF709	0.2715
CHMP6	0.460166666666667
UPP2	0.24425
CYP19A1	-1.53325
CD151	0.1785
NDUFA13	-0.123666666666667
ARFRP1	-0.381833333333333
FAM26B	2.33275
CRYBA1	-0.2315
MRPL41	0.399333333333333
NPFFR2	0.195
HRH2	0.2435
SCAMP3	0.287333333333333
MTMR6	0.2656
MTG1	-0.663666666666667
UBTD1	0.89475
CRABP1	-2.034
FLJ33790	0.8405
KIAA1908	-0.802666666666667
GPR158	-2.1015
PACSIN3	0.0136666666666667
OMD	3.3925
CATSPER1	-0.627333333333333
HOXB8	-0.38675
FBXO46	0.7615
OAS1	1.746
SVIL	0.6295
PHB2	-0.29225
ADCY3	0.066
NDRG2	2.13066666666667
ERMAP	0.4695
APBA2	-1.40583333333333
IGSF9	1.25675
WNT6	-0.2225
MYCBPAP	1.2965
ATP2B2	-0.3572
CPVL	-0.8833
TRAM2	-0.833333333333333
NOP5/NOP58	-0.76525
ZNRF4	0.528
TLK1	0.20625
MTMR12	0.162785714285714
ZNF384	-0.382
FAM9B	-2.1785
RPN1	0.821
PMVK	1.18025
EIF3D	0.0762
SIX2	0.54775
HPS1	0.426714285714286
RNF7	0.0415
PSKH2	-0.0775
KCTD13	-0.405333333333333
CSMD3	-0.2116
FBF1	0.091
IL8	-4.656375
SERPINB13	-0.0806666666666667
FBXL20	-0.335
BLR1	0.29775
SH2B1	0.0878333333333333
RFNG	-0.102875
RAB20	0.595166666666667
RBM7	-1.285
POLR1A	-0.413666666666667
TMPRSS4	-2.429
TAF9	-0.867125
TERF2	0.00283333333333332
TNFRSF1A	0.345666666666667
ACADVL	0.191166666666667
GTF2H5	0.37375
EDG8	-1.2045
C9orf140	-1.655375
UST6	-0.1775
ZBTB8OS	-0.66
ZNF710	0.248
GPR174	-0.3085
ATP6V0A2	-0.26325
KIAA0319L	0.0641666666666667
XKRX	1.2195
DOPEY2	0.9483
SDHD	-0.334583333333333
SUMF1	2.29125
OSM	1.05425
OPN3	-0.84225
DAGLB	-0.507833333333333
PPFIBP1	-0.2664
TRIM63	-1.8865
C10orf53	0.261
LYPD3	1.65466666666667
BCL7A	0.10725
AGER	-0.846833333333333
TCF19	-1.238
SAT2	0.5585
PFTK1	0.5985
GABRE	-2.562
C15orf38	0.6107
FIS1	0.6035
KCNV2	0.26825
CLPS	0.22375
PPCDC	0.164875
FOXN2	-0.206
NT5E	-2.4762
CD83	0.10775
IL18	0.571625
VPS16	0.432
IGFBP2	-0.154
NOTCH2	0.5525
SIGLEC1	1.79075
CD93	4.4515
SULF2	-0.23775
CEP164	0.021625
P53AIP1	0.715
TOR2A	-0.011
ZNF136	0.394
MGP	3.4425
CCDC144A	0.358666666666667
TRPC1	-0.452
SMS	-0.676
MAPK7	-0.0743333333333333
RRAGC	0.176
PARD6A	1.2035
NUB1	0.842666666666667
SYNGR4	0.3445
OR11H12	0.196
WIF1	1.015375
GCH1	0.17325
OR11H4	0.111
SLC44A5	0.649
GPRIN2	0.4715
LOC401431	-0.308
CPA4	-1.9857
MELK	-1.81633333333333
IL15RA	0.80275
CUL3	0.299875
HMBOX1	-3.33475
PODXL	-1.74275
CCT6B	1.0585
COMTD1	0.72925
MUC20	1.04583333333333
GPX2	-3.1965
ITK	-0.168375
FBXL5	2.3765
C13orf27	-1.83075
DEFA5	0.1975
TRHDE	0.8635
MTP18	-0.5155
UQCRQ	-0.0965
ITGB2	1.262
CSRP2BP	-0.18425
TAS2R44	0.386
PHPT1	-0.523625
FAM44C	0.183
ERH	0.341
MPHOSPH1	-0.7995
MORC1	-0.2905
PARVB	-0.448
LAMA1	-1.88408333333333
PGBD3	-0.0265
GIMAP6	4.005
AREG	-3.9675
LIPT1	0.12475
MGC99813	-1.202
C1orf201	0.219833333333333
GRIN2A	-0.6809
MAN2C1	-0.5385
NSUN5	-0.165
SF3B5	0.40725
MYC	-0.0801875
NRXN1	-0.710727272727273
ZNF18	0.546
SPDYA	0.010625
SLC37A1	1.438
DECR2	0.14525
ANKRD38	0.7975
SPTLC3	-0.221416666666667
SUPT16H	-0.580125
DTWD2	0.00725
ULBP1	0.183
ZADH1	0.528166666666667
OIP5	-2.2075
IL10RB	-0.0125
OTUB2	0.45025
VWA3A	0.246666666666667
SPIC	0.450833333333333
OR6C4	0.1215
PSCD4	0.906666666666667
DPY19L2P2	-0.743
TRAPPC6A	0.889166666666667
C21orf2	-0.409666666666667
CEMP1	0.40025
LIN7B	0.48
E2F7	-2.73883333333333
VCP	0.536
LAMA3	1.4485
BGN	1.296
GPR160	1.872
COCH	-3.882
GPR81	2.75616666666667
