Hybridization REF	TCGA-B6-A0RM-01A-11R-A084-07
CRHBP	-0.15675
AQP2	0.413625
LOC130355	1.577
ZNF187	0.2445
ZNF816A	0.521
F7	-0.8935
CNOT1	-1.1171
SLC13A4	-1.13925
ZBTB11	-0.2915
B3GALT5	-0.17
EXOC2	1.27166666666667
IRS1	1.6197
TMEM1	0.195333333333333
MRPL34	-0.0845
SAMM50	-0.31125
CDC42EP3	-0.5545
HSF2	-0.6031
MFN2	0.00525
TSPAN7	-0.612
NUCB1	0.0980833333333334
RHOH	-0.21925
ARL16	-0.217
TACR1	0.10075
SFRS5	-0.0198333333333333
SNX25	-0.172
RHBDF1	1.472
PCDH18	0.417
HMG1L1	0.10875
MYO5C	2.04975
MAPK10	1.183
LDHAL6A	0.0935
NUDT12	1.14116666666667
NCAM1	0.459625
GLIS2	0.3655
GGTL4	-1.243
DAPP1	-1.1115
ATF7	0.582625
KIAA0748	-0.47975
NFIL3	-0.49375
TM6SF1	0.8914
SEZ6	0.194125
NANOS3	0.351833333333333
DNAJA3	0.7765
CLDN6	-3.5075
CIITA	1.9583
EPHA4	-2.03958333333333
FANCC	0.3965
CMTM3	-0.452
PSG3	-0.1975
MRPL15	0.38575
C21orf59	0.01375
PLCXD2	-0.2265
C2orf34	-0.10275
UBE2L6	1.314375
MED14	-0.100333333333333
HP1BP3	0.0462
C6orf208	-0.079
TPBG	1.6765
OSR2	-2.021125
XPC	0.5035
KLHL7	-1.2305
CCR3	-0.38
AGTPBP1	-1.1175
PCSK6	-0.745933333333333
STAT5A	-1.1924
FAM18B	0.47275
LONRF2	1.90616666666667
PTPN2	-0.839375
SF3A3	-0.539333333333333
EFCBP2	-0.66025
HCFC1	-0.454666666666667
AHNAK	1.46075
ACTR5	-0.36325
KIF14	-2.56014285714286
TENC1	1.145
HEATR5B	0.8205
YIPF2	0.0716666666666667
MYEOV2	0.660833333333333
DUSP18	0.4165
KIAA1012	0.595
AHR	0.834833333333333
C17orf53	-1.54016666666667
PTPRH	-4.46625
ATP6V1C1	1.3377
TAS2R3	0.341
LOC440356	-0.5105
COQ10B	0.428
PSMF1	0.51575
SORBS2	2.16483333333333
NFE2L2	0.038
TMCO7	-0.74975
SH3PXD2A	0.00889999999999999
SH2D2A	-1.81475
SPINK5	-3.60375
MRPS24	-1.144
OPA3	0.141375
TRAF7	0.524
C4orf35	0.0425
MT1G	0.433
MGC39545	0.20425
HS1BP3	0.3498
OR2B2	0.289
CHRM4	-0.174
SFRP2	1.46233333333333
RIC3	-0.47125
ART1	0.569
C6orf1	0.784
DUS4L	-0.9265
C10orf104	0.249
TNFAIP6	1.454
RTEL1	-1.20175
CCT4	-0.5828
ZNF709	0.286
CHMP6	0.0638333333333333
UPP2	1.14375
CYP19A1	-3.14725
CD151	-0.467666666666667
NDUFA13	-0.287833333333333
ARFRP1	-1.1
FAM26B	2.01075
CRYBA1	-1.541
MRPL41	-0.233166666666667
NPFFR2	-1.236375
HRH2	-0.082
SCAMP3	-0.6235
MTMR6	0.8242
MTG1	-1.07866666666667
UBTD1	0.308
CRABP1	2.4425
FLJ33790	0.7188
KIAA1908	0.572
GPR158	-3.0545
PACSIN3	0.5795
OMD	3.08616666666667
CATSPER1	-0.566666666666667
HOXB8	-0.4185
FBXO46	0.735
OAS1	1.04416666666667
SVIL	1.61025
PHB2	-0.84875
ADCY3	-0.2305
NDRG2	1.7325
ERMAP	0.294
APBA2	-2.727
IGSF9	1.56325
WNT6	-0.865714285714286
MYCBPAP	0.53725
ATP2B2	0.2907
CPVL	-1.5627
TRAM2	-1.393
NOP5/NOP58	-0.29575
ZNRF4	-0.21725
TLK1	0.60725
MTMR12	0.4445
ZNF384	0.016
FAM9B	-2.49575
RPN1	0.3544
PMVK	0.95175
EIF3D	0.1911
SIX2	-0.3465
HPS1	-0.0882142857142857
RNF7	0.666
PSKH2	0.8165
KCTD13	-0.128833333333333
CSMD3	-0.2635
FBF1	-0.0045
IL8	-5.989875
SERPINB13	0.215333333333333
FBXL20	0.103
BLR1	-0.2715
SH2B1	0.566166666666667
RFNG	-0.23175
RAB20	1.204
RBM7	-1.24225
POLR1A	-0.256166666666667
TMPRSS4	-3.42025
TAF9	-0.685375
TERF2	-0.4125
TNFRSF1A	0.231166666666667
ACADVL	-0.00633333333333333
GTF2H5	0.327
EDG8	-1.25366666666667
C9orf140	-1.07375
UST6	0.4505
ZBTB8OS	-0.78025
ZNF710	-0.775
GPR174	-1.14
ATP6V0A2	-0.18825
KIAA0319L	0.747583333333333
XKRX	-0.2245
DOPEY2	0.7554
SDHD	0.03225
SUMF1	2.254
OSM	0.63975
OPN3	-0.31625
DAGLB	-0.6535
PPFIBP1	-0.2092
TRIM63	2.6745
C10orf53	-0.0305
LYPD3	0.266833333333333
BCL7A	0.61275
AGER	-1.32016666666667
TCF19	-1.15125
SAT2	-0.219
PFTK1	1.70883333333333
GABRE	-3.677625
C15orf38	0.5357
FIS1	0.327
KCNV2	-0.27825
CLPS	0.25275
PPCDC	-0.30825
FOXN2	-0.0631666666666667
NT5E	-3.6375
CD83	-0.133
IL18	-0.029
VPS16	-0.049
IGFBP2	-0.2515
NOTCH2	-0.04125
SIGLEC1	1.771625
CD93	3.503
SULF2	0.708
CEP164	-0.179625
P53AIP1	0.157166666666667
TOR2A	-0.00833333333333334
ZNF136	0.50525
MGP	3.2231
CCDC144A	1.66733333333333
TRPC1	-1.49333333333333
SMS	-0.0468333333333333
MAPK7	-0.509833333333333
RRAGC	0.25125
PARD6A	0.129333333333333
NUB1	0.551
SYNGR4	0.21725
OR11H12	0.4695
WIF1	0.248875
GCH1	-0.9265
OR11H4	0.6485
SLC44A5	-0.536
GPRIN2	0.00516666666666667
LOC401431	0.2515
CPA4	-2.5567
MELK	-2.03888888888889
IL15RA	-0.69975
CUL3	1.261
HMBOX1	-1.46525
PODXL	-3.12125
CCT6B	-0.222333333333333
COMTD1	0.255
MUC20	0.204166666666667
GPX2	-3.43275
ITK	-1.68075
FBXL5	1.959
C13orf27	-1.3505
DEFA5	0.0305
TRHDE	-0.444
MTP18	-0.0291666666666667
UQCRQ	-0.3489
ITGB2	0.746416666666667
CSRP2BP	0.1285
TAS2R44	1.083
PHPT1	-0.011
FAM44C	0.86325
ERH	0.40025
MPHOSPH1	-1.501
MORC1	-0.4065
PARVB	-0.99375
LAMA1	-2.38158333333333
PGBD3	-0.43725
GIMAP6	3.09
AREG	-4.7465
LIPT1	-0.26
MGC99813	-1.56475
C1orf201	-0.172333333333333
GRIN2A	-0.8148
MAN2C1	-0.865125
NSUN5	-0.52725
SF3B5	0.013
MYC	-0.628
NRXN1	-0.300666666666667
ZNF18	0.3075
SPDYA	-0.24375
SLC37A1	0.3815
DECR2	0.93875
ANKRD38	-0.395125
SPTLC3	-0.538
SUPT16H	0.03925
DTWD2	0.14775
ULBP1	-1.4095
ZADH1	0.701333333333333
OIP5	-2.04925
IL10RB	-0.701666666666667
OTUB2	-0.130625
VWA3A	0.399833333333333
SPIC	0.353166666666667
OR6C4	0.08
PSCD4	0.2895
DPY19L2P2	-1.18
TRAPPC6A	1.092
C21orf2	0.011
CEMP1	0.8535
LIN7B	0.0845
E2F7	-2.054
VCP	-0.1336875
LAMA3	2.38258333333333
BGN	0.54425
GPR160	1.8055
COCH	-4.45383333333333
GPR81	2.8125
APOBEC3F	-2.77
tcag7.1017	-0.47775
C1orf32	0.415
SCGB1D2	6.67925
FLJ43987	-0.0215
C6orf170	0.1985
KLK9	0.1605
GPD1L	0.215
VPS37B	-0.5455
ATG3	-0.796666666666667
ADAMTS17	-0.221
KLHDC2	1.22433333333333
NDUFV2	0.165
BLK	-3.176
MATN4	-1.944
GPM6A	-0.771625
GBP4	4.27316666666667
TMEM162	0.0553333333333333
PKP2	0.473
HRASLS	-0.108
MMP1	-4.979
SFXN3	-0.2616
FSD1	-2.3955
ST6GALNAC3	-2.9175
CA12	4.0914
NCOA6	0.2765
C19orf58	-0.4445
PPP4R1	0.218833333333333
MAN1A2	0.754333333333333
IKBKAP	-0.9305
UPF1	0.0983333333333333
KIAA1219	0.59225
WNT16	-0.412666666666667
SNW1	-0.148
IL18RAP	1.36725
RPP30	-0.589375
CDC40	0.478357142857143
SETD3	0.352333333333333
SLAMF6	-0.1565
ELK4	-0.422
TRIM47	0.102666666666667
ACOX3	1.377375
TRIM6	0.497125
KIAA0372	-0.246833333333333
TP53AP1	0.673125
SMURF2	-0.21
ADAD1	0.26375
EBP	-1.5642
KRTAP13-2	-0.211
FLJ36874	-1.00633333333333
TOR1A	-0.171
P2RY4	0.549
GPBP1	0.172
TRPV1	1.018125
ADAMTS12	-0.5595
PES1	-0.3064
ATG4A	0.094
MAGEA10	-4.33225
WFS1	1.851
CC2D1B	-0.273
PABPN1	-0.192875
SLC25A30	0.202
SLCO1C1	-0.139666666666667
SLC22A5	1.773
KIF23	-1.914
SYN2	-1.072
ASPN	7.7155
CENTG2	1.64525
QSOX2	-2.0516
FLJ10815	0.0221666666666667
STK24	0.235125
SPEG	-0.242
STK10	-0.709666666666667
DACT2	-2.4675
AAAS	-1.012
SSX3	-1.217375
ABCD3	1.243
C4orf12	0.221375
PARVG	0.434333333333333
FIG4	1.48275
C9orf46	2.07075
TMCO6	-0.291
IGHMBP2	-0.61725
DUS2L	-1.23016666666667
FAM3C	-0.437
TMEM16D	-1.48775
DCTN4	1.187
KCNH3	-0.49325
EIF2AK2	0.8005
AP1S3	-0.12225
CST4	-0.12
PAM	-0.742375
NUTF2	-0.27125
CITED2	-0.087
SLC39A4	0.53825
C2orf52	-0.2345
GRM3	0.288
C12orf49	0.088
CCDC49	0.1966
GRAMD1B	-1.687375
FNDC4	-1.279
SIAH2	-0.040625
GDPD4	0.4415
C21orf87	0.806875
ATP5A1	0.0758333333333333
C16orf63	0.53575
LOC388135	-1.14766666666667
ATP5J2	-0.559
MMP3	-2.667
EMID2	-0.267
CRHR1	0.18575
WDR70	-0.49975
C13orf31	0.98775
ZFAND1	1.2685
CCL18	3.417
C3orf49	-0.0705
RINT1	-0.8855
KIAA0408	-0.994333333333333
F13A1	3.363
SLC10A1	0.2325
OGN	1.98025
GIPC2	-1.7285
XPO6	-0.00216666666666666
LCE1A	0.4975
FMR1	0.4693
LOC374920	0.1675
DUSP3	0.157375
ANKMY1	-0.085
C7orf50	-0.478
BBS9	-0.3862
UNC119B	0.19525
C9orf72	0.513125
MGC35440	-0.08325
ENTPD6	-0.2575
PPP1R2P9	0.31775
ERCC4	0.457
FAHD2B	0.038
HMHA1	0.0905
HACL1	-0.53525
RAD23A	-0.00933333333333333
FAM83B	-2.19225
PPP5C	-0.964666666666667
RNASEH2C	-0.549
C9orf153	-0.052
SCAMP4	0.87675
GHITM	0.616
NDUFB7	0.196375
ADCYAP1	-0.395333333333333
SP110	1.87716666666667
MAP3K7IP2	0.8355
DHH	0.147
AGRN	0.0527857142857143
WDR33	0.0736666666666667
CEP290	1.236
PRPS1L1	-2.61566666666667
KLRA1	-0.216
GPR97	-0.402
CHD7	-0.579666666666667
TLR10	0.51675
SLC30A8	2.9835
HIC1	0.839666666666667
IAPP	0.051
RXFP4	-0.121
GP1BB	0.1785
SHQ1	0.021
NKX2-3	0.183166666666667
API5	-0.1375
FTHP1	-0.6885
MOV10L1	-0.0726666666666667
TRIM6-TRIM34	1.8465
ADHFE1	1.861
FAM117A	-1.41825
DDI1	0.271666666666667
CDON	1.3975
TRIM73	0.7175
IGKC	0.8055
MMP14	-0.771166666666667
DYNC1LI1	-0.023875
C11orf66	0.61425
TRBV3-1	-1.49125
FASTKD5	-0.3115
BIVM	-0.18375
LHX4	-0.196
CXCL2	-2.7085
RAB2B	0.0181666666666667
IZUMO1	-0.63625
MAP3K15	-2.235
FAM19A2	0.126666666666667
ZC3H8	-0.113
ZMAT1	2.354375
SPINK5L3	-2.07025
SLC10A6	0.303
APPL2	0.83525
CARD10	-0.2165
LOC402176	-0.4745
EEF1D	1.5239
RAB6A	0.4155
C12orf5	-1.2865
PAPOLG	0.21775
MSRB2	0.59375
BCR	0.327833333333333
PUS3	-0.17825
TIAM2	0.284
ZNF317	0.187166666666667
CHD2	0.0505
FZD5	-2.32586363636364
NUDT8	-1.84575
ZNF763	0.1105
PRC1	-1.54788888888889
ABCB9	-0.752833333333333
SPATA3	0.25875
TRAK2	0.699625
STAB1	2.402625
LRRTM2	-0.1805
psiTPTE22	0.35225
DBI	0.077
SERPINA11	-0.5155
NAT5	0.8575
C20orf58	-2.601
RPS6KA4	-0.8135
FLJ90650	-0.67075
TGFBRAP1	0.60175
CHRDL2	0.779
FAHD2A	-0.306166666666667
CNTN1	0.2275
BBS4	0.0466
TMEM181	0.9565
MINPP1	-0.3405
MPHOSPH6	-1.48083333333333
HOXC10	-1.8216
ITPKB	0.00662500000000001
CLPTM1L	-0.0475
MEOX2	1.0735
ATP6V0C	1.0705
PRPF8	0.0338333333333333
TMC5	1.688
FKBP3	-0.358
PLEKHB2	0.254875
OR4D6	-0.0875
ZNF544	-0.111
D2HGDH	-0.661375
RPL18A	-0.7316
HEL308	-0.445875
MPP6	-2.90475
TCERG1	-1.06125
KRT16	-2.75316666666667
KLF17	-0.79175
KLF5	-0.10775
CDR1	1.3415
VCX3A	-4.6635
FBLN2	0.6285
C14orf104	0.42825
HBE1	-4.6995
OR4S2	-0.0865
C1orf108	-0.945833333333333
ROBO4	2.40166666666667
CPEB4	1.55925
C11orf80	-1.44866666666667
BCKDHA	0.793333333333333
MYOC	0.5265
GIF	0.1395
CKMT1A	0.788
RPL3	0.6655
THBS1	2.265875
APOO	-1.03
ARMCX1	1.12175
HSZFP36	1.307
SNAPC5	-0.215
EIF4ENIF1	1.23
ZNF433	0.41825
TNFRSF21	-0.911
TMPRSS7	-0.59
SPATA18	1.8012
HPDL	-2.4095
MKL2	2.6577
TBX3	3.14407692307692
C21orf93	-0.00850000000000003
DAXX	0.15975
ELMO1	-0.483375
RGS13	2.16833333333333
TAF11	-1.01925
UNC13A	-1.87475
LOC653314	-0.1427
ORC3L	0.238
IMAA	-1.926
TARBP2	-0.68975
CABIN1	0.1149
TRIOBP	0.1321875
HIST1H2AC	0.2605
RGS22	-0.501
NCOA1	0.959
IL25	2.0965
SNCG	2.1285
GPR6	0.292
AMDHD1	2.635
CHEK2	-0.693625
C6orf142	4.50575
DRD4	0.385
C14orf68	-1.30325
GDF11	-2.159
SEMG2	0.232
CD247	-1.80725
CDAN1	0.28125
RBMX2	-0.4275
TGS1	0.67975
OIT3	-0.26775
SYF2	0.1395
MCM4	-0.781875
PKHD1L1	0.10125
CEP192	-0.525833333333333
IFT88	1.104
RPL9	-0.0465
RAB32	-0.97875
DDX43	-2.64375
P2RX2	0.234666666666667
OR5D18	0.766
UBE1	-0.505333333333333
SLC24A1	0.710125
ARHGAP5	0.86
CETP	-1.862
KIAA1731	-0.340333333333333
SLC9A4	1.2425
PTPN6	0.74975
BAHD1	0.1525
GRIK3	1.266
CACNB2	-0.3317
PDE10A	-0.8365
DGCR14	-0.2825
PCDHB9	-1.5885
RHOQ	0.622833333333333
MAP3K4	0.12975
KTI12	-0.280833333333333
RPL23AP13	-1.37275
GNG11	-1.7405
CLCN3	1.40266666666667
GPAM	-0.8135
VSTM2A	0.5975
SLAMF7	1.192
INTS2	-1.30575
PPP2CA	0.3404
LRP12	-0.427666666666667
SEC14L2	2.96411111111111
DKFZP586H2123	2.09775
MC3R	-0.3585
CIRH1A	-1.81233333333333
HIST1H2AB	0.342166666666667
POLH	-0.378625
MGC16703	-1.73016666666667
SNAPC2	1.1345
FILIP1L	1.276
RASGRP4	0.166
LRRC1	2.1455
GAS1	-0.37075
PRAC	-0.64
DGKA	-1.04133333333333
NT5C3	-0.48225
PEG3	4.87466666666667
NADK	-0.26525
PRR17	-0.378
LOC374569	-0.784
SGSH	-0.121
NLRP8	1.36
GALT	-0.8997
MCF2	-0.305
ZNF263	1.1355
TACSTD1	0.583
TYR	-6.2728
ATP6AP2	-0.09275
RNUXA	-0.26025
ABHD10	-0.5176
GDPD2	-1.0045
SLC35C1	0.046
UBE2A	0.16625
HERC5	-1.324
FAM112B	-4.4185
FBXL16	3.28025
DKFZP434A0131	-0.567
ELA3A	-2.23
RBM41	-1.12675
HAO2	0.39175
RNH1	0.201875
SHANK2	2.0935
OSBP2	-1.976
DAK	0.119
C3orf58	-0.02525
TCL1B	-1.2965
KBTBD2	-0.223875
SUGT1L1	1.901
UBE2E2	-0.900333333333333
MYL9	1.0035
CDC23	-0.600833333333333
PBXIP1	0.434
CXorf40B	1.822
NBL1	2.28925
RTBDN	-0.021
RAB11FIP5	0.586875
TTTY13	-0.619
SCOTIN	-0.4465
SOHLH1	-1.1605
CDKN1A	0.188214285714286
NCK1	-0.39525
ZNF550	-0.5985
SAPS3	0.410833333333333
SPIN3	1.1665
MAGEE2	-0.10175
MIS12	-0.374
OR8H2	0.173
KIAA0774	-0.539333333333333
UNC5D	2.495
CUL7	-0.484666666666667
LIPC	-3.35533333333333
DIO1	3.70125
C20orf11	0.5323
CTRL	-0.908
HS3ST2	0.76875
PAK4	0.546
CCRL1	1.22725
RNF10	0.5645
ZNF567	0.01925
ZNF660	-0.853
TCEAL3	1.347
MAGOH	-0.695666666666667
CENPB	-0.324333333333333
C19orf7	0.949125
LOC388965	0.42775
ZCCHC13	0.024
JMJD1A	-0.5725
HIST1H4H	-0.2935
TBRG1	-0.0956
GPC3	-4.665
TAF1C	-1.2015
EBNA1BP2	-0.4965
CIAPIN1	-0.89925
PDGFRA	-0.834777777777778
CSTB	-0.933875
CENPI	-1.99916666666667
GTF2E2	-1.873
RPP21	-0.5395
CCNF	-0.312166666666667
KCNQ3	0.379
FAM79A	0.84575
SLC22A12	0.581
NOVA1	3.47066666666667
FZD3	0.2904
AKAP8	-0.77575
SOCS5	0.14575
CFDP1	-1.43625
DLG5	1.011
PGM5	0.6625
C1orf144	0.310416666666667
HDAC10	-1.506
RND2	-0.47275
C20orf199	-1.23675
RNMT	-0.6325
SLURP1	0.121625
ASTN1	0.31325
SH3BGR	3.083
MYCL1	-0.389875
ZHX1	0.770666666666667
CENPK	-2.61675
FOSB	-0.6621
LOC643406	0.418
C2orf59	-1.704875
TMEM135	0.92575
SLC27A2	1.42225
KRT33A	2.6085
OVOL1	1.887875
PAMCI	-3.03366666666667
S100A7	-2.683
ZNF789	-0.96
HARS2	0.15075
RPL23A	-0.0485
TCF23	-0.13825
UPF3B	-1.284625
C17orf78	-0.5545
HLA-DOB	-0.0943333333333333
C14orf142	0.839666666666667
TEKT5	1.81233333333333
DMWD	-0.162
POLD1	-1.64066666666667
GSCL	0.0645
CALD1	-1.1878
SCRT1	-0.017
AIG1	2.83675
UNC84B	0.73225
ZNF404	-0.37075
TMED6	-2.7275
KIAA1462	0.514
LRRC27	1.67833333333333
PYGO1	0.3385
PIGU	-0.875666666666667
ALAS2	-3.83333333333333
WRNIP1	0.605375
CNNM3	0.8605
ZNF2	0.382
ST3GAL5	-1.74608333333333
MRPL23	-0.427
TSSK6	-0.04225
PSMA6	-0.571
C16orf70	-0.6855
KIAA1602	-0.6885
ALMS1	0.337
DCN	1.40325
TMEM132D	-0.531
SUCLG2	1.10275
ABHD14A	0.59675
DEXI	1.02916666666667
AMPD2	-1.189
IFNAR2	-0.666666666666667
CYB5A	2.6905
TLOC1	0.34315
NXF5	-1.24116666666667
NRBF2	-0.14475
KCTD3	1.52375
ITGAE	-0.3525
SLC30A3	-2.1995
ZRF1	-1.409
IFRD2	-0.241125
XAB1	-0.3455
PYCR2	-0.320833333333333
SERPINB3	-4.4235
TMLHE	-0.1989
GEFT	-1.8625
ABCA5	-0.44125
EMR4	0.2225
TSFM	0.07475
HIST3H2BB	-0.54225
ARHGEF19	0.86975
TSPAN17	-0.117
ABCC8	4.4865
MAP1S	-0.437333333333333
C22orf36	-1.04175
BNC2	-0.614142857142857
HIST1H4A	-0.48125
NDUFS3	-0.2255
WDR3	-0.6135
XKR4	-0.50725
TTC33	-0.411
STMN2	2.63825
CPN2	-0.899333333333333
HSPC105	0.837625
PCOLCE2	-4.46725
C3orf55	0.211
KLHDC9	2.6985
TBC1D23	0.301375
ATXN2L	-0.627666666666667
MAP2K3	-0.0356666666666667
SCAP	0.3885
ZNF486	0.717666666666667
C20orf96	0.5415
NARS	0.17725
ADAMTSL1	-1.17678571428571
PRCC	0.170333333333333
CCDC126	1.41783333333333
ZNF675	0.2955
CALCOCO1	0.5735
ANKRD43	-1.13075
CWF19L2	0.4355
ZBTB32	0.547333333333333
BRAF	1.6585
ODF4	0.8775
MGC14376	-0.0365
HORMAD1	-2.05
AAK1	0.0881666666666667
PEBP1	1.3945
TNFSF5IP1	0.0123333333333333
DKFZp564N2472	0.3495
RMND1	3.88325
IGKV1-5	2.62425
COL1A2	1.28166666666667
SERPINA5	2.178
AANAT	0.2785
C19orf21	0.528833333333333
GEMIN5	-0.3515
UBR4	0.0173333333333333
LTBP3	0.659666666666667
AMHR2	-1.72183333333333
PROCR	-2.749
MYBBP1A	-0.51675
C20orf39	-0.0983333333333333
ZNF697	-1.256125
PASK	-0.7748
ZNF776	0.650833333333333
RFXDC2	-0.238
KIAA0467	0.145
C10orf96	-0.71825
ZNF503	-2.18425
GULP1	-1.82608333333333
KCNE4	4.2095
DKFZp434K191	-1.536375
LOC196913	-0.124
BHLHB4	0.317
CH25H	-1.32625
LOC81691	-0.06
ALPL	0.965357142857143
COL12A1	2.1095
FOLR3	-2.7425
GPR123	0.133
TRIM62	0.295214285714286
ABLIM1	-0.0915
MAST3	-0.8385
RHBDD1	1.28766666666667
LOC338809	-0.204
RYBP	0.75125
TTC26	-0.0483750000000001
ZNF22	1.3525
ISCA2	0.06325
RDM1	-1.61225
PIGM	0.2535
GNB3	-1.6425
ACTR2	0.2422
HMGB1	0.26585
EDG1	1.361
SOAT2	-0.97775
OR10AD1	0.699
RAP1GDS1	1.59908333333333
LCE1F	-0.11
ESM1	-2.1185
RCN3	0.946
CREBL1	-0.527
DBNL	-0.539
PTGER3	3.036625
USP30	-0.00516666666666666
BCL2L12	-0.494333333333333
KIF26B	0.92175
ZNF416	-0.00925
ZNF225	-0.4505
C17orf70	-0.17325
ZNF554	1.243
RAE1	-0.893666666666667
TNIK	0.658
ACTN3	3.581
MGC45922	0.38
CCNA1	0.317833333333333
RYK	1.00066666666667
IL26	-0.757
LRP3	0.2155
QARS	-0.013
SOX7	0.141357142857143
BID	-1.408375
OR2S2	0.586
CXCL14	3.82975
C11orf47	-0.4675
MGC29891	0.0643333333333333
HSPB8	3.6212
PRDM14	-1.053
NUFIP2	-0.29375
MNAT1	-0.074
ZDHHC2	-0.07575
MBNL2	0.1525
ADD3	0.616875
CSNK2A1P	-1.11825
KLK6	-2.77233333333333
TMEM111	0.5593
KIAA1279	0.9105
NUBP2	0.875833333333333
RAB42	-2.17925
ID3	-1.9041
TM9SF1	0.27225
MDP-1	-0.14225
POU4F2	0.2255
IQCK	2.2375
C16orf14	0.152
CAPN3	0.500625
FAM43B	-0.175625
RECQL	-1.208
AP1G1	-0.350785714285714
CTNNBL1	-0.381333333333333
ECHDC1	-0.692833333333333
SMARCC1	0.5377
FOXQ1	-2.57575
GNAI3	0.612
POLG2	-1.4425
CD4	0.740375
ITLN1	-0.80275
EBI2	1.6825
IRF1	-0.437
PTPRE	2.5586
PTK2B	-1.06475
NXNL2	-0.8625
SOX4	0.864388888888889
TSPAN3	0.614166666666667
SH2D1A	-2.82883333333333
C8orf58	-1.028
USP20	-0.988
DUSP22	-0.736833333333333
CALB1	-1.92483333333333
L3MBTL2	0.89975
MCRS1	-0.3515
TMEM118	-1.24283333333333
C18orf8	0.5005
FLJ10241	0.289875
GJA12	-0.0925
PKD1	0.00416666666666667
ZFP3	0.8505
JAM3	-1.59475
LAPTM4A	1.1603
DIRC2	0.07575
KIAA2022	0.1935
MYOM1	3.1995
TRPM8	-1.95466666666667
MOP-1	0.49925
PHKG2	0.821375
ZNF650	1.01225
KIAA1522	1.7145
PSG8	-1.75
DDX19B	-0.891
MOBKL1B	-0.05275
DIAPH2	1.21575
PTPN12	0.594
CLN8	-0.4094
CRYZL1	-0.0743333333333333
CRY2	0.85325
FCGR2B	3.4415
PNPLA4	1.98775
ZNF454	-0.066
DKFZp434B1231	1.93675
CLDN11	0.0442
RFWD2	-0.110833333333333
CIB2	-1.06216666666667
MXRA8	1.3815
HRK	-1.367375
MAML2	-1.28625
C4orf31	-1.57525
C6orf192	-1.97575
COG6	0.182875
FAM5B	3.29125
NFATC1	1.3469
SEPT10	0.2
SCYL1	-0.2692
RPP40	-1.443
SCOC	0.7998
KIAA1450	1.971
CTDSPL2	-0.27725
TBX5	0.6545
NAPG	-0.391375
RHD	-4.5295
C14orf45	1.85366666666667
ZBTB22	1.3365
PLCG1	-0.8475
ANKRD10	-0.209625
AQP7P2	-0.29175
TAGLN2	-0.6295
HTR2C	-1.20983333333333
SLC16A7	-0.742833333333333
C17orf83	0.124
TSGA14	-0.523583333333333
MDH1	-0.7105
PPP3R2	0.024
DCBLD2	-3.09778571428571
RBM33	-0.575375
DPH3	-2.366
SYT10	-0.977333333333333
FMO4	0.366125
THYN1	-0.85025
DRD5	-1.8175
OTOR	0.427
PGRMC2	1.3187
KATNAL1	-0.781
PAQR6	-2.14775
UBE2I	0.1545
C14orf28	0.3065
C8orf70	1.65125
FLYWCH1	-0.3985
ANGPTL3	-0.823
GLRX2	-0.545833333333333
ATP11A	-0.9085
ARL5B	-0.34525
MUC16	-2.72
SLC25A5	-1.21121428571429
ACRC	0.0685
MYO1C	-0.326
FAM89B	0.803
FAS	-1.186375
KIFAP3	0.12475
GLRA2	0.3635
BTN3A2	-0.1411
CNKSR3	-1.939
CSTF3	-0.314666666666667
ARPM1	-0.0985
KIAA1530	-0.445
C9orf150	2.45783333333333
PRKCI	0.78875
tcag7.1015	-1.41375
SOD3	-1.8025
ZNF574	0.19925
CYP21A2	2.323
RPL12	0.4705
COMMD2	-0.76825
WIZ	0.18825
LOC344405	-1.15425
ALDH4A1	-0.416588235294118
CRYAB	4.2495
COPA	-0.154866666666667
PCDHGA7	0.4475
KIF11	-1.2785
RASD2	-0.716875
SLC26A3	1.7765
ZNF175	-0.166
JAKMIP2	-1.7315
C8orf4	1.56733333333333
PTHLH	0.5595
SLC40A1	3.31
OR7D4	0.407833333333333
PCDHB17	0.147
CD36	2.69085714285714
C6orf203	0.4404
PRKG2	-0.224
LOC400566	2.3555
ANAPC13	0.82575
SLCO3A1	-0.49925
ZNF692	-1.4365
FANCL	-1.1805
SH3GLB1	0.35575
C12orf61	-0.1445
KBTBD6	0.493
SUPT5H	-0.258875
XRCC6	-0.2286
HUS1B	-0.9598
FAM133B	-0.0307857142857143
LOC728276	0.176
KCTD18	1.15125
SOS2	0.927
CCDC99	-1.67425
C1QTNF5	1.957
NNAT	0.675
USP16	0.194
LARS	-0.59325
ZBTB2	1.556375
ABO	0.130666666666667
TRAF3	0.13975
GALNT5	-3.395
NAP5	1.837
ALG14	0.443333333333333
KIAA0515	0.210307692307692
WDR75	-0.813833333333333
TEX261	-0.0348333333333333
LY86	0.26075
LOC389072	-1.8225
FLJ13611	-0.094
MRGPRX2	0.4115
SNRPA	-1.083
OR2G2	0.299
GPRASP2	0.07775
C7orf42	0.6242
C9orf163	-0.5275
CYP11B2	0.385
FCRL3	0.489666666666667
PRDX1	0.65475
FGB	-6.47216666666667
COX17	0.3675
C16orf33	0.84525
PIWIL1	0.2065
FOLR1	-3.4895
KIAA0082	-0.39525
FREQ	-1.977
TMCC2	-1.24866666666667
TCF12	0.239
ZNF721	0.57925
FAM130A2	0.0475
POU4F1	-2.155
SNRPF	-1.074875
SGIP1	0.850333333333333
ZNF641	0.1785
EMG1	-0.71025
