Hybridization REF	TCGA-AN-A0AS-01A-11R-A00Z-07
C12orf43	-0.28375
CBL	0.3651
CLECL1	-0.0675
PPAPDC1A	4.0425
WDR25	2.13216666666667
SGCA	1.692
C22orf29	0.464
YIPF1	1.27675
GALK2	0.128
RAB3B	-2.57025
LOC440087	-0.7115
UCP1	-1.2105
REEP5	0.633125
FADD	0.8416
FOXA1	3.200125
CACNA1A	0.578333333333333
ABI1	0.604666666666667
GRIN2D	1.12775
SLC1A4	0.256333333333333
LOC401127	-0.99
HINT2	0.481
PLD4	-0.376666666666667
ZNF286A	-1.00975
ENY2	-0.1545
IL1F6	0.3975
PXDNL	1.27475
C20orf79	0.3225
TNFSF13B	3.182
DENND3	-0.098
JARID1D	-3.0175
HIST1H2AK	0.507875
LOC93349	-0.2761
SSH1	-0.3794
ENSA	-0.178
LOC219854	-0.151
CKAP2	-1.4975
DKFZP564J102	-0.0148333333333333
MGC87315	-0.777833333333333
HNRPAB	-0.26925
AMH	-0.688
ZNF526	1.342
BRUNOL5	-0.0849
CACNG3	0.173666666666667
TRPM1	-1.866
PPP2R1A	0.3925
COL2A1	-1.4315
DDN	-0.0178333333333333
FLJ25770	0.25525
HK2	-1.23421428571429
ELOVL6	-2.880875
MDK	-1.28125
EPHX1	2.2855
RASSF2	0.860375
DKFZP434B0335	-0.49
DLX3	0.232375
PRTN3	-0.267
AVPR1A	-0.0115
C21orf125	-2.05375
TNFAIP8	-0.974
GNB2L1	0.34025
CALCRL	1.639
SCGB2A2	9.257
UBXD7	-0.212
ZNF674	-0.4505
TMEM35	0.426125
BRSK2	-0.64425
HECTD3	0.227
TMEM188	-0.0739166666666667
LGALS9	1.995375
SCARB2	0.782083333333333
USP34	-0.680916666666667
C17orf28	1.84958333333333
ZDHHC23	-2.03025
AQP12B	0.296
SLC16A3	-0.40625
APLP2	0.615875
ITIH2	-5.1825
MICAL3	-0.019875
TNNI3K	0.1363
HDAC2	-0.051
PRR7	-0.1227
THBS2	2.137
LOC751071	0.301
CA2	0.0145
RANBP17	-2.32225
RLN3	1.22225
CRYZ	-0.8715
GBAS	-0.0125
TAS1R1	0.34075
MPZL3	0.849
PCDH8	-2.0175
HSP90B1	0.00725000000000002
KCNK15	1.1725
TNIP2	0.0746666666666667
GPR146	0.58825
NOL6	0.535625
SPC25	-3.14633333333333
STEAP2	1.21078571428571
VAMP3	-0.3265
TCIRG1	1.08475
ZP4	0.315833333333333
PARL	-0.010625
TRIM39	0.303833333333333
KIAA1305	1.81
CRNN	0.282666666666667
GRN	0.71625
HSH2D	-2.4245
SCAMP1	-0.068875
KIAA1913	1.6245
PTS	0.064
BANP	0.500071428571429
PRKACG	0.29125
ADCY6	0.138166666666667
C16orf46	0.1345
CYP51A1	-0.421125
DDC	-1.531
ANPEP	1.3095
PROM1	2.84833333333333
SIGLEC10	2.2475
COPG	1.9725
FAM26E	2.2585
TRIP4	0.42925
SNX3	-0.0341666666666667
C1orf175	0.9465
PPY2	0.373
C14orf152	0.4075
FTSJ1	0.309166666666667
DST	-0.977
LOC554235	0.43825
GLRX5	0.43525
C20orf12	0.6125
CAB39	0.150333333333333
MSH2	-2.1605
PIP4K2C	1.39625
CYLD	0.549625
WTAP	0.8666875
MGAT4A	2.46611111111111
TSC22D4	-0.3221
CHRM2	-1.653
PPYR1	0.629666666666667
CCNH	-0.4295
RRM1	-1.3625
ECAT8	-2.62075
LOC400120	-0.398
GABRA4	-0.167875
C14orf4	2.26183333333333
C1orf59	-1.101
CTDSPL	0.660833333333333
NHEDC2	-0.2645
PDE11A	-1.4199375
KLHL29	-1.6975
CD5	-1.3788
TSPAN9	1.8500625
WDR67	-1.914
THUMPD1	-0.3763
C18orf17	-0.3455
CLYBL	-0.0363333333333333
FLJ13231	-1.05125
CMBL	-0.9985
LECT2	-0.356
NKAPL	1.9055
LOC654780	0.777
OR4C6	0.754
RAB30	-0.4815
TSSK4	0.834
TMEM163	0.7395
OSBPL11	0.441916666666667
GNB5	-0.715666666666667
CCL21	1.051
C1orf121	0.1805
FMO2	2.516
RPTN	-0.4565
MSTN	0.255
VCL	0.665357142857143
FYTTD1	0.028
C11orf1	-0.40275
CCDC88C	1.6900625
HFE	-0.351666666666667
MOGAT1	-1.416
FAM125B	0.551
IRGQ	0.1595
RAVER2	-1.31275
AKAP5	-1.023
SSSCA1	-0.08825
C11orf63	0.346875
ACTG2	0.0164
PORCN	-0.824
DTL	-2.84863636363636
TMEM151	0.91575
FAM122C	-2.1565
RSAD2	3.8554
BAT4	-0.6905
KRTDAP	-1.79666666666667
MYH8	0.81125
CRTC3	1.27875
LRRFIP2	0.6566
INTS4	-0.0398333333333333
TTN	-1.47316666666667
SLC26A5	0.725
PLLP	-1.27275
RGS6	0.5465
SRGAP3	0.239875
ZNF525	0.0896666666666666
NBR2	-1.34033333333333
C13orf1	0.2329
ZNF137	-0.4065
CEP27	-1.72075
BEST2	0.5335
RNF121	0.0175
DMRTC2	0.32225
C8orf76	-0.106
BCCIP	0.56575
MEST	-1.21225
HTRA2	0.393
ANGPTL2	2.869
ILKAP	-0.2205
ERAS	0.4915
HBS1L	-1.32125
CPA5	-0.1235
TMEM30A	0.850833333333333
CD300LF	2.04866666666667
WISP3	1.3065
CRK	0.180214285714286
PDS5A	-0.4685
BRPF3	0.211166666666667
NEDD9	-1.58575
SMPDL3B	-0.7315
PSG6	0.72675
PSMD13	0.04225
ETV5	-1.3605625
OR51A4	-0.046
BTBD7	1.60175
GSTO1	-0.946625
hCG_16001	0.46
MAD2L1BP	-0.426833333333333
COX6A2	1.065
SCNN1A	3.29583333333333
LSM1	-0.707
UGT2B11	-3.99225
IDUA	0.506
PPP2R3C	-0.791
COX11	-1.412
PDZK1	-4.29825
ZNF443	-0.601333333333333
MGC21874	0.590666666666667
ZNF323	3.0068
KRTAP10-10	0.424
CXCL6	-0.535
SLC34A2	4.9221
LOC284402	0.379
NPTN	1.15933333333333
UPP1	-0.424333333333333
SLC6A9	0.3355
OR7G3	0.4885
CISD1	-0.651166666666667
ZNF545	-0.311166666666667
SYT14	0.06
NT5C3L	-0.469166666666667
ZNHIT3	-0.783833333333333
SNRPD3	-0.161
KIAA0701	-0.39975
UNC93B1	1.53516666666667
GMNN	-2.3205
SPCS2	1.39083333333333
LOC388524	0.0915
NAPRT1	1.528125
PNLIPRP1	0.00475
OR6V1	1.149
PRKAB1	-0.6105
EYA4	-3.41566666666667
KIF20A	-1.8615
ALG10	-0.94225
ITPKC	1.4025
LMX1B	1.875
RPUSD4	-0.502833333333333
C7orf34	0.357833333333333
DLGAP2	0.2535
PFN1	-0.4235
MICALL2	-0.0615
ZNF654	-0.145
SS18L1	-1.002625
SLC16A8	0.73125
MKI67IP	-0.088
ITGB3	0.9885
TCEA3	2.59908333333333
CEP152	-2.7599375
CLIP1	0.16875
ZNF75	0.336
ATP5C1	-0.794333333333333
NUDT5	-1.263
PSCDBP	1.02625
UBP1	-0.1255
RBM27	-0.48625
C13orf15	2.4185
ZNF282	-0.00750000000000002
ZNF222	-0.054
COL10A1	7.26325
PRDM15	-0.438625
TTTY5	0.1675
FAM9C	-0.439333333333333
C20orf67	0.35725
GNG13	-0.7655
F12	0.04275
C1orf41	-1.76075
CPXCR1	0.019
GSK3A	0.308625
SUPT6H	-0.0408333333333333
PI16	-1.6735
ELL2	0.575416666666667
C9orf167	-0.774333333333333
PVRL3	-1.8548
FLJ38596	0.19175
ADAM20	0.36875
GPR89A	0.5745
GPR87	-3.6395
ZNF30	-0.9605
SMR3B	-0.72175
ZNF770	-0.354875
TRPC4AP	0.4305
DKFZP686E2158	0.149666666666667
C2orf28	-0.8405
FREM1	-3.013
LAMA4	1.24533333333333
ADPRHL2	0.85275
EIF4G2	0.218166666666667
GUCA1A	-0.107
CTNNA2	-1.791125
NUDT15	-0.667833333333333
CEPT1	0.172166666666667
ZNFX1	1.1959
CCDC92	1.08375
TDRD1	0.324
KCNK5	-0.925
ETNK1	-0.603
LTA	0.6305
TTPA	1.53366666666667
B3GALNT2	-0.531875
SC65	0.750166666666667
PEX5L	-1.287375
EPS15L1	-0.41775
MGEA5	0.38975
HIST1H3A	0.06025
ING1	0.72075
BCAT1	-0.8605
ORC6L	-3.20490909090909
KLK11	-4.96933333333333
C19orf28	-0.719
DNER	-4.35225
MED22	0.104785714285714
ETV6	1.68391666666667
CHAC2	-2.80975
CD300E	0.3205
CEBPB	2.52841666666667
ZNF398	-0.34425
LRCH3	-0.1305
HMGA1	-1.83466666666667
CAPN7	0.0668333333333333
MGC5566	-2.68175
CCL3	3.1665
NANOS1	1.271
ZFYVE19	1.06175
APITD1	-1.27966666666667
PARD3	-0.035
IRAK4	-0.977166666666667
SERPINI2	-0.3185
CEP170L	-0.98525
TTC9	2.585625
MYOM3	-1.78925
MLPH	1.345875
LOC222699	0.223
NRG1	-0.621
TBC1D9	2.305
TTK	-2.30866666666667
ZNF557	0.5134
DDX41	0.241166666666667
FANK1	1.457
UBE2D2	-0.18
PSMB10	0.718
MYH7B	0.089
GABARAPL2	-0.137375
MARVELD2	1.27316666666667
DGCR2	1.2175
UNC45A	0.354666666666667
C6orf72	0.6215
ZNF683	4.2455
GIT2	0.00775000000000001
CASK	0.454166666666667
C14orf161	4.52933333333333
LRRC44	-2.136
TIFA	1.32425
UTP11L	-0.2385
C6orf65	-0.65175
FDPS	-0.7485
DUSP9	-1.61
SLC17A8	0.275333333333333
OR51G1	0.0261666666666667
NANS	0.68925
OLFML1	2.31675
ATP10B	-1.044125
NPAS3	-0.18075
PRKCA	-2.0789
GGA2	-0.256375
LCE4A	0.6065
SPANXN3	0.773
CCDC115	1.1055
SDCCAG3	-0.211
GLIPR1L1	0.13775
TTC1	-0.331
C17orf76	-0.22225
MAD2L2	-1.2235
HIPK1	-0.1938
LRRC3B	-0.292666666666667
CLN3	-0.282409090909091
C17orf47	0.689
FMN2	-2.8965
TUBB1	-1.32225
WAPAL	0.276833333333333
C3orf21	-0.130625
SCN5A	-0.3029
SMYD1	0.08
BEX5	3.27775
ZNF192	-0.4415
SEC22A	0.0796666666666667
GRIA2	1.57185714285714
KIAA0825	-1.83425
NUSAP1	-2.53372727272727
LANCL1	-1.385125
C15orf40	-1.163
ZNF645	0.370375
GPR61	-0.0405
NLRP14	-0.032
SNX21	0.1581
C1QTNF8	0.586
C17orf46	0.121
IFNA8	0.3795
SPRR1B	-2.22533333333333
FLRT1	-0.71425
SNX17	-0.0728333333333333
ASB2	-1.6305
HBG1	-5.3575
RPRML	-2.38575
JOSD2	0.6655
PLSCR3	-0.05975
SPOCD1	1.95933333333333
RAB39	-0.388
GHRH	0.0415
ITIH5L	0.18025
C17orf37	-0.03775
SMCR8	0.35925
DPY19L2P3	-1.14166666666667
IL11RA	0.289666666666667
GDF3	-3.54266666666667
RPS6KB1	-1.82891666666667
DNAJC19	-0.6235
TOP1	-0.5315
CRCT1	-0.639875
MPST	1.26025
DPM2	0.233375
FAM38B	-2.188
SLC18A1	-2.20066666666667
FARP1	0.766833333333333
PAX7	1.01925
TUBD1	-2.046
GNL3	1.213125
BTG2	0.41
NDUFS6	-0.9675
C1orf79	-1.001
ERAL1	-0.6215
ECHS1	0.972
VPS4A	-0.0735
CYP11A1	-0.31225
ABCC6	-1.91042857142857
PBX4	-2.211
MOSC1	-0.791
NCF4	0.9095
HYMAI	0.404
NAGPA	-0.5395
OTOP2	0.73975
ACOT12	-0.014
MTHFD2L	-0.684375
LOC441376	4.0415
C19orf34	0.3115
RAB1B	-0.02975
ALDOAP2	0.847
NTRK1	-1.3455
ARTS-1	-0.6521
SLC6A11	-0.3895
NAP1L2	-3.5455
CNGB1	0.235
EPB41L4B	-0.242333333333333
FAM134B	1.560375
HS3ST3A1	-0.415833333333333
CPXM2	4.125
SIRPB2	-0.443
CHORDC1	-1.63516666666667
TRIB3	0.973333333333333
SLC2A5	1.879
C2orf49	-0.968333333333333
DDX5	-1.1135
OR5L1	1.319
ANAPC4	-0.495166666666667
ZSWIM1	0.16625
LOC93622	-0.670375
KCNK3	-0.262
RP11-35N6.1	-2.177375
ZFP161	0.0885
AQP9	6.16375
SLC15A2	-1.1305
MREG	-0.0453333333333333
OR9I1	0.2685
PDLIM2	0.80125
ADAM7	0.273
GSTCD	-0.978333333333333
WDR21A	0.188875
SLC12A8	1.93533333333333
TMEM174	0.50175
IGSF3	-0.728083333333334
LRRN1	-2.57175
LOC402117	-0.312
SRPK1	-1.09666666666667
LY6K	-1.9174375
NFIA	3.094
PTCD3	-0.88125
LEP	0.863
PCDH21	-0.704333333333333
MAPKAPK2	1.33335714285714
NMNAT1	-0.381333333333333
LHFPL2	1.265875
C9orf43	-0.69825
DIP2A	-0.176666666666667
ACTR8	0.11475
CCDC34	-1.99375
PTPN22	-0.584625
ITGA3	-1.52925
FAM129C	-0.3255
RABGGTA	0.57
UNC45B	0.402
KIAA1033	-0.69725
ZNF510	-0.494
CYP2D6	-0.0151666666666666
SLC26A10	-1.3985
STX8	-0.01375
LUZP1	0.43
WDR89	-0.175
EIF4G3	-0.2946
C5AR1	1.769875
ZNF623	1.507
A2M	0.56375
TGM7	0.1335
GRPEL1	-0.986666666666666
LMNB2	-1.2903
ROCK2	-0.328166666666667
SNX16	-0.474125
CCDC66	-0.9345
ANXA3	-2.14725
KIAA1609	1.523625
EED	-1.757
RNF32	-1.0365
HES1	1.5279
CLC	0.00700000000000001
ISL1	-0.474
KIAA0528	-0.699125
MANEA	-0.846375
C1orf61	-1.987
hCG_2001000	0.22475
RAPGEF6	-0.9286
KIAA0020	0.134666666666667
NEIL1	0.2925
C16orf45	-0.732375
RBM10	0.234333333333333
C10orf125	0.175625
MRS2L	-0.64525
DNAH17	-1.390625
C19orf10	-0.21875
C1orf160	1.08975
SLFN12	-0.08725
EXOC3	0.229666666666667
HIST3H3	-0.52825
NCOR2	0.158833333333333
TNFRSF9	0.62575
MFSD8	0.0115
ALX1	-3.38733333333333
NOL1	-0.8235
PODN	3.875
TIAL1	-1.46
HIST1H1E	0.691
NPY6R	0.483
TM4SF4	-0.46275
CORO2A	1.5505
ETNK2	-1.4715
APOE	1.9681
ANGPT4	0.646
HDGF2	0.11575
G30	0.1065
ST8SIA4	-0.306
F2RL1	1.131375
FAM19A4	-3.2485
CCAR1	-0.196
B3GNT7	0.2675
OPHN1	-0.8466
DSCR6	0.701
C21orf13	-0.471833333333333
GAS2L1	1.52433333333333
RFX3	0.329666666666667
COPS4	-0.30025
BCHE	-4.248
BCL2	0.46
HBZ	-2.8265
ARL13B	-0.621375
MAPBPIP	0.434875
MYO15B	-0.562125
SPZ1	0.564333333333333
KIAA1324	2.17388888888889
PLCL2	-0.19675
C4orf29	-1.16075
WDFY2	-0.48275
ZNF284	-0.739
NAALADL1	1.076
DUSP5	0.318166666666667
PXDN	1.34075
SLMO1	-0.33925
TNXB	0.6719
BIRC7	0.071
A4GALT	2.46266666666667
TIMM22	-0.18175
FAM110C	0.35825
TOMM34	-0.370875
ABHD9	0.742
ADAM32	0.233
CRHBP	-0.7595
AQP2	0.80175
LOC130355	0.1875
ZNF187	-0.144666666666667
ZNF816A	0.334
F7	-0.4965
CNOT1	-0.3841
SLC13A4	-0.8725
ZBTB11	-0.413
B3GALT5	1.08325
EXOC2	0.0775
IRS1	1.2475
TMEM1	-0.154333333333333
MRPL34	-0.9535
SAMM50	-0.374
CDC42EP3	-0.082375
HSF2	-1.5211
MFN2	-0.527
TSPAN7	-1.971
NUCB1	1.25691666666667
RHOH	-3.0775
ARL16	-0.8585
TACR1	0.01125
SFRS5	-1.05583333333333
SNX25	-0.47125
RHBDF1	0.741166666666667
PCDH18	1.07716666666667
HMG1L1	-0.00800000000000001
MYO5C	0.46
MAPK10	-0.516
LDHAL6A	-0.0221666666666667
NUDT12	-0.00383333333333334
NCAM1	-0.1575
GLIS2	0.8455
GGTL4	0.30275
DAPP1	-0.2035
ATF7	0.503625
KIAA0748	-1.55375
NFIL3	-0.0365
TM6SF1	-0.1489
SEZ6	0.36275
NANOS3	0.722666666666667
DNAJA3	-0.600333333333333
CLDN6	-1.986
CIITA	2.8565
EPHA4	-0.0249166666666667
FANCC	-0.45625
CMTM3	1.422125
PSG3	0.183625
MRPL15	0.6375
C21orf59	-0.148
PLCXD2	-0.35525
C2orf34	-0.91925
UBE2L6	1.567125
MED14	0.0261666666666667
HP1BP3	-1.1332
C6orf208	0.0325
TPBG	0.452
OSR2	0.192
XPC	-0.0266666666666667
KLHL7	-0.437
CCR3	-0.513
AGTPBP1	-1.18683333333333
PCSK6	0.3068
STAT5A	-1.39
FAM18B	0.45
LONRF2	-0.495666666666667
PTPN2	-0.553125
SF3A3	-0.9255
EFCBP2	0.09175
HCFC1	-0.734666666666667
AHNAK	0.6869
ACTR5	-0.23325
KIF14	-2.61971428571429
TENC1	1.21075
HEATR5B	-0.024
YIPF2	1.26183333333333
MYEOV2	0.2375
DUSP18	0.87575
KIAA1012	-0.1035
AHR	0.897
C17orf53	-1.48966666666667
PTPRH	-2.49475
ATP6V1C1	0.7122
TAS2R3	0.111
LOC440356	-0.90525
COQ10B	0.1105
PSMF1	0.778166666666667
SORBS2	0.921583333333333
NFE2L2	-0.84925
TMCO7	-0.712
SH3PXD2A	0.6835
SH2D2A	-1.3515
SPINK5	-4.1795
MRPS24	-0.7035
OPA3	0.69375
TRAF7	0.612833333333333
C4orf35	0.525666666666667
MT1G	-0.453125
MGC39545	0.06
HS1BP3	0.7702
OR2B2	0.6345
CHRM4	0.6485
SFRP2	4.21566666666667
RIC3	-1.845
ART1	0.4785
C6orf1	0.381
DUS4L	-2.047
C10orf104	0.53675
TNFAIP6	2.72225
RTEL1	-0.60375
CCT4	-1.0129
ZNF709	-0.86625
CHMP6	-0.0208333333333333
UPP2	0.14375
CYP19A1	-3.0695
CD151	0.406833333333333
NDUFA13	-0.426833333333333
ARFRP1	-0.163
FAM26B	2.33475
CRYBA1	-1.4085
MRPL41	-0.587
NPFFR2	-1.62825
HRH2	0.543
SCAMP3	0.528333333333333
MTMR6	0.4597
MTG1	-0.635833333333333
UBTD1	2.08825
CRABP1	2.535
FLJ33790	-0.8116
KIAA1908	0.62
GPR158	-1.947
PACSIN3	0.875166666666667
OMD	4.61483333333333
CATSPER1	0.520166666666667
HOXB8	0.567
FBXO46	1.157
OAS1	1.6115
SVIL	-0.2875
PHB2	-1.00125
ADCY3	-0.4635
NDRG2	-0.741166666666667
ERMAP	-0.0584
APBA2	-0.285333333333333
IGSF9	1.436
WNT6	0.141571428571429
MYCBPAP	-0.35725
ATP2B2	0.0733
CPVL	-1.0449
TRAM2	-0.683833333333333
NOP5/NOP58	-0.46975
ZNRF4	-0.0635
TLK1	-0.329
MTMR12	0.0234285714285714
ZNF384	-0.0791666666666667
FAM9B	-2.992
RPN1	0.9669
PMVK	0.94525
EIF3D	0.4845
SIX2	0.3515
HPS1	0.786857142857143
RNF7	0.2045
PSKH2	0.1585
KCTD13	-0.683
CSMD3	-0.375
FBF1	-0.8055
IL8	-2.13075
SERPINB13	0.1855
FBXL20	-0.32975
BLR1	0.7415
SH2B1	-0.4775
RFNG	0.404
RAB20	2.30233333333333
RBM7	-0.06625
POLR1A	-0.207
TMPRSS4	-2.7555
TAF9	-1.03825
TERF2	0.0623333333333333
TNFRSF1A	1.68125
ACADVL	-0.507333333333333
GTF2H5	-0.907
EDG8	-0.405666666666667
C9orf140	-1.441125
UST6	0.46225
ZBTB8OS	-0.81375
ZNF710	0.893
GPR174	-2.3525
ATP6V0A2	-0.929
KIAA0319L	-0.321333333333333
XKRX	-0.6155
DOPEY2	1.4292
SDHD	-0.688916666666667
SUMF1	1.42775
OSM	2.7205
OPN3	-0.92
DAGLB	0.234166666666667
PPFIBP1	0.8725
TRIM63	-3.21775
C10orf53	0.417
LYPD3	-0.955333333333333
BCL7A	-0.367125
AGER	-1.35766666666667
TCF19	-1.811
SAT2	-0.563
PFTK1	0.106666666666667
GABRE	0.282
C15orf38	2.1615
FIS1	-0.4225
KCNV2	-0.00225
CLPS	0.73225
PPCDC	-0.60875
FOXN2	-0.510833333333333
NT5E	-1.9491
CD83	0.839
IL18	-0.325125
VPS16	0.04325
IGFBP2	1.65866666666667
NOTCH2	0.25
SIGLEC1	3.102125
CD93	4.68
SULF2	0.44225
CEP164	-0.177875
P53AIP1	0.195833333333333
TOR2A	0.141833333333333
ZNF136	0.24375
MGP	3.2197
CCDC144A	-0.996666666666667
TRPC1	-0.447
SMS	0.2835
MAPK7	0.0285
RRAGC	1.59025
PARD6A	0.412
NUB1	0.253333333333333
SYNGR4	0.694
OR11H12	-0.1875
WIF1	1.261625
GCH1	1.63475
OR11H4	0.6555
SLC44A5	2.381
GPRIN2	2.59633333333333
LOC401431	-0.2105
CPA4	-2.7162
MELK	-2.37866666666667
IL15RA	0.15025
CUL3	0.118625
HMBOX1	-1.976
PODXL	-2.63125
CCT6B	0.2235
COMTD1	1.04225
MUC20	-0.314666666666667
GPX2	-2.59525
ITK	-2.065375
FBXL5	0.42725
C13orf27	-1.6865
DEFA5	0.4675
TRHDE	-0.1895
MTP18	0.117833333333333
UQCRQ	-0.3856
ITGB2	2.82541666666667
CSRP2BP	0.2905
TAS2R44	0.3245
PHPT1	0.107875
FAM44C	-0.365
ERH	0.21075
MPHOSPH1	-2.60866666666667
MORC1	-0.29
PARVB	-0.0155
LAMA1	-1.73408333333333
PGBD3	0.41525
GIMAP6	3.43375
AREG	-6.055
LIPT1	-1.06525
MGC99813	0.36525
C1orf201	0.282666666666667
GRIN2A	-0.492
MAN2C1	-0.518625
NSUN5	-0.844
SF3B5	0.6705
MYC	-1.24775
NRXN1	-0.754416666666667
ZNF18	-0.3245
SPDYA	-0.643875
SLC37A1	1.1195
DECR2	-0.454
ANKRD38	1.585
SPTLC3	-0.142
SUPT16H	-0.882875
DTWD2	0.09625
ULBP1	0.092
ZADH1	-1.31483333333333
OIP5	-2.77475
IL10RB	0.310833333333333
OTUB2	1.391625
VWA3A	-0.0808333333333333
SPIC	0.171166666666667
OR6C4	0.6935
PSCD4	1.91716666666667
DPY19L2P2	-0.337
TRAPPC6A	1.15516666666667
C21orf2	-0.0648333333333333
CEMP1	0.14425
LIN7B	-0.456
E2F7	-2.90133333333333
VCP	1.05675
LAMA3	-1.65708333333333
BGN	3.1155
GPR160	-0.8705
COCH	-4.984
GPR81	1.03
APOBEC3F	-2.0605
tcag7.1017	-0.7885
C1orf32	0.5715
SCGB1D2	7.333
FLJ43987	-0.3965
C6orf170	-1.0505
KLK9	0.5475
GPD1L	1.677
VPS37B	-0.0915
ATG3	-0.496333333333333
ADAMTS17	-0.0665
KLHDC2	-0.738333333333333
NDUFV2	-0.5195
BLK	-2.9225
MATN4	-0.961
GPM6A	-0.523125
GBP4	1.94033333333333
TMEM162	0.397666666666667
PKP2	1.668
HRASLS	-2.30444444444444
MMP1	-1.7895
SFXN3	0.2216
FSD1	-1.83766666666667
ST6GALNAC3	-3.042
CA12	3.1001
NCOA6	1.5025
C19orf58	-0.2888
PPP4R1	0.288666666666667
MAN1A2	0.642333333333333
IKBKAP	-1.379
UPF1	-0.00999999999999999
KIAA1219	-0.179
WNT16	-0.0298333333333333
SNW1	0.786125
IL18RAP	1.20675
RPP30	-0.7875
CDC40	-0.201285714285714
SETD3	1.36533333333333
SLAMF6	0.08375
ELK4	-0.5365
TRIM47	0.441333333333333
ACOX3	0.252125
TRIM6	-1.03825
KIAA0372	-0.7225
TP53AP1	-1.16875
SMURF2	-0.4615
ADAD1	0.6305
EBP	-1.7271
KRTAP13-2	0.024
FLJ36874	-0.437333333333333
TOR1A	0.103333333333333
P2RY4	1.15
GPBP1	-0.324
TRPV1	-0.462375
ADAMTS12	1.41583333333333
PES1	0.1405
ATG4A	0.4735
MAGEA10	-3.853
WFS1	0.83675
CC2D1B	-0.0313333333333333
PABPN1	-0.447875
SLC25A30	0.34325
SLCO1C1	-0.295666666666667
SLC22A5	0.1565
KIF23	-2.14083333333333
SYN2	-0.7204
ASPN	9.88966666666667
CENTG2	0.459
QSOX2	-1.5028
FLJ10815	0.642666666666667
STK24	0.663625
SPEG	0.3322
STK10	0.5745
DACT2	-3.046
AAAS	-1.09825
SSX3	-1.302
ABCD3	-0.0388000000000001
C4orf12	-0.802625
PARVG	1.28666666666667
FIG4	0.15275
C9orf46	0.55775
TMCO6	-1.09
IGHMBP2	-0.28275
DUS2L	-0.397
FAM3C	0.1813125
TMEM16D	-3.031625
DCTN4	-0.31375
KCNH3	0.54775
EIF2AK2	-0.212
AP1S3	-0.7795
CST4	1.0345
PAM	0.629375
NUTF2	-0.32275
CITED2	1.0365
SLC39A4	0.635
C2orf52	-0.655
GRM3	-0.09275
C12orf49	1.09325
CCDC49	-0.4784
GRAMD1B	-1.176875
FNDC4	1.14125
SIAH2	0.2175
GDPD4	0.242
C21orf87	0.35
ATP5A1	-0.612666666666667
C16orf63	-0.832875
LOC388135	-0.4285
ATP5J2	-1.144
MMP3	-0.72825
EMID2	0.19425
CRHR1	0.714
WDR70	-0.51125
C13orf31	1.5535
ZFAND1	0.4395
CCL18	4.672
C3orf49	-0.6495
RINT1	-3.038
KIAA0408	-1.90283333333333
F13A1	5.6967
SLC10A1	0.120666666666667
OGN	2.78675
GIPC2	-1.9965
XPO6	-0.108166666666667
LCE1A	1.6415
FMR1	-0.0716
LOC374920	-0.06825
DUSP3	0.631
ANKMY1	0.1675
C7orf50	0.853
BBS9	-0.1242
UNC119B	-0.496625
C9orf72	-0.46
MGC35440	0.26175
ENTPD6	0.706
PPP1R2P9	-0.0445
ERCC4	0.14675
FAHD2B	-0.2145
HMHA1	-0.392
HACL1	-1.01625
RAD23A	-0.631666666666667
FAM83B	-2.7375
PPP5C	-0.808333333333333
RNASEH2C	-0.0055
C9orf153	-0.75625
SCAMP4	0.408
GHITM	0.3587
NDUFB7	-0.214125
ADCYAP1	-0.7625
SP110	1.22416666666667
MAP3K7IP2	0.946
DHH	0.2065
AGRN	1.42421428571429
WDR33	0.187666666666667
CEP290	-1.49816666666667
PRPS1L1	-0.383333333333333
KLRA1	-0.623
GPR97	0.4705
CHD7	0.691666666666667
TLR10	0.697
SLC30A8	-1.4215
HIC1	2.16133333333333
IAPP	1.2555
RXFP4	0.72525
GP1BB	1.12275
SHQ1	0.157
NKX2-3	0.331166666666667
API5	0.245
FTHP1	1.4045
MOV10L1	0.0908333333333333
TRIM6-TRIM34	0.9485
ADHFE1	0.96275
FAM117A	-1.171
DDI1	0.545
CDON	0.021
TRIM73	-0.84
IGKC	0.0105
MMP14	1.721
DYNC1LI1	-0.734125
C11orf66	0.54275
TRBV3-1	-1.367
FASTKD5	0.11025
BIVM	-2.4175
LHX4	0.635
CXCL2	-0.8881
RAB2B	-0.7925
IZUMO1	-0.49425
MAP3K15	-2.093875
FAM19A2	0.2755
ZC3H8	-1.18783333333333
ZMAT1	0.352125
SPINK5L3	-3.1395
SLC10A6	0.0655
APPL2	-0.756625
CARD10	0.499166666666667
LOC402176	0.834
EEF1D	2.1148
RAB6A	1.2807
C12orf5	-0.516
PAPOLG	0.2185
MSRB2	0.8665
BCR	1.176
PUS3	-0.2705
TIAM2	1.42425
ZNF317	-0.162
CHD2	0.364
FZD5	-1.5505
NUDT8	-1.14475
ZNF763	-0.9435
PRC1	-1.86011111111111
ABCB9	-0.650333333333333
SPATA3	0.56975
TRAK2	-0.164125
STAB1	3.380625
LRRTM2	-0.3865
psiTPTE22	1.07375
DBI	0.69
SERPINA11	-0.82475
NAT5	0.7105
C20orf58	-0.7385
RPS6KA4	0.691666666666667
FLJ90650	-0.7205
TGFBRAP1	0.33
CHRDL2	0.490375
FAHD2A	-0.487833333333333
CNTN1	0.53425
BBS4	-0.9428
TMEM181	-0.19225
MINPP1	-1.024
