Hybridization REF	TCGA-E2-A15D-01A-11R-A115-07
SPATA22	1.83275
THOC1	-0.0465
CYP7B1	3.43975
KCNC3	1.152
C8orf42	-1.885
ALDH1B1	-0.118166666666667
CCDC100	0.1133
ARMC4	1.20075
FAM18B2	-0.027
SLC44A1	0.73725
FBXO17	-0.876166666666667
C6orf107	-0.19625
C19orf29	-0.13625
ZC3HAV1L	-0.0435
PARP6	0.296
SULT2A1	-4.78875
C1orf159	-0.19075
TMC1	0.822
CHST14	0.486125
GAMT	0.5305
SMCP	-0.103
TSPAN33	-0.00225000000000001
MIDN	-0.534
NOX4	2.9285
RNASEN	-0.5361
TBX1	-1.4812
SALL2	0.211
C10orf35	2.1885
CYP2E1	-0.34625
LRFN2	2.4915
ACO1	-0.5565
IQCG	1.7638
MEGF9	1.99525
TM7SF4	1.1615
PLEKHA1	0.191466666666667
STK33	-1.545
C1orf210	1.62925
SNUPN	0.576
KIAA0406	-1.3029
C20orf29	0.02775
TMEM55B	-0.08875
OSTM1	-1.293
CLCN7	0.50175
OTP	-0.22025
FLJ23049	3.45
HEATR4	1.5135
MAP3K10	0.913666666666667
PCDHGA9	0.2895
AMDHD2	0.6205
LCTL	-2.867
PDCD2L	-1.27825
CABLES2	-0.25875
SLC5A9	-0.81225
CLCA2	0.844
MGC16025	-1.1725
STRAP	-1.1635
C20orf196	-0.464
RRBP1	-0.412666666666667
NAT13	-1.23225
MAT2B	-0.111625
CSNK1D	-1.09516666666667
KIR3DL1	0.18275
PRKAG3	3.4825
ZNF599	0.8065
PRM3	0.5675
PER2	0.847666666666667
ASPHD1	-1.7765
PRMT6	-0.9265
KCNE1L	-0.358642857142857
FAM118A	-0.802833333333333
TAF4	-0.408
NDUFB6	-1.20275
TRIM9	-1.09525
PMFBP1	-1.288
KY	0.003
DKFZp762E1312	-4.20990909090909
CSMD1	-1.61675
TBP	-0.715
OR1Q1	-0.326166666666667
RETNLB	-0.27275
HPGD	1.72021428571429
DNAJC12	3.19716666666667
FKBP1B	-1.903
ANKRD24	0.0203333333333333
CXXC5	0.251
IL3	0.663142857142857
DRAM	0.0262
PTCH1	-1.3305
TP53BP1	0.8755
SLC17A7	-0.4805
COL25A1	-1.8373
AMACR	0.126833333333333
RHCG	0.4235
VPS13A	-0.590666666666667
FAM55D	0.9995
PRPF38B	-0.657833333333333
OSBPL6	0.8145
PFDN5	0.4114
CMTM6	0.15725
KCNK12	-2.328
RP2	-0.2715
C16orf52	-1.35375
PICK1	0.928
IFNE1	-1.5825
SEMA4B	1.7385
TYRO3	-1.466
OR12D2	0.497
CSNK1A1	0.16325
FANCF	1.1395
LONP2	-0.0345
TBL1Y	-0.08625
LDOC1L	0.05775
CCNC	-0.89825
C3orf60	-0.229
CHKA	-1.44175
UBAP1	0.3705
MAP3K1	0.906
ANKRD9	-0.923
FAM92A1	-1.22466666666667
GAB2	0.033
AZU1	-0.47025
DIS3	-0.40325
C21orf109	-1.31675
IQCB1	-0.80025
SPATS2	-0.732166666666667
EFCAB3	0.182
PRB3	0.494125
FUZ	0.876666666666667
ZNF813	0.573625
BMPER	-1.265
HEG1	-0.03825
ALS2CR11	-2.28925
SURF2	-0.29425
PSMC1	-0.295
OR2D2	-0.2415
SLC7A8	1.95533333333333
C4orf40	-0.0405
SPATA7	1.374
MAZ	0.26075
PIN4	-0.611
PDE1A	-0.487
TAF6L	0.0511666666666667
OR2T34	0.037
KIAA0284	0.971
ACADS	0.538727272727273
MKRN2	-0.6345
C18orf56	-2.88025
MS4A6E	0.191333333333333
GALNT4	-0.3234
C22orf31	0.1105
FLJ36070	-0.4765
PSME4	-0.4715
TFG	-0.5445
EPHX2	2.541
ANXA5	-0.37375
KRTAP1-1	-0.5802
BATF	1.852
KARS	-1.74725
MSTP9	-0.236
GPR26	2.838875
CCDC72	-0.18025
TEF	0.4085
FOXK1	-0.2943
PRLHR	0.0245
EMX1	2.66775
C11orf30	0.034375
ICK	0.221875
THSD7B	0.367
C21orf100	-1.8075
DUOX1	2.9165
EFCAB4B	0.326
UBE2G2	-1.3575
C3orf54	0.43825
PARP1	0.24925
FAM60A	-1.65866666666667
C6orf146	0.01575
OR9K2	0.5165
DDX55	-1.20783333333333
RPS15	0.186833333333333
ZNF618	0.25325
DKFZp686D0972	0.53875
SSPO	-0.0405
SHFM3P1	1.295
CPA6	-0.4025
JAG2	0.43725
DEFA3	-0.1115
PPBPL2	0.655
CD34	4.33975
SLCO4A1	-3.588125
AFG3L1	-1.64866666666667
SHD	-1.50725
RP13-122B23.3	-0.324166666666667
PRKCSH	-0.452333333333333
DPH5	-0.4565
HLA-F	1.45075
TBC1D4	-1.34775
RIG	-0.1818
GLUD1	-0.223666666666667
HNRPCL1	0.536625
HBXIP	-0.906
RNF207	-0.555
APIP	-1.45675
PLA2G3	-1.41266666666667
CCDC84	-0.5855
MYLIP	0.370384615384615
PHIP	0.30825
AARS2	-0.298166666666667
DHX32	0.23325
SCAPER	0.838333333333333
MEN1	-0.0545
NIP7	-2.06725
FLJ25404	-0.1245
FASTKD3	-1.183
TMEM158	-1.75875
RARA	1.16425
BDH1	0.29
ANKRD16	0.34225
CARM1	0.76
SS18	0.913
IKZF2	-0.943666666666667
MYD88	0.7765
PML	0.59265
TAF1A	-0.5625
CBFB	-1.886875
HIST1H3H	0.436666666666667
C7orf29	-0.9945
COMMD4	-0.1895
DPP3	-0.634
DAB2	0.25275
LOC388882	-0.566
YPEL4	-0.4645
AGBL3	0.8805
LRP6	-0.2709
SERPINH1	-0.326083333333333
TLE1	-0.541
CD244	0.7215
ZDHHC15	-0.6955
MGLL	1.726
PLDN	0.477583333333333
LOC654346	1.193
FAP	2.83375
GPR37	0.479166666666667
SCARA5	1.43283333333333
EBF4	2.18390909090909
LSM6	-0.91125
MLLT1	0.028
SLC5A12	0.27525
A2BP1	-1.9015
COPS5	-0.2805
TPM4	-0.719857142857143
TNFSF4	0.663833333333333
ACADSB	0.926888888888889
HERPUD1	0.00475
BCL2L11	-0.745555555555555
CEP78	-1.347
CDCA3	-2.5635
WBSCR19	0.6248
MYO1A	-2.274
PPEF1	2.37266666666667
LOC440348	0.19225
CPEB2	1.040375
BPTF	-0.142833333333333
RPL21	-0.52525
GSX2	-0.501
ADPRH	1.483
C17orf68	1.049
KCNS1	-0.916333333333333
MLLT6	0.369
PIWIL4	0.606
RNF26	-0.66775
RAP1B	0.08825
ADAMTS1	-1.3888
ZNF571	0.898
P2RY6	-0.744
TRIM21	0.485333333333333
CADM3	-0.058
NLRC5	0.791833333333333
ADRA2B	-0.283166666666667
LOC90835	1.664625
PCF11	-0.231
LOC400451	2.5645
GLTSCR1	0.8857
C17orf88	-0.302833333333333
CDH16	-1.73675
FGF7	3.024625
PCSK4	1.52216666666667
NPC1L1	-0.180833333333333
TAT	-0.6465
TBCA	-0.90075
MGC33407	-0.08625
GPR115	-1.7265
CYGB	0.5185
FNBP4	-0.821833333333333
C12orf43	-0.241
CBL	-0.4442
CLECL1	1.39075
PPAPDC1A	1.4705
WDR25	0.3765
SGCA	0.1495
C22orf29	-0.94
YIPF1	1.08325
GALK2	-0.64525
RAB3B	-3.84883333333333
LOC440087	0.23675
UCP1	0.4425
REEP5	1.508
FADD	-0.2884
FOXA1	3.1835
CACNA1A	0.0921666666666667
ABI1	0.322333333333333
GRIN2D	1.1045
SLC1A4	-0.269666666666667
LOC401127	-1.2625
HINT2	0.2505
PLD4	0.707166666666667
ZNF286A	-1.24775
ENY2	-0.886
IL1F6	0.0735
PXDNL	1.8995
C20orf79	-0.0196666666666667
TNFSF13B	2.292
DENND3	0.148125
JARID1D	-2.43075
HIST1H2AK	0.30625
LOC93349	-0.5938
SSH1	-0.8623
ENSA	-0.17625
LOC219854	0.151666666666667
CKAP2	-2.2987
DKFZP564J102	0.911
MGC87315	0.0856666666666667
HNRPAB	-1.8325
AMH	-2.176
ZNF526	0.653
BRUNOL5	0.0956
CACNG3	-0.139333333333333
TRPM1	-2.555
PPP2R1A	0.17975
COL2A1	-1.50325
DDN	-0.426
FLJ25770	2.63016666666667
HK2	-0.975214285714286
ELOVL6	-0.974875
MDK	-0.32475
EPHX1	0.59525
RASSF2	0.70675
DKFZP434B0335	-0.34275
DLX3	-0.171625
PRTN3	-0.485
AVPR1A	1.59
C21orf125	0.383
TNFAIP8	-0.430833333333333
GNB2L1	-0.758
CALCRL	3.77275
SCGB2A2	2.45
UBXD7	-0.1985
ZNF674	-0.754
TMEM35	-0.729625
BRSK2	0.67375
HECTD3	0.244666666666667
TMEM188	-0.7525
LGALS9	1.293125
SCARB2	0.784666666666667
USP34	-0.123083333333333
C17orf28	1.66258333333333
ZDHHC23	-0.55075
AQP12B	-0.335
SLC16A3	-2.099
APLP2	0.0998749999999999
ITIH2	-5.27875
MICAL3	-0.3505
TNNI3K	2.2738
HDAC2	-0.74375
PRR7	0.369
THBS2	0.559
LOC751071	-0.361666666666667
CA2	-1.00116666666667
RANBP17	0.758
RLN3	0.15925
CRYZ	-0.6395
GBAS	0.859
TAS1R1	-0.594
MPZL3	0.3745
PCDH8	-3.13325
HSP90B1	-0.67025
KCNK15	0.5975
TNIP2	0.4485
GPR146	0.7915
NOL6	0.022375
SPC25	-5.01511111111111
STEAP2	2.57285714285714
VAMP3	-0.283
TCIRG1	0.22275
ZP4	0.137666666666667
PARL	-0.416625
TRIM39	0.224166666666667
KIAA1305	1.20675
CRNN	0.456
GRN	0.53
HSH2D	-0.5725
SCAMP1	0.28475
KIAA1913	0.54975
PTS	-0.7445
BANP	0.855714285714286
PRKACG	0.4655
ADCY6	0.691833333333333
C16orf46	0.3155
CYP51A1	-0.15775
DDC	-1.5135
ANPEP	-1.16333333333333
PROM1	0.264333333333333
SIGLEC10	1.85675
COPG	0.6765
FAM26E	1.50475
TRIP4	0.909
SNX3	-0.039
C1orf175	0.6185
PPY2	-0.0895
C14orf152	-0.5735
FTSJ1	-0.968
DST	-0.24915
LOC554235	-0.432
GLRX5	0.03375
C20orf12	1.376
CAB39	0.419666666666667
MSH2	-1.71866666666667
PIP4K2C	0.408125
CYLD	0.015875
WTAP	0.1950625
MGAT4A	0.408444444444444
TSC22D4	-0.0124
CHRM2	-1.6655
PPYR1	-0.0626666666666667
CCNH	-1.01433333333333
RRM1	-0.9615
ECAT8	-3.673
LOC400120	-0.579
GABRA4	-0.381571428571429
C14orf4	0.682833333333333
C1orf59	-0.526
CTDSPL	0.491833333333333
NHEDC2	-0.4745
PDE11A	0.21175
KLHL29	-1.00475
CD5	-0.3335
TSPAN9	1.4185
WDR67	-1.31
THUMPD1	0.7618
C18orf17	0.345
CLYBL	-0.206666666666667
FLJ13231	-0.191625
CMBL	0.309375
LECT2	0.134
NKAPL	2.948
LOC654780	0.372
OR4C6	0.087
RAB30	-0.3825
TSSK4	0.103
TMEM163	-0.06
OSBPL11	-0.188
GNB5	-0.859833333333333
CCL21	1.0155
C1orf121	-0.141833333333333
FMO2	3.09616666666667
RPTN	0.935
MSTN	-0.1895
VCL	0.206642857142857
FYTTD1	-0.321
C11orf1	-0.066
CCDC88C	-0.4058125
HFE	0.135
MOGAT1	0.4415
FAM125B	0.530166666666667
IRGQ	-0.552
RAVER2	-0.8365
AKAP5	-1.2565
SSSCA1	-0.7465
C11orf63	2.66525
ACTG2	-1.1511
PORCN	-0.9675
DTL	-2.40609090909091
TMEM151	0.07875
FAM122C	-0.68425
RSAD2	2.4461
BAT4	-0.137
KRTDAP	-1.48083333333333
MYH8	0.961125
CRTC3	0.57875
LRRFIP2	0.0865
INTS4	-0.0693333333333333
TTN	-1.34416666666667
SLC26A5	1.775
PLLP	-0.804
RGS6	-0.60125
SRGAP3	0.208
ZNF525	0.177833333333333
NBR2	0.2255
C13orf1	-0.5883
ZNF137	0.684
CEP27	-1.7965
BEST2	-0.017
RNF121	-1.067
DMRTC2	-0.15275
C8orf76	0.0155
BCCIP	-0.677
MEST	0.65425
HTRA2	-0.1325
ANGPTL2	0.2345
ILKAP	-0.290666666666667
ERAS	-0.4635
HBS1L	-0.739125
CPA5	0.2105
TMEM30A	-0.0216666666666667
CD300LF	2.12683333333333
WISP3	0.3565
CRK	0.514571428571429
PDS5A	-0.2151
BRPF3	0.544166666666667
NEDD9	0.1325
SMPDL3B	1.07025
PSG6	-0.54525
PSMD13	0.5945
ETV5	-2.2146875
OR51A4	-0.0465
BTBD7	0.519916666666667
GSTO1	-1.596125
hCG_16001	0.088
MAD2L1BP	-0.341666666666667
COX6A2	1.312
SCNN1A	1.663
LSM1	0.0198333333333333
UGT2B11	-4.1325
IDUA	1.24175
PPP2R3C	-1.03966666666667
COX11	-1.49466666666667
PDZK1	-4.00775
ZNF443	0.623
MGC21874	1.374
ZNF323	2.0636
KRTAP10-10	0.3275
CXCL6	-1.0395
SLC34A2	2.002
LOC284402	0.0735
NPTN	0.384416666666667
UPP1	-1.74341666666667
SLC6A9	-0.4965
OR7G3	0.5465
CISD1	-0.7725
ZNF545	0.0923333333333333
SYT14	-1.5785
NT5C3L	-0.0638333333333333
ZNHIT3	-0.5515
SNRPD3	-0.44575
KIAA0701	0.011625
UNC93B1	-0.371333333333333
GMNN	-3.03475
SPCS2	-0.249833333333333
LOC388524	-1.098
NAPRT1	-0.522375
PNLIPRP1	-1.32166666666667
OR6V1	0.535
PRKAB1	0.25025
EYA4	-2.97683333333333
KIF20A	-3.326
ALG10	-1.0245
ITPKC	0.925833333333333
LMX1B	0.829333333333333
RPUSD4	-0.642666666666667
C7orf34	-0.156666666666667
DLGAP2	-0.135
PFN1	-0.2779
MICALL2	0.203666666666667
ZNF654	-0.259
SS18L1	-1.328375
SLC16A8	1.60775
MKI67IP	-0.218166666666667
ITGB3	-1.395375
TCEA3	2.03033333333333
CEP152	-1.9795
CLIP1	0.382125
ZNF75	0.6136875
ATP5C1	-1.021
NUDT5	-1.62916666666667
PSCDBP	-0.097
UBP1	-0.5955
RBM27	-0.23
C13orf15	2.0555
ZNF282	0.404666666666667
ZNF222	-0.8697
COL10A1	5.079
PRDM15	-0.86725
TTTY5	-0.4485
FAM9C	-0.617272727272727
C20orf67	0.0135
GNG13	-1.29
F12	1.69475
C1orf41	-1.4495
CPXCR1	0.3055
GSK3A	0.46725
SUPT6H	0.0925
PI16	2.11833333333333
ELL2	-1.5415
C9orf167	-1.9035
PVRL3	-2.5272
FLJ38596	0.864
ADAM20	0.5245
GPR89A	0.5275
GPR87	-4.6385
ZNF30	1.0615
SMR3B	-0.204
ZNF770	0.229375
TRPC4AP	-0.591
DKFZP686E2158	0.215333333333333
C2orf28	0.197833333333333
FREM1	-0.166666666666667
LAMA4	0.890666666666667
ADPRHL2	-0.1045
EIF4G2	-0.0491666666666667
GUCA1A	-0.2075
CTNNA2	-1.375
NUDT15	-1.012
CEPT1	0.115833333333333
ZNFX1	0.5005
CCDC92	1.03
TDRD1	-1.445
KCNK5	-1.97083333333333
ETNK1	-0.389166666666667
LTA	0.193
TTPA	1.75733333333333
B3GALNT2	-0.1935
SC65	0.217
PEX5L	-1.585
EPS15L1	-0.009
MGEA5	0.201625
HIST1H3A	0.9415
ING1	-0.279625
BCAT1	-3.66475
ORC6L	-4.02463636363636
KLK11	-4.71266666666667
C19orf28	-0.939125
DNER	-4.343375
MED22	-0.4135
ETV6	0.791416666666667
CHAC2	-2.705
CD300E	0.26
CEBPB	-0.0685833333333333
ZNF398	-0.016
LRCH3	-0.135
HMGA1	-2.05466666666667
CAPN7	-0.2895
MGC5566	-1.76475
CCL3	2.59
NANOS1	-0.14675
ZFYVE19	0.41625
APITD1	-0.478833333333333
PARD3	0.700375
IRAK4	0.0991666666666667
SERPINI2	2.072
CEP170L	-0.44975
TTC9	1.7555
MYOM3	-1.1595
MLPH	1.774625
LOC222699	0.0795
NRG1	-1.97291666666667
TBC1D9	4.15109090909091
TTK	-3.57883333333333
ZNF557	0.5532
DDX41	-0.323833333333333
FANK1	2.846
UBE2D2	-0.424125
PSMB10	0.2795
MYH7B	1.1705
GABARAPL2	-0.601
MARVELD2	1.65433333333333
DGCR2	0.8635
UNC45A	0.681666666666667
C6orf72	-0.3455
ZNF683	4.058
GIT2	0.12575
CASK	0.426166666666667
C14orf161	2.38483333333333
LRRC44	0.362
TIFA	-0.440375
UTP11L	-0.68425
C6orf65	-0.97175
FDPS	-0.37825
DUSP9	-1.9328
SLC17A8	0.840666666666667
OR51G1	-0.0946666666666667
NANS	-0.7815
OLFML1	1.70375
ATP10B	-1.14225
NPAS3	-0.637
PRKCA	-2.5911
GGA2	-0.3418125
LCE4A	0.423
SPANXN3	0.174333333333333
CCDC115	1.40375
SDCCAG3	-1.29025
GLIPR1L1	-0.1605
TTC1	-0.43775
C17orf76	0.82425
MAD2L2	-1.518
HIPK1	0.1608
LRRC3B	-0.197333333333333
CLN3	0.2475
C17orf47	0.056
FMN2	-0.80675
TUBB1	-1.91371428571429
WAPAL	0.0368333333333333
C3orf21	-0.651875
SCN5A	-0.3128
SMYD1	-0.763
BEX5	0.82325
ZNF192	-0.216
SEC22A	-0.312333333333333
GRIA2	0.116769230769231
KIAA0825	-1.28
NUSAP1	-3.30818181818182
LANCL1	-0.47475
C15orf40	0.1221
ZNF645	-0.045875
GPR61	0.044
NLRP14	-0.7655
SNX21	0.0982
C1QTNF8	0.035
C17orf46	0.09
IFNA8	0.3735
SPRR1B	-2.91016666666667
FLRT1	-0.64525
SNX17	0.230833333333333
ASB2	-0.7205
HBG1	-4.532
RPRML	-2.536
JOSD2	0.226333333333333
PLSCR3	0.56925
SPOCD1	-0.3065
RAB39	-0.179
GHRH	0.253
ITIH5L	0.35925
C17orf37	0.644
SMCR8	0.07725
DPY19L2P3	0.623
IL11RA	0.69
GDF3	-4.02683333333333
RPS6KB1	-1.43116666666667
DNAJC19	-0.5955
TOP1	-0.52625
CRCT1	0.01775
MPST	0.205875
DPM2	0.237375
FAM38B	0.895
SLC18A1	-2.36666666666667
FARP1	1.411
PAX7	0.0175
TUBD1	-1.63775
GNL3	-0.868
BTG2	2.88006666666667
NDUFS6	-1.09575
C1orf79	-1.092
ERAL1	-0.3995
ECHS1	0.6045
VPS4A	-0.562166666666667
CYP11A1	0.01825
ABCC6	-0.587071428571429
PBX4	-1.5885
MOSC1	0.754
NCF4	0.3315
HYMAI	-0.162
NAGPA	0.09425
OTOP2	0.05575
ACOT12	-0.07025
MTHFD2L	-0.187625
LOC441376	3.963
C19orf34	-0.0785
RAB1B	1.0045
ALDOAP2	-0.8365
NTRK1	-0.847166666666667
ARTS-1	0.5251
SLC6A11	-0.475
NAP1L2	-0.4145
CNGB1	-0.161166666666667
EPB41L4B	1.09725
FAM134B	1.1845
HS3ST3A1	-1.863
CPXM2	5.58175
SIRPB2	-0.3605
CHORDC1	-1.00433333333333
TRIB3	-0.7275
SLC2A5	0.06875
C2orf49	-1.1145
DDX5	-0.55275
OR5L1	-0.1765
ANAPC4	-0.4105
ZSWIM1	0.189625
LOC93622	-0.028
KCNK3	1.0276
RP11-35N6.1	-0.657625
ZFP161	0.983833333333333
AQP9	1.76475
SLC15A2	0.817333333333333
MREG	0.358666666666667
OR9I1	0.1915
PDLIM2	0.3145
ADAM7	0.463
GSTCD	0.0933333333333333
WDR21A	0.371125
SLC12A8	1.25616666666667
TMEM174	-0.06475
IGSF3	0.70825
LRRN1	-1.50175
LOC402117	-0.5545
SRPK1	-1.57466666666667
LY6K	0.538375
NFIA	2.55
PTCD3	-0.73025
LEP	3.2525
PCDH21	-1.17716666666667
MAPKAPK2	1.3305
NMNAT1	-0.5205
LHFPL2	0.20875
C9orf43	0.34475
DIP2A	-0.638166666666667
ACTR8	-0.162375
CCDC34	-0.67475
PTPN22	-1.481375
ITGA3	-0.641625
FAM129C	0.47925
RABGGTA	0.258
UNC45B	1.3035
KIAA1033	-0.016
ZNF510	0.0893333333333334
CYP2D6	-0.612
SLC26A10	-1.587
STX8	0.00525
LUZP1	0.07725
WDR89	-0.211333333333333
EIF4G3	-0.5013
C5AR1	0.40675
ZNF623	0.694
A2M	1.28225
TGM7	-0.1765
GRPEL1	-0.760666666666667
LMNB2	-1.5482
ROCK2	-0.120666666666667
SNX16	0.28775
CCDC66	0.96725
ANXA3	0.43125
KIAA1609	-0.7435
EED	-0.98275
RNF32	1.267
HES1	0.1551
CLC	-0.0911666666666667
ISL1	-0.657833333333333
KIAA0528	0.09475
MANEA	-0.061
C1orf61	-1.7965
hCG_2001000	0.15325
RAPGEF6	-0.057
KIAA0020	-0.694833333333333
NEIL1	2.64875
C16orf45	2.055875
RBM10	-0.0281666666666667
C10orf125	-1.701875
MRS2L	-0.7465
DNAH17	-1.333
C19orf10	-0.77375
C1orf160	0.3335
SLFN12	0.53975
EXOC3	-0.062
HIST3H3	0.375
NCOR2	0.416833333333333
TNFRSF9	0.71925
MFSD8	-0.3815
ALX1	-4.451
NOL1	-1.123
PODN	2.99225
TIAL1	-1.1655
HIST1H1E	-0.079
NPY6R	0.0345
TM4SF4	-0.76675
CORO2A	-0.06225
ETNK2	1.8635
APOE	0.0162
ANGPT4	-0.3815
HDGF2	-0.1225
G30	1.679
ST8SIA4	-0.770571428571429
F2RL1	-0.478125
FAM19A4	-4.46
CCAR1	-0.63025
B3GNT7	0.2875
OPHN1	-0.8228
DSCR6	-2.7175
C21orf13	1.82216666666667
GAS2L1	0.897
RFX3	1.48416666666667
COPS4	-0.3155
BCHE	-4.57883333333333
BCL2	3.263875
HBZ	-2.91166666666667
ARL13B	-0.00274999999999999
MAPBPIP	1.58125
MYO15B	1.10575
SPZ1	0.8985
KIAA1324	3.04711111111111
PLCL2	-0.74425
C4orf29	-0.784
WDFY2	-0.3435
ZNF284	-0.553
NAALADL1	0.3145
DUSP5	0.846833333333333
PXDN	0.800375
SLMO1	0.33075
TNXB	0.6144
BIRC7	-0.9535
A4GALT	1.12033333333333
TIMM22	0.41925
FAM110C	1.10125
TOMM34	-1.06025
ABHD9	-0.0215
ADAM32	2.9905
CRHBP	-0.59
AQP2	0.48575
LOC130355	0.52175
ZNF187	0.446666666666667
ZNF816A	0.546
F7	0.12225
CNOT1	-1.1348
SLC13A4	-1.056
ZBTB11	-0.40475
B3GALT5	0.60425
EXOC2	0.853666666666667
IRS1	0.8932
TMEM1	-0.139333333333333
MRPL34	-0.233833333333333
SAMM50	-0.55025
CDC42EP3	-0.142125
HSF2	-0.6386
MFN2	-0.0925
TSPAN7	-0.9825
NUCB1	0.466666666666667
RHOH	-1.765
ARL16	-0.4685
TACR1	-0.26075
SFRS5	-1.41716666666667
SNX25	-0.012375
RHBDF1	1.54383333333333
PCDH18	2.02866666666667
HMG1L1	-0.8085
MYO5C	1.98
MAPK10	2.546
LDHAL6A	-0.939333333333333
NUDT12	1.16766666666667
NCAM1	-0.152
GLIS2	0.221
GGTL4	0.9575
DAPP1	0.0905
ATF7	0.34025
KIAA0748	-1.1785
NFIL3	0.65775
TM6SF1	1.0462
SEZ6	0.156125
NANOS3	0.721666666666667
DNAJA3	0.332833333333333
CLDN6	-2.8375
CIITA	2.3945
EPHA4	-0.644666666666667
FANCC	-0.062
CMTM3	0.47875
PSG3	-0.593875
MRPL15	-0.92275
C21orf59	-0.1965
PLCXD2	-0.7355
C2orf34	-0.064375
UBE2L6	0.8365
MED14	-0.295
HP1BP3	-0.6498
C6orf208	0.8425
TPBG	0.58275
OSR2	1.14375
XPC	0.315
KLHL7	-1.22091666666667
CCR3	-0.5825
AGTPBP1	-1.65316666666667
PCSK6	2.22893333333333
STAT5A	0.1082
FAM18B	0.09475
LONRF2	1.4715
PTPN2	-0.30925
SF3A3	-0.968333333333333
EFCBP2	-0.1965
HCFC1	-0.219
AHNAK	-0.5008
ACTR5	-0.279
KIF14	-3.96
TENC1	1.5715
HEATR5B	1.0795
YIPF2	0.757833333333333
MYEOV2	0.412
DUSP18	1.281
KIAA1012	0.91575
AHR	-0.0303333333333333
C17orf53	-1.7855
PTPRH	-2.16475
ATP6V1C1	0.0304
TAS2R3	-0.1825
LOC440356	1.19475
COQ10B	0.255
PSMF1	0.1115
SORBS2	2.745
NFE2L2	-0.141
TMCO7	-0.1045
SH3PXD2A	0.3242
SH2D2A	-0.46925
SPINK5	-3.5265
MRPS24	-0.66525
OPA3	0.3325
TRAF7	0.692833333333333
C4orf35	0.2046
MT1G	-1.601
MGC39545	-0.668666666666667
HS1BP3	-0.1225
OR2B2	0.377
CHRM4	0.5415
SFRP2	4.11508333333333
RIC3	1.8875
ART1	-0.3235
C6orf1	1.289375
DUS4L	-0.68875
C10orf104	0.22225
TNFAIP6	2.34975
RTEL1	-0.434
CCT4	-0.9261
ZNF709	0.1925
CHMP6	0.234666666666667
UPP2	0.61075
CYP19A1	-2.79675
CD151	0.174
NDUFA13	-0.322833333333333
ARFRP1	-0.575166666666667
FAM26B	2.04075
CRYBA1	-1.728
MRPL41	0.1395
NPFFR2	3.406125
HRH2	-0.017
SCAMP3	0.7765
MTMR6	0.5892
MTG1	-0.7085
UBTD1	1.31475
CRABP1	-1.8845
FLJ33790	1.0251
KIAA1908	0.794
GPR158	-2.16925
PACSIN3	0.0296666666666667
OMD	4.15316666666667
CATSPER1	-0.362166666666667
HOXB8	0.24225
FBXO46	1.048
OAS1	0.2965
SVIL	0.6775
PHB2	-0.36425
ADCY3	0.289
NDRG2	0.8355
ERMAP	1.1085
APBA2	-1.68966666666667
IGSF9	3.10375
WNT6	-0.167642857142857
MYCBPAP	3.573
ATP2B2	-0.4655
CPVL	-1.4749
TRAM2	-0.656545454545455
NOP5/NOP58	-0.99525
ZNRF4	0.229
TLK1	0.0235
MTMR12	0.0135714285714286
ZNF384	-0.378333333333333
FAM9B	-3.533
RPN1	0.2688
PMVK	1.97425
EIF3D	0.3185
SIX2	0.0795
HPS1	0.565357142857143
RNF7	-0.24325
PSKH2	-0.1305
KCTD13	0.199333333333333
CSMD3	-0.284555555555556
FBF1	0.255
IL8	-2.8655
SERPINB13	0.384083333333333
FBXL20	0.04075
BLR1	0.35175
SH2B1	0.754333333333333
RFNG	0.10525
RAB20	0.0451666666666667
RBM7	-0.6705
POLR1A	-0.422166666666667
TMPRSS4	-3.3945
TAF9	-1.3235
TERF2	-0.378166666666667
TNFRSF1A	0.642083333333333
ACADVL	0.515666666666667
GTF2H5	-0.24425
EDG8	-0.843833333333333
C9orf140	-1.590375
UST6	0.39625
ZBTB8OS	-1.117
ZNF710	0.8835
GPR174	-1.2535
ATP6V0A2	-0.901
KIAA0319L	0.388833333333333
XKRX	0.936
DOPEY2	1.5255
SDHD	-0.95225
SUMF1	2.1045
OSM	1.2575
OPN3	0.8735
DAGLB	-0.0801666666666667
PPFIBP1	0.1049
TRIM63	-4.00275
C10orf53	0.397
LYPD3	1.14666666666667
BCL7A	0.02425
AGER	-1.2835
TCF19	-1.936625
SAT2	0.51725
PFTK1	0.824666666666667
GABRE	-1.636125
C15orf38	1.7638
FIS1	0.823
KCNV2	-0.273
CLPS	1.143
PPCDC	-0.00987499999999999
FOXN2	-0.688666666666667
NT5E	-3.088
CD83	0.44275
IL18	-0.638125
VPS16	0.14075
IGFBP2	-0.210166666666667
NOTCH2	0.62225
SIGLEC1	2.177
CD93	5.426
SULF2	1.39475
CEP164	0.400875
P53AIP1	0.203666666666667
TOR2A	0.133
ZNF136	0.3985
MGP	2.4988
CCDC144A	2.1565
TRPC1	-0.711833333333333
SMS	-1.05783333333333
MAPK7	-0.172833333333333
RRAGC	0.45475
PARD6A	0.587666666666667
NUB1	1.1085
SYNGR4	1.19525
OR11H12	-0.5445
WIF1	1.219
GCH1	-0.68125
OR11H4	0.0485
SLC44A5	-1.1295
GPRIN2	1.44566666666667
LOC401431	1.7345
CPA4	-2.7465
MELK	-3.15466666666667
IL15RA	-0.099
CUL3	0.939125
HMBOX1	1.26375
