Hybridization REF	TCGA-A8-A08A-01A-11R-A00Z-07
GPR160	1.3645
COCH	-4.517
GPR81	2.01433333333333
APOBEC3F	-1.8075
tcag7.1017	-0.49725
C1orf32	0.4185
SCGB1D2	0.6195
FLJ43987	-0.2175
C6orf170	0.4545
KLK9	0.382
GPD1L	0.8625
VPS37B	-0.01625
ATG3	-0.461833333333333
ADAMTS17	-0.416
KLHDC2	0.119
NDUFV2	0.1855
BLK	-2.842
MATN4	-1.565
GPM6A	1.340625
GBP4	3.82466666666667
TMEM162	0.729
PKP2	1.2495
HRASLS	1.46611111111111
MMP1	-3.79225
SFXN3	0.0299
FSD1	-0.929666666666667
ST6GALNAC3	-1.984
CA12	3.04
NCOA6	0.14175
C19orf58	-0.5738
PPP4R1	0.13
MAN1A2	1.0495
IKBKAP	-1.02175
UPF1	-0.311333333333333
KIAA1219	0.299
WNT16	-1.4898
SNW1	-0.25375
IL18RAP	2.61325
RPP30	-0.529
CDC40	-0.178714285714286
SETD3	0.00116666666666668
SLAMF6	0.32375
ELK4	-0.738
TRIM47	0.191333333333333
ACOX3	2.04675
TRIM6	-0.642375
KIAA0372	-0.312833333333333
TP53AP1	1.882375
SMURF2	-0.8195
ADAD1	0.5315
EBP	-1.0166
KRTAP13-2	-0.1725
FLJ36874	-0.924666666666667
TOR1A	-0.2495
P2RY4	1.249
GPBP1	-0.01425
TRPV1	-0.0285
ADAMTS12	0.417333333333333
PES1	0.1081
ATG4A	0.777
MAGEA10	-4.54925
WFS1	1.65725
CC2D1B	-0.612833333333333
PABPN1	-0.220875
SLC25A30	0.2415
SLCO1C1	-0.181666666666667
SLC22A5	1.49575
KIF23	-2.56516666666667
SYN2	-0.777166666666667
ASPN	8.38933333333333
CENTG2	0.5915
QSOX2	-2.6389
FLJ10815	-0.362333333333333
STK24	-0.081375
SPEG	-0.1464
STK10	-0.161333333333333
DACT2	-2.993
AAAS	-0.689
SSX3	-1.86075
ABCD3	1.4597
C4orf12	-0.607375
PARVG	1.2635
FIG4	1.4765
C9orf46	1.714
TMCO6	-0.3275
IGHMBP2	-0.8765
DUS2L	-0.548833333333333
FAM3C	-0.5765
TMEM16D	-3.033375
DCTN4	0.835
KCNH3	-0.29875
EIF2AK2	0.655
AP1S3	0.152
CST4	1.297
PAM	0.075875
NUTF2	-0.7535
CITED2	-0.4138
SLC39A4	-0.14425
C2orf52	-1.277
GRM3	0.32575
C12orf49	0.03675
CCDC49	-0.3538
GRAMD1B	-0.9385
FNDC4	-0.09225
SIAH2	1.397
GDPD4	-0.0775
C21orf87	0.674875
ATP5A1	0.227
C16orf63	-0.317125
LOC388135	-0.4405
ATP5J2	-0.46575
MMP3	-0.58
EMID2	-0.19125
CRHR1	0.4855
WDR70	-0.63025
C13orf31	2.156
ZFAND1	-0.91225
CCL18	3.06716666666667
C3orf49	2.6655
RINT1	-0.8135
KIAA0408	-1.5805
F13A1	4.2622
SLC10A1	1.01983333333333
OGN	0.48375
GIPC2	-2.52333333333333
XPO6	-0.0803333333333333
LCE1A	1.064
FMR1	0.0484
LOC374920	-0.5265
DUSP3	0.321375
ANKMY1	1.118
C7orf50	-0.13325
BBS9	-0.347
UNC119B	0.55375
C9orf72	-0.44425
MGC35440	-0.579
ENTPD6	0.16875
PPP1R2P9	-0.11
ERCC4	0.63725
FAHD2B	-0.1655
HMHA1	0.1395
HACL1	0.0985
RAD23A	-0.111166666666667
FAM83B	-1.37
PPP5C	-0.746333333333333
RNASEH2C	-0.290875
C9orf153	-1.01625
SCAMP4	0.796125
GHITM	0.4495
NDUFB7	0.3125
ADCYAP1	-0.3955
SP110	1.90683333333333
MAP3K7IP2	-0.00425
DHH	-0.319
AGRN	1.02514285714286
WDR33	0.0133333333333333
CEP290	0.7445
PRPS1L1	-2.09683333333333
KLRA1	-0.101
GPR97	0.2755
CHD7	-0.944416666666667
TLR10	2.7785
SLC30A8	-0.7795
HIC1	1.1395
IAPP	0.6315
RXFP4	0.168
GP1BB	1.22925
SHQ1	0.246
NKX2-3	-0.227
API5	-0.235
FTHP1	0.2805
MOV10L1	0.6284
TRIM6-TRIM34	1.80083333333333
ADHFE1	0.56625
FAM117A	-0.5865
DDI1	0.299666666666667
CDON	-1.20183333333333
TRIM73	-0.693
IGKC	1.097
MMP14	0.215916666666667
DYNC1LI1	-0.113875
C11orf66	0.82075
TRBV3-1	-1.10375
FASTKD5	-0.05275
BIVM	-0.49425
LHX4	-0.3965
CXCL2	-2.4952
RAB2B	-0.893333333333333
IZUMO1	-2.4015
MAP3K15	-2.052
FAM19A2	-0.2605
ZC3H8	-0.265
ZMAT1	1.928375
SPINK5L3	-3.082
SLC10A6	0.654
APPL2	0.213625
CARD10	-0.244333333333333
LOC402176	-0.58275
EEF1D	0.2807
RAB6A	0.0016
C12orf5	-0.647875
PAPOLG	-0.02125
MSRB2	0.42325
BCR	0.753777777777778
PUS3	-0.72375
TIAM2	0.52725
ZNF317	0.152166666666667
CHD2	0.192307692307692
FZD5	-0.9645
NUDT8	-1.8275
ZNF763	-0.2265
PRC1	-2.24933333333333
ABCB9	-0.6385
SPATA3	-0.31475
TRAK2	0.345375
STAB1	2.785625
LRRTM2	-0.209166666666667
psiTPTE22	1.41475
DBI	0.7895
SERPINA11	2.50425
NAT5	0.17975
C20orf58	-0.83325
RPS6KA4	0.252166666666667
FLJ90650	-0.76125
TGFBRAP1	0.553
CHRDL2	-0.084375
FAHD2A	-0.5085
CNTN1	0.154666666666667
BBS4	0.4073
TMEM181	0.81275
MINPP1	-0.685
MPHOSPH6	0.358333333333333
HOXC10	-2.2294
ITPKB	0.47075
CLPTM1L	-0.018125
MEOX2	-1.5686
ATP6V0C	0.65275
PRPF8	-0.0438333333333333
TMC5	2.8775
FKBP3	-0.3475
PLEKHB2	0.35625
OR4D6	0.2305
ZNF544	-0.7279
D2HGDH	0.26575
RPL18A	-0.3165
HEL308	-0.471875
MPP6	-4.21875
TCERG1	-1.40275
KRT16	-1.52116666666667
KLF17	-1.69425
KLF5	-1.916
CDR1	2.356125
VCX3A	-3.5705
FBLN2	1.799875
C14orf104	-0.4215
HBE1	-4.6545
OR4S2	0.359
C1orf108	-0.0475
ROBO4	3.3905
CPEB4	1.009625
C11orf80	0.1155
BCKDHA	0.982166666666667
MYOC	-0.475666666666667
GIF	-0.5245
CKMT1A	-0.916
RPL3	0.6339
THBS1	2.733625
APOO	-0.684
ARMCX1	1.43625
HSZFP36	0.90025
SNAPC5	-0.719
EIF4ENIF1	0.58825
ZNF433	-0.39975
TNFRSF21	-1.134125
TMPRSS7	-0.1455
SPATA18	2.0535
HPDL	-3.321
MKL2	1.7852
TBX3	0.494307692307692
C21orf93	0.741333333333333
DAXX	0.5485
ELMO1	0.9285
RGS13	0.0172
TAF11	-1.77525
UNC13A	-2.1875
LOC653314	-0.1576
ORC3L	-0.56
IMAA	-2.2745
TARBP2	-0.2165
CABIN1	0.5359
TRIOBP	0.190875
HIST1H2AC	1.90625
RGS22	1.59916666666667
NCOA1	1.52983333333333
IL25	1.6335
SNCG	0.2155
GPR6	0.244
AMDHD1	-1.90816666666667
CHEK2	-1.428625
C6orf142	-1.15025
DRD4	1.1525
C14orf68	-0.90625
GDF11	-1.78625
SEMG2	0.24
CD247	-1.298
CDAN1	-0.06125
RBMX2	-0.2625
TGS1	-0.91625
OIT3	0.075
SYF2	0.10625
MCM4	-2.118375
PKHD1L1	-0.7055
CEP192	-0.7275
IFT88	1.356
RPL9	0.196428571428571
RAB32	0.383
DDX43	-2.621
P2RX2	0.5465
OR5D18	-0.7975
UBE1	0.192583333333333
SLC24A1	0.65325
ARHGAP5	0.18925
CETP	-0.8055
KIAA1731	-1.8784
SLC9A4	0.439
PTPN6	0.99325
BAHD1	0.1295
GRIK3	0.7545
CACNB2	-0.7961
PDE10A	-0.44375
DGCR14	-0.11125
PCDHB9	-1.41966666666667
RHOQ	0.615666666666667
MAP3K4	-0.3675
KTI12	-0.0373333333333333
RPL23AP13	-1.30525
GNG11	-1.32
CLCN3	1.01916666666667
GPAM	-0.701375
VSTM2A	-1.5505
SLAMF7	2.22533333333333
INTS2	-1.282
PPP2CA	-0.0086
LRP12	-1.14686666666667
SEC14L2	4.11522222222222
DKFZP586H2123	1.089
MC3R	0.0685
CIRH1A	-1.686
HIST1H2AB	1.836
POLH	-0.343875
MGC16703	-0.270333333333333
SNAPC2	0.4355
FILIP1L	1.06825
RASGRP4	0.46
LRRC1	1.0055
GAS1	1.0695
PRAC	-0.9175
DGKA	-0.393
NT5C3	-0.93425
PEG3	-3.62033333333333
NADK	-0.68875
PRR17	0.92825
LOC374569	-0.66975
SGSH	0.674833333333333
NLRP8	0.6445
GALT	-1.2599
MCF2	-0.4875
ZNF263	0.5
TACSTD1	0.77
TYR	-6.3114
ATP6AP2	0.69825
RNUXA	-0.296
ABHD10	0.0406
GDPD2	-0.044
SLC35C1	-0.277
UBE2A	0.15025
HERC5	-1.67383333333333
FAM112B	-4.56516666666667
FBXL16	1.865
DKFZP434A0131	-0.27275
ELA3A	-1.876
RBM41	-0.965
HAO2	-0.47925
RNH1	-0.30825
SHANK2	1.07
OSBP2	-1.0725
DAK	0.45
C3orf58	-0.877
TCL1B	-0.68
KBTBD2	-0.697
SUGT1L1	0.271
UBE2E2	-1.08383333333333
MYL9	2.112
CDC23	-1.01033333333333
PBXIP1	1.8614
CXorf40B	1.3095
NBL1	0.94725
RTBDN	0.2365
RAB11FIP5	0.5145
TTTY13	-0.0915
SCOTIN	-0.00249999999999999
SOHLH1	0.404166666666667
CDKN1A	-0.602571428571429
NCK1	-0.33725
ZNF550	-1.10725
SAPS3	0.0235
SPIN3	0.610166666666667
MAGEE2	-0.292
MIS12	-0.74
OR8H2	0.545
KIAA0774	-1.28066666666667
UNC5D	-3.156
CUL7	0.0865
LIPC	-3.28916666666667
DIO1	4.5985
C20orf11	-0.3589
CTRL	-0.90225
HS3ST2	0.514
PAK4	0.96
CCRL1	2.6825
RNF10	0.387
ZNF567	-0.46025
ZNF660	-0.702
TCEAL3	0.69775
MAGOH	-0.944166666666667
CENPB	0.065
C19orf7	0.71925
LOC388965	-0.01575
ZCCHC13	-1.165
JMJD1A	-1.0687
HIST1H4H	0.7595
TBRG1	-1.3389
GPC3	-3.1495
TAF1C	-0.979125
EBNA1BP2	-0.722166666666667
CIAPIN1	-0.90175
PDGFRA	-0.162222222222222
CSTB	-0.277
CENPI	-2.4465
GTF2E2	-1.34283333333333
RPP21	-0.40275
CCNF	-1.01616666666667
KCNQ3	0.8445
FAM79A	1.26075
SLC22A12	0.413
NOVA1	0.788
FZD3	1.5984
AKAP8	-0.82575
SOCS5	0.511625
CFDP1	-1.75475
DLG5	1.0375
PGM5	0.20875
C1orf144	0.141583333333333
HDAC10	-1.0955
RND2	-0.90325
C20orf199	-0.9735
RNMT	-0.516875
SLURP1	0.391625
ASTN1	-0.52275
SH3BGR	0.88425
MYCL1	-0.572875
ZHX1	0.181666666666667
CENPK	-3.59
FOSB	0.1318
LOC643406	0.311625
C2orf59	-0.62325
TMEM135	0.40075
SLC27A2	-1.476
KRT33A	1.733
OVOL1	1.95825
PAMCI	-3.51166666666667
S100A7	-0.259
ZNF789	-1.4095
HARS2	0.33925
RPL23A	-0.290166666666667
TCF23	0.12825
UPF3B	-1.831
C17orf78	-0.2655
HLA-DOB	0.8368
C14orf142	0.440833333333333
TEKT5	1.09033333333333
DMWD	0.189
POLD1	-1.8215
GSCL	-0.358
CALD1	0.218
SCRT1	0.7945
AIG1	1.00425
UNC84B	0.10225
ZNF404	-0.748
TMED6	-3.215
KIAA1462	0.1285
LRRC27	1.60866666666667
PYGO1	-1.8535
PIGU	-0.748
ALAS2	-3.59533333333333
WRNIP1	0.0695
CNNM3	0.754
ZNF2	0.02575
ST3GAL5	0.38375
MRPL23	-0.9535
TSSK6	-0.91125
PSMA6	-0.25325
C16orf70	-0.42675
KIAA1602	0.35175
ALMS1	0.504166666666667
DCN	2.750375
TMEM132D	-1.57625
SUCLG2	0.54675
ABHD14A	1.22075
DEXI	0.660833333333333
AMPD2	-0.570833333333333
IFNAR2	-0.214
CYB5A	2.2812
TLOC1	0.6443
NXF5	-0.409166666666667
NRBF2	-0.45625
KCTD3	2.01
ITGAE	-0.880833333333333
SLC30A3	-2.11216666666667
ZRF1	-1.594
IFRD2	-0.5995
XAB1	-0.362
PYCR2	0.0266666666666667
SERPINB3	-4.548
TMLHE	-0.0177
GEFT	-1.784375
ABCA5	-0.947375
EMR4	0.2365
TSFM	0.04575
HIST3H2BB	0.06775
ARHGEF19	1.44775
TSPAN17	0.0175
ABCC8	4.852
MAP1S	0.3665
C22orf36	0.65475
BNC2	0.665
HIST1H4A	-0.39825
NDUFS3	0.0803333333333333
WDR3	-0.6515
XKR4	-2.587
TTC33	-0.401642857142857
STMN2	3.2995
CPN2	-0.539
HSPC105	1.133375
PCOLCE2	-4.0555
C3orf55	0.528
KLHDC9	3.17083333333333
TBC1D23	-0.02
ATXN2L	-1.12983333333333
MAP2K3	0.211333333333333
SCAP	0.009
ZNF486	-0.0351666666666667
C20orf96	0.44325
NARS	-0.291
ADAMTSL1	-0.988642857142857
PRCC	0.933
CCDC126	1.45825
ZNF675	-0.1755
CALCOCO1	0.5055
ANKRD43	2.34225
CWF19L2	-0.503833333333333
ZBTB32	0.641
BRAF	-0.4745
ODF4	0.49675
MGC14376	0.584
HORMAD1	-2.28733333333333
AAK1	-0.189166666666667
PEBP1	0.925583333333333
TNFSF5IP1	-0.2585
DKFZp564N2472	0.24025
RMND1	0.512375
IGKV1-5	1.866
COL1A2	3.52583333333333
SERPINA5	0.24
AANAT	0.373
C19orf21	1.49283333333333
GEMIN5	-0.133
UBR4	0.00149999999999999
LTBP3	1.43516666666667
AMHR2	-2.56133333333333
PROCR	-0.76575
MYBBP1A	-0.30775
C20orf39	1.80866666666667
ZNF697	-0.20375
PASK	-1.0008
ZNF776	0.986
RFXDC2	0.07825
KIAA0467	-0.11
C10orf96	-1.919
ZNF503	-1.24275
GULP1	-2.40966666666667
KCNE4	3.5095
DKFZp434K191	-0.396125
LOC196913	-0.7035
BHLHB4	1.24
CH25H	0.317
LOC81691	-0.365666666666667
ALPL	0.00114285714285715
COL12A1	3.7855
FOLR3	-2.88833333333333
GPR123	-0.31575
TRIM62	0.446714285714286
ABLIM1	0.0726666666666667
MAST3	0.32125
RHBDD1	0.753
LOC338809	-0.284
RYBP	1.04325
TTC26	-0.16625
ZNF22	0.498666666666667
ISCA2	-0.14925
RDM1	-1.752
PIGM	1.32925
GNB3	-0.6495
ACTR2	0.0952
HMGB1	0.13575
EDG1	1.16916666666667
SOAT2	-3.60925
OR10AD1	0.8675
RAP1GDS1	0.536833333333333
LCE1F	0.447
ESM1	-1.571125
RCN3	2.2315
CREBL1	-0.71175
DBNL	0.166166666666667
PTGER3	3.385625
USP30	-0.0335
BCL2L12	-0.745
KIF26B	2.62975
ZNF416	0.236
ZNF225	-0.193
C17orf70	0.10375
ZNF554	0.33975
RAE1	-0.996166666666667
TNIK	0.652166666666667
ACTN3	0.392
MGC45922	1.0925
CCNA1	-1.642
RYK	0.232
IL26	0.3855
LRP3	1.0215
QARS	0.29
SOX7	0.118857142857143
BID	-0.61525
OR2S2	0.3505
CXCL14	5.6775
C11orf47	-1.295
MGC29891	0.700333333333333
HSPB8	2.8219
PRDM14	-2.824
NUFIP2	0.4495
MNAT1	-1.198125
ZDHHC2	-1.4695
MBNL2	0.723125
ADD3	-0.00937499999999998
CSNK2A1P	-0.8605
KLK6	-3.01216666666667
TMEM111	0.3436
KIAA1279	0.86325
NUBP2	0.663666666666667
RAB42	-0.438
ID3	-1.2639
TM9SF1	0.458
MDP-1	-0.35175
POU4F2	0.405666666666667
IQCK	2.19875
C16orf14	-0.0425
CAPN3	-2.02575
FAM43B	-0.145625
RECQL	-1.18425
AP1G1	-0.754357142857143
CTNNBL1	-0.638166666666667
ECHDC1	-2.2975
SMARCC1	0.1731
FOXQ1	-0.875625
GNAI3	-0.206
POLG2	-1.92675
CD4	1.386875
ITLN1	-1.70975
EBI2	2.38
IRF1	0.7405
PTPRE	2.4801
PTK2B	-0.2085
NXNL2	0.798
SOX4	0.571333333333333
TSPAN3	0.837333333333333
SH2D1A	-3.47833333333333
C8orf58	-0.2945
USP20	-0.8545
DUSP22	-0.754083333333334
CALB1	-2.75116666666667
L3MBTL2	1.49808333333333
MCRS1	-0.36275
TMEM118	-1.1825
C18orf8	0.460666666666667
FLJ10241	-0.1505
GJA12	0.28725
PKD1	-0.310666666666667
ZFP3	-0.191
JAM3	-1.69925
LAPTM4A	1.6441
DIRC2	0.244
KIAA2022	0.374833333333333
MYOM1	-0.112166666666667
TRPM8	-2.79416666666667
MOP-1	1.457
PHKG2	0.307125
ZNF650	0.970875
KIAA1522	1.5435
PSG8	-2.01816666666667
DDX19B	-0.4885
MOBKL1B	-0.26775
DIAPH2	-0.337916666666667
PTPN12	-0.33625
CLN8	0.7763
CRYZL1	-0.218666666666667
CRY2	1.156
FCGR2B	3.866
PNPLA4	1.95225
ZNF454	-0.281
DKFZp434B1231	0.18725
CLDN11	0.2906
RFWD2	0.796333333333333
CIB2	-0.819333333333333
MXRA8	2.855625
HRK	-0.6315
MAML2	-0.84225
C4orf31	-0.725
C6orf192	-0.07975
COG6	0.58
FAM5B	3.59125
NFATC1	0.6559
SEPT10	-0.1495
SCYL1	-0.1946
RPP40	-0.5925
SCOC	0.2553
KIAA1450	0.22425
CTDSPL2	-0.401
TBX5	1.22316666666667
NAPG	-0.322
RHD	-4.5525
C14orf45	2.5065
ZBTB22	0.717
PLCG1	-1.466
ANKRD10	-0.993625
AQP7P2	0.5905
TAGLN2	0.588666666666667
HTR2C	-0.6836
SLC16A7	-1.86033333333333
C17orf83	0.258
TSGA14	-0.31275
MDH1	-0.24625
PPP3R2	0.2395
DCBLD2	-1.99957142857143
RBM33	-0.78575
DPH3	-1.9285
SYT10	-1.30716666666667
FMO4	2.1705
THYN1	-1.58225
DRD5	-2.1855
OTOR	1.19
PGRMC2	0.2447
KATNAL1	0.10975
PAQR6	-1.53925
UBE2I	-0.302
C14orf28	0.4185
C8orf70	0.07625
FLYWCH1	-0.222
ANGPTL3	-1.38675
GLRX2	0.117
ATP11A	-1.15842857142857
ARL5B	-1.112625
MUC16	-1.9405
SLC25A5	-1.06321428571429
ACRC	-1.34525
MYO1C	0.5505
FAM89B	1.11683333333333
FAS	0.220875
KIFAP3	1.639
GLRA2	-1.059
BTN3A2	0.2182
CNKSR3	-2.079125
CSTF3	-0.490833333333333
ARPM1	1.07375
KIAA1530	-0.5505
C9orf150	1.86816666666667
PRKCI	0.06475
tcag7.1015	-0.99425
SOD3	-1.87375
ZNF574	0.45225
CYP21A2	1.6365
RPL12	-0.1095
COMMD2	-1.12975
WIZ	0.26625
LOC344405	-1.29675
ALDH4A1	-0.331
CRYAB	0.37825
COPA	0.841033333333333
PCDHGA7	0.797166666666667
KIF11	-1.53141666666667
RASD2	0.30425
SLC26A3	2.954
ZNF175	-0.8935
JAKMIP2	-2.053125
C8orf4	1.80833333333333
PTHLH	4.6955
SLC40A1	5.48775
OR7D4	0.716666666666667
PCDHB17	-0.642
CD36	2.18671428571429
C6orf203	0.5889
PRKG2	-0.1075
LOC400566	2.004
ANAPC13	0.5685
SLCO3A1	-1.008
ZNF692	-1.2805
FANCL	-1.856
SH3GLB1	0.551
C12orf61	-1.0025
KBTBD6	1.13125
SUPT5H	0.188625
XRCC6	-0.2109
HUS1B	-0.9132
FAM133B	-0.359571428571429
LOC728276	0.67
KCTD18	1.00175
SOS2	0.871333333333333
CCDC99	-2.19775
C1QTNF5	3.137
NNAT	1.0655
USP16	-0.09575
LARS	-0.665625
ZBTB2	0.636125
ABO	0.0786666666666667
TRAF3	0.02875
GALNT5	-2.271
NAP5	2.281375
ALG14	1.10016666666667
KIAA0515	0.152192307692308
WDR75	-0.5525
TEX261	-0.22675
LY86	1.478
LOC389072	-1.2315
FLJ13611	0.2005
MRGPRX2	0.05
SNRPA	-1.113
OR2G2	0.362
GPRASP2	0.68825
C7orf42	0.2816
C9orf163	-0.5285
CYP11B2	2.139
FCRL3	0.724333333333333
PRDX1	-0.25575
FGB	-7.26383333333333
COX17	-0.0396666666666667
C16orf33	-0.0535
PIWIL1	0.0691666666666667
FOLR1	-2.0685
KIAA0082	-0.025
FREQ	-0.759
TMCC2	-1.81366666666667
TCF12	0.474
ZNF721	0.16375
FAM130A2	0.3955
POU4F1	-1.90925
SNRPF	-1.117
SGIP1	1.96933333333333
ZNF641	0.822333333333333
EMG1	-0.48625
PRRG4	1.394
HIRA	-3.43425
MYNN	0.305333333333333
AEBP2	-0.376583333333333
TBXA2R	0.264333333333333
ISL2	-1.7205
PCDHB11	-0.933
RNF144A	0.308625
MARCH5	0.65175
DULLARD	-0.218666666666667
DCLRE1B	-0.63
ITGA8	0.26525
TP73	-0.14725
PRKCD	1.88575
NDUFB4	0.02875
ATP13A4	2.815875
ANTXR2	-0.991666666666667
COL4A3	-1.1395
MYO10	-1.2901
SLC6A18	0.404
PEX1	-0.07475
TMEM74	-1.21316666666667
RBM19	0.27325
TAPBP	0.9033
RUNX1	1.6345
MID1	-2.68033333333333
GPR64	-1.37733333333333
RASEF	4.288
GABRG1	0.8474
MYO16	-0.732333333333333
DBF4	-2.32783333333333
TSHZ2	1.51725
RIPK2	-0.153125
PPTC7	0.0391666666666667
KIF4B	-1.4295
LRRC31	3.8155
ZNF540	1.83525
EFNB3	-0.333
LOH12CR1	-0.133875
STON2	1.584
GLP1R	0.424
CSTF2T	0.46825
IREB2	-1.205
GRSF1	-0.19275
PDCD7	-0.441333333333333
LRRC43	2.321
CNR1	-0.503
IL1F7	-0.083
C12orf64	-0.641
FAM69B	-0.18875
NR2E1	-1.79266666666667
MS4A6A	2.8105
FTL	-0.5814
C7orf36	-0.12175
PCLO	1.3487
DYRK2	0.370166666666667
ARIH2	-0.49175
SAMD7	0.364
SCNN1D	-0.77125
SLC32A1	-0.825125
C22orf25	-0.141166666666667
MRPS18A	-0.1326
GPR112	-1.157
EARS2	-0.12125
ERN2	0.7895
ATPBD3	0.362666666666667
PRH2	-0.249
CDKN2D	-0.901
PGLYRP2	2.45375
TRIM40	2.36375
SEC14L3	1.0816
SLC22A1	-1.05775
BTN2A3	0.133
RASA4	-0.31325
CCNL2	-0.584916666666667
MYBPC3	0.5755
GJA4	2.72675
CDC42SE1	1.063375
TRPV2	-1.177
MYPN	-3.9694
SIM1	0.0335
CDADC1	0.526
ZFHX4	1.406
NIBP	0.966166666666667
ADAMTS19	-3.2105
ABTB2	-1.7985
TSPYL2	-0.740125
EIF2S3	-0.6259
SOX30	0.016
AP2A1	0.086
DKFZP564O0523	-0.407333333333333
LOC285398	-0.02775
CDH18	-5.93075
CHL1	1.078
GATS	-0.7742
TBC1D2B	0.19
OR1J1	0.927
GSN	1.20566666666667
DPCR1	0.433
GARNL4	-0.399333333333333
SMARCA5	-0.35275
PLEKHG3	0.866166666666667
ZBTB45	0.6605
FRMD6	0.468
PLS1	-0.798333333333333
DGKZ	0.637
EFNA1	1.1702
WDR85	-0.934875
ANK2	-1.00875
PAGE4	-1.1104
SENP6	0.421833333333333
AKR7A2	0.847833333333333
FKBP10	-2.21825
VEGFC	-2.40433333333333
LARP1	-0.245625
SRBD1	0.1705
ITGB6	3.6865
SLC1A2	0.183
INVS	-1.275
MPO	0.52675
MOBKL3	-0.0814
CUTL2	0.89575
KLK2	-0.0828333333333333
VIM	-0.883
REG1B	-0.26
PCDHGC4	1.18475
C3orf34	0.3975
SUMO3	0.0403333333333333
CST9L	6.47075
MLL4	-0.54575
SPR	0.871333333333333
SAMD9L	0.5625
ABCE1	-0.353
SUPT3H	-1.24383333333333
ACTBL1	1.6095
ADAMTS4	1.33516666666667
SLIT3	2.9695
RHEBL1	-1.49475
NPM2	-2.04125
MAN1C1	0.228
KIAA1856	0.904916666666667
HSPA6	1.16975
LOC388152	-0.7835
C10orf140	3.289
ZDHHC12	0.086
LIN7A	-1.4829
PHC2	0.163416666666667
SPHK1	-0.34725
TRIM26	0.376875
FAM83E	1.474
C18orf24	-2.39183333333333
ZNF578	-0.0458333333333333
ORAI1	-0.19275
RUVBL1	-0.252166666666667
C7orf20	-1.107
APAF1	-1.849
SLC36A4	-1.991
MYH11	2.884
NEK1	0.7161
MPP2	-0.351375
C12orf24	-2.471
TNK2	0.72925
ZNF289	-0.21475
MATN3	-0.320857142857143
IFNGR2	1.3505
ITPR1	1.05325
EBF3	3.0393
TBC1D20	-0.101
OR10P1	0.375
DDAH2	1.50575
SHPRH	-0.0855
STX7	-0.7135
LOC554248	-1.416
BCAR1	-0.466
ATXN3	-0.0584166666666667
TRIM27	-0.04825
CDC42EP2	-0.002
CHP	0.279714285714286
SOX17	1.94875
ZNF259	-1.711
CHCHD1	0.562625
ZDHHC19	0.5635
GBP2	1.8185
GARNL3	2.138375
MRC2	0.63925
C1orf52	-1.2105
AOF2	-0.5045
LRPPRC	-0.1193
ACVR1C	-0.6805
TM4SF18	3.585
TMEM169	-0.2354
PPP1R16A	0.361125
EBF1	0.303333333333333
RRS1	-0.480333333333333
SNX2	-0.21175
OR2T2	0.4455
RBX1	-0.282
ANKRD54	0.692
TSNAX	1.06866666666667
TMEM83	-2.1375
ZBTB7A	1.48875
ATM	-1.498
LOC338328	1.84366666666667
TIE1	1.0485
HIST1H3G	-0.195833333333333
PASD1	-4.51866666666667
TINAG	0.9095
PCDHAC2	-0.668
LRRC15	1.691125
WBSCR17	0.74175
TFF2	0.943
PARP2	-1.292
NDFIP2	0.142125
PCDHGB2	0.056
WDR60	0.2175
MAP7D2	-2.82944444444444
USP45	-1.0445
GSDML	-1.58725
TNS1	-0.5693
PLCD4	-0.578
IQCD	0.975166666666667
SMPX	-2.98875
CD9	0.582666666666667
SRGN	1.26025
CASP7	0.195
INOC1	0.18
DKFZp451M2119	-2.47425
VMAC	1.2745
USP53	0.9929
CAMK1G	-0.786375
TMEM106A	0.352333333333333
CDC20	-2.2503
ACSL5	-0.0668333333333333
CBWD5	0.162
C1orf87	-1.702
KIAA1274	1.384
PRUNE2	-2.66485714285714
LYPLA2	0.298166666666667
DOK6	-2.11633333333333
GPR149	-0.1765
FAM30A	0.75325
TMEM129	0.3475
SLC35B3	1.01975
ACPP	-0.4208
LOC200261	-1.574
SLC4A7	0.1128
CCDC40	2.50975
GART	-1.459625
THOP1	-1.072
SCARB1	-0.676625
CACNA1F	-0.148
TRIAP1	-0.2685
SYT14L	-0.067
SFRS8	-0.351166666666667
PBOV1	0.1835
GOLSYN	1.94125
GJB7	-1.7035
CAMK2N1	0.319083333333333
GREM1	2.75775
FLJ20433	2.23675
QPCT	-0.2675
PRKAG2	1.06933333333333
H2AFX	-1.62975
C6orf154	1.7165
PLOD3	-1.164
ZBTB39	-0.940166666666667
WASF3	0.299166666666667
DRG1	-0.57525
PRR4	-1.171
SPCS1	-0.22
KDELR3	0.457
SRP19	-0.426666666666667
GABRA6	1.15975
MFSD1	0.72475
MMEL1	1.6955
PDXDC2	-0.375
BUB1	-3.82877777777778
RNF138	-1.102625
MYLPF	-1.03183333333333
AIF1	1.49616666666667
DYNLRB1	0.3008
HCN3	-1.524
HIST1H2AI	0.67775
MAP4K5	-0.112
LASP1	0.67775
LOC130951	1.738
PLAA	0.556
KRT6A	-3.3305
C6orf117	-2.820625
ARHGAP23	-0.495
PTF1A	0.2135
GPHA2	-0.37825
LCE3B	-0.0145
MCL1	0.748642857142857
EHBP1	-0.8715
PRNP	-1.26133333333333
ZSCAN1	0.5085
C1orf113	0.263
FOXA3	-2.814625
NEB	1.197
ASGR1	-5.07616666666667
CTGF	0.476333333333333
RAB17	0.392833333333333
