Hybridization REF	TCGA-A8-A07E-01A-11R-A034-07
C20orf186	0.4495
MAPKAP1	-0.31825
SPRR2D	-1.48675
UBQLN4	-0.478166666666667
RSHL1	0.458666666666667
PIAS3	0.676875
MRPL24	-0.10875
GREB1	-2.448125
FAM27E3	-2.6535
NUP62CL	-1.3635
NEUROG3	0.7435
REEP3	1.5685
MARK1	0.4845
LMBRD1	0.3415
PRPF19	-1.555
PNMT	-0.899833333333333
CTGLF1	-1.1845
SLC25A16	1.0855
EIF2B3	-0.9045
RPA2	-0.29375
PAK6	1.47
CCDC26	-4.05425
SEMA3E	2.586375
MXD4	1.5184
TNFSF10	4.3254
SMARCB1	-0.6445
DTX3L	1.4545
PLA2G4E	-0.6475
PPAP2A	1.22825
ULK1	-0.17675
TAS1R3	0.894
SLC2A3	-2.69
ARID3A	-1.88725
GNG5	-0.16975
ACOX1	0.1638
KIF5B	0.17
NUP153	-0.772
MUC7	0.824
CSDE1	-0.0865714285714286
CLPTM1	-0.367
C3orf23	-0.169375
LRRC17	-0.236666666666667
TTYH3	-0.016
ATP5B	-0.933
ELF3	1.8078
CPSF3L	0.195
ZNF665	0.448333333333333
TLR6	0.4269
GPI	-0.4315
RAD9A	-0.584375
NDST4	-4.11625
AGPAT3	0.54325
MAGI3	1.66916666666667
ADORA2A	-0.074125
CACNG7	-0.2415
CAMK2D	0.886714285714286
CCHCR1	-1.0235
RPS27A	-0.4305
OR10G7	0.1735
GCM2	0.2925
FAM135B	0.6749
E2F1	-1.053
PLCB3	0.328
OR2AE1	-0.2195
COIL	-0.579666666666667
CDC25C	-0.953166666666667
RAB11FIP2	0.357916666666667
TSC2	0.1455
CTGLF5	-1.7885
CCDC108	0.1347
OR13C4	0.00750000000000003
C10orf81	6.2425
PTPRB	2.442
ACP2	0.55175
LAG3	0.6685
MRPL54	0.45
LOC201175	0.2305
ITGB1BP3	-1.05525
SPTAN1	0.2235
SIPA1L2	0.498
RCAN2	0.112
CDX2	0.2185
ECOP	0.49625
ACTR1A	0.818857142857143
PPARG	-0.173666666666667
BBS10	-0.212166666666667
TMEM44	-0.492
BPIL2	-0.124
CITED1	-1.255
IRF6	3.5915
PRDM4	0.424666666666667
RRP9	-0.767333333333333
OR10H4	0.487
IL31RA	-0.3485
GNB1L	-1.27766666666667
MYBL2	-1.32775
ZNF407	1.05883333333333
PPIG	-0.179
TTC18	1.14825
RPSA	-0.589
MAPT	1.36075
MRE11A	0.184428571428571
C8orf37	-0.870833333333333
RASGEF1C	-0.0948333333333333
STBD1	0.901
CTAG2	-0.610666666666667
MGAT5B	-1.69083333333333
ECM1	1.622
RLN1	0.0525
PARP14	0.976875
EPB41L1	0.3057
HOXA3	-0.798416666666667
MAGEA9	-4.66975
RPS8	-0.218
RPS19BP1	-0.38725
FOXJ2	0.53775
C10orf76	0.403625
IL17RE	0.022
C10orf65	-1.9495
ZNF343	-0.127333333333333
FBXO33	-0.055125
UHMK1	1.5012
LY6G6C	-0.1225
FGF19	-2.59175
C14orf128	-0.571666666666667
IFIT2	2.851
TIGD1	-0.70875
S100G	-0.151
GUCY1B3	3.0975
NR3C1	-0.0744
CORO1B	0.4635
PARP11	0.745166666666667
DNALI1	0.863166666666667
OR4N4	0.36925
MAP2K6	-0.0605
FSTL4	-0.2285
ANKRD47	1.59325
TMEM171	-0.74
PNLIP	0.70675
YY1	-0.0275
CCDC138	-1.59683333333333
AASDHPPT	-1.117
CKS1B	-0.6064
MCM3	-0.9275
ANAPC7	-0.316
FAM110A	1.5895
CDC37L1	0.953666666666667
THTPA	0.3335
NBPF20	-0.517
WDR24	0.031
NPTX2	-2.53825
CBLB	0.789
CETN1	0.25
RPUSD1	0.218
FAF1	-0.4285
CDK6	-2.1701
HMX2	0.0345
CSK	-0.183666666666667
TEAD2	1.14125
SNAP25	-0.55125
TUFT1	0.9195
TMTC3	1.177
LCK	-1.1185
SGOL1	-0.805333333333333
AKTIP	0.95775
FURIN	0.921625
SOX12	-0.153833333333333
DEFB103A	-0.65175
RAMP1	1.2025
KIR3DX1	0.5455
GAS2L3	-0.06025
PDE8A	0.0023
EDN3	1.182
GMIP	0.87725
SF3A2	0.3935
FN3KRP	-0.01325
SMAD7	0.688
RHBDD2	0.52925
OR11H6	0.0765
PPP1R3B	0.5907
C9orf23	-0.1575
CADPS	1.7415
GOLGA8A	-3.7515
TMEM57	0.812333333333333
RGL3	-0.4515
S100A14	2.972
FGFR2	1.31675
XRCC3	-0.84775
RTN4RL2	0.37925
MGC3771	-0.0035
GH2	0.0763333333333333
BTBD2	-0.00175
LMO2	0.967
RDBP	-0.662625
ACRBP	-1.6125
AMY2A	0.5515
DUOXA1	0.6865
PTK7	0.8385
TWF2	0.374666666666667
FAM80A	1.12425
TNNI2	-3.1355
GLT25D1	0.0951666666666667
OCC-1	-0.93275
CYC1	-0.582833333333333
RPL22	0.0231818181818181
MORN3	0.664333333333333
DISP1	0.88775
PRB2	0.1815
CHUK	0.1265
HR	0.77575
CCDC134	-0.2015
DENND4B	-0.96275
C14orf130	0.304125
RAB33A	-0.384
DCST2	0.1975
TNMD	0.12775
PEX7	0.54275
FAM62A	0.500875
SRD5A2L	0.60125
IL22	-0.0295
RPS26	-0.965333333333333
HOXC5	1.0035
SPATA6	1.175
FLJ38482	-0.850375
ZNF234	1.0175
C18orf22	0.7985
SPATA22	1.081
THOC1	-0.30225
CYP7B1	4.419
KCNC3	0.52275
C8orf42	-0.9735
ALDH1B1	0.180166666666667
CCDC100	-0.1395
ARMC4	-1.123
FAM18B2	-0.0255
SLC44A1	0.70425
FBXO17	-1.23266666666667
C6orf107	-0.15825
C19orf29	-0.08325
ZC3HAV1L	0.00575
PARP6	-0.4359
SULT2A1	-4.815875
C1orf159	-0.6475
TMC1	0.23975
CHST14	0.465
GAMT	-0.940333333333333
SMCP	-0.103166666666667
TSPAN33	1.31716666666667
MIDN	0.42175
NOX4	3.488
RNASEN	-0.6056
TBX1	0.925
SALL2	-0.816
C10orf35	1.414
CYP2E1	-1.30425
LRFN2	2.20366666666667
ACO1	-0.813166666666667
IQCG	0.3377
MEGF9	1.5665
TM7SF4	0.94175
PLEKHA1	0.921066666666667
STK33	-3.018
C1orf210	2.09175
SNUPN	0.0241
KIAA0406	-0.9879
C20orf29	0.405
TMEM55B	-0.27675
OSTM1	-0.8165625
CLCN7	-0.43225
OTP	0.39625
FLJ23049	0.994
HEATR4	-0.3345
MAP3K10	0.294333333333333
PCDHGA9	-0.095
AMDHD2	-0.02
LCTL	-1.5725
PDCD2L	-0.615
CABLES2	0.013
SLC5A9	-0.55725
CLCA2	2.756
MGC16025	-1.1985
STRAP	-0.267833333333333
C20orf196	-0.3395
RRBP1	0.5805
NAT13	-0.32425
MAT2B	0.083875
CSNK1D	-0.6895
KIR3DL1	0.064
PRKAG3	1.0165
ZNF599	1.2895
PRM3	0.161
PER2	1.229
ASPHD1	-2.717
PRMT6	-0.1675
KCNE1L	-0.585285714285714
FAM118A	-0.938833333333333
TAF4	-0.71025
NDUFB6	-0.44775
TRIM9	-1.06183333333333
PMFBP1	-0.95825
KY	0.324
DKFZp762E1312	-1.64381818181818
CSMD1	-1.487
TBP	-0.518833333333333
OR1Q1	0.5795
RETNLB	0.0635
HPGD	1.01235714285714
DNAJC12	-1.38033333333333
FKBP1B	-0.95875
ANKRD24	-0.204333333333333
CXXC5	1.00683333333333
IL3	0.0531428571428572
DRAM	1.2643
PTCH1	0.033625
TP53BP1	0.08075
SLC17A7	0.0702857142857143
COL25A1	-1.1734
AMACR	0.319333333333333
RHCG	1.8295
VPS13A	-0.538
FAM55D	-0.1035
PRPF38B	-0.65425
OSBPL6	0.5735
PFDN5	0.3557
CMTM6	1.438
KCNK12	-1.70775
RP2	0.6995
C16orf52	-1.576
PICK1	-0.349
IFNE1	-1.58716666666667
SEMA4B	0.397
TYRO3	-0.82325
OR12D2	-0.3215
CSNK1A1	0.80015
FANCF	0.9665
LONP2	0.91875
TBL1Y	0.37125
LDOC1L	0.182375
CCNC	0.06475
C3orf60	-0.34525
CHKA	-1.375
UBAP1	0.1545
MAP3K1	1.877
ANKRD9	-0.58125
FAM92A1	-0.804
GAB2	0.201
AZU1	-0.0455
DIS3	-0.64425
C21orf109	-2.0415
IQCB1	-0.484
SPATS2	-0.278833333333333
EFCAB3	-0.42175
PRB3	0.314625
FUZ	-0.6855
ZNF813	0.570125
BMPER	-1.235
HEG1	0.886125
ALS2CR11	-2.20025
SURF2	-0.19475
PSMC1	0.0236666666666667
OR2D2	0.795
SLC7A8	1.24366666666667
C4orf40	0.4165
SPATA7	-0.022
MAZ	-0.57575
PIN4	0.9005
PDE1A	0.39175
TAF6L	-0.398833333333333
OR2T34	0.42
KIAA0284	0.819
ACADS	-0.536090909090909
MKRN2	-0.532
C18orf56	-1.79925
MS4A6E	-0.382
GALNT4	1.1102
C22orf31	0.5345
FLJ36070	0.688
PSME4	0.4655
TFG	-0.0333
EPHX2	0.171625
ANXA5	0.280625
KRTAP1-1	-0.178555555555556
BATF	0.512
KARS	-0.21875
MSTP9	-0.9
GPR26	0.08375
CCDC72	0.6525
TEF	1.4885
FOXK1	-0.5708
PRLHR	0.1625
EMX1	1.15275
C11orf30	0.119
ICK	0.468125
THSD7B	0.465
C21orf100	-0.9545
DUOX1	2.7895
EFCAB4B	0.29
UBE2G2	-0.928666666666667
C3orf54	1.32475
PARP1	-0.138
FAM60A	-0.8855
C6orf146	0.2945
OR9K2	0.396
DDX55	-1.243
RPS15	0.0501666666666667
ZNF618	1.0414375
DKFZp686D0972	0.616
SSPO	-0.748
SHFM3P1	0.488
CPA6	-0.68125
JAG2	1.214
DEFA3	1.407
PPBPL2	0.218833333333333
CD34	5.288375
SLCO4A1	-3.291
AFG3L1	-1.9715
SHD	-0.53725
RP13-122B23.3	-0.301666666666667
PRKCSH	-0.775333333333333
DPH5	-0.8
HLA-F	1.592875
TBC1D4	-1.0475
RIG	-0.6996
GLUD1	0.325833333333333
HNRPCL1	0.47225
HBXIP	-0.459
RNF207	-1.649
APIP	-0.56775
PLA2G3	-1.97416666666667
CCDC84	-2.20275
MYLIP	0.181538461538462
PHIP	-0.12175
AARS2	-0.326833333333333
DHX32	0.78775
SCAPER	0.252666666666667
MEN1	-0.219625
NIP7	-1.043
FLJ25404	0.814
FASTKD3	-0.88725
TMEM158	-2.5975
RARA	1.119
BDH1	0.048
ANKRD16	1.59625
CARM1	0.2725
SS18	-0.292833333333333
IKZF2	1.99716666666667
MYD88	0.842875
PML	0.86505
TAF1A	-1.219
CBFB	-0.231875
HIST1H3H	-1.89233333333333
C7orf29	-1.765
COMMD4	-0.513833333333333
DPP3	-0.35225
DAB2	1.668125
LOC388882	0.126
YPEL4	-0.671875
AGBL3	0.7715
LRP6	0.298
SERPINH1	0.64075
TLE1	0.67025
CD244	1.09716666666667
ZDHHC15	0.83475
MGLL	0.8767
PLDN	0.18725
LOC654346	1.6435
FAP	3.978
GPR37	-0.0801666666666667
SCARA5	3.16466666666667
EBF4	1.78481818181818
LSM6	-0.68675
MLLT1	-0.173125
SLC5A12	0.82125
A2BP1	-1.46033333333333
COPS5	-0.241333333333333
TPM4	0.664642857142857
TNFSF4	2.58883333333333
ACADSB	0.508666666666667
HERPUD1	-0.1965
BCL2L11	-0.188166666666667
CEP78	-0.74325
CDCA3	-1.047375
WBSCR19	-0.3222
MYO1A	-2.523
PPEF1	3.05933333333333
LOC440348	-1.14475
CPEB2	0.78675
BPTF	-0.349416666666667
RPL21	0.0858125
GSX2	-0.074
ADPRH	1.52966666666667
C17orf68	-0.376
KCNS1	-0.502333333333333
MLLT6	-0.1763
PIWIL4	0.8175
RNF26	-0.934
RAP1B	1.02725
ADAMTS1	-1.1965
ZNF571	0.4535
P2RY6	0.07775
TRIM21	0.889
CADM3	0.36625
NLRC5	0.4785
ADRA2B	-0.145833333333333
LOC90835	-0.93175
PCF11	0.16225
LOC400451	1.45225
GLTSCR1	0.5492
C17orf88	-0.748166666666667
CDH16	-1.87575
FGF7	3.420375
PCSK4	1.03583333333333
NPC1L1	-0.7495
TAT	-0.196142857142857
TBCA	-0.6215
MGC33407	0.53425
GPR115	-1.0955
CYGB	0.937
FNBP4	-0.971
C12orf43	-0.28575
CBL	-0.4284
CLECL1	1.15475
PPAPDC1A	2.14875
WDR25	0.216333333333333
SGCA	2.339
C22orf29	-0.2955
YIPF1	1.5155
GALK2	-1.2035
RAB3B	-1.31866666666667
LOC440087	-0.235
UCP1	-0.4775
REEP5	1.073375
FADD	1.5022
FOXA1	2.898375
CACNA1A	0.219666666666667
ABI1	0.039
GRIN2D	0.5125
SLC1A4	-0.0675
LOC401127	-0.19075
HINT2	-0.26175
PLD4	0.464333333333333
ZNF286A	-1.45975
ENY2	-0.44525
IL1F6	0.5815
PXDNL	1.64825
C20orf79	-0.324
TNFSF13B	3.31633333333333
DENND3	0.728625
JARID1D	-3.125
HIST1H2AK	-0.69575
LOC93349	-0.2298
SSH1	-0.5858
ENSA	0.13225
LOC219854	-0.495166666666667
CKAP2	-0.2368
DKFZP564J102	0.986666666666667
MGC87315	-0.397
HNRPAB	-0.05925
AMH	-1.7115
ZNF526	0.757
BRUNOL5	-0.323
CACNG3	0.154833333333333
TRPM1	-2.2425
PPP2R1A	0.261875
COL2A1	-1.86325
DDN	-0.169166666666667
FLJ25770	1.26708333333333
HK2	-0.375642857142857
ELOVL6	-1.902125
MDK	-0.506
EPHX1	0.636
RASSF2	1.579625
DKFZP434B0335	0.04525
DLX3	-0.06575
PRTN3	-0.6285
AVPR1A	2.39325
C21orf125	-0.80125
TNFAIP8	0.1085
GNB2L1	-0.27425
CALCRL	3.8465
SCGB2A2	7.54116666666667
UBXD7	-0.1985
ZNF674	-0.752
TMEM35	1.05075
BRSK2	-1.15625
HECTD3	0.222833333333333
TMEM188	-0.259833333333333
LGALS9	1.982625
SCARB2	1.8345
USP34	0.17875
C17orf28	0.9115
ZDHHC23	-0.4295
AQP12B	0.1745
SLC16A3	-2.714875
APLP2	-0.087375
ITIH2	-5.48875
MICAL3	-0.953625
TNNI3K	0.6042
HDAC2	0.26025
PRR7	-0.4113
THBS2	1.36125
LOC751071	-0.369666666666667
CA2	3.3145
RANBP17	0.06425
RLN3	0.011
CRYZ	-0.940166666666667
GBAS	-0.301
TAS1R1	-0.28225
MPZL3	-0.0435
PCDH8	-0.805
HSP90B1	-0.0935
KCNK15	0.405
TNIP2	0.418666666666667
GPR146	0.9995
NOL6	-0.139125
SPC25	-1.78688888888889
STEAP2	1.49492857142857
VAMP3	0.129166666666667
TCIRG1	-0.13275
ZP4	-0.0936666666666667
PARL	0.0825
TRIM39	0.177333333333333
KIAA1305	1.88325
CRNN	0.110666666666667
GRN	0.217
HSH2D	-1.5465
SCAMP1	0.676125
KIAA1913	1.74975
PTS	-0.71
BANP	-0.0437142857142857
PRKACG	0.5225
ADCY6	0.584666666666667
C16orf46	-0.1715
CYP51A1	-0.103875
DDC	-5.6785
ANPEP	1.51133333333333
PROM1	-0.1995
SIGLEC10	1.4225
COPG	1.0215
FAM26E	2.451375
TRIP4	0.4695
SNX3	0.616833333333333
C1orf175	0.279333333333333
PPY2	0.709
C14orf152	0.26625
FTSJ1	-0.808333333333333
DST	0.31975
LOC554235	-0.09775
GLRX5	-0.10775
C20orf12	0.6989
CAB39	0.395333333333333
MSH2	-0.938666666666667
PIP4K2C	0.4855
CYLD	0.746375
WTAP	0.8085
MGAT4A	1.06733333333333
TSC22D4	-0.513
CHRM2	-0.3645
PPYR1	0.0141666666666667
CCNH	-0.591
RRM1	-0.85225
ECAT8	-3.13175
LOC400120	-0.9945
GABRA4	0.21675
C14orf4	1.055
C1orf59	-0.03825
CTDSPL	1.04508333333333
NHEDC2	-0.465
PDE11A	-0.7285
KLHL29	0.024
CD5	-0.0232
TSPAN9	1.8108125
WDR67	-0.094
THUMPD1	0.3926
C18orf17	-0.53775
CLYBL	0.0191666666666667
FLJ13231	-0.185625
CMBL	0.157875
LECT2	0.18275
NKAPL	1.99666666666667
LOC654780	0.4515
OR4C6	-0.557
RAB30	2.11016666666667
TSSK4	-0.2395
TMEM163	1.686
OSBPL11	0.140166666666667
GNB5	-0.785
CCL21	1.866
C1orf121	0.724333333333333
FMO2	1.85633333333333
RPTN	0.535
MSTN	0.31
VCL	0.538357142857143
FYTTD1	0.4455
C11orf1	-1.282
CCDC88C	0.476875
HFE	-0.726222222222222
MOGAT1	-1.725
FAM125B	0.884333333333333
IRGQ	-0.341
RAVER2	-0.04825
AKAP5	0.02
SSSCA1	-0.39275
C11orf63	-0.00874999999999997
ACTG2	1.1305
PORCN	-1.213
DTL	-1.00936363636364
TMEM151	0.25075
FAM122C	-1.29275
RSAD2	3.2827
BAT4	-0.612
KRTDAP	-0.899166666666667
MYH8	1.292875
CRTC3	0.83575
LRRFIP2	0.0486
INTS4	-0.496166666666667
TTN	-0.777833333333333
SLC26A5	0.5375
PLLP	-0.4405
RGS6	-0.30325
SRGAP3	0.422125
ZNF525	0.200166666666667
NBR2	-0.5375
C13orf1	-0.3122
ZNF137	0.252
CEP27	-1.2025
BEST2	0.3985
RNF121	-0.28025
DMRTC2	-0.327333333333333
C8orf76	-0.14825
BCCIP	0.420375
MEST	-1.13025
HTRA2	-0.1785
ANGPTL2	2.43125
ILKAP	0.0948333333333333
ERAS	0.133
HBS1L	-0.294375
CPA5	0.0975
TMEM30A	0.913333333333333
CD300LF	1.468
WISP3	1.6555
CRK	0.416071428571429
PDS5A	0.0485
BRPF3	0.231666666666667
NEDD9	-0.241875
SMPDL3B	1.3705
PSG6	-0.4785
PSMD13	-0.20225
ETV5	-1.130625
OR51A4	-0.279
BTBD7	0.877
GSTO1	-0.601125
hCG_16001	-0.179
MAD2L1BP	-0.0598333333333333
COX6A2	0.6945
SCNN1A	1.99866666666667
LSM1	-0.25
UGT2B11	5.4375
IDUA	0.7755
PPP2R3C	-0.473166666666667
COX11	-1.2665
PDZK1	-1.852
ZNF443	0.9205
MGC21874	1.257
ZNF323	1.6164
KRTAP10-10	-0.0825
CXCL6	-0.818
SLC34A2	1.904
LOC284402	0.18
NPTN	1.30691666666667
UPP1	-1.46958333333333
SLC6A9	-0.5555
OR7G3	0.142
CISD1	-0.562333333333333
ZNF545	-0.184333333333333
SYT14	-0.826
NT5C3L	-0.224666666666667
ZNHIT3	-1.005
SNRPD3	-0.70525
KIAA0701	0.389125
UNC93B1	0.339666666666667
GMNN	-1.6635
SPCS2	0.242
LOC388524	-0.1695
NAPRT1	0.307875
PNLIPRP1	0.2565
OR6V1	0.3285
PRKAB1	-0.35625
EYA4	-3.6095
KIF20A	-0.99575
ALG10	-0.17725
ITPKC	0.763333333333333
LMX1B	0.7705
RPUSD4	-0.766833333333333
C7orf34	0.197666666666667
DLGAP2	0.54325
PFN1	-0.4564
MICALL2	-0.328333333333333
ZNF654	-0.3505
SS18L1	-0.96425
SLC16A8	0.6405
MKI67IP	0.248833333333333
ITGB3	-0.307625
TCEA3	2.67558333333333
CEP152	-1.9545
CLIP1	0.80525
ZNF75	0.4395625
ATP5C1	0.535166666666667
NUDT5	1.147
PSCDBP	0.568
UBP1	-0.08375
RBM27	0.181
C13orf15	2.894625
ZNF282	0.035
ZNF222	0.1879
COL10A1	5.82975
PRDM15	-0.738875
TTTY5	-0.7525
FAM9C	0.234
C20orf67	-0.2585
GNG13	0.1115
F12	0.811
C1orf41	-0.849
CPXCR1	1.1705
GSK3A	0.233375
SUPT6H	-0.692833333333333
PI16	5.05816666666667
ELL2	-0.608166666666667
C9orf167	-1.67683333333333
PVRL3	-1.0614
FLJ38596	0.663
ADAM20	0.4205
GPR89A	0.009
GPR87	-0.7255
ZNF30	0.5835
SMR3B	-0.51375
ZNF770	0.245375
TRPC4AP	-0.432333333333333
DKFZP686E2158	0.606166666666667
C2orf28	-0.249
FREM1	0.252
LAMA4	1.59
ADPRHL2	0.14375
EIF4G2	1.18766666666667
GUCA1A	-0.061
CTNNA2	-0.070875
NUDT15	-0.138333333333333
CEPT1	0.1495
ZNFX1	0.7143
CCDC92	1.2645
TDRD1	-0.402
KCNK5	-0.487666666666667
ETNK1	-0.31425
LTA	0.401
TTPA	0.0271666666666667
B3GALNT2	0.36725
SC65	-0.213166666666667
PEX5L	-1.15616666666667
EPS15L1	-0.12475
MGEA5	-0.017375
HIST1H3A	1.1115
ING1	0.567375
BCAT1	-3.312375
ORC6L	-3.28745454545455
KLK11	2.84666666666667
C19orf28	-1.2025
DNER	-0.708875
MED22	-0.636571428571428
ETV6	1.65033333333333
CHAC2	-1.68625
CD300E	-0.193
CEBPB	0.582333333333333
ZNF398	0.059
LRCH3	0.0105
HMGA1	-1.73
CAPN7	0.0633333333333333
MGC5566	-3.20475
CCL3	2.543
NANOS1	0.7775
ZFYVE19	-0.1915
APITD1	-0.687666666666667
PARD3	0.528
IRAK4	-0.387166666666667
SERPINI2	-0.3445
CEP170L	-0.17725
TTC9	3.18775
MYOM3	-1.58175
MLPH	1.20025
LOC222699	-0.217
NRG1	-1.59133333333333
TBC1D9	2.14818181818182
TTK	-1.38983333333333
ZNF557	0.9635
DDX41	-0.412666666666667
FANK1	1.3835
UBE2D2	0.301875
PSMB10	0.2935
MYH7B	-0.5305
GABARAPL2	-0.509625
MARVELD2	1.62983333333333
DGCR2	0.4865
UNC45A	0.0876666666666667
C6orf72	0.51
ZNF683	3.884
GIT2	0.2755
CASK	0.568833333333333
C14orf161	3.18283333333333
LRRC44	0.177
TIFA	0.21425
UTP11L	-0.162625
C6orf65	0.253
FDPS	-0.000249999999999999
DUSP9	-2.0629
SLC17A8	0.189333333333333
OR51G1	0.288
NANS	0.3995
OLFML1	2.27325
ATP10B	-1.239
NPAS3	-0.31
PRKCA	-1.9318
GGA2	-0.5125
LCE4A	0.211
SPANXN3	0.53225
CCDC115	1.461375
SDCCAG3	-0.675
GLIPR1L1	0.14525
TTC1	0.01775
C17orf76	1.24125
MAD2L2	-0.743
HIPK1	0.2091
LRRC3B	-0.0631666666666667
CLN3	-1.08381818181818
C17orf47	0.5245
FMN2	-2.183
TUBB1	-0.941
WAPAL	0.812
C3orf21	-0.145125
SCN5A	-0.5771
SMYD1	-0.39475
BEX5	0.7515
ZNF192	-0.4955
SEC22A	0.204166666666667
GRIA2	0.864307692307692
KIAA0825	-0.8835
NUSAP1	-1.03163636363636
LANCL1	-0.301
C15orf40	-0.8537
ZNF645	0.135625
GPR61	0.097
NLRP14	0.433
SNX21	0.1474
C1QTNF8	-0.3825
C17orf46	0.304
IFNA8	1.1725
SPRR1B	-1.13516666666667
FLRT1	-1.011
SNX17	-0.0515
ASB2	-0.4425
HBG1	-5.448
RPRML	-1.06975
JOSD2	-0.268833333333333
PLSCR3	0.79525
SPOCD1	-0.644666666666667
RAB39	-0.0735
GHRH	1.0205
ITIH5L	0.257
C17orf37	-0.11125
SMCR8	0.3115
DPY19L2P3	-0.720666666666667
IL11RA	2.00283333333333
GDF3	-3.9335
RPS6KB1	-1.01141666666667
DNAJC19	-0.1744
TOP1	-0.0175
CRCT1	-0.113875
MPST	-0.2435
DPM2	-0.0515
FAM38B	-1.053
SLC18A1	-2.18466666666667
FARP1	0.765833333333333
PAX7	0.08825
TUBD1	-1.6055
GNL3	-0.40975
BTG2	1.7364
NDUFS6	-0.41525
C1orf79	-1.9825
ERAL1	-1.107
ECHS1	0.93225
VPS4A	-0.503666666666667
CYP11A1	-0.824125
ABCC6	-2.23728571428571
PBX4	-1.8675
MOSC1	-0.06375
NCF4	1.27925
HYMAI	-0.464
NAGPA	-0.84675
OTOP2	0.06825
ACOT12	-0.20575
MTHFD2L	-0.07475
LOC441376	3.954
C19orf34	0.1105
RAB1B	-0.0705
ALDOAP2	-0.9285
NTRK1	-1.566
ARTS-1	0.6232
SLC6A11	-0.631
NAP1L2	-0.507
CNGB1	-0.195333333333333
EPB41L4B	0.778
FAM134B	2.296875
HS3ST3A1	-1.72716666666667
CPXM2	4.981
SIRPB2	0.3885
CHORDC1	-1.32183333333333
TRIB3	-0.9235
SLC2A5	0.39175
C2orf49	-0.751833333333333
DDX5	0.0555
OR5L1	0.675
ANAPC4	-0.423166666666667
ZSWIM1	0.227625
LOC93622	-0.281375
KCNK3	-0.6085
RP11-35N6.1	-1.1615
ZFP161	0.376333333333333
AQP9	1.65075
SLC15A2	0.097
MREG	0.435833333333333
OR9I1	0.519
PDLIM2	1.120375
ADAM7	0.462
GSTCD	-0.2095
WDR21A	0.097625
SLC12A8	1.42766666666667
TMEM174	0.10675
IGSF3	0.737416666666667
LRRN1	1.32925
LOC402117	-0.75925
SRPK1	-0.92
LY6K	0.0901875
NFIA	2.9515
PTCD3	-0.51775
LEP	2.70366666666667
PCDH21	-0.3815
MAPKAPK2	0.928142857142857
NMNAT1	-1.47183333333333
LHFPL2	1.523375
C9orf43	-0.033
DIP2A	-0.219666666666667
ACTR8	0.167625
CCDC34	-0.513
PTPN22	-1.012625
ITGA3	-1.593
FAM129C	0.4195
RABGGTA	0.3035
UNC45B	1.6455
KIAA1033	0.18275
ZNF510	-0.113666666666667
CYP2D6	-1.064
SLC26A10	-1.3235
STX8	-0.008
LUZP1	0.533625
WDR89	0.118166666666667
EIF4G3	-0.1175
C5AR1	0.73425
ZNF623	0.4865
A2M	1.76175
TGM7	0.003
GRPEL1	-0.229
LMNB2	-0.5829
ROCK2	-0.0256666666666667
SNX16	0.551125
CCDC66	2.11325
ANXA3	0.343
KIAA1609	-0.22525
EED	-0.5995
RNF32	-0.130833333333333
HES1	0.8796
CLC	0.0115
ISL1	-0.8075
KIAA0528	-0.3035
MANEA	0.01775
C1orf61	-2.89
hCG_2001000	0.02375
RAPGEF6	-0.1735
KIAA0020	-0.203666666666667
NEIL1	0.78875
C16orf45	4.33680868994202e-19
RBM10	-0.292
C10orf125	-0.07375
MRS2L	-0.89775
DNAH17	0.2185
C19orf10	-0.217
C1orf160	0.40025
SLFN12	0.83075
EXOC3	-0.449833333333333
HIST3H3	0.85525
NCOR2	0.4145
TNFRSF9	0.27925
MFSD8	-0.178
ALX1	-3.057
NOL1	-1.17375
PODN	3.33875
TIAL1	-0.79025
HIST1H1E	-1.92325
NPY6R	0.24475
TM4SF4	0.22025
CORO2A	0.78275
ETNK2	0.3655
APOE	0.3766
ANGPT4	0.0955
HDGF2	-0.45275
G30	0.4285
ST8SIA4	0.3065
F2RL1	1.794625
FAM19A4	-2.99925
CCAR1	-0.52275
B3GNT7	-0.01575
OPHN1	-0.3363
DSCR6	2.185
C21orf13	-0.393833333333333
GAS2L1	0.477916666666667
RFX3	-0.135666666666667
COPS4	-0.295
BCHE	-3.24766666666667
BCL2	1.8005
HBZ	-3.29516666666667
ARL13B	0.276875
MAPBPIP	0.907875
MYO15B	-0.636125
SPZ1	2.16775
KIAA1324	2.68288888888889
PLCL2	0.509125
C4orf29	-1.54325
WDFY2	-0.289625
ZNF284	-0.123
NAALADL1	0.6355
DUSP5	0.274166666666667
PXDN	1.681125
SLMO1	-1.352
TNXB	0.7017
BIRC7	-1.3395
A4GALT	1.4335
TIMM22	0.037
FAM110C	1.028
TOMM34	-1.106875
ABHD9	0.2495
ADAM32	1.7145
CRHBP	0.4745
AQP2	1.079125
LOC130355	0.92625
ZNF187	0.273166666666667
ZNF816A	0.6015
F7	0.54975
CNOT1	-0.4849
SLC13A4	-0.72425
ZBTB11	-0.36425
B3GALT5	1.05225
EXOC2	0.7295
IRS1	-0.5278
TMEM1	0.061
MRPL34	-0.374
SAMM50	-0.363
CDC42EP3	-0.003
HSF2	-0.7606
MFN2	0.28375
TSPAN7	-0.553166666666667
NUCB1	0.2695
RHOH	-0.47075
ARL16	-0.5355
TACR1	0.45175
SFRS5	-0.292833333333333
SNX25	-0.80725
