Hybridization REF	TCGA-AN-A0FY-01A-11R-A034-07
PSMB10	0.197125
MYH7B	-0.162
GABARAPL2	0.0405
MARVELD2	1.915
DGCR2	0.344833333333333
UNC45A	-0.374666666666667
C6orf72	0.4705
ZNF683	4.06475
GIT2	-0.442625
CASK	1.2915
C14orf161	0.545333333333333
LRRC44	1.51175
TIFA	-0.408375
UTP11L	-0.011875
C6orf65	0.40975
FDPS	-0.9215
DUSP9	-2.0528
SLC17A8	0.951333333333333
OR51G1	0.2835
NANS	-0.19875
OLFML1	1.79625
ATP10B	-1.2515
NPAS3	0.035
PRKCA	-2.6023
GGA2	0.2035625
LCE4A	0.4195
SPANXN3	0.821
CCDC115	1.151625
SDCCAG3	-1.02025
GLIPR1L1	0.18225
TTC1	-0.3005
C17orf76	1.4315
MAD2L2	-1.1195
HIPK1	0.6758
LRRC3B	-0.5725
CLN3	0.180818181818182
C17orf47	-0.403
FMN2	-0.648
TUBB1	-0.228875
WAPAL	0.341833333333333
C3orf21	-0.142
SCN5A	-0.6991
SMYD1	0.66225
BEX5	-0.5835
ZNF192	-0.139
SEC22A	0.0895
GRIA2	0.919714285714286
KIAA0825	-2.248
NUSAP1	-1.68518181818182
LANCL1	-1.950375
C15orf40	-1.7502
ZNF645	0.113125
GPR61	0.18275
NLRP14	0.0805
SNX21	0.5744
C1QTNF8	0.295
C17orf46	0.21975
IFNA8	0.983
SPRR1B	-1.87966666666667
FLRT1	-0.29125
SNX17	-1.1505
ASB2	-0.985
HBG1	-5.8035
RPRML	-2.454
JOSD2	0.197833333333333
PLSCR3	0.798
SPOCD1	0.552833333333333
RAB39	-0.346
GHRH	0.117833333333333
ITIH5L	0.111
C17orf37	-0.4035
SMCR8	0.22525
DPY19L2P3	0.211833333333333
IL11RA	2.42083333333333
GDF3	-4.0365
RPS6KB1	-0.706583333333333
DNAJC19	-0.129
TOP1	-0.2355
CRCT1	-0.21225
MPST	0.12925
DPM2	0.02825
FAM38B	-1.48233333333333
SLC18A1	-2.923
FARP1	3.20883333333333
PAX7	0.02825
TUBD1	-0.95975
GNL3	-0.073875
BTG2	0.831133333333333
NDUFS6	-0.16125
C1orf79	0.69475
ERAL1	0.1545
ECHS1	0.51325
VPS4A	0.117833333333333
CYP11A1	-0.742625
ABCC6	-2.3455
PBX4	-1.352
MOSC1	-0.13225
NCF4	-0.382
HYMAI	0.0605
NAGPA	-0.4805
OTOP2	0.14775
ACOT12	-0.32425
MTHFD2L	0.394375
LOC441376	1.064
C19orf34	-0.339
RAB1B	-0.065
ALDOAP2	-0.3195
NTRK1	-2.00466666666667
ARTS-1	-0.3115
SLC6A11	-1.2075
NAP1L2	-2.92925
CNGB1	0.169666666666667
EPB41L4B	0.504916666666667
FAM134B	2.73475
HS3ST3A1	-0.845
CPXM2	4.7945
SIRPB2	0.1075
CHORDC1	-0.262833333333333
TRIB3	-0.433666666666667
SLC2A5	1.06025
C2orf49	-0.6385
DDX5	-0.5465
OR5L1	0.149
ANAPC4	0.322166666666667
ZSWIM1	1.882375
LOC93622	0.345875
KCNK3	0.6535
RP11-35N6.1	-1.897125
ZFP161	-0.0888333333333333
AQP9	3.52275
SLC15A2	0.477
MREG	0.768166666666667
OR9I1	-0.1435
PDLIM2	0.48825
ADAM7	0.2005
GSTCD	-0.242
WDR21A	-0.03275
SLC12A8	0.614
TMEM174	0.34825
IGSF3	1.45083333333333
LRRN1	0.3115
LOC402117	-0.3625
SRPK1	-0.451333333333333
LY6K	1.715
NFIA	1.8255
PTCD3	-0.646875
LEP	2.24683333333333
PCDH21	-1.0765
MAPKAPK2	0.335642857142857
NMNAT1	-0.5545
LHFPL2	0.38425
C9orf43	-0.168
DIP2A	-0.777166666666667
ACTR8	0.402875
CCDC34	0.1565
PTPN22	-1.393625
ITGA3	-1.391375
FAM129C	-0.04425
RABGGTA	0.262
UNC45B	0.4205
KIAA1033	-0.3865
ZNF510	-0.264833333333333
CYP2D6	-0.399333333333333
SLC26A10	-1.477
STX8	0.518
LUZP1	-0.033125
WDR89	-0.213166666666667
EIF4G3	0.3282
C5AR1	0.6685
ZNF623	0.5055
A2M	0.29925
TGM7	0.5315
GRPEL1	-0.207333333333333
LMNB2	-0.9512
ROCK2	-0.1735
SNX16	1.192
CCDC66	-0.36
ANXA3	-2.81775
KIAA1609	-0.17625
EED	0.1615
RNF32	0.504666666666667
HES1	-0.2359
CLC	0.265833333333333
ISL1	-0.87
KIAA0528	0.570875
MANEA	0.287375
C1orf61	-2.627
hCG_2001000	0.6265
RAPGEF6	0.292
KIAA0020	0.291333333333333
NEIL1	0.62975
C16orf45	-1.337625
RBM10	0.155166666666667
C10orf125	-0.0245
MRS2L	-0.6305
DNAH17	-1.08775
C19orf10	-1.23475
C1orf160	1.21675
SLFN12	-0.58225
EXOC3	-0.164
HIST3H3	0.286
NCOR2	0.937166666666667
TNFRSF9	0.271
MFSD8	0.26975
ALX1	-4.16033333333333
NOL1	-0.964
PODN	2.795
TIAL1	-0.757
HIST1H1E	-1.5205
NPY6R	0.09575
TM4SF4	-0.676
CORO2A	-0.57425
ETNK2	0.67
APOE	0.7379
ANGPT4	-0.071
HDGF2	-0.6455
G30	0.5445
ST8SIA4	-0.792875
F2RL1	-0.024375
FAM19A4	-3.238
CCAR1	-0.76025
B3GNT7	-0.0645
OPHN1	0.7133
DSCR6	2.487
C21orf13	0.193
GAS2L1	0.159416666666667
RFX3	-0.0313333333333333
COPS4	-0.304875
BCHE	-4.80033333333333
BCL2	3.075625
HBZ	-3.13116666666667
ARL13B	-0.4235
MAPBPIP	-0.010125
MYO15B	0.753375
SPZ1	-0.5955
KIAA1324	2.12911111111111
PLCL2	-1.46875
C4orf29	-0.83225
WDFY2	-0.95
ZNF284	0.4045
NAALADL1	-0.0625
DUSP5	1.2365
PXDN	0.5645
SLMO1	0.2435
TNXB	0.4056
BIRC7	-1.01775
A4GALT	1.37066666666667
TIMM22	-0.353
FAM110C	1.8305
TOMM34	0.875
ABHD9	0.334
ADAM32	0.4525
CRHBP	-0.592
AQP2	0.481375
LOC130355	0.78175
ZNF187	0.413333333333333
ZNF816A	1.5265
F7	1.87025
CNOT1	-0.138
SLC13A4	-1.3085
ZBTB11	-0.6605
B3GALT5	-0.127
EXOC2	0.5615
IRS1	1.1566
TMEM1	-0.157166666666667
MRPL34	-1.1735
SAMM50	-0.6855
CDC42EP3	0.3625
HSF2	-0.5966
MFN2	0.2845
TSPAN7	-2.44
NUCB1	0.359
RHOH	-1.85625
ARL16	0.331
TACR1	0.529
SFRS5	-1.0675
SNX25	-0.42125
RHBDF1	0.694166666666667
PCDH18	1.4055
HMG1L1	0.67375
MYO5C	1.06275
MAPK10	0.6625
LDHAL6A	-0.244666666666667
NUDT12	0.306166666666667
NCAM1	-0.5165
GLIS2	0.751
GGTL4	-1.266
DAPP1	-1.3615
ATF7	0.68825
KIAA0748	-1.1685
NFIL3	-0.65925
TM6SF1	-0.0122
SEZ6	0.150125
NANOS3	0.708
DNAJA3	0.162
CLDN6	-2.439
CIITA	2.1244
EPHA4	-1.112
FANCC	1.19025
CMTM3	0.816625
PSG3	-0.149625
MRPL15	0.44825
C21orf59	-0.16125
PLCXD2	-0.295
C2orf34	0.4405
UBE2L6	1.03525
MED14	-0.261
HP1BP3	0.1693
C6orf208	-0.2345
TPBG	1.1535
OSR2	0.21175
XPC	-0.606833333333333
KLHL7	-0.3395
CCR3	-0.820666666666667
AGTPBP1	0.1695
PCSK6	-0.681266666666667
STAT5A	-1.5457
FAM18B	-0.88925
LONRF2	0.977
PTPN2	-1.19775
SF3A3	-0.4905
EFCBP2	-0.42875
HCFC1	-0.488
AHNAK	0.9597
ACTR5	-0.57875
KIF14	-1.59728571428571
TENC1	0.47725
HEATR5B	0.861
YIPF2	0.475333333333333
MYEOV2	0.703666666666667
DUSP18	0.672
KIAA1012	0.7965
AHR	0.0971666666666667
C17orf53	-1.35516666666667
PTPRH	-2.845
ATP6V1C1	0.5546
TAS2R3	-0.271
LOC440356	2.25375
COQ10B	-0.25475
PSMF1	0.082
SORBS2	-0.558416666666667
NFE2L2	-0.34275
TMCO7	0.4955
SH3PXD2A	1.206
SH2D2A	-1.3805
SPINK5	-3.8295
MRPS24	-0.37675
OPA3	0.37775
TRAF7	-0.365166666666667
C4orf35	0.283166666666667
MT1G	0.89275
MGC39545	0.17475
HS1BP3	0.1575
OR2B2	0.3685
CHRM4	0.2455
SFRP2	3.16341666666667
RIC3	0.732
ART1	0.218
C6orf1	0.000125
DUS4L	-1.53475
C10orf104	0.09525
TNFAIP6	2.58975
RTEL1	-0.17375
CCT4	-0.4873
ZNF709	0.36625
CHMP6	0.546
UPP2	0.566
CYP19A1	-2.4235
CD151	0.216666666666667
NDUFA13	-0.917
ARFRP1	-0.174333333333333
FAM26B	2.15075
CRYBA1	-1.3175
MRPL41	-0.861333333333333
NPFFR2	-1.513625
HRH2	0.166
SCAMP3	-0.22
MTMR6	-0.1153
MTG1	-1.512
UBTD1	1.279
CRABP1	-1.216
FLJ33790	1.2571
KIAA1908	-1.56183333333333
GPR158	-1.949
PACSIN3	0.6855
OMD	3.15766666666667
CATSPER1	-0.357666666666667
HOXB8	-0.820375
FBXO46	1.5135
OAS1	0.307333333333333
SVIL	-0.3
PHB2	-0.70375
ADCY3	0.5265
NDRG2	-0.211166666666667
ERMAP	0.617
APBA2	-0.791833333333333
IGSF9	2.0625
WNT6	1.79592857142857
MYCBPAP	1.09475
ATP2B2	-0.1559
CPVL	0.3091
TRAM2	-0.812416666666667
NOP5/NOP58	0.22275
ZNRF4	-0.22
TLK1	-0.072125
MTMR12	0.513071428571429
ZNF384	0.214166666666667
FAM9B	-2.88475
RPN1	0.1568
PMVK	0.73125
EIF3D	-0.1939
SIX2	1.18425
HPS1	0.0251428571428571
RNF7	-0.52225
PSKH2	-0.0475
KCTD13	-0.0641666666666667
CSMD3	-0.7897
FBF1	0.3015
IL8	-4.2055
SERPINB13	0.268916666666667
FBXL20	-0.646
BLR1	0.3475
SH2B1	-0.0681666666666667
RFNG	0.0515
RAB20	0.626
RBM7	0.3825
POLR1A	-0.323666666666667
TMPRSS4	-1.62575
TAF9	-1.126375
TERF2	0.0323333333333333
TNFRSF1A	0.570833333333333
ACADVL	-0.236833333333333
GTF2H5	-0.1515
EDG8	-0.141666666666667
C9orf140	-0.339125
UST6	-0.593
ZBTB8OS	-0.5905
ZNF710	-0.022
GPR174	-2.1735
ATP6V0A2	-0.24725
KIAA0319L	-0.00566666666666663
XKRX	0.764
DOPEY2	0.27
SDHD	-0.26025
SUMF1	1.31375
OSM	1.687
OPN3	-0.1995
DAGLB	-0.632833333333333
PPFIBP1	0.6042
TRIM63	-2.4935
C10orf53	-0.517
LYPD3	0.299166666666667
BCL7A	0.270875
AGER	-0.919
TCF19	-0.16775
SAT2	-1.36325
PFTK1	1.49066666666667
GABRE	-3.168125
C15orf38	0.0815
FIS1	-0.678
KCNV2	0.318
CLPS	0.18775
PPCDC	-0.909375
FOXN2	0.067
NT5E	-2.7169
CD83	0.32075
IL18	-1.045375
VPS16	0.21725
IGFBP2	-0.7465
NOTCH2	0.403
SIGLEC1	2.803125
CD93	4.4515
SULF2	3.19525
CEP164	0.38375
P53AIP1	0.391833333333333
TOR2A	-0.047
ZNF136	0.47075
MGP	0.9229
CCDC144A	-0.7555
TRPC1	-0.4275
SMS	0.195833333333333
MAPK7	-0.177833333333333
RRAGC	1.23225
PARD6A	1.59666666666667
NUB1	-0.606166666666667
SYNGR4	0.934
OR11H12	0.6705
WIF1	0.17775
GCH1	0.32775
OR11H4	-0.043
SLC44A5	1.4835
GPRIN2	0.115166666666667
LOC401431	2.0475
CPA4	-2.9638
MELK	0.735222222222222
IL15RA	-0.30825
CUL3	0.33025
HMBOX1	-2.092
PODXL	-1.2205
CCT6B	0.383166666666667
COMTD1	0.11325
MUC20	-2.37
GPX2	-3.63975
ITK	-1.55525
FBXL5	1.49525
C13orf27	0.38325
DEFA5	0.111
TRHDE	-0.844
MTP18	-0.633666666666667
UQCRQ	-0.4822
ITGB2	1.18633333333333
CSRP2BP	1.497
TAS2R44	0.419
PHPT1	-0.307625
FAM44C	-0.77825
ERH	0.258
MPHOSPH1	-1.48483333333333
MORC1	-0.441
PARVB	-2.093
LAMA1	-2.28391666666667
PGBD3	0.4745
GIMAP6	3.439
AREG	-1.01183333333333
LIPT1	-0.5045
MGC99813	-0.076
C1orf201	0.226
GRIN2A	-1.4978
MAN2C1	-1.419375
NSUN5	-0.03425
SF3B5	0.109
MYC	-0.29975
NRXN1	-0.4245
ZNF18	-0.128
SPDYA	-0.428714285714286
SLC37A1	0.104
DECR2	-0.13825
ANKRD38	1.14225
SPTLC3	-1.79791666666667
SUPT16H	-0.098
DTWD2	-1.06275
ULBP1	-1.502
ZADH1	-0.058
OIP5	-1.807
IL10RB	-0.515
OTUB2	-0.79275
VWA3A	-0.0145
SPIC	-0.122
OR6C4	0.274
PSCD4	0.6065
DPY19L2P2	-0.1855
TRAPPC6A	-0.371333333333333
C21orf2	-0.107333333333333
CEMP1	0.86525
LIN7B	0.2995
E2F7	-0.5715
VCP	0.616875
LAMA3	0.638583333333333
BGN	2.00575
GPR160	0.311166666666667
COCH	-1.787
GPR81	1.70166666666667
APOBEC3F	-2.5445
tcag7.1017	-0.678
C1orf32	0.46
SCGB1D2	5.78925
FLJ43987	-0.2275
C6orf170	0.4695
KLK9	0.2445
GPD1L	1.307375
VPS37B	0.07625
ATG3	-0.1945
ADAMTS17	-0.0555
KLHDC2	0.381333333333333
NDUFV2	-1.987
BLK	-3.168
MATN4	0.8935
GPM6A	1.936625
GBP4	4.214
TMEM162	0.257666666666667
PKP2	0.6055
HRASLS	-0.548333333333333
MMP1	-1.637
SFXN3	-0.2115
FSD1	-1.85766666666667
ST6GALNAC3	-2.01216666666667
CA12	2.6504
NCOA6	0.38575
C19orf58	-0.6887
PPP4R1	-0.717
MAN1A2	0.994833333333333
IKBKAP	-0.93275
UPF1	-0.049
KIAA1219	-0.08025
WNT16	-0.153
SNW1	-0.6415
IL18RAP	1.697
RPP30	-0.14275
CDC40	0.364285714285714
SETD3	-0.182166666666667
SLAMF6	-0.47075
ELK4	-0.6655
TRIM47	0.468666666666667
ACOX3	2.189
TRIM6	-1.616625
KIAA0372	-0.660666666666667
TP53AP1	-0.245125
SMURF2	-0.5145
ADAD1	0.496
EBP	-0.7853
KRTAP13-2	-0.034
FLJ36874	-0.702833333333333
TOR1A	-0.7245
P2RY4	0.669
GPBP1	0.1865
TRPV1	0.848625
ADAMTS12	0.7
PES1	-0.7667
ATG4A	0.416
MAGEA10	-4.64625
WFS1	1.984
CC2D1B	-0.168
PABPN1	0.066875
SLC25A30	-0.1135
SLCO1C1	-0.0725
SLC22A5	1.76
KIF23	-1.39016666666667
SYN2	-1.01566666666667
ASPN	8.35183333333333
CENTG2	0.70125
QSOX2	-1.8226
FLJ10815	0.288333333333333
STK24	0.8945
SPEG	0.6854
STK10	-0.0706666666666667
DACT2	-2.539
AAAS	-0.48325
SSX3	-1.879
ABCD3	0.8581
C4orf12	-0.2225
PARVG	0.225833333333333
FIG4	0.78775
C9orf46	1.4635
TMCO6	-0.284
IGHMBP2	0.03675
DUS2L	-0.417333333333333
FAM3C	-0.8324375
TMEM16D	-2.452125
DCTN4	0.29875
KCNH3	0.683
EIF2AK2	0.69375
AP1S3	0.54575
CST4	1.7905
PAM	0.48725
NUTF2	0.05075
CITED2	0.3986
SLC39A4	0.6105
C2orf52	-0.7045
GRM3	0.475
C12orf49	0.24025
CCDC49	-0.4625
GRAMD1B	-1.86375
FNDC4	0.33925
SIAH2	0.323625
GDPD4	0.1645
C21orf87	-0.039125
ATP5A1	0.165666666666667
C16orf63	-0.64775
LOC388135	-0.268166666666667
ATP5J2	-1.13675
MMP3	-0.87325
EMID2	-0.32025
CRHR1	0.40575
WDR70	0.3715
C13orf31	1.134
ZFAND1	0.097
CCL18	4.32616666666667
C3orf49	0.0625
RINT1	-0.6875
KIAA0408	-2.0455
F13A1	5.3096
SLC10A1	-0.0848333333333333
OGN	-0.64975
GIPC2	-1.40983333333333
XPO6	-0.418
LCE1A	0.7245
FMR1	0.8519
LOC374920	0.40475
DUSP3	-0.257625
ANKMY1	0.2165
C7orf50	-0.504
BBS9	-0.4934
UNC119B	0.104875
C9orf72	1.162375
MGC35440	0.7965
ENTPD6	1.417375
PPP1R2P9	0.205
ERCC4	0.11425
FAHD2B	-0.2545
HMHA1	0.211
HACL1	-0.8295
RAD23A	0.0395
FAM83B	-0.339
PPP5C	-0.926666666666667
RNASEH2C	-0.348125
C9orf153	-0.11675
SCAMP4	0.305
GHITM	0.2336
NDUFB7	0.06375
ADCYAP1	-0.399333333333333
SP110	1.38216666666667
MAP3K7IP2	1.1715
DHH	-0.146
AGRN	0.851785714285714
WDR33	-0.0646666666666667
CEP290	-0.573833333333333
PRPS1L1	-2.73716666666667
KLRA1	-0.1385
GPR97	-0.318
CHD7	0.771333333333333
TLR10	0.167
SLC30A8	-1.006
HIC1	1.562
IAPP	0.191
RXFP4	0.34875
GP1BB	0.6485
SHQ1	-0.213
NKX2-3	0.0841666666666667
API5	-0.0215
FTHP1	-0.291
MOV10L1	0.175333333333333
TRIM6-TRIM34	1.48716666666667
ADHFE1	1.3325
FAM117A	-1.8935
DDI1	0.496833333333333
CDON	1.69016666666667
TRIM73	-1.9935
IGKC	0.938
MMP14	1.07908333333333
DYNC1LI1	-1.22125
C11orf66	0.7835
TRBV3-1	-1.0695
FASTKD5	-0.4465
BIVM	-0.663
LHX4	0.1405
CXCL2	-2.2846
RAB2B	-0.29
IZUMO1	-1.00725
MAP3K15	-2.127875
FAM19A2	1.31783333333333
ZC3H8	-0.345166666666667
ZMAT1	0.018
SPINK5L3	-3.0035
SLC10A6	0.117
APPL2	-0.192375
CARD10	-0.338333333333333
LOC402176	-0.074875
EEF1D	0.8954
RAB6A	1.3478
C12orf5	-0.607875
PAPOLG	0.7095
MSRB2	0.10225
BCR	-0.2
PUS3	0.6155
TIAM2	1.33125
ZNF317	0.404
CHD2	-0.1415
FZD5	-1.41322727272727
NUDT8	-2.2505
ZNF763	0.211
PRC1	-1.15977777777778
ABCB9	0.113666666666667
SPATA3	0.24025
TRAK2	0.2915
STAB1	2.756875
LRRTM2	0.229833333333333
psiTPTE22	0.77975
DBI	-0.053
SERPINA11	-1.97075
NAT5	0.8145
C20orf58	-2.173
RPS6KA4	0.207166666666667
FLJ90650	-0.21125
TGFBRAP1	0.2005
CHRDL2	0.985375
FAHD2A	-0.577166666666667
CNTN1	0.23225
BBS4	-0.97
TMEM181	0.3985
MINPP1	-0.797
MPHOSPH6	0.646833333333333
HOXC10	1.2842
ITPKB	-0.956875
CLPTM1L	-0.122
MEOX2	0.198833333333333
ATP6V0C	0.623
PRPF8	-0.470666666666667
TMC5	2.3125
FKBP3	-0.78875
PLEKHB2	0.171875
OR4D6	0.6725
ZNF544	0.8453
D2HGDH	-0.2825
RPL18A	-0.986
HEL308	-0.35425
MPP6	-3.136
TCERG1	-1.194
KRT16	-1.60983333333333
KLF17	-0.9435
KLF5	1.43525
CDR1	2.555875
VCX3A	-1.8565
FBLN2	2.165
C14orf104	-0.06825
HBE1	-4.8662
OR4S2	1.473
C1orf108	-1.2515
ROBO4	3.4005
CPEB4	0.42225
C11orf80	1.02633333333333
BCKDHA	0.520666666666667
MYOC	-0.04875
GIF	-0.0715
CKMT1A	1.426
RPL3	0.00509999999999999
THBS1	2.30525
APOO	-0.8825
ARMCX1	0.46175
HSZFP36	1.561
SNAPC5	-1.13425
EIF4ENIF1	0.74125
ZNF433	0.17525
TNFRSF21	-0.891
TMPRSS7	-0.259
SPATA18	-0.1172
HPDL	0.5435
MKL2	1.5523
TBX3	2.71684615384615
C21orf93	0.390833333333333
DAXX	0.48325
ELMO1	-0.5145
RGS13	0.000666666666666641
TAF11	-0.5515
UNC13A	-2.694125
LOC653314	-0.6721
ORC3L	0.1695
IMAA	-2.2475
TARBP2	-0.1465
CABIN1	-0.5054
TRIOBP	0.0080625
HIST1H2AC	-0.086875
RGS22	-2.59233333333333
NCOA1	0.349833333333333
IL25	0.28
SNCG	-0.4305
GPR6	0.36
AMDHD1	-2.39066666666667
CHEK2	-0.605
C6orf142	-1.20875
DRD4	0.544
C14orf68	-1.18925
GDF11	-1.81425
SEMG2	0.035
CD247	-1.67075
CDAN1	-0.71375
RBMX2	0.223166666666667
TGS1	-0.03575
OIT3	0.218
SYF2	0.3595
MCM4	-0.574125
PKHD1L1	-0.646375
CEP192	0.0813333333333333
IFT88	0.4945
RPL9	0.187
RAB32	0.237375
DDX43	-2.8
P2RX2	0.403166666666667
OR5D18	0.559
UBE1	-0.34475
SLC24A1	-0.169125
ARHGAP5	-0.31775
CETP	-0.968
KIAA1731	-0.420166666666667
SLC9A4	0.4415
PTPN6	0.7745
BAHD1	0.17775
GRIK3	1.3025
CACNB2	-0.7431
PDE10A	-0.133
DGCR14	-0.62875
PCDHB9	-1.2425
RHOQ	-0.1995
MAP3K4	0.958
KTI12	0.0413333333333333
RPL23AP13	-2.06575
GNG11	-1.29775
CLCN3	1.21416666666667
GPAM	-0.573
VSTM2A	0.6335
SLAMF7	1.0225
INTS2	-0.67875
PPP2CA	0.2222
LRP12	-0.627066666666667
SEC14L2	0.694444444444444
DKFZP586H2123	2.06475
MC3R	-0.011
CIRH1A	-0.673833333333333
HIST1H2AB	-0.8035
POLH	-0.6115
MGC16703	-1.775
SNAPC2	0.742
FILIP1L	1.57675
RASGRP4	0.449
LRRC1	1.94325
GAS1	1.328
PRAC	-0.942
DGKA	-0.628166666666667
NT5C3	-1.13
PEG3	1.30175
NADK	-0.61325
PRR17	0.06125
LOC374569	-0.71225
SGSH	-0.0876666666666667
NLRP8	0.3135
GALT	0.00480000000000001
MCF2	-0.977
ZNF263	0.63075
TACSTD1	1.336
TYR	-6.5182
ATP6AP2	-0.061
RNUXA	-0.42475
ABHD10	-0.583
GDPD2	-0.93725
SLC35C1	-0.322
UBE2A	0.317375
HERC5	-0.855833333333334
FAM112B	-4.97466666666667
FBXL16	1.297
DKFZP434A0131	-0.09775
ELA3A	-2.546
RBM41	-0.607625
HAO2	0.3795
RNH1	0.37475
SHANK2	2.0725
OSBP2	-2.1055
DAK	-0.525666666666667
C3orf58	-0.499333333333333
TCL1B	-0.2285
KBTBD2	-0.390875
SUGT1L1	-0.13175
UBE2E2	-0.3025
MYL9	3.0165
CDC23	-0.373666666666667
PBXIP1	0.101
CXorf40B	0.8745
NBL1	2.05125
RTBDN	0.232
RAB11FIP5	0.09075
TTTY13	-0.32
SCOTIN	-0.55375
SOHLH1	0.0676666666666667
CDKN1A	-1.54357142857143
NCK1	-0.189
ZNF550	1.21475
SAPS3	1.01866666666667
SPIN3	1.12983333333333
MAGEE2	-0.13
MIS12	-0.611333333333333
OR8H2	0.3405
KIAA0774	-2.22833333333333
UNC5D	-3.1135
CUL7	-0.444
LIPC	-3.27916666666667
DIO1	-2.048
C20orf11	0.6358
CTRL	-0.362
HS3ST2	2.68175
PAK4	0.554833333333333
CCRL1	4.1285
RNF10	0.216875
ZNF567	0.9175
ZNF660	-0.1885
TCEAL3	0.66025
MAGOH	0.395
CENPB	-0.284666666666667
C19orf7	0.955
LOC388965	0.42625
ZCCHC13	0.654
JMJD1A	-0.4285
HIST1H4H	-0.6205
TBRG1	0.0624
GPC3	-2.588875
TAF1C	0.166125
EBNA1BP2	-0.199666666666667
CIAPIN1	0.04175
PDGFRA	-0.248611111111111
CSTB	-0.326375
CENPI	-0.923833333333333
GTF2E2	-1.27033333333333
RPP21	0.074
CCNF	-0.0805
KCNQ3	0.706
FAM79A	1.139
SLC22A12	0.062
NOVA1	0.224666666666667
FZD3	-0.6268
AKAP8	-0.54075
SOCS5	0.056625
CFDP1	0.2885
DLG5	0.3665
PGM5	0.874
C1orf144	0.371333333333333
HDAC10	-1.3575
RND2	0.3305
C20orf199	1.48275
RNMT	-0.09
SLURP1	0.527375
ASTN1	-0.5735
SH3BGR	0.725
MYCL1	-1.339
ZHX1	0.3655
CENPK	-1.19475
FOSB	0.0142
LOC643406	0.418875
C2orf59	-0.609625
TMEM135	-0.033375
SLC27A2	-2.26275
KRT33A	1.4425
OVOL1	0.8885
PAMCI	-3.51616666666667
S100A7	-0.6615
ZNF789	-0.5575
HARS2	0.15725
RPL23A	-0.161666666666667
TCF23	0.42625
UPF3B	-0.15125
C17orf78	0.087
HLA-DOB	0.274
C14orf142	-0.7535
TEKT5	0.407
DMWD	0.2715
POLD1	-0.123
GSCL	-0.0455
CALD1	0.5782
SCRT1	0.485833333333333
AIG1	2.2285
UNC84B	-0.8875
ZNF404	0.1015
TMED6	-2.6015
KIAA1462	0.409
LRRC27	1.21133333333333
PYGO1	0.109
PIGU	-0.7215
ALAS2	-3.67033333333333
WRNIP1	0.6125
CNNM3	0.2655
ZNF2	0.45775
ST3GAL5	-0.707416666666667
MRPL23	0.53225
TSSK6	-0.45825
PSMA6	0.38275
C16orf70	0.24
KIAA1602	0.00775
ALMS1	0.548333333333333
DCN	2.468875
TMEM132D	-1.1825
SUCLG2	-0.38425
ABHD14A	-0.335
DEXI	0.02
AMPD2	-0.997833333333333
IFNAR2	-0.777333333333333
CYB5A	2.19
TLOC1	-0.56915
NXF5	-1.06433333333333
NRBF2	-0.179375
KCTD3	0.83275
ITGAE	-0.847166666666667
SLC30A3	-2.0635
ZRF1	-1.19
IFRD2	-0.421375
XAB1	-0.1075
PYCR2	-0.813333333333333
SERPINB3	-4.749
TMLHE	-0.5863
GEFT	-1.475875
ABCA5	0.91125
EMR4	0.406166666666667
TSFM	-0.09675
HIST3H2BB	-1.29625
ARHGEF19	0.648
TSPAN17	-0.945666666666667
ABCC8	2.8375
MAP1S	-0.473166666666667
C22orf36	-0.686
BNC2	0.298857142857143
HIST1H4A	-0.45925
NDUFS3	-0.0805
WDR3	-0.472166666666667
XKR4	-0.43475
TTC33	-0.475285714285714
STMN2	4.3655
CPN2	-0.931833333333333
HSPC105	2.2045
PCOLCE2	-2.676
C3orf55	1.5045
KLHDC9	1.47916666666667
TBC1D23	0.15375
ATXN2L	-0.808833333333333
MAP2K3	0.0901666666666667
SCAP	-0.08775
ZNF486	-0.288833333333333
C20orf96	0.05175
NARS	0.264
ADAMTSL1	-0.491571428571429
PRCC	0.139833333333333
CCDC126	0.865833333333333
ZNF675	-1.003
CALCOCO1	0.52675
ANKRD43	4.2275
CWF19L2	0.545166666666667
ZBTB32	1.049
BRAF	0.23975
ODF4	0.30725
MGC14376	0.180166666666667
HORMAD1	-2.0406
AAK1	-0.0255833333333333
PEBP1	0.678583333333333
TNFSF5IP1	-0.880166666666667
DKFZp564N2472	0.38175
RMND1	1.3845
IGKV1-5	2.4155
COL1A2	3.35725
SERPINA5	-3.57425
AANAT	0.494
C19orf21	-0.157833333333333
GEMIN5	-0.81225
UBR4	-0.0646666666666667
LTBP3	0.913
AMHR2	-2.40233333333333
PROCR	-1.63125
MYBBP1A	-1.28825
C20orf39	1.94866666666667
ZNF697	-0.670875
PASK	-0.2502
ZNF776	1.4595
RFXDC2	-0.649625
KIAA0467	0.58725
C10orf96	-1.37225
ZNF503	-1.02925
GULP1	-0.757833333333333
KCNE4	-0.2815
DKFZp434K191	-0.55175
LOC196913	-0.2395
BHLHB4	0.609
CH25H	0.10625
LOC81691	-0.112833333333333
ALPL	-0.273071428571429
COL12A1	3.11425
FOLR3	-2.92333333333333
GPR123	-0.30725
TRIM62	0.373
ABLIM1	0.198666666666667
MAST3	-1.35225
RHBDD1	0.562333333333333
LOC338809	0.007
RYBP	0.47
TTC26	-0.38575
ZNF22	0.168166666666667
ISCA2	-0.839
RDM1	-1.6055
