Hybridization REF	TCGA-A2-A0ST-01A-12R-A084-07
C6orf113	0.105166666666667
C7orf16	-1.99225
CHST7	0.0645
C21orf29	-0.30675
SEMA6D	-0.8275
PCMTD1	1.910625
KIAA1754	-0.0235
MYCN	-0.8523125
KCNJ3	-1.3635
MAPK13	1.6529
ERO1LB	0.559
NTF3	-1.37233333333333
NKX6-2	-0.6595
GTF2B	0.3335
GSPT1	-1.13
GUSB	-0.102
LOC221091	-0.9855
LIG1	-0.847
EXTL3	-0.464333333333333
NID2	-2.08275
TTC29	-0.99275
TMEM97	-1.08
EXTL2	-1.3285
SUZ12	0.319
IL1F8	-0.2205
KRT18	-2.37236363636364
MRPS16	-0.797333333333333
PI4K2B	0.07675
LACRT	2.819
OR51F2	-0.2105
JMJD2C	0.135875
KGFLP1	2.028
CDK5RAP3	-0.7558
YTHDF2	0.612166666666667
GGCX	0.209125
ARPC4	0.734
EGLN2	0.793833333333333
KBTBD4	0.248928571428571
ROBO3	-0.5621
DEFB118	0.154
KIAA1543	0.06825
RTCD1	-0.367166666666667
MZF1	-1.0015
C18orf26	0.6925
CNIH4	-0.194166666666667
ZFP2	0.9935
HTATSF1	0.31175
WFDC2	2.191
NDUFA7	-0.2565
TTC22	1.763
FAM40B	-2.295375
DCPS	-0.52875
SH2D1B	0.0214999999999999
MRGPRE	0.801
SBK1	0.00025
UNQ6411	-0.503
OSBPL9	-0.52075
NUP107	-1.1645
MYOZ3	-0.7391
PDE4B	2.09475
FAM113A	-1.187
IDH3G	0.052
FBXL7	-0.093
ARFGAP3	0.18875
MAPRE2	0.124461538461538
IL1RN	2.4294
KIF13A	0.41875
RAC3	-1.24
TCTE1	0.0535
TMEM14B	-0.183
ADIPOR1	0.103833333333333
GRINA	0.417
CLIP4	0.55575
LRIT2	-0.2675
TFPI	-2.01735714285714
FABP6	-2.07975
SLITRK2	0.0326
HKR1	0.666
SMTN	-1.0395
C1orf75	0.1105
CD209	1.101
CYB5R2	2
DNTTIP2	-0.1055
CSGlcA-T	0.666375
GABRB3	-2.83233333333333
PCBD1	-0.0201666666666667
TAF3	0.922666666666667
HOXD3	-0.449333333333333
GIPC3	-0.275
P11	-0.0293
BFSP1	-1.77025
LCP2	2.601
TAS2R8	0.272
SEZ6L	-0.727125
NR2C1	-1.160875
EXDL2	0.5704
TNFRSF13B	0.0715
MKI67	-0.80675
GLS	0.34125
C7orf54	0.2535
LGALS13	0.1828
IL4R	0.82575
SEC11A	-0.835
SPP2	0.0626666666666667
C18orf32	0.1095
CLSPN	-0.993666666666667
SPAG1	-0.347875
C9orf82	-0.02825
TM4SF1	0.580166666666667
EMILIN2	2.269
SMG7	0.174333333333333
TAS2R13	-0.1575
ZNF628	-0.0955
DZIP1L	-0.434
ANKRD13A	1.1549
VASP	1.75125
ZCCHC11	-0.551125
SYPL1	-0.139375
MGC34774	-0.000749999999999973
C4orf28	-0.601625
KIAA1211	-0.397083333333333
RPS27L	-0.8085
TATDN3	-0.74225
PDCD1	3.29275
OR5P2	0.5045
IFIT1L	-0.5105
MIPOL1	-0.96575
OR51D1	-0.5925
C1orf92	-0.902666666666667
LAMP2	0.651944444444445
CAT	1.2215
C16orf80	-0.151
C15orf32	1.4405
ZNF746	0.32125
C1orf76	-2.3585
ATXN1	0.787
LAMC2	1.8555
SLC2A7	-0.303
CPOX	-1.476
APH1B	0.728833333333333
LOC442245	-0.4045
CTNND1	0.807555555555556
GABRG2	-0.8115
MADCAM1	-0.1375
F5	-0.675875
SEMA4F	-1.07016666666667
NUDCD3	0.45425
PDZD11	-0.06
TRIML1	-0.103
GCNT3	-1.764
TMEM120A	0.22075
CNDP1	0.9805
N4BP1	0.776375
SLC35F2	-0.547625
LCP1	1.87491666666667
IGBP1	-0.2794
DCAKD	0.360875
ELA2A	-0.9085
C12orf56	-1.39875
PITRM1	0.4495
GUK1	0.282833333333333
RASSF8	-0.8304375
OR2A14	0.22375
ADM	-2.79511111111111
FGD3	1.7745
GHRHR	0.500833333333333
RHPN2	0.45025
C4orf39	-0.752666666666667
VPS72	-0.15625
SERF2	0.240333333333333
CD22	3.17166666666667
CD47	0.7776
PPIC	-0.542666666666667
IMPDH1	-0.327666666666667
ACP6	-0.474
PRKACA	-0.23175
PPP1R1A	0.26025
TRPV3	0.2645
ASXL1	-0.227625
C17orf55	-1.40266666666667
FXYD1	1.64716666666667
LMOD2	0.1175
ANKRD33	0.3975
LCE2C	-0.299125
ZNF620	-0.141
DKFZP566E164	-0.26225
VSIG2	0.99325
KIAA1128	1.72725
USO1	0.350333333333333
NUDT4	-0.344785714285714
CLDN1	1.97678571428571
OR4Q3	0.745
FASTK	-0.256166666666667
ICOS	4.25633333333333
LDB1	0.5645
GSTA5	0.8875
ABCC1	-0.998833333333333
FAM54A	-0.868
PCBP2	-0.494333333333333
NUP205	-1.03625
ACTA1	-2.32366666666667
GABBR2	0.9685
PIP5K1B	0.432166666666667
AGXT	-2.3406
RNF181	0.03875
ATP8A2	-0.46875
AFTPH	1.202625
FGF21	0.336
FCER1G	2.769875
SNTB1	-0.68575
SLC24A3	-0.077625
TXNL4B	-0.64
RPL10L	0.225666666666667
LOC389517	-0.6859
TSGA13	0.3655
SHOX2	0.0416666666666667
ITGA7	-0.8564
KCNIP2	-0.2705
KLF13	1.2745
ZFAND2A	-0.504
CEACAM1	1.81535714285714
PFKFB4	-2.64333333333333
MED19	0.17775
LRRC57	-0.0721666666666667
RNF11	-0.029
ANKRD32	-2.1965
P117	-0.11925
OBFC2A	1.0975
POLD3	-0.421916666666667
RAB18	1.484625
TPH2	-0.13
PHB	-0.5896
JDP2	1.14466666666667
MORF4L1	-0.1957
POU2F1	-0.165
CNNM2	-1.11216666666667
LOXHD1	0.0785
ZC3H15	-0.5295
ELK3	0.506333333333333
FAM111B	0.47225
CBLC	3.78116666666667
SBNO1	0.50225
ANKMY2	-0.54275
PLEKHA5	-0.30525
DHX58	2.08266666666667
ARCN1	-0.301166666666667
TREML1	1.3507
KNCN	1.295
SEC24A	-0.64925
PSCA	-1.61375
MGC24125	0.421166666666667
DNA2L	-1.04525
CIB4	0.40275
HIGD2A	0.0385
TBX6	-0.619166666666667
TTLL5	-0.797666666666667
SGK3	0.459
GCN1L1	-0.5065
AMOT	0.7659
LDOC1	0.529666666666667
NRK	-0.376
ASB9	-1.03725
NAT1	1.3331
TRAFD1	0.6865
PEAR1	0.297833333333333
FAM36A	-0.091875
OR1S2	0.4485
LOC388323	-2.11075
PGS1	-0.720166666666667
LEPREL1	-2.8025
TFF1	-4.3125
HAP1	0.502
EPHB2	0.206
ACTG1	0.376666666666667
ZFP42	-1.06
HAVCR2	2.0203
NME1	-1.35
SNX26	-0.145666666666667
LACTB	0.571333333333333
ZKSCAN2	-0.666625
C5orf35	-0.26375
ANKS3	-1.03375
RBM28	-0.60625
DKFZP586P0123	-0.62525
HNRNPA1	-0.262333333333333
BCAS3	-1.63166666666667
FLJ20184	0.0275
POLA2	-1.02433333333333
TMC7	-2.16383333333333
HSD17B6	-0.9065
ZNF658B	0.228
TTTY10	-0.3135
RANBP9	-0.141666666666667
CPNE7	-1.47433333333333
EVL	0.0606470588235294
LNX1	-0.340166666666667
IFNA21	0.06
CFD	-0.58075
PYCARD	1.89333333333333
MYBPC2	1.3855
ENPP3	-2.52983333333333
ACSL4	0.0565
LOC440258	0.0981666666666667
TMEM176B	4.66666666666667
SOX2	-5.424375
SCO1	-0.571
COMT	0.03075
AOC2	-0.7145
PDLIM5	1.13764285714286
SPHK2	0.256833333333333
NXPH2	0.765
GPR108	0.187166666666667
RAD51L1	-0.531833333333333
TMEM54	0.05575
LETMD1	-0.865777777777778
SLC6A17	0.735
KRT75	0.328
STT3B	-0.449166666666667
CD3EAP	0.0846666666666667
TMEM63A	0.115
DUSP13	-2.6735
CD1C	3.277
LASS2	-0.587833333333333
AVP	1.199
PITPNM1	-1.48425
FLJ22795	-1.231
MCTP1	-1.019
TRIM68	0.192666666666667
UCK2	-0.499666666666667
ABHD1	-0.25325
FAM50A	-0.60825
RNASEH1	-0.725666666666667
PCP2	-0.286
OR52H1	0.8375
C20orf149	0.06775
RBP5	2.91366666666667
HYAL3	0.031
CLPB	-1.0265
SMNDC1	-0.26425
DONSON	-1.57616666666667
FLJ27523	-0.823
BARHL2	0.119166666666667
SLC30A9	-0.402166666666667
TMPRSS11B	0.6785
E2F8	-1.08983333333333
CCDC25	0.17975
C14orf48	0.165666666666667
C20orf116	-0.333125
TSPAN11	1.092
YIF1B	-0.277833333333333
FAM12B	0.369
OR1L6	-0.0465
HPN	-0.3345
NBN	0.710125
C14orf94	-0.418666666666667
OCLM	-0.462
ZSCAN18	0.4223
L3MBTL	-1.824
TSTA3	0.0393333333333333
RAC1	0.330625
C19orf15	0.198166666666667
NFE2	-4.15475
KLK14	0.392
ARSF	0.21
MAST2	-0.658333333333333
AMICA1	4.383
GTF2A1	0.4745
ATP1A3	0.28075
TC2N	2.5227
PNKP	-0.18475
ODZ2	-0.912125
MATR3	0.21775
S100P	-2.527125
KRT82	0.432
CA13	0.6593
PROZ	-1.64116666666667
AASDH	0.349
C19orf40	-0.983833333333333
DCK	0.145692307692308
FAM5C	-1.286
SLC6A4	-2.7565
MID1IP1	-0.469625
TESSP5	0.369
TMOD4	-0.277333333333333
DOCK2	0.925333333333333
TUG1	0.3195
NUP214	-0.67175
DPYSL2	0.453636363636364
GOLM1	0.48525
MPFL	0.38
SOX13	0.24275
SDCCAG8	0.8965
KEL	-1.174
NUP210L	-2.7235
GK	-0.14925
DNAJB1	0.40425
ALPK3	-1.0015
CHID1	-0.0236
CYLC2	-0.1244
IKZF5	0.186
C8orf51	-0.159166666666667
PPM1J	0.58925
GIMAP8	4.8945
GPR101	0.094
NR2F1	-0.16
ACAD8	-0.55675
RBM35A	0.2805
GNAI2	0.7105
METTL8	-0.124166666666667
SLC39A7	-0.9595
FBXO8	0.78225
CAMK1	-0.28175
RFC3	-1.57275
FAM129A	2.6405
ILF2	-0.362
FGFBP3	-0.56475
NOM1	-1.27666666666667
PSMA3	-0.54475
ASCC3	0.6952
ZYG11A	-0.58975
SOX21	-1.06075
LYRM1	-0.034
DEFB1	1.2525
LOC91431	-1.61966666666667
OR7C2	1.1635
FAM46B	0.049
TMEM18	-0.085125
ARHGAP30	3.30683333333333
TMEM86A	1.81808333333333
EPHA2	-0.838
C10orf46	0.93705
TCHH	-0.891
C3orf30	-0.0766
LOC285636	-0.254333333333333
PAIP2	0.00100000000000001
CYP2U1	0.2095
C12orf34	-0.894
SARS2	-0.0488333333333333
ZCWPW1	0.78675
SAMD12	-0.149
KIAA1430	0.223125
ACAT1	-1.19
MEOX1	3.456
ADAMDEC1	8.50175
PHKA2	-0.536
CARD11	0.674833333333333
CALML4	-0.862
TSSC1	-0.7475
TMEM45A	-0.250444444444444
MPP7	1.275
POU1F1	0.12025
SLC2A13	-0.5616
FBN2	-1.81669230769231
ZC3H7A	0.0613
LAIR2	1.25975
ST3GAL1	0.527833333333333
LCT	-3.2415
GEMIN8	0.372166666666667
KLF16	0.8586
HIF3A	0.994
FAM44A	0.7535
AQP10	-1.0685
PLA2G2A	-1.399
FOLH1	2.915
C20orf186	-0.301
MAPKAP1	-0.457625
SPRR2D	-1.9365
UBQLN4	-0.272333333333333
RSHL1	-0.202333333333333
PIAS3	-0.128125
MRPL24	-0.44175
GREB1	-3.15075
FAM27E3	-2.3585
NUP62CL	-2.21525
NEUROG3	1.1765
REEP3	0.885083333333333
MARK1	0.317
LMBRD1	0.70075
PRPF19	-1.9325
PNMT	-1.4635
CTGLF1	-0.8105
SLC25A16	-0.32975
EIF2B3	-0.982
RPA2	-0.33
PAK6	0.946833333333333
CCDC26	-4.355875
SEMA3E	4.608875
MXD4	0.4865
TNFSF10	4.6657
SMARCB1	-0.5295
DTX3L	2.28883333333333
PLA2G4E	-0.2315
PPAP2A	0.40025
ULK1	-0.6605
TAS1R3	0.066
SLC2A3	-1.54009090909091
ARID3A	-1.727
GNG5	-0.146
ACOX1	0.3904
KIF5B	0.172
NUP153	-0.1715
MUC7	0.0295
CSDE1	-0.166
CLPTM1	-0.30425
C3orf23	0.152
LRRC17	-2.18
TTYH3	0.2085
ATP5B	-1.273
ELF3	1.3874
CPSF3L	-0.664833333333333
ZNF665	-0.0355
TLR6	1.9414
GPI	-0.685875
RAD9A	-0.483125
NDST4	-3.514
AGPAT3	1.05475
MAGI3	0.873833333333333
ADORA2A	1.308375
CACNG7	-0.6475
CAMK2D	1.18835714285714
CCHCR1	-0.84125
RPS27A	0.02275
OR10G7	0.0468333333333333
GCM2	-0.029
FAM135B	0.3282
E2F1	-1.454
PLCB3	-0.531
OR2AE1	0.59
COIL	-0.434666666666667
CDC25C	-1.3485
RAB11FIP2	0.26175
TSC2	-0.14925
CTGLF5	-0.623
CCDC108	0.2166
OR13C4	-0.11025
C10orf81	4.76925
PTPRB	1.64425
ACP2	0.4365
LAG3	3.74525
MRPL54	0.39875
LOC201175	1.1475
ITGB1BP3	-1.6565
SPTAN1	-0.148166666666667
SIPA1L2	-0.8345
RCAN2	-0.9065
CDX2	0.4455
ECOP	0.98325
ACTR1A	0.402785714285714
PPARG	-1.09316666666667
BBS10	0.1705
TMEM44	-1.35525
BPIL2	-0.33975
CITED1	-1.45575
IRF6	3.99225
PRDM4	0.301
RRP9	-1.00216666666667
OR10H4	0.2695
IL31RA	-0.73925
GNB1L	-0.476833333333333
MYBL2	-1.185375
ZNF407	1.01783333333333
PPIG	0.224166666666667
TTC18	0.91825
RPSA	-0.1465
MAPT	-0.04325
MRE11A	-0.0837142857142857
C8orf37	-1.11883333333333
RASGEF1C	0.639
STBD1	-0.28825
CTAG2	-0.579166666666667
MGAT5B	-1.68383333333333
ECM1	-1.335375
RLN1	0.609
PARP14	2.64575
EPB41L1	0.2633
HOXA3	-0.155833333333333
MAGEA9	4.37575
RPS8	-0.2635
RPS19BP1	0.503
FOXJ2	0.330375
C10orf76	0.821
IL17RE	0.73975
C10orf65	-1.5985
ZNF343	-0.865333333333333
FBXO33	0.242625
UHMK1	1.2236
LY6G6C	-0.8
FGF19	-2.3225
C14orf128	-0.587333333333333
IFIT2	4.455625
TIGD1	-0.40625
S100G	-0.366
GUCY1B3	2.5065
NR3C1	0.5219
CORO1B	0.281
PARP11	1.18275
DNALI1	1.93083333333333
OR4N4	-0.187
MAP2K6	0.359333333333333
FSTL4	-0.9745
ANKRD47	1.53625
TMEM171	-0.631
PNLIP	0.0255
YY1	0.05
CCDC138	-1.59666666666667
AASDHPPT	-0.7078
CKS1B	-0.5398
MCM3	-0.68
ANAPC7	-1.00033333333333
FAM110A	0.68325
CDC37L1	1.01333333333333
THTPA	-0.089
NBPF20	-0.1115
WDR24	-0.40125
NPTX2	-2.58175
CBLB	1.08116666666667
CETN1	0.529333333333333
RPUSD1	0.1265
FAF1	-0.37425
CDK6	-0.6782
HMX2	-0.2405
CSK	0.906333333333333
TEAD2	1.14725
SNAP25	-0.79825
TUFT1	-0.1656
TMTC3	0.414166666666667
LCK	1.1565
SGOL1	-0.907166666666667
AKTIP	0.72925
FURIN	0.289875
SOX12	-1.98616666666667
DEFB103A	-1.128
RAMP1	0.47125
KIR3DX1	0.113
GAS2L3	0.239
PDE8A	-2.0411
EDN3	3.514
GMIP	2.03675
SF3A2	1.251
FN3KRP	0.40325
SMAD7	0.5425
RHBDD2	-0.219
OR11H6	0.072
PPP1R3B	0.3572
C9orf23	0.021
CADPS	-1.7675
GOLGA8A	-2.06725
TMEM57	0.0738333333333333
RGL3	-2.2075
S100A14	2.2925
FGFR2	1.0778125
XRCC3	-0.88025
RTN4RL2	0.8445
MGC3771	-0.703
GH2	0.305333333333333
BTBD2	-0.4565
LMO2	1.022
RDBP	-0.363125
ACRBP	-1.37075
AMY2A	2.7005
DUOXA1	1.138
PTK7	0.603666666666667
TWF2	0.275666666666667
FAM80A	-1.92325
TNNI2	-1.586
GLT25D1	-0.858
OCC-1	-2.18725
CYC1	-1.383
RPL22	0.167636363636364
MORN3	1.73583333333333
DISP1	0.1165
PRB2	-0.287
CHUK	-0.22975
HR	0.724375
CCDC134	-0.356375
DENND4B	-0.25925
C14orf130	-0.324625
RAB33A	0.2975
DCST2	0.161
TNMD	-0.67125
PEX7	0.25175
FAM62A	0.084125
SRD5A2L	-0.17325
IL22	-0.034
RPS26	-1.03383333333333
HOXC5	0.118
SPATA6	-0.3495
FLJ38482	0.0745
ZNF234	1.7115
C18orf22	0.5575
SPATA22	-0.1245
THOC1	-0.29625
CYP7B1	3.89525
KCNC3	0.51925
C8orf42	-2.5855
ALDH1B1	-0.609833333333333
CCDC100	0.3474
ARMC4	-2.43725
FAM18B2	-0.153
SLC44A1	0.7945
FBXO17	-1.45716666666667
C6orf107	-0.49625
C19orf29	-0.146
ZC3HAV1L	0.19775
PARP6	-0.1537
SULT2A1	-4.16757142857143
C1orf159	-1.09125
TMC1	1.00325
CHST14	0.329375
GAMT	-2.19733333333333
SMCP	-0.0865
TSPAN33	2.264
MIDN	-0.210375
NOX4	0.12625
RNASEN	-0.772
TBX1	-0.6265
SALL2	-1.57675
C10orf35	1.321
CYP2E1	-1.10325
LRFN2	2.87083333333333
ACO1	-1.64333333333333
IQCG	1.9626
MEGF9	0.68125
TM7SF4	2.16075
PLEKHA1	1.03
STK33	-1.821
C1orf210	1.66375
SNUPN	0.0346
KIAA0406	-1.0539
C20orf29	-0.38625
TMEM55B	-0.40675
OSTM1	-0.5238125
CLCN7	-0.6805
OTP	-0.456
FLJ23049	-0.697
HEATR4	0.593
MAP3K10	0.7265
PCDHGA9	0.079
AMDHD2	-0.47525
LCTL	-2.013
PDCD2L	-0.126
CABLES2	-0.12825
SLC5A9	-0.7015
CLCA2	-0.606666666666667
MGC16025	2.5605
STRAP	-0.7875
C20orf196	-0.971
RRBP1	0.171666666666667
NAT13	-0.49
MAT2B	1.176
CSNK1D	-0.7585
KIR3DL1	0.66075
PRKAG3	-0.331
ZNF599	0.0435
PRM3	0.3735
PER2	0.6765
ASPHD1	-1.223
PRMT6	-0.267
KCNE1L	1.94421428571429
FAM118A	-0.946
TAF4	-0.65625
NDUFB6	-0.6035
TRIM9	-1.23836363636364
PMFBP1	-0.00225
KY	0.051
DKFZp762E1312	-1.818
CSMD1	-1.89675
TBP	-0.3515
OR1Q1	0.5705
RETNLB	0.012
HPGD	0.689
DNAJC12	-3.06916666666667
FKBP1B	-2.11375
ANKRD24	-0.375166666666667
CXXC5	-0.0851666666666667
IL3	-0.164
DRAM	1.6748
PTCH1	-0.64975
TP53BP1	-0.521
SLC17A7	0.20475
COL25A1	-1.0215
AMACR	-1.13816666666667
RHCG	3.474
VPS13A	-0.572916666666667
FAM55D	-0.4865
PRPF38B	-0.288833333333333
OSBPL6	-1.6935
PFDN5	0.2611
CMTM6	1.16375
KCNK12	-0.94125
RP2	0.86025
C16orf52	-1.39125
PICK1	-0.244
IFNE1	-0.729833333333333
SEMA4B	0.02975
TYRO3	-2.279
OR12D2	0.584
CSNK1A1	0.2427
FANCF	0.694
LONP2	0.1635
TBL1Y	-0.13875
LDOC1L	-0.59075
CCNC	0.5775
C3orf60	-0.70875
CHKA	-0.538
UBAP1	0.2415
MAP3K1	1.7115
ANKRD9	-1.91025
FAM92A1	-2.34983333333333
GAB2	0.897375
AZU1	-0.85925
DIS3	-0.4925
C21orf109	-0.91675
IQCB1	-0.18875
SPATS2	-0.357666666666667
EFCAB3	-0.88625
PRB3	0.7855
FUZ	-0.3065
ZNF813	0.21725
BMPER	-0.881666666666666
HEG1	0.071125
ALS2CR11	-1.41875
SURF2	-0.28075
PSMC1	-0.229416666666667
OR2D2	0.1845
SLC7A8	-0.237833333333333
C4orf40	-0.079
SPATA7	-0.5465
MAZ	-0.884583333333333
PIN4	-0.346
PDE1A	-0.96075
TAF6L	-0.1175
OR2T34	0.16
KIAA0284	-0.1185
ACADS	-0.326363636363636
MKRN2	-0.73
C18orf56	-2.59275
MS4A6E	-0.575833333333333
GALNT4	0.0788
C22orf31	-0.92
FLJ36070	1.459
PSME4	0.64725
TFG	-0.2541
EPHX2	0.8325
ANXA5	-0.22925
KRTAP1-1	-0.2078
BATF	2.73575
KARS	-0.40325
MSTP9	-0.303
GPR26	2.924625
CCDC72	-0.4265
TEF	0.262833333333333
FOXK1	-0.3308
PRLHR	-0.1455
EMX1	0.5955
C11orf30	0.05425
ICK	1.0055
THSD7B	0.368
C21orf100	-0.8285
DUOX1	1.294
EFCAB4B	-0.0395
UBE2G2	-0.549666666666667
C3orf54	0.8665
PARP1	-0.34875
FAM60A	-0.26175
C6orf146	0.609
OR9K2	0.5175
DDX55	-1.20783333333333
RPS15	-0.162416666666667
ZNF618	1.0415625
DKFZp686D0972	0.82175
SSPO	-0.898
SHFM3P1	0.0471666666666667
CPA6	-0.139
JAG2	0.8055
DEFA3	1.6415
PPBPL2	0.204666666666667
CD34	4.704375
SLCO4A1	-2.5205
AFG3L1	-1.224
SHD	-0.77525
RP13-122B23.3	-1.164
PRKCSH	-0.880666666666667
DPH5	-0.229666666666667
HLA-F	4.025625
TBC1D4	0.421
RIG	0.211333333333333
GLUD1	0.270333333333333
HNRPCL1	0.450125
HBXIP	-0.58325
RNF207	-1.2595
APIP	0.44225
PLA2G3	0.160333333333333
CCDC84	-1.28925
MYLIP	0.198923076923077
PHIP	0.4575
AARS2	-0.479833333333333
DHX32	0.04525
SCAPER	0.2695
MEN1	-0.31825
NIP7	-0.43925
FLJ25404	0.432
FASTKD3	-1.05025
TMEM158	-0.9065
RARA	0.9405
BDH1	-0.0845
ANKRD16	1.11075
CARM1	-0.338
SS18	0.0501666666666667
IKZF2	0.719166666666667
MYD88	1.247375
PML	1.63945
TAF1A	-1.132
CBFB	-0.025
HIST1H3H	-1.16733333333333
C7orf29	-0.18
COMMD4	-1.041
DPP3	-1.178
DAB2	0.492375
LOC388882	0.0345
YPEL4	-0.351875
AGBL3	1.392
LRP6	1.0372
SERPINH1	-0.484666666666667
TLE1	0.361
CD244	2.87083333333333
ZDHHC15	0.22175
MGLL	-0.1578
PLDN	0.363916666666667
LOC654346	3.27
FAP	1.331
GPR37	0.254
SCARA5	1.71416666666667
EBF4	1.327
LSM6	0.49675
MLLT1	-0.3081875
SLC5A12	-0.0543333333333333
A2BP1	-1.481
COPS5	-1.00016666666667
TPM4	-0.16
TNFSF4	0.477
ACADSB	-0.0712777777777778
HERPUD1	1.7055
BCL2L11	-0.243611111111111
CEP78	-1.222875
CDCA3	-0.919125
WBSCR19	0.0928
MYO1A	-1.674
PPEF1	0.736
LOC440348	-1.2875
CPEB2	-0.0327142857142857
BPTF	-0.16025
RPL21	0.3130625
GSX2	0.652
ADPRH	1.70916666666667
C17orf68	0.0388333333333333
KCNS1	0.779
MLLT6	0.5085
PIWIL4	1.848
RNF26	-0.9695
RAP1B	0.769875
ADAMTS1	-1.1801
ZNF571	1.04725
P2RY6	1.23525
TRIM21	2.00333333333333
CADM3	0.99225
NLRC5	2.2005
ADRA2B	0.573333333333333
LOC90835	-1.25275
PCF11	-0.45825
LOC400451	-0.35975
GLTSCR1	1.0599
C17orf88	-0.264
CDH16	-2.24225
FGF7	2.523
PCSK4	0.2335
NPC1L1	-1.68
TAT	0.3695
TBCA	-1.10775
MGC33407	-0.26175
GPR115	-1.4525
CYGB	0.105
FNBP4	-0.285333333333333
C12orf43	-0.4735
CBL	0.1881
CLECL1	3.635
PPAPDC1A	-2.58675
WDR25	-0.454166666666667
SGCA	1.016
C22orf29	-0.445666666666667
YIPF1	0.79275
GALK2	-0.72125
RAB3B	-4.19045454545455
LOC440087	-0.54225
UCP1	-0.5935
REEP5	1.066875
FADD	-0.4171
FOXA1	-1.0035
CACNA1A	0.249166666666667
ABI1	1.04116666666667
GRIN2D	1.21525
SLC1A4	-0.164333333333333
LOC401127	-1.42775
HINT2	-0.3205
PLD4	1.0575
ZNF286A	-0.29525
ENY2	-0.33375
IL1F6	0.5305
PXDNL	0.5525
C20orf79	0.12725
TNFSF13B	4.75833333333333
DENND3	1.883875
JARID1D	-3.72775
HIST1H2AK	0.0615
LOC93349	2.23255555555556
SSH1	-1.0783
ENSA	-1.08225
LOC219854	-0.417333333333333
CKAP2	-0.5973
DKFZP564J102	-0.556833333333333
MGC87315	0.1345
HNRPAB	-0.58525
AMH	-1.757
ZNF526	0.7805
BRUNOL5	-0.3241
CACNG3	0.393833333333333
TRPM1	-1.251
PPP2R1A	-0.0485
COL2A1	-1.6375
DDN	-0.206666666666667
FLJ25770	0.851
HK2	-0.628642857142857
ELOVL6	-2.07125
MDK	1.06425
EPHX1	-0.23925
RASSF2	2.00375
DKFZP434B0335	0.36925
DLX3	0.064
PRTN3	-0.677
AVPR1A	0.31125
C21orf125	-2.3285
TNFAIP8	1.4
GNB2L1	-0.24175
CALCRL	2.11275
SCGB2A2	8.025
UBXD7	0.361
ZNF674	-1.1585
TMEM35	0.2165
BRSK2	-1.006625
HECTD3	-0.239
TMEM188	-0.0921666666666667
LGALS9	3.6925
SCARB2	0.475083333333333
USP34	0.0470833333333333
C17orf28	0.0803333333333333
ZDHHC23	-1.03875
AQP12B	-0.7955
SLC16A3	-1.58975
APLP2	-0.256125
ITIH2	-5.409
MICAL3	0.1835
TNNI3K	0.2133
HDAC2	0.670875
PRR7	-0.00420000000000007
THBS2	-1.74725
LOC751071	-1.027
CA2	1.0675
RANBP17	-0.285
RLN3	0.441
CRYZ	-0.665833333333333
GBAS	0.237833333333333
TAS1R1	-0.20725
MPZL3	0.477
PCDH8	1.8825
HSP90B1	0.273916666666667
KCNK15	-0.671
TNIP2	-0.0555
GPR146	0.25975
NOL6	-0.167625
SPC25	-2.12711111111111
STEAP2	0.953714285714286
VAMP3	-0.196
TCIRG1	0.4765
ZP4	2.824
PARL	0.36025
TRIM39	0.519166666666667
KIAA1305	1.66975
CRNN	0.157
GRN	0.77025
HSH2D	1.51425
SCAMP1	0.288125
KIAA1913	1.66675
PTS	-1.1125
BANP	0.256071428571429
PRKACG	-0.04825
ADCY6	-0.228666666666667
C16orf46	0.3315
CYP51A1	-0.071875
DDC	-3.11125
ANPEP	0.041
PROM1	3.59416666666667
SIGLEC10	3.6635
COPG	0.4905
FAM26E	0.577375
TRIP4	-0.01375
SNX3	0.952
C1orf175	0.611
PPY2	-0.21825
C14orf152	-0.29675
FTSJ1	-0.562833333333333
DST	0.74485
LOC554235	-0.35475
GLRX5	-0.82475
C20orf12	0.0738
CAB39	0.703166666666667
MSH2	-0.908
PIP4K2C	-0.0545
CYLD	2.211625
WTAP	0.7665
MGAT4A	1.12722222222222
TSC22D4	0.2293
CHRM2	-0.1975
PPYR1	0.634333333333333
CCNH	-0.928
RRM1	-1.164
ECAT8	2.73375
LOC400120	-0.23975
GABRA4	0.0805
C14orf4	0.837833333333333
C1orf59	0.51625
CTDSPL	-0.190916666666667
NHEDC2	-0.506
PDE11A	-1.4176
KLHL29	0.6055
CD5	2.4047
TSPAN9	1.152875
WDR67	-0.73725
THUMPD1	0.3197
C18orf17	-0.3245
CLYBL	0.4355
FLJ13231	-0.771625
CMBL	-2.252
LECT2	-0.533666666666667
NKAPL	1.62683333333333
LOC654780	0.6925
OR4C6	-0.596
RAB30	0.818166666666667
TSSK4	-0.523
TMEM163	2.8855
OSBPL11	0.879833333333333
GNB5	-0.732166666666667
CCL21	3.194
C1orf121	0.302833333333333
FMO2	4.10233333333333
RPTN	null
MSTN	0.1215
VCL	-0.6555
FYTTD1	0.2625
C11orf1	-0.78425
CCDC88C	1.0965625
HFE	-0.473055555555556
MOGAT1	-0.203
FAM125B	0.275166666666667
IRGQ	0.4445
RAVER2	0.4345
AKAP5	-0.6675
SSSCA1	-0.5455
C11orf63	0.42075
ACTG2	1.6318
