Hybridization REF	TCGA-AO-A12H-01A-11R-A115-07
KIR3DX1	-0.39
GAS2L3	-0.51325
PDE8A	-0.7187
EDN3	-0.983
GMIP	1.07825
SF3A2	-0.815
FN3KRP	0.374
SMAD7	1.282
RHBDD2	0.78275
OR11H6	0.847
PPP1R3B	1.5618
C9orf23	0.181
CADPS	4.869
GOLGA8A	-2.55925
TMEM57	0.678333333333333
RGL3	0.095
S100A14	3.326
FGFR2	0.8175625
XRCC3	-0.9705
RTN4RL2	0.18925
MGC3771	1.517
GH2	-0.440666666666667
BTBD2	0.25825
LMO2	1.2255
RDBP	-0.3975
ACRBP	-1.48375
AMY2A	1.87
DUOXA1	-0.297
PTK7	0.0495
TWF2	-0.326
FAM80A	0.404
TNNI2	-2.977
GLT25D1	-0.744666666666667
OCC-1	-0.75575
CYC1	-0.805
RPL22	0.0186818181818182
MORN3	2.22583333333333
DISP1	1.42675
PRB2	0.3165
CHUK	-0.868
HR	-1.8155
CCDC134	0.37
DENND4B	-0.87175
C14orf130	0.073375
RAB33A	-2.472
DCST2	0.093
TNMD	-2.62025
PEX7	1.238
FAM62A	-0.52275
SRD5A2L	-0.4845
IL22	0.18025
RPS26	-1.35883333333333
HOXC5	-0.3825
SPATA6	1.47325
FLJ38482	1.124375
ZNF234	2.199
C18orf22	0.876
SPATA22	-0.78925
THOC1	-0.57025
CYP7B1	3.29825
KCNC3	1.51725
C8orf42	0.548
ALDH1B1	0.2015
CCDC100	0.2398
ARMC4	2.25875
FAM18B2	0.01025
SLC44A1	0.286
FBXO17	-2.53566666666667
C6orf107	-0.10175
C19orf29	-0.4905
ZC3HAV1L	-0.15975
PARP6	-0.2522
SULT2A1	-5.1335
C1orf159	-1.24575
TMC1	0.78825
CHST14	0.7525
GAMT	0.513833333333333
SMCP	0.128166666666667
TSPAN33	1.43375
MIDN	-0.060625
NOX4	1.68175
RNASEN	-0.1899
TBX1	1.6085
SALL2	0.038
C10orf35	1.21275
CYP2E1	-0.69525
LRFN2	1.33616666666667
ACO1	-0.0353333333333333
IQCG	0.6984
MEGF9	1.86875
TM7SF4	-0.418
PLEKHA1	-0.1048
STK33	-2.0845
C1orf210	2.62125
SNUPN	0.2715
KIAA0406	-1.0201
C20orf29	0.247
TMEM55B	-0.24675
OSTM1	-0.58275
CLCN7	-0.53325
OTP	-0.5075
FLJ23049	-1.26066666666667
HEATR4	0.8455
MAP3K10	-0.457833333333333
PCDHGA9	0.9175
AMDHD2	0.00575
LCTL	-2.789
PDCD2L	-0.90525
CABLES2	0.2465
SLC5A9	-0.70375
CLCA2	-2.924
MGC16025	-1.317
STRAP	-0.434
C20orf196	0.0805
RRBP1	0.2035
NAT13	-0.8
MAT2B	-0.705
CSNK1D	-1.16716666666667
KIR3DL1	0.4015
PRKAG3	1.057
ZNF599	1.6605
PRM3	0.398
PER2	1.47383333333333
ASPHD1	-0.0165
PRMT6	0.2435
KCNE1L	-1.62771428571429
FAM118A	-1.24233333333333
TAF4	-0.40925
NDUFB6	-0.02775
TRIM9	-2.13075
PMFBP1	0.01425
KY	0.1445
DKFZp762E1312	-2.91981818181818
CSMD1	-0.81225
TBP	-0.893666666666667
OR1Q1	0.420166666666667
RETNLB	0.103
HPGD	-1.27638461538462
DNAJC12	2.22833333333333
FKBP1B	-1.63025
ANKRD24	0.999
CXXC5	1.52
IL3	0.319285714285714
DRAM	0.2072
PTCH1	-2.064
TP53BP1	0.50675
SLC17A7	-0.10825
COL25A1	-1.8296
AMACR	0.3435
RHCG	-0.30725
VPS13A	0.0575833333333333
FAM55D	0.49
PRPF38B	-0.54225
OSBPL6	1.44125
PFDN5	0.6506
CMTM6	0.742625
KCNK12	-0.889
RP2	-0.337
C16orf52	-0.9065
PICK1	0.803
IFNE1	-1.41233333333333
SEMA4B	0.7765
TYRO3	-2.48325
OR12D2	0.3065
CSNK1A1	1.0911
FANCF	1.798
LONP2	2.420625
TBL1Y	-0.62575
LDOC1L	0.032875
CCNC	-0.8365
C3orf60	0.50325
CHKA	-1.008
UBAP1	0.705
MAP3K1	0.524
ANKRD9	-1.061
FAM92A1	-0.582166666666667
GAB2	-0.4995
AZU1	0.05625
DIS3	-0.273916666666667
C21orf109	-1.19975
IQCB1	-0.9445
SPATS2	-0.328166666666667
EFCAB3	-0.75275
PRB3	-0.17925
FUZ	0.188
ZNF813	0.17175
BMPER	1.5655
HEG1	-0.401875
ALS2CR11	-1.8835
SURF2	-0.446
PSMC1	-0.293833333333333
OR2D2	0.6145
SLC7A8	2.827
C4orf40	0.0715
SPATA7	1.178
MAZ	-0.51475
PIN4	1.2015
PDE1A	-0.111
TAF6L	-0.111
OR2T34	0.746
KIAA0284	0.81225
ACADS	0.717727272727273
MKRN2	-0.3055
C18orf56	-2.00825
MS4A6E	-0.260833333333333
GALNT4	0.4184
C22orf31	-0.1065
FLJ36070	-0.2
PSME4	-0.67625
TFG	-0.2868
EPHX2	1.88875
ANXA5	-0.153
KRTAP1-1	-0.1879
BATF	2.8785
KARS	-1.38425
MSTP9	-1.0585
GPR26	0.256
CCDC72	-0.066
TEF	1.2295
FOXK1	-1.0536
PRLHR	0.184
EMX1	-0.189
C11orf30	0.02075
ICK	0.630625
THSD7B	-0.305
C21orf100	-1.579
DUOX1	1.918
EFCAB4B	0.266
UBE2G2	-0.043
C3orf54	0.22475
PARP1	-1.06275
FAM60A	-3.054
C6orf146	-1.075
OR9K2	0.4635
DDX55	-0.878
RPS15	0.418166666666667
ZNF618	0.804125
DKFZp686D0972	0.1305
SSPO	1.4995
SHFM3P1	1.36733333333333
CPA6	6.102
JAG2	1.30275
DEFA3	0.48575
PPBPL2	0.0675
CD34	4.5135
SLCO4A1	-2.306
AFG3L1	-1.11016666666667
SHD	-1.15725
RP13-122B23.3	-0.515666666666667
PRKCSH	-0.198833333333333
DPH5	-0.527
HLA-F	1.89675
TBC1D4	-1.971
RIG	-1.2002
GLUD1	0.930833333333333
HNRPCL1	0.913625
HBXIP	-0.4975
RNF207	-0.023
APIP	-0.32775
PLA2G3	-0.807333333333333
CCDC84	-1.15625
MYLIP	0.194230769230769
PHIP	1.2325
AARS2	-0.415333333333333
DHX32	0.09475
SCAPER	0.388
MEN1	0.221125
NIP7	-1.4085
FLJ25404	0.2975
FASTKD3	-0.699
TMEM158	-2.71175
RARA	1.578
BDH1	1.6025
ANKRD16	0.44125
CARM1	0.819
SS18	0.853666666666667
IKZF2	-2.44083333333333
MYD88	0.747125
PML	0.3922
TAF1A	-2.058
CBFB	-1.304125
HIST1H3H	-2.78633333333333
C7orf29	-1.23225
COMMD4	-0.918666666666667
DPP3	-0.94825
DAB2	0.188875
LOC388882	-0.114
YPEL4	-1.532
AGBL3	-0.01925
LRP6	1.2921
SERPINH1	-0.942333333333333
TLE1	-2.01425
CD244	0.568
ZDHHC15	0.738
MGLL	0.7051
PLDN	-0.326166666666667
LOC654346	1.373
FAP	0.86675
GPR37	0.0238333333333333
SCARA5	-1.89616666666667
EBF4	1.12036363636364
LSM6	-0.73375
MLLT1	0.1895625
SLC5A12	0.85875
A2BP1	-2.0915
COPS5	0.0736666666666667
TPM4	-0.478928571428571
TNFSF4	0.7195
ACADSB	2.08577777777778
HERPUD1	0.9015
BCL2L11	-0.0900555555555556
CEP78	-1.131625
CDCA3	-1.7635
WBSCR19	-0.2007
MYO1A	-1.931
PPEF1	2.493
LOC440348	-0.3675
CPEB2	3.58
BPTF	0.160416666666667
RPL21	-0.8755625
GSX2	-1.6465
ADPRH	1.44183333333333
C17orf68	0.422166666666667
KCNS1	-1.02666666666667
MLLT6	0.0848
PIWIL4	0.242
RNF26	-0.999
RAP1B	-0.095875
ADAMTS1	-2.4501
ZNF571	1.8425
P2RY6	-0.028
TRIM21	0.979666666666667
CADM3	-0.32675
NLRC5	0.5895
ADRA2B	0.101666666666667
LOC90835	-0.281375
PCF11	-0.05825
LOC400451	2.205
GLTSCR1	0.0211
C17orf88	-0.571833333333333
CDH16	-1.8295
FGF7	2.555875
PCSK4	0.895166666666667
NPC1L1	-0.416
TAT	0.215571428571429
TBCA	0.0225
MGC33407	-0.05425
GPR115	-1.433875
CYGB	0.1785
FNBP4	-0.930166666666667
C12orf43	-0.06025
CBL	-0.7415
CLECL1	1.95425
PPAPDC1A	-0.3845
WDR25	1.02666666666667
SGCA	1.0785
C22orf29	0.846333333333333
YIPF1	1.41
GALK2	-1.031
RAB3B	0.226166666666667
LOC440087	0.1885
UCP1	-0.447
REEP5	1.58875
FADD	-0.2077
FOXA1	5.293875
CACNA1A	-0.1275
ABI1	-0.0075
GRIN2D	-1.2535
SLC1A4	0.340666666666667
LOC401127	-0.02575
HINT2	0.05925
PLD4	1.362
ZNF286A	-0.154
ENY2	-1.32425
IL1F6	0.117
PXDNL	1.472
C20orf79	-0.595
TNFSF13B	2.8445
DENND3	0.463625
JARID1D	-3.1415
HIST1H2AK	0.470875
LOC93349	-0.5764
SSH1	-0.9081
ENSA	-0.127
LOC219854	-0.309166666666667
CKAP2	-1.361
DKFZP564J102	2.2825
MGC87315	0.699833333333333
HNRPAB	-0.72125
AMH	-1.2605
ZNF526	0.566
BRUNOL5	0.043
CACNG3	0.345666666666667
TRPM1	-2.1805
PPP2R1A	0.740875
COL2A1	0.78025
DDN	-0.335
FLJ25770	1.95583333333333
HK2	0.384285714285714
ELOVL6	-0.435375
MDK	-1.511
EPHX1	0.4
RASSF2	-0.030125
DKFZP434B0335	-0.305
DLX3	1.57275
PRTN3	-0.63425
AVPR1A	1.04875
C21orf125	-2.05625
TNFAIP8	-1.80233333333333
GNB2L1	-0.29025
CALCRL	3.43675
SCGB2A2	3.534
UBXD7	0.1315
ZNF674	-0.244
TMEM35	-1.013375
BRSK2	0.913875
HECTD3	0.4855
TMEM188	-0.258083333333333
LGALS9	1.59025
SCARB2	1.18408333333333
USP34	-0.201583333333333
C17orf28	1.558
ZDHHC23	-1.10525
AQP12B	-0.6395
SLC16A3	-2.0755
APLP2	2.044375
ITIH2	-5.27575
MICAL3	-0.682875
TNNI3K	1.1425
HDAC2	-0.386625
PRR7	-0.6714
THBS2	-1.825
LOC751071	-0.0216666666666667
CA2	-2.346
RANBP17	0.9185
RLN3	0.18875
CRYZ	0.155166666666667
GBAS	0.834333333333333
TAS1R1	0.03975
MPZL3	0.738
PCDH8	-3.13125
HSP90B1	0.165333333333333
KCNK15	1.0785
TNIP2	0.608166666666667
GPR146	0.17
NOL6	0.045625
SPC25	-3.36222222222222
STEAP2	0.164
VAMP3	-0.205666666666667
TCIRG1	0.2185
ZP4	-0.1856
PARL	-0.651375
TRIM39	0.285333333333333
KIAA1305	1.56775
CRNN	0.288
GRN	0.7005
HSH2D	2.15875
SCAMP1	1.9148125
KIAA1913	-1.2065
PTS	0.5045
BANP	0.386357142857143
PRKACG	0.557
ADCY6	0.835333333333333
C16orf46	0.2875
CYP51A1	-0.574625
DDC	-5.606
ANPEP	0.386
PROM1	-3.71166666666667
SIGLEC10	2.42325
COPG	1.458
FAM26E	0.8795
TRIP4	0.50475
SNX3	0.0978333333333333
C1orf175	1.12183333333333
PPY2	-0.219
C14orf152	0.10575
FTSJ1	-0.328833333333333
DST	-1.5579
LOC554235	-0.06775
GLRX5	-0.35475
C20orf12	1.1265
CAB39	0.768833333333333
MSH2	-1.0925
PIP4K2C	0.786375
CYLD	1.416875
WTAP	0.118375
MGAT4A	2.32588888888889
TSC22D4	0.1789
CHRM2	-1.5955
PPYR1	-0.117833333333333
CCNH	0.3555
RRM1	-0.53375
ECAT8	-3.16975
LOC400120	0.2205
GABRA4	-0.158142857142857
C14orf4	1.66933333333333
C1orf59	-0.47625
CTDSPL	1.06641666666667
NHEDC2	-0.532
PDE11A	-0.284625
KLHL29	-2.855
CD5	-1.7636
TSPAN9	1.461
WDR67	-1.995
THUMPD1	0.2517
C18orf17	1.737
CLYBL	0.161833333333333
FLJ13231	0.496
CMBL	1.638375
LECT2	-0.325
NKAPL	1.92783333333333
LOC654780	0.302
OR4C6	-0.06
RAB30	1.55133333333333
TSSK4	-0.061
TMEM163	0.565
OSBPL11	-0.291583333333333
GNB5	-0.248833333333333
CCL21	0.41225
C1orf121	-1.22483333333333
FMO2	0.742333333333333
RPTN	-1.1525
MSTN	0.0385
VCL	-0.584428571428571
FYTTD1	0.47825
C11orf1	0.51425
CCDC88C	0.89925
HFE	0.261666666666667
MOGAT1	-0.6655
FAM125B	1.1655
IRGQ	-0.7205
RAVER2	1.4675
AKAP5	-0.5945
SSSCA1	-0.74625
C11orf63	2.832875
ACTG2	-0.9179
PORCN	-0.346
DTL	-2.38254545454545
TMEM151	0.37075
FAM122C	0.377
RSAD2	3.6997
BAT4	-0.6835
KRTDAP	-0.396833333333333
MYH8	0.370714285714286
CRTC3	0.5835
LRRFIP2	0.5737
INTS4	-0.831166666666667
TTN	-1.76916666666667
SLC26A5	0.2665
PLLP	1.14675
RGS6	-0.967375
SRGAP3	0.95875
ZNF525	0.156666666666667
NBR2	-0.390166666666667
C13orf1	0.6459
ZNF137	0.6915
CEP27	-1.5225
BEST2	0.1015
RNF121	-0.96175
DMRTC2	0.11525
C8orf76	-0.32275
BCCIP	-0.488
MEST	-1.70825
HTRA2	-0.301
ANGPTL2	-1.19175
ILKAP	-0.159666666666667
ERAS	0.2885
HBS1L	-0.52325
CPA5	0.151
TMEM30A	0.3535
CD300LF	1.68716666666667
WISP3	-1.135
CRK	0.544
PDS5A	-0.0289
BRPF3	1.08433333333333
NEDD9	-0.503
SMPDL3B	1.69125
PSG6	-1.772
PSMD13	0.43
ETV5	-1.5050625
OR51A4	0.2275
BTBD7	1.361
GSTO1	-0.788875
hCG_16001	-0.5485
MAD2L1BP	-0.2525
COX6A2	-1.3655
SCNN1A	0.559
LSM1	-0.323166666666667
UGT2B11	-1.21075
IDUA	0.44025
PPP2R3C	-0.812666666666667
COX11	-0.732333333333333
PDZK1	1.5225
ZNF443	1.6005
MGC21874	2.163
ZNF323	1.4688
KRTAP10-10	0.114
CXCL6	-0.5085
SLC34A2	0.276333333333333
LOC284402	0.293
NPTN	0.308666666666667
UPP1	-2.57033333333333
SLC6A9	-0.733
OR7G3	-0.16525
CISD1	-0.801
ZNF545	1.22033333333333
SYT14	-0.722
NT5C3L	-0.2125
ZNHIT3	0.19
SNRPD3	0.297
KIAA0701	0.413875
UNC93B1	-0.162666666666667
GMNN	-2.64575
SPCS2	0.594666666666667
LOC388524	-1.248
NAPRT1	-0.5
PNLIPRP1	0.18875
OR6V1	0.1735
PRKAB1	0.152
EYA4	-3.9115
KIF20A	-2.74075
ALG10	-0.547
ITPKC	0.806666666666667
LMX1B	1.75466666666667
RPUSD4	-0.453833333333333
C7orf34	0.531
DLGAP2	0.011
PFN1	-0.4399
MICALL2	0.074
ZNF654	0.4505
SS18L1	-0.9185
SLC16A8	0.19725
MKI67IP	-0.647833333333333
ITGB3	-0.72525
TCEA3	3.17041666666667
CEP152	-2.5274
CLIP1	1.722625
ZNF75	1.123
ATP5C1	0.303833333333333
NUDT5	-0.626333333333333
PSCDBP	-0.5935
UBP1	0.00225000000000001
RBM27	-0.10925
C13orf15	1.78675
ZNF282	0.232
ZNF222	0.0611
COL10A1	4.8285
PRDM15	-0.544125
TTTY5	-0.395
FAM9C	-0.940666666666667
C20orf67	-0.47775
GNG13	0.712
F12	-1.1235
C1orf41	-0.251
CPXCR1	0.061
GSK3A	0.46825
SUPT6H	0.269666666666667
PI16	-2.0085
ELL2	-1.62558333333333
C9orf167	-1.54616666666667
PVRL3	-2.9796
FLJ38596	1.68375
ADAM20	0.4985
GPR89A	1.3045
GPR87	-3.501
ZNF30	1.72475
SMR3B	-0.32625
ZNF770	0.19775
TRPC4AP	-0.4935
DKFZP686E2158	0.334333333333333
C2orf28	-0.2065
FREM1	-3.90033333333333
LAMA4	0.170833333333333
ADPRHL2	0.19275
EIF4G2	0.361833333333333
GUCA1A	0.197
CTNNA2	-1.820625
NUDT15	-0.567166666666667
CEPT1	-0.509666666666667
ZNFX1	0.7136
CCDC92	1.345
TDRD1	-1.0385
KCNK5	-2.451
ETNK1	-0.158583333333333
LTA	0.3335
TTPA	0.244666666666667
B3GALNT2	-0.378125
SC65	0.323166666666667
PEX5L	3.654625
EPS15L1	0.40525
MGEA5	0.31375
HIST1H3A	0.95425
ING1	1.13475
BCAT1	-3.167125
ORC6L	-2.55563636363636
KLK11	-5.42766666666667
C19orf28	-1.245875
DNER	-4.857625
MED22	-0.675714285714286
ETV6	0.435083333333333
CHAC2	-2.33075
CD300E	0.1205
CEBPB	-0.726333333333333
ZNF398	0.28775
LRCH3	-0.1685
HMGA1	-2.38866666666667
CAPN7	0.287
MGC5566	-2.732
CCL3	3.099875
NANOS1	0.102125
ZFYVE19	0.28525
APITD1	0.322333333333333
PARD3	1.38375
IRAK4	0.493
SERPINI2	-1.3555
CEP170L	-1.55575
TTC9	3.210625
MYOM3	-1.3145
MLPH	2.173
LOC222699	-0.636
NRG1	-2.11258333333333
TBC1D9	5.48145454545455
TTK	-2.63466666666667
ZNF557	0.9467
DDX41	-0.625166666666667
FANK1	1.964
UBE2D2	0.066875
PSMB10	0.81525
MYH7B	0.2585
GABARAPL2	1.08375
MARVELD2	2.3465
DGCR2	1.42833333333333
UNC45A	0.400833333333333
C6orf72	0.907
ZNF683	3.57825
GIT2	0.0625
CASK	0.724666666666667
C14orf161	3.99866666666667
LRRC44	1.761
TIFA	-0.572
UTP11L	-0.176625
C6orf65	-2.19925
FDPS	-1.135
DUSP9	-1.9306
SLC17A8	1.72383333333333
OR51G1	0.466166666666667
NANS	-0.13575
OLFML1	1.4025
ATP10B	-1.61
NPAS3	1.0405
PRKCA	-2.6777
GGA2	0.267
LCE4A	0.719
SPANXN3	1.0885
CCDC115	1.985625
SDCCAG3	-1.48475
GLIPR1L1	-0.015
TTC1	-0.2445
C17orf76	1.64375
MAD2L2	-1.72125
HIPK1	-0.0935
LRRC3B	-0.773666666666667
CLN3	-0.858272727272727
C17orf47	0.8215
FMN2	-3.49725
TUBB1	-1.055
WAPAL	0.468
C3orf21	-0.620625
SCN5A	-0.321333333333333
SMYD1	-0.47
BEX5	1.08575
ZNF192	0.1305
SEC22A	-0.502666666666667
GRIA2	6.36478571428571
KIAA0825	-1.2055
NUSAP1	-2.74590909090909
LANCL1	-0.03925
C15orf40	0.4828
ZNF645	0.204
GPR61	0.02075
NLRP14	0.5015
SNX21	0.4876
C1QTNF8	-0.0555
C17orf46	0.31575
IFNA8	0.064
SPRR1B	-1.923
FLRT1	-0.621
SNX17	0.189666666666667
ASB2	-0.831166666666667
HBG1	-4.178
RPRML	-2.25925
JOSD2	-0.300666666666667
PLSCR3	0.0455
SPOCD1	-2.5075
RAB39	-0.4245
GHRH	1.83433333333333
ITIH5L	1.08475
C17orf37	0.59625
SMCR8	0.4825
DPY19L2P3	0.162
IL11RA	-1.59983333333333
GDF3	-3.90466666666667
RPS6KB1	-0.708416666666667
DNAJC19	0.8588
TOP1	-0.231
CRCT1	-1.3575
MPST	0.379125
DPM2	-0.496
FAM38B	0.528833333333333
SLC18A1	-2.79766666666667
FARP1	0.238
PAX7	-0.0125
TUBD1	-1.03375
GNL3	0.314125
BTG2	1.69106666666667
NDUFS6	-0.93425
C1orf79	-2.2525
ERAL1	-0.289
ECHS1	0.921
VPS4A	-0.0346666666666667
CYP11A1	-1.248125
ABCC6	-2.79871428571429
PBX4	-2.026
MOSC1	-0.054875
NCF4	0.7725
HYMAI	-0.675
NAGPA	-0.446875
OTOP2	0.329
ACOT12	0.1245
MTHFD2L	0.092
LOC441376	4.19575
C19orf34	-0.648
RAB1B	0.48625
ALDOAP2	0.146
NTRK1	-1.94316666666667
ARTS-1	-0.5309
SLC6A11	-1.0285
NAP1L2	1.34875
CNGB1	-0.139333333333333
EPB41L4B	1.35666666666667
FAM134B	3.927
HS3ST3A1	-2.9155
CPXM2	3.394
SIRPB2	0.3855
CHORDC1	-0.749333333333333
TRIB3	-0.390666666666667
SLC2A5	0.5625
C2orf49	-0.544
DDX5	-0.06825
OR5L1	-0.9035
ANAPC4	-0.518666666666667
ZSWIM1	0.306
LOC93622	-0.1155
KCNK3	-0.4245
RP11-35N6.1	-2.41025
ZFP161	0.9375
AQP9	0.11
SLC15A2	-1.44216666666667
MREG	0.482166666666667
OR9I1	0.126
PDLIM2	-0.49425
ADAM7	0.447
GSTCD	-0.225666666666667
WDR21A	0.448625
SLC12A8	1.9015
TMEM174	0.062
IGSF3	-1.53708333333333
LRRN1	2.8245
LOC402117	-0.1895
SRPK1	-1.1815
LY6K	-2.231875
NFIA	1.6975
PTCD3	-1.06525
LEP	-0.290166666666667
PCDH21	-0.4426
MAPKAPK2	0.594928571428571
NMNAT1	0.110833333333333
LHFPL2	0.074
C9orf43	0.84475
DIP2A	-0.447166666666667
ACTR8	0.43775
CCDC34	1.35475
PTPN22	-1.642625
ITGA3	-0.416
FAM129C	0.10725
RABGGTA	0.7125
UNC45B	0.40375
KIAA1033	0.1585
ZNF510	1.26216666666667
CYP2D6	-0.656833333333333
SLC26A10	-1.7785
STX8	0.232
LUZP1	0.216
WDR89	0.508333333333333
EIF4G3	0.8397
C5AR1	1.244625
ZNF623	0.589
A2M	1.026
TGM7	0.5815
GRPEL1	0.116166666666667
LMNB2	-1.6744
ROCK2	-0.1825
SNX16	0.34075
CCDC66	0.8475
ANXA3	-1.47675
KIAA1609	-0.24275
EED	-1.2365
RNF32	1.45083333333333
HES1	2.437
CLC	0.291
ISL1	-0.461166666666667
KIAA0528	0.840875
MANEA	1.122375
C1orf61	-2.055
hCG_2001000	-0.20075
RAPGEF6	0.3228
KIAA0020	-1.22133333333333
NEIL1	1.57225
C16orf45	-0.739625
RBM10	-0.0515
C10orf125	-2.557625
MRS2L	0.35225
DNAH17	-1.480625
C19orf10	-0.12675
C1orf160	0.232
SLFN12	0.093
EXOC3	0.029
HIST3H3	0.7655
NCOR2	0.716833333333333
TNFRSF9	-1.3725
MFSD8	0.7495
ALX1	-4.15216666666667
NOL1	-1.177
PODN	1.54425
TIAL1	-1.07875
HIST1H1E	-0.33
NPY6R	0.37125
TM4SF4	0.34225
CORO2A	0.19625
ETNK2	-0.0346666666666667
APOE	0.3549
ANGPT4	0.6415
HDGF2	-0.02175
G30	-0.12
ST8SIA4	-0.31425
F2RL1	-0.44525
FAM19A4	-3.4095
CCAR1	0.61225
B3GNT7	-0.046
OPHN1	-0.0147
DSCR6	1.7145
C21orf13	1.025
GAS2L1	0.135166666666667
RFX3	-0.378
COPS4	0.244375
BCHE	-5.89016666666667
BCL2	5.072375
HBZ	-2.77833333333333
ARL13B	0.410875
MAPBPIP	0.42775
MYO15B	0.139
SPZ1	1.239
KIAA1324	3.191
PLCL2	0.193875
C4orf29	-0.37425
WDFY2	-1.168375
ZNF284	-0.3025
NAALADL1	-0.3885
DUSP5	0.533833333333333
PXDN	0.397125
SLMO1	-0.13575
TNXB	-0.08
BIRC7	-1.218
A4GALT	-0.140666666666667
TIMM22	0.449
FAM110C	1.53225
TOMM34	-0.767875
ABHD9	-0.0235
ADAM32	3.18
CRHBP	0.00524999999999999
AQP2	0.671125
LOC130355	0.324
ZNF187	0.440333333333333
ZNF816A	0.2615
F7	0.33775
CNOT1	-0.1731
SLC13A4	-0.30175
ZBTB11	0.16825
B3GALT5	0.2405
EXOC2	0.545166666666667
IRS1	-1.7166
TMEM1	-0.0616666666666667
MRPL34	-0.122
SAMM50	-0.401
CDC42EP3	1.202625
HSF2	-0.4524
MFN2	0.56125
TSPAN7	-3.25416666666667
NUCB1	0.32675
RHOH	2.885
ARL16	-0.244
TACR1	0.393
SFRS5	0.4235
SNX25	1.16625
RHBDF1	0.543333333333333
PCDH18	0.8575
HMG1L1	0.16
MYO5C	1.93125
MAPK10	-1.098
LDHAL6A	0.583833333333333
NUDT12	3.014
NCAM1	-0.189875
GLIS2	0.0625
GGTL4	-0.0505
DAPP1	-0.95975
ATF7	-0.217375
KIAA0748	-2.03375
NFIL3	-2.79825
TM6SF1	0.8231
SEZ6	-0.034875
NANOS3	0.590166666666667
DNAJA3	-0.404333333333333
CLDN6	-1.909
CIITA	1.9442
EPHA4	-0.2365
FANCC	-0.4935
CMTM3	-0.139375
PSG3	-0.780875
MRPL15	-0.93725
C21orf59	0.50575
PLCXD2	-0.52275
C2orf34	0.2245
UBE2L6	0.74475
MED14	-0.0275
HP1BP3	-0.6598
C6orf208	0.6885
TPBG	1.44075
OSR2	-2.768125
XPC	0.282833333333333
KLHL7	-1.06641666666667
CCR3	-0.0553333333333334
AGTPBP1	-0.438
PCSK6	2.79926666666667
STAT5A	-0.8704
FAM18B	0.379
LONRF2	1.09283333333333
PTPN2	-0.357875
SF3A3	-0.858333333333333
EFCBP2	-0.33425
HCFC1	-0.4895
AHNAK	0.2658
ACTR5	0.011
KIF14	-3.37828571428571
TENC1	1.9475
HEATR5B	1.5185
YIPF2	0.865666666666667
MYEOV2	0.404166666666667
DUSP18	1.106
KIAA1012	0.44375
AHR	-1.71166666666667
C17orf53	-1.10833333333333
PTPRH	-3.59475
ATP6V1C1	0.0845
TAS2R3	-1.546
LOC440356	-0.924
COQ10B	0.56525
PSMF1	0.76675
SORBS2	-0.523166666666667
NFE2L2	-0.31925
TMCO7	0.55125
SH3PXD2A	0.5454
SH2D2A	-2.56575
SPINK5	-3.11575
MRPS24	-1.07675
OPA3	-0.31975
TRAF7	-0.190666666666667
C4orf35	-0.616833333333333
MT1G	-0.471
MGC39545	-0.294
HS1BP3	0.5723
OR2B2	0.134
CHRM4	-0.083
SFRP2	1.49891666666667
RIC3	2.67225
ART1	-0.1815
C6orf1	1.000875
DUS4L	-0.9455
C10orf104	0.79825
TNFAIP6	1.025
RTEL1	-1.23575
CCT4	-0.639
ZNF709	1.3725
CHMP6	-0.196
UPP2	-0.286
CYP19A1	-4.293625
CD151	-0.517833333333333
NDUFA13	-0.404666666666667
ARFRP1	-1.21033333333333
FAM26B	1.4505
CRYBA1	-1.892
MRPL41	0.487666666666667
NPFFR2	0.14775
HRH2	0.258
SCAMP3	-0.362666666666667
MTMR6	0.41
MTG1	-1.087
UBTD1	0.49675
CRABP1	-3.1465
FLJ33790	1.3695
KIAA1908	0.4435
GPR158	0.86875
PACSIN3	-0.041
OMD	3.27883333333333
CATSPER1	0.439333333333333
HOXB8	-2.257875
FBXO46	0.991
OAS1	2.37383333333333
SVIL	-0.22625
PHB2	-0.842
ADCY3	0.1495
NDRG2	0.416833333333333
ERMAP	1.7795
APBA2	0.19
IGSF9	0.45575
WNT6	-1.6165
MYCBPAP	2.667
ATP2B2	-0.136
CPVL	-1.0516
TRAM2	-1.11691666666667
NOP5/NOP58	-0.1335
ZNRF4	-0.064
TLK1	0.028
MTMR12	0.227142857142857
ZNF384	-0.3025
FAM9B	-3.158
RPN1	0.2145
PMVK	0.9085
EIF3D	0.3668
SIX2	2.40025
HPS1	0.717714285714286
RNF7	0.984
PSKH2	0.247
KCTD13	0.192333333333333
CSMD3	-0.8638
FBF1	-0.4925
IL8	-5.918375
SERPINB13	0.450545454545455
FBXL20	0.11475
BLR1	0.439
SH2B1	0.257666666666667
RFNG	0.628625
RAB20	0.733833333333333
RBM7	-1.956
POLR1A	-0.6685
TMPRSS4	-3.20675
TAF9	-0.667875
TERF2	0.517666666666667
TNFRSF1A	0.273916666666667
ACADVL	-0.603166666666667
GTF2H5	0.40975
EDG8	0.0646666666666667
C9orf140	-1.12225
UST6	0.779666666666667
ZBTB8OS	-0.30675
ZNF710	0.4705
GPR174	-3.1305
ATP6V0A2	-0.80425
KIAA0319L	0.683666666666667
XKRX	-0.123
DOPEY2	2.256
SDHD	-0.841166666666667
SUMF1	2.23375
OSM	3.1355
OPN3	-2.63625
DAGLB	-0.360833333333333
