Hybridization REF	TCGA-B6-A0IH-01A-11R-A115-07
NOP5/NOP58	0.16025
ZNRF4	0.144
TLK1	0.53925
MTMR12	0.273785714285714
ZNF384	-0.358166666666667
FAM9B	-2.40975
RPN1	0.268
PMVK	0.835
EIF3D	-0.385
SIX2	-1.375
HPS1	0.453714285714286
RNF7	0.59575
PSKH2	-0.064
KCTD13	-0.694666666666667
CSMD3	-0.2776
FBF1	-0.529
IL8	-6.369375
SERPINB13	0.34975
FBXL20	-0.54925
BLR1	0.2215
SH2B1	-0.813333333333333
RFNG	-0.7015
RAB20	1.4425
RBM7	-0.23825
POLR1A	-0.636833333333333
TMPRSS4	-3.40075
TAF9	-0.68775
TERF2	-0.0988333333333333
TNFRSF1A	0.9395
ACADVL	-0.958333333333333
GTF2H5	0.72575
EDG8	-0.065
C9orf140	-2.744375
UST6	0.108333333333333
ZBTB8OS	-0.42225
ZNF710	0.226
GPR174	-0.4575
ATP6V0A2	-1.07725
KIAA0319L	0.169
XKRX	-0.0055
DOPEY2	1.7485
SDHD	-0.162333333333333
SUMF1	1.85775
OSM	0.84025
OPN3	0.737
DAGLB	-0.485
PPFIBP1	0.4725
TRIM63	-2.50525
C10orf53	0.2505
LYPD3	-0.462166666666667
BCL7A	0.03025
AGER	-0.9635
TCF19	-1.618125
SAT2	0.11125
PFTK1	1.3645
GABRE	-2.090375
C15orf38	0.2272
FIS1	-0.229
KCNV2	-0.257
CLPS	0.23275
PPCDC	-0.810375
FOXN2	1.07266666666667
NT5E	-2.0731
CD83	0.327
IL18	0.831
VPS16	0.004
IGFBP2	-1.05833333333333
NOTCH2	0.77525
SIGLEC1	1.5845
CD93	5.8565
SULF2	-0.1475
CEP164	-0.220875
P53AIP1	0.592666666666667
TOR2A	-0.191166666666667
ZNF136	0.90525
MGP	4.1975
CCDC144A	0.7975
TRPC1	-0.006
SMS	-0.436166666666667
MAPK7	-0.716
RRAGC	1.10275
PARD6A	-1.06783333333333
NUB1	0.530666666666667
SYNGR4	-0.967
OR11H12	0.089
WIF1	2.07775
GCH1	-0.76075
OR11H4	-0.0345
SLC44A5	2.733
GPRIN2	2.24183333333333
LOC401431	0.9525
CPA4	-2.4315
MELK	-4.45477777777778
IL15RA	0.54375
CUL3	1.429375
HMBOX1	1.68
PODXL	-1.083
CCT6B	1.52916666666667
COMTD1	-1.42475
MUC20	1.1845
GPX2	-2.800375
ITK	-0.0555
FBXL5	1.61725
C13orf27	-1.39325
DEFA5	0.452
TRHDE	-0.4045
MTP18	-1.88916666666667
UQCRQ	-0.4224
ITGB2	1.409
CSRP2BP	0.798
TAS2R44	0.361
PHPT1	0.246
FAM44C	-0.4375
ERH	-0.2045
MPHOSPH1	-1.34333333333333
MORC1	-0.6055
PARVB	-0.9905
LAMA1	-1.91908333333333
PGBD3	1.5065
GIMAP6	5.0495
AREG	-2.28333333333333
LIPT1	0.31075
MGC99813	-0.7315
C1orf201	-0.208833333333333
GRIN2A	-0.268
MAN2C1	-1.743375
NSUN5	-1.37725
SF3B5	0.08225
MYC	-1.8933125
NRXN1	0.618166666666667
ZNF18	0.5105
SPDYA	-0.227
SLC37A1	1.623
DECR2	-0.09725
ANKRD38	-0.02975
SPTLC3	0.20225
SUPT16H	-0.713875
DTWD2	0.87175
ULBP1	-1.636
ZADH1	-0.024
OIP5	-4.28025
IL10RB	0.1625
OTUB2	-0.842125
VWA3A	-0.0778333333333333
SPIC	0.152333333333333
OR6C4	-0.0455
PSCD4	1.31966666666667
DPY19L2P2	-0.433
TRAPPC6A	0.635666666666667
C21orf2	-0.254666666666667
CEMP1	0.24675
LIN7B	0.0545
E2F7	-3.49133333333333
VCP	-0.537125
LAMA3	0.888583333333333
BGN	1.5335
GPR160	1.5395
COCH	-4.22916666666667
GPR81	2.12666666666667
APOBEC3F	-0.96225
tcag7.1017	-0.243
C1orf32	0.6505
SCGB1D2	6.35075
FLJ43987	-0.248
C6orf170	0.28325
KLK9	0.1275
GPD1L	0.25725
VPS37B	0.191
ATG3	0.114666666666667
ADAMTS17	-0.2285
KLHDC2	0.626666666666667
NDUFV2	-0.116
BLK	-2.46675
MATN4	-1.4305
GPM6A	1.020625
GBP4	4.30433333333333
TMEM162	0.0191666666666667
PKP2	0.0295
HRASLS	0.846111111111111
MMP1	-4.61175
SFXN3	-0.6484
FSD1	-2.03633333333333
ST6GALNAC3	-0.103166666666667
CA12	2.0108
NCOA6	0.801
C19orf58	-0.1276
PPP4R1	-0.0841666666666667
MAN1A2	0.706333333333333
IKBKAP	-0.44325
UPF1	-0.369
KIAA1219	0.975
WNT16	0.809166666666667
SNW1	0.043625
IL18RAP	3.52175
RPP30	-0.217375
CDC40	0.258857142857143
SETD3	-0.024
SLAMF6	0.31425
ELK4	-0.262
TRIM47	0.115666666666667
ACOX3	1.88325
TRIM6	0.43625
KIAA0372	0.168833333333333
TP53AP1	1.0305
SMURF2	-1.0445
ADAD1	0.0435
EBP	-2.0689
KRTAP13-2	0.3675
FLJ36874	-0.876
TOR1A	0.0695
P2RY4	-0.181
GPBP1	0.71375
TRPV1	-0.154625
ADAMTS12	1.0125
PES1	-1.2726
ATG4A	0.513666666666667
MAGEA10	-4.907
WFS1	0.95725
CC2D1B	-0.562166666666667
PABPN1	-0.415
SLC25A30	0.01
SLCO1C1	1.621
SLC22A5	1.4245
KIF23	-4.22983333333333
SYN2	0.28
ASPN	7.87666666666667
CENTG2	1.137
QSOX2	-1.379
FLJ10815	-0.00533333333333335
STK24	-0.346375
SPEG	0.3808
STK10	0.0116666666666667
DACT2	1.258
AAAS	-1.13675
SSX3	-1.197875
ABCD3	0.4379
C4orf12	0.838125
PARVG	0.668833333333333
FIG4	0.64525
C9orf46	2.0415
TMCO6	-0.824
IGHMBP2	-1.293
DUS2L	-1.27716666666667
FAM3C	0.63925
TMEM16D	-0.087
DCTN4	0.6335
KCNH3	-0.3015
EIF2AK2	0.6765
AP1S3	-0.9025
CST4	0.266
PAM	0.7873125
NUTF2	-1.09925
CITED2	0.6181
SLC39A4	-0.62775
C2orf52	-0.226
GRM3	0.14475
C12orf49	-0.379375
CCDC49	-0.6325
GRAMD1B	-1.365625
FNDC4	1.13575
SIAH2	-0.629375
GDPD4	-0.19
C21orf87	0.7435
ATP5A1	-0.383
C16orf63	-0.114
LOC388135	-0.223333333333333
ATP5J2	-0.6135
MMP3	-0.1935
EMID2	-0.1555
CRHR1	-0.03375
WDR70	-0.07625
C13orf31	1.9215
ZFAND1	0.08725
CCL18	3.92683333333333
C3orf49	-0.2555
RINT1	-0.2605
KIAA0408	-1.14
F13A1	4.9804
SLC10A1	0.297
OGN	4.26425
GIPC2	0.681833333333333
XPO6	-1.0785
LCE1A	0.422
FMR1	0.2523
LOC374920	0.504
DUSP3	-0.282625
ANKMY1	0.26525
C7orf50	-0.4335
BBS9	0.1565
UNC119B	-0.27525
C9orf72	0.437625
MGC35440	-0.40475
ENTPD6	-0.25825
PPP1R2P9	0.199
ERCC4	0.14375
FAHD2B	-1.052
HMHA1	0.582
HACL1	-0.038
RAD23A	-0.4345
FAM83B	0.30525
PPP5C	-0.979833333333333
RNASEH2C	-0.457375
C9orf153	0.051
SCAMP4	0.79225
GHITM	-0.1743
NDUFB7	0.040875
ADCYAP1	0.664833333333333
SP110	1.93533333333333
MAP3K7IP2	1.45025
DHH	-0.27
AGRN	0.756428571428571
WDR33	0.266666666666667
CEP290	0.861833333333333
PRPS1L1	-2.07883333333333
KLRA1	0.2025
GPR97	-0.1195
CHD7	-0.238666666666667
TLR10	1.72625
SLC30A8	-0.6295
HIC1	1.86816666666667
IAPP	0.1085
RXFP4	0.0595
GP1BB	-0.655
SHQ1	-0.098
NKX2-3	-0.0961666666666667
API5	-0.08125
FTHP1	0.852
MOV10L1	0.214333333333333
TRIM6-TRIM34	2.2825
ADHFE1	1.6765
FAM117A	0.1505
DDI1	0.651666666666667
CDON	-0.119333333333333
TRIM73	-0.191
IGKC	6.4035
MMP14	0.0334166666666667
DYNC1LI1	0.07075
C11orf66	0.82975
TRBV3-1	-0.84925
FASTKD5	0.603
BIVM	-0.3355
LHX4	0.21225
CXCL2	-1.0312
RAB2B	-1.09
IZUMO1	-0.6475
MAP3K15	-1.8445
FAM19A2	0.8065
ZC3H8	-0.923333333333333
ZMAT1	2.957875
SPINK5L3	-3.0195
SLC10A6	0.7175
APPL2	0.8525
CARD10	-0.204166666666667
LOC402176	0.302625
EEF1D	0.4678
RAB6A	-0.2258
C12orf5	-0.802375
PAPOLG	0.602
MSRB2	1.32625
BCR	0.448388888888889
PUS3	-0.151
TIAM2	0.857
ZNF317	-0.042
CHD2	-0.117785714285714
FZD5	-2.44040909090909
NUDT8	-1.76875
ZNF763	0.907
PRC1	-3.87477777777778
ABCB9	-0.3125
SPATA3	-0.028
TRAK2	0.39525
STAB1	2.92775
LRRTM2	0.389666666666667
psiTPTE22	-0.84425
DBI	1.2405
SERPINA11	-1.7245
NAT5	0.833
C20orf58	-1.95675
RPS6KA4	-0.0135
FLJ90650	-0.3825
TGFBRAP1	-0.226
CHRDL2	1.75275
FAHD2A	-1.25383333333333
CNTN1	0.45225
BBS4	-0.2957
TMEM181	0.306
MINPP1	-0.193
MPHOSPH6	-0.02525
HOXC10	0.3309
ITPKB	0.8025
CLPTM1L	-0.9515
MEOX2	2.213
ATP6V0C	0.27175
PRPF8	-1.105
TMC5	4.715
FKBP3	-0.931
PLEKHB2	-0.36625
OR4D6	0.0735
ZNF544	-0.2776
D2HGDH	-0.146625
RPL18A	-0.6179
HEL308	0.243125
MPP6	-2.64225
TCERG1	-1.10425
KRT16	-1.9675
KLF17	-1.00825
KLF5	1.136875
CDR1	2.75325
VCX3A	-3.802
FBLN2	2.362125
C14orf104	-0.48175
HBE1	-4.9073
OR4S2	-0.1635
C1orf108	-0.607833333333333
ROBO4	4.21716666666667
CPEB4	0.693125
C11orf80	-0.797666666666667
BCKDHA	0.2835
MYOC	1.19875
GIF	0.2575
CKMT1A	-0.579
RPL3	0.2276
THBS1	0.69375
APOO	-0.927
ARMCX1	1.83025
HSZFP36	1.4195
SNAPC5	-0.40175
EIF4ENIF1	0.42975
ZNF433	0.884
TNFRSF21	0.292375
TMPRSS7	-0.2285
SPATA18	1.4714
HPDL	-2.745
MKL2	1.7601
TBX3	2.09230769230769
C21orf93	-0.304333333333333
DAXX	-0.02925
ELMO1	0.567875
RGS13	2.14166666666667
TAF11	-0.41275
UNC13A	-1.843875
LOC653314	-0.468
ORC3L	-0.03675
IMAA	-3.277
TARBP2	-1.552
CABIN1	0.068
TRIOBP	-0.226875
HIST1H2AC	0.174
RGS22	-1.67933333333333
NCOA1	1.69033333333333
IL25	2.313
SNCG	1.5695
GPR6	0.1535
AMDHD1	-2.63433333333333
CHEK2	-1.419375
C6orf142	0.163
DRD4	-0.35475
C14orf68	-1.076
GDF11	-1.84975
SEMG2	0.25
CD247	0.482
CDAN1	-0.787
RBMX2	-0.158
TGS1	-0.58475
OIT3	0.6075
SYF2	0.32175
MCM4	-2.9205
PKHD1L1	1.8175
CEP192	0.340333333333333
IFT88	1.9975
RPL9	0.238857142857143
RAB32	0.272
DDX43	0.05925
P2RX2	0.118666666666667
OR5D18	0.3435
UBE1	-0.333
SLC24A1	0.608125
ARHGAP5	0.26325
CETP	-0.096
KIAA1731	0.1405
SLC9A4	0.459
PTPN6	0.42525
BAHD1	0.2165
GRIK3	-0.022
CACNB2	0.3386
PDE10A	0.16525
DGCR14	-0.3045
PCDHB9	0.0143333333333333
RHOQ	0.558833333333333
MAP3K4	0.55975
KTI12	-0.424333333333333
RPL23AP13	-0.22875
GNG11	1.1645
CLCN3	0.685333333333333
GPAM	-0.46
VSTM2A	0.17
SLAMF7	4.448
INTS2	-1.46525
PPP2CA	-0.0404
LRP12	0.6038
SEC14L2	0.789888888888889
DKFZP586H2123	2.67575
MC3R	-0.2205
CIRH1A	-1.88816666666667
HIST1H2AB	-1.02916666666667
POLH	-0.405
MGC16703	-1.69033333333333
SNAPC2	0.354
FILIP1L	1.51325
RASGRP4	0.0485
LRRC1	1.70425
GAS1	2.04
PRAC	-0.43425
DGKA	-0.299
NT5C3	-0.3375
PEG3	-0.585666666666667
NADK	-1.5915
PRR17	-1.2625
LOC374569	-0.21875
SGSH	-0.0576666666666667
NLRP8	0.027
GALT	-0.6678
MCF2	-0.877
ZNF263	0.379
TACSTD1	1.01016666666667
TYR	-6.3831
ATP6AP2	1.152
RNUXA	-0.26175
ABHD10	0.0923
GDPD2	-1.40075
SLC35C1	-0.27525
UBE2A	0.051
HERC5	-0.0738333333333333
FAM112B	-4.84383333333333
FBXL16	1.505
DKFZP434A0131	-0.255
ELA3A	-1.8715
RBM41	-0.478
HAO2	-0.03825
RNH1	-0.290625
SHANK2	2.218
OSBP2	-1.4405
DAK	-1.29516666666667
C3orf58	0.653916666666667
TCL1B	0.0955
KBTBD2	-0.10875
SUGT1L1	1.1535
UBE2E2	0.194666666666667
MYL9	2.339625
CDC23	-0.703666666666667
PBXIP1	2.2886
CXorf40B	-0.37
NBL1	1.14525
RTBDN	-0.3965
RAB11FIP5	0.608
TTTY13	-0.1025
SCOTIN	-0.000166666666666648
SOHLH1	-0.720166666666667
CDKN1A	-0.144714285714286
NCK1	0.68775
ZNF550	0.71925
SAPS3	0.111833333333333
SPIN3	0.279833333333333
MAGEE2	0.3495
MIS12	-0.653833333333333
OR8H2	0.3265
KIAA0774	-0.808166666666667
UNC5D	-1.342
CUL7	-0.766666666666667
LIPC	-2.41016666666667
DIO1	2.20025
C20orf11	0.0291
CTRL	-0.71625
HS3ST2	0.824
PAK4	0.418833333333333
CCRL1	4.13525
RNF10	0.038125
ZNF567	1.09825
ZNF660	0.693
TCEAL3	1.717
MAGOH	0.248333333333333
CENPB	-0.578166666666667
C19orf7	0.29575
LOC388965	0.3315
ZCCHC13	0.577
JMJD1A	-0.5405
HIST1H4H	-1.4455
TBRG1	-0.5235
GPC3	-1.95625
TAF1C	-0.74825
EBNA1BP2	-1.05966666666667
CIAPIN1	-1.091
PDGFRA	0.472888888888889
CSTB	-0.287875
CENPI	-2.794
GTF2E2	-0.1575
RPP21	-0.675
CCNF	-2.1475
KCNQ3	0.4245
FAM79A	1.0925
SLC22A12	-0.0415
NOVA1	0.321666666666667
FZD3	0.9058
AKAP8	-0.14475
SOCS5	1.334625
CFDP1	-0.437
DLG5	0.091
PGM5	1.57283333333333
C1orf144	-0.39075
HDAC10	-1.606
RND2	-0.70225
C20orf199	-0.52225
RNMT	-0.25875
SLURP1	0.0365
ASTN1	1.22675
SH3BGR	0.95675
MYCL1	-0.377375
ZHX1	0.2975
CENPK	-4.35775
FOSB	0.5037
LOC643406	0.0155
C2orf59	-0.466125
TMEM135	0.021625
SLC27A2	-3.95075
KRT33A	0.599
OVOL1	1.0825
PAMCI	-0.536833333333333
S100A7	-1.7615
ZNF789	-0.707
HARS2	-0.18575
RPL23A	-0.939333333333333
TCF23	0.02375
UPF3B	-1.36425
C17orf78	0.116
HLA-DOB	1.25866666666667
C14orf142	0.052
TEKT5	0.701
DMWD	-0.046
POLD1	-2.31783333333333
GSCL	0.3125
CALD1	1.5244
SCRT1	-0.441833333333333
AIG1	1.86125
UNC84B	-0.95525
ZNF404	0.4585
TMED6	-1.411
KIAA1462	-0.172
LRRC27	1.86466666666667
PYGO1	0.451
PIGU	-0.585666666666667
ALAS2	-4.14016666666667
WRNIP1	-0.00887499999999999
CNNM3	-0.7345
ZNF2	0.267
ST3GAL5	-0.8505
MRPL23	-0.18675
TSSK6	-0.32725
PSMA6	-0.7095
C16orf70	-0.638
KIAA1602	-0.58075
ALMS1	0.297666666666667
DCN	3.831125
TMEM132D	-1.08
SUCLG2	0.1325
ABHD14A	-0.2845
DEXI	0.237333333333333
AMPD2	-1.57466666666667
IFNAR2	0.0601666666666667
CYB5A	3.0476
TLOC1	0.9078
NXF5	-0.657833333333333
NRBF2	0.70775
KCTD3	1.653
ITGAE	-1.02866666666667
SLC30A3	-1.77866666666667
ZRF1	-0.4925
IFRD2	-1.3215
XAB1	-0.1125
PYCR2	-0.667
SERPINB3	-4.165
TMLHE	0.0241
GEFT	-0.6625
ABCA5	0.09975
EMR4	0.0671666666666667
TSFM	0.34475
HIST3H2BB	-1.537
ARHGEF19	-0.414
TSPAN17	-0.282666666666667
ABCC8	3.79425
MAP1S	-0.110833333333333
C22orf36	1.082
BNC2	0.911428571428571
HIST1H4A	-0.708
NDUFS3	-0.455833333333333
WDR3	-0.962666666666667
XKR4	-0.177
TTC33	-0.414214285714286
STMN2	4.5035
CPN2	-0.398
HSPC105	1.0365
PCOLCE2	-2.871
C3orf55	2.3345
KLHDC9	2.7575
TBC1D23	0.280125
ATXN2L	-1.46625
MAP2K3	-0.395083333333333
SCAP	-0.5465
ZNF486	1.4355
C20orf96	1.9485
NARS	-0.1475
ADAMTSL1	0.534
PRCC	0.775
CCDC126	1.93025
ZNF675	0.945
CALCOCO1	1.21425
ANKRD43	5.19675
CWF19L2	0.563833333333333
ZBTB32	1.56666666666667
BRAF	0.27725
ODF4	0.23525
MGC14376	1.1325
HORMAD1	-2.14716666666667
AAK1	0.257
PEBP1	0.4485
TNFSF5IP1	0.107166666666667
DKFZp564N2472	0.258
RMND1	-0.141625
IGKV1-5	6.127
COL1A2	4.13733333333333
SERPINA5	-1.666875
AANAT	0.367
C19orf21	0.115166666666667
GEMIN5	-0.227
UBR4	-0.9685
LTBP3	1.10216666666667
AMHR2	-2.31933333333333
PROCR	-0.88025
MYBBP1A	-1.41275
C20orf39	0.644166666666667
ZNF697	-0.831875
PASK	-0.5191
ZNF776	1.12466666666667
RFXDC2	-0.737125
KIAA0467	-0.12625
C10orf96	-2.22375
ZNF503	0.71425
GULP1	-0.437
KCNE4	1.08666666666667
DKFZp434K191	-0.705125
LOC196913	-0.418
BHLHB4	-0.6795
CH25H	3.23425
LOC81691	-1.34566666666667
ALPL	0.497785714285714
COL12A1	2.07625
FOLR3	-1.78966666666667
GPR123	-0.245125
TRIM62	-0.0796428571428571
ABLIM1	1.10966666666667
MAST3	-0.26425
RHBDD1	1.094
LOC338809	0.1505
RYBP	0.7375
TTC26	-0.74525
ZNF22	1.209
ISCA2	-0.046
RDM1	-4.13075
PIGM	1.171
GNB3	-1.4115
ACTR2	0.0685
HMGB1	0.424
EDG1	4.641
SOAT2	-3.318
OR10AD1	-0.3265
RAP1GDS1	0.0235833333333333
LCE1F	0.255
ESM1	-1.93275
RCN3	2.12975
CREBL1	-0.63975
DBNL	-0.982166666666667
PTGER3	3.15975
USP30	-0.0468333333333333
BCL2L12	-1.04183333333333
KIF26B	2.4085
ZNF416	0.92275
ZNF225	0.443
C17orf70	-1.03825
ZNF554	0.843
RAE1	-0.739333333333333
TNIK	0.896166666666667
ACTN3	0.0225
MGC45922	-0.6725
CCNA1	0.0206666666666667
RYK	0.823
IL26	-0.367
LRP3	0.226833333333333
QARS	-1.00775
SOX7	1.44607142857143
BID	-0.14325
OR2S2	0.0715
CXCL14	5.38325
C11orf47	-0.345
MGC29891	1.33916666666667
HSPB8	0.8641
PRDM14	-1.633
NUFIP2	0.181
MNAT1	-0.750375
ZDHHC2	-0.76875
MBNL2	0.722625
ADD3	0.32275
CSNK2A1P	-0.55325
KLK6	-0.4665
TMEM111	-0.0496
KIAA1279	0.999
NUBP2	-0.751833333333333
RAB42	-0.85525
ID3	-0.6948
TM9SF1	-0.03075
MDP-1	-0.5015
POU4F2	0.2785
IQCK	1.63425
C16orf14	-1.59025
CAPN3	-1.639875
FAM43B	0.110875
RECQL	-0.61575
AP1G1	-0.525857142857143
CTNNBL1	-0.432
ECHDC1	-0.219
SMARCC1	-0.2101
FOXQ1	-1.976375
GNAI3	-0.175166666666667
POLG2	-2.1085
CD4	1.08575
ITLN1	-0.505
EBI2	3.7965
IRF1	0.53275
PTPRE	2.3439
PTK2B	-0.05125
NXNL2	0.939
SOX4	0.702222222222222
TSPAN3	0.486166666666667
SH2D1A	-1.21866666666667
C8orf58	0.0136666666666667
USP20	-0.95425
DUSP22	-0.127
CALB1	-2.38116666666667
L3MBTL2	1.16775
MCRS1	-1.076
TMEM118	-2.26483333333333
C18orf8	0.389833333333333
FLJ10241	-0.239125
GJA12	1.7275
PKD1	-0.488333333333333
ZFP3	0.6005
JAM3	0.231375
LAPTM4A	1.4723
DIRC2	1.31925
KIAA2022	2.06866666666667
MYOM1	0.958833333333333
TRPM8	-2.36433333333333
MOP-1	-0.248
PHKG2	-0.46075
ZNF650	0.782875
KIAA1522	0.885625
PSG8	-1.01083333333333
DDX19B	-0.6485
MOBKL1B	-0.6635
DIAPH2	0.442
PTPN12	0.5435
CLN8	-0.00820000000000002
CRYZL1	0.841166666666667
CRY2	1.25875
FCGR2B	4.357
PNPLA4	1.782375
ZNF454	1.3525
DKFZp434B1231	1.07175
CLDN11	0.9418
RFWD2	1.04566666666667
CIB2	0.8135
MXRA8	3.3295
HRK	-0.908875
MAML2	0.467
C4orf31	1.3535
C6orf192	0.07475
COG6	1.047
FAM5B	-0.62675
NFATC1	1.1399
SEPT10	0.24075
SCYL1	-0.6238
RPP40	-0.7885
SCOC	0.3295
KIAA1450	1.13825
CTDSPL2	-0.392
TBX5	3.1155
NAPG	0.140375
RHD	-5.39775
C14orf45	2.10483333333333
ZBTB22	0.9815
PLCG1	-1.6435
ANKRD10	-0.13625
AQP7P2	0.5105
TAGLN2	0.499333333333333
HTR2C	-1.491
SLC16A7	0.322333333333333
C17orf83	0.088
TSGA14	-0.208833333333333
MDH1	-0.688
PPP3R2	-0.0341666666666666
DCBLD2	-1.244
RBM33	-0.851125
DPH3	-1.33675
SYT10	-1.12683333333333
FMO4	2.14175
THYN1	-0.403
DRD5	-1.6055
OTOR	1.74725
PGRMC2	0.1044
KATNAL1	0.20725
PAQR6	-1.51875
UBE2I	-0.52525
C14orf28	0.24
C8orf70	1.5735
FLYWCH1	-0.726375
ANGPTL3	-0.64175
GLRX2	-0.462833333333333
ATP11A	-0.805846153846154
ARL5B	-0.408
MUC16	-2.69025
SLC25A5	-1.33928571428571
ACRC	-0.581
MYO1C	-0.353875
FAM89B	0.818833333333333
FAS	2.027375
KIFAP3	1.65775
GLRA2	0.031
BTN3A2	0.2784
CNKSR3	0.804125
CSTF3	-0.973
ARPM1	1.48375
KIAA1530	-1.3385
C9orf150	1.86216666666667
PRKCI	0.76075
tcag7.1015	-1.7705
SOD3	1.11175
ZNF574	0.4145
CYP21A2	0.71025
RPL12	0.57825
COMMD2	0.017
WIZ	0.45025
LOC344405	-0.942
ALDH4A1	-0.605764705882353
CRYAB	2.978
COPA	0.5763
PCDHGA7	0.105333333333333
KIF11	-2.60833333333333
RASD2	0.291125
SLC26A3	2.287
ZNF175	-0.6505
JAKMIP2	-1.352375
C8orf4	0.974333333333333
PTHLH	1.15875
SLC40A1	4.43125
OR7D4	0.256666666666667
PCDHB17	-0.043
CD36	3.5275
C6orf203	0.8225
PRKG2	0.0265
LOC400566	1.083
ANAPC13	0.4275
SLCO3A1	0.01475
ZNF692	-1.074
FANCL	-1.2975
SH3GLB1	0.535
C12orf61	0.1705
KBTBD6	0.475
SUPT5H	0.02575
XRCC6	-1.1435
HUS1B	0.3134
FAM133B	0.255142857142857
LOC728276	1.064
KCTD18	1.464
SOS2	1.14533333333333
CCDC99	-1.91375
C1QTNF5	3.9975
NNAT	0.556
USP16	0.173
LARS	-0.4945
ZBTB2	0.820875
ABO	0.243166666666667
TRAF3	-0.2005
GALNT5	-1.609
NAP5	1.436125
ALG14	0.596166666666667
KIAA0515	0.190846153846154
WDR75	-0.198
TEX261	-0.373333333333333
LY86	1.15725
LOC389072	-0.4645
FLJ13611	0.156
MRGPRX2	0.7265
SNRPA	-1.455125
OR2G2	0.331
GPRASP2	1.7105
C7orf42	1.0087
C9orf163	-0.6745
CYP11B2	-0.32
FCRL3	1.5365
PRDX1	-1.00275
FGB	-5.98833333333333
COX17	-0.0288333333333333
C16orf33	-0.90475
PIWIL1	0.0158333333333333
FOLR1	-1.61933333333333
KIAA0082	-1.6065
FREQ	-0.882
TMCC2	-1.16866666666667
TCF12	0.542583333333333
ZNF721	0.4075
FAM130A2	0.7495
POU4F1	-2.04725
SNRPF	-1.38675
SGIP1	0.729166666666667
ZNF641	0.545666666666667
EMG1	-0.680625
PRRG4	1.468
HIRA	-3.02025
MYNN	0.616333333333333
AEBP2	0.189333333333333
TBXA2R	0.775666666666667
ISL2	-1.4855
PCDHB11	0.6105
RNF144A	0.21925
MARCH5	0.87775
DULLARD	-0.322166666666667
DCLRE1B	-0.754833333333333
ITGA8	1.542
TP73	-0.565
PRKCD	0.3825
NDUFB4	0.19475
ATP13A4	1.278625
ANTXR2	0.400333333333333
COL4A3	-0.330333333333333
MYO10	-1.2127
SLC6A18	-0.23475
PEX1	0.245
TMEM74	-1.01183333333333
RBM19	-0.7065
TAPBP	0.5486
RUNX1	0.940875
MID1	-0.057
GPR64	-1.188
RASEF	4.13
GABRG1	0.351428571428571
MYO16	-0.4795
DBF4	-1.15166666666667
TSHZ2	3.62675
RIPK2	0.218625
PPTC7	-0.0553333333333333
KIF4B	-2.1925
LRRC31	1.29775
ZNF540	1.4855
EFNB3	-0.1315
LOH12CR1	-0.191125
STON2	0.125666666666667
GLP1R	0.449
CSTF2T	-0.642375
IREB2	-1.208125
GRSF1	-0.315
PDCD7	-0.595
LRRC43	1.044
CNR1	1.6885
IL1F7	-0.513
C12orf64	-0.36525
FAM69B	-0.23925
NR2E1	-2.60483333333333
MS4A6A	2.8062
FTL	-0.6887
C7orf36	0.674
PCLO	1.539
DYRK2	0.877333333333333
ARIH2	-0.272
SAMD7	0.192
SCNN1D	-0.8945
SLC32A1	-1.007
C22orf25	-0.639333333333333
MRPS18A	-0.5608
GPR112	-0.7965
EARS2	-0.29425
ERN2	-0.2065
ATPBD3	-0.620166666666667
PRH2	0.1745
CDKN2D	-0.885
PGLYRP2	1.18225
TRIM40	0.20525
SEC14L3	0.256333333333333
SLC22A1	-0.1025
BTN2A3	-0.028
RASA4	1.05475
CCNL2	-1.27
MYBPC3	0.436
GJA4	3.717
CDC42SE1	0.1265
TRPV2	-0.86725
MYPN	-3.8548
SIM1	0.621
CDADC1	0.390916666666667
ZFHX4	2.8385
NIBP	0.972333333333333
ADAMTS19	-0.2205
ABTB2	-1.169
TSPYL2	-0.238125
EIF2S3	-0.9784
SOX30	-0.41175
AP2A1	-0.578833333333333
DKFZP564O0523	0.397
LOC285398	-0.0605
CDH18	-4.56625
CHL1	3.1185
GATS	-0.2673
TBC1D2B	0.660166666666667
OR1J1	-0.484
GSN	1.75283333333333
DPCR1	0.21875
GARNL4	-0.735166666666667
SMARCA5	-0.534
PLEKHG3	0.7395
ZBTB45	0.796
FRMD6	0.832666666666667
PLS1	-1.45183333333333
DGKZ	-0.0176666666666667
EFNA1	2.3804
WDR85	-0.85625
ANK2	1.52025
PAGE4	-0.1985
SENP6	1.68166666666667
AKR7A2	-0.519
FKBP10	-2.03775
VEGFC	-0.663666666666667
LARP1	-0.602
SRBD1	-0.31625
ITGB6	2.72375
SLC1A2	-0.165461538461538
INVS	-0.941333333333333
MPO	1.03425
MOBKL3	0.564
CUTL2	-1.229875
KLK2	-0.0289166666666667
VIM	0.65775
REG1B	0.341333333333333
PCDHGC4	0.5095
C3orf34	-0.463166666666667
SUMO3	0.629166666666667
CST9L	-0.897
MLL4	-0.99075
SPR	0.238
SAMD9L	1.836
ABCE1	-0.646
SUPT3H	-0.515666666666667
ACTBL1	-1.63575
ADAMTS4	0.840333333333333
SLIT3	3.9255
RHEBL1	-1.447
NPM2	-1.05275
MAN1C1	1.4515
KIAA1856	0.06675
HSPA6	1.92675
LOC388152	-1.016
C10orf140	-0.29425
