Hybridization REF	TCGA-A2-A04P-01A-31R-A034-07
B4GALT4	-0.225125
CHD1L	-1.500875
MSTO1	-0.7635
FUT8	-1.01746153846154
AGA	-1.459
TRMT11	-0.742
WWP1	0.00116666666666666
B9D2	0.511666666666667
STAT1	1.27725
PTTG1	-0.788333333333333
TMEM62	0.21125
SSBP2	0.84975
MRFAP1	-0.455083333333333
NME4	-0.179625
LOC55565	1.58016666666667
DLL4	2.86325
MYOCD	0.0205
HTR3D	0.278
C9orf156	-0.637
CHMP4C	1.41766666666667
PROCA1	-2.6285
GCDH	-0.177
APOF	-2.7195
WEE1	-1.83483333333333
SSR4	0.90025
RGS1	8.91375
ACCN4	-1.40216666666667
FLJ20489	0.22775
ZNF215	-1.65666666666667
AGPAT6	-1.183875
PDE7B	-0.3655
BBX	0.235375
MS4A3	-4.4215
OR4A16	-0.408
EFEMP1	3.426125
TULP2	-0.178833333333333
RERE	1.633375
BNC1	-1.7485
PIGB	-1.201
COMMD8	-0.1945
TRIP11	0.9855
FLJ40142	-1.8525
PCDHB6	0.035
FKBP8	0.578666666666667
FLJ12716	-0.9932
POT1	-1.043
KIAA1109	2.03671428571429
PTPRC	1.43083333333333
UNQ9391	0.6895
CCT7	-0.750333333333333
EEF1A2	-3.3895
MIPEP	-1.56275
ZFX	0.7114
UCHL3	0.020875
LOC388419	0.657
GSG1L	-0.449333333333333
RAB24	-0.01875
SLA2	-0.46875
SDS	3.117
LYPLA3	-0.3895
CASQ1	0.182
SLC25A40	-1.47116666666667
IRAK1BP1	1.5365
ACOT6	-0.065
COL9A3	-3.53275
ASB11	0.2945
C2orf18	1.37716666666667
FOXD2	0.2815
C6orf211	-1.35925
OR8G1	-0.150666666666667
MDGA1	-0.09625
ADARB1	-0.723125
GGT1	-0.172
WNT1	-0.1635
DBP	0.53
COL5A3	1.05575
RHOD	0.4575
COL4A2	2.771
LOC201164	-1.0805
HEBP1	-0.078
LUM	1.33766666666667
ZCCHC6	1.782
PAGE1	-3.7715
DTX2	-0.0175
SLC7A13	0.42525
H3F3A	1.74757142857143
RABIF	0.331125
D4S234E	-2.7545
DYRK3	1.74616666666667
PFAS	-2.14883333333333
ALOXE3	0.465333333333333
RPLP0	-0.816357142857143
RBM34	-0.3755
C12orf28	-0.6525
U2AF2	0.769
MKNK2	-0.126125
SEC16A	-0.017
ZNF44	-0.4185
YWHAG	0.91625
IGF2BP2	-2.05318181818182
OR1D5	0.151
SIX6	-2.867
CCR6	0.922
PALM	-0.88325
PUM2	0.197785714285714
SPRYD5	-2.11
ALG10B	-1.089125
ZNF365	-0.33325
PHC1	-1.8555
KIAA0913	0.419
ARX	0.582
PPP3CB	-0.0751666666666666
IRX6	0.1197
ANGPTL4	-0.015
LSM14B	0.1379
PCDHGB7	0.1855
INSM1	-0.121916666666667
WBP2NL	0.946
ZNF493	1.3808125
NGEF	-0.67025
RNASE13	0.122
SPPL2A	-0.853666666666667
SFXN1	-2.00542857142857
FAM102A	0.556
SAPS2	-0.02425
JTV1	-1.874
OR51B4	-1.4235
SCGB1A1	0.930666666666667
NEUROD2	0.869875
tAKR	-0.51175
C1orf26	0.05325
RICH2	-0.4005
TEDDM1	0.58425
CYP2S1	-0.682
TBCE	-0.6145
MAPK1	-1.39075
HDHD1A	-1.4235
MRM1	-1.03
ATP9A	-0.1405
HSD17B3	0.611666666666667
HN1L	0.0539166666666667
RNF216	-0.26425
HOXD12	-0.2725
PPP1R14B	0.815125
SBF1	-0.239
TAS2R42	-0.833
USP46	-0.693
LILRB3	2.16566666666667
SPI1	1.36475
OXSM	-0.26825
GYS2	0.508166666666667
NUPL2	-0.407
C8orf46	-1.60475
SF3A1	-1.25065
C21orf99	0.1315
HOXB4	0.2836
YRDC	-0.60125
GPRC5D	0.54
BLVRA	-1.55925
KIF12	1.448
LRRC23	0.0955
FAM14A	0.4345
RASL12	1.34825
DAZAP2	-0.7425
IKBKB	-0.165857142857143
ZNF271	-0.288333333333333
BOK	1.367
CXorf6	-0.82875
MYEOV	-1.15275
BTN2A2	1.0138
FRG1	-0.898
HSP90AB6P	-0.90275
ENOX1	-1.20333333333333
ZNF706	0.03
DOK1	-0.9886
PGAP1	-1.379375
TMEM136	-0.4785
FSCN1	-0.2885
KIF17	0.23225
TRIM66	0.167
CBR3	2.28883333333333
C13orf24	0.101
C19orf52	0.3045
BNIP1	0.6075
AQP3	-1.15575
KRT6C	-0.3315
SIRPA	1.66375
IGFBP6	-1.194
PLEKHK1	-0.311
RNASE7	0.1905
ARHGEF15	0.91575
NPHS2	0.38925
SRD5A1	-0.523
REXO4	-0.257
EEF1DP3	0.3105
SLC37A2	-0.2565
ZNF142	1.26875
ANKHD1	-1.069
MUT	0.31
VPS37A	-1.271
GPRIN1	1.62475
SLC38A3	-0.37125
BAZ2B	1.667
WDR87	0.345
BRD7	-0.3815
POU6F2	0.0475
NISCH	0.1015
TCEB1	-0.31825
LINGO2	-2.569
TAX1BP3	-0.07175
RPL34	0.617666666666667
MARK2	1.0435
AKAP12	-0.893
AMBN	0.153
SLC25A27	-0.487
FLJ21865	0.755125
KIR2DS2	0.6005
WDR77	0.04775
ATF2	-0.61525
ITFG3	1.016
SLC39A13	1.32325
ARL6IP5	0.64025
C10orf137	-1.20925
QTRT1	-0.822666666666667
CCNT1	0.23575
DYNLL1	0.4707
WDR53	0.289
LIPG	-0.0676666666666667
ASAH3	0.5445
HELB	0.56625
PHACTR2	1.119875
VENTX	-0.53975
LAD1	2.024
PAOX	-0.0735
MAPK8	0.72
CCDC38	0.044
DNAJC8	-1.2079
RBBP8	-0.24375
WNT11	-0.0944
KCNJ12	-1.393
HDAC8	-1.46483333333333
STARD4	-2.645
ACVR1	0.00883333333333333
C14orf65	1.2945
KLB	-0.9625
C1orf65	0.58425
ZFYVE28	0.888375
NSUN6	0.963
KIF27	1.881
SYTL2	-1.10333333333333
UBXD2	0.7433
OR6T1	0.184
CCDC91	1.46107142857143
GRID2	0.669
CALN1	-1.22225
ZNF423	0.2655
PSMB4	-0.535166666666667
XPNPEP3	0.0848333333333333
ARPP-21	-3.4237
SART1	0.76925
RACGAP1P	-3.248
SPTA1	-5.443
C6orf113	-0.674166666666667
C7orf16	-2.957
CHST7	0.0691666666666667
C21orf29	-0.278333333333333
SEMA6D	-1.23125
PCMTD1	1.022625
KIAA1754	0.777833333333333
MYCN	-0.2224375
KCNJ3	-1.526
MAPK13	0.5509
ERO1LB	-0.5045
NTF3	-2.15316666666667
NKX6-2	-0.09375
GTF2B	-0.085
GSPT1	-2.86716666666667
GUSB	-0.381333333333333
LOC221091	-2.089
LIG1	-0.23775
EXTL3	0.789166666666667
NID2	-0.20575
TTC29	1.6175
TMEM97	-0.46375
EXTL2	-1.61516666666667
SUZ12	-0.822625
IL1F8	0.189
KRT18	-1.88981818181818
MRPS16	-0.88675
PI4K2B	-0.896
LACRT	0.814
OR51F2	0.894
JMJD2C	1.032
KGFLP1	1.64375
CDK5RAP3	-1.1587
YTHDF2	1.37233333333333
GGCX	0.023875
ARPC4	0.396
EGLN2	0.2525
KBTBD4	-0.403642857142857
ROBO3	-0.3674
DEFB118	1.028
KIAA1543	0.2465
RTCD1	-0.4185
MZF1	-0.3225
C18orf26	0.254
CNIH4	-0.6345
ZFP2	1.36216666666667
HTATSF1	-0.71525
WFDC2	5.000375
NDUFA7	0.62
TTC22	0.904
FAM40B	-2.313625
DCPS	0.0105
SH2D1B	-0.757333333333333
MRGPRE	0.911
SBK1	1.34875
UNQ6411	-0.1695
OSBPL9	-0.417
NUP107	-1.69325
MYOZ3	-0.0408
PDE4B	1.60941666666667
FAM113A	-0.5645
IDH3G	0.211833333333333
FBXL7	-0.300375
ARFGAP3	0.45725
MAPRE2	0.361076923076923
IL1RN	0.2398
KIF13A	-0.55725
RAC3	0.5785
TCTE1	0.2785
TMEM14B	-1.32716666666667
ADIPOR1	0.335666666666667
GRINA	0.3435
CLIP4	0.34875
LRIT2	-0.2065
TFPI	-2.11235714285714
FABP6	2.441
SLITRK2	-0.4339
HKR1	0.37075
SMTN	0.6165
C1orf75	-0.385
CD209	0.488125
CYB5R2	2.502
DNTTIP2	0.216333333333333
CSGlcA-T	1.177375
GABRB3	-2.887
PCBD1	0.585
TAF3	1.7545
HOXD3	-1.04966666666667
GIPC3	0.636333333333333
P11	0.4668
BFSP1	0.58225
LCP2	1.14875
TAS2R8	0.36
SEZ6L	-1.415375
NR2C1	-1.00125
EXDL2	-0.4139
TNFRSF13B	-1.11716666666667
MKI67	-1.4045
GLS	0.36225
C7orf54	1.1216
LGALS13	0.5915
IL4R	-0.04875
SEC11A	-1.16166666666667
SPP2	0.4795
C18orf32	-0.798
CLSPN	-0.858333333333333
SPAG1	-0.016
C9orf82	-1.024
TM4SF1	-0.794666666666667
EMILIN2	0.7805
SMG7	0.284666666666667
TAS2R13	0.8325
ZNF628	0.751
DZIP1L	-0.752333333333333
ANKRD13A	0.9309
VASP	3.396
ZCCHC11	-0.818625
SYPL1	-1.44775
MGC34774	0.2195
C4orf28	-2.209375
KIAA1211	1.08775
RPS27L	-1.59025
TATDN3	-1.1505
PDCD1	1.5975
OR5P2	0.2605
IFIT1L	0.163
MIPOL1	0.0055
OR51D1	0.17175
C1orf92	-0.311333333333333
LAMP2	0.448166666666667
CAT	0.0311666666666667
C16orf80	-1.32025
C15orf32	0.12
ZNF746	0.406
C1orf76	-1.077
ATXN1	1.18625
LAMC2	-0.440875
SLC2A7	-0.5605
CPOX	-2.6
APH1B	0.876833333333333
LOC442245	-0.97025
CTNND1	0.891055555555555
GABRG2	-0.52225
MADCAM1	0.2535
F5	-1.195125
SEMA4F	-1.2745
NUDCD3	-0.070375
PDZD11	0.4715
TRIML1	0.0515
GCNT3	-0.3815
TMEM120A	0.47025
CNDP1	0.138
N4BP1	0.054
SLC35F2	-1.709375
LCP1	-0.42375
IGBP1	-0.7952
DCAKD	0.706375
ELA2A	0.074
C12orf56	-2.118375
PITRM1	1.04171428571429
GUK1	0.830666666666667
RASSF8	-0.414875
OR2A14	0.169
ADM	0.128777777777778
FGD3	-0.310833333333333
GHRHR	-0.309666666666667
RHPN2	0.3395
C4orf39	1.37516666666667
VPS72	0.1085
SERF2	1.0625
CD22	1.561
CD47	0.0954
PPIC	0.756666666666667
IMPDH1	-0.392083333333334
ACP6	-1.4065
PRKACA	1.14525
PPP1R1A	4.290875
TRPV3	-0.394
ASXL1	-0.551375
C17orf55	-0.112833333333333
FXYD1	0.0116666666666667
LMOD2	0.3525
ANKRD33	1.0615
LCE2C	0.681625
ZNF620	-1.154
DKFZP566E164	-0.397
VSIG2	-0.533
KIAA1128	1.03375
USO1	-0.203666666666667
NUDT4	-0.466928571428571
CLDN1	1.594
OR4Q3	0.1345
FASTK	0.283333333333333
ICOS	2.49183333333333
LDB1	1.05975
GSTA5	-0.04275
ABCC1	-1.04933333333333
FAM54A	-0.52525
PCBP2	-1.84816666666667
NUP205	-1.8485
ACTA1	-1.05533333333333
GABBR2	0.271
PIP5K1B	-0.133
AGXT	-2.292
RNF181	-0.21
ATP8A2	0.28775
AFTPH	1.760625
FGF21	0.45525
FCER1G	2.10375
SNTB1	0.52475
SLC24A3	1.546375
TXNL4B	-1.1177
RPL10L	-1.33166666666667
LOC389517	-0.3257
TSGA13	0.589
SHOX2	1.56216666666667
ITGA7	-0.5588
KCNIP2	-0.1095
KLF13	0.7655
ZFAND2A	-1.037
CEACAM1	1.94592857142857
PFKFB4	-2.52966666666667
MED19	-0.34
LRRC57	-0.888166666666667
RNF11	0.10025
ANKRD32	-4.31625
P117	0.5615
OBFC2A	-0.559333333333333
POLD3	-0.0784166666666667
RAB18	0.3105
TPH2	0.026
PHB	-1.2372
JDP2	2.463
MORF4L1	-2.3073
POU2F1	-0.004
CNNM2	-0.248666666666667
LOXHD1	0.5066
ZC3H15	-0.51825
ELK3	0.325833333333333
FAM111B	2.435
CBLC	3.94883333333333
SBNO1	0.13375
ANKMY2	-1.425
PLEKHA5	0.38925
DHX58	0.854333333333333
ARCN1	-0.5725
TREML1	0.5784
KNCN	-0.688
SEC24A	-1.685875
PSCA	-0.09575
MGC24125	0.4355
DNA2L	-0.79975
CIB4	0.293125
HIGD2A	0.7105
TBX6	0.425333333333333
TTLL5	0.159166666666667
SGK3	0.711333333333333
GCN1L1	-1.2405
AMOT	0.4479
LDOC1	1.35
NRK	-0.150666666666667
ASB9	-2.9845
NAT1	-0.4787
TRAFD1	-0.61075
PEAR1	0.451833333333333
FAM36A	-0.571375
OR1S2	0.377666666666667
LOC388323	-1.462
PGS1	-0.6055
LEPREL1	-1.668
TFF1	-4.4375
HAP1	0.73825
EPHB2	-0.52625
ACTG1	0.493166666666667
ZFP42	-1.34966666666667
HAVCR2	0.8484
NME1	-0.923
SNX26	1.2465
LACTB	-0.838833333333333
ZKSCAN2	-0.2355
C5orf35	0.20275
ANKS3	0.37125
RBM28	0.000499999999999994
DKFZP586P0123	-0.47325
HNRNPA1	-1.178
BCAS3	-1.074
FLJ20184	0.582
POLA2	-0.769
TMC7	-0.841
HSD17B6	0.021
ZNF658B	1.09333333333333
TTTY10	-0.626
RANBP9	-0.0774166666666666
CPNE7	-2.04233333333333
EVL	0.464117647058823
LNX1	1.03516666666667
IFNA21	0.270666666666667
CFD	-0.6805
PYCARD	1.851
MYBPC2	-0.9455
ENPP3	3.645
ACSL4	-1.849
LOC440258	0.9415
TMEM176B	3.65916666666667
SOX2	-4.78
SCO1	-1.20283333333333
COMT	-0.187
AOC2	0.147
PDLIM5	2.08978571428571
SPHK2	0.897333333333333
NXPH2	-0.1305
GPR108	0.174833333333333
RAD51L1	0.381833333333333
TMEM54	1.92725
LETMD1	-1.96511111111111
SLC6A17	1.52975
KRT75	-0.4295
STT3B	-1.49633333333333
CD3EAP	2.39466666666667
TMEM63A	1.84225
DUSP13	-2.3535
CD1C	-0.3625
LASS2	-0.018
AVP	2.447
PITPNM1	-1.705375
FLJ22795	-0.3625
MCTP1	-2.39875
TRIM68	-0.9395
UCK2	0.0486666666666667
ABHD1	0.6465
FAM50A	0.38525
RNASEH1	-0.537333333333333
PCP2	-0.0626666666666666
OR52H1	0.1775
C20orf149	0.617
RBP5	0.391166666666667
HYAL3	1.328
CLPB	0.9735
SMNDC1	-1.016
DONSON	-2.05666666666667
FLJ27523	0.45975
BARHL2	0.262333333333333
SLC30A9	-1.305
TMPRSS11B	0.11275
E2F8	-1.70833333333333
CCDC25	-0.152416666666667
C14orf48	0.205166666666667
C20orf116	0.301625
TSPAN11	0.7855
YIF1B	-0.960666666666667
FAM12B	0.28975
OR1L6	0.577
HPN	-1.4321
NBN	-0.3715
C14orf94	-1.04266666666667
OCLM	-0.0735
ZSCAN18	-0.3393
L3MBTL	-2.3238
TSTA3	1.77266666666667
RAC1	-0.169
C19orf15	0.3335
NFE2	-5.314
KLK14	0.831
ARSF	2.331
MAST2	0.843333333333333
AMICA1	2.1815
GTF2A1	0.951625
ATP1A3	0.11575
TC2N	4.2256
PNKP	-0.03525
ODZ2	-2.771125
MATR3	-0.01425
S100P	-0.697625
KRT82	0.4905
CA13	1.0916
PROZ	-1.61333333333333
AASDH	0.2955
C19orf40	-0.7395
DCK	-1.19146153846154
FAM5C	4.01625
SLC6A4	-1.6695
MID1IP1	-0.609
TESSP5	0.1065
TMOD4	0.548666666666667
DOCK2	-1.17666666666667
TUG1	0.663125
NUP214	-0.992
DPYSL2	-0.908681818181818
GOLM1	0.339416666666667
MPFL	0.76475
SOX13	-0.149
SDCCAG8	0.7462
KEL	-1.74433333333333
NUP210L	-2.17275
GK	-0.100125
DNAJB1	1.2585
ALPK3	0.3365
CHID1	-0.3414
CYLC2	0.0203333333333334
IKZF5	-0.169
C8orf51	2.24516666666667
PPM1J	-1.068
GIMAP8	3.14266666666667
GPR101	-0.128
NR2F1	1.3255
ACAD8	-0.34925
RBM35A	1.05625
GNAI2	-0.476166666666667
METTL8	0.0615
SLC39A7	-0.9665
FBXO8	-0.9115
CAMK1	-1.44375
RFC3	-0.431375
FAM129A	2.754
ILF2	-0.49825
FGFBP3	0.571125
NOM1	-1.04366666666667
PSMA3	-1.0705
ASCC3	-0.5151
ZYG11A	0.61675
SOX21	-1.14525
LYRM1	-1.22
DEFB1	4.697
LOC91431	-0.938833333333333
OR7C2	2.077
FAM46B	0.344
TMEM18	-1.145125
ARHGAP30	1.12683333333333
TMEM86A	1.78366666666667
EPHA2	-0.8095
C10orf46	0.3774
TCHH	-1.2245
C3orf30	-0.0191666666666666
LOC285636	-0.736666666666667
PAIP2	-1.90375
CYP2U1	-0.4015
C12orf34	1.95475
SARS2	0.241833333333333
ZCWPW1	1.35675
SAMD12	2.42125
KIAA1430	-0.99575
ACAT1	-2.8505
MEOX1	0.6915
ADAMDEC1	6.69525
PHKA2	-0.09125
CARD11	-1.00183333333333
CALML4	0.17
TSSC1	-0.8185
TMEM45A	-1.98633333333333
MPP7	1.32575
POU1F1	0.37675
SLC2A13	-0.3493
FBN2	-1.50128571428571
ZC3H7A	-0.4779
LAIR2	3.34675
ST3GAL1	0.0415
LCT	-1.61525
GEMIN8	0.402
KLF16	1.5006
HIF3A	0.907
FAM44A	1.15985714285714
AQP10	-0.5946
PLA2G2A	-0.332
FOLH1	2.63866666666667
C20orf186	0.613
MAPKAP1	-0.56325
SPRR2D	-0.61775
UBQLN4	-0.730666666666667
RSHL1	0.755333333333333
PIAS3	1.107375
MRPL24	0.36575
GREB1	-3.83075
FAM27E3	-0.514
NUP62CL	-1.4185
NEUROG3	2.7225
REEP3	1.59491666666667
MARK1	0.73725
LMBRD1	-0.66175
PRPF19	-0.089
PNMT	-1.52516666666667
CTGLF1	0.272
SLC25A16	1.52575
EIF2B3	-2.0045
RPA2	-1.08725
PAK6	1.04016666666667
CCDC26	-4.026125
SEMA3E	0.5575
MXD4	0.7103
TNFSF10	4.1849
SMARCB1	-0.785833333333333
DTX3L	0.697833333333333
PLA2G4E	0.877
PPAP2A	0.734
ULK1	-0.539166666666667
TAS1R3	0.866
SLC2A3	-2.03427272727273
ARID3A	-2.04875
GNG5	0.678
ACOX1	1.2818
KIF5B	0.876
NUP153	-0.9
MUC7	0.119
CSDE1	-0.613785714285714
CLPTM1	0.796
C3orf23	-0.8625
LRRC17	-2.0615
TTYH3	0.668125
ATP5B	-3.258
ELF3	2.1238
CPSF3L	-0.179833333333333
ZNF665	0.0558333333333333
TLR6	1.0394
GPI	-0.484
RAD9A	-0.194
NDST4	-2.616
AGPAT3	1.11366666666667
MAGI3	2.083
ADORA2A	0.33
CACNG7	0.0785
CAMK2D	-0.324785714285714
CCHCR1	0.3
RPS27A	-0.14975
OR10G7	0.534166666666667
GCM2	-0.099
FAM135B	0.2375
E2F1	-0.45025
PLCB3	-0.15725
OR2AE1	-0.2105
COIL	-1.54533333333333
CDC25C	-0.418833333333333
RAB11FIP2	-0.280416666666667
TSC2	-0.50475
CTGLF5	-0.5745
CCDC108	0.7362
OR13C4	0.094
C10orf81	6.9515
PTPRB	2.156
ACP2	-0.3935
LAG3	1.83725
MRPL54	-0.11575
LOC201175	2.465
ITGB1BP3	-0.4985
SPTAN1	0.369833333333333
SIPA1L2	1.293
RCAN2	0.029
CDX2	-0.721
ECOP	0.061
ACTR1A	0.301714285714286
PPARG	-2.35333333333333
BBS10	-0.192166666666667
TMEM44	-0.887875
BPIL2	0.28325
CITED1	-2.13075
IRF6	4.08175
PRDM4	-0.748
RRP9	-0.414166666666667
OR10H4	0.767
IL31RA	-0.6945
GNB1L	0.0991666666666667
MYBL2	-1.690125
ZNF407	0.174166666666667
PPIG	1.09683333333333
TTC18	2.2325
RPSA	-0.361
MAPT	-0.298875
MRE11A	-0.512214285714286
C8orf37	-1.37133333333333
RASGEF1C	1.08766666666667
STBD1	-2.04875
CTAG2	0.732833333333333
MGAT5B	-2.61133333333333
ECM1	-0.372
RLN1	0.387
PARP14	0.9335625
EPB41L1	1.2836
HOXA3	-0.660916666666666
MAGEA9	1.66225
RPS8	-0.7055
RPS19BP1	0.331
FOXJ2	0.424625
C10orf76	0.331625
IL17RE	0.74875
C10orf65	-1.78375
ZNF343	-0.635833333333333
FBXO33	-0.193125
UHMK1	-1.1137
LY6G6C	-0.547
FGF19	-2.2415
C14orf128	1.00133333333333
IFIT2	4.35125
TIGD1	1.32575
S100G	-0.423
GUCY1B3	2.0925
NR3C1	-0.3141
CORO1B	-0.115
PARP11	-1.32466666666667
DNALI1	0.6245
OR4N4	0.3335
MAP2K6	-0.6135
FSTL4	-0.1925
ANKRD47	1.53075
TMEM171	-0.535
PNLIP	-0.04375
YY1	0.633
CCDC138	-2.2965
AASDHPPT	-1.5468
CKS1B	-1.1729
MCM3	-0.745
ANAPC7	-1.42433333333333
FAM110A	2.21275
CDC37L1	1.403
THTPA	-0.139
NBPF20	0.62
WDR24	-0.0265
NPTX2	-4.27775
CBLB	1.18483333333333
CETN1	0.635
RPUSD1	0.61425
FAF1	0.0725
CDK6	-1.2348
HMX2	0.304
CSK	-0.022
TEAD2	0.6705
SNAP25	-1.07525
TUFT1	0.2782
TMTC3	0.846
LCK	-1.411
SGOL1	-0.708666666666667
AKTIP	-1.165
FURIN	0.37825
SOX12	-0.0491666666666666
DEFB103A	-0.3765
RAMP1	1.15675
KIR3DX1	-0.142
GAS2L3	0.9685
PDE8A	-1.0246
EDN3	1.31075
GMIP	1.845
SF3A2	2.04675
FN3KRP	1.045
SMAD7	0.1875
RHBDD2	-0.59125
OR11H6	0.707
PPP1R3B	0.098
C9orf23	0.38975
CADPS	-2.462
GOLGA8A	-1.530625
TMEM57	1.11583333333333
RGL3	-2.2245
S100A14	2.128
FGFR2	1.84825
XRCC3	0.17525
RTN4RL2	1.148
MGC3771	-1.2995
GH2	0.5805
BTBD2	0.375
LMO2	1.51875
RDBP	0.094625
ACRBP	-1.78525
AMY2A	3.72825
DUOXA1	1.0745
PTK7	0.818666666666667
TWF2	-0.809666666666667
FAM80A	-2.332
TNNI2	-0.7
GLT25D1	0.147
OCC-1	-2.83125
CYC1	-0.812166666666667
RPL22	0.393363636363636
MORN3	1.13966666666667
DISP1	0.55925
PRB2	0.4385
CHUK	-1.9955
HR	0.438875
CCDC134	0.148125
DENND4B	-0.34875
C14orf130	0.356
RAB33A	-0.845
DCST2	1.161
TNMD	-2.174
PEX7	-0.30675
FAM62A	-0.590375
SRD5A2L	0.67225
IL22	0.07225
RPS26	-1.45583333333333
HOXC5	0.3225
SPATA6	0.66625
FLJ38482	-0.4075
ZNF234	2.9145
C18orf22	0.0575
SPATA22	0.8595
THOC1	-0.57525
CYP7B1	4.93625
KCNC3	0.64625
C8orf42	-1.305
ALDH1B1	0.819833333333333
CCDC100	-1.3378
ARMC4	-2.94175
FAM18B2	-1.64175
SLC44A1	-1.031125
FBXO17	-0.248166666666667
C6orf107	0.016
C19orf29	0.248
ZC3HAV1L	0.4605
PARP6	-0.6052
SULT2A1	-4.17375
C1orf159	0.59075
TMC1	1.502
CHST14	-0.4035
GAMT	-2.71883333333333
SMCP	0.309833333333333
TSPAN33	1.62766666666667
MIDN	0.323625
NOX4	1.972
RNASEN	-1.0906
TBX1	0.890833333333333
SALL2	-3.094
C10orf35	1.02925
CYP2E1	-1.24275
LRFN2	0.418833333333333
ACO1	-1.3595
IQCG	2.0828
MEGF9	-0.73
TM7SF4	0.91325
PLEKHA1	0.747
STK33	-3.34475
C1orf210	2.5935
SNUPN	-1.3017
KIAA0406	-1.736
C20orf29	1.32475
TMEM55B	-0.20575
OSTM1	-1.642625
CLCN7	-0.15275
OTP	0.2085
FLJ23049	-0.13375
HEATR4	0.0695
MAP3K10	2.26983333333333
PCDHGA9	0.638
AMDHD2	-1.2885
LCTL	-2.1545
PDCD2L	0.25475
CABLES2	0.051
SLC5A9	0.1985
CLCA2	0.592333333333333
MGC16025	0.9735
STRAP	-1.28733333333333
C20orf196	-1.5075
RRBP1	2.58516666666667
NAT13	-0.31925
MAT2B	-1.495625
CSNK1D	0.3385
KIR3DL1	1.127
PRKAG3	0.194
ZNF599	-0.9805
PRM3	1.602
PER2	0.4225
ASPHD1	0.32
PRMT6	-0.671
KCNE1L	-0.306357142857143
FAM118A	-1.34733333333333
TAF4	-0.58375
NDUFB6	-0.983
TRIM9	-2.30954545454545
PMFBP1	-0.72425
KY	0.1085
DKFZp762E1312	-0.185727272727273
CSMD1	-1.2665
TBP	-0.485
OR1Q1	0.305333333333333
RETNLB	0.599
HPGD	-0.952357142857143
DNAJC12	-1.80316666666667
FKBP1B	-2.582
ANKRD24	-0.254666666666667
CXXC5	0.1135
IL3	0.248875
DRAM	0.7499
PTCH1	-0.254375
TP53BP1	-0.92325
SLC17A7	0.711
COL25A1	-0.2038
AMACR	-1.40466666666667
RHCG	3.62425
VPS13A	0.633416666666667
FAM55D	-0.341
PRPF38B	-0.296083333333333
OSBPL6	-1.132
PFDN5	0.0502
CMTM6	-0.454875
KCNK12	-0.023
RP2	-0.04925
C16orf52	-1.996
PICK1	-0.444
IFNE1	-1.11533333333333
SEMA4B	-0.07675
TYRO3	-0.86375
OR12D2	0.135
CSNK1A1	0.3133
FANCF	1.69
LONP2	0.935875
TBL1Y	-0.24625
LDOC1L	-1.50275
CCNC	-1.44675
C3orf60	-0.3745
CHKA	1.22925
UBAP1	0.813
MAP3K1	1.4585
ANKRD9	0.6395
FAM92A1	-0.9775
GAB2	0.32375
AZU1	0.0875
DIS3	-1.8775
C21orf109	-0.74325
IQCB1	-0.64375
SPATS2	-1.283
EFCAB3	0.90225
PRB3	0.935125
FUZ	0.148333333333333
ZNF813	-0.589625
BMPER	-1.40066666666667
HEG1	0.10175
ALS2CR11	-1.16875
SURF2	-0.54825
PSMC1	-0.101333333333333
OR2D2	0.58
SLC7A8	0.847
C4orf40	4.821
SPATA7	-0.2315
MAZ	0.733333333333333
PIN4	-0.64225
PDE1A	-1.092125
TAF6L	1.23
OR2T34	0.8175
KIAA0284	0.504
ACADS	-0.949636363636364
MKRN2	-3.094
C18orf56	-1.24925
MS4A6E	0.368333333333333
GALNT4	0.3541
C22orf31	-0.015
FLJ36070	1.0735
PSME4	1.7215
TFG	-0.2018
EPHX2	-0.239875
ANXA5	0.670625
KRTAP1-1	-0.00979999999999998
BATF	2.0575
KARS	-1.20075
MSTP9	-0.932
GPR26	0.7465
CCDC72	0.6145
TEF	0.920166666666667
FOXK1	-0.7381
PRLHR	1.0435
EMX1	1.548
C11orf30	0.21775
ICK	0.516125
THSD7B	1.9835
C21orf100	-1.382
DUOX1	2.3365
EFCAB4B	-0.70175
UBE2G2	-0.121333333333333
C3orf54	0.8795
PARP1	0.364
FAM60A	0.287333333333333
C6orf146	0.289
OR9K2	0.2965
DDX55	-1.227
RPS15	0.1995
ZNF618	1.882375
DKFZp686D0972	0.65675
SSPO	-0.5275
SHFM3P1	-0.221166666666667
CPA6	-1.75525
JAG2	0.4545
DEFA3	1.14625
PPBPL2	0.1168
CD34	4.13875
SLCO4A1	-3.147625
AFG3L1	0.0171666666666667
SHD	0.08725
RP13-122B23.3	-1.2485
PRKCSH	-0.243333333333333
DPH5	-1.329
HLA-F	2.144625
TBC1D4	-0.2925
RIG	-0.762833333333333
GLUD1	-0.849666666666667
HNRPCL1	-0.5155
HBXIP	-1.13675
RNF207	-1.5325
APIP	-0.7635
PLA2G3	-2.28566666666667
CCDC84	-1.30025
MYLIP	-0.259615384615385
PHIP	0.482
AARS2	0.276
DHX32	-0.216
SCAPER	0.292166666666667
MEN1	-0.228
NIP7	-1.414
FLJ25404	1.301
FASTKD3	-0.56325
TMEM158	0.608
RARA	1.53925
BDH1	0.7695
ANKRD16	0.0275
CARM1	2.0645
SS18	-0.529833333333333
IKZF2	1.66008333333333
MYD88	-0.443375
PML	1.2579
