Hybridization REF	TCGA-A2-A04X-01A-21R-A034-07
TEAD2	-0.2095
SNAP25	-0.948
TUFT1	2.4369
TMTC3	1.66116666666667
LCK	-0.5155
SGOL1	-0.989666666666667
AKTIP	0.23375
FURIN	0.959375
SOX12	-0.5545
DEFB103A	-0.26025
RAMP1	0.08
KIR3DX1	1.0555
GAS2L3	-0.75875
PDE8A	-1.4393
EDN3	-0.105
GMIP	1.522
SF3A2	1.5685
FN3KRP	0.0495
SMAD7	-0.1765
RHBDD2	0.435
OR11H6	1.379
PPP1R3B	1.6806
C9orf23	1.28875
CADPS	-1.3115
GOLGA8A	-3.340375
TMEM57	1.73233333333333
RGL3	0.2965
S100A14	4.408
FGFR2	-1.0435625
XRCC3	-0.5085
RTN4RL2	0.76025
MGC3771	2.375
GH2	0.466333333333333
BTBD2	0.027
LMO2	-0.0815
RDBP	0.48975
ACRBP	-0.3215
AMY2A	1.905
DUOXA1	1.6765
PTK7	0.258666666666667
TWF2	-0.711833333333333
FAM80A	2.12775
TNNI2	-2.39866666666667
GLT25D1	-0.609166666666667
OCC-1	-2.55275
CYC1	-1.76983333333333
RPL22	-0.119272727272727
MORN3	0.377166666666667
DISP1	3.78
PRB2	0.2095
CHUK	-1.4115
HR	-0.71325
CCDC134	0.707125
DENND4B	-0.45225
C14orf130	0.5005
RAB33A	-0.83825
DCST2	0.5065
TNMD	-2.64075
PEX7	-0.01975
FAM62A	0.32075
SRD5A2L	2.16375
IL22	-0.09075
RPS26	-1.618
HOXC5	0.296
SPATA6	1.874
FLJ38482	-0.18075
ZNF234	2.5795
C18orf22	0.33725
SPATA22	0.49425
THOC1	-0.7495
CYP7B1	2.1365
KCNC3	-0.33275
C8orf42	-0.0065
ALDH1B1	-0.000999999999999992
CCDC100	-0.3956
ARMC4	-2.94633333333333
FAM18B2	-0.458
SLC44A1	0.8765
FBXO17	-1.6505
C6orf107	0.60725
C19orf29	0.2
ZC3HAV1L	-0.38775
PARP6	-0.0465
SULT2A1	-4.641
C1orf159	-0.34625
TMC1	0.11475
CHST14	-0.01775
GAMT	0.3355
SMCP	0.146166666666667
TSPAN33	-0.06475
MIDN	0.63375
NOX4	1.51675
RNASEN	-0.6319
TBX1	2.15733333333333
SALL2	-2.6865
C10orf35	1.15125
CYP2E1	-1.12575
LRFN2	2.90216666666667
ACO1	-0.874333333333333
IQCG	1.0044
MEGF9	1.0335
TM7SF4	1.528
PLEKHA1	0.450266666666667
STK33	-2.7775
C1orf210	2.73225
SNUPN	-0.2023
KIAA0406	-0.7052
C20orf29	2.05625
TMEM55B	0.1365
OSTM1	-1.1645625
CLCN7	0.70325
OTP	0.43075
FLJ23049	-0.638
HEATR4	0.3875
MAP3K10	1.69516666666667
PCDHGA9	0.3765
AMDHD2	0.00125
LCTL	-1.5295
PDCD2L	0.00199999999999999
CABLES2	-0.67625
SLC5A9	-0.27425
CLCA2	0.797
MGC16025	1.8245
STRAP	-1.07183333333333
C20orf196	-0.171
RRBP1	2.05733333333333
NAT13	-1.01575
MAT2B	-0.087
CSNK1D	-0.420666666666667
KIR3DL1	0.763
PRKAG3	-0.2225
ZNF599	-0.4675
PRM3	0.939
PER2	0.9675
ASPHD1	-2.646
PRMT6	-0.7505
KCNE1L	-0.597928571428571
FAM118A	0.593
TAF4	-0.42575
NDUFB6	-0.18825
TRIM9	-1.10741666666667
PMFBP1	-0.07475
KY	0.173
DKFZp762E1312	-1.05581818181818
CSMD1	-1.22475
TBP	-0.310166666666667
OR1Q1	0
RETNLB	0.107
HPGD	-0.210857142857143
DNAJC12	-0.587666666666667
FKBP1B	-2.797
ANKRD24	0.298166666666667
CXXC5	0.540333333333333
IL3	0.522625
DRAM	2.8346
PTCH1	-1.621125
TP53BP1	-0.19725
SLC17A7	1.078625
COL25A1	-1.1763
AMACR	0.454666666666667
RHCG	-0.35525
VPS13A	-0.379666666666667
FAM55D	0.2315
PRPF38B	-0.845083333333333
OSBPL6	2.602
PFDN5	0.1886
CMTM6	0.229625
KCNK12	-1.5005
RP2	-0.2845
C16orf52	-2.119
PICK1	0.256
IFNE1	-0.987166666666667
SEMA4B	0.18925
TYRO3	-1.244
OR12D2	0.068
CSNK1A1	0.52395
FANCF	1.785
LONP2	3.16225
TBL1Y	-0.14475
LDOC1L	-0.585625
CCNC	-1.77475
C3orf60	0.61225
CHKA	-1.51975
UBAP1	-0.0015
MAP3K1	1.812
ANKRD9	0.279
FAM92A1	-1.73666666666667
GAB2	-0.679125
AZU1	-0.0315
DIS3	-1.47033333333333
C21orf109	-0.73975
IQCB1	-1.32325
SPATS2	-0.0731666666666667
EFCAB3	-0.0935
PRB3	0.6125
FUZ	0.5885
ZNF813	-0.021625
BMPER	-0.898166666666667
HEG1	-0.5185
ALS2CR11	-1.1155
SURF2	0.5675
PSMC1	0.43525
OR2D2	0.708
SLC7A8	2.84383333333333
C4orf40	0.6765
SPATA7	-0.3665
MAZ	-0.201583333333333
PIN4	0.28275
PDE1A	-1.101625
TAF6L	0.455833333333333
OR2T34	0.3895
KIAA0284	0.1555
ACADS	-0.240818181818182
MKRN2	-0.7375
C18orf56	-0.6615
MS4A6E	0.571
GALNT4	0.462
C22orf31	1.501
FLJ36070	1.6585
PSME4	0.63325
TFG	-0.2728
EPHX2	-0.626125
ANXA5	0.346375
KRTAP1-1	-0.18
BATF	3.28875
KARS	-1.3945
MSTP9	-0.7485
GPR26	0.106428571428571
CCDC72	0.076
TEF	0.820666666666667
FOXK1	-1.4929
PRLHR	0.333
EMX1	1.024
C11orf30	-0.3335
ICK	0.661625
THSD7B	-0.52
C21orf100	-3.075
DUOX1	3.0955
EFCAB4B	0.46675
UBE2G2	-1.1175
C3orf54	0.65475
PARP1	-0.3275
FAM60A	-1.77391666666667
C6orf146	-0.10125
OR9K2	0.072
DDX55	-0.84
RPS15	0.628833333333333
ZNF618	0.4413125
DKFZp686D0972	-0.4445
SSPO	-1.6465
SHFM3P1	0.422
CPA6	3.3695
JAG2	0.44525
DEFA3	0.81575
PPBPL2	0.913666666666667
CD34	4.15175
SLCO4A1	-2.347875
AFG3L1	-1.84466666666667
SHD	-0.3
RP13-122B23.3	-0.446833333333333
PRKCSH	-0.732166666666667
DPH5	-0.381333333333333
HLA-F	3.641
TBC1D4	-1.29125
RIG	-0.4855
GLUD1	0.82
HNRPCL1	-0.3025
HBXIP	-0.6855
RNF207	-0.36
APIP	-0.9845
PLA2G3	-2.82633333333333
CCDC84	-1.562
MYLIP	0.759384615384615
PHIP	-0.59625
AARS2	0.463
DHX32	1.2125
SCAPER	-0.270833333333333
MEN1	0.369875
NIP7	-1.17775
FLJ25404	0.2635
FASTKD3	-1.02975
TMEM158	-2.48808333333333
RARA	0.93375
BDH1	1.1315
ANKRD16	0.015
CARM1	0.6575
SS18	-0.611166666666667
IKZF2	0.265333333333333
MYD88	0.2905
PML	1.31055
TAF1A	-1.11675
CBFB	-0.5405
HIST1H3H	-0.341666666666667
C7orf29	-2.601
COMMD4	-0.331333333333333
DPP3	-0.73175
DAB2	0.3075
LOC388882	0.0295
YPEL4	-0.0755
AGBL3	1.76425
LRP6	0.0699
SERPINH1	-0.341
TLE1	0.9195
CD244	1.31316666666667
ZDHHC15	-2.0755
MGLL	-0.6598
PLDN	-0.418916666666667
LOC654346	2.304
FAP	1.96275
GPR37	0.188166666666667
SCARA5	0.277
EBF4	1.95218181818182
LSM6	-0.706
MLLT1	0.3230625
SLC5A12	-0.14325
A2BP1	-0.915333333333333
COPS5	-1.22666666666667
TPM4	-0.177928571428571
TNFSF4	1.455
ACADSB	1.78183333333333
HERPUD1	0.91825
BCL2L11	-0.0986111111111111
CEP78	-1.325125
CDCA3	-0.70925
WBSCR19	0.1252
MYO1A	-1.6705
PPEF1	2.32833333333333
LOC440348	-0.69175
CPEB2	1.146375
BPTF	-0.49425
RPL21	-1.1504375
GSX2	0.099
ADPRH	0.854666666666667
C17orf68	0.753833333333333
KCNS1	-0.8985
MLLT6	0.1407
PIWIL4	-0.26925
RNF26	-1.15825
RAP1B	0.519
ADAMTS1	-2.6013
ZNF571	0.7115
P2RY6	1.49
TRIM21	2.08566666666667
CADM3	0.85325
NLRC5	1.754
ADRA2B	-0.134833333333333
LOC90835	0.097625
PCF11	-0.893
LOC400451	2.53
GLTSCR1	1.1972
C17orf88	-1.008
CDH16	-1.533
FGF7	0.608875
PCSK4	0.3115
NPC1L1	-0.585666666666667
TAT	0.2625
TBCA	-0.417
MGC33407	-0.276
GPR115	-1.26671428571429
CYGB	0.0305
FNBP4	-0.9545
C12orf43	-0.147
CBL	-0.7382
CLECL1	2.1695
PPAPDC1A	0.68175
WDR25	0.419166666666667
SGCA	0.2345
C22orf29	0.198666666666667
YIPF1	1.86025
GALK2	-0.024
RAB3B	1.1315
LOC440087	-0.299
UCP1	-0.1955
REEP5	1.302375
FADD	-0.4012
FOXA1	3.589
CACNA1A	0.6965
ABI1	0.186833333333333
GRIN2D	1.83325
SLC1A4	1.7455
LOC401127	1.174
HINT2	0.89725
PLD4	0.413
ZNF286A	-0.3715
ENY2	-1.448
IL1F6	0.087
PXDNL	-0.65425
C20orf79	0.0865
TNFSF13B	4.0665
DENND3	0.8385
JARID1D	-2.85425
HIST1H2AK	1.2055
LOC93349	1.2023
SSH1	-1.096
ENSA	3.5495
LOC219854	-0.852666666666667
CKAP2	-1.3788
DKFZP564J102	2.143
MGC87315	0.624833333333333
HNRPAB	-0.7205
AMH	-2.2465
ZNF526	0.627
BRUNOL5	-0.3756
CACNG3	0.266166666666667
TRPM1	-2.2275
PPP2R1A	0.134625
COL2A1	-1.45825
DDN	0.0323333333333333
FLJ25770	0.5295
HK2	-0.459142857142857
ELOVL6	-1.696375
MDK	-1.4375
EPHX1	1.20125
RASSF2	0.796125
DKFZP434B0335	-0.45975
DLX3	-0.607125
PRTN3	-0.905
AVPR1A	0.5315
C21orf125	0.96325
TNFAIP8	-0.0905
GNB2L1	-0.60275
CALCRL	2.548
SCGB2A2	9.683
UBXD7	-0.07475
ZNF674	-0.0005
TMEM35	-0.814
BRSK2	-1.268875
HECTD3	0.327
TMEM188	-0.538416666666667
LGALS9	2.67525
SCARB2	0.641833333333333
USP34	-0.00491666666666666
C17orf28	2.17758333333333
ZDHHC23	-0.81025
AQP12B	-0.1265
SLC16A3	-2.830125
APLP2	0.675
ITIH2	-5.45675
MICAL3	-0.40025
TNNI3K	-0.169222222222222
HDAC2	-0.708875
PRR7	0.1834
THBS2	-0.53225
LOC751071	-0.698833333333333
CA2	0.8365
RANBP17	0.69375
RLN3	-0.1475
CRYZ	-2.31666666666667
GBAS	-0.4725
TAS1R1	0.092
MPZL3	0.66
PCDH8	-2.0225
HSP90B1	-0.139
KCNK15	-0.2815
TNIP2	0.036
GPR146	0.14925
NOL6	0.33725
SPC25	-1.72566666666667
STEAP2	-0.6455
VAMP3	-0.487333333333333
TCIRG1	0.93175
ZP4	-0.156
PARL	-0.52
TRIM39	0.737166666666667
KIAA1305	-0.355
CRNN	0.326333333333333
GRN	0.07775
HSH2D	2.0055
SCAMP1	0.259875
KIAA1913	-0.10825
PTS	-0.3345
BANP	0.389785714285714
PRKACG	0.514
ADCY6	0.388
C16orf46	-0.2275
CYP51A1	0.963125
DDC	-5.8765
ANPEP	-0.989833333333333
PROM1	-2.4035
SIGLEC10	2.228
COPG	1.664
FAM26E	0.568625
TRIP4	0.358
SNX3	-0.827666666666667
C1orf175	0.677166666666667
PPY2	0.5155
C14orf152	0.4355
FTSJ1	-0.826166666666667
DST	1.07545
LOC554235	0.36425
GLRX5	-0.8185
C20orf12	1.5069
CAB39	0.519
MSH2	-2.02833333333333
PIP4K2C	1.007125
CYLD	1.01425
WTAP	-0.6195
MGAT4A	1.785
TSC22D4	-0.9846
CHRM2	-1.877
PPYR1	0.4555
CCNH	-0.3215
RRM1	0.1315
ECAT8	-4.2995
LOC400120	-0.179
GABRA4	-0.29825
C14orf4	1.2735
C1orf59	1.3005
CTDSPL	-1.49391666666667
NHEDC2	-0.903
PDE11A	0.0684666666666667
KLHL29	-1.87675
CD5	0.8884
TSPAN9	1.212125
WDR67	-1.01175
THUMPD1	0.2339
C18orf17	0.63625
CLYBL	-1.27633333333333
FLJ13231	-0.095125
CMBL	2.058
LECT2	-0.147
NKAPL	1.2625
LOC654780	0.623
OR4C6	0.8455
RAB30	0.6745
TSSK4	-0.127
TMEM163	0.4375
OSBPL11	0.388833333333333
GNB5	-1.33733333333333
CCL21	1.96475
C1orf121	0.117
FMO2	2.47916666666667
RPTN	1.2775
MSTN	0.8965
VCL	-0.429928571428571
FYTTD1	-0.1855
C11orf1	-0.14775
CCDC88C	0.4968125
HFE	0.585444444444444
MOGAT1	0.2095
FAM125B	0.615333333333333
IRGQ	0.2635
RAVER2	0.26425
AKAP5	0.6155
SSSCA1	0.1245
C11orf63	2.061375
ACTG2	0.0731
PORCN	-1.0265
DTL	-2.03945454545455
TMEM151	0.92875
FAM122C	-0.72425
RSAD2	5.0338
BAT4	0.648
KRTDAP	-1.7765
MYH8	0.074875
CRTC3	0.368
LRRFIP2	0.1451
INTS4	-0.5985
TTN	-0.560666666666667
SLC26A5	0.065
PLLP	-0.70775
RGS6	-0.441125
SRGAP3	0.5505
ZNF525	-0.324
NBR2	-1.48733333333333
C13orf1	-0.0277
ZNF137	0.0155
CEP27	-1.158
BEST2	0.49
RNF121	-0.21975
DMRTC2	1.854
C8orf76	-0.65525
BCCIP	-0.06725
MEST	-2.68275
HTRA2	-0.0215
ANGPTL2	0.6395
ILKAP	0.217166666666667
ERAS	0.093
HBS1L	-0.722875
CPA5	0.3685
TMEM30A	0.304833333333333
CD300LF	2.3215
WISP3	-0.211
CRK	0.680642857142857
PDS5A	-0.0505
BRPF3	0.864666666666667
NEDD9	-0.6395
SMPDL3B	1.56375
PSG6	1.3265
PSMD13	0.6845
ETV5	-2.19275
OR51A4	-0.1545
BTBD7	1.05583333333333
GSTO1	-0.87175
hCG_16001	0.783
MAD2L1BP	-0.124333333333333
COX6A2	1.9405
SCNN1A	2.79116666666667
LSM1	0.269166666666667
UGT2B11	5.2
IDUA	1.51325
PPP2R3C	-0.886833333333333
COX11	-0.221166666666667
PDZK1	-4.33
ZNF443	0.256
MGC21874	1.6635
ZNF323	1.2784
KRTAP10-10	0.3635
CXCL6	-0.04125
SLC34A2	0.2938
LOC284402	0.528
NPTN	0.83825
UPP1	-1.43183333333333
SLC6A9	0.351
OR7G3	0.2175
CISD1	-0.516666666666667
ZNF545	-0.2765
SYT14	-0.8265
NT5C3L	-1.5515
ZNHIT3	0.477
SNRPD3	0.424
KIAA0701	0.123125
UNC93B1	0.355666666666667
GMNN	-0.79875
SPCS2	0.1005
LOC388524	0.09
NAPRT1	-0.485375
PNLIPRP1	0.23
OR6V1	1.0085
PRKAB1	-0.22225
EYA4	-3.10933333333333
KIF20A	-1.00425
ALG10	0.1155
ITPKC	1.0725
LMX1B	1.714
RPUSD4	-1.125
C7orf34	0.076
DLGAP2	0.193375
PFN1	-0.3414
MICALL2	-0.0985
ZNF654	-0.1125
SS18L1	-0.681
SLC16A8	0.31275
MKI67IP	-0.497333333333333
ITGB3	-0.930375
TCEA3	3.85841666666667
CEP152	-1.7676875
CLIP1	0.8665
ZNF75	-0.176625
ATP5C1	-0.863666666666667
NUDT5	-0.168833333333333
PSCDBP	2.1505
UBP1	-0.336
RBM27	0.1815
C13orf15	2.123375
ZNF282	-0.6265
ZNF222	0.5342
COL10A1	5.95925
PRDM15	-0.547375
TTTY5	-0.7565
FAM9C	-0.169636363636364
C20orf67	-0.0535
GNG13	1.758
F12	-0.85425
C1orf41	-0.092
CPXCR1	-0.497
GSK3A	0.088375
SUPT6H	0.360333333333333
PI16	-0.196166666666667
ELL2	-0.62525
C9orf167	-2.15316666666667
PVRL3	-1.8505
FLJ38596	0.5395
ADAM20	0.037
GPR89A	0.4255
GPR87	-1.997
ZNF30	0.36275
SMR3B	-0.0055
ZNF770	-0.27375
TRPC4AP	-0.378333333333333
DKFZP686E2158	0.156666666666667
C2orf28	0.248166666666667
FREM1	-0.911333333333333
LAMA4	0.287333333333333
ADPRHL2	0.554
EIF4G2	0.451
GUCA1A	-0.57
CTNNA2	-1.557875
NUDT15	-1.876
CEPT1	-0.391333333333333
ZNFX1	1.5308
CCDC92	0.66075
TDRD1	1.85
KCNK5	-1.68583333333333
ETNK1	0.270583333333333
LTA	0.912
TTPA	0.379833333333333
B3GALNT2	-0.643875
SC65	-0.813833333333333
PEX5L	-1.121625
EPS15L1	-0.139
MGEA5	-0.163125
HIST1H3A	1.01475
ING1	-0.3205
BCAT1	-3.1095
ORC6L	-2.08709090909091
KLK11	-5.119
C19orf28	-1.209625
DNER	-4.471
MED22	-0.955071428571429
ETV6	1.37233333333333
CHAC2	-0.63225
CD300E	0.316
CEBPB	0.77025
ZNF398	-0.92225
LRCH3	0.255
HMGA1	-1.24866666666667
CAPN7	0.0966666666666667
MGC5566	-2.74975
CCL3	3.106
NANOS1	0.035375
ZFYVE19	0.7165
APITD1	0.279666666666667
PARD3	0.845375
IRAK4	0.0468333333333334
SERPINI2	0.172
CEP170L	-0.67675
TTC9	1.829875
MYOM3	-1.0165
MLPH	2.399125
LOC222699	1.8025
NRG1	-1.78658333333333
TBC1D9	0.770909090909091
TTK	-2.34766666666667
ZNF557	0.8295
DDX41	-0.384333333333333
FANK1	1.5015
UBE2D2	-0.233
PSMB10	1.86925
MYH7B	0.741
GABARAPL2	-0.267125
MARVELD2	2.68083333333333
DGCR2	1.33483333333333
UNC45A	0.249
C6orf72	0.2665
ZNF683	5.59425
GIT2	0.018875
CASK	0.8075
C14orf161	4.55966666666667
LRRC44	0.422
TIFA	-0.157875
UTP11L	-1.02525
C6orf65	-0.93275
FDPS	1.62475
DUSP9	-1.8464
SLC17A8	0.3356
OR51G1	0.360166666666667
NANS	1.45925
OLFML1	1.412
ATP10B	-0.745875
NPAS3	-1.32975
PRKCA	-2.6043
GGA2	-0.3425
LCE4A	0.128
SPANXN3	0.0813333333333333
CCDC115	1.26375
SDCCAG3	-1.002
GLIPR1L1	0.32425
TTC1	-0.02775
C17orf76	0.87375
MAD2L2	-1.8915
HIPK1	-0.1477
LRRC3B	-0.7405
CLN3	-0.111636363636364
C17orf47	0.4875
FMN2	-2.463125
TUBB1	-1.51128571428571
WAPAL	0.279333333333333
C3orf21	-0.535875
SCN5A	-0.7661
SMYD1	0.878
BEX5	1.43825
ZNF192	-0.118
SEC22A	-0.100166666666667
GRIA2	0.242666666666667
KIAA0825	-1.6105
NUSAP1	-1.14154545454545
LANCL1	-0.163375
C15orf40	-0.3412
ZNF645	0.1585
GPR61	0.026
NLRP14	0.4575
SNX21	0.3149
C1QTNF8	-0.165
C17orf46	0.42675
IFNA8	1.065
SPRR1B	-1.40466666666667
FLRT1	-0.60425
SNX17	-0.6105
ASB2	0.6185
HBG1	-6.047
RPRML	-2.82675
JOSD2	0.4635
PLSCR3	0.6465
SPOCD1	-0.7775
RAB39	0.1785
GHRH	-0.369166666666667
ITIH5L	1.0005
C17orf37	3.29875
SMCR8	0.67
DPY19L2P3	-0.472833333333333
IL11RA	-0.0916666666666667
GDF3	-3.455
RPS6KB1	-0.114333333333333
DNAJC19	-0.3477
TOP1	0.08775
CRCT1	-0.5855
MPST	0.7165
DPM2	0.249
FAM38B	-1.83783333333333
SLC18A1	-1.89866666666667
FARP1	-0.897166666666667
PAX7	0.14675
TUBD1	-0.0895
GNL3	-0.286125
BTG2	0.254866666666667
NDUFS6	-0.288
C1orf79	-1.08425
ERAL1	0.0705
ECHS1	0.744
VPS4A	0.151
CYP11A1	-0.81025
ABCC6	-2.29178571428571
PBX4	-1.1825
MOSC1	-1.0055
NCF4	1.15525
HYMAI	-0.1085
NAGPA	-0.2005
OTOP2	0.314
ACOT12	-0.1185
MTHFD2L	-1.201375
LOC441376	1.1075
C19orf34	0.108
RAB1B	-0.0335
ALDOAP2	-0.8005
NTRK1	-1.56733333333333
ARTS-1	0.2353
SLC6A11	-1.0485
NAP1L2	2.20175
CNGB1	0.117666666666667
EPB41L4B	0.984583333333333
FAM134B	0.01225
HS3ST3A1	-0.836666666666667
CPXM2	4.9685
SIRPB2	0.082
CHORDC1	-0.956333333333333
TRIB3	0.0558333333333333
SLC2A5	1.18475
C2orf49	-0.428
DDX5	-0.6265
OR5L1	1.1915
ANAPC4	-0.511166666666667
ZSWIM1	1.299
LOC93622	-0.40975
KCNK3	-0.6336
RP11-35N6.1	-1.734
ZFP161	-0.209
AQP9	3.14575
SLC15A2	1.07166666666667
MREG	0.588333333333333
OR9I1	0.016
PDLIM2	-0.19375
ADAM7	0.0925
GSTCD	-0.365
WDR21A	0.244375
SLC12A8	1.123
TMEM174	0.253
IGSF3	1.16883333333333
LRRN1	-2.4545
LOC402117	0.2015
SRPK1	-1.45033333333333
LY6K	0.5709375
NFIA	3.0675
PTCD3	-0.609125
LEP	0.8825
PCDH21	-0.812166666666667
MAPKAPK2	0.529285714285714
NMNAT1	-0.814
LHFPL2	0.651875
C9orf43	2.4155
DIP2A	-0.756666666666667
ACTR8	0.669
CCDC34	-0.747
PTPN22	-0.30175
ITGA3	1.259125
FAM129C	1.61575
RABGGTA	0.784
UNC45B	0.665
KIAA1033	0.199625
ZNF510	0.1085
CYP2D6	-0.541666666666667
SLC26A10	-2.227
STX8	0.76825
LUZP1	0.189125
WDR89	0.542666666666667
EIF4G3	0.3234
C5AR1	0.804
ZNF623	-1.0575
A2M	0.629
TGM7	0.642
GRPEL1	0.0305
LMNB2	-1.0835
ROCK2	-0.465666666666667
SNX16	-0.3755
CCDC66	-0.29875
ANXA3	-0.34475
KIAA1609	-0.025875
EED	-0.92525
RNF32	0.0475
HES1	1.0409
CLC	0.790333333333333
ISL1	-0.633666666666667
KIAA0528	0.0985
MANEA	-0.369625
C1orf61	-2.236
hCG_2001000	1.17325
RAPGEF6	1.5656
KIAA0020	-0.866333333333333
NEIL1	2.33225
C16orf45	-1.80925
RBM10	-0.0638333333333333
C10orf125	-0.924875
MRS2L	0.26825
DNAH17	-1.62475
C19orf10	-0.441
C1orf160	0.86975
SLFN12	2.07275
EXOC3	-0.407
HIST3H3	0.1095
NCOR2	0.323666666666667
TNFRSF9	1.89
MFSD8	1.239
ALX1	-3.02016666666667
NOL1	-0.74575
PODN	1.89375
TIAL1	-1.0015
HIST1H1E	1.29525
NPY6R	0.1135
TM4SF4	-1.0385
CORO2A	1.734
ETNK2	-1.2595
APOE	2.2682
ANGPT4	0.508
HDGF2	-0.45175
G30	0.6115
ST8SIA4	-0.03775
F2RL1	-0.219
FAM19A4	-2.05875
CCAR1	-0.3475
B3GNT7	0.292
OPHN1	-0.0573
DSCR6	1.511
C21orf13	0.896833333333333
GAS2L1	0.691583333333333
RFX3	-0.446666666666667
COPS4	-0.547
BCHE	-4.68116666666667
BCL2	0.661875
HBZ	-3.01933333333333
ARL13B	-0.52075
MAPBPIP	-0.179
MYO15B	0.76225
SPZ1	0.6175
KIAA1324	3.52277777777778
PLCL2	-0.772375
C4orf29	-0.58425
WDFY2	-0.6455
ZNF284	-0.222
NAALADL1	-0.3975
DUSP5	0.206833333333333
PXDN	-0.457375
SLMO1	-1.82525
TNXB	0.8146
BIRC7	-0.18375
A4GALT	-0.0725
TIMM22	0.53875
FAM110C	2.91125
TOMM34	-0.944375
ABHD9	0.3325
ADAM32	0.837
CRHBP	-0.415
AQP2	0.55075
LOC130355	0.64575
ZNF187	0.973833333333333
ZNF816A	0.0095
F7	-0.904125
CNOT1	-0.0694
SLC13A4	-1.1795
ZBTB11	-0.45125
B3GALT5	-0.05
EXOC2	0.604
IRS1	-2.372
TMEM1	-0.0295
MRPL34	0.212666666666667
SAMM50	-0.217
CDC42EP3	-0.40575
HSF2	-1.9822
MFN2	0.714
TSPAN7	-2.00483333333333
NUCB1	0.86375
RHOH	-0.0525
ARL16	-1.3895
TACR1	0.28475
SFRS5	0.106666666666667
SNX25	0.203875
RHBDF1	0.564
PCDH18	0.729333333333333
HMG1L1	-0.98825
MYO5C	1.2895
MAPK10	0.2185
LDHAL6A	0.188166666666667
NUDT12	0.408166666666667
NCAM1	-0.31425
GLIS2	1.3475
GGTL4	-0.73075
DAPP1	0.9655
ATF7	1.256625
KIAA0748	0.36525
NFIL3	-1.9435
TM6SF1	0.1688
SEZ6	-0.017125
NANOS3	0.177
DNAJA3	-0.679166666666667
CLDN6	-2.6085
CIITA	3.2097
EPHA4	-0.464
FANCC	0.3325
CMTM3	-0.033375
PSG3	-0.2655
MRPL15	-0.4475
C21orf59	0.34025
PLCXD2	-0.11425
C2orf34	0.273125
UBE2L6	2.367
MED14	-0.313166666666667
HP1BP3	-0.9293
C6orf208	0.678
TPBG	-0.425
OSR2	1.05725
XPC	0.181666666666667
KLHL7	-1.16808333333333
CCR3	-0.426
AGTPBP1	-0.5045
PCSK6	0.3142
STAT5A	-1.2424
FAM18B	-0.4155
LONRF2	-1.15483333333333
PTPN2	-0.995625
SF3A3	-0.965833333333333
EFCBP2	-0.39675
HCFC1	-1.27666666666667
AHNAK	0.34795
ACTR5	0.52325
KIF14	-2.92771428571429
TENC1	0.656
HEATR5B	0.6065
YIPF2	0.721666666666667
MYEOV2	0.762333333333333
DUSP18	1.4945
KIAA1012	-0.651
AHR	0.1025
C17orf53	-1.623
PTPRH	-3.8415
ATP6V1C1	-0.8294
TAS2R3	0.186
LOC440356	-1.50875
COQ10B	0.09725
PSMF1	0.78
SORBS2	2.72891666666667
NFE2L2	-0.5495
TMCO7	-0.248
SH3PXD2A	-1.493
SH2D2A	0.527
SPINK5	-2.9315
MRPS24	-0.489
OPA3	0.96825
TRAF7	-0.233333333333333
C4orf35	0.321333333333333
MT1G	-0.670875
MGC39545	1.14525
HS1BP3	1.1923
OR2B2	0.2795
CHRM4	-0.4805
SFRP2	0.872666666666667
RIC3	-0.7755
ART1	0.2275
C6orf1	1.312
DUS4L	-2.2085
C10orf104	0.247
TNFAIP6	2.0235
RTEL1	-0.2235
CCT4	-1.1696
ZNF709	-0.24975
CHMP6	0.8165
UPP2	-0.06725
CYP19A1	-2.226
CD151	0.191333333333333
NDUFA13	-0.0556666666666667
ARFRP1	-0.491333333333333
FAM26B	1.56425
CRYBA1	-2.1665
MRPL41	1.14933333333333
NPFFR2	-0.01375
HRH2	0.2415
SCAMP3	1.84866666666667
MTMR6	-0.0036
MTG1	-0.822
UBTD1	0.897
CRABP1	-2.7065
FLJ33790	-0.2195
KIAA1908	-1.734
GPR158	-1.14125
PACSIN3	0.3425
OMD	3.60633333333333
CATSPER1	-0.269666666666667
HOXB8	-0.336125
FBXO46	1.511
OAS1	3.07366666666667
SVIL	-0.88825
PHB2	-0.85725
ADCY3	-0.2805
NDRG2	0.283666666666667
ERMAP	-0.5176
APBA2	-0.866
IGSF9	0.96525
WNT6	0.230214285714286
MYCBPAP	-0.18025
ATP2B2	0.4187
CPVL	-0.8643
TRAM2	-0.116416666666667
NOP5/NOP58	-0.09675
ZNRF4	0.33925
TLK1	0.337625
MTMR12	0.399357142857143
ZNF384	-0.305166666666667
FAM9B	-2.2745
RPN1	1.1023
PMVK	3.0785
EIF3D	-0.0842
SIX2	1.5945
HPS1	0.637642857142857
RNF7	0.7425
PSKH2	0.228
KCTD13	-0.375333333333333
CSMD3	-0.5797
FBF1	-0.118
IL8	-4.492
SERPINB13	0.3295
FBXL20	2.61675
BLR1	0.278
SH2B1	-0.6325
RFNG	0.15975
RAB20	0.377
RBM7	-2.45375
POLR1A	-0.650666666666667
TMPRSS4	-2.85775
TAF9	-0.817125
TERF2	-0.2085
TNFRSF1A	0.46175
ACADVL	-0.239
GTF2H5	-0.0455
EDG8	-0.6045
C9orf140	-1.362875
UST6	0.54175
