Hybridization REF	TCGA-B6-A0WV-01A-11R-A109-07
HERPUD1	0.09275
BCL2L11	-0.700722222222222
CEP78	-0.7165
CDCA3	-0.768875
WBSCR19	0.1343
MYO1A	-2.5935
PPEF1	1.48366666666667
LOC440348	-0.55525
CPEB2	1.544875
BPTF	0.164583333333333
RPL21	-0.8788125
GSX2	-0.318
ADPRH	0.765333333333333
C17orf68	0.407333333333333
KCNS1	-1.14366666666667
MLLT6	-0.3712
PIWIL4	-1.4585
RNF26	-0.75825
RAP1B	0.554875
ADAMTS1	-3.3949
ZNF571	0.845
P2RY6	-1.109
TRIM21	0.613333333333333
CADM3	-0.12675
NLRC5	0.096
ADRA2B	-0.000666666666666667
LOC90835	0.665125
PCF11	0.20825
LOC400451	1.09
GLTSCR1	0.3791
C17orf88	0.282833333333333
CDH16	-1.829
FGF7	1.002875
PCSK4	0.664833333333333
NPC1L1	-0.701833333333333
TAT	-0.06825
TBCA	-0.7485
MGC33407	0.11275
GPR115	-0.943125
CYGB	-0.5115
FNBP4	-0.648333333333333
C12orf43	0.4495
CBL	-0.7126
CLECL1	-1.015
PPAPDC1A	1.585
WDR25	0.0953333333333333
SGCA	0.2915
C22orf29	0.759
YIPF1	0.98675
GALK2	-1.61075
RAB3B	-4.21925
LOC440087	2.7165
UCP1	-0.908
REEP5	2.388375
FADD	0.7084
FOXA1	3.373125
CACNA1A	0.1045
ABI1	0.277166666666667
GRIN2D	0.18575
SLC1A4	0.22
LOC401127	-0.84575
HINT2	0.419
PLD4	-0.6435
ZNF286A	-0.6235
ENY2	-1.171
IL1F6	0.3855
PXDNL	2.90075
C20orf79	-0.016
TNFSF13B	0.906833333333333
DENND3	-0.336875
JARID1D	-3.9155
HIST1H2AK	1.258625
LOC93349	-0.6984
SSH1	-0.5058
ENSA	-0.4405
LOC219854	0.255666666666667
CKAP2	-1.1176
DKFZP564J102	-0.271666666666667
MGC87315	0.405833333333333
HNRPAB	-0.3465
AMH	-0.3985
ZNF526	0.689
BRUNOL5	-0.1415
CACNG3	-0.206833333333333
TRPM1	-2.7525
PPP2R1A	0.188375
COL2A1	-1.65025
DDN	-0.547333333333333
FLJ25770	1.00908333333333
HK2	-0.8075
ELOVL6	-1.07225
MDK	-0.7775
EPHX1	1.4695
RASSF2	-0.611
DKFZP434B0335	-0.401
DLX3	0.279125
PRTN3	-0.70275
AVPR1A	1.26775
C21orf125	-2.35775
TNFAIP8	-0.960833333333333
GNB2L1	0.14275
CALCRL	1.90125
SCGB2A2	5.53083333333333
UBXD7	-0.593
ZNF674	-0.307
TMEM35	-0.244375
BRSK2	-1.353625
HECTD3	0.52
TMEM188	-0.256583333333333
LGALS9	0.53175
SCARB2	1.08925
USP34	0.21975
C17orf28	2.35866666666667
ZDHHC23	0.0845
AQP12B	-0.161
SLC16A3	-0.6345
APLP2	0.03725
ITIH2	-6.04025
MICAL3	-0.178375
TNNI3K	0.4312
HDAC2	-0.4125
PRR7	-0.1602
THBS2	-0.366625
LOC751071	0.1755
CA2	2.39066666666667
RANBP17	0.77025
RLN3	0.26
CRYZ	-0.135333333333333
GBAS	0.320666666666667
TAS1R1	-0.328
MPZL3	0.413
PCDH8	-1.79725
HSP90B1	-0.381833333333333
KCNK15	2.0955
TNIP2	-0.0908333333333333
GPR146	-0.53875
NOL6	-0.65975
SPC25	-2.20088888888889
STEAP2	2.59964285714286
VAMP3	0.598833333333333
TCIRG1	0.1845
ZP4	-0.13
PARL	0.234375
TRIM39	0.183166666666667
KIAA1305	1.79
CRNN	0.959833333333333
GRN	-0.124
HSH2D	0.97425
SCAMP1	-0.02575
KIAA1913	0.27825
PTS	-1.00725
BANP	0.361642857142857
PRKACG	0.1245
ADCY6	0.9655
C16orf46	0.5265
CYP51A1	0.293
DDC	-6.029
ANPEP	-1.27316666666667
PROM1	-0.644333333333333
SIGLEC10	0.50175
COPG	0.6435
FAM26E	0.78575
TRIP4	0.20125
SNX3	-0.403333333333333
C1orf175	0.515833333333333
PPY2	-0.08175
C14orf152	0.06975
FTSJ1	-0.6515
DST	-0.0271
LOC554235	0.0345
GLRX5	-0.43575
C20orf12	2.4526
CAB39	0.759166666666667
MSH2	-1.51716666666667
PIP4K2C	1.358625
CYLD	1.602375
WTAP	-0.3755625
MGAT4A	0.539666666666667
TSC22D4	-0.0788
CHRM2	-2.6695
PPYR1	0.239666666666667
CCNH	-0.139833333333333
RRM1	-0.1005
ECAT8	-3.97425
LOC400120	-0.31425
GABRA4	-0.3305
C14orf4	1.09416666666667
C1orf59	-2.1195
CTDSPL	0.892333333333333
NHEDC2	-1.352
PDE11A	-0.9735
KLHL29	-2.309
CD5	-2.1781
TSPAN9	1.918375
WDR67	-1.27125
THUMPD1	0.1681
C18orf17	-0.2875
CLYBL	-0.302833333333333
FLJ13231	0.310375
CMBL	1.10925
LECT2	-0.495
NKAPL	1.0485
LOC654780	0.687
OR4C6	-0.4025
RAB30	0.482333333333333
TSSK4	-0.056
TMEM163	0.1065
OSBPL11	0.192916666666667
GNB5	-1.54033333333333
CCL21	1.417
C1orf121	-0.351333333333333
FMO2	2.759
RPTN	-0.472
MSTN	-1.4505
VCL	0.632785714285714
FYTTD1	0.142
C11orf1	0.055
CCDC88C	0.218625
HFE	-0.338944444444444
MOGAT1	-0.000999999999999994
FAM125B	0.511166666666667
IRGQ	0.6855
RAVER2	0.767
AKAP5	-0.248
SSSCA1	0.3965
C11orf63	-1.048
ACTG2	1.5301
PORCN	-0.7005
DTL	-0.706818181818182
TMEM151	0.89475
FAM122C	-0.223
RSAD2	2.766
BAT4	-1.3955
KRTDAP	-0.2575
MYH8	0.060125
CRTC3	0.27
LRRFIP2	0.763
INTS4	-0.810333333333333
TTN	-1.3145
SLC26A5	0.4925
PLLP	-1.1805
RGS6	-0.66575
SRGAP3	0.852
ZNF525	0.256833333333333
NBR2	0.0726666666666667
C13orf1	-0.4014
ZNF137	0.451
CEP27	-2.009
BEST2	0.5155
RNF121	-0.24975
DMRTC2	-0.384
C8orf76	-0.44975
BCCIP	-0.24425
MEST	-0.908
HTRA2	-0.352
ANGPTL2	0.0535
ILKAP	0.0746666666666667
ERAS	0.0655
HBS1L	-0.247375
CPA5	-0.032
TMEM30A	0.034
CD300LF	0.803666666666667
WISP3	1.616
CRK	-0.0465714285714285
PDS5A	-0.0976
BRPF3	0.260833333333333
NEDD9	-0.8595
SMPDL3B	1.125
PSG6	-1.3455
PSMD13	1.16975
ETV5	-3.180875
OR51A4	0.379
BTBD7	0.000666666666666674
GSTO1	-0.944
hCG_16001	0.4245
MAD2L1BP	-0.603
COX6A2	0.068
SCNN1A	1.98566666666667
LSM1	0.357
UGT2B11	-2.1975
IDUA	-0.06575
PPP2R3C	-0.6095
COX11	-0.271833333333333
PDZK1	2.713
ZNF443	1.315
MGC21874	0.907833333333333
ZNF323	1.0902
KRTAP10-10	0.4675
CXCL6	-0.30225
SLC34A2	1.303
LOC284402	0.2865
NPTN	0.473666666666667
UPP1	-2.52541666666667
SLC6A9	0.217
OR7G3	0.23225
CISD1	-0.333
ZNF545	-1.91516666666667
SYT14	-0.552
NT5C3L	-0.07
ZNHIT3	-1.11933333333333
SNRPD3	0.08
KIAA0701	0.61775
UNC93B1	1.11533333333333
GMNN	-1.887875
SPCS2	-0.4785
LOC388524	-0.11
NAPRT1	-0.119
PNLIPRP1	-0.41275
OR6V1	0.372
PRKAB1	0.48525
EYA4	-2.84333333333333
KIF20A	-0.767
ALG10	0.632
ITPKC	1.15516666666667
LMX1B	2.10066666666667
RPUSD4	-1.35583333333333
C7orf34	0.0323333333333333
DLGAP2	0.39975
PFN1	-0.7946
MICALL2	0.195
ZNF654	0.0615
SS18L1	-0.262375
SLC16A8	0.2825
MKI67IP	-0.211166666666667
ITGB3	-1.111375
TCEA3	2.23875
CEP152	-2.138875
CLIP1	1.08125
ZNF75	1.3015625
ATP5C1	-0.458
NUDT5	-0.424833333333333
PSCDBP	-2.22625
UBP1	0.04125
RBM27	0.000499999999999994
C13orf15	1.119875
ZNF282	0.291
ZNF222	-0.0093
COL10A1	5.5525
PRDM15	-0.566625
TTTY5	-0.2365
FAM9C	-0.528636363636364
C20orf67	0.59725
GNG13	-0.762
F12	0.527
C1orf41	-1.05225
CPXCR1	1.327
GSK3A	0.491125
SUPT6H	0.2725
PI16	-1.1045
ELL2	-1.53858333333333
C9orf167	-2.939
PVRL3	-3.4186
FLJ38596	1.788
ADAM20	0.63575
GPR89A	0.432
GPR87	-0.9275
ZNF30	0.99275
SMR3B	0.118333333333333
ZNF770	-0.243375
TRPC4AP	0.261333333333333
DKFZP686E2158	-0.481166666666667
C2orf28	0.255833333333333
FREM1	-2.11683333333333
LAMA4	-0.423666666666667
ADPRHL2	0.15375
EIF4G2	0.6455
GUCA1A	-0.5945
CTNNA2	-1.852
NUDT15	-1.53566666666667
CEPT1	-0.0855
ZNFX1	1.7138
CCDC92	1.11525
TDRD1	-1.3315
KCNK5	-1.8345
ETNK1	-0.169333333333333
LTA	0.5755
TTPA	0.286166666666667
B3GALNT2	-0.31725
SC65	-0.5055
PEX5L	0.1155
EPS15L1	1.222
MGEA5	-0.169375
HIST1H3A	0.291
ING1	-0.648
BCAT1	-3.7355
ORC6L	-2.30263636363636
KLK11	-5.84933333333333
C19orf28	-0.961125
DNER	-5.17225
MED22	-0.518357142857143
ETV6	1.02141666666667
CHAC2	-1.73325
CD300E	-0.0595
CEBPB	0.382333333333333
ZNF398	-0.072
LRCH3	0.237
HMGA1	-2.6375
CAPN7	0.1745
MGC5566	-2.99175
CCL3	1.67625
NANOS1	-0.366625
ZFYVE19	0.037
APITD1	0.00733333333333332
PARD3	0.982375
IRAK4	0.485666666666667
SERPINI2	-0.3915
CEP170L	-0.8095
TTC9	3.465
MYOM3	-1.19
MLPH	1.936125
LOC222699	-0.5265
NRG1	-1.68008333333333
TBC1D9	3.95345454545454
TTK	-2.26916666666667
ZNF557	0.7247
DDX41	0.219666666666667
FANK1	3.116
UBE2D2	0.44025
PSMB10	0.6245
MYH7B	0.285
GABARAPL2	0.169
MARVELD2	1.18816666666667
DGCR2	1.23833333333333
UNC45A	-0.235
C6orf72	0.2645
ZNF683	3.182
GIT2	-0.1525
CASK	0.909833333333333
C14orf161	1.29716666666667
LRRC44	1.914
TIFA	0.35175
UTP11L	-0.8175
C6orf65	-0.76275
FDPS	0.15
DUSP9	-2.2612
SLC17A8	-0.0678
OR51G1	0.761166666666667
NANS	0.37775
OLFML1	1.338
ATP10B	-1.00575
NPAS3	-0.5955
PRKCA	-2.941
GGA2	-0.349875
LCE4A	0.6275
SPANXN3	-0.48125
CCDC115	1.238
SDCCAG3	-0.615
GLIPR1L1	0.022
TTC1	0.44725
C17orf76	0.412
MAD2L2	-0.78925
HIPK1	-0.7045
LRRC3B	-0.3972
CLN3	-0.616636363636364
C17orf47	0.131
FMN2	-3.28775
TUBB1	-1.226125
WAPAL	0.1635
C3orf21	-0.143125
SCN5A	-0.4891
SMYD1	0.071
BEX5	-0.7375
ZNF192	-1.616
SEC22A	0.106166666666667
GRIA2	4.50842857142857
KIAA0825	-0.485
NUSAP1	-1.55954545454545
LANCL1	0.513125
C15orf40	-0.9569
ZNF645	0.595125
GPR61	0.4315
NLRP14	-0.399
SNX21	0.4612
C1QTNF8	0.2465
C17orf46	-0.0595
IFNA8	0.1625
SPRR1B	-1.31916666666667
FLRT1	-0.87675
SNX17	0.800666666666667
ASB2	-1.6695
HBG1	-5.6565
RPRML	-2.13025
JOSD2	0.45
PLSCR3	0.41125
SPOCD1	0.545333333333333
RAB39	-0.1995
GHRH	0.22
ITIH5L	0.8405
C17orf37	0.41625
SMCR8	0.578
DPY19L2P3	-0.111833333333333
IL11RA	-0.3795
GDF3	-4.239
RPS6KB1	-0.700083333333333
DNAJC19	0.0222
TOP1	-0.043
CRCT1	-0.692375
MPST	0.26
DPM2	0.345125
FAM38B	-2.77933333333333
SLC18A1	-2.3025
FARP1	0.179833333333333
PAX7	0.32225
TUBD1	-0.89725
GNL3	-1.1005
BTG2	1.56893333333333
NDUFS6	-0.20175
C1orf79	-2.129
ERAL1	0.04025
ECHS1	1.2815
VPS4A	0.0353333333333333
CYP11A1	-1.513
ABCC6	-1.91107142857143
PBX4	-3.3205
MOSC1	-1.217375
NCF4	-1.14775
HYMAI	-1.0795
NAGPA	-0.388375
OTOP2	0.5885
ACOT12	-0.00925
MTHFD2L	-1.05875
LOC441376	6.196
C19orf34	-0.966
RAB1B	1.07825
ALDOAP2	1.01
NTRK1	-2.90583333333333
ARTS-1	-0.649
SLC6A11	-1.6465
NAP1L2	-2.432
CNGB1	0.322666666666667
EPB41L4B	0.289416666666667
FAM134B	3.134125
HS3ST3A1	-1.247
CPXM2	2.896
SIRPB2	0.592
CHORDC1	-1.60766666666667
TRIB3	0.181166666666667
SLC2A5	-0.20825
C2orf49	-1.2055
DDX5	0.00199999999999999
OR5L1	0.305
ANAPC4	-1.04016666666667
ZSWIM1	0.7385
LOC93622	-0.022625
KCNK3	-0.4034
RP11-35N6.1	-1.880125
ZFP161	0.110333333333333
AQP9	2.7785
SLC15A2	-1.333
MREG	1.3065
OR9I1	0.4495
PDLIM2	-0.036875
ADAM7	1.479
GSTCD	0.372166666666667
WDR21A	0.5405
SLC12A8	1.09633333333333
TMEM174	0.95025
IGSF3	-0.0478333333333334
LRRN1	-1.65525
LOC402117	-1.077
SRPK1	-1.7915
LY6K	-2.0335625
NFIA	1.6385
PTCD3	-0.3705
LEP	2.082
PCDH21	-1.12283333333333
MAPKAPK2	0.7025
NMNAT1	-0.482666666666667
LHFPL2	-0.112
C9orf43	1.0075
DIP2A	-0.7125
ACTR8	-0.12175
CCDC34	0.26375
PTPN22	-2.4815
ITGA3	0.173125
FAM129C	-0.03275
RABGGTA	0.7535
UNC45B	1.26875
KIAA1033	0.215
ZNF510	0.3525
CYP2D6	-1.02566666666667
SLC26A10	-1.713
STX8	-0.0985
LUZP1	-0.06
WDR89	0.0833333333333333
EIF4G3	-0.286
C5AR1	0.50675
ZNF623	0.1785
A2M	-0.50325
TGM7	-0.2275
GRPEL1	-0.0858333333333334
LMNB2	-0.9025
ROCK2	0.0273333333333333
SNX16	0.371875
CCDC66	0.3675
ANXA3	-1.22125
KIAA1609	-0.084625
EED	-0.276
RNF32	1.02833333333333
HES1	0.7983
CLC	-0.1664
ISL1	0.3495
KIAA0528	0.031375
MANEA	-0.038125
C1orf61	-2.619
hCG_2001000	0.4255
RAPGEF6	0.034
KIAA0020	-1.71966666666667
NEIL1	-0.157
C16orf45	0.83975
RBM10	-0.195166666666667
C10orf125	-2.52175
MRS2L	-0.48975
DNAH17	-1.0805
C19orf10	-0.3825
C1orf160	0.7175
SLFN12	-1.0265
EXOC3	0.268666666666667
HIST3H3	0.765
NCOR2	0.662
TNFRSF9	-0.913
MFSD8	0.7095
ALX1	-3.69316666666667
NOL1	-0.88725
PODN	1.82925
TIAL1	-0.71025
HIST1H1E	0.11875
NPY6R	0.5675
TM4SF4	-0.08425
CORO2A	0.19575
ETNK2	2.12716666666667
APOE	-0.4417
ANGPT4	0.3885
HDGF2	0.1605
G30	0.4115
ST8SIA4	-1.50775
F2RL1	-1.024875
FAM19A4	-2.85275
CCAR1	-0.74625
B3GNT7	0.226333333333333
OPHN1	0.0558
DSCR6	2.7365
C21orf13	1.02166666666667
GAS2L1	1.14816666666667
RFX3	-0.421666666666667
COPS4	0.1515
BCHE	-5.23133333333333
BCL2	1.883625
HBZ	-3.6005
ARL13B	0.64725
MAPBPIP	1.126125
MYO15B	-0.152625
SPZ1	1.143
KIAA1324	2.82444444444444
PLCL2	-2.17425
C4orf29	-0.9425
WDFY2	-0.725
ZNF284	-0.087
NAALADL1	-0.351
DUSP5	1.7255
PXDN	0.16675
SLMO1	-0.18375
TNXB	0.1188
BIRC7	-1.5105
A4GALT	1.7915
TIMM22	0.18175
FAM110C	1.163
TOMM34	0.079125
ABHD9	0.24
ADAM32	1.998
CRHBP	-0.777
AQP2	0.374625
LOC130355	0.555
ZNF187	0.0653333333333333
ZNF816A	0.15
F7	-0.452375
CNOT1	0.581
SLC13A4	-1.20675
ZBTB11	0.11075
B3GALT5	0.095
EXOC2	-0.1035
IRS1	0.4346
TMEM1	0.0956666666666666
MRPL34	-0.2965
SAMM50	0.374
CDC42EP3	-1.814
HSF2	-0.6049
MFN2	-0.54325
TSPAN7	-2.927
NUCB1	0.783833333333333
RHOH	1.63575
ARL16	0.128
TACR1	0.00124999999999995
SFRS5	-0.600666666666667
SNX25	-0.2205
RHBDF1	0.356833333333333
PCDH18	0.839166666666667
HMG1L1	-0.98125
MYO5C	0.624625
MAPK10	1.1615
LDHAL6A	0.155
NUDT12	1.48166666666667
NCAM1	-0.226875
GLIS2	0.409
GGTL4	1.15575
DAPP1	-1.7455
ATF7	1.789125
KIAA0748	-1.5235
NFIL3	-1.4505
TM6SF1	0.4019
SEZ6	0.175125
NANOS3	0.103
DNAJA3	-0.361666666666667
CLDN6	-3.1425
CIITA	1.9747
EPHA4	-2.01658333333333
FANCC	0.23825
CMTM3	-0.403625
PSG3	-0.568
MRPL15	-0.81975
C21orf59	-0.08175
PLCXD2	-0.22175
C2orf34	0.14725
UBE2L6	1.4285
MED14	0.392333333333333
HP1BP3	-0.261
C6orf208	-0.121
TPBG	0.3635
OSR2	0.88525
XPC	-0.160666666666667
KLHL7	-0.1105
CCR3	-0.546333333333333
AGTPBP1	-0.847
PCSK6	0.735333333333333
STAT5A	-1.6733
FAM18B	-0.0145
LONRF2	0.493
PTPN2	-0.969875
SF3A3	-0.761333333333333
EFCBP2	-0.1265
HCFC1	-0.491
AHNAK	0.73565
ACTR5	0.3405
KIF14	-1.41928571428571
TENC1	0.31225
HEATR5B	1.0855
YIPF2	0.751333333333333
MYEOV2	0.653833333333333
DUSP18	1.7445
KIAA1012	0.621
AHR	-1.06583333333333
C17orf53	-1.41716666666667
PTPRH	-3.87625
ATP6V1C1	0.407
TAS2R3	-0.298
LOC440356	2.515
COQ10B	1.09475
PSMF1	1.38
SORBS2	-0.428416666666667
NFE2L2	-0.4005
TMCO7	0.1735
SH3PXD2A	-0.4895
SH2D2A	-2.91875
SPINK5	-4.382
MRPS24	-0.36675
OPA3	0.562875
TRAF7	0.2215
C4orf35	-0.144833333333333
MT1G	-0.60775
MGC39545	0.728333333333333
HS1BP3	0.7855
OR2B2	0.486
CHRM4	0.3575
SFRP2	2.35225
RIC3	1.52825
ART1	0.049
C6orf1	-0.130625
DUS4L	-0.038
C10orf104	0.6765
TNFAIP6	2.064
RTEL1	0.34125
CCT4	-0.383
ZNF709	0.6945
CHMP6	1.21716666666667
UPP2	0.8925
CYP19A1	-2.31675
CD151	0.076
NDUFA13	0.233
ARFRP1	0.625833333333333
FAM26B	1.82725
CRYBA1	-1.5065
MRPL41	0.304
NPFFR2	-0.362125
HRH2	0.216
SCAMP3	0.198
MTMR6	0.5447
MTG1	-0.112166666666667
UBTD1	1.368
CRABP1	-3.111
FLJ33790	0.0485
KIAA1908	0.0483333333333333
GPR158	-0.62925
PACSIN3	0.3285
OMD	0.991833333333333
CATSPER1	-0.1395
HOXB8	-0.71025
FBXO46	0.5125
OAS1	0.9835
SVIL	-0.321
PHB2	-0.01475
ADCY3	-0.393
NDRG2	1.34116666666667
ERMAP	0.7713
APBA2	-2.37366666666667
IGSF9	2.188
WNT6	-0.534142857142857
MYCBPAP	0.44625
ATP2B2	-0.4436
CPVL	-2.389
TRAM2	-0.505333333333333
NOP5/NOP58	-0.9235
ZNRF4	0.06525
TLK1	0.363375
MTMR12	0.597857142857143
ZNF384	-0.144
FAM9B	-3.7255
RPN1	0.7229
PMVK	0.916
EIF3D	0.5395
SIX2	-1.67575
HPS1	0.471642857142857
RNF7	0.15425
PSKH2	0.026
KCTD13	-0.0623333333333333
CSMD3	1.8472
FBF1	0.545
IL8	-4.6645
SERPINB13	-0.1463
FBXL20	-0.09325
BLR1	0.384
SH2B1	-0.438666666666667
RFNG	0.4255
RAB20	-0.052
RBM7	-1.3915
POLR1A	-0.2415
TMPRSS4	-1.921
TAF9	-1.63475
TERF2	0.226166666666667
TNFRSF1A	0.366583333333333
ACADVL	-0.261833333333333
GTF2H5	-0.0975
EDG8	-0.133
C9orf140	-0.882
UST6	-0.27925
ZBTB8OS	-0.67425
ZNF710	-0.236
GPR174	-2.855
ATP6V0A2	-0.20625
KIAA0319L	-0.0481666666666666
XKRX	1.0505
DOPEY2	1.6619
SDHD	-0.954833333333333
SUMF1	1.752
OSM	1.46325
OPN3	-1.1855
DAGLB	-0.231666666666667
PPFIBP1	-0.285
TRIM63	-3.62325
C10orf53	-1.094
LYPD3	1.08616666666667
BCL7A	-0.150125
AGER	-1.774
TCF19	-0.320125
SAT2	-0.01425
PFTK1	0.346
GABRE	-3.58425
C15orf38	0.4764
FIS1	0.9575
KCNV2	-0.107
CLPS	0.831
PPCDC	-0.85025
FOXN2	-0.859333333333333
NT5E	-4.1207
CD83	-0.7215
IL18	-2.5535
VPS16	1.59475
IGFBP2	-0.495833333333333
NOTCH2	0.383
SIGLEC1	2.02975
CD93	4.137
SULF2	1.3195
CEP164	-0.387375
P53AIP1	0.808
TOR2A	0.0583333333333333
ZNF136	0.37625
MGP	2.8445
CCDC144A	1.1915
TRPC1	0.0535
SMS	-0.599833333333333
MAPK7	0.654333333333333
RRAGC	-0.11425
PARD6A	1.61733333333333
NUB1	0.491833333333333
SYNGR4	0.728
OR11H12	0.854
WIF1	-0.024
GCH1	1.18125
OR11H4	0.3715
SLC44A5	1.123
GPRIN2	0.5815
LOC401431	0.92275
CPA4	-2.8335
MELK	-2.01311111111111
IL15RA	-0.7935
CUL3	1.416625
HMBOX1	-2.55275
PODXL	-1.68675
CCT6B	1.0425
COMTD1	0.815
MUC20	0.164166666666667
GPX2	-3.174125
ITK	-2.2815
FBXL5	1.83925
C13orf27	-1.89275
DEFA5	0.039
TRHDE	-0.188
MTP18	0.0395
UQCRQ	0.6335
ITGB2	-0.728833333333333
CSRP2BP	0.75675
TAS2R44	0.0475
PHPT1	0.504625
FAM44C	0.85175
ERH	0.586
MPHOSPH1	-0.336666666666667
MORC1	-0.389
PARVB	-2.0265
LAMA1	-2.07391666666667
PGBD3	0.06075
GIMAP6	2.63425
AREG	-1.34233333333333
LIPT1	-0.36375
MGC99813	0.032
C1orf201	0.391166666666667
GRIN2A	-1.1121
MAN2C1	-1.413875
NSUN5	-0.031
SF3B5	0.31025
MYC	-1.6625625
NRXN1	-1.1585
ZNF18	0.3645
SPDYA	0.333125
SLC37A1	1.073
DECR2	-0.46375
ANKRD38	0.672125
SPTLC3	0.3095
SUPT16H	-0.088375
DTWD2	0.83075
ULBP1	0.326
ZADH1	-0.215833333333333
OIP5	-2.5205
IL10RB	-0.102333333333333
OTUB2	1.129125
VWA3A	0.837833333333333
SPIC	0.237
OR6C4	0.0725
PSCD4	-0.248833333333333
DPY19L2P2	-0.4595
TRAPPC6A	1.33433333333333
C21orf2	-0.0741666666666667
CEMP1	-0.11625
LIN7B	0.727
E2F7	-0.765666666666667
VCP	-0.124
LAMA3	1.14833333333333
BGN	1.34075
GPR160	1.7185
COCH	-4.06833333333333
GPR81	2.495
APOBEC3F	-2.607
tcag7.1017	-0.16675
C1orf32	0.2285
SCGB1D2	3.81175
FLJ43987	0.1535
C6orf170	0.97725
KLK9	0.234
GPD1L	1.622875
VPS37B	0.7345
ATG3	0.0353333333333333
ADAMTS17	-0.8485
KLHDC2	0.780833333333333
NDUFV2	-0.34275
BLK	-3.824
MATN4	-1.4865
GPM6A	-0.361285714285714
GBP4	1.03083333333333
TMEM162	0.294
PKP2	0.35
HRASLS	2.01
MMP1	-3.13325
SFXN3	-0.0766
FSD1	-1.72333333333333
ST6GALNAC3	-2.764
CA12	2.9794
NCOA6	0.7795
C19orf58	0.2006
PPP4R1	0.573333333333333
MAN1A2	0.506
IKBKAP	-1.01225
UPF1	0.239833333333333
KIAA1219	1.77925
WNT16	1.01316666666667
SNW1	-0.947875
IL18RAP	0.50875
RPP30	-0.294625
CDC40	-0.253071428571429
SETD3	0.205333333333333
SLAMF6	-0.572
ELK4	-0.4695
TRIM47	0.662
ACOX3	1.61825
TRIM6	0.9735
KIAA0372	0.344333333333333
TP53AP1	1.55675
SMURF2	-0.551
ADAD1	0.5165
EBP	-0.1635
KRTAP13-2	-0.2625
FLJ36874	-0.2395
TOR1A	0.264166666666667
P2RY4	0.476
GPBP1	-0.85025
TRPV1	-0.394
ADAMTS12	0.06
PES1	0.6821
ATG4A	1.12716666666667
MAGEA10	-5.16325
WFS1	2.0795
CC2D1B	-0.845
PABPN1	0.173125
SLC25A30	-0.289
SLCO1C1	0.1275
SLC22A5	1.55975
KIF23	-1.76466666666667
SYN2	-0.643833333333333
ASPN	7.44966666666667
CENTG2	0.303
QSOX2	-1.4245
FLJ10815	0.7105
STK24	-0.2735
SPEG	0.2223
STK10	-0.045
DACT2	-1.832
AAAS	-0.42675
SSX3	-2.0035
ABCD3	1.354
C4orf12	0.543
PARVG	-0.847
FIG4	1.30275
C9orf46	0.5445
TMCO6	-0.194
IGHMBP2	0.29575
DUS2L	-0.136333333333333
FAM3C	-0.1816875
TMEM16D	-1.67275
DCTN4	1.2455
KCNH3	-0.09975
EIF2AK2	-0.3785
AP1S3	0.299375
CST4	0.1905
PAM	1.1550625
NUTF2	-0.0085
CITED2	-0.2249
SLC39A4	-0.66925
C2orf52	-0.932
GRM3	-0.63
C12orf49	1.082875
CCDC49	-0.62
GRAMD1B	-2.106375
FNDC4	-0.05025
SIAH2	1.246375
GDPD4	-0.16275
C21orf87	0.554875
ATP5A1	-0.130333333333333
C16orf63	-0.922875
LOC388135	-0.699166666666667
ATP5J2	-0.39525
MMP3	-0.447
EMID2	-0.08425
CRHR1	0.53625
WDR70	-0.162
C13orf31	0.78375
ZFAND1	-0.31525
CCL18	2.5625
C3orf49	-0.3355
RINT1	-0.562
KIAA0408	-2.15466666666667
F13A1	3.7515
SLC10A1	0.120166666666667
OGN	-0.424
GIPC2	-2.17183333333333
XPO6	-0.689833333333333
LCE1A	0.488
FMR1	0.8215
LOC374920	-0.74225
DUSP3	0.21825
ANKMY1	1.0775
C7orf50	0.6215
BBS9	0.6267
UNC119B	0.339125
C9orf72	-0.28775
MGC35440	-0.1075
ENTPD6	0.612625
PPP1R2P9	-0.1825
ERCC4	0.1265
FAHD2B	0.952
HMHA1	-0.4
HACL1	-0.154
RAD23A	-0.482833333333333
FAM83B	-0.52775
PPP5C	-0.0383333333333333
RNASEH2C	1.07375
C9orf153	-0.46525
SCAMP4	1.026
GHITM	0.8712
NDUFB7	0.569
ADCYAP1	-0.0173333333333333
SP110	1.54983333333333
MAP3K7IP2	-0.26775
DHH	0.3045
AGRN	0.433071428571429
WDR33	0.207
CEP290	0.043
PRPS1L1	-1.63416666666667
KLRA1	0.3725
GPR97	-0.259
CHD7	-0.649416666666667
TLR10	1.896
SLC30A8	3.915
HIC1	0.661666666666667
IAPP	-0.074
RXFP4	0.00625
GP1BB	0.05975
SHQ1	0.836
NKX2-3	0.224666666666667
API5	0.59175
FTHP1	0.833
MOV10L1	0.93725
TRIM6-TRIM34	2.13066666666667
ADHFE1	0.24175
FAM117A	0.32975
DDI1	0.418333333333333
CDON	0.249833333333333
TRIM73	-0.546
IGKC	0.962
MMP14	-0.139083333333333
DYNC1LI1	0.323
C11orf66	-0.04475
TRBV3-1	-1.77875
FASTKD5	0.53375
BIVM	-1.07425
LHX4	-1.06125
CXCL2	-2.4061
RAB2B	0.426333333333333
IZUMO1	-0.0855
MAP3K15	-2.126
FAM19A2	0.00116666666666667
ZC3H8	-0.804833333333333
ZMAT1	1.903125
SPINK5L3	-1.186
SLC10A6	0.5205
