Hybridization REF	TCGA-A2-A0ER-01A-21R-A034-07
C20orf196	-0.355
RRBP1	0.586666666666667
NAT13	-0.3885
MAT2B	0.28025
CSNK1D	-1.23916666666667
KIR3DL1	0.154
PRKAG3	1.062
ZNF599	0.744
PRM3	0.095
PER2	2.0345
ASPHD1	0.115
PRMT6	-0.83075
KCNE1L	-0.636571428571429
FAM118A	-1.31183333333333
TAF4	-0.392
NDUFB6	1.031
TRIM9	-1.71190909090909
PMFBP1	-0.28325
KY	-0.405
DKFZp762E1312	-1.83527272727273
CSMD1	-1.24
TBP	-0.7475
OR1Q1	0.635166666666667
RETNLB	0.248
HPGD	1.10807142857143
DNAJC12	1.78033333333333
FKBP1B	-1.73075
ANKRD24	-0.0976
CXXC5	1.73383333333333
IL3	0.6365
DRAM	0.2078
PTCH1	-1.8245
TP53BP1	-0.07025
SLC17A7	0.2355
COL25A1	-0.972714285714286
AMACR	0.311666666666667
RHCG	-0.15825
VPS13A	0.0909166666666666
FAM55D	1.723
PRPF38B	-0.61625
OSBPL6	-0.333
PFDN5	0.1818
CMTM6	0.714875
KCNK12	-1.8025
RP2	0.4765
C16orf52	-1.4195
PICK1	0.8905
IFNE1	-1.2716
SEMA4B	0.0385
TYRO3	-2.2205
OR12D2	-1.166
CSNK1A1	0.513
FANCF	1.39425
LONP2	1.475375
TBL1Y	0.173
LDOC1L	0.287375
CCNC	0.82975
C3orf60	0.3185
CHKA	-0.3555
UBAP1	0.3935
MAP3K1	2.286
ANKRD9	-1.0595
FAM92A1	-3.20516666666667
GAB2	0.30725
AZU1	1.5085
DIS3	0.00475000000000001
C21orf109	-1.2165
IQCB1	-0.43725
SPATS2	-0.6534
EFCAB3	-0.00125000000000003
PRB3	0.10925
FUZ	0.293166666666667
ZNF813	0.053
BMPER	-1.866
HEG1	-0.63875
ALS2CR11	-2.935
SURF2	-0.10375
PSMC1	-0.04025
OR2D2	0.5355
SLC7A8	2.72
C4orf40	-0.889
SPATA7	0.48
MAZ	-0.548833333333333
PIN4	1.355
PDE1A	-1.260375
TAF6L	-0.685666666666667
OR2T34	0.3
KIAA0284	1.01325
ACADS	0.603636363636364
MKRN2	-0.4535
C18orf56	-0.813
MS4A6E	-0.752333333333333
GALNT4	0.8448
C22orf31	-3.1085
FLJ36070	0.466
PSME4	-0.44975
TFG	-0.0235
EPHX2	1.517625
ANXA5	-0.210625
KRTAP1-1	-0.0907777777777778
BATF	2.45725
KARS	-1.19325
MSTP9	-1.026
GPR26	5.090625
CCDC72	0.16325
TEF	0.974166666666667
FOXK1	-1.0509
PRLHR	-0.0515
EMX1	0.819
C11orf30	2.075125
ICK	0.662625
THSD7B	0.151
C21orf100	-1.179
DUOX1	0.588
EFCAB4B	1.20575
UBE2G2	-1.077
C3orf54	0.133
PARP1	-1.52225
FAM60A	-0.676916666666667
C6orf146	0.5915
OR9K2	-0.0355
DDX55	-0.966333333333333
RPS15	-0.0291666666666667
ZNF618	0.4935625
DKFZp686D0972	-0.4655
SSPO	-0.47
SHFM3P1	0.607833333333333
CPA6	-0.9395
JAG2	1.2455
DEFA3	0.7695
PPBPL2	-1.10916666666667
CD34	4.300375
SLCO4A1	-3.2165
AFG3L1	-1.59716666666667
SHD	-0.6115
RP13-122B23.3	-0.371666666666667
PRKCSH	-0.3645
DPH5	-0.336666666666667
HLA-F	1.572125
TBC1D4	0.2045
RIG	0.0511666666666667
GLUD1	0.943
HNRPCL1	0.584125
HBXIP	0.18575
RNF207	-1.8885
APIP	0.2475
PLA2G3	-1.05
CCDC84	-2.10125
MYLIP	0.980307692307692
PHIP	0.152
AARS2	-0.6515
DHX32	0.3345
SCAPER	0.639666666666667
MEN1	0.684428571428571
NIP7	-1.0955
FLJ25404	0.7945
FASTKD3	-0.4395
TMEM158	-3.51708333333333
RARA	0.71675
BDH1	1.0375
ANKRD16	0.6065
CARM1	-0.157
SS18	-0.269
IKZF2	-0.383333333333333
MYD88	0.128625
PML	-0.1729
TAF1A	-1.05775
CBFB	-0.334375
HIST1H3H	-1.595
C7orf29	-0.6725
COMMD4	-0.0485
DPP3	-0.744
DAB2	-0.684714285714286
LOC388882	-0.139
YPEL4	-0.985375
AGBL3	0.51575
LRP6	0.688
SERPINH1	-0.376916666666667
TLE1	-1.18975
CD244	-0.140833333333333
ZDHHC15	1.44475
MGLL	1.4662
PLDN	0.0035
LOC654346	1.144
FAP	1.7645
GPR37	0.148
SCARA5	0.799833333333333
EBF4	2.75690909090909
LSM6	-0.9465
MLLT1	-0.5161875
SLC5A12	-1.231
A2BP1	-0.996833333333333
COPS5	-0.220833333333333
TPM4	-0.400642857142857
TNFSF4	0.39
ACADSB	1.53972222222222
HERPUD1	0.59175
BCL2L11	-0.664277777777778
CEP78	-0.541625
CDCA3	-1.257125
WBSCR19	-0.4089
MYO1A	-2.489
PPEF1	0.858833333333333
LOC440348	-1.25425
CPEB2	2.33925
BPTF	0.0458333333333333
RPL21	0.273
GSX2	0.109
ADPRH	1.3435
C17orf68	0.598666666666667
KCNS1	-1.008
MLLT6	-0.252
PIWIL4	-1.25925
RNF26	-1.63675
RAP1B	0.476625
ADAMTS1	-1.8311
ZNF571	0.90025
P2RY6	0.101
TRIM21	0.701333333333333
CADM3	-0.04325
NLRC5	-0.169833333333333
ADRA2B	-0.3115
LOC90835	-0.137375
PCF11	-0.52925
LOC400451	1.72275
GLTSCR1	0.2926
C17orf88	-0.747666666666667
CDH16	-2.0295
FGF7	2.15875
PCSK4	1.5815
NPC1L1	0.8415
TAT	0.101375
TBCA	-0.35325
MGC33407	-0.6145
GPR115	-1.12425
CYGB	-0.44
FNBP4	-0.156333333333333
C12orf43	0.26975
CBL	-1.0206
CLECL1	1.39575
PPAPDC1A	-0.1055
WDR25	0.1965
SGCA	0.586
C22orf29	-0.0421666666666667
YIPF1	1.0105
GALK2	-1.06
RAB3B	-3.30075
LOC440087	-0.76325
UCP1	-2.471
REEP5	2.474375
FADD	2.0495
FOXA1	3.88925
CACNA1A	0.7225
ABI1	0.275666666666667
GRIN2D	0.0985
SLC1A4	1.1855
LOC401127	0.33325
HINT2	0.667
PLD4	0.581166666666667
ZNF286A	-0.58475
ENY2	-0.85825
IL1F6	0.0195
PXDNL	4.561
C20orf79	0.78475
TNFSF13B	2.457
DENND3	0.0855
JARID1D	-2.83825
HIST1H2AK	0.521625
LOC93349	-0.3402
SSH1	-0.7545
ENSA	0.13275
LOC219854	-0.0881666666666667
CKAP2	-0.1351
DKFZP564J102	-0.6815
MGC87315	0.191
HNRPAB	-0.50225
AMH	-0.7865
ZNF526	0.198
BRUNOL5	-0.368666666666667
CACNG3	0.125
TRPM1	-2.069
PPP2R1A	0.6995
COL2A1	-1.28625
DDN	-0.0316666666666667
FLJ25770	1.04
HK2	-0.737714285714286
ELOVL6	-1.328
MDK	1.41575
EPHX1	1.78425
RASSF2	0.31425
DKFZP434B0335	0.36575
DLX3	-0.37375
PRTN3	-0.32275
AVPR1A	0.7845
C21orf125	-2.19925
TNFAIP8	-0.935
GNB2L1	0.15525
CALCRL	3.1025
SCGB2A2	8.03016666666667
UBXD7	0.1725
ZNF674	0.2525
TMEM35	-0.3805
BRSK2	-1.078
HECTD3	0.130333333333333
TMEM188	-0.0345
LGALS9	1.467375
SCARB2	0.676583333333333
USP34	0.17425
C17orf28	1.69991666666667
ZDHHC23	-0.42675
AQP12B	-1.305
SLC16A3	-2.78525
APLP2	0.590125
ITIH2	-5.28825
MICAL3	-1.97
TNNI3K	0.1842
HDAC2	-0.508625
PRR7	-0.9687
THBS2	0.487375
LOC751071	-1.758
CA2	-0.957166666666667
RANBP17	-0.16325
RLN3	0.596
CRYZ	1.19266666666667
GBAS	-0.0911666666666667
TAS1R1	-0.4585
MPZL3	-0.0125
PCDH8	-2.828
HSP90B1	-0.17225
KCNK15	0.411
TNIP2	-0.241333333333333
GPR146	-0.43425
NOL6	-0.449375
SPC25	-1.56
STEAP2	1.9745
VAMP3	0.0168333333333333
TCIRG1	0.48375
ZP4	-0.0956666666666667
PARL	0.570875
TRIM39	0.225
KIAA1305	0.19675
CRNN	0.324166666666667
GRN	0.338
HSH2D	1.10475
SCAMP1	1.368875
KIAA1913	0.44975
PTS	0.04725
BANP	0.214428571428571
PRKACG	1.05933333333333
ADCY6	0.663333333333333
C16orf46	0.394
CYP51A1	0.37275
DDC	-5.39425
ANPEP	0.0358333333333333
PROM1	-1.76916666666667
SIGLEC10	1.492
COPG	0.898
FAM26E	0.181
TRIP4	0.63325
SNX3	0.184666666666667
C1orf175	0.133166666666667
PPY2	0.868333333333333
C14orf152	0.067
FTSJ1	-0.9795
DST	0.6923
LOC554235	0.00125
GLRX5	0.4825
C20orf12	1.3553
CAB39	0.2095
MSH2	-1.01116666666667
PIP4K2C	1.76175
CYLD	0.7575
WTAP	0.4395625
MGAT4A	3.08255555555556
TSC22D4	-0.3614
CHRM2	-1.244
PPYR1	0.0976666666666667
CCNH	0.3
RRM1	0.192
ECAT8	-4.511
LOC400120	0.28775
GABRA4	0.0815
C14orf4	1.351
C1orf59	-0.88725
CTDSPL	0.7255
NHEDC2	-2.5275
PDE11A	-0.360571428571429
KLHL29	-1.806
CD5	-1.108
TSPAN9	1.438625
WDR67	-1.4405
THUMPD1	-0.0575
C18orf17	1.75775
CLYBL	0.02
FLJ13231	-0.39725
CMBL	0.38475
LECT2	-0.18975
NKAPL	1.32483333333333
LOC654780	0.3785
OR4C6	-0.991
RAB30	-0.6075
TSSK4	-0.503
TMEM163	2.0285
OSBPL11	0.2965
GNB5	-0.018
CCL21	0.53625
C1orf121	-0.635
FMO2	1.77883333333333
RPTN	0.4215
MSTN	1.6145
VCL	-0.301
FYTTD1	0.443
C11orf1	-0.602
CCDC88C	1.5864375
HFE	-0.541125
MOGAT1	-0.987
FAM125B	0.501333333333333
IRGQ	-1.5235
RAVER2	0.70125
AKAP5	-1.3795
SSSCA1	0.272
C11orf63	0.475125
ACTG2	-0.3596
PORCN	-0.6455
DTL	-1.43090909090909
TMEM151	0.86425
FAM122C	-0.96125
RSAD2	2.6132
BAT4	-0.181
KRTDAP	-0.231166666666667
MYH8	-0.179857142857143
CRTC3	-0.1035
LRRFIP2	-0.0995
INTS4	-0.664833333333333
TTN	-2.01333333333333
SLC26A5	0.036
PLLP	-1.37575
RGS6	-0.49775
SRGAP3	1.0205
ZNF525	0.0141666666666667
NBR2	-0.921833333333333
C13orf1	0.2701
ZNF137	0.091
CEP27	-0.8635
BEST2	0.4455
RNF121	-0.9345
DMRTC2	-0.466
C8orf76	-0.22475
BCCIP	-0.200125
MEST	-1.48375
HTRA2	-0.616
ANGPTL2	-0.8045
ILKAP	0.256833333333333
ERAS	-0.016
HBS1L	-0.573375
CPA5	-0.3055
TMEM30A	0.916666666666667
CD300LF	1.3365
WISP3	3.4435
CRK	0.696642857142857
PDS5A	0.03
BRPF3	0.2285
NEDD9	-0.738125
SMPDL3B	2.33175
PSG6	0.73975
PSMD13	0.58725
ETV5	-2.092125
OR51A4	0.205
BTBD7	0.645916666666667
GSTO1	-0.263625
hCG_16001	0.445
MAD2L1BP	0.226
COX6A2	0.4135
SCNN1A	2.753
LSM1	1.79816666666667
UGT2B11	0.0275
IDUA	0.7665
PPP2R3C	-0.520666666666667
COX11	-0.632166666666667
PDZK1	4.72125
ZNF443	0.848666666666667
MGC21874	1.091
ZNF323	1.3953
KRTAP10-10	1.233
CXCL6	0.0326666666666667
SLC34A2	0.616444444444444
LOC284402	-0.0145
NPTN	0.7305
UPP1	-2.11833333333333
SLC6A9	1.442
OR7G3	-0.42
CISD1	-0.847833333333333
ZNF545	0.402
SYT14	-0.4645
NT5C3L	0.0731666666666667
ZNHIT3	0.0336666666666667
SNRPD3	-0.0235
KIAA0701	0.1415
UNC93B1	0.235
GMNN	-2.14925
SPCS2	-0.540666666666667
LOC388524	-0.4035
NAPRT1	0.538375
PNLIPRP1	-0.00924999999999995
OR6V1	0.2235
PRKAB1	0.16625
EYA4	-2.77033333333333
KIF20A	-1.929
ALG10	-0.029
ITPKC	0.652333333333333
LMX1B	1.14533333333333
RPUSD4	-1.34166666666667
C7orf34	-0.00900000000000003
DLGAP2	-0.089
PFN1	-0.5454
MICALL2	-0.353166666666667
ZNF654	0.5745
SS18L1	-0.65925
SLC16A8	0.02625
MKI67IP	-0.666833333333333
ITGB3	-0.12475
TCEA3	3.4045
CEP152	-2.0832
CLIP1	2.264375
ZNF75	-0.029875
ATP5C1	-0.2995
NUDT5	-0.475666666666667
PSCDBP	0.4015
UBP1	0.0515
RBM27	0.3985
C13orf15	1.661875
ZNF282	0.128666666666667
ZNF222	0.4007
COL10A1	5.348
PRDM15	-1.19825
TTTY5	0.184
FAM9C	-0.2335
C20orf67	0.21925
GNG13	-0.132
F12	-1.806
C1orf41	-0.58725
CPXCR1	null
GSK3A	0.29025
SUPT6H	0.0935
PI16	1.99116666666667
ELL2	-0.2855
C9orf167	-2.37983333333333
PVRL3	-3.0038
FLJ38596	1.5545
ADAM20	0.0775
GPR89A	0.989
GPR87	-1.8145
ZNF30	0.57725
SMR3B	0.87275
ZNF770	0.67775
TRPC4AP	-0.214
DKFZP686E2158	0.0691666666666667
C2orf28	0.4855
FREM1	-1.289
LAMA4	-0.382
ADPRHL2	-0.397
EIF4G2	0.670666666666667
GUCA1A	0.2355
CTNNA2	-1.687875
NUDT15	-1.39766666666667
CEPT1	0.2965
ZNFX1	0.6824
CCDC92	1.044
TDRD1	-0.6015
KCNK5	-2.69983333333333
ETNK1	0.458166666666667
LTA	0.443
TTPA	1.0794
B3GALNT2	0.433875
SC65	-0.110666666666667
PEX5L	-0.857125
EPS15L1	0.40625
MGEA5	-0.658
HIST1H3A	0.58625
ING1	-0.380375
BCAT1	-3.5275
ORC6L	-2.42018181818182
KLK11	-3.32683333333333
C19orf28	-1.067
DNER	-3.7985
MED22	-0.536
ETV6	1.30166666666667
CHAC2	-1.8765
CD300E	0.365
CEBPB	-0.334833333333333
ZNF398	0.10025
LRCH3	0.0645
HMGA1	-1.508
CAPN7	0.5595
MGC5566	-3.80325
CCL3	2.671625
NANOS1	-0.58375
ZFYVE19	0.529
APITD1	0.121333333333333
PARD3	0.315375
IRAK4	-0.0813333333333333
SERPINI2	-0.719
CEP170L	-0.78875
TTC9	3.437
MYOM3	-1.11125
MLPH	2.192375
LOC222699	0.4995
NRG1	-1.82291666666667
TBC1D9	4.49781818181818
TTK	-1.175
ZNF557	0.2318
DDX41	-0.4315
FANK1	2.2655
UBE2D2	0.262875
PSMB10	-0.27075
MYH7B	-0.2535
GABARAPL2	0.513
MARVELD2	2.08833333333333
DGCR2	0.627166666666667
UNC45A	0.137833333333333
C6orf72	1.4825
ZNF683	1.8745
GIT2	-0.2
CASK	0.5625
C14orf161	1.76566666666667
LRRC44	0.8105
TIFA	0.6125
UTP11L	-0.822375
C6orf65	-1.194
FDPS	-0.673
DUSP9	-2.0073
SLC17A8	-0.60375
OR51G1	0.292166666666667
NANS	0.5645
OLFML1	1.29325
ATP10B	-1.09157142857143
NPAS3	0.746
PRKCA	-3.4159
GGA2	1.12225
LCE4A	0.3865
SPANXN3	0.76525
CCDC115	1.271625
SDCCAG3	-1.004
GLIPR1L1	0.5025
TTC1	0.01875
C17orf76	0.26825
MAD2L2	-0.83925
HIPK1	0.5857
LRRC3B	-0.544
CLN3	-1.03336363636364
C17orf47	-0.067
FMN2	-2.31914285714286
TUBB1	-1.22425
WAPAL	0.22
C3orf21	-1.127875
SCN5A	-0.094125
SMYD1	0.476333333333333
BEX5	1.189
ZNF192	-2.389
SEC22A	0.0853333333333333
GRIA2	2.88471428571429
KIAA0825	-0.65275
NUSAP1	-1.13236363636364
LANCL1	0.334375
C15orf40	-0.5346
ZNF645	-0.294857142857143
GPR61	-0.17075
NLRP14	-0.0145
SNX21	-0.5062
C1QTNF8	0.8545
C17orf46	0.62725
IFNA8	0.734
SPRR1B	-0.925833333333333
FLRT1	-1.336
SNX17	0.132166666666667
ASB2	-1.1595
HBG1	-5.261
RPRML	-1.845
JOSD2	-0.191833333333333
PLSCR3	0.38
SPOCD1	-1.08016666666667
RAB39	-1.93
GHRH	2.13183333333333
ITIH5L	0.162333333333333
C17orf37	0.681
SMCR8	0.84
DPY19L2P3	-1.23216666666667
IL11RA	0.331333333333333
GDF3	-3.69816666666667
RPS6KB1	-0.727833333333333
DNAJC19	0.3236
TOP1	-0.33725
CRCT1	-0.4805
MPST	0.5475
DPM2	-0.153
FAM38B	-0.423666666666667
SLC18A1	-1.9554
FARP1	-0.089
PAX7	0.12725
TUBD1	-1.02075
GNL3	-0.969875
BTG2	1.45273333333333
NDUFS6	-0.132
C1orf79	-1.342
ERAL1	-0.293
ECHS1	0.8615
VPS4A	0.086
CYP11A1	-1.032125
ABCC6	-1.19428571428571
PBX4	-2.7725
MOSC1	-0.946875
NCF4	-0.0275
HYMAI	0.068
NAGPA	-0.771375
OTOP2	0.13475
ACOT12	-0.265
MTHFD2L	-0.1725
LOC441376	2.7705
C19orf34	-0.118
RAB1B	0.31375
ALDOAP2	-0.8825
NTRK1	-1.8202
ARTS-1	-0.1172
SLC6A11	-1.278
NAP1L2	-1.2825
CNGB1	-0.312
EPB41L4B	0.466333333333333
FAM134B	3.581625
HS3ST3A1	-1.73966666666667
CPXM2	5.11975
SIRPB2	1.025
CHORDC1	-1.855
TRIB3	-0.812166666666667
SLC2A5	0.6095
C2orf49	-0.408666666666667
DDX5	-0.30525
OR5L1	0.666
ANAPC4	-0.291
ZSWIM1	-0.20025
LOC93622	-0.161
KCNK3	-0.9532
RP11-35N6.1	-2.37142857142857
ZFP161	0.338166666666667
AQP9	3.36875
SLC15A2	-1.7975
MREG	0.759
OR9I1	0.888
PDLIM2	-0.831875
ADAM7	0.452
GSTCD	0.546
WDR21A	-0.11725
SLC12A8	0.988333333333333
TMEM174	-0.00574999999999997
IGSF3	-0.147
LRRN1	2.2385
LOC402117	-0.468
SRPK1	-0.787
LY6K	-2.3326
NFIA	2.3065
PTCD3	-0.816625
LEP	1.59016666666667
PCDH21	-1.39783333333333
MAPKAPK2	0.364928571428571
NMNAT1	-0.226
LHFPL2	0.48975
C9orf43	-0.65925
DIP2A	-0.6545
ACTR8	0.774
CCDC34	0.77575
PTPN22	-1.333625
ITGA3	0.203
FAM129C	0.3165
RABGGTA	0.312333333333333
UNC45B	0.3825
KIAA1033	0.07775
ZNF510	-0.108
CYP2D6	-1.0395
SLC26A10	-2.9525
STX8	0.228
LUZP1	-0.358
WDR89	-0.447333333333333
EIF4G3	0.0469
C5AR1	1.200125
ZNF623	0.063
A2M	0.257
TGM7	0.502
GRPEL1	-0.353
LMNB2	-1.3363
ROCK2	0.076
SNX16	0.7615
CCDC66	0.41725
ANXA3	-1.4215
KIAA1609	0.00374999999999999
EED	-1.595
RNF32	-0.468833333333333
HES1	1.9769
CLC	-0.3292
ISL1	-0.6312
KIAA0528	0.43625
MANEA	0.9145
C1orf61	-2.7125
hCG_2001000	0.45725
RAPGEF6	-0.1216
KIAA0020	-1.47333333333333
NEIL1	0.879
C16orf45	-0.310875
RBM10	-0.8305
C10orf125	-2.20425
MRS2L	-0.60575
DNAH17	0.247428571428571
C19orf10	0.07075
C1orf160	0.58825
SLFN12	-0.2875
EXOC3	-0.2365
HIST3H3	0.1275
NCOR2	0.458
TNFRSF9	0.09125
MFSD8	1.189
ALX1	-3.02025
NOL1	-1.73675
PODN	2.27875
TIAL1	-0.13675
HIST1H1E	-0.98925
NPY6R	0.1775
TM4SF4	0.031
CORO2A	0.43675
ETNK2	0.4605
APOE	-0.1511
ANGPT4	1.0175
HDGF2	-0.62875
G30	-0.0805
ST8SIA4	-0.574625
F2RL1	-1.065
FAM19A4	-3.4525
CCAR1	-0.65275
B3GNT7	0.25775
OPHN1	0.5022
DSCR6	2.533
C21orf13	1.13833333333333
GAS2L1	-0.0211666666666666
RFX3	-0.366666666666667
COPS4	1.075125
BCHE	-4.6654
BCL2	3.73975
HBZ	-3.143
ARL13B	0.196
MAPBPIP	0.439875
MYO15B	-0.9125
SPZ1	0.715
KIAA1324	3.65155555555556
PLCL2	-1.4155
C4orf29	-0.67525
WDFY2	-0.493125
ZNF284	-0.2055
NAALADL1	0.9685
DUSP5	1.14066666666667
PXDN	-0.460375
SLMO1	0.4645
TNXB	-0.2043
BIRC7	-1.3425
A4GALT	-0.7625
TIMM22	0.16725
FAM110C	1.3765
TOMM34	-0.186625
ABHD9	0.036
ADAM32	1.633
CRHBP	-0.17225
AQP2	0.2015
LOC130355	1.296
ZNF187	0.343666666666667
ZNF816A	0.4155
F7	-1.258125
CNOT1	-0.1027
SLC13A4	-1.71725
ZBTB11	-0.29825
B3GALT5	0.08325
EXOC2	1.31
IRS1	-0.1293
TMEM1	0.2225
MRPL34	0.112833333333333
SAMM50	-0.26125
CDC42EP3	0.12625
HSF2	-0.8439
MFN2	0.68475
TSPAN7	-1.62416666666667
NUCB1	1.12341666666667
RHOH	0.518
ARL16	-0.1335
TACR1	0.655
SFRS5	-1.046
SNX25	-0.063
RHBDF1	0.6005
PCDH18	1.22833333333333
HMG1L1	-0.28375
MYO5C	1.761
MAPK10	0.472
LDHAL6A	-0.2554
NUDT12	1.59383333333333
NCAM1	-0.195125
GLIS2	0.3245
GGTL4	-0.569
DAPP1	0.79
ATF7	-0.083
KIAA0748	-0.8675
NFIL3	-1.9695
TM6SF1	0.9794
SEZ6	-0.39575
NANOS3	-0.2325
DNAJA3	-0.216166666666667
CLDN6	-2.0775
CIITA	2.071
EPHA4	-1.638
FANCC	-0.093
CMTM3	-0.51575
PSG3	-0.647142857142857
MRPL15	-1.22225
C21orf59	0.42075
PLCXD2	0.566
C2orf34	0.386875
UBE2L6	-0.29225
MED14	-0.3185
HP1BP3	0.2606
C6orf208	-0.2135
TPBG	0.23075
OSR2	-2.17675
XPC	-0.012
KLHL7	-0.496416666666667
CCR3	0.3242
AGTPBP1	-0.00966666666666667
PCSK6	1.99066666666667
STAT5A	-1.3342
FAM18B	1.3255
LONRF2	1.88316666666667
PTPN2	-0.7715
SF3A3	-0.788666666666667
EFCBP2	-0.60625
HCFC1	-0.6385
AHNAK	1.13515
ACTR5	-0.777
KIF14	-2.24728571428571
TENC1	1.09925
HEATR5B	1.3545
YIPF2	0.641
MYEOV2	0.8765
DUSP18	0.47925
KIAA1012	1.09575
AHR	-0.278833333333333
C17orf53	-1.11083333333333
PTPRH	-3.52175
ATP6V1C1	-0.0036
TAS2R3	0.382
LOC440356	-1.0885
COQ10B	1.063
PSMF1	0.368083333333333
SORBS2	2.56358333333333
NFE2L2	0.46
TMCO7	-0.106
SH3PXD2A	-0.1871
SH2D2A	-1.613
SPINK5	-3.88275
MRPS24	-1.18425
OPA3	-0.11075
TRAF7	-0.4555
C4orf35	0.4392
MT1G	-0.6885
MGC39545	0.765
HS1BP3	0.0821
OR2B2	0.013
CHRM4	-0.2475
SFRP2	1.93666666666667
RIC3	2.05775
ART1	0.0325
C6orf1	0.399
DUS4L	-0.67675
C10orf104	0.67375
TNFAIP6	1.657
RTEL1	-1.27425
CCT4	-0.3779
ZNF709	0.40775
CHMP6	0.137166666666667
UPP2	1.5735
CYP19A1	-1.69314285714286
CD151	1.1055
NDUFA13	0.670166666666667
ARFRP1	-0.995166666666667
FAM26B	1.586
CRYBA1	-2.6015
MRPL41	0.0173333333333333
NPFFR2	-0.185125
HRH2	-0.0225
SCAMP3	0.0223333333333333
MTMR6	1.7826
MTG1	-1.49816666666667
UBTD1	0.99575
CRABP1	1.3755
FLJ33790	2.2667
KIAA1908	-0.163833333333333
GPR158	1.21325
PACSIN3	1.10083333333333
OMD	2.53133333333333
CATSPER1	-0.319333333333333
HOXB8	-0.6765
FBXO46	0.232
OAS1	0.961333333333333
SVIL	0.76225
PHB2	-0.5235
ADCY3	0.738
NDRG2	-0.559
ERMAP	0.1331
APBA2	-2.524
IGSF9	-0.433
WNT6	-0.796846153846154
MYCBPAP	3.185
ATP2B2	-0.1839
CPVL	-1.0711
TRAM2	-1.33408333333333
NOP5/NOP58	-1.2035
ZNRF4	0.4505
TLK1	0.62025
MTMR12	0.3935
ZNF384	-0.2255
FAM9B	-2.865
RPN1	0.7181
PMVK	0.54225
EIF3D	0.3204
SIX2	-1.05775
HPS1	0.428428571428571
RNF7	0.1675
PSKH2	-0.0565
KCTD13	-0.699666666666667
CSMD3	-0.4746
FBF1	1.497
IL8	-4.91214285714286
SERPINB13	0.4017
FBXL20	-0.77925
BLR1	0.5555
SH2B1	-0.396333333333333
RFNG	-0.02675
RAB20	0.178333333333333
RBM7	-0.89825
POLR1A	-0.3905
TMPRSS4	3.90825
TAF9	-0.661
TERF2	0.210833333333333
TNFRSF1A	-0.359
ACADVL	-0.035
GTF2H5	0.31275
EDG8	-0.274333333333333
C9orf140	-1.1475
UST6	0.36725
ZBTB8OS	-0.38125
ZNF710	-0.2635
GPR174	-1.1
ATP6V0A2	0.265
KIAA0319L	0.202416666666667
XKRX	-0.871
DOPEY2	0.7424
SDHD	-0.970583333333333
SUMF1	1.669
OSM	2.573
OPN3	-0.301
DAGLB	-0.572166666666667
PPFIBP1	-0.0806
TRIM63	-2.48025
C10orf53	0.2085
LYPD3	2.69733333333333
BCL7A	0.3915
AGER	-2.29666666666667
TCF19	-0.8535
SAT2	0.00475
PFTK1	-0.818166666666667
GABRE	-3.48075
C15orf38	0.5173
FIS1	0.5685
KCNV2	0.4685
CLPS	0.74075
PPCDC	-0.780625
FOXN2	0.427666666666667
NT5E	-3.7961
CD83	0.81425
IL18	0.5645
VPS16	0.7145
IGFBP2	0.279333333333333
NOTCH2	0.21025
SIGLEC1	2.200375
CD93	5.3725
SULF2	-1.434
CEP164	-0.6055
P53AIP1	-0.04075
TOR2A	-0.0596666666666667
ZNF136	0.45925
MGP	3.0575
CCDC144A	0.46675
TRPC1	-0.661166666666667
SMS	-0.948333333333333
MAPK7	-0.234
RRAGC	0.79425
PARD6A	0.88
NUB1	0.643833333333333
SYNGR4	0.552
OR11H12	-0.019
WIF1	0.192
GCH1	0.87725
OR11H4	0.829
SLC44A5	-0.42
GPRIN2	0.306333333333333
LOC401431	-0.6115
CPA4	-2.107
MELK	-1.29888888888889
IL15RA	-0.47475
CUL3	1.34325
HMBOX1	-0.24875
PODXL	-2.45025
CCT6B	1.56716666666667
COMTD1	-0.078
MUC20	-0.897333333333333
GPX2	-3.36775
ITK	-1.5345
FBXL5	2.73575
C13orf27	-0.7805
DEFA5	-1.2425
TRHDE	-2.253
MTP18	-0.0848333333333333
UQCRQ	0.2981
ITGB2	1.28916666666667
CSRP2BP	0.16425
TAS2R44	0.2775
PHPT1	0.322375
FAM44C	0.29325
ERH	0.37525
MPHOSPH1	-0.600166666666667
MORC1	2.2405
PARVB	-2.38625
LAMA1	-2.50075
PGBD3	-0.058
GIMAP6	3.81375
AREG	-2.56733333333333
LIPT1	-0.29725
MGC99813	0.53675
C1orf201	0.275
GRIN2A	-0.5934
MAN2C1	-0.74775
NSUN5	-0.66925
SF3B5	0.0625
MYC	-1.833375
NRXN1	-0.842
ZNF18	0.77375
SPDYA	-0.263428571428571
SLC37A1	0.8925
DECR2	0.52825
ANKRD38	-0.611875
SPTLC3	-1.66233333333333
SUPT16H	-0.165875
DTWD2	-0.18225
ULBP1	0.686
ZADH1	1.0245
OIP5	-1.87575
IL10RB	-0.222
OTUB2	0.085125
VWA3A	0.0315
SPIC	0.2446
OR6C4	-0.119
PSCD4	0.676166666666667
DPY19L2P2	-1.2465
TRAPPC6A	1.19766666666667
C21orf2	-0.245666666666667
CEMP1	-0.5225
LIN7B	0.9245
E2F7	-1.07116666666667
VCP	0.33625
LAMA3	3.13216666666667
BGN	0.82325
GPR160	1.902
COCH	-4.5915
GPR81	1.9735
