Hybridization REF	TCGA-A7-A0CH-11A-32R-A089-07
GPM6A	2.06675
GBP4	4.1015
TMEM162	0.239666666666667
PKP2	-0.227
HRASLS	0.210222222222222
MMP1	-5.69125
SFXN3	0.0544
FSD1	-2.054
ST6GALNAC3	-0.165166666666667
CA12	1.7199
NCOA6	0.167
C19orf58	-0.5622
PPP4R1	-0.742833333333333
MAN1A2	0.914333333333333
IKBKAP	-1.23025
UPF1	-0.169333333333333
KIAA1219	-0.02825
WNT16	0.310666666666667
SNW1	-0.084375
IL18RAP	3.26975
RPP30	-0.030375
CDC40	0.0720714285714286
SETD3	0.401
SLAMF6	0.01775
ELK4	-1.293
TRIM47	0.103166666666667
ACOX3	1.664625
TRIM6	1.55575
KIAA0372	-0.110833333333333
TP53AP1	1.11625
SMURF2	-0.39775
ADAD1	0.1415
EBP	-0.8718
KRTAP13-2	-0.1575
FLJ36874	-1.40233333333333
TOR1A	-0.318
P2RY4	0.216
GPBP1	0.16425
TRPV1	-0.238
ADAMTS12	1.439
PES1	-1.0873
ATG4A	0.725166666666667
MAGEA10	-4.4545
WFS1	1.6085
CC2D1B	-0.689666666666667
PABPN1	-0.327875
SLC25A30	0.562
SLCO1C1	0.525666666666667
SLC22A5	1.4845
KIF23	-4.47066666666667
SYN2	1.12633333333333
ASPN	6.73533333333333
CENTG2	-0.47725
QSOX2	-2.0841
FLJ10815	-0.208333333333333
STK24	-0.6608125
SPEG	0.2746
STK10	0.0758333333333333
DACT2	2.552
AAAS	-1.05225
SSX3	-2.046375
ABCD3	-0.1477
C4orf12	1.322375
PARVG	0.343833333333333
FIG4	0.89975
C9orf46	1.13925
TMCO6	-0.833
IGHMBP2	-1.152
DUS2L	-0.996333333333333
FAM3C	-0.2281875
TMEM16D	-1.57175
DCTN4	0.6485
KCNH3	0.59075
EIF2AK2	0.702
AP1S3	-1.10825
CST4	-0.1135
PAM	1.1039375
NUTF2	-0.64925
CITED2	0.9262
SLC39A4	-1.391
C2orf52	-1.573
GRM3	-0.31975
C12orf49	0.0425
CCDC49	-0.1254
GRAMD1B	-1.7225
FNDC4	2.5535
SIAH2	-0.46575
GDPD4	0.23125
C21orf87	0.3935
ATP5A1	0.0705
C16orf63	-0.862875
LOC388135	-0.1735
ATP5J2	-0.962125
MMP3	-3.80725
EMID2	-0.25375
CRHR1	0.309
WDR70	-0.523
C13orf31	2.621
ZFAND1	0.435
CCL18	4.5325
C3orf49	-0.444
RINT1	-0.6315
KIAA0408	0.729
F13A1	5.8754
SLC10A1	1.42766666666667
OGN	5.26825
GIPC2	0.837333333333333
XPO6	-0.923833333333333
LCE1A	0.7135
FMR1	0.4089
LOC374920	0.70475
DUSP3	0.4975
ANKMY1	-1
C7orf50	-0.584
BBS9	0.1384
UNC119B	-0.03225
C9orf72	0.197
MGC35440	-0.4495
ENTPD6	-0.487875
PPP1R2P9	0.53175
ERCC4	-0.43175
FAHD2B	-0.038
HMHA1	0.315
HACL1	0.481
RAD23A	-0.286333333333333
FAM83B	-1.54075
PPP5C	-2.11816666666667
RNASEH2C	-0.10025
C9orf153	-0.18275
SCAMP4	0.178
GHITM	0.4775
NDUFB7	0.339
ADCYAP1	-0.387333333333333
SP110	1.71033333333333
MAP3K7IP2	0.94475
DHH	-0.15
AGRN	-0.550285714285714
WDR33	1.2205
CEP290	0.712333333333333
PRPS1L1	-2.735
KLRA1	-0.052
GPR97	-0.149
CHD7	-0.646
TLR10	2.30375
SLC30A8	0.1095
HIC1	1.93216666666667
IAPP	-0.6465
RXFP4	0.2215
GP1BB	0.78525
SHQ1	-0.4245
NKX2-3	-0.115333333333333
API5	-0.506
FTHP1	1.0865
MOV10L1	0.84
TRIM6-TRIM34	2.25516666666667
ADHFE1	2.233
FAM117A	0.54825
DDI1	-0.475833333333333
CDON	0.527333333333333
TRIM73	-0.7175
IGKC	5.601
MMP14	-0.193833333333333
DYNC1LI1	-0.591375
C11orf66	0.42
TRBV3-1	-1.41925
FASTKD5	-0.2735
BIVM	-0.52
LHX4	0.0255
CXCL2	2.3094
RAB2B	-1.4525
IZUMO1	-0.44875
MAP3K15	-1.512125
FAM19A2	0.432
ZC3H8	-1.41633333333333
ZMAT1	2.984
SPINK5L3	-2.97175
SLC10A6	0.906
APPL2	0.016
CARD10	-0.0713333333333333
LOC402176	0.16025
EEF1D	0.669
RAB6A	-0.0907
C12orf5	-0.59025
PAPOLG	0.326
MSRB2	0.73825
BCR	0.594888888888889
PUS3	0.022
TIAM2	0.42175
ZNF317	-0.576166666666667
CHD2	0.149071428571429
FZD5	-0.165863636363636
NUDT8	0.7675
ZNF763	-0.7005
PRC1	-3.467
ABCB9	-0.429333333333333
SPATA3	0.2295
TRAK2	1.091
STAB1	3.467
LRRTM2	0.746333333333333
psiTPTE22	0.8495
DBI	1.82825
SERPINA11	-1.45825
NAT5	-0.3965
C20orf58	-2.23125
RPS6KA4	0.00183333333333334
FLJ90650	4.57
TGFBRAP1	0.32675
CHRDL2	0.377
FAHD2A	-0.170333333333333
CNTN1	0.17875
BBS4	-0.3766
TMEM181	0.34525
MINPP1	-0.99425
MPHOSPH6	0.52075
HOXC10	-0.4942
ITPKB	0.120375
CLPTM1L	-0.23575
MEOX2	2.9335
ATP6V0C	-0.01125
PRPF8	-0.540666666666667
TMC5	3.222
FKBP3	-0.613
PLEKHB2	-0.896625
OR4D6	-0.24
ZNF544	-0.7931
D2HGDH	-0.6525
RPL18A	-0.606
HEL308	0.4705
MPP6	-2.22375
TCERG1	-1.41875
KRT16	3.14816666666667
KLF17	-1.3505
KLF5	0.4375
CDR1	4.23325
VCX3A	-3.2445
FBLN2	2.889
C14orf104	-0.5255
HBE1	-4.5083
OR4S2	0.728
C1orf108	-0.5855
ROBO4	4.65233333333333
CPEB4	1.347875
C11orf80	-0.922166666666667
BCKDHA	0.305
MYOC	6.15775
GIF	0.5655
CKMT1A	-0.0525
RPL3	0.7262
THBS1	1.950375
APOO	-1.34025
ARMCX1	2.696
HSZFP36	0.959
SNAPC5	-0.27375
EIF4ENIF1	0.9225
ZNF433	-0.2055
TNFRSF21	0.2965
TMPRSS7	0.1505
SPATA18	1.6493
HPDL	-3.0095
MKL2	1.9735
TBX3	0.393769230769231
C21orf93	-0.166166666666667
DAXX	-0.59175
ELMO1	0.863125
RGS13	2.42416666666667
TAF11	-1.17425
UNC13A	-2.86725
LOC653314	-0.0443
ORC3L	-0.478
IMAA	-2.2205
TARBP2	-0.93925
CABIN1	-0.2853
TRIOBP	0.1933125
HIST1H2AC	0.412
RGS22	0.466
NCOA1	1.477
IL25	1.6315
SNCG	3.7725
GPR6	0.097
AMDHD1	-1.83766666666667
CHEK2	-1.088625
C6orf142	0.88175
DRD4	0.37625
C14orf68	-0.97675
GDF11	-2.6375
SEMG2	0.362
CD247	-0.10025
CDAN1	-0.65475
RBMX2	-0.367166666666667
TGS1	-1.161
OIT3	0.15275
SYF2	0.53225
MCM4	-3.17875
PKHD1L1	2.056875
CEP192	-0.895666666666667
IFT88	0.74775
RPL9	0.918214285714286
RAB32	0.685
DDX43	-0.113
P2RX2	0.4785
OR5D18	-0.1475
UBE1	-0.80375
SLC24A1	0.64575
ARHGAP5	0.19025
CETP	1.56675
KIAA1731	-0.827666666666667
SLC9A4	0.2335
PTPN6	0.38525
BAHD1	0.292
GRIK3	-0.0965
CACNB2	0.0503
PDE10A	-0.20275
DGCR14	-0.3665
PCDHB9	0.0436666666666667
RHOQ	1.97516666666667
MAP3K4	0.00175
KTI12	-0.137833333333333
RPL23AP13	1.97625
GNG11	2.3975
CLCN3	2.10966666666667
GPAM	3.223
VSTM2A	0.6195
SLAMF7	2.96916666666667
INTS2	-0.6585
PPP2CA	-0.8269
LRP12	-0.3172
SEC14L2	2.07611111111111
DKFZP586H2123	5.09075
MC3R	-0.468
CIRH1A	-1.8295
HIST1H2AB	0.468
POLH	-0.850125
MGC16703	-2.13166666666667
SNAPC2	-0.2685
FILIP1L	2.223
RASGRP4	0.274
LRRC1	1.17475
GAS1	3.07175
PRAC	-0.8455
DGKA	-1.188
NT5C3	-0.66075
PEG3	-1.78066666666667
NADK	-0.871
PRR17	-0.70975
LOC374569	0.71425
SGSH	0.647833333333333
NLRP8	0.5175
GALT	0.1134
MCF2	-0.4885
ZNF263	-0.46725
TACSTD1	0.132666666666667
TYR	-6.3649
ATP6AP2	0.25875
RNUXA	-0.179
ABHD10	-0.1
GDPD2	-1.62075
SLC35C1	0.42425
UBE2A	0.393625
HERC5	-0.1035
FAM112B	-1.92733333333333
FBXL16	0.12075
DKFZP434A0131	-0.4255
ELA3A	-2.3925
RBM41	-1.228375
HAO2	0.814
RNH1	0.5135
SHANK2	1.34016666666667
OSBP2	-2.106
DAK	-0.841166666666667
C3orf58	0.75
TCL1B	-0.554
KBTBD2	-0.550625
SUGT1L1	0.94275
UBE2E2	0.507
MYL9	3.507375
CDC23	-1.0025
PBXIP1	1.3746
CXorf40B	0.1625
NBL1	1.03025
RTBDN	-0.1945
RAB11FIP5	0.46175
TTTY13	-0.7805
SCOTIN	-0.24475
SOHLH1	-0.9315
CDKN1A	0.136214285714286
NCK1	0.68
ZNF550	-0.497
SAPS3	-0.04825
SPIN3	0.218833333333333
MAGEE2	-0.04325
MIS12	-0.6165
OR8H2	0.175
KIAA0774	0.155166666666667
UNC5D	-1.7415
CUL7	-0.760166666666667
LIPC	-2.24766666666667
DIO1	2.3505
C20orf11	-0.1943
CTRL	-1.029
HS3ST2	3.29975
PAK4	0.123
CCRL1	5.473
RNF10	0.04275
ZNF567	-0.02675
ZNF660	1.0145
TCEAL3	0.3605
MAGOH	0.51
CENPB	-0.549166666666667
C19orf7	0.702
LOC388965	0.531
ZCCHC13	3.0055
JMJD1A	-0.9968
HIST1H4H	-0.4085
TBRG1	-0.1064
GPC3	-0.66575
TAF1C	-0.85625
EBNA1BP2	-1.07366666666667
CIAPIN1	-0.891
PDGFRA	1.002
CSTB	0.2985
CENPI	-3.475
GTF2E2	-0.379666666666667
RPP21	-0.6045
CCNF	-2.36516666666667
KCNQ3	0.241
FAM79A	1.72125
SLC22A12	0.0245
NOVA1	1.69883333333333
FZD3	0.5225
AKAP8	-1.1855
SOCS5	0.600375
CFDP1	-0.943
DLG5	-0.30175
PGM5	2.05291666666667
C1orf144	-0.0184166666666667
HDAC10	-1.658
RND2	-1.04275
C20orf199	-0.70775
RNMT	-0.422125
SLURP1	-0.045875
ASTN1	0.5555
SH3BGR	1.80975
MYCL1	-0.988
ZHX1	1.32233333333333
CENPK	-4.54575
FOSB	3.4814
LOC643406	-0.271375
C2orf59	-1.038375
TMEM135	0.316875
SLC27A2	-0.575
KRT33A	1.7595
OVOL1	0.496625
PAMCI	-0.365
S100A7	-0.107
ZNF789	-1.1285
HARS2	0.0475
RPL23A	-0.891666666666667
TCF23	-0.42225
UPF3B	-1.591375
C17orf78	0.4585
HLA-DOB	1.26683333333333
C14orf142	-0.316166666666667
TEKT5	0.918
DMWD	-0.1065
POLD1	-2.38583333333333
GSCL	-0.4765
CALD1	1.4424
SCRT1	0.205
AIG1	1.9445
UNC84B	-0.20825
ZNF404	0.657
TMED6	-3.3625
KIAA1462	0.504
LRRC27	1.37766666666667
PYGO1	-0.1405
PIGU	-1.16166666666667
ALAS2	-1.90133333333333
WRNIP1	-0.25575
CNNM3	-0.197
ZNF2	-0.20525
ST3GAL5	0.29775
MRPL23	-0.4905
TSSK6	-0.304
PSMA6	-0.58725
C16orf70	-0.73825
KIAA1602	0.0145
ALMS1	-0.000999999999999996
DCN	4.641
TMEM132D	-1.765
SUCLG2	-0.563
ABHD14A	0.81175
DEXI	0.3095
AMPD2	-1.36933333333333
IFNAR2	-0.787
CYB5A	2.7027
TLOC1	1.22465
NXF5	-0.985333333333333
NRBF2	0.52375
KCTD3	0.6655
ITGAE	0.011
SLC30A3	-1.9815
ZRF1	-1.324
IFRD2	-0.47925
XAB1	-0.2435
PYCR2	-1.0165
SERPINB3	-4.121
TMLHE	0.2091
GEFT	-1.204875
ABCA5	1.453625
EMR4	0.197833333333333
TSFM	-0.46175
HIST3H2BB	-1.12025
ARHGEF19	-0.68775
TSPAN17	-1.10616666666667
ABCC8	3.09925
MAP1S	-0.101833333333333
C22orf36	0.64875
BNC2	0.567071428571429
HIST1H4A	-1.392
NDUFS3	-0.3685
WDR3	-0.9675
XKR4	0.7335
TTC33	0.0822142857142857
STMN2	3.8245
CPN2	-0.253666666666667
HSPC105	-0.0545
PCOLCE2	3.17275
C3orf55	3.6535
KLHDC9	1.28183333333333
TBC1D23	0.547
ATXN2L	-1.61275
MAP2K3	0.25
SCAP	0.2785
ZNF486	-0.225666666666667
C20orf96	0.11375
NARS	-0.3315
ADAMTSL1	-0.722785714285714
PRCC	-0.204833333333333
CCDC126	1.07883333333333
ZNF675	-0.89425
CALCOCO1	0.77875
ANKRD43	2.7475
CWF19L2	0.701
ZBTB32	1.602
BRAF	-0.26425
ODF4	-0.1375
MGC14376	1.612
HORMAD1	-2.23466666666667
AAK1	0.297083333333333
PEBP1	1.21583333333333
TNFSF5IP1	-0.0205
DKFZp564N2472	0.31
RMND1	-0.199875
IGKV1-5	4.94825
COL1A2	1.66883333333333
SERPINA5	-1.677
AANAT	0.206
C19orf21	-3.2515
GEMIN5	-0.5305
UBR4	-0.2575
LTBP3	1.138
AMHR2	-2.88433333333333
PROCR	0.13
MYBBP1A	-1.1745
C20orf39	-1.3055
ZNF697	-0.484125
PASK	-1.3966
ZNF776	0.13
RFXDC2	-0.11925
KIAA0467	0.1075
C10orf96	-2.24066666666667
ZNF503	0.55475
GULP1	0.2915
KCNE4	2.433
DKFZp434K191	-0.879
LOC196913	-0.944
BHLHB4	0.9965
CH25H	2.033
LOC81691	-1.29533333333333
ALPL	0.873
COL12A1	2.008125
FOLR3	-1.706
GPR123	0.299125
TRIM62	-0.374214285714286
ABLIM1	1.803
MAST3	0.216
RHBDD1	0.1735
LOC338809	0.013
RYBP	0.748
TTC26	-1.293125
ZNF22	0.672833333333333
ISCA2	-0.14275
RDM1	-3.48925
PIGM	-0.02
GNB3	-1.927
ACTR2	-0.0684999999999999
HMGB1	0.22385
EDG1	5.35283333333333
SOAT2	-3.32
OR10AD1	-0.651
RAP1GDS1	0.13025
LCE1F	0.449
ESM1	-3.218
RCN3	1.56375
CREBL1	-0.77275
DBNL	-0.999666666666667
PTGER3	3.83
USP30	-0.119666666666667
BCL2L12	-1.395
KIF26B	0.28925
ZNF416	0.729
ZNF225	-0.1005
C17orf70	-0.42825
ZNF554	0.308
RAE1	-1.561
TNIK	0.203333333333333
ACTN3	0.6805
MGC45922	0.192
CCNA1	0.0556666666666667
RYK	0.790666666666667
IL26	0.1895
LRP3	0.962166666666667
QARS	-0.44475
SOX7	1.56957142857143
BID	-0.66975
OR2S2	0.5455
CXCL14	5.1145
C11orf47	-0.632
MGC29891	0.158
HSPB8	2.1164
PRDM14	-1.2785
NUFIP2	-0.14425
MNAT1	-0.7
ZDHHC2	0.358083333333333
MBNL2	1.290375
ADD3	1.3765
CSNK2A1P	-1.16325
KLK6	1.56383333333333
TMEM111	0.4545
KIAA1279	0.805
NUBP2	-0.423333333333333
RAB42	-0.62075
ID3	-0.31
TM9SF1	-0.1455
MDP-1	-0.2165
POU4F2	0.37625
IQCK	0.78875
C16orf14	-1.15075
CAPN3	-1.07775
FAM43B	-0.335875
RECQL	-0.8945
AP1G1	-0.0945714285714287
CTNNBL1	-0.667833333333333
ECHDC1	0.1495
SMARCC1	-1.0096
FOXQ1	-2.037875
GNAI3	-0.1185
POLG2	-1.96825
CD4	1.072375
ITLN1	0.32475
EBI2	4.30725
IRF1	-0.14475
PTPRE	2.5703
PTK2B	-0.6695
NXNL2	-0.514
SOX4	0.267555555555555
TSPAN3	1.14783333333333
SH2D1A	-2.11666666666667
C8orf58	-0.214333333333333
USP20	-0.9515
DUSP22	0.0525
CALB1	-2.9255
L3MBTL2	0.994416666666667
MCRS1	-0.66775
TMEM118	-1.706
C18orf8	0.4875
FLJ10241	-0.42725
GJA12	2.19875
PKD1	-0.389333333333333
ZFP3	1.085
JAM3	0.016625
LAPTM4A	1.2592
DIRC2	0.4955
KIAA2022	0.761333333333333
MYOM1	2.61183333333333
TRPM8	-2.48516666666667
MOP-1	0.42525
PHKG2	-0.926875
ZNF650	0.79275
KIAA1522	0.657625
PSG8	-1.3475
DDX19B	-0.3595
MOBKL1B	-0.5435
DIAPH2	1.19383333333333
PTPN12	0.0695
CLN8	0.8043
CRYZL1	0.210833333333333
CRY2	1.27275
FCGR2B	4.7005
PNPLA4	1.903375
ZNF454	1.399
DKFZp434B1231	0.6025
CLDN11	1.0841
RFWD2	0.515333333333333
CIB2	0.485333333333333
MXRA8	3.38975
HRK	-0.091625
MAML2	0.686
C4orf31	2.18525
C6orf192	0.58875
COG6	0.650375
FAM5B	1.314
NFATC1	1.1453
SEPT10	0.28825
SCYL1	-0.4027
RPP40	-0.735
SCOC	0.0492
KIAA1450	1.69625
CTDSPL2	-0.6255
TBX5	2.54466666666667
NAPG	-0.192
RHD	-5.08175
C14orf45	1.16383333333333
ZBTB22	0.7405
PLCG1	-1.7695
ANKRD10	-0.977625
AQP7P2	4.731
TAGLN2	0.0541666666666667
HTR2C	-1.398
SLC16A7	2.77833333333333
C17orf83	-0.252
TSGA14	-0.9875
MDH1	1.275
PPP3R2	-0.261333333333333
DCBLD2	-1.04157142857143
RBM33	-0.706375
DPH3	-1.16025
SYT10	-1.54316666666667
FMO4	2.39825
THYN1	-0.24725
DRD5	-2.305
OTOR	0.615875
PGRMC2	0.707
KATNAL1	0.823375
PAQR6	-3.03475
UBE2I	-1.2125
C14orf28	1.13125
C8orf70	1.4665
FLYWCH1	-0.630625
ANGPTL3	-1.0335
GLRX2	-0.315666666666667
ATP11A	-0.854714285714286
ARL5B	-0.65125
MUC16	-1.66175
SLC25A5	-1.29964285714286
ACRC	-0.3555
MYO1C	0.680875
FAM89B	0.8375
FAS	0.87725
KIFAP3	0.9
GLRA2	-0.1165
BTN3A2	0.4595
CNKSR3	-0.081
CSTF3	-1.06283333333333
ARPM1	1.152
KIAA1530	-1.1815
C9orf150	1.45983333333333
PRKCI	0.1655
tcag7.1015	-1.554
SOD3	2.753
ZNF574	-0.0045
CYP21A2	1.6685
RPL12	0.13525
COMMD2	-1.3115
WIZ	0.03675
LOC344405	-0.2125
ALDH4A1	0.577058823529412
CRYAB	4.4165
COPA	0.0782
PCDHGA7	0.232333333333333
KIF11	-2.47758333333333
RASD2	0.429625
SLC26A3	2.9725
ZNF175	-0.2495
JAKMIP2	-2.587625
C8orf4	1.18216666666667
PTHLH	2.1345
SLC40A1	3.36625
OR7D4	0.259166666666667
PCDHB17	-0.2535
CD36	6.95785714285714
C6orf203	1.2385
PRKG2	0.0515
LOC400566	0.664
ANAPC13	0.4285
SLCO3A1	-0.1135
ZNF692	-2.113
FANCL	-1.4235
SH3GLB1	1.12875
C12orf61	-0.14
KBTBD6	0.55675
SUPT5H	0.025
XRCC6	-0.5708
HUS1B	-0.9201
FAM133B	0.0747857142857143
LOC728276	-0.238
KCTD18	0.9915
SOS2	1.35616666666667
CCDC99	-2.40525
C1QTNF5	3.1665
NNAT	3.73883333333333
USP16	0.264
LARS	-0.485625
ZBTB2	0.28475
ABO	0.193666666666667
TRAF3	0.05775
GALNT5	-3.2725
NAP5	1.16725
ALG14	1.47383333333333
KIAA0515	0.0255384615384615
WDR75	-0.750166666666667
TEX261	-0.2575
LY86	1.4535
LOC389072	-0.0225
FLJ13611	0.034
MRGPRX2	0.227
SNRPA	-1.0455
OR2G2	0.092
GPRASP2	1.9295
C7orf42	0.408
C9orf163	-0.3855
CYP11B2	0.0535
FCRL3	2.14333333333333
PRDX1	-0.2425
FGB	-4.63366666666667
COX17	0.251666666666667
C16orf33	-1.22525
PIWIL1	-0.422666666666667
FOLR1	-1.01433333333333
KIAA0082	-1.7325
FREQ	-1.34883333333333
TMCC2	-1.3955
TCF12	0.0313333333333333
ZNF721	0.08975
FAM130A2	1.109
POU4F1	-2.6705
SNRPF	-1.198125
SGIP1	0.963666666666667
ZNF641	0.932
EMG1	-0.49
PRRG4	0.6235
HIRA	-3.91575
MYNN	0.257833333333333
AEBP2	-0.397666666666667
TBXA2R	0.132166666666667
ISL2	-1.8115
PCDHB11	0.7305
RNF144A	-0.616375
MARCH5	0.471875
DULLARD	-0.300666666666667
DCLRE1B	-0.459
ITGA8	0.88075
TP73	-0.45625
PRKCD	1.5885
NDUFB4	0.1145
ATP13A4	3.330875
ANTXR2	0.597166666666667
COL4A3	0.0748
MYO10	-2.1071
SLC6A18	0.422
PEX1	-0.01775
TMEM74	-0.928166666666667
RBM19	0.09425
TAPBP	0.1009
RUNX1	1.06
MID1	0.5645
GPR64	1.44933333333333
RASEF	3.89375
GABRG1	0.960375
MYO16	0.89125
DBF4	-2.6685
TSHZ2	4.47375
RIPK2	-0.234875
PPTC7	0.3945
KIF4B	-2.2295
LRRC31	2.05025
ZNF540	2.51675
EFNB3	-0.278666666666667
LOH12CR1	0.517375
STON2	0.624333333333333
GLP1R	0.414
CSTF2T	1.501375
IREB2	-1.247625
GRSF1	-0.411
PDCD7	-0.41
LRRC43	0.2765
CNR1	2.14116666666667
IL1F7	-0.5695
C12orf64	-0.061
FAM69B	-0.422
NR2E1	-2.555
MS4A6A	4.1517
FTL	0.6984
C7orf36	-0.017
PCLO	0.8211
DYRK2	0.67825
ARIH2	0.2495
SAMD7	-0.202
SCNN1D	-0.952
SLC32A1	-0.860875
C22orf25	-0.265166666666667
MRPS18A	-0.377
GPR112	2.045
EARS2	-1.1675
ERN2	-0.21
ATPBD3	-0.158666666666667
PRH2	-0.507
CDKN2D	-0.443833333333333
PGLYRP2	0.29375
TRIM40	0.153
SEC14L3	0.335166666666667
SLC22A1	0.28775
BTN2A3	-0.039
RASA4	0.78475
CCNL2	-0.89325
MYBPC3	0.5665
GJA4	3.90675
CDC42SE1	0.0775
TRPV2	-0.2885
MYPN	-3.8412
SIM1	1.5365
CDADC1	0.705416666666667
ZFHX4	2.76025
NIBP	0.297
ADAMTS19	-1.53825
ABTB2	-1.007
TSPYL2	-0.685875
EIF2S3	-0.9124
SOX30	0.2525
AP2A1	-1.20966666666667
DKFZP564O0523	0.314166666666667
LOC285398	0.018
CDH18	-4.78975
CHL1	4.30325
GATS	-0.3088
TBC1D2B	1.27633333333333
OR1J1	-0.23
GSN	3.9515
DPCR1	0.4005
GARNL4	-1.08466666666667
SMARCA5	-0.65025
PLEKHG3	0.828666666666667
ZBTB45	0.3975
FRMD6	-0.0483333333333333
PLS1	-1.18433333333333
DGKZ	-0.133833333333333
EFNA1	0.6823
WDR85	-1.16425
ANK2	1.92225
PAGE4	1.9705
SENP6	0.932833333333333
AKR7A2	0.182833333333333
FKBP10	-2.4445
VEGFC	-0.144333333333333
LARP1	-0.6515625
SRBD1	0.1355
ITGB6	3.105
SLC1A2	-0.00338461538461536
INVS	-0.684
MPO	0.97275
MOBKL3	-0.0716
CUTL2	1.948875
KLK2	-0.02875
VIM	1.49625
REG1B	0.401166666666667
PCDHGC4	1.51475
C3orf34	-0.188333333333333
SUMO3	-0.299666666666667
CST9L	2.123
MLL4	-1.0185
SPR	0.993333333333333
SAMD9L	0.78475
ABCE1	-0.5585
SUPT3H	-0.493166666666667
ACTBL1	-0.71175
ADAMTS4	-0.084
SLIT3	4.19425
RHEBL1	-2.18475
NPM2	-0.9895
MAN1C1	1.499
KIAA1856	0.593916666666667
HSPA6	1.11425
LOC388152	-2.018
C10orf140	1.4475
ZDHHC12	-0.72
LIN7A	0.0014
PHC2	-0.0040833333333333
SPHK1	-0.93
TRIM26	-0.331875
FAM83E	-0.393
C18orf24	-2.6605
ZNF578	-0.2925
ORAI1	-0.785
RUVBL1	-1.61375
C7orf20	-0.836666666666667
APAF1	-1.5795
SLC36A4	-1.29783333333333
MYH11	5.21783333333333
NEK1	0.4638
MPP2	-0.96575
C12orf24	-2.8455
TNK2	0.329375
ZNF289	-1.06825
MATN3	-2.19242857142857
IFNGR2	1.245
ITPR1	1.71475
EBF3	4.7197
TBC1D20	-0.1426
OR10P1	0.19775
DDAH2	1.7295
SHPRH	0.5335
STX7	0.541
LOC554248	-2.66325
BCAR1	0.035
ATXN3	0.160166666666667
TRIM27	-0.82925
CDC42EP2	1.8915
CHP	0.327642857142857
SOX17	3.133625
ZNF259	-0.904333333333333
CHCHD1	0.131375
ZDHHC19	0.054
GBP2	3.252
GARNL3	1.46075
MRC2	-0.32325
C1orf52	-1.102
AOF2	-1.1885
LRPPRC	-0.5247
ACVR1C	5.33583333333333
TM4SF18	4.49333333333333
TMEM169	0.206833333333333
PPP1R16A	-0.262375
EBF1	5.63283333333333
RRS1	-0.539
SNX2	0.1435
OR2T2	0.3535
RBX1	-0.46275
ANKRD54	0.3165
TSNAX	-0.047
TMEM83	-1.2455
ZBTB7A	1.16525
ATM	-1.24033333333333
LOC338328	3.80966666666667
TIE1	1.93483333333333
HIST1H3G	-0.492833333333333
PASD1	-4.404
TINAG	0.1785
PCDHAC2	1.1025
LRRC15	-1.435125
WBSCR17	-0.80125
TFF2	-0.564
PARP2	-1.08
NDFIP2	-0.700625
PCDHGB2	-0.3705
WDR60	-0.02725
MAP7D2	-1.4787
USP45	-1.3325
GSDML	-0.416
TNS1	1.3445
PLCD4	0.155
IQCD	0.724833333333333
SMPX	-0.4115
CD9	0.210833333333333
SRGN	2.253625
CASP7	1.031625
INOC1	-0.00616666666666667
DKFZp451M2119	-0.293
VMAC	1.172
USP53	2.0431
CAMK1G	-0.281875
TMEM106A	0.154833333333333
CDC20	-3.4802
ACSL5	1.00916666666667
CBWD5	-0.599125
C1orf87	-0.0423333333333333
KIAA1274	0.849
PRUNE2	0.0437857142857143
LYPLA2	-1.2635
DOK6	-1.37883333333333
GPR149	0.0705
FAM30A	3.957
TMEM129	0.6485
SLC35B3	0.479
ACPP	0.5138
LOC200261	-0.852
SLC4A7	1.4625
CCDC40	1.509
GART	-2.08225
THOP1	-1.6985
SCARB1	-0.7
CACNA1F	-0.28575
TRIAP1	-0.232333333333333
SYT14L	-0.2085
SFRS8	-0.306833333333333
PBOV1	0.3165
GOLSYN	2.43825
GJB7	-0.448
CAMK2N1	0.00366666666666667
GREM1	3.71275
FLJ20433	0.87275
QPCT	-3.54275
PRKAG2	1.43433333333333
H2AFX	-2.20925
C6orf154	-0.1775
PLOD3	-1.11025
ZBTB39	-0.594833333333333
WASF3	2.3295
DRG1	-0.64775
PRR4	-0.619
SPCS1	-0.556
KDELR3	-0.243166666666667
SRP19	0.017
GABRA6	0.0406666666666667
MFSD1	1.26575
MMEL1	0.9035
PDXDC2	-0.5791
BUB1	-5.73422222222222
RNF138	-1.492875
MYLPF	-0.465666666666667
AIF1	1.98283333333333
DYNLRB1	0.0852
HCN3	-1.5205
HIST1H2AI	-0.516
MAP4K5	0.555083333333333
LASP1	0.593125
LOC130951	1.42
PLAA	0.841125
KRT6A	-0.0495
C6orf117	-1.321125
ARHGAP23	-1.1595
PTF1A	0.096
GPHA2	-0.5025
LCE3B	-0.1665
MCL1	0.589142857142857
EHBP1	0.79625
PRNP	0.5211875
ZSCAN1	0.3895
C1orf113	-0.00383333333333334
FOXA3	-3.172375
NEB	0.64275
ASGR1	-3.93016666666667
CTGF	1.77783333333333
RAB17	-0.353666666666667
MST101	0.05825
JARID1B	0.1351
USP37	-0.3434
PTBP1	-1.57166666666667
PTPN7	-1.05083333333333
CDC7	-3.19616666666667
SNX7	0.276
ZNF335	-0.35625
CPT2	0.56025
HEATR1	-1.084625
HSPC152	-0.100375
C5orf40	0.17825
PSME1	-0.0511666666666667
STAG3	-1.647
TMEM154	1.00516666666667
KLHL32	-0.211
