Hybridization REF	TCGA-AN-A0XW-01A-11R-A109-07
ANPEP	-0.637666666666667
PROM1	-2.68166666666667
SIGLEC10	2.599
COPG	0.9365
FAM26E	2.820625
TRIP4	0.7285
SNX3	0.366666666666667
C1orf175	0.612166666666667
PPY2	-0.1855
C14orf152	0.3075
FTSJ1	-0.5305
DST	0.56645
LOC554235	0.43175
GLRX5	-0.057
C20orf12	0.2543
CAB39	0.621333333333333
MSH2	-1.83933333333333
PIP4K2C	1.001125
CYLD	1.733875
WTAP	-0.4594375
MGAT4A	1.07122222222222
TSC22D4	-0.3714
CHRM2	-2.107
PPYR1	0.270333333333333
CCNH	-0.249333333333333
RRM1	-0.822
ECAT8	-3.308
LOC400120	1.02825
GABRA4	-0.2445
C14orf4	0.661333333333333
C1orf59	-2.036
CTDSPL	0.620833333333333
NHEDC2	-1.01
PDE11A	-0.0803125
KLHL29	-1.5425
CD5	0.5425
TSPAN9	1.4190625
WDR67	-1.1015
THUMPD1	0.1534
C18orf17	1.0285
CLYBL	0.01
FLJ13231	-0.480875
CMBL	1.741625
LECT2	-0.61375
NKAPL	1.527
LOC654780	0.7025
OR4C6	-0.7755
RAB30	-0.665333333333333
TSSK4	-0.1715
TMEM163	0.9325
OSBPL11	0.285
GNB5	-0.636333333333333
CCL21	0.8515
C1orf121	0.619166666666667
FMO2	1.1995
RPTN	0.461
MSTN	1.106
VCL	0.236071428571429
FYTTD1	-0.02775
C11orf1	-0.421
CCDC88C	0.6825625
HFE	-0.118055555555556
MOGAT1	-0.775
FAM125B	0.223333333333333
IRGQ	0.434
RAVER2	1.1965
AKAP5	-0.0195
SSSCA1	-0.795
C11orf63	1.67875
ACTG2	1.6793
PORCN	-0.992
DTL	-0.925727272727273
TMEM151	0.79175
FAM122C	-0.27075
RSAD2	3.9634
BAT4	-1.1705
KRTDAP	-1.16516666666667
MYH8	0.51125
CRTC3	0.56625
LRRFIP2	0.4858
INTS4	2.77283333333333
TTN	-0.465833333333333
SLC26A5	0.4615
PLLP	-1.78625
RGS6	-0.373125
SRGAP3	0.892625
ZNF525	0.256666666666667
NBR2	-0.685833333333333
C13orf1	-0.4099
ZNF137	0.4165
CEP27	-1.10425
BEST2	0.1035
RNF121	-0.52625
DMRTC2	-0.2315
C8orf76	-0.18675
BCCIP	-1.0595
MEST	-0.2145
HTRA2	-0.265
ANGPTL2	1.1575
ILKAP	0.269166666666667
ERAS	-0.0605
HBS1L	-0.90525
CPA5	0.316
TMEM30A	0.271
CD300LF	2.7225
WISP3	1.813
CRK	0.0265714285714286
PDS5A	-0.1787
BRPF3	0.575833333333333
NEDD9	0.18925
SMPDL3B	1.30475
PSG6	-0.61275
PSMD13	0.97275
ETV5	-1.533125
OR51A4	0.4
BTBD7	0.114833333333333
GSTO1	-0.87875
hCG_16001	0.227
MAD2L1BP	-0.394166666666667
COX6A2	0.7335
SCNN1A	2.02533333333333
LSM1	0.264333333333333
UGT2B11	-1.9785
IDUA	1.2235
PPP2R3C	-0.587166666666667
COX11	-0.420833333333333
PDZK1	-1.157
ZNF443	1.22733333333333
MGC21874	0.950333333333333
ZNF323	1.6292
KRTAP10-10	0.2225
CXCL6	0.461
SLC34A2	3.1541
LOC284402	0.1795
NPTN	0.41125
UPP1	-0.89775
SLC6A9	-0.375
OR7G3	0.2125
CISD1	-0.426833333333333
ZNF545	0.695333333333333
SYT14	-0.4115
NT5C3L	-0.2085
ZNHIT3	0.861833333333333
SNRPD3	-0.1965
KIAA0701	0.595
UNC93B1	1.5285
GMNN	-1.456375
SPCS2	-0.4595
LOC388524	-0.3435
NAPRT1	0.413875
PNLIPRP1	-0.19325
OR6V1	0.7155
PRKAB1	-0.361
EYA4	-3.13416666666667
KIF20A	-0.66
ALG10	-0.1345
ITPKC	0.678166666666667
LMX1B	0.620666666666667
RPUSD4	-1.2975
C7orf34	0.1615
DLGAP2	0.0845
PFN1	-0.5475
MICALL2	0.197833333333333
ZNF654	0.1015
SS18L1	-1.296125
SLC16A8	0.259
MKI67IP	-0.0565
ITGB3	-0.85575
TCEA3	2.06658333333333
CEP152	-1.6851875
CLIP1	0.425125
ZNF75	0.340125
ATP5C1	-0.141666666666667
NUDT5	-0.443333333333333
PSCDBP	1.69775
UBP1	-0.012
RBM27	-0.5345
C13orf15	2.414875
ZNF282	-0.3485
ZNF222	0.4457
COL10A1	6.15575
PRDM15	-0.432375
TTTY5	0.086
FAM9C	-0.178166666666667
C20orf67	-0.01325
GNG13	1.8275
F12	0.8335
C1orf41	-0.48425
CPXCR1	1.0965
GSK3A	0.617125
SUPT6H	0.048
PI16	-1.51483333333333
ELL2	-0.337916666666667
C9orf167	-1.29633333333333
PVRL3	-2.3305
FLJ38596	0.62975
ADAM20	-0.01825
GPR89A	0.2315
GPR87	0.3315
ZNF30	1.08725
SMR3B	0.5325
ZNF770	0.011375
TRPC4AP	-0.656833333333333
DKFZP686E2158	0.3815
C2orf28	-0.0605
FREM1	-0.749166666666667
LAMA4	0.982
ADPRHL2	0.2425
EIF4G2	0.704333333333333
GUCA1A	0.149
CTNNA2	-0.495
NUDT15	-1.63683333333333
CEPT1	-0.528
ZNFX1	0.9224
CCDC92	1.4345
TDRD1	-0.641
KCNK5	-2.12233333333333
ETNK1	0.0271666666666667
LTA	1.109
TTPA	0.284666666666667
B3GALNT2	-0.44625
SC65	-0.2695
PEX5L	-1.353125
EPS15L1	0.677
MGEA5	-1.085375
HIST1H3A	1.142
ING1	0.1275
BCAT1	-2.272875
ORC6L	-2.06427272727273
KLK11	-2.72283333333333
C19orf28	-1.290875
DNER	-3.263125
MED22	-1.00578571428571
ETV6	1.207
CHAC2	-1.33475
CD300E	0.981
CEBPB	0.0836666666666667
ZNF398	-0.80975
LRCH3	-0.053
HMGA1	-1.58783333333333
CAPN7	0.154666666666667
MGC5566	-2.57225
CCL3	2.766125
NANOS1	-1.06175
ZFYVE19	-0.46675
APITD1	-1.05766666666667
PARD3	0.920125
IRAK4	0.167
SERPINI2	-0.4805
CEP170L	0.15025
TTC9	2.27575
MYOM3	-1.14875
MLPH	1.2555
LOC222699	-0.3415
NRG1	0.192666666666667
TBC1D9	1.54363636363636
TTK	-1.96083333333333
ZNF557	0.346
DDX41	-0.241333333333333
FANK1	1.413
UBE2D2	0.300875
PSMB10	1.65175
MYH7B	-0.099
GABARAPL2	0.302
MARVELD2	1.18233333333333
DGCR2	0.417666666666667
UNC45A	0.0631666666666667
C6orf72	0.1385
ZNF683	5.04325
GIT2	0.62075
CASK	1.9075
C14orf161	1.671
LRRC44	1.0615
TIFA	-0.062125
UTP11L	-0.819375
C6orf65	0.38425
FDPS	0.98575
DUSP9	-2.0204
SLC17A8	0.960833333333333
OR51G1	0.473666666666667
NANS	0.17125
OLFML1	2.2665
ATP10B	-0.8295
NPAS3	-0.376
PRKCA	-1.9859
GGA2	-0.859375
LCE4A	0.4595
SPANXN3	0.4535
CCDC115	0.966875
SDCCAG3	-1.3395
GLIPR1L1	0.1375
TTC1	0.2305
C17orf76	1.088
MAD2L2	-1.00175
HIPK1	-0.824
LRRC3B	-0.0343333333333333
CLN3	-0.992136363636364
C17orf47	0.4165
FMN2	-1.9015
TUBB1	-1.54175
WAPAL	-0.505666666666667
C3orf21	-0.38975
SCN5A	-0.3484
SMYD1	1.115
BEX5	0.6575
ZNF192	0.0845
SEC22A	0.112
GRIA2	1.88635714285714
KIAA0825	-1.37875
NUSAP1	-0.962
LANCL1	0.003875
C15orf40	-0.7659
ZNF645	0.259125
GPR61	0.383
NLRP14	0.766
SNX21	-0.3362
C1QTNF8	-0.069
C17orf46	0.238
IFNA8	0.11
SPRR1B	-0.846166666666667
FLRT1	-0.775
SNX17	0.202833333333333
ASB2	0.1185
HBG1	-5.2005
RPRML	-2.111
JOSD2	0.822166666666667
PLSCR3	0.6215
SPOCD1	0.3325
RAB39	-0.063
GHRH	0.268
ITIH5L	0.84375
C17orf37	0.9245
SMCR8	0.68775
DPY19L2P3	-1.00033333333333
IL11RA	0.322833333333333
GDF3	-3.45866666666667
RPS6KB1	0.471916666666667
DNAJC19	-0.3469
TOP1	-0.1125
CRCT1	-0.33625
MPST	0.329375
DPM2	0.061625
FAM38B	0.554333333333333
SLC18A1	-2.138
FARP1	1.66333333333333
PAX7	0.54025
TUBD1	0.963
GNL3	-1.117875
BTG2	2.3404
NDUFS6	-0.5815
C1orf79	-1.52975
ERAL1	0.09375
ECHS1	0.3305
VPS4A	-0.0653333333333333
CYP11A1	-0.053875
ABCC6	-2.23835714285714
PBX4	-1.6775
MOSC1	-0.795125
NCF4	1.7375
HYMAI	1.5065
NAGPA	-0.6565
OTOP2	0.11875
ACOT12	-0.039
MTHFD2L	-0.726625
LOC441376	3.9935
C19orf34	0.8935
RAB1B	-0.06075
ALDOAP2	-0.572
NTRK1	-1.03566666666667
ARTS-1	0.0659
SLC6A11	-0.404
NAP1L2	2.01025
CNGB1	0.095
EPB41L4B	0.3835
FAM134B	1.8785
HS3ST3A1	0.2045
CPXM2	6.062
SIRPB2	-0.0625
CHORDC1	-0.85
TRIB3	-2.1385
SLC2A5	1.53275
C2orf49	-1.02916666666667
DDX5	-0.37025
OR5L1	0.0715
ANAPC4	-0.4755
ZSWIM1	0.14125
LOC93622	-0.36225
KCNK3	0.0836
RP11-35N6.1	-0.495625
ZFP161	-0.0338333333333333
AQP9	2.873
SLC15A2	1.18066666666667
MREG	0.462166666666667
OR9I1	0.2905
PDLIM2	0.364625
ADAM7	0.2545
GSTCD	-0.483333333333333
WDR21A	-0.122625
SLC12A8	1.19733333333333
TMEM174	0.346
IGSF3	-0.5885
LRRN1	2.371
LOC402117	-0.076
SRPK1	-1.67083333333333
LY6K	-2.3706875
NFIA	1.8275
PTCD3	-0.5825
LEP	0.120333333333333
PCDH21	-0.369666666666667
MAPKAPK2	1.32335714285714
NMNAT1	-0.7145
LHFPL2	1.2915
C9orf43	0.41025
DIP2A	-0.804
ACTR8	0.070875
CCDC34	-0.625
PTPN22	0.834375
ITGA3	0.696875
FAM129C	0.02875
RABGGTA	0.285666666666667
UNC45B	-0.09475
KIAA1033	0.77675
ZNF510	0.275
CYP2D6	-0.532166666666667
SLC26A10	-1.364
STX8	0.20375
LUZP1	0.5445
WDR89	0.05
EIF4G3	0.1952
C5AR1	1.28375
ZNF623	-0.35
A2M	1.1325
TGM7	0.3285
GRPEL1	-0.361333333333333
LMNB2	-0.9424
ROCK2	0.365
SNX16	0.2535
CCDC66	0.218
ANXA3	2.1185
KIAA1609	-0.197625
EED	-1.31675
RNF32	0.262
HES1	0.9812
CLC	0.721166666666667
ISL1	1.54716666666667
KIAA0528	0.1225
MANEA	0.0385
C1orf61	-1.468
hCG_2001000	0.35775
RAPGEF6	0.0725
KIAA0020	-1.37716666666667
NEIL1	0.59675
C16orf45	0.455625
RBM10	-0.0985
C10orf125	-0.45125
MRS2L	-0.469
DNAH17	-1.35475
C19orf10	-0.3595
C1orf160	0.23675
SLFN12	1.55975
EXOC3	-0.0375
HIST3H3	0.22775
NCOR2	0.233333333333333
TNFRSF9	1.9125
MFSD8	0.16075
ALX1	-2.54866666666667
NOL1	-0.91775
PODN	2.51375
TIAL1	-0.8495
HIST1H1E	0.438
NPY6R	0.561
TM4SF4	-0.76275
CORO2A	-0.93825
ETNK2	1.84066666666667
APOE	1.6294
ANGPT4	-0.0325
HDGF2	-0.0125
G30	-0.3985
ST8SIA4	0.66375
F2RL1	-0.36975
FAM19A4	-1.86675
CCAR1	-0.697
B3GNT7	0.66275
OPHN1	-0.4788
DSCR6	1.058
C21orf13	0.0983333333333333
GAS2L1	0.489583333333333
RFX3	-0.403333333333333
COPS4	-0.706375
BCHE	-4.90166666666667
BCL2	1.869125
HBZ	-3.06866666666667
ARL13B	0.530625
MAPBPIP	1.194375
MYO15B	-0.119625
SPZ1	-0.24425
KIAA1324	2.257
PLCL2	0.259875
C4orf29	-1.2255
WDFY2	-0.74325
ZNF284	-0.0195
NAALADL1	1.3125
DUSP5	0.427166666666667
PXDN	0.409625
SLMO1	-0.611
TNXB	0.2546
BIRC7	-0.379
A4GALT	0.559833333333333
TIMM22	-0.05125
FAM110C	0.39875
TOMM34	-0.97875
ABHD9	0.465
ADAM32	1.123
CRHBP	0.15625
AQP2	0.463625
LOC130355	0.6515
ZNF187	0.848666666666667
ZNF816A	0.342
F7	-0.077125
CNOT1	0.3671
SLC13A4	-0.694
ZBTB11	-0.08725
B3GALT5	0.9595
EXOC2	0.3175
IRS1	1.029
TMEM1	-0.0833333333333333
MRPL34	0.611333333333333
SAMM50	0.087
CDC42EP3	0.62975
HSF2	-0.9604
MFN2	-0.8995
TSPAN7	-2.63866666666667
NUCB1	0.679
RHOH	1.544
ARL16	-0.6485
TACR1	-0.09875
SFRS5	-1.40133333333333
SNX25	-0.00987500000000001
RHBDF1	0.141833333333333
PCDH18	2.44833333333333
HMG1L1	-1.0605
MYO5C	1.1765
MAPK10	0.0995
LDHAL6A	-0.242666666666667
NUDT12	0.553166666666667
NCAM1	-0.184625
GLIS2	0.3975
GGTL4	-0.492
DAPP1	0.1775
ATF7	0.52775
KIAA0748	0.2235
NFIL3	-0.1935
TM6SF1	0.9957
SEZ6	0.204375
NANOS3	0.748833333333333
DNAJA3	-0.873333333333333
CLDN6	-2.6465
CIITA	3.0794
EPHA4	-0.195666666666667
FANCC	-0.3445
CMTM3	1.3185
PSG3	-0.206
MRPL15	-0.84575
C21orf59	-0.08275
PLCXD2	0.00524999999999998
C2orf34	-0.0705
UBE2L6	1.4035
MED14	0.162666666666667
HP1BP3	-0.121
C6orf208	-0.00149999999999999
TPBG	0.716
OSR2	0.1055
XPC	0.0238333333333333
KLHL7	-0.348333333333333
CCR3	0.428166666666667
AGTPBP1	-0.866666666666667
PCSK6	0.4098
STAT5A	-0.6803
FAM18B	0.0775
LONRF2	-1.342
PTPN2	-0.539125
SF3A3	-0.740666666666666
EFCBP2	-0.04525
HCFC1	-1.23766666666667
AHNAK	0.11845
ACTR5	-0.13375
KIF14	-0.0928571428571429
TENC1	0.70225
HEATR5B	0.79
YIPF2	0.715333333333333
MYEOV2	1.09066666666667
DUSP18	1.8335
KIAA1012	0.86175
AHR	-0.0111666666666667
C17orf53	-1.13966666666667
PTPRH	-4.03
ATP6V1C1	-0.2056
TAS2R3	-0.3
LOC440356	-0.2435
COQ10B	0.78075
PSMF1	0.468083333333333
SORBS2	2.05125
NFE2L2	0.35325
TMCO7	-0.175
SH3PXD2A	-0.3175
SH2D2A	0.4105
SPINK5	-3.4825
MRPS24	-0.526
OPA3	0.299125
TRAF7	0.075
C4orf35	0.124
MT1G	0.33925
MGC39545	-0.4385
HS1BP3	0.4355
OR2B2	0.4905
CHRM4	0.099
SFRP2	3.9
RIC3	1.6635
ART1	0.6945
C6orf1	0.864
DUS4L	-1.11975
C10orf104	-0.62825
TNFAIP6	3.09375
RTEL1	-0.963
CCT4	-0.6611
ZNF709	0.41125
CHMP6	0.2735
UPP2	0.277
CYP19A1	-2.679375
CD151	0.0823333333333333
NDUFA13	0.579833333333333
ARFRP1	-0.554
FAM26B	1.955
CRYBA1	-0.8135
MRPL41	0.724
NPFFR2	2.571
HRH2	0.327
SCAMP3	0.457
MTMR6	0.7265
MTG1	-1.10466666666667
UBTD1	0.726
CRABP1	-0.842
FLJ33790	-1.2172
KIAA1908	-1.72983333333333
GPR158	-2.538
PACSIN3	-0.9435
OMD	4.68016666666667
CATSPER1	0.011
HOXB8	-0.54075
FBXO46	0.733
OAS1	1.73016666666667
SVIL	0.8995
PHB2	-0.5545
ADCY3	-0.4335
NDRG2	-0.214833333333333
ERMAP	0.6137
APBA2	-0.111166666666667
IGSF9	2.631
WNT6	-0.364
MYCBPAP	2.293
ATP2B2	0.3792
CPVL	0.1382
TRAM2	-0.420416666666667
NOP5/NOP58	-0.85225
ZNRF4	0.41325
TLK1	0.503
MTMR12	-0.224285714285714
ZNF384	-0.405166666666667
FAM9B	-3.1035
RPN1	0.8175
PMVK	0.729
EIF3D	-0.0224
SIX2	1.08775
HPS1	0.382571428571429
RNF7	0.2045
PSKH2	0.252
KCTD13	-0.422833333333333
CSMD3	-0.0152
FBF1	0.124
IL8	-3.969125
SERPINB13	-0.0215
FBXL20	0.21125
BLR1	0.515
SH2B1	-0.443666666666667
RFNG	-0.307375
RAB20	0.5235
RBM7	-1.01075
POLR1A	-0.644166666666667
TMPRSS4	-1.823
TAF9	-0.773125
TERF2	0.174
TNFRSF1A	0.587166666666667
ACADVL	-0.988833333333333
GTF2H5	-0.07725
EDG8	-0.677
C9orf140	-0.915
UST6	0.12975
ZBTB8OS	-0.61625
ZNF710	-0.161
GPR174	0.1315
ATP6V0A2	-0.15125
KIAA0319L	-0.543
XKRX	0.003
DOPEY2	1.5171
SDHD	-0.623
SUMF1	1.175
OSM	3.58125
OPN3	-0.08925
DAGLB	-0.466666666666667
PPFIBP1	0.2137
TRIM63	-3.0765
C10orf53	-0.3855
LYPD3	1.55066666666667
BCL7A	-0.251
AGER	-1.26083333333333
TCF19	-0.778125
SAT2	-0.12125
PFTK1	0.956
GABRE	-2.464
C15orf38	0.7593
FIS1	0.302
KCNV2	-0.10775
CLPS	2.156
PPCDC	-0.75975
FOXN2	-0.1835
NT5E	-1.871
CD83	1.455
IL18	1.6875
VPS16	0.59525
IGFBP2	-1.88183333333333
NOTCH2	0.16575
SIGLEC1	3.393375
CD93	5.1
SULF2	0.9875
CEP164	-0.503375
P53AIP1	0.382666666666667
TOR2A	0.00283333333333335
ZNF136	0.6015
MGP	2.7646
CCDC144A	-0.4395
TRPC1	0.289833333333333
SMS	-0.711
MAPK7	0.459833333333333
RRAGC	0.39125
PARD6A	1.50616666666667
NUB1	0.973666666666667
SYNGR4	2.2555
OR11H12	0.4725
WIF1	1.148875
GCH1	1.329
OR11H4	0.3055
SLC44A5	1.605
GPRIN2	-0.0666666666666667
LOC401431	-0.59125
CPA4	-2.8116
MELK	-2.01855555555556
IL15RA	1.681
CUL3	1.244625
HMBOX1	-0.98275
PODXL	-2.019
CCT6B	-0.456833333333333
COMTD1	-1.4575
MUC20	0.480166666666667
GPX2	-3.133
ITK	0.91875
FBXL5	2.328
C13orf27	-0.72875
DEFA5	0.5885
TRHDE	0.4115
MTP18	-0.1285
UQCRQ	0.6339
ITGB2	2.47658333333333
CSRP2BP	-1.09775
TAS2R44	0.3095
PHPT1	0.7315
FAM44C	-0.062
ERH	0.031
MPHOSPH1	-0.717166666666667
MORC1	-0.0415
PARVB	-0.725
LAMA1	-1.81425
PGBD3	-0.2805
GIMAP6	4.3285
AREG	0.682166666666667
LIPT1	-0.138
MGC99813	-1.0815
C1orf201	0.623333333333333
GRIN2A	-0.2561
MAN2C1	-1.0165
NSUN5	-0.33025
SF3B5	-0.03825
MYC	-1.6459375
NRXN1	-0.10875
ZNF18	0.20625
SPDYA	0.563
SLC37A1	1.199
DECR2	-0.54925
ANKRD38	1.389625
SPTLC3	0.672416666666667
SUPT16H	-0.455375
DTWD2	0.327
ULBP1	0.0385
ZADH1	-0.157833333333333
OIP5	-2.27725
IL10RB	0.626166666666667
OTUB2	0.506125
VWA3A	-0.0738333333333333
SPIC	0.348
OR6C4	0.073
PSCD4	2.1925
DPY19L2P2	-0.2425
TRAPPC6A	1.20283333333333
C21orf2	-0.719833333333333
CEMP1	-0.93525
LIN7B	0.84
E2F7	-1.378
VCP	0.07275
LAMA3	2.11408333333333
BGN	1.911
GPR160	1.79183333333333
COCH	-2.381
GPR81	1.82183333333333
APOBEC3F	-0.12475
tcag7.1017	-0.89475
C1orf32	0.49
SCGB1D2	6.2505
FLJ43987	0.233
C6orf170	0.4485
KLK9	0.451
GPD1L	-0.40975
VPS37B	-0.01775
ATG3	-0.0586666666666667
ADAMTS17	-0.2685
KLHDC2	-0.169166666666667
NDUFV2	-0.39375
BLK	-2.178
MATN4	-1.369
GPM6A	0.355142857142857
GBP4	4.705
TMEM162	0.244333333333333
PKP2	-0.4245
HRASLS	1.17355555555556
MMP1	-1.099
SFXN3	-0.2904
FSD1	-1.52166666666667
ST6GALNAC3	-2.09
CA12	2.3395
NCOA6	0.447
C19orf58	0.4563
PPP4R1	0.411333333333333
MAN1A2	0.223
IKBKAP	-1.108
UPF1	-0.0283333333333333
KIAA1219	0.6235
WNT16	0.651
SNW1	-0.3025
IL18RAP	3.8105
RPP30	-0.5145
CDC40	2.04235714285714
SETD3	0.815
SLAMF6	1.3915
ELK4	0.57
TRIM47	0.869833333333333
ACOX3	0.53975
TRIM6	2.038125
KIAA0372	-0.289166666666667
TP53AP1	1.56425
SMURF2	0.15375
ADAD1	0.2075
EBP	-0.6073
KRTAP13-2	0.213
FLJ36874	0.1045
TOR1A	0.0341666666666667
P2RY4	0.6785
GPBP1	-0.1545
TRPV1	-0.40375
ADAMTS12	1.21233333333333
PES1	-0.2765
ATG4A	1.21666666666667
MAGEA10	-4.73825
WFS1	1.71875
CC2D1B	-0.724666666666666
PABPN1	-0.227625
SLC25A30	-0.188
SLCO1C1	0.579833333333333
SLC22A5	0.56375
KIF23	-1.04783333333333
SYN2	-0.6735
ASPN	9.0795
CENTG2	-0.10825
QSOX2	-1.6108
FLJ10815	0.435333333333333
STK24	0.3888125
SPEG	0.1965
STK10	0.345
DACT2	-1.575
AAAS	-0.71825
SSX3	-1.656375
ABCD3	1.9328
C4orf12	0.271375
PARVG	1.823
FIG4	4.42325
C9orf46	0.48375
TMCO6	-0.741
IGHMBP2	-1.178
DUS2L	-0.474333333333333
FAM3C	-0.071375
TMEM16D	-2.005
DCTN4	0.70825
KCNH3	-0.1035
EIF2AK2	-0.0125
AP1S3	0.2315
CST4	2.3095
PAM	1.459625
NUTF2	-0.239
CITED2	-0.0952
SLC39A4	-0.30575
C2orf52	-0.949
GRM3	0.26075
C12orf49	0.472
CCDC49	0.2902
GRAMD1B	-0.57775
FNDC4	0.30525
SIAH2	0.618
GDPD4	-0.01
C21orf87	-0.080875
ATP5A1	0.195
C16orf63	-0.8225
LOC388135	-0.417333333333333
ATP5J2	-0.031875
MMP3	-0.488
EMID2	0.05575
CRHR1	0.58375
WDR70	-0.42325
C13orf31	1.94825
ZFAND1	-0.842
CCL18	3.76766666666667
C3orf49	-0.3425
RINT1	-0.896
KIAA0408	-1.224
F13A1	5.515
SLC10A1	-0.0531666666666667
OGN	3.2495
GIPC2	-2.198
XPO6	-0.852833333333333
LCE1A	1.131
FMR1	0.1039
LOC374920	-0.372
DUSP3	0.41625
ANKMY1	-0.27725
C7orf50	-0.12375
BBS9	0.533
UNC119B	-0.670625
C9orf72	-0.108
MGC35440	-0.52725
ENTPD6	-0.445
PPP1R2P9	0.32875
ERCC4	-0.115
FAHD2B	-0.73
HMHA1	-0.1075
HACL1	-0.71325
RAD23A	-0.158666666666667
FAM83B	0.8275
PPP5C	-0.0861666666666667
RNASEH2C	-0.76875
C9orf153	-0.4795
SCAMP4	0.33025
GHITM	-0.1462
NDUFB7	1.0225
ADCYAP1	1.09616666666667
SP110	2.50666666666667
MAP3K7IP2	0.18275
DHH	0.5695
AGRN	0.0153571428571429
WDR33	-0.0551666666666667
CEP290	-0.443333333333333
PRPS1L1	-1.8655
KLRA1	-0.6625
GPR97	-0.146
CHD7	-0.925833333333333
TLR10	1.578
SLC30A8	2.3035
HIC1	1.46433333333333
IAPP	0.335
RXFP4	0.165
GP1BB	0.59775
SHQ1	0.5965
NKX2-3	0.323333333333333
API5	0.2325
FTHP1	1.455
MOV10L1	0.934666666666667
TRIM6-TRIM34	1.7425
ADHFE1	0.5585
FAM117A	0.216
DDI1	-0.4395
CDON	-0.4525
TRIM73	0.1235
IGKC	4.885
MMP14	0.499
DYNC1LI1	-0.658875
C11orf66	-0.18875
TRBV3-1	-0.50875
FASTKD5	-0.33775
BIVM	-1.0345
LHX4	-0.35125
CXCL2	-1.3345
RAB2B	0.524333333333333
IZUMO1	0.3165
MAP3K15	-1.47675
FAM19A2	0.285833333333333
ZC3H8	-0.4595
ZMAT1	1.3255
SPINK5L3	-1.8865
SLC10A6	0.8405
APPL2	0.529875
CARD10	-1.12066666666667
LOC402176	-0.803875
EEF1D	0.0234
RAB6A	0.2155
C12orf5	0.394875
PAPOLG	0.58
MSRB2	1.14775
BCR	0.187222222222222
PUS3	-0.82425
TIAM2	1.38525
ZNF317	0.612333333333333
CHD2	-0.0430714285714285
FZD5	-1.98304545454545
NUDT8	0.7845
ZNF763	0.376
PRC1	-0.862333333333333
ABCB9	-0.0761666666666667
SPATA3	0.0795
TRAK2	0.514625
STAB1	3.037125
LRRTM2	0.6175
psiTPTE22	0.66225
DBI	1.21475
SERPINA11	-0.357
NAT5	-0.94825
C20orf58	-1.48525
RPS6KA4	0.545833333333333
FLJ90650	-0.7825
TGFBRAP1	0.243
CHRDL2	-0.83325
FAHD2A	-0.694666666666667
CNTN1	1.51775
BBS4	0.3186
TMEM181	-0.71725
MINPP1	-0.34275
MPHOSPH6	-0.02525
HOXC10	1.0783
ITPKB	0.456375
CLPTM1L	0.040875
MEOX2	-0.975333333333333
ATP6V0C	0.48875
PRPF8	-0.463333333333333
TMC5	2.49725
FKBP3	-0.2525
PLEKHB2	0.244625
OR4D6	0.235
ZNF544	-1.0501
D2HGDH	-0.651875
RPL18A	0.008
HEL308	-0.432375
MPP6	-3.3695
TCERG1	-1.18825
KRT16	1.92583333333333
KLF17	-1.099
KLF5	-1.73725
CDR1	2.255
VCX3A	-3.9945
FBLN2	2.40275
C14orf104	-0.46425
HBE1	-4.6934
OR4S2	0.603
C1orf108	-0.467166666666667
ROBO4	3.017
CPEB4	0.9155
C11orf80	-0.5875
BCKDHA	0.9315
MYOC	0.18075
GIF	0.4695
CKMT1A	1.2985
RPL3	0.5376
THBS1	2.933125
APOO	-0.37275
ARMCX1	1.33725
HSZFP36	1.05225
SNAPC5	-0.44725
EIF4ENIF1	0.71375
ZNF433	0.99575
TNFRSF21	-0.357
TMPRSS7	-0.196
SPATA18	1.2416
HPDL	-2.6765
MKL2	0.8573
TBX3	1.94407692307692
C21orf93	0.493333333333333
DAXX	0.0685
ELMO1	0.436125
RGS13	1.93633333333333
TAF11	-0.80225
UNC13A	-1.835625
LOC653314	-0.1994
ORC3L	-0.447
IMAA	-3.2555
TARBP2	-0.31575
CABIN1	-0.6016
TRIOBP	0.13125
HIST1H2AC	1.01875
RGS22	0.476333333333333
NCOA1	1.154
IL25	-0.6285
SNCG	0.675
GPR6	1.0235
AMDHD1	-2.89283333333333
CHEK2	-0.5555
C6orf142	-0.458
DRD4	0.44375
C14orf68	-0.663
GDF11	-1.13875
SEMG2	0.2435
CD247	1.18
CDAN1	-0.0345
RBMX2	-0.0823333333333333
TGS1	-0.40525
OIT3	0.47625
SYF2	-0.18
MCM4	-1.63525
PKHD1L1	0.7485
CEP192	-0.598666666666667
IFT88	0.27525
RPL9	-0.234
RAB32	0.8515
DDX43	-2.082
P2RX2	0.313333333333333
OR5D18	-2.23
UBE1	-0.107
SLC24A1	0.049875
ARHGAP5	-0.4785
CETP	-0.5665
KIAA1731	-0.9345
SLC9A4	0.548
PTPN6	1.38175
BAHD1	0.0215
GRIK3	0.5775
CACNB2	-0.0342
PDE10A	0.429
DGCR14	0.2035
PCDHB9	-0.508333333333333
RHOQ	0.904333333333333
MAP3K4	-0.09325
KTI12	-0.1875
RPL23AP13	-2.39175
GNG11	-0.8295
CLCN3	-0.2295
GPAM	-1.2675
VSTM2A	2.339
SLAMF7	4.53316666666667
INTS2	-1.6985
PPP2CA	0.1612
LRP12	-0.2032
SEC14L2	2.95977777777778
DKFZP586H2123	3.34825
MC3R	0.233
CIRH1A	-0.7775
HIST1H2AB	0.901833333333333
POLH	-0.587625
MGC16703	-1.8625
SNAPC2	0.228
FILIP1L	2.89375
RASGRP4	0.7965
