Hybridization REF	TCGA-E2-A10B-01A-11R-A10J-07
FIS1	0.1775
KCNV2	0.0395
CLPS	0.14325
PPCDC	-0.475125
FOXN2	0.167166666666667
NT5E	-2.7053
CD83	0.8505
IL18	-0.45575
VPS16	1.09575
IGFBP2	0.061
NOTCH2	-0.0405
SIGLEC1	2.1325
CD93	3.831
SULF2	0.802
CEP164	-0.350875
P53AIP1	0.2335
TOR2A	0.047
ZNF136	0.4825
MGP	3.0612
CCDC144A	-0.153333333333333
TRPC1	-0.874333333333333
SMS	-1.12566666666667
MAPK7	-0.259333333333333
RRAGC	0.63175
PARD6A	1.44966666666667
NUB1	0.701666666666667
SYNGR4	0.84475
OR11H12	-0.056
WIF1	0.061
GCH1	0.32175
OR11H4	-0.3245
SLC44A5	1.829
GPRIN2	1.601
LOC401431	0.7265
CPA4	-2.4097
MELK	-2.08855555555556
IL15RA	0.223
CUL3	0.25175
HMBOX1	2.453
PODXL	-1.7475
CCT6B	0.765166666666667
COMTD1	-0.355
MUC20	0.132166666666667
GPX2	-3.474125
ITK	-0.94075
FBXL5	1.5825
C13orf27	-1.4485
DEFA5	0.00949999999999999
TRHDE	0.227
MTP18	-0.9205
UQCRQ	1.8024
ITGB2	1.9815
CSRP2BP	1.29825
TAS2R44	0.084
PHPT1	0.917625
FAM44C	-0.14075
ERH	0.3165
MPHOSPH1	-1.6835
MORC1	-0.066
PARVB	-0.80525
LAMA1	-1.67916666666667
PGBD3	0.487
GIMAP6	3.44625
AREG	-4.9665
LIPT1	-0.46525
MGC99813	-0.16525
C1orf201	0.117166666666667
GRIN2A	-0.4096
MAN2C1	-1.007125
NSUN5	-0.59125
SF3B5	0.393
MYC	-1.7806875
NRXN1	0.225666666666667
ZNF18	1.2195
SPDYA	-0.6145
SLC37A1	1.4965
DECR2	0.14225
ANKRD38	0.608375
SPTLC3	-0.3475
SUPT16H	-0.433875
DTWD2	0.7695
ULBP1	-0.3595
ZADH1	-0.608666666666667
OIP5	-1.7625
IL10RB	0.08
OTUB2	0.31625
VWA3A	0.494
SPIC	0.0171666666666667
OR6C4	-0.027
PSCD4	1.32533333333333
DPY19L2P2	-0.224
TRAPPC6A	0.608833333333333
C21orf2	0.264
CEMP1	0.1995
LIN7B	0.4865
E2F7	-1.42916666666667
VCP	0.3526875
LAMA3	1.12841666666667
BGN	2.055
GPR160	1.47616666666667
COCH	-3.78066666666667
GPR81	0.532166666666667
APOBEC3F	-1.30175
tcag7.1017	-0.52525
C1orf32	0.084
SCGB1D2	5.77625
FLJ43987	0.3145
C6orf170	0.20225
KLK9	0.395
GPD1L	0.944
VPS37B	0.14925
ATG3	-0.0275
ADAMTS17	-0.4665
KLHDC2	0.314166666666667
NDUFV2	0.5885
BLK	-2.29625
MATN4	-1.238
GPM6A	-0.069625
GBP4	2.795
TMEM162	0.00350000000000001
PKP2	0.018
HRASLS	0.768777777777778
MMP1	-1.1535
SFXN3	0.0589
FSD1	-1.73183333333333
ST6GALNAC3	-1.868
CA12	2.5393
NCOA6	0.723
C19orf58	0.096
PPP4R1	0.4185
MAN1A2	0.0121666666666667
IKBKAP	0.29075
UPF1	0.433833333333333
KIAA1219	0.6285
WNT16	0.406833333333333
SNW1	0.1815
IL18RAP	1.57625
RPP30	-0.261125
CDC40	-0.5175
SETD3	0.0728333333333333
SLAMF6	0.1945
ELK4	-0.383
TRIM47	-0.0698333333333333
ACOX3	1.90025
TRIM6	0.129625
KIAA0372	0.13
TP53AP1	0.769
SMURF2	-0.9455
ADAD1	0.14175
EBP	-0.7009
KRTAP13-2	-0.0195
FLJ36874	-1.27583333333333
TOR1A	0.201833333333333
P2RY4	0.3215
GPBP1	0.75625
TRPV1	-0.38525
ADAMTS12	0.139666666666667
PES1	-0.3831
ATG4A	0.577333333333333
MAGEA10	-4.07175
WFS1	1.4295
CC2D1B	-0.549166666666667
PABPN1	-0.194
SLC25A30	0.03825
SLCO1C1	0.140833333333333
SLC22A5	2.382
KIF23	-2.11683333333333
SYN2	-0.234
ASPN	7.48583333333333
CENTG2	-0.033
QSOX2	-1.3044
FLJ10815	0.148833333333333
STK24	-0.34475
SPEG	0.783
STK10	0.603333333333333
DACT2	-1.4075
AAAS	-0.47225
SSX3	-1.017
ABCD3	0.1956
C4orf12	-0.704125
PARVG	0.584
FIG4	0.939
C9orf46	1.77575
TMCO6	-0.174
IGHMBP2	-0.691
DUS2L	-0.502666666666667
FAM3C	-0.11575
TMEM16D	-1.557375
DCTN4	1.33025
KCNH3	1.38275
EIF2AK2	0.9405
AP1S3	-0.371625
CST4	2.378
PAM	0.6995625
NUTF2	-0.46
CITED2	-0.0805
SLC39A4	-0.984
C2orf52	-0.451
GRM3	-0.08
C12orf49	0.850625
CCDC49	-0.2672
GRAMD1B	-1.19975
FNDC4	0.6335
SIAH2	0.524
GDPD4	-0.0565
C21orf87	0.440875
ATP5A1	0.338333333333333
C16orf63	0.055875
LOC388135	0.8095
ATP5J2	-0.4405
MMP3	1.0355
EMID2	-0.18175
CRHR1	0.24325
WDR70	0.3635
C13orf31	1.1925
ZFAND1	-1.042
CCL18	3.056
C3orf49	-0.318
RINT1	-0.173
KIAA0408	-1.492
F13A1	4.6249
SLC10A1	-0.03
OGN	1.35625
GIPC2	-1.22616666666667
XPO6	0.103
LCE1A	0.6375
FMR1	0.5753
LOC374920	-0.07675
DUSP3	-0.07525
ANKMY1	-0.18425
C7orf50	0.03075
BBS9	-0.1556
UNC119B	-0.0395
C9orf72	0.156875
MGC35440	0.01575
ENTPD6	0.30675
PPP1R2P9	0.1665
ERCC4	0.444
FAHD2B	0.2405
HMHA1	0.6195
HACL1	0.12625
RAD23A	0.0885
FAM83B	-0.26525
PPP5C	-0.738666666666667
RNASEH2C	0.29525
C9orf153	-0.17325
SCAMP4	0.491375
GHITM	0.45
NDUFB7	0.382875
ADCYAP1	0.0926666666666667
SP110	2.22866666666667
MAP3K7IP2	-0.51125
DHH	-0.152
AGRN	0.5045
WDR33	-0.144
CEP290	0.763
PRPS1L1	-2.04016666666667
KLRA1	-0.1125
GPR97	-0.1275
CHD7	-1.644
TLR10	0.477
SLC30A8	1.845
HIC1	0.804
IAPP	0.0055
RXFP4	0.24175
GP1BB	1.19825
SHQ1	0.1875
NKX2-3	0.2285
API5	-0.6725
FTHP1	0.057
MOV10L1	0.590166666666667
TRIM6-TRIM34	2.16483333333333
ADHFE1	-0.35925
FAM117A	-0.5175
DDI1	0.000333333333333338
CDON	0.355166666666667
TRIM73	-0.2465
IGKC	1.9055
MMP14	-0.638833333333333
DYNC1LI1	-0.075125
C11orf66	0.44625
TRBV3-1	-1.05425
FASTKD5	0.66425
BIVM	-0.352
LHX4	-0.06575
CXCL2	-2.0624
RAB2B	-0.366166666666667
IZUMO1	-0.33725
MAP3K15	-1.4615
FAM19A2	-0.0433333333333333
ZC3H8	-0.244
ZMAT1	1.001125
SPINK5L3	-1.62975
SLC10A6	0.1595
APPL2	0.061
CARD10	0.3825
LOC402176	-0.80775
EEF1D	0.0943
RAB6A	0.3205
C12orf5	0.2955
PAPOLG	-0.007
MSRB2	0.675
BCR	0.560111111111111
PUS3	-0.08825
TIAM2	0.394
ZNF317	0.275833333333333
CHD2	-0.175071428571429
FZD5	-1.81477272727273
NUDT8	-1.3635
ZNF763	-0.069
PRC1	-1.65188888888889
ABCB9	0.6895
SPATA3	0.10025
TRAK2	0.296625
STAB1	2.636875
LRRTM2	0.132
psiTPTE22	1.31175
DBI	1.924
SERPINA11	1.32875
NAT5	1.17225
C20orf58	-1.79225
RPS6KA4	0.324333333333333
FLJ90650	-0.37775
TGFBRAP1	0.0475
CHRDL2	0.341875
FAHD2A	-0.157666666666667
CNTN1	0.381
BBS4	0.2298
TMEM181	0.66925
MINPP1	-1.1645
MPHOSPH6	-0.230416666666667
HOXC10	0.8855
ITPKB	0.4865
CLPTM1L	0.285
MEOX2	0.186666666666667
ATP6V0C	1.0645
PRPF8	-0.326
TMC5	3.12575
FKBP3	-0.647
PLEKHB2	-0.1085
OR4D6	-0.2915
ZNF544	-0.1564
D2HGDH	-0.366625
RPL18A	-0.5802
HEL308	-0.11725
MPP6	-3.685
TCERG1	-1.5825
KRT16	-0.754833333333333
KLF17	-0.6705
KLF5	-0.6575
CDR1	1.80825
VCX3A	-4.1785
FBLN2	2.057
C14orf104	-0.354
HBE1	-4.7569
OR4S2	0.5185
C1orf108	-0.271333333333333
ROBO4	2.964
CPEB4	1.67425
C11orf80	-0.485
BCKDHA	1.46466666666667
MYOC	1.481
GIF	0.1155
CKMT1A	1.8345
RPL3	-0.0342
THBS1	2.957
APOO	-0.29275
ARMCX1	0.38275
HSZFP36	0.87675
SNAPC5	-0.4015
EIF4ENIF1	0.94925
ZNF433	0.191
TNFRSF21	0.205
TMPRSS7	0.1845
SPATA18	0.2784
HPDL	-3.6285
MKL2	1.8343
TBX3	0.550230769230769
C21orf93	0.41
DAXX	0.51
ELMO1	0.285625
RGS13	1.172
TAF11	-0.79
UNC13A	-0.104375
LOC653314	-0.3348
ORC3L	-0.5905
IMAA	-2.9495
TARBP2	-0.28125
CABIN1	0.0839
TRIOBP	0.2608125
HIST1H2AC	0.88025
RGS22	-0.279166666666667
NCOA1	1.17633333333333
IL25	0.341
SNCG	1.2975
GPR6	0.3785
AMDHD1	-0.493166666666667
CHEK2	-0.715375
C6orf142	-0.4405
DRD4	0.876
C14orf68	-0.829
GDF11	-0.928
SEMG2	0.1055
CD247	-0.5715
CDAN1	-0.37825
RBMX2	-0.126166666666667
TGS1	-0.89775
OIT3	0.236
SYF2	0.28675
MCM4	-2.509875
PKHD1L1	-0.054
CEP192	-0.2445
IFT88	0.63125
RPL9	-0.372214285714286
RAB32	-0.313375
DDX43	-1.94275
P2RX2	0.125833333333333
OR5D18	0.255
UBE1	-0.104333333333333
SLC24A1	0.400875
ARHGAP5	-0.03675
CETP	-0.60475
KIAA1731	-0.433
SLC9A4	0.159
PTPN6	1.041
BAHD1	0.386
GRIK3	0.7955
CACNB2	-0.5549
PDE10A	0.07425
DGCR14	-0.119
PCDHB9	-0.916666666666667
RHOQ	-0.318333333333333
MAP3K4	-0.18475
KTI12	-0.289333333333333
RPL23AP13	-0.4785
GNG11	-0.65375
CLCN3	0.767333333333334
GPAM	-0.45225
VSTM2A	-0.0835
SLAMF7	1.78433333333333
INTS2	-1.17325
PPP2CA	0.7511
LRP12	-0.978533333333333
SEC14L2	1.42011111111111
DKFZP586H2123	1.73925
MC3R	-0.006
CIRH1A	-1.10583333333333
HIST1H2AB	0.828666666666667
POLH	-0.28125
MGC16703	-1.07716666666667
SNAPC2	0.8345
FILIP1L	0.65825
RASGRP4	0.2005
LRRC1	0.5995
GAS1	0.917
PRAC	-0.68125
DGKA	-0.578666666666667
NT5C3	-0.65625
PEG3	-2.78766666666667
NADK	-0.714
PRR17	0.61325
LOC374569	0.05825
SGSH	0.297166666666667
NLRP8	0.602
GALT	-0.1174
MCF2	0.5155
ZNF263	0.94025
TACSTD1	0.476666666666667
TYR	-5.9729
ATP6AP2	1.32825
RNUXA	-0.02025
ABHD10	-0.1425
GDPD2	-0.14375
SLC35C1	-0.465
UBE2A	0.115375
HERC5	-0.747166666666667
FAM112B	-3.81316666666667
FBXL16	1.503
DKFZP434A0131	-0.6105
ELA3A	-2.2545
RBM41	-1.036125
HAO2	0.093
RNH1	0.313375
SHANK2	1.0725
OSBP2	-0.844375
DAK	-0.0398333333333333
C3orf58	-0.3675
TCL1B	-0.4825
KBTBD2	-0.505375
SUGT1L1	0.6555
UBE2E2	0.0266666666666667
MYL9	1.983375
CDC23	-0.0826666666666667
PBXIP1	1.3646
CXorf40B	0.4455
NBL1	1.21825
RTBDN	1.0645
RAB11FIP5	0.357625
TTTY13	-0.3
SCOTIN	0.685416666666667
SOHLH1	-0.379
CDKN1A	0.0532142857142857
NCK1	-0.1435
ZNF550	0.42025
SAPS3	-0.0116666666666667
SPIN3	-0.0045
MAGEE2	0.00625
MIS12	-0.699833333333333
OR8H2	0.274
KIAA0774	-0.612666666666667
UNC5D	-0.7335
CUL7	-0.184166666666667
LIPC	-2.748
DIO1	0.941
C20orf11	0.6575
CTRL	-0.10375
HS3ST2	1.8275
PAK4	0.771166666666667
CCRL1	3.028
RNF10	0.76725
ZNF567	0.37925
ZNF660	0.0335
TCEAL3	0.9865
MAGOH	0.251333333333333
CENPB	0.0326666666666667
C19orf7	0.77275
LOC388965	0.1195
ZCCHC13	0.0045
JMJD1A	-1.1903
HIST1H4H	-0.333
TBRG1	-0.9886
GPC3	-4.135125
TAF1C	-0.649125
EBNA1BP2	-0.4135
CIAPIN1	-0.41425
PDGFRA	0.0649444444444445
CSTB	0.00575
CENPI	-1.62083333333333
GTF2E2	-0.9495
RPP21	-0.31225
CCNF	-0.101
KCNQ3	0.428
FAM79A	1.1505
SLC22A12	0.0835
NOVA1	2.389
FZD3	-0.2631
AKAP8	-0.4075
SOCS5	0.4795
CFDP1	-0.64025
DLG5	-0.01575
PGM5	0.0788333333333333
C1orf144	0.2885
HDAC10	-1.0935
RND2	-0.2025
C20orf199	-0.871
RNMT	-0.56375
SLURP1	0.014125
ASTN1	0.0545
SH3BGR	3.0475
MYCL1	-0.4015
ZHX1	-0.264166666666667
CENPK	-2.14275
FOSB	0.3317
LOC643406	0.145125
C2orf59	-0.540625
TMEM135	-0.78325
SLC27A2	-1.6155
KRT33A	0.9685
OVOL1	1.320875
PAMCI	-2.02583333333333
S100A7	-0.688
ZNF789	-1.0975
HARS2	0.5315
RPL23A	-1.20016666666667
TCF23	0.11175
UPF3B	-1.279625
C17orf78	0.1555
HLA-DOB	0.338
C14orf142	0.590166666666667
TEKT5	1.0735
DMWD	0.182
POLD1	-1.3885
GSCL	-0.184
CALD1	0.2177
SCRT1	0.487833333333333
AIG1	1.1285
UNC84B	-0.35825
ZNF404	-0.233
TMED6	-3.088
KIAA1462	1.2555
LRRC27	1.2165
PYGO1	-0.186
PIGU	-0.1505
ALAS2	-3.59883333333333
WRNIP1	-0.049125
CNNM3	0.468
ZNF2	0.31725
ST3GAL5	-1.00508333333333
MRPL23	-0.05875
TSSK6	-0.1515
PSMA6	-0.04125
C16orf70	0.15875
KIAA1602	0.24325
ALMS1	0.359
DCN	3.21925
TMEM132D	-0.2065
SUCLG2	0.51275
ABHD14A	0.877
DEXI	0.806
AMPD2	-0.700333333333333
IFNAR2	-0.0845
CYB5A	2.8942
TLOC1	0.17955
NXF5	-0.207166666666667
NRBF2	-0.375
KCTD3	1.215
ITGAE	-0.6
SLC30A3	-1.6505
ZRF1	-0.595
IFRD2	-0.468625
XAB1	-0.51775
PYCR2	-0.002
SERPINB3	-4.0445
TMLHE	-0.2811
GEFT	-1.160375
ABCA5	-1.3965
EMR4	0.0628333333333333
TSFM	0.47025
HIST3H2BB	-0.9545
ARHGEF19	0.97
TSPAN17	0.168666666666667
ABCC8	4.3065
MAP1S	0.406
C22orf36	0.11525
BNC2	0.0887142857142857
HIST1H4A	-0.59425
NDUFS3	0.1735
WDR3	-1.03766666666667
XKR4	-0.12175
TTC33	0.0982142857142857
STMN2	2.42225
CPN2	-0.818833333333333
HSPC105	0.65325
PCOLCE2	-2.816
C3orf55	0.2455
KLHDC9	3.14333333333333
TBC1D23	0.056875
ATXN2L	-0.949416666666667
MAP2K3	-0.00725
SCAP	0.13725
ZNF486	0.1605
C20orf96	0.94275
NARS	-0.11425
ADAMTSL1	-0.456714285714286
PRCC	0.730333333333333
CCDC126	2.00066666666667
ZNF675	-0.08025
CALCOCO1	0.583
ANKRD43	4.2955
CWF19L2	0.0115
ZBTB32	0.713166666666667
BRAF	-0.6155
ODF4	-0.06125
MGC14376	0.976166666666667
HORMAD1	-1.5765
AAK1	0.107833333333333
PEBP1	1.2965
TNFSF5IP1	-0.0045
DKFZp564N2472	0.12225
RMND1	-0.211375
IGKV1-5	3.67525
COL1A2	2.98408333333333
SERPINA5	1.005375
AANAT	0.0755
C19orf21	1.76266666666667
GEMIN5	-0.0495
UBR4	-0.197
LTBP3	0.8585
AMHR2	-1.10133333333333
PROCR	-0.36275
MYBBP1A	-0.54025
C20orf39	1.701
ZNF697	-0.76225
PASK	-0.4809
ZNF776	0.2195
RFXDC2	-0.19525
KIAA0467	-0.36325
C10orf96	-0.416
ZNF503	0.0275
GULP1	-1.02833333333333
KCNE4	1.826
DKFZp434K191	-0.957875
LOC196913	-0.166
BHLHB4	1.1635
CH25H	0.85525
LOC81691	-0.808333333333333
ALPL	0.3035
COL12A1	3.115875
FOLR3	-2.24766666666667
GPR123	0.14075
TRIM62	0.234214285714286
ABLIM1	0.795833333333333
MAST3	0.3965
RHBDD1	0.831666666666667
LOC338809	0.291
RYBP	0.65125
TTC26	0.022125
ZNF22	-0.0463333333333333
ISCA2	-0.1825
RDM1	-1.54075
PIGM	1.05975
GNB3	-1.4075
ACTR2	-0.0521
HMGB1	0.2482
EDG1	1.7685
SOAT2	-3.376
OR10AD1	0.1855
RAP1GDS1	0.343
LCE1F	-0.2115
ESM1	-0.781625
RCN3	1.915
CREBL1	-0.72525
DBNL	-0.1085
PTGER3	1.036
USP30	0.834166666666667
BCL2L12	-1.35883333333333
KIF26B	2.13375
ZNF416	0.776
ZNF225	0.134
C17orf70	-0.10825
ZNF554	1.06525
RAE1	-0.249333333333333
TNIK	0.750333333333333
ACTN3	0.366
MGC45922	0.882
CCNA1	-0.130166666666667
RYK	0.280666666666667
IL26	0.1575
LRP3	1.084
QARS	-0.177
SOX7	0.573642857142857
BID	-0.0455
OR2S2	0.0905
CXCL14	6.2445
C11orf47	-0.349
MGC29891	1.0015
HSPB8	2.3432
PRDM14	-0.5045
NUFIP2	0.06075
MNAT1	-0.454
ZDHHC2	-0.223833333333333
MBNL2	-0.510875
ADD3	-0.622125
CSNK2A1P	-0.1175
KLK6	-0.217833333333333
TMEM111	0.648
KIAA1279	0.57975
NUBP2	0.661833333333333
RAB42	-0.7165
ID3	-1.133
TM9SF1	0.0105
MDP-1	-0.1545
POU4F2	0.35275
IQCK	1.971
C16orf14	0.11175
CAPN3	-1.746375
FAM43B	-0.52775
RECQL	-0.757
AP1G1	-0.198928571428571
CTNNBL1	0.5565
ECHDC1	-0.858833333333333
SMARCC1	-0.3913
FOXQ1	-1.285375
GNAI3	-0.4285
POLG2	-1.88425
CD4	1.026125
ITLN1	-0.2915
EBI2	2.4615
IRF1	1.0355
PTPRE	1.2574
PTK2B	-0.32475
NXNL2	-0.4685
SOX4	0.539277777777778
TSPAN3	1.16083333333333
SH2D1A	-2.16316666666667
C8orf58	-0.348666666666667
USP20	-0.35075
DUSP22	-0.526
CALB1	-1.59816666666667
L3MBTL2	1.28441666666667
MCRS1	0.27975
TMEM118	0.0391666666666667
C18orf8	0.654666666666667
FLJ10241	0.35325
GJA12	0.611
PKD1	-0.115166666666667
ZFP3	0.3435
JAM3	-0.92275
LAPTM4A	1.5337
DIRC2	0.69875
KIAA2022	-0.128166666666667
MYOM1	0.1035
TRPM8	-1.1475
MOP-1	1.16675
PHKG2	0.2355
ZNF650	-0.023
KIAA1522	1.278375
PSG8	-0.722166666666667
DDX19B	-0.19
MOBKL1B	-0.17925
DIAPH2	-0.627416666666667
PTPN12	-0.08325
CLN8	-0.5498
CRYZL1	-0.278166666666667
CRY2	1.1865
FCGR2B	3.80483333333333
PNPLA4	1.611625
ZNF454	-0.4565
DKFZp434B1231	-0.3345
CLDN11	0.1253
RFWD2	0.556666666666667
CIB2	-0.870666666666667
MXRA8	2.726375
HRK	0.4275
MAML2	-0.43675
C4orf31	0.07575
C6orf192	0.6085
COG6	0.420875
FAM5B	1.9695
NFATC1	1.069
SEPT10	-1.202
SCYL1	-0.1328
RPP40	-0.682
SCOC	-0.1281
KIAA1450	-0.02225
CTDSPL2	-0.38575
TBX5	0.818166666666667
NAPG	0.238
RHD	-3.3955
C14orf45	1.674
ZBTB22	0.868
PLCG1	-1.156
ANKRD10	-1.19425
AQP7P2	0.43275
TAGLN2	0.123833333333333
HTR2C	-0.658666666666667
SLC16A7	-0.508166666666667
C17orf83	0.2215
TSGA14	-0.150333333333333
MDH1	-0.4555
PPP3R2	0.130666666666667
DCBLD2	-2.29857142857143
RBM33	-0.682875
DPH3	-1.77825
SYT10	-0.256333333333333
FMO4	0.692125
THYN1	-0.2735
DRD5	-1.3035
OTOR	1.03625
PGRMC2	0.0093
KATNAL1	-0.190625
PAQR6	-0.85075
UBE2I	-0.11725
C14orf28	-0.24825
C8orf70	-0.53825
FLYWCH1	-0.079125
ANGPTL3	-0.41225
GLRX2	0.217333333333333
ATP11A	-0.622285714285714
ARL5B	-0.31625
MUC16	0.33875
SLC25A5	-0.196
ACRC	-1.29275
MYO1C	-0.140875
FAM89B	0.864666666666667
FAS	0.038625
KIFAP3	1.30225
GLRA2	0.1595
BTN3A2	0.1202
CNKSR3	-0.6005
CSTF3	-0.649166666666667
ARPM1	0.57625
KIAA1530	-0.7345
C9orf150	0.783333333333333
PRKCI	0.24375
tcag7.1015	-0.42075
SOD3	-0.2855
ZNF574	0.588
CYP21A2	1.3375
RPL12	-0.25675
COMMD2	-0.81275
WIZ	1.46625
LOC344405	-0.3925
ALDH4A1	-0.0142941176470588
CRYAB	1.5355
COPA	0.763266666666667
PCDHGA7	0.3635
KIF11	-1.1955
RASD2	0.13475
SLC26A3	1.1895
ZNF175	-1.396
JAKMIP2	-1.843875
C8orf4	1.38233333333333
PTHLH	0.791
SLC40A1	2.36766666666667
OR7D4	0.177833333333333
PCDHB17	-0.1415
CD36	2.51378571428571
C6orf203	0.5788
PRKG2	-0.059
LOC400566	1.93325
ANAPC13	-0.419
SLCO3A1	-1.088
ZNF692	-1.7035
FANCL	-1.1375
SH3GLB1	0.181
C12orf61	-0.1155
KBTBD6	0.1045
SUPT5H	0.358125
XRCC6	-0.1203
HUS1B	-0.359
FAM133B	-0.3195
LOC728276	-0.2135
KCTD18	0.291
SOS2	0.523
CCDC99	-1.457
C1QTNF5	3.502
NNAT	0.9645
USP16	0.60425
LARS	0.2755
ZBTB2	-0.181875
ABO	0.065
TRAF3	0.01675
GALNT5	-0.0005
NAP5	1.34575
ALG14	0.553333333333333
KIAA0515	0.171230769230769
WDR75	-0.938833333333334
TEX261	-0.219583333333333
LY86	0.82
LOC389072	-0.631
FLJ13611	0.618
MRGPRX2	0.2735
SNRPA	-1.15825
OR2G2	0.5965
GPRASP2	0.50525
C7orf42	0.4885
C9orf163	-0.7495
CYP11B2	0.176
FCRL3	0.1295
PRDX1	-0.35425
FGB	-2.91733333333333
COX17	0.760833333333333
C16orf33	0.3355
PIWIL1	0.0496666666666667
FOLR1	-2.3795
KIAA0082	-0.2545
FREQ	-0.0228333333333334
TMCC2	-1.10216666666667
TCF12	0.0104166666666667
ZNF721	0.13425
FAM130A2	0.4715
POU4F1	-1.226
SNRPF	-0.11475
SGIP1	0.744833333333333
ZNF641	1.23133333333333
EMG1	0.16225
PRRG4	0.969
HIRA	-3.6965
MYNN	0.2425
AEBP2	0.328833333333333
TBXA2R	-0.108666666666667
ISL2	-1.11916666666667
PCDHB11	-0.3185
RNF144A	-0.23
MARCH5	-0.048625
DULLARD	-0.0748333333333333
DCLRE1B	-0.786833333333333
ITGA8	0.0655
TP73	0.415625
PRKCD	2.03
NDUFB4	0.154
ATP13A4	0.139625
ANTXR2	-0.507666666666667
COL4A3	-0.0745
MYO10	-0.6152
SLC6A18	0.17725
PEX1	-0.38975
TMEM74	-0.672333333333333
RBM19	0.17075
TAPBP	0.95345
RUNX1	0.27475
MID1	-1.9815
GPR64	0.694666666666667
RASEF	2.673
GABRG1	0.148875
MYO16	-0.65725
DBF4	-1.51866666666667
TSHZ2	2.10875
RIPK2	-0.484625
PPTC7	1.13216666666667
KIF4B	-1.047
LRRC31	2.78325
ZNF540	1.37975
EFNB3	0.00816666666666666
LOH12CR1	0.716375
STON2	0.876833333333333
GLP1R	0.064
CSTF2T	-0.400375
IREB2	-0.813625
GRSF1	-0.00675
PDCD7	-0.714166666666667
LRRC43	2.033
CNR1	0.115666666666667
IL1F7	-0.8
C12orf64	-0.065
FAM69B	-0.47425
NR2E1	-1.55883333333333
MS4A6A	2.2805
FTL	-0.2357
C7orf36	-0.39725
PCLO	2.2146
DYRK2	0.82575
ARIH2	-0.348
SAMD7	0.1465
SCNN1D	-0.919
SLC32A1	-0.34525
C22orf25	0.036
MRPS18A	0.0951
GPR112	0.2275
EARS2	0.01125
ERN2	0.294
ATPBD3	0.1215
PRH2	-0.771
CDKN2D	0.644833333333333
PGLYRP2	3.225
TRIM40	-0.0675
SEC14L3	0.0611666666666667
SLC22A1	-1.011
BTN2A3	0.00874999999999998
RASA4	0.474
CCNL2	-1.27491666666667
MYBPC3	0.3965
GJA4	2.7815
CDC42SE1	0.62
TRPV2	-1.10375
MYPN	-2.9901
SIM1	0.246
CDADC1	-0.190333333333333
ZFHX4	1.21575
NIBP	0.375
ADAMTS19	1.736
ABTB2	-1.73
TSPYL2	-0.469375
EIF2S3	-1.021
SOX30	0.173
AP2A1	-0.546166666666667
DKFZP564O0523	0.122
LOC285398	0.37275
CDH18	-3.8695
CHL1	1.48425
GATS	-0.3985
TBC1D2B	0.3675
OR1J1	0.152
GSN	0.588833333333333
DPCR1	-0.129125
GARNL4	0.245833333333333
SMARCA5	-0.66025
PLEKHG3	0.735
ZBTB45	0.7355
FRMD6	0.907
PLS1	-0.43
DGKZ	0.168833333333333
EFNA1	1.356
WDR85	-0.176625
ANK2	0.0605
PAGE4	-0.691666666666667
SENP6	0.765166666666667
AKR7A2	0.272
FKBP10	-2.15175
VEGFC	-1.92883333333333
LARP1	0.2268125
SRBD1	0.12825
ITGB6	1.82975
SLC1A2	-0.539714285714286
INVS	-0.802333333333333
MPO	0.125
MOBKL3	-0.1473
CUTL2	-1.114625
KLK2	-0.273833333333333
VIM	-0.576
REG1B	0.0145
PCDHGC4	0.2665
C3orf34	-0.1525
SUMO3	0.4455
CST9L	0.56975
MLL4	-0.16225
SPR	1.47166666666667
SAMD9L	2.0225
ABCE1	-0.83225
SUPT3H	-0.969
ACTBL1	0.7805
ADAMTS4	0.437666666666667
SLIT3	3.0555
RHEBL1	-0.4845
NPM2	-1.4095
MAN1C1	1.58725
KIAA1856	1.09991666666667
HSPA6	1.8265
LOC388152	-0.7005
C10orf140	-0.88175
ZDHHC12	0.068
LIN7A	-1.3292
PHC2	0.202833333333333
SPHK1	-0.565
TRIM26	0.486125
FAM83E	2.202
C18orf24	-1.01216666666667
ZNF578	0.235166666666667
ORAI1	0.17725
RUVBL1	-0.132333333333333
C7orf20	-0.693833333333333
APAF1	-0.937
SLC36A4	-2.268
MYH11	4.01183333333333
NEK1	0.7041
MPP2	-0.091375
C12orf24	-1.9815
TNK2	0.3985625
ZNF289	-0.2505
MATN3	0.912571428571429
IFNGR2	1.30283333333333
ITPR1	1.576375
EBF3	2.4379
TBC1D20	0.5389
OR10P1	0.2345
DDAH2	0.85275
SHPRH	-0.3865
STX7	-0.435
LOC554248	-1.80625
BCAR1	-0.0145
ATXN3	-0.147666666666667
TRIM27	-0.35525
CDC42EP2	0.06
CHP	0.158642857142857
SOX17	1.766875
ZNF259	-0.858666666666667
CHCHD1	0.119625
ZDHHC19	0.096
GBP2	1.591
GARNL3	1.27325
MRC2	0.11475
C1orf52	-0.8635
AOF2	-0.636166666666667
LRPPRC	-0.4263
ACVR1C	-0.0691666666666667
TM4SF18	1.739
TMEM169	-0.102666666666667
PPP1R16A	-0.356
EBF1	0.563166666666667
RRS1	-0.769333333333333
SNX2	0.34325
OR2T2	0.287
RBX1	0.159
ANKRD54	0.6165
TSNAX	0.707
TMEM83	-1.775
ZBTB7A	1.09475
ATM	-1.42425
LOC338328	1.9715
TIE1	0.969833333333333
