Hybridization REF	TCGA-AR-A0TV-01A-21R-A084-07
MGC3771	2.3415
GH2	0.1025
BTBD2	-0.07275
LMO2	-0.23475
RDBP	0.34225
ACRBP	-0.928
AMY2A	1.178
DUOXA1	0.8415
PTK7	1.66016666666667
TWF2	0.7095
FAM80A	-2.98125
TNNI2	-3.1775
GLT25D1	-0.0358333333333333
OCC-1	0.22075
CYC1	-1.01766666666667
RPL22	-0.123681818181818
MORN3	2.39933333333333
DISP1	0.3195
PRB2	-0.2345
CHUK	-0.153
HR	-1.3595
CCDC134	0.893875
DENND4B	-1.03375
C14orf130	-0.297875
RAB33A	-1.479
DCST2	-0.0305
TNMD	-2.5045
PEX7	1.425
FAM62A	-0.45025
SRD5A2L	1.24175
IL22	0.126
RPS26	-1.064
HOXC5	0.449
SPATA6	0.91675
FLJ38482	1.802875
ZNF234	1.099
C18orf22	0.106
SPATA22	0.045
THOC1	0.273
CYP7B1	3.34775
KCNC3	0.15
C8orf42	1.4385
ALDH1B1	0.03
CCDC100	-0.4698
ARMC4	-2.7125
FAM18B2	0.56925
SLC44A1	0.787625
FBXO17	0.739833333333333
C6orf107	0.34525
C19orf29	-0.2695
ZC3HAV1L	-0.0055
PARP6	-0.0533
SULT2A1	-4.850125
C1orf159	-1.04575
TMC1	0.36975
CHST14	0.00125
GAMT	-0.0596666666666667
SMCP	-0.0616666666666667
TSPAN33	1.46916666666667
MIDN	-0.449875
NOX4	0.895
RNASEN	0.1768
TBX1	3.14833333333333
SALL2	0.499
C10orf35	1.9905
CYP2E1	-0.639625
LRFN2	3.23116666666667
ACO1	-0.891833333333333
IQCG	1.7531
MEGF9	1.2415
TM7SF4	3.415
PLEKHA1	0.6186
STK33	-2.79425
C1orf210	3.40225
SNUPN	0.053
KIAA0406	0.1727
C20orf29	-0.3105
TMEM55B	0.33525
OSTM1	-0.43825
CLCN7	0.29425
OTP	-0.0365
FLJ23049	-0.508
HEATR4	0.8055
MAP3K10	0.790833333333333
PCDHGA9	0.0365
AMDHD2	0.103
LCTL	-1.524
PDCD2L	-0.8185
CABLES2	0.146
SLC5A9	-0.6215
CLCA2	-2.68066666666667
MGC16025	0.15
STRAP	-0.333166666666667
C20orf196	-0.4905
RRBP1	0.409833333333333
NAT13	-0.2595
MAT2B	-0.48325
CSNK1D	-0.819166666666667
KIR3DL1	0.43625
PRKAG3	0.482
ZNF599	0.3385
PRM3	0.5775
PER2	0.824833333333333
ASPHD1	-3.4675
PRMT6	-1.07875
KCNE1L	-1.34171428571429
FAM118A	0.564833333333333
TAF4	-0.13775
NDUFB6	-0.84875
TRIM9	0.850666666666667
PMFBP1	-0.07875
KY	0.908
DKFZp762E1312	-1.79818181818182
CSMD1	-1.4625
TBP	-0.326666666666667
OR1Q1	-0.122166666666667
RETNLB	0.328
HPGD	-0.517642857142857
DNAJC12	3.83033333333333
FKBP1B	-2.843
ANKRD24	-0.0431666666666667
CXXC5	-0.1235
IL3	0.201375
DRAM	0.2189
PTCH1	-1.908375
TP53BP1	-0.19175
SLC17A7	-0.171375
COL25A1	-1.0385
AMACR	2.08966666666667
RHCG	-0.2675
VPS13A	-0.751583333333333
FAM55D	0.4325
PRPF38B	-0.794833333333333
OSBPL6	-2.6505
PFDN5	-0.1582
CMTM6	0.7355
KCNK12	-0.28275
RP2	-0.4685
C16orf52	-0.963
PICK1	1.4995
IFNE1	-2.00933333333333
SEMA4B	0.18225
TYRO3	-1.76475
OR12D2	-0.4055
CSNK1A1	-0.2496
FANCF	0.08
LONP2	-0.1065
TBL1Y	-0.44975
LDOC1L	1.26475
CCNC	1.165
C3orf60	0.72275
CHKA	-0.95825
UBAP1	-0.17975
MAP3K1	-0.1565
ANKRD9	-1.93975
FAM92A1	-2.39816666666667
GAB2	2.517
AZU1	-0.273
DIS3	-0.5105
C21orf109	-1.387
IQCB1	-0.15925
SPATS2	-0.757166666666667
EFCAB3	-0.57275
PRB3	-0.33975
FUZ	0.688
ZNF813	0.3975
BMPER	-1.2665
HEG1	-0.61025
ALS2CR11	-1.7915
SURF2	-0.28275
PSMC1	-0.21975
OR2D2	0.3175
SLC7A8	2.20733333333333
C4orf40	0.1835
SPATA7	-0.49525
MAZ	-0.0945
PIN4	0.14275
PDE1A	-1.450375
TAF6L	-0.580666666666667
OR2T34	0.334
KIAA0284	-0.23075
ACADS	0.764909090909091
MKRN2	0.1675
C18orf56	-0.82425
MS4A6E	0.108666666666667
GALNT4	0.5257
C22orf31	-0.2355
FLJ36070	0.2825
PSME4	0.72475
TFG	0.5696
EPHX2	0.99325
ANXA5	-1.450125
KRTAP1-1	0.2015
BATF	1.312
KARS	-1.31075
MSTP9	-0.0835
GPR26	-0.160875
CCDC72	0.45325
TEF	0.1095
FOXK1	-0.8879
PRLHR	-0.435
EMX1	0.73025
C11orf30	0.441125
ICK	0.91275
THSD7B	-0.2875
C21orf100	0.4075
DUOX1	2.208
EFCAB4B	0.58475
UBE2G2	-0.292333333333333
C3orf54	-0.65525
PARP1	-0.0635
FAM60A	-1.72808333333333
C6orf146	-0.17475
OR9K2	0.3575
DDX55	-0.934
RPS15	0.0868333333333333
ZNF618	0.19825
DKFZp686D0972	-0.12025
SSPO	-1.506
SHFM3P1	1.19266666666667
CPA6	-0.68275
JAG2	0.15525
DEFA3	0.37125
PPBPL2	0.177666666666667
CD34	3.57825
SLCO4A1	-2.661125
AFG3L1	-1.84666666666667
SHD	-0.95675
RP13-122B23.3	-0.509333333333333
PRKCSH	-0.261
DPH5	-0.0466666666666667
HLA-F	2.16075
TBC1D4	-1.69425
RIG	0.0316666666666667
GLUD1	0.372166666666667
HNRPCL1	0.546125
HBXIP	-0.286
RNF207	-0.1865
APIP	-1.16625
PLA2G3	-2.713
CCDC84	-1.8635
MYLIP	0.694307692307692
PHIP	0.6815
AARS2	-0.4115
DHX32	0.04925
SCAPER	-0.000666666666666658
MEN1	-0.204
NIP7	-1.6215
FLJ25404	-0.141
FASTKD3	-0.106
TMEM158	-3.32391666666667
RARA	1.13275
BDH1	0.9985
ANKRD16	1.524
CARM1	0.6765
SS18	-0.0771666666666667
IKZF2	-0.7265
MYD88	0.814875
PML	-0.192
TAF1A	-1.45975
CBFB	-1.130125
HIST1H3H	-0.967166666666667
C7orf29	-1.977
COMMD4	-0.565166666666667
DPP3	-0.053
DAB2	-0.200375
LOC388882	0.029
YPEL4	-0.772875
AGBL3	0.66375
LRP6	0.084
SERPINH1	-1.62708333333333
TLE1	-2.6575
CD244	1.53633333333333
ZDHHC15	-1.611
MGLL	-1.6054
PLDN	0.322416666666667
LOC654346	1.4115
FAP	1.30475
GPR37	-2.1525
SCARA5	-0.192333333333333
EBF4	-0.225909090909091
LSM6	-1.03875
MLLT1	0.4854375
SLC5A12	0.366
A2BP1	-1.77466666666667
COPS5	0.0381666666666667
TPM4	-0.241714285714286
TNFSF4	0.0718333333333333
ACADSB	1.60766666666667
HERPUD1	0.8505
BCL2L11	-0.280722222222222
CEP78	-1.425625
CDCA3	-0.5695
WBSCR19	-0.6613
MYO1A	-2.356
PPEF1	1.55683333333333
LOC440348	-0.28775
CPEB2	1.543875
BPTF	-0.333
RPL21	-1.11075
GSX2	0.4175
ADPRH	1.997
C17orf68	0.439666666666667
KCNS1	-0.944666666666667
MLLT6	0.0523
PIWIL4	-0.13825
RNF26	-1.109
RAP1B	0.14325
ADAMTS1	-2.894
ZNF571	1.00775
P2RY6	0.098
TRIM21	0.541833333333333
CADM3	-0.07375
NLRC5	1.45066666666667
ADRA2B	-0.485666666666667
LOC90835	1.203375
PCF11	-0.6715
LOC400451	1.30775
GLTSCR1	0.4253
C17orf88	-1.04466666666667
CDH16	-1.821
FGF7	1.48975
PCSK4	0.54
NPC1L1	0.1795
TAT	-0.1755
TBCA	-0.58175
MGC33407	-0.06475
GPR115	-0.955125
CYGB	-0.2775
FNBP4	-1.94466666666667
C12orf43	0.48525
CBL	-0.7896
CLECL1	2.3025
PPAPDC1A	-1.8305
WDR25	-0.0186666666666667
SGCA	-0.16
C22orf29	0.951333333333333
YIPF1	1.5515
GALK2	-0.04175
RAB3B	-2.18533333333333
LOC440087	-0.922
UCP1	-0.4165
REEP5	1.129875
FADD	-1.021
FOXA1	2.965375
CACNA1A	0.076
ABI1	0.6225
GRIN2D	0.454
SLC1A4	0.366833333333333
LOC401127	0.12075
HINT2	-0.45825
PLD4	0.393333333333333
ZNF286A	-0.4045
ENY2	0.6875
IL1F6	0.4605
PXDNL	1.8495
C20orf79	-0.344666666666667
TNFSF13B	3.33766666666667
DENND3	-0.30875
JARID1D	-3.18
HIST1H2AK	0.38025
LOC93349	1.5909
SSH1	-0.5838
ENSA	1.32
LOC219854	0.553833333333333
CKAP2	-1.127
DKFZP564J102	-1.44233333333333
MGC87315	-0.391
HNRPAB	0.09025
AMH	-1.7755
ZNF526	0.595
BRUNOL5	-0.1726
CACNG3	0.188
TRPM1	-1.0955
PPP2R1A	-0.333
COL2A1	-0.24425
DDN	0.126
FLJ25770	-0.165333333333333
HK2	-0.5665
ELOVL6	0.006
MDK	-1.79175
EPHX1	0.67575
RASSF2	0.625
DKFZP434B0335	-1.0965
DLX3	-0.845
PRTN3	-0.72425
AVPR1A	0.00599999999999999
C21orf125	-0.35975
TNFAIP8	-0.899833333333333
GNB2L1	-1.12725
CALCRL	3.13625
SCGB2A2	0.073
UBXD7	-1.38777878078145e-17
ZNF674	-0.195
TMEM35	-1.009625
BRSK2	0.397125
HECTD3	-0.0546666666666667
TMEM188	-0.51675
LGALS9	1.746
SCARB2	1.26175
USP34	0.812333333333333
C17orf28	1.88116666666667
ZDHHC23	-0.07
AQP12B	0.0345
SLC16A3	-2.265375
APLP2	-0.19225
ITIH2	-5.845
MICAL3	-0.433625
TNNI3K	-0.1589
HDAC2	-0.17975
PRR7	0.5022
THBS2	-1.681875
LOC751071	-0.922833333333333
CA2	-0.834833333333333
RANBP17	0.2725
RLN3	0.0495
CRYZ	-0.135833333333333
GBAS	0.630833333333333
TAS1R1	-0.482
MPZL3	0.8795
PCDH8	-1.9185
HSP90B1	0.338666666666667
KCNK15	0.8995
TNIP2	0.547666666666667
GPR146	-1.0565
NOL6	-0.162625
SPC25	-1.98544444444444
STEAP2	3.05607142857143
VAMP3	0.215333333333333
TCIRG1	0.81475
ZP4	-0.0743333333333333
PARL	-0.141625
TRIM39	0.726666666666667
KIAA1305	0.98475
CRNN	0.204
GRN	0.74625
HSH2D	2.395
SCAMP1	0.9039375
KIAA1913	-0.39475
PTS	-0.56925
BANP	0.0252857142857143
PRKACG	0.34575
ADCY6	0.3595
C16orf46	-0.249
CYP51A1	-0.270625
DDC	-5.40875
ANPEP	-1.89583333333333
PROM1	-4.00716666666667
SIGLEC10	2.29175
COPG	1.198
FAM26E	0.749125
TRIP4	-0.0275
SNX3	0.653833333333333
C1orf175	1.02133333333333
PPY2	0.1405
C14orf152	0.044
FTSJ1	-0.3425
DST	-2.1947
LOC554235	-0.057
GLRX5	-0.216
C20orf12	1.6461
CAB39	0.496666666666667
MSH2	-0.783833333333333
PIP4K2C	0.4405
CYLD	1.142375
WTAP	0.2354375
MGAT4A	3.01222222222222
TSC22D4	-0.4429
CHRM2	-1.975
PPYR1	0.0546666666666667
CCNH	-1.211
RRM1	-1.14975
ECAT8	-3.63575
LOC400120	-0.02925
GABRA4	-0.16025
C14orf4	0.272
C1orf59	0.56725
CTDSPL	0.995916666666667
NHEDC2	-2.186
PDE11A	-1.6815625
KLHL29	-2.80275
CD5	0.1566
TSPAN9	1.0375625
WDR67	-0.50775
THUMPD1	0.6202
C18orf17	0.489
CLYBL	-0.552166666666667
FLJ13231	0.2445
CMBL	1.416375
LECT2	-0.39825
NKAPL	1.28916666666667
LOC654780	0.4675
OR4C6	0.4715
RAB30	2.157
TSSK4	-0.2035
TMEM163	1.82
OSBPL11	0.606416666666667
GNB5	-0.116666666666667
CCL21	1.16325
C1orf121	-0.634
FMO2	2.02783333333333
RPTN	-0.162
MSTN	0.134
VCL	-0.629285714285714
FYTTD1	0.29425
C11orf1	-0.55075
CCDC88C	-0.5526875
HFE	0.329833333333333
MOGAT1	-0.218
FAM125B	1.16066666666667
IRGQ	0.085
RAVER2	-2.72375
AKAP5	0.1395
SSSCA1	0.311
C11orf63	-0.366875
ACTG2	-1.5695
PORCN	-0.9415
DTL	-0.576
TMEM151	0.41125
FAM122C	-0.7
RSAD2	3.5555
BAT4	0.3545
KRTDAP	-0.484333333333333
MYH8	-0.220875
CRTC3	0.73725
LRRFIP2	1.3514
INTS4	1.55883333333333
TTN	-1.10116666666667
SLC26A5	0.3555
PLLP	-1.989
RGS6	-0.11725
SRGAP3	0.27425
ZNF525	0.0283333333333333
NBR2	-0.568833333333333
C13orf1	-0.1894
ZNF137	0.441
CEP27	-1.31625
BEST2	0.4885
RNF121	-1.15875
DMRTC2	-0.0555
C8orf76	0.42675
BCCIP	-0.22575
MEST	-1.02975
HTRA2	-0.116
ANGPTL2	-1.6545
ILKAP	0.152
ERAS	0.1745
HBS1L	0.388625
CPA5	-0.118
TMEM30A	1.024
CD300LF	2.76916666666667
WISP3	-0.054
CRK	0.519642857142857
PDS5A	-0.0656
BRPF3	0.573333333333333
NEDD9	-1.579625
SMPDL3B	1.40225
PSG6	-1.709
PSMD13	0.47375
ETV5	-2.756625
OR51A4	-0.147
BTBD7	0.136416666666667
GSTO1	-1.662
hCG_16001	-0.2925
MAD2L1BP	0.085
COX6A2	0.5375
SCNN1A	2.18916666666667
LSM1	-0.191
UGT2B11	-4.339
IDUA	0.73925
PPP2R3C	0.7925
COX11	-1.09183333333333
PDZK1	-2.827
ZNF443	0.155
MGC21874	0.994666666666666
ZNF323	3.0555
KRTAP10-10	-0.109
CXCL6	-0.3395
SLC34A2	0.1104
LOC284402	-0.0345
NPTN	1.85033333333333
UPP1	-2.04108333333333
SLC6A9	0.3225
OR7G3	0.0595
CISD1	-1.02983333333333
ZNF545	0.5355
SYT14	-0.5475
NT5C3L	0.8205
ZNHIT3	0.125166666666667
SNRPD3	0.87925
KIAA0701	0.616
UNC93B1	0.260166666666667
GMNN	-0.94775
SPCS2	-0.0986666666666667
LOC388524	-0.547
NAPRT1	0.067125
PNLIPRP1	-0.15
OR6V1	0.315
PRKAB1	0.20975
EYA4	-3.26833333333333
KIF20A	-1.66575
ALG10	0.436
ITPKC	1.40116666666667
LMX1B	1.853
RPUSD4	-1.50933333333333
C7orf34	-0.2365
DLGAP2	0.281375
PFN1	-0.3911
MICALL2	-0.891083333333333
ZNF654	1.021
SS18L1	-0.59925
SLC16A8	0.1425
MKI67IP	-0.270666666666667
ITGB3	-1.553
TCEA3	3.36741666666667
CEP152	-1.6658125
CLIP1	2.723375
ZNF75	0.185125
ATP5C1	-0.141
NUDT5	-0.720666666666667
PSCDBP	1.106
UBP1	0.22
RBM27	-1.5055
C13orf15	1.715625
ZNF282	-0.661333333333333
ZNF222	-0.0247
COL10A1	4.024
PRDM15	0.01125
TTTY5	0.0695
FAM9C	-0.5445
C20orf67	-0.01725
GNG13	1.905
F12	1.1915
C1orf41	0.1465
CPXCR1	0.2295
GSK3A	0.778125
SUPT6H	-0.0926666666666667
PI16	-0.783333333333333
ELL2	-2.336
C9orf167	-1.50433333333333
PVRL3	-3.465
FLJ38596	1.84075
ADAM20	-0.34725
GPR89A	0.543
GPR87	-2.836
ZNF30	0.8005
SMR3B	-0.34775
ZNF770	0.25875
TRPC4AP	0.388666666666667
DKFZP686E2158	0.0958333333333333
C2orf28	0.461
FREM1	-1.20483333333333
LAMA4	-0.442666666666667
ADPRHL2	0.09825
EIF4G2	-0.293333333333333
GUCA1A	-0.8965
CTNNA2	-1.659
NUDT15	-1.57166666666667
CEPT1	0.104333333333333
ZNFX1	1.0666
CCDC92	0.16325
TDRD1	0.096
KCNK5	-2.0695
ETNK1	0.25225
LTA	0.788
TTPA	-0.013
B3GALNT2	-0.066125
SC65	0.957166666666667
PEX5L	-1.214875
EPS15L1	0.05475
MGEA5	-1.297625
HIST1H3A	-0.392
ING1	-0.5905
BCAT1	-2.536875
ORC6L	-2.36481818181818
KLK11	-5.83066666666667
C19orf28	-1.54825
DNER	-4.98975
MED22	-0.591571428571428
ETV6	0.78575
CHAC2	-1.325
CD300E	0.259
CEBPB	1.30233333333333
ZNF398	-1.264
LRCH3	0.172
HMGA1	-1.676
CAPN7	0.561333333333333
MGC5566	-2.56675
CCL3	3.027375
NANOS1	-0.828125
ZFYVE19	-0.07825
APITD1	0.698166666666667
PARD3	-0.107375
IRAK4	0.873
SERPINI2	0.1045
CEP170L	-1.18
TTC9	1.621
MYOM3	-1.41925
MLPH	1.148125
LOC222699	0.0125
NRG1	-2.18008333333333
TBC1D9	3.24236363636364
TTK	-0.744166666666667
ZNF557	0.5881
DDX41	-0.835833333333333
FANK1	-0.921
UBE2D2	-0.50725
PSMB10	0.35675
MYH7B	0.5025
GABARAPL2	-0.04125
MARVELD2	0.709666666666667
DGCR2	1.29133333333333
UNC45A	0.108166666666667
C6orf72	1.108
ZNF683	4.46525
GIT2	0.334125
CASK	0.798666666666667
C14orf161	-0.605
LRRC44	1.69175
TIFA	0.21325
UTP11L	-0.696375
C6orf65	-1.00675
FDPS	-1.07775
DUSP9	-2.1517
SLC17A8	0.052
OR51G1	0.2095
NANS	0.50025
OLFML1	1.142
ATP10B	-0.61325
NPAS3	0.885
PRKCA	-2.6064
GGA2	1.1793125
LCE4A	0.3285
SPANXN3	0.041
CCDC115	1.069375
SDCCAG3	-0.94975
GLIPR1L1	0.11275
TTC1	-0.728
C17orf76	-0.35425
MAD2L2	-1.171
HIPK1	-0.1313
LRRC3B	-0.349
CLN3	0.165090909090909
C17orf47	0.0485
FMN2	-3.07425
TUBB1	0.220625
WAPAL	-0.342166666666667
C3orf21	-0.65125
SCN5A	-0.7359
SMYD1	-0.1435
BEX5	3.4695
ZNF192	-0.148
SEC22A	0.251166666666667
GRIA2	0.153
KIAA0825	-1.34675
NUSAP1	-0.799363636363636
LANCL1	-0.023
C15orf40	-0.5382
ZNF645	0.085
GPR61	0.3655
NLRP14	0.046
SNX21	0.6426
C1QTNF8	0.165
C17orf46	0.31225
IFNA8	-0.779
SPRR1B	-1.85083333333333
FLRT1	-1.24375
SNX17	0.720666666666667
ASB2	-0.62
HBG1	-5.5735
RPRML	-2.27725
JOSD2	-0.177666666666667
PLSCR3	-0.45675
SPOCD1	-2.1655
RAB39	-0.1755
GHRH	-0.116166666666667
ITIH5L	0.3605
C17orf37	0.87775
SMCR8	0.45975
DPY19L2P3	-0.1945
IL11RA	-0.6325
GDF3	-3.905
RPS6KB1	-1.14
DNAJC19	0.5041
TOP1	-0.14025
CRCT1	-0.2155
MPST	0.27575
DPM2	-0.036625
FAM38B	-2.26516666666667
SLC18A1	-1.85183333333333
FARP1	-0.184166666666667
PAX7	-0.061
TUBD1	-1.12
GNL3	0.383625
BTG2	2.32653333333333
NDUFS6	0.37
C1orf79	-1.22875
ERAL1	-0.24575
ECHS1	0.40525
VPS4A	-0.492
CYP11A1	-1.137875
ABCC6	0.432285714285714
PBX4	-2.506
MOSC1	-0.56925
NCF4	1.00525
HYMAI	-1.0325
NAGPA	0.2305
OTOP2	0.043
ACOT12	-0.00250000000000001
MTHFD2L	-0.37875
LOC441376	6.3455
C19orf34	-0.0345
RAB1B	0.99925
ALDOAP2	-1.066
NTRK1	-1.85416666666667
ARTS-1	-0.3355
SLC6A11	-1.04
NAP1L2	-0.9535
CNGB1	0.129666666666667
EPB41L4B	0.558
FAM134B	6.0695
HS3ST3A1	-1.65416666666667
CPXM2	4.1055
SIRPB2	0.448
CHORDC1	-0.339833333333333
TRIB3	-0.217333333333333
SLC2A5	1.216
C2orf49	-0.808833333333333
DDX5	-0.36
OR5L1	0.648
ANAPC4	-0.871166666666667
ZSWIM1	0.959375
LOC93622	0.200625
KCNK3	-0.4792
RP11-35N6.1	-2.494875
ZFP161	0.389833333333333
AQP9	3.893
SLC15A2	1.34566666666667
MREG	-0.0376666666666667
OR9I1	-0.125
PDLIM2	-0.214
ADAM7	0.0725
GSTCD	0.1175
WDR21A	-1.01875
SLC12A8	1.92916666666667
TMEM174	0.1055
IGSF3	-1.3975
LRRN1	-4.29025
LOC402117	0.32275
SRPK1	-0.639333333333333
LY6K	-2.25073333333333
NFIA	2.3465
PTCD3	-0.42425
LEP	0.1335
PCDH21	-0.402166666666667
MAPKAPK2	0.468357142857143
NMNAT1	0.796
LHFPL2	0.449125
C9orf43	2.3105
DIP2A	-0.1195
ACTR8	0.1885
CCDC34	-0.338
PTPN22	-0.0045
ITGA3	-2.198875
FAM129C	0.4005
RABGGTA	0.0441666666666667
UNC45B	0.46975
KIAA1033	0.0495
ZNF510	0.624833333333333
CYP2D6	-0.5785
SLC26A10	-1.15
STX8	-0.40325
LUZP1	-0.15825
WDR89	-0.592666666666667
EIF4G3	-0.7014
C5AR1	1.479375
ZNF623	0.472
A2M	0.31975
TGM7	-0.215
GRPEL1	0.350666666666667
LMNB2	-1.0817
ROCK2	-0.397833333333333
SNX16	-0.516375
CCDC66	0.67075
ANXA3	-4.75275
KIAA1609	-0.69575
EED	-1.628
RNF32	1.20166666666667
HES1	0.4797
CLC	1.47
ISL1	-0.774333333333333
KIAA0528	0.762625
MANEA	2.298625
C1orf61	-2.3955
hCG_2001000	-0.17025
RAPGEF6	-0.7252
KIAA0020	-1.50716666666667
NEIL1	0.99625
C16orf45	0.573375
RBM10	-0.383166666666667
C10orf125	-0.05525
MRS2L	0.256
DNAH17	-0.617875
C19orf10	0.2815
C1orf160	0.12825
SLFN12	-0.2835
EXOC3	0.388
HIST3H3	-0.05175
NCOR2	0.606833333333333
TNFRSF9	1.6935
MFSD8	0.8645
ALX1	-3.65983333333333
NOL1	-0.814
PODN	2.0115
TIAL1	-1.373
HIST1H1E	-1.7085
NPY6R	2.76375
TM4SF4	-0.63775
CORO2A	0.175
ETNK2	0.679333333333333
APOE	0.2822
ANGPT4	0.082
HDGF2	0.116
G30	-0.278
ST8SIA4	-0.11125
F2RL1	-2.561125
FAM19A4	-3.27275
CCAR1	-0.39325
B3GNT7	-0.096
OPHN1	-0.0903
DSCR6	1.9525
C21orf13	0.763833333333333
GAS2L1	0.829
RFX3	0.048
COPS4	0.59225
BCHE	-3.3935
BCL2	3.63625
HBZ	-3.2125
ARL13B	0.107875
MAPBPIP	0.232625
MYO15B	-0.084375
SPZ1	-0.79625
KIAA1324	0.453777777777778
PLCL2	0.480375
C4orf29	-0.27475
WDFY2	-0.78725
ZNF284	-0.393
NAALADL1	-0.1425
DUSP5	1.02633333333333
PXDN	-0.399625
SLMO1	0.72575
TNXB	0.2221
BIRC7	-1.4185
A4GALT	-0.4825
TIMM22	0.04625
FAM110C	-1.99225
TOMM34	-0.07875
ABHD9	-0.488
ADAM32	0.2185
CRHBP	-0.05
AQP2	0.126875
LOC130355	1.13175
ZNF187	0.73
ZNF816A	0.0285
F7	-1.25725
CNOT1	-0.6609
SLC13A4	-1.094
ZBTB11	0.42125
B3GALT5	-0.27625
EXOC2	1.053
IRS1	-1.0012
TMEM1	0.0328333333333333
MRPL34	0.223333333333333
SAMM50	0.3575
CDC42EP3	-0.985625
HSF2	-0.0824
MFN2	0.345
TSPAN7	-1.7055
NUCB1	0.311166666666667
RHOH	-0.03075
ARL16	0.0905
TACR1	0.33225
SFRS5	-0.645333333333333
SNX25	0.415125
RHBDF1	0.516833333333333
PCDH18	0.791666666666667
HMG1L1	-1.11425
MYO5C	1.10375
MAPK10	3.126
LDHAL6A	0.0745
NUDT12	0.345
NCAM1	-0.405125
GLIS2	0.023
GGTL4	-0.6975
DAPP1	0.92725
ATF7	0.5035
KIAA0748	-0.43475
NFIL3	-2.3975
TM6SF1	1.1486
SEZ6	0.1745
NANOS3	-1.013
DNAJA3	0.882833333333333
CLDN6	-3.0855
CIITA	2.8612
EPHA4	-1.84725
FANCC	-0.43225
CMTM3	-0.403375
PSG3	-0.438125
MRPL15	-0.231
C21orf59	0.51775
PLCXD2	-0.0495
C2orf34	-0.0512499999999999
UBE2L6	1.212
MED14	-0.00949999999999999
HP1BP3	-0.3688
C6orf208	1.4595
TPBG	-2.00675
OSR2	1.7675
XPC	0.450666666666667
KLHL7	-0.288916666666667
CCR3	-0.191
AGTPBP1	-0.0316666666666667
PCSK6	1.39886666666667
STAT5A	-1.5868
FAM18B	1.02025
LONRF2	2.97816666666667
PTPN2	-0.24125
SF3A3	-0.778
EFCBP2	-0.67525
HCFC1	-0.00633333333333333
AHNAK	-0.81215
ACTR5	-0.132
KIF14	-1.49542857142857
TENC1	0.55075
HEATR5B	1.8745
YIPF2	1.00383333333333
MYEOV2	0.257333333333333
DUSP18	1.34425
KIAA1012	0.61925
AHR	-0.527666666666667
C17orf53	-0.910333333333333
PTPRH	-4.43175
ATP6V1C1	2.7336
TAS2R3	-0.117
LOC440356	-1.03925
COQ10B	0.5115
PSMF1	0.67675
SORBS2	-1.59716666666667
NFE2L2	0.182
TMCO7	0.14775
SH3PXD2A	-0.8226
SH2D2A	-0.66225
SPINK5	-0.17175
MRPS24	-0.26175
OPA3	0.046625
TRAF7	0.581
C4orf35	0.232666666666667
MT1G	0.99325
MGC39545	0.37525
HS1BP3	0.5437
OR2B2	0.0275
CHRM4	0.2755
SFRP2	0.6595
RIC3	-1.08725
ART1	-0.11
C6orf1	1.573875
DUS4L	-1.00175
C10orf104	0.7235
TNFAIP6	1.00825
RTEL1	-1.20875
CCT4	0.1706
ZNF709	0.38825
CHMP6	-0.0253333333333333
UPP2	-0.025
CYP19A1	-2.455125
CD151	-1.57433333333333
NDUFA13	-0.116
ARFRP1	-0.578833333333333
FAM26B	1.1865
CRYBA1	-1.6655
MRPL41	-0.270833333333333
NPFFR2	-1.784875
HRH2	0.1395
SCAMP3	-0.002
MTMR6	0.3072
MTG1	-0.7785
UBTD1	0.0145
CRABP1	-3.223
FLJ33790	-0.3634
KIAA1908	-0.537166666666667
GPR158	-3.516
PACSIN3	-1.5685
OMD	2.5395
CATSPER1	-0.467666666666667
HOXB8	-0.898375
FBXO46	1.405
OAS1	2.66533333333333
SVIL	-1.29025
PHB2	-0.7805
ADCY3	0.7835
NDRG2	1.76983333333333
ERMAP	0.4128
APBA2	-2.01916666666667
IGSF9	0.20775
WNT6	-0.919928571428572
MYCBPAP	2.3605
ATP2B2	-0.3234
CPVL	-0.5494
TRAM2	-1.23833333333333
NOP5/NOP58	-0.77125
ZNRF4	-0.1995
TLK1	-1.147625
MTMR12	1.32642857142857
ZNF384	-0.132666666666667
FAM9B	-3.19175
RPN1	0.6329
PMVK	1.16
EIF3D	0.2787
SIX2	1.99825
HPS1	-0.108571428571429
RNF7	0.797
PSKH2	0.4115
KCTD13	0.198333333333333
CSMD3	-0.4333
FBF1	0.2125
IL8	-4.68225
SERPINB13	0.3675
FBXL20	0.433
BLR1	0.26875
SH2B1	0.259166666666667
RFNG	0.013
RAB20	-0.1675
RBM7	-1.55025
POLR1A	0.1255
TMPRSS4	2.8745
TAF9	-1.344875
TERF2	0.00583333333333333
TNFRSF1A	-0.0685833333333333
ACADVL	0.235166666666667
GTF2H5	1.04
EDG8	-0.622
C9orf140	-1.418625
UST6	-0.14625
ZBTB8OS	-0.00574999999999999
ZNF710	0.307
GPR174	-0.9135
ATP6V0A2	-0.97025
KIAA0319L	0.694083333333333
XKRX	1.2
DOPEY2	2.2359
SDHD	-0.661833333333333
SUMF1	2.18425
OSM	3.4185
OPN3	-2.34225
DAGLB	-1.15416666666667
PPFIBP1	-1.7487
TRIM63	-4.976
C10orf53	0.289
LYPD3	0.520333333333333
BCL7A	-0.074
AGER	-1.16083333333333
TCF19	0.708375
SAT2	1.23625
PFTK1	-2.17816666666667
GABRE	-3.88025
C15orf38	1.6115
