Hybridization REF	TCGA-AN-A0FV-01A-11R-A00Z-07
ZNF384	-0.38
FAM9B	-2.95975
RPN1	0.1662
PMVK	1.4135
EIF3D	0.3529
SIX2	2.161
HPS1	0.808857142857143
RNF7	-0.11125
PSKH2	0.5205
KCTD13	0.564333333333333
CSMD3	-0.8278
FBF1	-0.132
IL8	-3.54
SERPINB13	0.18675
FBXL20	1.42575
BLR1	0.6785
SH2B1	-0.490666666666667
RFNG	-0.073625
RAB20	1.38366666666667
RBM7	-1.34475
POLR1A	-0.675166666666667
TMPRSS4	-2.31375
TAF9	-0.94925
TERF2	0.353166666666667
TNFRSF1A	-0.046
ACADVL	-0.437
GTF2H5	0.21175
EDG8	0.107166666666667
C9orf140	0.504125
UST6	0.36575
ZBTB8OS	-0.52775
ZNF710	0.574
GPR174	-2.115
ATP6V0A2	-0.30875
KIAA0319L	0.377166666666667
XKRX	0.231
DOPEY2	0.8421
SDHD	-1.04766666666667
SUMF1	1.02525
OSM	1.38575
OPN3	-0.2515
DAGLB	-0.1225
PPFIBP1	1.4156
TRIM63	-1.5035
C10orf53	-0.021
LYPD3	1.87033333333333
BCL7A	0.07025
AGER	-1.24416666666667
TCF19	-1.10725
SAT2	0.0495
PFTK1	0.661333333333333
GABRE	-2.302625
C15orf38	0.8486
FIS1	-0.1635
KCNV2	0.1695
CLPS	1.532
PPCDC	-1.269125
FOXN2	0.183333333333333
NT5E	-2.6091
CD83	-0.34325
IL18	-0.927125
VPS16	0.22175
IGFBP2	0.0785
NOTCH2	-0.072
SIGLEC1	3.092
CD93	4.919
SULF2	-0.682
CEP164	-0.722625
P53AIP1	-0.0336666666666667
TOR2A	-0.0383333333333334
ZNF136	-0.15425
MGP	2.403
CCDC144A	0.666333333333333
TRPC1	-0.766333333333333
SMS	-1.45166666666667
MAPK7	-0.237833333333333
RRAGC	0.872
PARD6A	1.48483333333333
NUB1	0.246833333333333
SYNGR4	0.78125
OR11H12	0.286
WIF1	0.31225
GCH1	1.54575
OR11H4	0.385
SLC44A5	-0.3745
GPRIN2	-0.249666666666667
LOC401431	0.1325
CPA4	0.7313
MELK	-1.19255555555556
IL15RA	-0.7145
CUL3	0.872125
HMBOX1	0.0605
PODXL	-2.08225
CCT6B	-0.0846666666666667
COMTD1	0.101
MUC20	1.09566666666667
GPX2	1.57375
ITK	-2.11825
FBXL5	0.453
C13orf27	-0.61325
DEFA5	0.7855
TRHDE	-0.6375
MTP18	0.805
UQCRQ	-0.1147
ITGB2	1.13491666666667
CSRP2BP	0.8425
TAS2R44	0.4925
PHPT1	-0.198375
FAM44C	-0.561
ERH	0.76625
MPHOSPH1	-2.23883333333333
MORC1	-0.418
PARVB	-1.319
LAMA1	-2.04075
PGBD3	0.77025
GIMAP6	3.0825
AREG	-3.33383333333333
LIPT1	-0.855
MGC99813	0.01625
C1orf201	-0.0246666666666666
GRIN2A	-0.7952
MAN2C1	-1.002625
NSUN5	-0.77425
SF3B5	0.074
MYC	-2.8635
NRXN1	0.0970833333333333
ZNF18	0.17525
SPDYA	0.4615
SLC37A1	1.345
DECR2	0.2915
ANKRD38	2.095625
SPTLC3	-0.712166666666667
SUPT16H	0.0113749999999999
DTWD2	1.22425
ULBP1	0.0585
ZADH1	-0.101333333333333
OIP5	-2.58875
IL10RB	0.517166666666667
OTUB2	-0.1925
VWA3A	0.166
SPIC	0.111833333333333
OR6C4	0.399
PSCD4	0.666166666666667
DPY19L2P2	-0.501
TRAPPC6A	0.464166666666667
C21orf2	-0.543333333333333
CEMP1	0.13025
LIN7B	0.3535
E2F7	-2.0485
VCP	0.3495625
LAMA3	-0.363333333333333
BGN	2.32825
GPR160	-0.376
COCH	-2.18716666666667
GPR81	2.05383333333333
APOBEC3F	-1.84775
tcag7.1017	-0.9085
C1orf32	0.2155
SCGB1D2	2.23825
FLJ43987	-0.479
C6orf170	0.4685
KLK9	0.5205
GPD1L	1.746625
VPS37B	1.607
ATG3	0.0713333333333333
ADAMTS17	0.502
KLHDC2	-0.445166666666667
NDUFV2	-0.22625
BLK	-2.97925
MATN4	-0.09
GPM6A	0.197
GBP4	1.97933333333333
TMEM162	0.294666666666667
PKP2	-0.2935
HRASLS	1.85955555555556
MMP1	-2.852
SFXN3	-0.0116
FSD1	-1.818
ST6GALNAC3	-2.14083333333333
CA12	0.8214
NCOA6	0.4785
C19orf58	0.0975
PPP4R1	-0.220166666666667
MAN1A2	0.596666666666667
IKBKAP	-0.314
UPF1	-0.399166666666667
KIAA1219	0.562
WNT16	-0.611166666666667
SNW1	-0.129625
IL18RAP	0.42575
RPP30	-0.645875
CDC40	-0.007
SETD3	0.677833333333333
SLAMF6	-0.3885
ELK4	-1.2025
TRIM47	1.6815
ACOX3	-1.03325
TRIM6	0.748375
KIAA0372	-0.753666666666667
TP53AP1	1.341875
SMURF2	0.0745
ADAD1	0.353
EBP	0.015
KRTAP13-2	0.068
FLJ36874	-0.3235
TOR1A	0.439833333333333
P2RY4	0.961
GPBP1	-0.264
TRPV1	-0.1815
ADAMTS12	0.856166666666667
PES1	-0.2809
ATG4A	1.36366666666667
MAGEA10	-3.67125
WFS1	0.202
CC2D1B	-0.3085
PABPN1	-0.24975
SLC25A30	0.66075
SLCO1C1	-0.1875
SLC22A5	1.128
KIF23	-2.28733333333333
SYN2	-0.345333333333333
ASPN	8.232
CENTG2	0.63525
QSOX2	-1.3713
FLJ10815	0.705666666666667
STK24	-0.0163125
SPEG	-0.3329
STK10	0.386833333333333
DACT2	-1.61
AAAS	-0.94525
SSX3	-1.168375
ABCD3	0.2048
C4orf12	0.034125
PARVG	0.148166666666667
FIG4	1.542
C9orf46	0.92275
TMCO6	-1.17
IGHMBP2	-1.62875
DUS2L	-0.128666666666667
FAM3C	-0.4055625
TMEM16D	-1.9255
DCTN4	-0.09675
KCNH3	-0.48675
EIF2AK2	0.714
AP1S3	2.48675
CST4	1.501
PAM	-0.00399999999999999
NUTF2	0.0215
CITED2	-0.1716
SLC39A4	-0.10625
C2orf52	-0.6935
GRM3	-0.33525
C12orf49	1.41625
CCDC49	0.8724
GRAMD1B	-0.796
FNDC4	0.306
SIAH2	-0.689375
GDPD4	0.059
C21orf87	1.668375
ATP5A1	-0.288833333333333
C16orf63	-0.063375
LOC388135	1.35666666666667
ATP5J2	-0.816625
MMP3	-0.423
EMID2	-0.02975
CRHR1	0.69475
WDR70	-0.42625
C13orf31	2.09275
ZFAND1	-0.52725
CCL18	1.8735
C3orf49	0.064
RINT1	-0.7325
KIAA0408	-2.076
F13A1	4.8036
SLC10A1	0.0466666666666667
OGN	2.5245
GIPC2	-2.143
XPO6	-0.0286666666666667
LCE1A	0.892
FMR1	1.0583
LOC374920	-0.56675
DUSP3	0.3725
ANKMY1	0.43425
C7orf50	0.06675
BBS9	-0.2095
UNC119B	-0.09875
C9orf72	-0.060125
MGC35440	-1.17825
ENTPD6	0.45475
PPP1R2P9	0.346
ERCC4	0.096
FAHD2B	-0.4155
HMHA1	-2.025
HACL1	-1.21675
RAD23A	0.133666666666667
FAM83B	0.96275
PPP5C	-0.656
RNASEH2C	-0.383
C9orf153	0.047
SCAMP4	0.491625
GHITM	0.6575
NDUFB7	0.135
ADCYAP1	-0.1
SP110	2.17933333333333
MAP3K7IP2	0.3075
DHH	0.0255
AGRN	0.550571428571428
WDR33	0.0661666666666667
CEP290	1.02983333333333
PRPS1L1	-2.41083333333333
KLRA1	-0.7275
GPR97	0.3055
CHD7	-0.538416666666667
TLR10	-0.3145
SLC30A8	-1.241
HIC1	1.3235
IAPP	0.6835
RXFP4	0.59075
GP1BB	0.85625
SHQ1	0.337
NKX2-3	0.4475
API5	-0.01925
FTHP1	0.472
MOV10L1	0.6135
TRIM6-TRIM34	1.89266666666667
ADHFE1	-0.32325
FAM117A	-1.119
DDI1	0.357333333333333
CDON	-1.4335
TRIM73	-0.0615
IGKC	1.01
MMP14	0.814666666666667
DYNC1LI1	0.08275
C11orf66	1.07575
TRBV3-1	-1.75775
FASTKD5	1.1675
BIVM	0.0735
LHX4	0.1735
CXCL2	-2.2812
RAB2B	-0.757333333333333
IZUMO1	-0.638
MAP3K15	-1.859625
FAM19A2	0.567
ZC3H8	-1.25483333333333
ZMAT1	1.434625
SPINK5L3	-1.92075
SLC10A6	0.8015
APPL2	-0.0625
CARD10	-0.816333333333333
LOC402176	-0.597
EEF1D	0.1366
RAB6A	0.9192
C12orf5	-0.889
PAPOLG	0.357
MSRB2	0.79325
BCR	1.22061111111111
PUS3	-0.796
TIAM2	0.03875
ZNF317	-0.357166666666667
CHD2	-0.255642857142857
FZD5	-1.95618181818182
NUDT8	0.8225
ZNF763	-0.601
PRC1	-1.91566666666667
ABCB9	2.20083333333333
SPATA3	0.26875
TRAK2	1.490125
STAB1	2.508875
LRRTM2	-0.0295
psiTPTE22	0.85225
DBI	1.47
SERPINA11	-1.2995
NAT5	0.22375
C20orf58	-2.0125
RPS6KA4	0.994166666666667
FLJ90650	0.6715
TGFBRAP1	0.37075
CHRDL2	-1.0785
FAHD2A	-0.401833333333333
CNTN1	0.816
BBS4	-0.5941
TMEM181	-0.2205
MINPP1	-0.952
MPHOSPH6	3.02241666666667
HOXC10	1.2378
ITPKB	0.392
CLPTM1L	-0.215
MEOX2	-1.37183333333333
ATP6V0C	1.113375
PRPF8	0.0445
TMC5	2.99475
FKBP3	0.1695
PLEKHB2	-0.30025
OR4D6	0.4015
ZNF544	-2.2248
D2HGDH	-0.0655
RPL18A	-0.1153
HEL308	-0.534125
MPP6	-2.5695
TCERG1	-1.95975
KRT16	-1.30916666666667
KLF17	-0.644
KLF5	-0.227875
CDR1	2.388
VCX3A	-0.7365
FBLN2	1.484375
C14orf104	0.0305
HBE1	-4.4632
OR4S2	0.521
C1orf108	0.088
ROBO4	3.3605
CPEB4	0.85075
C11orf80	0.663
BCKDHA	0.753833333333333
MYOC	0.33475
GIF	0.375
CKMT1A	2.6005
RPL3	-0.1973
THBS1	2.443625
APOO	0.5625
ARMCX1	-0.1385
HSZFP36	0.04225
SNAPC5	-0.14475
EIF4ENIF1	0.8755
ZNF433	-0.15825
TNFRSF21	-1.3625
TMPRSS7	0.2815
SPATA18	0.8749
HPDL	-2.7685
MKL2	0.8983
TBX3	-1.12561538461538
C21orf93	0.371333333333333
DAXX	-0.249
ELMO1	-0.674875
RGS13	0.805666666666667
TAF11	-1.3105
UNC13A	0.222125
LOC653314	1.4793
ORC3L	-0.31075
IMAA	-2.957
TARBP2	-0.15175
CABIN1	0.7242
TRIOBP	0.2480625
HIST1H2AC	0.388125
RGS22	-3.47633333333333
NCOA1	1.31266666666667
IL25	0.5725
SNCG	-0.044
GPR6	0.5815
AMDHD1	-2.162
CHEK2	-0.9865
C6orf142	-0.6345
DRD4	0.60875
C14orf68	-0.77425
GDF11	-1.08525
SEMG2	0.41
CD247	-3.692
CDAN1	-1.05725
RBMX2	0.000666666666666665
TGS1	-0.806
OIT3	0.1295
SYF2	-0.71375
MCM4	-1.462875
PKHD1L1	0.096
CEP192	-1.13116666666667
IFT88	0.91175
RPL9	-1.10042857142857
RAB32	-0.509
DDX43	1.878
P2RX2	0.273
OR5D18	0.0185
UBE1	0.0788333333333333
SLC24A1	-0.169375
ARHGAP5	0.027
CETP	-0.25075
KIAA1731	-1.0425
SLC9A4	0.8705
PTPN6	0.81175
BAHD1	0.27675
GRIK3	0.2685
CACNB2	-1.4504
PDE10A	1.40575
DGCR14	-0.0725
PCDHB9	-0.7445
RHOQ	-0.0256666666666667
MAP3K4	-0.80275
KTI12	0.0985
RPL23AP13	-0.4655
GNG11	-0.942
CLCN3	1.30533333333333
GPAM	-0.643875
VSTM2A	-0.289
SLAMF7	-0.00383333333333333
INTS2	-0.513
PPP2CA	-0.958
LRP12	-0.212533333333333
SEC14L2	2.25155555555556
DKFZP586H2123	2.63575
MC3R	-0.1155
CIRH1A	-1.02366666666667
HIST1H2AB	1.87116666666667
POLH	-0.724125
MGC16703	-1.3375
SNAPC2	0.1135
FILIP1L	1.871
RASGRP4	0.4615
LRRC1	1.80725
GAS1	1.2985
PRAC	-0.95675
DGKA	-0.0121666666666667
NT5C3	-1.17975
PEG3	-3.41966666666667
NADK	-0.9425
PRR17	2.4385
LOC374569	-0.26925
SGSH	-0.246333333333333
NLRP8	0.4555
GALT	-0.0242
MCF2	2.818
ZNF263	0.51525
TACSTD1	2.373
TYR	-5.9009
ATP6AP2	0.995
RNUXA	-0.396
ABHD10	0.1822
GDPD2	2.9665
SLC35C1	0.49775
UBE2A	1.033125
HERC5	-0.8025
FAM112B	-4.37666666666667
FBXL16	0.98425
DKFZP434A0131	-0.863
ELA3A	-2.423
RBM41	-1.334
HAO2	-0.382
RNH1	0.453
SHANK2	1.46383333333333
OSBP2	-1.178125
DAK	0.752333333333333
C3orf58	-0.306416666666667
TCL1B	4.294
KBTBD2	-0.373125
SUGT1L1	0.1755
UBE2E2	1.04666666666667
MYL9	2.89925
CDC23	-0.991166666666667
PBXIP1	2.1757
CXorf40B	1.161
NBL1	1.42125
RTBDN	0.2815
RAB11FIP5	0.8655
TTTY13	1.274
SCOTIN	0.620333333333333
SOHLH1	4.25383333333333
CDKN1A	0.388214285714286
NCK1	-0.2645
ZNF550	-2.571
SAPS3	0.15975
SPIN3	0.631333333333333
MAGEE2	0.46275
MIS12	-0.371
OR8H2	0.4255
KIAA0774	1.03383333333333
UNC5D	-2.4305
CUL7	-0.383333333333333
LIPC	-2.30616666666667
DIO1	-2.93525
C20orf11	-0.0224
CTRL	-0.89725
HS3ST2	3.3735
PAK4	1.2315
CCRL1	2.99575
RNF10	0.302375
ZNF567	-0.304
ZNF660	-0.6085
TCEAL3	1.1625
MAGOH	-0.899666666666667
CENPB	0.6945
C19orf7	0.405625
LOC388965	0.30325
ZCCHC13	0.317
JMJD1A	-0.3655
HIST1H4H	2.381
TBRG1	-1.3674
GPC3	-3.24975
TAF1C	-1.029875
EBNA1BP2	-0.701666666666667
CIAPIN1	0.21775
PDGFRA	-0.4685
CSTB	-0.388875
CENPI	-2.14683333333333
GTF2E2	-0.8015
RPP21	-0.557
CCNF	-0.564166666666667
KCNQ3	0.9125
FAM79A	1.386
SLC22A12	0.538
NOVA1	-0.828666666666667
FZD3	1.0874
AKAP8	-0.87725
SOCS5	0.263375
CFDP1	-0.68775
DLG5	-0.01775
PGM5	-0.0176666666666667
C1orf144	0.1275
HDAC10	-1.257
RND2	-0.63175
C20orf199	-1.861
RNMT	-0.765
SLURP1	1.08725
ASTN1	-0.483625
SH3BGR	0.48025
MYCL1	0.23775
ZHX1	0.529666666666667
CENPK	-4.188
FOSB	-0.4344
LOC643406	1.108
C2orf59	-0.321
TMEM135	2.385625
SLC27A2	-3.35275
KRT33A	1.6075
OVOL1	0.615875
PAMCI	-3.39866666666667
S100A7	0.811
ZNF789	-2.2485
HARS2	-0.24475
RPL23A	-0.831666666666667
TCF23	-0.026
UPF3B	-1.69425
C17orf78	-0.1815
HLA-DOB	-0.466833333333333
C14orf142	1.21416666666667
TEKT5	1.17183333333333
DMWD	0.083
POLD1	-1.93016666666667
GSCL	0.227
CALD1	1.0508
SCRT1	0.400833333333333
AIG1	0.30425
UNC84B	-0.05075
ZNF404	-0.40625
TMED6	-3.08625
KIAA1462	0.8255
LRRC27	1.40533333333333
PYGO1	0.3225
PIGU	-0.2875
ALAS2	-3.70433333333333
WRNIP1	-0.035
CNNM3	-0.561
ZNF2	-0.24075
ST3GAL5	1.45041666666667
MRPL23	-0.75975
TSSK6	0.0205
PSMA6	-0.3405
C16orf70	-0.10425
KIAA1602	-0.2285
ALMS1	-0.1185
DCN	2.7675
TMEM132D	-1.1505
SUCLG2	-0.3795
ABHD14A	-0.03125
DEXI	0.150166666666667
AMPD2	-1.22016666666667
IFNAR2	-0.285333333333333
CYB5A	2.2206
TLOC1	0.503
NXF5	-0.604
NRBF2	0.62125
KCTD3	1.48
ITGAE	-0.554833333333333
SLC30A3	-2.14683333333333
ZRF1	-1.172
IFRD2	0.088
XAB1	-0.3315
PYCR2	-0.309166666666667
SERPINB3	-4.1865
TMLHE	-0.091
GEFT	-1.14675
ABCA5	0.4135
EMR4	0.183166666666667
TSFM	-0.1975
HIST3H2BB	-0.2455
ARHGEF19	0.429
TSPAN17	0.382333333333333
ABCC8	3.18875
MAP1S	0.2845
C22orf36	3.26875
BNC2	0.220857142857143
HIST1H4A	-0.1835
NDUFS3	0.12
WDR3	-0.582166666666667
XKR4	-0.8915
TTC33	-0.312857142857143
STMN2	4.4015
CPN2	-0.785166666666667
HSPC105	1.522375
PCOLCE2	-3.2905
C3orf55	1.362
KLHDC9	3.035
TBC1D23	0.585
ATXN2L	-1.18983333333333
MAP2K3	0.898083333333333
SCAP	0.1145
ZNF486	-0.365833333333333
C20orf96	0.8135
NARS	-0.29225
ADAMTSL1	-0.576571428571429
PRCC	0.3855
CCDC126	0.663833333333333
ZNF675	-1.01025
CALCOCO1	0.355
ANKRD43	2.343
CWF19L2	-0.944666666666667
ZBTB32	0.436166666666667
BRAF	-0.18575
ODF4	0.3375
MGC14376	0.291
HORMAD1	-2.21883333333333
AAK1	0.432166666666667
PEBP1	0.965833333333333
TNFSF5IP1	-0.381
DKFZp564N2472	0.29525
RMND1	-0.410375
IGKV1-5	2.09675
COL1A2	3.5395
SERPINA5	-2.34375
AANAT	0.3885
C19orf21	1.055
GEMIN5	-0.5355
UBR4	-0.14
LTBP3	0.513166666666667
AMHR2	-2.26916666666667
PROCR	-2.11325
MYBBP1A	-0.555
C20orf39	2.35216666666667
ZNF697	0.277875
PASK	-0.7455
ZNF776	-0.189666666666667
RFXDC2	0.0635
KIAA0467	-0.5815
C10orf96	-1.19475
ZNF503	-0.4715
GULP1	-0.739833333333333
KCNE4	1.30016666666667
DKFZp434K191	-0.273625
LOC196913	-0.095
BHLHB4	0.8585
CH25H	-1.5
LOC81691	0.214833333333333
ALPL	-0.291285714285714
COL12A1	2.754875
FOLR3	-2.274
GPR123	0.99
TRIM62	0.756928571428572
ABLIM1	0.933166666666667
MAST3	-0.13625
RHBDD1	0.611333333333333
LOC338809	-0.2065
RYBP	1.446
TTC26	-0.13825
ZNF22	0.475166666666667
ISCA2	0.472
RDM1	-1.8825
PIGM	2.1105
GNB3	-0.975
ACTR2	0.5693
HMGB1	-0.08025
EDG1	1.779
SOAT2	-3.051
OR10AD1	-0.109
RAP1GDS1	0.916583333333333
LCE1F	0.5315
ESM1	0.7075
RCN3	2.63075
CREBL1	-0.7565
DBNL	0.892166666666667
PTGER3	0.943625
USP30	0.326
BCL2L12	-1.63266666666667
KIF26B	3.33625
ZNF416	0.38875
ZNF225	-0.3315
C17orf70	0.07325
ZNF554	0.246
RAE1	2.07366666666667
TNIK	3.3985
ACTN3	1.1035
MGC45922	0.7765
CCNA1	-0.231833333333333
RYK	0.0715
IL26	-0.2845
LRP3	1.03933333333333
QARS	-0.069
SOX7	0.570357142857143
BID	-1.103875
OR2S2	0.2975
CXCL14	1.81825
C11orf47	-0.847
MGC29891	0.797
HSPB8	1.5321
PRDM14	-1.8005
NUFIP2	0.38075
MNAT1	-0.09425
ZDHHC2	-1.66683333333333
MBNL2	0.358375
ADD3	-1.632625
CSNK2A1P	0.0505
KLK6	-0.895333333333333
TMEM111	0.6017
KIAA1279	1.30475
NUBP2	0.692833333333333
RAB42	-0.10775
ID3	-0.317
TM9SF1	0.045
MDP-1	-1.38
POU4F2	0.304
IQCK	1.84
C16orf14	-0.46575
CAPN3	-0.44475
FAM43B	-0.532
RECQL	-1.2865
AP1G1	0.371071428571429
CTNNBL1	-0.410666666666667
ECHDC1	-2.6215
SMARCC1	0.5895
FOXQ1	-0.763875
GNAI3	-0.479166666666667
POLG2	-1.463
CD4	0.924125
ITLN1	-0.03675
EBI2	1.098
IRF1	-0.55925
PTPRE	1.3981
PTK2B	-0.7915
NXNL2	-1.3815
SOX4	0.420111111111111
TSPAN3	-1.925
SH2D1A	-4.64666666666667
C8orf58	-0.489166666666667
USP20	-0.49525
DUSP22	-1.1635
CALB1	-2.58416666666667
L3MBTL2	0.543333333333333
MCRS1	-0.31975
TMEM118	-0.436833333333333
C18orf8	0.806166666666667
FLJ10241	-0.296125
GJA12	1.0785
PKD1	-0.0721666666666667
ZFP3	0.1115
JAM3	-0.849
LAPTM4A	1.4121
DIRC2	0.49525
KIAA2022	2.25333333333333
MYOM1	0.518166666666667
TRPM8	-2.2335
MOP-1	0.95175
PHKG2	0.15725
ZNF650	0.244375
KIAA1522	0.853
PSG8	-0.563
DDX19B	0.1305
MOBKL1B	-0.2735
DIAPH2	-1.21533333333333
PTPN12	0.105
CLN8	0.8648
CRYZL1	-0.7095
CRY2	0.626833333333333
FCGR2B	3.36683333333333
PNPLA4	1.9605
ZNF454	-0.2005
DKFZp434B1231	-0.08775
CLDN11	0.1416
RFWD2	0.854833333333333
CIB2	0.402
MXRA8	3.314875
HRK	1.912375
MAML2	-0.842
C4orf31	0.12
C6orf192	-1.87475
COG6	0.828
FAM5B	-0.02525
NFATC1	-0.3958
SEPT10	-1.23775
SCYL1	0.29
RPP40	-0.6535
SCOC	0.7592
KIAA1450	1.2035
CTDSPL2	-0.812
TBX5	2.54616666666667
NAPG	0.058
RHD	-4.7865
C14orf45	1.31466666666667
ZBTB22	0.4825
PLCG1	-1.1065
ANKRD10	-1.187375
AQP7P2	-0.09125
TAGLN2	1.5535
HTR2C	-1.17516666666667
SLC16A7	-1.10666666666667
C17orf83	0.1515
TSGA14	0.163416666666667
MDH1	0.167
PPP3R2	0.319666666666667
DCBLD2	-2.182
RBM33	-0.531375
DPH3	-1.13975
SYT10	-0.786333333333333
FMO4	2.263625
THYN1	-1.80475
DRD5	-2.7425
OTOR	5.43625
PGRMC2	-0.2465
KATNAL1	-0.45825
PAQR6	-0.8485
UBE2I	-0.0255
C14orf28	0.0275
C8orf70	0.68225
FLYWCH1	-0.113
ANGPTL3	-1.02666666666667
GLRX2	0.476666666666667
ATP11A	-0.574285714285714
ARL5B	-0.40325
MUC16	-2.57575
SLC25A5	0.398142857142857
ACRC	-1.076
MYO1C	0.2075
FAM89B	1.63566666666667
FAS	-0.911
KIFAP3	1.801
GLRA2	0.084
BTN3A2	-0.447
CNKSR3	-2.046
CSTF3	-0.192333333333333
ARPM1	0.71625
KIAA1530	-1.249
C9orf150	2.05383333333333
PRKCI	0.85225
tcag7.1015	-0.399
SOD3	-1.31475
ZNF574	0.2355
CYP21A2	-0.17925
RPL12	-0.115
COMMD2	-0.7605
WIZ	-0.62825
LOC344405	-0.8285
ALDH4A1	1.77470588235294
CRYAB	2.20475
COPA	0.5966
PCDHGA7	0.593166666666667
KIF11	-1.41533333333333
RASD2	0.435
SLC26A3	2.575
ZNF175	-0.959
JAKMIP2	-0.50275
C8orf4	-0.522166666666667
PTHLH	2.1825
SLC40A1	2.39041666666667
OR7D4	0.730833333333333
PCDHB17	0.879
CD36	0.701785714285714
C6orf203	0.6707
PRKG2	-0.12
LOC400566	1.21
ANAPC13	0.48
SLCO3A1	-1.356
ZNF692	-1.9275
FANCL	-1.5185
SH3GLB1	1.0805
C12orf61	-0.034
KBTBD6	0.3745
SUPT5H	0.282875
XRCC6	0.0895
HUS1B	-0.1774
FAM133B	0.0253571428571429
LOC728276	0.2025
KCTD18	0.62775
SOS2	1.12033333333333
CCDC99	-2.043
C1QTNF5	3.6135
NNAT	0.0163333333333334
USP16	-0.35725
LARS	-1.06525
ZBTB2	-0.044375
ABO	0.378
TRAF3	-0.23325
GALNT5	-1.287
NAP5	2.03125
ALG14	0.654833333333333
KIAA0515	0.787423076923077
WDR75	-0.6575
TEX261	0.0015
LY86	0.617
LOC389072	-1.0535
FLJ13611	0.00324999999999999
MRGPRX2	0.46
SNRPA	-1.010625
OR2G2	0.4655
GPRASP2	1.0115
C7orf42	0.0278
C9orf163	-0.3825
CYP11B2	0.383
FCRL3	0.3655
PRDX1	-1.1545
FGB	-7.81783333333333
COX17	0.907166666666667
C16orf33	-0.28825
PIWIL1	-0.271166666666667
FOLR1	-2.632
KIAA0082	-0.8495
FREQ	0.652
TMCC2	-0.696666666666667
TCF12	-0.0134166666666667
ZNF721	-1.5405
FAM130A2	0.2685
POU4F1	-0.18525
SNRPF	-0.279625
SGIP1	2.3045
ZNF641	1.5135
EMG1	-2.2155
PRRG4	1.126
HIRA	-3.19125
MYNN	0.311333333333333
AEBP2	-0.81975
TBXA2R	-0.00216666666666667
ISL2	-1.02933333333333
PCDHB11	0.211
RNF144A	-0.49
MARCH5	0.307875
DULLARD	-0.301833333333333
DCLRE1B	-0.8335
ITGA8	0.72275
TP73	-0.12275
PRKCD	2.372
NDUFB4	0.3695
ATP13A4	2.81925
ANTXR2	-0.744333333333333
COL4A3	-0.538
MYO10	-0.3571
SLC6A18	0.49325
PEX1	-0.02275
TMEM74	-1.403
RBM19	0.347
TAPBP	-0.0472
RUNX1	-0.480125
MID1	-2.30275
GPR64	-1.88716666666667
RASEF	2.5445
GABRG1	0.055625
MYO16	-0.444
DBF4	-1.60283333333333
TSHZ2	1.67
RIPK2	0.153125
PPTC7	-0.0516666666666667
KIF4B	-0.515
LRRC31	0.150375
ZNF540	1.54325
EFNB3	0.155166666666667
LOH12CR1	0.436625
STON2	0.454333333333333
GLP1R	0.40375
CSTF2T	0.524375
IREB2	-1.130625
GRSF1	-0.16
PDCD7	-0.82
LRRC43	1.965
CNR1	-0.3315
IL1F7	-0.236
C12orf64	-0.017
FAM69B	0.48625
NR2E1	-1.835
MS4A6A	1.8256
FTL	-0.6223
C7orf36	-0.161
PCLO	1.855
DYRK2	1.63158333333333
ARIH2	-0.08475
SAMD7	0.116
SCNN1D	-1.24625
SLC32A1	-0.820625
C22orf25	-0.177833333333333
MRPS18A	-0.1071
GPR112	0.0105
EARS2	-0.652
ERN2	0.577
ATPBD3	-0.00433333333333334
PRH2	-1.0035
CDKN2D	-0.0375
PGLYRP2	-0.35075
TRIM40	0.27575
SEC14L3	0.0726
SLC22A1	0.2345
BTN2A3	-0.19325
RASA4	-0.0215
CCNL2	-1.30216666666667
MYBPC3	0.5545
GJA4	2.91775
CDC42SE1	1.784875
TRPV2	-2.078
MYPN	-3.3429
SIM1	0.3355
CDADC1	0.484416666666667
ZFHX4	1.88475
NIBP	1.50133333333333
ADAMTS19	-2.0665
ABTB2	-0.398
TSPYL2	-0.42675
EIF2S3	-0.5969
SOX30	-0.06175
AP2A1	0.0231666666666667
DKFZP564O0523	-0.845
LOC285398	0.04975
CDH18	-3.16225
CHL1	0.895625
GATS	-0.4208
TBC1D2B	0.317166666666667
OR1J1	-0.938
GSN	1.92383333333333
DPCR1	0.22325
GARNL4	0.134666666666667
SMARCA5	0.39175
PLEKHG3	1.18783333333333
ZBTB45	0.074
FRMD6	-0.591166666666667
PLS1	-0.116333333333333
DGKZ	0.979666666666667
EFNA1	0.7581
WDR85	-0.721625
ANK2	-0.43925
PAGE4	-0.758333333333333
SENP6	-0.137666666666667
AKR7A2	0.314
FKBP10	-2.16025
VEGFC	-1.47516666666667
LARP1	-0.569125
SRBD1	0.31475
ITGB6	4.283
SLC1A2	-0.758571428571429
INVS	-0.435
MPO	0.37525
MOBKL3	0.7903
CUTL2	4.03825
KLK2	-0.0445833333333333
VIM	-0.57475
REG1B	0.364166666666667
PCDHGC4	0.63725
C3orf34	0.377833333333333
SUMO3	-0.276166666666667
CST9L	-0.088
MLL4	-0.8825
SPR	1.2215
SAMD9L	-0.0995
ABCE1	-0.224
SUPT3H	-2.3125
ACTBL1	0.84475
ADAMTS4	0.771
SLIT3	3.16425
RHEBL1	-0.969
NPM2	-0.6755
MAN1C1	3.018625
KIAA1856	0.676416666666667
HSPA6	0.574
LOC388152	-0.319
C10orf140	-1.9715
ZDHHC12	1.043
LIN7A	0.6982
