Hybridization REF	TCGA-B6-A0WW-01A-11R-A109-07
TREML1	0.1928
KNCN	-0.5115
SEC24A	-0.747125
PSCA	1.1905
MGC24125	0.674333333333333
DNA2L	-1.923
CIB4	0.657625
HIGD2A	0.334
TBX6	-0.148666666666667
TTLL5	-0.419666666666667
SGK3	-0.181166666666667
GCN1L1	-0.40075
AMOT	-0.2879
LDOC1	0.954333333333333
NRK	0.1025
ASB9	-3.15225
NAT1	5.1393
TRAFD1	0.88075
PEAR1	0.451166666666667
FAM36A	0.9095
OR1S2	0.512166666666667
LOC388323	-1.918
PGS1	-0.2955
LEPREL1	-3.3735
TFF1	-0.0569166666666667
HAP1	0.11575
EPHB2	0.507
ACTG1	1.08266666666667
ZFP42	-0.626
HAVCR2	0.3654
NME1	-0.6375
SNX26	-0.3455
LACTB	0.4755
ZKSCAN2	-0.291375
C5orf35	-0.756
ANKS3	-1.277
RBM28	-0.826
DKFZP586P0123	-1.0815
HNRNPA1	-0.706333333333333
BCAS3	-0.775666666666667
FLJ20184	0.7075
POLA2	-1.3255
TMC7	-1.08566666666667
HSD17B6	1.698
ZNF658B	0.8565
TTTY10	-0.138166666666667
RANBP9	0.404416666666667
CPNE7	-2.3635
EVL	1.34741176470588
LNX1	1.31625
IFNA21	0.109166666666667
CFD	0.42775
PYCARD	1.39516666666667
MYBPC2	-1.627
ENPP3	-1.42483333333333
ACSL4	-1.966
LOC440258	-0.0665
TMEM176B	3.7205
SOX2	-2.244875
SCO1	-0.108666666666667
COMT	2.73
AOC2	-0.1
PDLIM5	1.11264285714286
SPHK2	0.901333333333333
NXPH2	0.1005
GPR108	0.9105
RAD51L1	-0.275833333333333
TMEM54	1.07875
LETMD1	-1.47466666666667
SLC6A17	1.05275
KRT75	-0.3305
STT3B	-1.01933333333333
CD3EAP	-0.0691666666666667
TMEM63A	1.365
DUSP13	-2.0225
CD1C	-2.12966666666667
LASS2	2.46083333333333
AVP	0.827
PITPNM1	-1.19475
FLJ22795	-1.376
MCTP1	-2.35025
TRIM68	0.4735
UCK2	-0.294166666666667
ABHD1	0.7125
FAM50A	0.3145
RNASEH1	-0.935833333333333
PCP2	0.682333333333333
OR52H1	0.704
C20orf149	1.019
RBP5	-1.38733333333333
HYAL3	-1.18575
CLPB	-0.697
SMNDC1	-0.9285
DONSON	-2.22066666666667
FLJ27523	0.637
BARHL2	0.273833333333333
SLC30A9	0.795666666666667
TMPRSS11B	-0.252
E2F8	-2.15616666666667
CCDC25	-1.09825
C14orf48	0.398166666666667
C20orf116	1.306125
TSPAN11	0.144
YIF1B	-0.342
FAM12B	0.54025
OR1L6	0.1415
HPN	0.9574
NBN	1.527875
C14orf94	-0.2745
OCLM	0.752
ZSCAN18	0.4984
L3MBTL	-1.8393
TSTA3	2.18033333333333
RAC1	0.382
C19orf15	0.0403333333333334
NFE2	-4.2045
KLK14	0.3095
ARSF	0.266
MAST2	-0.3365
AMICA1	0.7265
GTF2A1	-0.016625
ATP1A3	-1.5375
TC2N	2.5032
PNKP	0.3765
ODZ2	-1.69875
MATR3	0.8535
S100P	-1.19825
KRT82	0.086
CA13	0.2173
PROZ	-1.24483333333333
AASDH	0.31175
C19orf40	-0.687
DCK	-0.458615384615385
FAM5C	-0.55675
SLC6A4	1.5335
MID1IP1	-0.4395
TESSP5	0.521
TMOD4	-0.151166666666667
DOCK2	-1.1745
TUG1	0.42075
NUP214	-0.1525
DPYSL2	-1.08054545454545
GOLM1	2.10641666666667
MPFL	0.53975
SOX13	1.41175
SDCCAG8	1.5169
KEL	-2.45716666666667
NUP210L	-2.2995
GK	-1.074375
DNAJB1	1.52825
ALPK3	-0.297
CHID1	0.4288
CYLC2	-0.247833333333333
IKZF5	0.394
C8orf51	1.68466666666667
PPM1J	2.42025
GIMAP8	2.27433333333333
GPR101	0.15
NR2F1	-0.889
ACAD8	-0.37275
RBM35A	2.49675
GNAI2	-0.560833333333333
METTL8	-0.224
SLC39A7	-0.655
FBXO8	1.317
CAMK1	-0.954
RFC3	-2.0985
FAM129A	1.10785714285714
ILF2	0.1595
FGFBP3	-1.395625
NOM1	-0.543
PSMA3	-0.5065
ASCC3	-0.1097
ZYG11A	-1.25675
SOX21	-1.208375
LYRM1	-0.2335
DEFB1	0.334
LOC91431	-2.3485
OR7C2	2.0665
FAM46B	1.03425
TMEM18	0.03125
ARHGAP30	0.00633333333333333
TMEM86A	1.88208333333333
EPHA2	-1.3615
C10orf46	0.75985
TCHH	-0.941666666666667
C3orf30	0.303833333333333
LOC285636	0.283666666666667
PAIP2	0.40725
CYP2U1	0.15225
C12orf34	1.24125
SARS2	-0.5925
ZCWPW1	-0.407
SAMD12	2.3225
KIAA1430	0.167
ACAT1	-1.029
MEOX1	-0.635166666666667
ADAMDEC1	4.789
PHKA2	-0.86025
CARD11	-1.5555
CALML4	-2.262
TSSC1	-0.01325
TMEM45A	0.827111111111111
MPP7	2.3995
POU1F1	-0.0965
SLC2A13	-1.1013
FBN2	-0.361857142857143
ZC3H7A	-0.2567
LAIR2	-0.685
ST3GAL1	2.7185
LCT	-2.9155
GEMIN8	0.674
KLF16	0.5477
HIF3A	-0.2762
FAM44A	0.3755
AQP10	-1.0619
PLA2G2A	-1.268
FOLH1	1.02283333333333
C20orf186	0.25
MAPKAP1	0.130375
SPRR2D	-0.814
UBQLN4	0.222
RSHL1	0.101666666666667
PIAS3	0.915875
MRPL24	1.31625
GREB1	-1.755625
FAM27E3	-2.0975
NUP62CL	-1.74875
NEUROG3	0.831
REEP3	1.0845
MARK1	1.51125
LMBRD1	0.514
PRPF19	-1.3205
PNMT	1.55433333333333
CTGLF1	-1.4795
SLC25A16	0.00725
EIF2B3	-1.8375
RPA2	-1.13425
PAK6	2.0585
CCDC26	-3.82875
SEMA3E	1.547
MXD4	0.9877
TNFSF10	3.708
SMARCB1	-0.454666666666667
DTX3L	2.07883333333333
PLA2G4E	-0.034
PPAP2A	0.92925
ULK1	-0.078
TAS1R3	0.111
SLC2A3	-3.04427272727273
ARID3A	-1.34925
GNG5	-0.63425
ACOX1	0.5484
KIF5B	0.90725
NUP153	-0.4485
MUC7	0.504
CSDE1	-1.04978571428571
CLPTM1	0.4055
C3orf23	-0.99275
LRRC17	0.7625
TTYH3	-1.1155
ATP5B	-0.556
ELF3	2.398
CPSF3L	-0.1465
ZNF665	0.390333333333333
TLR6	0.537
GPI	-0.743
RAD9A	0.24825
NDST4	-3.51275
AGPAT3	0.742833333333333
MAGI3	1.925
ADORA2A	2.12575
CACNG7	0.327
CAMK2D	0.0920714285714286
CCHCR1	-0.77725
RPS27A	-1.08525
OR10G7	0.3235
GCM2	0.251
FAM135B	0.8784
E2F1	-1.404
PLCB3	0.16875
OR2AE1	0.227
COIL	0.0533333333333333
CDC25C	-1.29116666666667
RAB11FIP2	0.408666666666667
TSC2	-0.0315
CTGLF5	-1.429
CCDC108	0.2333
OR13C4	0.41025
C10orf81	5.437
PTPRB	1.836
ACP2	-0.2645
LAG3	0.95775
MRPL54	0.53675
LOC201175	1.017
ITGB1BP3	-1.495
SPTAN1	0.0408333333333333
SIPA1L2	1.36925
RCAN2	-0.25
CDX2	0.325
ECOP	0.073
ACTR1A	0.536
PPARG	-1.49616666666667
BBS10	0.525833333333333
TMEM44	-1.625125
BPIL2	0.15575
CITED1	-1.982
IRF6	4.01675
PRDM4	0.226166666666667
RRP9	-1.45566666666667
OR10H4	0.234
IL31RA	-0.89825
GNB1L	1.10616666666667
MYBL2	-2.19025
ZNF407	0.601666666666667
PPIG	-0.119333333333333
TTC18	0.9665
RPSA	-1.4855
MAPT	1.119
MRE11A	-0.620357142857143
C8orf37	-0.284833333333333
RASGEF1C	-0.501666666666667
STBD1	1.972
CTAG2	0.0615
MGAT5B	-1.29166666666667
ECM1	1.09225
RLN1	-0.2725
PARP14	1.7806875
EPB41L1	1.0465
HOXA3	-0.837333333333333
MAGEA9	-4.102
RPS8	-1.45083333333333
RPS19BP1	-0.36725
FOXJ2	0.425125
C10orf76	0.917375
IL17RE	-0.32
C10orf65	-0.912
ZNF343	0.0731666666666667
FBXO33	-0.090625
UHMK1	1.6425
LY6G6C	-0.27575
FGF19	-1.81975
C14orf128	-0.486166666666667
IFIT2	3.4765
TIGD1	-0.39025
S100G	-0.1165
GUCY1B3	2.344
NR3C1	-0.2036
CORO1B	1.43916666666667
PARP11	0.756916666666667
DNALI1	4.24533333333333
OR4N4	0.251875
MAP2K6	0.226
FSTL4	0.23925
ANKRD47	1.128125
TMEM171	-0.9255
PNLIP	0.20975
YY1	-0.046
CCDC138	-1.76283333333333
AASDHPPT	-1.2807
CKS1B	-0.5615
MCM3	-1.3365
ANAPC7	0.262666666666667
FAM110A	1.855
CDC37L1	0.303166666666667
THTPA	1.06825
NBPF20	-0.1065
WDR24	0.7185
NPTX2	-1.416
CBLB	0.562333333333333
CETN1	0.669166666666667
RPUSD1	0.02725
FAF1	-0.93225
CDK6	-3.3753
HMX2	0.1725
CSK	-0.397666666666667
TEAD2	0.115
SNAP25	-0.5875
TUFT1	1.977
TMTC3	0.925833333333333
LCK	-2.716
SGOL1	-2.03066666666667
AKTIP	-0.01
FURIN	-0.071625
SOX12	-0.459833333333333
DEFB103A	-0.49225
RAMP1	3.58875
KIR3DX1	0.12
GAS2L3	-0.44825
PDE8A	-1.0432
EDN3	-0.449
GMIP	0.349
SF3A2	0.96525
FN3KRP	0.8105
SMAD7	0.5435
RHBDD2	1.20875
OR11H6	-0.495
PPP1R3B	0.4776
C9orf23	1.16425
CADPS	-1.1645
GOLGA8A	-4.281375
TMEM57	1.283
RGL3	-0.3525
S100A14	3.09575
FGFR2	1.019125
XRCC3	-1.02625
RTN4RL2	0.82675
MGC3771	1.068
GH2	0.0115
BTBD2	-0.143
LMO2	-0.1975
RDBP	-0.366
ACRBP	-0.68275
AMY2A	0.26175
DUOXA1	1.495
PTK7	0.161333333333333
TWF2	-0.4775
FAM80A	-0.35225
TNNI2	-3.41966666666667
GLT25D1	-0.448666666666667
OCC-1	-1.31125
CYC1	0.8115
RPL22	-0.868454545454545
MORN3	1.17933333333333
DISP1	2.49875
PRB2	-0.185
CHUK	0.44725
HR	-0.293
CCDC134	0.655875
DENND4B	-1.24525
C14orf130	-0.489875
RAB33A	-2.237
DCST2	0.1245
TNMD	-2.1585
PEX7	1.1705
FAM62A	-0.01975
SRD5A2L	1.49325
IL22	-0.3185
RPS26	-0.317166666666667
HOXC5	1.451
SPATA6	0.25925
FLJ38482	0.86675
ZNF234	1.4615
C18orf22	0.01725
SPATA22	0.03475
THOC1	-1.11825
CYP7B1	2.14725
KCNC3	-0.42775
C8orf42	-0.85
ALDH1B1	0.141833333333333
CCDC100	0.0892
ARMC4	-2.938
FAM18B2	-0.128
SLC44A1	1.19725
FBXO17	-1.55466666666667
C6orf107	0.3965
C19orf29	-0.29725
ZC3HAV1L	-0.383
PARP6	-0.2168
SULT2A1	-3.785625
C1orf159	-0.8855
TMC1	0.1955
CHST14	0.5855
GAMT	1.25833333333333
SMCP	-0.139
TSPAN33	1.49458333333333
MIDN	0.07725
NOX4	2.44725
RNASEN	-0.695
TBX1	4.20016666666667
SALL2	0.99225
C10orf35	1.6375
CYP2E1	-0.989125
LRFN2	2.69516666666667
ACO1	-1.7145
IQCG	0.9279
MEGF9	2.48525
TM7SF4	0.70325
PLEKHA1	0.775266666666667
STK33	-2.435
C1orf210	2.767
SNUPN	0.6811
KIAA0406	-0.4314
C20orf29	0.59525
TMEM55B	0.232
OSTM1	-0.397
CLCN7	0.42625
OTP	-0.3615
FLJ23049	-0.32575
HEATR4	0.3165
MAP3K10	1.11266666666667
PCDHGA9	0.623
AMDHD2	0.635
LCTL	-1.349
PDCD2L	-0.858
CABLES2	-0.252
SLC5A9	-0.5425
CLCA2	-1.19366666666667
MGC16025	-0.654
STRAP	-0.799166666666667
C20orf196	-0.4135
RRBP1	0.694166666666667
NAT13	-0.588
MAT2B	-0.15325
CSNK1D	-0.731166666666667
KIR3DL1	0.218
PRKAG3	0.245
ZNF599	0.89
PRM3	0.3755
PER2	0.618666666666667
ASPHD1	-3.537
PRMT6	-1.367
KCNE1L	-1.09978571428571
FAM118A	-1.25533333333333
TAF4	0.039
NDUFB6	-0.9005
TRIM9	-0.846083333333333
PMFBP1	-1.096
KY	-0.364
DKFZp762E1312	-2.08472727272727
CSMD1	-1.35975
TBP	-0.0385
OR1Q1	-0.0401666666666667
RETNLB	0.3915
HPGD	-0.287642857142857
DNAJC12	1.05316666666667
FKBP1B	-2.4605
ANKRD24	-0.338666666666667
CXXC5	1.1005
IL3	0.034125
DRAM	0.405
PTCH1	-2.199875
TP53BP1	0.4425
SLC17A7	0.132
COL25A1	-1.2307
AMACR	0.496833333333333
RHCG	-0.148
VPS13A	-0.2715
FAM55D	-0.2785
PRPF38B	-1.15075
OSBPL6	-0.09875
PFDN5	0.3671
CMTM6	0.667875
KCNK12	-1.63275
RP2	-0.3735
C16orf52	-2.6485
PICK1	0.7555
IFNE1	-0.533166666666667
SEMA4B	-0.004
TYRO3	-2.202
OR12D2	0.00750000000000001
CSNK1A1	0.61415
FANCF	0.69175
LONP2	0.16725
TBL1Y	-0.2565
LDOC1L	-0.778375
CCNC	-0.27975
C3orf60	-0.283
CHKA	0.34575
UBAP1	-0.18225
MAP3K1	1.395
ANKRD9	-1.81275
FAM92A1	-0.7705
GAB2	-0.939625
AZU1	-0.2815
DIS3	-0.733833333333333
C21orf109	-1.21
IQCB1	-1.27175
SPATS2	-0.167333333333333
EFCAB3	-0.55175
PRB3	0.306375
FUZ	0.168666666666667
ZNF813	0.600625
BMPER	-0.8985
HEG1	-0.0725
ALS2CR11	1.067
SURF2	0.08775
PSMC1	-0.0458333333333334
OR2D2	0.6605
SLC7A8	2.04833333333333
C4orf40	0.059
SPATA7	-0.50425
MAZ	-0.965083333333334
PIN4	0.2785
PDE1A	-1.003375
TAF6L	0.331
OR2T34	0.3935
KIAA0284	-0.27025
ACADS	1.25536363636364
MKRN2	-1.2055
C18orf56	-3.582
MS4A6E	0.045
GALNT4	0.4741
C22orf31	0.038
FLJ36070	0.167
PSME4	0.408
TFG	0.1536
EPHX2	0.14625
ANXA5	0.331375
KRTAP1-1	-0.1062
BATF	2.47575
KARS	-1.43725
MSTP9	0.0339999999999999
GPR26	0.33975
CCDC72	-0.28975
TEF	-0.2845
FOXK1	-1.1936
PRLHR	0.3095
EMX1	2.293
C11orf30	-0.095375
ICK	0.430125
THSD7B	-0.03275
C21orf100	-0.666
DUOX1	2.3435
EFCAB4B	0.2625
UBE2G2	-0.783666666666667
C3orf54	0.4065
PARP1	0.00475
FAM60A	-1.23225
C6orf146	0.26375
OR9K2	1.0435
DDX55	-1.40966666666667
RPS15	0.653333333333333
ZNF618	1.4265625
DKFZp686D0972	0.4015
SSPO	-0.2025
SHFM3P1	1.00966666666667
CPA6	1.23525
JAG2	0.4655
DEFA3	0.06625
PPBPL2	0.124166666666667
CD34	3.75975
SLCO4A1	-3.688
AFG3L1	-2.08433333333333
SHD	-0.9155
RP13-122B23.3	-0.5105
PRKCSH	-0.7175
DPH5	-0.953
HLA-F	1.81225
TBC1D4	-1.35675
RIG	0.0586666666666667
GLUD1	0.554666666666667
HNRPCL1	0.411625
HBXIP	-0.963
RNF207	-0.5475
APIP	-1.14375
PLA2G3	-2.81666666666667
CCDC84	-2.1975
MYLIP	1.00546153846154
PHIP	0.30275
AARS2	-0.122833333333333
DHX32	0.74825
SCAPER	0.377166666666667
MEN1	0.003375
NIP7	-1.768
FLJ25404	0.1525
FASTKD3	-1.191
TMEM158	-1.74466666666667
RARA	1.80825
BDH1	0.249
ANKRD16	1.36
CARM1	0.6035
SS18	0.274333333333333
IKZF2	0.0203333333333333
MYD88	-0.111125
PML	0.8029
TAF1A	-0.8435
CBFB	-1.26975
HIST1H3H	-0.532166666666667
C7orf29	-2.33375
COMMD4	0.252166666666667
DPP3	-0.696
DAB2	0.20075
LOC388882	-0.0245
YPEL4	-0.651875
AGBL3	1.16125
LRP6	0.18
SERPINH1	0.129333333333333
TLE1	-0.268
CD244	0.613833333333333
ZDHHC15	-0.80175
MGLL	0.3781
PLDN	-0.271
LOC654346	1.508
FAP	2.82525
GPR37	1.04716666666667
SCARA5	-0.677333333333333
EBF4	2.43836363636364
LSM6	-0.82875
MLLT1	-0.1006875
SLC5A12	0.10825
A2BP1	-1.3115
COPS5	0.9995
TPM4	0.6675
TNFSF4	1.86816666666667
ACADSB	1.68111111111111
HERPUD1	-0.28975
BCL2L11	-0.348888888888889
CEP78	-1.19575
CDCA3	-1.15575
WBSCR19	-0.1716
MYO1A	-2.087
PPEF1	2.2975
LOC440348	-1.366
CPEB2	1.25
BPTF	-0.17175
RPL21	-1.266875
GSX2	0.1285
ADPRH	0.778666666666667
C17orf68	1.18266666666667
KCNS1	-0.336833333333333
MLLT6	-0.5818
PIWIL4	-0.0295
RNF26	-1.02825
RAP1B	0.21675
ADAMTS1	-2.6065
ZNF571	0.513
P2RY6	0.418
TRIM21	0.808666666666667
CADM3	0.27
NLRC5	0.099
ADRA2B	0.341
LOC90835	-0.883375
PCF11	-0.86325
LOC400451	1.4515
GLTSCR1	0.7746
C17orf88	-0.3275
CDH16	-1.35025
FGF7	1.0045
PCSK4	0.0406666666666667
NPC1L1	-1.17433333333333
TAT	0.083625
TBCA	0.00775
MGC33407	-0.21825
GPR115	-1.03125
CYGB	-0.105
FNBP4	-1.99933333333333
C12orf43	0.50925
CBL	-0.6678
CLECL1	-0.7265
PPAPDC1A	2.32875
WDR25	0.314666666666667
SGCA	0.9675
C22orf29	1.60716666666667
YIPF1	0.85375
GALK2	-0.79775
RAB3B	-3.158
LOC440087	0.7335
UCP1	-0.311
REEP5	1.97075
FADD	2.358
FOXA1	3.56475
CACNA1A	0.3155
ABI1	0.260666666666667
GRIN2D	1.09275
SLC1A4	-0.260666666666667
LOC401127	-0.27725
HINT2	0.611
PLD4	-0.00883333333333333
ZNF286A	-0.689
ENY2	0.38
IL1F6	0.4395
PXDNL	2.738
C20orf79	-0.23125
TNFSF13B	3.11783333333333
DENND3	-0.068625
JARID1D	-3.38075
HIST1H2AK	0.757375
LOC93349	0.3268
SSH1	-0.4938
ENSA	0.23975
LOC219854	-0.347333333333333
CKAP2	-1.3406
DKFZP564J102	-0.263333333333333
MGC87315	0.299333333333333
HNRPAB	-1.40775
AMH	-2.5525
ZNF526	0.954
BRUNOL5	-0.2754
CACNG3	0.0776666666666667
TRPM1	-1.6415
PPP2R1A	0.149125
COL2A1	-1.09375
DDN	-0.367833333333333
FLJ25770	0.455833333333333
HK2	-1.30485714285714
ELOVL6	-1.60575
MDK	-0.738
EPHX1	1.33475
RASSF2	0.127625
DKFZP434B0335	-0.637
DLX3	0.882875
PRTN3	-0.411
AVPR1A	0.90975
C21orf125	-0.75225
TNFAIP8	-1.03983333333333
GNB2L1	-0.8545
CALCRL	2.91525
SCGB2A2	3.6485
UBXD7	-0.03025
ZNF674	-1.098
TMEM35	-0.11525
BRSK2	-0.735375
HECTD3	-0.194
TMEM188	-0.367083333333333
LGALS9	1.52725
SCARB2	2.08766666666667
USP34	0.228583333333333
C17orf28	1.95791666666667
ZDHHC23	-1.328
AQP12B	-0.0265
SLC16A3	-1.636625
APLP2	0.223625
ITIH2	-5.5575
MICAL3	-0.461375
TNNI3K	0.0607
HDAC2	0.32325
PRR7	-0.3188
THBS2	0.614
LOC751071	-1.54383333333333
CA2	2.51316666666667
RANBP17	0.17875
RLN3	1.304
CRYZ	-0.571666666666667
GBAS	0.0116666666666667
TAS1R1	0.18975
MPZL3	0.7645
PCDH8	-0.72175
HSP90B1	-0.292
KCNK15	1.018
TNIP2	0.148666666666667
GPR146	-0.47825
NOL6	-0.65375
SPC25	-2.78544444444444
STEAP2	1.6965
VAMP3	-0.405833333333333
TCIRG1	1.07375
ZP4	0.326833333333333
PARL	-0.094875
TRIM39	0.5055
KIAA1305	1.65625
CRNN	0.275833333333333
GRN	0.78225
HSH2D	1.628
SCAMP1	0.8125625
KIAA1913	0.998
PTS	-0.6405
BANP	0.275071428571429
PRKACG	0.336
ADCY6	0.748
C16orf46	0.444
CYP51A1	0.406625
DDC	-4.5825
ANPEP	-0.9845
PROM1	0.25
SIGLEC10	1.19575
COPG	1.169
FAM26E	1.37025
TRIP4	0.51375
SNX3	0.586
C1orf175	0.321833333333333
PPY2	-0.201
C14orf152	0.3645
FTSJ1	-0.824
DST	-0.6212
LOC554235	0.08025
GLRX5	-0.21
C20orf12	1.0561
CAB39	1.13616666666667
MSH2	-1.77766666666667
PIP4K2C	1.321125
CYLD	0.75775
WTAP	0.052875
MGAT4A	2.15366666666667
TSC22D4	-0.3043
CHRM2	-2.0825
PPYR1	0.0905
CCNH	-1.26516666666667
RRM1	-1.3265
ECAT8	-3.3875
LOC400120	-0.4395
GABRA4	-0.28275
C14orf4	1.41483333333333
C1orf59	-1.12225
CTDSPL	-0.0829166666666667
NHEDC2	-1.2935
PDE11A	-0.688
KLHL29	-2.322
CD5	-1.0236
TSPAN9	1.50175
WDR67	-0.48425
THUMPD1	0.2585
C18orf17	0.188
CLYBL	-0.001
FLJ13231	-0.22225
CMBL	1.471
LECT2	-0.233
NKAPL	1.2475
LOC654780	0.6185
OR4C6	-0.2305
RAB30	1.99466666666667
TSSK4	-0.295
TMEM163	-0.262
OSBPL11	-0.0956666666666666
GNB5	-0.946666666666667
CCL21	0.9225
C1orf121	0.0698333333333333
FMO2	1.10783333333333
RPTN	-0.068
MSTN	0.4085
VCL	0.4505
FYTTD1	0.10125
C11orf1	-0.84225
CCDC88C	0.7600625
HFE	0.265444444444444
MOGAT1	-0.9865
FAM125B	0.847666666666667
IRGQ	-0.2715
RAVER2	-0.30175
AKAP5	-0.088
SSSCA1	0.55725
C11orf63	-0.513125
ACTG2	-0.1393
PORCN	-1.021
DTL	-0.588454545454546
TMEM151	0.3645
FAM122C	-0.63225
RSAD2	3.7235
BAT4	-0.499
KRTDAP	-0.7295
MYH8	0.14025
CRTC3	0.04125
LRRFIP2	-0.5089
INTS4	-0.591666666666667
TTN	-1.36483333333333
SLC26A5	0.45
PLLP	-1.10525
RGS6	-0.5425
SRGAP3	0.732625
ZNF525	0.299666666666667
NBR2	0.698833333333333
C13orf1	-0.4179
ZNF137	0.669
CEP27	-1.5405
BEST2	0.062
RNF121	-0.767
DMRTC2	1.8355
C8orf76	1.47625
BCCIP	-0.209375
MEST	-0.8875
HTRA2	0.109
ANGPTL2	0.26225
ILKAP	0.0901666666666667
ERAS	0.113
HBS1L	0.05225
CPA5	0.1195
TMEM30A	0.8545
CD300LF	1.54066666666667
WISP3	-0.053
CRK	0.752714285714286
PDS5A	0.1654
BRPF3	1.10566666666667
NEDD9	-0.1875
SMPDL3B	0.96025
PSG6	-0.64525
PSMD13	0.14825
ETV5	-1.975125
OR51A4	0.27
BTBD7	0.0561666666666667
GSTO1	-1.160875
hCG_16001	0.003
MAD2L1BP	0.12
COX6A2	1.2315
SCNN1A	1.61633333333333
LSM1	1.59766666666667
UGT2B11	-0.96025
IDUA	0.94625
PPP2R3C	-0.821333333333333
COX11	-1.96933333333333
PDZK1	-2.23525
ZNF443	0.6805
MGC21874	1.5775
ZNF323	0.4277
KRTAP10-10	0.6535
CXCL6	-0.3175
SLC34A2	0.3847
LOC284402	-0.096
NPTN	1.3175
UPP1	-1.93483333333333
SLC6A9	-0.7175
OR7G3	-0.00575
CISD1	-1.21466666666667
ZNF545	-1.51833333333333
SYT14	-0.7485
NT5C3L	0.256666666666667
ZNHIT3	-0.454166666666667
SNRPD3	-0.46875
KIAA0701	0.346375
UNC93B1	1.476
GMNN	-1.73925
SPCS2	-0.523833333333333
LOC388524	-1.829
NAPRT1	2.20925
PNLIPRP1	-0.12225
OR6V1	0.395
PRKAB1	0.09
EYA4	-2.42816666666667
KIF20A	-1.10475
ALG10	0.02375
ITPKC	1.20616666666667
LMX1B	1.87383333333333
RPUSD4	-1.77383333333333
C7orf34	0.110166666666667
DLGAP2	0.158125
PFN1	-0.4152
MICALL2	-0.192083333333333
ZNF654	0.708
SS18L1	-1.326
SLC16A8	0.37175
MKI67IP	-0.3365
ITGB3	-0.746875
TCEA3	2.24741666666667
CEP152	-1.7476875
CLIP1	1.02325
ZNF75	0.2885
ATP5C1	-0.366
NUDT5	-0.5055
PSCDBP	-0.72
UBP1	-0.96
RBM27	-0.07175
C13orf15	1.70725
ZNF282	0.2065
ZNF222	-0.8427
COL10A1	5.8475
PRDM15	-0.618
TTTY5	0.38
FAM9C	-0.213333333333333
C20orf67	-0.02875
GNG13	-0.213
F12	0.06525
C1orf41	-1.854
CPXCR1	0.272
GSK3A	0.626625
SUPT6H	0.058
PI16	-1.79866666666667
ELL2	-0.948833333333333
C9orf167	-1.9415
PVRL3	-2.8332
FLJ38596	1.307
ADAM20	0.2925
GPR89A	0.014
GPR87	-2.0725
ZNF30	0.9545
SMR3B	0.365
ZNF770	0.217875
TRPC4AP	-0.126166666666667
DKFZP686E2158	0.617333333333333
C2orf28	0.361333333333333
FREM1	-2.42733333333333
LAMA4	0.506166666666667
ADPRHL2	-0.34425
EIF4G2	-0.0306666666666667
GUCA1A	-0.5115
CTNNA2	-1.621375
NUDT15	-1.59283333333333
CEPT1	-0.0338333333333333
ZNFX1	1.6066
CCDC92	0.9415
TDRD1	-0.8525
KCNK5	-2.0075
ETNK1	-0.383166666666667
LTA	0.7035
TTPA	-0.299666666666667
B3GALNT2	0.502
SC65	0.616166666666667
PEX5L	-0.8705
EPS15L1	1.14975
MGEA5	-0.547875
HIST1H3A	1.12025
ING1	0.674875
BCAT1	-3.1375
ORC6L	-3.24536363636364
KLK11	-5.4575
C19orf28	-1.48525
DNER	-4.977125
MED22	-0.871285714285714
ETV6	1.05575
CHAC2	-2.7105
CD300E	0.0085
CEBPB	0.095
ZNF398	-0.128
LRCH3	-0.352
HMGA1	-1.866
CAPN7	-0.644333333333333
MGC5566	-2.92125
CCL3	1.987375
NANOS1	0.37675
ZFYVE19	0.54225
APITD1	-0.759833333333333
PARD3	1.60775
IRAK4	0.277
SERPINI2	0.2045
CEP170L	-0.47825
TTC9	2.47175
MYOM3	-1.26625
MLPH	2.2335
LOC222699	-0.0265
NRG1	-0.471416666666667
TBC1D9	4.89845454545455
TTK	-1.9445
ZNF557	0.7139
DDX41	-0.2
FANK1	1.7295
UBE2D2	0.065375
PSMB10	0.548125
MYH7B	-0.545
GABARAPL2	-0.3025
MARVELD2	2.67266666666667
DGCR2	1.88483333333333
UNC45A	-0.239333333333333
C6orf72	0.651
ZNF683	3.08725
GIT2	-0.14525
CASK	0.9035
C14orf161	2.235
LRRC44	-0.0705
TIFA	-0.1325
UTP11L	-1.12225
C6orf65	-0.812
FDPS	-0.02875
DUSP9	-2.0904
SLC17A8	0.057
OR51G1	0.636166666666667
NANS	0.405
OLFML1	1.7005
ATP10B	-1.052375
NPAS3	-0.99925
PRKCA	-2.5393
GGA2	-0.476875
LCE4A	0.332
SPANXN3	0.4085
CCDC115	1.3515
SDCCAG3	-1.14075
GLIPR1L1	0.1055
TTC1	0.22875
C17orf76	0.06825
MAD2L2	-1.936
HIPK1	-0.6096
LRRC3B	0.0838333333333333
CLN3	-0.543045454545454
C17orf47	-0.23
FMN2	-2.637625
TUBB1	-0.923
WAPAL	0.284166666666667
C3orf21	0.124375
SCN5A	-0.4905
SMYD1	-0.3065
BEX5	-2.82575
ZNF192	-0.643
SEC22A	0.226166666666667
GRIA2	-0.169428571428571
KIAA0825	-0.531
NUSAP1	-1.67254545454545
LANCL1	0.278875
C15orf40	-0.5614
ZNF645	0.034625
GPR61	0.623
NLRP14	0.089
SNX21	0.4384
C1QTNF8	0.0495
C17orf46	0.1765
IFNA8	-0.229
