Hybridization REF	TCGA-AN-A04C-01A-21R-A034-07
TSPAN2	0.105
PI3	-0.1695
ZFAND6	-0.24275
C6orf57	-1.531
NUF2	-1.219
ARID2	-0.2435
RCC1	0.6275
CD86	1.4125
FAM91A1	1.20775
CALM2	1.15416666666667
GYG2	0.27475
PARS2	0.280833333333333
INTS12	0.0205
CTSF	0.503125
BNIPL	2.735
GNA13	-0.45175
HUNK	0.72825
ZBTB4	0.4975
B4GALT4	-0.011
CHD1L	-0.896125
MSTO1	-0.259333333333333
FUT8	-1.28246153846154
AGA	0.13925
TRMT11	-0.948666666666667
WWP1	1.791
B9D2	0.850666666666667
STAT1	0.452875
PTTG1	-2.3135
TMEM62	1.88925
SSBP2	-0.5265
MRFAP1	-1.32083333333333
NME4	0.641
LOC55565	0.951333333333333
DLL4	1.263
MYOCD	0.136
HTR3D	-0.6255
C9orf156	0.078
CHMP4C	1.745
PROCA1	-3.15
GCDH	0.19075
APOF	-1.7485
WEE1	-0.721
SSR4	-0.09825
RGS1	7.164
ACCN4	-1.18533333333333
FLJ20489	1.240375
ZNF215	-2.8334
AGPAT6	-1.77725
PDE7B	-0.094
BBX	-1.072375
MS4A3	-4.73383333333333
OR4A16	-0.1385
EFEMP1	0.622125
TULP2	-0.4105
RERE	1.5695
BNC1	-2.34175
PIGB	-1.033
COMMD8	-0.52975
TRIP11	0.3215
FLJ40142	-1.92225
PCDHB6	0.07675
FKBP8	-0.242
FLJ12716	0.6482
POT1	-0.946333333333333
KIAA1109	0.987
PTPRC	0.724909090909091
UNQ9391	0.019
CCT7	-0.563333333333333
EEF1A2	-3.26925
MIPEP	-0.047
ZFX	1.0436
UCHL3	-0.1845
LOC388419	1.511
GSG1L	-0.754
RAB24	-0.824916666666667
SLA2	-0.78
SDS	3.34166666666667
LYPLA3	0.6065
CASQ1	0.4315
SLC25A40	-1.48433333333333
IRAK1BP1	0.34875
ACOT6	-0.00424999999999998
COL9A3	-3.633
ASB11	0.741
C2orf18	0.755833333333333
FOXD2	0.43925
C6orf211	1.168
OR8G1	-0.338166666666667
MDGA1	-0.66625
ADARB1	-1.363375
GGT1	0.539
WNT1	0.2714
DBP	-0.24825
COL5A3	0.8295
RHOD	1.2715
COL4A2	1.58125
LOC201164	-0.4525
HEBP1	0.81725
LUM	0.409333333333333
ZCCHC6	0.3455
PAGE1	-3.3
DTX2	1.3615
SLC7A13	1.5775
H3F3A	1.08421428571429
RABIF	1.443625
D4S234E	-2.9215
DYRK3	-0.189166666666667
PFAS	-1.99366666666667
ALOXE3	0.324166666666667
RPLP0	0.0284285714285715
RBM34	-0.208
C12orf28	2.686
U2AF2	0.259333333333333
MKNK2	0.2095625
SEC16A	1.10516666666667
ZNF44	0.0355
YWHAG	0.370875
IGF2BP2	-3.067
OR1D5	0.2115
SIX6	-2.735
CCR6	-1.21975
PALM	1.33925
PUM2	0.437142857142857
SPRYD5	null
ALG10B	-0.78925
ZNF365	-0.381
PHC1	-2.11225
KIAA0913	0.42975
ARX	0.257857142857143
PPP3CB	0.093
IRX6	0.2013
ANGPTL4	-0.6982
LSM14B	0.248
PCDHGB7	0.402
INSM1	-0.13675
WBP2NL	2.331
ZNF493	-0.908625
NGEF	-0.92725
RNASE13	0.00249999999999999
SPPL2A	-0.4225
SFXN1	-1.95775
FAM102A	0.2275
SAPS2	-0.599083333333333
JTV1	-1.411
OR51B4	-0.8635
SCGB1A1	0.219166666666667
NEUROD2	0.553625
tAKR	0.80525
C1orf26	0.8265
RICH2	0.7915
TEDDM1	-0.05
CYP2S1	-0.982
TBCE	-0.219833333333333
MAPK1	-0.56675
HDHD1A	-0.14675
MRM1	-0.7115
ATP9A	-0.075142857142857
HSD17B3	-0.128666666666667
HN1L	0.56975
RNF216	-0.233875
HOXD12	-0.778
PPP1R14B	0.584875
SBF1	-0.60575
TAS2R42	-0.434
USP46	0.6775
LILRB3	1.739
SPI1	1.05325
OXSM	-0.681
GYS2	0.1946
NUPL2	-1.25075
C8orf46	-1.4495
SF3A1	-0.6743
C21orf99	-0.1645
HOXB4	0.1695
YRDC	-0.18675
GPRC5D	1.6475
BLVRA	-0.31275
KIF12	-0.61
LRRC23	-0.68725
FAM14A	0.1715
RASL12	0.4035
DAZAP2	-0.1705
IKBKB	-0.544785714285714
ZNF271	0.5695
BOK	1.331
CXorf6	1.192
MYEOV	-1.35
BTN2A2	-1.5431
FRG1	-0.17725
HSP90AB6P	-0.1715
ENOX1	-0.4785
ZNF706	0.6015
DOK1	-0.806
PGAP1	-1.43728571428571
TMEM136	-0.695
FSCN1	-1.80775
KIF17	-0.323
TRIM66	0.453
CBR3	1.6235
C13orf24	0.479
C19orf52	0.10925
BNIP1	0.41325
AQP3	2.55525
KRT6C	-1.234
SIRPA	-0.488833333333333
IGFBP6	-1.139
PLEKHK1	0.714875
RNASE7	-0.314
ARHGEF15	0.77025
NPHS2	0.127
SRD5A1	-0.42525
REXO4	-0.198
EEF1DP3	-0.282
SLC37A2	-0.29325
ZNF142	0.9935
ANKHD1	-1.953
MUT	1.0075
VPS37A	-1.27575
GPRIN1	0.3395
SLC38A3	-1.19525
BAZ2B	2.233
WDR87	-0.12
BRD7	0.00575000000000001
POU6F2	-0.1165
NISCH	-0.87125
TCEB1	0.83775
LINGO2	-1.6775
TAX1BP3	-1.00725
RPL34	0.779833333333333
MARK2	1.57766666666667
AKAP12	-2.5661
AMBN	0.5175
SLC25A27	-1.9665
FLJ21865	0.41075
KIR2DS2	-0.130166666666667
WDR77	-0.45375
ATF2	-0.33975
ITFG3	0.3675
SLC39A13	-0.015
ARL6IP5	0.4695
C10orf137	-0.1245
QTRT1	-0.5205
CCNT1	0.1275
DYNLL1	0.7579
WDR53	-0.4055
LIPG	0.0481666666666667
ASAH3	0.6485
HELB	-0.34875
PHACTR2	-0.78925
VENTX	-0.114333333333333
LAD1	2.71483333333333
PAOX	1.29325
MAPK8	-0.158
CCDC38	-0.557
DNAJC8	-1.0398
RBBP8	-0.7525
WNT11	-0.2115
KCNJ12	-0.8885
HDAC8	-0.845
STARD4	-3.17666666666667
ACVR1	0.1575
C14orf65	-0.188333333333333
KLB	-2.677
C1orf65	0.215
ZFYVE28	-1.588125
NSUN6	0.50775
KIF27	1.30933333333333
SYTL2	-1.93666666666667
UBXD2	1.1059
OR6T1	0.696
CCDC91	0.518571428571428
GRID2	0.3855
CALN1	-0.454875
ZNF423	0.04425
PSMB4	-0.587833333333333
XPNPEP3	0.373
ARPP-21	-2.51944444444444
SART1	0.02075
RACGAP1P	-2.3125
SPTA1	-4.32433333333333
C6orf113	-0.269833333333333
C7orf16	-1.33825
CHST7	-0.582333333333333
C21orf29	0.16
SEMA6D	-1.558375
PCMTD1	1.755
KIAA1754	-0.1555
MYCN	0.4693125
KCNJ3	-0.343
MAPK13	2.1559
ERO1LB	0.8395
NTF3	-1.74983333333333
NKX6-2	-0.3285
GTF2B	-0.249
GSPT1	-0.893666666666667
GUSB	-0.647666666666667
LOC221091	-1.9305
LIG1	-0.2375
EXTL3	-1.17266666666667
NID2	-1.37
TTC29	-0.60725
TMEM97	-2.131375
EXTL2	-1.24866666666667
SUZ12	-0.381125
IL1F8	-0.8015
KRT18	-0.975454545454546
MRPS16	-0.07125
PI4K2B	-1.35825
LACRT	3.6185
OR51F2	0.449
JMJD2C	0.341875
KGFLP1	0.27675
CDK5RAP3	-0.2582
YTHDF2	1.34766666666667
GGCX	0.02
ARPC4	0.198
EGLN2	1.908
KBTBD4	0.409571428571429
ROBO3	-0.9087
DEFB118	0.523
KIAA1543	1.3195
RTCD1	-0.382833333333333
MZF1	-0.374
C18orf26	-0.582
CNIH4	-0.406833333333333
ZFP2	0.508
HTATSF1	-0.01825
WFDC2	1.833625
NDUFA7	-0.149
TTC22	1.0285
FAM40B	-3.094
DCPS	-0.2795
SH2D1B	-0.372666666666667
MRGPRE	0.6
SBK1	1.25875
UNQ6411	-0.085
OSBPL9	-1.27425
NUP107	-1.87
MYOZ3	-0.1351
PDE4B	-0.333916666666667
FAM113A	-0.4635
IDH3G	0.00916666666666667
FBXL7	-0.647125
ARFGAP3	-0.137
MAPRE2	-1.44341666666667
IL1RN	0.9745
KIF13A	0.42475
RAC3	0.696
TCTE1	0.2755
TMEM14B	-0.871
ADIPOR1	0.3425
GRINA	-0.3145
CLIP4	-2.1915
LRIT2	-0.011
TFPI	-2.96414285714286
FABP6	1.8945
SLITRK2	0.468
HKR1	0.97775
SMTN	1.28375
C1orf75	-0.381
CD209	0.5745
CYB5R2	-0.75975
DNTTIP2	-0.0303333333333333
CSGlcA-T	0.374875
GABRB3	-0.66575
PCBD1	0.814833333333333
TAF3	0.872916666666667
HOXD3	-0.9855
GIPC3	0.202833333333333
P11	2.9656
BFSP1	0.41875
LCP2	0.4035
TAS2R8	0.8545
SEZ6L	-0.559
NR2C1	-1.797625
EXDL2	0.518
TNFRSF13B	-2.413
MKI67	-0.1825
GLS	-0.199333333333333
C7orf54	-0.5121
LGALS13	0.6135
IL4R	0.20375
SEC11A	-0.640166666666667
SPP2	0.0718333333333333
C18orf32	1.04725
CLSPN	0.137833333333333
SPAG1	1.2825
C9orf82	-0.30975
TM4SF1	-0.374916666666667
EMILIN2	-0.20425
SMG7	0.501833333333333
TAS2R13	0.645
ZNF628	0.471
DZIP1L	-0.930166666666667
ANKRD13A	-1.05
VASP	1.6775
ZCCHC11	-1.89675
SYPL1	-0.544125
MGC34774	0.798
C4orf28	-1.347625
KIAA1211	0.31975
RPS27L	-1.2855
TATDN3	-1.569
PDCD1	0.25275
OR5P2	0.9845
IFIT1L	1.5685
MIPOL1	0.62675
OR51D1	0.134
C1orf92	-1.255
LAMP2	0.217277777777778
CAT	0.4755
C16orf80	-0.693
C15orf32	0.1115
ZNF746	0.33325
C1orf76	-1.1535
ATXN1	1.05625
LAMC2	0.731625
SLC2A7	0.329
CPOX	-2.28025
APH1B	-0.121666666666667
LOC442245	-1.95025
CTNND1	0.757166666666667
GABRG2	0.18725
MADCAM1	0.0873333333333333
F5	-2.30175
SEMA4F	-1.62716666666667
NUDCD3	-0.033875
PDZD11	0.445
TRIML1	0.348
GCNT3	3.43466666666667
TMEM120A	0.65925
CNDP1	0.147
N4BP1	0.40775
SLC35F2	0.00774999999999999
LCP1	-1.557
IGBP1	-0.7166
DCAKD	-0.075625
ELA2A	0.1785
C12orf56	-1.032125
PITRM1	1.02985714285714
GUK1	0.6535
RASSF8	-1.6185625
OR2A14	1.04375
ADM	-3.28422222222222
FGD3	-0.198333333333333
GHRHR	-0.371
RHPN2	2.1825
C4orf39	-1.10666666666667
VPS72	0.01425
SERF2	1.27622222222222
CD22	-0.016
CD47	-1.5383
PPIC	-0.372666666666667
IMPDH1	-0.266666666666667
ACP6	-0.1365
PRKACA	0.17625
PPP1R1A	3.02225
TRPV3	-0.2385
ASXL1	-0.86375
C17orf55	-0.648666666666667
FXYD1	-0.326333333333333
LMOD2	0.094
ANKRD33	0.313
LCE2C	-0.241142857142857
ZNF620	-0.6455
DKFZP566E164	-0.476
VSIG2	0.866
KIAA1128	2.21725
USO1	0.0688333333333333
NUDT4	0.269214285714286
CLDN1	-0.792357142857143
OR4Q3	0.032
FASTK	-0.383666666666667
ICOS	0.792833333333333
LDB1	1.25075
GSTA5	-1.1155
ABCC1	-0.441166666666667
FAM54A	0.97025
PCBP2	-0.954833333333333
NUP205	-1.163
ACTA1	-0.800833333333334
GABBR2	-1.4635
PIP5K1B	0.338166666666667
AGXT	-2.79283333333333
RNF181	-0.323
ATP8A2	-1.085
AFTPH	1.78
FGF21	0.7245
FCER1G	1.495875
SNTB1	1.214
SLC24A3	0.959
TXNL4B	-0.6577
RPL10L	-0.289333333333333
LOC389517	-0.5699
TSGA13	-0.708
SHOX2	-1.6745
ITGA7	-0.6066
KCNIP2	-0.735
KLF13	-0.2031
ZFAND2A	-1.24575
CEACAM1	1.46314285714286
PFKFB4	-2.82416666666667
MED19	0.04175
LRRC57	0.810166666666667
RNF11	0.98025
ANKRD32	-1.90775
P117	-0.021
OBFC2A	0.1915
POLD3	0.332916666666667
RAB18	1.09775
TPH2	-0.3925
PHB	0.5375
JDP2	1.1615
MORF4L1	-1.2352
POU2F1	-0.31375
CNNM2	-0.79275
LOXHD1	0.4115
ZC3H15	0.001
ELK3	0.372666666666667
FAM111B	2.2995
CBLC	3.83683333333333
SBNO1	0.615
ANKMY2	-1.76175
PLEKHA5	0.21025
DHX58	-0.29
ARCN1	-0.304166666666667
TREML1	0.2601
KNCN	-0.082
SEC24A	-1.0865
PSCA	-1.07075
MGC24125	0.9335
DNA2L	-0.457
CIB4	0.26975
HIGD2A	-0.1555
TBX6	0.4235
TTLL5	-0.368166666666667
SGK3	2.09083333333333
GCN1L1	-0.93125
AMOT	2.2578
LDOC1	0.675
NRK	-0.0576666666666666
ASB9	-3.23775
NAT1	0.0548
TRAFD1	-0.21175
PEAR1	0.207166666666667
FAM36A	0.287
OR1S2	1.1415
LOC388323	-1.03925
PGS1	0.0551666666666667
LEPREL1	-3.70925
TFF1	-4.08666666666667
HAP1	0.81775
EPHB2	-1.121
ACTG1	1.2255
ZFP42	0.4604
HAVCR2	0.4074
NME1	0.509
SNX26	-0.000749999999999936
LACTB	-0.00133333333333333
ZKSCAN2	-0.314125
C5orf35	0.302
ANKS3	-0.306
RBM28	-0.286
DKFZP586P0123	0.00025
HNRNPA1	-0.4925
BCAS3	-1.48908333333333
FLJ20184	1.345
POLA2	-1.111
TMC7	1.253
HSD17B6	0.304
ZNF658B	0.0776666666666666
TTTY10	-0.226833333333333
RANBP9	0.111916666666667
CPNE7	-1.054
EVL	-1.08152941176471
LNX1	1.00516666666667
IFNA21	0.659666666666667
CFD	0.674
PYCARD	2.5345
MYBPC2	-0.8745
ENPP3	2.09566666666667
ACSL4	-2.41925
LOC440258	-0.2515
TMEM176B	2.77083333333333
SOX2	-4.243625
SCO1	-0.7666
COMT	0.89475
AOC2	0.1965
PDLIM5	1.93114285714286
SPHK2	0.3225
NXPH2	0.094
GPR108	0.157166666666667
RAD51L1	-0.6326
TMEM54	1.11475
LETMD1	-1.09788888888889
SLC6A17	0.832
KRT75	-1.501
STT3B	-0.278
CD3EAP	1.6085
TMEM63A	0.65825
DUSP13	-2.374
CD1C	-1.2295
LASS2	-0.294333333333333
AVP	1.641
PITPNM1	-1.553
FLJ22795	-0.1635
MCTP1	-2.33225
TRIM68	-0.337666666666667
UCK2	0.296166666666667
ABHD1	0.5415
FAM50A	-0.399
RNASEH1	-0.7915
PCP2	-1.11783333333333
OR52H1	-0.1035
C20orf149	0.737
RBP5	-1.03016666666667
HYAL3	-0.40525
CLPB	0.08875
SMNDC1	-0.52525
DONSON	-1.36833333333333
FLJ27523	-1.55766666666667
BARHL2	0.4668
SLC30A9	-1.741
TMPRSS11B	0.059
E2F8	-1.11383333333333
CCDC25	-1.62558333333333
C14orf48	0.4676
C20orf116	0.0605000000000001
TSPAN11	0.154
YIF1B	0.0325
FAM12B	-0.469
OR1L6	0.653
HPN	0.229
NBN	1.121875
C14orf94	-0.669333333333333
OCLM	0.402
ZSCAN18	0.1773
L3MBTL	-1.3292
TSTA3	0.6765
RAC1	-0.129
C19orf15	0.889833333333333
NFE2	-5.14375
KLK14	0.135
ARSF	0.732
MAST2	0.368833333333333
AMICA1	1.99733333333333
GTF2A1	0.401875
ATP1A3	-0.23875
TC2N	3.6672
PNKP	0.601
ODZ2	0.04275
MATR3	0.152375
S100P	-1.124
KRT82	0.58
CA13	0.019
PROZ	-1.2885
AASDH	0.996285714285714
C19orf40	0.247
DCK	-0.0260769230769231
FAM5C	1.667
SLC6A4	-0.713
MID1IP1	0.509125
TESSP5	0.2195
TMOD4	-0.342166666666667
DOCK2	-1.59066666666667
TUG1	1.152625
NUP214	-0.38475
DPYSL2	-1.3377619047619
GOLM1	0.758416666666667
MPFL	0.1835
SOX13	1.5745
SDCCAG8	0.7202
KEL	-1.5885
NUP210L	-2.2405
GK	-1.24525
DNAJB1	0.833
ALPK3	0.2755
CHID1	-0.417
CYLC2	0.423
IKZF5	0.86225
C8orf51	1.45233333333333
PPM1J	-1.22025
GIMAP8	2.553
GPR101	-3.725
NR2F1	0.3635
ACAD8	0.2885
RBM35A	1.52475
GNAI2	-0.571666666666667
METTL8	1.26183333333333
SLC39A7	-0.9855
FBXO8	0.67425
CAMK1	-0.87275
RFC3	-0.640625
FAM129A	-0.57
ILF2	0.007
FGFBP3	1.572375
NOM1	0.118166666666667
PSMA3	-0.70225
ASCC3	-0.1844
ZYG11A	1.48125
SOX21	-0.698625
LYRM1	-0.329
DEFB1	1.0565
LOC91431	-1.281
OR7C2	2.938
FAM46B	1.869375
TMEM18	-0.48825
ARHGAP30	0.935166666666667
TMEM86A	3.14525
EPHA2	-0.267833333333333
C10orf46	1.0447
TCHH	-0.823166666666667
C3orf30	0.211833333333333
LOC285636	0.5415
PAIP2	-1.023
CYP2U1	-0.834125
C12orf34	1.30925
SARS2	1.04766666666667
ZCWPW1	-0.186
SAMD12	1.680875
KIAA1430	0.007625
ACAT1	-1.33425
MEOX1	0.2435
ADAMDEC1	4.13575
PHKA2	-0.72625
CARD11	-1.71216666666667
CALML4	-1.211
TSSC1	-0.473
TMEM45A	-0.835555555555555
MPP7	2.4715
POU1F1	-0.314
SLC2A13	-1.3839
FBN2	-1.84328571428571
ZC3H7A	-0.3731
LAIR2	-0.44575
ST3GAL1	2.85083333333333
LCT	-0.666
GEMIN8	0.223166666666667
KLF16	0.6743
HIF3A	0.153888888888889
FAM44A	-0.448285714285714
AQP10	-0.8156
PLA2G2A	1.539
FOLH1	1.55733333333333
C20orf186	0.217
MAPKAP1	-0.23775
SPRR2D	-0.748
UBQLN4	0.612166666666667
RSHL1	0.811
PIAS3	-0.255375
MRPL24	0.219
GREB1	-2.6955
FAM27E3	-1.3615
NUP62CL	-1.58475
NEUROG3	1.1185
REEP3	0.469166666666667
MARK1	1.15025
LMBRD1	-1.0265
PRPF19	-0.4435
PNMT	4.48783333333333
CTGLF1	-0.5565
SLC25A16	0.504
EIF2B3	-1.5215
RPA2	-1.39775
PAK6	1.8035
CCDC26	-4.04071428571429
SEMA3E	5.133875
MXD4	0.0845
TNFSF10	3.305
SMARCB1	0.00283333333333334
DTX3L	0.0223333333333333
PLA2G4E	-0.434
PPAP2A	0.4315
ULK1	-0.326583333333333
TAS1R3	-0.204
SLC2A3	-3.24509090909091
ARID3A	-1.262
GNG5	0.2385
ACOX1	1.7882
KIF5B	1.36425
NUP153	-0.25675
MUC7	0.039
CSDE1	-0.368642857142857
CLPTM1	0.7385
C3orf23	-0.77075
LRRC17	-2.11333333333333
TTYH3	0.01525
ATP5B	-1.772
ELF3	2.1814
CPSF3L	-0.170166666666667
ZNF665	0.3405
TLR6	0.0685
GPI	-0.030125
RAD9A	-0.047
NDST4	-3.18225
AGPAT3	0.3945
MAGI3	2.085
ADORA2A	0.437625
CACNG7	-0.002
CAMK2D	0.407285714285714
CCHCR1	-0.903
RPS27A	-0.462
OR10G7	-0.0804
GCM2	0.764
FAM135B	0.309666666666667
E2F1	-0.19725
PLCB3	0.3345
OR2AE1	-0.4305
COIL	0.211
CDC25C	-1.826
RAB11FIP2	-0.251916666666667
TSC2	0.00325
CTGLF5	-0.815
CCDC108	0.4452
OR13C4	0.643
C10orf81	3.3555
PTPRB	1.1495
ACP2	0.32225
LAG3	0.2515
MRPL54	0.141
LOC201175	1.0445
ITGB1BP3	-0.31775
SPTAN1	0.391833333333333
SIPA1L2	1.65825
RCAN2	-1.0585
CDX2	-0.0945
ECOP	-0.44075
ACTR1A	0.606357142857143
PPARG	0.225
BBS10	0.203166666666667
TMEM44	-0.63825
BPIL2	-0.02425
CITED1	-1.4875
IRF6	3.516
PRDM4	-0.325
RRP9	-0.9515
OR10H4	0.187333333333333
IL31RA	0.00666666666666664
GNB1L	-0.132166666666667
MYBL2	-1.064
ZNF407	1.27466666666667
PPIG	1.13266666666667
TTC18	0.3785
RPSA	-0.0415
MAPT	0.417625
MRE11A	-0.375142857142857
C8orf37	-1.01383333333333
RASGEF1C	0.3204
STBD1	0.21875
CTAG2	-0.3232
MGAT5B	-1.74266666666667
ECM1	-0.95375
RLN1	-0.9365
PARP14	-0.16025
EPB41L1	1.1376
HOXA3	-1.79341666666667
MAGEA9	0.2375
RPS8	-0.635
RPS19BP1	0.14925
FOXJ2	0.242
C10orf76	-0.00587499999999998
IL17RE	0.0105
C10orf65	-1.92833333333333
ZNF343	0.0236666666666667
FBXO33	0.277125
UHMK1	-0.057
LY6G6C	0.16475
FGF19	-2.374
C14orf128	-2.22166666666667
IFIT2	2.466875
TIGD1	0.76575
S100G	-0.5065
GUCY1B3	2.505
NR3C1	-1.8864
CORO1B	0.134333333333333
PARP11	0.50825
DNALI1	1.30366666666667
OR4N4	-0.00616666666666669
MAP2K6	-0.0455
FSTL4	0.28375
ANKRD47	0.954375
TMEM171	-0.1185
PNLIP	0.681666666666667
YY1	0.425833333333333
CCDC138	-0.819333333333333
AASDHPPT	-0.2759
CKS1B	-0.5645
MCM3	-1.2805
ANAPC7	-0.616333333333333
FAM110A	2.52775
CDC37L1	1.01333333333333
THTPA	0.29875
NBPF20	-0.46
WDR24	0.42975
NPTX2	-3.32825
CBLB	0.969
CETN1	0.7475
RPUSD1	0.427
FAF1	-0.4185
CDK6	-3.3042
HMX2	0.239
CSK	0.0225
TEAD2	0.466
SNAP25	-1.78666666666667
TUFT1	1.2451
TMTC3	-0.473166666666667
LCK	-2.0015
SGOL1	-0.99
AKTIP	-0.06475
FURIN	1.04
SOX12	0.163833333333333
DEFB103A	-0.6345
RAMP1	0.0115
KIR3DX1	0.4365
GAS2L3	-0.68725
PDE8A	-1.9365
EDN3	-0.217
GMIP	1.25275
SF3A2	0.80425
FN3KRP	1.2815
SMAD7	0.2585
RHBDD2	-0.3885
OR11H6	0.152
PPP1R3B	0.4459
C9orf23	-0.48
CADPS	-2.20975
GOLGA8A	-3.722125
TMEM57	0.998
RGL3	-0.817
S100A14	3.179
FGFR2	-2.0995
XRCC3	-0.40475
RTN4RL2	1.247
MGC3771	-0.123
GH2	0.501833333333333
BTBD2	0.25575
LMO2	-0.71925
RDBP	-0.410625
ACRBP	-1.68025
AMY2A	3.66
DUOXA1	1.314
PTK7	0.7295
TWF2	-0.797833333333333
FAM80A	-0.96375
TNNI2	-3.24183333333333
GLT25D1	-0.758
OCC-1	-3.98275
CYC1	-1.4825
RPL22	0.72
MORN3	1.1166
DISP1	0.1115
PRB2	0.0215
CHUK	-0.9025
HR	-0.127625
CCDC134	0.024625
DENND4B	-0.9475
C14orf130	-0.5665
RAB33A	-1.872
DCST2	0.5615
TNMD	-0.80175
PEX7	-0.747
FAM62A	-0.06075
SRD5A2L	2.10775
IL22	1.1095
RPS26	-1.07083333333333
HOXC5	0.4745
SPATA6	0.53925
FLJ38482	1.74875
ZNF234	2.1305
C18orf22	0.959
SPATA22	0.06125
THOC1	0.49175
CYP7B1	4.27625
KCNC3	-0.04125
C8orf42	-0.6565
ALDH1B1	-0.893166666666667
CCDC100	-0.9979
ARMC4	-2.64225
FAM18B2	-1.0565
SLC44A1	0.698375
FBXO17	-0.9625
C6orf107	0.671
C19orf29	0.5375
ZC3HAV1L	0.50125
PARP6	0.1715
SULT2A1	-3.32628571428571
C1orf159	0.38675
TMC1	0.462333333333333
CHST14	-0.107125
GAMT	-0.69
SMCP	-0.123333333333333
TSPAN33	-0.6985
MIDN	0.2745
NOX4	0.703
RNASEN	0.1618
TBX1	2.22066666666667
SALL2	-1.12775
C10orf35	2.125
CYP2E1	-0.564375
LRFN2	2.29383333333333
ACO1	-2.09266666666667
IQCG	0.4382
MEGF9	2.1395
TM7SF4	0.5465
PLEKHA1	0.563133333333333
STK33	-2.74175
C1orf210	1.58025
SNUPN	-0.5923
KIAA0406	-0.6269
C20orf29	0.39275
TMEM55B	0.19025
OSTM1	-0.080375
CLCN7	0.011
OTP	-0.146
FLJ23049	-0.10925
HEATR4	0.819
MAP3K10	1.15466666666667
PCDHGA9	0.272
AMDHD2	-0.25725
LCTL	-0.2815
PDCD2L	1.54825
CABLES2	-0.36825
SLC5A9	-0.7855
CLCA2	3.91266666666667
MGC16025	1.1295
STRAP	-0.837666666666667
C20orf196	0.184
RRBP1	0.527666666666667
NAT13	-0.46825
MAT2B	-1.3695
CSNK1D	-0.0376666666666667
KIR3DL1	0.722
PRKAG3	0.629
ZNF599	-0.846
PRM3	1.183
PER2	1.03516666666667
ASPHD1	-2.28
PRMT6	0.30525
KCNE1L	-0.507785714285714
FAM118A	0.692666666666667
TAF4	0.2075
NDUFB6	-0.5765
TRIM9	-0.870818181818182
PMFBP1	-1.214
KY	0.2175
DKFZp762E1312	-1.063
CSMD1	-1.3595
TBP	-1.71283333333333
OR1Q1	0.148333333333333
RETNLB	0.4325
HPGD	-0.390071428571429
DNAJC12	-3.58333333333333
FKBP1B	-2.95675
ANKRD24	-0.0412
CXXC5	0.2305
IL3	0.59
DRAM	-0.6546
PTCH1	-1.3955
TP53BP1	-0.176
SLC17A7	0.0637142857142857
COL25A1	-0.651888888888889
AMACR	0.936166666666667
RHCG	2.6585
VPS13A	-0.164083333333333
FAM55D	-0.519
PRPF38B	-0.53225
OSBPL6	-3.01
PFDN5	0.315
CMTM6	-0.039
KCNK12	-1.0405
RP2	0.012
C16orf52	-2.2355
PICK1	0.229
IFNE1	-0.916333333333333
SEMA4B	0.416
TYRO3	-1.16825
OR12D2	0.1685
CSNK1A1	-0.17765
FANCF	1.042
LONP2	0.952625
TBL1Y	1.3055
LDOC1L	-0.06
CCNC	-0.294
C3orf60	-0.72775
CHKA	0.51375
UBAP1	0.7955
MAP3K1	2.173
ANKRD9	-0.57625
FAM92A1	-2.91683333333333
GAB2	-0.056625
AZU1	-0.58775
DIS3	-0.6035
C21orf109	-0.799666666666667
IQCB1	-0.539
SPATS2	-0.231666666666667
EFCAB3	0.3045
PRB3	0.711625
FUZ	-0.0856666666666667
ZNF813	0.46775
BMPER	-1.147
HEG1	-0.511875
ALS2CR11	-0.69275
SURF2	0.13975
PSMC1	-0.5225
OR2D2	0.341
SLC7A8	1.51116666666667
C4orf40	0.00899999999999998
SPATA7	0.04075
MAZ	0.0488333333333333
PIN4	0.07625
PDE1A	-1.260125
TAF6L	0.891166666666667
OR2T34	0.367
KIAA0284	-0.2245
ACADS	-0.566818181818182
MKRN2	-0.9095
C18orf56	0.394
MS4A6E	0.6082
GALNT4	0.398222222222222
C22orf31	1.126
FLJ36070	1.1565
PSME4	1.2135
TFG	-0.5819
EPHX2	-1.149875
ANXA5	-0.34775
KRTAP1-1	-0.0998888888888889
BATF	2.237
KARS	-1.46325
MSTP9	-0.861
GPR26	0.74125
CCDC72	0.09025
TEF	-0.404666666666667
FOXK1	-1.0857
PRLHR	0.3295
EMX1	0.92975
C11orf30	0.248125
ICK	0.816
THSD7B	0.673
C21orf100	-0.92
DUOX1	2.784
EFCAB4B	0.72
UBE2G2	-0.774666666666667
C3orf54	0.2015
PARP1	-0.3115
FAM60A	-1.42316666666667
C6orf146	-0.167
OR9K2	0.447
DDX55	-1.2255
RPS15	0.128416666666667
ZNF618	0.879875
DKFZp686D0972	0.357
SSPO	-1.517
SHFM3P1	0.415166666666667
CPA6	-0.89125
JAG2	1.02775
DEFA3	0.60475
PPBPL2	0.4668
CD34	3.65625
SLCO4A1	-2.633125
AFG3L1	-1.67083333333333
SHD	-0.1715
RP13-122B23.3	-0.387833333333333
PRKCSH	-0.448333333333333
DPH5	-0.146666666666667
HLA-F	0.413875
TBC1D4	-1.7575
RIG	0.620666666666667
GLUD1	0.368833333333333
HNRPCL1	0.056125
HBXIP	-0.4905
RNF207	-1.594
APIP	-0.83
