Hybridization REF	TCGA-C8-A12W-01A-11R-A115-07
SSH1	-0.8633
ENSA	-0.2685
LOC219854	0.641166666666667
CKAP2	-0.5897
DKFZP564J102	-0.486333333333333
MGC87315	-0.232833333333333
HNRPAB	-0.76425
AMH	-2.1975
ZNF526	0.814
BRUNOL5	-0.0956
CACNG3	0.0503333333333334
TRPM1	-2.1205
PPP2R1A	0.944375
COL2A1	2.2475
DDN	-0.235833333333333
FLJ25770	0.1869
HK2	-1.39178571428571
ELOVL6	-0.881375
MDK	0.6845
EPHX1	2.653
RASSF2	0.802
DKFZP434B0335	0.08825
DLX3	0.49025
PRTN3	-0.08725
AVPR1A	0.29825
C21orf125	0.64575
TNFAIP8	-0.949833333333333
GNB2L1	-0.71775
CALCRL	2.54
SCGB2A2	8.90583333333333
UBXD7	-0.186
ZNF674	-0.131
TMEM35	0.549125
BRSK2	-0.577875
HECTD3	0.457166666666667
TMEM188	-0.2415
LGALS9	2.234875
SCARB2	0.87525
USP34	-0.516916666666667
C17orf28	2.635
ZDHHC23	-1.52825
AQP12B	-0.135
SLC16A3	-0.7315
APLP2	0.72875
ITIH2	-5.459
MICAL3	-0.525875
TNNI3K	-0.617111111111111
HDAC2	-1.032875
PRR7	0.3548
THBS2	1.1165
LOC751071	-0.402
CA2	2.23666666666667
RANBP17	-1.26225
RLN3	0.111
CRYZ	0.0505
GBAS	0.0936666666666667
TAS1R1	0.03325
MPZL3	0.417
PCDH8	-2.677
HSP90B1	-0.381416666666667
KCNK15	2.4455
TNIP2	-0.207166666666667
GPR146	-0.774
NOL6	-0.412875
SPC25	-1.73644444444444
STEAP2	1.31342857142857
VAMP3	-0.131
TCIRG1	1.3375
ZP4	-0.0108333333333333
PARL	0.052125
TRIM39	-0.0835
KIAA1305	0.615
CRNN	-0.0905
GRN	0.88125
HSH2D	-0.18925
SCAMP1	0.3093125
KIAA1913	2.2695
PTS	0.008
BANP	0.146928571428571
PRKACG	0.07425
ADCY6	-0.0968333333333333
C16orf46	0.136
CYP51A1	0.284375
DDC	-5.937
ANPEP	-0.198166666666667
PROM1	-2.63166666666667
SIGLEC10	2.89725
COPG	0.314
FAM26E	1.64025
TRIP4	0.97425
SNX3	-0.108333333333333
C1orf175	0.16
PPY2	0.4395
C14orf152	0.249333333333333
FTSJ1	-0.5905
DST	-0.235105263157895
LOC554235	0.09075
GLRX5	-0.7235
C20orf12	2.1379
CAB39	-0.119333333333333
MSH2	-1.34383333333333
PIP4K2C	1.031375
CYLD	0.426625
WTAP	-0.2013125
MGAT4A	1.10144444444444
TSC22D4	-0.4269
CHRM2	-1.766
PPYR1	0.624333333333333
CCNH	-0.519666666666667
RRM1	-0.88925
ECAT8	-3.03
LOC400120	-0.82775
GABRA4	0.0796666666666667
C14orf4	0.841
C1orf59	0.855
CTDSPL	0.365083333333333
NHEDC2	0.1555
PDE11A	-1.6615625
KLHL29	-1.525
CD5	-0.7951
TSPAN9	2.26075
WDR67	-0.28475
THUMPD1	0.4669
C18orf17	0.04575
CLYBL	-0.504666666666667
FLJ13231	-1.05975
CMBL	-0.2295
LECT2	-0.324333333333333
NKAPL	2.40166666666667
LOC654780	0.6525
OR4C6	0.1335
RAB30	-0.448166666666667
TSSK4	0.511
TMEM163	0.5635
OSBPL11	-0.1965
GNB5	-1.61266666666667
CCL21	0.89075
C1orf121	-0.199166666666667
FMO2	1.58583333333333
RPTN	0.235
MSTN	-0.343
VCL	-0.3015
FYTTD1	-0.4085
C11orf1	0.412
CCDC88C	-0.225375
HFE	-0.429222222222222
MOGAT1	-1.695
FAM125B	-0.271333333333333
IRGQ	0.8785
RAVER2	-0.3645
AKAP5	-0.319
SSSCA1	-0.129
C11orf63	0.908375
ACTG2	0.8079
PORCN	-1.312
DTL	-0.916181818181818
TMEM151	0.5735
FAM122C	-2.456
RSAD2	3.4202
BAT4	-0.4025
KRTDAP	-2.15683333333333
MYH8	0.322166666666667
CRTC3	-0.3065
LRRFIP2	0.5194
INTS4	-0.381833333333333
TTN	-2.197
SLC26A5	0.201
PLLP	-0.93925
RGS6	-1.32985714285714
SRGAP3	0.145
ZNF525	0.138833333333333
NBR2	0.403
C13orf1	0.8126
ZNF137	-0.165
CEP27	-1.10575
BEST2	0.656
RNF121	-0.3855
DMRTC2	0.06275
C8orf76	0.96125
BCCIP	0.10225
MEST	-0.78625
HTRA2	-0.6745
ANGPTL2	1.23825
ILKAP	-0.560166666666667
ERAS	-0.1055
HBS1L	-1.338625
CPA5	0.432
TMEM30A	-0.00333333333333334
CD300LF	2.7625
WISP3	2.3305
CRK	0.689714285714286
PDS5A	-0.0353
BRPF3	0.157166666666667
NEDD9	-1.137875
SMPDL3B	0.8035
PSG6	-2.71725
PSMD13	-0.158
ETV5	-1.1125625
OR51A4	0.306
BTBD7	0.519416666666667
GSTO1	-0.636375
hCG_16001	0.82
MAD2L1BP	0.00366666666666667
COX6A2	2.1495
SCNN1A	3.35466666666667
LSM1	1.42566666666667
UGT2B11	-2.682
IDUA	0.8425
PPP2R3C	0.526
COX11	-0.832666666666667
PDZK1	-2.6095
ZNF443	0.3535
MGC21874	0.983666666666667
ZNF323	0.8396
KRTAP10-10	0.846
CXCL6	-0.52875
SLC34A2	2.0342
LOC284402	0.231
NPTN	1.59725
UPP1	-1.53208333333333
SLC6A9	-0.0775
OR7G3	-0.33575
CISD1	-0.046
ZNF545	-0.633333333333333
SYT14	-3.437
NT5C3L	0.0505
ZNHIT3	0.5445
SNRPD3	0.989
KIAA0701	-0.02875
UNC93B1	1.76283333333333
GMNN	-1.0585
SPCS2	0.3525
LOC388524	0.6305
NAPRT1	0.038125
PNLIPRP1	-0.392333333333333
OR6V1	1.1025
PRKAB1	-0.804
EYA4	-2.64183333333333
KIF20A	-1.696
ALG10	1.489
ITPKC	0.8205
LMX1B	1.2755
RPUSD4	-0.873
C7orf34	0.2798
DLGAP2	0.69525
PFN1	0.5517
MICALL2	-0.491333333333333
ZNF654	0.455
SS18L1	0.208125
SLC16A8	1.1815
MKI67IP	-0.623666666666667
ITGB3	0.10975
TCEA3	1.94308333333333
CEP152	-2.11586666666667
CLIP1	0.8135
ZNF75	-0.4786875
ATP5C1	-0.0873333333333333
NUDT5	0.248666666666667
PSCDBP	1.27675
UBP1	-0.23625
RBM27	0.6205
C13orf15	2.536625
ZNF282	-0.71
ZNF222	0.126
COL10A1	5.93825
PRDM15	-0.612125
TTTY5	0.5485
FAM9C	-0.205833333333333
C20orf67	1.378
GNG13	-0.3165
F12	0.21175
C1orf41	0.36125
CPXCR1	-2.278
GSK3A	0.357625
SUPT6H	0.548166666666667
PI16	-1.62283333333333
ELL2	-0.761083333333333
C9orf167	-1.56033333333333
PVRL3	-1.829
FLJ38596	0.687666666666667
ADAM20	-0.55
GPR89A	0.1
GPR87	-1.234
ZNF30	0.282
SMR3B	0.03875
ZNF770	0.33275
TRPC4AP	-0.847166666666667
DKFZP686E2158	-0.309
C2orf28	-0.00499999999999999
FREM1	-2.29833333333333
LAMA4	0.5145
ADPRHL2	-0.20475
EIF4G2	0.170666666666667
GUCA1A	-0.2285
CTNNA2	-1.669375
NUDT15	-0.807333333333333
CEPT1	-0.4655
ZNFX1	0.9434
CCDC92	0.77825
TDRD1	-1.047
KCNK5	-0.856333333333333
ETNK1	1.26941666666667
LTA	0.262
TTPA	0.369166666666667
B3GALNT2	0.021
SC65	-0.037
PEX5L	-1.299375
EPS15L1	0.71825
MGEA5	-0.906125
HIST1H3A	1.2595
ING1	-0.364
BCAT1	-2.04925
ORC6L	-1.59363636363636
KLK11	-5.16816666666667
C19orf28	-0.9965
DNER	-4.57325
MED22	-0.493785714285714
ETV6	1.31183333333333
CHAC2	-1.387
CD300E	0.507
CEBPB	0.7385
ZNF398	-0.34025
LRCH3	-0.393
HMGA1	-1.27416666666667
CAPN7	-0.00933333333333334
MGC5566	-3.282
CCL3	3.668875
NANOS1	0.387
ZFYVE19	0.4185
APITD1	0.184166666666667
PARD3	0.6655
IRAK4	3.1315
SERPINI2	-0.407
CEP170L	-0.503
TTC9	2.133125
MYOM3	-1.67375
MLPH	1.4345
LOC222699	0.005
NRG1	-1.87866666666667
TBC1D9	1.88218181818182
TTK	-2.105
ZNF557	0.1997
DDX41	-0.141333333333333
FANK1	1.666
UBE2D2	0.005375
PSMB10	0.54625
MYH7B	-1.364
GABARAPL2	0.575875
MARVELD2	0.758666666666667
DGCR2	0.533
UNC45A	0.149666666666667
C6orf72	0.0725
ZNF683	4.27925
GIT2	-0.212625
CASK	0.738
C14orf161	2.14716666666667
LRRC44	2.0285
TIFA	0.024875
UTP11L	-1.012875
C6orf65	-0.08775
FDPS	-0.315
DUSP9	-1.1836
SLC17A8	1.59266666666667
OR51G1	0.119
NANS	0.295
OLFML1	2.026
ATP10B	-2.110875
NPAS3	-0.0825
PRKCA	-2.4276
GGA2	-0.290875
LCE4A	0.5695
SPANXN3	0.5635
CCDC115	0.263375
SDCCAG3	-1.11525
GLIPR1L1	0.24975
TTC1	-0.5545
C17orf76	0.653
MAD2L2	-1.58825
HIPK1	0.023
LRRC3B	-0.627166666666667
CLN3	-0.286181818181818
C17orf47	-0.863
FMN2	-1.405875
TUBB1	0.172125
WAPAL	-0.0756666666666667
C3orf21	-1.10725
SCN5A	-0.241
SMYD1	0.35025
BEX5	0.2325
ZNF192	0.4195
SEC22A	-0.0551666666666667
GRIA2	-0.0259230769230769
KIAA0825	-1.92375
NUSAP1	-1.48218181818182
LANCL1	-0.903375
C15orf40	-0.4626
ZNF645	0.070125
GPR61	0.06825
NLRP14	-0.943
SNX21	-0.2107
C1QTNF8	0.121
C17orf46	0.276
IFNA8	-0.0735
SPRR1B	-2.11666666666667
FLRT1	-0.60025
SNX17	-0.710166666666667
ASB2	-0.4275
HBG1	-5.2485
RPRML	-1.52575
JOSD2	1.7195
PLSCR3	0.2065
SPOCD1	0.61
RAB39	0.168
GHRH	2.21383333333333
ITIH5L	0.35175
C17orf37	1.146
SMCR8	0.68925
DPY19L2P3	-1.1065
IL11RA	0.0953333333333333
GDF3	-3.46866666666667
RPS6KB1	-1.13491666666667
DNAJC19	0.2073
TOP1	-0.75325
CRCT1	-0.287875
MPST	0.769125
DPM2	0.897625
FAM38B	-2.30566666666667
SLC18A1	-2.895
FARP1	0.0825
PAX7	0.0845
TUBD1	-0.53375
GNL3	-0.5975
BTG2	0.955466666666667
NDUFS6	-0.82725
C1orf79	-1.89725
ERAL1	1.158
ECHS1	0.19725
VPS4A	-0.000333333333333338
CYP11A1	-0.828875
ABCC6	-1.13871428571429
PBX4	-2.944
MOSC1	-0.979625
NCF4	0.7675
HYMAI	1.1565
NAGPA	-0.072
OTOP2	0.30825
ACOT12	0.182
MTHFD2L	-1.38125
LOC441376	1.0775
C19orf34	0.105
RAB1B	0.07525
ALDOAP2	-0.055
NTRK1	-1.22583333333333
ARTS-1	-0.4895
SLC6A11	-0.454
NAP1L2	-1.7045
CNGB1	0.329666666666667
EPB41L4B	-0.84125
FAM134B	-0.079875
HS3ST3A1	-1.34383333333333
CPXM2	5.54025
SIRPB2	-0.0475
CHORDC1	-0.1455
TRIB3	-0.0193333333333333
SLC2A5	1.27675
C2orf49	-0.313166666666667
DDX5	-0.715
OR5L1	1.79
ANAPC4	-0.394666666666667
ZSWIM1	0.95325
LOC93622	0.676
KCNK3	-0.5173
RP11-35N6.1	-3.12857142857143
ZFP161	-0.334666666666667
AQP9	5.10475
SLC15A2	0.763
MREG	0.2125
OR9I1	0.508
PDLIM2	0.254625
ADAM7	0.067
GSTCD	0.449666666666667
WDR21A	-0.6575
SLC12A8	1.1655
TMEM174	0.2185
IGSF3	0.65025
LRRN1	0.2645
LOC402117	0.038
SRPK1	-0.933833333333333
LY6K	-0.16125
NFIA	2.426
PTCD3	-0.804875
LEP	0.7245
PCDH21	-0.716166666666667
MAPKAPK2	0.141642857142857
NMNAT1	-0.109166666666667
LHFPL2	1.147
C9orf43	0.534
DIP2A	0.317
ACTR8	-0.0835
CCDC34	-0.605
PTPN22	-0.219625
ITGA3	-1.227875
FAM129C	0.15625
RABGGTA	0.6855
UNC45B	0.2705
KIAA1033	0.069375
ZNF510	-0.611
CYP2D6	-0.4005
SLC26A10	-2.241
STX8	0.31525
LUZP1	-0.5075
WDR89	-0.0803333333333333
EIF4G3	-0.5512
C5AR1	2.05425
ZNF623	0.286
A2M	1.06025
TGM7	0.296
GRPEL1	0.026
LMNB2	-1.5052
ROCK2	-0.8385
SNX16	0.659375
CCDC66	-0.36375
ANXA3	-1.88175
KIAA1609	-0.11
EED	-0.75025
RNF32	-0.4255
HES1	-0.2643
CLC	0.795833333333333
ISL1	-0.892
KIAA0528	0.9365
MANEA	0.245
C1orf61	-1.9665
hCG_2001000	1.0115
RAPGEF6	0.0085
KIAA0020	-0.5725
NEIL1	0.12075
C16orf45	-0.317875
RBM10	-0.562666666666667
C10orf125	-0.704875
MRS2L	-0.48175
DNAH17	-1.346
C19orf10	-0.65475
C1orf160	0.42875
SLFN12	-0.11775
EXOC3	-0.642666666666667
HIST3H3	0.633
NCOR2	0.436
TNFRSF9	0.03475
MFSD8	0.74525
ALX1	-3.556
NOL1	-0.2435
PODN	3.641
TIAL1	-1.04575
HIST1H1E	1.93925
NPY6R	0.71325
TM4SF4	-0.75725
CORO2A	-0.2935
ETNK2	1.2725
APOE	1.8849
ANGPT4	-0.295
HDGF2	-0.521
G30	1.437
ST8SIA4	-0.3015
F2RL1	-0.205625
FAM19A4	-4.27925
CCAR1	-0.21475
B3GNT7	0.461
OPHN1	-0.279444444444444
DSCR6	2.4095
C21orf13	2.14666666666667
GAS2L1	1.09591666666667
RFX3	-0.428333333333333
COPS4	0.5795
BCHE	-4.83566666666667
BCL2	0.86775
HBZ	-2.93183333333333
ARL13B	0.41825
MAPBPIP	0.74475
MYO15B	-1.013125
SPZ1	-0.052
KIAA1324	1.47522222222222
PLCL2	-0.448125
C4orf29	-0.9275
WDFY2	-1.1105
ZNF284	-0.553
NAALADL1	0.732
DUSP5	0.696166666666667
PXDN	0.857125
SLMO1	-0.352
TNXB	0.6853
BIRC7	-0.681
A4GALT	2.04333333333333
TIMM22	0.62975
FAM110C	0.0755
TOMM34	0.119875
ABHD9	0.421
ADAM32	0.2355
CRHBP	0.67075
AQP2	0.5815
LOC130355	1.99575
ZNF187	-0.190166666666667
ZNF816A	0.215
F7	1.27125
CNOT1	-0.0772
SLC13A4	0.283
ZBTB11	-0.12825
B3GALT5	0.465
EXOC2	0.0635
IRS1	1.239
TMEM1	0.706833333333333
MRPL34	-0.515166666666667
SAMM50	0.059
CDC42EP3	-1.09875
HSF2	-1.7973
MFN2	-0.32875
TSPAN7	-3.008
NUCB1	1.28533333333333
RHOH	0.139
ARL16	-0.328
TACR1	-0.47375
SFRS5	-1.435
SNX25	-0.022375
RHBDF1	0.107333333333333
PCDH18	1.54033333333333
HMG1L1	-0.56425
MYO5C	0.8725
MAPK10	0.6195
LDHAL6A	-0.566
NUDT12	1.59766666666667
NCAM1	-0.214375
GLIS2	0.281
GGTL4	1.2805
DAPP1	-0.29925
ATF7	0.695125
KIAA0748	-1.01625
NFIL3	-0.553
TM6SF1	1.3773
SEZ6	0.00962499999999999
NANOS3	1.42483333333333
DNAJA3	-0.0211666666666667
CLDN6	-2.1365
CIITA	2.3607
EPHA4	-1.5335
FANCC	-0.39175
CMTM3	0.93275
PSG3	-0.529
MRPL15	1.09925
C21orf59	0.06275
PLCXD2	-0.47925
C2orf34	0.00674999999999999
UBE2L6	0.918125
MED14	-0.387666666666667
HP1BP3	0.0522
C6orf208	0.3275
TPBG	0.72475
OSR2	0.806625
XPC	-0.6935
KLHL7	-0.533166666666667
CCR3	-0.6455
AGTPBP1	-0.4675
PCSK6	-0.983133333333333
STAT5A	-1.5016
FAM18B	1.152
LONRF2	-0.714
PTPN2	-0.837875
SF3A3	-0.807
EFCBP2	0.2475
HCFC1	-0.588833333333333
AHNAK	0.7506
ACTR5	1.7795
KIF14	-1.91428571428571
TENC1	0.2565
HEATR5B	0.662
YIPF2	0.243166666666667
MYEOV2	1.09433333333333
DUSP18	1.5095
KIAA1012	-0.02025
AHR	-0.259666666666667
C17orf53	-0.516666666666667
PTPRH	-2.92975
ATP6V1C1	0.9343
TAS2R3	-0.486
LOC440356	3.087
COQ10B	-0.3175
PSMF1	0.3365
SORBS2	0.719333333333333
NFE2L2	0.171
TMCO7	0.175
SH3PXD2A	0.2909
SH2D2A	-1.171
SPINK5	-4.42775
MRPS24	-0.51425
OPA3	0.730625
TRAF7	0.325333333333333
C4orf35	0.3935
MT1G	1.55525
MGC39545	0.364333333333333
HS1BP3	0.2024
OR2B2	0.3385
CHRM4	0.655
SFRP2	3.64208333333333
RIC3	-1.44925
ART1	0.119
C6orf1	0.37775
DUS4L	-1.30775
C10orf104	-0.287
TNFAIP6	3.44275
RTEL1	0.76975
CCT4	-0.6245
ZNF709	-0.43125
CHMP6	0.8085
UPP2	-0.879333333333333
CYP19A1	-2.77925
CD151	0.592833333333333
NDUFA13	0.244333333333333
ARFRP1	0.831333333333333
FAM26B	1.66925
CRYBA1	-1.443
MRPL41	0.00466666666666666
NPFFR2	-0.987
HRH2	0.1445
SCAMP3	0.0953333333333333
MTMR6	0.4332
MTG1	-0.987666666666667
UBTD1	1.4855
CRABP1	0.431
FLJ33790	0.2642
KIAA1908	-0.887166666666667
GPR158	1.24875
PACSIN3	0.1125
OMD	4.03566666666667
CATSPER1	0.071
HOXB8	-1.001375
FBXO46	1.037
OAS1	1.15183333333333
SVIL	0.622
PHB2	-0.144
ADCY3	-0.729
NDRG2	-0.133333333333333
ERMAP	-0.3146
APBA2	-1.68133333333333
IGSF9	1.06675
WNT6	-0.0720714285714285
MYCBPAP	-0.9605
ATP2B2	-0.0434444444444445
CPVL	-0.0673
TRAM2	-0.296416666666667
NOP5/NOP58	-0.48125
ZNRF4	0.2135
TLK1	-0.693125
MTMR12	-0.918642857142857
ZNF384	0.019
FAM9B	-3.30925
RPN1	-0.2717
PMVK	0.84
EIF3D	0.6951
SIX2	1.34075
HPS1	0.123142857142857
RNF7	-0.07525
PSKH2	-0.126
KCTD13	0.07
CSMD3	-0.6275
FBF1	0.214
IL8	-4.26075
SERPINB13	0.415222222222222
FBXL20	0.24525
BLR1	0.5655
SH2B1	-0.712333333333333
RFNG	-0.15025
RAB20	0.986666666666667
RBM7	-0.2895
POLR1A	-0.689
TMPRSS4	-0.91975
TAF9	-0.8405
TERF2	0.724333333333333
TNFRSF1A	0.637833333333333
ACADVL	-0.0176666666666667
GTF2H5	0.3885
EDG8	1.1415
C9orf140	-0.62325
UST6	-0.2335
ZBTB8OS	0.05775
ZNF710	0.5515
GPR174	-2.002
ATP6V0A2	-0.75275
KIAA0319L	-0.67725
XKRX	1.3155
DOPEY2	1.9618
SDHD	-0.076
SUMF1	1.769
OSM	3.72
OPN3	-0.6795
DAGLB	-0.0888333333333333
PPFIBP1	0.7205
TRIM63	-3.42375
C10orf53	-0.0325
LYPD3	1.51033333333333
BCL7A	0.00975
AGER	-1.76916666666667
TCF19	-0.834
SAT2	-0.25675
PFTK1	1.2455
GABRE	-3.868
C15orf38	1.9483
FIS1	0.024
KCNV2	-0.302
CLPS	1.186
PPCDC	0.00550000000000001
FOXN2	1.02233333333333
NT5E	-2.4663
CD83	1.2725
IL18	1.129
VPS16	-0.2685
IGFBP2	-0.727166666666667
NOTCH2	0.226
SIGLEC1	3.14625
CD93	4.8745
SULF2	0.10275
CEP164	-0.433625
P53AIP1	-0.103833333333333
TOR2A	0.108166666666667
ZNF136	-0.47625
MGP	2.9908
CCDC144A	-0.862333333333333
TRPC1	-1.0035
SMS	-0.7095
MAPK7	-0.123166666666667
RRAGC	0.2635
PARD6A	1.301
NUB1	-0.282333333333333
SYNGR4	0.68125
OR11H12	-0.1265
WIF1	0.383125
GCH1	-0.14075
OR11H4	-0.219
SLC44A5	-0.3525
GPRIN2	-0.8785
LOC401431	-1.2145
CPA4	-2.2346
MELK	-1.40022222222222
IL15RA	0.722
CUL3	0.635
HMBOX1	-0.889
PODXL	-3.09625
CCT6B	0.774666666666667
COMTD1	-0.06925
MUC20	-2.26966666666667
GPX2	-3.39
ITK	-1.515875
FBXL5	1.7065
C13orf27	-0.44575
DEFA5	0.265
TRHDE	1.043
MTP18	0.537166666666667
UQCRQ	0.3424
ITGB2	2.21191666666667
CSRP2BP	1.02
TAS2R44	0.515
PHPT1	0.27325
FAM44C	-0.16425
ERH	-0.14025
MPHOSPH1	-1.45116666666667
MORC1	0.007
PARVB	0.2055
LAMA1	-1.9345
PGBD3	-0.101
GIMAP6	4.10025
AREG	-0.481833333333333
LIPT1	-0.2445
MGC99813	-0.38125
C1orf201	0.597166666666667
GRIN2A	-1.0159
MAN2C1	-0.673375
NSUN5	-0.6045
SF3B5	-0.12175
MYC	-1.8265625
NRXN1	-1.20675
ZNF18	0.5565
SPDYA	-0.59225
SLC37A1	1.38
DECR2	-0.011
ANKRD38	0.891625
SPTLC3	-2.39333333333333
SUPT16H	-0.0975
DTWD2	0.701
ULBP1	-1.36
ZADH1	0.277666666666667
OIP5	-0.51875
IL10RB	0.0663333333333333
OTUB2	0.06725
VWA3A	-0.2436
SPIC	-0.196
OR6C4	-0.17
PSCD4	1.515
DPY19L2P2	-0.8185
TRAPPC6A	1.21016666666667
C21orf2	-0.5865
CEMP1	-0.21975
LIN7B	0.7735
E2F7	-1.38016666666667
VCP	-0.3383125
LAMA3	-0.304666666666667
BGN	3.21175
GPR160	0.552166666666667
COCH	-4.18733333333333
GPR81	2.26083333333333
APOBEC3F	-0.766
tcag7.1017	-0.9505
C1orf32	1.156
SCGB1D2	6.346
FLJ43987	-1.7215
C6orf170	-0.8545
KLK9	0.37
GPD1L	0.773
VPS37B	0.44275
ATG3	-0.633166666666667
ADAMTS17	0.5065
KLHDC2	-0.161833333333333
NDUFV2	-0.32575
BLK	-2.1145
MATN4	-1.5165
GPM6A	-0.33
GBP4	3.3295
TMEM162	0.6554
PKP2	0.4555
HRASLS	-2.36166666666667
MMP1	0.2615
SFXN3	-0.1
FSD1	-1.9775
ST6GALNAC3	-2.25083333333333
CA12	3.1968
NCOA6	-0.20725
C19orf58	0.0678
PPP4R1	-0.708333333333333
MAN1A2	0.545833333333333
IKBKAP	-1.45725
UPF1	-0.156833333333333
KIAA1219	1.898
WNT16	1.28133333333333
SNW1	-0.857375
IL18RAP	3.1325
RPP30	-0.325125
CDC40	-0.505
SETD3	-0.4485
SLAMF6	0.64175
ELK4	-0.0405
TRIM47	1.4925
ACOX3	1.277875
TRIM6	-0.6555
KIAA0372	-0.246666666666667
TP53AP1	0.135375
SMURF2	-0.753
ADAD1	0.79025
EBP	-0.4811
KRTAP13-2	0.2365
FLJ36874	-1.046
TOR1A	-0.913333333333333
P2RY4	1.075
GPBP1	-0.7245
TRPV1	0.307125
ADAMTS12	0.692666666666667
PES1	0.3217
ATG4A	0.1685
MAGEA10	-4.57425
WFS1	1.17
CC2D1B	-0.639166666666667
PABPN1	0.042
SLC25A30	-0.0755
SLCO1C1	-0.7065
SLC22A5	0.3615
KIF23	-1.36016666666667
SYN2	-1.162
ASPN	9.06516666666666
CENTG2	0.4365
QSOX2	-2.2238
FLJ10815	0.874
STK24	-0.34825
SPEG	-1.0464
STK10	0.0195
DACT2	-3.395
AAAS	0.2495
SSX3	-1.31942857142857
ABCD3	-0.2992
C4orf12	0.8185
PARVG	1.32666666666667
FIG4	-0.25075
C9orf46	1.28875
TMCO6	-0.2795
IGHMBP2	0.147
DUS2L	0.276833333333333
FAM3C	-0.482375
TMEM16D	-3.59816666666667
DCTN4	0.1375
KCNH3	0.34225
EIF2AK2	0.296
AP1S3	-0.2715
CST4	2.545
PAM	-0.5094375
NUTF2	-0.04025
CITED2	0.0439
SLC39A4	1.77625
C2orf52	-0.968
GRM3	-0.115
C12orf49	0.776
CCDC49	0.2692
GRAMD1B	-1.298
FNDC4	0.76925
SIAH2	0.6385
GDPD4	0.425
C21orf87	1.536625
ATP5A1	-0.674666666666667
C16orf63	-0.066875
LOC388135	-0.2835
ATP5J2	-0.45425
MMP3	-0.11625
EMID2	0.00950000000000001
CRHR1	0.56125
WDR70	-0.96575
C13orf31	1.989
ZFAND1	-0.04575
CCL18	4.05483333333333
C3orf49	-0.511
RINT1	-0.9165
KIAA0408	-1.71716666666667
F13A1	5.2373
SLC10A1	0.1164
OGN	2.73
GIPC2	-1.81316666666667
XPO6	-0.674666666666667
LCE1A	0.805
FMR1	0.4342
LOC374920	-0.253
DUSP3	0.023375
ANKMY1	0.41375
C7orf50	-0.0265
BBS9	-0.4168
UNC119B	-0.01075
C9orf72	-0.5005
MGC35440	0.5525
ENTPD6	0.5265
PPP1R2P9	-0.1635
ERCC4	-0.07325
FAHD2B	-0.9725
HMHA1	-0.476
HACL1	-0.3985
RAD23A	0.138666666666667
FAM83B	-1.79
PPP5C	0.692166666666667
RNASEH2C	0.51975
C9orf153	-1.8835
SCAMP4	0.959375
GHITM	0.0827
NDUFB7	0.271375
ADCYAP1	-0.805333333333333
SP110	1.2875
MAP3K7IP2	0.03875
DHH	0.293
AGRN	-0.134285714285714
WDR33	-0.330333333333333
CEP290	0.459
PRPS1L1	-1.60666666666667
KLRA1	-0.593
GPR97	-0.3015
CHD7	0.912416666666667
TLR10	0.31075
SLC30A8	-1.5435
HIC1	1.93883333333333
IAPP	-0.157
RXFP4	0.49975
GP1BB	2.00425
SHQ1	0.115
NKX2-3	0.313
API5	-0.253
FTHP1	-0.187
MOV10L1	0.0483333333333334
TRIM6-TRIM34	1.67216666666667
ADHFE1	0.771
FAM117A	-0.80775
DDI1	-0.145166666666667
CDON	-0.208
TRIM73	-1.921
IGKC	5.7055
MMP14	0.139083333333333
DYNC1LI1	0.106125
C11orf66	0.58975
TRBV3-1	-1.07325
FASTKD5	0.0975
BIVM	-1.02475
LHX4	0.6155
CXCL2	-2.5595
RAB2B	0.0475
IZUMO1	-1.2625
MAP3K15	-1.67475
FAM19A2	0.500333333333333
ZC3H8	-0.319833333333333
ZMAT1	0.987875
SPINK5L3	-3.53675
SLC10A6	-0.546
APPL2	-0.072625
CARD10	-0.529833333333333
LOC402176	0.09175
EEF1D	0.5054
RAB6A	0.1429
C12orf5	0.014875
PAPOLG	-0.1685
MSRB2	0.851
BCR	0.459666666666667
PUS3	-0.3875
TIAM2	0.24275
ZNF317	-0.379333333333333
CHD2	-0.0847857142857143
FZD5	-1.90631818181818
NUDT8	-0.824
ZNF763	-0.1315
PRC1	-0.843444444444444
ABCB9	0.575666666666667
SPATA3	0.953
TRAK2	0.129
STAB1	2.9585
LRRTM2	0.161166666666667
psiTPTE22	1.78425
DBI	0.78525
SERPINA11	-0.7735
NAT5	1.3055
C20orf58	-2.462
RPS6KA4	0.000999999999999995
FLJ90650	-0.948
TGFBRAP1	-0.1175
CHRDL2	0.71175
FAHD2A	-0.861333333333333
CNTN1	0.0805
BBS4	0.00379999999999999
TMEM181	-0.56625
MINPP1	-0.59175
MPHOSPH6	0.83875
HOXC10	1.6433
ITPKB	-0.2745
CLPTM1L	-1.12275
MEOX2	-0.914833333333333
ATP6V0C	1.136625
PRPF8	0.199333333333333
TMC5	2.06075
FKBP3	0.2375
PLEKHB2	0.286375
OR4D6	0.454
ZNF544	-0.4598
D2HGDH	0.053125
RPL18A	-0.3598
HEL308	-0.010625
MPP6	-2.8905
TCERG1	-1.67425
KRT16	-0.767
KLF17	-1.023
KLF5	0.0831249999999999
CDR1	3.059
VCX3A	-5.163
FBLN2	1.746375
C14orf104	-0.301
HBE1	-4.7422
OR4S2	0.985
C1orf108	-0.8945
ROBO4	3.16616666666667
CPEB4	0.399375
C11orf80	0.479666666666667
BCKDHA	1.00533333333333
