Hybridization REF	TCGA-AN-A0FN-01A-11R-A034-07
PSMA3	-0.81425
ASCC3	0.4241
ZYG11A	-2.26725
SOX21	-2.218875
LYRM1	-0.99075
DEFB1	0.3775
LOC91431	-2.40666666666667
OR7C2	0.8455
FAM46B	-0.89575
TMEM18	-0.6875
ARHGAP30	2.0865
TMEM86A	2.84066666666667
EPHA2	-0.8395
C10orf46	0.9549
TCHH	-0.6425
C3orf30	0.44025
LOC285636	-0.128333333333333
PAIP2	-0.6195
CYP2U1	0.6225
C12orf34	0.526
SARS2	-0.718666666666667
ZCWPW1	0.8545
SAMD12	1.025875
KIAA1430	0.4475
ACAT1	-1.0765
MEOX1	3.13166666666667
ADAMDEC1	5.99
PHKA2	-0.87625
CARD11	-0.0523333333333333
CALML4	-0.527
TSSC1	-1.24575
TMEM45A	0.162777777777778
MPP7	0.86475
POU1F1	0.47025
SLC2A13	0.24
FBN2	-1.41657142857143
ZC3H7A	0.00750000000000001
LAIR2	1.75425
ST3GAL1	0.164833333333333
LCT	-3.00533333333333
GEMIN8	0.577833333333333
KLF16	0.8201
HIF3A	0.2881
FAM44A	0.705071428571429
AQP10	-0.7098
PLA2G2A	1.52
FOLH1	1.35266666666667
C20orf186	-0.678
MAPKAP1	-1.0965
SPRR2D	-1.28475
UBQLN4	-1.322
RSHL1	0.512
PIAS3	0.493625
MRPL24	0.226
GREB1	-2.660875
FAM27E3	-2.202
NUP62CL	-1.54375
NEUROG3	1.258
REEP3	1.33241666666667
MARK1	0.131875
LMBRD1	0.7675
PRPF19	-0.7435
PNMT	-0.795833333333333
CTGLF1	-1.6695
SLC25A16	0.63525
EIF2B3	-1.326
RPA2	-0.29825
PAK6	0.919
CCDC26	-3.699875
SEMA3E	2.464125
MXD4	1.1123
TNFSF10	3.6926
SMARCB1	-0.544666666666667
DTX3L	1.1855
PLA2G4E	-0.949
PPAP2A	1.77225
ULK1	-0.624916666666667
TAS1R3	0.155
SLC2A3	-1.76781818181818
ARID3A	-2.05575
GNG5	-0.0135
ACOX1	0.1438
KIF5B	0.0725
NUP153	-1.13175
MUC7	0.418
CSDE1	-0.49
CLPTM1	-0.9345
C3orf23	-0.96675
LRRC17	2.82183333333333
TTYH3	-0.74225
ATP5B	-1.3885
ELF3	0.3993
CPSF3L	-0.330333333333333
ZNF665	0.198833333333333
TLR6	1.2545
GPI	-0.9835
RAD9A	-0.6585
NDST4	-3.17575
AGPAT3	-0.0199166666666667
MAGI3	0.898333333333333
ADORA2A	0.71325
CACNG7	0.1375
CAMK2D	0.241642857142857
CCHCR1	-1.42525
RPS27A	-0.407
OR10G7	0.178
GCM2	0.5375
FAM135B	0.7134
E2F1	-1.95075
PLCB3	-0.3215
OR2AE1	-0.3125
COIL	-1.20766666666667
CDC25C	-2.43466666666667
RAB11FIP2	0.535333333333333
TSC2	-0.73925
CTGLF5	-1.699
CCDC108	0.595888888888889
OR13C4	1.55675
C10orf81	3.739
PTPRB	3.06825
ACP2	0.15325
LAG3	1.121
MRPL54	0.694
LOC201175	1.533
ITGB1BP3	-0.7935
SPTAN1	0.169833333333333
SIPA1L2	0.5185
RCAN2	0.7
CDX2	0.0465
ECOP	0.71
ACTR1A	0.389928571428571
PPARG	0.0623333333333333
BBS10	0.272833333333333
TMEM44	-0.725
BPIL2	-0.808
CITED1	-2.05875
IRF6	2.61025
PRDM4	0.289166666666667
RRP9	-1.25966666666667
OR10H4	0.477
IL31RA	-2.143
GNB1L	-0.927833333333333
MYBL2	-2.846375
ZNF407	0.902666666666667
PPIG	-0.265833333333333
TTC18	2.173
RPSA	-0.4515
MAPT	0.54475
MRE11A	-0.531571428571428
C8orf37	-0.644333333333333
RASGEF1C	-0.931833333333333
STBD1	-0.496
CTAG2	-0.275
MGAT5B	-1.95133333333333
ECM1	1.479375
RLN1	2.1065
PARP14	1.2085
EPB41L1	0.5394
HOXA3	0.777333333333333
MAGEA9	-2.935
RPS8	-0.730666666666667
RPS19BP1	0.27975
FOXJ2	0.213125
C10orf76	0.280375
IL17RE	0.226
C10orf65	-1.36775
ZNF343	-0.344833333333333
FBXO33	-0.073875
UHMK1	0.2256
LY6G6C	-0.144
FGF19	-1.7175
C14orf128	-1.02783333333333
IFIT2	3.027625
TIGD1	-0.44225
S100G	0.5685
GUCY1B3	3.1575
NR3C1	0.5951
CORO1B	-0.121666666666667
PARP11	0.940333333333333
DNALI1	3.758
OR4N4	-0.2935
MAP2K6	0.0303333333333333
FSTL4	0.0585
ANKRD47	1.7665
TMEM171	-0.849
PNLIP	0.99425
YY1	0.000666666666666671
CCDC138	-2.24616666666667
AASDHPPT	-0.5491
CKS1B	-1.2399
MCM3	-1.6115
ANAPC7	-1.28766666666667
FAM110A	1.30875
CDC37L1	1.30966666666667
THTPA	0.65425
NBPF20	-0.611
WDR24	-0.27675
NPTX2	-0.36725
CBLB	1.07033333333333
CETN1	0.712333333333333
RPUSD1	-0.29875
FAF1	-0.98925
CDK6	-1.8915
HMX2	0.469
CSK	0.0228333333333333
TEAD2	-0.52925
SNAP25	-1.72325
TUFT1	0.6928
TMTC3	1.5305
LCK	0.03375
SGOL1	-1.71583333333333
AKTIP	0.2225
FURIN	0.298125
SOX12	-1.8825
DEFB103A	-0.49775
RAMP1	1.1
KIR3DX1	null
GAS2L3	-0.711
PDE8A	-1.3122
EDN3	-0.1235
GMIP	1.51775
SF3A2	0.7345
FN3KRP	-0.3065
SMAD7	0.9155
RHBDD2	0.13075
OR11H6	0.9855
PPP1R3B	1.722
C9orf23	0.16375
CADPS	0.36025
GOLGA8A	-3.05625
TMEM57	-0.00133333333333333
RGL3	-0.516
S100A14	0.869
FGFR2	0.241125
XRCC3	-1.1715
RTN4RL2	0.533
MGC3771	1.2545
GH2	0.685833333333333
BTBD2	-0.6295
LMO2	1.83125
RDBP	-0.624875
ACRBP	-1.49775
AMY2A	1.02125
DUOXA1	1.727
PTK7	0.6945
TWF2	-0.178333333333333
FAM80A	-0.90975
TNNI2	-1.5935
GLT25D1	-0.4165
OCC-1	-1.4325
CYC1	-1.39233333333333
RPL22	-0.0801363636363637
MORN3	1.3645
DISP1	1.598
PRB2	-0.445
CHUK	-0.79225
HR	-0.74025
CCDC134	-0.284125
DENND4B	-1.1525
C14orf130	0.141625
RAB33A	0.2995
DCST2	0.265
TNMD	1.3295
PEX7	0.25275
FAM62A	-0.066625
SRD5A2L	0.54125
IL22	-0.17825
RPS26	-1.118
HOXC5	-0.628
SPATA6	0.40225
FLJ38482	-0.3965
ZNF234	1.6165
C18orf22	0.772
SPATA22	1.75425
THOC1	-0.98575
CYP7B1	4.7085
KCNC3	0.20775
C8orf42	-0.351
ALDH1B1	0.5775
CCDC100	-0.123
ARMC4	-1.5385
FAM18B2	-0.240333333333333
SLC44A1	1.21525
FBXO17	-0.872166666666667
C6orf107	-0.79425
C19orf29	-0.30925
ZC3HAV1L	0.09025
PARP6	-0.5667
SULT2A1	-4.304375
C1orf159	-1.1095
TMC1	-0.125
CHST14	0.41375
GAMT	-0.4835
SMCP	0.138833333333333
TSPAN33	0.447
MIDN	0.052375
NOX4	4.6795
RNASEN	-0.7377
TBX1	-0.0196666666666667
SALL2	0.07825
C10orf35	0.8675
CYP2E1	-0.48075
LRFN2	0.243666666666667
ACO1	-0.758666666666667
IQCG	0.5861
MEGF9	1.823
TM7SF4	1.94025
PLEKHA1	1.05853333333333
STK33	-2.14825
C1orf210	1.66725
SNUPN	0.0729
KIAA0406	-1.7168
C20orf29	0.77225
TMEM55B	-0.27925
OSTM1	-0.0486875
CLCN7	-0.64125
OTP	-0.27275
FLJ23049	-0.97325
HEATR4	0.512
MAP3K10	0.792
PCDHGA9	0.145
AMDHD2	0.1595
LCTL	-1.8255
PDCD2L	-0.77575
CABLES2	-0.88525
SLC5A9	-0.6635
CLCA2	-2.44933333333333
MGC16025	0.8855
STRAP	-1.38
C20orf196	-0.825
RRBP1	0.971833333333333
NAT13	-0.7505
MAT2B	0.415875
CSNK1D	-1.11216666666667
KIR3DL1	0.18475
PRKAG3	-0.2355
ZNF599	0.4765
PRM3	0.775
PER2	1.05166666666667
ASPHD1	-2.5125
PRMT6	-0.75275
KCNE1L	-0.144285714285714
FAM118A	-0.547166666666667
TAF4	-0.61575
NDUFB6	-0.25175
TRIM9	-0.9632
PMFBP1	-0.24175
KY	-0.4505
DKFZp762E1312	-2.64227272727273
CSMD1	-1.0885
TBP	-0.634666666666667
OR1Q1	0.635833333333333
RETNLB	-0.211
HPGD	0.575214285714286
DNAJC12	-0.595833333333333
FKBP1B	-0.39
ANKRD24	-0.161166666666667
CXXC5	0.417166666666667
IL3	-0.0685
DRAM	1.4702
PTCH1	-0.471875
TP53BP1	-0.08075
SLC17A7	0.021625
COL25A1	-0.4369
AMACR	0.0091666666666666
RHCG	0.7745
VPS13A	-0.361
FAM55D	1.242
PRPF38B	-0.764166666666667
OSBPL6	0.7375
PFDN5	0.5799
CMTM6	0.692375
KCNK12	-1.5095
RP2	0.52375
C16orf52	-1.38275
PICK1	-0.1905
IFNE1	-1.39
SEMA4B	-0.6705
TYRO3	-1.6115
OR12D2	0.49
CSNK1A1	0.24015
FANCF	0.64225
LONP2	-0.01575
TBL1Y	-0.0815
LDOC1L	-0.013
CCNC	-0.424
C3orf60	0.04525
CHKA	-1.7445
UBAP1	0.07525
MAP3K1	1.714
ANKRD9	-0.93225
FAM92A1	-0.602666666666667
GAB2	0.439375
AZU1	-0.46525
DIS3	-0.599166666666667
C21orf109	-1.478
IQCB1	-1.31325
SPATS2	-0.777166666666667
EFCAB3	-0.64275
PRB3	0.633125
FUZ	-0.231166666666667
ZNF813	-0.12125
BMPER	-1.90483333333333
HEG1	1.01625
ALS2CR11	-0.7085
SURF2	-0.08525
PSMC1	-0.165833333333333
OR2D2	-0.3075
SLC7A8	1.8305
C4orf40	-0.1805
SPATA7	0.3915
MAZ	-1.26733333333333
PIN4	0.307
PDE1A	0.495375
TAF6L	-0.239333333333333
OR2T34	0.4065
KIAA0284	0.0915
ACADS	0.306
MKRN2	-1.1415
C18orf56	-1.855
MS4A6E	0.0385
GALNT4	0.5831
C22orf31	0.733
FLJ36070	0.963
PSME4	0.0675
TFG	-0.3629
EPHX2	0.154125
ANXA5	0.7205
KRTAP1-1	-0.32475
BATF	2.4145
KARS	-1.97325
MSTP9	-2.4375
GPR26	-0.31475
CCDC72	0.3135
TEF	1.2475
FOXK1	-1.1439
PRLHR	0.0465
EMX1	1.17725
C11orf30	-0.177875
ICK	0.29425
THSD7B	0.577
C21orf100	-1.651
DUOX1	2.0845
EFCAB4B	0.3255
UBE2G2	-0.808666666666667
C3orf54	1.4765
PARP1	-0.98725
FAM60A	-1.36841666666667
C6orf146	0.119666666666667
OR9K2	0.6105
DDX55	-1.48083333333333
RPS15	-0.0255
ZNF618	0.5511875
DKFZp686D0972	0.2135
SSPO	-0.3795
SHFM3P1	-0.360833333333333
CPA6	-0.5275
JAG2	1.20875
DEFA3	0.7345
PPBPL2	-0.7734
CD34	4.904125
SLCO4A1	-2.922625
AFG3L1	-1.842
SHD	-0.652
RP13-122B23.3	-0.769333333333333
PRKCSH	-1.15416666666667
DPH5	-0.713666666666667
HLA-F	2.4025
TBC1D4	-0.488
RIG	1.243
GLUD1	0.134166666666667
HNRPCL1	-0.5285
HBXIP	-0.79525
RNF207	-0.2135
APIP	-1.43875
PLA2G3	-0.369666666666667
CCDC84	-1.4095
MYLIP	-0.146230769230769
PHIP	-0.237
AARS2	0.0633333333333334
DHX32	0.00225
SCAPER	0.0736666666666667
MEN1	-0.571
NIP7	-1.454
FLJ25404	0.4265
FASTKD3	-0.45625
TMEM158	-1.08858333333333
RARA	1.40675
BDH1	-0.3265
ANKRD16	0.4545
CARM1	-0.0135
SS18	-0.164
IKZF2	1.00983333333333
MYD88	-0.176875
PML	1.1353
TAF1A	-1.2925
CBFB	-0.79825
HIST1H3H	-2.00633333333333
C7orf29	-1.3425
COMMD4	-0.411
DPP3	-1.33325
DAB2	1.414875
LOC388882	-0.2525
YPEL4	-0.2575
AGBL3	1.183
LRP6	0.6782
SERPINH1	0.734333333333333
TLE1	0.0195
CD244	1.792
ZDHHC15	0.292
MGLL	0.4375
PLDN	-0.0120833333333333
LOC654346	2.201
FAP	4.395
GPR37	-1.244
SCARA5	2.45433333333333
EBF4	1.69318181818182
LSM6	0.028
MLLT1	-0.4185
SLC5A12	-1.12225
A2BP1	-0.5732
COPS5	-0.5485
TPM4	1.04785714285714
TNFSF4	2.57833333333333
ACADSB	1.04627777777778
HERPUD1	1.17275
BCL2L11	-0.986333333333333
CEP78	-1.16175
CDCA3	-2.067
WBSCR19	-0.135
MYO1A	-1.706
PPEF1	4.14183333333333
LOC440348	-0.75125
CPEB2	1.373875
BPTF	-0.317583333333333
RPL21	-0.1740625
GSX2	0.3505
ADPRH	1.47083333333333
C17orf68	0.273333333333333
KCNS1	-0.809833333333333
MLLT6	-0.3818
PIWIL4	0.558
RNF26	-0.78
RAP1B	0.269375
ADAMTS1	-0.2716
ZNF571	0.63025
P2RY6	0.66275
TRIM21	1.06583333333333
CADM3	0.75225
NLRC5	1.21216666666667
ADRA2B	-0.068
LOC90835	-0.614125
PCF11	-0.32225
LOC400451	1.28925
GLTSCR1	0.7876
C17orf88	-1.185
CDH16	-1.59775
FGF7	3.569
PCSK4	0.686666666666667
NPC1L1	-1.33633333333333
TAT	3.02475
TBCA	-0.479
MGC33407	0.155
GPR115	-1.02333333333333
CYGB	1.2525
FNBP4	-0.7005
C12orf43	-0.38475
CBL	0.0133
CLECL1	2.7115
PPAPDC1A	3.64075
WDR25	-0.3655
SGCA	1.768
C22orf29	0.351333333333333
YIPF1	0.58225
GALK2	-0.87325
RAB3B	-3.34216666666667
LOC440087	1.594
UCP1	-1.3135
REEP5	1.148625
FADD	-0.2813
FOXA1	2.551375
CACNA1A	0.291666666666667
ABI1	-0.267333333333333
GRIN2D	1.21625
SLC1A4	-0.557666666666667
LOC401127	-1.38975
HINT2	0.392
PLD4	1.13833333333333
ZNF286A	-1.1245
ENY2	-0.7045
IL1F6	0.449
PXDNL	2.03375
C20orf79	-1.202
TNFSF13B	4.49216666666667
DENND3	1.0585
JARID1D	-3.69375
HIST1H2AK	0.24475
LOC93349	0.1514
SSH1	-0.6044
ENSA	0.00850000000000001
LOC219854	0.158166666666667
CKAP2	-1.0934
DKFZP564J102	0.917666666666667
MGC87315	-0.1875
HNRPAB	-1.1205
AMH	-1.6495
ZNF526	0.709
BRUNOL5	-0.415
CACNG3	0.433
TRPM1	-1.529
PPP2R1A	0.065625
COL2A1	-0.6315
DDN	-0.213333333333333
FLJ25770	0.4315
HK2	-0.429714285714286
ELOVL6	-1.566875
MDK	0.58425
EPHX1	0.2775
RASSF2	1.48375
DKFZP434B0335	0.19725
DLX3	-0.288
PRTN3	-0.33625
AVPR1A	1.02825
C21orf125	-2.11833333333333
TNFAIP8	0.4985
GNB2L1	-0.6855
CALCRL	4.24575
SCGB2A2	8.44483333333333
UBXD7	-0.0915
ZNF674	-0.0485
TMEM35	0.8815
BRSK2	-1.239125
HECTD3	-0.374666666666667
TMEM188	-0.7855
LGALS9	2.082875
SCARB2	0.786416666666667
USP34	-0.167583333333333
C17orf28	0.821333333333333
ZDHHC23	-1.69
AQP12B	-0.0315
SLC16A3	-1.739375
APLP2	0.282125
ITIH2	-5.12375
MICAL3	-0.816
TNNI3K	1.01544444444444
HDAC2	-0.463375
PRR7	-0.1714
THBS2	2.683625
LOC751071	-0.9975
CA2	2.85
RANBP17	0.244
RLN3	-0.27975
CRYZ	-0.4075
GBAS	-0.1205
TAS1R1	-0.32475
MPZL3	-0.0895
PCDH8	-2.12075
HSP90B1	-0.533166666666667
KCNK15	0.4995
TNIP2	-0.202333333333333
GPR146	0.819
NOL6	-0.374875
SPC25	-3.06322222222222
STEAP2	3.18721428571429
VAMP3	-0.0133333333333333
TCIRG1	0.184
ZP4	1.07983333333333
PARL	-0.5545
TRIM39	0.1915
KIAA1305	1.37425
CRNN	0.0696666666666667
GRN	0.52625
HSH2D	-0.49075
SCAMP1	0.00393749999999999
KIAA1913	2.26975
PTS	-0.3265
BANP	-0.426857142857143
PRKACG	0.388
ADCY6	0.157333333333333
C16orf46	0.599
CYP51A1	-0.00799999999999998
DDC	-5.33
ANPEP	0.129333333333333
PROM1	-1.0725
SIGLEC10	2.794
COPG	0.5345
FAM26E	2.95225
TRIP4	0.687
SNX3	0.196666666666667
C1orf175	0.423666666666667
PPY2	-0.70925
C14orf152	0.27775
FTSJ1	-0.847666666666667
DST	0.60735
LOC554235	0.000749999999999994
GLRX5	-0.2765
C20orf12	0.7974
CAB39	0.393333333333333
MSH2	-1.83483333333333
PIP4K2C	0.686875
CYLD	1.178875
WTAP	0.50175
MGAT4A	1.73388888888889
TSC22D4	-0.6578
CHRM2	-1.9125
PPYR1	0.413833333333333
CCNH	-0.305833333333333
RRM1	-1.31475
ECAT8	-5.48425
LOC400120	-0.6885
GABRA4	0.317571428571429
C14orf4	1.41166666666667
C1orf59	-0.7235
CTDSPL	0.742083333333333
NHEDC2	-0.5855
PDE11A	-0.4690625
KLHL29	0.02575
CD5	1.1987
TSPAN9	1.989375
WDR67	-1.2055
THUMPD1	0.4125
C18orf17	0.1605
CLYBL	-0.405
FLJ13231	-0.259875
CMBL	0.317125
LECT2	0.09225
NKAPL	2.36633333333333
LOC654780	0.7025
OR4C6	0.734
RAB30	0.3805
TSSK4	0.0925
TMEM163	1.8175
OSBPL11	0.741166666666667
GNB5	-0.361
CCL21	2.31275
C1orf121	0.377333333333333
FMO2	3.59033333333333
RPTN	0.737
MSTN	1.824
VCL	0.596571428571429
FYTTD1	-0.3675
C11orf1	-0.21525
CCDC88C	0.3148125
HFE	-0.5615
MOGAT1	0.7095
FAM125B	0.189833333333333
IRGQ	-0.0365
RAVER2	-0.61025
AKAP5	-1.034
SSSCA1	-0.20925
C11orf63	1.263125
ACTG2	1.5568
PORCN	-0.735
DTL	-2.51081818181818
TMEM151	0.39425
FAM122C	-0.56025
RSAD2	4.1643
BAT4	-0.2465
KRTDAP	-1.29633333333333
MYH8	0.925
CRTC3	0.65875
LRRFIP2	0.4614
INTS4	-0.325666666666667
TTN	-0.702166666666667
SLC26A5	0.286
PLLP	-0.9855
RGS6	-0.23475
SRGAP3	0.657625
ZNF525	0.110833333333333
NBR2	-1.104
C13orf1	0.211
ZNF137	-0.0725
CEP27	-1.6085
BEST2	0.134
RNF121	-0.25675
DMRTC2	-0.3655
C8orf76	-0.514
BCCIP	-0.605125
MEST	-1.85925
HTRA2	-0.663
ANGPTL2	2.36825
ILKAP	-0.5475
ERAS	-0.271
HBS1L	-0.92725
CPA5	0.0455
TMEM30A	0.852166666666667
CD300LF	2.13716666666667
WISP3	0.4405
CRK	0.505928571428571
PDS5A	-0.487
BRPF3	-0.0258333333333333
NEDD9	0.6405
SMPDL3B	-0.3525
PSG6	-1.04775
PSMD13	-0.05425
ETV5	-0.285375
OR51A4	0.259
BTBD7	0.577666666666667
GSTO1	-0.25925
hCG_16001	0.388
MAD2L1BP	-0.474333333333333
COX6A2	1.579
SCNN1A	0.771833333333333
LSM1	0.163833333333333
UGT2B11	3.857
IDUA	0.4605
PPP2R3C	-0.6555
COX11	-1.3355
PDZK1	0.23375
ZNF443	0.446166666666667
MGC21874	0.892333333333333
ZNF323	1.2578
KRTAP10-10	0.162
CXCL6	-0.98725
SLC34A2	0.150888888888889
LOC284402	-0.1925
NPTN	0.933666666666667
UPP1	-1.17825
SLC6A9	-0.628
OR7G3	0.12825
CISD1	-0.106333333333333
ZNF545	0.093
SYT14	0.602
NT5C3L	-0.800666666666667
ZNHIT3	-0.5295
SNRPD3	-0.139
KIAA0701	0.21375
UNC93B1	-0.267666666666667
GMNN	-2.2875
SPCS2	-0.116666666666667
LOC388524	-0.553
NAPRT1	-0.35125
PNLIPRP1	-0.0443333333333333
OR6V1	0.7405
PRKAB1	-0.561
EYA4	-1.04916666666667
KIF20A	-2.623
ALG10	-0.61375
ITPKC	0.499833333333333
LMX1B	0.7105
RPUSD4	-0.748
C7orf34	-0.2616
DLGAP2	1.0855
PFN1	-0.5254
MICALL2	-0.052
ZNF654	0.5255
SS18L1	-1.483
SLC16A8	0.671
MKI67IP	-0.5175
ITGB3	-0.099875
TCEA3	1.49675
CEP152	-1.9274375
CLIP1	1.31425
ZNF75	0.177375
ATP5C1	-1.031
NUDT5	-1.0325
PSCDBP	2.57775
UBP1	-0.162
RBM27	0.35775
C13orf15	2.931375
ZNF282	-0.448
ZNF222	0.2614
COL10A1	6.6015
PRDM15	-1.152
TTTY5	0.4885
FAM9C	-0.0612
C20orf67	-0.49775
GNG13	-0.3545
F12	-0.927
C1orf41	-0.99125
CPXCR1	-0.467
GSK3A	-0.106125
SUPT6H	-0.390833333333333
PI16	3.60816666666667
ELL2	-0.2155
C9orf167	-1.4785
PVRL3	-0.9424
FLJ38596	0.2245
ADAM20	0.555
GPR89A	-0.881
GPR87	-2.1365
ZNF30	0.4605
SMR3B	0.2315
ZNF770	0.09575
TRPC4AP	-0.993666666666667
DKFZP686E2158	0.120333333333333
C2orf28	-0.153333333333333
FREM1	0.370833333333333
LAMA4	2.16016666666667
ADPRHL2	-0.39975
EIF4G2	0.323833333333333
GUCA1A	-1.306
CTNNA2	-1.961125
NUDT15	-1.70216666666667
CEPT1	-0.9235
ZNFX1	0.5396
CCDC92	1.334
TDRD1	-1.0735
KCNK5	-1.85733333333333
ETNK1	-0.290583333333333
LTA	0.6235
TTPA	-0.2455
B3GALNT2	-0.2085
SC65	-0.3075
PEX5L	-2.258875
EPS15L1	-0.31625
MGEA5	0.028375
HIST1H3A	0.64125
ING1	0.25775
BCAT1	-1.831125
ORC6L	-3.89881818181818
KLK11	-4.76716666666667
C19orf28	-1.105125
DNER	-4.376375
MED22	-0.909928571428572
ETV6	1.58316666666667
CHAC2	-2.081
CD300E	0.071
CEBPB	0.389083333333333
ZNF398	-0.4115
LRCH3	-0.163
HMGA1	-1.6585
CAPN7	-0.4725
MGC5566	-3.10375
CCL3	3.832875
NANOS1	-0.671857142857143
ZFYVE19	-0.8455
APITD1	-0.773
PARD3	0.40275
IRAK4	-0.1275
SERPINI2	-0.5025
CEP170L	0.0555
TTC9	2.161
MYOM3	-1.335
MLPH	0.874
LOC222699	0.275
NRG1	-0.536
TBC1D9	3.13554545454545
TTK	-3.11466666666667
ZNF557	0.6191
DDX41	-0.783
FANK1	2.0665
UBE2D2	-0.113125
PSMB10	1.42275
MYH7B	-0.2655
GABARAPL2	-0.057625
MARVELD2	0.979333333333333
DGCR2	0.487333333333333
UNC45A	-0.366
C6orf72	0.6085
ZNF683	4.43875
GIT2	0.57775
CASK	0.815833333333333
C14orf161	1.85283333333333
LRRC44	0.5505
TIFA	0.00175
UTP11L	-0.9165
C6orf65	0.3005
FDPS	-0.978
DUSP9	-1.8454
SLC17A8	0.790666666666667
OR51G1	-0.0145
NANS	0.1465
OLFML1	2.30175
ATP10B	-0.93725
NPAS3	0.36775
PRKCA	-2.2466
GGA2	-0.275625
LCE4A	-0.368
SPANXN3	-0.3425
CCDC115	1.222375
SDCCAG3	-0.99425
GLIPR1L1	-0.0302499999999999
TTC1	-0.13425
C17orf76	1.65825
MAD2L2	-1.60525
HIPK1	0.2847
LRRC3B	0.0475
CLN3	-1.14072727272727
C17orf47	0.2285
FMN2	-1.44625
TUBB1	-1.38471428571429
WAPAL	0.160333333333333
C3orf21	-0.032375
SCN5A	-0.813
SMYD1	0.149
BEX5	1.5145
ZNF192	0.515
SEC22A	-0.176333333333333
GRIA2	1.16390909090909
KIAA0825	-0.64575
NUSAP1	-2.75245454545455
LANCL1	-0.235875
C15orf40	-0.6594
ZNF645	0.798125
GPR61	0.158
NLRP14	0.2315
SNX21	0.0679
C1QTNF8	0.08
C17orf46	0.159
IFNA8	1.29
SPRR1B	-1.3655
FLRT1	-0.20025
SNX17	-0.873666666666667
ASB2	1.4825
HBG1	-5.4585
RPRML	-1.5465
JOSD2	-0.100833333333333
PLSCR3	0.939
SPOCD1	0.502833333333333
RAB39	-0.247
GHRH	3.264
ITIH5L	0.03575
C17orf37	0.12525
SMCR8	0.52975
DPY19L2P3	-0.724333333333333
IL11RA	1.24266666666667
GDF3	-3.037
RPS6KB1	-0.73525
DNAJC19	0.0983
TOP1	-0.647
CRCT1	-0.662125
MPST	0.05775
DPM2	-0.274625
FAM38B	-0.459166666666667
SLC18A1	-2.20016666666667
FARP1	0.531666666666667
PAX7	0.15825
TUBD1	-1.1295
GNL3	-0.86625
BTG2	3.12546666666667
NDUFS6	-0.5705
C1orf79	-1.13925
ERAL1	-1.04125
ECHS1	0.383
VPS4A	-0.388166666666667
CYP11A1	0.299625
ABCC6	-0.654642857142857
PBX4	-0.2905
MOSC1	-1.149125
NCF4	0.871
HYMAI	0.458
NAGPA	-0.3775
OTOP2	-1.0255
ACOT12	-0.25625
MTHFD2L	-1.0645
LOC441376	2.7885
C19orf34	-0.109
RAB1B	-0.69175
ALDOAP2	-1.311
NTRK1	-1.21766666666667
ARTS-1	0.1373
SLC6A11	-0.858
NAP1L2	1.07125
CNGB1	-0.1595
EPB41L4B	-0.456583333333333
FAM134B	1.946375
HS3ST3A1	0.891166666666667
CPXM2	5.67
SIRPB2	0.976
CHORDC1	-0.802833333333333
TRIB3	-2.56766666666667
SLC2A5	0.968
C2orf49	-0.0288333333333333
DDX5	-0.094
OR5L1	-1.724
ANAPC4	-0.2165
ZSWIM1	0.4555
LOC93622	-0.549625
KCNK3	-0.461
RP11-35N6.1	-3.16171428571429
ZFP161	0.298333333333333
AQP9	3.01125
SLC15A2	-1.83166666666667
MREG	-0.3505
OR9I1	0.508
PDLIM2	0.852625
ADAM7	0.652
GSTCD	-0.1275
WDR21A	-0.215375
SLC12A8	1.474
TMEM174	-0.08675
IGSF3	0.343833333333333
LRRN1	2.003
LOC402117	0.40575
SRPK1	-1.57833333333333
LY6K	-1.9955625
NFIA	2.4265
PTCD3	-0.7395
LEP	3.06466666666667
PCDH21	0.753166666666667
MAPKAPK2	0.7755
NMNAT1	-0.629
LHFPL2	1.01475
C9orf43	-0.19175
DIP2A	-1.10716666666667
ACTR8	-0.04525
CCDC34	-1.19825
PTPN22	0.055125
ITGA3	-1.226375
FAM129C	1.74375
RABGGTA	-0.272166666666667
UNC45B	1.159
KIAA1033	0.398375
ZNF510	-0.199166666666667
CYP2D6	-0.834166666666667
SLC26A10	-1.1325
STX8	0.4095
LUZP1	0.12725
WDR89	-0.165833333333333
EIF4G3	0.4385
C5AR1	1.37375
ZNF623	-0.8175
A2M	2.01875
TGM7	0.526
GRPEL1	-0.8695
LMNB2	-1.6905
ROCK2	0.4735
SNX16	0.525
CCDC66	0.06025
ANXA3	0.44325
KIAA1609	-0.69875
EED	-0.73575
RNF32	-1.0095
HES1	0.9366
CLC	-0.175
ISL1	0.4926
KIAA0528	0.14275
MANEA	0.237375
C1orf61	-2.3125
hCG_2001000	0.3035
RAPGEF6	0.0797
KIAA0020	-0.6085
NEIL1	0.73425
C16orf45	0.705125
RBM10	-0.364833333333333
C10orf125	-0.3885
MRS2L	-0.932
DNAH17	-0.449142857142857
C19orf10	-0.61175
C1orf160	0.35475
SLFN12	2.1855
EXOC3	-0.338666666666667
HIST3H3	0.33725
NCOR2	0.667166666666667
TNFRSF9	1.6705
MFSD8	-0.144
ALX1	-2.8806
NOL1	-1.52325
PODN	3.66975
TIAL1	-0.823
HIST1H1E	-1.26075
NPY6R	0.523
TM4SF4	-0.417
CORO2A	-0.6805
ETNK2	-0.859666666666667
APOE	1.14
ANGPT4	0.431
HDGF2	-0.825
G30	0.25
ST8SIA4	0.580125
F2RL1	1.163625
FAM19A4	-3.95075
