Hybridization REF	TCGA-B6-A0X7-01A-11R-A10J-07
NFIA	2.983
PTCD3	-0.685375
LEP	1.98783333333333
PCDH21	-0.584166666666667
MAPKAPK2	0.132571428571429
NMNAT1	-0.223666666666667
LHFPL2	0.2285
C9orf43	0.1635
DIP2A	-0.8315
ACTR8	-0.067125
CCDC34	-1.07525
PTPN22	-1.265
ITGA3	-0.594625
FAM129C	-0.097
RABGGTA	-0.0376666666666667
UNC45B	0.29375
KIAA1033	-0.0045
ZNF510	0.255
CYP2D6	-0.580166666666667
SLC26A10	-1.3245
STX8	-0.18775
LUZP1	-0.2475
WDR89	0.116666666666667
EIF4G3	0.0803
C5AR1	0.40525
ZNF623	0.2825
A2M	1.14875
TGM7	-0.037
GRPEL1	-0.740333333333333
LMNB2	-1.3713
ROCK2	0.101666666666667
SNX16	-0.167875
CCDC66	0.65875
ANXA3	1.65725
KIAA1609	-0.698875
EED	-1.861
RNF32	0.1465
HES1	1.2127
CLC	-0.00983333333333333
ISL1	0.697166666666667
KIAA0528	0.6955
MANEA	0.240875
C1orf61	-1.789
hCG_2001000	0.28025
RAPGEF6	0.0039
KIAA0020	-0.867
NEIL1	0.9255
C16orf45	0.627875
RBM10	-0.122333333333333
C10orf125	-1.292375
MRS2L	-0.666
DNAH17	-0.616125
C19orf10	-0.649
C1orf160	0.707
SLFN12	0.4605
EXOC3	-0.304666666666667
HIST3H3	0.686
NCOR2	0.2805
TNFRSF9	0.68875
MFSD8	-0.57275
ALX1	-2.46683333333333
NOL1	-1.3815
PODN	2.63825
TIAL1	-1.0655
HIST1H1E	-1.942
NPY6R	0.08375
TM4SF4	-0.304
CORO2A	-0.327
ETNK2	1.32566666666667
APOE	-0.138
ANGPT4	-0.025
HDGF2	-0.2335
G30	-0.3345
ST8SIA4	-0.830375
F2RL1	0.04925
FAM19A4	-2.33575
CCAR1	-0.4165
B3GNT7	-0.217
OPHN1	0.1558
DSCR6	-1.0585
C21orf13	1.1265
GAS2L1	0.09025
RFX3	0.540833333333333
COPS4	-0.169375
BCHE	-3.3065
BCL2	3.545
HBZ	-2.93583333333333
ARL13B	0.683875
MAPBPIP	0.604625
MYO15B	0.5335
SPZ1	0.26075
KIAA1324	4.23622222222222
PLCL2	-0.675
C4orf29	-0.9055
WDFY2	-0.00925
ZNF284	-0.4365
NAALADL1	0.1735
DUSP5	0.113
PXDN	0.52825
SLMO1	-0.72425
TNXB	0.434
BIRC7	-1.028
A4GALT	0.313666666666667
TIMM22	-0.203
FAM110C	0.3965
TOMM34	-1.39175
ABHD9	0.246
ADAM32	0.7265
CRHBP	-0.014
AQP2	0.420625
LOC130355	1.076
ZNF187	0.5485
ZNF816A	0.566
F7	-0.483
CNOT1	-0.9682
SLC13A4	-0.59
ZBTB11	-0.1935
B3GALT5	0.0355
EXOC2	0.731666666666667
IRS1	0.4605
TMEM1	-0.026
MRPL34	-0.0733333333333333
SAMM50	-0.389
CDC42EP3	-0.573125
HSF2	-0.9224
MFN2	0.19
TSPAN7	-0.305666666666667
NUCB1	0.414083333333333
RHOH	0.14025
ARL16	-0.1365
TACR1	0.05775
SFRS5	0.0258333333333333
SNX25	0.299
RHBDF1	0.541833333333333
PCDH18	2.46216666666667
HMG1L1	0.31275
MYO5C	1.220625
MAPK10	0.4865
LDHAL6A	0.105666666666667
NUDT12	0.941
NCAM1	-0.117125
GLIS2	0.036
GGTL4	-0.36375
DAPP1	-1.11175
ATF7	0.46675
KIAA0748	-0.8695
NFIL3	-0.37725
TM6SF1	0.4377
SEZ6	-0.03825
NANOS3	0.675166666666667
DNAJA3	-0.8615
CLDN6	-1.9495
CIITA	1.9314
EPHA4	-0.555333333333333
FANCC	-0.13175
CMTM3	0.326875
PSG3	-0.265625
MRPL15	-0.7745
C21orf59	-0.865
PLCXD2	-0.0875
C2orf34	-0.64425
UBE2L6	0.64225
MED14	-0.419833333333333
HP1BP3	-0.3997
C6orf208	-0.484
TPBG	1.15575
OSR2	0.85075
XPC	0.159833333333333
KLHL7	-1.18966666666667
CCR3	-0.253333333333333
AGTPBP1	-0.915666666666667
PCSK6	0.431333333333333
STAT5A	-0.8608
FAM18B	-0.423
LONRF2	0.758833333333333
PTPN2	-0.872125
SF3A3	-0.455833333333333
EFCBP2	-0.11
HCFC1	-0.870333333333333
AHNAK	1.0242
ACTR5	-0.07875
KIF14	-2.51971428571429
TENC1	1.5345
HEATR5B	0.788
YIPF2	0.136666666666667
MYEOV2	0.337833333333333
DUSP18	0.90075
KIAA1012	0.292
AHR	0.644166666666667
C17orf53	-1.60383333333333
PTPRH	-3.45125
ATP6V1C1	0.4323
TAS2R3	0.5325
LOC440356	0.9365
COQ10B	-0.09325
PSMF1	0.692
SORBS2	2.19083333333333
NFE2L2	-0.13875
TMCO7	-0.8555
SH3PXD2A	0.7006
SH2D2A	-2.219
SPINK5	-1.86175
MRPS24	-1.027
OPA3	0.414875
TRAF7	-0.862166666666667
C4orf35	0.195
MT1G	-0.758
MGC39545	0.336
HS1BP3	-0.0953
OR2B2	0.0485
CHRM4	-0.115
SFRP2	4.40808333333333
RIC3	-0.2925
ART1	-0.086
C6orf1	0.39275
DUS4L	-0.8015
C10orf104	0.69075
TNFAIP6	2.10775
RTEL1	-0.99075
CCT4	-0.9014
ZNF709	0.383
CHMP6	0.347166666666667
UPP2	0.774
CYP19A1	-1.763625
CD151	-1.012
NDUFA13	-0.376333333333333
ARFRP1	-1.32983333333333
FAM26B	1.7825
CRYBA1	-0.476
MRPL41	-0.008
NPFFR2	-0.388375
HRH2	0.114
SCAMP3	0.109833333333333
MTMR6	0.4474
MTG1	-0.829833333333333
UBTD1	0.80125
CRABP1	-2.3505
FLJ33790	1.0502
KIAA1908	-0.0321666666666667
GPR158	-1.31
PACSIN3	0.1045
OMD	3.20816666666667
CATSPER1	-0.524166666666667
HOXB8	-0.65125
FBXO46	0.997
OAS1	1.8485
SVIL	0.20725
PHB2	-0.6985
ADCY3	-0.0875
NDRG2	1.51716666666667
ERMAP	0.4933
APBA2	-1.51833333333333
IGSF9	3.18325
WNT6	0.0727857142857143
MYCBPAP	0.7075
ATP2B2	0.0573
CPVL	-1.0157
TRAM2	-0.404166666666667
NOP5/NOP58	-0.06
ZNRF4	-0.27275
TLK1	0.220125
MTMR12	0.42
ZNF384	-0.1615
FAM9B	-1.949
RPN1	0.1805
PMVK	1.04425
EIF3D	0.1217
SIX2	-0.90675
HPS1	0.455714285714286
RNF7	0.46775
PSKH2	0.272
KCTD13	-0.655333333333333
CSMD3	-0.3149
FBF1	0.052
IL8	-5.0235
SERPINB13	0.223909090909091
FBXL20	-0.5945
BLR1	0.072
SH2B1	-0.3745
RFNG	-0.22525
RAB20	1.487
RBM7	-1.53875
POLR1A	-0.724666666666667
TMPRSS4	-2.832
TAF9	-0.824125
TERF2	-0.706666666666667
TNFRSF1A	0.4475
ACADVL	-0.637333333333333
GTF2H5	0.499
EDG8	-0.423333333333333
C9orf140	-1.764375
UST6	0.24275
ZBTB8OS	-0.67625
ZNF710	0.6085
GPR174	-1.5415
ATP6V0A2	-0.567
KIAA0319L	1.24666666666667
XKRX	-0.0875
DOPEY2	0.1191
SDHD	-0.763666666666667
SUMF1	2.03125
OSM	0.45275
OPN3	-0.5745
DAGLB	-0.266833333333333
PPFIBP1	0.3138
TRIM63	-2.1285
C10orf53	0.0335
LYPD3	-0.029
BCL7A	0.144375
AGER	-0.926166666666667
TCF19	-1.72625
SAT2	-0.17525
PFTK1	1.12166666666667
GABRE	-2.112375
C15orf38	0.3224
FIS1	0.2835
KCNV2	0.00699999999999999
CLPS	0.10875
PPCDC	0.157375
FOXN2	0.3435
NT5E	-2.5386
CD83	0.1065
IL18	-1.103875
VPS16	0.37675
IGFBP2	0.0518333333333333
NOTCH2	0.36575
SIGLEC1	1.3715
CD93	4.815
SULF2	0.567
CEP164	-0.500375
P53AIP1	0.6095
TOR2A	-0.135166666666667
ZNF136	0.5605
MGP	3.2952
CCDC144A	0.385833333333333
TRPC1	-0.3295
SMS	-0.638
MAPK7	-0.585833333333333
RRAGC	0.70575
PARD6A	-0.6355
NUB1	0.476666666666667
SYNGR4	0.4505
OR11H12	0.188
WIF1	0.3875
GCH1	-0.923
OR11H4	-0.14
SLC44A5	0.243
GPRIN2	0.9535
LOC401431	0.135
CPA4	-2.1688
MELK	-3.50377777777778
IL15RA	-0.285
CUL3	1.000875
HMBOX1	0.88625
PODXL	-1.06025
CCT6B	1.00883333333333
COMTD1	-0.96625
MUC20	0.7715
GPX2	-2.93275
ITK	-1.50275
FBXL5	1.7205
C13orf27	-1.53825
DEFA5	0.279
TRHDE	0.2155
MTP18	-0.685
UQCRQ	-0.1947
ITGB2	0.329916666666667
CSRP2BP	0.39475
TAS2R44	0.6665
PHPT1	0.021125
FAM44C	0.105
ERH	0.9405
MPHOSPH1	-1.50066666666667
MORC1	-0.388
PARVB	-1.252
LAMA1	-1.92966666666667
PGBD3	0.25375
GIMAP6	3.95675
AREG	-0.7235
LIPT1	0.35325
MGC99813	-1.41775
C1orf201	-0.167333333333333
GRIN2A	-0.3778
MAN2C1	-0.78575
NSUN5	-1.054
SF3B5	0.3385
MYC	-1.6165625
NRXN1	0.0811666666666667
ZNF18	0.0335
SPDYA	-0.277875
SLC37A1	0.883
DECR2	0.0895
ANKRD38	1.3445
SPTLC3	-0.544333333333333
SUPT16H	-0.05575
DTWD2	0.495
ULBP1	-0.5045
ZADH1	0.222833333333333
OIP5	-3.86975
IL10RB	-0.6055
OTUB2	0.052375
VWA3A	-0.0748333333333333
SPIC	0.0641666666666666
OR6C4	0.0575
PSCD4	0.4705
DPY19L2P2	-0.264
TRAPPC6A	0.805166666666667
C21orf2	-0.0546666666666667
CEMP1	0.0815
LIN7B	0.0855
E2F7	-2.92283333333333
VCP	-0.3005
LAMA3	1.35425
BGN	1.8085
GPR160	1.44083333333333
COCH	-4.36783333333333
GPR81	2.17283333333333
APOBEC3F	-2.10525
tcag7.1017	0.06425
C1orf32	0.2995
SCGB1D2	6.08925
FLJ43987	0.089
C6orf170	0.273
KLK9	0.453
GPD1L	0.141625
VPS37B	-0.1155
ATG3	-0.471333333333333
ADAMTS17	-0.195
KLHDC2	0.502166666666667
NDUFV2	-0.399
BLK	-1.87675
MATN4	-1.6405
GPM6A	0.047625
GBP4	3.389
TMEM162	0.260166666666667
PKP2	0.304
HRASLS	-0.439666666666667
MMP1	-3.6975
SFXN3	-0.3712
FSD1	-1.58533333333333
ST6GALNAC3	-1.04533333333333
CA12	2.7681
NCOA6	0.4945
C19orf58	-0.6185
PPP4R1	-0.255333333333333
MAN1A2	0.835166666666667
IKBKAP	-0.88925
UPF1	-0.1855
KIAA1219	1.06825
WNT16	0.389166666666667
SNW1	-0.063875
IL18RAP	1.1055
RPP30	-0.273625
CDC40	0.184285714285714
SETD3	-0.0243333333333333
SLAMF6	0.0805
ELK4	-0.641
TRIM47	-0.270333333333333
ACOX3	1.728125
TRIM6	0.47025
KIAA0372	-0.1765
TP53AP1	1.456
SMURF2	-0.99475
ADAD1	0.11225
EBP	-1.2688
KRTAP13-2	0.139
FLJ36874	-0.785666666666667
TOR1A	-0.358
P2RY4	0.5775
GPBP1	0.63025
TRPV1	0.137
ADAMTS12	0.571833333333333
PES1	-0.422
ATG4A	0.441166666666667
MAGEA10	-4.0545
WFS1	0.87825
CC2D1B	-0.7975
PABPN1	-0.393625
SLC25A30	-0.46125
SLCO1C1	0.0946666666666667
SLC22A5	1.786
KIF23	-3.04783333333333
SYN2	0.1265
ASPN	8.661
CENTG2	0.62775
QSOX2	-1.6218
FLJ10815	-0.0505
STK24	-0.3989375
SPEG	0.0242
STK10	-0.581666666666667
DACT2	-0.9245
AAAS	-0.94825
SSX3	-1.098375
ABCD3	0.0235
C4orf12	0.569875
PARVG	-0.165
FIG4	1.51825
C9orf46	1.67025
TMCO6	-0.5085
IGHMBP2	-0.91125
DUS2L	-1.20133333333333
FAM3C	-0.6748125
TMEM16D	-1.0125
DCTN4	1.09325
KCNH3	-0.2325
EIF2AK2	1.2835
AP1S3	-0.687125
CST4	-0.0435
PAM	0.4835
NUTF2	-0.75375
CITED2	0.1619
SLC39A4	-2.17375
C2orf52	-0.3035
GRM3	-0.13525
C12orf49	-0.244875
CCDC49	-0.3978
GRAMD1B	-1.281375
FNDC4	0.582
SIAH2	0.1735
GDPD4	0.10375
C21orf87	0.305875
ATP5A1	-0.0986666666666667
C16orf63	-0.753
LOC388135	-0.286166666666667
ATP5J2	-0.73625
MMP3	1.49275
EMID2	-0.10475
CRHR1	0.10875
WDR70	-0.2
C13orf31	1.076
ZFAND1	0.13025
CCL18	2.0785
C3orf49	0.098
RINT1	-0.7425
KIAA0408	-0.87
F13A1	3.6653
SLC10A1	0.334166666666667
OGN	4.60875
GIPC2	-0.348833333333333
XPO6	-0.695166666666667
LCE1A	0.651
FMR1	0.2807
LOC374920	0.4915
DUSP3	-0.228625
ANKMY1	0.2225
C7orf50	-0.497
BBS9	-0.2239
UNC119B	0.0603750000000001
C9orf72	-0.632625
MGC35440	0.1025
ENTPD6	-0.42725
PPP1R2P9	0.14875
ERCC4	-0.20825
FAHD2B	-0.248
HMHA1	-0.233
HACL1	-0.157
RAD23A	-0.224666666666667
FAM83B	-1.334
PPP5C	-1.15333333333333
RNASEH2C	-0.834875
C9orf153	-0.007
SCAMP4	0.42575
GHITM	-0.0375
NDUFB7	0.16425
ADCYAP1	0.515666666666667
SP110	1.845
MAP3K7IP2	1.261
DHH	-0.1185
AGRN	0.778571428571429
WDR33	0.289666666666667
CEP290	1.573
PRPS1L1	-2.81533333333333
KLRA1	0.34
GPR97	-0.3755
CHD7	-0.758
TLR10	0.18825
SLC30A8	-0.859
HIC1	1.45266666666667
IAPP	0.08
RXFP4	0.01
GP1BB	1.2945
SHQ1	0.2385
NKX2-3	0.0613333333333333
API5	-0.5765
FTHP1	0.3195
MOV10L1	0.195166666666667
TRIM6-TRIM34	1.70816666666667
ADHFE1	1.51775
FAM117A	-0.10075
DDI1	-0.0158333333333333
CDON	-0.634
TRIM73	-0.5495
IGKC	3.66
MMP14	-0.587083333333333
DYNC1LI1	-0.754
C11orf66	0.34225
TRBV3-1	-1.17525
FASTKD5	-0.47025
BIVM	-0.30475
LHX4	0.033
CXCL2	-1.3883
RAB2B	-0.585666666666667
IZUMO1	-0.333
MAP3K15	-1.653
FAM19A2	0.497
ZC3H8	-0.5005
ZMAT1	2.94675
SPINK5L3	-3.522
SLC10A6	0.387
APPL2	0.783
CARD10	-0.5335
LOC402176	-0.225625
EEF1D	1.542
RAB6A	0.7439
C12orf5	-1.35425
PAPOLG	0.7085
MSRB2	0.5215
BCR	0.464611111111111
PUS3	-0.59475
TIAM2	0.38075
ZNF317	0.0621666666666667
CHD2	-0.0582857142857143
FZD5	-1.25004545454545
NUDT8	-1.531
ZNF763	-0.0405
PRC1	-2.38666666666667
ABCB9	-0.392833333333333
SPATA3	0.0555
TRAK2	0.476875
STAB1	2.12375
LRRTM2	0.260666666666667
psiTPTE22	1.4575
DBI	1.05275
SERPINA11	-1.662
NAT5	0.5145
C20orf58	-1.771
RPS6KA4	-0.1515
FLJ90650	0.6415
TGFBRAP1	0.72725
CHRDL2	0.08575
FAHD2A	-0.622833333333333
CNTN1	0.09075
BBS4	0.2429
TMEM181	0.27
MINPP1	-1.02625
MPHOSPH6	-0.259666666666667
HOXC10	0.0719
ITPKB	0.797125
CLPTM1L	-0.41325
MEOX2	0.849333333333333
ATP6V0C	-0.02325
PRPF8	-0.854833333333333
TMC5	4.4315
FKBP3	-0.63525
PLEKHB2	0.04175
OR4D6	-0.4245
ZNF544	-0.262
D2HGDH	-0.313375
RPL18A	-0.2985
HEL308	0.032375
MPP6	-3.08025
TCERG1	-1.11075
KRT16	0.457333333333333
KLF17	-0.74725
KLF5	0.855625
CDR1	2.975875
VCX3A	-3.531
FBLN2	2.243125
C14orf104	-0.155
HBE1	-4.2739
OR4S2	0.526
C1orf108	-0.338666666666667
ROBO4	3.434
CPEB4	1.49175
C11orf80	-1.08133333333333
BCKDHA	0.538666666666667
MYOC	0.4355
GIF	-0.054
CKMT1A	0.7005
RPL3	0.9961
THBS1	1.566875
APOO	-1.06
ARMCX1	0.495
HSZFP36	1.23825
SNAPC5	-0.37825
EIF4ENIF1	1.24125
ZNF433	0.2075
TNFRSF21	-1.473
TMPRSS7	0.255
SPATA18	0.8644
HPDL	-2.397
MKL2	1.4469
TBX3	2.75976923076923
C21orf93	0.351166666666667
DAXX	0.14
ELMO1	-0.0575
RGS13	1.47683333333333
TAF11	-0.896
UNC13A	-1.705625
LOC653314	-0.0359
ORC3L	0.11175
IMAA	-1.8235
TARBP2	-0.5275
CABIN1	0.5816
TRIOBP	0.301
HIST1H2AC	0.451625
RGS22	-0.850833333333333
NCOA1	1.45116666666667
IL25	0.885
SNCG	0.7255
GPR6	-0.0245
AMDHD1	-0.466166666666667
CHEK2	-1.379625
C6orf142	-0.42625
DRD4	0.89425
C14orf68	-1.34575
GDF11	-1.91675
SEMG2	-0.0255
CD247	-1.96775
CDAN1	0.06925
RBMX2	-0.0365
TGS1	-0.368
OIT3	0.4415
SYF2	0.13325
MCM4	-2.174125
PKHD1L1	0.041625
CEP192	-0.429
IFT88	0.5945
RPL9	0.723142857142857
RAB32	-0.55475
DDX43	-1.62725
P2RX2	0.5035
OR5D18	0.262
UBE1	-0.178166666666667
SLC24A1	0.7325
ARHGAP5	0.1315
CETP	-0.26775
KIAA1731	-0.679666666666667
SLC9A4	0.2175
PTPN6	0.45125
BAHD1	0.298
GRIK3	0.1
CACNB2	0.369
PDE10A	-0.7485
DGCR14	-0.035
PCDHB9	-0.7375
RHOQ	0.72
MAP3K4	0.19925
KTI12	-0.754166666666667
RPL23AP13	-0.03575
GNG11	0.403
CLCN3	1.25766666666667
GPAM	0.240375
VSTM2A	0.047
SLAMF7	1.48516666666667
INTS2	-1.43775
PPP2CA	-0.2851
LRP12	-0.233333333333333
SEC14L2	3.28555555555556
DKFZP586H2123	2.428
MC3R	-0.0865
CIRH1A	-1.66283333333333
HIST1H2AB	-1.0075
POLH	-0.09975
MGC16703	-1.68516666666667
SNAPC2	0.0965
FILIP1L	1.21625
RASGRP4	0.144
LRRC1	2.19875
GAS1	1.16475
PRAC	-0.1945
DGKA	-0.568666666666667
NT5C3	-0.38375
PEG3	-0.204916666666667
NADK	-1.5805
PRR17	0.21175
LOC374569	-0.3415
SGSH	0.5975
NLRP8	0.0645
GALT	-0.5471
MCF2	-0.6405
ZNF263	0.176
TACSTD1	-0.211666666666667
TYR	-5.8595
ATP6AP2	0.89075
RNUXA	-0.32225
ABHD10	-0.3545
GDPD2	-1.244
SLC35C1	-0.673
UBE2A	0.15225
HERC5	0.166833333333333
FAM112B	-4.12983333333333
FBXL16	0.52625
DKFZP434A0131	0.18825
ELA3A	-2.1175
RBM41	-0.968375
HAO2	-0.51625
RNH1	-0.3395
SHANK2	2.018
OSBP2	-1.109
DAK	-0.0808333333333333
C3orf58	-0.266916666666667
TCL1B	0.522
KBTBD2	-0.393375
SUGT1L1	0.521
UBE2E2	-0.0341666666666667
MYL9	2.081875
CDC23	-0.763166666666667
PBXIP1	1.5672
CXorf40B	0.8765
NBL1	1.58875
RTBDN	-0.0465
RAB11FIP5	0.77975
TTTY13	-0.5405
SCOTIN	0.09275
SOHLH1	-0.405333333333333
CDKN1A	-0.599
NCK1	-0.3195
ZNF550	-0.12175
SAPS3	0.280666666666667
SPIN3	0.215833333333333
MAGEE2	0.158
MIS12	-1.32433333333333
OR8H2	-0.0175
KIAA0774	-0.969833333333333
UNC5D	-1.134
CUL7	-0.357833333333333
LIPC	-2.63366666666667
DIO1	1.91725
C20orf11	-0.0783
CTRL	-0.73775
HS3ST2	0.9385
PAK4	0.985
CCRL1	3.0725
RNF10	0.22025
ZNF567	-0.101
ZNF660	0.305
TCEAL3	1.3635
MAGOH	-0.794833333333333
CENPB	-0.251
C19orf7	0.439625
LOC388965	0.3385
ZCCHC13	0.353
JMJD1A	-0.7
HIST1H4H	-0.713
TBRG1	-0.8902
GPC3	-3.3135
TAF1C	-0.694875
EBNA1BP2	-0.765333333333333
CIAPIN1	-0.91475
PDGFRA	0.0410555555555555
CSTB	-0.979875
CENPI	-2.324
GTF2E2	-1.5735
RPP21	-0.29175
CCNF	-1.58633333333333
KCNQ3	0.247
FAM79A	1.33475
SLC22A12	0.2485
NOVA1	2.42183333333333
FZD3	0.2814
AKAP8	-1.15825
SOCS5	0.562
CFDP1	-1.41075
DLG5	0.1685
PGM5	0.974583333333333
C1orf144	-0.06275
HDAC10	-1.5095
RND2	-0.37475
C20orf199	-0.5175
RNMT	-0.497375
SLURP1	0.208625
ASTN1	0.312125
SH3BGR	1.0555
MYCL1	0.311
ZHX1	1.0895
CENPK	-3.17625
FOSB	0.1693
LOC643406	0.17425
C2orf59	-0.701375
TMEM135	-0.535625
SLC27A2	-1.19625
KRT33A	1.363
OVOL1	1.1215
PAMCI	-1.39083333333333
S100A7	-1.3055
ZNF789	-0.2045
HARS2	0.229
RPL23A	-0.315833333333333
TCF23	0.1595
UPF3B	-1.023125
C17orf78	0.1055
HLA-DOB	0.125833333333333
C14orf142	-0.313
TEKT5	1.6255
DMWD	0.0435
POLD1	-1.9155
GSCL	-0.095
CALD1	0.5456
SCRT1	0.5295
AIG1	1.93025
UNC84B	-0.34775
ZNF404	-1.347
TMED6	-2.763
KIAA1462	0.348
LRRC27	1.44283333333333
PYGO1	0.1525
PIGU	-0.740333333333333
ALAS2	-3.22766666666667
WRNIP1	0.13025
CNNM3	0.571
ZNF2	0.512
ST3GAL5	-1.04183333333333
MRPL23	-1.075
TSSK6	0.13625
PSMA6	-0.81125
C16orf70	-0.72875
KIAA1602	-0.1455
ALMS1	0.517833333333333
DCN	2.7955
TMEM132D	-0.257
SUCLG2	0.10175
ABHD14A	0.83425
DEXI	-0.100333333333333
AMPD2	-0.4145
IFNAR2	-0.721333333333333
CYB5A	2.3285
TLOC1	0.566
NXF5	-0.5215
NRBF2	-0.32325
KCTD3	1.84025
ITGAE	-1.23533333333333
SLC30A3	-1.72966666666667
ZRF1	-1.0935
IFRD2	-0.840625
XAB1	-0.1325
PYCR2	-0.282666666666667
SERPINB3	-2.9845
TMLHE	-0.4825
GEFT	-0.95025
ABCA5	-0.115
EMR4	0.145
TSFM	-0.6255
HIST3H2BB	-1.4085
ARHGEF19	1.698
TSPAN17	-0.463666666666667
ABCC8	4.61875
MAP1S	-0.0931666666666667
C22orf36	2.03575
BNC2	0.921285714285714
HIST1H4A	-0.473
NDUFS3	-0.345333333333333
WDR3	-0.327333333333333
XKR4	0.06975
TTC33	-0.405285714285714
STMN2	1.904
CPN2	-0.328833333333333
HSPC105	0.959875
PCOLCE2	-1.54825
C3orf55	0.526
KLHDC9	2.43133333333333
TBC1D23	0.408125
ATXN2L	-1.25458333333333
MAP2K3	-0.779583333333333
SCAP	0.2775
ZNF486	0.00949999999999998
C20orf96	0.94475
NARS	-0.0715
ADAMTSL1	-0.881071428571428
PRCC	0.5485
CCDC126	0.425666666666667
ZNF675	0.0205
CALCOCO1	0.698
ANKRD43	4.44775
CWF19L2	-0.228
ZBTB32	0.678
BRAF	-0.3565
ODF4	0.08825
MGC14376	0.142
HORMAD1	-1.5445
AAK1	0.157333333333333
PEBP1	1.13666666666667
TNFSF5IP1	-0.1305
DKFZp564N2472	0.363
RMND1	0.902125
IGKV1-5	4.2965
COL1A2	3.9805
SERPINA5	-0.59675
AANAT	0.2125
C19orf21	0.553833333333333
GEMIN5	-0.20775
UBR4	-0.221333333333333
LTBP3	1.7955
AMHR2	-1.90766666666667
PROCR	-0.1875
MYBBP1A	-1.2825
C20orf39	2.452
ZNF697	-0.241625
PASK	-1.0757
ZNF776	0.609
RFXDC2	-0.002375
KIAA0467	0.16825
C10orf96	-0.77225
ZNF503	0.10475
GULP1	-0.629166666666667
KCNE4	0.508666666666667
DKFZp434K191	-0.21025
LOC196913	-0.3765
BHLHB4	1.407
CH25H	2.0755
LOC81691	-1.20266666666667
ALPL	0.165
COL12A1	2.914
FOLR3	-2.51716666666667
GPR123	0.110625
TRIM62	-0.0543571428571429
ABLIM1	1.0385
MAST3	-0.67975
RHBDD1	0.4005
LOC338809	-0.037
RYBP	1.16675
TTC26	-0.828625
ZNF22	0.499666666666667
ISCA2	-0.43525
RDM1	-2.228
PIGM	0.69675
GNB3	-1.444
ACTR2	-0.144
HMGB1	0.55885
EDG1	2.8725
SOAT2	-3.1575
OR10AD1	-0.319
RAP1GDS1	0.56925
LCE1F	0.0555
ESM1	-1.41625
RCN3	2.2785
CREBL1	-0.754
DBNL	-0.676833333333333
PTGER3	2.1095
USP30	-0.287833333333333
BCL2L12	-0.671
KIF26B	2.1445
ZNF416	0.65
ZNF225	0.049
C17orf70	0.6295
ZNF554	0.9165
RAE1	-0.9155
TNIK	-0.421
ACTN3	-0.2535
MGC45922	1.0465
CCNA1	-1.10333333333333
RYK	0.755833333333333
IL26	-0.301
LRP3	1.01
QARS	-0.07225
SOX7	0.882071428571428
BID	-0.950375
OR2S2	0.2295
CXCL14	5.35075
C11orf47	-0.576
MGC29891	0.545333333333333
HSPB8	0.4032
PRDM14	-0.4445
NUFIP2	0.14275
MNAT1	-0.383125
ZDHHC2	-1.382
MBNL2	0.557375
ADD3	-0.07175
CSNK2A1P	-0.82775
KLK6	-0.557666666666667
TMEM111	0.1005
KIAA1279	0.25925
NUBP2	-0.0925
RAB42	-0.4905
ID3	-0.6247
TM9SF1	0.25
MDP-1	-0.3565
POU4F2	0.06225
IQCK	1.02325
C16orf14	-0.68725
CAPN3	-1.121625
FAM43B	0.18525
RECQL	-1.12475
AP1G1	-0.544714285714286
CTNNBL1	-0.729666666666667
ECHDC1	-0.846166666666667
SMARCC1	0.2399
FOXQ1	-0.990125
GNAI3	0.378
POLG2	-1.51475
CD4	0.497125
ITLN1	-0.115
EBI2	1.2535
IRF1	0.0035
PTPRE	1.154
PTK2B	-0.82175
NXNL2	0.079
SOX4	0.581611111111111
TSPAN3	0.294666666666667
SH2D1A	-3.55883333333333
C8orf58	-0.4915
USP20	-0.51975
DUSP22	-0.53875
CALB1	-1.71766666666667
L3MBTL2	1.03708333333333
MCRS1	-0.3025
TMEM118	-1.38166666666667
C18orf8	0.0826666666666667
FLJ10241	-0.196625
GJA12	0.79225
PKD1	-0.226166666666667
ZFP3	-0.009
JAM3	-0.566
LAPTM4A	0.9627
DIRC2	0.2675
KIAA2022	0.383166666666667
MYOM1	0.9255
TRPM8	-1.77383333333333
MOP-1	1.1295
PHKG2	-0.24075
ZNF650	0.199875
KIAA1522	1.551375
PSG8	-0.765666666666667
DDX19B	-0.7485
MOBKL1B	-0.93475
DIAPH2	-0.0398333333333334
PTPN12	-0.09075
CLN8	0.0357
CRYZL1	-0.0915
CRY2	0.833166666666667
FCGR2B	2.3115
PNPLA4	0.972375
ZNF454	0.182
DKFZp434B1231	0.1095
CLDN11	0.3089
RFWD2	0.795
CIB2	0.170166666666667
MXRA8	3.05875
HRK	-0.500625
MAML2	-0.71225
C4orf31	0.5255
C6orf192	0.22325
COG6	0.459375
FAM5B	0.379
NFATC1	0.8286
SEPT10	-0.07225
SCYL1	-0.2284
RPP40	-1.2
SCOC	-0.0437
KIAA1450	1.24025
CTDSPL2	-0.01525
TBX5	1.31566666666667
NAPG	-0.4485
RHD	-3.50375
C14orf45	1.279
ZBTB22	1.0105
PLCG1	-1.211
ANKRD10	-0.21025
AQP7P2	1.6885
TAGLN2	0.160666666666667
HTR2C	-0.818666666666667
SLC16A7	0.0118333333333333
C17orf83	-0.07875
TSGA14	-0.584083333333333
MDH1	-0.6205
PPP3R2	0.0338333333333333
