Hybridization REF	TCGA-AN-A0AT-01A-11R-A034-07
APLP2	-0.26575
ITIH2	-5.41825
MICAL3	0.103875
TNNI3K	-0.2348
HDAC2	0.581
PRR7	-0.3176
THBS2	-1.233875
LOC751071	0.240666666666667
CA2	-0.815166666666667
RANBP17	1.26
RLN3	0.22975
CRYZ	-1.3005
GBAS	0.597333333333333
TAS1R1	0.04175
MPZL3	0.989
PCDH8	-0.9865
HSP90B1	-0.14575
KCNK15	-0.781
TNIP2	-0.2135
GPR146	-1.00775
NOL6	-0.362875
SPC25	-0.798777777777778
STEAP2	1.00942857142857
VAMP3	-0.5475
TCIRG1	-0.12175
ZP4	2.59716666666667
PARL	0.57175
TRIM39	1.18866666666667
KIAA1305	0.7625
CRNN	-0.240333333333333
GRN	-0.08175
HSH2D	-2.236
SCAMP1	-0.0825625
KIAA1913	0.119
PTS	-0.6355
BANP	0.0984285714285714
PRKACG	-0.08075
ADCY6	-0.665166666666667
C16orf46	0.5125
CYP51A1	-0.26025
DDC	-2.8435
ANPEP	1.35316666666667
PROM1	2.656
SIGLEC10	2.87525
COPG	-0.1895
FAM26E	0.188125
TRIP4	0.53175
SNX3	0.252
C1orf175	0.309166666666667
PPY2	-0.30225
C14orf152	0.0845
FTSJ1	-0.656166666666667
DST	0.5963
LOC554235	0.2275
GLRX5	0.30925
C20orf12	0.8936
CAB39	-0.266
MSH2	-0.238666666666667
PIP4K2C	0.549375
CYLD	1.412375
WTAP	1.2183125
MGAT4A	1.98911111111111
TSC22D4	-1.1365
CHRM2	1.8645
PPYR1	0.2505
CCNH	-1.068
RRM1	0.44875
ECAT8	-2.3175
LOC400120	-0.25325
GABRA4	-0.00575
C14orf4	0.365833333333333
C1orf59	0.646
CTDSPL	1.24275
NHEDC2	1.5685
PDE11A	-2.219625
KLHL29	-0.547
CD5	0.0563
TSPAN9	0.8626875
WDR67	-0.70575
THUMPD1	-0.8418
C18orf17	0.58225
CLYBL	0.800666666666667
FLJ13231	-0.030875
CMBL	-1.914625
LECT2	-0.3635
NKAPL	1.07283333333333
LOC654780	0.504
OR4C6	0.015
RAB30	-0.983333333333333
TSSK4	0.2195
TMEM163	1.1745
OSBPL11	0.699833333333333
GNB5	-0.9975
CCL21	0.84
C1orf121	1.1465
FMO2	2.804
RPTN	-0.166
MSTN	-0.256
VCL	-0.415
FYTTD1	-0.514
C11orf1	-0.20675
CCDC88C	0.3570625
HFE	0.0606666666666667
MOGAT1	0.979
FAM125B	0.897333333333333
IRGQ	0.365
RAVER2	0.39525
AKAP5	-0.7355
SSSCA1	-0.15925
C11orf63	-0.028375
ACTG2	1.5322
PORCN	-1.502
DTL	-1.79936363636364
TMEM151	0.5125
FAM122C	-1.2215
RSAD2	2.399
BAT4	-0.088
KRTDAP	-2.88316666666667
MYH8	-0.048625
CRTC3	0.89175
LRRFIP2	1.2036
INTS4	0.383666666666667
TTN	-1.44083333333333
SLC26A5	0.6055
PLLP	-1.3195
RGS6	-1.09275
SRGAP3	-0.426
ZNF525	0.352333333333333
NBR2	-1.4775
C13orf1	-0.5224
ZNF137	0.579
CEP27	-0.5545
BEST2	0.3865
RNF121	-0.321
DMRTC2	0.3425
C8orf76	-0.2755
BCCIP	-0.491375
MEST	-0.96675
HTRA2	0.3525
ANGPTL2	-0.02
ILKAP	0.455
ERAS	0.3255
HBS1L	-0.129
CPA5	-0.177
TMEM30A	1.0375
CD300LF	2.52383333333333
WISP3	4.6605
CRK	-0.0862142857142857
PDS5A	-0.1266
BRPF3	0.226666666666667
NEDD9	-0.80725
SMPDL3B	2.081
PSG6	-2.07275
PSMD13	0.96875
ETV5	0.1275625
OR51A4	0.0455
BTBD7	0.642
GSTO1	-0.985625
hCG_16001	1.368
MAD2L1BP	-0.4305
COX6A2	0.561
SCNN1A	-1.22016666666667
LSM1	-0.575
UGT2B11	-3.631
IDUA	-0.359
PPP2R3C	-0.6915
COX11	-0.483666666666667
PDZK1	-4.2065
ZNF443	0.441333333333333
MGC21874	0.087
ZNF323	0.7015
KRTAP10-10	0.1385
CXCL6	3.19575
SLC34A2	2.0917
LOC284402	0.4185
NPTN	0.325083333333333
UPP1	0.3355
SLC6A9	0.404
OR7G3	0.523
CISD1	-0.802666666666667
ZNF545	0.869666666666667
SYT14	-1.117
NT5C3L	0.728
ZNHIT3	-0.7975
SNRPD3	0.41075
KIAA0701	0.0175
UNC93B1	0.179
GMNN	0.061625
SPCS2	0.0808333333333333
LOC388524	1.951
NAPRT1	-0.01875
PNLIPRP1	-0.0633333333333333
OR6V1	0.669
PRKAB1	-1.2695
EYA4	-3.76816666666667
KIF20A	-0.45075
ALG10	0.7385
ITPKC	0.695666666666667
LMX1B	0.77
RPUSD4	-0.4975
C7orf34	0.307666666666667
DLGAP2	0.16375
PFN1	-0.3419
MICALL2	-0.64575
ZNF654	-0.6485
SS18L1	-0.874875
SLC16A8	0.51425
MKI67IP	0.507
ITGB3	2.610875
TCEA3	1.78641666666667
CEP152	-1.569375
CLIP1	-0.076
ZNF75	-0.280625
ATP5C1	0.8725
NUDT5	0.812333333333333
PSCDBP	0.682
UBP1	0.50075
RBM27	0.24425
C13orf15	1.82575
ZNF282	-0.3655
ZNF222	-0.684
COL10A1	5.30025
PRDM15	-0.268625
TTTY5	-0.044
FAM9C	-0.469166666666667
C20orf67	-0.01025
GNG13	1.485
F12	0.0925
C1orf41	-0.66275
CPXCR1	1.1735
GSK3A	-0.06525
SUPT6H	0.101166666666667
PI16	-0.420833333333333
ELL2	-1.61766666666667
C9orf167	-2.06083333333333
PVRL3	-2.3797
FLJ38596	1.80875
ADAM20	0.2425
GPR89A	-0.1575
GPR87	-3.185
ZNF30	0.78625
SMR3B	0.0105
ZNF770	0.018375
TRPC4AP	0.013
DKFZP686E2158	-0.469666666666667
C2orf28	0.0856666666666667
FREM1	-2.1525
LAMA4	-0.308
ADPRHL2	0.4755
EIF4G2	0.752333333333333
GUCA1A	0.02
CTNNA2	-1.620875
NUDT15	-0.391333333333333
CEPT1	0.425
ZNFX1	0.274
CCDC92	0.814
TDRD1	-1.552
KCNK5	2.37383333333333
ETNK1	0.424916666666667
LTA	1.165
TTPA	0.662333333333333
B3GALNT2	1.367125
SC65	-0.0133333333333333
PEX5L	-1.7305
EPS15L1	-0.872
MGEA5	-1.235875
HIST1H3A	-0.259
ING1	-0.06875
BCAT1	-1.7725
ORC6L	-0.814727272727273
KLK11	-3.64916666666667
C19orf28	-0.561
DNER	-1.2335
MED22	-0.863571428571429
ETV6	2.35641666666667
CHAC2	0.1235
CD300E	0.629
CEBPB	1.5255
ZNF398	-0.85175
LRCH3	0.0825
HMGA1	0.0883333333333334
CAPN7	0.788833333333333
MGC5566	-3.418
CCL3	3.013125
NANOS1	0.568125
ZFYVE19	-0.5385
APITD1	0.143333333333333
PARD3	0.268875
IRAK4	0.441833333333333
SERPINI2	-0.3025
CEP170L	0.2455
TTC9	1.598875
MYOM3	-2.28875
MLPH	-3.242
LOC222699	1.006
NRG1	-1.57841666666667
TBC1D9	-1.57036363636364
TTK	0.185166666666667
ZNF557	-0.0327
DDX41	-0.717833333333333
FANK1	-0.225
UBE2D2	-0.27775
PSMB10	0.55325
MYH7B	0.236
GABARAPL2	-0.206625
MARVELD2	0.767166666666667
DGCR2	0.709333333333333
UNC45A	1.07166666666667
C6orf72	0.878
ZNF683	4.541
GIT2	-0.585375
CASK	1.32366666666667
C14orf161	1.3275
LRRC44	-0.768
TIFA	0.417875
UTP11L	0.646375
C6orf65	-0.156
FDPS	-0.06625
DUSP9	-1.9426
SLC17A8	-0.00366666666666667
OR51G1	0.3425
NANS	-0.32575
OLFML1	1.189
ATP10B	-1.646375
NPAS3	0.62075
PRKCA	-1.5322
GGA2	-1.1725625
LCE4A	0.3865
SPANXN3	-0.127
CCDC115	1.058625
SDCCAG3	-0.372
GLIPR1L1	-0.00800000000000001
TTC1	0.539
C17orf76	1.27825
MAD2L2	-1.53075
HIPK1	-0.1072
LRRC3B	-0.607833333333333
CLN3	-0.805954545454545
C17orf47	0.4185
FMN2	-2.712875
TUBB1	-1.419125
WAPAL	0.421833333333333
C3orf21	-0.220875
SCN5A	0.2583
SMYD1	1.89825
BEX5	-2.1805
ZNF192	0.821
SEC22A	0.568833333333333
GRIA2	0.475
KIAA0825	-2.33175
NUSAP1	-1.079
LANCL1	0.841625
C15orf40	-0.2168
ZNF645	0.157875
GPR61	0.2415
NLRP14	0.693
SNX21	0.0728
C1QTNF8	0.2825
C17orf46	0.15475
IFNA8	0.122
SPRR1B	-2.10583333333333
FLRT1	-0.6835
SNX17	0.0123333333333333
ASB2	1.01783333333333
HBG1	-5.2285
RPRML	-0.14175
JOSD2	0.737166666666667
PLSCR3	-0.136
SPOCD1	-0.436833333333333
RAB39	-0.199
GHRH	-0.340333333333333
ITIH5L	1.9645
C17orf37	-0.36125
SMCR8	0.51425
DPY19L2P3	1.283
IL11RA	0.0871666666666667
GDF3	-3.38583333333333
RPS6KB1	-1.33125
DNAJC19	0.3351
TOP1	-0.56775
CRCT1	-0.45625
MPST	0.095375
DPM2	-0.434625
FAM38B	-3.81983333333333
SLC18A1	-2.16683333333333
FARP1	0.8145
PAX7	0.11975
TUBD1	-0.695
GNL3	-0.69525
BTG2	0.00333333333333333
NDUFS6	-0.9095
C1orf79	-0.406
ERAL1	0.11425
ECHS1	-0.135
VPS4A	0.1965
CYP11A1	-0.446
ABCC6	-2.59121428571429
PBX4	-1.0695
MOSC1	-0.586875
NCF4	0.18725
HYMAI	0.1655
NAGPA	-0.581
OTOP2	0.33325
ACOT12	-0.2905
MTHFD2L	0.453375
LOC441376	6.473
C19orf34	0.277
RAB1B	-0.0475
ALDOAP2	0.197
NTRK1	-2.00516666666667
ARTS-1	-0.3968
SLC6A11	1.1225
NAP1L2	-0.12875
CNGB1	0.180166666666667
EPB41L4B	0.911333333333333
FAM134B	0.377125
HS3ST3A1	-1.14833333333333
CPXM2	4.2815
SIRPB2	-0.348
CHORDC1	0.517333333333333
TRIB3	-1.357
SLC2A5	1.8725
C2orf49	0.416833333333333
DDX5	-0.57475
OR5L1	1.026
ANAPC4	-0.7515
ZSWIM1	0.24325
LOC93622	-0.315875
KCNK3	-0.764
RP11-35N6.1	-2.32975
ZFP161	0.7025
AQP9	4.84975
SLC15A2	1.11233333333333
MREG	0.625333333333333
OR9I1	0.33
PDLIM2	0.013625
ADAM7	0.6195
GSTCD	0.177666666666667
WDR21A	1.316375
SLC12A8	1.92816666666667
TMEM174	0.2925
IGSF3	0.6265
LRRN1	1.95975
LOC402117	-0.075
SRPK1	0.0326666666666667
LY6K	0.00493749999999998
NFIA	-0.2595
PTCD3	-0.377625
LEP	0.968
PCDH21	-0.762666666666667
MAPKAPK2	-0.0358571428571429
NMNAT1	-0.9145
LHFPL2	0.528375
C9orf43	1.63925
DIP2A	-0.437333333333333
ACTR8	-0.13875
CCDC34	0.82625
PTPN22	-1.006375
ITGA3	-1.27575
FAM129C	0.6975
RABGGTA	0.465333333333333
UNC45B	-0.19875
KIAA1033	-0.08675
ZNF510	0.510333333333333
CYP2D6	-0.095
SLC26A10	-1.0535
STX8	-0.291
LUZP1	-0.292125
WDR89	-0.431666666666667
EIF4G3	-0.9567
C5AR1	0.741625
ZNF623	0.416
A2M	0.51425
TGM7	0.4455
GRPEL1	-0.0361666666666667
LMNB2	0.0597
ROCK2	0.728666666666667
SNX16	0.59275
CCDC66	-0.7965
ANXA3	1.18325
KIAA1609	1.27925
EED	-0.20075
RNF32	0.0161666666666667
HES1	0.2441
CLC	-0.145666666666667
ISL1	-0.931
KIAA0528	-0.181875
MANEA	0.101875
C1orf61	-2.246
hCG_2001000	1.43125
RAPGEF6	-0.7994
KIAA0020	0.00266666666666667
NEIL1	0.378
C16orf45	-2.732625
RBM10	-0.0896666666666667
C10orf125	-0.314
MRS2L	1.23675
DNAH17	0.3305
C19orf10	-0.84675
C1orf160	0.6885
SLFN12	-0.6535
EXOC3	-0.866333333333333
HIST3H3	-0.24575
NCOR2	-0.243333333333333
TNFRSF9	2.39475
MFSD8	1.45475
ALX1	-0.666333333333333
NOL1	-0.165
PODN	1.3475
TIAL1	-0.95575
HIST1H1E	-1.2475
NPY6R	0.3515
TM4SF4	0.893
CORO2A	0.05375
ETNK2	0.262666666666667
APOE	0.0989
ANGPT4	0.3735
HDGF2	-0.0285
G30	-0.016
ST8SIA4	-0.638375
F2RL1	0.332625
FAM19A4	-2.4235
CCAR1	-0.64475
B3GNT7	0.857
OPHN1	-0.4341
DSCR6	1.718
C21orf13	0.647
GAS2L1	0.62525
RFX3	1.1615
COPS4	0.24375
BCHE	-3.65966666666667
BCL2	-0.59175
HBZ	-3.0095
ARL13B	0.37775
MAPBPIP	-0.074375
MYO15B	-0.587
SPZ1	0.38675
KIAA1324	-0.096
PLCL2	-0.675
C4orf29	-0.47975
WDFY2	-0.59125
ZNF284	-0.2235
NAALADL1	-0.41
DUSP5	-0.419666666666667
PXDN	0.971375
SLMO1	1.651
TNXB	0.312
BIRC7	-1.25725
A4GALT	0.542166666666667
TIMM22	-0.34625
FAM110C	1.05225
TOMM34	0.386875
ABHD9	0.6685
ADAM32	2.2825
CRHBP	-1.26
AQP2	0.43925
LOC130355	0.98625
ZNF187	0.512833333333333
ZNF816A	0.3295
F7	-0.8535
CNOT1	0.2339
SLC13A4	-1.35
ZBTB11	-0.6165
B3GALT5	0.256
EXOC2	0.578
IRS1	-1.6768
TMEM1	-0.1485
MRPL34	-1.12966666666667
SAMM50	0.2025
CDC42EP3	-0.16225
HSF2	-0.0739
MFN2	-0.793
TSPAN7	-2.43016666666667
NUCB1	0.776166666666667
RHOH	-2.257
ARL16	-0.39
TACR1	0.23675
SFRS5	-0.869333333333333
SNX25	-0.530875
RHBDF1	0.600166666666667
PCDH18	0.264333333333333
HMG1L1	0.55125
MYO5C	-0.139625
MAPK10	0.114
LDHAL6A	0.065
NUDT12	-0.3835
NCAM1	0.25
GLIS2	0.6445
GGTL4	0.682
DAPP1	2.04775
ATF7	0.077
KIAA0748	-0.8835
NFIL3	-0.461
TM6SF1	-0.1592
SEZ6	0.1115
NANOS3	0.551
DNAJA3	-0.418166666666667
CLDN6	-2.601
CIITA	2.6656
EPHA4	-2.53541666666667
FANCC	0.87975
CMTM3	-0.07125
PSG3	-0.62525
MRPL15	0.7815
C21orf59	-0.43075
PLCXD2	-0.163
C2orf34	0.728875
UBE2L6	0.452125
MED14	1.00833333333333
HP1BP3	-0.6543
C6orf208	0.4395
TPBG	-0.566
OSR2	0.236375
XPC	-0.448666666666667
KLHL7	0.147666666666667
CCR3	-0.4735
AGTPBP1	0.493166666666667
PCSK6	0.281666666666667
STAT5A	-1.1885
FAM18B	-0.84725
LONRF2	-0.206833333333333
PTPN2	1.405
SF3A3	0.0796666666666667
EFCBP2	-0.59925
HCFC1	-0.4435
AHNAK	-0.52835
ACTR5	0.213
KIF14	-0.387714285714286
TENC1	-0.3405
HEATR5B	0.5445
YIPF2	1.65066666666667
MYEOV2	0.103166666666667
DUSP18	1.38
KIAA1012	0.38925
AHR	0.8985
C17orf53	-0.095
PTPRH	-3.6015
ATP6V1C1	-0.349
TAS2R3	0.189
LOC440356	0.91125
COQ10B	0.5055
PSMF1	-0.46075
SORBS2	1.50133333333333
NFE2L2	-0.03525
TMCO7	0.0715
SH3PXD2A	-0.3093
SH2D2A	0.40375
SPINK5	-1.72225
MRPS24	1.396
OPA3	0.31625
TRAF7	0.603833333333333
C4orf35	0.339833333333333
MT1G	1.894625
MGC39545	0.0485
HS1BP3	0.3223
OR2B2	0.091
CHRM4	0.3935
SFRP2	0.61775
RIC3	1.9535
ART1	0.297
C6orf1	0.12125
DUS4L	-0.76525
C10orf104	-0.357
TNFAIP6	2.90725
RTEL1	-1.459
CCT4	-0.2467
ZNF709	0.058
CHMP6	0.6185
UPP2	0.446
CYP19A1	-2.932875
CD151	0.124166666666667
NDUFA13	-0.8405
ARFRP1	-0.530333333333333
FAM26B	0.915
CRYBA1	-2.62
MRPL41	-0.644166666666667
NPFFR2	-0.501625
HRH2	0.332
SCAMP3	0.00233333333333334
MTMR6	0.509
MTG1	-0.7405
UBTD1	0.34725
CRABP1	-1.406
FLJ33790	0.9031
KIAA1908	-0.997
GPR158	0.67775
PACSIN3	0.0253333333333333
OMD	2.00283333333333
CATSPER1	-0.613
HOXB8	-1.221
FBXO46	-0.0255
OAS1	-0.185
SVIL	-0.246
PHB2	-0.1305
ADCY3	0.436
NDRG2	1.78716666666667
ERMAP	0.8312
APBA2	-0.283166666666667
IGSF9	2.07725
WNT6	1.63321428571429
MYCBPAP	-0.47675
ATP2B2	-0.2796
CPVL	0.5779
TRAM2	-0.842166666666667
NOP5/NOP58	0.64275
ZNRF4	0.18
TLK1	0.492875
MTMR12	0.364214285714286
ZNF384	-0.0971666666666667
FAM9B	-2.535
RPN1	-0.1967
PMVK	-0.0315
EIF3D	0.4841
SIX2	-0.3005
HPS1	0.248571428571429
RNF7	-0.75975
PSKH2	0.5015
KCTD13	0.167333333333333
CSMD3	-0.6778
FBF1	-0.4395
IL8	-1.446625
SERPINB13	0.247166666666667
FBXL20	0.72825
BLR1	0.5215
SH2B1	-0.401333333333333
RFNG	0.037125
RAB20	-0.522
RBM7	-0.48175
POLR1A	0.331166666666667
TMPRSS4	-3.382
TAF9	-0.947
TERF2	-0.195
TNFRSF1A	-0.137
ACADVL	-1.266
GTF2H5	0.44475
EDG8	-1.4555
C9orf140	-0.269125
UST6	0.51975
ZBTB8OS	0.2505
ZNF710	0.2155
GPR174	-1.1715
ATP6V0A2	0.44125
KIAA0319L	-0.0521666666666667
XKRX	1.0415
DOPEY2	0.4556
SDHD	-0.29475
SUMF1	1.12825
OSM	2.854
OPN3	0.382
DAGLB	-0.4635
PPFIBP1	-0.4013
TRIM63	-4.78275
C10orf53	0.891
LYPD3	-1.087
BCL7A	-0.70525
AGER	-1.0705
TCF19	-0.127
SAT2	-0.78825
PFTK1	-0.424333333333333
GABRE	-2.733125
C15orf38	1.6272
FIS1	-0.677
KCNV2	-0.24325
CLPS	1.6105
PPCDC	-0.340875
FOXN2	0.613
NT5E	-2.2843
CD83	2.5685
IL18	1.3225
VPS16	-0.93575
IGFBP2	-0.460666666666667
NOTCH2	0.062
SIGLEC1	2.028625
CD93	4.266
SULF2	-0.12525
CEP164	-0.630875
P53AIP1	-0.134
TOR2A	-0.403
ZNF136	0.138
MGP	2.168
CCDC144A	0.871166666666667
TRPC1	-0.191333333333333
SMS	-0.0225
MAPK7	-0.531333333333333
RRAGC	1.2275
PARD6A	1.00683333333333
NUB1	-0.740333333333333
SYNGR4	0.91425
OR11H12	0.6315
WIF1	4.415875
GCH1	0.1225
OR11H4	0.4925
SLC44A5	-0.2945
GPRIN2	3.11733333333333
LOC401431	-0.00374999999999999
CPA4	-2.1254
MELK	-0.568777777777778
IL15RA	1.34375
CUL3	-0.715125
HMBOX1	0.2145
PODXL	-2.0315
CCT6B	0.452333333333333
COMTD1	-0.7615
MUC20	-0.065
GPX2	-3.663625
ITK	-0.701
FBXL5	-0.178
C13orf27	-0.63125
DEFA5	0.136
TRHDE	-0.848
MTP18	0.4785
UQCRQ	-0.3869
ITGB2	1.75233333333333
CSRP2BP	-0.37725
TAS2R44	0.2975
PHPT1	0.091125
FAM44C	-0.32875
ERH	0.606
MPHOSPH1	-1.3095
MORC1	-0.4095
PARVB	1.037
LAMA1	-1.62491666666667
PGBD3	1.1545
GIMAP6	3.5015
AREG	-2.25916666666667
LIPT1	0.2675
MGC99813	-1.367
C1orf201	0.826833333333333
GRIN2A	-1.3951
MAN2C1	-0.635125
NSUN5	0.21875
SF3B5	0.66475
MYC	0.281625
NRXN1	-0.330333333333333
ZNF18	-0.30575
SPDYA	-0.00662499999999999
SLC37A1	0.0895
DECR2	0.29325
ANKRD38	-0.1455
SPTLC3	-1.38283333333333
SUPT16H	0.115
DTWD2	1.126
ULBP1	0.135
ZADH1	-0.127333333333333
OIP5	-0.8615
IL10RB	0.0593333333333333
OTUB2	0.8375
VWA3A	-0.0241666666666667
SPIC	0.549833333333333
OR6C4	0.1785
PSCD4	0.899333333333333
DPY19L2P2	-0.408
TRAPPC6A	0.428833333333333
C21orf2	-0.5105
CEMP1	-0.97225
LIN7B	-0.382
E2F7	-0.632666666666667
VCP	-0.3898125
LAMA3	0.678583333333333
BGN	1.58425
GPR160	-1.64666666666667
COCH	1.26616666666667
GPR81	-1.5005
APOBEC3F	-1.738
tcag7.1017	-0.76325
C1orf32	0.6355
SCGB1D2	-0.4475
FLJ43987	-0.3525
C6orf170	0.8305
KLK9	0.5425
GPD1L	1.185
VPS37B	-0.07975
ATG3	-0.114
ADAMTS17	0.2485
KLHDC2	-0.407166666666667
NDUFV2	0.1025
BLK	-1.904
MATN4	-0.5675
GPM6A	0.283
GBP4	3.35166666666667
TMEM162	0.492833333333333
PKP2	0.395
HRASLS	1.76144444444444
MMP1	3.167
SFXN3	-1.0856
FSD1	-0.775333333333333
ST6GALNAC3	-2.0255
CA12	-0.205
NCOA6	0.81125
C19orf58	-0.3983
PPP4R1	0.636166666666667
MAN1A2	0.724166666666667
IKBKAP	-0.5475
UPF1	-0.519333333333333
KIAA1219	-0.25075
WNT16	-0.0631666666666666
SNW1	0.008625
IL18RAP	3.29925
RPP30	-0.344375
CDC40	0.0578571428571429
SETD3	0.574833333333333
SLAMF6	0.623
ELK4	0.343
TRIM47	1.737
ACOX3	0.46925
TRIM6	-2.021
KIAA0372	-0.697333333333333
TP53AP1	0.501
SMURF2	0.773
ADAD1	0.3835
EBP	-0.5901
KRTAP13-2	-0.2415
FLJ36874	-0.4605
TOR1A	-0.774166666666667
P2RY4	1.2045
GPBP1	-0.701
TRPV1	-0.3275
ADAMTS12	-0.730833333333333
PES1	0.4762
ATG4A	-0.295833333333333
MAGEA10	0.0735
WFS1	-0.8095
CC2D1B	-0.310666666666667
PABPN1	0.149375
SLC25A30	0.47025
SLCO1C1	-0.527833333333333
SLC22A5	-0.22925
KIF23	-0.141
SYN2	0.140833333333333
ASPN	5.81983333333333
CENTG2	-0.18675
QSOX2	-1.0195
FLJ10815	0.2515
STK24	0.24525
SPEG	0.179
STK10	-0.2665
DACT2	-2.3045
AAAS	-1.0525
SSX3	-2.01575
ABCD3	-0.2679
C4orf12	-0.8415
PARVG	0.635166666666667
FIG4	0.8455
C9orf46	0.2925
TMCO6	-0.5635
IGHMBP2	-0.304
DUS2L	0.150666666666667
FAM3C	-0.09625
TMEM16D	0.628875
DCTN4	0.2915
KCNH3	1.05475
EIF2AK2	0.92
AP1S3	2.62275
CST4	-0.0415
PAM	0.8263125
NUTF2	0.49225
CITED2	-0.8702
SLC39A4	-0.36375
C2orf52	0.0045
GRM3	-0.26575
C12orf49	0.657
CCDC49	-0.3611
GRAMD1B	-1.370375
FNDC4	1.03775
SIAH2	-0.86325
GDPD4	0.437
C21orf87	0.8295
ATP5A1	0.238833333333333
C16orf63	-0.76675
LOC388135	-1.47466666666667
ATP5J2	-1.00525
MMP3	0.6155
EMID2	-0.50775
CRHR1	1.23525
WDR70	-0.77175
C13orf31	1.784
ZFAND1	0.34775
CCL18	4.24516666666667
C3orf49	0.201
RINT1	-0.6845
KIAA0408	-2.05583333333333
F13A1	3.7702
SLC10A1	-0.104666666666667
OGN	-3.20175
GIPC2	2.29683333333333
XPO6	0.0265
LCE1A	0.779
FMR1	0.6895
LOC374920	0.434
DUSP3	0.32275
ANKMY1	-0.319
C7orf50	0.55275
BBS9	0.4505
UNC119B	-0.130625
C9orf72	-1.765
MGC35440	0.0565
ENTPD6	0.525875
PPP1R2P9	0.6925
ERCC4	0.44125
FAHD2B	-0.643
HMHA1	-0.533
HACL1	0.12575
RAD23A	-0.184833333333333
FAM83B	0.47775
PPP5C	-1.03116666666667
RNASEH2C	0.0155
C9orf153	0.337
SCAMP4	0.295375
GHITM	-0.2511
NDUFB7	0.233125
ADCYAP1	-0.541166666666667
SP110	0.368166666666667
MAP3K7IP2	0.33725
DHH	0.025
AGRN	0.655357142857143
WDR33	0.0256666666666667
CEP290	0.417166666666667
PRPS1L1	-1.21933333333333
KLRA1	-0.7075
GPR97	0.086
CHD7	-0.0715
TLR10	1.0365
SLC30A8	-1.5445
HIC1	0.315666666666667
IAPP	0.4125
RXFP4	0.377
GP1BB	0.42675
SHQ1	-0.58
NKX2-3	0.216833333333333
API5	0.14
FTHP1	0.2555
MOV10L1	0.935333333333333
TRIM6-TRIM34	-0.0686666666666667
ADHFE1	-1.1725
FAM117A	-0.71
DDI1	0.158166666666667
CDON	-1.3185
TRIM73	-0.6835
IGKC	4.6045
MMP14	0.0935833333333333
DYNC1LI1	0.956375
C11orf66	-0.302
TRBV3-1	-1.3805
FASTKD5	-0.0095
BIVM	-0.70625
LHX4	-0.56325
CXCL2	0.4143
RAB2B	-0.0436666666666667
IZUMO1	-0.24875
MAP3K15	-1.70975
FAM19A2	0.00583333333333333
ZC3H8	0.492666666666667
ZMAT1	0.885125
SPINK5L3	-2.6725
SLC10A6	0.889
APPL2	-0.339625
CARD10	-0.676333333333333
LOC402176	0.689875
EEF1D	0.6707
RAB6A	0.7869
C12orf5	-1.596875
PAPOLG	0.77925
MSRB2	0.3905
BCR	0.620444444444444
PUS3	-0.62725
TIAM2	2.27175
ZNF317	0.6995
CHD2	0.383142857142857
FZD5	-1.33604545454545
NUDT8	-0.8995
ZNF763	-0.365
PRC1	0.300444444444444
ABCB9	-0.462833333333333
SPATA3	0.01475
TRAK2	0.4015
STAB1	2.83325
LRRTM2	-0.363666666666667
psiTPTE22	0.5685
DBI	0.66925
SERPINA11	-3.2915
NAT5	-0.07625
C20orf58	-2.6175
RPS6KA4	0.739
FLJ90650	0.3355
TGFBRAP1	0.6
CHRDL2	1.696
FAHD2A	-0.761666666666667
CNTN1	-0.1535
BBS4	-0.6485
TMEM181	-0.244
MINPP1	-1.17725
MPHOSPH6	0.3925
HOXC10	-0.2016
ITPKB	-1.065875
CLPTM1L	-0.692
MEOX2	-0.407166666666667
ATP6V0C	0.066875
PRPF8	-0.379666666666667
TMC5	-1.217
FKBP3	0.2105
PLEKHB2	-0.353
OR4D6	0.427
ZNF544	-0.1505
D2HGDH	-0.417
RPL18A	-0.1153
HEL308	0.22175
MPP6	-0.0465
TCERG1	-1.4755
KRT16	4.19816666666667
KLF17	-1.14425
KLF5	0.274125
CDR1	1.355125
VCX3A	-2.1935
FBLN2	2.504875
C14orf104	0.3585
HBE1	-4.6455
OR4S2	0.733
C1orf108	0.726666666666667
ROBO4	2.91816666666667
CPEB4	-0.88675
C11orf80	0.654166666666667
BCKDHA	-0.00533333333333333
MYOC	0.17925
GIF	-0.0745
CKMT1A	0.8155
RPL3	0.4155
THBS1	2.300875
APOO	0.278
ARMCX1	1.026
HSZFP36	0.4455
SNAPC5	0.12025
EIF4ENIF1	1.0585
ZNF433	0.33
TNFRSF21	-0.342625
TMPRSS7	-0.7075
SPATA18	2.0199
HPDL	0.3185
MKL2	0.0833
TBX3	-2.03915384615385
C21orf93	0.0948333333333334
DAXX	0.765
ELMO1	0.64925
RGS13	1.9115
TAF11	0.1745
UNC13A	-1.972625
LOC653314	-0.1731
ORC3L	0.56125
IMAA	-2.7515
TARBP2	-0.74225
CABIN1	-0.0367
TRIOBP	-0.1105
HIST1H2AC	-0.384625
RGS22	-4.08
NCOA1	0.569333333333333
IL25	0.7335
SNCG	-0.2035
GPR6	1.18
AMDHD1	2.471
CHEK2	0.278
C6orf142	-0.31625
DRD4	0.22075
C14orf68	-0.921
GDF11	-2.5435
SEMG2	-0.154
CD247	-0.71625
CDAN1	-0.56475
RBMX2	0.3885
TGS1	-0.302
OIT3	0.43725
SYF2	0.37825
MCM4	-0.810125
