Hybridization REF	TCGA-C8-A12Z-01A-11R-A115-07
RLN3	0.31775
CRYZ	-1.4365
GBAS	-0.276166666666667
TAS1R1	0.464
MPZL3	2.236
PCDH8	-2.619
HSP90B1	-0.587416666666667
KCNK15	1.3175
TNIP2	-0.942833333333333
GPR146	-0.5585
NOL6	0.090625
SPC25	-2.15288888888889
STEAP2	0.195285714285714
VAMP3	-0.691666666666667
TCIRG1	0.333
ZP4	0.241833333333333
PARL	-0.04325
TRIM39	0.559833333333333
KIAA1305	0.6695
CRNN	0.5005
GRN	-0.23025
HSH2D	-0.58325
SCAMP1	0.9498125
KIAA1913	1.13775
PTS	0.56425
BANP	0.407428571428571
PRKACG	0.215
ADCY6	1.02233333333333
C16orf46	-0.026
CYP51A1	0.1175
DDC	-4.47675
ANPEP	-0.873333333333333
PROM1	2.23466666666667
SIGLEC10	0.90175
COPG	1.595
FAM26E	1.348
TRIP4	0.85475
SNX3	0.527666666666667
C1orf175	0.531833333333333
PPY2	0.364
C14orf152	0.1355
FTSJ1	-0.553833333333333
DST	-0.31915
LOC554235	0.3335
GLRX5	-0.05975
C20orf12	0.8707
CAB39	0.614833333333333
MSH2	-2.057
PIP4K2C	0.759125
CYLD	-0.157375
WTAP	0.3690625
MGAT4A	3.32366666666667
TSC22D4	-0.7022
CHRM2	-1.5405
PPYR1	0.825833333333333
CCNH	-0.547666666666667
RRM1	-0.1535
ECAT8	-3.40625
LOC400120	-0.8565
GABRA4	0.181571428571429
C14orf4	0.916166666666667
C1orf59	-1.039
CTDSPL	0.889833333333333
NHEDC2	-1.625
PDE11A	-0.5646875
KLHL29	-2.3345
CD5	-1.4149
TSPAN9	1.98325
WDR67	0.89875
THUMPD1	-0.283
C18orf17	-0.81475
CLYBL	-0.0751666666666667
FLJ13231	-1.289875
CMBL	1.729375
LECT2	-1.069
NKAPL	1.28916666666667
LOC654780	0.6505
OR4C6	0.1155
RAB30	0.306333333333333
TSSK4	0.0565
TMEM163	-0.9905
OSBPL11	0.0626666666666667
GNB5	-0.908333333333333
CCL21	1.7975
C1orf121	0.748833333333333
FMO2	0.784333333333333
RPTN	-0.35
MSTN	-0.868
VCL	0.369
FYTTD1	0.053
C11orf1	0.90575
CCDC88C	0.2173125
HFE	-0.0252222222222222
MOGAT1	-1.4855
FAM125B	0.103
IRGQ	0.2315
RAVER2	-0.48975
AKAP5	-1.1125
SSSCA1	0.45125
C11orf63	1.5995
ACTG2	-0.682
PORCN	-0.699
DTL	-1.40027272727273
TMEM151	0.80775
FAM122C	0.33675
RSAD2	2.7908
BAT4	-0.469
KRTDAP	0.151333333333333
MYH8	-0.115571428571429
CRTC3	-0.101
LRRFIP2	-0.348
INTS4	0.639
TTN	-2.3228
SLC26A5	0.365
PLLP	-1.5335
RGS6	-0.57425
SRGAP3	0.536875
ZNF525	0.0398333333333333
NBR2	-0.504166666666667
C13orf1	0.4533
ZNF137	-0.067
CEP27	-1.12575
BEST2	1.0195
RNF121	-0.08025
DMRTC2	4.31225
C8orf76	1.83725
BCCIP	0.2465
MEST	-2.2795
HTRA2	-0.0935
ANGPTL2	1.5325
ILKAP	0.0746666666666667
ERAS	0.2195
HBS1L	0.372
CPA5	0.863
TMEM30A	1.04216666666667
CD300LF	1.11016666666667
WISP3	-0.1435
CRK	0.153571428571429
PDS5A	-0.4534
BRPF3	1.062
NEDD9	-0.4145
SMPDL3B	1.46475
PSG6	0.254
PSMD13	0.54725
ETV5	-1.992875
OR51A4	0.33
BTBD7	0.51825
GSTO1	-1.128875
hCG_16001	0.1925
MAD2L1BP	0.0738333333333333
COX6A2	1.5135
SCNN1A	2.9275
LSM1	-0.343166666666667
UGT2B11	-1.9625
IDUA	0.483
PPP2R3C	-1.076
COX11	-0.297
PDZK1	-4.8555
ZNF443	-0.489666666666667
MGC21874	0.66
ZNF323	2.1892
KRTAP10-10	0.6915
CXCL6	-0.874666666666667
SLC34A2	3.1686
LOC284402	1.285
NPTN	1.17341666666667
UPP1	-1.53966666666667
SLC6A9	0.055
OR7G3	0.11975
CISD1	-0.547
ZNF545	-2.15133333333333
SYT14	-0.768
NT5C3L	-0.143833333333333
ZNHIT3	-1.3625
SNRPD3	-0.37425
KIAA0701	-0.075375
UNC93B1	0.581166666666667
GMNN	-1.981125
SPCS2	0.567666666666667
LOC388524	0.534
NAPRT1	-0.054375
PNLIPRP1	-0.0565
OR6V1	1.0525
PRKAB1	-1.12575
EYA4	-2.87733333333333
KIF20A	-0.80675
ALG10	-0.20725
ITPKC	0.471666666666667
LMX1B	1.8895
RPUSD4	-0.443666666666667
C7orf34	0.291666666666667
DLGAP2	0.7185
PFN1	-0.4574
MICALL2	-0.29275
ZNF654	0.481
SS18L1	-1.075
SLC16A8	-0.01725
MKI67IP	0.352833333333333
ITGB3	-1.416125
TCEA3	2.92466666666667
CEP152	-2.5164375
CLIP1	0.064125
ZNF75	-0.55075
ATP5C1	-0.254666666666667
NUDT5	-0.476166666666667
PSCDBP	-0.6425
UBP1	-0.38025
RBM27	0.41925
C13orf15	1.70725
ZNF282	0.128666666666667
ZNF222	-0.4477
COL10A1	5.2525
PRDM15	-0.879625
TTTY5	-0.0515
FAM9C	-0.31
C20orf67	0.121
GNG13	0.8505
F12	2.25775
C1orf41	-0.34875
CPXCR1	-0.4195
GSK3A	0.070875
SUPT6H	-0.428333333333333
PI16	-1.71116666666667
ELL2	-0.891583333333333
C9orf167	-2.27083333333333
PVRL3	-2.5514
FLJ38596	0.536
ADAM20	-0.029
GPR89A	-0.2775
GPR87	-1.7175
ZNF30	0.10475
SMR3B	0.443
ZNF770	0.420625
TRPC4AP	-0.3465
DKFZP686E2158	0.392666666666667
C2orf28	0.00316666666666667
FREM1	-2.98466666666667
LAMA4	0.0918333333333333
ADPRHL2	-0.6615
EIF4G2	0.0503333333333334
GUCA1A	-1.2345
CTNNA2	-1.907625
NUDT15	-0.448
CEPT1	0.384833333333333
ZNFX1	0.7859
CCDC92	0.16075
TDRD1	2.206
KCNK5	-1.79333333333333
ETNK1	-0.56675
LTA	0.36
TTPA	0.5275
B3GALNT2	0.427
SC65	0.798666666666667
PEX5L	-1.49925
EPS15L1	0.0835
MGEA5	-0.971625
HIST1H3A	1.35325
ING1	0.075375
BCAT1	-2.3975
ORC6L	-3.29772727272727
KLK11	-5.16766666666667
C19orf28	-1.5715
DNER	-4.3825
MED22	-0.235928571428571
ETV6	1.61866666666667
CHAC2	-1
CD300E	-0.017
CEBPB	1.202
ZNF398	-0.2045
LRCH3	-0.4795
HMGA1	-1.41066666666667
CAPN7	0.3865
MGC5566	-3.0395
CCL3	3.071125
NANOS1	1.91775
ZFYVE19	0.5775
APITD1	-0.170166666666667
PARD3	0.45125
IRAK4	-0.4385
SERPINI2	0.614
CEP170L	-0.35575
TTC9	3.4305
MYOM3	-2.1595
MLPH	1.289625
LOC222699	1.42
NRG1	-0.783416666666667
TBC1D9	1.96745454545455
TTK	-0.700666666666667
ZNF557	0.0168
DDX41	-0.117166666666667
FANK1	1.944
UBE2D2	0.1645
PSMB10	0.2975
MYH7B	0.3205
GABARAPL2	-0.897375
MARVELD2	1.58283333333333
DGCR2	1.07166666666667
UNC45A	0.0451666666666667
C6orf72	0.041
ZNF683	3.8795
GIT2	-0.604125
CASK	0.5945
C14orf161	5.723
LRRC44	-1.0435
TIFA	0.000499999999999973
UTP11L	-1.146875
C6orf65	-1.085
FDPS	0.65875
DUSP9	-1.1899
SLC17A8	0.2135
OR51G1	0.463166666666667
NANS	0.649
OLFML1	1.6775
ATP10B	-1.57825
NPAS3	-2.20325
PRKCA	-2.6449
GGA2	-0.4195
LCE4A	0.7295
SPANXN3	0.38425
CCDC115	0.443
SDCCAG3	-0.48375
GLIPR1L1	0.3455
TTC1	0.1455
C17orf76	-0.05725
MAD2L2	-1.379
HIPK1	-0.7781
LRRC3B	-0.477166666666667
CLN3	-0.641681818181818
C17orf47	0.8315
FMN2	-3.54457142857143
TUBB1	-1.594625
WAPAL	0.0293333333333333
C3orf21	-1.697
SCN5A	-0.4388
SMYD1	-0.0185
BEX5	3.015
ZNF192	-0.048
SEC22A	0.529833333333333
GRIA2	0.4045
KIAA0825	-0.879
NUSAP1	-1.14381818181818
LANCL1	0.13675
C15orf40	-0.5096
ZNF645	0.56125
GPR61	-0.04775
NLRP14	-0.7125
SNX21	-0.0654
C1QTNF8	0.3725
C17orf46	1.0245
IFNA8	0.3825
SPRR1B	-0.637166666666667
FLRT1	-1.26675
SNX17	-0.284
ASB2	-1.21266666666667
HBG1	-5.257
RPRML	-0.8735
JOSD2	1.04933333333333
PLSCR3	0.149
SPOCD1	0.7145
RAB39	-0.656
GHRH	0.3495
ITIH5L	0.13275
C17orf37	2.8965
SMCR8	0.4755
DPY19L2P3	-1.13716666666667
IL11RA	0.454666666666667
GDF3	-3.764
RPS6KB1	-0.610416666666667
DNAJC19	0.0989999999999999
TOP1	-0.0005
CRCT1	-0.438571428571429
MPST	0.163875
DPM2	0.901
FAM38B	-2.39583333333333
SLC18A1	-2.2915
FARP1	0.340333333333333
PAX7	0.5805
TUBD1	-0.99675
GNL3	-0.215125
BTG2	1.20533333333333
NDUFS6	-0.413
C1orf79	-2.53975
ERAL1	-0.25625
ECHS1	0.73225
VPS4A	-0.879833333333333
CYP11A1	-0.708625
ABCC6	0.101571428571429
PBX4	-3.1405
MOSC1	1.459125
NCF4	-0.4745
HYMAI	-0.977
NAGPA	-0.820625
OTOP2	0.264
ACOT12	0.046
MTHFD2L	-0.598375
LOC441376	5.77425
C19orf34	0.626
RAB1B	1.191
ALDOAP2	0.037
NTRK1	-2.14916666666667
ARTS-1	-0.7576
SLC6A11	-1.3595
NAP1L2	0.55125
CNGB1	0.163
EPB41L4B	0.5355
FAM134B	-0.135375
HS3ST3A1	-1.22333333333333
CPXM2	3.66875
SIRPB2	0.258
CHORDC1	-1.0015
TRIB3	0.1175
SLC2A5	1.41925
C2orf49	-0.0706666666666667
DDX5	0.0395
OR5L1	0.794
ANAPC4	-1.39883333333333
ZSWIM1	0.851875
LOC93622	-0.48175
KCNK3	-0.3717
RP11-35N6.1	-1.299375
ZFP161	0.0495
AQP9	4.685
SLC15A2	1.317
MREG	-0.302333333333333
OR9I1	0.7015
PDLIM2	0.096875
ADAM7	0.696
GSTCD	-0.0918333333333333
WDR21A	-0.186875
SLC12A8	2.019
TMEM174	0.09325
IGSF3	1.91166666666667
LRRN1	-1.878
LOC402117	-0.70725
SRPK1	-1.19983333333333
LY6K	0.184
NFIA	4.1335
PTCD3	-0.618625
LEP	0.426
PCDH21	-0.795666666666667
MAPKAPK2	1.00771428571429
NMNAT1	-1.524
LHFPL2	0.428375
C9orf43	2.3845
DIP2A	-0.5745
ACTR8	-0.493375
CCDC34	-1.41625
PTPN22	-1.354875
ITGA3	-0.22075
FAM129C	0.359
RABGGTA	0.463
UNC45B	0.17725
KIAA1033	-0.3355
ZNF510	-0.1485
CYP2D6	1.60966666666667
SLC26A10	-2.0795
STX8	-0.81525
LUZP1	-0.60925
WDR89	0.286
EIF4G3	-0.3532
C5AR1	1.07775
ZNF623	-0.1375
A2M	0.26725
TGM7	0.2325
GRPEL1	-1.00333333333333
LMNB2	-1.8471
ROCK2	-0.476833333333333
SNX16	0.813
CCDC66	-0.4845
ANXA3	1.6225
KIAA1609	0.100375
EED	-0.4465
RNF32	0.765166666666667
HES1	0.8275
CLC	0.021
ISL1	-0.853666666666667
KIAA0528	-0.83125
MANEA	0.545375
C1orf61	-0.596
hCG_2001000	0.60825
RAPGEF6	-0.6419
KIAA0020	-0.907833333333333
NEIL1	1.38825
C16orf45	1.1985
RBM10	-0.496833333333333
C10orf125	-0.671625
MRS2L	0.00574999999999999
DNAH17	-1.77325
C19orf10	-1.02725
C1orf160	0.39225
SLFN12	-0.727
EXOC3	-0.1705
HIST3H3	0.29375
NCOR2	-0.253833333333333
TNFRSF9	0.13225
MFSD8	0.3575
ALX1	-4.22966666666667
NOL1	-0.59925
PODN	2.91575
TIAL1	-0.3265
HIST1H1E	0.55275
NPY6R	0.16125
TM4SF4	0.22875
CORO2A	1.18525
ETNK2	-0.3015
APOE	0.3736
ANGPT4	0.7655
HDGF2	-1.12875
G30	-0.284
ST8SIA4	-0.861875
F2RL1	0.32
FAM19A4	-0.7465
CCAR1	-0.1075
B3GNT7	0.4105
OPHN1	-0.8364
DSCR6	2.0985
C21orf13	2.704
GAS2L1	1.21025
RFX3	-0.494166666666667
COPS4	0.465875
BCHE	-4.9135
BCL2	-1.97475
HBZ	-3.1945
ARL13B	-0.685
MAPBPIP	1.4135
MYO15B	-1.14625
SPZ1	0.214333333333333
KIAA1324	2.27044444444444
PLCL2	-0.921
C4orf29	-0.37775
WDFY2	-0.0575
ZNF284	-0.965
NAALADL1	-0.278
DUSP5	0.543166666666667
PXDN	0.909125
SLMO1	-1.29975
TNXB	0.6609
BIRC7	-1.0835
A4GALT	-0.102166666666667
TIMM22	0.034
FAM110C	2.103
TOMM34	-0.446
ABHD9	0.3065
ADAM32	0.478
CRHBP	-2.02525
AQP2	0.800375
LOC130355	1.34825
ZNF187	-0.289
ZNF816A	0.438
F7	0.8605
CNOT1	-0.4957
SLC13A4	-0.27275
ZBTB11	-0.156
B3GALT5	0.0875
EXOC2	-0.263
IRS1	-0.8359
TMEM1	0.273666666666667
MRPL34	-0.400833333333333
SAMM50	0.15575
CDC42EP3	-0.191375
HSF2	-0.8067
MFN2	-0.98025
TSPAN7	-2.37283333333333
NUCB1	0.620333333333333
RHOH	-2.68475
ARL16	-1.333
TACR1	-0.19825
SFRS5	-1.07666666666667
SNX25	0.0455
RHBDF1	0.247166666666667
PCDH18	1.3585
HMG1L1	-1.08725
MYO5C	1.558
MAPK10	1.4145
LDHAL6A	-0.2842
NUDT12	0.484666666666667
NCAM1	-0.185625
GLIS2	0.1765
GGTL4	1.8705
DAPP1	1.349
ATF7	1.079375
KIAA0748	-1.48775
NFIL3	0.1995
TM6SF1	-0.221
SEZ6	0.2595
NANOS3	0.341833333333333
DNAJA3	-0.100666666666667
CLDN6	-2.035
CIITA	2.3191
EPHA4	-1.77008333333333
FANCC	-0.2715
CMTM3	0.252625
PSG3	-0.142714285714286
MRPL15	-0.24275
C21orf59	0.59025
PLCXD2	0.07975
C2orf34	0.154125
UBE2L6	1.84375
MED14	0.00266666666666666
HP1BP3	-0.6015
C6orf208	-0.4605
TPBG	-0.2385
OSR2	-0.19175
XPC	-0.640166666666667
KLHL7	-0.487333333333333
CCR3	-0.498
AGTPBP1	0.3165
PCSK6	-1.25713333333333
STAT5A	-2.2525
FAM18B	-0.06975
LONRF2	1.29516666666667
PTPN2	-0.823875
SF3A3	-1.65066666666667
EFCBP2	0.20125
HCFC1	-0.978166666666667
AHNAK	-0.46525
ACTR5	-0.6385
KIF14	-1.68857142857143
TENC1	1.4815
HEATR5B	0.7275
YIPF2	0.999833333333333
MYEOV2	0.8555
DUSP18	1.42125
KIAA1012	-0.03775
AHR	-0.293
C17orf53	-1.30516666666667
PTPRH	-1.6835
ATP6V1C1	1.2428
TAS2R3	0.1275
LOC440356	1.7835
COQ10B	0.67325
PSMF1	0.465333333333333
SORBS2	2.84925
NFE2L2	0.005
TMCO7	-1.093
SH3PXD2A	-0.5107
SH2D2A	-0.9485
SPINK5	-3.40125
MRPS24	-0.52375
OPA3	0.14125
TRAF7	0.494833333333333
C4orf35	0.823666666666667
MT1G	0.345125
MGC39545	-0.6755
HS1BP3	0.5954
OR2B2	0.7695
CHRM4	0.1285
SFRP2	3.04125
RIC3	-3.155
ART1	0.7765
C6orf1	0.4495
DUS4L	-1.4035
C10orf104	0.3635
TNFAIP6	2.497
RTEL1	-1.04675
CCT4	0.00379999999999995
ZNF709	-0.28125
CHMP6	-0.109
UPP2	0.1925
CYP19A1	-3.05385714285714
CD151	0.5215
NDUFA13	0.390166666666667
ARFRP1	-0.702166666666667
FAM26B	2.09
CRYBA1	-1.883
MRPL41	1.07316666666667
NPFFR2	-1.89875
HRH2	0.197
SCAMP3	0.868166666666667
MTMR6	0.8811
MTG1	-1.59633333333333
UBTD1	1.2585
CRABP1	2.663
FLJ33790	-0.1448
KIAA1908	0.343833333333333
GPR158	-2.81925
PACSIN3	0.1795
OMD	3.557
CATSPER1	-0.216833333333333
HOXB8	-0.55075
FBXO46	0.626
OAS1	0.812333333333333
SVIL	0.33175
PHB2	-0.594
ADCY3	-0.9025
NDRG2	1.06833333333333
ERMAP	0.3353
APBA2	-0.531
IGSF9	2.5325
WNT6	1.15714285714286
MYCBPAP	1.796
ATP2B2	-0.233666666666667
CPVL	-1.3463
TRAM2	-0.709333333333333
NOP5/NOP58	-0.60675
ZNRF4	-0.01975
TLK1	-0.05725
MTMR12	0.179285714285714
ZNF384	-0.289833333333333
FAM9B	-2.764
RPN1	0.5461
PMVK	1.53475
EIF3D	1.0483
SIX2	0.69725
HPS1	0.6525
RNF7	-0.499
PSKH2	0.542
KCTD13	-0.270166666666667
CSMD3	-0.7288
FBF1	-0.039
IL8	-2.07975
SERPINB13	0.502090909090909
FBXL20	-0.16875
BLR1	0.652
SH2B1	-1.14833333333333
RFNG	-0.663625
RAB20	1.65066666666667
RBM7	0.00600000000000001
POLR1A	-0.4025
TMPRSS4	-1.0285
TAF9	-0.430375
TERF2	0.525166666666667
TNFRSF1A	0.464
ACADVL	-1.6975
GTF2H5	0.67975
EDG8	-0.569833333333333
C9orf140	-0.58575
UST6	0.39525
ZBTB8OS	-0.69575
ZNF710	1.997
GPR174	-2.7275
ATP6V0A2	-0.9275
KIAA0319L	-0.888166666666667
XKRX	-0.8905
DOPEY2	2.7338
SDHD	-0.344583333333333
SUMF1	1.1905
OSM	2.896
OPN3	-1.207
DAGLB	-0.513833333333333
PPFIBP1	0.6103
TRIM63	-4.1635
C10orf53	-0.787
LYPD3	-0.379333333333333
BCL7A	-0.399375
AGER	-1.24333333333333
TCF19	-0.514
SAT2	-0.21075
PFTK1	-0.154833333333333
GABRE	-3.506625
C15orf38	1.9759
FIS1	-0.139
KCNV2	0.04225
CLPS	0.973
PPCDC	-0.187125
FOXN2	-1.204
NT5E	-3.1049
CD83	-0.20825
IL18	1.1135
VPS16	0.11125
IGFBP2	-1.47783333333333
NOTCH2	0.61825
SIGLEC1	2.1155
CD93	4.3955
SULF2	-0.59825
CEP164	0.8625
P53AIP1	-0.0813333333333333
TOR2A	0.186833333333333
ZNF136	-1.0425
MGP	3.6625
CCDC144A	-1.758
TRPC1	-1.49616666666667
SMS	-1.186
MAPK7	-0.369666666666667
RRAGC	-0.06175
PARD6A	0.084
NUB1	0.264666666666667
SYNGR4	1.16775
OR11H12	-0.1345
WIF1	0.1785
GCH1	0.61275
OR11H4	0.2245
SLC44A5	1.8115
GPRIN2	2.99216666666667
LOC401431	0.29825
CPA4	-2.0405
MELK	-1.03466666666667
IL15RA	0.30625
CUL3	0.539625
HMBOX1	-0.24575
PODXL	-2.37
CCT6B	0.560833333333333
COMTD1	0.74225
MUC20	2.59983333333333
GPX2	-2.084625
ITK	-2.804
FBXL5	0.71425
C13orf27	-1.0515
DEFA5	0.288
TRHDE	-0.12
MTP18	-0.398666666666667
UQCRQ	2.2623
ITGB2	0.901916666666667
CSRP2BP	0.536
TAS2R44	0.1485
PHPT1	0.06125
FAM44C	-0.01925
ERH	0.74825
MPHOSPH1	-0.792166666666667
MORC1	-1.1925
PARVB	-0.39975
LAMA1	-2.37008333333333
PGBD3	0.00925
GIMAP6	3.65075
AREG	-2.19366666666667
LIPT1	-0.0615
MGC99813	-0.258
C1orf201	-0.216666666666667
GRIN2A	-1.3422
MAN2C1	-1.14275
NSUN5	-0.26925
SF3B5	0.29175
MYC	-1.3753125
NRXN1	-1.64308333333333
ZNF18	0.07625
SPDYA	-1.04128571428571
SLC37A1	2.0835
DECR2	0.42625
ANKRD38	1.336
SPTLC3	-0.497083333333333
SUPT16H	-0.899375
DTWD2	-0.05975
ULBP1	0.311
ZADH1	-0.507833333333333
OIP5	-2.344
IL10RB	0.4605
OTUB2	1.118
VWA3A	0.0151666666666667
SPIC	0.1174
OR6C4	0.6975
PSCD4	0.504333333333333
DPY19L2P2	-1.3585
TRAPPC6A	-0.0578333333333333
C21orf2	-0.596166666666667
CEMP1	0.15225
LIN7B	-0.9765
E2F7	-2.68583333333333
VCP	0.00737500000000001
LAMA3	-0.977272727272727
BGN	2.28475
GPR160	2.2595
COCH	-4.48116666666667
GPR81	2.3815
APOBEC3F	-1.949
tcag7.1017	-0.9045
C1orf32	0.5055
SCGB1D2	5.20375
FLJ43987	-1.391
C6orf170	0.5345
KLK9	0.4985
GPD1L	1.668625
VPS37B	0.79025
ATG3	-0.352
ADAMTS17	0.001
KLHDC2	-0.135333333333333
NDUFV2	-0.69175
BLK	-3.1635
MATN4	-1.296
GPM6A	-0.0952857142857143
GBP4	1.2825
TMEM162	0.293666666666667
PKP2	0.3515
HRASLS	0.766888888888889
MMP1	-0.5785
SFXN3	0.3762
FSD1	-1.41766666666667
ST6GALNAC3	-2.52066666666667
CA12	2.6774
NCOA6	0.0405
C19orf58	0.6512
PPP4R1	-0.671666666666667
MAN1A2	1.941
IKBKAP	-0.638
UPF1	0.298666666666667
KIAA1219	0.373
WNT16	-0.558
SNW1	-0.342
IL18RAP	1.425
RPP30	-0.306125
CDC40	-0.077
SETD3	0.257166666666667
SLAMF6	-0.26875
ELK4	0.2175
TRIM47	0.342166666666667
ACOX3	-0.085
TRIM6	0.143125
KIAA0372	0.0856666666666667
TP53AP1	0.381875
SMURF2	-0.302
ADAD1	0.5445
EBP	-0.7995
KRTAP13-2	-0.0055
FLJ36874	-0.225
TOR1A	0.0736666666666667
P2RY4	1.2175
GPBP1	-0.187
TRPV1	-0.5265
ADAMTS12	0.5885
PES1	0.1546
ATG4A	1.1415
MAGEA10	-4.205
WFS1	1.3855
CC2D1B	-0.7335
PABPN1	0.12725
SLC25A30	0.3165
SLCO1C1	-0.676666666666667
SLC22A5	0.56625
KIF23	-1.199
SYN2	-1.17383333333333
ASPN	8.2715
CENTG2	0.24825
QSOX2	-1.2191
FLJ10815	-0.00149999999999998
STK24	0.0369375
SPEG	0.4472
STK10	0.228666666666667
DACT2	-2.7845
AAAS	0.512
SSX3	-1.542
ABCD3	-0.1916
C4orf12	0.6925
PARVG	0.108333333333333
FIG4	0.4105
C9orf46	-0.10325
TMCO6	-0.1875
IGHMBP2	-1.16375
DUS2L	-0.971333333333333
FAM3C	-0.0155
TMEM16D	-1.878125
DCTN4	0.395
KCNH3	-0.12775
EIF2AK2	-0.48
AP1S3	1.673
CST4	2.599
PAM	-0.085875
NUTF2	-1.24625
CITED2	1.5548
SLC39A4	1.1505
C2orf52	-0.5685
GRM3	-0.4955
C12orf49	1.496125
CCDC49	0.6835
GRAMD1B	-1.455375
FNDC4	-0.44125
SIAH2	-0.53725
GDPD4	0.276
C21orf87	1.760375
ATP5A1	-1.11966666666667
C16orf63	-0.704375
LOC388135	0.331833333333333
ATP5J2	-0.14825
MMP3	0.00275
EMID2	0.3195
CRHR1	0.85425
WDR70	-0.3125
C13orf31	0.769
ZFAND1	-0.26575
CCL18	4.0335
C3orf49	-0.247
RINT1	-0.886
KIAA0408	-2.2595
F13A1	4.8862
SLC10A1	-0.123833333333333
OGN	1.93975
GIPC2	-2.80733333333333
XPO6	-0.599166666666667
LCE1A	1.1275
FMR1	-0.2022
LOC374920	-1.084
DUSP3	0.160625
ANKMY1	1.434
C7orf50	-0.10825
BBS9	-0.3343
UNC119B	0.209125
C9orf72	-0.475625
MGC35440	-1.6075
ENTPD6	0.11075
PPP1R2P9	0.6635
ERCC4	-0.54125
FAHD2B	1.035
HMHA1	-2.2035
HACL1	-1.02675
RAD23A	-1.04916666666667
FAM83B	-0.37025
PPP5C	-0.3205
RNASEH2C	0.8475
C9orf153	-1.17333333333333
SCAMP4	0.637875
GHITM	0.3446
NDUFB7	-0.238375
ADCYAP1	-0.477333333333333
SP110	1.47183333333333
MAP3K7IP2	0.4565
DHH	0.815
AGRN	0.699142857142857
WDR33	0.457
CEP290	-1.52783333333333
PRPS1L1	-1.701
KLRA1	-1.1065
GPR97	-0.281
CHD7	-0.207333333333333
TLR10	0.17275
SLC30A8	4.259
HIC1	1.75533333333333
IAPP	-0.6535
RXFP4	0.959
GP1BB	1.3915
SHQ1	0.8135
NKX2-3	0.555666666666667
API5	0.5465
FTHP1	0.7405
MOV10L1	-0.417666666666667
TRIM6-TRIM34	0.748
ADHFE1	-0.4085
FAM117A	-0.291
DDI1	0.7265
CDON	-0.893
TRIM73	-1.945
IGKC	4.7215
MMP14	-0.388166666666667
DYNC1LI1	0.51275
C11orf66	0.81075
TRBV3-1	-2.05033333333333
FASTKD5	0.9535
BIVM	-0.82025
LHX4	0.11775
CXCL2	-1.8266
RAB2B	-0.1895
IZUMO1	-0.8585
MAP3K15	-2.50075
FAM19A2	0.423
ZC3H8	-0.3215
ZMAT1	-0.221
SPINK5L3	-3.42275
SLC10A6	0.861
APPL2	-0.01075
CARD10	0.433333333333333
LOC402176	0.160875
EEF1D	0.0773
RAB6A	0.475
C12orf5	-0.686375
PAPOLG	0.6195
MSRB2	0.43475
BCR	0.888388888888889
PUS3	0.571
TIAM2	0.01825
ZNF317	-0.193833333333333
CHD2	0.0430714285714285
FZD5	-1.69386363636364
NUDT8	0.36525
ZNF763	-0.4685
PRC1	-1.00088888888889
ABCB9	1.4955
SPATA3	0.614
TRAK2	0.109
STAB1	2.45575
LRRTM2	-0.631
psiTPTE22	0.912
DBI	0.8865
SERPINA11	-1.21
NAT5	0.341
C20orf58	-1.76525
RPS6KA4	0.548333333333333
FLJ90650	0.3475
TGFBRAP1	-0.52525
CHRDL2	-0.276125
FAHD2A	0.564333333333333
CNTN1	0.30075
BBS4	0.2005
TMEM181	-0.4295
MINPP1	0.9005
MPHOSPH6	1.16108333333333
HOXC10	3.1252
ITPKB	0.5635
CLPTM1L	-0.2565
MEOX2	-1.31766666666667
ATP6V0C	1.26425
PRPF8	-0.352333333333333
TMC5	4.2435
FKBP3	-0.662
PLEKHB2	0.021625
OR4D6	0.6695
ZNF544	-0.749
D2HGDH	0.3645
RPL18A	1.2528
HEL308	-0.123
MPP6	-1.4795
TCERG1	-1.32
KRT16	1.1705
KLF17	-0.94325
KLF5	0.630375
CDR1	2.515125
VCX3A	-4.933
FBLN2	1.708
C14orf104	0.202
HBE1	-4.7366
OR4S2	-0.0655
C1orf108	-1.172
ROBO4	3.2545
CPEB4	0.2985
C11orf80	0.477166666666667
BCKDHA	0.3855
MYOC	0.0315
GIF	0.768
CKMT1A	2.321
RPL3	0.9916
THBS1	2.036
APOO	-0.5785
ARMCX1	0.29725
HSZFP36	-0.77125
SNAPC5	-0.257
EIF4ENIF1	0.77725
ZNF433	0.00775
TNFRSF21	0.13475
TMPRSS7	1.191
SPATA18	1.284
HPDL	-2.5985
MKL2	0.5006
TBX3	-0.895307692307692
C21orf93	0.240333333333333
DAXX	-0.627
ELMO1	-0.25525
RGS13	-0.0101666666666667
TAF11	-0.2055
UNC13A	-2.06225
LOC653314	-0.5056
ORC3L	-0.3105
IMAA	-3.041
TARBP2	0.25125
CABIN1	-0.295
TRIOBP	0.1798125
HIST1H2AC	1.38925
RGS22	-3.135
NCOA1	1.26866666666667
IL25	1.0705
SNCG	4.1795
GPR6	0.512
AMDHD1	-2.28116666666667
CHEK2	-1.021875
C6orf142	-0.69975
DRD4	0.61525
C14orf68	-0.95175
GDF11	-1.03875
SEMG2	1.2335
CD247	-2.75775
CDAN1	-0.83175
RBMX2	-0.015
TGS1	-0.33075
OIT3	1.02575
SYF2	-0.45725
MCM4	-2.05325
PKHD1L1	0.17125
CEP192	-1.32
IFT88	0.54725
RPL9	-0.432714285714286
RAB32	0.5865
