Hybridization REF	TCGA-AN-A0XU-01A-11R-A109-07
RPTN	-0.124
MSTN	0.2435
VCL	-0.460928571428572
FYTTD1	0.30775
C11orf1	-0.0035
CCDC88C	-0.0508125
HFE	0.259111111111111
MOGAT1	0.8855
FAM125B	-0.098
IRGQ	0.5225
RAVER2	0.684
AKAP5	-0.47
SSSCA1	-0.802
C11orf63	1.11775
ACTG2	-0.6677
PORCN	-1.2495
DTL	-1.88054545454545
TMEM151	0.494
FAM122C	-0.011
RSAD2	2.6316
BAT4	-0.3715
KRTDAP	-0.309
MYH8	0.067375
CRTC3	0.10125
LRRFIP2	0.8978
INTS4	0.483833333333333
TTN	-1.2595
SLC26A5	0.396
PLLP	-1.0195
RGS6	-0.322
SRGAP3	0.655
ZNF525	0.0358333333333334
NBR2	-1.52533333333333
C13orf1	-0.0829
ZNF137	-0.2105
CEP27	-0.8485
BEST2	0.298
RNF121	-0.967
DMRTC2	1.84725
C8orf76	0.72475
BCCIP	-0.34475
MEST	0.82825
HTRA2	0.2985
ANGPTL2	0.16375
ILKAP	0.133333333333333
ERAS	0.1185
HBS1L	0.903
CPA5	0.0865
TMEM30A	1.16683333333333
CD300LF	2.24483333333333
WISP3	4.5865
CRK	0.639071428571429
PDS5A	-0.2209
BRPF3	-0.124
NEDD9	-0.468875
SMPDL3B	2.1715
PSG6	-1.23175
PSMD13	0.04875
ETV5	-1.116375
OR51A4	-0.348
BTBD7	1.03925
GSTO1	-0.439875
hCG_16001	-0.127
MAD2L1BP	0.0686666666666667
COX6A2	0.7945
SCNN1A	1.49966666666667
LSM1	-0.0868333333333333
UGT2B11	-3.19525
IDUA	-0.76575
PPP2R3C	-0.627333333333333
COX11	-0.573666666666667
PDZK1	-3.8495
ZNF443	0.0858333333333333
MGC21874	-0.100833333333333
ZNF323	2.031
KRTAP10-10	0.1795
CXCL6	-0.18325
SLC34A2	3.2927
LOC284402	0.0925
NPTN	1.05658333333333
UPP1	-0.886083333333333
SLC6A9	0.56
OR7G3	0.115
CISD1	-0.6975
ZNF545	0.728
SYT14	-0.7075
NT5C3L	0.199166666666667
ZNHIT3	-0.336
SNRPD3	0.41425
KIAA0701	0.3895
UNC93B1	-0.804333333333333
GMNN	-0.096125
SPCS2	0.251833333333333
LOC388524	0.441
NAPRT1	-0.385875
PNLIPRP1	-0.1
OR6V1	0.4735
PRKAB1	-0.8925
EYA4	-2.99966666666667
KIF20A	-0.846
ALG10	0.00800000000000001
ITPKC	0.413333333333333
LMX1B	0.3595
RPUSD4	0.00399999999999999
C7orf34	-0.013
DLGAP2	0.426875
PFN1	0.3661
MICALL2	-0.573916666666667
ZNF654	-0.3855
SS18L1	-0.397125
SLC16A8	0.05325
MKI67IP	0.4285
ITGB3	-1.431625
TCEA3	0.890083333333333
CEP152	-1.5953125
CLIP1	0.476375
ZNF75	0.2209375
ATP5C1	0.401666666666667
NUDT5	0.6015
PSCDBP	0.847
UBP1	-0.55075
RBM27	0.15675
C13orf15	1.85775
ZNF282	0.093
ZNF222	0.3373
COL10A1	5.1505
PRDM15	-0.410375
TTTY5	0.3545
FAM9C	-0.01575
C20orf67	-0.042
GNG13	1.3725
F12	0.89525
C1orf41	-0.30225
CPXCR1	-0.16
GSK3A	0.203875
SUPT6H	-0.188833333333333
PI16	-1.48733333333333
ELL2	-0.320083333333333
C9orf167	-1.7685
PVRL3	-1.8129
FLJ38596	0.28225
ADAM20	0.3385
GPR89A	0.608
GPR87	-1.24
ZNF30	0.525
SMR3B	0.228
ZNF770	0.648625
TRPC4AP	-0.755333333333333
DKFZP686E2158	-0.0301666666666667
C2orf28	0.291833333333333
FREM1	-1.97166666666667
LAMA4	-0.00383333333333329
ADPRHL2	0.01475
EIF4G2	0.400166666666667
GUCA1A	-0.0575
CTNNA2	-1.512
NUDT15	-0.200833333333333
CEPT1	-0.806166666666667
ZNFX1	0.1786
CCDC92	0.459
TDRD1	-1.0795
KCNK5	2.01033333333333
ETNK1	0.141833333333333
LTA	0.7395
TTPA	-0.124
B3GALNT2	0.634875
SC65	-0.751
PEX5L	-1.37475
EPS15L1	-0.48425
MGEA5	-0.770125
HIST1H3A	0.45475
ING1	0.661
BCAT1	-1.50725
ORC6L	-1.79227272727273
KLK11	-3.44583333333333
C19orf28	-1.722875
DNER	-3.2585
MED22	-1.334
ETV6	1.915
CHAC2	0.637
CD300E	0.365
CEBPB	1.46116666666667
ZNF398	-0.38325
LRCH3	-0.027
HMGA1	-1.21583333333333
CAPN7	0.0811666666666667
MGC5566	-1.84375
CCL3	3.243875
NANOS1	0.967875
ZFYVE19	-0.4845
APITD1	-0.741833333333333
PARD3	-0.625625
IRAK4	-0.0863333333333333
SERPINI2	-0.304
CEP170L	-0.8915
TTC9	0.851875
MYOM3	-1.919
MLPH	-1.8345
LOC222699	0.398
NRG1	-1.88875
TBC1D9	-0.499
TTK	-0.0291666666666667
ZNF557	1.0818
DDX41	-0.418833333333333
FANK1	-0.3015
UBE2D2	-0.288625
PSMB10	0.843875
MYH7B	0.2525
GABARAPL2	0.451375
MARVELD2	0.0936666666666667
DGCR2	0.3385
UNC45A	0.0431666666666667
C6orf72	0.45
ZNF683	4.87375
GIT2	-0.040625
CASK	1.34966666666667
C14orf161	4.3145
LRRC44	-1.93075
TIFA	0.227
UTP11L	-0.900375
C6orf65	-0.751
FDPS	-0.30875
DUSP9	-1.8143
SLC17A8	-0.0278333333333333
OR51G1	-0.0291666666666667
NANS	-0.0635
OLFML1	0.5365
ATP10B	-0.467375
NPAS3	0.50475
PRKCA	-1.2687
GGA2	0.00950000000000002
LCE4A	0.272
SPANXN3	0.7355
CCDC115	1.085
SDCCAG3	-1.05425
GLIPR1L1	0.201
TTC1	-0.24675
C17orf76	-0.435
MAD2L2	-0.35275
HIPK1	0.0745
LRRC3B	-0.466833333333333
CLN3	-0.522
C17orf47	0.3695
FMN2	-2.794875
TUBB1	-1.384375
WAPAL	0.370833333333333
C3orf21	-1.446875
SCN5A	-0.4282
SMYD1	0.87025
BEX5	2.273
ZNF192	0.126
SEC22A	0.946666666666667
GRIA2	0.438571428571429
KIAA0825	-1.70475
NUSAP1	-1.02581818181818
LANCL1	0.533
C15orf40	-0.0732
ZNF645	0.2565
GPR61	0.018
NLRP14	0.333
SNX21	-0.309
C1QTNF8	0.1165
C17orf46	0.71725
IFNA8	0.026
SPRR1B	-1.3255
FLRT1	-0.44775
SNX17	0.206833333333333
ASB2	1.49733333333333
HBG1	-5.4025
RPRML	-0.22025
JOSD2	0.230833333333333
PLSCR3	0.20175
SPOCD1	-0.0276666666666667
RAB39	-0.049
GHRH	-0.217333333333333
ITIH5L	-0.024
C17orf37	0.55925
SMCR8	0.3385
DPY19L2P3	-0.374166666666667
IL11RA	0.641333333333333
GDF3	-3.30833333333333
RPS6KB1	-0.823916666666667
DNAJC19	-0.0641
TOP1	-0.5095
CRCT1	-0.74225
MPST	0.250125
DPM2	-0.4915
FAM38B	-0.370666666666667
SLC18A1	-1.805
FARP1	0.602666666666667
PAX7	0.18775
TUBD1	-0.63475
GNL3	-0.495
BTG2	-0.354933333333333
NDUFS6	0.09475
C1orf79	0.00525
ERAL1	0.0325
ECHS1	0.369
VPS4A	-0.1985
CYP11A1	1.759125
ABCC6	-0.480571428571429
PBX4	-1.514
MOSC1	0.479125
NCF4	0.21125
HYMAI	0.214
NAGPA	-0.565375
OTOP2	0.069
ACOT12	-0.294
MTHFD2L	0.677625
LOC441376	3.7875
C19orf34	-0.0605
RAB1B	-0.8475
ALDOAP2	0.142
NTRK1	-1.788
ARTS-1	-1.073
SLC6A11	0.5655
NAP1L2	1.113
CNGB1	0.353
EPB41L4B	-1.57658333333333
FAM134B	2.341375
HS3ST3A1	-1.47333333333333
CPXM2	5.155
SIRPB2	0.3225
CHORDC1	-0.455333333333333
TRIB3	-0.7785
SLC2A5	1.08175
C2orf49	0.391166666666667
DDX5	0.21275
OR5L1	0.375
ANAPC4	-0.6065
ZSWIM1	0.284875
LOC93622	-0.773
KCNK3	0.7728
RP11-35N6.1	-1.9415
ZFP161	-0.128166666666667
AQP9	4.578
SLC15A2	0.604666666666667
MREG	-0.0475
OR9I1	0.206
PDLIM2	-0.07525
ADAM7	0.148
GSTCD	-0.908166666666667
WDR21A	0.3305
SLC12A8	1.0915
TMEM174	0.1695
IGSF3	0.158333333333333
LRRN1	2.0345
LOC402117	-0.1015
SRPK1	-1.5965
LY6K	-0.0761875
NFIA	-0.3935
PTCD3	-0.040875
LEP	0.834333333333333
PCDH21	-0.901166666666667
MAPKAPK2	0.3005
NMNAT1	-1.31733333333333
LHFPL2	0.39825
C9orf43	0.5625
DIP2A	-0.505833333333333
ACTR8	-0.812375
CCDC34	0.506
PTPN22	0.072125
ITGA3	-1.848375
FAM129C	0.216
RABGGTA	0.0301666666666667
UNC45B	0.138
KIAA1033	0.483
ZNF510	0.131166666666667
CYP2D6	-0.166666666666667
SLC26A10	-0.1825
STX8	-0.79425
LUZP1	-0.1225
WDR89	-0.121666666666667
EIF4G3	-0.0786
C5AR1	1.03575
ZNF623	0.326
A2M	-0.93575
TGM7	0.5865
GRPEL1	-0.555166666666667
LMNB2	-1.0754
ROCK2	-0.518666666666667
SNX16	-0.577875
CCDC66	-0.653
ANXA3	0.503
KIAA1609	1.311625
EED	0.327
RNF32	0.319166666666667
HES1	0.5469
CLC	0.6935
ISL1	-0.442166666666667
KIAA0528	-0.072
MANEA	1.092375
C1orf61	0.087
hCG_2001000	0.23625
RAPGEF6	-0.849
KIAA0020	0.0653333333333333
NEIL1	0.897
C16orf45	-2.068625
RBM10	-0.0541666666666667
C10orf125	-0.40125
MRS2L	1.1075
DNAH17	0.012
C19orf10	-0.86875
C1orf160	-0.02575
SLFN12	1.20375
EXOC3	-0.0306666666666667
HIST3H3	0.407
NCOR2	-0.0415
TNFRSF9	1.2
MFSD8	1.565
ALX1	-1.814
NOL1	-0.1325
PODN	1.445
TIAL1	-0.597
HIST1H1E	-1.28575
NPY6R	0.16025
TM4SF4	-0.589
CORO2A	-0.3205
ETNK2	-0.360166666666667
APOE	0.9236
ANGPT4	0.2015
HDGF2	-0.85975
G30	-0.579
ST8SIA4	-0.23675
F2RL1	-1.809
FAM19A4	-0.65375
CCAR1	-0.48025
B3GNT7	0.353
OPHN1	-0.054
DSCR6	2.008
C21orf13	0.310333333333333
GAS2L1	0.300333333333333
RFX3	0.346666666666667
COPS4	-0.321625
BCHE	-4.903
BCL2	-1.289
HBZ	-3.05566666666667
ARL13B	0.552
MAPBPIP	0.231875
MYO15B	0.118125
SPZ1	0.50225
KIAA1324	1.19688888888889
PLCL2	-0.695125
C4orf29	-0.076
WDFY2	0.411875
ZNF284	0.255
NAALADL1	-0.3785
DUSP5	-0.932666666666667
PXDN	-1.216875
SLMO1	0.154
TNXB	0.2251
BIRC7	-1.06725
A4GALT	-0.198833333333333
TIMM22	0.32175
FAM110C	-1.8195
TOMM34	-0.28625
ABHD9	0.5465
ADAM32	1.128
CRHBP	-1.12025
AQP2	0.259875
LOC130355	0.6505
ZNF187	1.0635
ZNF816A	0.417
F7	-0.886875
CNOT1	0.2797
SLC13A4	-0.83825
ZBTB11	-0.07775
B3GALT5	1.18375
EXOC2	-0.345166666666667
IRS1	-2.2818
TMEM1	-0.656833333333333
MRPL34	-0.248666666666667
SAMM50	0.28775
CDC42EP3	-0.33525
HSF2	0.2356
MFN2	-0.36475
TSPAN7	-2.58283333333333
NUCB1	0.5775
RHOH	-2.32175
ARL16	0.5075
TACR1	0.3225
SFRS5	-0.671833333333333
SNX25	-0.775375
RHBDF1	0.174333333333333
PCDH18	1.1415
HMG1L1	0.41975
MYO5C	-1.215375
MAPK10	0.9055
LDHAL6A	-0.2015
NUDT12	-2.28766666666667
NCAM1	-0.522875
GLIS2	0.167
GGTL4	0.1395
DAPP1	-0.58525
ATF7	0.44675
KIAA0748	-1.08225
NFIL3	0.113
TM6SF1	0.395
SEZ6	-0.02825
NANOS3	0.367666666666667
DNAJA3	0.0115
CLDN6	-2.1695
CIITA	3.3241
EPHA4	-1.18525
FANCC	0.32475
CMTM3	0.171375
PSG3	-0.4895
MRPL15	0.69
C21orf59	-0.1625
PLCXD2	-0.1725
C2orf34	0.517125
UBE2L6	1.014
MED14	0.211
HP1BP3	-0.3494
C6orf208	-0.0645
TPBG	0.0365
OSR2	-1.156875
XPC	-0.797666666666667
KLHL7	0.40225
CCR3	0.00666666666666665
AGTPBP1	-1.55583333333333
PCSK6	0.0320666666666667
STAT5A	-1.4577
FAM18B	0.5285
LONRF2	-2.2115
PTPN2	0.085625
SF3A3	-0.5935
EFCBP2	-0.18925
HCFC1	-0.547333333333333
AHNAK	-0.15395
ACTR5	-0.2885
KIF14	-1.77428571428571
TENC1	0.64475
HEATR5B	0.929
YIPF2	1.29833333333333
MYEOV2	0.785
DUSP18	1.05725
KIAA1012	-0.1775
AHR	0.0638333333333333
C17orf53	-0.676666666666667
PTPRH	-1.23975
ATP6V1C1	-0.071
TAS2R3	0.292
LOC440356	0.84925
COQ10B	-0.025
PSMF1	0.2335
SORBS2	1.57133333333333
NFE2L2	0.15275
TMCO7	-0.4905
SH3PXD2A	0.2471
SH2D2A	0.62025
SPINK5	-3.472
MRPS24	-0.36025
OPA3	0.3385
TRAF7	0.187
C4orf35	0.158166666666667
MT1G	1.14675
MGC39545	-0.15325
HS1BP3	-0.5213
OR2B2	0.23
CHRM4	0.3
SFRP2	1.00975
RIC3	-0.08225
ART1	0.2005
C6orf1	-0.008125
DUS4L	-1.1725
C10orf104	-1.041
TNFAIP6	1.9245
RTEL1	-1.8
CCT4	-0.1848
ZNF709	0.08475
CHMP6	0.718333333333333
UPP2	0.46275
CYP19A1	-2.29925
CD151	-1.267
NDUFA13	-1.17
ARFRP1	-0.208666666666667
FAM26B	1.15575
CRYBA1	-1.1505
MRPL41	-1.1985
NPFFR2	-1.1515
HRH2	0.1615
SCAMP3	0.278833333333333
MTMR6	0.8672
MTG1	-0.961333333333333
UBTD1	0.58225
CRABP1	0.6605
FLJ33790	0.7764
KIAA1908	-1.32733333333333
GPR158	0.3095
PACSIN3	-0.6175
OMD	0.504333333333333
CATSPER1	-0.434833333333333
HOXB8	0.583
FBXO46	0.222
OAS1	0.345
SVIL	-0.692
PHB2	-0.4045
ADCY3	-0.2705
NDRG2	2.34283333333333
ERMAP	0.1607
APBA2	-0.293
IGSF9	2.91875
WNT6	0.835928571428571
MYCBPAP	2.1745
ATP2B2	0.0712
CPVL	-0.3103
TRAM2	-0.70425
NOP5/NOP58	0.76175
ZNRF4	-0.25825
TLK1	0.4515
MTMR12	0.861285714285714
ZNF384	0.0981666666666667
FAM9B	-2.714
RPN1	0.8226
PMVK	0.51
EIF3D	0.4195
SIX2	1.54525
HPS1	0.357428571428571
RNF7	0.35
PSKH2	0.108
KCTD13	-0.340666666666667
CSMD3	-0.6298
FBF1	0.127
IL8	-2.702
SERPINB13	0.343166666666667
FBXL20	0.58575
BLR1	0.2375
SH2B1	-0.341666666666667
RFNG	0.134
RAB20	1.87233333333333
RBM7	1.2485
POLR1A	-0.281333333333333
TMPRSS4	0.9795
TAF9	-1.146375
TERF2	-0.391833333333333
TNFRSF1A	0.711333333333333
ACADVL	-0.346
GTF2H5	0.904
EDG8	0.732333333333333
C9orf140	-0.767
UST6	-0.1575
ZBTB8OS	-0.43675
ZNF710	0.9425
GPR174	-1.3
ATP6V0A2	0.13525
KIAA0319L	-0.9685
XKRX	0.4285
DOPEY2	0.0455
SDHD	0.30925
SUMF1	0.9595
OSM	2.53475
OPN3	0.16575
DAGLB	-0.4965
PPFIBP1	0.7233
TRIM63	-4.1195
C10orf53	0.5365
LYPD3	1.938
BCL7A	-1.476875
AGER	-0.434166666666667
TCF19	0.143875
SAT2	-0.392
PFTK1	0.776333333333333
GABRE	-0.644375
C15orf38	0.6714
FIS1	-0.8405
KCNV2	0.0155
CLPS	0.271
PPCDC	0.12675
FOXN2	0.544166666666667
NT5E	-2.6925
CD83	0.5035
IL18	0.936125
VPS16	-0.225
IGFBP2	-2.55316666666667
NOTCH2	0.37125
SIGLEC1	2.541875
CD93	4.0865
SULF2	-0.92925
CEP164	-0.28025
P53AIP1	-0.0455
TOR2A	-0.243333333333333
ZNF136	-0.4365
MGP	2.9253
CCDC144A	1.43633333333333
TRPC1	0.232166666666667
SMS	-0.707166666666667
MAPK7	0.051
RRAGC	0.4775
PARD6A	0.282833333333333
NUB1	0.671333333333333
SYNGR4	0.59925
OR11H12	-0.265
WIF1	2.244375
GCH1	2.405
OR11H4	0.135
SLC44A5	-1.3985
GPRIN2	2.33016666666667
LOC401431	1.3395
CPA4	0.3505
MELK	-0.670555555555556
IL15RA	1.50025
CUL3	-0.66175
HMBOX1	0.41575
PODXL	-1.42825
CCT6B	0.919333333333333
COMTD1	-0.0085
MUC20	2.01433333333333
GPX2	-3.616125
ITK	-0.879125
FBXL5	0.34425
C13orf27	-0.2785
DEFA5	0.622
TRHDE	-0.0215
MTP18	-0.207666666666667
UQCRQ	-0.427
ITGB2	1.78608333333333
CSRP2BP	-0.215
TAS2R44	0.4425
PHPT1	-0.926
FAM44C	-0.19175
ERH	0.9165
MPHOSPH1	-0.575666666666667
MORC1	-0.174
PARVB	-0.2665
LAMA1	-1.92033333333333
PGBD3	-0.26775
GIMAP6	3.499
AREG	-3.567
LIPT1	0.5555
MGC99813	0.06125
C1orf201	0.0693333333333333
GRIN2A	-0.3028
MAN2C1	-0.60075
NSUN5	-0.56125
SF3B5	1.5775
MYC	-1.0696875
NRXN1	0.188083333333333
ZNF18	-0.09625
SPDYA	0.00400000000000001
SLC37A1	0.462
DECR2	0.037
ANKRD38	1.28025
SPTLC3	0.0325
SUPT16H	-0.431125
DTWD2	-0.8295
ULBP1	0.2735
ZADH1	0.199666666666667
OIP5	-1.089
IL10RB	0.364833333333333
OTUB2	1.39175
VWA3A	0.2665
SPIC	0.426833333333333
OR6C4	-0.1465
PSCD4	1.27316666666667
DPY19L2P2	-0.391
TRAPPC6A	0.202833333333333
C21orf2	-0.6865
CEMP1	-0.80425
LIN7B	0.14
E2F7	-1.62816666666667
VCP	-0.546125
LAMA3	1.38458333333333
BGN	2.12625
GPR160	-1.25433333333333
COCH	-1.3325
GPR81	-0.714333333333333
APOBEC3F	-0.429
tcag7.1017	-0.729
C1orf32	0.3705
SCGB1D2	2.56475
FLJ43987	-0.351
C6orf170	1.34075
KLK9	-0.053
GPD1L	-0.32825
VPS37B	0.24825
ATG3	0.336
ADAMTS17	0.281
KLHDC2	0.3335
NDUFV2	-1.34125
BLK	-2.46325
MATN4	1.8935
GPM6A	0.326375
GBP4	4.13533333333333
TMEM162	0.199833333333333
PKP2	0.3775
HRASLS	2.10666666666667
MMP1	-0.563
SFXN3	-0.3895
FSD1	-0.856333333333334
ST6GALNAC3	-2.35016666666667
CA12	-0.2044
NCOA6	0.14175
C19orf58	0.1618
PPP4R1	-0.455
MAN1A2	0.5425
IKBKAP	-1.4115
UPF1	-0.173166666666667
KIAA1219	-0.113
WNT16	-0.9778
SNW1	-0.017
IL18RAP	4.4835
RPP30	0.144
CDC40	1.27364285714286
SETD3	-0.189166666666667
SLAMF6	0.422
ELK4	-0.0595
TRIM47	1.1665
ACOX3	-0.154375
TRIM6	1.0135
KIAA0372	-1.09383333333333
TP53AP1	0.021625
SMURF2	0.86675
ADAD1	0.07925
EBP	-1.099
KRTAP13-2	0.235
FLJ36874	-0.125166666666667
TOR1A	-0.372333333333333
P2RY4	0.54
GPBP1	-0.37225
TRPV1	0.69525
ADAMTS12	0.415833333333333
PES1	0.2125
ATG4A	1.02266666666667
MAGEA10	-4.42625
WFS1	-0.000500000000000007
CC2D1B	-0.3745
PABPN1	-0.432375
SLC25A30	0.4495
SLCO1C1	0.507
SLC22A5	-0.69175
KIF23	-0.161333333333333
SYN2	0.0841666666666667
ASPN	6.40966666666667
CENTG2	0.65
QSOX2	-1.587
FLJ10815	-0.0491666666666667
STK24	0.674
SPEG	0.4942
STK10	-0.593166666666667
DACT2	-2.78
AAAS	-0.3245
SSX3	-1.35325
ABCD3	-0.4777
C4orf12	-0.03425
PARVG	1.611
FIG4	1.307
C9orf46	0.41
TMCO6	-0.938
IGHMBP2	-1.90725
DUS2L	-0.576833333333333
FAM3C	0.1324375
TMEM16D	-1.7275
DCTN4	-0.35275
KCNH3	0.1135
EIF2AK2	0.975
AP1S3	1.536875
CST4	0.119
PAM	0.9990625
NUTF2	-0.3055
CITED2	0.9427
SLC39A4	0.3225
C2orf52	-0.137
GRM3	0.02075
C12orf49	0.529
CCDC49	-0.1299
GRAMD1B	0.4625
FNDC4	1.89675
SIAH2	-0.115
GDPD4	0.04425
C21orf87	0.649875
ATP5A1	-0.0961666666666667
C16orf63	0.00749999999999999
LOC388135	-0.805
ATP5J2	-0.582625
MMP3	-0.848
EMID2	-0.2495
CRHR1	0.103
WDR70	0.593
C13orf31	1.2835
ZFAND1	-0.9735
CCL18	4.43683333333333
C3orf49	0.3785
RINT1	-1.4205
KIAA0408	-1.26216666666667
F13A1	2.9212
SLC10A1	0.281
OGN	-2.848
GIPC2	2.10283333333333
XPO6	-0.467833333333333
LCE1A	0.2015
FMR1	0.3223
LOC374920	0.0055
DUSP3	0.145625
ANKMY1	-1.05375
C7orf50	-0.661
BBS9	0.4911
UNC119B	-0.35325
C9orf72	0.0425
MGC35440	0.763
ENTPD6	-0.179
PPP1R2P9	0.30775
ERCC4	0.13525
FAHD2B	0.8195
HMHA1	-1.4715
HACL1	-1.003
RAD23A	-0.410166666666667
FAM83B	1.04
PPP5C	-0.189
RNASEH2C	-0.88475
C9orf153	-0.08525
SCAMP4	-0.671625
GHITM	0.4967
NDUFB7	0.169125
ADCYAP1	-0.2965
SP110	-0.0101666666666667
MAP3K7IP2	1.0985
DHH	0.035
AGRN	0.0289285714285714
WDR33	0.248166666666667
CEP290	-0.2715
PRPS1L1	-1.37566666666667
KLRA1	-0.574
GPR97	0.431
CHD7	-0.682416666666667
TLR10	0.43975
SLC30A8	-1.4885
HIC1	0.331333333333333
IAPP	0.093
RXFP4	0.25625
GP1BB	0.69675
SHQ1	0.029
NKX2-3	0.197166666666667
API5	-0.41925
FTHP1	0.5525
MOV10L1	0.7835
TRIM6-TRIM34	0.676833333333333
ADHFE1	-0.4985
FAM117A	-1.29875
DDI1	0.246333333333333
CDON	-0.812333333333333
TRIM73	-1.1385
IGKC	5.4245
MMP14	-0.0156666666666667
DYNC1LI1	-0.395875
C11orf66	0.1115
TRBV3-1	-1.0955
FASTKD5	0.32975
BIVM	-0.82125
LHX4	-0.17125
CXCL2	-0.5501
RAB2B	-0.385333333333333
IZUMO1	0.13275
MAP3K15	-0.435875
FAM19A2	-0.330833333333333
ZC3H8	-0.8235
ZMAT1	0.090875
SPINK5L3	-2.549
SLC10A6	0.7865
APPL2	-0.188875
CARD10	-1.1125
LOC402176	-0.105125
EEF1D	-0.499
RAB6A	0.9204
C12orf5	-0.1255
PAPOLG	0.95275
MSRB2	1.98725
BCR	0.964222222222222
PUS3	0.68525
TIAM2	2.326
ZNF317	0.1845
CHD2	0.223214285714286
FZD5	0.235590909090909
NUDT8	-1.592
ZNF763	-0.2665
PRC1	-0.123111111111111
ABCB9	-0.053
SPATA3	0.3085
TRAK2	0.377
STAB1	2.53025
LRRTM2	0.469666666666667
psiTPTE22	0.68825
DBI	0.547
SERPINA11	-3.12125
NAT5	0.04075
C20orf58	-2.35775
RPS6KA4	-0.3505
FLJ90650	-0.6045
TGFBRAP1	0.27
CHRDL2	3.157125
FAHD2A	0.7445
CNTN1	-0.00774999999999999
BBS4	-0.2693
TMEM181	0.0665
MINPP1	-0.2375
MPHOSPH6	0.900416666666667
HOXC10	1.9057
ITPKB	-0.38825
CLPTM1L	0.375375
MEOX2	-1.3235
ATP6V0C	0.4005
PRPF8	0.506
TMC5	0.29175
FKBP3	-0.07575
PLEKHB2	0.11675
OR4D6	0.2715
ZNF544	-0.0713
D2HGDH	0.0125
RPL18A	0.2894
HEL308	-0.32325
MPP6	-0.38625
TCERG1	-1.36475
KRT16	4.05866666666667
KLF17	-0.64475
KLF5	0.65175
CDR1	2.21325
VCX3A	-2.508
FBLN2	0.973375
C14orf104	0.66425
HBE1	-4.7449
OR4S2	0.5945
C1orf108	-0.736
ROBO4	2.92833333333333
CPEB4	-0.373625
C11orf80	-0.293666666666667
BCKDHA	0.7145
MYOC	0.036
GIF	-0.172
CKMT1A	1.0255
RPL3	0.038
THBS1	1.14975
APOO	-0.2175
ARMCX1	2.03975
HSZFP36	0.135
SNAPC5	-0.45375
EIF4ENIF1	0.6055
ZNF433	0.55075
TNFRSF21	0.467
TMPRSS7	-0.0045
SPATA18	1.1894
HPDL	-0.9895
MKL2	0.4377
TBX3	-1.14615384615385
C21orf93	0.3415
DAXX	0.281
ELMO1	-0.113875
RGS13	0.617833333333333
TAF11	-1.96725
UNC13A	1.141875
LOC653314	0.3748
ORC3L	0.94375
IMAA	-1.502
TARBP2	-0.3595
CABIN1	-0.4787
TRIOBP	0.0831875
HIST1H2AC	-0.53225
RGS22	-2.936
NCOA1	0.7565
IL25	0.5895
SNCG	-0.563
GPR6	0.156
AMDHD1	-1.448
CHEK2	0.148125
C6orf142	-0.31025
DRD4	0.52425
C14orf68	-0.89925
GDF11	-0.9505
SEMG2	0.173
CD247	-0.513
CDAN1	-1.25225
RBMX2	0.333666666666667
TGS1	-0.19525
OIT3	-0.26425
SYF2	-0.10125
MCM4	-0.163875
PKHD1L1	0.13425
CEP192	-0.718166666666667
IFT88	-0.7475
RPL9	-0.681357142857143
RAB32	1.26525
DDX43	-2.5955
P2RX2	0.248
OR5D18	0.11
UBE1	-0.18725
SLC24A1	-0.4745
ARHGAP5	1.04225
CETP	-1.62875
KIAA1731	-0.121833333333333
SLC9A4	0.459
PTPN6	1.23
BAHD1	-0.313
GRIK3	0.3705
CACNB2	0.3661
PDE10A	2.17875
DGCR14	0.12825
PCDHB9	0.877
RHOQ	1.56016666666667
MAP3K4	1.483
KTI12	0.458833333333333
RPL23AP13	-0.33775
GNG11	-2.09625
CLCN3	0.746833333333333
GPAM	0.007
VSTM2A	0.491
SLAMF7	4.07416666666667
INTS2	-0.44675
PPP2CA	-0.328
LRP12	0.273733333333333
SEC14L2	0.934444444444444
DKFZP586H2123	0.99425
MC3R	-0.0865
CIRH1A	-0.272166666666667
HIST1H2AB	-0.335333333333333
POLH	0.023125
MGC16703	-1.29733333333333
SNAPC2	-0.3665
FILIP1L	-0.32275
RASGRP4	0.0515
LRRC1	0.80775
GAS1	0.205
PRAC	-0.33075
DGKA	-0.381166666666667
NT5C3	-0.60875
PEG3	-0.265916666666667
NADK	-1.17375
PRR17	0.1705
LOC374569	1.2315
SGSH	0.0586666666666667
NLRP8	0.0275
GALT	-0.7299
MCF2	0.5045
ZNF263	0.442
TACSTD1	2.01683333333333
TYR	-6.2731
ATP6AP2	0.6155
RNUXA	-0.24675
ABHD10	0.1536
GDPD2	1.3495
SLC35C1	-0.2375
UBE2A	0.256
HERC5	-0.332166666666667
FAM112B	-4.0115
FBXL16	-0.23425
DKFZP434A0131	-0.778
ELA3A	-2.3415
RBM41	-0.7675
HAO2	0.166
RNH1	-0.500875
SHANK2	-0.0493333333333333
OSBP2	-0.85425
DAK	-0.949166666666667
C3orf58	0.679083333333333
TCL1B	-0.0435
KBTBD2	-0.1405
SUGT1L1	0.01125
UBE2E2	0.165166666666667
MYL9	1.928875
CDC23	-1.08416666666667
PBXIP1	0.453
CXorf40B	0.664
NBL1	-0.38375
RTBDN	0.108
RAB11FIP5	-0.523375
TTTY13	-0.173
SCOTIN	-0.624083333333333
SOHLH1	-0.352166666666667
CDKN1A	-0.696071428571429
NCK1	0.781
ZNF550	-0.083
