Hybridization REF	TCGA-A7-A0CD-01A-11R-A00Z-07
YY1	0.677833333333333
CCDC138	-1.99233333333333
AASDHPPT	-0.1116
CKS1B	-1.311
MCM3	-0.195666666666667
ANAPC7	-0.066
FAM110A	1.1585
CDC37L1	1.01833333333333
THTPA	1.59725
NBPF20	-0.7805
WDR24	0.64925
NPTX2	-2.4995
CBLB	0.8795
CETN1	0.4545
RPUSD1	-0.03375
FAF1	-0.7245
CDK6	-3.6208
HMX2	-0.056
CSK	-0.8205
TEAD2	-0.11075
SNAP25	-1.96875
TUFT1	1.6944
TMTC3	0.9335
LCK	-3.356
SGOL1	-1.24566666666667
AKTIP	0.6785
FURIN	1.518125
SOX12	-0.265666666666667
DEFB103A	-0.16725
RAMP1	1.77325
KIR3DX1	-0.6425
GAS2L3	-0.52275
PDE8A	-1.3008
EDN3	-1.258
GMIP	0.88875
SF3A2	0.5575
FN3KRP	1.07475
SMAD7	1.28825
RHBDD2	-0.57075
OR11H6	0.4845
PPP1R3B	1.8158
C9orf23	0.133
CADPS	-1.2335
GOLGA8A	-4.1065
TMEM57	0.573833333333333
RGL3	0.273
S100A14	3.868
FGFR2	1.50125
XRCC3	-0.7725
RTN4RL2	0.48
MGC3771	2.2945
GH2	-0.430333333333333
BTBD2	0.1145
LMO2	0.007
RDBP	0.75325
ACRBP	-0.804
AMY2A	2.6865
DUOXA1	0.369
PTK7	0.510166666666667
TWF2	-0.220166666666667
FAM80A	-3.2775
TNNI2	-3.48916666666667
GLT25D1	-0.720666666666667
OCC-1	-1.9005
CYC1	-0.676333333333333
RPL22	0.359409090909091
MORN3	0.942833333333333
DISP1	1.034
PRB2	-0.114
CHUK	-0.23875
HR	-0.251625
CCDC134	0.7105
DENND4B	-1.1645
C14orf130	-0.273125
RAB33A	-2.34875
DCST2	0.5585
TNMD	-0.39175
PEX7	0.63475
FAM62A	0.307625
SRD5A2L	-0.139
IL22	0.502666666666667
RPS26	-0.714166666666667
HOXC5	-0.623
SPATA6	0.7965
FLJ38482	0.5955
ZNF234	2.116
C18orf22	1.20825
SPATA22	0.23725
THOC1	-0.596
CYP7B1	1.9675
KCNC3	0.43475
C8orf42	-1.848
ALDH1B1	-0.27
CCDC100	0.7622
ARMC4	-3.24
FAM18B2	-0.2885
SLC44A1	1.333125
FBXO17	-0.547666666666667
C6orf107	0.61525
C19orf29	-0.163
ZC3HAV1L	0.0475
PARP6	-0.5032
SULT2A1	-4.196375
C1orf159	-0.96375
TMC1	0.4565
CHST14	0.49725
GAMT	0.7305
SMCP	-0.172833333333333
TSPAN33	-0.783666666666667
MIDN	0.5585
NOX4	2.12975
RNASEN	-0.0418
TBX1	1.49933333333333
SALL2	0.43325
C10orf35	1.4335
CYP2E1	-0.36525
LRFN2	2.56633333333333
ACO1	-0.590166666666667
IQCG	1.2984
MEGF9	2.1495
TM7SF4	0.63975
PLEKHA1	0.531066666666667
STK33	-3.19133333333333
C1orf210	3.2075
SNUPN	0.1125
KIAA0406	-0.8704
C20orf29	-0.01525
TMEM55B	-0.11825
OSTM1	-1.2301875
CLCN7	-0.044
OTP	0.944
FLJ23049	-0.662
HEATR4	0.184
MAP3K10	0.8615
PCDHGA9	-1.3485
AMDHD2	0.5955
LCTL	-1.31
PDCD2L	-1.1065
CABLES2	-0.9595
SLC5A9	-0.29575
CLCA2	-1.731
MGC16025	-0.7775
STRAP	-1.171
C20orf196	0.096
RRBP1	0.303833333333333
NAT13	-0.049
MAT2B	0.96925
CSNK1D	-0.222666666666667
KIR3DL1	0.46125
PRKAG3	0.341
ZNF599	0.5425
PRM3	0.357
PER2	1.51616666666667
ASPHD1	-1.869
PRMT6	0.21825
KCNE1L	-0.961923076923077
FAM118A	-0.5935
TAF4	-0.19425
NDUFB6	-0.228
TRIM9	-1.19181818181818
PMFBP1	-1.4135
KY	0.501
DKFZp762E1312	-2.70236363636364
CSMD1	-2.05525
TBP	-0.917333333333333
OR1Q1	0.440166666666667
RETNLB	0.2895
HPGD	-0.0487857142857143
DNAJC12	2.44466666666667
FKBP1B	-1.5435
ANKRD24	0.6362
CXXC5	1.8605
IL3	0.114
DRAM	0.8543
PTCH1	-2.138625
TP53BP1	0.1095
SLC17A7	-0.129
COL25A1	-0.758333333333334
AMACR	-0.504833333333333
RHCG	0.0565
VPS13A	0.14025
FAM55D	-0.212
PRPF38B	-0.705916666666667
OSBPL6	0.98725
PFDN5	0.4828
CMTM6	-0.079375
KCNK12	-1.774
RP2	0.26175
C16orf52	-0.78575
PICK1	1.0555
IFNE1	-0.662666666666667
SEMA4B	0.17275
TYRO3	-1.55625
OR12D2	0.466
CSNK1A1	0.1395
FANCF	1.874
LONP2	0.597
TBL1Y	0.77775
LDOC1L	0.548125
CCNC	-0.5875
C3orf60	0.44975
CHKA	-1.059
UBAP1	0.351
MAP3K1	2.068
ANKRD9	-0.50325
FAM92A1	-3.11366666666667
GAB2	0.17725
AZU1	-0.02575
DIS3	-0.90075
C21orf109	-0.36275
IQCB1	-0.3175
SPATS2	-0.4585
EFCAB3	-0.40325
PRB3	0.15575
FUZ	0.508833333333333
ZNF813	0.661125
BMPER	-1.59083333333333
HEG1	-0.38025
ALS2CR11	-1.91
SURF2	-0.52425
PSMC1	-0.314083333333333
OR2D2	0.358
SLC7A8	2.7515
C4orf40	0.5335
SPATA7	0.7835
MAZ	-0.26875
PIN4	0.412
PDE1A	-0.695
TAF6L	0.191666666666667
OR2T34	0.2245
KIAA0284	0.22875
ACADS	0.985
MKRN2	-0.6525
C18orf56	-1.40925
MS4A6E	0.201
GALNT4	1.2809
C22orf31	0.287
FLJ36070	0.2055
PSME4	-0.38525
TFG	0.1267
EPHX2	2.76575
ANXA5	-0.27275
KRTAP1-1	0.0178888888888889
BATF	1.92375
KARS	-1.4975
MSTP9	-0.6315
GPR26	0.165857142857143
CCDC72	-0.442
TEF	1.09333333333333
FOXK1	-1.2115
PRLHR	-0.434
EMX1	0.97475
C11orf30	-0.19325
ICK	0.61175
THSD7B	0.419
C21orf100	-0.4215
DUOX1	0.8035
EFCAB4B	-0.35125
UBE2G2	-0.479666666666667
C3orf54	0.0595
PARP1	-0.9095
FAM60A	-2.5548
C6orf146	0.672
OR9K2	0.5515
DDX55	-0.903166666666667
RPS15	0.127083333333333
ZNF618	-0.7271875
DKFZp686D0972	-0.42875
SSPO	-1.0085
SHFM3P1	1.41633333333333
CPA6	1.755
JAG2	0.93075
DEFA3	0.19075
PPBPL2	0.293166666666667
CD34	4.371625
SLCO4A1	-3.33475
AFG3L1	-2.101
SHD	-1.15375
RP13-122B23.3	-0.486833333333333
PRKCSH	-0.594833333333333
DPH5	0.0705
HLA-F	1.383125
TBC1D4	-2.01
RIG	0.396333333333333
GLUD1	1.10316666666667
HNRPCL1	0.352
HBXIP	-0.493
RNF207	-0.221
APIP	-0.923
PLA2G3	1.97616666666667
CCDC84	-1.402
MYLIP	2.30307692307692
PHIP	-0.27525
AARS2	0.0948333333333333
DHX32	0.80575
SCAPER	0.331666666666667
MEN1	-0.124125
NIP7	-1.373
FLJ25404	1.165
FASTKD3	-0.54625
TMEM158	-2.98283333333333
RARA	1.8995
BDH1	0.7495
ANKRD16	0.329
CARM1	0.2435
SS18	0.666666666666667
IKZF2	-1.5715
MYD88	0.793125
PML	0.33405
TAF1A	-0.45575
CBFB	-1.616625
HIST1H3H	0.2445
C7orf29	-3.48175
COMMD4	-0.248333333333333
DPP3	-0.34475
DAB2	-0.23375
LOC388882	-0.016
YPEL4	-0.7215
AGBL3	0.8045
LRP6	0.5557
SERPINH1	-0.961333333333333
TLE1	-1.81025
CD244	0.1215
ZDHHC15	1.63875
MGLL	0.025
PLDN	-0.028
LOC654346	1.846
FAP	1.846
GPR37	-0.0833333333333333
SCARA5	-0.972166666666667
EBF4	2.67945454545455
LSM6	-0.7435
MLLT1	0.1084375
SLC5A12	0.034
A2BP1	-2.0425
COPS5	-0.197
TPM4	-0.585214285714286
TNFSF4	0.610166666666667
ACADSB	2.21194444444444
HERPUD1	0.235
BCL2L11	-0.160555555555556
CEP78	-1.4055
CDCA3	-1.54075
WBSCR19	-0.2042
MYO1A	-2.4705
PPEF1	3.15533333333333
LOC440348	-0.76175
CPEB2	1.603
BPTF	0.233083333333333
RPL21	-0.1393125
GSX2	-0.1045
ADPRH	0.884
C17orf68	0.215166666666667
KCNS1	-0.831833333333333
MLLT6	0.6818
PIWIL4	-1.4165
RNF26	0.12275
RAP1B	0.510125
ADAMTS1	-2.8891
ZNF571	1.69925
P2RY6	-0.48175
TRIM21	1.6215
CADM3	0.02125
NLRC5	0.00383333333333334
ADRA2B	-0.577833333333333
LOC90835	-0.40025
PCF11	-0.47825
LOC400451	1.71775
GLTSCR1	0.7394
C17orf88	-0.271833333333333
CDH16	-2.12025
FGF7	0.6755
PCSK4	-0.297166666666667
NPC1L1	-1.79766666666667
TAT	0.23575
TBCA	-0.429
MGC33407	-0.0645
GPR115	-0.95875
CYGB	0.295
FNBP4	-1.11166666666667
C12orf43	0.3755
CBL	-0.6818
CLECL1	-0.87025
PPAPDC1A	1.011
WDR25	0.5055
SGCA	0.957
C22orf29	1.3564
YIPF1	2.05075
GALK2	-0.9215
RAB3B	-0.0375
LOC440087	1.68875
UCP1	1.8225
REEP5	2.5565
FADD	0.1685
FOXA1	3.957375
CACNA1A	0.336333333333333
ABI1	0.0631666666666667
GRIN2D	0.80875
SLC1A4	2.00933333333333
LOC401127	-0.57275
HINT2	0.28425
PLD4	0.807333333333333
ZNF286A	-1.17775
ENY2	-0.78825
IL1F6	-0.2505
PXDNL	2.81575
C20orf79	-0.15075
TNFSF13B	2.933
DENND3	0.31975
JARID1D	-2.99025
HIST1H2AK	1.491625
LOC93349	-0.792
SSH1	-1.032
ENSA	0.0595
LOC219854	1.31766666666667
CKAP2	-2.0476
DKFZP564J102	0.973666666666667
MGC87315	-0.522833333333333
HNRPAB	-0.415
AMH	-2.146
ZNF526	1.1795
BRUNOL5	-0.2216
CACNG3	-0.0688333333333333
TRPM1	-1.8605
PPP2R1A	0.431625
COL2A1	0.793
DDN	-0.406166666666667
FLJ25770	1.86291666666667
HK2	-1.12992857142857
ELOVL6	-1.439375
MDK	0.7185
EPHX1	0.601
RASSF2	-0.141125
DKFZP434B0335	-0.71825
DLX3	0.212625
PRTN3	-0.45525
AVPR1A	0.5835
C21orf125	-0.79475
TNFAIP8	-1.38483333333333
GNB2L1	-0.12475
CALCRL	3.0865
SCGB2A2	7.93983333333333
UBXD7	-0.25675
ZNF674	-0.1575
TMEM35	-0.54875
BRSK2	-1.104
HECTD3	0.102166666666667
TMEM188	-0.38675
LGALS9	1.848625
SCARB2	0.324833333333333
USP34	0.141083333333333
C17orf28	1.72116666666667
ZDHHC23	-0.406
AQP12B	0.154
SLC16A3	-3.225
APLP2	2.174875
ITIH2	-5.289
MICAL3	-0.937625
TNNI3K	0.5562
HDAC2	-1.070375
PRR7	-1.0378
THBS2	-0.65025
LOC751071	0.565333333333333
CA2	-0.603833333333333
RANBP17	-0.8095
RLN3	0.2835
CRYZ	-0.237
GBAS	-0.558166666666667
TAS1R1	-0.6005
MPZL3	0.0295
PCDH8	-1.69725
HSP90B1	-0.26025
KCNK15	2.137
TNIP2	0.221333333333333
GPR146	-0.15275
NOL6	-0.184375
SPC25	-3.08244444444444
STEAP2	-0.917642857142857
VAMP3	-0.295
TCIRG1	0.16625
ZP4	-0.311333333333333
PARL	-0.054
TRIM39	1.027
KIAA1305	0.5375
CRNN	0.7958
GRN	1.032
HSH2D	-0.079
SCAMP1	1.73175
KIAA1913	0.265
PTS	0.21675
BANP	-0.116142857142857
PRKACG	0.50625
ADCY6	0.556166666666667
C16orf46	0.267
CYP51A1	0.387375
DDC	-5.57025
ANPEP	2.56883333333333
PROM1	-2.74733333333333
SIGLEC10	1.808
COPG	0.32
FAM26E	1.150875
TRIP4	0.4285
SNX3	-0.212666666666667
C1orf175	0.5055
PPY2	0.17725
C14orf152	0.02975
FTSJ1	-0.908666666666667
DST	0.58535
LOC554235	0.0105
GLRX5	0.25125
C20orf12	1.0436
CAB39	-0.177166666666667
MSH2	-1.46583333333333
PIP4K2C	1.0035
CYLD	0.541
WTAP	-0.470875
MGAT4A	1.24188888888889
TSC22D4	-0.7523
CHRM2	-0.906
PPYR1	-0.0663333333333333
CCNH	-0.318333333333333
RRM1	-0.024
ECAT8	-3.59325
LOC400120	-0.445333333333333
GABRA4	0.05625
C14orf4	0.932333333333333
C1orf59	-3.3725
CTDSPL	0.8575
NHEDC2	0.178
PDE11A	0.0630625
KLHL29	-2.73625
CD5	-1.9217
TSPAN9	1.1089375
WDR67	-2.0525
THUMPD1	0.6221
C18orf17	0.27375
CLYBL	-1.6535
FLJ13231	0.3255
CMBL	1.238125
LECT2	-0.615333333333333
NKAPL	1.072
LOC654780	0.4345
OR4C6	0.402
RAB30	2.253
TSSK4	-0.4215
TMEM163	-0.4135
OSBPL11	0.65875
GNB5	-0.980833333333333
CCL21	0.45025
C1orf121	-0.038
FMO2	1.80383333333333
RPTN	0.391
MSTN	0.057
VCL	-0.270857142857143
FYTTD1	-0.506
C11orf1	0.846
CCDC88C	0.558125
HFE	-0.202777777777778
MOGAT1	-0.9675
FAM125B	0.4985
IRGQ	-0.43
RAVER2	0.67275
AKAP5	-0.93
SSSCA1	0.24775
C11orf63	-0.887714285714286
ACTG2	-0.8678
PORCN	-0.449
DTL	-0.944363636363636
TMEM151	0.29225
FAM122C	-0.51425
RSAD2	3.042
BAT4	0.9
KRTDAP	-0.336833333333333
MYH8	0.157285714285714
CRTC3	0.604
LRRFIP2	0.6448
INTS4	-0.206666666666667
TTN	-0.977333333333333
SLC26A5	0.00750000000000001
PLLP	-0.61725
RGS6	-0.842625
SRGAP3	0.941714285714286
ZNF525	0.759833333333333
NBR2	0.371833333333333
C13orf1	-0.0227
ZNF137	0.77
CEP27	-1.71525
BEST2	0.3865
RNF121	-0.2265
DMRTC2	0.231
C8orf76	-0.64925
BCCIP	-0.547875
MEST	-1.83875
HTRA2	-0.0635
ANGPTL2	-0.339
ILKAP	-0.160166666666667
ERAS	0.5315
HBS1L	-0.5645
CPA5	-0.1145
TMEM30A	0.601666666666667
CD300LF	1.41333333333333
WISP3	0.134
CRK	-0.145714285714286
PDS5A	-0.4314
BRPF3	0.387166666666667
NEDD9	0.62525
SMPDL3B	0.79275
PSG6	0.491
PSMD13	0.1655
ETV5	-2.139375
OR51A4	-0.074
BTBD7	0.676
GSTO1	-0.862375
hCG_16001	0.907
MAD2L1BP	0.443333333333333
COX6A2	1.0605
SCNN1A	3.326
LSM1	-0.175
UGT2B11	-2.93525
IDUA	1.4585
PPP2R3C	-0.7935
COX11	-1.19266666666667
PDZK1	3.537
ZNF443	0.895166666666667
MGC21874	1.116
ZNF323	1.6541
KRTAP10-10	0.071
CXCL6	-0.43925
SLC34A2	0.5808
LOC284402	0.0615
NPTN	0.67575
UPP1	-2.59658333333333
SLC6A9	0.514
OR7G3	0.39
CISD1	-0.636
ZNF545	1.19733333333333
SYT14	-0.7345
NT5C3L	1.212
ZNHIT3	0.345833333333333
SNRPD3	0.3875
KIAA0701	0.46875
UNC93B1	-0.108
GMNN	-1.3215
SPCS2	0.609833333333333
LOC388524	0.2885
NAPRT1	-1.0795
PNLIPRP1	0.031
OR6V1	0.5085
PRKAB1	0.33675
EYA4	-2.60833333333333
KIF20A	-2.1155
ALG10	0.3755
ITPKC	1.248
LMX1B	2.10666666666667
RPUSD4	-0.150333333333333
C7orf34	0.023
DLGAP2	0.0505000000000001
PFN1	-1.1579
MICALL2	-1.51925
ZNF654	0.777
SS18L1	-1.144875
SLC16A8	0.292
MKI67IP	0.155166666666667
ITGB3	1.537375
TCEA3	3.19016666666667
CEP152	-1.985875
CLIP1	1.59725
ZNF75	-0.5239375
ATP5C1	-0.9825
NUDT5	-1.19616666666667
PSCDBP	-1.3955
UBP1	0.40425
RBM27	0.09475
C13orf15	1.951375
ZNF282	-0.433833333333333
ZNF222	1.8812
COL10A1	5.82325
PRDM15	-1.11575
TTTY5	0.288
FAM9C	-0.356777777777778
C20orf67	0.25475
GNG13	-1.147
F12	-1.43025
C1orf41	-0.03325
CPXCR1	0.3105
GSK3A	0.399375
SUPT6H	0.695166666666667
PI16	-0.674666666666667
ELL2	-1.70058333333333
C9orf167	-1.896
PVRL3	-2.0433
FLJ38596	1.12975
ADAM20	0.48875
GPR89A	0.844
GPR87	-0.91
ZNF30	0.507
SMR3B	-0.389
ZNF770	0.203375
TRPC4AP	-0.219
DKFZP686E2158	0.6595
C2orf28	-0.4065
FREM1	-2.4345
LAMA4	0.0423333333333333
ADPRHL2	0.21675
EIF4G2	0.440666666666667
GUCA1A	-0.8795
CTNNA2	-1.543625
NUDT15	-1.33533333333333
CEPT1	-0.839833333333333
ZNFX1	1.3949
CCDC92	1.30825
TDRD1	-0.7865
KCNK5	-2.02433333333333
ETNK1	1.55525
LTA	0.2755
TTPA	-0.434333333333333
B3GALNT2	-0.142875
SC65	0.694
PEX5L	-0.842571428571429
EPS15L1	1.306
MGEA5	0.15225
HIST1H3A	0.864
ING1	-1.042625
BCAT1	-3.819375
ORC6L	-3.88054545454545
KLK11	-5.35683333333333
C19orf28	-1.576375
DNER	-4.368625
MED22	-0.3855
ETV6	1.02958333333333
CHAC2	-2.542
CD300E	-0.3195
CEBPB	-0.111666666666667
ZNF398	-0.21225
LRCH3	-0.311
HMGA1	-1.65883333333333
CAPN7	0.0846666666666667
MGC5566	-3.77525
CCL3	1.893125
NANOS1	-0.622625
ZFYVE19	0.352
APITD1	-0.338833333333333
PARD3	1.474375
IRAK4	-0.0581666666666667
SERPINI2	-0.0385
CEP170L	-1.62725
TTC9	1.898875
MYOM3	-1.5985
MLPH	2.578375
LOC222699	0.00700000000000001
NRG1	-2.04281818181818
TBC1D9	3.96572727272727
TTK	-2.76316666666667
ZNF557	1.2731
DDX41	-0.676833333333333
FANK1	1.187
UBE2D2	0.088375
PSMB10	0.267625
MYH7B	0.786
GABARAPL2	-0.32075
MARVELD2	1.8185
DGCR2	1.48316666666667
UNC45A	0.238833333333333
C6orf72	-0.1745
ZNF683	3.10675
GIT2	-0.029625
CASK	0.403333333333333
C14orf161	-0.167666666666667
LRRC44	0.8615
TIFA	0.072375
UTP11L	-0.71625
C6orf65	-1.405
FDPS	-0.015
DUSP9	-2.0639
SLC17A8	0.8518
OR51G1	0.615333333333333
NANS	-0.0515
OLFML1	1.52675
ATP10B	-1.20475
NPAS3	-0.70275
PRKCA	-2.8489
GGA2	-0.1739375
LCE4A	0.456
SPANXN3	-0.07675
CCDC115	1.380125
SDCCAG3	-0.9675
GLIPR1L1	0.5825
TTC1	0.172
C17orf76	-0.0915
MAD2L2	-1.66325
HIPK1	0.1921
LRRC3B	-0.1798
CLN3	0.211454545454545
C17orf47	0.377
FMN2	-3.431375
TUBB1	-1.414625
WAPAL	0.0886666666666667
C3orf21	-0.60175
SCN5A	-0.689777777777778
SMYD1	0.03175
BEX5	0.6515
ZNF192	-0.319
SEC22A	0.291333333333333
GRIA2	1.60828571428571
KIAA0825	-1.422
NUSAP1	-2.17027272727273
LANCL1	0.197
C15orf40	-0.7411
ZNF645	0.122714285714286
GPR61	-0.1545
NLRP14	-0.314
SNX21	0.3188
C1QTNF8	0.121
C17orf46	-0.071
IFNA8	-0.477
SPRR1B	-1.19066666666667
FLRT1	-0.5245
SNX17	0.167166666666667
ASB2	-1.07866666666667
HBG1	-4.8035
RPRML	-2.7025
JOSD2	0.194666666666667
PLSCR3	-0.63325
SPOCD1	-2.17433333333333
RAB39	-1.567
GHRH	-0.3675
ITIH5L	1.47775
C17orf37	1.0855
SMCR8	0.7475
DPY19L2P3	-0.772
IL11RA	0.684833333333333
GDF3	-3.54083333333333
RPS6KB1	-0.634333333333333
DNAJC19	0.4452
TOP1	-0.641
CRCT1	0.0982499999999999
MPST	0.369875
DPM2	-0.13575
FAM38B	2.0385
SLC18A1	-2.27416666666667
FARP1	-0.00966666666666668
PAX7	0.18525
TUBD1	-0.27
GNL3	-0.574625
BTG2	2.3124
NDUFS6	-0.39675
C1orf79	-1.83525
ERAL1	0.297
ECHS1	0.193
VPS4A	-0.588166666666667
CYP11A1	-1.266625
ABCC6	-1.30435714285714
PBX4	-3.4455
MOSC1	-0.88125
NCF4	-0.257
HYMAI	-0.6225
NAGPA	-0.266375
OTOP2	0.20025
ACOT12	0.04575
MTHFD2L	-0.786
LOC441376	3.42875
C19orf34	-0.0845
RAB1B	0.14325
ALDOAP2	-0.3705
NTRK1	-1.35766666666667
ARTS-1	-0.6517
SLC6A11	-0.9285
NAP1L2	-0.8195
CNGB1	0.240333333333333
EPB41L4B	0.789333333333333
FAM134B	4.481875
HS3ST3A1	-1.59
CPXM2	3.9955
SIRPB2	0.267
CHORDC1	-0.977
TRIB3	-0.1525
SLC2A5	0.18875
C2orf49	-0.899666666666667
DDX5	-0.12375
OR5L1	0.3585
ANAPC4	-0.614666666666667
ZSWIM1	0.308625
LOC93622	0.087
KCNK3	-0.8832
RP11-35N6.1	-2.665375
ZFP161	0.268166666666667
AQP9	0.0985
SLC15A2	-1.71733333333333
MREG	0.468333333333333
OR9I1	0.16
PDLIM2	0.252125
ADAM7	1.085
GSTCD	0.563833333333333
WDR21A	-0.088125
SLC12A8	2.00216666666667
TMEM174	-0.0575
IGSF3	0.594416666666667
LRRN1	-3.6595
LOC402117	-0.10275
SRPK1	-0.527166666666667
LY6K	-2.13775
NFIA	1.363
PTCD3	-0.86375
LEP	2.06183333333333
PCDH21	-1.24816666666667
MAPKAPK2	-0.257214285714286
NMNAT1	-0.964833333333333
LHFPL2	0.82125
C9orf43	1.933
DIP2A	-0.589666666666667
ACTR8	-0.00224999999999999
CCDC34	-0.1
PTPN22	-1.76575
ITGA3	-0.748625
FAM129C	-0.63775
RABGGTA	0.210166666666667
UNC45B	0.7385
KIAA1033	0.13925
ZNF510	0.251
CYP2D6	-0.880333333333333
SLC26A10	-2.358
STX8	0.05225
LUZP1	-0.256875
WDR89	0.18
EIF4G3	-0.5942
C5AR1	0.200857142857143
ZNF623	0.122
A2M	0.07225
TGM7	-0.78
GRPEL1	-0.725166666666667
LMNB2	-1.0835
ROCK2	-0.781166666666667
SNX16	0.647375
CCDC66	0.35225
ANXA3	-2.38325
KIAA1609	-0.802625
EED	-0.7735
RNF32	-1.70616666666667
HES1	1.9355
CLC	-0.1805
ISL1	0.446333333333333
KIAA0528	0.784125
MANEA	0.29275
C1orf61	-3.0965
hCG_2001000	1.37575
RAPGEF6	0.3565
KIAA0020	-0.699
NEIL1	1.352
C16orf45	0.5125
RBM10	-0.0433333333333333
C10orf125	-0.63675
MRS2L	-0.10925
DNAH17	-1.459375
C19orf10	-0.97475
C1orf160	0.68075
SLFN12	1.9095
EXOC3	0.245666666666667
HIST3H3	0.358
NCOR2	1.025
TNFRSF9	-1.0435
MFSD8	0.2865
ALX1	-2.9895
NOL1	-1.04225
PODN	2.8355
TIAL1	-1.0625
HIST1H1E	-0.64175
NPY6R	0.16775
TM4SF4	-0.782
CORO2A	1.4025
ETNK2	1.26666666666667
APOE	-0.3406
ANGPT4	-0.075
HDGF2	-0.24525
G30	-0.107
ST8SIA4	-0.577125
F2RL1	2.293125
FAM19A4	-3.1775
CCAR1	-0.635
B3GNT7	0.001
OPHN1	-0.101
DSCR6	1.9345
C21orf13	1.37633333333333
GAS2L1	0.839916666666667
RFX3	0.139
COPS4	0.1775
BCHE	-5.549
BCL2	3.84625
HBZ	-2.952
ARL13B	0.59675
MAPBPIP	0.736375
MYO15B	0.020625
SPZ1	0.94225
KIAA1324	2.55855555555556
PLCL2	-1.224625
C4orf29	-1.2465
WDFY2	-1.636
ZNF284	-0.547
NAALADL1	-0.5205
DUSP5	2.15183333333333
PXDN	0.625375
SLMO1	-0.32075
TNXB	0.4794
BIRC7	-1.498
A4GALT	0.285666666666667
TIMM22	0.23925
FAM110C	0.86875
TOMM34	-0.49675
ABHD9	0.06
ADAM32	0.657
CRHBP	1.337
AQP2	0.450125
LOC130355	0.609
ZNF187	1.48316666666667
ZNF816A	0.9045
F7	-0.841375
CNOT1	-0.8484
SLC13A4	-1.07025
ZBTB11	0.02775
B3GALT5	0.38025
EXOC2	0.982333333333333
IRS1	0.2575
TMEM1	-0.3815
MRPL34	-0.0905
SAMM50	-0.01975
CDC42EP3	-1.313375
HSF2	-0.9534
MFN2	0.00225
TSPAN7	-1.89133333333333
NUCB1	0.58125
RHOH	-1.5115
ARL16	0.0795
TACR1	0.3825
SFRS5	-0.336666666666667
SNX25	-0.10825
RHBDF1	0.750333333333333
PCDH18	0.9235
HMG1L1	-0.858
MYO5C	1.590625
MAPK10	-0.242
LDHAL6A	0.437
NUDT12	1.96883333333333
NCAM1	-0.0225
GLIS2	0.6625
GGTL4	-1.3295
DAPP1	0.6795
ATF7	0.7515
KIAA0748	-0.765
NFIL3	-0.9975
TM6SF1	0.3813
SEZ6	0.17325
NANOS3	-0.607333333333333
DNAJA3	-0.367166666666667
CLDN6	-2.198
CIITA	1.2747
EPHA4	-1.45758333333333
FANCC	0.24275
CMTM3	-0.00937500000000001
PSG3	-0.535428571428571
MRPL15	-0.8185
C21orf59	-0.431
PLCXD2	-0.105
C2orf34	-0.90025
UBE2L6	1.329625
MED14	-0.173166666666667
HP1BP3	0.0904
C6orf208	0.174
TPBG	1.1675
OSR2	-0.842875
XPC	0.652833333333333
KLHL7	-1.23941666666667
CCR3	-0.1905
AGTPBP1	-1.23066666666667
PCSK6	2.34546666666667
STAT5A	-1.2566
FAM18B	-0.311
LONRF2	0.926
PTPN2	-1.009125
SF3A3	-0.717166666666667
EFCBP2	-0.038
HCFC1	-0.328666666666667
AHNAK	2.0961
ACTR5	0.18925
KIF14	-3.28957142857143
TENC1	0.95375
HEATR5B	0.7725
YIPF2	0.7115
MYEOV2	-0.221
DUSP18	1.5375
KIAA1012	0.62675
AHR	-0.71
C17orf53	-0.5975
PTPRH	-4.0355
ATP6V1C1	0.5491
TAS2R3	0.285
LOC440356	0.1925
COQ10B	0.22325
PSMF1	0.570166666666667
SORBS2	1.85033333333333
NFE2L2	-2.08325
TMCO7	-0.32025
SH3PXD2A	0.4444
SH2D2A	-2.61925
SPINK5	-2.796
MRPS24	-1.462
OPA3	0.31275
TRAF7	-0.644833333333333
C4orf35	-0.264666666666667
MT1G	-0.834125
MGC39545	0.50075
HS1BP3	0.7385
OR2B2	0.606
CHRM4	0.2885
SFRP2	3.09058333333333
RIC3	-1.81925
ART1	0.336
C6orf1	1.213875
DUS4L	-1.13775
C10orf104	0.1405
TNFAIP6	2.52225
RTEL1	-1.37725
CCT4	-0.9412
ZNF709	0.483
CHMP6	0.923833333333333
UPP2	-0.42125
CYP19A1	-2.520375
CD151	0.144666666666667
NDUFA13	0.200166666666667
ARFRP1	-1.0465
FAM26B	1.72675
CRYBA1	-1.049
MRPL41	-0.066
NPFFR2	-1.309
HRH2	0.177
SCAMP3	0.5345
MTMR6	0.2613
MTG1	-1.095
UBTD1	1.00525
CRABP1	-3.2385
FLJ33790	0.0012
KIAA1908	-0.544833333333333
GPR158	-2.5775
PACSIN3	0.9065
OMD	2.85
CATSPER1	-0.9405
HOXB8	-1.024
FBXO46	1.1205
OAS1	1.6905
SVIL	0.1585
PHB2	-0.764
ADCY3	0.2615
NDRG2	-0.371166666666667
ERMAP	-0.0471
APBA2	-2.12616666666667
IGSF9	1.257
WNT6	-0.5715
MYCBPAP	2.272
ATP2B2	-0.3884
CPVL	-1.972
TRAM2	-1.12163636363636
NOP5/NOP58	-0.76125
ZNRF4	0.165
TLK1	-0.44875
MTMR12	0.835714285714286
ZNF384	-0.028
FAM9B	-2.794
RPN1	0.1884
PMVK	1.0985
