Hybridization REF	TCGA-A2-A0SV-01A-11R-A084-07
DDX5	-0.42275
OR5L1	0.534
ANAPC4	-0.662833333333333
ZSWIM1	0.426875
LOC93622	-0.31325
KCNK3	-0.415
RP11-35N6.1	-2.25757142857143
ZFP161	0.0186666666666667
AQP9	5.44275
SLC15A2	-1.09166666666667
MREG	0.273
OR9I1	0.301
PDLIM2	0.369625
ADAM7	0.067
GSTCD	0.0818333333333333
WDR21A	-0.03725
SLC12A8	2.26983333333333
TMEM174	0.54075
IGSF3	0.0103333333333333
LRRN1	-3.637
LOC402117	-0.028
SRPK1	-0.669333333333333
LY6K	1.18
NFIA	2.1745
PTCD3	-0.7695
LEP	0.425166666666667
PCDH21	-0.9105
MAPKAPK2	0.798642857142857
NMNAT1	-0.543833333333333
LHFPL2	1.534
C9orf43	1.339
DIP2A	0.0378333333333333
ACTR8	0.1715
CCDC34	-0.341
PTPN22	0.037625
ITGA3	-1.471875
FAM129C	0.0115
RABGGTA	0.0778333333333333
UNC45B	0.45425
KIAA1033	-0.00625
ZNF510	-0.411666666666667
CYP2D6	-0.6185
SLC26A10	-1.6975
STX8	-0.0845
LUZP1	0.092125
WDR89	-0.408166666666667
EIF4G3	-0.1809
C5AR1	2.23025
ZNF623	0.901
A2M	0.85975
TGM7	0.3555
GRPEL1	0.207333333333333
LMNB2	-0.9614
ROCK2	-0.377
SNX16	0.61175
CCDC66	-0.133
ANXA3	-2.27075
KIAA1609	0.784875
EED	-0.69175
RNF32	1.02316666666667
HES1	1.6205
CLC	1.26116666666667
ISL1	-0.5345
KIAA0528	-0.4725
MANEA	0.219375
C1orf61	-2.3675
hCG_2001000	0.393
RAPGEF6	0.0369
KIAA0020	-0.588833333333333
NEIL1	1.3485
C16orf45	-1.24225
RBM10	-0.348333333333333
C10orf125	-1.149375
MRS2L	-0.625
DNAH17	0.1445
C19orf10	-0.145
C1orf160	-0.07875
SLFN12	1.8805
EXOC3	-0.215833333333333
HIST3H3	0.57475
NCOR2	-0.335333333333333
TNFRSF9	2.2025
MFSD8	0.3595
ALX1	-3.54383333333333
NOL1	-0.4165
PODN	2.99825
TIAL1	-1.08125
HIST1H1E	-0.20075
NPY6R	0.347
TM4SF4	-0.62775
CORO2A	0.34125
ETNK2	0.426666666666667
APOE	1.5131
ANGPT4	-0.3795
HDGF2	0.07575
G30	0.8195
ST8SIA4	0.548875
F2RL1	1.8155
FAM19A4	-3.18425
CCAR1	-0.79025
B3GNT7	0.18475
OPHN1	-0.426
DSCR6	1.316
C21orf13	2.0665
GAS2L1	0.977916666666667
RFX3	-0.137
COPS4	-0.000750000000000006
BCHE	-4.91166666666667
BCL2	0.1055
HBZ	-3.20166666666667
ARL13B	-0.31425
MAPBPIP	1.232125
MYO15B	-0.420625
SPZ1	-0.1
KIAA1324	1.68544444444444
PLCL2	-0.13575
C4orf29	-0.66425
WDFY2	-0.682375
ZNF284	-0.887
NAALADL1	0.198
DUSP5	1.36716666666667
PXDN	0.458
SLMO1	0.4555
TNXB	0.1555
BIRC7	-0.44325
A4GALT	0.799333333333333
TIMM22	-0.176
FAM110C	0.178
TOMM34	-0.121875
ABHD9	0.163
ADAM32	3.4625
CRHBP	0.13
AQP2	0.52925
LOC130355	0.81275
ZNF187	-0.173
ZNF816A	0.334
F7	0.76625
CNOT1	0.0536
SLC13A4	-0.02875
ZBTB11	-0.29275
B3GALT5	0.0525
EXOC2	0.528333333333333
IRS1	0.0851
TMEM1	0.484666666666667
MRPL34	-0.133833333333333
SAMM50	-0.0315
CDC42EP3	-0.120875
HSF2	-1.0671
MFN2	0.0815
TSPAN7	-2.729
NUCB1	0.389166666666667
RHOH	-1.62625
ARL16	-0.494
TACR1	0.40325
SFRS5	-1.16816666666667
SNX25	-0.128375
RHBDF1	0.519
PCDH18	1.45916666666667
HMG1L1	-0.982
MYO5C	1.12475
MAPK10	1.97
LDHAL6A	-0.0661666666666667
NUDT12	0.701333333333333
NCAM1	-0.268875
GLIS2	0.0885
GGTL4	0.56675
DAPP1	1.339
ATF7	0.64425
KIAA0748	-1.27575
NFIL3	0.511
TM6SF1	-0.1273
SEZ6	0.239625
NANOS3	0.0688333333333333
DNAJA3	-0.012
CLDN6	-2.597
CIITA	3.0126
EPHA4	-0.996
FANCC	0.15725
CMTM3	0.699
PSG3	-0.347125
MRPL15	1.488
C21orf59	1.35575
PLCXD2	-0.053
C2orf34	0.37875
UBE2L6	2.410875
MED14	-0.293166666666667
HP1BP3	-0.6259
C6orf208	-0.4455
TPBG	-0.26775
OSR2	0.167125
XPC	-0.0675
KLHL7	-0.451583333333333
CCR3	-0.398833333333333
AGTPBP1	-0.393
PCSK6	0.00973333333333332
STAT5A	-0.6261
FAM18B	0.164
LONRF2	-0.374166666666667
PTPN2	-0.072125
SF3A3	-0.676833333333333
EFCBP2	0.07625
HCFC1	-0.546
AHNAK	0.11715
ACTR5	-0.15425
KIF14	-1.25771428571429
TENC1	0.453
HEATR5B	0.548
YIPF2	0.682833333333333
MYEOV2	0.7015
DUSP18	0.90575
KIAA1012	-0.19025
AHR	-0.201166666666667
C17orf53	-0.603166666666667
PTPRH	-3.27275
ATP6V1C1	1.4359
TAS2R3	-0.284
LOC440356	0.9385
COQ10B	0.6925
PSMF1	0.956333333333333
SORBS2	-0.0545833333333333
NFE2L2	0.0545
TMCO7	0.12325
SH3PXD2A	-0.1618
SH2D2A	-0.64425
SPINK5	-3.2715
MRPS24	-0.46925
OPA3	0.063625
TRAF7	-0.0265
C4orf35	0.602333333333333
MT1G	0.511
MGC39545	-0.19275
HS1BP3	0.4263
OR2B2	0.45
CHRM4	0.1185
SFRP2	3.34658333333333
RIC3	-1.42125
ART1	0.0815
C6orf1	0.713875
DUS4L	-0.1935
C10orf104	-0.095
TNFAIP6	2.9385
RTEL1	-1.06425
CCT4	-0.5692
ZNF709	-0.016
CHMP6	-0.148833333333333
UPP2	0.27075
CYP19A1	-2.278125
CD151	-0.188666666666667
NDUFA13	0.184833333333333
ARFRP1	-0.524
FAM26B	1.83
CRYBA1	-2.2985
MRPL41	0.576666666666667
NPFFR2	-1.2645
HRH2	0.456
SCAMP3	0.6995
MTMR6	0.2225
MTG1	-1.155
UBTD1	1.06025
CRABP1	-3.016
FLJ33790	-0.1465
KIAA1908	-0.0936666666666667
GPR158	-2.314
PACSIN3	0.5085
OMD	3.22883333333333
CATSPER1	0.259833333333333
HOXB8	-1.367375
FBXO46	0.5005
OAS1	2.8485
SVIL	-0.41125
PHB2	-0.64775
ADCY3	-0.054
NDRG2	-0.0256666666666667
ERMAP	0.471
APBA2	-0.829666666666667
IGSF9	0.86475
WNT6	-0.927571428571429
MYCBPAP	2.07425
ATP2B2	-0.2476
CPVL	-0.2693
TRAM2	-1.04341666666667
NOP5/NOP58	-0.47275
ZNRF4	-0.0775
TLK1	-0.414375
MTMR12	-0.416071428571429
ZNF384	-0.331
FAM9B	-2.72575
RPN1	0.7111
PMVK	1.39275
EIF3D	-0.3391
SIX2	0.73475
HPS1	0.338285714285714
RNF7	0.46125
PSKH2	0.4725
KCTD13	-0.026
CSMD3	-0.7644
FBF1	0.0835
IL8	-3.27925
SERPINB13	0.438083333333333
FBXL20	0.012
BLR1	0.3445
SH2B1	0.0135
RFNG	-0.08775
RAB20	1.0615
RBM7	0.085
POLR1A	-0.407
TMPRSS4	-2.88175
TAF9	-0.40925
TERF2	0.790333333333333
TNFRSF1A	0.544666666666667
ACADVL	-0.537
GTF2H5	-0.29325
EDG8	-0.806166666666667
C9orf140	-0.584
UST6	-0.03425
ZBTB8OS	-0.081
ZNF710	0.7565
GPR174	-1.423
ATP6V0A2	-0.82875
KIAA0319L	-0.462166666666667
XKRX	-0.21
DOPEY2	2.6534
SDHD	0.00625000000000001
SUMF1	1.68875
OSM	3.9755
OPN3	-0.8075
DAGLB	-0.4295
PPFIBP1	0.2958
TRIM63	-1.19675
C10orf53	0.1385
LYPD3	-0.7095
BCL7A	-0.465625
AGER	-1.1695
TCF19	-0.312125
SAT2	-0.15075
PFTK1	-0.129666666666667
GABRE	-3.342
C15orf38	1.3609
FIS1	0.028
KCNV2	0.13625
CLPS	0.5175
PPCDC	-0.015875
FOXN2	0.0753333333333333
NT5E	-1.5109
CD83	1.1195
IL18	1.250375
VPS16	0.88975
IGFBP2	1.70433333333333
NOTCH2	0.40925
SIGLEC1	3.517875
CD93	4.734
SULF2	-0.06525
CEP164	0.075375
P53AIP1	0.589
TOR2A	-0.0248333333333333
ZNF136	0.3135
MGP	2.4068
CCDC144A	0.895333333333333
TRPC1	-0.856166666666667
SMS	0.2725
MAPK7	-0.395666666666667
RRAGC	1.09675
PARD6A	1.5845
NUB1	0.655833333333333
SYNGR4	0.492
OR11H12	-0.256
WIF1	0.58325
GCH1	0.69
OR11H4	-0.0165
SLC44A5	-0.59
GPRIN2	-0.330166666666667
LOC401431	0.97175
CPA4	-2.2762
MELK	-1.30444444444444
IL15RA	1.32
CUL3	0.229875
HMBOX1	-0.1235
PODXL	-2.463
CCT6B	1.73833333333333
COMTD1	-0.07625
MUC20	1.75516666666667
GPX2	-3.917875
ITK	-0.52525
FBXL5	1.3175
C13orf27	-1.46975
DEFA5	0.7995
TRHDE	-0.2745
MTP18	-0.918833333333333
UQCRQ	0.5683
ITGB2	2.63641666666667
CSRP2BP	0.72675
TAS2R44	0.295
PHPT1	0.28525
FAM44C	0.437
ERH	-0.872
MPHOSPH1	-1.39983333333333
MORC1	-0.724
PARVB	0.323
LAMA1	-1.39308333333333
PGBD3	-0.49575
GIMAP6	3.513
AREG	-2.4745
LIPT1	-0.222
MGC99813	-0.15875
C1orf201	0.7025
GRIN2A	-1.1126
MAN2C1	-1.334375
NSUN5	0.04425
SF3B5	-0.08925
MYC	-0.0121875
NRXN1	-0.606416666666667
ZNF18	-0.02175
SPDYA	-0.82975
SLC37A1	1.692
DECR2	0.02475
ANKRD38	-0.0655
SPTLC3	-0.83725
SUPT16H	-1.063375
DTWD2	0.27775
ULBP1	-0.473
ZADH1	-0.0978333333333333
OIP5	-1.21275
IL10RB	0.883666666666667
OTUB2	0.053
VWA3A	0.737
SPIC	0.541166666666667
OR6C4	0.202
PSCD4	1.45833333333333
DPY19L2P2	-0.202
TRAPPC6A	1.39933333333333
C21orf2	-0.153333333333333
CEMP1	1.10675
LIN7B	0.524
E2F7	-0.585833333333333
VCP	-0.196375
LAMA3	-0.255583333333333
BGN	1.82725
GPR160	0.164166666666667
COCH	-3.849
GPR81	1.2715
APOBEC3F	-1.399
tcag7.1017	-0.56425
C1orf32	0.328
SCGB1D2	5.73125
FLJ43987	0.5675
C6orf170	-0.36525
KLK9	0.1305
GPD1L	0.955
VPS37B	-0.5305
ATG3	0.130166666666667
ADAMTS17	-0.265
KLHDC2	-0.481666666666667
NDUFV2	0.5995
BLK	-3.099
MATN4	-1.626
GPM6A	-0.53975
GBP4	3.79566666666667
TMEM162	-0.077
PKP2	-0.6735
HRASLS	1.01877777777778
MMP1	0.31825
SFXN3	0.039
FSD1	-1.80733333333333
ST6GALNAC3	-2.27266666666667
CA12	3.2911
NCOA6	-0.085
C19orf58	0.0138
PPP4R1	0.509
MAN1A2	0.356
IKBKAP	-0.913
UPF1	0.1765
KIAA1219	-0.138
WNT16	0.429
SNW1	-0.38525
IL18RAP	2.4745
RPP30	-0.398125
CDC40	-0.529642857142857
SETD3	0.00766666666666667
SLAMF6	0.11375
ELK4	-0.286
TRIM47	0.676833333333333
ACOX3	1.168375
TRIM6	-0.134875
KIAA0372	0.569
TP53AP1	0.5085
SMURF2	-0.38725
ADAD1	0.27575
EBP	-0.0102
KRTAP13-2	0.2205
FLJ36874	-0.0986666666666667
TOR1A	-0.0388333333333333
P2RY4	0.2895
GPBP1	0.18475
TRPV1	-0.255375
ADAMTS12	1.04166666666667
PES1	-0.4513
ATG4A	0.776666666666667
MAGEA10	-4.5315
WFS1	1.5225
CC2D1B	-0.294666666666667
PABPN1	-0.733625
SLC25A30	0.26375
SLCO1C1	-0.334833333333333
SLC22A5	0.7395
KIF23	-1.147
SYN2	-0.732666666666667
ASPN	8.42433333333333
CENTG2	0.22725
QSOX2	-1.4359
FLJ10815	0.578666666666667
STK24	-0.1936875
SPEG	-0.2074
STK10	0.8925
DACT2	-2.5785
AAAS	-0.65
SSX3	-1.42475
ABCD3	0.7473
C4orf12	-0.345125
PARVG	1.32566666666667
FIG4	0.169
C9orf46	0.89825
TMCO6	-0.1885
IGHMBP2	-0.3195
DUS2L	0.241833333333333
FAM3C	0.1168125
TMEM16D	-1.843875
DCTN4	0.30575
KCNH3	0.276
EIF2AK2	1.3575
AP1S3	0.26375
CST4	2.9385
PAM	0.544375
NUTF2	0.0965
CITED2	-0.321
SLC39A4	1.03025
C2orf52	-0.0355
GRM3	-0.195
C12orf49	0.944125
CCDC49	0.1137
GRAMD1B	-0.8775
FNDC4	0.3225
SIAH2	0.04025
GDPD4	0.0105
C21orf87	0.902125
ATP5A1	-0.536
C16orf63	-0.712375
LOC388135	0.0193333333333333
ATP5J2	-0.0285
MMP3	-0.55025
EMID2	-0.1545
CRHR1	0.49525
WDR70	-0.108
C13orf31	1.8935
ZFAND1	0.57225
CCL18	3.77516666666667
C3orf49	-0.7155
RINT1	-0.235
KIAA0408	-1.7075
F13A1	5.0427
SLC10A1	-0.129666666666667
OGN	-0.743
GIPC2	-1.72
XPO6	-0.4695
LCE1A	0.8035
FMR1	0.2752
LOC374920	-0.256
DUSP3	0.64275
ANKMY1	0.82925
C7orf50	-0.31675
BBS9	0.2658
UNC119B	-0.966
C9orf72	0.370125
MGC35440	0.785
ENTPD6	0.277375
PPP1R2P9	0.93925
ERCC4	0.312
FAHD2B	-0.1295
HMHA1	0.7035
HACL1	-0.6545
RAD23A	-0.0663333333333333
FAM83B	-1.713
PPP5C	-0.710166666666667
RNASEH2C	0.785625
C9orf153	-0.07825
SCAMP4	0.66325
GHITM	0.098
NDUFB7	0.480625
ADCYAP1	1.41933333333333
SP110	2.7425
MAP3K7IP2	0.103
DHH	-0.1125
AGRN	0.329214285714286
WDR33	-0.477833333333333
CEP290	-0.279833333333333
PRPS1L1	-0.09
KLRA1	0.519
GPR97	0.224
CHD7	0.500333333333333
TLR10	0.509
SLC30A8	-0.6125
HIC1	1.5165
IAPP	0.1555
RXFP4	0.19675
GP1BB	-0.15
SHQ1	0.826
NKX2-3	0.298
API5	0.1385
FTHP1	1.006
MOV10L1	-0.186333333333333
TRIM6-TRIM34	2.21483333333333
ADHFE1	-0.55125
FAM117A	-0.18375
DDI1	0.437833333333333
CDON	0.0285
TRIM73	-0.8245
IGKC	1.2655
MMP14	0.978583333333333
DYNC1LI1	0.23225
C11orf66	1.35925
TRBV3-1	-1.36575
FASTKD5	0.566
BIVM	-1.7395
LHX4	-0.3895
CXCL2	-1.1555
RAB2B	-0.536833333333333
IZUMO1	-0.251
MAP3K15	-2.139875
FAM19A2	0.846833333333333
ZC3H8	0.333166666666667
ZMAT1	0.751125
SPINK5L3	-2.94975
SLC10A6	0.1735
APPL2	-0.324125
CARD10	-0.392833333333333
LOC402176	-1.296875
EEF1D	1.5018
RAB6A	0.6883
C12orf5	-0.12975
PAPOLG	-0.12475
MSRB2	1.38875
BCR	0.248777777777778
PUS3	-0.2295
TIAM2	0.68375
ZNF317	0.140166666666667
CHD2	-0.0503571428571429
FZD5	-2.09613636363636
NUDT8	-1.54075
ZNF763	-0.063
PRC1	-0.586555555555555
ABCB9	0.609166666666667
SPATA3	0.0705
TRAK2	-0.087375
STAB1	2.932875
LRRTM2	0.137
psiTPTE22	0.1725
DBI	1.2145
SERPINA11	-0.3095
NAT5	1.394
C20orf58	-1.68925
RPS6KA4	0.635666666666667
FLJ90650	-0.7585
TGFBRAP1	0.16125
CHRDL2	0.38825
FAHD2A	-0.400833333333333
CNTN1	-0.3135
BBS4	-0.2999
TMEM181	-0.859
MINPP1	-0.75975
MPHOSPH6	0.6005
HOXC10	1.9342
ITPKB	0.46425
CLPTM1L	0.336875
MEOX2	0.776833333333333
ATP6V0C	0.684
PRPF8	-0.885
TMC5	2.76075
FKBP3	-0.94925
PLEKHB2	0.088875
OR4D6	-0.273
ZNF544	-0.7065
D2HGDH	0.1945
RPL18A	-0.317
HEL308	-0.505125
MPP6	-2.05425
TCERG1	-1.01775
KRT16	-2.27416666666667
KLF17	-0.67925
KLF5	-2.284625
CDR1	1.901625
VCX3A	-5.6875
FBLN2	2.258125
C14orf104	-1.015
HBE1	-4.9811
OR4S2	-0.7765
C1orf108	-0.790166666666667
ROBO4	3.03233333333333
CPEB4	1.94225
C11orf80	0.209333333333333
BCKDHA	0.771666666666667
MYOC	0.12925
GIF	0.1625
CKMT1A	1.829
RPL3	-0.3419
THBS1	2.821625
APOO	-0.36325
ARMCX1	0.08075
HSZFP36	0.66
SNAPC5	0.16275
EIF4ENIF1	0.2715
ZNF433	0.1145
TNFRSF21	0.5805
TMPRSS7	0.06
SPATA18	1.7748
HPDL	-3.046
MKL2	0.9516
TBX3	-0.924
C21orf93	0.1835
DAXX	-0.173
ELMO1	1.16075
RGS13	2.02616666666667
TAF11	-0.2165
UNC13A	-1.9385
LOC653314	-0.2138
ORC3L	-0.84875
IMAA	-2.4025
TARBP2	-0.4765
CABIN1	-0.5664
TRIOBP	-0.0370625
HIST1H2AC	0.51725
RGS22	-0.041
NCOA1	0.436
IL25	1.241
SNCG	1.2275
GPR6	0.527
AMDHD1	-2.02116666666667
CHEK2	-0.82325
C6orf142	-0.48625
DRD4	0.34975
C14orf68	-0.76875
GDF11	-2.304
SEMG2	0.3075
CD247	-0.68075
CDAN1	-0.73475
RBMX2	0.121
TGS1	0.57125
OIT3	0.16525
SYF2	0.10925
MCM4	-0.305625
PKHD1L1	0.325625
CEP192	-0.807166666666667
IFT88	0.31725
RPL9	-0.519
RAB32	0.610625
DDX43	-1.71225
P2RX2	0.255
OR5D18	0.1235
UBE1	-0.07825
SLC24A1	0.222
ARHGAP5	-0.28075
CETP	-0.7635
KIAA1731	-0.361666666666667
SLC9A4	0.482
PTPN6	1.067
BAHD1	0.00475
GRIK3	0.8155
CACNB2	-0.7856
PDE10A	0.02975
DGCR14	-0.59975
PCDHB9	-0.0666666666666667
RHOQ	0.163333333333333
MAP3K4	-0.47675
KTI12	-0.415166666666667
RPL23AP13	-2.552
GNG11	-1.53525
CLCN3	0.435166666666667
GPAM	-1.22575
VSTM2A	-0.356
SLAMF7	1.91916666666667
INTS2	-0.5855
PPP2CA	0.5511
LRP12	0.494333333333333
SEC14L2	-0.213333333333333
DKFZP586H2123	1.635
MC3R	0.3235
CIRH1A	-0.800166666666667
HIST1H2AB	0.298333333333333
POLH	-0.62725
MGC16703	-1.81766666666667
SNAPC2	0.4415
FILIP1L	2.181
RASGRP4	0.7545
LRRC1	1.25775
GAS1	2.9335
PRAC	-0.89575
DGKA	-1.03366666666667
NT5C3	-0.365
PEG3	-4.13475
NADK	-0.161
PRR17	-0.17625
LOC374569	-0.287
SGSH	0.305333333333333
NLRP8	0.0765
GALT	-0.2746
MCF2	-1.457
ZNF263	0.724
TACSTD1	1.11516666666667
TYR	-6.4297
ATP6AP2	0.28025
RNUXA	-0.09075
ABHD10	0.3
GDPD2	1.40125
SLC35C1	0.92725
UBE2A	0.617375
HERC5	0.793
FAM112B	-4.14133333333333
FBXL16	1.379
DKFZP434A0131	-0.837
ELA3A	-2.395
RBM41	-0.845
HAO2	0.077
RNH1	0.7825
SHANK2	0.855333333333333
OSBP2	-1.340125
DAK	0.0565
C3orf58	-0.328
TCL1B	-1.161
KBTBD2	-0.23575
SUGT1L1	-0.4785
UBE2E2	1.3625
MYL9	2.766125
CDC23	-0.164333333333333
PBXIP1	0.5384
CXorf40B	0.7565
NBL1	1.35825
RTBDN	0.156
RAB11FIP5	0.1755
TTTY13	-0.2645
SCOTIN	1.03441666666667
SOHLH1	-0.385333333333333
CDKN1A	0.3565
NCK1	0.22475
ZNF550	-0.40775
SAPS3	0.156333333333333
SPIN3	0.625
MAGEE2	-0.12325
MIS12	-1.06466666666667
OR8H2	0.1165
KIAA0774	-2.154
UNC5D	-1.8885
CUL7	-0.9295
LIPC	-2.35033333333333
DIO1	4.468
C20orf11	-0.1001
CTRL	-0.629
HS3ST2	5.111
PAK4	0.352333333333333
CCRL1	5.1815
RNF10	-0.2405
ZNF567	-0.23975
ZNF660	-1.0735
TCEAL3	1.7395
MAGOH	-0.221
CENPB	0.154333333333333
C19orf7	0.25175
LOC388965	0.50725
ZCCHC13	-0.112
JMJD1A	-1.1654
HIST1H4H	0.04
TBRG1	-0.3329
GPC3	-3.38625
TAF1C	-0.30025
EBNA1BP2	-0.27
CIAPIN1	0.112
PDGFRA	-0.0174444444444444
CSTB	0.887125
CENPI	-0.477666666666667
GTF2E2	-0.513333333333333
RPP21	-0.18875
CCNF	-0.844333333333333
KCNQ3	0.981
FAM79A	1.482
SLC22A12	0.532
NOVA1	-0.9775
FZD3	0.0512
AKAP8	0.014
SOCS5	0.041125
CFDP1	0.28625
DLG5	-0.4005
PGM5	0.207
C1orf144	0.328
HDAC10	-0.5655
RND2	-1.2375
C20orf199	-0.98825
RNMT	-0.50225
SLURP1	0.42675
ASTN1	-0.417875
SH3BGR	2.26875
MYCL1	0.024125
ZHX1	0.286666666666667
CENPK	-1.53475
FOSB	2.5018
LOC643406	0.318375
C2orf59	0.143125
TMEM135	0.28125
SLC27A2	-2.795
KRT33A	1.9705
OVOL1	0.659
PAMCI	-3.33016666666667
S100A7	3.7195
ZNF789	-1.0155
HARS2	0.3235
RPL23A	-0.868
TCF23	0.14
UPF3B	-1.140375
C17orf78	0.2835
HLA-DOB	0.4345
C14orf142	0.135
TEKT5	0.762666666666667
DMWD	0.1235
POLD1	-1.35933333333333
GSCL	-0.0125
CALD1	1.0601
SCRT1	-0.0385
AIG1	0.487
UNC84B	-0.2275
ZNF404	-0.34875
TMED6	-3.36525
KIAA1462	1.017
LRRC27	0.632333333333333
PYGO1	0.0045
PIGU	-0.0226666666666667
ALAS2	-3.85866666666667
WRNIP1	0.108375
CNNM3	-0.552
ZNF2	-0.07575
ST3GAL5	-0.39125
MRPL23	0.26525
TSSK6	-0.1695
PSMA6	-0.30375
C16orf70	0.682
KIAA1602	0.499
ALMS1	0.0616666666666667
DCN	3.32
TMEM132D	-0.7885
SUCLG2	1.6165
ABHD14A	0.322
DEXI	0.0366666666666667
AMPD2	-0.711166666666667
IFNAR2	0.549833333333333
CYB5A	2.7343
TLOC1	0.3475
NXF5	-0.346833333333333
NRBF2	-0.129
KCTD3	1.22925
ITGAE	-0.972
SLC30A3	-2.19983333333333
ZRF1	-1.3465
IFRD2	0.15825
XAB1	-0.19675
PYCR2	0.258333333333333
SERPINB3	-4.2435
TMLHE	-0.4109
GEFT	-1.424
ABCA5	-1.042
EMR4	0.0391666666666667
TSFM	-0.061
HIST3H2BB	-0.602
ARHGEF19	0.84425
TSPAN17	1.31433333333333
ABCC8	2.49725
MAP1S	0.2925
C22orf36	0.03275
BNC2	0.462
HIST1H4A	-0.492
NDUFS3	0.348833333333333
WDR3	-0.852166666666667
XKR4	-0.11725
TTC33	-0.241142857142857
STMN2	1.83375
CPN2	-0.991
HSPC105	1.68175
PCOLCE2	-3.73325
C3orf55	1.7515
KLHDC9	3.028
TBC1D23	0.165125
ATXN2L	-0.966083333333333
MAP2K3	0.15975
SCAP	0.08775
ZNF486	-0.504166666666667
C20orf96	0.563
NARS	-0.6945
ADAMTSL1	-0.231
PRCC	0.6125
CCDC126	1.08283333333333
ZNF675	-0.95625
CALCOCO1	0.45275
ANKRD43	-0.073
CWF19L2	0.283833333333333
ZBTB32	2.125
BRAF	-0.34275
ODF4	0.14025
MGC14376	1.27516666666667
HORMAD1	-1.90066666666667
AAK1	-0.0289166666666667
PEBP1	0.520666666666667
TNFSF5IP1	0.167333333333333
DKFZp564N2472	0.611
RMND1	-0.0025
IGKV1-5	1.3495
COL1A2	3.41591666666667
SERPINA5	-4.098625
AANAT	0.445
C19orf21	1.447
GEMIN5	-0.3595
UBR4	-0.252333333333333
LTBP3	0.717166666666667
AMHR2	-2.51933333333333
PROCR	-0.7815
MYBBP1A	-0.73925
C20orf39	1.1325
ZNF697	-1.023
PASK	-0.1496
ZNF776	0.178666666666667
RFXDC2	-0.54725
KIAA0467	-0.24
C10orf96	-1.02825
ZNF503	-0.693
GULP1	-1.0375
KCNE4	0.462833333333333
DKFZp434K191	-0.931375
LOC196913	-0.653
BHLHB4	-0.1695
CH25H	0.98875
LOC81691	-0.612
ALPL	0.894357142857143
COL12A1	3.776625
FOLR3	-1.14516666666667
GPR123	-0.048125
TRIM62	0.292928571428571
ABLIM1	0.0533333333333333
MAST3	-0.01575
RHBDD1	1.22283333333333
LOC338809	0.763
RYBP	0.501
TTC26	0.685875
ZNF22	-1.04233333333333
ISCA2	-0.6095
RDM1	0.2355
PIGM	0.776
GNB3	-0.8135
ACTR2	0.2928
HMGB1	-0.56145
EDG1	2.1925
SOAT2	-2.5365
OR10AD1	0.677
RAP1GDS1	0.264083333333333
LCE1F	0.004
ESM1	-0.852875
RCN3	2.27825
CREBL1	-0.6575
DBNL	-0.0541666666666667
PTGER3	1.28775
USP30	0.444833333333333
BCL2L12	-0.361833333333333
KIF26B	2.43375
ZNF416	-0.41625
ZNF225	-0.307
C17orf70	-0.06025
ZNF554	0.06825
RAE1	-0.903
TNIK	0.231666666666667
ACTN3	0.5535
MGC45922	0.1185
CCNA1	-0.202833333333333
RYK	0.383
IL26	-0.8555
LRP3	0.279
QARS	0.0025
SOX7	0.353857142857143
BID	-0.05925
OR2S2	0.1905
CXCL14	2.999
C11orf47	-0.321
MGC29891	0.426166666666667
HSPB8	2.5288
PRDM14	-1.814
NUFIP2	0.0705
MNAT1	-0.598625
ZDHHC2	-1.11425
MBNL2	-0.487375
ADD3	-1.337625
CSNK2A1P	0.0245
KLK6	-2.795
TMEM111	0.6395
KIAA1279	0.4875
NUBP2	0.0818333333333333
RAB42	-0.3075
ID3	0.2913
TM9SF1	-0.31925
MDP-1	-0.75725
POU4F2	0.64725
IQCK	0.99325
C16orf14	0.12
CAPN3	-1.44125
FAM43B	-0.094875
RECQL	-0.124
AP1G1	0.402357142857143
CTNNBL1	0.438166666666667
ECHDC1	-1.07866666666667
SMARCC1	0.0809
FOXQ1	-0.9195
GNAI3	-0.045
POLG2	-1.5125
CD4	1.123875
ITLN1	0.983
EBI2	5.454
IRF1	1.21875
PTPRE	1.2761
PTK2B	-0.196
NXNL2	-0.877
SOX4	0.0209444444444444
TSPAN3	0.514666666666667
SH2D1A	-2.94633333333333
C8orf58	-0.732333333333333
USP20	-0.77375
DUSP22	-0.490916666666667
CALB1	-2.3355
L3MBTL2	1.40516666666667
MCRS1	-0.32975
TMEM118	-0.748333333333333
C18orf8	0.3005
FLJ10241	0.051375
GJA12	0.325
PKD1	-0.566666666666667
ZFP3	0.1125
JAM3	-0.827
LAPTM4A	0.9637
DIRC2	0.5555
KIAA2022	-0.047
MYOM1	-0.205666666666667
TRPM8	-0.151166666666667
MOP-1	0.43525
PHKG2	-0.07275
ZNF650	0.343875
KIAA1522	1.51325
PSG8	-0.638333333333333
DDX19B	-0.0635
MOBKL1B	0.48575
DIAPH2	0.0325833333333333
PTPN12	0.1575
CLN8	-0.9677
CRYZL1	0.750666666666667
CRY2	0.528166666666667
FCGR2B	4.109
PNPLA4	1.770875
ZNF454	-0.3915
DKFZp434B1231	-0.0755
CLDN11	0.1394
RFWD2	0.632
CIB2	-1.52933333333333
MXRA8	3.633625
HRK	0.0145
MAML2	0.4065
C4orf31	-0.0055
C6orf192	-0.50475
COG6	-0.113
FAM5B	-0.51525
NFATC1	0.259
SEPT10	-1.04275
SCYL1	0.0795
RPP40	-0.61925
