Hybridization REF	TCGA-A2-A0CS-01A-11R-A115-07
EDG8	-1.11633333333333
C9orf140	-2.273875
UST6	0.41
ZBTB8OS	-0.376
ZNF710	0.252
GPR174	-1.923
ATP6V0A2	-0.0675
KIAA0319L	-0.38225
XKRX	-0.5605
DOPEY2	2.1826
SDHD	-0.182583333333333
SUMF1	2.092
OSM	2.6575
OPN3	-0.4295
DAGLB	-0.599166666666667
PPFIBP1	0.6703
TRIM63	-4.0115
C10orf53	0.2905
LYPD3	2.41016666666667
BCL7A	0.646125
AGER	-1.72683333333333
TCF19	-1.556625
SAT2	0.22475
PFTK1	1.0955
GABRE	-3.738
C15orf38	1.0047
FIS1	0.421
KCNV2	-0.36575
CLPS	-0.2155
PPCDC	-0.760875
FOXN2	0.719833333333333
NT5E	-2.5113
CD83	0.62475
IL18	1.129375
VPS16	0.352
IGFBP2	-0.446333333333333
NOTCH2	0.606
SIGLEC1	2.473875
CD93	4.7555
SULF2	1.07025
CEP164	0.162375
P53AIP1	0.211
TOR2A	-0.1205
ZNF136	1.151
MGP	2.6985
CCDC144A	-0.3035
TRPC1	-0.750166666666667
SMS	-1.15333333333333
MAPK7	-0.223333333333333
RRAGC	0.28325
PARD6A	0.528333333333333
NUB1	0.935333333333333
SYNGR4	-0.51625
OR11H12	-0.558
WIF1	-0.615125
GCH1	1.27025
OR11H4	0.5485
SLC44A5	1.829
GPRIN2	0.1245
LOC401431	-0.24
CPA4	-2.6743
MELK	-2.36544444444444
IL15RA	0.6375
CUL3	0.682625
HMBOX1	0.299
PODXL	-1.91025
CCT6B	1.3405
COMTD1	-0.5165
MUC20	1.429
GPX2	-3.886375
ITK	-1.397
FBXL5	1.48075
C13orf27	-1.8925
DEFA5	0.605
TRHDE	0.368
MTP18	-1.0575
UQCRQ	0.7454
ITGB2	1.43258333333333
CSRP2BP	0.25725
TAS2R44	0.3045
PHPT1	0.718375
FAM44C	-0.35025
ERH	0.84925
MPHOSPH1	-0.391333333333333
MORC1	-0.733
PARVB	-0.162
LAMA1	-2.14658333333333
PGBD3	0.536
GIMAP6	3.682
AREG	-3.028
LIPT1	-0.5645
MGC99813	-0.19325
C1orf201	0.113
GRIN2A	-1.32
MAN2C1	-1.84725
NSUN5	-1.12575
SF3B5	-0.35075
MYC	-2.3519375
NRXN1	-0.733666666666667
ZNF18	1.45575
SPDYA	-0.467875
SLC37A1	1.125
DECR2	0.4025
ANKRD38	1.915875
SPTLC3	0.160083333333333
SUPT16H	-0.180375
DTWD2	2.08875
ULBP1	-0.129
ZADH1	1.00733333333333
OIP5	-2.55425
IL10RB	-0.120333333333333
OTUB2	0.28425
VWA3A	0.686833333333333
SPIC	0.4655
OR6C4	0.2495
PSCD4	1.1725
DPY19L2P2	0.7985
TRAPPC6A	0.555166666666667
C21orf2	-0.7005
CEMP1	-0.78375
LIN7B	-0.4295
E2F7	-2.00283333333333
VCP	-0.0388125
LAMA3	2.09091666666667
BGN	1.72725
GPR160	1.57183333333333
COCH	-2.75383333333333
GPR81	1.88916666666667
APOBEC3F	-0.93725
tcag7.1017	-0.7645
C1orf32	0.174
SCGB1D2	5.7235
FLJ43987	-0.475
C6orf170	0.4455
KLK9	0.378
GPD1L	2.16075
VPS37B	0.02975
ATG3	-0.277333333333333
ADAMTS17	-0.054
KLHDC2	0.522833333333333
NDUFV2	0.34175
BLK	-3.4265
MATN4	-2.1825
GPM6A	4.389625
GBP4	2.60683333333333
TMEM162	0.0308333333333333
PKP2	2.3495
HRASLS	0.114888888888889
MMP1	-2.824
SFXN3	-0.4644
FSD1	-2.3345
ST6GALNAC3	-2.30333333333333
CA12	3.114
NCOA6	0.793
C19orf58	0.0966
PPP4R1	0.227666666666667
MAN1A2	0.846333333333333
IKBKAP	-0.9885
UPF1	-0.0101666666666667
KIAA1219	1.499
WNT16	1.6512
SNW1	0.4225
IL18RAP	0.7255
RPP30	-0.57925
CDC40	0.240642857142857
SETD3	1.11933333333333
SLAMF6	0.0555
ELK4	-0.4215
TRIM47	-0.201
ACOX3	0.79
TRIM6	0.5005
KIAA0372	0.145166666666667
TP53AP1	2.089
SMURF2	-1.07575
ADAD1	0.48275
EBP	-1.0672
KRTAP13-2	-1.007
FLJ36874	-0.0175
TOR1A	0.443333333333333
P2RY4	-0.4995
GPBP1	0.3275
TRPV1	0.107125
ADAMTS12	0.827
PES1	-1.1652
ATG4A	1.06916666666667
MAGEA10	-4.90125
WFS1	1.0455
CC2D1B	-0.409333333333333
PABPN1	0.35975
SLC25A30	0.6815
SLCO1C1	-0.228666666666667
SLC22A5	2.495
KIF23	-2.37966666666667
SYN2	-0.400166666666667
ASPN	8.88616666666667
CENTG2	0.97825
QSOX2	-2.6146
FLJ10815	0.622166666666667
STK24	0.0471875
SPEG	-1.0694
STK10	-0.545666666666667
DACT2	-1.6265
AAAS	0.5985
SSX3	-1.2585
ABCD3	0.6116
C4orf12	-0.676
PARVG	0.787666666666667
FIG4	1.1785
C9orf46	2.59375
TMCO6	-0.1605
IGHMBP2	-1.2865
DUS2L	-1.32566666666667
FAM3C	-0.171375
TMEM16D	-2.748625
DCTN4	1.2355
KCNH3	0.279
EIF2AK2	1.637
AP1S3	0.2315
CST4	3.763
PAM	1.614125
NUTF2	-1.15475
CITED2	0.1883
SLC39A4	-0.17475
C2orf52	-0.4535
GRM3	0.18725
C12orf49	-0.232
CCDC49	-0.5691
GRAMD1B	-1.353375
FNDC4	0.2675
SIAH2	2.433125
GDPD4	-0.15925
C21orf87	0.711
ATP5A1	-0.554166666666667
C16orf63	-0.44325
LOC388135	0.028
ATP5J2	0.06625
MMP3	-2.65575
EMID2	-0.37575
CRHR1	0.4705
WDR70	0.32125
C13orf31	2.779
ZFAND1	-1.1965
CCL18	3.68233333333333
C3orf49	-0.192
RINT1	-0.5555
KIAA0408	-1.86983333333333
F13A1	5.5865
SLC10A1	0.00366666666666664
OGN	-0.12425
GIPC2	-2.02916666666667
XPO6	-0.932166666666666
LCE1A	0.8475
FMR1	0.6863
LOC374920	0.08575
DUSP3	0.324875
ANKMY1	0.0175
C7orf50	-0.23575
BBS9	0.2606
UNC119B	-0.22625
C9orf72	0.68
MGC35440	-0.48425
ENTPD6	0.435625
PPP1R2P9	0.29975
ERCC4	0.811
FAHD2B	-0.865
HMHA1	-0.393
HACL1	0.5065
RAD23A	0.297
FAM83B	1.4755
PPP5C	-0.575833333333333
RNASEH2C	0.531375
C9orf153	-0.62075
SCAMP4	1.086625
GHITM	-0.0106
NDUFB7	0.70175
ADCYAP1	0.786333333333333
SP110	2.5355
MAP3K7IP2	0.1575
DHH	-0.1385
AGRN	-0.598214285714286
WDR33	0.178166666666667
CEP290	1.49866666666667
PRPS1L1	-1.17333333333333
KLRA1	-1.0645
GPR97	-0.1125
CHD7	-0.5185
TLR10	1.02475
SLC30A8	3.7735
HIC1	1.10833333333333
IAPP	-0.0375
RXFP4	0.40725
GP1BB	-1.68225
SHQ1	1.3745
NKX2-3	0.320333333333333
API5	0.6215
FTHP1	0.6725
MOV10L1	1.465
TRIM6-TRIM34	3.525
ADHFE1	1.367
FAM117A	-0.1775
DDI1	0.8816
CDON	0.655333333333333
TRIM73	-0.55
IGKC	-0.1195
MMP14	-0.0480833333333334
DYNC1LI1	0.8775
C11orf66	1.7515
TRBV3-1	-1.39375
FASTKD5	0.78025
BIVM	0.306
LHX4	-0.066
CXCL2	-1.8597
RAB2B	-0.506666666666667
IZUMO1	-1.52825
MAP3K15	-2.578625
FAM19A2	0.142333333333333
ZC3H8	-1.35766666666667
ZMAT1	1.876
SPINK5L3	-3.44
SLC10A6	0.8165
APPL2	1.4465
CARD10	-0.903666666666667
LOC402176	-0.6815
EEF1D	0.059
RAB6A	0.6788
C12orf5	-0.20875
PAPOLG	-0.15625
MSRB2	1.28875
BCR	-0.613222222222222
PUS3	0.55725
TIAM2	1.08075
ZNF317	-0.1125
CHD2	0.00971428571428572
FZD5	-2.05436363636364
NUDT8	-1.19425
ZNF763	1.169
PRC1	-2.58411111111111
ABCB9	0.0988333333333333
SPATA3	-0.24925
TRAK2	0.894875
STAB1	2.748625
LRRTM2	-0.3194
psiTPTE22	-2.01
DBI	1.865
SERPINA11	-1.06725
NAT5	0.591
C20orf58	-1.72525
RPS6KA4	0.3335
FLJ90650	-1.10725
TGFBRAP1	0.09025
CHRDL2	1.68275
FAHD2A	-0.8895
CNTN1	1.2095
BBS4	0.1493
TMEM181	0.73725
MINPP1	0.93525
MPHOSPH6	-0.796333333333333
HOXC10	1.6241
ITPKB	0.46975
CLPTM1L	-0.737125
MEOX2	0.0245
ATP6V0C	0.90375
PRPF8	-0.113666666666667
TMC5	4.28425
FKBP3	-0.59025
PLEKHB2	-0.128375
OR4D6	0.587
ZNF544	-0.699
D2HGDH	-1.173625
RPL18A	-0.9615
HEL308	-0.927625
MPP6	-3.9935
TCERG1	-1.36175
KRT16	-1.3025
KLF17	-1.29775
KLF5	-1.008625
CDR1	3.46325
VCX3A	-5.424
FBLN2	2.95225
C14orf104	0.33825
HBE1	-5.2277
OR4S2	-0.2035
C1orf108	-0.666666666666667
ROBO4	2.77933333333333
CPEB4	1.2275
C11orf80	-0.028
BCKDHA	0.093
MYOC	-0.509666666666667
GIF	-0.4885
CKMT1A	-0.7725
RPL3	-0.3776
THBS1	2.47625
APOO	0.041
ARMCX1	1.569
HSZFP36	2.25725
SNAPC5	-0.13775
EIF4ENIF1	0.49925
ZNF433	1.9635
TNFRSF21	-1.367125
TMPRSS7	0.733
SPATA18	1.7742
HPDL	-3.8095
MKL2	1.6916
TBX3	1.28530769230769
C21orf93	0.0551666666666667
DAXX	0.61375
ELMO1	0.44475
RGS13	2.05
TAF11	-1.25575
UNC13A	-1.264125
LOC653314	-0.5825
ORC3L	-0.07575
IMAA	-3.771
TARBP2	-0.8035
CABIN1	0.0224
TRIOBP	-0.1478125
HIST1H2AC	1.04375
RGS22	1.5615
NCOA1	2.07983333333333
IL25	1.691
SNCG	0.02
GPR6	0.363
AMDHD1	-1.98083333333333
CHEK2	-1.311875
C6orf142	-0.87875
DRD4	-1.36
C14orf68	-1.16175
GDF11	-1.61575
SEMG2	0.038
CD247	-1.42275
CDAN1	0.2515
RBMX2	-0.3025
TGS1	-0.85675
OIT3	0.308
SYF2	-0.6145
MCM4	-1.58575
PKHD1L1	-0.651166666666667
CEP192	-0.1425
IFT88	2.251
RPL9	-1.03192857142857
RAB32	-0.499625
DDX43	-3.96175
P2RX2	0.187166666666667
OR5D18	-0.055
UBE1	0.68475
SLC24A1	1.24025
ARHGAP5	0.19775
CETP	-0.3035
KIAA1731	0.331166666666667
SLC9A4	0.6695
PTPN6	1.53575
BAHD1	0.335
GRIK3	0.1045
CACNB2	-1.3318
PDE10A	0.67175
DGCR14	-0.29225
PCDHB9	-0.952166666666667
RHOQ	0.492833333333333
MAP3K4	-0.36225
KTI12	-0.612166666666667
RPL23AP13	-1.998
GNG11	-0.72425
CLCN3	0.463
GPAM	-0.88
VSTM2A	4.943
SLAMF7	0.81
INTS2	-0.68225
PPP2CA	0.2061
LRP12	-0.1176
SEC14L2	3.92233333333333
DKFZP586H2123	0.167
MC3R	0.298
CIRH1A	-2.13366666666667
HIST1H2AB	0.346833333333333
POLH	-0.305375
MGC16703	-1.44733333333333
SNAPC2	0.775
FILIP1L	1.7175
RASGRP4	0.638
LRRC1	1.94175
GAS1	1.91775
PRAC	-1.079
DGKA	0.376333333333333
NT5C3	-0.52825
PEG3	-2.78766666666667
NADK	-1.54775
PRR17	-1.74125
LOC374569	-0.37025
SGSH	-0.151333333333333
NLRP8	1.5275
GALT	0.1239
MCF2	-0.4075
ZNF263	-0.321
TACSTD1	0.8575
TYR	-6.4764
ATP6AP2	1.554
RNUXA	0.2835
ABHD10	0.4529
GDPD2	-0.20325
SLC35C1	0.04825
UBE2A	0.78775
HERC5	-0.809666666666667
FAM112B	-4.20433333333333
FBXL16	0.9445
DKFZP434A0131	-0.6585
ELA3A	-2.0985
RBM41	-0.164
HAO2	-0.3505
RNH1	-0.02975
SHANK2	1.18083333333333
OSBP2	-0.98425
DAK	-0.822166666666666
C3orf58	-0.540666666666667
TCL1B	-1.5005
KBTBD2	-0.1885
SUGT1L1	1.059
UBE2E2	0.841333333333333
MYL9	2.4325
CDC23	-0.327833333333333
PBXIP1	2.0075
CXorf40B	-0.621
NBL1	1.4355
RTBDN	-0.3075
RAB11FIP5	0.534
TTTY13	0.1635
SCOTIN	-0.142833333333333
SOHLH1	-0.9382
CDKN1A	0.3765
NCK1	0.25775
ZNF550	-0.25475
SAPS3	0.46175
SPIN3	0.32
MAGEE2	0.48025
MIS12	-0.310166666666667
OR8H2	0.4375
KIAA0774	-1.43483333333333
UNC5D	-1.187
CUL7	-0.564
LIPC	-1.18266666666667
DIO1	3.7655
C20orf11	-0.415
CTRL	-0.953
HS3ST2	0.91775
PAK4	0.645333333333333
CCRL1	4.655
RNF10	0.871
ZNF567	0.73925
ZNF660	0.027
TCEAL3	2.79575
MAGOH	-0.365166666666667
CENPB	-0.763833333333333
C19orf7	0.24325
LOC388965	0.14625
ZCCHC13	0.157
JMJD1A	-0.5891
HIST1H4H	-0.0035
TBRG1	-0.1617
GPC3	-1.86975
TAF1C	-1.70125
EBNA1BP2	-0.885166666666667
CIAPIN1	-0.87025
PDGFRA	0.242882352941176
CSTB	0.657625
CENPI	-2.30333333333333
GTF2E2	-0.8355
RPP21	0.09925
CCNF	-1.469
KCNQ3	1.326
FAM79A	0.5925
SLC22A12	0.3205
NOVA1	1.55783333333333
FZD3	1.9229
AKAP8	-0.528
SOCS5	0.60575
CFDP1	-1.02525
DLG5	0.94075
PGM5	0.340916666666667
C1orf144	-0.26075
HDAC10	-1.656
RND2	0.11325
C20orf199	-1.07575
RNMT	-0.2265
SLURP1	0.303375
ASTN1	-0.617875
SH3BGR	1.8175
MYCL1	-0.026875
ZHX1	0.159166666666667
CENPK	-3.57725
FOSB	-0.3328
LOC643406	1.705125
C2orf59	-1.273
TMEM135	1.09025
SLC27A2	-1.4025
KRT33A	1.3085
OVOL1	1.459375
PAMCI	-4.066
S100A7	1.44
ZNF789	-2.086
HARS2	-0.477
RPL23A	-0.6985
TCF23	0.0315
UPF3B	-1.727625
C17orf78	0.512
HLA-DOB	0.511333333333333
C14orf142	0.639333333333333
TEKT5	1.46433333333333
DMWD	0.35
POLD1	-1.74216666666667
GSCL	0.0855
CALD1	0.0546
SCRT1	-1.34266666666667
AIG1	1.11
UNC84B	-1.911
ZNF404	-0.42275
TMED6	-3.91525
KIAA1462	-0.0575
LRRC27	2.20783333333333
PYGO1	0.4925
PIGU	-0.935833333333333
ALAS2	-4.3435
WRNIP1	0.284875
CNNM3	0.0335
ZNF2	0.43775
ST3GAL5	-0.54025
MRPL23	0.34075
TSSK6	-0.78775
PSMA6	-0.08975
C16orf70	0.41275
KIAA1602	-0.0825
ALMS1	0.534333333333333
DCN	4.05175
TMEM132D	-0.71275
SUCLG2	0.22975
ABHD14A	1.02175
DEXI	0.598666666666667
AMPD2	-1.9825
IFNAR2	0.264166666666667
CYB5A	2.5957
TLOC1	1.1086
NXF5	-0.503666666666667
NRBF2	-0.028375
KCTD3	1.53575
ITGAE	-0.885666666666666
SLC30A3	-2.12466666666667
ZRF1	-0.819
IFRD2	-0.87425
XAB1	-0.42
PYCR2	-0.0541666666666667
SERPINB3	-4.1155
TMLHE	0.6229
GEFT	-0.667875
ABCA5	-1.078875
EMR4	0.1685
TSFM	0.123
HIST3H2BB	-0.32125
ARHGEF19	-0.00100000000000001
TSPAN17	-0.348333333333333
ABCC8	3.29325
MAP1S	0.159333333333333
C22orf36	0.45025
BNC2	0.683571428571429
HIST1H4A	-0.5875
NDUFS3	-0.486333333333333
WDR3	-1.2965
XKR4	-0.2355
TTC33	0.0780714285714286
STMN2	4.077
CPN2	-0.718833333333333
HSPC105	0.8185
PCOLCE2	-5.508
C3orf55	1.08
KLHDC9	3.05733333333333
TBC1D23	0.422
ATXN2L	-1.26008333333333
MAP2K3	0.337083333333333
SCAP	-0.35925
ZNF486	1.69966666666667
C20orf96	1.94875
NARS	0.40225
ADAMTSL1	-1.19607142857143
PRCC	1.14316666666667
CCDC126	3.52708333333333
ZNF675	0.9995
CALCOCO1	1.36475
ANKRD43	3.49625
CWF19L2	0.599166666666667
ZBTB32	1.638
BRAF	0.1295
ODF4	0.39075
MGC14376	1.4905
HORMAD1	-1.814
AAK1	-0.00274999999999998
PEBP1	1.00183333333333
TNFSF5IP1	0.303833333333333
DKFZp564N2472	0.5365
RMND1	-0.456875
IGKV1-5	0.171
COL1A2	4.66541666666667
SERPINA5	-0.06925
AANAT	0.471
C19orf21	1.11466666666667
GEMIN5	0.09975
UBR4	-1.06633333333333
LTBP3	0.266666666666667
AMHR2	-2.00383333333333
PROCR	-0.7235
MYBBP1A	-0.845
C20orf39	2.59366666666667
ZNF697	-0.52125
PASK	-0.437
ZNF776	1.25733333333333
RFXDC2	0.717625
KIAA0467	-0.17325
C10orf96	-1.91475
ZNF503	0.71125
GULP1	-0.327
KCNE4	4.124
DKFZp434K191	-1.493625
LOC196913	0.1785
BHLHB4	-2.0885
CH25H	1.26375
LOC81691	-0.709666666666667
ALPL	0.0187857142857143
COL12A1	4.79575
FOLR3	-3.05383333333333
GPR123	0.4035
TRIM62	0.149571428571429
ABLIM1	-0.212333333333333
MAST3	-0.93425
RHBDD1	1.2485
LOC338809	-0.0465
RYBP	1.296
TTC26	0.377625
ZNF22	0.494333333333333
ISCA2	0.4185
RDM1	-1.97625
PIGM	1.42325
GNB3	-1.3645
ACTR2	0.5383
HMGB1	0.11925
EDG1	2.116
SOAT2	-4.02925
OR10AD1	0.5095
RAP1GDS1	0.390583333333333
LCE1F	0.479
ESM1	-0.84175
RCN3	2.6725
CREBL1	-0.99975
DBNL	-1.16783333333333
PTGER3	2.57725
USP30	0.76
BCL2L12	-0.0298333333333333
KIF26B	2.61875
ZNF416	1.03575
ZNF225	0.7345
C17orf70	-0.8655
ZNF554	0.973
RAE1	-0.8815
TNIK	1.69583333333333
ACTN3	0.632
MGC45922	-0.779
CCNA1	2.38283333333333
RYK	0.826333333333333
IL26	-0.099
LRP3	0.601666666666667
QARS	-0.959
SOX7	0.418857142857143
BID	-0.478625
OR2S2	0.557
CXCL14	5.5965
C11orf47	-1.3335
MGC29891	1.31366666666667
HSPB8	2.79
PRDM14	-1.2345
NUFIP2	0.65075
MNAT1	-0.491875
ZDHHC2	-1.73316666666667
MBNL2	-0.060625
ADD3	-0.829875
CSNK2A1P	-0.495
KLK6	-2.236
TMEM111	0.4419
KIAA1279	1.89725
NUBP2	-0.417666666666667
RAB42	-0.627
ID3	-1.7259
TM9SF1	1.211
MDP-1	-0.01925
POU4F2	0.83425
IQCK	2.46875
C16orf14	-0.56975
CAPN3	-1.8585
FAM43B	-0.968125
RECQL	-0.272
AP1G1	-0.249142857142857
CTNNBL1	-0.548
ECHDC1	-1.5025
SMARCC1	0.2101
FOXQ1	-1.253125
GNAI3	-0.224833333333333
POLG2	-2.173
CD4	1.677625
ITLN1	-1.0035
EBI2	2.879
IRF1	0.16225
PTPRE	2.8318
PTK2B	-0.23475
NXNL2	1.9355
SOX4	0.386777777777778
TSPAN3	0.6735
SH2D1A	-3.65716666666667
C8orf58	-0.186833333333333
USP20	-1.19775
DUSP22	-0.467333333333333
CALB1	-2.98766666666667
L3MBTL2	1.4205
MCRS1	0.31325
TMEM118	-0.717666666666667
C18orf8	0.680166666666667
FLJ10241	-0.022625
GJA12	-0.12075
PKD1	-1.23933333333333
ZFP3	0.688
JAM3	-0.8035
LAPTM4A	1.8934
DIRC2	1.123
KIAA2022	2.43616666666667
MYOM1	-0.432166666666667
TRPM8	-3.24916666666667
MOP-1	0.04625
PHKG2	-0.041875
ZNF650	1.149375
KIAA1522	0.745625
PSG8	-1.28
DDX19B	-0.6275
MOBKL1B	-0.10125
DIAPH2	-0.804083333333333
PTPN12	0.279
CLN8	-0.8895
CRYZL1	0.161833333333333
CRY2	0.0850833333333333
FCGR2B	4.8645
PNPLA4	2.679625
ZNF454	0.4795
DKFZp434B1231	-0.33175
CLDN11	0.045
RFWD2	0.960666666666667
CIB2	-0.231833333333333
MXRA8	3.79825
HRK	-1.786375
MAML2	-0.11725
C4orf31	0.74025
C6orf192	-0.8695
COG6	1.133375
FAM5B	-0.36725
NFATC1	0.645
SEPT10	0.296
SCYL1	-0.8939
RPP40	-1.2075
SCOC	-0.0449
KIAA1450	-0.271
CTDSPL2	-1.055
TBX5	2.26166666666667
NAPG	0.5125
RHD	-4.748
C14orf45	2.869
ZBTB22	0.8225
PLCG1	-1.7785
ANKRD10	-1.416625
AQP7P2	-0.361
TAGLN2	0.996
HTR2C	-1.6485
SLC16A7	-0.503
C17orf83	-0.114
TSGA14	0.109083333333333
MDH1	-0.204
PPP3R2	0.2314
DCBLD2	-1.49307142857143
RBM33	-0.60375
DPH3	-0.84325
SYT10	-1.47416666666667
FMO4	2.821125
THYN1	-0.423
DRD5	-2.249
OTOR	1.0345
PGRMC2	-0.5114
KATNAL1	0.00875
PAQR6	-3.1015
UBE2I	-0.268
C14orf28	0.773
C8orf70	-0.052
FLYWCH1	-0.4595
ANGPTL3	-0.873
GLRX2	-0.540833333333333
ATP11A	-0.822642857142857
ARL5B	-0.059375
MUC16	1.40675
SLC25A5	-1.22135714285714
ACRC	-2.507
MYO1C	0.035875
FAM89B	0.559166666666667
FAS	0.247
KIFAP3	1.31
GLRA2	0.58
BTN3A2	0.552
CNKSR3	-0.9005
CSTF3	-0.8935
ARPM1	1.972
KIAA1530	-1.6585
C9orf150	2.9875
PRKCI	1.16
tcag7.1015	-1.0525
SOD3	-1.8815
ZNF574	0.80425
CYP21A2	0.53725
RPL12	0.281
COMMD2	0.07775
WIZ	-0.475
LOC344405	-1.40225
ALDH4A1	-0.624235294117647
CRYAB	2.222
COPA	0.295233333333333
PCDHGA7	0.532666666666667
KIF11	-1.73366666666667
RASD2	0.06
SLC26A3	2.9285
ZNF175	0.1455
JAKMIP2	-0.60075
C8orf4	3.05266666666667
PTHLH	3.9705
SLC40A1	4.7495
OR7D4	0.516666666666667
PCDHB17	0.2055
CD36	2.94671428571429
C6orf203	0.3435
PRKG2	-0.281
LOC400566	2.5815
ANAPC13	0.426
SLCO3A1	-1.33725
ZNF692	-2.0345
FANCL	-1.601
SH3GLB1	0.03375
C12orf61	-0.64
KBTBD6	1.46925
SUPT5H	0.27875
XRCC6	-0.8318
HUS1B	-0.8294
FAM133B	-0.0618571428571428
LOC728276	0.0445
KCTD18	1.257
SOS2	0.7715
CCDC99	-1.39525
C1QTNF5	4.3475
NNAT	0.0891666666666667
USP16	0.12125
LARS	0.2045
ZBTB2	0.552
ABO	0.297
TRAF3	0.6475
GALNT5	-0.111
NAP5	2.32425
ALG14	0.473
KIAA0515	-0.242653846153846
WDR75	-0.480166666666667
TEX261	0.09825
LY86	1.048
LOC389072	-0.5185
FLJ13611	0.0755
MRGPRX2	0.8865
SNRPA	-0.84975
OR2G2	0.467
GPRASP2	0.89175
C7orf42	0.951
C9orf163	-0.645
CYP11B2	0.623
FCRL3	0.991666666666667
PRDX1	-1.26825
FGB	-6.77716666666667
COX17	1.11466666666667
C16orf33	-0.054
PIWIL1	-0.426833333333333
FOLR1	-2.9275
KIAA0082	-1.0575
FREQ	-1.25416666666667
TMCC2	-1.52283333333333
TCF12	1.18108333333333
ZNF721	-0.31525
FAM130A2	1.25625
POU4F1	-2.2665
SNRPF	-0.4435
SGIP1	2.4905
ZNF641	1.15066666666667
EMG1	-0.39725
PRRG4	2.4695
HIRA	-2.82625
MYNN	0.444666666666667
AEBP2	0.233583333333333
TBXA2R	-0.256833333333333
ISL2	-1.23016666666667
PCDHB11	-0.084
RNF144A	-0.237
MARCH5	0.826875
DULLARD	0.242
DCLRE1B	-0.514
ITGA8	0.87
TP73	-0.190875
PRKCD	1.79425
NDUFB4	1.22225
ATP13A4	3.1205
ANTXR2	-0.69
COL4A3	-0.430833333333333
MYO10	-1.6255
SLC6A18	0.34375
PEX1	0.08
TMEM74	-1.1826
RBM19	-0.8695
TAPBP	0.5302
RUNX1	0.666125
MID1	-2.74491666666667
GPR64	-0.997
RASEF	4.16425
GABRG1	-0.12425
MYO16	-0.9275
DBF4	-1.33383333333333
TSHZ2	1.3075
RIPK2	0.971
PPTC7	0.500333333333333
KIF4B	-1.7345
LRRC31	2.568875
ZNF540	1.06725
EFNB3	-0.327833333333333
LOH12CR1	1.33775
STON2	1.77616666666667
GLP1R	-0.04225
CSTF2T	-1.189
IREB2	-0.986
GRSF1	-0.557
PDCD7	-0.0946666666666666
LRRC43	3.389
CNR1	-0.515333333333333
IL1F7	-1.04
C12orf64	-0.03775
FAM69B	-0.4295
NR2E1	-2.188
MS4A6A	2.1205
FTL	-0.6815
C7orf36	0.401
PCLO	3.2739
DYRK2	0.910083333333333
ARIH2	-0.57425
SAMD7	0.4135
SCNN1D	-1.32525
SLC32A1	-0.955285714285714
C22orf25	-0.863333333333333
MRPS18A	-0.6027
GPR112	-0.887
EARS2	0.228
ERN2	-0.2105
ATPBD3	0.00683333333333328
PRH2	-0.19
CDKN2D	-0.406166666666667
PGLYRP2	2.25675
TRIM40	-0.263666666666667
SEC14L3	0.218833333333333
SLC22A1	-0.1285
BTN2A3	-0.01575
RASA4	-0.81525
CCNL2	-1.95608333333333
MYBPC3	0.392
GJA4	2.87025
CDC42SE1	-0.2295
TRPV2	-1.471
MYPN	-3.7697
SIM1	0.509
CDADC1	0.9115
ZFHX4	1.9035
NIBP	1.425
ADAMTS19	-1.8195
ABTB2	-1.9195
TSPYL2	-0.159875
EIF2S3	-0.7515
SOX30	-0.0675
AP2A1	0.0356666666666667
DKFZP564O0523	-0.442333333333333
LOC285398	-0.00999999999999998
CDH18	-3.931
CHL1	1.85425
GATS	-0.674
TBC1D2B	-0.243166666666667
OR1J1	-0.774
GSN	1.09516666666667
DPCR1	0.277375
GARNL4	-0.4545
SMARCA5	-0.164
PLEKHG3	0.613
ZBTB45	0.6415
FRMD6	1.791
PLS1	-0.328333333333333
DGKZ	0.0271666666666666
EFNA1	2.2106
WDR85	-1.4585
ANK2	-0.722
PAGE4	-0.7295
SENP6	0.985
AKR7A2	-0.352833333333333
FKBP10	-1.383
VEGFC	-1.65616666666667
LARP1	0.017875
SRBD1	0.122
ITGB6	4.26525
SLC1A2	0.218307692307692
INVS	-0.192166666666667
MPO	0.64825
MOBKL3	-0.2162
CUTL2	4.015625
KLK2	1.47925
VIM	0.2565
REG1B	0.2775
PCDHGC4	-0.1855
C3orf34	1.09933333333333
SUMO3	0.517666666666667
CST9L	0.728
MLL4	-1.15325
SPR	1.95366666666667
SAMD9L	1.767
ABCE1	-1.10425
SUPT3H	-1.00816666666667
ACTBL1	-0.79
ADAMTS4	0.728833333333333
SLIT3	3.585
RHEBL1	-1.73
NPM2	-1.9785
MAN1C1	0.653
KIAA1856	-0.700666666666667
HSPA6	1.458
LOC388152	-0.4715
C10orf140	-2.253
ZDHHC12	-0.3865
LIN7A	1.2012
PHC2	-0.6525
SPHK1	-0.4595
TRIM26	-0.053125
FAM83E	-0.4805
C18orf24	-2.356
ZNF578	0.6215
ORAI1	0.0725
RUVBL1	-0.3005
C7orf20	-1.02083333333333
APAF1	-0.5945
SLC36A4	-1.828
MYH11	3.825
NEK1	0.575
MPP2	-0.585375
C12orf24	-2.80225
TNK2	0.079
ZNF289	-0.77925
MATN3	1.67971428571429
IFNGR2	1.7155
ITPR1	1.157375
EBF3	2.3414
TBC1D20	0.1746
OR10P1	0.1315
DDAH2	1.592
SHPRH	-0.20875
STX7	-0.34
LOC554248	-3.14925
BCAR1	-0.122
ATXN3	0.527166666666667
TRIM27	-0.941
