Hybridization REF	TCGA-A8-A09M-01A-11R-A00Z-07
ZNF365	0.607
PHC1	-1.94925
KIAA0913	0.157
ARX	0.499625
PPP3CB	0.164666666666667
IRX6	-0.5432
ANGPTL4	-2.6346
LSM14B	0.4973
PCDHGB7	-0.215
INSM1	-1.81058333333333
WBP2NL	-0.711
ZNF493	-0.0944375
NGEF	-1.3575
RNASE13	0.3705
SPPL2A	0.370833333333333
SFXN1	-1.367
FAM102A	1.865125
SAPS2	0.107
JTV1	-1.5445
OR51B4	-1.6905
SCGB1A1	0.474333333333333
NEUROD2	0.270125
tAKR	0.12
C1orf26	0.866
RICH2	0.111
TEDDM1	0.169
CYP2S1	-0.967
TBCE	0.366166666666667
MAPK1	-1.047875
HDHD1A	0.43975
MRM1	-0.371
ATP9A	1.23585714285714
HSD17B3	0.3475
HN1L	0.936666666666667
RNF216	-0.587875
HOXD12	-0.1695
PPP1R14B	-0.409375
SBF1	-0.517
TAS2R42	0.5135
USP46	0.592333333333333
LILRB3	3.2205
SPI1	0.72525
OXSM	0.19175
GYS2	0.0476666666666667
NUPL2	-1.03
C8orf46	-1.528375
SF3A1	-0.04375
C21orf99	-0.1045
HOXB4	1.5359
YRDC	-0.2945
GPRC5D	0.2605
BLVRA	0.709375
KIF12	2.209
LRRC23	1.019
FAM14A	0.7525
RASL12	0.36425
DAZAP2	1.2205
IKBKB	0.855428571428571
ZNF271	0.531
BOK	-1.0985
CXorf6	-1.834
MYEOV	-1.80975
BTN2A2	0.0567
FRG1	-0.11975
HSP90AB6P	-0.25025
ENOX1	-0.6315
ZNF706	1.3158
DOK1	0.4287
PGAP1	-0.633125
TMEM136	-0.182
FSCN1	-3.19225
KIF17	-0.3905
TRIM66	0.0345
CBR3	0.4175
C13orf24	0.288
C19orf52	0.5015
BNIP1	1.08175
AQP3	-1.923375
KRT6C	-2.65383333333333
SIRPA	0.0473333333333333
IGFBP6	-1.04966666666667
PLEKHK1	-0.904
RNASE7	-0.3515
ARHGEF15	0.59975
NPHS2	0.40275
SRD5A1	-0.9495
REXO4	-0.84825
EEF1DP3	2.0305
SLC37A2	0.75275
ZNF142	1.82675
ANKHD1	-0.8865
MUT	0.524
VPS37A	0.0215
GPRIN1	-1.16075
SLC38A3	-1.832125
BAZ2B	1.0325
WDR87	0.250333333333333
BRD7	0.2115
POU6F2	-0.414
NISCH	-0.232
TCEB1	0.40425
LINGO2	-2.7445
TAX1BP3	-0.88625
RPL34	0.376277777777778
MARK2	0.6485
AKAP12	-2.3378
AMBN	-0.4305
SLC25A27	-0.614
FLJ21865	0.16425
KIR2DS2	0.708833333333333
WDR77	-0.538
ATF2	-0.385333333333333
ITFG3	0.607
SLC39A13	0.99975
ARL6IP5	0.4755
C10orf137	-0.177125
QTRT1	-0.462
CCNT1	-0.1275
DYNLL1	0.7022
WDR53	0.39525
LIPG	-1.3735
ASAH3	0.2335
HELB	-0.239
PHACTR2	-0.331625
VENTX	-0.55025
LAD1	0.4825
PAOX	2.46975
MAPK8	-0.7315
CCDC38	0.5625
DNAJC8	-0.4113
RBBP8	1.68675
WNT11	-0.3008
KCNJ12	-1.49866666666667
HDAC8	-0.486
STARD4	-2.7825
ACVR1	0.0758333333333333
C14orf65	-0.294
KLB	-1.35
C1orf65	0.40625
ZFYVE28	0.554125
NSUN6	0.401
KIF27	0.474333333333333
SYTL2	-0.2
UBXD2	0.1674
OR6T1	0.6495
CCDC91	1.0565
GRID2	-0.211
CALN1	-0.307625
ZNF423	-1.096
PSMB4	-0.046
XPNPEP3	-0.384833333333333
ARPP-21	-2.4589
SART1	-0.491
RACGAP1P	-2.6
SPTA1	-4.20675
C6orf113	-0.0505
C7orf16	-2.48
CHST7	-0.8345
C21orf29	-1.01466666666667
SEMA6D	-1.576875
PCMTD1	1.7696875
KIAA1754	-1.28133333333333
MYCN	-1.32
KCNJ3	5.94525
MAPK13	2.3993
ERO1LB	0.29925
NTF3	-1.9655
NKX6-2	-0.2
GTF2B	0.637
GSPT1	-1.57416666666667
GUSB	0.166166666666667
LOC221091	-2.0075
LIG1	-0.95575
EXTL3	-0.659166666666667
NID2	-1.24225
TTC29	-0.78625
TMEM97	-0.162875
EXTL2	-1.299
SUZ12	0.105125
IL1F8	0.36
KRT18	0.132545454545455
MRPS16	-0.2085
PI4K2B	-0.37775
LACRT	-0.185
OR51F2	-0.00899999999999995
JMJD2C	-0.6995
KGFLP1	1.65
CDK5RAP3	0.0442
YTHDF2	0.373333333333333
GGCX	0.66925
ARPC4	-0.22375
EGLN2	1.09716666666667
KBTBD4	0.509785714285714
ROBO3	-1.0269
DEFB118	-0.0225
KIAA1543	0.68225
RTCD1	0.519
MZF1	0.42175
C18orf26	0.5055
CNIH4	1.2815
ZFP2	2.48416666666667
HTATSF1	0.56675
WFDC2	3.811
NDUFA7	1.045
TTC22	0.198333333333333
FAM40B	-2.75125
DCPS	-0.9685
SH2D1B	-0.000166666666666667
MRGPRE	0.5425
SBK1	0.46125
UNQ6411	0.306
OSBPL9	-0.8125
NUP107	-0.8145
MYOZ3	0.0522
PDE4B	0.490333333333333
FAM113A	-0.4985
IDH3G	-0.780333333333333
FBXL7	1.881
ARFGAP3	-0.903
MAPRE2	-1.76792307692308
IL1RN	-0.6615
KIF13A	-0.0355
RAC3	-0.33
TCTE1	-0.31
TMEM14B	-0.523
ADIPOR1	0.4805
GRINA	1.857
CLIP4	0.51375
LRIT2	0.5115
TFPI	-2.92442857142857
FABP6	0.75075
SLITRK2	-0.266666666666667
HKR1	0.17925
SMTN	-1.14175
C1orf75	0.491
CD209	0.649375
CYB5R2	1.055
DNTTIP2	-0.154666666666667
CSGlcA-T	0.656
GABRB3	-0.18775
PCBD1	0.571666666666667
TAF3	0.509583333333333
HOXD3	-0.6395
GIPC3	0.2175
P11	0.3534
BFSP1	-2.12375
LCP2	1.0935
TAS2R8	-0.787
SEZ6L	0.947125
NR2C1	-1.2575
EXDL2	0.5311
TNFRSF13B	-1.71933333333333
MKI67	-1.329
GLS	0.131
C7orf54	0.1897
LGALS13	0.213166666666667
IL4R	-0.0645
SEC11A	0.761333333333333
SPP2	0.171833333333333
C18orf32	1.90375
CLSPN	-1.46083333333333
SPAG1	0.281125
C9orf82	-1.58025
TM4SF1	-2.13633333333333
EMILIN2	0.8985
SMG7	0.584666666666667
TAS2R13	0.585
ZNF628	-0.0285
DZIP1L	-0.622833333333333
ANKRD13A	-0.2816
VASP	0.218
ZCCHC11	-1.3595
SYPL1	0.053125
MGC34774	0.322
C4orf28	-0.424625
KIAA1211	-0.0245833333333333
RPS27L	0.37925
TATDN3	-0.16575
PDCD1	1.68025
OR5P2	0.499
IFIT1L	0.5635
MIPOL1	0.8595
OR51D1	0.53375
C1orf92	-0.689833333333333
LAMP2	0.835944444444444
CAT	0.7365
C16orf80	0.051
C15orf32	0.102
ZNF746	0.4755
C1orf76	-1.139
ATXN1	0.52575
LAMC2	-2.319375
SLC2A7	-0.163
CPOX	-2.18825
APH1B	2.197
LOC442245	-0.144
CTNND1	0.450333333333333
GABRG2	-0.505375
MADCAM1	-0.61
F5	-1.91125
SEMA4F	0.406
NUDCD3	0.36375
PDZD11	-0.7
TRIML1	0.455
GCNT3	-2.40616666666667
TMEM120A	1.0145
CNDP1	1.1385
N4BP1	-0.0755
SLC35F2	-2.066
LCP1	-0.457583333333333
IGBP1	-0.8046
DCAKD	0.41325
ELA2A	-0.5675
C12orf56	-1.637375
PITRM1	0.673857142857143
GUK1	0.307166666666667
RASSF8	-1.141
OR2A14	0.67975
ADM	-3.26988888888889
FGD3	1.23
GHRHR	0.546833333333333
RHPN2	-0.8665
C4orf39	-0.497666666666667
VPS72	-0.9505
SERF2	0.731333333333333
CD22	0.753
CD47	0.2399
PPIC	-0.770666666666667
IMPDH1	-0.35175
ACP6	-0.211833333333333
PRKACA	0.1145
PPP1R1A	-2.002875
TRPV3	-0.26675
ASXL1	-0.834
C17orf55	-0.576166666666667
FXYD1	-1.632
LMOD2	-0.118
ANKRD33	0.518
LCE2C	0.1165
ZNF620	-1.0715
DKFZP566E164	-1.26425
VSIG2	-0.97425
KIAA1128	1.2075
USO1	0.569166666666667
NUDT4	0.294357142857143
CLDN1	-1.62178571428571
OR4Q3	0.7025
FASTK	0.0401666666666667
ICOS	2.63133333333333
LDB1	0.26525
GSTA5	-0.8525
ABCC1	-1.10183333333333
FAM54A	-0.98125
PCBP2	-1.0735
NUP205	-1.0895
ACTA1	-0.647166666666667
GABBR2	-1.7845
PIP5K1B	-1.7635
AGXT	-1.82416666666667
RNF181	0.805
ATP8A2	-0.546
AFTPH	1.195625
FGF21	0.345
FCER1G	2.229875
SNTB1	-2.38425
SLC24A3	0.814625
TXNL4B	-0.9641
RPL10L	-0.213166666666667
LOC389517	-0.45125
TSGA13	0.286
SHOX2	-0.9215
ITGA7	-1.3911
KCNIP2	-0.573833333333333
KLF13	0.5882
ZFAND2A	0.1375
CEACAM1	-0.789928571428572
PFKFB4	-1.93566666666667
MED19	0.61425
LRRC57	0.0451666666666667
RNF11	0.16775
ANKRD32	-2.6015
P117	0.27225
OBFC2A	-0.164666666666667
POLD3	-0.228166666666667
RAB18	1.532625
TPH2	0.150333333333333
PHB	0.1343
JDP2	0.0241666666666667
MORF4L1	0.2432
POU2F1	-0.356
CNNM2	-1.02308333333333
LOXHD1	0.229666666666667
ZC3H15	-0.29
ELK3	-0.231333333333333
FAM111B	0.9075
CBLC	3.56
SBNO1	-0.47775
ANKMY2	-0.877
PLEKHA5	0.00325
DHX58	3.127
ARCN1	-1.3735
TREML1	0.3539
KNCN	-0.392
SEC24A	-0.6055
PSCA	-1.0855
MGC24125	0.4605
DNA2L	-1.41875
CIB4	0.034875
HIGD2A	-0.7895
TBX6	0.06
TTLL5	-1.01033333333333
SGK3	1.33466666666667
GCN1L1	-0.20025
AMOT	-0.0868
LDOC1	-0.558
NRK	-0.1035
ASB9	0.224
NAT1	5.5581
TRAFD1	0.23
PEAR1	0.416
FAM36A	0.6125
OR1S2	0.292666666666667
LOC388323	-1.596
PGS1	-0.347666666666667
LEPREL1	-3.6585
TFF1	-3.72208333333333
HAP1	0.4155
EPHB2	0.6325
ACTG1	0.914
ZFP42	-0.9635
HAVCR2	1.2282
NME1	0.1855
SNX26	0.0644166666666667
LACTB	0.4465
ZKSCAN2	0.26975
C5orf35	0.5255
ANKS3	0.31275
RBM28	-0.49875
DKFZP586P0123	-0.76675
HNRNPA1	-0.0881666666666667
BCAS3	-1.19075
FLJ20184	-0.1055
POLA2	-0.8525
TMC7	-1.5265
HSD17B6	1.1205
ZNF658B	0.769333333333333
TTTY10	-0.157666666666667
RANBP9	-0.345583333333333
CPNE7	-1.59466666666667
EVL	1.61894117647059
LNX1	0.487166666666667
IFNA21	-0.0835
CFD	1.76
PYCARD	1.285
MYBPC2	-1.6275
ENPP3	-2.10366666666667
ACSL4	-2.1685
LOC440258	-0.162833333333333
TMEM176B	4.49683333333333
SOX2	-1.65875
SCO1	-0.373
COMT	0.39075
AOC2	-0.47575
PDLIM5	0.526285714285714
SPHK2	0.353666666666667
NXPH2	-0.6755
GPR108	-0.657666666666667
RAD51L1	-0.907166666666667
TMEM54	1.01475
LETMD1	-0.839555555555556
SLC6A17	-0.162
KRT75	0.295
STT3B	-0.990333333333333
CD3EAP	-0.0133333333333333
TMEM63A	0.88475
DUSP13	-0.357
CD1C	-1.0145
LASS2	0.5785
AVP	1.274
PITPNM1	-2.22425
FLJ22795	-0.5005
MCTP1	-2.07725
TRIM68	0.148166666666667
UCK2	-0.557666666666667
ABHD1	1.3335
FAM50A	0.45275
RNASEH1	-1.03616666666667
PCP2	1.941
OR52H1	0.575
C20orf149	0.54775
RBP5	0.885
HYAL3	-0.5565
CLPB	-0.24575
SMNDC1	-0.333
DONSON	-1.75633333333333
FLJ27523	0.16125
BARHL2	0.1945
SLC30A9	0.498
TMPRSS11B	0.388
E2F8	-1.129
CCDC25	-0.265083333333333
C14orf48	-0.1785
C20orf116	0.8295
TSPAN11	0.6765
YIF1B	-1.55733333333333
FAM12B	0.34175
OR1L6	0.39
HPN	0.891
NBN	0.75075
C14orf94	-0.352166666666667
OCLM	-0.7655
ZSCAN18	1.4808
L3MBTL	0.5706
TSTA3	0.541666666666667
RAC1	-0.080125
C19orf15	0.0128333333333333
NFE2	-2.138
KLK14	0.5665
ARSF	0.017
MAST2	0.227833333333333
AMICA1	2.38016666666667
GTF2A1	-0.309
ATP1A3	-0.30825
TC2N	1.7136
PNKP	-0.252
ODZ2	-2.999625
MATR3	-0.109125
S100P	-2.395375
KRT82	0.0445
CA13	-0.7527
PROZ	-1.28966666666667
AASDH	0.514875
C19orf40	-0.317
DCK	-0.157384615384615
FAM5C	-1.3825
SLC6A4	5.13
MID1IP1	-0.31525
TESSP5	1.2115
TMOD4	-0.435333333333333
DOCK2	-0.109666666666667
TUG1	0.947
NUP214	-0.4
DPYSL2	-1.21927272727273
GOLM1	0.6135
MPFL	0.0985
SOX13	0.4725
SDCCAG8	1.1271
KEL	-1.74666666666667
NUP210L	-1.662
GK	-0.9095
DNAJB1	1.6305
ALPK3	-0.351
CHID1	0.4098
CYLC2	0.0231666666666667
IKZF5	1.20275
C8orf51	2.01616666666667
PPM1J	2.9155
GIMAP8	3.158
GPR101	-0.331
NR2F1	-1.6765
ACAD8	-0.5825
RBM35A	2.20275
GNAI2	-1.54883333333333
METTL8	-0.283666666666667
SLC39A7	-1.06825
FBXO8	1.09725
CAMK1	-0.9345
RFC3	-1.868875
FAM129A	-0.303142857142857
ILF2	-0.7865
FGFBP3	-1.56775
NOM1	-0.589833333333333
PSMA3	0.25575
ASCC3	-0.4555
ZYG11A	0.49075
SOX21	-1.374
LYRM1	-0.377
DEFB1	-0.621
LOC91431	-2.01616666666667
OR7C2	1.528
FAM46B	-0.337375
TMEM18	-0.25675
ARHGAP30	1.37283333333333
TMEM86A	2.2205
EPHA2	-1.632
C10orf46	0.04785
TCHH	-0.153
C3orf30	0.414833333333333
LOC285636	-0.616666666666667
PAIP2	0.67725
CYP2U1	0.6315
C12orf34	0.64975
SARS2	-0.621166666666667
ZCWPW1	0.64575
SAMD12	2.53375
KIAA1430	0.281375
ACAT1	-0.21925
MEOX1	0.295833333333333
ADAMDEC1	7.1395
PHKA2	-0.03225
CARD11	-0.502333333333333
CALML4	0.692
TSSC1	0.057
TMEM45A	0.393222222222222
MPP7	2.168125
POU1F1	0.21375
SLC2A13	-1.2756
FBN2	-0.193642857142857
ZC3H7A	0.0386
LAIR2	-0.2275
ST3GAL1	1.73866666666667
LCT	-2.52875
GEMIN8	0.686
KLF16	0.5682
HIF3A	-0.4368
FAM44A	0.140071428571429
AQP10	-1.0616
PLA2G2A	-2.75
FOLH1	1.31616666666667
C20orf186	0.0285
MAPKAP1	-0.727
SPRR2D	-1.54325
UBQLN4	-0.691
RSHL1	0.368666666666667
PIAS3	0.057
MRPL24	0.7295
GREB1	-2.306875
FAM27E3	-1.218
NUP62CL	-1.01475
NEUROG3	2.207
REEP3	1.28208333333333
MARK1	1.111125
LMBRD1	0.86725
PRPF19	-1.906
PNMT	0.383833333333333
CTGLF1	-0.081
SLC25A16	0.404
EIF2B3	-0.82
RPA2	-0.6915
PAK6	2.2885
CCDC26	-3.678
SEMA3E	0.07575
MXD4	0.7755
TNFSF10	4.5477
SMARCB1	-0.739
DTX3L	2.022
PLA2G4E	-0.0965
PPAP2A	-0.13775
ULK1	0.167333333333333
TAS1R3	0.303
SLC2A3	-3.25045454545455
ARID3A	-1.542
GNG5	-0.8135
ACOX1	0.8416
KIF5B	-0.48125
NUP153	-1.6205
MUC7	0.258
CSDE1	-0.628142857142857
CLPTM1	-1.6475
C3orf23	-1.009625
LRRC17	-1.221
TTYH3	-0.932625
ATP5B	-1.2745
ELF3	1.1469
CPSF3L	-0.6075
ZNF665	-0.093
TLR6	0.9037
GPI	-1.2715
RAD9A	-0.411125
NDST4	-2.533
AGPAT3	0.717916666666667
MAGI3	1.69366666666667
ADORA2A	2.660625
CACNG7	-0.3555
CAMK2D	-0.933571428571428
CCHCR1	-1.21275
RPS27A	-0.22725
OR10G7	0.548
GCM2	0.1865
FAM135B	3.3378
E2F1	-1.01425
PLCB3	-0.07575
OR2AE1	0.511
COIL	0.232333333333333
CDC25C	-1.1675
RAB11FIP2	0.1575
TSC2	0.4955
CTGLF5	-0.8435
CCDC108	0.196
OR13C4	0.24375
C10orf81	5.08925
PTPRB	1.10875
ACP2	0.4235
LAG3	2.29
MRPL54	-0.128
LOC201175	1.5795
ITGB1BP3	-1.52625
SPTAN1	-0.984166666666667
SIPA1L2	-0.58475
RCAN2	-1.0585
CDX2	1.295
ECOP	0.4985
ACTR1A	0.115214285714286
PPARG	-0.887333333333333
BBS10	1.02916666666667
TMEM44	-1.69375
BPIL2	0.3495
CITED1	-2.144
IRF6	3.747
PRDM4	0.528
RRP9	-1.23083333333333
OR10H4	0.24875
IL31RA	-0.54675
GNB1L	-0.301
MYBL2	-1.232
ZNF407	3.01116666666667
PPIG	-0.164666666666667
TTC18	3.24475
RPSA	-0.7565
MAPT	2.060875
MRE11A	-0.7145
C8orf37	-0.312333333333333
RASGEF1C	-0.427
STBD1	0.17625
CTAG2	-0.870666666666667
MGAT5B	-2.2435
ECM1	1.8675
RLN1	1.397
PARP14	1.886125
EPB41L1	1.9147
HOXA3	-0.900666666666667
MAGEA9	-3.74275
RPS8	-0.764
RPS19BP1	-0.10025
FOXJ2	0.061125
C10orf76	0.195375
IL17RE	1.048
C10orf65	0.7625
ZNF343	0.313666666666667
FBXO33	0.26925
UHMK1	-0.0348000000000001
LY6G6C	-1.22975
FGF19	-1.99325
C14orf128	-0.776166666666667
IFIT2	3.575625
TIGD1	-0.675
S100G	6.184
GUCY1B3	1.2065
NR3C1	-1.3662
CORO1B	-0.457166666666667
PARP11	1.175
DNALI1	4.277
OR4N4	2.7205
MAP2K6	0.054
FSTL4	0.069
ANKRD47	1.131875
TMEM171	-1.489
PNLIP	0.382
YY1	-0.175833333333333
CCDC138	-1.646
AASDHPPT	-0.7935
CKS1B	-0.4127
MCM3	-1.02833333333333
ANAPC7	-0.440166666666667
FAM110A	1.33425
CDC37L1	0.44
THTPA	1.1585
NBPF20	0.2635
WDR24	0.63075
NPTX2	-3.70975
CBLB	0.255
CETN1	0.328833333333333
RPUSD1	0.25275
FAF1	-0.79225
CDK6	-3.2624
HMX2	0.1805
CSK	-0.6995
TEAD2	-2.0375
SNAP25	-1.23375
TUFT1	0.3702
TMTC3	0.8705
LCK	-1.1675
SGOL1	-0.786
AKTIP	1.2425
FURIN	0.959875
SOX12	-1.27266666666667
DEFB103A	-0.67775
RAMP1	2.197
KIR3DX1	0.593
GAS2L3	-0.869
PDE8A	-0.871
EDN3	-0.235666666666667
GMIP	0.53975
SF3A2	0.5305
FN3KRP	0.646
SMAD7	0.23775
RHBDD2	-0.049
OR11H6	0.3475
PPP1R3B	-0.4012
C9orf23	-0.346
CADPS	-1.41275
GOLGA8A	-4.209875
TMEM57	0.806166666666667
RGL3	1.2055
S100A14	2.54075
FGFR2	2.3624375
XRCC3	-1.64675
RTN4RL2	0.551
MGC3771	2.3045
GH2	0.136
BTBD2	-0.817
LMO2	-0.2545
RDBP	-0.398
ACRBP	-0.7815
AMY2A	1.741
DUOXA1	0.2335
PTK7	-1.21883333333333
TWF2	0.122
FAM80A	-0.17525
TNNI2	-2.4755
GLT25D1	-0.518666666666667
OCC-1	-2.88275
CYC1	-0.112833333333333
RPL22	-0.305136363636364
MORN3	1.32333333333333
DISP1	1.1535
PRB2	-0.1645
CHUK	-1.13675
HR	-0.3795
CCDC134	-0.211875
DENND4B	-0.9825
C14orf130	-0.312125
RAB33A	-0.88775
DCST2	-0.372
TNMD	-1.8325
PEX7	1.513
FAM62A	0.294125
SRD5A2L	1.46675
IL22	0.275
RPS26	-0.889833333333333
HOXC5	0.65
SPATA6	1.17875
FLJ38482	0.829375
ZNF234	0.9075
C18orf22	1.858
SPATA22	0.2875
THOC1	-1.076
CYP7B1	1.902
KCNC3	-0.18275
C8orf42	-0.4585
ALDH1B1	-0.110833333333333
CCDC100	-0.7534
ARMC4	-1.34175
FAM18B2	-0.0725
SLC44A1	0.770875
FBXO17	-1.0135
C6orf107	-0.2235
C19orf29	-0.79375
ZC3HAV1L	0.63225
PARP6	0.9156
SULT2A1	-4.034875
C1orf159	-0.63275
TMC1	-0.00775
CHST14	0.141125
GAMT	0.3625
SMCP	-0.0266666666666667
TSPAN33	1.23075
MIDN	-0.00674999999999999
NOX4	2.55325
RNASEN	-0.3149
TBX1	2.001
SALL2	0.486
C10orf35	2.67025
CYP2E1	0.43375
LRFN2	3.194
ACO1	-1.15
IQCG	1.0195
MEGF9	0.2855
TM7SF4	1.53075
PLEKHA1	1.013
STK33	-1.8565
C1orf210	3.1365
SNUPN	1.1449
KIAA0406	-1.0308
C20orf29	0.83725
TMEM55B	-0.0485
OSTM1	-1.056375
CLCN7	0.257
OTP	0.29825
FLJ23049	0.2975
HEATR4	1.793
MAP3K10	1.09516666666667
PCDHGA9	0.2835
AMDHD2	0.409
LCTL	-1.626
PDCD2L	-0.3075
CABLES2	0.8595
SLC5A9	-0.39225
CLCA2	-2.197
MGC16025	0.1535
STRAP	-0.849833333333333
C20orf196	-0.213
RRBP1	0.107333333333333
NAT13	-0.8535
MAT2B	0.076875
CSNK1D	-0.476833333333333
KIR3DL1	0.37575
PRKAG3	-0.2645
ZNF599	-0.0655
PRM3	0.9805
PER2	0.637666666666667
ASPHD1	-3.186
PRMT6	-0.21625
KCNE1L	-0.31
FAM118A	-1.27366666666667
TAF4	0.488
NDUFB6	-0.29825
TRIM9	-1.47908333333333
PMFBP1	-0.39425
KY	0.594
DKFZp762E1312	-2.49063636363636
CSMD1	-1.34275
TBP	0.387666666666667
OR1Q1	0.316
RETNLB	0.04075
HPGD	-0.829071428571429
DNAJC12	2.45716666666667
FKBP1B	-2.574
ANKRD24	-0.844333333333333
CXXC5	1.51333333333333
IL3	0.524
DRAM	0.8903
PTCH1	-1.859875
TP53BP1	-0.14375
SLC17A7	-0.085
COL25A1	-0.7166
AMACR	-0.132833333333333
RHCG	-0.95975
VPS13A	-0.702166666666667
FAM55D	0.637
PRPF38B	-0.188916666666667
OSBPL6	-1.6325
PFDN5	0.8657
CMTM6	1.37675
KCNK12	-1.82525
RP2	-0.3345
C16orf52	-1.416
PICK1	-0.6545
IFNE1	-0.689
SEMA4B	1.24575
TYRO3	-2.199
OR12D2	-0.0285
CSNK1A1	0.5033
FANCF	1.7115
LONP2	1.121125
TBL1Y	0.50025
LDOC1L	-0.833375
CCNC	-0.998
C3orf60	-0.18475
CHKA	-0.65325
UBAP1	-1.01475
MAP3K1	-0.5035
ANKRD9	-0.7065
FAM92A1	-0.956333333333333
GAB2	0.70225
AZU1	-0.1705
DIS3	-0.382
C21orf109	-0.93475
IQCB1	0.12025
SPATS2	-0.438
EFCAB3	-0.0395
PRB3	0.124625
FUZ	0.158833333333333
ZNF813	-0.964625
BMPER	-1.96833333333333
HEG1	-0.936625
ALS2CR11	-1.5275
SURF2	-0.5175
PSMC1	0.00958333333333333
OR2D2	0.0235
SLC7A8	2.66633333333333
C4orf40	0.182
SPATA7	-0.387
MAZ	-1.00208333333333
PIN4	0.2035
PDE1A	-1.398625
TAF6L	-0.062
OR2T34	0.505
KIAA0284	0.2715
ACADS	-0.137545454545454
MKRN2	-1.0415
C18orf56	-2.49875
MS4A6E	0.0696666666666667
GALNT4	-0.047
C22orf31	0.012
FLJ36070	0.2335
PSME4	-0.632
TFG	0.3123
EPHX2	0.67875
ANXA5	-0.415
KRTAP1-1	-0.2566
BATF	1.90725
KARS	-2.11125
MSTP9	-0.937
GPR26	0.2695
CCDC72	-0.04975
TEF	0.545166666666667
FOXK1	-0.5416
PRLHR	-0.136
EMX1	1.4265
C11orf30	-0.372625
ICK	0.464375
THSD7B	-0.75
C21orf100	-0.711
DUOX1	2.5605
EFCAB4B	-0.36575
UBE2G2	-0.667666666666667
C3orf54	-0.172
PARP1	-0.0145
FAM60A	-1.34175
C6orf146	0.072
OR9K2	-0.4605
DDX55	-0.3635
RPS15	-0.27575
ZNF618	1.2755625
DKFZp686D0972	-0.81225
SSPO	-0.645
SHFM3P1	0.820166666666667
CPA6	-0.33075
JAG2	0.86325
DEFA3	0.48775
PPBPL2	0.4215
CD34	3.561875
SLCO4A1	-3.057125
AFG3L1	-1.38783333333333
SHD	-0.2955
RP13-122B23.3	-0.8605
PRKCSH	-1.66616666666667
DPH5	0.119666666666667
HLA-F	2.585125
TBC1D4	-1.278
RIG	0.275666666666667
GLUD1	-0.988333333333333
HNRPCL1	0.281125
HBXIP	0.00375
RNF207	-0.194
APIP	0.20325
PLA2G3	-2.52016666666667
CCDC84	-1.242
MYLIP	0.449923076923077
PHIP	-0.017
AARS2	-0.475333333333333
DHX32	0.33825
SCAPER	1.24233333333333
MEN1	-0.04625
NIP7	-1.3945
FLJ25404	0.5715
FASTKD3	-0.023
TMEM158	-2.64566666666667
RARA	1.997
BDH1	0.8855
ANKRD16	1.26175
CARM1	0.6105
SS18	0.340333333333333
IKZF2	0.438583333333333
MYD88	0.018375
PML	0.87775
TAF1A	-1.142
CBFB	-1.4175
HIST1H3H	0.339
C7orf29	-0.4805
COMMD4	0.7665
DPP3	-0.43625
DAB2	0.485375
LOC388882	0.161
YPEL4	-0.9715
AGBL3	1.26825
LRP6	-0.0485
SERPINH1	-0.809333333333333
TLE1	-1.4605
CD244	0.518333333333333
ZDHHC15	-0.369
MGLL	-0.3867
PLDN	-0.370416666666667
LOC654346	1.7295
FAP	2.5165
GPR37	-0.508666666666667
SCARA5	-1.18366666666667
EBF4	2.62190909090909
LSM6	-0.24975
MLLT1	-0.1395625
SLC5A12	0.5525
A2BP1	-1.645
COPS5	0.549833333333333
TPM4	-0.994
TNFSF4	2.27683333333333
ACADSB	2.34627777777778
HERPUD1	1.07775
BCL2L11	-0.566055555555555
CEP78	-1.150125
CDCA3	-0.79125
WBSCR19	0.3077
MYO1A	-1.6085
PPEF1	3.05716666666667
LOC440348	-0.83375
CPEB2	0.02175
BPTF	0.55775
RPL21	0.00425000000000001
GSX2	0.215
ADPRH	0.550666666666667
C17orf68	-0.0706666666666667
KCNS1	-1.01283333333333
MLLT6	0.5375
PIWIL4	0.102
RNF26	-1.1765
RAP1B	0.237625
ADAMTS1	-3.855
ZNF571	0.40375
P2RY6	0.44325
TRIM21	1.243
CADM3	-0.278
NLRC5	1.61383333333333
ADRA2B	0.0421666666666667
LOC90835	-0.186875
PCF11	-0.69325
LOC400451	2.81125
GLTSCR1	0.8396
C17orf88	-0.0743333333333334
CDH16	-1.5555
FGF7	0.811
PCSK4	0.871166666666667
NPC1L1	-1.368
TAT	0.105625
TBCA	1.203
MGC33407	0.09125
GPR115	-1.423375
CYGB	-0.712
FNBP4	-0.673833333333333
C12orf43	-0.305
CBL	-0.9282
CLECL1	1.8505
PPAPDC1A	0.854
WDR25	-0.0216666666666667
SGCA	0.2095
C22orf29	0.563
YIPF1	0.767
GALK2	-0.9565
RAB3B	-2.31983333333333
LOC440087	3.58375
UCP1	-0.1685
REEP5	2.00575
FADD	0.0729
FOXA1	2.8365
CACNA1A	0.334166666666667
ABI1	0.00333333333333333
GRIN2D	1.528
SLC1A4	-0.5615
LOC401127	-0.667
HINT2	0.22625
PLD4	-0.410166666666667
ZNF286A	-0.829
ENY2	0.7395
IL1F6	-0.475
PXDNL	1.69975
C20orf79	-0.12425
TNFSF13B	4.3565
DENND3	1.797
JARID1D	-3.46975
HIST1H2AK	1.687375
LOC93349	0.0355
SSH1	-0.3135
ENSA	-0.886
LOC219854	-0.0216666666666667
CKAP2	-1.5703
