Hybridization REF	TCGA-A8-A08H-01A-21R-A00Z-07
TMEM162	0.460333333333333
PKP2	-1.523
HRASLS	-0.247888888888889
MMP1	0.85675
SFXN3	0.4083
FSD1	-1.877
ST6GALNAC3	0.120166666666667
CA12	1.6729
NCOA6	0.0675
C19orf58	-0.3558
PPP4R1	-0.694833333333333
MAN1A2	0.488833333333333
IKBKAP	-1.23375
UPF1	-0.363333333333333
KIAA1219	-0.64425
WNT16	0.119833333333333
SNW1	-0.1225
IL18RAP	3.709
RPP30	0.46
CDC40	0.284071428571429
SETD3	-0.129
SLAMF6	0.526
ELK4	-0.847
TRIM47	0.241333333333333
ACOX3	1.62775
TRIM6	0.8045
KIAA0372	-0.119
TP53AP1	0.73825
SMURF2	-0.82425
ADAD1	0.112
EBP	-1.1916
KRTAP13-2	0.0905
FLJ36874	-1.56433333333333
TOR1A	0.0406666666666667
P2RY4	1.734
GPBP1	0.02675
TRPV1	-0.22375
ADAMTS12	1.08666666666667
PES1	-1.1029
ATG4A	0.936666666666667
MAGEA10	-3.90075
WFS1	0.82825
CC2D1B	-0.513666666666667
PABPN1	-0.0907499999999999
SLC25A30	-0.17425
SLCO1C1	0.667666666666667
SLC22A5	-0.27175
KIF23	-2.11933333333333
SYN2	0.2035
ASPN	6.862
CENTG2	-0.10025
QSOX2	-1.5561
FLJ10815	0.351666666666667
STK24	-0.5643125
SPEG	-0.263
STK10	1.02633333333333
DACT2	-1.042
AAAS	-1.46075
SSX3	-1.045125
ABCD3	-0.4635
C4orf12	0.727375
PARVG	2.62366666666667
FIG4	0.4735
C9orf46	0.611
TMCO6	-0.5645
IGHMBP2	-1.21925
DUS2L	-0.178333333333333
FAM3C	0.045
TMEM16D	-1.695125
DCTN4	0.266
KCNH3	1.1635
EIF2AK2	0.645
AP1S3	-0.446375
CST4	-0.2155
PAM	0.2783125
NUTF2	-0.5405
CITED2	-0.3851
SLC39A4	-1.304
C2orf52	-1.031
GRM3	-0.08075
C12orf49	0.883125
CCDC49	-0.2236
GRAMD1B	-0.87625
FNDC4	2.1625
SIAH2	-0.910375
GDPD4	0.4915
C21orf87	0.527875
ATP5A1	-0.354666666666667
C16orf63	0.01025
LOC388135	-0.433833333333333
ATP5J2	-0.544625
MMP3	2.8015
EMID2	0.000499999999999987
CRHR1	0.435
WDR70	-0.009
C13orf31	3.04225
ZFAND1	0.207
CCL18	4.76333333333333
C3orf49	-0.017
RINT1	0.4565
KIAA0408	-1.131
F13A1	6.1412
SLC10A1	0.0843333333333333
OGN	4.45725
GIPC2	1.04583333333333
XPO6	-0.153166666666667
LCE1A	1.1795
FMR1	0.3832
LOC374920	0.24825
DUSP3	0.78025
ANKMY1	-0.386
C7orf50	-0.391
BBS9	0.4609
UNC119B	-0.100125
C9orf72	1.631875
MGC35440	-0.355
ENTPD6	-0.232
PPP1R2P9	0.1825
ERCC4	-0.0085
FAHD2B	-0.649
HMHA1	1.2815
HACL1	-0.018
RAD23A	-0.774
FAM83B	-1.30375
PPP5C	-1.80016666666667
RNASEH2C	0.356375
C9orf153	-0.48475
SCAMP4	-0.347875
GHITM	0.7538
NDUFB7	-0.219
ADCYAP1	2.04866666666667
SP110	2.01566666666667
MAP3K7IP2	0.98225
DHH	0.939
AGRN	-1.36985714285714
WDR33	0.190333333333333
CEP290	0.720333333333333
PRPS1L1	-1.70716666666667
KLRA1	-1.04
GPR97	0.429
CHD7	-1.03825
TLR10	1.22325
SLC30A8	-1.3965
HIC1	1.69433333333333
IAPP	0.995
RXFP4	0.7515
GP1BB	1.5725
SHQ1	-0.6605
NKX2-3	0.556666666666667
API5	-0.96525
FTHP1	1.2825
MOV10L1	0.368666666666667
TRIM6-TRIM34	2.42383333333333
ADHFE1	0.02475
FAM117A	-0.1285
DDI1	0.2335
CDON	-0.186333333333333
TRIM73	-0.7435
IGKC	4.6355
MMP14	0.320583333333333
DYNC1LI1	-0.395625
C11orf66	-0.3775
TRBV3-1	-0.9955
FASTKD5	0.228
BIVM	-1.313
LHX4	-0.352
CXCL2	1.2131
RAB2B	-0.683333333333333
IZUMO1	-0.31825
MAP3K15	-1.826375
FAM19A2	0.340833333333333
ZC3H8	-0.555666666666667
ZMAT1	1.19
SPINK5L3	-1.25625
SLC10A6	1.352
APPL2	-0.79875
CARD10	0.0591666666666667
LOC402176	0.687375
EEF1D	0.6335
RAB6A	-0.3855
C12orf5	0.5555
PAPOLG	0.322
MSRB2	1.0355
BCR	0.372944444444445
PUS3	0.24775
TIAM2	0.36275
ZNF317	-0.471
CHD2	0.0626428571428571
FZD5	-0.481909090909091
NUDT8	-1.584
ZNF763	-0.9395
PRC1	-1.38588888888889
ABCB9	-0.6315
SPATA3	0.1035
TRAK2	0.3705
STAB1	4.054625
LRRTM2	0.335666666666667
psiTPTE22	1.62275
DBI	0.74175
SERPINA11	-2.78825
NAT5	0.666
C20orf58	-2.17225
RPS6KA4	0.581166666666667
FLJ90650	1.667
TGFBRAP1	-0.49025
CHRDL2	0.80125
FAHD2A	-0.653
CNTN1	0.07375
BBS4	0.0439
TMEM181	-0.27525
MINPP1	-0.88225
MPHOSPH6	0.227083333333333
HOXC10	-1.0142
ITPKB	-0.69375
CLPTM1L	-0.430875
MEOX2	2.08966666666667
ATP6V0C	0.413375
PRPF8	-0.819166666666667
TMC5	2.05675
FKBP3	-0.09625
PLEKHB2	0.504875
OR4D6	0.374
ZNF544	-1.3015
D2HGDH	0.020875
RPL18A	0.1064
HEL308	0.417375
MPP6	-1.881
TCERG1	-1.64875
KRT16	-0.0705
KLF17	-0.09975
KLF5	-0.751
CDR1	3.016125
VCX3A	-3.768
FBLN2	2.832375
C14orf104	-0.93575
HBE1	-4.2416
OR4S2	1.5935
C1orf108	-0.7705
ROBO4	4.78666666666667
CPEB4	0.5305
C11orf80	-2.15016666666667
BCKDHA	0.359333333333333
MYOC	1.4125
GIF	-0.1055
CKMT1A	0.5045
RPL3	0.7295
THBS1	2.7305
APOO	-0.58775
ARMCX1	1.701
HSZFP36	-0.49475
SNAPC5	0.02
EIF4ENIF1	0.2395
ZNF433	-1.75975
TNFRSF21	-0.12325
TMPRSS7	0.835
SPATA18	1.2072
HPDL	-1.227
MKL2	1.5381
TBX3	-0.377076923076923
C21orf93	0.699833333333333
DAXX	-0.4715
ELMO1	0.496
RGS13	1.9855
TAF11	-0.87875
UNC13A	-2.545875
LOC653314	0.2253
ORC3L	0.0535
IMAA	-2.419
TARBP2	-0.1015
CABIN1	-0.5678
TRIOBP	0.4463125
HIST1H2AC	-0.478
RGS22	-0.516
NCOA1	1.07216666666667
IL25	0.549
SNCG	1.2265
GPR6	0.698
AMDHD1	0.693
CHEK2	-0.588125
C6orf142	0.11425
DRD4	0.72475
C14orf68	-0.74925
GDF11	-0.811
SEMG2	1.0615
CD247	0.1445
CDAN1	-0.70725
RBMX2	0.4525
TGS1	-0.98
OIT3	0.852
SYF2	1.055
MCM4	-2.512875
PKHD1L1	-0.0135714285714286
CEP192	-0.4555
IFT88	0.099
RPL9	0.910142857142857
RAB32	1.975
DDX43	-2.96975
P2RX2	0.760333333333333
OR5D18	0.3395
UBE1	-1.34183333333333
SLC24A1	1.084
ARHGAP5	-0.7225
CETP	1.0675
KIAA1731	-0.8735
SLC9A4	0.222
PTPN6	1.3255
BAHD1	0.37875
GRIK3	-0.442
CACNB2	-0.5713
PDE10A	0.5365
DGCR14	-0.22775
PCDHB9	-1.06116666666667
RHOQ	1.03816666666667
MAP3K4	-0.2205
KTI12	0.194166666666667
RPL23AP13	-0.2115
GNG11	1.942
CLCN3	0.815666666666667
GPAM	0.188125
VSTM2A	1.043
SLAMF7	3.21366666666667
INTS2	-0.91
PPP2CA	-0.362
LRP12	0.350866666666667
SEC14L2	0.919111111111111
DKFZP586H2123	4.048
MC3R	0.184
CIRH1A	-1.38566666666667
HIST1H2AB	0.0236666666666667
POLH	-0.826875
MGC16703	-1.55783333333333
SNAPC2	0.079
FILIP1L	1.3565
RASGRP4	1.515
LRRC1	-0.187
GAS1	1.12725
PRAC	-0.70775
DGKA	-0.917
NT5C3	-0.37025
PEG3	-3.08025
NADK	-0.8425
PRR17	-0.0565
LOC374569	-0.427
SGSH	0.4655
NLRP8	0.676
GALT	0.1844
MCF2	-0.3605
ZNF263	-0.26925
TACSTD1	-1.44916666666667
TYR	-5.7695
ATP6AP2	0.78125
RNUXA	0.3465
ABHD10	0.0883
GDPD2	-0.66
SLC35C1	0.25525
UBE2A	0.036375
HERC5	0.242666666666667
FAM112B	-2.9035
FBXL16	0.57125
DKFZP434A0131	-0.454
ELA3A	-2.1715
RBM41	-0.488375
HAO2	0.19075
RNH1	0.89725
SHANK2	0.485
OSBP2	-2.107125
DAK	-1.18283333333333
C3orf58	0.171333333333333
TCL1B	-1.4135
KBTBD2	-0.561125
SUGT1L1	-0.677
UBE2E2	0.492166666666667
MYL9	2.694375
CDC23	-0.628
PBXIP1	0.84
CXorf40B	0.085
NBL1	0.61075
RTBDN	0.38
RAB11FIP5	0.57625
TTTY13	-0.521
SCOTIN	0.0763333333333334
SOHLH1	-0.3125
CDKN1A	-0.152071428571429
NCK1	0.786
ZNF550	0.2125
SAPS3	-0.05925
SPIN3	-0.644833333333333
MAGEE2	0.47925
MIS12	-0.3205
OR8H2	0.121
KIAA0774	-1.894
UNC5D	-1.9185
CUL7	-1.05166666666667
LIPC	-1.6945
DIO1	1.55125
C20orf11	-0.2921
CTRL	-0.41425
HS3ST2	6.19875
PAK4	-0.514
CCRL1	4.55875
RNF10	-0.294125
ZNF567	-0.25475
ZNF660	0.0165
TCEAL3	0.26175
MAGOH	0.5355
CENPB	-0.192833333333333
C19orf7	0.914375
LOC388965	0.64225
ZCCHC13	0.803
JMJD1A	-1.2516
HIST1H4H	-0.628
TBRG1	-0.1645
GPC3	-3.787
TAF1C	-0.52075
EBNA1BP2	-0.4145
CIAPIN1	-0.74125
PDGFRA	1.91305555555556
CSTB	0.916
CENPI	-1.457
GTF2E2	0.0221666666666667
RPP21	-0.438
CCNF	-1.4645
KCNQ3	0.387
FAM79A	0.65925
SLC22A12	1.119
NOVA1	0.788666666666667
FZD3	-0.9406
AKAP8	-0.30825
SOCS5	0.2805
CFDP1	-0.80325
DLG5	-0.16325
PGM5	0.677416666666667
C1orf144	0.284083333333333
HDAC10	-0.9085
RND2	-0.98925
C20orf199	-0.368
RNMT	-0.13975
SLURP1	0.51975
ASTN1	0.383375
SH3BGR	0.7035
MYCL1	-0.6525
ZHX1	0.928
CENPK	-1.17875
FOSB	0.5703
LOC643406	0.518
C2orf59	-0.302875
TMEM135	-0.26025
SLC27A2	-2.5305
KRT33A	0.1455
OVOL1	0.00737499999999997
PAMCI	0.251833333333333
S100A7	-0.6205
ZNF789	-0.926
HARS2	0.28975
RPL23A	-0.447333333333333
TCF23	0.33675
UPF3B	-0.928625
C17orf78	-1.027
HLA-DOB	1.7675
C14orf142	0.797166666666667
TEKT5	-0.453
DMWD	-0.261
POLD1	-1.46316666666667
GSCL	-0.213
CALD1	0.9249
SCRT1	0.818833333333333
AIG1	0.506
UNC84B	-0.114
ZNF404	-0.08075
TMED6	-2.11325
KIAA1462	1.0645
LRRC27	1.00633333333333
PYGO1	-0.7775
PIGU	-0.896166666666667
ALAS2	-3.16566666666667
WRNIP1	-0.281
CNNM3	-0.688
ZNF2	-0.18625
ST3GAL5	0.084
MRPL23	-0.01575
TSSK6	-0.6795
PSMA6	0.1735
C16orf70	-0.503
KIAA1602	0.245
ALMS1	-0.208333333333333
DCN	4.415
TMEM132D	-0.816666666666667
SUCLG2	-0.022
ABHD14A	0.05125
DEXI	0.409
AMPD2	-0.229833333333333
IFNAR2	0.889333333333333
CYB5A	1.2633
TLOC1	0.3872
NXF5	-1.34433333333333
NRBF2	0.824125
KCTD3	-0.064
ITGAE	0.388166666666667
SLC30A3	-1.55483333333333
ZRF1	-0.5575
IFRD2	-0.49
XAB1	0.18375
PYCR2	-1.06766666666667
SERPINB3	-1.868
TMLHE	0.3136
GEFT	-1.30675
ABCA5	-0.07325
EMR4	0.1308
TSFM	0.0975
HIST3H2BB	-1.5015
ARHGEF19	0.1425
TSPAN17	0.49
ABCC8	1.38925
MAP1S	-0.0345
C22orf36	-0.8365
BNC2	0.977928571428571
HIST1H4A	-0.807
NDUFS3	0.320833333333333
WDR3	-0.572333333333333
XKR4	-1.08525
TTC33	-0.202142857142857
STMN2	4.34925
CPN2	-1.2845
HSPC105	-0.22525
PCOLCE2	0.593
C3orf55	3.0005
KLHDC9	0.828166666666667
TBC1D23	0.324875
ATXN2L	-1.379
MAP2K3	0.0739166666666667
SCAP	-0.30325
ZNF486	-0.597333333333333
C20orf96	-0.628
NARS	-0.6335
ADAMTSL1	1.38657142857143
PRCC	-0.635
CCDC126	0.745166666666667
ZNF675	-2.03525
CALCOCO1	-0.312
ANKRD43	-0.73275
CWF19L2	0.146666666666667
ZBTB32	1.21466666666667
BRAF	-0.46225
ODF4	0.52225
MGC14376	1.795
HORMAD1	-2.22766666666667
AAK1	0.171583333333333
PEBP1	0.30525
TNFSF5IP1	0.365833333333333
DKFZp564N2472	0.49
RMND1	0.519125
IGKV1-5	5.04525
COL1A2	3.60891666666667
SERPINA5	-2.841625
AANAT	1.445
C19orf21	-1.36283333333333
GEMIN5	-0.96325
UBR4	-0.6435
LTBP3	-0.239333333333333
AMHR2	-2.17633333333333
PROCR	1.59275
MYBBP1A	-0.9905
C20orf39	0.124833333333333
ZNF697	0.229375
PASK	-0.7757
ZNF776	-0.0933333333333333
RFXDC2	-0.0175
KIAA0467	-0.22025
C10orf96	-1.16933333333333
ZNF503	0.04125
GULP1	0.161333333333333
KCNE4	1.47233333333333
DKFZp434K191	-0.049
LOC196913	-0.5865
BHLHB4	1.788
CH25H	3.83275
LOC81691	-1.47216666666667
ALPL	1.47785714285714
COL12A1	1.38075
FOLR3	-0.468
GPR123	0.2665
TRIM62	-0.0902142857142857
ABLIM1	0.7555
MAST3	-0.42575
RHBDD1	0.00483333333333332
LOC338809	-0.4135
RYBP	0.54775
TTC26	-0.2535
ZNF22	0.607333333333333
ISCA2	0.02175
RDM1	-2.29575
PIGM	-0.3195
GNB3	-1.3265
ACTR2	1.2698
HMGB1	0.54065
EDG1	4.613
SOAT2	-2.057
OR10AD1	-0.341
RAP1GDS1	1.05258333333333
LCE1F	0.6615
ESM1	-1.966
RCN3	3.17275
CREBL1	-0.5965
DBNL	0.0173333333333333
PTGER3	1.863
USP30	0.0625
BCL2L12	-0.567166666666667
KIF26B	2.7155
ZNF416	0.226
ZNF225	-0.369
C17orf70	-0.02925
ZNF554	-0.24375
RAE1	-1.12466666666667
TNIK	-0.0471666666666667
ACTN3	0.7575
MGC45922	0.96
CCNA1	0.840166666666667
RYK	0.175166666666667
IL26	0.3575
LRP3	0.691833333333333
QARS	-0.309
SOX7	1.44821428571429
BID	0.722375
OR2S2	0.315
CXCL14	3.66525
C11orf47	-0.6655
MGC29891	0.2665
HSPB8	1.5338
PRDM14	-1.405
NUFIP2	0.62425
MNAT1	-0.867
ZDHHC2	0.627083333333333
MBNL2	0.80075
ADD3	0.571
CSNK2A1P	-1.282
KLK6	1.05233333333333
TMEM111	0.6424
KIAA1279	-0.1875
NUBP2	-0.2745
RAB42	2.278
ID3	0.375
TM9SF1	-0.93825
MDP-1	-0.02825
POU4F2	0.275
IQCK	0.43425
C16orf14	-0.738
CAPN3	-1.160375
FAM43B	-0.165375
RECQL	-0.103
AP1G1	-0.291071428571429
CTNNBL1	-0.119666666666667
ECHDC1	0.825
SMARCC1	-0.7443
FOXQ1	-1.78975
GNAI3	-0.0188333333333333
POLG2	-2.024
CD4	1.97375
ITLN1	2.432
EBI2	5.624
IRF1	0.36125
PTPRE	3.2871
PTK2B	-0.83275
NXNL2	-1.0115
SOX4	-0.325
TSPAN3	0.0438333333333333
SH2D1A	-1.537
C8orf58	-0.0663333333333333
USP20	-0.99475
DUSP22	-0.105416666666667
CALB1	-1.83516666666667
L3MBTL2	0.4065
MCRS1	-1.081
TMEM118	-1.62333333333333
C18orf8	0.442833333333333
FLJ10241	-0.4685
GJA12	1.7385
PKD1	-0.704166666666667
ZFP3	0.226
JAM3	0.234
LAPTM4A	1.5024
DIRC2	0.49275
KIAA2022	-0.478833333333333
MYOM1	0.621
TRPM8	-1.75016666666667
MOP-1	1.482
PHKG2	-0.548
ZNF650	-0.140125
KIAA1522	-0.607375
PSG8	-1.94433333333333
DDX19B	0.181
MOBKL1B	0.669
DIAPH2	0.545166666666667
PTPN12	0.6505
CLN8	0.4432
CRYZL1	0.4555
CRY2	0.1485
FCGR2B	5.01916666666667
PNPLA4	1.0945
ZNF454	0.585
DKFZp434B1231	0.45975
CLDN11	0.988
RFWD2	0.144
CIB2	0.0358333333333333
MXRA8	2.954875
HRK	0.044375
MAML2	0.18225
C4orf31	0.04225
C6orf192	1.92275
COG6	1.3815
FAM5B	3.89975
NFATC1	1.0381
SEPT10	0.83425
SCYL1	0.1142
RPP40	-0.294
SCOC	0.2042
KIAA1450	1.0345
CTDSPL2	0.42225
TBX5	1.84916666666667
NAPG	0.452875
RHD	-4.15225
C14orf45	1.72933333333333
ZBTB22	0.029
PLCG1	-1.481
ANKRD10	-0.759
AQP7P2	2.023
TAGLN2	-0.206666666666667
HTR2C	-0.937
SLC16A7	0.9375
C17orf83	-0.35725
TSGA14	-0.363916666666667
MDH1	0.22475
PPP3R2	1.01216666666667
DCBLD2	-0.196714285714286
RBM33	-0.04975
DPH3	0.0955
SYT10	-1.407
FMO4	1.807625
THYN1	-0.483
DRD5	-1.0155
OTOR	0.371625
PGRMC2	0.5863
KATNAL1	0.845625
PAQR6	-2.802
UBE2I	-0.82525
C14orf28	0.95675
C8orf70	1.27125
FLYWCH1	-0.827875
ANGPTL3	-0.53675
GLRX2	0.338666666666667
ATP11A	-0.283357142857143
ARL5B	-0.34225
MUC16	-2.71325
SLC25A5	0.00835714285714281
ACRC	-0.565
MYO1C	-0.594625
FAM89B	1.08533333333333
FAS	1.987
KIFAP3	1.37525
GLRA2	0.5965
BTN3A2	0.6819
CNKSR3	-0.493
CSTF3	-0.0268333333333333
ARPM1	1.58525
KIAA1530	-0.8315
C9orf150	1.42833333333333
PRKCI	-0.436
tcag7.1015	-1.07625
SOD3	0.40425
ZNF574	-0.46825
CYP21A2	0.38525
RPL12	0.31675
COMMD2	-0.061
WIZ	-0.134
LOC344405	-0.75725
ALDH4A1	-1.22370588235294
CRYAB	3.63425
COPA	0.2681
PCDHGA7	0.530166666666667
KIF11	-1.32108333333333
RASD2	-0.269125
SLC26A3	-0.1005
ZNF175	-0.5945
JAKMIP2	0.837
C8orf4	1.3805
PTHLH	0.5465
SLC40A1	2.99325
OR7D4	0.5815
PCDHB17	0.217
CD36	6.62371428571429
C6orf203	1.3975
PRKG2	0.2615
LOC400566	0.74325
ANAPC13	0.5945
SLCO3A1	0.1305
ZNF692	-2.34
FANCL	-0.5315
SH3GLB1	1.8005
C12orf61	0.576
KBTBD6	-1.229
SUPT5H	-0.261
XRCC6	-0.3478
HUS1B	-0.7751
FAM133B	0.0232142857142857
LOC728276	0.378
KCTD18	0.664
SOS2	1.17666666666667
CCDC99	-1.35525
C1QTNF5	4.004
NNAT	1.6955
USP16	0.65025
LARS	-0.712125
ZBTB2	0.102875
ABO	0.500666666666667
TRAF3	0.07125
GALNT5	-0.8045
NAP5	-0.445
ALG14	1.05516666666667
KIAA0515	-0.0825769230769231
WDR75	-0.526833333333333
TEX261	-0.354333333333333
LY86	3.05525
LOC389072	-0.794
FLJ13611	0.335
MRGPRX2	0.2995
SNRPA	-1.646
OR2G2	0.363
GPRASP2	1.51175
C7orf42	0.047
C9orf163	-0.012
CYP11B2	-0.0265
FCRL3	1.25833333333333
PRDX1	0.31275
FGB	-4.91933333333333
COX17	0.150166666666667
C16orf33	-0.425
PIWIL1	-0.442333333333333
FOLR1	-2.24583333333333
KIAA0082	-1.1975
FREQ	-0.564333333333333
TMCC2	-1.01366666666667
TCF12	-0.00224999999999999
ZNF721	0.1005
FAM130A2	0.14125
POU4F1	-2.2045
SNRPF	-0.486375
SGIP1	0.931
ZNF641	0.958
EMG1	-0.57125
PRRG4	-0.167
HIRA	-2.74925
MYNN	0.226
AEBP2	0.0725833333333333
TBXA2R	1.44616666666667
ISL2	-1.40616666666667
PCDHB11	-0.471
RNF144A	0.07775
MARCH5	0.18025
DULLARD	-0.556833333333333
DCLRE1B	-0.0931666666666667
ITGA8	-0.14775
TP73	-0.12125
PRKCD	0.782
NDUFB4	-0.25275
ATP13A4	-0.078625
ANTXR2	-0.14
COL4A3	-0.724
MYO10	-1.6318
SLC6A18	0.57075
PEX1	-0.7945
TMEM74	-1.2745
RBM19	0.79025
TAPBP	0.49535
RUNX1	0.868875
MID1	-0.670666666666667
GPR64	-0.254666666666667
RASEF	0.15075
GABRG1	0.256714285714286
MYO16	-1.75125
DBF4	-1.77683333333333
TSHZ2	3.2465
RIPK2	0.610875
PPTC7	0.6155
KIF4B	-1.0505
LRRC31	-0.0465
ZNF540	0.19375
EFNB3	-0.1165
LOH12CR1	0.34075
STON2	-0.0665
GLP1R	0.66925
CSTF2T	-0.349
IREB2	-1.219875
GRSF1	0.04625
PDCD7	-0.622333333333333
LRRC43	0.105
CNR1	1.78083333333333
IL1F7	0.2985
C12orf64	-0.5815
FAM69B	-0.31575
NR2E1	-1.65133333333333
MS4A6A	5.2014
FTL	2.0064
C7orf36	0.41175
PCLO	-0.6939
DYRK2	1.45733333333333
ARIH2	0.1155
SAMD7	0.241
SCNN1D	-0.9015
SLC32A1	-0.3855
C22orf25	-0.164333333333333
MRPS18A	0.000899999999999956
GPR112	0.3535
EARS2	-0.88225
ERN2	0.6295
ATPBD3	-0.227
PRH2	-0.667
CDKN2D	-0.195333333333333
PGLYRP2	-0.26875
TRIM40	0.71775
SEC14L3	0.697333333333333
SLC22A1	0.26575
BTN2A3	0.3125
RASA4	1.06225
CCNL2	-0.925916666666667
MYBPC3	1.33
GJA4	4.60225
CDC42SE1	0.431
TRPV2	1.23825
MYPN	-3.4509
SIM1	1.1445
CDADC1	0.53875
ZFHX4	2.0205
NIBP	-0.161166666666667
ADAMTS19	-3.01025
ABTB2	-1.26825
TSPYL2	-1.27925
EIF2S3	-0.7118
SOX30	-0.215
AP2A1	-1.1335
DKFZP564O0523	-0.3645
LOC285398	0.23
CDH18	-4.90375
CHL1	1.770125
GATS	-0.5961
TBC1D2B	0.694666666666667
OR1J1	-0.27
GSN	1.14716666666667
DPCR1	0.573125
GARNL4	-1.0675
SMARCA5	-0.51575
PLEKHG3	-0.310333333333333
ZBTB45	0.6695
FRMD6	-0.085
PLS1	-0.910833333333333
DGKZ	-0.293166666666667
EFNA1	-0.1148
WDR85	-1.056
ANK2	0.28425
PAGE4	-0.6835
SENP6	0.477166666666667
AKR7A2	-0.156
FKBP10	-1.6275
VEGFC	-0.137
LARP1	-1.0345625
SRBD1	0.1255
ITGB6	2.061
SLC1A2	-1.3235
INVS	-0.108166666666667
MPO	3.65
MOBKL3	0.2712
CUTL2	0.050375
KLK2	-0.0600833333333333
VIM	1.17775
REG1B	0.0105
PCDHGC4	-0.00524999999999999
C3orf34	-0.12
SUMO3	-0.222166666666667
CST9L	4.0605
MLL4	-1.487
SPR	0.0283333333333333
SAMD9L	1.93075
ABCE1	-0.4435
SUPT3H	-0.34
ACTBL1	-1.342
ADAMTS4	1.72983333333333
SLIT3	3.65375
RHEBL1	-0.73575
NPM2	-0.99275
MAN1C1	1.816125
KIAA1856	0.927916666666667
HSPA6	2.88075
LOC388152	-1.42
C10orf140	0.74825
ZDHHC12	-0.2385
LIN7A	0.4664
PHC2	0.203833333333333
SPHK1	1.2915
TRIM26	-0.4178125
FAM83E	0.14
C18orf24	-1.2365
ZNF578	-0.385
ORAI1	-0.415
RUVBL1	-0.84625
C7orf20	-0.725333333333333
APAF1	-1.0645
SLC36A4	0.132
MYH11	4.90316666666667
NEK1	-0.2229
MPP2	-1.423625
C12orf24	-1.3615
TNK2	0.4298125
ZNF289	-1.56925
MATN3	-0.537142857142857
IFNGR2	1.40733333333333
ITPR1	0.54325
EBF3	4.2648
TBC1D20	0.1012
OR10P1	0.72325
DDAH2	1.06725
SHPRH	-0.315125
STX7	1.074
LOC554248	-2.08275
BCAR1	0.15475
ATXN3	0.604166666666667
TRIM27	-0.565
CDC42EP2	1.2065
CHP	0.526714285714286
SOX17	3.095625
ZNF259	-0.575666666666667
CHCHD1	0.48125
ZDHHC19	0.1315
GBP2	2.987
GARNL3	-0.1075
MRC2	0.28275
C1orf52	-0.29375
AOF2	-1.54483333333333
LRPPRC	-0.7112
ACVR1C	2.035
TM4SF18	4.236
TMEM169	-0.616666666666667
PPP1R16A	-0.87175
EBF1	1.78766666666667
RRS1	-0.0815
SNX2	0.95575
OR2T2	0.839
RBX1	0.3165
ANKRD54	0.0123333333333333
TSNAX	0.0601666666666667
TMEM83	-1.77825
ZBTB7A	0.114
ATM	-1.47508333333333
LOC338328	3.42233333333333
TIE1	2.40566666666667
HIST1H3G	-0.152666666666667
PASD1	-3.78216666666667
TINAG	0.533
PCDHAC2	0.3155
LRRC15	-0.25625
WBSCR17	-1.725
TFF2	0.06
PARP2	-0.578
NDFIP2	-0.416125
PCDHGB2	-0.8095
WDR60	-0.9805
MAP7D2	-1.55466666666667
USP45	-0.453
GSDML	-1.188
TNS1	1.1849
PLCD4	0.28525
IQCD	0.476666666666667
SMPX	-1.37525
CD9	0.312
SRGN	3.68825
CASP7	1.2635
INOC1	0.3865
DKFZp451M2119	-0.346375
VMAC	0.8695
USP53	1.3867
CAMK1G	0.121125
TMEM106A	1.56766666666667
CDC20	-1.6523
ACSL5	1.08516666666667
CBWD5	-1.252
C1orf87	-0.572333333333333
KIAA1274	1.73
PRUNE2	-1.09
LYPLA2	-0.9525
DOK6	-1.8275
GPR149	-0.058
FAM30A	2.6775
TMEM129	0.4875
SLC35B3	1.6035
ACPP	0.6645
LOC200261	-0.0685
SLC4A7	0.4863
CCDC40	0.12175
GART	-1.603125
THOP1	-1.03675
SCARB1	-1.482375
CACNA1F	-0.37875
TRIAP1	0.577166666666667
SYT14L	-0.169
SFRS8	-0.423333333333333
PBOV1	0.3065
GOLSYN	0.38925
GJB7	-0.967
CAMK2N1	-0.0286666666666667
GREM1	2.54033333333333
FLJ20433	0.212
QPCT	-1.429375
PRKAG2	1.28533333333333
H2AFX	-1.03175
C6orf154	0.145
PLOD3	-0.81925
ZBTB39	-1.1565
WASF3	0.274833333333333
DRG1	-0.4215
PRR4	-1.208
SPCS1	-0.316
KDELR3	1.89733333333333
SRP19	0.354
GABRA6	0.0456666666666667
MFSD1	2.31
MMEL1	-0.221
PDXDC2	-0.7007
BUB1	-2.43488888888889
RNF138	-0.815
MYLPF	-0.4795
AIF1	3.58016666666667
DYNLRB1	-0.2289
HCN3	-1.73116666666667
HIST1H2AI	-0.2445
MAP4K5	-0.0274166666666667
LASP1	0.0985
LOC130951	1.054
PLAA	0.0475
KRT6A	1.022
C6orf117	-1.5705
ARHGAP23	0.034
PTF1A	0.3115
GPHA2	-0.65425
LCE3B	0.17425
MCL1	0.071
EHBP1	-0.589
PRNP	0.2598125
ZSCAN1	0.61775
C1orf113	0.261333333333333
FOXA3	-3.30225
NEB	0.50475
ASGR1	-1.50683333333333
CTGF	0.950833333333333
RAB17	-0.998333333333333
MST101	-0.798
JARID1B	-0.6699
USP37	-0.3505
PTBP1	-1.506
PTPN7	-0.00866666666666669
CDC7	-1.70483333333333
SNX7	1.098
ZNF335	-0.59975
CPT2	0.31925
HEATR1	-0.75275
HSPC152	-0.074
C5orf40	0.6345
PSME1	-0.0498333333333333
STAG3	-1.05
TMEM154	1.84566666666667
