Hybridization REF	TCGA-A8-A07L-01A-11R-A040-07
C12orf56	-2.1595
PITRM1	-0.170214285714286
GUK1	-0.518666666666667
RASSF8	-0.431125
OR2A14	0.35875
ADM	-3.553
FGD3	2.0125
GHRHR	0.0271666666666667
RHPN2	0.918
C4orf39	1.849
VPS72	0.63325
SERF2	1.09911111111111
CD22	1.11683333333333
CD47	0.2435
PPIC	0.725166666666667
IMPDH1	0.282416666666667
ACP6	1.26583333333333
PRKACA	-0.398375
PPP1R1A	-1.605125
TRPV3	-0.311
ASXL1	-0.568625
C17orf55	1.02183333333333
FXYD1	-0.697
LMOD2	-0.2165
ANKRD33	0.327
LCE2C	-0.664375
ZNF620	0.7255
DKFZP566E164	-0.1
VSIG2	-0.0715
KIAA1128	0.66025
USO1	-0.326833333333333
NUDT4	0.506928571428571
CLDN1	-1.88078571428571
OR4Q3	0.066
FASTK	-0.152
ICOS	0.265166666666667
LDB1	0.5385
GSTA5	-1.4795
ABCC1	-1.48333333333333
FAM54A	-0.5185
PCBP2	-0.126666666666667
NUP205	-0.51675
ACTA1	-0.8765
GABBR2	-0.1315
PIP5K1B	-1.85916666666667
AGXT	-2.04733333333333
RNF181	0.5625
ATP8A2	-0.3715
AFTPH	1.326625
FGF21	0.2305
FCER1G	1.53125
SNTB1	-1.1815
SLC24A3	1.435125
TXNL4B	-0.5418
RPL10L	-0.8735
LOC389517	-0.5705
TSGA13	1.1555
SHOX2	-1.19983333333333
ITGA7	-1.0584
KCNIP2	-0.6705
KLF13	-0.0657
ZFAND2A	-0.35275
CEACAM1	-1.63328571428571
PFKFB4	-1.72633333333333
MED19	0.8385
LRRC57	0.778333333333333
RNF11	0.6195
ANKRD32	-1.82375
P117	-0.1855
OBFC2A	-1.1915
POLD3	-0.5865
RAB18	0.30275
TPH2	-0.127166666666667
PHB	0.3826
JDP2	-1.50342701251323e-17
MORF4L1	0.0247
POU2F1	0.1695
CNNM2	-0.00108333333333332
LOXHD1	0.134666666666667
ZC3H15	-0.3555
ELK3	0.469166666666667
FAM111B	-0.563
CBLC	3.51766666666667
SBNO1	0.148
ANKMY2	-1.24425
PLEKHA5	0.0315
DHX58	1.38133333333333
ARCN1	-0.282833333333333
TREML1	0.1343
KNCN	0.5135
SEC24A	-0.320875
PSCA	-1.3325
MGC24125	0.662333333333333
DNA2L	-0.8275
CIB4	-0.29675
HIGD2A	-0.1325
TBX6	-0.0896666666666667
TTLL5	-1.34033333333333
SGK3	1.49433333333333
GCN1L1	-0.02675
AMOT	-0.2622
LDOC1	1.18366666666667
NRK	0.6845
ASB9	-3.6005
NAT1	5.4304
TRAFD1	0.4905
PEAR1	0.746666666666667
FAM36A	-0.89525
OR1S2	0.471333333333333
LOC388323	-1.3055
PGS1	0.985166666666667
LEPREL1	-3.5955
TFF1	-3.93133333333333
HAP1	0.4105
EPHB2	0.44675
ACTG1	0.787333333333333
ZFP42	-1.28033333333333
HAVCR2	0.0941
NME1	-0.048
SNX26	0.329583333333333
LACTB	-0.221
ZKSCAN2	-0.01225
C5orf35	-0.01375
ANKS3	-0.58725
RBM28	-0.29425
DKFZP586P0123	-1.25325
HNRNPA1	-0.3485
BCAS3	-1.09991666666667
FLJ20184	0.177
POLA2	-0.0605
TMC7	-1.1515
HSD17B6	1.9135
ZNF658B	0.657833333333333
TTTY10	-0.004
RANBP9	-0.567333333333333
CPNE7	-0.767166666666667
EVL	1.76964705882353
LNX1	0.33525
IFNA21	0.480833333333333
CFD	0.049
PYCARD	1.11716666666667
MYBPC2	-1.6105
ENPP3	-2.9225
ACSL4	-2.15125
LOC440258	-1.734
TMEM176B	3.37
SOX2	-1.076
SCO1	-0.2445
COMT	0.74925
AOC2	-0.276
PDLIM5	0.0242142857142857
SPHK2	1.00483333333333
NXPH2	-1.2095
GPR108	0.141166666666667
RAD51L1	-0.979
TMEM54	0.554
LETMD1	-0.822777777777778
SLC6A17	0.67925
KRT75	0.433
STT3B	-0.643833333333333
CD3EAP	-0.248833333333333
TMEM63A	-0.1455
DUSP13	-1.4735
CD1C	-1.71616666666667
LASS2	1.18383333333333
AVP	0.813
PITPNM1	-1.890625
FLJ22795	-0.324
MCTP1	-2.04175
TRIM68	0.557
UCK2	0.628166666666667
ABHD1	0.07425
FAM50A	0.58475
RNASEH1	-0.365
PCP2	2.29616666666667
OR52H1	0.047
C20orf149	0.76675
RBP5	-1.25933333333333
HYAL3	-0.96425
CLPB	-0.511
SMNDC1	-0.12075
DONSON	-1.74183333333333
FLJ27523	-0.1515
BARHL2	0.357166666666667
SLC30A9	0.276333333333333
TMPRSS11B	-0.3635
E2F8	-0.6945
CCDC25	-0.79325
C14orf48	-0.2935
C20orf116	0.39975
TSPAN11	0.22
YIF1B	-0.0666666666666667
FAM12B	-0.152
OR1L6	0.2735
HPN	-0.959
NBN	1.70675
C14orf94	-0.858
OCLM	-0.359
ZSCAN18	1.4647
L3MBTL	-1.0705
TSTA3	0.332666666666667
RAC1	-0.03875
C19orf15	-0.0915
NFE2	-5.0785
KLK14	0.559
ARSF	0.273
MAST2	0.278333333333333
AMICA1	0.894333333333333
GTF2A1	-0.089625
ATP1A3	-0.431
TC2N	2.926
PNKP	0.64675
ODZ2	-3.001
MATR3	0.1315
S100P	-0.318125
KRT82	-0.0515
CA13	-0.9206
PROZ	-1.88466666666667
AASDH	-0.10375
C19orf40	0.077
DCK	-0.219307692307692
FAM5C	1.4045
SLC6A4	3.133
MID1IP1	-0.977875
TESSP5	0.217
TMOD4	-0.440833333333333
DOCK2	-1.31783333333333
TUG1	-0.32
NUP214	-0.08075
DPYSL2	-0.920954545454545
GOLM1	1.52025
MPFL	0.307
SOX13	1.44975
SDCCAG8	-0.2102
KEL	-2.10016666666667
NUP210L	-2.42125
GK	-0.820875
DNAJB1	0.26075
ALPK3	0.0275
CHID1	0.5491
CYLC2	0.456833333333333
IKZF5	-0.537
C8orf51	1.33966666666667
PPM1J	1.9705
GIMAP8	2.34
GPR101	0.1855
NR2F1	-0.486
ACAD8	-0.52575
RBM35A	2.556
GNAI2	-0.223333333333333
METTL8	-0.0406666666666667
SLC39A7	0.01925
FBXO8	0.8975
CAMK1	-0.60475
RFC3	-1.261375
FAM129A	0.0727857142857143
ILF2	0.2905
FGFBP3	-0.77275
NOM1	-0.7285
PSMA3	-0.232
ASCC3	-0.997
ZYG11A	1.1955
SOX21	-1.247375
LYRM1	-0.7945
DEFB1	-0.8225
LOC91431	-2.83966666666667
OR7C2	0.725
FAM46B	-2.10025
TMEM18	0.058625
ARHGAP30	0.1385
TMEM86A	2.3405
EPHA2	-1.4505
C10orf46	1.4062
TCHH	-0.012
C3orf30	0.7135
LOC285636	-0.511333333333333
PAIP2	0.39325
CYP2U1	0.27025
C12orf34	1.67075
SARS2	-0.0291666666666667
ZCWPW1	-0.12225
SAMD12	2.392125
KIAA1430	0.3695
ACAT1	-0.7885
MEOX1	0.818666666666667
ADAMDEC1	3.716
PHKA2	-0.5705
CARD11	-1.30533333333333
CALML4	-1.5595
TSSC1	-0.242
TMEM45A	-1.35177777777778
MPP7	1.335375
POU1F1	-0.18075
SLC2A13	-0.692
FBN2	0.902071428571428
ZC3H7A	-0.4599
LAIR2	-0.488
ST3GAL1	0.650833333333333
LCT	-2.71975
GEMIN8	0.747833333333333
KLF16	0.2166
HIF3A	-0.5328
FAM44A	0.197642857142857
AQP10	-1.001
PLA2G2A	-1.3555
FOLH1	1.384
C20orf186	0.246
MAPKAP1	0.318625
SPRR2D	-1.30875
UBQLN4	0.21
RSHL1	0.423333333333333
PIAS3	0.053125
MRPL24	1.32575
GREB1	-1.58325
FAM27E3	-2.3585
NUP62CL	0.1875
NEUROG3	1.0225
REEP3	0.628666666666667
MARK1	-0.063
LMBRD1	-0.22075
PRPF19	-1.235
PNMT	0.603166666666667
CTGLF1	-1.3435
SLC25A16	0.70025
EIF2B3	-0.295
RPA2	-1.242
PAK6	1.761
CCDC26	-4.33025
SEMA3E	1.41975
MXD4	0.7148
TNFSF10	2.0252
SMARCB1	0.7025
DTX3L	1.48683333333333
PLA2G4E	0.512
PPAP2A	0.42025
ULK1	0.543083333333333
TAS1R3	0.1365
SLC2A3	-4.04518181818182
ARID3A	-1.531
GNG5	-0.89725
ACOX1	0.0577
KIF5B	-0.0735
NUP153	-0.5615
MUC7	-0.434
CSDE1	-0.209
CLPTM1	0.0985
C3orf23	-0.535875
LRRC17	-0.392
TTYH3	-0.673875
ATP5B	-0.7025
ELF3	2.8971
CPSF3L	-0.225833333333333
ZNF665	0.301166666666667
TLR6	-0.6188
GPI	-0.7595
RAD9A	-0.066
NDST4	-3.6545
AGPAT3	-0.344333333333333
MAGI3	1.111
ADORA2A	0.725
CACNG7	0.036
CAMK2D	-0.432
CCHCR1	-0.7935
RPS27A	-0.6315
OR10G7	0.305333333333333
GCM2	0.65
FAM135B	0.6367
E2F1	0.79125
PLCB3	0.50025
OR2AE1	0.303
COIL	0.097
CDC25C	-0.4365
RAB11FIP2	-0.0631666666666667
TSC2	0.6955
CTGLF5	-2.0005
CCDC108	-0.0324
OR13C4	0.238
C10orf81	3.26025
PTPRB	0.80325
ACP2	0.55875
LAG3	-0.74125
MRPL54	-0.469
LOC201175	0.913
ITGB1BP3	-1.726
SPTAN1	0.1585
SIPA1L2	-1.45625
RCAN2	-0.732
CDX2	-0.2425
ECOP	-0.219
ACTR1A	0.411428571428571
PPARG	-1.36416666666667
BBS10	0.2415
TMEM44	-1.352125
BPIL2	1.62625
CITED1	1.844
IRF6	2.26725
PRDM4	0.4895
RRP9	-0.475333333333333
OR10H4	0.23375
IL31RA	-0.641
GNB1L	-0.225
MYBL2	-0.376875
ZNF407	1.27483333333333
PPIG	-0.218333333333333
TTC18	-0.24375
RPSA	0.127
MAPT	0.9865
MRE11A	-0.299571428571429
C8orf37	0.225333333333333
RASGEF1C	-0.0465
STBD1	1.209
CTAG2	-0.6545
MGAT5B	-0.0741666666666667
ECM1	0.330875
RLN1	2.0905
PARP14	1.0978125
EPB41L1	0.6936
HOXA3	-0.925416666666667
MAGEA9	-4.01475
RPS8	-0.249333333333333
RPS19BP1	-0.19675
FOXJ2	0.454
C10orf76	0.538125
IL17RE	0.2975
C10orf65	-1.579
ZNF343	-0.195333333333333
FBXO33	-0.141
UHMK1	1.857
LY6G6C	-0.6515
FGF19	-1.98475
C14orf128	-1.23766666666667
IFIT2	1.290875
TIGD1	-0.627
S100G	-0.4415
GUCY1B3	2.348
NR3C1	-0.4048
CORO1B	0.613166666666667
PARP11	0.170916666666667
DNALI1	5.03216666666667
OR4N4	-0.273285714285714
MAP2K6	0.0746666666666667
FSTL4	-0.196
ANKRD47	1.197125
TMEM171	-1.722
PNLIP	-0.17775
YY1	-0.883333333333333
CCDC138	-1.239
AASDHPPT	-0.8755
CKS1B	0.527
MCM3	-0.144166666666667
ANAPC7	0.335833333333333
FAM110A	1.88975
CDC37L1	0.0231666666666667
THTPA	0.9615
NBPF20	-1.89
WDR24	0.40825
NPTX2	-2.79925
CBLB	0.295666666666667
CETN1	0.2195
RPUSD1	1.0065
FAF1	-0.1665
CDK6	-2.7766
HMX2	0.432
CSK	-0.263
TEAD2	0.5045
SNAP25	-1.478
TUFT1	1.1453
TMTC3	0.522833333333333
LCK	-3.3865
SGOL1	0.651666666666667
AKTIP	0.49275
FURIN	1.292625
SOX12	-0.508333333333333
DEFB103A	-0.55025
RAMP1	3.08875
KIR3DX1	0.2535
GAS2L3	-0.546
PDE8A	-0.7128
EDN3	-0.15675
GMIP	0.844
SF3A2	0.52525
FN3KRP	1.6625
SMAD7	1.2745
RHBDD2	0.57825
OR11H6	0.697
PPP1R3B	0.9214
C9orf23	1.341
CADPS	-1.98625
GOLGA8A	-4.40325
TMEM57	1.02333333333333
RGL3	-0.6735
S100A14	-0.1605
FGFR2	0.05475
XRCC3	-0.392
RTN4RL2	0.81375
MGC3771	0.9705
GH2	0.205666666666667
BTBD2	-0.142
LMO2	-0.201
RDBP	0.475875
ACRBP	-1.64125
AMY2A	0.13325
DUOXA1	0.4385
PTK7	0.466666666666667
TWF2	-0.142333333333333
FAM80A	0.74625
TNNI2	-3.14883333333333
GLT25D1	0.150166666666667
OCC-1	-1.398
CYC1	-0.147166666666667
RPL22	-0.577909090909091
MORN3	0.4895
DISP1	0.13875
PRB2	-0.029
CHUK	0.4235
HR	-0.657
CCDC134	0.455125
DENND4B	-0.01175
C14orf130	0.486625
RAB33A	-1.72525
DCST2	-0.0395
TNMD	-2.2435
PEX7	0.987
FAM62A	-0.230625
SRD5A2L	1.43725
IL22	-0.27675
RPS26	-0.3495
HOXC5	-0.028
SPATA6	-0.018
FLJ38482	1.2435
ZNF234	0.957
C18orf22	1.871
SPATA22	0.2505
THOC1	-0.529
CYP7B1	1.9305
KCNC3	0.913
C8orf42	1.315
ALDH1B1	0.228666666666667
CCDC100	-0.121
ARMC4	-2.44775
FAM18B2	-0.000750000000000001
SLC44A1	0.4035
FBXO17	-0.54
C6orf107	0.1955
C19orf29	-0.74075
ZC3HAV1L	0.4505
PARP6	0.3718
SULT2A1	-4.869625
C1orf159	-0.2185
TMC1	-0.505
CHST14	0.676
GAMT	0.958833333333334
SMCP	0.0571666666666667
TSPAN33	0.299583333333333
MIDN	-0.402875
NOX4	2.12
RNASEN	0.00659999999999999
TBX1	2.06516666666667
SALL2	-0.90625
C10orf35	2.38225
CYP2E1	-1.28725
LRFN2	1.8995
ACO1	0.018
IQCG	0.75
MEGF9	1.575
TM7SF4	1.46925
PLEKHA1	-0.2636
STK33	-0.146
C1orf210	3.2
SNUPN	0.6957
KIAA0406	-0.3154
C20orf29	0.418
TMEM55B	-0.28775
OSTM1	-1.3583125
CLCN7	0.23575
OTP	0.494
FLJ23049	1.46
HEATR4	1.405
MAP3K10	0.837833333333334
PCDHGA9	0.1215
AMDHD2	0.67975
LCTL	-2.3585
PDCD2L	-0.57825
CABLES2	1.62675
SLC5A9	-0.52025
CLCA2	-1.76516666666667
MGC16025	-1.647
STRAP	-0.5125
C20orf196	-0.638
RRBP1	-0.163333333333333
NAT13	0.17275
MAT2B	0.18875
CSNK1D	-0.0785
KIR3DL1	0.3655
PRKAG3	-0.47
ZNF599	0.2545
PRM3	0.719
PER2	0.7555
ASPHD1	-2.766
PRMT6	-0.11025
KCNE1L	-0.923928571428571
FAM118A	-0.703166666666667
TAF4	-0.2015
NDUFB6	1.41075
TRIM9	-1.19358333333333
PMFBP1	-1.19325
KY	0.245
DKFZp762E1312	-1.44863636363636
CSMD1	-2.07075
TBP	-0.1395
OR1Q1	0.495333333333333
RETNLB	0.328
HPGD	1.54478571428571
DNAJC12	-1.5025
FKBP1B	-0.8225
ANKRD24	-0.939
CXXC5	1.84733333333333
IL3	0.066625
DRAM	1.5176
PTCH1	-0.7635
TP53BP1	0.55325
SLC17A7	-0.2205
COL25A1	-1.0268
AMACR	-0.880833333333333
RHCG	-0.00275
VPS13A	-1.0555
FAM55D	0.0855
PRPF38B	-0.661166666666667
OSBPL6	1.04925
PFDN5	-0.1165
CMTM6	0.26025
KCNK12	-0.6935
RP2	0.0085
C16orf52	-1.3025
PICK1	0.4205
IFNE1	-1.22733333333333
SEMA4B	0.05425
TYRO3	-1.474
OR12D2	0.00849999999999999
CSNK1A1	0.49495
FANCF	1.3015
LONP2	0.00487499999999999
TBL1Y	-0.2695
LDOC1L	-0.087125
CCNC	-1.2345
C3orf60	0.41875
CHKA	-0.607
UBAP1	0.987
MAP3K1	-0.371
ANKRD9	-0.961
FAM92A1	1.7295
GAB2	-0.11975
AZU1	-0.00925000000000001
DIS3	-1.3055
C21orf109	-0.74025
IQCB1	-0.1875
SPATS2	-0.504666666666667
EFCAB3	-0.54775
PRB3	0.064375
FUZ	-0.599166666666667
ZNF813	0.673
BMPER	-1.30133333333333
HEG1	-0.37525
ALS2CR11	-1.3105
SURF2	1.019
PSMC1	0.949333333333333
OR2D2	0.162
SLC7A8	0.395833333333333
C4orf40	0.308
SPATA7	-0.5445
MAZ	-0.33425
PIN4	0.237
PDE1A	-0.48675
TAF6L	0.499333333333333
OR2T34	0.517
KIAA0284	-0.0395
ACADS	-0.972909090909091
MKRN2	-0.0955
C18orf56	-0.7335
MS4A6E	0.167666666666667
GALNT4	0.4278
C22orf31	-0.133
FLJ36070	0.2515
PSME4	0.04975
TFG	0.1918
EPHX2	-0.03525
ANXA5	-0.279875
KRTAP1-1	0.1177
BATF	-0.137
KARS	-1.52225
MSTP9	-0.92
GPR26	0.196375
CCDC72	0.67025
TEF	1.33416666666667
FOXK1	-0.4034
PRLHR	0.2575
EMX1	3.283
C11orf30	0.014
ICK	1.122125
THSD7B	1.97625
C21orf100	-2.303
DUOX1	0.1725
EFCAB4B	2.16775
UBE2G2	-1.676
C3orf54	0.5175
PARP1	-1.52875
FAM60A	-0.848916666666667
C6orf146	0.5485
OR9K2	0.4265
DDX55	-0.978333333333333
RPS15	-0.624583333333333
ZNF618	1.8119375
DKFZp686D0972	-0.13275
SSPO	-0.3075
SHFM3P1	1.29983333333333
CPA6	-0.8475
JAG2	1.2555
DEFA3	1.30225
PPBPL2	0.3645
CD34	4.315
SLCO4A1	-2.34575
AFG3L1	-1.97766666666667
SHD	-0.437
RP13-122B23.3	0.322166666666667
PRKCSH	-0.4845
DPH5	-0.069
HLA-F	1.05125
TBC1D4	-1.718
RIG	-0.123333333333333
GLUD1	0.335166666666667
HNRPCL1	0.019125
HBXIP	0.15725
RNF207	-0.766
APIP	0.28375
PLA2G3	-3.30783333333333
CCDC84	-1.88475
MYLIP	0.0726153846153846
PHIP	-0.91125
AARS2	-0.404333333333333
DHX32	-0.22725
SCAPER	0.5035
MEN1	-0.1195
NIP7	-1.5065
FLJ25404	0.438
FASTKD3	-0.906
TMEM158	-2.18125
RARA	1.48375
BDH1	0.8415
ANKRD16	0.925
CARM1	-0.3375
SS18	2.27783333333333
IKZF2	0.37575
MYD88	0.29225
PML	-0.01595
TAF1A	-2.17775
CBFB	-0.829375
HIST1H3H	-1.035
C7orf29	-1.232
COMMD4	0.0293333333333333
DPP3	-0.43975
DAB2	-0.020875
LOC388882	-0.2645
YPEL4	-0.7565
AGBL3	0.75
LRP6	-0.2153
SERPINH1	-0.15975
TLE1	-0.8115
CD244	-0.174
ZDHHC15	-1.19575
MGLL	0.6874
PLDN	-0.298416666666667
LOC654346	1.248
FAP	3.11075
GPR37	1.581
SCARA5	-0.0531666666666666
EBF4	1.48590909090909
LSM6	-0.02475
MLLT1	-0.1646875
SLC5A12	0.1535
A2BP1	-1.769
COPS5	0.915833333333333
TPM4	0.594857142857143
TNFSF4	0.6225
ACADSB	0.696
HERPUD1	-0.68025
BCL2L11	-1.31011111111111
CEP78	-0.8945
CDCA3	0.782625
WBSCR19	0.1628
MYO1A	-2.469
PPEF1	3.27966666666667
LOC440348	-0.80225
CPEB2	0.47975
BPTF	0.262666666666667
RPL21	-0.6038125
GSX2	0.111
ADPRH	0.995333333333333
C17orf68	0.0621666666666667
KCNS1	-1.08933333333333
MLLT6	0.1492
PIWIL4	-0.50275
RNF26	-0.43275
RAP1B	0.159
ADAMTS1	-2.2612
ZNF571	0.79225
P2RY6	-0.56825
TRIM21	0.5545
CADM3	-0.034
NLRC5	0.166833333333333
ADRA2B	0.819
LOC90835	-0.33575
PCF11	-0.48
LOC400451	1.75575
GLTSCR1	0.5703
C17orf88	-1.408
CDH16	-1.8195
FGF7	0.848
PCSK4	-0.838166666666667
NPC1L1	-1.27783333333333
TAT	-0.06825
TBCA	0.09775
MGC33407	0.0975
GPR115	-0.954875
CYGB	-0.0105
FNBP4	-0.630333333333333
C12orf43	0.226
CBL	-0.739
CLECL1	0.44525
PPAPDC1A	2.127
WDR25	0.175
SGCA	-0.0595
C22orf29	1.06066666666667
YIPF1	1.44125
GALK2	-0.68175
RAB3B	-3.33941666666667
LOC440087	-0.46875
UCP1	-1.0665
REEP5	1.490125
FADD	0.0556
FOXA1	3.441625
CACNA1A	0.395333333333333
ABI1	-0.1535
GRIN2D	0.5895
SLC1A4	-0.192
LOC401127	0.50325
HINT2	-0.43875
PLD4	-0.106166666666667
ZNF286A	-0.5595
ENY2	1.22375
IL1F6	-0.0785
PXDNL	0.78675
C20orf79	0.58425
TNFSF13B	2.20183333333333
DENND3	-0.626125
JARID1D	-3.437
HIST1H2AK	0.7595
LOC93349	-0.6852
SSH1	0.0317
ENSA	0.42525
LOC219854	-0.216166666666667
CKAP2	-0.6204
DKFZP564J102	2.84833333333333
MGC87315	-0.113666666666667
HNRPAB	-0.5045
AMH	-2.804
ZNF526	0.927
BRUNOL5	0.0904
CACNG3	0.141833333333333
TRPM1	-2.488
PPP2R1A	0.619375
COL2A1	-0.731
DDN	-0.3005
FLJ25770	1.05325
HK2	0.1615
ELOVL6	-1.041375
MDK	-0.4575
EPHX1	0.0495
RASSF2	0.602
DKFZP434B0335	-0.58275
DLX3	1.085
PRTN3	0.5045
AVPR1A	0.46825
C21orf125	-2.519
TNFAIP8	-1.49166666666667
GNB2L1	-0.3605
CALCRL	3.30225
SCGB2A2	3.50583333333333
UBXD7	-0.114
ZNF674	-0.256
TMEM35	0.049125
BRSK2	-1.095875
HECTD3	-0.0513333333333333
TMEM188	-0.648416666666667
LGALS9	1.25675
SCARB2	0.961
USP34	0.170333333333333
C17orf28	2.76166666666667
ZDHHC23	1.294
AQP12B	-0.582
SLC16A3	-1.72175
APLP2	-0.541875
ITIH2	-5.6745
MICAL3	-0.266125
TNNI3K	-0.0692
HDAC2	-0.255125
PRR7	0.0543
THBS2	0.43075
LOC751071	0.0118333333333333
CA2	0.214
RANBP17	1.46125
RLN3	0.11125
CRYZ	-2.17816666666667
GBAS	-0.0708333333333333
TAS1R1	-0.70075
MPZL3	0.1
PCDH8	-1.934
HSP90B1	-0.219583333333333
KCNK15	0.5875
TNIP2	1.03283333333333
GPR146	-1.114
NOL6	0.91275
SPC25	-0.737888888888889
STEAP2	1.69635714285714
VAMP3	-0.676833333333333
TCIRG1	-0.0255
ZP4	-0.232166666666667
PARL	0.69125
TRIM39	0.859666666666667
KIAA1305	0.568
CRNN	0.249666666666667
GRN	0.089
HSH2D	-1.307
SCAMP1	0.601125
KIAA1913	0.926
PTS	-0.218
BANP	0.1285
PRKACG	0.07825
ADCY6	1.15266666666667
C16orf46	0.022
CYP51A1	-0.197625
DDC	-3.67375
ANPEP	1.51916666666667
PROM1	-2.99616666666667
SIGLEC10	1.53
COPG	1.2405
FAM26E	1.356625
TRIP4	0.42175
SNX3	-0.654166666666667
C1orf175	0.272
PPY2	-0.09275
C14orf152	0.28925
FTSJ1	-0.846666666666667
DST	-0.38235
LOC554235	-0.24825
GLRX5	-0.58425
C20orf12	0.0513
CAB39	-0.421666666666667
MSH2	-0.447666666666667
PIP4K2C	1.122375
CYLD	0.334375
WTAP	0.5110625
MGAT4A	1.40422222222222
TSC22D4	-0.0914
CHRM2	-1.713
PPYR1	-0.03
CCNH	-0.223333333333333
RRM1	-0.1095
ECAT8	-3.1435
LOC400120	0.242
GABRA4	-0.0498571428571429
C14orf4	0.773833333333333
C1orf59	1.41825
CTDSPL	0.75125
NHEDC2	-1.6605
PDE11A	-0.15275
KLHL29	-1.93125
CD5	-1.6781
TSPAN9	2.16525
WDR67	0.1195
THUMPD1	-0.2986
C18orf17	0.3025
CLYBL	-1.8395
FLJ13231	-0.08625
CMBL	-0.167125
LECT2	-0.73
NKAPL	1.5395
LOC654780	0.4525
OR4C6	-0.2435
RAB30	1.40033333333333
TSSK4	-0.6025
TMEM163	0.2905
OSBPL11	0.529416666666667
GNB5	-0.1485
CCL21	0.92575
C1orf121	-0.692833333333333
FMO2	1.04316666666667
RPTN	0.337
MSTN	-0.283
VCL	-0.456214285714286
FYTTD1	0.67225
C11orf1	-1.39975
CCDC88C	1.295
HFE	-0.403277777777778
MOGAT1	0.389
FAM125B	1.49133333333333
IRGQ	0.412
RAVER2	0.61225
AKAP5	-1.4405
SSSCA1	0.01025
C11orf63	1.58025
ACTG2	-0.8845
PORCN	-1.3935
DTL	-1.62563636363636
TMEM151	0.34825
FAM122C	-0.661
RSAD2	2.7835
BAT4	-0.0145
KRTDAP	-2.01566666666667
MYH8	0.307375
CRTC3	0.5925
LRRFIP2	0.0451
INTS4	-0.146
TTN	-1.9845
SLC26A5	0.969
PLLP	-0.511
RGS6	-0.928375
SRGAP3	-0.29525
ZNF525	0.1075
NBR2	-1.86333333333333
C13orf1	0.2399
ZNF137	0.2055
CEP27	-0.51825
BEST2	0.229
RNF121	0.09875
DMRTC2	0.857
C8orf76	1.3315
BCCIP	-0.755
MEST	-0.54475
HTRA2	-0.008
ANGPTL2	0.42225
ILKAP	-0.6935
ERAS	0.4755
HBS1L	-0.39275
CPA5	-0.0715
TMEM30A	-0.0725
CD300LF	1.90116666666667
WISP3	-1.4195
CRK	0.208571428571429
PDS5A	0.8157
BRPF3	0.867833333333333
NEDD9	-1.592
SMPDL3B	0.45625
PSG6	-1.86425
PSMD13	0.6555
ETV5	-2.541
OR51A4	0.0675
BTBD7	0.09625
GSTO1	-0.57625
hCG_16001	0.649
MAD2L1BP	0.551166666666667
COX6A2	0.733
SCNN1A	0.590833333333333
LSM1	3.01766666666667
UGT2B11	-3.60175
IDUA	1.37625
PPP2R3C	-0.980666666666667
COX11	0.00866666666666667
PDZK1	-1.75025
ZNF443	-0.138
MGC21874	0.898333333333333
ZNF323	0.1095
KRTAP10-10	0.3605
CXCL6	-0.491
SLC34A2	0.0723
LOC284402	0.3265
NPTN	0.662
UPP1	-2.25941666666667
SLC6A9	-0.2525
OR7G3	-0.05225
CISD1	-0.8565
ZNF545	0.4545
SYT14	-0.6605
NT5C3L	0.517333333333333
ZNHIT3	-0.228666666666667
SNRPD3	1.23675
KIAA0701	0.262
UNC93B1	-0.000833333333333334
GMNN	-1.119
SPCS2	0.694333333333333
LOC388524	0.3015
NAPRT1	0.02625
PNLIPRP1	0.302
OR6V1	0.3495
PRKAB1	0.5705
EYA4	-3.12166666666667
KIF20A	-0.27475
ALG10	0.28725
ITPKC	1.7215
LMX1B	2.0035
RPUSD4	-1.20616666666667
C7orf34	0.160333333333333
DLGAP2	0.3275
PFN1	-0.4084
MICALL2	-0.82625
ZNF654	-0.7685
SS18L1	-0.281875
SLC16A8	0.0345
MKI67IP	0.411166666666667
ITGB3	-1.475125
TCEA3	1.96025
CEP152	-1.507375
CLIP1	0.572875
ZNF75	0.096375
ATP5C1	-0.148
NUDT5	-0.7045
PSCDBP	-1.5085
UBP1	-0.05175
RBM27	0.09575
C13orf15	2.274125
ZNF282	0.599833333333333
ZNF222	-0.4805
COL10A1	5.982
PRDM15	-0.9995
TTTY5	-0.374
FAM9C	-0.429
C20orf67	0.10725
GNG13	2.163
F12	0.5465
C1orf41	-0.022
CPXCR1	0.2805
GSK3A	0.882125
SUPT6H	0.357666666666667
PI16	-0.262666666666667
ELL2	-1.1215
C9orf167	-1.70633333333333
PVRL3	-2.8057
FLJ38596	0.8875
ADAM20	-0.1375
GPR89A	-0.3335
GPR87	-2.3135
ZNF30	0.43025
SMR3B	1.852
ZNF770	-0.433625
TRPC4AP	-0.256
DKFZP686E2158	0.788
C2orf28	0.0236666666666667
FREM1	-1.99933333333333
LAMA4	0.509333333333333
ADPRHL2	-0.23925
EIF4G2	0.843333333333333
GUCA1A	-0.293
CTNNA2	-1.912
NUDT15	-1.43066666666667
CEPT1	0.124
ZNFX1	0.9981
CCDC92	0.38775
TDRD1	-0.4885
KCNK5	-1.06916666666667
ETNK1	-0.226916666666667
LTA	0.3875
TTPA	1.886
B3GALNT2	-1.447375
SC65	0.298833333333333
PEX5L	-1.405125
EPS15L1	0.919
MGEA5	-0.713375
HIST1H3A	-0.64625
ING1	-0.718125
BCAT1	-2.98975
