Hybridization REF	TCGA-B6-A0IE-01A-11R-A034-07
JOSD2	0.342
PLSCR3	0.142
SPOCD1	-1.06533333333333
RAB39	1.389
GHRH	2.087
ITIH5L	-0.89375
C17orf37	0.76025
SMCR8	0.39975
DPY19L2P3	-0.715833333333333
IL11RA	-0.0515
GDF3	-2.70383333333333
RPS6KB1	-0.444
DNAJC19	0.6309
TOP1	-0.40425
CRCT1	-1.43842857142857
MPST	0.5285
DPM2	-0.058625
FAM38B	-1.749
SLC18A1	-1.572
FARP1	0.174333333333333
PAX7	0.74425
TUBD1	-0.2795
GNL3	-0.677125
BTG2	1.9714
NDUFS6	-0.9305
C1orf79	-1.417
ERAL1	-0.012
ECHS1	1.46975
VPS4A	0.459666666666667
CYP11A1	-0.895
ABCC6	0.0477142857142857
PBX4	-0.3955
MOSC1	0.571
NCF4	-2.2515
HYMAI	0.5555
NAGPA	-0.397625
OTOP2	0.506
ACOT12	-0.36775
MTHFD2L	-0.665875
LOC441376	3.22625
C19orf34	0.834
RAB1B	-1.6335
ALDOAP2	-0.817
NTRK1	-1.8602
ARTS-1	-0.682777777777778
SLC6A11	-0.928
NAP1L2	1.96725
CNGB1	-0.180833333333333
EPB41L4B	0.0297272727272727
FAM134B	0.231
HS3ST3A1	-1.51266666666667
CPXM2	5.40675
SIRPB2	-0.943
CHORDC1	1.027
TRIB3	-0.2775
SLC2A5	-0.1415
C2orf49	0.15
DDX5	-0.45525
OR5L1	1.0765
ANAPC4	-0.328833333333333
ZSWIM1	1.92275
LOC93622	0.135875
KCNK3	-0.2457
RP11-35N6.1	-0.382875
ZFP161	0.300333333333333
AQP9	-1.2465
SLC15A2	1.49366666666667
MREG	1.83733333333333
OR9I1	-0.5355
PDLIM2	-0.10125
ADAM7	0.9945
GSTCD	-0.0585
WDR21A	0.18625
SLC12A8	0.644166666666667
TMEM174	-0.3615
IGSF3	0.831
LRRN1	0.101
LOC402117	0.34425
SRPK1	-1.33216666666667
LY6K	-2.41386666666667
NFIA	2.6975
PTCD3	-0.225
LEP	2.71516666666667
PCDH21	-0.851166666666667
MAPKAPK2	0.0767857142857143
NMNAT1	0.0966666666666667
LHFPL2	-0.91375
C9orf43	0.57375
DIP2A	-1.63733333333333
ACTR8	0.0355
CCDC34	-2.3625
PTPN22	-0.874125
ITGA3	-1.481375
FAM129C	-0.1105
RABGGTA	-0.672333333333333
UNC45B	0.7335
KIAA1033	-0.476125
ZNF510	-0.185833333333333
CYP2D6	-0.4835
SLC26A10	-2.278
STX8	-0.8875
LUZP1	-0.66
WDR89	0.8095
EIF4G3	0.0792
C5AR1	0.222714285714286
ZNF623	-0.0325
A2M	0.20025
TGM7	0.066
GRPEL1	0.0948333333333333
LMNB2	-0.8184
ROCK2	0.00316666666666665
SNX16	1.54725
CCDC66	1.71
ANXA3	0.44075
KIAA1609	0.138625
EED	-0.98775
RNF32	-0.689833333333333
HES1	0.9932
CLC	0.2218
ISL1	-1.5775
KIAA0528	-0.098625
MANEA	0.14175
C1orf61	-1.3805
hCG_2001000	1.031
RAPGEF6	0.1799
KIAA0020	-0.6655
NEIL1	0.2415
C16orf45	-1.057625
RBM10	-0.407833333333333
C10orf125	-1.30525
MRS2L	0.14775
DNAH17	-0.608375
C19orf10	-0.29875
C1orf160	1.1225
SLFN12	2.09575
EXOC3	-0.887666666666667
HIST3H3	0.6985
NCOR2	0.4855
TNFRSF9	-1.118
MFSD8	-0.3605
ALX1	-3.5738
NOL1	-0.8055
PODN	3.32333333333333
TIAL1	-2.06625
HIST1H1E	0.3995
NPY6R	0.5785
TM4SF4	0.46075
CORO2A	0.68025
ETNK2	-0.3908
APOE	0.153
ANGPT4	0.5205
HDGF2	-0.297
G30	null
ST8SIA4	-1.23425
F2RL1	-2.21375
FAM19A4	-3.85166666666667
CCAR1	0.147
B3GNT7	-0.0185
OPHN1	-0.1937
DSCR6	-1.7965
C21orf13	1.5705
GAS2L1	-0.093
RFX3	0.2515
COPS4	-1.187375
BCHE	-3.39833333333333
BCL2	2.939125
HBZ	-2.89083333333333
ARL13B	-0.478625
MAPBPIP	0.46025
MYO15B	0.0295
SPZ1	2.721
KIAA1324	2.94988888888889
PLCL2	-1.942625
C4orf29	-1.71075
WDFY2	-0.712625
ZNF284	0.4635
NAALADL1	-1.475
DUSP5	1.0025
PXDN	-2.405
SLMO1	0.3715
TNXB	0.8193
BIRC7	-1.07525
A4GALT	0.409666666666667
TIMM22	-0.50975
FAM110C	-0.16075
TOMM34	-0.316625
ABHD9	0.252
ADAM32	0.5435
CRHBP	0.37975
AQP2	0.8145
LOC130355	1.2825
ZNF187	0.432
ZNF816A	0.413
F7	-0.172875
CNOT1	-0.3875
SLC13A4	-2.2935
ZBTB11	-0.615
B3GALT5	-2.2475
EXOC2	0.556666666666667
IRS1	0.2635
TMEM1	-1.09133333333333
MRPL34	-0.165833333333333
SAMM50	-0.5925
CDC42EP3	-0.288375
HSF2	-1.1932
MFN2	-0.2335
TSPAN7	-1.67616666666667
NUCB1	-0.0893333333333333
RHOH	1.05425
ARL16	-1.6595
TACR1	-0.33625
SFRS5	-0.788333333333333
SNX25	0.67725
RHBDF1	0.075
PCDH18	2.809
HMG1L1	-0.55725
MYO5C	0.95775
MAPK10	0.5925
LDHAL6A	0.6262
NUDT12	-0.128666666666667
NCAM1	-0.318714285714286
GLIS2	1.412
GGTL4	0.9185
DAPP1	-1.56675
ATF7	1.371625
KIAA0748	-0.32425
NFIL3	-1.76275
TM6SF1	-0.1806
SEZ6	0.491875
NANOS3	1.95016666666667
DNAJA3	-0.284333333333333
CLDN6	-1.633
CIITA	0.3926
EPHA4	-0.793083333333333
FANCC	0.58625
CMTM3	-0.57275
PSG3	0.412125
MRPL15	-0.363
C21orf59	-0.21325
PLCXD2	-1.01866666666667
C2orf34	-0.190142857142857
UBE2L6	0.674
MED14	-0.396
HP1BP3	-0.8357
C6orf208	-0.266
TPBG	0.78775
OSR2	0.0905
XPC	-0.756
KLHL7	-0.43025
CCR3	-0.1914
AGTPBP1	-0.831166666666667
PCSK6	0.272
STAT5A	-1.7955
FAM18B	-0.673
LONRF2	-2.83533333333333
PTPN2	-0.24475
SF3A3	-1.50583333333333
EFCBP2	-0.012
HCFC1	-1.4885
AHNAK	0.39815
ACTR5	0.9415
KIF14	-1.925
TENC1	0.48775
HEATR5B	0.2655
YIPF2	0.725
MYEOV2	1.2088
DUSP18	1.3165
KIAA1012	0.0175
AHR	-1.12666666666667
C17orf53	-2.61983333333333
PTPRH	-3.09725
ATP6V1C1	0.2633
TAS2R3	-1.319
LOC440356	-2.579
COQ10B	-0.254
PSMF1	1.15191666666667
SORBS2	2.92933333333333
NFE2L2	-0.1005
TMCO7	-0.81375
SH3PXD2A	-0.477
SH2D2A	-1.71275
SPINK5	-2.3015
MRPS24	-0.911
OPA3	0.786375
TRAF7	-0.421666666666667
C4orf35	0.4894
MT1G	2.36075
MGC39545	0.724666666666667
HS1BP3	0.30925
OR2B2	0.336
CHRM4	-1.123
SFRP2	2.84641666666667
RIC3	-0.07775
ART1	-0.302
C6orf1	0.2585
DUS4L	-1.3585
C10orf104	0.724
TNFAIP6	2.50825
RTEL1	0.40975
CCT4	-1.0647
ZNF709	0.0655
CHMP6	-0.145333333333333
UPP2	0.4655
CYP19A1	-2.7785
CD151	-0.538166666666667
NDUFA13	-0.249
ARFRP1	-0.762166666666667
FAM26B	1.007
CRYBA1	-2.0235
MRPL41	0.531666666666667
NPFFR2	-0.00862499999999996
HRH2	0.3685
SCAMP3	-0.752833333333333
MTMR6	-0.1496
MTG1	-1.38816666666667
UBTD1	0.128
CRABP1	-2.287
FLJ33790	1.9459
KIAA1908	-1.06133333333333
GPR158	-1.47925
PACSIN3	-2.25833333333333
OMD	2.431
CATSPER1	-1.6304
HOXB8	-0.222142857142857
FBXO46	2.1395
OAS1	0.329833333333333
SVIL	0.19425
PHB2	-1.175
ADCY3	-0.089
NDRG2	0.711
ERMAP	-0.8561
APBA2	-1.966
IGSF9	3.03225
WNT6	0.377769230769231
MYCBPAP	-0.399
ATP2B2	-0.70625
CPVL	-1.5184
TRAM2	-0.136583333333333
NOP5/NOP58	1.2195
ZNRF4	-0.50775
TLK1	0.119375
MTMR12	-0.397571428571429
ZNF384	-0.6762
FAM9B	-1.92066666666667
RPN1	1.0107
PMVK	0.608
EIF3D	-0.0448
SIX2	-0.424
HPS1	-0.177214285714286
RNF7	0.546
PSKH2	-0.518
KCTD13	-0.710166666666667
CSMD3	-0.456888888888889
FBF1	1.021
IL8	-5.502125
SERPINB13	0.379333333333333
FBXL20	0.62025
BLR1	0.377
SH2B1	-0.698166666666667
RFNG	-1.209375
RAB20	-0.253833333333333
RBM7	-1.581
POLR1A	-1.81283333333333
TMPRSS4	-0.52875
TAF9	-1.030375
TERF2	-1.07583333333333
TNFRSF1A	0.452333333333333
ACADVL	-1.51683333333333
GTF2H5	0.879
EDG8	-0.3445
C9orf140	-0.711875
UST6	1.152
ZBTB8OS	0.36325
ZNF710	0.0765
GPR174	-1.051
ATP6V0A2	0.63075
KIAA0319L	-0.351916666666666
XKRX	-4.3615
DOPEY2	0.8809
SDHD	-0.699083333333333
SUMF1	1.7025
OSM	0.3335
OPN3	-0.19525
DAGLB	-0.354833333333333
PPFIBP1	0.451
TRIM63	-1.70825
C10orf53	null
LYPD3	-0.0908333333333334
BCL7A	-0.490375
AGER	-1.13916666666667
TCF19	-1.88725
SAT2	-0.84525
PFTK1	0.3835
GABRE	-1.3485
C15orf38	-0.1345
FIS1	-0.603
KCNV2	-0.8915
CLPS	-0.7455
PPCDC	-0.18175
FOXN2	0.187166666666667
NT5E	-3.3517
CD83	-0.933
IL18	-1.42925
VPS16	-0.12325
IGFBP2	-0.9185
NOTCH2	0.32425
SIGLEC1	1.33225
CD93	4.3145
SULF2	2.3105
CEP164	0.248625
P53AIP1	0.7235
TOR2A	-0.282833333333333
ZNF136	0.662
MGP	4.1981
CCDC144A	-1.70975
TRPC1	-0.8845
SMS	-0.167
MAPK7	-0.417666666666667
RRAGC	0.13425
PARD6A	0.965
NUB1	-0.426
SYNGR4	1.31475
OR11H12	-0.2615
WIF1	0.604166666666667
GCH1	-2.1895
OR11H4	0.1555
SLC44A5	-6.102
GPRIN2	0.8035
LOC401431	1.43975
CPA4	-2.1792
MELK	-1.653
IL15RA	0.1055
CUL3	-0.372375
HMBOX1	0.93425
PODXL	-1.58425
CCT6B	0.981
COMTD1	-0.05275
MUC20	0.0152
GPX2	-2.773875
ITK	-2.386
FBXL5	1.781
C13orf27	-1.2075
DEFA5	0.1555
TRHDE	3.42
MTP18	0.05
UQCRQ	-0.1562
ITGB2	-0.169
CSRP2BP	0.69925
TAS2R44	1.1985
PHPT1	0.69925
FAM44C	-0.8855
ERH	1.67975
MPHOSPH1	-2.91483333333333
MORC1	-0.77
PARVB	-0.629
LAMA1	-2.68075
PGBD3	0.1875
GIMAP6	4.17225
AREG	-0.848666666666667
LIPT1	0.48225
MGC99813	-1.28725
C1orf201	0.05
GRIN2A	-0.044375
MAN2C1	-1.722
NSUN5	-1.53275
SF3B5	0.6735
MYC	-1.82475
NRXN1	-0.721166666666667
ZNF18	-1.3245
SPDYA	-0.788666666666667
SLC37A1	0.2915
DECR2	1.14425
ANKRD38	0.503625
SPTLC3	-0.564416666666667
SUPT16H	-0.69975
DTWD2	0.1025
ULBP1	-1.875
ZADH1	-0.506666666666667
OIP5	-2.03625
IL10RB	-1.37266666666667
OTUB2	-0.35725
VWA3A	0.283333333333333
SPIC	0.7526
OR6C4	0.7795
PSCD4	0.0854
DPY19L2P2	-0.781
TRAPPC6A	0.343166666666667
C21orf2	-0.457333333333333
CEMP1	0.632
LIN7B	0.4875
E2F7	-1.738
VCP	-0.4586875
LAMA3	0.458166666666667
BGN	1.21625
GPR160	0.955333333333333
COCH	-3.43483333333333
GPR81	2.88566666666667
APOBEC3F	-2.2985
tcag7.1017	-0.0505
C1orf32	0.5925
SCGB1D2	6.25925
FLJ43987	1.368
C6orf170	0.183
KLK9	0.337
GPD1L	-0.864
VPS37B	1.48975
ATG3	-0.755333333333334
ADAMTS17	-1.239
KLHDC2	-0.2675
NDUFV2	-0.343
BLK	-1.0555
MATN4	0.7075
GPM6A	-0.647428571428571
GBP4	2.85866666666667
TMEM162	1.035
PKP2	-0.116
HRASLS	2.55533333333333
MMP1	-4.98175
SFXN3	-1.0038
FSD1	-1.11883333333333
ST6GALNAC3	-1.69016666666667
CA12	3.4109
NCOA6	0.517
C19orf58	-0.2422
PPP4R1	-1.74783333333333
MAN1A2	0.9885
IKBKAP	-1.8705
UPF1	0.355666666666667
KIAA1219	0.65025
WNT16	-0.4615
SNW1	-0.63775
IL18RAP	1.63425
RPP30	-1.8575
CDC40	0.0862142857142858
SETD3	-0.187666666666667
SLAMF6	0.0783333333333333
ELK4	-0.5555
TRIM47	0.541666666666667
ACOX3	3.06225
TRIM6	-0.477
KIAA0372	-1.4135
TP53AP1	2.244
SMURF2	-0.79375
ADAD1	0.59075
EBP	-1.2915
KRTAP13-2	0.6275
FLJ36874	-0.753666666666667
TOR1A	-0.616
P2RY4	0.8155
GPBP1	-0.63225
TRPV1	0.354
ADAMTS12	0.315166666666667
PES1	-0.9373
ATG4A	0.0806666666666666
MAGEA10	-3.5715
WFS1	2.32425
CC2D1B	-0.556666666666667
PABPN1	-0.193
SLC25A30	-1.58125
SLCO1C1	-0.147166666666667
SLC22A5	1.742
KIF23	-2.1725
SYN2	0.5334
ASPN	7.94316666666667
CENTG2	0.06025
QSOX2	-2.53655555555556
FLJ10815	-0.1865
STK24	-1.2985
SPEG	-0.0667
STK10	-0.124666666666667
DACT2	1.606
AAAS	-0.61675
SSX3	-1.24542857142857
ABCD3	0.5651
C4orf12	0.140375
PARVG	-0.599333333333333
FIG4	-0.4525
C9orf46	0.84575
TMCO6	-0.8855
IGHMBP2	-1.18025
DUS2L	-0.0236666666666666
FAM3C	-1.32875
TMEM16D	-3.02125
DCTN4	0.006
KCNH3	-0.22975
EIF2AK2	0.92025
AP1S3	-0.5525
CST4	1.807
PAM	-0.2565
NUTF2	0.501
CITED2	0.476
SLC39A4	1.83925
C2orf52	0.504
GRM3	-2.08466666666667
C12orf49	-0.221125
CCDC49	-0.6478
GRAMD1B	-1.40125
FNDC4	-0.74325
SIAH2	0.135125
GDPD4	1.06775
C21orf87	0.969
ATP5A1	-0.9475
C16orf63	-0.074
LOC388135	-0.149333333333333
ATP5J2	-0.77125
MMP3	-0.563
EMID2	-0.28425
CRHR1	0.2075
WDR70	-0.4845
C13orf31	1.46
ZFAND1	0.43825
CCL18	1.82716666666667
C3orf49	-0.877
RINT1	-0.2685
KIAA0408	-2.11566666666667
F13A1	3.0461
SLC10A1	1.745
OGN	1.929
GIPC2	-1.95583333333333
XPO6	-0.413833333333333
LCE1A	0.5065
FMR1	0.2092
LOC374920	0.674
DUSP3	-0.41575
ANKMY1	-1.00175
C7orf50	-0.559
BBS9	-0.0938
UNC119B	-0.175166666666667
C9orf72	-0.199285714285714
MGC35440	-0.04325
ENTPD6	0.266
PPP1R2P9	1.34
ERCC4	-0.1065
FAHD2B	-1.227
HMHA1	0.3885
HACL1	-1.272
RAD23A	-0.712
FAM83B	-1.17325
PPP5C	-1.71916666666667
RNASEH2C	-0.634625
C9orf153	-0.1915
SCAMP4	0.95975
GHITM	0.846
NDUFB7	0.400375
ADCYAP1	-0.5652
SP110	1.57666666666667
MAP3K7IP2	0.9265
DHH	0.0855
AGRN	-0.504714285714286
WDR33	1.50183333333333
CEP290	-0.172833333333333
PRPS1L1	-3.70183333333333
KLRA1	-0.4965
GPR97	0.4155
CHD7	-0.1885
TLR10	0.71325
SLC30A8	0.7405
HIC1	1.5405
IAPP	-0.1225
RXFP4	0.4815
GP1BB	1.30575
SHQ1	-0.449
NKX2-3	0.3424
API5	-1.06275
FTHP1	1.071
MOV10L1	0.075
TRIM6-TRIM34	1.33166666666667
ADHFE1	1.38925
FAM117A	0.375
DDI1	1.2162
CDON	-0.530333333333333
TRIM73	-2.5335
IGKC	5.873
MMP14	-0.809416666666667
DYNC1LI1	-1.899375
C11orf66	0.14225
TRBV3-1	-0.977
FASTKD5	0.9965
BIVM	-2.1715
LHX4	0.33325
CXCL2	-1.9464
RAB2B	-0.314666666666667
IZUMO1	null
MAP3K15	-1.951125
FAM19A2	-0.568333333333333
ZC3H8	-0.197
ZMAT1	1.986375
SPINK5L3	-0.794
SLC10A6	1.178
APPL2	-0.162375
CARD10	-0.984
LOC402176	-2.328875
EEF1D	1.2902
RAB6A	1.0442
C12orf5	-1.9625
PAPOLG	0.4205
MSRB2	0.68925
BCR	0.0943750000000001
PUS3	1.0575
TIAM2	-0.58625
ZNF317	0.1055
CHD2	-0.246214285714286
FZD5	-1.87772727272727
NUDT8	-1.0235
ZNF763	0.3765
PRC1	-1.85666666666667
ABCB9	-0.489666666666667
SPATA3	0.45225
TRAK2	0.4215
STAB1	2.17625
LRRTM2	0.4405
psiTPTE22	1.08725
DBI	0.45925
SERPINA11	-2.2
NAT5	0.667
C20orf58	-1.945
RPS6KA4	0.0223333333333333
FLJ90650	-0.213
TGFBRAP1	-0.07925
CHRDL2	0.253625
FAHD2A	-1.36633333333333
CNTN1	-0.873333333333333
BBS4	-0.4561
TMEM181	0.23125
MINPP1	-1.29525
MPHOSPH6	1.4295
HOXC10	-0.3472
ITPKB	0.330142857142857
CLPTM1L	-0.057375
MEOX2	0.2775
ATP6V0C	0.483125
PRPF8	-1.188
TMC5	4.86925
FKBP3	-0.87975
PLEKHB2	-0.43425
OR4D6	0.1785
ZNF544	-0.243
D2HGDH	0.036125
RPL18A	-0.2644
HEL308	-0.533375
MPP6	-2.608
TCERG1	-1.963
KRT16	-0.757333333333333
KLF17	-0.321333333333333
KLF5	-0.782125
CDR1	1.481
VCX3A	-4.1805
FBLN2	1.61425
C14orf104	0.248
HBE1	-4.357
OR4S2	1.6655
C1orf108	-1.55866666666667
ROBO4	3.74416666666667
CPEB4	-0.25275
C11orf80	-0.263166666666667
BCKDHA	-0.256833333333333
MYOC	-0.849333333333333
GIF	0.026
CKMT1A	-1.3775
RPL3	0.025
THBS1	1.95475
APOO	-1.00425
ARMCX1	2.70175
HSZFP36	1.90025
SNAPC5	0.16975
EIF4ENIF1	1.3805
ZNF433	-0.04925
TNFRSF21	-1.72
TMPRSS7	-0.2625
SPATA18	0.745222222222222
HPDL	1.0265
MKL2	1.4454
TBX3	2.50153846153846
C21orf93	1.08716666666667
DAXX	-0.17675
ELMO1	-0.0745
RGS13	0.69525
TAF11	-1.29225
UNC13A	-2.80475
LOC653314	-0.4201
ORC3L	-0.456
IMAA	-2.0965
TARBP2	-0.79775
CABIN1	0.2964
TRIOBP	0.07875
HIST1H2AC	1.472
RGS22	-0.9885
NCOA1	0.2325
IL25	-2.0315
SNCG	-0.0775
GPR6	0.4095
AMDHD1	-1.6835
CHEK2	-0.436375
C6orf142	-1.21575
DRD4	0.6365
C14orf68	0.01
GDF11	-1.36
SEMG2	0.0105
CD247	-2.165
CDAN1	0.34275
RBMX2	-0.028
TGS1	-1.71175
OIT3	0.866333333333333
SYF2	-0.294
MCM4	-2.273
PKHD1L1	0.136714285714286
CEP192	-0.861333333333333
IFT88	-0.8585
RPL9	0.904642857142857
RAB32	-1.7015
DDX43	-1.58625
P2RX2	0.509666666666667
OR5D18	0.269
UBE1	-0.873833333333333
SLC24A1	1.223625
ARHGAP5	-0.43725
CETP	-0.96275
KIAA1731	0.356166666666667
SLC9A4	-0.3455
PTPN6	0.32625
BAHD1	0.538
GRIK3	0.424
CACNB2	0.3436
PDE10A	-0.86425
DGCR14	0.238
PCDHB9	0.0685
RHOQ	-0.265666666666667
MAP3K4	-0.147
KTI12	-0.130333333333333
RPL23AP13	-0.36975
GNG11	0.425
CLCN3	2.0955
GPAM	-2.02075
VSTM2A	1.819
SLAMF7	3.72033333333333
INTS2	-2.48375
PPP2CA	-1.3968
LRP12	-0.840285714285714
SEC14L2	3.29255555555556
DKFZP586H2123	3.1255
MC3R	-0.229
CIRH1A	-1.362
HIST1H2AB	1.3295
POLH	-1.111625
MGC16703	-1.2555
SNAPC2	1.297
FILIP1L	-1.1025
RASGRP4	-0.38
LRRC1	2.20175
GAS1	0.68825
PRAC	-0.6895
DGKA	-1.5412
NT5C3	-0.64825
PEG3	-3.36658333333333
NADK	-1.06425
PRR17	0.722
LOC374569	-0.12675
SGSH	0.438833333333333
NLRP8	-2.807
GALT	-1.0936
MCF2	0.845
ZNF263	-0.34775
TACSTD1	1.9935
TYR	-5.1525
ATP6AP2	-0.32875
RNUXA	-0.9305
ABHD10	-0.3556
GDPD2	-1.33575
SLC35C1	-0.50475
UBE2A	0.303875
HERC5	-0.558333333333333
FAM112B	-3.80166666666667
FBXL16	2.46775
DKFZP434A0131	-0.206
ELA3A	-1.3465
RBM41	-1.39875
HAO2	0.562
RNH1	-0.992
SHANK2	1.28433333333333
OSBP2	-1.42825
DAK	-0.708333333333333
C3orf58	0.0595
TCL1B	0.773
KBTBD2	-0.9735
SUGT1L1	-0.75725
UBE2E2	-0.746833333333333
MYL9	2.459125
CDC23	-1.398
PBXIP1	1.8743
CXorf40B	1.275
NBL1	0.761
RTBDN	0.587
RAB11FIP5	0.027375
TTTY13	0.1765
SCOTIN	-0.594583333333333
SOHLH1	-0.5362
CDKN1A	-1.39721428571429
NCK1	-0.06725
ZNF550	0.07025
SAPS3	0.98075
SPIN3	0.227166666666667
MAGEE2	0.056
MIS12	-0.690333333333333
OR8H2	0.6775
KIAA0774	-0.722
UNC5D	-1.9865
CUL7	-0.770666666666667
LIPC	-3.35533333333333
DIO1	3.04175
C20orf11	2.3538
CTRL	-1.03275
HS3ST2	0.239
PAK4	0.961166666666667
CCRL1	1.5745
RNF10	0.860125
ZNF567	0.4315
ZNF660	-0.6585
TCEAL3	0.7505
MAGOH	1.17033333333333
CENPB	-0.127833333333333
C19orf7	1.095875
LOC388965	0.204
ZCCHC13	2.6845
JMJD1A	-0.6579
HIST1H4H	1.7355
TBRG1	-0.6167
GPC3	-3.926875
TAF1C	-0.347125
EBNA1BP2	-0.869333333333333
CIAPIN1	-0.083
PDGFRA	0.219529411764706
CSTB	-0.089625
CENPI	-1.9335
GTF2E2	-0.65
RPP21	0.489
CCNF	-1.33833333333333
KCNQ3	0.849
FAM79A	0.9945
SLC22A12	-0.1585
NOVA1	1.9735
FZD3	0.9925
AKAP8	-0.35875
SOCS5	-0.591125
CFDP1	-0.8125
DLG5	0.374
PGM5	0.272636363636364
C1orf144	0.199909090909091
HDAC10	-4.391
RND2	-0.64675
C20orf199	0.62425
RNMT	-0.568625
SLURP1	-0.36675
ASTN1	0.339333333333333
SH3BGR	1.4865
MYCL1	0.2235
ZHX1	0.2645
CENPK	-4.21025
FOSB	-0.9714
LOC643406	1.25575
C2orf59	-0.450875
TMEM135	-0.295625
SLC27A2	-0.187
KRT33A	1.487
OVOL1	0.66725
PAMCI	-2.41916666666667
S100A7	0.8445
ZNF789	-0.5675
HARS2	-0.745
RPL23A	-0.142833333333333
TCF23	0.445
UPF3B	-0.86125
C17orf78	-0.223
HLA-DOB	0.898333333333333
C14orf142	0.5085
TEKT5	1.222
DMWD	0.7925
POLD1	-1.81033333333333
GSCL	0.186
CALD1	0.252
SCRT1	0.789166666666667
AIG1	2.64
UNC84B	-2.43225
ZNF404	0.2055
TMED6	-2.86975
KIAA1462	-0.4925
LRRC27	1.5294
PYGO1	0.343
PIGU	-1.47533333333333
ALAS2	-3.06733333333333
WRNIP1	0.603625
CNNM3	0.049
ZNF2	-0.19925
ST3GAL5	-1.21733333333333
MRPL23	-0.66025
TSSK6	-0.4995
PSMA6	-0.633
C16orf70	0.82225
KIAA1602	-0.07
ALMS1	0.141
DCN	1.800375
TMEM132D	-0.78625
SUCLG2	-1.2395
ABHD14A	0.26225
DEXI	0.692333333333333
AMPD2	-1.85033333333333
IFNAR2	-1.0084
CYB5A	1.7565
TLOC1	-0.43485
NXF5	-0.330333333333333
NRBF2	0.033875
KCTD3	2.2595
ITGAE	-0.9705
SLC30A3	-1.41516666666667
ZRF1	-0.4925
IFRD2	-1.09975
XAB1	-0.11425
PYCR2	-0.623333333333333
SERPINB3	-4.0735
TMLHE	-0.6358
GEFT	-0.36375
ABCA5	0.747125
EMR4	1.22316666666667
TSFM	0.37025
HIST3H2BB	0.52275
ARHGEF19	0.996
TSPAN17	-1.14
ABCC8	1.4025
MAP1S	-0.113666666666667
C22orf36	2.04425
BNC2	-0.543642857142857
HIST1H4A	0.5055
NDUFS3	-1.062
WDR3	-0.1215
XKR4	-1.21033333333333
TTC33	-0.866692307692308
STMN2	3.51925
CPN2	-0.3235
HSPC105	2.61725
PCOLCE2	-3.5695
C3orf55	-1.401
KLHDC9	1.31266666666667
TBC1D23	0.337125
ATXN2L	-1.00116666666667
MAP2K3	-1.16316666666667
SCAP	-0.87525
ZNF486	1.46633333333333
C20orf96	1.44475
NARS	0.1945
ADAMTSL1	-0.736
PRCC	0.452833333333333
CCDC126	0.272583333333333
ZNF675	-0.5585
CALCOCO1	0.24575
ANKRD43	-0.80125
CWF19L2	0.826666666666667
ZBTB32	-0.956333333333333
BRAF	0.20825
ODF4	0.078
MGC14376	-0.308166666666667
HORMAD1	-3.334
AAK1	-0.62
PEBP1	1.32708333333333
TNFSF5IP1	-0.457166666666667
DKFZp564N2472	-0.72775
RMND1	0.825375
IGKV1-5	4.6945
COL1A2	2.61625
SERPINA5	-2.93775
AANAT	1.021
C19orf21	-0.784166666666667
GEMIN5	-0.76375
UBR4	-0.932166666666667
LTBP3	1.18716666666667
AMHR2	-2.0125
PROCR	-1.38175
MYBBP1A	-1.058
C20orf39	-3.14833333333333
ZNF697	0.522875
PASK	-0.7966
ZNF776	0.949666666666667
RFXDC2	0.17175
KIAA0467	0.372
C10orf96	-1.618
ZNF503	-1.15175
GULP1	-1.67275
KCNE4	-0.495333333333333
DKFZp434K191	-0.498125
LOC196913	null
BHLHB4	1.72
CH25H	1.1135
LOC81691	-0.6455
ALPL	0.0787857142857143
COL12A1	2.312375
FOLR3	-2.33183333333333
GPR123	-0.2025
TRIM62	-0.4535
ABLIM1	0.2965
MAST3	-0.88975
RHBDD1	1.22633333333333
LOC338809	0.706
RYBP	0.0195
TTC26	-0.498875
ZNF22	1.07
ISCA2	0.2235
RDM1	-1.50975
PIGM	1.015
GNB3	-0.9955
ACTR2	-0.2115
HMGB1	-0.1081
EDG1	2.39416666666667
SOAT2	-2.79775
OR10AD1	-3.614
RAP1GDS1	0.60225
LCE1F	1.07
ESM1	-0.897625
RCN3	1.69975
CREBL1	-0.42025
DBNL	-1.44916666666667
PTGER3	3.91175
USP30	-0.0804
BCL2L12	-0.199833333333333
KIF26B	1.845
ZNF416	1.01875
ZNF225	0.5775
C17orf70	-0.6255
ZNF554	1.25925
RAE1	1.19583333333333
TNIK	-1.74966666666667
ACTN3	0.0055
MGC45922	1.1215
CCNA1	-1.62283333333333
RYK	0.567
IL26	0.195
LRP3	0.648833333333333
QARS	-1.5355
SOX7	0.564214285714286
BID	0.21025
OR2S2	0.0755
CXCL14	4.87625
C11orf47	-0.478
MGC29891	0.405666666666667
HSPB8	0.125
PRDM14	-0.7625
NUFIP2	-0.09375
MNAT1	-0.894125
ZDHHC2	-1.35358333333333
MBNL2	-0.051625
ADD3	-1.057375
CSNK2A1P	-1.0015
KLK6	-1.16783333333333
TMEM111	-0.3414
KIAA1279	0.89675
NUBP2	0.470666666666667
RAB42	-1.74625
ID3	-1.31777777777778
TM9SF1	0.3365
MDP-1	0.3255
POU4F2	0.43075
IQCK	1.0045
C16orf14	0.304
CAPN3	-1.57675
FAM43B	0.189875
RECQL	-1.32725
