Hybridization REF	TCGA-B6-A0RN-01A-12R-A084-07
SLC26A10	-2.7055
STX8	0.497
LUZP1	0.173375
WDR89	0.600166666666667
EIF4G3	0.00349999999999999
C5AR1	0.327
ZNF623	0.538
A2M	-0.19475
TGM7	0.158
GRPEL1	-0.607
LMNB2	-1.6405
ROCK2	-0.628
SNX16	-0.073375
CCDC66	-0.06025
ANXA3	0.8855
KIAA1609	-0.5
EED	-0.8065
RNF32	1.018
HES1	0.2757
CLC	-0.3925
ISL1	0.298833333333333
KIAA0528	0.21075
MANEA	0.573125
C1orf61	-2.59
hCG_2001000	0.08175
RAPGEF6	0.133
KIAA0020	-0.8955
NEIL1	0.6865
C16orf45	-0.439875
RBM10	-0.3855
C10orf125	-1.969375
MRS2L	-0.24875
DNAH17	-0.85175
C19orf10	-0.93275
C1orf160	0.3485
SLFN12	1.27
EXOC3	-0.162666666666667
HIST3H3	0.85675
NCOR2	0.229833333333333
TNFRSF9	0.4315
MFSD8	0.052
ALX1	-3.28116666666667
NOL1	-1.2805
PODN	2.85425
TIAL1	-1.07025
HIST1H1E	-0.54575
NPY6R	0.07175
TM4SF4	-1.22175
CORO2A	0.60175
ETNK2	1.81483333333333
APOE	0.2111
ANGPT4	0.9655
HDGF2	-0.22825
G30	0.8545
ST8SIA4	-0.666375
F2RL1	-0.175
FAM19A4	-3.45433333333333
CCAR1	-0.90025
B3GNT7	-0.12825
OPHN1	-0.3474
DSCR6	-0.098
C21orf13	0.569
GAS2L1	-0.0305
RFX3	0.689833333333333
COPS4	-0.0485
BCHE	-4.5045
BCL2	2.981375
HBZ	-3.35316666666667
ARL13B	0.938125
MAPBPIP	1.020125
MYO15B	-0.477375
SPZ1	0.16425
KIAA1324	3.29155555555556
PLCL2	-0.8895
C4orf29	-0.9585
WDFY2	-0.460125
ZNF284	-0.0125
NAALADL1	0.292
DUSP5	0.7235
PXDN	1.203875
SLMO1	-0.86475
TNXB	0.3916
BIRC7	-1.52225
A4GALT	0.385333333333333
TIMM22	0.644
FAM110C	1.3545
TOMM34	-1.038875
ABHD9	0.2275
ADAM32	-0.1485
CRHBP	-0.51
AQP2	0.54625
LOC130355	0.773
ZNF187	0.623166666666667
ZNF816A	0.9315
F7	-0.475375
CNOT1	-1.2922
SLC13A4	-0.8105
ZBTB11	0.39775
B3GALT5	0.0185
EXOC2	0.64
IRS1	0.00459999999999999
TMEM1	-0.158166666666667
MRPL34	-0.225166666666667
SAMM50	-1.2295
CDC42EP3	-0.68425
HSF2	-0.4653
MFN2	0.015
TSPAN7	-1.63466666666667
NUCB1	0.136416666666667
RHOH	-0.944
ARL16	-0.187
TACR1	0.04475
SFRS5	-1.04283333333333
SNX25	0.571375
RHBDF1	1.07616666666667
PCDH18	2.65183333333333
HMG1L1	-0.0645
MYO5C	0.912
MAPK10	1.471
LDHAL6A	-0.205833333333333
NUDT12	1.95183333333333
NCAM1	-0.247
GLIS2	1.2315
GGTL4	-0.479
DAPP1	-0.46175
ATF7	0.84125
KIAA0748	-1.309
NFIL3	0.0465
TM6SF1	0.2702
SEZ6	-0.283125
NANOS3	0.822166666666667
DNAJA3	0.0725
CLDN6	-3.035
CIITA	2.8389
EPHA4	-0.834583333333333
FANCC	-0.2205
CMTM3	0.999625
PSG3	-0.507125
MRPL15	-0.742
C21orf59	-0.17275
PLCXD2	-0.112
C2orf34	0.09025
UBE2L6	0.55975
MED14	-0.2765
HP1BP3	-0.6423
C6orf208	0.1855
TPBG	1.196
OSR2	-0.30325
XPC	-0.0115
KLHL7	-0.750333333333333
CCR3	-0.457666666666667
AGTPBP1	-1.92716666666667
PCSK6	1.52593333333333
STAT5A	-0.2599
FAM18B	0.56175
LONRF2	2.6255
PTPN2	-0.75025
SF3A3	-0.7575
EFCBP2	-0.50275
HCFC1	-0.635166666666667
AHNAK	0.38465
ACTR5	-0.14825
KIF14	-3.524
TENC1	1.65675
HEATR5B	0.989
YIPF2	0.752333333333333
MYEOV2	0.548833333333333
DUSP18	0.61625
KIAA1012	0.47375
AHR	1.41566666666667
C17orf53	-2.02166666666667
PTPRH	-4.303
ATP6V1C1	0.1121
TAS2R3	0.3525
LOC440356	0.70425
COQ10B	0.698
PSMF1	0.429833333333333
SORBS2	1.76125
NFE2L2	-0.367
TMCO7	-0.806
SH3PXD2A	0.9088
SH2D2A	-2.23225
SPINK5	-3.36425
MRPS24	-1.28525
OPA3	0.527
TRAF7	0.150166666666667
C4orf35	0.1415
MT1G	-2.09825
MGC39545	0.4305
HS1BP3	0.0819
OR2B2	0.3665
CHRM4	0.352
SFRP2	3.91658333333333
RIC3	1.3915
ART1	0.307
C6orf1	1.535875
DUS4L	-0.81725
C10orf104	0.513
TNFAIP6	3.779
RTEL1	-1.87425
CCT4	-0.6116
ZNF709	0.7345
CHMP6	0.31
UPP2	0.83725
CYP19A1	-2.610625
CD151	-0.0531666666666667
NDUFA13	-0.461666666666667
ARFRP1	-1.2555
FAM26B	1.4545
CRYBA1	-1.383
MRPL41	-0.610833333333333
NPFFR2	-0.830625
HRH2	0.167
SCAMP3	0.384333333333333
MTMR6	1.0377
MTG1	-1.0425
UBTD1	1.07425
CRABP1	-0.9495
FLJ33790	1.0189
KIAA1908	0.318333333333333
GPR158	-2.25425
PACSIN3	-0.00616666666666667
OMD	4.78583333333333
CATSPER1	-0.759666666666667
HOXB8	-0.208375
FBXO46	1.7355
OAS1	-0.349833333333333
SVIL	0.31
PHB2	-0.84775
ADCY3	-1.125
NDRG2	1.20283333333333
ERMAP	1.2843
APBA2	-0.842833333333333
IGSF9	3.54075
WNT6	-0.616428571428571
MYCBPAP	1.36925
ATP2B2	-0.1742
CPVL	-1.3777
TRAM2	-0.95425
NOP5/NOP58	-0.4655
ZNRF4	0.2005
TLK1	0.656875
MTMR12	0.120714285714286
ZNF384	-0.3295
FAM9B	-3.63875
RPN1	0.2882
PMVK	1.47225
EIF3D	-0.4308
SIX2	1.478
HPS1	0.536642857142857
RNF7	0.589
PSKH2	0.584
KCTD13	-0.0851666666666667
CSMD3	-0.7595
FBF1	-0.1205
IL8	-6.189875
SERPINB13	0.686
FBXL20	0.3085
BLR1	0.504
SH2B1	-0.106833333333333
RFNG	-0.034375
RAB20	1.098
RBM7	-0.3445
POLR1A	-0.318333333333333
TMPRSS4	-3.759
TAF9	-1.1525
TERF2	-0.299166666666667
TNFRSF1A	0.808083333333333
ACADVL	-0.542666666666667
GTF2H5	0.1355
EDG8	-0.9735
C9orf140	-2.177625
UST6	0.361666666666667
ZBTB8OS	-1.1395
ZNF710	0.1855
GPR174	-1.6955
ATP6V0A2	-0.365
KIAA0319L	0.847833333333333
XKRX	-0.2235
DOPEY2	1.547
SDHD	-0.542666666666667
SUMF1	2.301
OSM	1.1875
OPN3	-0.66575
DAGLB	-0.548833333333333
PPFIBP1	0.4168
TRIM63	-3.47625
C10orf53	-0.75
LYPD3	0.0241666666666667
BCL7A	0.606
AGER	-1.72016666666667
TCF19	-1.988125
SAT2	-0.0695
PFTK1	1.09316666666667
GABRE	-3.78625
C15orf38	0.4151
FIS1	0.086
KCNV2	-0.23125
CLPS	0.34725
PPCDC	-0.132875
FOXN2	-0.639166666666667
NT5E	-3.5037
CD83	0.49675
IL18	0.685875
VPS16	-0.0225
IGFBP2	-0.511333333333333
NOTCH2	0.50425
SIGLEC1	1.087
CD93	4.422
SULF2	1.12375
CEP164	-0.25625
P53AIP1	0.148333333333333
TOR2A	-0.318
ZNF136	1.4465
MGP	3.1644
CCDC144A	1.78066666666667
TRPC1	0.0825
SMS	-0.315833333333333
MAPK7	-0.379333333333333
RRAGC	1.0205
PARD6A	-0.135166666666667
NUB1	0.455
SYNGR4	1.06825
OR11H12	0.474
WIF1	0.050375
GCH1	-0.8495
OR11H4	-0.1955
SLC44A5	2.285
GPRIN2	1.86433333333333
LOC401431	0.5225
CPA4	-2.8381
MELK	-4.35833333333333
IL15RA	-1.5005
CUL3	1.027
HMBOX1	-1.696
PODXL	-2.214
CCT6B	0.847666666666667
COMTD1	-1.7565
MUC20	-0.954333333333333
GPX2	-4.411125
ITK	-1.490625
FBXL5	2.0775
C13orf27	-1.93725
DEFA5	0.489
TRHDE	-0.229
MTP18	-2.182
UQCRQ	-0.2096
ITGB2	0.867
CSRP2BP	0.331
TAS2R44	0.3525
PHPT1	0.251875
FAM44C	-0.094
ERH	0.5585
MPHOSPH1	-1.884
MORC1	-0.1
PARVB	-1.5615
LAMA1	-2.211
PGBD3	0.5525
GIMAP6	3.4275
AREG	-1.69266666666667
LIPT1	0.051
MGC99813	-1.43625
C1orf201	0.519833333333333
GRIN2A	-0.4578
MAN2C1	-1.43525
NSUN5	-0.916
SF3B5	0.1205
MYC	-1.470625
NRXN1	-0.28825
ZNF18	1.04925
SPDYA	-0.509625
SLC37A1	0.8295
DECR2	0.31
ANKRD38	2.57875
SPTLC3	-0.474666666666667
SUPT16H	-0.0275
DTWD2	1.32225
ULBP1	0.58
ZADH1	0.481833333333333
OIP5	-3.98275
IL10RB	0.153
OTUB2	0.313125
VWA3A	0.141833333333333
SPIC	0.59675
OR6C4	0.3905
PSCD4	0.161666666666667
DPY19L2P2	1.0265
TRAPPC6A	0.880333333333333
C21orf2	-0.0101666666666667
CEMP1	0.304
LIN7B	-0.388
E2F7	-3.54783333333333
VCP	-0.2084375
LAMA3	-1.29208333333333
BGN	2.3615
GPR160	1.18316666666667
COCH	-4.59283333333333
GPR81	2.3995
APOBEC3F	-2.35525
tcag7.1017	-0.4515
C1orf32	0.039
SCGB1D2	-0.559
FLJ43987	-0.323
C6orf170	1.78525
KLK9	0.276
GPD1L	0.630375
VPS37B	-0.24325
ATG3	-0.538166666666667
ADAMTS17	-0.1915
KLHDC2	0.00566666666666666
NDUFV2	-0.3975
BLK	-2.218
MATN4	-1.79
GPM6A	-0.083625
GBP4	2.26633333333333
TMEM162	0.0938333333333333
PKP2	1.078
HRASLS	0.552222222222222
MMP1	-3.419
SFXN3	-0.3903
FSD1	-1.949
ST6GALNAC3	-1.82133333333333
CA12	2.3999
NCOA6	0.18825
C19orf58	-0.3949
PPP4R1	0.797666666666667
MAN1A2	1.16383333333333
IKBKAP	-1.159
UPF1	-0.326
KIAA1219	0.65325
WNT16	0.589166666666667
SNW1	-0.12925
IL18RAP	1.262
RPP30	-0.391625
CDC40	0.464428571428571
SETD3	0.506
SLAMF6	-0.0805
ELK4	-0.1535
TRIM47	0.361166666666667
ACOX3	1.467375
TRIM6	1.02025
KIAA0372	-0.0376666666666667
TP53AP1	1.5305
SMURF2	-0.02925
ADAD1	0.47925
EBP	-1.8414
KRTAP13-2	0.121
FLJ36874	-1.09366666666667
TOR1A	-0.110833333333333
P2RY4	1.4245
GPBP1	0.20075
TRPV1	-0.091625
ADAMTS12	0.851166666666667
PES1	-0.6863
ATG4A	0.788666666666667
MAGEA10	-4.918
WFS1	1.53825
CC2D1B	-0.516833333333333
PABPN1	-0.496875
SLC25A30	-0.02275
SLCO1C1	-0.641833333333333
SLC22A5	1.04575
KIF23	-3.50166666666667
SYN2	-1.17233333333333
ASPN	9.53633333333333
CENTG2	1.05275
QSOX2	-1.769
FLJ10815	-0.272
STK24	-0.4581875
SPEG	-0.3564
STK10	-0.790666666666667
DACT2	-2.518
AAAS	-1.05125
SSX3	-1.456625
ABCD3	0.6656
C4orf12	-0.053
PARVG	-0.399666666666667
FIG4	1.12375
C9orf46	1.033
TMCO6	-0.7835
IGHMBP2	-0.84475
DUS2L	-0.945166666666667
FAM3C	-0.3441875
TMEM16D	-1.952125
DCTN4	1.54425
KCNH3	-0.61175
EIF2AK2	0.998
AP1S3	0.030125
CST4	0.413
PAM	0.726625
NUTF2	-0.514
CITED2	1.5841
SLC39A4	-0.87
C2orf52	-1.1475
GRM3	-0.66375
C12orf49	0.161875
CCDC49	-0.1711
GRAMD1B	-1.624
FNDC4	0.78275
SIAH2	0.643625
GDPD4	0.26375
C21orf87	0.39275
ATP5A1	-0.298666666666667
C16orf63	-0.15875
LOC388135	0.725166666666667
ATP5J2	-0.66025
MMP3	-1.2135
EMID2	-0.16125
CRHR1	0.44375
WDR70	-0.26375
C13orf31	1.19275
ZFAND1	-0.6695
CCL18	2.31916666666667
C3orf49	0.0935
RINT1	-0.762
KIAA0408	-1.84133333333333
F13A1	5.171
SLC10A1	0.0235
OGN	4.58325
GIPC2	-1.60216666666667
XPO6	-0.646333333333333
LCE1A	1.3175
FMR1	0.1309
LOC374920	-0.39575
DUSP3	0.06525
ANKMY1	0.9385
C7orf50	-0.393
BBS9	0.1236
UNC119B	0.00325
C9orf72	-0.2915
MGC35440	0.30025
ENTPD6	-0.491125
PPP1R2P9	0.5545
ERCC4	0.792
FAHD2B	-0.526
HMHA1	-1.0635
HACL1	-0.64625
RAD23A	-0.8015
FAM83B	-0.49125
PPP5C	-0.850833333333333
RNASEH2C	-0.549125
C9orf153	-0.47525
SCAMP4	0.61225
GHITM	0.2601
NDUFB7	0.125875
ADCYAP1	1.93283333333333
SP110	1.90616666666667
MAP3K7IP2	1.10375
DHH	-0.494
AGRN	0.509571428571429
WDR33	0.0856666666666667
CEP290	0.530333333333333
PRPS1L1	-2.24983333333333
KLRA1	-0.3065
GPR97	-0.266
CHD7	-2.78241666666667
TLR10	0.6935
SLC30A8	0.367
HIC1	1.61666666666667
IAPP	0.5245
RXFP4	0.0615
GP1BB	1.571
SHQ1	0.7555
NKX2-3	0.1585
API5	-0.09275
FTHP1	0.2365
MOV10L1	0.713666666666667
TRIM6-TRIM34	2.62666666666667
ADHFE1	0.8385
FAM117A	-0.58025
DDI1	0.364166666666667
CDON	-0.121
TRIM73	-1.009
IGKC	4.51
MMP14	0.303416666666667
DYNC1LI1	0.32475
C11orf66	0.26375
TRBV3-1	-1.51475
FASTKD5	-0.00825
BIVM	-0.166
LHX4	-0.34975
CXCL2	-2.2652
RAB2B	-0.1725
IZUMO1	-0.60525
MAP3K15	-2.15125
FAM19A2	0.646833333333333
ZC3H8	-0.879166666666667
ZMAT1	2.1665
SPINK5L3	-2.504
SLC10A6	1.2915
APPL2	0.4725
CARD10	-1.37016666666667
LOC402176	-0.963125
EEF1D	0.3222
RAB6A	1.0595
C12orf5	-1.0825
PAPOLG	0.8895
MSRB2	0.4925
BCR	0.0716666666666667
PUS3	0.15925
TIAM2	0.975
ZNF317	0.223166666666667
CHD2	-0.0987142857142857
FZD5	-3.10577272727273
NUDT8	-2.46025
ZNF763	0.736
PRC1	-3.18255555555556
ABCB9	-0.766666666666667
SPATA3	0.13775
TRAK2	0.519
STAB1	2.268375
LRRTM2	0.211666666666667
psiTPTE22	1.84425
DBI	-0.25425
SERPINA11	-0.81025
NAT5	0.18475
C20orf58	-1.774
RPS6KA4	-0.153166666666667
FLJ90650	-0.58075
TGFBRAP1	0.604
CHRDL2	1.119625
FAHD2A	-1.0765
CNTN1	1.22425
BBS4	0.1768
TMEM181	0.39825
MINPP1	-0.49475
MPHOSPH6	-1.14816666666667
HOXC10	1.691
ITPKB	0.5445
CLPTM1L	-0.7435
MEOX2	-0.301833333333333
ATP6V0C	0.456375
PRPF8	-0.264666666666667
TMC5	4.67475
FKBP3	-0.56925
PLEKHB2	-0.287
OR4D6	-0.139
ZNF544	-0.3509
D2HGDH	-0.692875
RPL18A	-0.5415
HEL308	-0.23475
MPP6	-3.64775
TCERG1	-1.26925
KRT16	-1.42933333333333
KLF17	-1.1025
KLF5	0.59225
CDR1	2.809125
VCX3A	-5.168
FBLN2	2.474125
C14orf104	0.47375
HBE1	-5.4888
OR4S2	0.726
C1orf108	-0.00333333333333332
ROBO4	3.241
CPEB4	1.216375
C11orf80	-0.329666666666667
BCKDHA	0.714666666666667
MYOC	0.2805
GIF	-0.107
CKMT1A	0.825
RPL3	0.0519
THBS1	2.733
APOO	-0.92075
ARMCX1	2.76725
HSZFP36	1.14775
SNAPC5	-0.70575
EIF4ENIF1	0.282
ZNF433	0.59825
TNFRSF21	-1.36625
TMPRSS7	0.7975
SPATA18	1.3033
HPDL	-3.055
MKL2	1.9665
TBX3	2.51961538461538
C21orf93	0.560333333333333
DAXX	0.361
ELMO1	-0.495625
RGS13	1.78166666666667
TAF11	-0.429
UNC13A	-2.320625
LOC653314	-0.6324
ORC3L	0.165
IMAA	-2.8055
TARBP2	-0.6865
CABIN1	-0.7109
TRIOBP	-0.1325625
HIST1H2AC	1.55225
RGS22	-0.613333333333333
NCOA1	1.36916666666667
IL25	0.7055
SNCG	1.1335
GPR6	0.692
AMDHD1	-1.65333333333333
CHEK2	-1.84975
C6orf142	-0.784
DRD4	1.02925
C14orf68	-1.467
GDF11	-1.945
SEMG2	-0.1735
CD247	-2.50575
CDAN1	-0.17275
RBMX2	0.0171666666666667
TGS1	-0.2665
OIT3	0.39675
SYF2	0.0415
MCM4	-2.903625
PKHD1L1	-0.05825
CEP192	-0.933333333333333
IFT88	1.62675
RPL9	0.570142857142857
RAB32	-0.03925
DDX43	-3.38625
P2RX2	0.641166666666667
OR5D18	0.7725
UBE1	-0.305916666666667
SLC24A1	0.969625
ARHGAP5	0.71975
CETP	-0.52575
KIAA1731	-0.510333333333333
SLC9A4	-0.1925
PTPN6	0.723
BAHD1	0.126
GRIK3	0.064
CACNB2	-0.3838
PDE10A	0.588
DGCR14	-0.5585
PCDHB9	-0.86
RHOQ	0.589166666666667
MAP3K4	0.7055
KTI12	0.088
RPL23AP13	-1.704
GNG11	0.03825
CLCN3	1.16433333333333
GPAM	-0.777375
VSTM2A	-0.077
SLAMF7	1.51516666666667
INTS2	-1.08825
PPP2CA	0.2325
LRP12	0.015
SEC14L2	-0.0957777777777778
DKFZP586H2123	1.38525
MC3R	-0.423
CIRH1A	-2.03333333333333
HIST1H2AB	0.0968333333333333
POLH	-0.638125
MGC16703	-2.2175
SNAPC2	0.626
FILIP1L	1.612
RASGRP4	0.4985
LRRC1	2.044
GAS1	1.82075
PRAC	-0.855
DGKA	-0.490833333333333
NT5C3	-1.264
PEG3	-2.69675
NADK	-0.83725
PRR17	1.14325
LOC374569	-0.52925
SGSH	0.650166666666667
NLRP8	0.052
GALT	-1.412
MCF2	-0.984
ZNF263	1.321
TACSTD1	0.833333333333333
TYR	-6.8621
ATP6AP2	0.2735
RNUXA	-0.33175
ABHD10	0.3206
GDPD2	-1.3225
SLC35C1	-0.316
UBE2A	-0.07675
HERC5	-1.825
FAM112B	-5.55583333333333
FBXL16	2.09825
DKFZP434A0131	-1.0195
ELA3A	-2.3625
RBM41	-1.3395
HAO2	0.1915
RNH1	0.0585
SHANK2	1.0685
OSBP2	-2.149
DAK	-0.408166666666667
C3orf58	-0.24775
TCL1B	-0.2755
KBTBD2	-0.167625
SUGT1L1	1.6555
UBE2E2	-0.25
MYL9	2.7115
CDC23	-0.539833333333333
PBXIP1	1.7038
CXorf40B	0.9825
NBL1	2.27225
RTBDN	0.391
RAB11FIP5	0.545875
TTTY13	-0.64
SCOTIN	0.129583333333333
SOHLH1	-0.7995
CDKN1A	-0.592142857142857
NCK1	0.036
ZNF550	-0.9205
SAPS3	0.48675
SPIN3	1.3195
MAGEE2	0.391
MIS12	-0.265166666666667
OR8H2	0.376
KIAA0774	-1.752
UNC5D	-2.1525
CUL7	-0.371
LIPC	-3.66183333333333
DIO1	-1.01925
C20orf11	0.2695
CTRL	-1.135
HS3ST2	0.342
PAK4	1.146
CCRL1	4.45175
RNF10	0.26475
ZNF567	0.925
ZNF660	0.294
TCEAL3	1.13175
MAGOH	-0.810333333333333
CENPB	0.1575
C19orf7	0.639375
LOC388965	0.3785
ZCCHC13	0.0915
JMJD1A	-0.2367
HIST1H4H	-0.693
TBRG1	-0.8494
GPC3	-4.320625
TAF1C	-1.148
EBNA1BP2	-1.17
CIAPIN1	-0.763
PDGFRA	-0.516
CSTB	-0.777875
CENPI	-2.918
GTF2E2	-0.414
RPP21	-0.86575
CCNF	-0.772166666666667
KCNQ3	0.922
FAM79A	1.567
SLC22A12	0.7135
NOVA1	1.62266666666667
FZD3	1.3235
AKAP8	-0.6335
SOCS5	1.568
CFDP1	-1.14975
DLG5	0.7995
PGM5	0.584333333333333
C1orf144	0.292083333333333
HDAC10	-2.41
RND2	0.1205
C20orf199	-0.65125
RNMT	-0.365375
SLURP1	1.447125
ASTN1	-0.375285714285714
SH3BGR	0.89475
MYCL1	0.49725
ZHX1	0.1755
CENPK	-4.066
FOSB	2.0412
LOC643406	0.174875
C2orf59	-0.5095
TMEM135	0.432
SLC27A2	-3.94925
KRT33A	1.6255
OVOL1	1.046625
PAMCI	-2.4415
S100A7	-1.3515
ZNF789	-1.2145
HARS2	0.0605
RPL23A	-0.567333333333333
TCF23	-0.28575
UPF3B	-2.075375
C17orf78	-0.5435
HLA-DOB	0.541833333333333
C14orf142	0.0503333333333333
TEKT5	0.787333333333333
DMWD	0.0715
POLD1	-2.26433333333333
GSCL	0.2415
CALD1	0.7901
SCRT1	0.410666666666667
AIG1	0.956
UNC84B	-0.168
ZNF404	0.077
TMED6	-4.132
KIAA1462	0.687
LRRC27	1.62716666666667
PYGO1	0.1865
PIGU	-0.793333333333333
ALAS2	-4.0275
WRNIP1	-0.198125
CNNM3	0.493
ZNF2	1.364
ST3GAL5	-0.437666666666667
MRPL23	-0.9285
TSSK6	-0.43775
PSMA6	-0.78575
C16orf70	-0.829
KIAA1602	0.00775000000000001
ALMS1	0.602833333333333
DCN	3.901625
TMEM132D	-0.50575
SUCLG2	0.79975
ABHD14A	0.14775
DEXI	1.335
AMPD2	-1.29433333333333
IFNAR2	-0.628333333333333
CYB5A	2.3096
TLOC1	0.5947
NXF5	-0.6885
NRBF2	0.227375
KCTD3	1.90125
ITGAE	-1.45133333333333
SLC30A3	-2.43516666666667
ZRF1	-1.6625
IFRD2	-0.72275
XAB1	-0.37175
PYCR2	-0.116333333333333
SERPINB3	-4.675
TMLHE	-0.1005
GEFT	-0.4455
ABCA5	-1.841875
EMR4	0.565333333333333
TSFM	-0.164
HIST3H2BB	-0.721
ARHGEF19	1.25925
TSPAN17	-0.5985
ABCC8	4.35175
MAP1S	-0.024
C22orf36	0.25475
BNC2	1.24914285714286
HIST1H4A	-1.24275
NDUFS3	-0.4125
WDR3	-0.367166666666667
XKR4	0.1305
TTC33	-0.146615384615385
STMN2	4.64525
CPN2	-0.975166666666667
HSPC105	1.246
PCOLCE2	-4.145
C3orf55	0.838
KLHDC9	3.14016666666667
TBC1D23	0.577625
ATXN2L	-1.27033333333333
MAP2K3	-0.2915
SCAP	-0.51025
ZNF486	0.762166666666667
C20orf96	0.64025
NARS	-0.07425
ADAMTSL1	-1.14221428571429
PRCC	1.09416666666667
CCDC126	1.16283333333333
ZNF675	0.5765
CALCOCO1	0.82175
ANKRD43	4.3835
CWF19L2	0.617666666666667
ZBTB32	0.388166666666667
BRAF	0.121
ODF4	0.256
MGC14376	0.649833333333333
HORMAD1	-1.71116666666667
AAK1	0.161666666666667
PEBP1	0.916833333333333
TNFSF5IP1	-0.146666666666667
DKFZp564N2472	0.49775
RMND1	0.66675
IGKV1-5	4.9495
COL1A2	4.2775
SERPINA5	-1.95125
AANAT	0.413
C19orf21	0.932833333333333
GEMIN5	0.103
UBR4	-0.418166666666667
LTBP3	0.767
AMHR2	-1.43133333333333
PROCR	-1.49525
MYBBP1A	-1.01875
C20orf39	2.82133333333333
ZNF697	-0.08225
PASK	-1.0143
ZNF776	1.25166666666667
RFXDC2	-0.09175
KIAA0467	-0.358
C10orf96	-1.12975
ZNF503	-0.45125
GULP1	-0.856833333333333
KCNE4	3.19783333333333
DKFZp434K191	-0.793875
LOC196913	0.2025
BHLHB4	1.4505
CH25H	2.25875
LOC81691	-1.09283333333333
ALPL	-0.300071428571429
COL12A1	4.204
FOLR3	-3.24933333333333
GPR123	-0.0128571428571429
TRIM62	0.499142857142857
ABLIM1	0.86
MAST3	-0.62625
RHBDD1	0.710166666666667
LOC338809	0.355
RYBP	1.638
TTC26	-0.18025
ZNF22	1.12816666666667
ISCA2	0.0735
RDM1	-2.4515
PIGM	1.3835
GNB3	-1.744
ACTR2	0.3401
HMGB1	0.5045
EDG1	1.9335
SOAT2	-2.63675
OR10AD1	-0.371
RAP1GDS1	0.296916666666667
LCE1F	0.324
ESM1	-0.748875
RCN3	2.6095
CREBL1	-1.05125
DBNL	-0.171
PTGER3	3.798
USP30	0.188333333333333
BCL2L12	-1.047
KIF26B	3.09925
ZNF416	1.1845
ZNF225	0.341
C17orf70	-0.05125
ZNF554	1.082
RAE1	-0.8325
TNIK	0.863333333333333
ACTN3	0.2805
MGC45922	1.431
CCNA1	-0.886666666666667
RYK	1.18766666666667
IL26	-0.3015
LRP3	1.1425
QARS	0.3465
SOX7	0.348428571428571
BID	-1.76
OR2S2	-0.265
CXCL14	5.21075
C11orf47	-1.014
MGC29891	0.784166666666667
HSPB8	-0.7706
PRDM14	-1.7345
NUFIP2	0.069
MNAT1	-0.285625
ZDHHC2	-1.00175
MBNL2	1.07225
ADD3	-0.2995
CSNK2A1P	-0.91975
KLK6	-2.687
TMEM111	-0.0078
KIAA1279	0.81125
NUBP2	0.535166666666667
RAB42	-1.805
ID3	-1.1014
TM9SF1	0.364
MDP-1	-0.223
POU4F2	0.14025
IQCK	2.1265
C16orf14	-0.469
CAPN3	-2.00275
FAM43B	-0.219875
RECQL	-0.887
AP1G1	-0.199785714285714
CTNNBL1	-0.700666666666667
ECHDC1	-0.5855
SMARCC1	0.3081
FOXQ1	-1.0375
GNAI3	-0.208333333333333
POLG2	-1.71825
CD4	1.010875
ITLN1	-0.46375
EBI2	2.37725
IRF1	0.184
PTPRE	1.4507
PTK2B	-0.671
NXNL2	0.412
SOX4	1.27783333333333
TSPAN3	0.249333333333333
SH2D1A	-3.19216666666667
C8orf58	-0.147666666666667
USP20	-0.73875
DUSP22	-1.18883333333333
CALB1	-2.07566666666667
L3MBTL2	0.504083333333333
MCRS1	-0.5895
TMEM118	-1.058
C18orf8	0.041
FLJ10241	-0.058625
GJA12	0.7245
PKD1	-0.016
ZFP3	0.7205
JAM3	-0.49325
LAPTM4A	1.3879
DIRC2	0.4865
KIAA2022	0.7005
MYOM1	0.387833333333333
TRPM8	-2.36516666666667
MOP-1	1.927
PHKG2	-0.23175
ZNF650	0.757
KIAA1522	1.97325
PSG8	-1.60466666666667
DDX19B	-0.725
MOBKL1B	-0.27
DIAPH2	-1.35816666666667
PTPN12	-0.08225
CLN8	-0.1747
CRYZL1	-0.05
CRY2	1.23775
FCGR2B	2.77216666666667
PNPLA4	1.547375
ZNF454	0.172
DKFZp434B1231	-0.49875
CLDN11	0.3074
RFWD2	1.225
CIB2	-0.891666666666667
MXRA8	3.33375
HRK	-0.707875
MAML2	-0.724
C4orf31	1.39225
C6orf192	-0.1095
COG6	0.595625
FAM5B	-0.6095
NFATC1	0.7507
SEPT10	0.16125
SCYL1	-0.516
RPP40	-1.39975
SCOC	0.5552
KIAA1450	1.356
CTDSPL2	0.22825
TBX5	1.899
NAPG	0.09325
RHD	-4.87675
C14orf45	1.99366666666667
ZBTB22	1.5475
PLCG1	-1.565
ANKRD10	-0.971
AQP7P2	-0.1375
TAGLN2	0.327833333333333
HTR2C	-1.11183333333333
SLC16A7	-0.628833333333333
C17orf83	-0.037
TSGA14	-0.142416666666667
MDH1	-0.7405
PPP3R2	-0.324
DCBLD2	-1.45871428571429
RBM33	-0.8635
DPH3	-1.62425
SYT10	-1.09833333333333
FMO4	2.31275
THYN1	-0.487
DRD5	-2.352
OTOR	1.59875
PGRMC2	0.2606
KATNAL1	0.29825
PAQR6	-1.1745
UBE2I	0.13225
C14orf28	0.33975
C8orf70	1.672
FLYWCH1	-0.41
ANGPTL3	-0.87625
GLRX2	-0.0363333333333333
ATP11A	-1.15092857142857
ARL5B	0.037125
MUC16	-3.4055
