Hybridization REF	TCGA-AQ-A04J-01A-02R-A034-07
TOR1A	-0.7855
P2RY4	1.143
GPBP1	-0.05425
TRPV1	-0.733
ADAMTS12	-0.265666666666667
PES1	-0.0879
ATG4A	0.425666666666667
MAGEA10	-4.80225
WFS1	0.1205
CC2D1B	-0.316333333333333
PABPN1	0.268
SLC25A30	0.168
SLCO1C1	-0.00733333333333335
SLC22A5	-1.6465
KIF23	-0.931333333333333
SYN2	-0.5545
ASPN	6.68316666666667
CENTG2	0.2935
QSOX2	-1.7493
FLJ10815	0.335333333333333
STK24	1.3525
SPEG	1.2586
STK10	0.692
DACT2	0.0925
AAAS	-0.80925
SSX3	-1.735375
ABCD3	-0.2699
C4orf12	-0.294125
PARVG	1.916
FIG4	0.99775
C9orf46	0.1525
TMCO6	-0.258
IGHMBP2	-0.961
DUS2L	-0.606833333333333
FAM3C	-0.6956875
TMEM16D	-2.06275
DCTN4	-0.114
KCNH3	-0.10275
EIF2AK2	1.37225
AP1S3	-0.74625
CST4	1.264
PAM	0.075125
NUTF2	0.25025
CITED2	0.0944
SLC39A4	-0.08625
C2orf52	-0.988
GRM3	-0.15425
C12orf49	0.1975
CCDC49	-0.4222
GRAMD1B	-1.240625
FNDC4	0.5935
SIAH2	0.362375
GDPD4	0.3075
C21orf87	1.050625
ATP5A1	0.1575
C16orf63	-0.4075
LOC388135	-0.783666666666667
ATP5J2	-0.139375
MMP3	0.53125
EMID2	-0.534
CRHR1	0.31375
WDR70	-0.36175
C13orf31	2.14575
ZFAND1	-0.072
CCL18	4.28716666666667
C3orf49	-0.011
RINT1	-0.8525
KIAA0408	-1.553
F13A1	4.8621
SLC10A1	0.611166666666667
OGN	1.4525
GIPC2	-0.8865
XPO6	-0.304333333333333
LCE1A	1.35
FMR1	0.679
LOC374920	-0.07975
DUSP3	-0.392625
ANKMY1	-0.6275
C7orf50	-0.745
BBS9	-0.5873
UNC119B	-0.795
C9orf72	-0.033375
MGC35440	0.22
ENTPD6	0.193
PPP1R2P9	0.9815
ERCC4	-0.26575
FAHD2B	-0.15
HMHA1	0.392
HACL1	-1.372
RAD23A	0.313
FAM83B	0.901
PPP5C	-0.463666666666667
RNASEH2C	0.186375
C9orf153	-0.193
SCAMP4	0.15125
GHITM	-0.0926
NDUFB7	0.14725
ADCYAP1	0.571166666666667
SP110	1.64416666666667
MAP3K7IP2	0.7675
DHH	0.0175
AGRN	1.01842857142857
WDR33	0.971333333333333
CEP290	-0.417
PRPS1L1	-2.31066666666667
KLRA1	0.104
GPR97	-0.1785
CHD7	-0.0729166666666667
TLR10	3.1005
SLC30A8	-1.06
HIC1	1.62083333333333
IAPP	0.8785
RXFP4	0.3595
GP1BB	1.397
SHQ1	-0.3155
NKX2-3	0.357166666666667
API5	0.064
FTHP1	-0.1775
MOV10L1	0.402833333333333
TRIM6-TRIM34	1.74583333333333
ADHFE1	0.936
FAM117A	0.1785
DDI1	0.173833333333333
CDON	-0.503333333333333
TRIM73	-1.1655
IGKC	5.8665
MMP14	-0.37425
DYNC1LI1	-0.587375
C11orf66	-0.08125
TRBV3-1	0.06925
FASTKD5	0.291
BIVM	-0.31975
LHX4	-0.3825
CXCL2	1.6006
RAB2B	-0.718333333333333
IZUMO1	-0.63525
MAP3K15	-1.81975
FAM19A2	0.425666666666667
ZC3H8	-0.4755
ZMAT1	1.020125
SPINK5L3	-3.47275
SLC10A6	1.443
APPL2	-0.516875
CARD10	-0.886
LOC402176	-0.025375
EEF1D	0.4904
RAB6A	0.1517
C12orf5	-0.23
PAPOLG	1.24125
MSRB2	0.7535
BCR	0.908111111111111
PUS3	-0.40425
TIAM2	1.33225
ZNF317	0.146666666666667
CHD2	-0.0532857142857143
FZD5	-1.37868181818182
NUDT8	-0.38125
ZNF763	0.0265
PRC1	-1.02766666666667
ABCB9	0.0926666666666667
SPATA3	0.47175
TRAK2	-0.15625
STAB1	3.24825
LRRTM2	0.323
psiTPTE22	1.44625
DBI	1.83675
SERPINA11	-3.43275
NAT5	-0.433
C20orf58	-2.79625
RPS6KA4	0.0985
FLJ90650	-0.89125
TGFBRAP1	0.50025
CHRDL2	5.111
FAHD2A	0.0298333333333333
CNTN1	-0.243
BBS4	-1.2035
TMEM181	0.71175
MINPP1	-2.02225
MPHOSPH6	0.690833333333333
HOXC10	1.1351
ITPKB	0.513375
CLPTM1L	-0.188375
MEOX2	0.418833333333333
ATP6V0C	0.18775
PRPF8	-0.2395
TMC5	2.4745
FKBP3	-0.2805
PLEKHB2	-1.045125
OR4D6	-0.1675
ZNF544	-0.473
D2HGDH	-0.409875
RPL18A	0.0281
HEL308	0.00562500000000001
MPP6	-1.574
TCERG1	-1.1295
KRT16	3.15866666666667
KLF17	-1.31925
KLF5	1.430375
CDR1	2.464125
VCX3A	-4.2365
FBLN2	2.024125
C14orf104	0.13025
HBE1	-4.9313
OR4S2	0.185
C1orf108	0.218666666666667
ROBO4	4.05433333333333
CPEB4	-0.197125
C11orf80	-0.405
BCKDHA	0.3855
MYOC	0.24
GIF	0.1645
CKMT1A	1.575
RPL3	0.0658
THBS1	1.677875
APOO	-0.472
ARMCX1	1.14675
HSZFP36	0.066
SNAPC5	-0.30025
EIF4ENIF1	0.5495
ZNF433	-0.317
TNFRSF21	0.621625
TMPRSS7	-0.2075
SPATA18	0.912
HPDL	-1.01
MKL2	0.8994
TBX3	-0.851615384615384
C21orf93	0.485
DAXX	0.7835
ELMO1	0.743
RGS13	2.14883333333333
TAF11	-0.48325
UNC13A	-1.593625
LOC653314	-0.2948
ORC3L	0.4325
IMAA	-1.3455
TARBP2	-0.6645
CABIN1	0.3911
TRIOBP	0.304375
HIST1H2AC	0.944875
RGS22	-2.69283333333333
NCOA1	1.712
IL25	0.17
SNCG	0.7525
GPR6	-0.009
AMDHD1	-2.35533333333333
CHEK2	0.201375
C6orf142	0.75675
DRD4	0.899
C14orf68	-1.30525
GDF11	-1.09475
SEMG2	-0.1005
CD247	1.19875
CDAN1	-1.0435
RBMX2	0.0985
TGS1	-0.08325
OIT3	1.4055
SYF2	-0.449
MCM4	-0.755
PKHD1L1	0.892875
CEP192	-0.0248333333333333
IFT88	-0.52325
RPL9	-0.395571428571429
RAB32	0.193
DDX43	-3.17475
P2RX2	0.4055
OR5D18	0.2515
UBE1	0.436583333333333
SLC24A1	0.780625
ARHGAP5	0.6645
CETP	1.093
KIAA1731	0.0298333333333333
SLC9A4	0.207
PTPN6	1.57575
BAHD1	-0.129
GRIK3	0.2965
CACNB2	-0.0525
PDE10A	-0.15725
DGCR14	0.249
PCDHB9	0.572333333333333
RHOQ	1.07966666666667
MAP3K4	-0.15625
KTI12	0.160333333333333
RPL23AP13	-0.60725
GNG11	0.02625
CLCN3	0.8335
GPAM	-1.410375
VSTM2A	-0.689
SLAMF7	3.37133333333333
INTS2	-1.22825
PPP2CA	-0.6038
LRP12	0.273933333333333
SEC14L2	0.840888888888889
DKFZP586H2123	3.533
MC3R	-0.179
CIRH1A	-0.698166666666667
HIST1H2AB	0.7405
POLH	0.09725
MGC16703	-2.01966666666667
SNAPC2	-0.5335
FILIP1L	1.71775
RASGRP4	-0.0595
LRRC1	0.871
GAS1	1.26
PRAC	-0.63775
DGKA	0.888333333333333
NT5C3	-0.228
PEG3	-2.3515
NADK	-0.2815
PRR17	0.61375
LOC374569	0.252
SGSH	0.330666666666667
NLRP8	0.024
GALT	0.2611
MCF2	-0.3205
ZNF263	0.07625
TACSTD1	1.19016666666667
TYR	-6.3659
ATP6AP2	0.01675
RNUXA	-0.73425
ABHD10	-0.2809
GDPD2	-1.384
SLC35C1	0.52025
UBE2A	0.43375
HERC5	0.345666666666667
FAM112B	-4.453
FBXL16	-1.59
DKFZP434A0131	0.01625
ELA3A	-2.452
RBM41	-1.36825
HAO2	-0.085
RNH1	-0.2735
SHANK2	0.901333333333333
OSBP2	-1.254
DAK	-1.04266666666667
C3orf58	1.76391666666667
TCL1B	-0.115
KBTBD2	-0.209
SUGT1L1	-0.11475
UBE2E2	-0.0623333333333333
MYL9	3.2285
CDC23	-1.36766666666667
PBXIP1	1.6316
CXorf40B	-0.074
NBL1	-0.11275
RTBDN	0.0975
RAB11FIP5	-0.00325
TTTY13	-0.4075
SCOTIN	-0.385083333333333
SOHLH1	-0.475333333333333
CDKN1A	0.582142857142857
NCK1	1.24325
ZNF550	-0.276
SAPS3	0.206
SPIN3	-0.3885
MAGEE2	0.363
MIS12	-0.8835
OR8H2	0.2685
KIAA0774	0.0198333333333333
UNC5D	1.5865
CUL7	-0.0545
LIPC	-3.4815
DIO1	0.3815
C20orf11	-0.3723
CTRL	-0.35575
HS3ST2	1.4485
PAK4	1.07116666666667
CCRL1	2.0175
RNF10	-0.25825
ZNF567	0.18875
ZNF660	0.399
TCEAL3	0.447
MAGOH	-0.4845
CENPB	0.2045
C19orf7	0.775375
LOC388965	-0.2955
ZCCHC13	0.751
JMJD1A	-0.6963
HIST1H4H	0.7675
TBRG1	-1.0257
GPC3	-4.46675
TAF1C	-0.2455
EBNA1BP2	-0.6255
CIAPIN1	-0.162
PDGFRA	0.213166666666667
CSTB	1.11475
CENPI	-1.36166666666667
GTF2E2	-0.427833333333333
RPP21	0.33575
CCNF	-0.757666666666667
KCNQ3	1.0185
FAM79A	1.59775
SLC22A12	0.3385
NOVA1	-1.17783333333333
FZD3	1.323
AKAP8	0.02625
SOCS5	0.7675
CFDP1	-0.42825
DLG5	0.09875
PGM5	0.284333333333333
C1orf144	0.0948333333333333
HDAC10	-0.744
RND2	-0.8735
C20orf199	-1.71325
RNMT	-0.386625
SLURP1	2.357625
ASTN1	-0.019125
SH3BGR	2.556
MYCL1	0.4375
ZHX1	1.47183333333333
CENPK	-2.2045
FOSB	1.0616
LOC643406	0.0745
C2orf59	-1.151625
TMEM135	-0.925125
SLC27A2	-4.26275
KRT33A	1.479
OVOL1	0.573375
PAMCI	-2.165
S100A7	4.434
ZNF789	-0.4725
HARS2	-0.337
RPL23A	-0.998333333333333
TCF23	-0.07675
UPF3B	-1.0595
C17orf78	0.143
HLA-DOB	2.13833333333333
C14orf142	-0.302166666666667
TEKT5	0.0585
DMWD	0.4145
POLD1	-0.7215
GSCL	0.1655
CALD1	1.6531
SCRT1	0.537666666666667
AIG1	0.27525
UNC84B	0.60025
ZNF404	-0.8905
TMED6	-3.2055
KIAA1462	0.532
LRRC27	0.687166666666667
PYGO1	-0.2225
PIGU	-1.23883333333333
ALAS2	-3.893
WRNIP1	0.240125
CNNM3	0.2345
ZNF2	-0.02675
ST3GAL5	-1.204
MRPL23	-0.57325
TSSK6	-0.13625
PSMA6	-0.4615
C16orf70	-0.31125
KIAA1602	-0.1605
ALMS1	-0.231166666666667
DCN	2.11525
TMEM132D	-0.77075
SUCLG2	-0.21725
ABHD14A	-0.143
DEXI	0.5405
AMPD2	-0.942666666666667
IFNAR2	0.900166666666667
CYB5A	-0.2545
TLOC1	0.19475
NXF5	-0.840666666666667
NRBF2	0.03275
KCTD3	-0.425
ITGAE	-1.02216666666667
SLC30A3	-1.67266666666667
ZRF1	-1.3745
IFRD2	-0.8735
XAB1	0.454
PYCR2	-0.3685
SERPINB3	-4.327
TMLHE	0.0151
GEFT	-1.16875
ABCA5	-0.6805
EMR4	0.152
TSFM	-0.617
HIST3H2BB	0.54075
ARHGEF19	1.62575
TSPAN17	-0.714166666666667
ABCC8	-0.06975
MAP1S	0.630666666666667
C22orf36	1.18825
BNC2	-0.568071428571429
HIST1H4A	-0.1295
NDUFS3	-0.147166666666667
WDR3	-0.314
XKR4	0.679
TTC33	-0.330642857142857
STMN2	4.39725
CPN2	-0.745
HSPC105	2.49425
PCOLCE2	-1.05475
C3orf55	2.5045
KLHDC9	0.6925
TBC1D23	0.595375
ATXN2L	-0.896333333333333
MAP2K3	0.38
SCAP	-0.55325
ZNF486	-0.381833333333333
C20orf96	0.614
NARS	-0.84825
ADAMTSL1	-0.0840714285714286
PRCC	0.906666666666667
CCDC126	0.465166666666667
ZNF675	-0.39225
CALCOCO1	0.65375
ANKRD43	-0.4335
CWF19L2	-0.292333333333333
ZBTB32	2.45066666666667
BRAF	0.32675
ODF4	0.05325
MGC14376	0.509
HORMAD1	3.29
AAK1	0.184583333333333
PEBP1	0.1285
TNFSF5IP1	0.323666666666667
DKFZp564N2472	0.6395
RMND1	-0.71075
IGKV1-5	5.4645
COL1A2	2.00033333333333
SERPINA5	-3.14225
AANAT	0.149
C19orf21	-2.86933333333333
GEMIN5	-0.35375
UBR4	-0.415833333333333
LTBP3	1.06466666666667
AMHR2	-3.19183333333333
PROCR	-1.22175
MYBBP1A	-0.91375
C20orf39	-0.135833333333333
ZNF697	-1.185625
PASK	-0.1183
ZNF776	0.413666666666667
RFXDC2	-0.4735
KIAA0467	0.367
C10orf96	-1.91325
ZNF503	-0.49175
GULP1	-1.16775
KCNE4	1.16233333333333
DKFZp434K191	0.610625
LOC196913	0.276
BHLHB4	1.3175
CH25H	1.4995
LOC81691	-0.761
ALPL	1.07142857142857
COL12A1	1.7185
FOLR3	-0.771166666666667
GPR123	-0.1015
TRIM62	-0.336571428571429
ABLIM1	0.787666666666667
MAST3	-0.11225
RHBDD1	0.125166666666667
LOC338809	-0.5085
RYBP	1.1375
TTC26	-0.863125
ZNF22	1.29416666666667
ISCA2	-0.5305
RDM1	-2.0735
PIGM	0.761
GNB3	-1.031
ACTR2	0.566
HMGB1	0.62395
EDG1	4.23
SOAT2	-3.60525
OR10AD1	-0.083
RAP1GDS1	0.444416666666667
LCE1F	0.2255
ESM1	-0.33525
RCN3	1.53175
CREBL1	-0.287
DBNL	0.00583333333333335
PTGER3	1.493625
USP30	-0.367333333333333
BCL2L12	-0.142333333333333
KIF26B	0.93475
ZNF416	0.67825
ZNF225	-0.544
C17orf70	-0.05375
ZNF554	-0.17525
RAE1	-0.615166666666667
TNIK	0.273333333333333
ACTN3	0.9595
MGC45922	1.27
CCNA1	1.59416666666667
RYK	0.8715
IL26	-0.164
LRP3	1.02033333333333
QARS	-0.5705
SOX7	1.78
BID	0.216
OR2S2	0.0765
CXCL14	4.447
C11orf47	-1.0675
MGC29891	0.2495
HSPB8	0.232
PRDM14	-1.427
NUFIP2	0.0865
MNAT1	-0.580375
ZDHHC2	-1.00491666666667
MBNL2	1.5025
ADD3	0.41575
CSNK2A1P	-0.181
KLK6	4.493
TMEM111	-0.2262
KIAA1279	-0.11475
NUBP2	0.1385
RAB42	-0.16875
ID3	-0.2178
TM9SF1	0.164
MDP-1	-0.7095
POU4F2	-0.316666666666667
IQCK	0.33275
C16orf14	-0.4515
CAPN3	-1.546625
FAM43B	0.06525
RECQL	-0.2035
AP1G1	0.487857142857143
CTNNBL1	-0.462166666666667
ECHDC1	-0.0101666666666667
SMARCC1	0.0174
FOXQ1	-0.50975
GNAI3	0.027
POLG2	-1.8605
CD4	1.629625
ITLN1	-0.46025
EBI2	5.7345
IRF1	0.76375
PTPRE	2.2867
PTK2B	0.28975
NXNL2	-1.2585
SOX4	1.27122222222222
TSPAN3	-0.219
SH2D1A	-0.724333333333333
C8orf58	-0.00666666666666667
USP20	-0.924
DUSP22	0.0726666666666667
CALB1	-2.72416666666667
L3MBTL2	1.596
MCRS1	-0.76525
TMEM118	-0.212
C18orf8	0.521
FLJ10241	-0.81975
GJA12	1.13775
PKD1	-0.652333333333333
ZFP3	-0.253
JAM3	-0.85125
LAPTM4A	1.2051
DIRC2	0.1065
KIAA2022	0.735833333333333
MYOM1	1.12333333333333
TRPM8	-1.46
MOP-1	1.5885
PHKG2	-0.537875
ZNF650	0.6315
KIAA1522	0.035625
PSG8	-2.314
DDX19B	-0.0975
MOBKL1B	0.16575
DIAPH2	0.00991666666666668
PTPN12	0.25675
CLN8	-0.2045
CRYZL1	-0.762333333333333
CRY2	0.441083333333333
FCGR2B	4.06183333333333
PNPLA4	0.6335
ZNF454	1.621
DKFZp434B1231	0.06775
CLDN11	0.2811
RFWD2	0.989
CIB2	0.997666666666667
MXRA8	2.238625
HRK	0.97075
MAML2	0.35025
C4orf31	-1.30325
C6orf192	0.94825
COG6	0.403
FAM5B	-0.014
NFATC1	1.264
SEPT10	-0.29
SCYL1	-0.2556
RPP40	-0.894
SCOC	0.0354
KIAA1450	0.82575
CTDSPL2	-0.58425
TBX5	1.121
NAPG	-0.047875
RHD	-5.15325
C14orf45	-0.464333333333333
ZBTB22	0.8475
PLCG1	-0.866
ANKRD10	-0.339375
AQP7P2	-0.4915
TAGLN2	0.662666666666667
HTR2C	-1.51816666666667
SLC16A7	-0.0518333333333333
C17orf83	0.40075
TSGA14	-0.792916666666667
MDH1	-0.136
PPP3R2	0.1965
DCBLD2	-0.675142857142857
RBM33	-0.568625
DPH3	-1.52325
SYT10	-1.31983333333333
FMO4	2.2685
THYN1	-1.096
DRD5	-1.888
OTOR	0.098875
PGRMC2	0.4298
KATNAL1	-0.189125
PAQR6	-2.059
UBE2I	-0.241
C14orf28	0.14975
C8orf70	0.58475
FLYWCH1	-0.720375
ANGPTL3	-1.1845
GLRX2	0.206833333333333
ATP11A	0.516214285714286
ARL5B	0.49325
MUC16	0.412
SLC25A5	-0.580142857142857
ACRC	-0.602
MYO1C	0.196875
FAM89B	1.36183333333333
FAS	0.29
KIFAP3	0.5655
GLRA2	0.2375
BTN3A2	1.0337
CNKSR3	1.1395
CSTF3	0.642
ARPM1	1.422
KIAA1530	-1.3215
C9orf150	1.067
PRKCI	0.89
tcag7.1015	-0.3255
SOD3	1.56675
ZNF574	0.76025
CYP21A2	-0.35025
RPL12	-0.41
COMMD2	-0.041
WIZ	0.342
LOC344405	-0.71975
ALDH4A1	-1.18794117647059
CRYAB	4.063
COPA	0.353966666666667
PCDHGA7	0.739833333333333
KIF11	-0.599916666666667
RASD2	1.901375
SLC26A3	-0.356
ZNF175	-0.849
JAKMIP2	-1.7675
C8orf4	1.51016666666667
PTHLH	1.42375
SLC40A1	1.67375
OR7D4	0.218166666666667
PCDHB17	-0.249
CD36	2.79592857142857
C6orf203	1.2598
PRKG2	0.4115
LOC400566	0.8825
ANAPC13	0.09975
SLCO3A1	-0.04975
ZNF692	-1.194
FANCL	-0.2765
SH3GLB1	0.775
C12orf61	0.6555
KBTBD6	0.745
SUPT5H	0.652125
XRCC6	-0.0736
HUS1B	-0.4317
FAM133B	0.09
LOC728276	0.565
KCTD18	0.5465
SOS2	1.40216666666667
CCDC99	-1.4355
C1QTNF5	3.261
NNAT	-0.01
USP16	0.11325
LARS	-0.720375
ZBTB2	0.34125
ABO	-0.0785
TRAF3	-0.028
GALNT5	-2.62
NAP5	1.05625
ALG14	-0.322833333333333
KIAA0515	-0.232230769230769
WDR75	-0.405666666666667
TEX261	-0.128666666666667
LY86	1.353
LOC389072	0.031
FLJ13611	-0.35725
MRGPRX2	0.267
SNRPA	-0.3685
OR2G2	0.0835
GPRASP2	0.83625
C7orf42	0.4397
C9orf163	-0.5495
CYP11B2	0.286
FCRL3	2.9015
PRDX1	-0.4425
FGB	-7.2914
COX17	-0.0185
C16orf33	-0.1455
PIWIL1	-0.0413333333333333
FOLR1	0.310833333333333
KIAA0082	-0.1505
FREQ	-0.403833333333333
TMCC2	-0.436
TCF12	0.0919166666666667
ZNF721	0.02525
FAM130A2	1.29925
POU4F1	-1.83275
SNRPF	-1.24775
SGIP1	1.255
ZNF641	0.475833333333333
EMG1	-0.1075
PRRG4	2.577
HIRA	-3.09125
MYNN	0.583166666666667
AEBP2	0.57975
TBXA2R	0.7375
ISL2	-1.7175
PCDHB11	0.953
RNF144A	-0.104125
MARCH5	0.53325
DULLARD	-0.255333333333333
DCLRE1B	-0.0328333333333333
ITGA8	1.22925
TP73	0.5355
PRKCD	0.81425
NDUFB4	0.23825
ATP13A4	2.4905
ANTXR2	-0.581
COL4A3	0.547
MYO10	-0.2876
SLC6A18	0.52425
PEX1	-0.52775
TMEM74	-0.548333333333333
RBM19	-0.0745
TAPBP	0.8065
RUNX1	0.47325
MID1	0.239166666666667
GPR64	2.76216666666667
RASEF	3.6035
GABRG1	0.246142857142857
MYO16	-0.565
DBF4	-1.0625
TSHZ2	3.6815
RIPK2	0.18425
PPTC7	-0.158666666666667
KIF4B	-0.6205
LRRC31	0.0235
ZNF540	1.1895
EFNB3	0.325666666666667
LOH12CR1	0.377625
STON2	0.0315
GLP1R	0.33125
CSTF2T	-0.20475
IREB2	-0.618
GRSF1	-0.0975
PDCD7	0.726333333333333
LRRC43	-0.338
CNR1	1.15783333333333
IL1F7	-0.222
C12orf64	-0.95975
FAM69B	-0.31175
NR2E1	-0.666
MS4A6A	3.3095
FTL	-0.6384
C7orf36	-0.01625
PCLO	0.4384
DYRK2	0.556333333333333
ARIH2	-0.58325
SAMD7	0.2995
SCNN1D	-0.74325
SLC32A1	-0.544375
C22orf25	-0.704166666666667
MRPS18A	0.2222
GPR112	-0.0915
EARS2	-1.12575
ERN2	0.661
ATPBD3	0.0955
PRH2	-0.055
CDKN2D	-0.2385
PGLYRP2	-0.81675
TRIM40	0.2985
SEC14L3	0.192166666666667
SLC22A1	-0.024
BTN2A3	0.10975
RASA4	0.3985
CCNL2	-0.632
MYBPC3	0.1885
GJA4	4.3185
CDC42SE1	0.779375
TRPV2	-0.54075
MYPN	-3.9376
SIM1	0.5155
CDADC1	0.492
ZFHX4	2.33175
NIBP	0.837333333333333
ADAMTS19	-0.9225
ABTB2	1.24775
TSPYL2	0.04725
EIF2S3	-1.2064
SOX30	-0.00825
AP2A1	-0.0463333333333333
DKFZP564O0523	-0.209
LOC285398	0.0305
CDH18	-4.20175
CHL1	1.880375
GATS	-0.468
TBC1D2B	0.541166666666667
OR1J1	-0.438
GSN	2.05783333333333
DPCR1	-0.059
GARNL4	-0.7325
SMARCA5	0.13875
PLEKHG3	1.13266666666667
ZBTB45	0.3905
FRMD6	-0.595833333333333
PLS1	-1.05133333333333
DGKZ	0.4525
EFNA1	1.2522
WDR85	-0.8335
ANK2	0.46225
PAGE4	-1.41983333333333
SENP6	0.921
AKR7A2	-0.596166666666667
FKBP10	-2.1205
VEGFC	-0.909666666666667
LARP1	-0.3544375
SRBD1	-0.54175
ITGB6	3.52075
SLC1A2	0.238214285714286
INVS	-0.243166666666667
MPO	1.49825
MOBKL3	0.012
CUTL2	-0.294875
KLK2	0.092
VIM	0.06575
REG1B	-0.0416666666666667
PCDHGC4	0.52525
C3orf34	-0.607166666666667
SUMO3	0.340666666666667
CST9L	-1.388
MLL4	-0.19525
SPR	0.274833333333333
SAMD9L	1.1715
ABCE1	0.26125
SUPT3H	-1.0445
ACTBL1	-1.73975
ADAMTS4	1.39516666666667
SLIT3	3.3195
RHEBL1	-1.76775
NPM2	-0.734
MAN1C1	0.52175
KIAA1856	0.917916666666667
HSPA6	1.06925
LOC388152	0.548
C10orf140	-1.28875
ZDHHC12	-0.5675
LIN7A	-1.8048
PHC2	0.42675
SPHK1	1.855
TRIM26	0.90575
FAM83E	0.089
C18orf24	-1.658
ZNF578	-0.00316666666666666
ORAI1	0.46275
RUVBL1	-0.487916666666667
C7orf20	-1.03616666666667
APAF1	-1.428
SLC36A4	-0.231833333333333
MYH11	5.074
NEK1	0.4992
MPP2	-1.377375
C12orf24	-3.23225
TNK2	0.55275
ZNF289	-0.35475
MATN3	-1.71742857142857
IFNGR2	1.15866666666667
ITPR1	0.404
EBF3	3.3036
TBC1D20	-0.2741
OR10P1	0.3305
DDAH2	1.17625
SHPRH	0.0975
STX7	-0.0795
LOC554248	-0.9115
BCAR1	0.44525
ATXN3	-0.174416666666667
TRIM27	-0.1265
CDC42EP2	-0.0765
CHP	-0.318071428571429
SOX17	2.719
ZNF259	-1.03466666666667
CHCHD1	-0.4705
ZDHHC19	0.1745
GBP2	2.656
GARNL3	0.70625
MRC2	0.06275
C1orf52	-0.3725
AOF2	-1.00716666666667
LRPPRC	0.167
ACVR1C	-0.254
TM4SF18	3.50066666666667
TMEM169	-0.0743333333333333
PPP1R16A	1.00325
EBF1	1.4285
RRS1	0.108833333333333
SNX2	-0.40075
OR2T2	1.034
RBX1	0.20275
ANKRD54	0.478166666666667
TSNAX	-0.408666666666667
TMEM83	-2.0305
ZBTB7A	0.73
ATM	-1.06641666666667
LOC338328	2.299
TIE1	2.1275
HIST1H3G	1.00566666666667
PASD1	-4.80433333333333
TINAG	0.4665
PCDHAC2	0.084
LRRC15	-0.103375
WBSCR17	-0.8445
TFF2	2.4765
PARP2	-0.55925
NDFIP2	0.05625
PCDHGB2	0.373
WDR60	-0.37875
MAP7D2	-1.7051
USP45	-0.49275
GSDML	-0.8495
TNS1	0.841
PLCD4	-1.09275
IQCD	-0.896833333333333
SMPX	1.25875
CD9	0.737
SRGN	2.081875
CASP7	0.39275
INOC1	-0.089
DKFZp451M2119	-1.240625
VMAC	1.6155
USP53	1.5821
CAMK1G	-0.313
TMEM106A	-0.120166666666667
CDC20	-0.343
ACSL5	0.312333333333333
CBWD5	-0.775
C1orf87	-1.28483333333333
KIAA1274	0.737
PRUNE2	0.749714285714286
LYPLA2	-0.987
DOK6	-1.584
GPR149	-0.031
FAM30A	4.20625
TMEM129	-0.3405
SLC35B3	1.00875
ACPP	-0.3023
LOC200261	-1.3605
SLC4A7	0.036
CCDC40	0.0745
GART	-0.82475
THOP1	-1.49175
SCARB1	-1.011375
CACNA1F	-0.37125
TRIAP1	-0.432833333333333
SYT14L	-0.294
SFRS8	-0.364333333333333
PBOV1	0.242
GOLSYN	-0.14875
GJB7	-1.3705
CAMK2N1	-0.712666666666667
GREM1	1.89208333333333
FLJ20433	0.0535
QPCT	-2.57725
PRKAG2	1.10966666666667
H2AFX	-0.482625
C6orf154	-0.63725
PLOD3	-0.78175
ZBTB39	-0.407833333333333
WASF3	0.504166666666667
DRG1	-0.47125
PRR4	2.985
SPCS1	-1.04175
KDELR3	0.209666666666667
SRP19	-0.357666666666667
GABRA6	-0.03925
MFSD1	0.65625
MMEL1	1.9075
PDXDC2	-0.0371
BUB1	-1.36888888888889
RNF138	-0.192
MYLPF	-0.515833333333333
AIF1	1.11333333333333
DYNLRB1	-0.2059
HCN3	-1.779
HIST1H2AI	0.3025
MAP4K5	0.60975
LASP1	-0.1995
LOC130951	0.103
PLAA	0.592375
KRT6A	0.851
C6orf117	-0.274375
ARHGAP23	-0.001
PTF1A	0.103
GPHA2	-0.47275
LCE3B	0.03075
MCL1	1.16492857142857
EHBP1	-0.367833333333333
PRNP	-0.0816875
ZSCAN1	0.31325
C1orf113	-1.42916666666667
FOXA3	-1.952625
NEB	0.9445
ASGR1	-4.371
CTGF	2.12383333333333
RAB17	-1.35
MST101	-0.24075
JARID1B	0.7204
USP37	0.9971
PTBP1	-0.354166666666667
PTPN7	0.389166666666667
CDC7	-0.00783333333333334
SNX7	0.6965
ZNF335	-0.2115
CPT2	0.34875
HEATR1	-0.46875
HSPC152	-0.347
C5orf40	0.13975
PSME1	-0.0936666666666667
STAG3	-0.71225
TMEM154	1.23466666666667
KLHL32	-0.442166666666667
TSGA10IP	-1.1795
SUV420H2	-0.354833333333333
SF1	-0.3357
2'-PDE	-0.243875
PNLIPRP2	-0.9205
TRSPAP1	-0.647083333333333
NUP210	-0.190833333333333
ANP32C	-1.93383333333333
RAB11B	0.9795
ASB15	-0.007
ITGB3BP	-1.73675
UBASH3A	0.426
YWHAB	0.19025
TPRX1	0.04375
LY6G5C	-0.307
SLC7A2	-2.298625
CLK1	-0.2144
HSD3B7	-0.323
VDR	2.22525
C16orf74	-1.18525
ACE	0.59175
PSMA2	-0.6735
CCDC131	-0.79
ZNF213	0.752666666666667
EML2	-0.554
ALS2CR13	0.548
GLYATL1	0.398
DSPP	0.506
DHFRL1	-0.613125
C10orf30	0.3125
SH3RF2	0.83
LOC197322	-0.0681666666666667
DLL3	-1.73975
TIGD7	0.73875
