Hybridization REF	TCGA-BH-A0EB-01A-11R-A034-07
C20orf149	0.781
RBP5	2.65933333333333
HYAL3	-0.59275
CLPB	-0.75475
SMNDC1	-0.84675
DONSON	-3.11116666666667
FLJ27523	0.12975
BARHL2	0.0253333333333333
SLC30A9	0.120666666666667
TMPRSS11B	-0.07525
E2F8	-2.05616666666667
CCDC25	0.229166666666667
C14orf48	0.3895
C20orf116	0.87025
TSPAN11	0.697
YIF1B	-0.925833333333333
FAM12B	0.419
OR1L6	0.1445
HPN	1.2628
NBN	0.344375
C14orf94	-0.3285
OCLM	-0.5775
ZSCAN18	1.2343
L3MBTL	-1.6962
TSTA3	0.958666666666667
RAC1	0.9205
C19orf15	0.323333333333333
NFE2	-5.34725
KLK14	0.384
ARSF	0.129
MAST2	-0.294
AMICA1	2.2815
GTF2A1	0.61125
ATP1A3	0.859
TC2N	3.2714
PNKP	0.38675
ODZ2	0.49025
MATR3	0.55525
S100P	-1.13975
KRT82	0.129
CA13	-0.7327
PROZ	-0.320166666666667
AASDH	0.188875
C19orf40	-0.192333333333333
DCK	-0.606692307692308
FAM5C	-1.8195
SLC6A4	0.5095
MID1IP1	-0.460875
TESSP5	0.5115
TMOD4	-0.475833333333333
DOCK2	0.177833333333333
TUG1	0.404375
NUP214	-0.52125
DPYSL2	-0.193636363636364
GOLM1	1.79325
MPFL	0.221
SOX13	0.89825
SDCCAG8	1.2502
KEL	-2.61916666666667
NUP210L	-2.56
GK	-0.087
DNAJB1	0.5785
ALPK3	0.2375
CHID1	0.5467
CYLC2	0.517
IKZF5	0.57925
C8orf51	0.684833333333333
PPM1J	2.30525
GIMAP8	3.6035
GPR101	0.125
NR2F1	0.1495
ACAD8	0.248
RBM35A	0.7625
GNAI2	0.4485
METTL8	-0.389166666666667
SLC39A7	0.86075
FBXO8	0.53725
CAMK1	0.57125
RFC3	-1.4205
FAM129A	1.36857142857143
ILF2	-0.479
FGFBP3	-2.015
NOM1	-1.06566666666667
PSMA3	-0.33175
ASCC3	0.6993
ZYG11A	-2.26975
SOX21	-1.196875
LYRM1	-0.59825
DEFB1	1.7995
LOC91431	-3.0205
OR7C2	0.8755
FAM46B	1.51125
TMEM18	-0.752
ARHGAP30	2.10233333333333
TMEM86A	3.10058333333333
EPHA2	-0.766166666666667
C10orf46	1.2256
TCHH	-0.523
C3orf30	-0.0926666666666667
LOC285636	-0.194666666666667
PAIP2	-0.0995
CYP2U1	0.15425
C12orf34	1.3935
SARS2	-0.3305
ZCWPW1	0.11925
SAMD12	1.541625
KIAA1430	0.036125
ACAT1	-0.20225
MEOX1	0.488
ADAMDEC1	6.39075
PHKA2	-0.68875
CARD11	0.391333333333333
CALML4	-1.357
TSSC1	-0.54975
TMEM45A	-0.867111111111111
MPP7	1.752125
POU1F1	0.0465
SLC2A13	0.4235
FBN2	-1.79678571428571
ZC3H7A	0.3858
LAIR2	0.271
ST3GAL1	0.836833333333333
LCT	-3.11425
GEMIN8	0.631666666666667
KLF16	0.5543
HIF3A	-0.1511
FAM44A	1.30214285714286
AQP10	-1.002
PLA2G2A	-0.448
FOLH1	1.1935
C20orf186	0.0785
MAPKAP1	-0.39825
SPRR2D	-1.60225
UBQLN4	-0.660666666666667
RSHL1	0.3685
PIAS3	0.304
MRPL24	0.81575
GREB1	-2.652625
FAM27E3	-3.429
NUP62CL	-0.93275
NEUROG3	0.5225
REEP3	1.2215
MARK1	0.244375
LMBRD1	1.142
PRPF19	0.1
PNMT	-1.83166666666667
CTGLF1	-1.121
SLC25A16	0.879
EIF2B3	-0.8835
RPA2	-0.7685
PAK6	1.19916666666667
CCDC26	-3.667375
SEMA3E	0.735625
MXD4	1.0494
TNFSF10	5.17
SMARCB1	-0.605333333333333
DTX3L	1.867
PLA2G4E	0.0715
PPAP2A	0.8005
ULK1	-0.419833333333333
TAS1R3	0.0555
SLC2A3	-3.14363636363636
ARID3A	-1.754
GNG5	0.01675
ACOX1	0.6596
KIF5B	0.00624999999999999
NUP153	-0.78675
MUC7	0.0655
CSDE1	0.0570714285714286
CLPTM1	-0.19125
C3orf23	-0.156375
LRRC17	0.297666666666667
TTYH3	-0.385125
ATP5B	-1.0045
ELF3	1.4873
CPSF3L	0.0878333333333333
ZNF665	0.259166666666667
TLR6	1.2107
GPI	-1.066375
RAD9A	-0.5335
NDST4	-3.73225
AGPAT3	0.909333333333333
MAGI3	2.42066666666667
ADORA2A	0.132375
CACNG7	0.302
CAMK2D	0.127285714285714
CCHCR1	-1.11975
RPS27A	-0.6775
OR10G7	0.200166666666667
GCM2	-0.1235
FAM135B	1.6248
E2F1	-2.14975
PLCB3	-0.0335
OR2AE1	-0.2495
COIL	-0.500666666666667
CDC25C	-2.412
RAB11FIP2	0.473916666666667
TSC2	0.58325
CTGLF5	-1.4695
CCDC108	1.2395
OR13C4	0.3105
C10orf81	4.202
PTPRB	2.183
ACP2	1.6805
LAG3	0.7075
MRPL54	0.73525
LOC201175	0.8675
ITGB1BP3	-1.2675
SPTAN1	0.44
SIPA1L2	-0.26525
RCAN2	-0.382
CDX2	0.429
ECOP	1.19
ACTR1A	0.413714285714286
PPARG	-1.72633333333333
BBS10	0.371
TMEM44	-1.148375
BPIL2	0.02425
CITED1	-1.719
IRF6	4.076
PRDM4	0.101666666666667
RRP9	-0.546
OR10H4	0.342
IL31RA	-0.6705
GNB1L	-1.968
MYBL2	-2.90175
ZNF407	1.30683333333333
PPIG	0.112333333333333
TTC18	1.8525
RPSA	-0.5545
MAPT	1.52375
MRE11A	-0.254571428571429
C8orf37	-0.355833333333333
RASGEF1C	-0.869666666666667
STBD1	-0.25975
CTAG2	-0.701166666666667
MGAT5B	-2.62833333333333
ECM1	0.788
RLN1	0.6775
PARP14	1.7456875
EPB41L1	0.9071
HOXA3	-0.613666666666667
MAGEA9	-4.22866666666667
RPS8	-0.579
RPS19BP1	-0.36625
FOXJ2	0.303375
C10orf76	0.590875
IL17RE	0.45575
C10orf65	-1.195
ZNF343	-0.318666666666667
FBXO33	-0.15075
UHMK1	1.1395
LY6G6C	0.393
FGF19	-2.24025
C14orf128	-0.7895
IFIT2	3.455
TIGD1	-0.84975
S100G	0.3735
GUCY1B3	1.8125
NR3C1	-0.4534
CORO1B	0.676333333333333
PARP11	0.874166666666667
DNALI1	4.47266666666667
OR4N4	0.36375
MAP2K6	0.148833333333333
FSTL4	0.6795
ANKRD47	1.318625
TMEM171	-1.0975
PNLIP	0.68975
YY1	0.228333333333333
CCDC138	-2.77283333333333
AASDHPPT	-0.2371
CKS1B	-1.0703
MCM3	-1.1465
ANAPC7	-0.550166666666667
FAM110A	1.61325
CDC37L1	0.983666666666667
THTPA	0.99175
NBPF20	0.507
WDR24	0.82875
NPTX2	-2.28575
CBLB	1.15883333333333
CETN1	0.6665
RPUSD1	0.35475
FAF1	-0.63125
CDK6	-2.8436
HMX2	0.4035
CSK	-0.133666666666667
TEAD2	-0.037
SNAP25	-1.50925
TUFT1	0.7302
TMTC3	1.40483333333333
LCK	-1.42475
SGOL1	-2.1785
AKTIP	1.192
FURIN	0.07675
SOX12	-0.729333333333333
DEFB103A	-0.6105
RAMP1	1.043
KIR3DX1	0.158
GAS2L3	-0.27225
PDE8A	-1.6764
EDN3	1.011
GMIP	1.46875
SF3A2	0.8185
FN3KRP	0.1265
SMAD7	0.954
RHBDD2	0.328
OR11H6	0.057
PPP1R3B	0.8276
C9orf23	-0.1115
CADPS	-1.64075
GOLGA8A	-4.6375
TMEM57	1.2075
RGL3	-0.5815
S100A14	2.38875
FGFR2	1.6489375
XRCC3	-0.84725
RTN4RL2	0.59225
MGC3771	1.7045
GH2	0.1135
BTBD2	-0.2045
LMO2	1.04475
RDBP	-0.586625
ACRBP	-1.108
AMY2A	0.20725
DUOXA1	1.3235
PTK7	0.4485
TWF2	0.567833333333333
FAM80A	0.508
TNNI2	-2.54
GLT25D1	-0.6385
OCC-1	-2.73725
CYC1	-1.06733333333333
RPL22	-0.0797727272727273
MORN3	1.55266666666667
DISP1	1.72325
PRB2	0.057
CHUK	-0.6715
HR	-0.657375
CCDC134	0.209875
DENND4B	-1.0275
C14orf130	0.05475
RAB33A	-1.19475
DCST2	0.4965
TNMD	-2.0345
PEX7	1.31325
FAM62A	0.1385
SRD5A2L	0.74425
IL22	-0.3635
RPS26	-1.18733333333333
HOXC5	-0.179
SPATA6	1.26675
FLJ38482	0.220375
ZNF234	1.712
C18orf22	0.8865
SPATA22	1.07525
THOC1	-0.691
CYP7B1	2.77875
KCNC3	0.0205
C8orf42	-0.888
ALDH1B1	0.152833333333333
CCDC100	-0.1932
ARMC4	-3.498
FAM18B2	0.20925
SLC44A1	0.929125
FBXO17	-1.88733333333333
C6orf107	-0.000249999999999986
C19orf29	-0.3765
ZC3HAV1L	-0.66225
PARP6	-0.3536
SULT2A1	-4.776125
C1orf159	-0.83475
TMC1	0.0815
CHST14	0.50775
GAMT	0.428833333333333
SMCP	0.2855
TSPAN33	1.3835
MIDN	0.017
NOX4	2.95575
RNASEN	-0.7083
TBX1	-2.04516666666667
SALL2	0.2215
C10orf35	0.95525
CYP2E1	-1.031625
LRFN2	1.438
ACO1	-1.44083333333333
IQCG	1.0885
MEGF9	1.493
TM7SF4	1.114
PLEKHA1	0.771066666666667
STK33	-2.6005
C1orf210	2.54525
SNUPN	-0.0579
KIAA0406	-1.376
C20orf29	0.5695
TMEM55B	-0.16025
OSTM1	-0.316625
CLCN7	0.6265
OTP	-0.15375
FLJ23049	-0.72075
HEATR4	0.486
MAP3K10	0.511166666666667
PCDHGA9	0.3335
AMDHD2	0.572
LCTL	-1.482
PDCD2L	-1.02225
CABLES2	-0.8345
SLC5A9	-0.55475
CLCA2	-1.51566666666667
MGC16025	0.7145
STRAP	-0.998666666666666
C20orf196	-0.4085
RRBP1	1.1485
NAT13	-0.42825
MAT2B	0.323875
CSNK1D	-0.552666666666667
KIR3DL1	0.39375
PRKAG3	0.3445
ZNF599	0.776
PRM3	0.635
PER2	1.20983333333333
ASPHD1	-1.1185
PRMT6	-0.53425
KCNE1L	-0.255928571428571
FAM118A	-1.28583333333333
TAF4	-0.68875
NDUFB6	-0.50875
TRIM9	-1.178
PMFBP1	-0.6805
KY	0.082
DKFZp762E1312	-3.143
CSMD1	-1.32775
TBP	-0.589166666666667
OR1Q1	0.413666666666667
RETNLB	0.11975
HPGD	-0.308642857142857
DNAJC12	2.22566666666667
FKBP1B	-1.28025
ANKRD24	0.0646666666666667
CXXC5	0.814833333333333
IL3	0.186375
DRAM	0.6845
PTCH1	-0.634125
TP53BP1	0.2215
SLC17A7	-0.441625
COL25A1	-1.1233
AMACR	0.296
RHCG	-0.0585
VPS13A	-0.764666666666667
FAM55D	0.25
PRPF38B	-0.287083333333333
OSBPL6	-1.226
PFDN5	0.7036
CMTM6	1.499375
KCNK12	-1.649
RP2	0.70575
C16orf52	-1.19975
PICK1	0.2925
IFNE1	-1.45166666666667
SEMA4B	0.815
TYRO3	-2.3405
OR12D2	0.4385
CSNK1A1	0.3306
FANCF	0.8575
LONP2	1.37375
TBL1Y	0.38375
LDOC1L	-0.587
CCNC	0.1145
C3orf60	0.33575
CHKA	-1.2885
UBAP1	0.14075
MAP3K1	2.3085
ANKRD9	-0.46325
FAM92A1	-1.8185
GAB2	-0.100375
AZU1	-0.1625
DIS3	-0.634833333333333
C21orf109	-1.11
IQCB1	-0.83025
SPATS2	-0.376
EFCAB3	-0.314
PRB3	0.357625
FUZ	0.101666666666667
ZNF813	0.091875
BMPER	-1.32683333333333
HEG1	0.433375
ALS2CR11	-2.0655
SURF2	-0.39375
PSMC1	0.2005
OR2D2	0.0335
SLC7A8	2.36733333333333
C4orf40	0.249
SPATA7	-0.08525
MAZ	-0.58525
PIN4	-0.18775
PDE1A	-0.492625
TAF6L	-0.0493333333333333
OR2T34	0.257
KIAA0284	0.1015
ACADS	0.202909090909091
MKRN2	-0.952
C18orf56	-3.42125
MS4A6E	0.230166666666667
GALNT4	1.5855
C22orf31	0.1065
FLJ36070	0.612
PSME4	0.379
TFG	-0.0023
EPHX2	1.695375
ANXA5	-0.2285
KRTAP1-1	-0.3059
BATF	2.5
KARS	-1.46575
MSTP9	-1.214
GPR26	0.123375
CCDC72	0.294
TEF	0.289333333333333
FOXK1	-1.0079
PRLHR	0.511
EMX1	1.06575
C11orf30	0.163375
ICK	0.711625
THSD7B	0.68675
C21orf100	-0.5825
DUOX1	1.579
EFCAB4B	-0.0135
UBE2G2	-0.794333333333333
C3orf54	0.88525
PARP1	-0.815
FAM60A	-1.12791666666667
C6orf146	0.311
OR9K2	0.751
DDX55	-1.22816666666667
RPS15	0.02325
ZNF618	0.79475
DKFZp686D0972	0.74375
SSPO	-0.656
SHFM3P1	0.5035
CPA6	1.44925
JAG2	0.85
DEFA3	0.41375
PPBPL2	0.0476
CD34	4.552875
SLCO4A1	-3.1305
AFG3L1	-2.22866666666667
SHD	-0.66725
RP13-122B23.3	-0.675333333333333
PRKCSH	-0.548666666666667
DPH5	-0.826166666666667
HLA-F	2.88025
TBC1D4	-0.22575
RIG	0.0765
GLUD1	-0.123333333333333
HNRPCL1	0.895125
HBXIP	-0.19075
RNF207	-0.785
APIP	-0.7735
PLA2G3	0.501333333333333
CCDC84	-1.80525
MYLIP	0.434615384615385
PHIP	-0.13825
AARS2	-0.217333333333333
DHX32	0.552
SCAPER	-0.126666666666667
MEN1	-0.0135
NIP7	-1.4725
FLJ25404	0.804
FASTKD3	-0.98225
TMEM158	-1.82291666666667
RARA	1.6835
BDH1	0.9745
ANKRD16	0.9385
CARM1	0.3755
SS18	0.492
IKZF2	0.552
MYD88	0.710125
PML	0.72665
TAF1A	-1.50975
CBFB	-0.9885
HIST1H3H	-1.49
C7orf29	-2.6915
COMMD4	-0.524
DPP3	0.0615
DAB2	0.4755
LOC388882	-0.1465
YPEL4	-0.596625
AGBL3	0.78375
LRP6	1.5099
SERPINH1	0.0345
TLE1	0.444
CD244	1.288
ZDHHC15	0.631
MGLL	-1.2159
PLDN	-0.0123333333333333
LOC654346	2.1465
FAP	3.2545
GPR37	-1.77033333333333
SCARA5	-0.701333333333333
EBF4	0.842272727272727
LSM6	-0.75625
MLLT1	-0.1785625
SLC5A12	-1.12025
A2BP1	-1.49016666666667
COPS5	-0.670833333333333
TPM4	0.388214285714286
TNFSF4	1.60366666666667
ACADSB	1.4435
HERPUD1	0.63325
BCL2L11	-0.692166666666667
CEP78	-1.848625
CDCA3	-1.963625
WBSCR19	-0.5851
MYO1A	-1.8945
PPEF1	3.197
LOC440348	-1.1325
CPEB2	0.74575
BPTF	-0.204166666666667
RPL21	0.075125
GSX2	0.499
ADPRH	2.1145
C17orf68	0.9305
KCNS1	-0.440666666666667
MLLT6	-0.1717
PIWIL4	0.05375
RNF26	-0.53825
RAP1B	0.376
ADAMTS1	-2.3351
ZNF571	0.7625
P2RY6	0.866
TRIM21	1.40666666666667
CADM3	0.226
NLRC5	0.7025
ADRA2B	-0.403833333333333
LOC90835	0.46675
PCF11	-0.15675
LOC400451	1.752
GLTSCR1	0.7178
C17orf88	-0.7305
CDH16	-1.254
FGF7	1.66175
PCSK4	0.1625
NPC1L1	0.773833333333333
TAT	-0.014875
TBCA	-0.42325
MGC33407	-0.169
GPR115	-1.122375
CYGB	0.3235
FNBP4	-1.34366666666667
C12orf43	-0.0645
CBL	0.1188
CLECL1	2.7915
PPAPDC1A	2.50825
WDR25	0.669
SGCA	0.8805
C22orf29	-0.257
YIPF1	1.5305
GALK2	-0.971
RAB3B	-3.71441666666667
LOC440087	-0.023
UCP1	-0.258
REEP5	1.683875
FADD	0.0385
FOXA1	3.623125
CACNA1A	0.299
ABI1	-0.0205
GRIN2D	0.88125
SLC1A4	-0.609833333333333
LOC401127	-1.33275
HINT2	0.48325
PLD4	2.261
ZNF286A	-1.001
ENY2	-0.84175
IL1F6	0.502
PXDNL	1.975
C20orf79	0.02725
TNFSF13B	4.01083333333333
DENND3	0.82125
JARID1D	-3.366
HIST1H2AK	0.47375
LOC93349	0.869
SSH1	-0.6055
ENSA	0.90275
LOC219854	0.3685
CKAP2	-1.2434
DKFZP564J102	0.444166666666667
MGC87315	1.0045
HNRPAB	-0.35675
AMH	-1.192
ZNF526	0.723
BRUNOL5	-0.2468
CACNG3	0.0153333333333333
TRPM1	-1.7685
PPP2R1A	0.30125
COL2A1	-1.86625
DDN	-0.1285
FLJ25770	0.427583333333333
HK2	-0.167714285714286
ELOVL6	-0.9205
MDK	-0.863
EPHX1	1.19025
RASSF2	1.0895
DKFZP434B0335	-0.18375
DLX3	0.04275
PRTN3	-0.545
AVPR1A	0.64675
C21orf125	-2.0825
TNFAIP8	-0.3905
GNB2L1	-0.211
CALCRL	3.248
SCGB2A2	7.59683333333333
UBXD7	0.1025
ZNF674	-0.406
TMEM35	0.39125
BRSK2	-1.3645
HECTD3	0.0843333333333334
TMEM188	-0.148583333333333
LGALS9	2.730875
SCARB2	0.885583333333333
USP34	0.0750833333333334
C17orf28	1.66908333333333
ZDHHC23	-1.06175
AQP12B	-0.1575
SLC16A3	-1.992375
APLP2	0.658625
ITIH2	-5.558
MICAL3	-1.247875
TNNI3K	0.0217
HDAC2	-0.40425
PRR7	-0.4074
THBS2	0.702875
LOC751071	-0.383666666666667
CA2	1.856
RANBP17	0.068
RLN3	0.097
CRYZ	-0.358
GBAS	0.391
TAS1R1	-0.73875
MPZL3	1.02
PCDH8	-0.42475
HSP90B1	0.774
KCNK15	1.562
TNIP2	0.293666666666667
GPR146	0.13375
NOL6	-0.232
SPC25	-3.74088888888889
STEAP2	2.00707142857143
VAMP3	0.124333333333333
TCIRG1	0.8645
ZP4	0.227333333333333
PARL	-0.03025
TRIM39	0.365333333333333
KIAA1305	1.5805
CRNN	0.289833333333333
GRN	1.105
HSH2D	0.30575
SCAMP1	0.904375
KIAA1913	0.98525
PTS	-0.75175
BANP	-0.3025
PRKACG	0.47175
ADCY6	0.329166666666667
C16orf46	0.8115
CYP51A1	-0.2325
DDC	-5.76275
ANPEP	1.49716666666667
PROM1	-0.6875
SIGLEC10	3.5425
COPG	1.3815
FAM26E	1.56075
TRIP4	0.19775
SNX3	0.249333333333333
C1orf175	0.438666666666667
PPY2	-0.099
C14orf152	0.34775
FTSJ1	-0.712
DST	0.8995
LOC554235	0.0515
GLRX5	-0.53875
C20orf12	1.5126
CAB39	0.369833333333333
MSH2	-1.99516666666667
PIP4K2C	1.415
CYLD	2.012375
WTAP	0.3533125
MGAT4A	1.70455555555556
TSC22D4	-0.8056
CHRM2	-1.9285
PPYR1	0.369666666666667
CCNH	0.15
RRM1	-1.16475
ECAT8	-2.8985
LOC400120	0.076
GABRA4	-0.100625
C14orf4	1.09416666666667
C1orf59	-0.90575
CTDSPL	1.0765
NHEDC2	-0.54
PDE11A	-0.2720625
KLHL29	-1.7255
CD5	-0.1151
TSPAN9	1.8849375
WDR67	-1.1365
THUMPD1	0.5973
C18orf17	1.059
CLYBL	-0.7565
FLJ13231	-0.191375
CMBL	1.2625
LECT2	-0.19675
NKAPL	1.81366666666667
LOC654780	0.546
OR4C6	0.3465
RAB30	2.675
TSSK4	-0.0255
TMEM163	1.1775
OSBPL11	0.621583333333333
GNB5	-1.667
CCL21	0.26825
C1orf121	-0.0311666666666667
FMO2	1.92316666666667
RPTN	0.0595
MSTN	-0.255
VCL	-0.1115
FYTTD1	-0.0225
C11orf1	0.37025
CCDC88C	0.2365625
HFE	0.193222222222222
MOGAT1	-0.604
FAM125B	-0.048
IRGQ	0.1885
RAVER2	-0.2705
AKAP5	0.931
SSSCA1	-0.16625
C11orf63	1.771
ACTG2	0.2675
PORCN	-0.643
DTL	-2.42945454545455
TMEM151	0.39925
FAM122C	-1.213
RSAD2	3.8581
BAT4	-0.372
KRTDAP	-2.02183333333333
MYH8	0.24475
CRTC3	0.616
LRRFIP2	0.8211
INTS4	-0.134333333333333
TTN	-1.50333333333333
SLC26A5	0.0975
PLLP	-0.5135
RGS6	-0.795
SRGAP3	1.04425
ZNF525	0.191833333333333
NBR2	0.0951666666666667
C13orf1	0.0962
ZNF137	0.451
CEP27	-1.87775
BEST2	0.0725
RNF121	-0.08625
DMRTC2	-0.4115
C8orf76	-0.96525
BCCIP	-0.1855
MEST	-1.982
HTRA2	-0.208
ANGPTL2	0.67375
ILKAP	-0.657
ERAS	0.213
HBS1L	-0.526875
CPA5	0.078
TMEM30A	1.50316666666667
CD300LF	2.28166666666667
WISP3	1.605
CRK	0.440714285714286
PDS5A	-0.7302
BRPF3	0.324833333333333
NEDD9	0.904
SMPDL3B	1.85075
PSG6	-0.76475
PSMD13	0.597
ETV5	-0.0173125
OR51A4	0.1665
BTBD7	1.11491666666667
GSTO1	-0.7635
hCG_16001	0.3305
MAD2L1BP	0.046
COX6A2	1.0195
SCNN1A	2.75766666666667
LSM1	-0.2195
UGT2B11	1.55325
IDUA	1.09
PPP2R3C	-1.15716666666667
COX11	-0.442
PDZK1	-2.04825
ZNF443	0.265833333333333
MGC21874	1.26816666666667
ZNF323	1.0684
KRTAP10-10	-0.0465
CXCL6	-0.79125
SLC34A2	1.2537
LOC284402	0.5815
NPTN	1.3175
UPP1	-1.92366666666667
SLC6A9	-0.2195
OR7G3	-0.07275
CISD1	-0.9755
ZNF545	-0.282666666666667
SYT14	-0.6245
NT5C3L	-0.480666666666667
ZNHIT3	-0.442666666666667
SNRPD3	-0.60225
KIAA0701	0.254625
UNC93B1	0.6
GMNN	-2.14
SPCS2	0.596666666666667
LOC388524	-0.19
NAPRT1	0.63325
PNLIPRP1	0.08325
OR6V1	0.721
PRKAB1	0.2075
EYA4	-3.90433333333333
KIF20A	-2.48575
ALG10	0.2815
ITPKC	0.7505
LMX1B	1.38183333333333
RPUSD4	-0.464333333333333
C7orf34	0.079
DLGAP2	0.609375
PFN1	-0.2649
MICALL2	0.503666666666667
ZNF654	1.2605
SS18L1	-1.483875
SLC16A8	0.23575
MKI67IP	-0.590833333333333
ITGB3	0.153875
TCEA3	2.49741666666667
CEP152	-2.0485
CLIP1	1.814875
ZNF75	0.182875
ATP5C1	-0.628166666666667
NUDT5	-0.920333333333333
PSCDBP	1.32275
UBP1	0.13725
RBM27	0.37225
C13orf15	2.53475
ZNF282	-0.383
ZNF222	-0.3196
COL10A1	6.271
PRDM15	-0.982625
TTTY5	0.236
FAM9C	-0.152
C20orf67	0.0915
GNG13	0.1725
F12	-0.05425
C1orf41	-0.99625
CPXCR1	-0.1555
GSK3A	-0.152625
SUPT6H	0.2375
PI16	-0.732333333333333
ELL2	0.634083333333333
C9orf167	-1.22133333333333
PVRL3	-2.2414
FLJ38596	0.28975
ADAM20	0.36275
GPR89A	0.0315
GPR87	-1.5085
ZNF30	0.64975
SMR3B	0.494
ZNF770	0.469375
TRPC4AP	-0.665166666666667
DKFZP686E2158	0.312833333333333
C2orf28	0.0785
FREM1	-1.013
LAMA4	0.658166666666667
ADPRHL2	-0.06875
EIF4G2	0.427166666666667
GUCA1A	-0.546
CTNNA2	-1.25175
NUDT15	-1.01333333333333
CEPT1	0.781
ZNFX1	1.1266
CCDC92	0.95325
TDRD1	-0.412
KCNK5	-2.00966666666667
ETNK1	0.59225
LTA	0.99
TTPA	0.197
B3GALNT2	0.805125
SC65	0.411833333333333
PEX5L	-0.782125
EPS15L1	0.0755
MGEA5	-0.605125
HIST1H3A	0.85875
ING1	-0.16475
BCAT1	-2.414125
ORC6L	-3.80736363636364
KLK11	-5.1905
C19orf28	-1.29525
DNER	-4.5735
MED22	-1.02128571428571
ETV6	1.87625
CHAC2	-2.0715
CD300E	0.2125
CEBPB	0.22475
ZNF398	-0.7865
LRCH3	-0.0085
HMGA1	-1.54133333333333
CAPN7	-0.2215
MGC5566	-3.127
CCL3	2.562125
NANOS1	0.768
ZFYVE19	-0.16925
APITD1	-0.612333333333333
PARD3	0.2975
IRAK4	0.170666666666667
SERPINI2	-0.635
CEP170L	-0.045
TTC9	2.482875
MYOM3	-0.9435
MLPH	1.48075
LOC222699	0.399
NRG1	-1.47741666666667
TBC1D9	3.149
TTK	-3.11516666666667
ZNF557	0.3063
DDX41	-0.249
FANK1	2.9545
UBE2D2	0.010625
PSMB10	1.416625
MYH7B	-0.0845
GABARAPL2	-0.385625
MARVELD2	2.52266666666667
DGCR2	0.278666666666667
UNC45A	-0.0726666666666667
C6orf72	1.353
ZNF683	4.4695
GIT2	0.372875
CASK	0.111666666666667
C14orf161	1.57683333333333
LRRC44	1.4765
TIFA	0.322875
UTP11L	-0.701625
C6orf65	-0.8455
FDPS	-0.52475
DUSP9	-2.0778
SLC17A8	0.475833333333333
OR51G1	0.190666666666667
NANS	0.35075
OLFML1	1.9115
ATP10B	-1.18425
NPAS3	1.31425
PRKCA	-2.3407
GGA2	0.050375
LCE4A	0.506
SPANXN3	0.2145
CCDC115	1.324125
SDCCAG3	-1.363
GLIPR1L1	0.20675
TTC1	0.1695
C17orf76	1.10325
MAD2L2	-1.7235
HIPK1	0.486
LRRC3B	-0.172166666666667
CLN3	-0.381090909090909
C17orf47	-0.045
FMN2	-2.3495
TUBB1	-1.651875
WAPAL	0.0326666666666667
C3orf21	-0.341
SCN5A	-0.3324
SMYD1	0.2675
BEX5	2.0735
ZNF192	-0.308
SEC22A	0.1465
GRIA2	6.06535714285714
KIAA0825	-0.9665
NUSAP1	-2.77754545454545
LANCL1	-0.307625
C15orf40	-0.8696
ZNF645	0.334125
GPR61	0.3345
NLRP14	0.294
SNX21	-0.2904
C1QTNF8	-0.253
C17orf46	0.244
IFNA8	0.4175
SPRR1B	-1.46533333333333
FLRT1	-0.7605
SNX17	-0.222666666666667
ASB2	0.896333333333333
HBG1	-5.4125
RPRML	-2.098
JOSD2	0.0531666666666667
PLSCR3	0.4085
SPOCD1	1.60183333333333
RAB39	-0.4615
GHRH	1.74466666666667
ITIH5L	1.075
C17orf37	0.57625
SMCR8	0.736
DPY19L2P3	-1.51633333333333
IL11RA	0.287666666666667
GDF3	-3.53433333333333
RPS6KB1	-1.02116666666667
DNAJC19	1.2121
TOP1	-0.24925
CRCT1	-0.0143750000000001
MPST	-0.0975
DPM2	0.1555
FAM38B	-0.7515
SLC18A1	-1.223
FARP1	0.2465
PAX7	0.10675
TUBD1	-1.175
GNL3	-0.701625
BTG2	1.9958
NDUFS6	-0.39175
C1orf79	-2.291
ERAL1	-0.33775
ECHS1	0.56825
VPS4A	-0.5185
CYP11A1	-0.531625
ABCC6	-1.45857142857143
PBX4	-2.612
MOSC1	-1.582875
NCF4	1.0185
HYMAI	0.9795
NAGPA	0.00912500000000001
OTOP2	0.23925
ACOT12	-0.06975
MTHFD2L	-1.0675
LOC441376	4.1005
C19orf34	0.335
RAB1B	-0.276
ALDOAP2	-0.161
NTRK1	-1.83033333333333
ARTS-1	0.305
SLC6A11	-0.7035
NAP1L2	0.43
CNGB1	0.0573333333333333
EPB41L4B	0.174083333333333
FAM134B	3.131375
HS3ST3A1	0.6545
CPXM2	5.7325
SIRPB2	0.025
CHORDC1	-1.11366666666667
TRIB3	-1.17733333333333
SLC2A5	1.389
C2orf49	-0.597833333333333
DDX5	-0.56675
OR5L1	-0.179
ANAPC4	-0.694166666666667
ZSWIM1	0.33025
LOC93622	-0.015875
KCNK3	-0.5593
RP11-35N6.1	-2.221625
ZFP161	0.339166666666667
AQP9	0.54775
SLC15A2	-1.2525
MREG	0.344666666666667
OR9I1	0.3805
PDLIM2	0.61775
ADAM7	0.2685
GSTCD	0.336166666666667
WDR21A	0.027125
SLC12A8	2.08133333333333
TMEM174	0.06025
IGSF3	1.66416666666667
LRRN1	1.84325
LOC402117	0.31375
SRPK1	-1.62383333333333
LY6K	-2.0908125
NFIA	2.8745
PTCD3	-0.90275
LEP	0.166333333333333
PCDH21	-0.5742
