Hybridization REF	TCGA-A7-A0CE-11A-21R-A089-07
GPBP1	0.549
TRPV1	-0.247875
ADAMTS12	0.387166666666667
PES1	-1.33
ATG4A	0.6775
MAGEA10	-5.19575
WFS1	0.69325
CC2D1B	-0.360833333333333
PABPN1	-0.892
SLC25A30	1.23925
SLCO1C1	1.144
SLC22A5	1.54925
KIF23	-2.946
SYN2	0.591166666666667
ASPN	6.1505
CENTG2	0.555
QSOX2	-2.1045
FLJ10815	-0.692833333333333
STK24	0.453875
SPEG	0.779
STK10	-0.231
DACT2	2.393
AAAS	-1.752
SSX3	-1.779875
ABCD3	1.7753
C4orf12	1.166
PARVG	0.101
FIG4	1.132
C9orf46	1.572
TMCO6	-0.925
IGHMBP2	-0.667
DUS2L	-1.394
FAM3C	1.292625
TMEM16D	-0.345875
DCTN4	0.9255
KCNH3	0.134
EIF2AK2	1.5355
AP1S3	1.097625
CST4	-0.6665
PAM	1.22475
NUTF2	-1.066
CITED2	1.3279
SLC39A4	-1.5905
C2orf52	-1.051
GRM3	-0.271
C12orf49	0.172375
CCDC49	0.2518
GRAMD1B	-1.569125
FNDC4	1.52825
SIAH2	0.800875
GDPD4	-0.2595
C21orf87	0.015
ATP5A1	0.281166666666667
C16orf63	-0.429375
LOC388135	-0.452
ATP5J2	-1.191375
MMP3	-2.12325
EMID2	-0.58125
CRHR1	-0.109
WDR70	0.458
C13orf31	1.215
ZFAND1	0.975
CCL18	4.53966666666667
C3orf49	0.527
RINT1	-1.123
KIAA0408	0.170666666666667
F13A1	5.6944
SLC10A1	-0.417166666666667
OGN	4.26575
GIPC2	1.15366666666667
XPO6	-1.55416666666667
LCE1A	0.214
FMR1	0.0372
LOC374920	0.33075
DUSP3	-0.207
ANKMY1	-0.59075
C7orf50	-1.17075
BBS9	0.0846
UNC119B	0.182125
C9orf72	1.084125
MGC35440	-0.48075
ENTPD6	-0.88725
PPP1R2P9	0.2365
ERCC4	-0.128
FAHD2B	-0.407
HMHA1	-0.248
HACL1	-0.11525
RAD23A	-2.1795
FAM83B	-1.07725
PPP5C	-2.48583333333333
RNASEH2C	-0.683375
C9orf153	-0.681
SCAMP4	0.07075
GHITM	0.3672
NDUFB7	-0.892375
ADCYAP1	2.6525
SP110	1.84466666666667
MAP3K7IP2	1.0785
DHH	-1.0305
AGRN	-0.0275714285714286
WDR33	0.0656666666666667
CEP290	0.106833333333333
PRPS1L1	-1.75933333333333
KLRA1	0.6605
GPR97	-0.4115
CHD7	-0.641083333333333
TLR10	2.1905
SLC30A8	-1.2845
HIC1	0.712333333333333
IAPP	-0.8775
RXFP4	-0.24625
GP1BB	-2.94425
SHQ1	0.565
NKX2-3	-0.00950000000000002
API5	0.2045
FTHP1	-0.0445
MOV10L1	0.139333333333333
TRIM6-TRIM34	2.5955
ADHFE1	1.70175
FAM117A	0.5605
DDI1	0.0663333333333334
CDON	0.955833333333333
TRIM73	-0.4285
IGKC	4.7055
MMP14	-1.20958333333333
DYNC1LI1	0.015375
C11orf66	0.28725
TRBV3-1	-1.35
FASTKD5	0.0335
BIVM	0.02425
LHX4	-0.21325
CXCL2	3.1689
RAB2B	0.212666666666667
IZUMO1	-0.5735
MAP3K15	-0.237625
FAM19A2	0.9225
ZC3H8	-0.157166666666667
ZMAT1	2.117625
SPINK5L3	-3.1025
SLC10A6	0.374
APPL2	0.812625
CARD10	-0.148
LOC402176	-0.157
EEF1D	0.5337
RAB6A	0.5369
C12orf5	0.02425
PAPOLG	0.5235
MSRB2	0.442
BCR	0.333222222222222
PUS3	-0.04725
TIAM2	1.0625
ZNF317	0.206333333333333
CHD2	0.164428571428571
FZD5	-1.51086363636364
NUDT8	-2.1725
ZNF763	0.6985
PRC1	-2.87755555555556
ABCB9	-0.580666666666667
SPATA3	-0.138
TRAK2	1.240875
STAB1	3.27075
LRRTM2	1.42483333333333
psiTPTE22	-2.94375
DBI	0.7945
SERPINA11	-0.90325
NAT5	-0.47375
C20orf58	-3.0555
RPS6KA4	-0.948
FLJ90650	1.2895
TGFBRAP1	-0.22775
CHRDL2	2.736375
FAHD2A	-0.9705
CNTN1	1.89275
BBS4	-0.0075
TMEM181	0.5875
MINPP1	0.54675
MPHOSPH6	0.3975
HOXC10	-0.764
ITPKB	-0.171125
CLPTM1L	-0.569875
MEOX2	2.55116666666667
ATP6V0C	-1.08025
PRPF8	-1.1255
TMC5	1.64725
FKBP3	-0.618
PLEKHB2	-0.231
OR4D6	-0.6645
ZNF544	-0.3916
D2HGDH	-1.047375
RPL18A	-1.6651
HEL308	0.6055
MPP6	-1.6025
TCERG1	-0.72875
KRT16	-0.129833333333333
KLF17	-0.9535
KLF5	1.3085
CDR1	2.0015
VCX3A	-4.2375
FBLN2	2.361625
C14orf104	0.6055
HBE1	-5.4021
OR4S2	-0.391
C1orf108	-0.7545
ROBO4	4.124
CPEB4	1.93175
C11orf80	-1.40833333333333
BCKDHA	-0.567833333333333
MYOC	5.12675
GIF	0.344
CKMT1A	-0.053
RPL3	0.8128
THBS1	1.688125
APOO	-1.403
ARMCX1	2.48475
HSZFP36	1.31225
SNAPC5	0.07225
EIF4ENIF1	0.92
ZNF433	0.4315
TNFRSF21	0.781875
TMPRSS7	-0.2455
SPATA18	2.4878
HPDL	-3.1265
MKL2	1.9278
TBX3	1.18346153846154
C21orf93	-0.5895
DAXX	-0.6635
ELMO1	0.449125
RGS13	2.9235
TAF11	0.4555
UNC13A	-2.597
LOC653314	-1.1412
ORC3L	-0.234
IMAA	-1.9105
TARBP2	-1.71975
CABIN1	-0.4949
TRIOBP	0.3659375
HIST1H2AC	0.0732500000000001
RGS22	-0.7595
NCOA1	1.582
IL25	2.274
SNCG	1.98
GPR6	-0.1535
AMDHD1	-0.694666666666667
CHEK2	-0.97875
C6orf142	0.94
DRD4	-1.56225
C14orf68	-1.62425
GDF11	-2.81075
SEMG2	-0.6295
CD247	-0.87
CDAN1	-0.865
RBMX2	0.519833333333333
TGS1	0.35325
OIT3	0.45075
SYF2	1.08175
MCM4	-2.606625
PKHD1L1	2.179625
CEP192	-0.210166666666667
IFT88	1.36625
RPL9	0.202
RAB32	-0.1465
DDX43	-0.80475
P2RX2	-0.1445
OR5D18	0.8705
UBE1	-1.36275
SLC24A1	1.186875
ARHGAP5	1.438
CETP	-0.54275
KIAA1731	-0.807
SLC9A4	0.3835
PTPN6	-0.23725
BAHD1	0.1675
GRIK3	0.2505
CACNB2	0.5991
PDE10A	-0.18375
DGCR14	-0.79575
PCDHB9	0.684666666666667
RHOQ	1.32683333333333
MAP3K4	0.38125
KTI12	-0.109666666666667
RPL23AP13	0.643
GNG11	0.7425
CLCN3	0.923666666666667
GPAM	0.824375
VSTM2A	0.1905
SLAMF7	2.43083333333333
INTS2	-0.406
PPP2CA	0.9746
LRP12	1.11313333333333
SEC14L2	2.94655555555556
DKFZP586H2123	5.3805
MC3R	-0.0535
CIRH1A	-1.35416666666667
HIST1H2AB	-1.21083333333333
POLH	-0.543625
MGC16703	-1.84616666666667
SNAPC2	-0.039
FILIP1L	2.545
RASGRP4	0.3765
LRRC1	1.9905
GAS1	3.03275
PRAC	-1.02525
DGKA	-0.4565
NT5C3	-0.8105
PEG3	-1.26591666666667
NADK	-1.57125
PRR17	-2.691
LOC374569	0.3265
SGSH	-0.203833333333333
NLRP8	1.3645
GALT	-0.3464
MCF2	-0.369
ZNF263	-0.07925
TACSTD1	1.5335
TYR	-7.2779
ATP6AP2	0.79075
RNUXA	0.1255
ABHD10	0.5738
GDPD2	-1.30825
SLC35C1	-0.467
UBE2A	0.228875
HERC5	0.144833333333333
FAM112B	-5.1645
FBXL16	-0.63375
DKFZP434A0131	-0.69175
ELA3A	-3.153
RBM41	-0.32325
HAO2	0.97675
RNH1	-0.352875
SHANK2	1.92516666666667
OSBP2	-1.634
DAK	-1.63066666666667
C3orf58	1.10558333333333
TCL1B	-1.0845
KBTBD2	0.04025
SUGT1L1	1.11375
UBE2E2	1.15933333333333
MYL9	3.147875
CDC23	-0.492
PBXIP1	0.0467
CXorf40B	0.3595
NBL1	0.8035
RTBDN	-0.45
RAB11FIP5	-0.00849999999999998
TTTY13	-0.782
SCOTIN	-0.271333333333333
SOHLH1	-0.998166666666667
CDKN1A	-0.4385
NCK1	0.6835
ZNF550	0.0245
SAPS3	0.276083333333333
SPIN3	0.815333333333333
MAGEE2	0.77825
MIS12	-0.0308333333333333
OR8H2	0.481
KIAA0774	0.014
UNC5D	-2.844
CUL7	-1.2905
LIPC	-3.069
DIO1	-1.99175
C20orf11	0.6196
CTRL	-1.34475
HS3ST2	2.1865
PAK4	-0.531666666666667
CCRL1	3.63275
RNF10	-0.05075
ZNF567	0.98325
ZNF660	1.001
TCEAL3	2.442
MAGOH	-1.10716666666667
CENPB	-1.57766666666667
C19orf7	0.755625
LOC388965	-0.02475
ZCCHC13	-0.254
JMJD1A	-0.6152
HIST1H4H	-1.7355
TBRG1	0.247
GPC3	-1.7995
TAF1C	-0.83725
EBNA1BP2	-0.8985
CIAPIN1	-0.5165
PDGFRA	0.576277777777778
CSTB	-0.99125
CENPI	-2.71766666666667
GTF2E2	-0.701833333333333
RPP21	-1.712
CCNF	-2.5555
KCNQ3	0.4865
FAM79A	1.52625
SLC22A12	-0.065
NOVA1	1.73883333333333
FZD3	1.2044
AKAP8	-0.63175
SOCS5	1.70125
CFDP1	0.75575
DLG5	2.6555
PGM5	1.58683333333333
C1orf144	0.043
HDAC10	-2.175
RND2	-0.79225
C20orf199	-1.79975
RNMT	-0.4565
SLURP1	-0.1705
ASTN1	0.7405
SH3BGR	3.09675
MYCL1	-0.50525
ZHX1	0.755833333333333
CENPK	-3.6875
FOSB	2.0725
LOC643406	0.501
C2orf59	-2.009625
TMEM135	0.470375
SLC27A2	-2.3475
KRT33A	1.311
OVOL1	0.454375
PAMCI	-0.9755
S100A7	-0.7635
ZNF789	-0.5925
HARS2	-0.43375
RPL23A	-1.29416666666667
TCF23	0.373
UPF3B	-0.893875
C17orf78	-0.7365
HLA-DOB	1.13516666666667
C14orf142	0.578
TEKT5	0.738166666666667
DMWD	-0.294
POLD1	-2.558
GSCL	-0.182
CALD1	2.3808
SCRT1	-1.6315
AIG1	2.12
UNC84B	0.5375
ZNF404	0.60825
TMED6	-0.03925
KIAA1462	0.4895
LRRC27	1.53233333333333
PYGO1	0.0005
PIGU	-1.115
ALAS2	-3.20266666666667
WRNIP1	0.308375
CNNM3	-0.804
ZNF2	0.9455
ST3GAL5	-0.0130833333333333
MRPL23	-1.511
TSSK6	-0.65975
PSMA6	-0.69275
C16orf70	-0.46325
KIAA1602	0.071
ALMS1	0.206333333333333
DCN	4.330875
TMEM132D	-1.5115
SUCLG2	1.84575
ABHD14A	-0.80025
DEXI	-0.380666666666667
AMPD2	-1.27933333333333
IFNAR2	0.384833333333333
CYB5A	2.0002
TLOC1	1.70605
NXF5	-1.28966666666667
NRBF2	0.578375
KCTD3	1.20125
ITGAE	-1.13233333333333
SLC30A3	-2.076
ZRF1	-1.0185
IFRD2	-0.985625
XAB1	-0.2135
PYCR2	-0.7745
SERPINB3	-5.039
TMLHE	0.743
GEFT	-0.24125
ABCA5	0.96675
EMR4	-0.177
TSFM	-0.37575
HIST3H2BB	-1.56125
ARHGEF19	0.11575
TSPAN17	-1.02783333333333
ABCC8	4.019
MAP1S	-0.992166666666667
C22orf36	0.003
BNC2	0.508071428571429
HIST1H4A	-1.84075
NDUFS3	-0.583833333333333
WDR3	-0.5585
XKR4	0.7445
TTC33	0.967357142857143
STMN2	3.46825
CPN2	-0.716666666666667
HSPC105	1.388875
PCOLCE2	-0.171
C3orf55	2.5715
KLHDC9	1.41066666666667
TBC1D23	0.287875
ATXN2L	-1.59333333333333
MAP2K3	0.05325
SCAP	-0.574
ZNF486	0.189166666666667
C20orf96	-0.39325
NARS	-0.11275
ADAMTSL1	-0.370357142857143
PRCC	-0.174666666666667
CCDC126	2.98725
ZNF675	0.79625
CALCOCO1	0.839
ANKRD43	2.812
CWF19L2	0.962166666666667
ZBTB32	0.73
BRAF	0.3145
ODF4	0.33
MGC14376	1.729
HORMAD1	-0.686333333333333
AAK1	-0.0256666666666667
PEBP1	0.876666666666667
TNFSF5IP1	0.451666666666667
DKFZp564N2472	0.3555
RMND1	0.45375
IGKV1-5	5.0025
COL1A2	2.07358333333333
SERPINA5	0.742125
AANAT	-0.3175
C19orf21	-1.24183333333333
GEMIN5	-0.4825
UBR4	-0.722833333333333
LTBP3	0.593
AMHR2	-3.13533333333333
PROCR	-0.051
MYBBP1A	-1.3415
C20orf39	-1.00216666666667
ZNF697	-0.92175
PASK	-1.0483
ZNF776	0.5305
RFXDC2	-0.472
KIAA0467	0.26
C10orf96	-2.02333333333333
ZNF503	0.30025
GULP1	0.880166666666667
KCNE4	0.502333333333333
DKFZp434K191	1.372625
LOC196913	-0.972
BHLHB4	-3.391
CH25H	1.719
LOC81691	-1.137
ALPL	2.00757142857143
COL12A1	1.588625
FOLR3	-1.192
GPR123	0.135625
TRIM62	-0.119428571428571
ABLIM1	1.74616666666667
MAST3	-0.491
RHBDD1	0.3495
LOC338809	0.3925
RYBP	0.147
TTC26	-0.484375
ZNF22	1.25916666666667
ISCA2	0.01725
RDM1	-3.31275
PIGM	0.484
GNB3	-1.714
ACTR2	0.0423
HMGB1	0.6433
EDG1	4.705
SOAT2	-3.2475
OR10AD1	0.859
RAP1GDS1	1.02341666666667
LCE1F	-0.203
ESM1	-1.60925
RCN3	0.1675
CREBL1	-1.1205
DBNL	-1.09466666666667
PTGER3	2.964
USP30	-0.109166666666667
BCL2L12	-1.87166666666667
KIF26B	1.4585
ZNF416	0.38725
ZNF225	0.5335
C17orf70	-1.87325
ZNF554	0.9505
RAE1	-1.54583333333333
TNIK	1.3275
ACTN3	0.5245
MGC45922	-1.9555
CCNA1	1.958
RYK	1.4995
IL26	-0.4285
LRP3	-0.783166666666667
QARS	-0.12625
SOX7	1.35157142857143
BID	-0.708375
OR2S2	0.047
CXCL14	5.11875
C11orf47	-0.493
MGC29891	0.429833333333333
HSPB8	2.1811
PRDM14	-1.118
NUFIP2	0.21525
MNAT1	-0.082125
ZDHHC2	1.05675
MBNL2	1.64825
ADD3	1.376375
CSNK2A1P	-0.942
KLK6	1.29966666666667
TMEM111	0.4627
KIAA1279	1.4725
NUBP2	-1.579
RAB42	-2.1025
ID3	-1.3625
TM9SF1	0.203
MDP-1	-0.6485
POU4F2	0.26625
IQCK	1.676
C16orf14	-1.983
CAPN3	-0.894875
FAM43B	-0.454375
RECQL	-0.36125
AP1G1	0.294642857142857
CTNNBL1	-0.730833333333333
ECHDC1	0.330166666666667
SMARCC1	-0.4568
FOXQ1	-2.938125
GNAI3	0.389666666666667
POLG2	-1.3735
CD4	0.578125
ITLN1	-0.0595
EBI2	4.24525
IRF1	-1.0025
PTPRE	1.7972
PTK2B	-1.067
NXNL2	1.4105
SOX4	0.567555555555555
TSPAN3	0.939833333333333
SH2D1A	-2.758
C8orf58	-0.266833333333333
USP20	-1.39775
DUSP22	-0.0208333333333333
CALB1	-2.89433333333333
L3MBTL2	0.66175
MCRS1	-1.5745
TMEM118	-2.48133333333333
C18orf8	0.3085
FLJ10241	-0.0915
GJA12	0.86625
PKD1	-1.29333333333333
ZFP3	1.4715
JAM3	0.896125
LAPTM4A	1.2615
DIRC2	0.6565
KIAA2022	0.813666666666667
MYOM1	2.02133333333333
TRPM8	-2.049
MOP-1	-1.1485
PHKG2	-1.595
ZNF650	1.106125
KIAA1522	1.279
PSG8	-1.40766666666667
DDX19B	-0.114
MOBKL1B	0.33625
DIAPH2	0.538666666666667
PTPN12	0.7955
CLN8	0.0673
CRYZL1	0.53
CRY2	1.3525
FCGR2B	4.13366666666667
PNPLA4	1.841625
ZNF454	1.45
DKFZp434B1231	-0.05925
CLDN11	1.4793
RFWD2	0.3145
CIB2	-1.023
MXRA8	2.6225
HRK	-2.4265
MAML2	1.23025
C4orf31	1.7055
C6orf192	0.929
COG6	0.249375
FAM5B	1.97375
NFATC1	1.2885
SEPT10	0.85325
SCYL1	-1.1469
RPP40	-0.61725
SCOC	1.5866
KIAA1450	1.36675
CTDSPL2	-0.09925
TBX5	2.1905
NAPG	-0.50575
RHD	-5.0055
C14orf45	3.33533333333333
ZBTB22	1.6885
PLCG1	-1.6965
ANKRD10	-0.253
AQP7P2	2.665
TAGLN2	-0.838666666666667
HTR2C	-0.922166666666667
SLC16A7	0.785833333333333
C17orf83	-0.145
TSGA14	-0.546666666666667
MDH1	-0.72375
PPP3R2	0.1516
DCBLD2	-1.22528571428571
RBM33	-1.085
DPH3	-1.8135
SYT10	-0.773
FMO4	2.696875
THYN1	0.61875
DRD5	-0.977
OTOR	0.53025
PGRMC2	0.7249
KATNAL1	0.211375
PAQR6	-1.7795
UBE2I	-0.685
C14orf28	1.35025
C8orf70	1.404
FLYWCH1	-1.519125
ANGPTL3	0.4815
GLRX2	-1.13366666666667
ATP11A	-0.6965
ARL5B	-0.2595
MUC16	-1.143
SLC25A5	-1.42035714285714
ACRC	-0.11775
MYO1C	-0.179
FAM89B	0.043
FAS	1.94975
KIFAP3	1.085
GLRA2	0.422
BTN3A2	0.0934
CNKSR3	0.97875
CSTF3	-1.369
ARPM1	1.17775
KIAA1530	-0.5135
C9orf150	2.72016666666667
PRKCI	0.50325
tcag7.1015	-2.19225
SOD3	1.91025
ZNF574	-0.351
CYP21A2	1.23975
RPL12	0.50175
COMMD2	-0.39875
WIZ	0.47475
LOC344405	-0.90725
ALDH4A1	-0.542882352941176
CRYAB	3.80875
COPA	0.124166666666667
PCDHGA7	-0.4765
KIF11	-2.53741666666667
RASD2	0.2205
SLC26A3	2.6045
ZNF175	0.078
JAKMIP2	-2.189125
C8orf4	2.86916666666667
PTHLH	2.95525
SLC40A1	3.53175
OR7D4	0.289333333333333
PCDHB17	1.8795
CD36	5.67107142857143
C6orf203	0.6731
PRKG2	-0.992
LOC400566	1.78925
ANAPC13	0.35575
SLCO3A1	0.46825
ZNF692	-2.148
FANCL	-0.95
SH3GLB1	0.98575
C12orf61	0.3875
KBTBD6	0.85825
SUPT5H	-0.16275
XRCC6	-0.2149
HUS1B	-0.804
FAM133B	-0.0752857142857143
LOC728276	-0.5825
KCTD18	2.0315
SOS2	1.18083333333333
CCDC99	-1.08175
C1QTNF5	1.8345
NNAT	1.498
USP16	0.75075
LARS	-0.5225
ZBTB2	0.479125
ABO	0.222833333333333
TRAF3	-0.13725
GALNT5	-1.823
NAP5	0.544625
ALG14	0.839166666666667
KIAA0515	-0.911961538461539
WDR75	-0.458166666666667
TEX261	-0.223
LY86	0.815
LOC389072	-0.5205
FLJ13611	0.46775
MRGPRX2	0.622
SNRPA	-1.663
OR2G2	0.08
GPRASP2	2.71825
C7orf42	0.7046
C9orf163	-1.25
CYP11B2	0.304
FCRL3	0.512333333333333
PRDX1	-0.595
FGB	-0.421166666666667
COX17	-0.609666666666667
C16orf33	-1.626
PIWIL1	-0.00933333333333332
FOLR1	-0.652
KIAA0082	-1.24475
FREQ	-0.940666666666667
TMCC2	-1.19883333333333
TCF12	0.524666666666667
ZNF721	0.95875
FAM130A2	2.37275
POU4F1	-3.001
SNRPF	-1.9345
SGIP1	2.81016666666667
ZNF641	0.993333333333333
EMG1	0.04725
PRRG4	1.6385
HIRA	-2.744
MYNN	0.983
AEBP2	0.223583333333333
TBXA2R	0.2525
ISL2	-2.10866666666667
PCDHB11	0.878
RNF144A	-0.548125
MARCH5	0.692625
DULLARD	-0.624
DCLRE1B	-0.885333333333333
ITGA8	1.08325
TP73	-0.849625
PRKCD	0.921
NDUFB4	-0.557
ATP13A4	2.46425
ANTXR2	0.291166666666667
COL4A3	0.1715
MYO10	-0.8927
SLC6A18	-0.502
PEX1	0.4055
TMEM74	-0.766
RBM19	-0.60125
TAPBP	-0.2499
RUNX1	2.882
MID1	0.426083333333333
GPR64	0.536
RASEF	3.31825
GABRG1	0.04575
MYO16	-0.2145
DBF4	-1.639
TSHZ2	4.79575
RIPK2	0.204125
PPTC7	-0.105166666666667
KIF4B	-2.104
LRRC31	2.40325
ZNF540	2.99475
EFNB3	0.232666666666667
LOH12CR1	0.2005
STON2	0.193833333333333
GLP1R	0.90525
CSTF2T	1.0585
IREB2	-1.116625
GRSF1	0.26175
PDCD7	-0.375
LRRC43	1.015
CNR1	1.82433333333333
IL1F7	-2.0215
C12orf64	-0.134
FAM69B	-1.50325
NR2E1	-1.56633333333333
MS4A6A	3.7178
FTL	-0.402
C7orf36	-0.116
PCLO	1.5411
DYRK2	0.171833333333333
ARIH2	-0.05225
SAMD7	0.1075
SCNN1D	-1.31125
SLC32A1	-0.96775
C22orf25	-0.848833333333333
MRPS18A	-0.8031
GPR112	1.3995
EARS2	-0.56325
ERN2	-0.5545
ATPBD3	-1.69516666666667
PRH2	-0.69
CDKN2D	-1.04266666666667
PGLYRP2	1.3565
TRIM40	0.24775
SEC14L3	0.2596
SLC22A1	-0.26825
BTN2A3	-0.35525
RASA4	0.389
CCNL2	-0.995583333333333
MYBPC3	0.2315
GJA4	3.3965
CDC42SE1	0.562875
TRPV2	-1.10875
MYPN	-4.2682
SIM1	0.0125
CDADC1	1.24475
ZFHX4	1.18575
NIBP	-0.540333333333333
ADAMTS19	-1.63275
ABTB2	-2.2045
TSPYL2	0.025375
EIF2S3	-0.0342
SOX30	-0.4065
AP2A1	-1.7115
DKFZP564O0523	1.063
LOC285398	0.132
CDH18	-5.34225
CHL1	4.9545
GATS	-0.8066
TBC1D2B	-0.00800000000000001
OR1J1	-0.712
GSN	3.21533333333333
DPCR1	0.032375
GARNL4	-0.320666666666667
SMARCA5	0.16375
PLEKHG3	0.9725
ZBTB45	0.18
FRMD6	1.34966666666667
PLS1	0.914833333333333
DGKZ	-0.38
EFNA1	1.036
WDR85	-0.78125
ANK2	2.66
PAGE4	-0.995166666666667
SENP6	1.572
AKR7A2	-0.206666666666667
FKBP10	-2.6925
VEGFC	-1.53333333333333
LARP1	-0.6676875
SRBD1	0.94875
ITGB6	3.7375
SLC1A2	-0.497928571428571
INVS	-0.3715
MPO	1.21025
MOBKL3	0.3655
CUTL2	0.65925
KLK2	-0.28675
VIM	0.878
REG1B	0.182666666666667
PCDHGC4	-0.07025
C3orf34	-0.638833333333333
SUMO3	0.287666666666667
CST9L	0.5975
MLL4	-1.209
SPR	0.203
SAMD9L	1.685
ABCE1	0.101
SUPT3H	-0.17
ACTBL1	-0.335
ADAMTS4	0.781333333333333
SLIT3	3.9815
RHEBL1	-2.464
NPM2	-0.18275
MAN1C1	1.718
KIAA1856	-1.1965
HSPA6	0.24725
LOC388152	-1.5915
C10orf140	2.36825
ZDHHC12	-2.301
LIN7A	-0.5192
PHC2	0.71425
SPHK1	-1.42025
TRIM26	-0.2089375
FAM83E	0.496
C18orf24	-2.38166666666667
ZNF578	0.585
ORAI1	-1.72725
RUVBL1	-0.646
C7orf20	-0.970833333333333
APAF1	0.5335
SLC36A4	-0.937166666666667
MYH11	4.942
NEK1	1.1808
MPP2	-0.74775
C12orf24	-2.661
TNK2	-0.4088125
ZNF289	-1.17425
MATN3	-1.51485714285714
IFNGR2	1.261
ITPR1	2.728625
EBF3	3.9129
TBC1D20	-0.4083
OR10P1	0.07625
DDAH2	1.035
SHPRH	0.392125
STX7	0.2395
LOC554248	-1.72025
BCAR1	-0.789
ATXN3	0.328166666666667
TRIM27	-0.91675
CDC42EP2	0.9865
CHP	0.42
SOX17	0.8065
ZNF259	-0.8915
CHCHD1	0.111125
ZDHHC19	-0.0865
GBP2	3.292
GARNL3	1.481375
MRC2	-0.25525
C1orf52	0.2505
AOF2	-0.143166666666667
LRPPRC	-0.5493
ACVR1C	2.30383333333333
TM4SF18	4.66133333333333
TMEM169	-0.00316666666666665
PPP1R16A	-0.53625
EBF1	3.03866666666667
RRS1	-0.3385
SNX2	0.62125
OR2T2	0.6845
RBX1	-0.41
ANKRD54	-0.717833333333333
TSNAX	0.7095
TMEM83	-2.69275
ZBTB7A	-0.611
ATM	-0.508166666666667
LOC338328	3.30816666666667
TIE1	1.2185
HIST1H3G	-0.745666666666667
PASD1	-5.2835
TINAG	0.0329999999999999
PCDHAC2	-0.076
LRRC15	-1.307625
WBSCR17	-1.2285
TFF2	1.2595
PARP2	-0.447
NDFIP2	0.52225
PCDHGB2	-0.0285
WDR60	0.38275
MAP7D2	-1.3141
USP45	-0.7295
GSDML	-0.92175
TNS1	0.4292
PLCD4	0.7085
IQCD	0.355333333333333
SMPX	-1.12675
CD9	1.2505
SRGN	1.728
CASP7	1.668375
INOC1	0.489166666666667
DKFZp451M2119	-0.3975
VMAC	0.7995
USP53	2.1665
CAMK1G	-0.492875
TMEM106A	0.347166666666667
CDC20	-3.6652
ACSL5	1.06866666666667
CBWD5	0.964875
C1orf87	-0.945333333333333
KIAA1274	1.878
PRUNE2	0.948071428571429
LYPLA2	-1.3975
DOK6	-1.18416666666667
GPR149	0.10375
FAM30A	2.971
TMEM129	0.52375
SLC35B3	1.80175
ACPP	0.5536
LOC200261	-0.666
SLC4A7	1.4342
CCDC40	2.60075
GART	-1.0395
THOP1	-1.671
SCARB1	-1.564375
CACNA1F	-0.23125
TRIAP1	-0.296666666666667
SYT14L	-0.6655
SFRS8	-0.926
PBOV1	0.23725
GOLSYN	4.16425
GJB7	-0.723
CAMK2N1	0.43575
GREM1	2.96708333333333
FLJ20433	0.09875
QPCT	-2.953625
PRKAG2	1.97266666666667
H2AFX	-2.299875
C6orf154	-0.37275
PLOD3	-1.91775
ZBTB39	-0.1595
WASF3	0.749583333333333
DRG1	0.068
PRR4	0.7075
SPCS1	-1.0645
KDELR3	-0.3035
SRP19	-0.0555
GABRA6	0.861333333333333
MFSD1	1.449
MMEL1	0.5645
PDXDC2	-0.0334
BUB1	-4.98455555555556
RNF138	0.16775
MYLPF	-0.475666666666667
AIF1	1.74116666666667
DYNLRB1	-0.7336
HCN3	-1.71366666666667
HIST1H2AI	-1.97525
MAP4K5	0.698916666666667
LASP1	0.9525
LOC130951	1.0275
PLAA	1.163125
KRT6A	1.1885
C6orf117	-0.073125
ARHGAP23	-0.8045
PTF1A	0.08
GPHA2	-0.916
LCE3B	-0.3355
MCL1	1.56671428571429
EHBP1	-0.0583333333333333
PRNP	0.559625
ZSCAN1	0.52325
C1orf113	0.354833333333333
FOXA3	-3.18475
NEB	1.83525
ASGR1	-4.39016666666667
CTGF	2.16033333333333
RAB17	0.4315
MST101	0.59375
JARID1B	-0.1888
USP37	-0.0371
PTBP1	-1.328
PTPN7	-1.55433333333333
CDC7	-2.49433333333333
SNX7	0.93
ZNF335	-0.89975
CPT2	-1.34275
HEATR1	-0.952625
HSPC152	-0.756875
C5orf40	0.46825
PSME1	0.181166666666667
STAG3	-2.0325
TMEM154	1.946
KLHL32	0.125166666666667
TSGA10IP	-1.8305
SUV420H2	-2.04816666666667
SF1	-0.2927
2'-PDE	0.3061875
PNLIPRP2	0.695
TRSPAP1	-0.11375
NUP210	-2.11633333333333
ANP32C	-1.1035
RAB11B	-0.168
ASB15	-0.273
ITGB3BP	-1.76025
UBASH3A	-1.2
YWHAB	0.6175
TPRX1	-0.4225
LY6G5C	-0.131625
SLC7A2	-0.706375
CLK1	1.539
HSD3B7	-0.3185
VDR	3.13625
C16orf74	0.60025
ACE	0.36075
PSMA2	-0.0726666666666667
CCDC131	-0.335625
ZNF213	-0.486333333333333
EML2	0.6645
ALS2CR13	0.236333333333333
GLYATL1	1.71175
DSPP	1.3085
DHFRL1	-0.456375
C10orf30	1.00166666666667
SH3RF2	0.838
LOC197322	-1.3595
DLL3	-2.1175
TIGD7	0.14475
GFRA3	0.15725
CPA1	1.30683333333333
RTN4	0.476
PPT2	-1.42566666666667
FASLG	2.60125
FOXP4	-0.336
