Hybridization REF	TCGA-AR-A0TW-01A-11R-A084-07
DHX32	-0.21075
SCAPER	-0.179666666666667
MEN1	0.249625
NIP7	-0.33925
FLJ25404	0.5455
FASTKD3	-0.90425
TMEM158	-2.45525
RARA	1.983
BDH1	0.7865
ANKRD16	1.2315
CARM1	-0.417
SS18	-0.140666666666667
IKZF2	0.542083333333333
MYD88	0.725625
PML	0.44845
TAF1A	-1.82175
CBFB	-0.812375
HIST1H3H	1.53
C7orf29	-2.12425
COMMD4	-0.1895
DPP3	0.4905
DAB2	0.45225
LOC388882	0.1985
YPEL4	-0.74425
AGBL3	0.724
LRP6	-0.4156
SERPINH1	-1.02375
TLE1	-1.125
CD244	1.74133333333333
ZDHHC15	-1.1805
MGLL	-1.1298
PLDN	-0.285833333333333
LOC654346	1.3365
FAP	2.1805
GPR37	0.635666666666667
SCARA5	-1.031
EBF4	0.0778181818181818
LSM6	-1.02875
MLLT1	-0.017875
SLC5A12	0.77125
A2BP1	0.185333333333333
COPS5	0.374666666666667
TPM4	-1.34564285714286
TNFSF4	2.51883333333333
ACADSB	2.54233333333333
HERPUD1	1.15575
BCL2L11	-0.245222222222222
CEP78	-1.715
CDCA3	-1.6325
WBSCR19	-0.812
MYO1A	-1.7745
PPEF1	1.97233333333333
LOC440348	-1.64725
CPEB2	1.888875
BPTF	1.27291666666667
RPL21	-0.5254375
GSX2	0.1925
ADPRH	0.994333333333333
C17orf68	0.776
KCNS1	-0.840833333333333
MLLT6	-0.1885
PIWIL4	-0.38425
RNF26	-1.0695
RAP1B	0.796375
ADAMTS1	-2.4638
ZNF571	1.3945
P2RY6	0.46425
TRIM21	1.04483333333333
CADM3	0.35125
NLRC5	1.3195
ADRA2B	0
LOC90835	0.74475
PCF11	0.12475
LOC400451	1.1495
GLTSCR1	0.3685
C17orf88	-0.77
CDH16	-1.892
FGF7	0.71325
PCSK4	-0.1325
NPC1L1	-1.10183333333333
TAT	-0.025625
TBCA	-1.70025
MGC33407	0.1325
GPR115	-0.595125
CYGB	-0.2855
FNBP4	-1.23233333333333
C12orf43	0.702
CBL	-1.0838
CLECL1	1.88225
PPAPDC1A	0.727
WDR25	0.7435
SGCA	-0.099
C22orf29	0.429666666666667
YIPF1	2.38975
GALK2	-0.3635
RAB3B	-3.56625
LOC440087	2.3995
UCP1	-0.8805
REEP5	1.5645
FADD	0.4809
FOXA1	2.80975
CACNA1A	0.236833333333333
ABI1	0.576333333333333
GRIN2D	0.3725
SLC1A4	-0.694833333333333
LOC401127	-0.51825
HINT2	0.72225
PLD4	0.236833333333333
ZNF286A	-1.2455
ENY2	-0.618
IL1F6	-0.201
PXDNL	3.7835
C20orf79	0.05725
TNFSF13B	3.656
DENND3	0.44575
JARID1D	-2.70825
HIST1H2AK	1.83825
LOC93349	0.5258
SSH1	0.1652
ENSA	-0.229
LOC219854	0.478833333333333
CKAP2	-1.4931
DKFZP564J102	0.0325
MGC87315	0.3025
HNRPAB	-0.241
AMH	-1.5135
ZNF526	0.8405
BRUNOL5	0.2407
CACNG3	0.480333333333333
TRPM1	-1.234
PPP2R1A	0.480625
COL2A1	2.04575
DDN	0.0818333333333333
FLJ25770	0.415166666666667
HK2	-0.899571428571429
ELOVL6	-1.17775
MDK	-2.2315
EPHX1	1.6455
RASSF2	0.775375
DKFZP434B0335	-0.86975
DLX3	1.479875
PRTN3	0.39175
AVPR1A	0.71675
C21orf125	-1.626
TNFAIP8	-1.05116666666667
GNB2L1	-0.909
CALCRL	1.86775
SCGB2A2	3.84066666666667
UBXD7	-0.484
ZNF674	0.002
TMEM35	0.045375
BRSK2	-0.157875
HECTD3	0.579
TMEM188	0.522666666666667
LGALS9	1.8865
SCARB2	1.76716666666667
USP34	-0.19575
C17orf28	2.34625
ZDHHC23	-1.39025
AQP12B	0.2215
SLC16A3	-1.757625
APLP2	0.983125
ITIH2	-5.68475
MICAL3	-0.828375
TNNI3K	-0.1058
HDAC2	-1.08325
PRR7	0.1666
THBS2	-0.738375
LOC751071	-0.898333333333333
CA2	-0.256
RANBP17	-0.311
RLN3	-0.15825
CRYZ	-0.4275
GBAS	0.983833333333333
TAS1R1	-0.539
MPZL3	1.8065
PCDH8	-1.14575
HSP90B1	0.491333333333333
KCNK15	-0.226
TNIP2	0.291333333333333
GPR146	-0.69825
NOL6	0.811875
SPC25	-3.30288888888889
STEAP2	1.90514285714286
VAMP3	-0.0871666666666667
TCIRG1	1.176
ZP4	0.029
PARL	0.676375
TRIM39	0.3925
KIAA1305	-0.0455
CRNN	0.4325
GRN	0.90625
HSH2D	1.07025
SCAMP1	-0.6103125
KIAA1913	1.0635
PTS	-0.5425
BANP	-0.655071428571429
PRKACG	0.5325
ADCY6	-0.120833333333333
C16orf46	0.063
CYP51A1	0.06875
DDC	-5.67625
ANPEP	-1.06433333333333
PROM1	-2.53216666666667
SIGLEC10	3.22175
COPG	1.196
FAM26E	0.894625
TRIP4	0.88325
SNX3	-0.7605
C1orf175	0.3095
PPY2	-0.3295
C14orf152	-0.3535
FTSJ1	-0.186166666666667
DST	-1.0375
LOC554235	0.28475
GLRX5	-0.07475
C20orf12	0.9291
CAB39	0.3195
MSH2	-1.50383333333333
PIP4K2C	1.894625
CYLD	1.23225
WTAP	-0.5085
MGAT4A	2.082
TSC22D4	-0.2138
CHRM2	-2.172
PPYR1	0.1825
CCNH	-0.463
RRM1	-0.73525
ECAT8	-2.994
LOC400120	0.58875
GABRA4	-0.260875
C14orf4	1.35466666666667
C1orf59	-2.8275
CTDSPL	0.00183333333333334
NHEDC2	-2.2025
PDE11A	-1.537
KLHL29	-1.75875
CD5	0.0898
TSPAN9	1.105875
WDR67	-1.33975
THUMPD1	0.2057
C18orf17	-0.11975
CLYBL	0.7785
FLJ13231	-0.2625
CMBL	0.723875
LECT2	-0.05275
NKAPL	1.12966666666667
LOC654780	0.547
OR4C6	0.4285
RAB30	1.07416666666667
TSSK4	-0.1645
TMEM163	-0.037
OSBPL11	0.45575
GNB5	-0.685666666666667
CCL21	0.8675
C1orf121	-0.816333333333333
FMO2	1.01283333333333
RPTN	0.045
MSTN	0.353
VCL	-0.581
FYTTD1	0.262
C11orf1	-0.2025
CCDC88C	0.54975
HFE	-0.711777777777778
MOGAT1	-0.869
FAM125B	-0.0845
IRGQ	0.8125
RAVER2	0.16575
AKAP5	-0.0405
SSSCA1	0.83975
C11orf63	1.34225
ACTG2	-0.403
PORCN	-1.791
DTL	-1.61363636363636
TMEM151	0.7785
FAM122C	-0.85925
RSAD2	3.0073
BAT4	-0.7285
KRTDAP	-2.05
MYH8	0.197875
CRTC3	0.17825
LRRFIP2	0.1519
INTS4	0.188666666666667
TTN	-1.38016666666667
SLC26A5	0.805
PLLP	-1.516
RGS6	-0.857875
SRGAP3	0.585125
ZNF525	0.315333333333333
NBR2	-0.197833333333333
C13orf1	0.9643
ZNF137	0.659
CEP27	-1.404
BEST2	0.8005
RNF121	0.101
DMRTC2	0.2845
C8orf76	0.759
BCCIP	-0.195125
MEST	-1.28425
HTRA2	-0.1295
ANGPTL2	-0.328
ILKAP	-0.2215
ERAS	0.504
HBS1L	-0.51675
CPA5	0.213
TMEM30A	1.689
CD300LF	2.71466666666667
WISP3	0.0055
CRK	0.578357142857143
PDS5A	0.7711
BRPF3	0.0898333333333333
NEDD9	-0.030125
SMPDL3B	1.33275
PSG6	-0.24475
PSMD13	1.1925
ETV5	-2.74025
OR51A4	0.1655
BTBD7	0.926083333333333
GSTO1	-1.268625
hCG_16001	0.6275
MAD2L1BP	0.4925
COX6A2	0.58
SCNN1A	2.1655
LSM1	0.883666666666667
UGT2B11	-0.62175
IDUA	1.211
PPP2R3C	-0.241833333333333
COX11	1.051
PDZK1	-3.483
ZNF443	-0.0596666666666667
MGC21874	2.125
ZNF323	2.465
KRTAP10-10	0.075
CXCL6	-0.35125
SLC34A2	0.3387
LOC284402	0.215
NPTN	1.40125
UPP1	-2.0675
SLC6A9	0.053
OR7G3	0.25225
CISD1	-1.28166666666667
ZNF545	-0.252333333333333
SYT14	-0.388
NT5C3L	-0.217833333333333
ZNHIT3	0.109166666666667
SNRPD3	0.28575
KIAA0701	0.87225
UNC93B1	1.13383333333333
GMNN	-2.33975
SPCS2	1.06466666666667
LOC388524	-0.3945
NAPRT1	1.083125
PNLIPRP1	-0.10075
OR6V1	0.4905
PRKAB1	-0.0815
EYA4	-1.156
KIF20A	-2.5675
ALG10	-0.55925
ITPKC	1.34783333333333
LMX1B	1.0465
RPUSD4	-0.530666666666667
C7orf34	0.1
DLGAP2	0.325125
PFN1	-0.371
MICALL2	0.437916666666667
ZNF654	-0.2645
SS18L1	-1.5395
SLC16A8	0.148
MKI67IP	0.162
ITGB3	-1.735375
TCEA3	2.92016666666667
CEP152	-2.383125
CLIP1	0.557875
ZNF75	0.5121875
ATP5C1	0.5725
NUDT5	-0.320833333333333
PSCDBP	2.3615
UBP1	-0.681
RBM27	-0.15175
C13orf15	2.737875
ZNF282	0.180166666666667
ZNF222	0.7032
COL10A1	5.22825
PRDM15	-0.57925
TTTY5	-0.1825
FAM9C	-0.168666666666667
C20orf67	-0.395
GNG13	0.928
F12	1.0995
C1orf41	-0.95775
CPXCR1	-0.653
GSK3A	0.8645
SUPT6H	0.5425
PI16	-1.586
ELL2	-0.902583333333333
C9orf167	-1.78416666666667
PVRL3	-1.3005
FLJ38596	0.20375
ADAM20	0.1975
GPR89A	0.4065
GPR87	-2.275
ZNF30	1.13875
SMR3B	-0.09725
ZNF770	0.204625
TRPC4AP	0.162666666666667
DKFZP686E2158	-0.196
C2orf28	0.330666666666667
FREM1	-0.806166666666667
LAMA4	-0.439
ADPRHL2	0.48425
EIF4G2	0.611833333333333
GUCA1A	0.412
CTNNA2	-1.24725
NUDT15	-0.350333333333333
CEPT1	0.281
ZNFX1	1.9027
CCDC92	1.04225
TDRD1	-0.1305
KCNK5	0.0658333333333333
ETNK1	0.89825
LTA	0.4865
TTPA	-0.304333333333333
B3GALNT2	-0.25125
SC65	-0.288666666666667
PEX5L	-1.1345
EPS15L1	1.13525
MGEA5	-1.228125
HIST1H3A	0.702
ING1	0.218375
BCAT1	-2.715625
ORC6L	-2.97754545454545
KLK11	-5.5245
C19orf28	-1.27125
DNER	-4.53225
MED22	-0.672785714285714
ETV6	0.734
CHAC2	-1.3995
CD300E	0.1285
CEBPB	1.22825
ZNF398	-0.17775
LRCH3	-0.0755
HMGA1	-2.02
CAPN7	0.436166666666667
MGC5566	-2.8445
CCL3	2.858125
NANOS1	-0.348375
ZFYVE19	0.57425
APITD1	-0.3755
PARD3	0.424875
IRAK4	-0.177666666666667
SERPINI2	-0.3165
CEP170L	-0.64225
TTC9	3.257625
MYOM3	-1.43725
MLPH	1.637
LOC222699	0.507
NRG1	-2.04141666666667
TBC1D9	5.11763636363636
TTK	-2.94266666666667
ZNF557	0.6015
DDX41	0.579666666666667
FANK1	-0.441
UBE2D2	0.671
PSMB10	1.7345
MYH7B	-0.2125
GABARAPL2	0.427625
MARVELD2	1.328
DGCR2	1.68633333333333
UNC45A	0.3205
C6orf72	-0.537
ZNF683	4.77075
GIT2	0.274625
CASK	0.535333333333333
C14orf161	2.95333333333333
LRRC44	1.15175
TIFA	-0.344625
UTP11L	-0.40125
C6orf65	-0.654
FDPS	-0.64125
DUSP9	-1.962
SLC17A8	0.2285
OR51G1	0.679666666666667
NANS	0.2815
OLFML1	1.5425
ATP10B	-0.514125
NPAS3	0.018
PRKCA	-1.8224
GGA2	-0.2583125
LCE4A	0.6525
SPANXN3	0.1605
CCDC115	1.038
SDCCAG3	0.144
GLIPR1L1	-0.353
TTC1	0.06175
C17orf76	-0.637
MAD2L2	-1.3585
HIPK1	-0.677
LRRC3B	-0.430166666666667
CLN3	-0.774272727272727
C17orf47	0.734
FMN2	-2.4815
TUBB1	-0.716375
WAPAL	0.217
C3orf21	-0.183625
SCN5A	-0.2685
SMYD1	-0.20525
BEX5	2.97025
ZNF192	0.165
SEC22A	0.377
GRIA2	0.973642857142857
KIAA0825	-0.98875
NUSAP1	-2.38636363636364
LANCL1	0.17025
C15orf40	0.3411
ZNF645	0.305
GPR61	0.31975
NLRP14	0.4125
SNX21	-1.1477
C1QTNF8	-0.166
C17orf46	0.66775
IFNA8	0.2895
SPRR1B	-0.746666666666667
FLRT1	-0.53375
SNX17	0.632833333333333
ASB2	-0.634333333333333
HBG1	-5.998
RPRML	-2.10425
JOSD2	1.1065
PLSCR3	0.06375
SPOCD1	0.7935
RAB39	0.342
GHRH	0.0758333333333333
ITIH5L	0.24475
C17orf37	0.99325
SMCR8	0.50275
DPY19L2P3	-0.318333333333333
IL11RA	0.345333333333333
GDF3	-3.539
RPS6KB1	1.06316666666667
DNAJC19	-0.0252999999999999
TOP1	0.346
CRCT1	0.198125
MPST	-0.281875
DPM2	0.5395
FAM38B	-3.2175
SLC18A1	-1.94366666666667
FARP1	-0.691
PAX7	0.18225
TUBD1	-0.3685
GNL3	0.026
BTG2	0.291
NDUFS6	-0.113
C1orf79	-2.2765
ERAL1	0.47775
ECHS1	1.201
VPS4A	0.515
CYP11A1	-1.086375
ABCC6	-2.29442857142857
PBX4	-2.334
MOSC1	-0.91925
NCF4	1.3745
HYMAI	0.012
NAGPA	0.128875
OTOP2	0.332
ACOT12	0.4785
MTHFD2L	-1.2335
LOC441376	6.4285
C19orf34	-0.3125
RAB1B	1.37675
ALDOAP2	1.594
NTRK1	-1.23133333333333
ARTS-1	-0.349
SLC6A11	-0.3605
NAP1L2	1.01075
CNGB1	0.436166666666667
EPB41L4B	0.34075
FAM134B	2.75725
HS3ST3A1	-1.275
CPXM2	3.8145
SIRPB2	0.3615
CHORDC1	-0.7585
TRIB3	-0.152833333333333
SLC2A5	1.4445
C2orf49	-0.285666666666667
DDX5	1.0055
OR5L1	1.103
ANAPC4	-0.59
ZSWIM1	0.474625
LOC93622	0.586375
KCNK3	-0.3025
RP11-35N6.1	-1.479125
ZFP161	0.869666666666667
AQP9	3.54125
SLC15A2	-0.4705
MREG	0.477833333333333
OR9I1	0.2375
PDLIM2	-0.433
ADAM7	0.425
GSTCD	-0.166833333333333
WDR21A	0.13475
SLC12A8	1.2365
TMEM174	0.43775
IGSF3	-0.308833333333333
LRRN1	-2.778
LOC402117	-0.531
SRPK1	-1.68383333333333
LY6K	-1.610125
NFIA	1.382
PTCD3	-0.056
LEP	-0.3335
PCDH21	-0.621
MAPKAPK2	0.739428571428571
NMNAT1	-0.928666666666667
LHFPL2	0.43425
C9orf43	1.69425
DIP2A	0.0461666666666667
ACTR8	-0.387625
CCDC34	-0.2135
PTPN22	0.13925
ITGA3	-0.562875
FAM129C	0.35475
RABGGTA	0.695
UNC45B	0.3935
KIAA1033	1.009625
ZNF510	0.131833333333333
CYP2D6	-0.671
SLC26A10	-2.282
STX8	-1.29075
LUZP1	0.199875
WDR89	-0.478
EIF4G3	0.1685
C5AR1	1.33275
ZNF623	0.658
A2M	0.38575
TGM7	0.4785
GRPEL1	1.4965
LMNB2	-1.6251
ROCK2	-1.08283333333333
SNX16	0.602875
CCDC66	-1.21275
ANXA3	-4.1115
KIAA1609	-0.56075
EED	-0.923
RNF32	0.544333333333333
HES1	0.1756
CLC	0.569
ISL1	-0.316
KIAA0528	-0.704875
MANEA	0.676375
C1orf61	-2.1845
hCG_2001000	0.80875
RAPGEF6	-0.3645
KIAA0020	-1.47116666666667
NEIL1	0.18475
C16orf45	-1.381875
RBM10	-0.226333333333333
C10orf125	-1.432375
MRS2L	-0.31175
DNAH17	-1.165125
C19orf10	-0.67375
C1orf160	0.404
SLFN12	-0.074
EXOC3	-0.065
HIST3H3	0.43075
NCOR2	1.1245
TNFRSF9	1.41725
MFSD8	1.796
ALX1	-2.69683333333333
NOL1	-0.23225
PODN	1.87275
TIAL1	-1.20975
HIST1H1E	1.74075
NPY6R	0.62725
TM4SF4	1.9895
CORO2A	-1.473
ETNK2	0.226333333333333
APOE	1.345
ANGPT4	0.503
HDGF2	-0.3335
G30	0.54
ST8SIA4	0.374
F2RL1	-1.473
FAM19A4	-2.82225
CCAR1	-1.12825
B3GNT7	0.371
OPHN1	-0.2855
DSCR6	-0.15
C21orf13	2.27633333333333
GAS2L1	1.46416666666667
RFX3	-0.7455
COPS4	0.77475
BCHE	-4.87066666666667
BCL2	2.830875
HBZ	-3.31216666666667
ARL13B	-0.202
MAPBPIP	1.238
MYO15B	-0.879875
SPZ1	0.09275
KIAA1324	0.888
PLCL2	-0.0475
C4orf29	0.47125
WDFY2	0.053
ZNF284	-0.045
NAALADL1	-0.0775
DUSP5	1.98116666666667
PXDN	-1.007125
SLMO1	-0.641
TNXB	0.3092
BIRC7	0.12975
A4GALT	-0.0828333333333333
TIMM22	0.39475
FAM110C	1.168
TOMM34	-0.966
ABHD9	-0.468
ADAM32	0.3675
CRHBP	-0.22275
AQP2	0.440375
LOC130355	0.76725
ZNF187	0.173833333333333
ZNF816A	1.027
F7	-0.89875
CNOT1	0.9505
SLC13A4	-0.10725
ZBTB11	1.407
B3GALT5	-0.45725
EXOC2	1.47166666666667
IRS1	-1.4718
TMEM1	1.0475
MRPL34	-0.344166666666667
SAMM50	-0.20675
CDC42EP3	-1.463375
HSF2	-1.0179
MFN2	-0.0025
TSPAN7	-2.4835
NUCB1	1.43675
RHOH	2.6335
ARL16	-0.106
TACR1	0.34225
SFRS5	-0.6265
SNX25	0.356625
RHBDF1	0.964833333333333
PCDH18	1.26016666666667
HMG1L1	-1.0025
MYO5C	0.89475
MAPK10	-0.0605
LDHAL6A	0.115333333333333
NUDT12	-2.22866666666667
NCAM1	-0.148125
GLIS2	0.567
GGTL4	2.4245
DAPP1	0.60725
ATF7	0.415375
KIAA0748	-0.636
NFIL3	0.09525
TM6SF1	0.7349
SEZ6	0.234125
NANOS3	-0.445833333333333
DNAJA3	0.755666666666667
CLDN6	-2.655
CIITA	3.049
EPHA4	-1.5675
FANCC	-0.62575
CMTM3	-0.323875
PSG3	-0.468875
MRPL15	0.43575
C21orf59	0.715
PLCXD2	0.10875
C2orf34	0.65975
UBE2L6	2.078625
MED14	-0.0691666666666667
HP1BP3	0.1398
C6orf208	-0.308
TPBG	-0.5945
OSR2	2.20025
XPC	-0.475833333333333
KLHL7	-0.524333333333333
CCR3	-0.514333333333333
AGTPBP1	-0.477333333333333
PCSK6	3.11766666666667
STAT5A	-1.4928
FAM18B	0.35325
LONRF2	1.3565
PTPN2	-0.74125
SF3A3	-1.2775
EFCBP2	0.3115
HCFC1	-0.467666666666667
AHNAK	0.38095
ACTR5	-0.25825
KIF14	-2.86142857142857
TENC1	0.74575
HEATR5B	1.389
YIPF2	0.872166666666667
MYEOV2	1.22133333333333
DUSP18	1.0765
KIAA1012	0.08875
AHR	-1.23916666666667
C17orf53	-1.38966666666667
PTPRH	-4.03925
ATP6V1C1	1.1995
TAS2R3	0.1565
LOC440356	-1.75375
COQ10B	1.11525
PSMF1	0.151916666666667
SORBS2	0.923583333333333
NFE2L2	-1.01225
TMCO7	0.46925
SH3PXD2A	-1.6016
SH2D2A	-0.4075
SPINK5	-3.25525
MRPS24	0.29825
OPA3	0.557625
TRAF7	1.0455
C4orf35	0.446666666666667
MT1G	-1.175375
MGC39545	0.419
HS1BP3	1.0888
OR2B2	0.743
CHRM4	0.381
SFRP2	1.40708333333333
RIC3	-1.03075
ART1	-0.301
C6orf1	0.409875
DUS4L	-0.27975
C10orf104	-0.70775
TNFAIP6	1.91475
RTEL1	-0.69525
CCT4	-0.1651
ZNF709	-0.4355
CHMP6	0.370166666666667
UPP2	0.57675
CYP19A1	-2.71225
CD151	-0.165833333333333
NDUFA13	-0.335666666666667
ARFRP1	-0.524833333333333
FAM26B	0.53475
CRYBA1	-1.36
MRPL41	0.758333333333333
NPFFR2	-1.29075
HRH2	0.6075
SCAMP3	0.943833333333333
MTMR6	1.2132
MTG1	-0.9475
UBTD1	0.4135
CRABP1	-2.9845
FLJ33790	-0.29
KIAA1908	-0.500833333333333
GPR158	-0.67325
PACSIN3	0.730666666666667
OMD	1.747
CATSPER1	-0.230833333333333
HOXB8	-0.675125
FBXO46	0.4895
OAS1	1.53566666666667
SVIL	-1.1285
PHB2	-0.5795
ADCY3	-1.473
NDRG2	-0.715333333333333
ERMAP	0.1404
APBA2	-1.66683333333333
IGSF9	0.7105
WNT6	-0.578785714285714
MYCBPAP	2.4705
ATP2B2	-0.1123
CPVL	0.3454
TRAM2	-0.92425
NOP5/NOP58	-0.79975
ZNRF4	0.0485
TLK1	-0.170875
MTMR12	0.612
ZNF384	-0.438666666666667
FAM9B	-2.38925
RPN1	0.6167
PMVK	0.98125
EIF3D	-0.0678
SIX2	-1.4645
HPS1	0.195571428571429
RNF7	0.57725
PSKH2	0.6285
KCTD13	0.949833333333333
CSMD3	-0.4231
FBF1	0.315
IL8	-4.857625
SERPINB13	0.241333333333333
FBXL20	0.01475
BLR1	0.57175
SH2B1	-0.7465
RFNG	0.290625
RAB20	1.107
RBM7	-0.88475
POLR1A	0.0125
TMPRSS4	-3.3835
TAF9	-0.736625
TERF2	0.891
TNFRSF1A	0.419833333333333
ACADVL	-0.401333333333333
GTF2H5	-0.6805
EDG8	-0.884333333333333
C9orf140	-0.996
UST6	0.15725
ZBTB8OS	-0.3275
ZNF710	0.883
GPR174	-0.354
ATP6V0A2	-0.0265
KIAA0319L	0.204083333333333
XKRX	0.153
DOPEY2	1.0957
SDHD	-0.23175
SUMF1	1.9985
OSM	3.47025
OPN3	-2.30875
DAGLB	0.612
PPFIBP1	-0.1872
TRIM63	-3.80725
C10orf53	-0.6845
LYPD3	1.08433333333333
BCL7A	0.518875
AGER	-1.5115
TCF19	-1.28125
SAT2	-0.273
PFTK1	-0.176833333333333
GABRE	-3.734125
C15orf38	1.578
FIS1	-0.1455
KCNV2	0.11575
CLPS	0.32875
PPCDC	-0.768875
FOXN2	-0.105333333333333
NT5E	-3.0319
CD83	0.2355
IL18	1.471125
VPS16	-0.013
IGFBP2	0.169
NOTCH2	0.86125
SIGLEC1	3.3855
CD93	4.0195
SULF2	-1.63625
CEP164	-0.804375
P53AIP1	-0.3
TOR2A	0.255833333333333
ZNF136	-0.31175
MGP	3.4978
CCDC144A	-0.8865
TRPC1	-1.00716666666667
SMS	0.229833333333333
MAPK7	-0.716
RRAGC	0.8605
PARD6A	0.641
NUB1	1.0615
SYNGR4	0.4325
OR11H12	0.161
WIF1	0.304
GCH1	1
OR11H4	0.4875
SLC44A5	-0.232
GPRIN2	-0.563833333333333
LOC401431	-0.44275
CPA4	-2.6594
MELK	-2.21211111111111
IL15RA	0.69425
CUL3	0.0445
HMBOX1	-0.97625
PODXL	-3.12975
CCT6B	1.4035
COMTD1	-1.12925
MUC20	-0.183666666666667
GPX2	-3.907
ITK	0.24475
FBXL5	1.77625
C13orf27	-1.28375
DEFA5	0.694
TRHDE	0.1795
MTP18	-0.451666666666667
UQCRQ	0.9248
ITGB2	2.44916666666667
CSRP2BP	0.25025
TAS2R44	0.383
PHPT1	1.158625
FAM44C	0.16525
ERH	-0.41275
MPHOSPH1	-2.0705
MORC1	0.0895
PARVB	-0.16175
LAMA1	-1.9935
PGBD3	-0.27375
GIMAP6	3.96775
AREG	-2.12583333333333
LIPT1	-0.233
MGC99813	-1.71675
C1orf201	1.00716666666667
GRIN2A	-0.4626
MAN2C1	-0.5585
NSUN5	-0.462
SF3B5	-0.25175
MYC	-0.0719375
NRXN1	-0.439833333333333
ZNF18	0.2485
SPDYA	-0.250875
SLC37A1	1.277
DECR2	0.96225
ANKRD38	0.000250000000000004
SPTLC3	-0.692583333333333
SUPT16H	-0.07625
DTWD2	1.291
ULBP1	-0.132
ZADH1	0.0456666666666667
OIP5	-2.37625
IL10RB	0.0835
OTUB2	1.34325
VWA3A	0.404333333333333
SPIC	0.513833333333333
OR6C4	0.4625
PSCD4	0.958
DPY19L2P2	-0.5735
TRAPPC6A	1.51216666666667
C21orf2	0.265166666666667
CEMP1	0.53825
LIN7B	1.172
E2F7	-2.47883333333333
VCP	0.6724375
LAMA3	-0.989916666666667
BGN	0.79875
GPR160	0.9675
COCH	-3.24916666666667
GPR81	2.18316666666667
APOBEC3F	-1.19325
tcag7.1017	-0.91175
C1orf32	0.9455
SCGB1D2	3.04725
FLJ43987	0.1385
C6orf170	-0.07725
KLK9	0.646
GPD1L	1.619
VPS37B	0.43825
ATG3	-0.0258333333333333
ADAMTS17	-0.131
KLHDC2	0.513
NDUFV2	-0.0865
BLK	-2.054
MATN4	-1.919
GPM6A	0.00150000000000001
GBP4	4.2825
TMEM162	0.203666666666667
PKP2	-0.0145
HRASLS	3.01022222222222
MMP1	-1.63875
SFXN3	-0.9147
FSD1	-1.64783333333333
ST6GALNAC3	-2.10866666666667
CA12	3.3359
NCOA6	-0.12825
C19orf58	0.1861
PPP4R1	-0.145666666666667
MAN1A2	1.30133333333333
IKBKAP	-0.98225
UPF1	0.129833333333333
KIAA1219	0.4915
WNT16	-0.000333333333333349
SNW1	-0.169125
IL18RAP	3.67675
RPP30	-1.01025
CDC40	-0.702714285714286
SETD3	0.5595
SLAMF6	1.7145
ELK4	0.122
TRIM47	0.0461666666666667
ACOX3	3.13175
TRIM6	0.56325
KIAA0372	-0.528666666666667
TP53AP1	0.624875
SMURF2	1.52975
ADAD1	1.18675
EBP	-1.5739
KRTAP13-2	0.2045
FLJ36874	-0.995
TOR1A	0.558333333333333
P2RY4	0.8035
GPBP1	-0.601
TRPV1	-0.871
ADAMTS12	0.394666666666667
PES1	-0.0573
ATG4A	1.34566666666667
MAGEA10	-4.39425
WFS1	2.3705
CC2D1B	0.0385
PABPN1	-0.647375
SLC25A30	0.7945
SLCO1C1	0.1445
SLC22A5	0.9135
KIF23	-2.45133333333333
SYN2	-0.465833333333333
ASPN	3.89783333333333
CENTG2	0.234
QSOX2	-1.1991
FLJ10815	0.577333333333333
STK24	0.2034375
SPEG	-0.7258
STK10	0.2475
DACT2	-2.338
AAAS	-1.09025
SSX3	-1.29475
ABCD3	1.1585
C4orf12	1.605
PARVG	1.3015
FIG4	0.08025
C9orf46	0.273
TMCO6	-0.282
IGHMBP2	0.0405
DUS2L	0.507333333333333
FAM3C	0.1834375
TMEM16D	-1.822625
DCTN4	-0.08
KCNH3	0.2085
EIF2AK2	-0.58775
AP1S3	0.81025
CST4	1.3055
PAM	-0.24875
NUTF2	0.17975
CITED2	1.6694
SLC39A4	0.53
C2orf52	-0.561
GRM3	-0.17325
C12orf49	2.07925
CCDC49	-0.0298
GRAMD1B	-0.699375
FNDC4	-0.74825
SIAH2	1.1845
GDPD4	-0.1895
C21orf87	1.0335
ATP5A1	-0.0673333333333333
C16orf63	-0.35075
LOC388135	0.9
ATP5J2	-0.02475
MMP3	-2.47825
EMID2	-0.35
CRHR1	0.4425
WDR70	0.2305
C13orf31	0.90975
ZFAND1	0.07025
CCL18	3.7835
C3orf49	0.073
RINT1	0.1475
KIAA0408	-1.327
F13A1	4.4538
SLC10A1	0.0943333333333333
OGN	1.0305
GIPC2	-1.63566666666667
XPO6	-0.0555
LCE1A	0.545
FMR1	0.0829
LOC374920	-0.83675
DUSP3	0.42125
ANKMY1	1.525
C7orf50	-0.68725
BBS9	0.1971
UNC119B	-0.638875
C9orf72	0.76825
MGC35440	-0.06925
ENTPD6	-0.69875
PPP1R2P9	1.04575
ERCC4	0.6675
FAHD2B	-0.3
HMHA1	0.5055
HACL1	-0.85125
RAD23A	-0.667166666666667
FAM83B	0.0185
PPP5C	0.214
RNASEH2C	1.1215
C9orf153	-0.191
SCAMP4	0.746125
GHITM	0.9053
NDUFB7	-0.065875
ADCYAP1	-0.0605
SP110	2.10266666666667
MAP3K7IP2	-0.6905
DHH	-0.2445
AGRN	0.852142857142857
WDR33	0.178166666666667
CEP290	-0.596
