Hybridization REF	TCGA-A2-A0YI-01A-31R-A10J-07
PPIC	1.03683333333333
IMPDH1	-0.0726666666666667
ACP6	0.497166666666667
PRKACA	-0.022875
PPP1R1A	0.118125
TRPV3	-0.341333333333333
ASXL1	-0.618625
C17orf55	-0.982166666666667
FXYD1	0.125666666666667
LMOD2	0.0995
ANKRD33	0.3865
LCE2C	-0.123
ZNF620	0.1895
DKFZP566E164	-0.792
VSIG2	0.781
KIAA1128	0.95625
USO1	0.312
NUDT4	-0.427357142857143
CLDN1	1.16778571428571
OR4Q3	0.0975
FASTK	-0.181
ICOS	1.5935
LDB1	0.6485
GSTA5	0.051
ABCC1	-1.7945
FAM54A	-3.96275
PCBP2	-0.4585
NUP205	-1.79875
ACTA1	-1.87416666666667
GABBR2	-1.67825
PIP5K1B	0.627166666666667
AGXT	-1.61333333333333
RNF181	0.01475
ATP8A2	-1.17075
AFTPH	1.5069375
FGF21	-0.08375
FCER1G	1.8265
SNTB1	-0.3075
SLC24A3	1.21125
TXNL4B	-0.7311
RPL10L	-0.421833333333333
LOC389517	-0.44565
TSGA13	-0.206
SHOX2	-0.452333333333333
ITGA7	0.3803
KCNIP2	-0.290833333333333
KLF13	0.624
ZFAND2A	-0.56825
CEACAM1	1.56264285714286
PFKFB4	-2.12133333333333
MED19	0.31425
LRRC57	0.357833333333333
RNF11	0.96325
ANKRD32	-3.0325
P117	0.03225
OBFC2A	0.411
POLD3	-0.732083333333333
RAB18	0.957875
TPH2	-0.258166666666667
PHB	-0.5572
JDP2	1.60483333333333
MORF4L1	-0.0434
POU2F1	-0.19675
CNNM2	-0.5845
LOXHD1	0.0276666666666667
ZC3H15	-0.458
ELK3	0.495833333333333
FAM111B	-1.279
CBLC	2.942
SBNO1	0.15475
ANKMY2	0.0855
PLEKHA5	0.05825
DHX58	2.08816666666667
ARCN1	-0.0401666666666667
TREML1	0.8406
KNCN	-0.063
SEC24A	-0.94075
PSCA	-1.1
MGC24125	0.344833333333333
DNA2L	-2.69
CIB4	0.24
HIGD2A	-0.393
TBX6	-0.0768333333333334
TTLL5	-0.364666666666667
SGK3	0.761166666666667
GCN1L1	-0.50375
AMOT	0.3412
LDOC1	0.325333333333333
NRK	-0.225166666666667
ASB9	-1.96475
NAT1	5.0507
TRAFD1	0.2845
PEAR1	0.751166666666667
FAM36A	0.450375
OR1S2	0.171166666666667
LOC388323	-1.98425
PGS1	-0.774333333333333
LEPREL1	-1.3715
TFF1	-0.263083333333333
HAP1	0.349
EPHB2	0.81825
ACTG1	0.750333333333333
ZFP42	-0.575833333333333
HAVCR2	1.976
NME1	-1.019
SNX26	-0.113333333333333
LACTB	0.171833333333333
ZKSCAN2	-0.622125
C5orf35	0.32075
ANKS3	-0.7655
RBM28	-1.32175
DKFZP586P0123	-0.36925
HNRNPA1	-0.309666666666667
BCAS3	-0.864916666666667
FLJ20184	0.626
POLA2	-1.50633333333333
TMC7	0.199166666666667
HSD17B6	1.06
ZNF658B	0.757666666666667
TTTY10	-0.102833333333333
RANBP9	-0.450583333333333
CPNE7	-1.988
EVL	2.44947058823529
LNX1	0.808583333333333
IFNA21	-0.034
CFD	0.79225
PYCARD	1.75
MYBPC2	-0.6035
ENPP3	-2.0745
ACSL4	-1.21525
LOC440258	0.0065
TMEM176B	3.5355
SOX2	-5.449625
SCO1	0.0336666666666667
COMT	-0.21075
AOC2	-0.31575
PDLIM5	0.00807142857142857
SPHK2	0.213166666666667
NXPH2	0.0775
GPR108	0.268
RAD51L1	0.122333333333333
TMEM54	0.36725
LETMD1	-0.781555555555556
SLC6A17	0.31725
KRT75	-0.3465
STT3B	-1.0135
CD3EAP	-0.148833333333333
TMEM63A	0.07975
DUSP13	1.39825
CD1C	0.991666666666667
LASS2	1.22783333333333
AVP	0.689
PITPNM1	-1.486
FLJ22795	-0.6915
MCTP1	-1.8215
TRIM68	0.636833333333333
UCK2	-0.774666666666667
ABHD1	0.46275
FAM50A	-0.1635
RNASEH1	-1.23566666666667
PCP2	0.956
OR52H1	0.0875
C20orf149	0.056
RBP5	0.00933333333333333
HYAL3	-1.13225
CLPB	-1.2595
SMNDC1	-0.315
DONSON	-2.9175
FLJ27523	0.01825
BARHL2	0.138833333333333
SLC30A9	0.4135
TMPRSS11B	0.18275
E2F8	-2.232
CCDC25	0.156916666666667
C14orf48	-0.174166666666667
C20orf116	0.65175
TSPAN11	0.4595
YIF1B	-1.277
FAM12B	0.28375
OR1L6	0.474
HPN	1.7855
NBN	-0.056375
C14orf94	-0.324833333333333
OCLM	-0.179
ZSCAN18	1.3604
L3MBTL	-1.1896
TSTA3	0.8495
RAC1	0.149875
C19orf15	0.1925
NFE2	-2.204
KLK14	0.371
ARSF	0.294
MAST2	-0.363166666666667
AMICA1	2.95783333333333
GTF2A1	-0.07375
ATP1A3	0.61475
TC2N	3.2575
PNKP	0.16625
ODZ2	-0.581
MATR3	0.313375
S100P	-0.727125
KRT82	-0.276
CA13	-0.6226
PROZ	-0.326
AASDH	0.144625
C19orf40	-1.11416666666667
DCK	-0.492692307692308
FAM5C	-1.7
SLC6A4	0.43
MID1IP1	0.131875
TESSP5	0.864
TMOD4	-0.373666666666667
DOCK2	0.374833333333333
TUG1	1.34675
NUP214	-0.302
DPYSL2	0.333318181818182
GOLM1	2.58041666666667
MPFL	0.05075
SOX13	0.52575
SDCCAG8	0.848
KEL	-2.48733333333333
NUP210L	-2.505
GK	-0.543375
DNAJB1	1.23225
ALPK3	0.2485
CHID1	0.1361
CYLC2	0.247833333333333
IKZF5	0.53325
C8orf51	-0.499333333333333
PPM1J	1.33875
GIMAP8	3.26616666666667
GPR101	-0.5935
NR2F1	-0.062
ACAD8	-0.3135
RBM35A	0.842
GNAI2	0.4375
METTL8	-0.360166666666667
SLC39A7	-0.45625
FBXO8	0.7375
CAMK1	0.0805
RFC3	-2.292875
FAM129A	2.25635714285714
ILF2	-0.19875
FGFBP3	-1.03925
NOM1	-0.984833333333333
PSMA3	-0.7445
ASCC3	0.0886
ZYG11A	-0.21225
SOX21	-1.4395
LYRM1	0.23425
DEFB1	0.8925
LOC91431	-3.31683333333333
OR7C2	1.4625
FAM46B	0.6125
TMEM18	-0.061875
ARHGAP30	2.59566666666667
TMEM86A	3.33966666666667
EPHA2	-1.2265
C10orf46	0.9128
TCHH	-0.230333333333333
C3orf30	-0.0584
LOC285636	-0.550333333333333
PAIP2	0.18925
CYP2U1	0.269375
C12orf34	0.684
SARS2	-0.983333333333333
ZCWPW1	0.40975
SAMD12	1.395625
KIAA1430	0.119875
ACAT1	-0.69475
MEOX1	2.708
ADAMDEC1	3.43425
PHKA2	-0.807
CARD11	0.612
CALML4	-1.0335
TSSC1	-0.56575
TMEM45A	-1.46411111111111
MPP7	1.5685
POU1F1	0.03225
SLC2A13	-0.4806
FBN2	-1.67757142857143
ZC3H7A	0.2104
LAIR2	-0.01275
ST3GAL1	0.777666666666667
LCT	-2.69425
GEMIN8	0.661666666666667
KLF16	0.4616
HIF3A	0.1035
FAM44A	0.618357142857143
AQP10	-1.3139
PLA2G2A	-0.806
FOLH1	0.5465
C20orf186	-0.4295
MAPKAP1	0.045125
SPRR2D	-1.3355
UBQLN4	-0.4915
RSHL1	0.2025
PIAS3	0.471875
MRPL24	0.3555
GREB1	-0.796375
FAM27E3	-2.8235
NUP62CL	0.09575
NEUROG3	1.1125
REEP3	1.30416666666667
MARK1	-1.04125
LMBRD1	0.6665
PRPF19	-0.58
PNMT	-1.51416666666667
CTGLF1	-0.463
SLC25A16	0.79325
EIF2B3	-1.002
RPA2	-0.579
PAK6	0.989
CCDC26	-3.559875
SEMA3E	2.09825
MXD4	1.1814
TNFSF10	4.4513
SMARCB1	-0.798333333333333
DTX3L	1.38183333333333
PLA2G4E	0.236
PPAP2A	0.78775
ULK1	-0.212083333333333
TAS1R3	0.07
SLC2A3	-1.96981818181818
ARID3A	-1.8425
GNG5	-0.04525
ACOX1	0.2888
KIF5B	0.0055
NUP153	-0.7445
MUC7	-0.4305
CSDE1	0.0157142857142857
CLPTM1	-0.29325
C3orf23	-0.62125
LRRC17	0.237166666666667
TTYH3	-0.2685
ATP5B	-1.139
ELF3	1.854
CPSF3L	-0.699833333333333
ZNF665	0.283333333333333
TLR6	1.6822
GPI	-0.672625
RAD9A	-0.62125
NDST4	-3.79275
AGPAT3	0.338916666666667
MAGI3	2.49266666666667
ADORA2A	0.892375
CACNG7	-0.1835
CAMK2D	0.035
CCHCR1	-1.06275
RPS27A	-0.269
OR10G7	0.157
GCM2	0.0155
FAM135B	1.9441
E2F1	-2.50075
PLCB3	-0.13725
OR2AE1	-0.1125
COIL	-0.165833333333333
CDC25C	-3.478
RAB11FIP2	0.181416666666667
TSC2	-0.1915
CTGLF5	-0.668
CCDC108	0.1666
OR13C4	0.03975
C10orf81	4.695
PTPRB	2.004
ACP2	1.01475
LAG3	0.953
MRPL54	-0.06
LOC201175	0.6885
ITGB1BP3	-1.6105
SPTAN1	0.585833333333333
SIPA1L2	0.01075
RCAN2	-0.6165
CDX2	0.0305
ECOP	0.63525
ACTR1A	0.365071428571428
PPARG	-0.0441666666666667
BBS10	0.435166666666667
TMEM44	-0.8285
BPIL2	0.05375
CITED1	0.54475
IRF6	4.062
PRDM4	0.0696666666666667
RRP9	-0.986166666666667
OR10H4	0.30525
IL31RA	-0.50675
GNB1L	-1.45666666666667
MYBL2	-3.28625
ZNF407	0.918333333333333
PPIG	-0.00683333333333332
TTC18	2.6865
RPSA	-0.4045
MAPT	1.78725
MRE11A	-0.597428571428572
C8orf37	-0.797666666666667
RASGEF1C	-0.0735
STBD1	0.386
CTAG2	-0.678833333333333
MGAT5B	-2.43616666666667
ECM1	1.60325
RLN1	1.4
PARP14	1.066125
EPB41L1	1.3734
HOXA3	-0.265583333333333
MAGEA9	-4.02375
RPS8	-0.207
RPS19BP1	-0.19725
FOXJ2	0.474875
C10orf76	0.607625
IL17RE	-0.091
C10orf65	-1.185
ZNF343	-0.152166666666667
FBXO33	-0.40975
UHMK1	1.6249
LY6G6C	-0.2815
FGF19	-2.03275
C14orf128	-0.674
IFIT2	2.53125
TIGD1	-0.426
S100G	-0.134
GUCY1B3	2.4515
NR3C1	-0.2222
CORO1B	0.401166666666667
PARP11	0.606666666666667
DNALI1	4.08516666666667
OR4N4	0.217875
MAP2K6	-0.3585
FSTL4	-0.36675
ANKRD47	1.09
TMEM171	-1.2075
PNLIP	-0.4085
YY1	0.407166666666667
CCDC138	-2.02083333333333
AASDHPPT	-0.9654
CKS1B	-1.2907
MCM3	-1.2585
ANAPC7	-0.755666666666667
FAM110A	1.46075
CDC37L1	1.249
THTPA	0.72525
NBPF20	0.1875
WDR24	0.272
NPTX2	-3.71075
CBLB	0.7625
CETN1	-0.00116666666666663
RPUSD1	-0.166
FAF1	-0.96825
CDK6	-2.9039
HMX2	0.201
CSK	0.0403333333333333
TEAD2	0.7965
SNAP25	-0.76925
TUFT1	0.9376
TMTC3	0.8525
LCK	-0.35625
SGOL1	-2.39833333333333
AKTIP	0.99475
FURIN	-0.317125
SOX12	-0.4075
DEFB103A	-0.367
RAMP1	1.97125
KIR3DX1	-0.3995
GAS2L3	-0.77
PDE8A	-1.2264
EDN3	0.814
GMIP	1.33475
SF3A2	0.839
FN3KRP	0.4745
SMAD7	1.03525
RHBDD2	1.155
OR11H6	-0.079
PPP1R3B	1.6144
C9orf23	0.088
CADPS	-1.71625
GOLGA8A	-2.95175
TMEM57	0.583833333333333
RGL3	0.0305
S100A14	1.71675
FGFR2	1.461875
XRCC3	-1.38625
RTN4RL2	0.378
MGC3771	0.718
GH2	0.138333333333333
BTBD2	0.01775
LMO2	0.99025
RDBP	-0.551625
ACRBP	-1.03325
AMY2A	1.77075
DUOXA1	0.347
PTK7	0.349
TWF2	0.403166666666667
FAM80A	-0.43625
TNNI2	-1.94033333333333
GLT25D1	-0.7125
OCC-1	-2.7935
CYC1	-0.992166666666667
RPL22	-0.338545454545455
MORN3	0.8735
DISP1	0.53475
PRB2	-0.099
CHUK	0.0975
HR	0.656875
CCDC134	-0.3325
DENND4B	-0.62475
C14orf130	-0.36375
RAB33A	-0.9435
DCST2	0.1815
TNMD	-0.1275
PEX7	0.67525
FAM62A	0.3465
SRD5A2L	1.2205
IL22	-0.1005
RPS26	-0.909333333333333
HOXC5	0.438
SPATA6	1.74625
FLJ38482	0.532125
ZNF234	1.8315
C18orf22	0.374
SPATA22	-0.134
THOC1	-0.93675
CYP7B1	2.49275
KCNC3	0.46175
C8orf42	-1.465
ALDH1B1	-0.196666666666667
CCDC100	-0.0064
ARMC4	-2.83475
FAM18B2	0.3365
SLC44A1	1.474125
FBXO17	-1.25133333333333
C6orf107	-0.1245
C19orf29	-0.57325
ZC3HAV1L	-0.115
PARP6	0.1344
SULT2A1	-4.601875
C1orf159	-1.4135
TMC1	0.139
CHST14	0.36925
GAMT	-0.0623333333333333
SMCP	0.0688333333333333
TSPAN33	2.025
MIDN	-0.223875
NOX4	1.58875
RNASEN	-0.9682
TBX1	-0.148333333333333
SALL2	0.36175
C10orf35	1.31675
CYP2E1	-0.493375
LRFN2	1.33633333333333
ACO1	-0.429833333333333
IQCG	0.7521
MEGF9	2.072
TM7SF4	1.10425
PLEKHA1	0.770733333333333
STK33	-2.093
C1orf210	2.79525
SNUPN	-0.4368
KIAA0406	-1.4925
C20orf29	0.07725
TMEM55B	0.19425
OSTM1	-0.774
CLCN7	-0.01975
OTP	0.2535
FLJ23049	-0.67225
HEATR4	0.855
MAP3K10	0.739833333333333
PCDHGA9	0.564
AMDHD2	0.06675
LCTL	-1.193
PDCD2L	-0.414
CABLES2	-0.72175
SLC5A9	-0.5495
CLCA2	-2.144
MGC16025	1.132
STRAP	-1.02366666666667
C20orf196	-0.37
RRBP1	0.727833333333333
NAT13	-0.69775
MAT2B	0.292125
CSNK1D	-0.626333333333333
KIR3DL1	0.39475
PRKAG3	0.797
ZNF599	0.9045
PRM3	0.2205
PER2	1.73383333333333
ASPHD1	-1.949
PRMT6	0.61275
KCNE1L	-0.484785714285714
FAM118A	-0.530333333333333
TAF4	-1.02175
NDUFB6	-0.51525
TRIM9	-1.2125
PMFBP1	0.1785
KY	0.713
DKFZp762E1312	-4.02554545454545
CSMD1	-1.24925
TBP	-0.4625
OR1Q1	0.2135
RETNLB	-0.023
HPGD	-0.189571428571429
DNAJC12	1.28483333333333
FKBP1B	-1.7875
ANKRD24	-0.0468333333333333
CXXC5	0.7985
IL3	0.118375
DRAM	0.1066
PTCH1	-1.2965
TP53BP1	0.34175
SLC17A7	-0.11
COL25A1	-0.6099
AMACR	0.0116666666666667
RHCG	-0.1375
VPS13A	0.0105
FAM55D	0.582
PRPF38B	-0.160333333333333
OSBPL6	-0.954
PFDN5	0.3308
CMTM6	1.495
KCNK12	-1.966
RP2	0.568
C16orf52	-1.55525
PICK1	-0.2385
IFNE1	-1.06033333333333
SEMA4B	1.0755
TYRO3	-2.346
OR12D2	0.2795
CSNK1A1	0.592
FANCF	1.65225
LONP2	0.777
TBL1Y	-0.4175
LDOC1L	0.483
CCNC	-0.10125
C3orf60	0.00425
CHKA	-1.098
UBAP1	0.31675
MAP3K1	1.7875
ANKRD9	-0.637
FAM92A1	-0.920166666666667
GAB2	0.3025
AZU1	-0.076
DIS3	-1.12125
C21orf109	-0.90925
IQCB1	-0.3665
SPATS2	-0.493833333333333
EFCAB3	-0.08425
PRB3	-0.069
FUZ	-0.496166666666667
ZNF813	0.404375
BMPER	-1.0055
HEG1	0.320625
ALS2CR11	1.02
SURF2	-0.69725
PSMC1	-0.20225
OR2D2	-0.145
SLC7A8	1.60666666666667
C4orf40	-0.085
SPATA7	0.34275
MAZ	-0.99575
PIN4	0.378
PDE1A	0.392125
TAF6L	-0.163
OR2T34	0.359
KIAA0284	0.5835
ACADS	0.107636363636364
MKRN2	-0.792
C18orf56	-4.2235
MS4A6E	0.1415
GALNT4	1.6098
C22orf31	0.428
FLJ36070	0.293
PSME4	0.497
TFG	0.5191
EPHX2	1.411875
ANXA5	0.190375
KRTAP1-1	-0.1146
BATF	2.629
KARS	-1.0525
MSTP9	-0.5545
GPR26	-0.146285714285714
CCDC72	-0.00600000000000001
TEF	1.28033333333333
FOXK1	-0.717
PRLHR	0.4245
EMX1	0.9305
C11orf30	-0.00237500000000001
ICK	0.599875
THSD7B	0.567
C21orf100	-0.37
DUOX1	0.899
EFCAB4B	-0.46875
UBE2G2	-0.656666666666667
C3orf54	1.01025
PARP1	-0.31675
FAM60A	-1.324
C6orf146	-0.12375
OR9K2	0.1
DDX55	-1.4785
RPS15	-0.133083333333333
ZNF618	0.9478125
DKFZp686D0972	0.72875
SSPO	0.282
SHFM3P1	0.959666666666667
CPA6	0.7125
JAG2	0.3215
DEFA3	0.29875
PPBPL2	0.202666666666667
CD34	3.867
SLCO4A1	-3.530125
AFG3L1	-1.07683333333333
SHD	-0.7355
RP13-122B23.3	0.0045
PRKCSH	-0.999666666666667
DPH5	0.1305
HLA-F	2.464625
TBC1D4	0.07
RIG	0.128333333333333
GLUD1	-0.205833333333333
HNRPCL1	0.23225
HBXIP	-0.29375
RNF207	-0.692
APIP	-0.128
PLA2G3	-2.517
CCDC84	-1.6835
MYLIP	0.778692307692308
PHIP	-0.57175
AARS2	-0.225
DHX32	0.4945
SCAPER	0.294333333333333
MEN1	-0.18975
NIP7	-0.9505
FLJ25404	-0.154
FASTKD3	-0.71425
TMEM158	-2.54975
RARA	1.37125
BDH1	0.485
ANKRD16	0.54075
CARM1	0.0575
SS18	0.303666666666667
IKZF2	0.643833333333333
MYD88	1.143125
PML	0.5554
TAF1A	-1.35575
CBFB	-0.4435
HIST1H3H	-1.4015
C7orf29	-1.0855
COMMD4	-0.7395
DPP3	-0.6035
DAB2	0.558125
LOC388882	-0.102
YPEL4	-0.1985
AGBL3	0.72
LRP6	0.0789
SERPINH1	-0.557916666666667
TLE1	-1.5175
CD244	1.04533333333333
ZDHHC15	-0.66575
MGLL	0.8654
PLDN	0.186916666666667
LOC654346	1.9305
FAP	2.733
GPR37	0.157
SCARA5	0.706666666666667
EBF4	1.51609090909091
LSM6	-0.72025
MLLT1	-0.1425
SLC5A12	-0.34425
A2BP1	-0.933
COPS5	-0.7385
TPM4	-0.177285714285714
TNFSF4	0.277666666666667
ACADSB	1.26183333333333
HERPUD1	1.32275
BCL2L11	-0.624166666666667
CEP78	-1.573
CDCA3	-2.874125
WBSCR19	0.2269
MYO1A	-2.0865
PPEF1	1.9145
LOC440348	-0.546
CPEB2	0.4495
BPTF	-0.401916666666667
RPL21	-0.2468125
GSX2	0.26
ADPRH	1.11566666666667
C17orf68	0.659666666666667
KCNS1	0.022
MLLT6	0.3735
PIWIL4	0.1965
RNF26	-1.21375
RAP1B	0.51725
ADAMTS1	-1.877
ZNF571	0.5875
P2RY6	0.724
TRIM21	1.41883333333333
CADM3	0.2295
NLRC5	0.775666666666667
ADRA2B	-0.330666666666667
LOC90835	-0.68525
PCF11	-0.76325
LOC400451	1.83075
GLTSCR1	0.7551
C17orf88	0.0378333333333333
CDH16	-1.407
FGF7	1.617375
PCSK4	-0.163666666666667
NPC1L1	-1.49733333333333
TAT	2.119625
TBCA	-0.6965
MGC33407	-0.23275
GPR115	-0.942375
CYGB	0.143
FNBP4	-0.981
C12orf43	-0.25875
CBL	-0.1899
CLECL1	1.77525
PPAPDC1A	1.37125
WDR25	0.460166666666667
SGCA	0.753
C22orf29	0.237833333333333
YIPF1	2.3675
GALK2	-0.877
RAB3B	-3.72816666666667
LOC440087	1.424
UCP1	3.3015
REEP5	1.545625
FADD	0.4932
FOXA1	3.27225
CACNA1A	0.315833333333333
ABI1	0.341666666666667
GRIN2D	1.03525
SLC1A4	0.141166666666667
LOC401127	0.04475
HINT2	0.092
PLD4	1.90433333333333
ZNF286A	-0.784
ENY2	-0.72725
IL1F6	0.2255
PXDNL	1.13425
C20orf79	-0.2715
TNFSF13B	3.736
DENND3	1.20175
JARID1D	-3.21925
HIST1H2AK	0.77075
LOC93349	0.6354
SSH1	-0.6816
ENSA	0.22525
LOC219854	-0.122833333333333
CKAP2	-2.2365
DKFZP564J102	1.335
MGC87315	0.58
HNRPAB	-0.1695
AMH	-1.377
ZNF526	0.708
BRUNOL5	-0.1335
CACNG3	0.0575
TRPM1	-0.946
PPP2R1A	0.1635
COL2A1	-1.98625
DDN	-0.28
FLJ25770	1.21525
HK2	-0.0746428571428571
ELOVL6	-1.654875
MDK	-0.42175
EPHX1	0.63625
RASSF2	1.573125
DKFZP434B0335	0.32
DLX3	-0.383
PRTN3	-0.41625
AVPR1A	0.31425
C21orf125	-2.03025
TNFAIP8	0.1965
GNB2L1	-0.2995
CALCRL	2.6505
SCGB2A2	7.163
UBXD7	0.177
ZNF674	-0.004
TMEM35	0.21525
BRSK2	-1.10525
HECTD3	0.0943333333333333
TMEM188	0.207166666666667
LGALS9	2.4365
SCARB2	0.876083333333333
USP34	0.00383333333333334
C17orf28	0.971
ZDHHC23	-0.72025
AQP12B	-0.7305
SLC16A3	-2.0215
APLP2	0.27
ITIH2	-5.11675
MICAL3	-0.409875
TNNI3K	0.0921
HDAC2	-0.060625
PRR7	-0.7422
THBS2	0.06975
LOC751071	-0.636
CA2	-1.27866666666667
RANBP17	-2.41225
RLN3	-0.073
CRYZ	1.259
GBAS	0.2445
TAS1R1	-0.41875
MPZL3	-0.2935
PCDH8	-1.17825
HSP90B1	0.177333333333333
KCNK15	1.691
TNIP2	0.216166666666667
GPR146	0.23625
NOL6	0.0705
SPC25	-4.33377777777778
STEAP2	3.06964285714286
VAMP3	-0.3985
TCIRG1	0.4585
ZP4	-0.228333333333333
PARL	-0.01375
TRIM39	0.576
KIAA1305	0.83475
CRNN	0.142666666666667
GRN	1.192
HSH2D	1.2445
SCAMP1	1.060125
KIAA1913	0.84075
PTS	-0.993
BANP	0.246428571428571
PRKACG	0.4675
ADCY6	0.248166666666667
C16orf46	0.3925
CYP51A1	0.370625
DDC	-5.54425
ANPEP	0.918333333333333
PROM1	1.37183333333333
SIGLEC10	2.86275
COPG	0.712
FAM26E	0.98375
TRIP4	0.276
SNX3	0.484166666666667
C1orf175	0.857833333333333
PPY2	-0.14275
C14orf152	0.35925
FTSJ1	-0.8215
DST	0.59405
LOC554235	0.098
GLRX5	-0.376
C20orf12	1.0683
CAB39	0.326333333333333
MSH2	-1.56616666666667
PIP4K2C	0.441375
CYLD	1.823375
WTAP	0.2595
MGAT4A	1.32444444444444
TSC22D4	-0.5427
CHRM2	-1.7385
PPYR1	0.426166666666667
CCNH	-0.209166666666667
RRM1	-1.41375
ECAT8	-2.729
LOC400120	0.0095
GABRA4	-0.28325
C14orf4	0.769666666666667
C1orf59	-1.165
CTDSPL	0.236916666666667
NHEDC2	0.41
PDE11A	-0.562125
KLHL29	-1.0035
CD5	0.9669
TSPAN9	1.162
WDR67	-1.6705
THUMPD1	0.1501
C18orf17	-0.06775
CLYBL	-0.660666666666667
FLJ13231	-0.3395
CMBL	0.485375
LECT2	0.00424999999999999
NKAPL	1.45
LOC654780	0.3825
OR4C6	0.199
RAB30	1.1425
TSSK4	0.238
TMEM163	0.3375
OSBPL11	0.381833333333333
GNB5	-0.708333333333333
CCL21	1.1675
C1orf121	-0.187333333333333
FMO2	1.404
RPTN	-0.472
MSTN	0.47
VCL	0.267428571428571
FYTTD1	0.11275
C11orf1	-0.3505
CCDC88C	0.828125
HFE	-0.516555555555556
MOGAT1	-0.2365
FAM125B	0.952333333333333
IRGQ	-0.1335
RAVER2	0.3945
AKAP5	0.6165
SSSCA1	-0.3355
C11orf63	0.85425
ACTG2	-0.3858
PORCN	-0.7465
DTL	-3.31518181818182
TMEM151	0.4265
FAM122C	-0.4965
RSAD2	2.2713
BAT4	-0.4745
KRTDAP	-0.609166666666667
MYH8	0.043
CRTC3	0.9025
LRRFIP2	-0.1013
INTS4	-0.685833333333333
TTN	-1.06033333333333
SLC26A5	1.3205
PLLP	-0.0995
RGS6	-0.577
SRGAP3	1.25675
ZNF525	0.0403333333333334
NBR2	-0.207166666666667
C13orf1	-0.7953
ZNF137	0.208
CEP27	-1.65575
BEST2	-0.12
RNF121	-0.40975
DMRTC2	-0.84225
C8orf76	-0.87375
BCCIP	0.08725
MEST	-1.21875
HTRA2	-0.063
ANGPTL2	0.44725
ILKAP	-0.205
ERAS	-0.0915
HBS1L	-0.05425
CPA5	-0.0965
TMEM30A	0.753166666666667
CD300LF	1.9875
WISP3	0.103
CRK	0.518285714285714
PDS5A	-0.1179
BRPF3	0.0978333333333333
NEDD9	0.061375
SMPDL3B	1.3945
PSG6	1.16075
PSMD13	0.0395
ETV5	-0.3995
OR51A4	-0.094
BTBD7	0.926333333333333
GSTO1	-0.92725
hCG_16001	0.419
MAD2L1BP	0.189166666666667
COX6A2	1.1065
SCNN1A	2.99833333333333
LSM1	-0.0736666666666667
UGT2B11	0.40575
IDUA	0.88
PPP2R3C	-0.532166666666667
COX11	-1.04683333333333
PDZK1	4.68675
ZNF443	0.232833333333333
MGC21874	1.38883333333333
ZNF323	1.1293
KRTAP10-10	-0.126
CXCL6	-0.20525
SLC34A2	0.8312
LOC284402	0.139
NPTN	1.74708333333333
UPP1	-2.01608333333333
SLC6A9	1.2635
OR7G3	0.378
CISD1	-2.13716666666667
ZNF545	-0.184833333333333
SYT14	-0.4525
NT5C3L	-0.122666666666667
ZNHIT3	-0.364333333333333
SNRPD3	-0.35625
KIAA0701	0.334375
UNC93B1	0.2865
GMNN	-2.313125
SPCS2	0.505333333333333
LOC388524	-0.1195
NAPRT1	-0.442625
PNLIPRP1	-0.02225
OR6V1	0.526
PRKAB1	0.63325
EYA4	-2.90066666666667
KIF20A	-3.792
ALG10	0.00325
ITPKC	1.7385
LMX1B	1.3625
RPUSD4	-1.12666666666667
C7orf34	0.102666666666667
DLGAP2	0.443875
PFN1	-0.3824
MICALL2	-0.526833333333333
ZNF654	0.7425
SS18L1	-1.451
SLC16A8	0.0505
MKI67IP	0.0795
ITGB3	0.563875
TCEA3	2.00658333333333
CEP152	-2.1040625
CLIP1	1.007
ZNF75	0.33625
ATP5C1	-0.550166666666667
NUDT5	-0.953666666666667
PSCDBP	1.569
UBP1	-0.39125
RBM27	0.084
C13orf15	1.988625
ZNF282	-0.0406666666666667
ZNF222	0.198
COL10A1	5.7045
PRDM15	-0.8255
TTTY5	-0.3065
FAM9C	-0.294583333333333
C20orf67	-0.11675
GNG13	-0.3975
F12	-1.05575
C1orf41	-0.384
CPXCR1	0.0475
GSK3A	0.135
SUPT6H	-0.00333333333333333
PI16	1.22616666666667
ELL2	0.21425
C9orf167	-0.560166666666667
PVRL3	-2.1003
FLJ38596	0.77825
ADAM20	-0.18475
GPR89A	0.816
GPR87	-1.8945
ZNF30	0.55375
SMR3B	0.245
ZNF770	0.280125
TRPC4AP	-0.258
DKFZP686E2158	-0.00816666666666667
C2orf28	-0.0173333333333333
FREM1	0.00783333333333333
LAMA4	0.348
ADPRHL2	-0.06175
EIF4G2	0.895
GUCA1A	0.14
CTNNA2	-1.3535
NUDT15	-1.6895
CEPT1	0.302833333333333
ZNFX1	1.0767
CCDC92	0.83875
TDRD1	-0.2345
KCNK5	-1.84266666666667
ETNK1	0.646083333333333
LTA	1.0035
TTPA	-0.101
B3GALNT2	0.293625
SC65	0.094
PEX5L	2.059
EPS15L1	0.273
MGEA5	0.063375
HIST1H3A	0.68025
ING1	-0.505
BCAT1	-3.16425
ORC6L	-3.868
KLK11	-4.5715
C19orf28	-1.072
DNER	-4.930625
MED22	-0.0309285714285714
ETV6	1.81158333333333
CHAC2	-2.22025
CD300E	0.041
CEBPB	0.571833333333333
ZNF398	0.01425
LRCH3	0.1285
HMGA1	-1.987
CAPN7	-0.0371666666666667
